[66] ADD,ugupCCzmJf,71168.47 
[50242] DISPLAY_SUMMARY,ugupCCzmJf 
[50361] CANCEL_SET_SELL,ugupCCzmJf,ZCG 
[50387] QUOTE,ugupCCzmJf,JDW 
[50403] SET_SELL_AMOUNT,ugupCCzmJf,CSZ,715.47 
[50541] SET_SELL_TRIGGER,ugupCCzmJf,CSZ,248.81 
[50690] ADD,ugupCCzmJf,77500.42 
[50928] QUOTE,ugupCCzmJf,UUJ 
[51012] QUOTE,ugupCCzmJf,TTV 
[51021] ADD,ugupCCzmJf,69277.49 
[51193] QUOTE,ugupCCzmJf,FIW 
[51319] BUY,ugupCCzmJf,TYV,404.50 
[51436] COMMIT_BUY,ugupCCzmJf 
[51445] ADD,ugupCCzmJf,44272.71 
[51583] QUOTE,ugupCCzmJf,MHQ 
[51593] COMMIT_BUY,ugupCCzmJf 
[51640] SELL,ugupCCzmJf,MFX,589.02 
[51657] COMMIT_BUY,ugupCCzmJf 
[51723] CANCEL_SET_SELL,ugupCCzmJf,AIN 
[51801] SET_BUY_AMOUNT,ugupCCzmJf,FDI,736.32 
[51917] CANCEL_SET_BUY,ugupCCzmJf,RNK 
[52093] QUOTE,ugupCCzmJf,ECX 
[52201] BUY,ugupCCzmJf,WRN,367.26 
[52286] COMMIT_BUY,ugupCCzmJf 
[52425] QUOTE,ugupCCzmJf,RDK 
[52488] SET_BUY_TRIGGER,ugupCCzmJf,RUN,175.83 
[52644] SELL,ugupCCzmJf,CEC,251.26 
[52689] COMMIT_SELL,ugupCCzmJf 
[52815] SET_BUY_AMOUNT,ugupCCzmJf,PTP,496.51 
[53067] DISPLAY_SUMMARY,ugupCCzmJf 
[53123] QUOTE,ugupCCzmJf,WQC 
[53127] QUOTE,ugupCCzmJf,PCR 
[53212] QUOTE,ugupCCzmJf,XYV 
[53218] BUY,ugupCCzmJf,VVO,575.88 
[53325] DISPLAY_SUMMARY,ugupCCzmJf 
[53362] SET_BUY_AMOUNT,ugupCCzmJf,FDI,268.85 
[53541] DISPLAY_SUMMARY,ugupCCzmJf 
[53607] BUY,ugupCCzmJf,KBI,328.76 
[53639] SET_BUY_AMOUNT,ugupCCzmJf,ZYR,219.88 
[53836] DISPLAY_SUMMARY,ugupCCzmJf 
[53907] DISPLAY_SUMMARY,ugupCCzmJf 
[53927] ADD,ugupCCzmJf,58273.70 
[54012] SELL,ugupCCzmJf,IFN,524.65 
[54105] CANCEL_SET_SELL,ugupCCzmJf,GHE 
[54294] BUY,ugupCCzmJf,QBD,491.90 
[54489] COMMIT_BUY,ugupCCzmJf 
[54600] ADD,ugupCCzmJf,86311.23 
[54603] CANCEL_BUY,ugupCCzmJf 
[54680] SET_SELL_AMOUNT,ugupCCzmJf,JQO,685.98 
[54763] SELL,ugupCCzmJf,QGE,376.73 
[54786] COMMIT_SELL,ugupCCzmJf 
[55265] ADD,ugupCCzmJf,72568.10 
[55280] BUY,ugupCCzmJf,GPM,328.72 
[55415] COMMIT_BUY,ugupCCzmJf 
[55444] QUOTE,ugupCCzmJf,HFS 
[55620] QUOTE,ugupCCzmJf,ECI 
[55680] ADD,ugupCCzmJf,77565.72 
[55695] COMMIT_SELL,ugupCCzmJf 
[55835] SET_BUY_TRIGGER,ugupCCzmJf,JHY,91.50 
[55965] SET_BUY_AMOUNT,ugupCCzmJf,EBS,601.93 
[56066] SET_BUY_TRIGGER,ugupCCzmJf,FCM,78.76 
[56130] DISPLAY_SUMMARY,ugupCCzmJf 
[56170] DISPLAY_SUMMARY,ugupCCzmJf 
[56186] BUY,ugupCCzmJf,LFU,491.48 
[56346] COMMIT_BUY,ugupCCzmJf 
[56361] SELL,ugupCCzmJf,ZYR,399.56 
[56617] SET_BUY_AMOUNT,ugupCCzmJf,CSZ,744.05 
[56909] SET_BUY_TRIGGER,ugupCCzmJf,XNZ,270.22 
[56977] SET_SELL_AMOUNT,ugupCCzmJf,KES,193.59 
[57074] CANCEL_SET_SELL,ugupCCzmJf,KES 
[57348] BUY,ugupCCzmJf,VGW,443.94 
[57449] COMMIT_BUY,ugupCCzmJf 
[57500] DISPLAY_SUMMARY,ugupCCzmJf 
[57574] QUOTE,ugupCCzmJf,MOF 
[57590] QUOTE,ugupCCzmJf,PHJ 
[57689] QUOTE,ugupCCzmJf,FSD 
[57746] BUY,ugupCCzmJf,PBX,569.60 
[57985] SET_BUY_AMOUNT,ugupCCzmJf,RNK,695.62 
[58034] SELL,ugupCCzmJf,MFX,561.18 
[58218] COMMIT_SELL,ugupCCzmJf 
[58557] ADD,ugupCCzmJf,80644.75 
[58616] QUOTE,ugupCCzmJf,ZCQ 
[58935] ADD,ugupCCzmJf,77481.20 
[59219] BUY,ugupCCzmJf,LBC,21.18 
[59320] COMMIT_BUY,ugupCCzmJf 
[59365] ADD,ugupCCzmJf,76994.03 
[59399] BUY,ugupCCzmJf,DDA,302.73 
[59443] CANCEL_SET_SELL,ugupCCzmJf,CBY 
[59588] DISPLAY_SUMMARY,ugupCCzmJf 
[59612] CANCEL_SET_BUY,ugupCCzmJf,OBR 
[60063] SELL,ugupCCzmJf,RUN,340.58 
[60262] CANCEL_SELL,ugupCCzmJf 
[60599] BUY,ugupCCzmJf,CAX,377.35 
[60649] CANCEL_SET_BUY,ugupCCzmJf,MFX 
[60699] ADD,ugupCCzmJf,61355.92 
[60773] QUOTE,ugupCCzmJf,BEG 
[60827] QUOTE,ugupCCzmJf,DBS 
[60835] ADD,ugupCCzmJf,69852.74 
[60864] QUOTE,ugupCCzmJf,DWX 
[60930] SET_BUY_AMOUNT,ugupCCzmJf,BCQ,11.40 
[61009] SET_BUY_TRIGGER,ugupCCzmJf,WNU,8.60 
[61064] BUY,ugupCCzmJf,PUO,404.40 
[61097] COMMIT_BUY,ugupCCzmJf 
[61115] SET_SELL_AMOUNT,ugupCCzmJf,IFN,654.67 
[61118] SET_SELL_TRIGGER,ugupCCzmJf,IFN,641.11 
[61120] ADD,ugupCCzmJf,61670.72 
[61189] BUY,ugupCCzmJf,NTB,98.36 
[61323] COMMIT_BUY,ugupCCzmJf 
[61428] ADD,ugupCCzmJf,69837.33 
[61490] BUY,ugupCCzmJf,XTH,426.02 
[61515] QUOTE,ugupCCzmJf,TTV 
[61574] SET_BUY_TRIGGER,ugupCCzmJf,ARP,146.94 
[61736] SET_BUY_AMOUNT,ugupCCzmJf,CEC,139.57 
[61741] SET_BUY_TRIGGER,ugupCCzmJf,QTH,110.60 
[61772] ADD,ugupCCzmJf,69887.67 
[61811] QUOTE,ugupCCzmJf,GPC 
[62012] BUY,ugupCCzmJf,JIO,669.87 
[62021] COMMIT_BUY,ugupCCzmJf 
[62042] CANCEL_SET_SELL,ugupCCzmJf,OYS 
[62156] BUY,ugupCCzmJf,TWJ,492.82 
[62242] SET_BUY_TRIGGER,ugupCCzmJf,VMT,133.91 
[62286] SET_SELL_TRIGGER,ugupCCzmJf,HGG,161.80 
[62319] DISPLAY_SUMMARY,ugupCCzmJf 
[62744] QUOTE,ugupCCzmJf,WAO 
[62802] BUY,ugupCCzmJf,ZMS,75.57 
[63097] CANCEL_BUY,ugupCCzmJf 
[63145] SET_SELL_AMOUNT,ugupCCzmJf,YDS,235.96 
[63188] SET_SELL_TRIGGER,ugupCCzmJf,YDS,207.56 
[63242] DISPLAY_SUMMARY,ugupCCzmJf 
[63361] SELL,ugupCCzmJf,DFE,619.91 
[63396] COMMIT_SELL,ugupCCzmJf 
[63425] SELL,ugupCCzmJf,JRJ,157.37 
[63466] ADD,ugupCCzmJf,67094.41 
[63565] QUOTE,ugupCCzmJf,HZP 
[63606] BUY,ugupCCzmJf,HSH,237.73 
[63899] SELL,ugupCCzmJf,OEY,150.46 
[64551] COMMIT_SELL,ugupCCzmJf 
[64557] SET_BUY_TRIGGER,ugupCCzmJf,XDN,31.72 
[64754] DISPLAY_SUMMARY,ugupCCzmJf 
[64771] SET_BUY_TRIGGER,ugupCCzmJf,ZAM,183.37 
[64924] ADD,ugupCCzmJf,64870.23 
[64929] SET_SELL_AMOUNT,ugupCCzmJf,JCQ,623.67 
[65028] SET_SELL_TRIGGER,ugupCCzmJf,JCQ,535.13 
[65112] DISPLAY_SUMMARY,ugupCCzmJf 
[65157] ADD,ugupCCzmJf,57118.78 
[65166] DISPLAY_SUMMARY,ugupCCzmJf 
[65300] SET_BUY_AMOUNT,ugupCCzmJf,JZJ,485.55 
[65328] SET_BUY_TRIGGER,ugupCCzmJf,TSS,177.17 
[65451] SELL,ugupCCzmJf,EBS,166.97 
[65625] QUOTE,ugupCCzmJf,EJW 
[65854] SET_BUY_TRIGGER,ugupCCzmJf,JEA,27.65 
[66048] BUY,ugupCCzmJf,OEY,438.77 
[66176] COMMIT_BUY,ugupCCzmJf 
[66206] ADD,ugupCCzmJf,70951.93 
[66258] BUY,ugupCCzmJf,UHO,243.41 
[66321] COMMIT_BUY,ugupCCzmJf 
[66337] SET_SELL_AMOUNT,ugupCCzmJf,ZYR,43.85 
[66461] BUY,ugupCCzmJf,ZPD,642.78 
[66540] COMMIT_BUY,ugupCCzmJf 
[66729] QUOTE,ugupCCzmJf,ECX 
[66958] SET_BUY_TRIGGER,ugupCCzmJf,CXC,161.64 
[66974] ADD,ugupCCzmJf,71077.40 
[66977] BUY,ugupCCzmJf,HYX,318.93 
[67022] COMMIT_BUY,ugupCCzmJf 
[67029] SET_SELL_AMOUNT,ugupCCzmJf,CSZ,19.78 
[67151] SET_SELL_TRIGGER,ugupCCzmJf,CSZ,10.87 
[67282] SELL,ugupCCzmJf,LZV,693.58 
[67437] COMMIT_SELL,ugupCCzmJf 
[67495] ADD,ugupCCzmJf,90912.52 
[67514] SET_BUY_AMOUNT,ugupCCzmJf,CSZ,54.24 
[67715] SET_BUY_TRIGGER,ugupCCzmJf,LPR,48.62 
[67828] SET_SELL_TRIGGER,ugupCCzmJf,RVZ,104.04 
[67833] SET_BUY_AMOUNT,ugupCCzmJf,KBN,690.21 
[67848] SET_BUY_TRIGGER,ugupCCzmJf,VMD,652.53 
[67856] DISPLAY_SUMMARY,ugupCCzmJf 
[68081] BUY,ugupCCzmJf,BTA,259.34 
[68143] COMMIT_BUY,ugupCCzmJf 
[68208] CANCEL_SET_BUY,ugupCCzmJf,LHC 
[68275] COMMIT_SELL,ugupCCzmJf 
[68381] ADD,ugupCCzmJf,50315.66 
[68621] BUY,ugupCCzmJf,GDF,674.81 
[68670] COMMIT_BUY,ugupCCzmJf 
[68720] SET_SELL_AMOUNT,ugupCCzmJf,XQC,216.22 
[68747] SET_SELL_TRIGGER,ugupCCzmJf,XQC,10.73 
[68807] ADD,ugupCCzmJf,78132.38 
[68834] QUOTE,ugupCCzmJf,PBX 
[68845] BUY,ugupCCzmJf,GMS,512.98 
[69373] COMMIT_BUY,ugupCCzmJf 
[69456] CANCEL_SET_SELL,ugupCCzmJf,KDA 
[69479] ADD,ugupCCzmJf,69087.41 
[69788] DISPLAY_SUMMARY,ugupCCzmJf 
[69987] ADD,ugupCCzmJf,69385.34 
[70153] QUOTE,ugupCCzmJf,FPI 
[70249] CANCEL_BUY,ugupCCzmJf 
[70420] QUOTE,ugupCCzmJf,JII 
[70525] QUOTE,ugupCCzmJf,CCH 
[70622] DISPLAY_SUMMARY,ugupCCzmJf 
[70939] SELL,ugupCCzmJf,UTV,389.67 
[71232] COMMIT_SELL,ugupCCzmJf 
[71255] DISPLAY_SUMMARY,ugupCCzmJf 
[71352] COMMIT_SELL,ugupCCzmJf 
[71409] QUOTE,ugupCCzmJf,LNJ 
[71525] ADD,ugupCCzmJf,81552.64 
[71581] SET_SELL_AMOUNT,ugupCCzmJf,FDI,27.92 
[71682] QUOTE,ugupCCzmJf,POI 
[71763] CANCEL_SET_SELL,ugupCCzmJf,FDI 
[71769] BUY,ugupCCzmJf,FZU,719.36 
[71992] COMMIT_BUY,ugupCCzmJf 
[72037] SET_BUY_AMOUNT,ugupCCzmJf,UIE,216.29 
[72053] SET_BUY_TRIGGER,ugupCCzmJf,LTB,23.84 
[72174] SELL,ugupCCzmJf,SQI,641.33 
[72346] SET_SELL_AMOUNT,ugupCCzmJf,BCQ,462.21 
[72459] CANCEL_SET_SELL,ugupCCzmJf,BCQ 
[72498] DISPLAY_SUMMARY,ugupCCzmJf 
[72634] ADD,ugupCCzmJf,58152.49 
[72700] QUOTE,ugupCCzmJf,MER 
[72835] BUY,ugupCCzmJf,UMN,6.58 
[72850] CANCEL_SET_BUY,ugupCCzmJf,VBO 
[72900] SET_BUY_AMOUNT,ugupCCzmJf,GYF,721.30 
[72906] DISPLAY_SUMMARY,ugupCCzmJf 
[72956] SELL,ugupCCzmJf,MFX,744.00 
[73067] CANCEL_SELL,ugupCCzmJf 
[73140] BUY,ugupCCzmJf,ALG,241.16 
[73226] COMMIT_BUY,ugupCCzmJf 
[73312] SET_SELL_AMOUNT,ugupCCzmJf,UBJ,313.84 
[73338] SET_SELL_TRIGGER,ugupCCzmJf,UBJ,49.95 
[73384] ADD,ugupCCzmJf,66536.21 
[73476] BUY,ugupCCzmJf,QGL,214.29 
[73487] COMMIT_BUY,ugupCCzmJf 
[73554] ADD,ugupCCzmJf,62608.68 
[73754] SET_BUY_TRIGGER,ugupCCzmJf,CLQ,468.19 
[73773] COMMIT_SELL,ugupCCzmJf 
[74120] QUOTE,ugupCCzmJf,GTN 
[74429] BUY,ugupCCzmJf,RNE,422.25 
[74718] COMMIT_BUY,ugupCCzmJf 
[74922] DISPLAY_SUMMARY,ugupCCzmJf 
[75355] SET_BUY_AMOUNT,ugupCCzmJf,UTV,116.22 
[75643] SET_BUY_TRIGGER,ugupCCzmJf,WZM,21.75 
[75691] BUY,ugupCCzmJf,ATW,215.72 
[75744] COMMIT_BUY,ugupCCzmJf 
[75937] BUY,ugupCCzmJf,OZW,650.88 
[76020] COMMIT_BUY,ugupCCzmJf 
[76129] BUY,ugupCCzmJf,MRK,265.08 
[76230] COMMIT_BUY,ugupCCzmJf 
[76309] DISPLAY_SUMMARY,ugupCCzmJf 
[76354] DISPLAY_SUMMARY,ugupCCzmJf 
[76552] QUOTE,ugupCCzmJf,CBY 
[76771] BUY,ugupCCzmJf,PPW,143.90 
[77046] COMMIT_BUY,ugupCCzmJf 
[77123] ADD,ugupCCzmJf,71052.77 
[77192] BUY,ugupCCzmJf,DDH,117.48 
[77280] CANCEL_BUY,ugupCCzmJf 
[77349] BUY,ugupCCzmJf,BPE,300.20 
[77448] CANCEL_BUY,ugupCCzmJf 
[77508] SET_BUY_TRIGGER,ugupCCzmJf,ZGC,19.17 
[77629] SELL,ugupCCzmJf,RNK,685.14 
[77737] COMMIT_SELL,ugupCCzmJf 
[77786] ADD,ugupCCzmJf,83589.45 
[78041] QUOTE,ugupCCzmJf,ZEU 
[78085] BUY,ugupCCzmJf,RGM,41.43 
[78195] QUOTE,ugupCCzmJf,FTB 
[78227] BUY,ugupCCzmJf,SAR,111.09 
[78250] COMMIT_BUY,ugupCCzmJf 
[78277] SELL,ugupCCzmJf,GRM,511.74 
[78391] COMMIT_SELL,ugupCCzmJf 
[78475] SELL,ugupCCzmJf,KBN,194.01 
[78527] COMMIT_SELL,ugupCCzmJf 
[78623] SET_BUY_TRIGGER,ugupCCzmJf,GHL,143.14 
[78832] DISPLAY_SUMMARY,ugupCCzmJf 
[78910] SET_SELL_AMOUNT,ugupCCzmJf,BCQ,592.60 
[78929] SET_SELL_TRIGGER,ugupCCzmJf,BCQ,471.51 
[78951] CANCEL_SET_BUY,ugupCCzmJf,IOY 
[79007] SELL,ugupCCzmJf,OEY,441.86 
[79054] COMMIT_SELL,ugupCCzmJf 
[79104] COMMIT_SELL,ugupCCzmJf 
[79237] ADD,ugupCCzmJf,58323.74 
[79240] COMMIT_BUY,ugupCCzmJf 
[79339] ADD,ugupCCzmJf,70828.24 
[79350] BUY,ugupCCzmJf,BSZ,193.99 
[79666] QUOTE,ugupCCzmJf,QLM 
[80064] ADD,ugupCCzmJf,79350.82 
[80254] BUY,ugupCCzmJf,DWU,262.21 
[80342] COMMIT_SELL,ugupCCzmJf 
[80514] ADD,ugupCCzmJf,59143.90 
[80601] BUY,ugupCCzmJf,SPP,124.99 
[80607] QUOTE,ugupCCzmJf,GJR 
[80706] COMMIT_BUY,ugupCCzmJf 
[80733] BUY,ugupCCzmJf,IGI,169.18 
[80798] COMMIT_BUY,ugupCCzmJf 
[80823] QUOTE,ugupCCzmJf,WQC 
[80916] BUY,ugupCCzmJf,HZP,325.18 
[80996] COMMIT_BUY,ugupCCzmJf 
[81001] CANCEL_BUY,ugupCCzmJf 
[81030] ADD,ugupCCzmJf,73381.70 
[81162] BUY,ugupCCzmJf,DRO,381.27 
[81203] COMMIT_BUY,ugupCCzmJf 
[81328] DISPLAY_SUMMARY,ugupCCzmJf 
[81462] SET_SELL_TRIGGER,ugupCCzmJf,LLO,11.71 
[81514] BUY,ugupCCzmJf,JPD,148.45 
[81528] BUY,ugupCCzmJf,NTB,635.45 
[81674] COMMIT_BUY,ugupCCzmJf 
[81773] BUY,ugupCCzmJf,VOU,319.38 
[81780] COMMIT_BUY,ugupCCzmJf 
[81919] ADD,ugupCCzmJf,88217.67 
[82258] QUOTE,ugupCCzmJf,CTS 
[82322] SET_BUY_AMOUNT,ugupCCzmJf,JVT,232.03 
[82391] SET_BUY_TRIGGER,ugupCCzmJf,SQI,22.69 
[82454] SET_BUY_AMOUNT,ugupCCzmJf,IQJ,650.99 
[82472] SET_BUY_TRIGGER,ugupCCzmJf,CBO,152.32 
[82552] CANCEL_BUY,ugupCCzmJf 
[82608] ADD,ugupCCzmJf,68795.83 
[82662] BUY,ugupCCzmJf,SKV,162.42 
[82809] CANCEL_SET_BUY,ugupCCzmJf,TWJ 
[82945] SET_SELL_TRIGGER,ugupCCzmJf,IFC,181.47 
[83162] BUY,ugupCCzmJf,GNY,374.64 
[83190] COMMIT_BUY,ugupCCzmJf 
[83371] ADD,ugupCCzmJf,67215.63 
[83446] QUOTE,ugupCCzmJf,AOH 
[83647] BUY,ugupCCzmJf,AHE,429.11 
[84045] COMMIT_BUY,ugupCCzmJf 
[84204] SET_SELL_TRIGGER,ugupCCzmJf,AEM,147.45 
[84227] SET_SELL_AMOUNT,ugupCCzmJf,LZV,407.05 
[84544] DISPLAY_SUMMARY,ugupCCzmJf 
[84659] QUOTE,ugupCCzmJf,QGN 
[84667] QUOTE,ugupCCzmJf,WYO 
[84764] BUY,ugupCCzmJf,YTT,76.91 
[84983] CANCEL_BUY,ugupCCzmJf 
[85131] SET_SELL_TRIGGER,ugupCCzmJf,LZV,155.94 
[85230] DISPLAY_SUMMARY,ugupCCzmJf 
[85246] SET_SELL_TRIGGER,ugupCCzmJf,LUT,79.06 
[85435] CANCEL_SET_SELL,ugupCCzmJf,FFI 
[85437] QUOTE,ugupCCzmJf,MXN 
[85708] QUOTE,ugupCCzmJf,TCP 
[85790] COMMIT_BUY,ugupCCzmJf 
[85812] SET_BUY_AMOUNT,ugupCCzmJf,JZJ,264.14 
[85904] SET_BUY_TRIGGER,ugupCCzmJf,FKZ,228.12 
[86164] QUOTE,ugupCCzmJf,SAN 
[86235] BUY,ugupCCzmJf,PCR,600.95 
[86254] CANCEL_BUY,ugupCCzmJf 
[86356] CANCEL_SET_BUY,ugupCCzmJf,CBV 
[86410] BUY,ugupCCzmJf,SJZ,231.55 
[86458] COMMIT_BUY,ugupCCzmJf 
[86685] ADD,ugupCCzmJf,78236.86 
[86744] QUOTE,ugupCCzmJf,ROW 
[86808] QUOTE,ugupCCzmJf,ZUV 
[86821] SET_BUY_TRIGGER,ugupCCzmJf,ZNY,65.87 
[86828] DISPLAY_SUMMARY,ugupCCzmJf 
[86857] DISPLAY_SUMMARY,ugupCCzmJf 
[86982] COMMIT_BUY,ugupCCzmJf 
[87008] ADD,ugupCCzmJf,81626.67 
[87121] BUY,ugupCCzmJf,KZZ,46.77 
[87145] QUOTE,ugupCCzmJf,YGK 
[87186] QUOTE,ugupCCzmJf,KAR 
[87210] SET_BUY_AMOUNT,ugupCCzmJf,CEC,670.35 
[87253] QUOTE,ugupCCzmJf,OLI 
[87363] SET_BUY_AMOUNT,ugupCCzmJf,TKM,297.17 
[87437] SET_BUY_TRIGGER,ugupCCzmJf,URD,92.79 
[87585] SET_BUY_TRIGGER,ugupCCzmJf,TUO,113.83 
[87610] SELL,ugupCCzmJf,UTV,327.66 
[87838] CANCEL_SELL,ugupCCzmJf 
[88102] SELL,ugupCCzmJf,TKM,82.75 
[88262] COMMIT_SELL,ugupCCzmJf 
[88532] DISPLAY_SUMMARY,ugupCCzmJf 
[88682] SET_SELL_TRIGGER,ugupCCzmJf,IHA,138.38 
[88686] DISPLAY_SUMMARY,ugupCCzmJf 
[88716] SET_SELL_AMOUNT,ugupCCzmJf,XXQ,257.15 
[88797] SET_SELL_TRIGGER,ugupCCzmJf,XXQ,94.80 
[88810] SET_SELL_TRIGGER,ugupCCzmJf,DES,86.04 
[88981] DISPLAY_SUMMARY,ugupCCzmJf 
[89236] DISPLAY_SUMMARY,ugupCCzmJf 
[89283] DISPLAY_SUMMARY,ugupCCzmJf 
[89284] DISPLAY_SUMMARY,ugupCCzmJf 
[89327] ADD,ugupCCzmJf,86005.73 
[89335] QUOTE,ugupCCzmJf,GYF 
[89365] SET_BUY_TRIGGER,ugupCCzmJf,CVP,3.24 
[89423] SELL,ugupCCzmJf,NHG,8.72 
[89734] COMMIT_SELL,ugupCCzmJf 
[89794] DISPLAY_SUMMARY,ugupCCzmJf 
[89823] SET_BUY_TRIGGER,ugupCCzmJf,AVH,81.92 
[89924] SET_BUY_TRIGGER,ugupCCzmJf,ZTR,140.94 
[89959] DISPLAY_SUMMARY,ugupCCzmJf 
[89996] QUOTE,ugupCCzmJf,MLT 
[90024] DISPLAY_SUMMARY,ugupCCzmJf 
[90138] SET_SELL_TRIGGER,ugupCCzmJf,UMN,81.68 
[90143] SELL,ugupCCzmJf,JRJ,110.76 
[90148] COMMIT_SELL,ugupCCzmJf 
[90242] QUOTE,ugupCCzmJf,IOY 
[90267] DISPLAY_SUMMARY,ugupCCzmJf 
[90412] ADD,ugupCCzmJf,51119.36 
[90422] SET_BUY_TRIGGER,ugupCCzmJf,TUO,186.39 
[90425] DISPLAY_SUMMARY,ugupCCzmJf 
[90450] SET_BUY_TRIGGER,ugupCCzmJf,VVW,30.05 
[90611] ADD,ugupCCzmJf,75264.08 
[90613] BUY,ugupCCzmJf,WKT,105.85 
[90696] CANCEL_SET_BUY,ugupCCzmJf,XXT 
[90734] SELL,ugupCCzmJf,CBO,60.16 
[90784] DISPLAY_SUMMARY,ugupCCzmJf 
[91071] ADD,ugupCCzmJf,73425.10 
[91282] QUOTE,ugupCCzmJf,NFO 
[91346] BUY,ugupCCzmJf,PBV,647.94 
[91386] SET_SELL_TRIGGER,ugupCCzmJf,SNU,128.45 
[91577] ADD,ugupCCzmJf,68722.18 
[91869] BUY,ugupCCzmJf,HZA,331.99 
[91886] COMMIT_SELL,ugupCCzmJf 
[91904] SET_SELL_TRIGGER,ugupCCzmJf,FFI,6.45 
[92193] ADD,ugupCCzmJf,57032.23 
[92524] QUOTE,ugupCCzmJf,CIP 
[92531] SET_BUY_AMOUNT,ugupCCzmJf,SQI,534.09 
[92836] SET_BUY_TRIGGER,ugupCCzmJf,MLT,34.71 
[92903] SELL,ugupCCzmJf,JZJ,126.00 
[93061] SET_BUY_TRIGGER,ugupCCzmJf,MLT,186.85 
[93834] QUOTE,ugupCCzmJf,TCP 
[93841] ADD,ugupCCzmJf,57684.40 
[93878] QUOTE,ugupCCzmJf,WTD 
[93934] BUY,ugupCCzmJf,MLU,627.04 
[94067] COMMIT_BUY,ugupCCzmJf 
[94245] SET_BUY_AMOUNT,ugupCCzmJf,AVX,286.38 
[94258] SET_BUY_TRIGGER,ugupCCzmJf,FCM,75.44 
[94339] ADD,ugupCCzmJf,75454.48 
[94388] BUY,ugupCCzmJf,BXH,88.20 
[94526] COMMIT_BUY,ugupCCzmJf 
[94682] SET_BUY_AMOUNT,ugupCCzmJf,TVI,60.88 
[94748] CANCEL_SET_BUY,ugupCCzmJf,BSZ 
[94878] SET_BUY_TRIGGER,ugupCCzmJf,UUJ,199.21 
[95070] BUY,ugupCCzmJf,BFB,410.18 
[95148] COMMIT_BUY,ugupCCzmJf 
[95279] QUOTE,ugupCCzmJf,BEG 
[95313] SET_BUY_AMOUNT,ugupCCzmJf,RUN,404.79 
[95351] SET_BUY_TRIGGER,ugupCCzmJf,MZT,130.54 
[95373] SELL,ugupCCzmJf,BYA,142.81 
[95578] COMMIT_SELL,ugupCCzmJf 
[95651] SET_BUY_TRIGGER,ugupCCzmJf,WJP,95.60 
[95664] ADD,ugupCCzmJf,55679.76 
[95714] QUOTE,ugupCCzmJf,WAI 
[95742] QUOTE,ugupCCzmJf,MAX 
[95823] ADD,ugupCCzmJf,87150.74 
[95996] BUY,ugupCCzmJf,XUH,469.15 
[96191] ADD,ugupCCzmJf,78682.29 
[96422] QUOTE,ugupCCzmJf,DWF 
[96711] BUY,ugupCCzmJf,LBC,442.97 
[96793] BUY,ugupCCzmJf,TFZ,516.57 
[96914] COMMIT_BUY,ugupCCzmJf 
[97004] SET_SELL_TRIGGER,ugupCCzmJf,FZU,67.51 
[97011] ADD,ugupCCzmJf,54821.78 
[97131] CANCEL_SELL,ugupCCzmJf 
[97335] SET_SELL_TRIGGER,ugupCCzmJf,WTL,81.63 
[97418] QUOTE,ugupCCzmJf,VQA 
[97451] BUY,ugupCCzmJf,VOU,628.63 
[97596] COMMIT_BUY,ugupCCzmJf 
[97696] DISPLAY_SUMMARY,ugupCCzmJf 
[97728] SET_SELL_AMOUNT,ugupCCzmJf,TKM,14.55 
[97979] CANCEL_SET_SELL,ugupCCzmJf,TKM 
[98092] DISPLAY_SUMMARY,ugupCCzmJf 
[98107] DISPLAY_SUMMARY,ugupCCzmJf 
[98192] BUY,ugupCCzmJf,EDW,418.97 
[98197] COMMIT_BUY,ugupCCzmJf 
[98287] DISPLAY_SUMMARY,ugupCCzmJf 
[98292] SET_SELL_AMOUNT,ugupCCzmJf,XLK,551.19 
[98361] SET_SELL_TRIGGER,ugupCCzmJf,XLK,47.22 
[98375] SELL,ugupCCzmJf,HFS,353.71 
[98433] COMMIT_SELL,ugupCCzmJf 
[98454] SET_BUY_AMOUNT,ugupCCzmJf,CSZ,506.03 
[98913] SET_BUY_TRIGGER,ugupCCzmJf,VVV,230.66 
[99144] SET_SELL_TRIGGER,ugupCCzmJf,HEK,131.02 
[99230] DISPLAY_SUMMARY,ugupCCzmJf 
[99362] ADD,ugupCCzmJf,60759.31 
[99514] QUOTE,ugupCCzmJf,FYR 
[99518] QUOTE,ugupCCzmJf,HDR 
[99597] BUY,ugupCCzmJf,PUC,368.28 
[99635] SET_BUY_TRIGGER,ugupCCzmJf,GLJ,149.32 
[99788] SET_SELL_TRIGGER,ugupCCzmJf,FPP,129.97 
[99825] SET_SELL_AMOUNT,ugupCCzmJf,HFS,601.23 
[99901] SET_SELL_TRIGGER,ugupCCzmJf,HFS,444.22 
[99948] DISPLAY_SUMMARY,ugupCCzmJf 
