[36] ADD,LtO7mQU2OX,64705.92 
[46200] SET_SELL_TRIGGER,LtO7mQU2OX,VMK,39.92 
[46261] ADD,LtO7mQU2OX,70039.64 
[46332] QUOTE,LtO7mQU2OX,MSV 
[46345] BUY,LtO7mQU2OX,CCH,382.65 
[46359] QUOTE,LtO7mQU2OX,HRJ 
[46834] SET_BUY_AMOUNT,LtO7mQU2OX,ZAN,396.90 
[47082] SET_BUY_TRIGGER,LtO7mQU2OX,IFQ,27.28 
[47241] QUOTE,LtO7mQU2OX,CBV 
[47242] SELL,LtO7mQU2OX,KES,7.21 
[47281] COMMIT_SELL,LtO7mQU2OX 
[47373] DISPLAY_SUMMARY,LtO7mQU2OX 
[47395] ADD,LtO7mQU2OX,70463.23 
[47476] SET_BUY_TRIGGER,LtO7mQU2OX,XDN,171.65 
[47490] SET_BUY_AMOUNT,LtO7mQU2OX,KES,476.51 
[47503] CANCEL_SET_BUY,LtO7mQU2OX,TAR 
[47750] ADD,LtO7mQU2OX,66298.11 
[47958] BUY,LtO7mQU2OX,DGA,270.82 
[48093] BUY,LtO7mQU2OX,ZPD,63.74 
[48154] COMMIT_BUY,LtO7mQU2OX 
[48189] BUY,LtO7mQU2OX,ZWC,166.66 
[48330] COMMIT_BUY,LtO7mQU2OX 
[48595] COMMIT_BUY,LtO7mQU2OX 
[48622] ADD,LtO7mQU2OX,76524.18 
[48691] BUY,LtO7mQU2OX,KAH,1.86 
[48701] SET_SELL_AMOUNT,LtO7mQU2OX,ZAN,214.49 
[48713] SET_SELL_TRIGGER,LtO7mQU2OX,ZAN,84.26 
[48935] BUY,LtO7mQU2OX,BZX,539.60 
[48971] SET_BUY_AMOUNT,LtO7mQU2OX,XXQ,265.24 
[49066] SET_BUY_TRIGGER,LtO7mQU2OX,STT,200.49 
[49318] SET_SELL_AMOUNT,LtO7mQU2OX,JQO,372.09 
[49613] SET_SELL_TRIGGER,LtO7mQU2OX,JQO,170.82 
[49636] BUY,LtO7mQU2OX,LRS,262.66 
[49755] CANCEL_SELL,LtO7mQU2OX 
[49787] SET_SELL_TRIGGER,LtO7mQU2OX,IQJ,90.63 
[50320] ADD,LtO7mQU2OX,83394.64 
[50372] COMMIT_SELL,LtO7mQU2OX 
[50408] CANCEL_SET_SELL,LtO7mQU2OX,NAW 
[50492] QUOTE,LtO7mQU2OX,PUN 
[50663] BUY,LtO7mQU2OX,FLY,198.08 
[50710] SELL,LtO7mQU2OX,SSF,186.60 
[50746] SET_SELL_TRIGGER,LtO7mQU2OX,TVP,3.90 
[50807] SET_BUY_AMOUNT,LtO7mQU2OX,GRM,400.01 
[50867] SET_BUY_TRIGGER,LtO7mQU2OX,OFP,258.73 
[50881] SELL,LtO7mQU2OX,RNK,214.10 
[50981] CANCEL_SELL,LtO7mQU2OX 
[50986] CANCEL_SET_SELL,LtO7mQU2OX,ISQ 
[51119] SET_BUY_TRIGGER,LtO7mQU2OX,GLO,106.27 
[51290] DISPLAY_SUMMARY,LtO7mQU2OX 
[51515] ADD,LtO7mQU2OX,72986.56 
[51540] SET_BUY_TRIGGER,LtO7mQU2OX,XAN,125.19 
[51894] SET_SELL_TRIGGER,LtO7mQU2OX,WCR,50.06 
[51918] SET_SELL_TRIGGER,LtO7mQU2OX,JZJ,83.80 
[51939] DISPLAY_SUMMARY,LtO7mQU2OX 
[51972] DISPLAY_SUMMARY,LtO7mQU2OX 
[51989] DISPLAY_SUMMARY,LtO7mQU2OX 
[52079] SET_SELL_TRIGGER,LtO7mQU2OX,TQX,23.58 
[52089] QUOTE,LtO7mQU2OX,VZB 
[52391] ADD,LtO7mQU2OX,54082.67 
[52413] BUY,LtO7mQU2OX,NUV,571.34 
[52491] COMMIT_BUY,LtO7mQU2OX 
[52519] DISPLAY_SUMMARY,LtO7mQU2OX 
[52676] SET_SELL_AMOUNT,LtO7mQU2OX,EBS,407.93 
[52711] DISPLAY_SUMMARY,LtO7mQU2OX 
[52806] ADD,LtO7mQU2OX,50711.78 
[52835] BUY,LtO7mQU2OX,AJX,257.50 
[52947] COMMIT_BUY,LtO7mQU2OX 
[53104] SET_SELL_AMOUNT,LtO7mQU2OX,SSF,524.48 
[53236] DISPLAY_SUMMARY,LtO7mQU2OX 
[53264] DISPLAY_SUMMARY,LtO7mQU2OX 
[53429] SET_SELL_AMOUNT,LtO7mQU2OX,PTP,494.16 
[53494] QUOTE,LtO7mQU2OX,CBQ 
[53743] DISPLAY_SUMMARY,LtO7mQU2OX 
[53771] ADD,LtO7mQU2OX,64185.66 
[53862] CANCEL_BUY,LtO7mQU2OX 
[54014] ADD,LtO7mQU2OX,91288.20 
[54296] BUY,LtO7mQU2OX,JDO,650.42 
[54298] DISPLAY_SUMMARY,LtO7mQU2OX 
[54370] SET_BUY_TRIGGER,LtO7mQU2OX,MER,190.03 
[54381] ADD,LtO7mQU2OX,76613.53 
[54420] QUOTE,LtO7mQU2OX,VTY 
[54607] BUY,LtO7mQU2OX,UDM,625.35 
[54769] COMMIT_BUY,LtO7mQU2OX 
[54823] DISPLAY_SUMMARY,LtO7mQU2OX 
[54914] QUOTE,LtO7mQU2OX,YUR 
[55210] QUOTE,LtO7mQU2OX,HTN 
[55269] BUY,LtO7mQU2OX,QNW,445.84 
[55606] CANCEL_BUY,LtO7mQU2OX 
[55611] SET_SELL_AMOUNT,LtO7mQU2OX,RNK,561.97 
[55644] DISPLAY_SUMMARY,LtO7mQU2OX 
[55649] ADD,LtO7mQU2OX,56944.36 
[55796] BUY,LtO7mQU2OX,PXY,711.57 
[56058] COMMIT_BUY,LtO7mQU2OX 
[56142] SET_BUY_TRIGGER,LtO7mQU2OX,AQO,179.15 
[56233] SELL,LtO7mQU2OX,JQO,6.63 
[56290] COMMIT_SELL,LtO7mQU2OX 
[56370] BUY,LtO7mQU2OX,OZO,31.48 
[56373] CANCEL_SET_SELL,LtO7mQU2OX,RNK 
[56459] SET_SELL_AMOUNT,LtO7mQU2OX,BYA,213.87 
[56558] SET_SELL_TRIGGER,LtO7mQU2OX,BYA,68.60 
[56723] ADD,LtO7mQU2OX,108096.68 
[56960] BUY,LtO7mQU2OX,YMG,566.11 
[57134] COMMIT_BUY,LtO7mQU2OX 
[57179] SET_BUY_TRIGGER,LtO7mQU2OX,OOI,101.63 
[57283] ADD,LtO7mQU2OX,60363.99 
[57287] QUOTE,LtO7mQU2OX,ZOT 
[57417] DISPLAY_SUMMARY,LtO7mQU2OX 
[57519] SET_SELL_AMOUNT,LtO7mQU2OX,JQO,347.05 
[57650] SET_SELL_TRIGGER,LtO7mQU2OX,JQO,295.99 
[57667] SET_SELL_TRIGGER,LtO7mQU2OX,UFX,51.19 
[57806] QUOTE,LtO7mQU2OX,WOJ 
[57808] QUOTE,LtO7mQU2OX,CDF 
[57930] BUY,LtO7mQU2OX,ELQ,692.16 
[57951] COMMIT_BUY,LtO7mQU2OX 
[57968] SET_SELL_AMOUNT,LtO7mQU2OX,NHG,28.23 
[58046] SET_SELL_TRIGGER,LtO7mQU2OX,NHG,8.95 
[58154] CANCEL_SET_SELL,LtO7mQU2OX,WTL 
[58338] CANCEL_SET_SELL,LtO7mQU2OX,DIX 
[58434] ADD,LtO7mQU2OX,85152.84 
[58631] BUY,LtO7mQU2OX,SAJ,141.22 
[58637] SELL,LtO7mQU2OX,SSF,259.11 
[58672] COMMIT_SELL,LtO7mQU2OX 
[58692] ADD,LtO7mQU2OX,98972.74 
[58697] QUOTE,LtO7mQU2OX,XXQ 
[58788] SET_BUY_TRIGGER,LtO7mQU2OX,RQF,122.25 
[59058] SELL,LtO7mQU2OX,UIE,527.09 
[59112] CANCEL_SELL,LtO7mQU2OX 
[59291] SELL,LtO7mQU2OX,AVX,36.44 
[59536] BUY,LtO7mQU2OX,IAV,438.29 
[59551] BUY,LtO7mQU2OX,FTP,264.26 
[59741] CANCEL_BUY,LtO7mQU2OX 
[59894] QUOTE,LtO7mQU2OX,JOJ 
[59975] SET_BUY_AMOUNT,LtO7mQU2OX,ZYR,12.27 
[59992] SET_BUY_TRIGGER,LtO7mQU2OX,CEC,3.54 
[60085] SET_BUY_TRIGGER,LtO7mQU2OX,GMS,86.72 
[60249] BUY,LtO7mQU2OX,UMV,532.48 
[60287] COMMIT_BUY,LtO7mQU2OX 
[60434] ADD,LtO7mQU2OX,79638.75 
[60455] QUOTE,LtO7mQU2OX,DPG 
[60501] ADD,LtO7mQU2OX,78349.32 
[60619] QUOTE,LtO7mQU2OX,SDL 
[60681] BUY,LtO7mQU2OX,WYA,211.38 
[60733] ADD,LtO7mQU2OX,67033.40 
[60754] BUY,LtO7mQU2OX,FVA,283.34 
[60769] SET_SELL_AMOUNT,LtO7mQU2OX,CSZ,510.27 
[60833] SET_SELL_TRIGGER,LtO7mQU2OX,CSZ,51.69 
[61012] ADD,LtO7mQU2OX,75284.76 
[61106] QUOTE,LtO7mQU2OX,PXF 
[61314] ADD,LtO7mQU2OX,61873.97 
[61543] QUOTE,LtO7mQU2OX,GGY 
[61573] ADD,LtO7mQU2OX,94158.13 
[61758] QUOTE,LtO7mQU2OX,JNO 
[62476] QUOTE,LtO7mQU2OX,XLV 
[62615] ADD,LtO7mQU2OX,89388.41 
[62633] SET_BUY_TRIGGER,LtO7mQU2OX,NJF,82.88 
[62680] SELL,LtO7mQU2OX,BYA,271.70 
[62808] QUOTE,LtO7mQU2OX,EEG 
[62984] SELL,LtO7mQU2OX,GYF,350.13 
[63003] COMMIT_SELL,LtO7mQU2OX 
[63038] ADD,LtO7mQU2OX,93752.15 
[63055] QUOTE,LtO7mQU2OX,MIR 
[63063] BUY,LtO7mQU2OX,CXC,515.37 
[63356] COMMIT_SELL,LtO7mQU2OX 
[63359] SET_BUY_TRIGGER,LtO7mQU2OX,SDW,126.63 
[63364] SET_BUY_AMOUNT,LtO7mQU2OX,UBJ,746.42 
[63372] SET_BUY_TRIGGER,LtO7mQU2OX,SVV,353.42 
[63382] SET_BUY_TRIGGER,LtO7mQU2OX,MFY,30.97 
[63492] DISPLAY_SUMMARY,LtO7mQU2OX 
[63620] SELL,LtO7mQU2OX,AVX,200.62 
[63674] CANCEL_SELL,LtO7mQU2OX 
[63783] DISPLAY_SUMMARY,LtO7mQU2OX 
[63832] SET_BUY_TRIGGER,LtO7mQU2OX,FPV,128.65 
[63988] QUOTE,LtO7mQU2OX,JCL 
[64155] BUY,LtO7mQU2OX,JOJ,658.08 
[64281] COMMIT_BUY,LtO7mQU2OX 
[64440] BUY,LtO7mQU2OX,ZYR,553.75 
[64460] COMMIT_BUY,LtO7mQU2OX 
[64490] SET_BUY_TRIGGER,LtO7mQU2OX,ZGR,62.61 
[64635] ADD,LtO7mQU2OX,100952.41 
[64749] QUOTE,LtO7mQU2OX,OEN 
[64778] BUY,LtO7mQU2OX,UGG,167.79 
[64797] COMMIT_BUY,LtO7mQU2OX 
[64804] SELL,LtO7mQU2OX,QJZ,590.01 
[64906] SET_BUY_TRIGGER,LtO7mQU2OX,XBE,40.91 
[64971] SET_SELL_TRIGGER,LtO7mQU2OX,KZZ,181.28 
[65117] SET_BUY_AMOUNT,LtO7mQU2OX,QJZ,256.02 
[65379] SET_BUY_TRIGGER,LtO7mQU2OX,ZFK,56.84 
[65398] CANCEL_SELL,LtO7mQU2OX 
[65592] SET_SELL_AMOUNT,LtO7mQU2OX,RNK,526.12 
[65628] SET_SELL_TRIGGER,LtO7mQU2OX,RNK,187.56 
[65666] ADD,LtO7mQU2OX,94386.82 
[65899] QUOTE,LtO7mQU2OX,UCG 
[65941] ADD,LtO7mQU2OX,66186.99 
[66032] ADD,LtO7mQU2OX,80278.52 
[66147] QUOTE,LtO7mQU2OX,ZLY 
[66293] SET_SELL_TRIGGER,LtO7mQU2OX,OZT,160.21 
[66346] BUY,LtO7mQU2OX,TSU,678.29 
[66370] SET_SELL_AMOUNT,LtO7mQU2OX,JCQ,658.42 
[66470] SET_SELL_TRIGGER,LtO7mQU2OX,JCQ,33.24 
[66509] BUY,LtO7mQU2OX,MVY,698.05 
[66599] SET_BUY_TRIGGER,LtO7mQU2OX,IUN,150.27 
[66742] SET_BUY_TRIGGER,LtO7mQU2OX,CBK,127.03 
[66786] DISPLAY_SUMMARY,LtO7mQU2OX 
[66790] SET_SELL_TRIGGER,LtO7mQU2OX,AJL,164.80 
[66831] ADD,LtO7mQU2OX,61214.92 
[66883] SET_SELL_TRIGGER,LtO7mQU2OX,PZE,5.13 
[66914] BUY,LtO7mQU2OX,OIV,319.58 
[67089] COMMIT_BUY,LtO7mQU2OX 
[67174] CANCEL_SELL,LtO7mQU2OX 
[67181] SELL,LtO7mQU2OX,VTY,686.02 
[67243] COMMIT_SELL,LtO7mQU2OX 
[67346] SET_SELL_TRIGGER,LtO7mQU2OX,XUH,152.32 
[67369] ADD,LtO7mQU2OX,48249.74 
[67529] BUY,LtO7mQU2OX,GYT,687.64 
[67836] COMMIT_BUY,LtO7mQU2OX 
[68015] ADD,LtO7mQU2OX,87591.46 
[68071] BUY,LtO7mQU2OX,KQZ,434.46 
[68260] COMMIT_BUY,LtO7mQU2OX 
[68276] SELL,LtO7mQU2OX,RGH,603.98 
[68368] COMMIT_SELL,LtO7mQU2OX 
[68567] SET_SELL_TRIGGER,LtO7mQU2OX,WHR,46.73 
[68840] QUOTE,LtO7mQU2OX,DBT 
[68841] ADD,LtO7mQU2OX,74441.70 
[68901] QUOTE,LtO7mQU2OX,CTT 
[69104] CANCEL_SET_BUY,LtO7mQU2OX,LQN 
[69263] ADD,LtO7mQU2OX,57829.85 
[69370] BUY,LtO7mQU2OX,NXU,478.76 
[69545] COMMIT_BUY,LtO7mQU2OX 
[69646] SET_SELL_AMOUNT,LtO7mQU2OX,KDA,476.99 
[69955] SET_SELL_TRIGGER,LtO7mQU2OX,KDA,238.60 
[70008] BUY,LtO7mQU2OX,TVP,130.82 
[70211] CANCEL_SELL,LtO7mQU2OX 
[70285] SET_SELL_TRIGGER,LtO7mQU2OX,CNN,43.40 
[70338] SET_BUY_TRIGGER,LtO7mQU2OX,MXN,182.95 
[70360] CANCEL_BUY,LtO7mQU2OX 
[70370] SELL,LtO7mQU2OX,VTY,646.38 
[70423] COMMIT_SELL,LtO7mQU2OX 
[70476] QUOTE,LtO7mQU2OX,LAW 
[70510] CANCEL_SET_SELL,LtO7mQU2OX,XAN 
[70546] ADD,LtO7mQU2OX,82907.32 
[70744] SELL,LtO7mQU2OX,MFX,140.98 
[70784] DISPLAY_SUMMARY,LtO7mQU2OX 
[70933] DISPLAY_SUMMARY,LtO7mQU2OX 
[71048] BUY,LtO7mQU2OX,QPZ,355.06 
[71338] COMMIT_BUY,LtO7mQU2OX 
[71506] CANCEL_SET_BUY,LtO7mQU2OX,WXV 
[71662] DISPLAY_SUMMARY,LtO7mQU2OX 
[71755] SET_BUY_AMOUNT,LtO7mQU2OX,OEY,426.17 
[71861] SET_BUY_TRIGGER,LtO7mQU2OX,IIX,179.35 
[71910] SET_BUY_TRIGGER,LtO7mQU2OX,TSF,149.69 
[72079] SET_BUY_TRIGGER,LtO7mQU2OX,ZNL,93.01 
[72098] SELL,LtO7mQU2OX,UIE,142.44 
[72117] DISPLAY_SUMMARY,LtO7mQU2OX 
[72131] ADD,LtO7mQU2OX,62239.41 
[72192] SELL,LtO7mQU2OX,QAX,353.31 
[72263] COMMIT_SELL,LtO7mQU2OX 
[72389] SELL,LtO7mQU2OX,YDS,188.08 
[72398] COMMIT_SELL,LtO7mQU2OX 
[72433] ADD,LtO7mQU2OX,72494.08 
[72478] BUY,LtO7mQU2OX,YCH,550.89 
[72704] CANCEL_SET_BUY,LtO7mQU2OX,GLO 
[72760] SET_SELL_TRIGGER,LtO7mQU2OX,IIX,11.79 
[72807] SELL,LtO7mQU2OX,UTV,306.35 
[72859] SET_SELL_TRIGGER,LtO7mQU2OX,HSH,177.17 
[72872] ADD,LtO7mQU2OX,54625.31 
[72874] QUOTE,LtO7mQU2OX,QVA 
[72922] SET_BUY_AMOUNT,LtO7mQU2OX,QGE,695.53 
[73088] BUY,LtO7mQU2OX,GRD,375.49 
[73130] COMMIT_BUY,LtO7mQU2OX 
[73171] QUOTE,LtO7mQU2OX,IKK 
[73351] COMMIT_BUY,LtO7mQU2OX 
[73473] BUY,LtO7mQU2OX,JFF,485.60 
[73490] CANCEL_BUY,LtO7mQU2OX 
[73500] SET_SELL_AMOUNT,LtO7mQU2OX,OEY,523.41 
[73584] SET_SELL_TRIGGER,LtO7mQU2OX,OEY,486.21 
[73631] QUOTE,LtO7mQU2OX,FIY 
[73701] BUY,LtO7mQU2OX,QOD,68.66 
[73704] SET_SELL_TRIGGER,LtO7mQU2OX,YAZ,168.98 
[73807] DISPLAY_SUMMARY,LtO7mQU2OX 
[73898] SET_BUY_AMOUNT,LtO7mQU2OX,CSZ,114.88 
[73963] SET_BUY_TRIGGER,LtO7mQU2OX,FLD,32.64 
[74101] SET_SELL_TRIGGER,LtO7mQU2OX,OSA,103.55 
[74517] SET_BUY_TRIGGER,LtO7mQU2OX,OOT,117.25 
[74617] BUY,LtO7mQU2OX,VOY,104.13 
[74650] DISPLAY_SUMMARY,LtO7mQU2OX 
[74819] ADD,LtO7mQU2OX,56704.21 
[74953] BUY,LtO7mQU2OX,CXB,47.37 
[74984] COMMIT_BUY,LtO7mQU2OX 
[75013] SELL,LtO7mQU2OX,MXD,436.81 
[75362] CANCEL_BUY,LtO7mQU2OX 
[75529] SET_BUY_AMOUNT,LtO7mQU2OX,RGH,527.44 
[75544] SET_BUY_TRIGGER,LtO7mQU2OX,MIQ,519.83 
[76029] BUY,LtO7mQU2OX,IZU,94.58 
[76320] DISPLAY_SUMMARY,LtO7mQU2OX 
[76673] BUY,LtO7mQU2OX,BWR,235.37 
[76998] COMMIT_BUY,LtO7mQU2OX 
[77033] QUOTE,LtO7mQU2OX,YTO 
[77072] QUOTE,LtO7mQU2OX,IQJ 
[77301] BUY,LtO7mQU2OX,ZOZ,306.49 
[77325] COMMIT_BUY,LtO7mQU2OX 
[77350] SET_SELL_AMOUNT,LtO7mQU2OX,RNK,334.94 
[77503] SET_SELL_TRIGGER,LtO7mQU2OX,RNK,316.97 
[77566] SET_BUY_TRIGGER,LtO7mQU2OX,VTY,111.04 
[77620] SELL,LtO7mQU2OX,JVT,505.58 
[77635] CANCEL_BUY,LtO7mQU2OX 
[77900] BUY,LtO7mQU2OX,JVE,667.77 
[77928] COMMIT_BUY,LtO7mQU2OX 
[77953] SET_SELL_TRIGGER,LtO7mQU2OX,BTD,5.25 
[78267] ADD,LtO7mQU2OX,87854.05 
[78275] BUY,LtO7mQU2OX,RQF,511.44 
[78295] QUOTE,LtO7mQU2OX,SPT 
[78342] QUOTE,LtO7mQU2OX,OYS 
[78542] COMMIT_SELL,LtO7mQU2OX 
[78566] SELL,LtO7mQU2OX,RNK,209.38 
[78581] CANCEL_SET_BUY,LtO7mQU2OX,RVU 
[78631] ADD,LtO7mQU2OX,49295.49 
[78698] QUOTE,LtO7mQU2OX,NFL 
[78888] DISPLAY_SUMMARY,LtO7mQU2OX 
[78940] SET_BUY_TRIGGER,LtO7mQU2OX,ADY,73.16 
[79048] SET_SELL_TRIGGER,LtO7mQU2OX,OYS,28.92 
[79073] ADD,LtO7mQU2OX,66996.67 
[79332] QUOTE,LtO7mQU2OX,PXX 
[79348] BUY,LtO7mQU2OX,FRB,12.29 
[79646] CANCEL_BUY,LtO7mQU2OX 
[79689] QUOTE,LtO7mQU2OX,XXT 
[79839] SET_BUY_TRIGGER,LtO7mQU2OX,MIU,194.93 
[79867] COMMIT_SELL,LtO7mQU2OX 
[79930] SELL,LtO7mQU2OX,VTY,649.99 
[79989] COMMIT_BUY,LtO7mQU2OX 
[80051] ADD,LtO7mQU2OX,67351.01 
[80061] BUY,LtO7mQU2OX,LZV,0.67 
[80278] DISPLAY_SUMMARY,LtO7mQU2OX 
[80294] ADD,LtO7mQU2OX,84570.48 
[80605] QUOTE,LtO7mQU2OX,KJD 
[80631] SET_BUY_AMOUNT,LtO7mQU2OX,TKM,543.82 
[80800] SET_BUY_TRIGGER,LtO7mQU2OX,JIO,414.82 
[80908] SET_BUY_AMOUNT,LtO7mQU2OX,DFE,598.05 
[81036] SET_BUY_TRIGGER,LtO7mQU2OX,NVX,72.31 
[81056] QUOTE,LtO7mQU2OX,EOY 
[81092] SELL,LtO7mQU2OX,QVK,70.46 
[81119] DISPLAY_SUMMARY,LtO7mQU2OX 
[81251] DISPLAY_SUMMARY,LtO7mQU2OX 
[81358] DISPLAY_SUMMARY,LtO7mQU2OX 
[81394] DISPLAY_SUMMARY,LtO7mQU2OX 
[81411] SELL,LtO7mQU2OX,XXQ,516.67 
[81597] SET_BUY_TRIGGER,LtO7mQU2OX,VNO,98.70 
[81633] DISPLAY_SUMMARY,LtO7mQU2OX 
[81640] ADD,LtO7mQU2OX,55906.23 
[81656] QUOTE,LtO7mQU2OX,RFI 
[81743] QUOTE,LtO7mQU2OX,IIX 
[82023] BUY,LtO7mQU2OX,KAR,274.45 
[82054] COMMIT_BUY,LtO7mQU2OX 
[82149] SELL,LtO7mQU2OX,EBS,215.26 
[82380] SET_BUY_AMOUNT,LtO7mQU2OX,JRJ,206.27 
[82389] SET_BUY_TRIGGER,LtO7mQU2OX,APY,121.85 
[82486] DISPLAY_SUMMARY,LtO7mQU2OX 
[82568] DISPLAY_SUMMARY,LtO7mQU2OX 
[82575] SELL,LtO7mQU2OX,UTV,561.78 
[82597] COMMIT_SELL,LtO7mQU2OX 
[82652] ADD,LtO7mQU2OX,75282.83 
[82901] CANCEL_SET_SELL,LtO7mQU2OX,ZTR 
[82919] SELL,LtO7mQU2OX,XXQ,32.10 
[82960] COMMIT_SELL,LtO7mQU2OX 
[83177] CANCEL_SET_BUY,LtO7mQU2OX,VQA 
[83221] CANCEL_SET_SELL,LtO7mQU2OX,BWL 
[83250] BUY,LtO7mQU2OX,RQT,400.60 
[83383] SET_BUY_TRIGGER,LtO7mQU2OX,MOM,164.93 
[83441] SELL,LtO7mQU2OX,VTY,76.90 
[83605] COMMIT_SELL,LtO7mQU2OX 
[83694] SET_BUY_TRIGGER,LtO7mQU2OX,ZPD,16.24 
[83943] SET_SELL_TRIGGER,LtO7mQU2OX,ZUV,69.16 
[83996] SET_BUY_AMOUNT,LtO7mQU2OX,SSF,696.54 
[84163] CANCEL_SET_BUY,LtO7mQU2OX,ZZN 
[84251] COMMIT_BUY,LtO7mQU2OX 
[84355] DISPLAY_SUMMARY,LtO7mQU2OX 
[84359] SET_BUY_AMOUNT,LtO7mQU2OX,SUS,487.97 
[84431] SET_BUY_TRIGGER,LtO7mQU2OX,TOL,49.89 
[84492] SELL,LtO7mQU2OX,SZI,531.38 
[84672] SET_BUY_AMOUNT,LtO7mQU2OX,OPN,298.50 
[84915] SET_BUY_TRIGGER,LtO7mQU2OX,SQI,68.49 
[85272] DISPLAY_SUMMARY,LtO7mQU2OX 
[85317] DISPLAY_SUMMARY,LtO7mQU2OX 
[85328] COMMIT_SELL,LtO7mQU2OX 
[85342] ADD,LtO7mQU2OX,57093.80 
[85444] BUY,LtO7mQU2OX,FDI,372.52 
[85458] CANCEL_BUY,LtO7mQU2OX 
[85631] QUOTE,LtO7mQU2OX,CGW 
[85640] ADD,LtO7mQU2OX,73578.50 
[85696] QUOTE,LtO7mQU2OX,JQJ 
[85774] BUY,LtO7mQU2OX,UJC,49.83 
[85977] SET_SELL_AMOUNT,LtO7mQU2OX,TKM,525.70 
[86153] SET_SELL_TRIGGER,LtO7mQU2OX,TKM,176.48 
[86165] ADD,LtO7mQU2OX,83206.56 
[86174] QUOTE,LtO7mQU2OX,BPE 
[86271] BUY,LtO7mQU2OX,XXN,177.49 
[86281] COMMIT_BUY,LtO7mQU2OX 
[86333] BUY,LtO7mQU2OX,NDD,411.21 
[86605] COMMIT_BUY,LtO7mQU2OX 
[86614] ADD,LtO7mQU2OX,78803.39 
[86619] COMMIT_SELL,LtO7mQU2OX 
[86656] COMMIT_SELL,LtO7mQU2OX 
[86770] ADD,LtO7mQU2OX,90990.96 
[86850] QUOTE,LtO7mQU2OX,WZM 
[87076] BUY,LtO7mQU2OX,RQT,351.48 
[87119] COMMIT_BUY,LtO7mQU2OX 
[87122] BUY,LtO7mQU2OX,DBS,45.30 
[87147] CANCEL_SET_BUY,LtO7mQU2OX,IFN 
[87301] SET_SELL_TRIGGER,LtO7mQU2OX,FDI,130.73 
[87320] BUY,LtO7mQU2OX,ALG,459.99 
[87327] SELL,LtO7mQU2OX,QPR,186.67 
[87545] SET_BUY_AMOUNT,LtO7mQU2OX,RGH,307.15 
[87740] SET_BUY_TRIGGER,LtO7mQU2OX,IRQ,288.80 
[87846] SET_SELL_AMOUNT,LtO7mQU2OX,CUZ,56.67 
[88142] CANCEL_SET_SELL,LtO7mQU2OX,CUZ 
[88281] DISPLAY_SUMMARY,LtO7mQU2OX 
[88612] DISPLAY_SUMMARY,LtO7mQU2OX 
[88633] SELL,LtO7mQU2OX,EBS,367.11 
[88644] SET_BUY_TRIGGER,LtO7mQU2OX,WRN,36.73 
[88662] CANCEL_SET_SELL,LtO7mQU2OX,NVN 
[88734] DISPLAY_SUMMARY,LtO7mQU2OX 
[88768] SET_BUY_AMOUNT,LtO7mQU2OX,LFU,451.76 
[88801] SET_BUY_TRIGGER,LtO7mQU2OX,FUF,228.75 
[88817] SET_BUY_TRIGGER,LtO7mQU2OX,UBJ,139.61 
[88999] CANCEL_SET_BUY,LtO7mQU2OX,TFZ 
[89105] SELL,LtO7mQU2OX,DFE,692.13 
[89193] SET_BUY_TRIGGER,LtO7mQU2OX,LUT,147.76 
[89328] DISPLAY_SUMMARY,LtO7mQU2OX 
[89336] ADD,LtO7mQU2OX,49914.72 
[89397] SET_BUY_TRIGGER,LtO7mQU2OX,HHG,114.95 
[89493] BUY,LtO7mQU2OX,PJW,35.64 
[89587] COMMIT_BUY,LtO7mQU2OX 
[89664] QUOTE,LtO7mQU2OX,JGY 
[90016] BUY,LtO7mQU2OX,NSN,214.78 
[90105] SET_BUY_TRIGGER,LtO7mQU2OX,EIH,138.14 
[90340] ADD,LtO7mQU2OX,80134.75 
[90462] BUY,LtO7mQU2OX,RKQ,622.81 
[90870] COMMIT_BUY,LtO7mQU2OX 
[90905] QUOTE,LtO7mQU2OX,FYA 
[91065] SET_BUY_TRIGGER,LtO7mQU2OX,CBX,172.65 
[91224] ADD,LtO7mQU2OX,51054.85 
[91228] CANCEL_SELL,LtO7mQU2OX 
[91279] DISPLAY_SUMMARY,LtO7mQU2OX 
[91301] SET_SELL_TRIGGER,LtO7mQU2OX,RXB,82.30 
[91530] ADD,LtO7mQU2OX,41044.01 
[91598] BUY,LtO7mQU2OX,XTH,421.43 
[91601] CANCEL_SET_SELL,LtO7mQU2OX,WHR 
[91852] DISPLAY_SUMMARY,LtO7mQU2OX 
[92171] DISPLAY_SUMMARY,LtO7mQU2OX 
[92184] BUY,LtO7mQU2OX,SSL,580.28 
[92211] COMMIT_BUY,LtO7mQU2OX 
[92599] CANCEL_SET_BUY,LtO7mQU2OX,SEW 
[92864] SELL,LtO7mQU2OX,QPR,154.97 
[92898] COMMIT_SELL,LtO7mQU2OX 
[92931] CANCEL_SET_SELL,LtO7mQU2OX,SSL 
[92970] ADD,LtO7mQU2OX,89346.92 
[93044] COMMIT_BUY,LtO7mQU2OX 
[93150] SET_BUY_AMOUNT,LtO7mQU2OX,BJL,81.57 
[93207] SET_BUY_TRIGGER,LtO7mQU2OX,DED,15.38 
[93209] CANCEL_SET_BUY,LtO7mQU2OX,BFB 
[93221] SET_BUY_TRIGGER,LtO7mQU2OX,ILT,54.16 
[93409] DISPLAY_SUMMARY,LtO7mQU2OX 
[93416] ADD,LtO7mQU2OX,45537.79 
