[5] ADD,9RCeWXbzj9,96894.37 
[47234] SET_BUY_TRIGGER,9RCeWXbzj9,OYW,128.89 
[47256] BUY,9RCeWXbzj9,OAS,523.58 
[47283] QUOTE,9RCeWXbzj9,TUO 
[47386] ADD,9RCeWXbzj9,78522.23 
[47568] QUOTE,9RCeWXbzj9,XFA 
[47609] QUOTE,9RCeWXbzj9,LJM 
[47639] DISPLAY_SUMMARY,9RCeWXbzj9 
[47743] SET_BUY_TRIGGER,9RCeWXbzj9,PUO,187.10 
[47840] BUY,9RCeWXbzj9,SSF,706.58 
[47897] CANCEL_BUY,9RCeWXbzj9 
[48003] ADD,9RCeWXbzj9,66382.99 
[48047] BUY,9RCeWXbzj9,QGE,519.41 
[48520] CANCEL_SET_BUY,9RCeWXbzj9,CTI 
[48571] CANCEL_SET_SELL,9RCeWXbzj9,VGW 
[48731] CANCEL_BUY,9RCeWXbzj9 
[48739] ADD,9RCeWXbzj9,102936.41 
[48767] COMMIT_BUY,9RCeWXbzj9 
[48780] BUY,9RCeWXbzj9,AOH,30.78 
[48879] SELL,9RCeWXbzj9,ZYR,111.59 
[48900] SET_SELL_TRIGGER,9RCeWXbzj9,IGT,45.33 
[48930] ADD,9RCeWXbzj9,65763.35 
[48983] BUY,9RCeWXbzj9,QAA,382.26 
[49003] COMMIT_BUY,9RCeWXbzj9 
[49010] BUY,9RCeWXbzj9,JZJ,188.19 
[49154] COMMIT_BUY,9RCeWXbzj9 
[49173] SET_BUY_AMOUNT,9RCeWXbzj9,KES,580.03 
[49198] CANCEL_SET_BUY,9RCeWXbzj9,PLB 
[49273] ADD,9RCeWXbzj9,86231.81 
[49574] QUOTE,9RCeWXbzj9,FNY 
[49627] DISPLAY_SUMMARY,9RCeWXbzj9 
[49724] BUY,9RCeWXbzj9,JLO,737.28 
[49823] COMMIT_BUY,9RCeWXbzj9 
[49929] DISPLAY_SUMMARY,9RCeWXbzj9 
[50124] SET_SELL_AMOUNT,9RCeWXbzj9,DFE,279.14 
[50190] SET_SELL_TRIGGER,9RCeWXbzj9,DFE,240.70 
[50371] BUY,9RCeWXbzj9,JRY,351.69 
[50512] CANCEL_SET_SELL,9RCeWXbzj9,WAO 
[50524] QUOTE,9RCeWXbzj9,ATW 
[50642] COMMIT_BUY,9RCeWXbzj9 
[50653] ADD,9RCeWXbzj9,69928.76 
[50855] QUOTE,9RCeWXbzj9,TVP 
[51036] COMMIT_BUY,9RCeWXbzj9 
[51038] CANCEL_BUY,9RCeWXbzj9 
[51042] SELL,9RCeWXbzj9,SSF,4.65 
[51080] COMMIT_SELL,9RCeWXbzj9 
[51103] DISPLAY_SUMMARY,9RCeWXbzj9 
[51208] SET_BUY_AMOUNT,9RCeWXbzj9,BYA,271.56 
[51391] SET_BUY_TRIGGER,9RCeWXbzj9,ZPD,260.80 
[51402] QUOTE,9RCeWXbzj9,YPL 
[51421] SET_BUY_AMOUNT,9RCeWXbzj9,RUN,138.23 
[51456] SET_BUY_TRIGGER,9RCeWXbzj9,ZDB,31.89 
[51670] COMMIT_BUY,9RCeWXbzj9 
[51690] DISPLAY_SUMMARY,9RCeWXbzj9 
[51731] CANCEL_SELL,9RCeWXbzj9 
[51785] ADD,9RCeWXbzj9,52885.00 
[51803] BUY,9RCeWXbzj9,OSA,603.75 
[51877] COMMIT_SELL,9RCeWXbzj9 
[51878] QUOTE,9RCeWXbzj9,QBD 
[51879] QUOTE,9RCeWXbzj9,KEV 
[52132] QUOTE,9RCeWXbzj9,BWR 
[52290] QUOTE,9RCeWXbzj9,MZT 
[52302] QUOTE,9RCeWXbzj9,NQU 
[52411] QUOTE,9RCeWXbzj9,PHJ 
[52515] SET_BUY_AMOUNT,9RCeWXbzj9,PTP,518.25 
[52564] BUY,9RCeWXbzj9,VFH,534.73 
[52736] CANCEL_BUY,9RCeWXbzj9 
[52738] SET_SELL_AMOUNT,9RCeWXbzj9,JCQ,554.75 
[52921] SET_SELL_TRIGGER,9RCeWXbzj9,JCQ,152.33 
[52954] BUY,9RCeWXbzj9,TKM,650.80 
[52958] COMMIT_BUY,9RCeWXbzj9 
[53124] QUOTE,9RCeWXbzj9,RJG 
[53137] SET_SELL_AMOUNT,9RCeWXbzj9,YJK,530.95 
[53188] SET_SELL_TRIGGER,9RCeWXbzj9,YJK,375.39 
[53418] SET_SELL_TRIGGER,9RCeWXbzj9,JIO,12.42 
[53641] ADD,9RCeWXbzj9,71375.52 
[53960] QUOTE,9RCeWXbzj9,RFI 
[54046] SET_BUY_TRIGGER,9RCeWXbzj9,RJG,516.10 
[54283] QUOTE,9RCeWXbzj9,XSS 
[54544] BUY,9RCeWXbzj9,MQX,742.91 
[54672] SET_BUY_AMOUNT,9RCeWXbzj9,QJZ,597.81 
[54707] SET_BUY_TRIGGER,9RCeWXbzj9,RLS,392.89 
[54744] SET_BUY_AMOUNT,9RCeWXbzj9,JRJ,504.66 
[54862] SET_BUY_TRIGGER,9RCeWXbzj9,PJW,23.75 
[55008] BUY,9RCeWXbzj9,PYM,138.27 
[55020] COMMIT_BUY,9RCeWXbzj9 
[55032] SET_BUY_AMOUNT,9RCeWXbzj9,OPN,102.39 
[55052] DISPLAY_SUMMARY,9RCeWXbzj9 
[55109] QUOTE,9RCeWXbzj9,MLI 
[55293] SET_BUY_AMOUNT,9RCeWXbzj9,KDA,174.26 
[55333] SET_BUY_TRIGGER,9RCeWXbzj9,ZKV,18.13 
[55400] BUY,9RCeWXbzj9,THH,539.00 
[55439] CANCEL_SET_BUY,9RCeWXbzj9,XRK 
[55464] DISPLAY_SUMMARY,9RCeWXbzj9 
[55508] BUY,9RCeWXbzj9,VNO,570.88 
[55590] SET_BUY_TRIGGER,9RCeWXbzj9,NGB,131.28 
[55604] SET_SELL_AMOUNT,9RCeWXbzj9,GRM,596.74 
[55629] SET_SELL_TRIGGER,9RCeWXbzj9,GRM,280.20 
[55630] SET_SELL_TRIGGER,9RCeWXbzj9,STT,23.70 
[55689] ADD,9RCeWXbzj9,104470.03 
[55738] BUY,9RCeWXbzj9,PPW,656.81 
[55810] COMMIT_BUY,9RCeWXbzj9 
[56174] DISPLAY_SUMMARY,9RCeWXbzj9 
[56271] SELL,9RCeWXbzj9,GRM,577.71 
[56308] SET_SELL_AMOUNT,9RCeWXbzj9,CUZ,726.08 
[56567] CANCEL_SET_SELL,9RCeWXbzj9,CUZ 
[56827] DISPLAY_SUMMARY,9RCeWXbzj9 
[57048] ADD,9RCeWXbzj9,85512.32 
[57075] BUY,9RCeWXbzj9,VXY,162.71 
[57109] ADD,9RCeWXbzj9,59270.68 
[57157] BUY,9RCeWXbzj9,NFO,328.42 
[57343] COMMIT_BUY,9RCeWXbzj9 
[57421] QUOTE,9RCeWXbzj9,JVT 
[57490] QUOTE,9RCeWXbzj9,NLP 
[57549] BUY,9RCeWXbzj9,RQT,666.32 
[57629] SET_BUY_AMOUNT,9RCeWXbzj9,QAX,54.79 
[57657] SET_BUY_TRIGGER,9RCeWXbzj9,SUS,47.34 
[57813] ADD,9RCeWXbzj9,65726.20 
[57925] QUOTE,9RCeWXbzj9,KJD 
[57958] DISPLAY_SUMMARY,9RCeWXbzj9 
[58073] QUOTE,9RCeWXbzj9,ECI 
[58181] COMMIT_SELL,9RCeWXbzj9 
[58200] BUY,9RCeWXbzj9,NNW,238.59 
[58294] CANCEL_SET_SELL,9RCeWXbzj9,WFR 
[58492] SET_SELL_TRIGGER,9RCeWXbzj9,NGZ,21.05 
[58732] DISPLAY_SUMMARY,9RCeWXbzj9 
[58767] DISPLAY_SUMMARY,9RCeWXbzj9 
[58918] SELL,9RCeWXbzj9,GYF,19.14 
[58974] COMMIT_SELL,9RCeWXbzj9 
[58985] SET_SELL_TRIGGER,9RCeWXbzj9,JEO,20.95 
[59048] SET_SELL_AMOUNT,9RCeWXbzj9,ZTI,272.48 
[59068] SET_SELL_TRIGGER,9RCeWXbzj9,ZTI,38.60 
[59115] SET_BUY_TRIGGER,9RCeWXbzj9,XII,141.18 
[59259] DISPLAY_SUMMARY,9RCeWXbzj9 
[59392] SET_BUY_TRIGGER,9RCeWXbzj9,MVD,14.89 
[59705] SET_BUY_AMOUNT,9RCeWXbzj9,GYF,209.23 
[59776] SET_BUY_TRIGGER,9RCeWXbzj9,IBT,49.48 
[59898] ADD,9RCeWXbzj9,68323.62 
[60450] QUOTE,9RCeWXbzj9,MHQ 
[60454] ADD,9RCeWXbzj9,66791.36 
[60502] SET_BUY_TRIGGER,9RCeWXbzj9,VXY,181.57 
[60521] DISPLAY_SUMMARY,9RCeWXbzj9 
[60838] SET_BUY_AMOUNT,9RCeWXbzj9,BCQ,541.42 
[61018] SET_BUY_TRIGGER,9RCeWXbzj9,UMN,288.47 
[61358] SET_SELL_TRIGGER,9RCeWXbzj9,IDN,19.58 
[61415] DISPLAY_SUMMARY,9RCeWXbzj9 
[61590] SELL,9RCeWXbzj9,QAX,309.16 
[61720] QUOTE,9RCeWXbzj9,VTY 
[61828] BUY,9RCeWXbzj9,PST,145.44 
[61902] COMMIT_BUY,9RCeWXbzj9 
[62220] DISPLAY_SUMMARY,9RCeWXbzj9 
[62267] SET_BUY_TRIGGER,9RCeWXbzj9,LRS,194.94 
[62415] CANCEL_BUY,9RCeWXbzj9 
[62582] SET_BUY_TRIGGER,9RCeWXbzj9,EHF,8.11 
[62804] ADD,9RCeWXbzj9,53803.74 
[62921] BUY,9RCeWXbzj9,LSK,317.83 
[62979] SELL,9RCeWXbzj9,VTY,747.85 
[63096] CANCEL_SET_BUY,9RCeWXbzj9,FGF 
[63316] SET_BUY_TRIGGER,9RCeWXbzj9,GJQ,53.99 
[63468] CANCEL_SET_BUY,9RCeWXbzj9,KRX 
[63656] ADD,9RCeWXbzj9,79227.65 
[63663] BUY,9RCeWXbzj9,PLB,214.62 
[63777] SET_SELL_TRIGGER,9RCeWXbzj9,TKG,197.83 
[63785] SET_BUY_AMOUNT,9RCeWXbzj9,OEY,550.67 
[63995] CANCEL_SET_BUY,9RCeWXbzj9,OYS 
[64047] ADD,9RCeWXbzj9,61112.26 
[64102] BUY,9RCeWXbzj9,JFF,219.74 
[64202] COMMIT_BUY,9RCeWXbzj9 
[64224] SET_SELL_TRIGGER,9RCeWXbzj9,FVZ,5.57 
[64278] SELL,9RCeWXbzj9,YJK,96.17 
[64330] SELL,9RCeWXbzj9,SSF,211.98 
[64338] CANCEL_SELL,9RCeWXbzj9 
[64366] SET_SELL_TRIGGER,9RCeWXbzj9,KZZ,115.10 
[64428] SET_SELL_TRIGGER,9RCeWXbzj9,WUL,0.29 
[64554] SET_BUY_AMOUNT,9RCeWXbzj9,GRM,470.93 
[65163] SET_BUY_TRIGGER,9RCeWXbzj9,SFO,75.44 
[65395] SET_BUY_AMOUNT,9RCeWXbzj9,LFU,704.85 
[65548] SET_BUY_TRIGGER,9RCeWXbzj9,VQA,221.27 
[65739] DISPLAY_SUMMARY,9RCeWXbzj9 
[65898] ADD,9RCeWXbzj9,52170.71 
[65928] QUOTE,9RCeWXbzj9,KZZ 
[65997] BUY,9RCeWXbzj9,LCP,355.20 
[66181] SET_SELL_AMOUNT,9RCeWXbzj9,EBS,591.99 
[66352] CANCEL_SET_SELL,9RCeWXbzj9,EBS 
[66421] SET_BUY_TRIGGER,9RCeWXbzj9,SSF,49.00 
[66460] SET_BUY_AMOUNT,9RCeWXbzj9,OPN,665.03 
[66479] SET_BUY_TRIGGER,9RCeWXbzj9,NLP,13.97 
[66498] SET_BUY_AMOUNT,9RCeWXbzj9,MFX,219.14 
[66515] SELL,9RCeWXbzj9,ZYR,486.62 
[66626] CANCEL_BUY,9RCeWXbzj9 
[66803] ADD,9RCeWXbzj9,56191.51 
[66812] BUY,9RCeWXbzj9,EGX,122.02 
[66881] BUY,9RCeWXbzj9,CCH,701.08 
[66900] COMMIT_BUY,9RCeWXbzj9 
[67058] SET_BUY_AMOUNT,9RCeWXbzj9,ZTI,369.25 
[67066] SET_BUY_TRIGGER,9RCeWXbzj9,YBP,129.81 
[67159] SET_SELL_TRIGGER,9RCeWXbzj9,PTP,194.98 
[67168] SET_BUY_AMOUNT,9RCeWXbzj9,AVX,224.93 
[67215] SET_BUY_TRIGGER,9RCeWXbzj9,FLD,114.54 
[67455] BUY,9RCeWXbzj9,FSD,711.79 
[67481] SET_SELL_AMOUNT,9RCeWXbzj9,RGH,171.33 
[67702] SET_SELL_TRIGGER,9RCeWXbzj9,RGH,99.90 
[67745] SET_BUY_AMOUNT,9RCeWXbzj9,LFU,128.92 
[67936] SET_BUY_TRIGGER,9RCeWXbzj9,HZP,73.22 
[68017] SET_SELL_AMOUNT,9RCeWXbzj9,JVT,57.14 
[68084] SET_SELL_TRIGGER,9RCeWXbzj9,JVT,1.97 
[68218] QUOTE,9RCeWXbzj9,PHU 
[68239] QUOTE,9RCeWXbzj9,NQU 
[68255] BUY,9RCeWXbzj9,YTT,496.63 
[68286] QUOTE,9RCeWXbzj9,LLE 
[68350] BUY,9RCeWXbzj9,NUL,697.74 
[68374] DISPLAY_SUMMARY,9RCeWXbzj9 
[68447] ADD,9RCeWXbzj9,51858.78 
[68511] BUY,9RCeWXbzj9,ZGN,638.27 
[68530] COMMIT_BUY,9RCeWXbzj9 
[68607] DISPLAY_SUMMARY,9RCeWXbzj9 
[68682] CANCEL_SET_SELL,9RCeWXbzj9,VFH 
[68917] ADD,9RCeWXbzj9,65866.84 
[69032] BUY,9RCeWXbzj9,PFN,623.42 
[69063] COMMIT_BUY,9RCeWXbzj9 
[69124] DISPLAY_SUMMARY,9RCeWXbzj9 
[69303] SET_BUY_AMOUNT,9RCeWXbzj9,EBS,674.42 
[69424] SET_BUY_TRIGGER,9RCeWXbzj9,YTO,86.20 
[69534] SET_SELL_TRIGGER,9RCeWXbzj9,CIP,158.22 
[69543] QUOTE,9RCeWXbzj9,BEG 
[69785] BUY,9RCeWXbzj9,EGX,425.91 
[69869] CANCEL_BUY,9RCeWXbzj9 
[70010] COMMIT_SELL,9RCeWXbzj9 
[70191] SET_BUY_AMOUNT,9RCeWXbzj9,FDI,34.08 
[70282] SET_BUY_TRIGGER,9RCeWXbzj9,YAZ,31.78 
[70302] DISPLAY_SUMMARY,9RCeWXbzj9 
[70316] ADD,9RCeWXbzj9,81314.25 
[70714] BUY,9RCeWXbzj9,LQN,658.14 
[70831] QUOTE,9RCeWXbzj9,PHJ 
[71134] CANCEL_SELL,9RCeWXbzj9 
[71358] SET_SELL_TRIGGER,9RCeWXbzj9,TZJ,86.47 
[71450] ADD,9RCeWXbzj9,74478.03 
[71488] BUY,9RCeWXbzj9,XCL,592.87 
[71523] COMMIT_BUY,9RCeWXbzj9 
[71609] CANCEL_SELL,9RCeWXbzj9 
[71616] SET_SELL_TRIGGER,9RCeWXbzj9,BFB,6.01 
[71622] DISPLAY_SUMMARY,9RCeWXbzj9 
[71771] SET_SELL_AMOUNT,9RCeWXbzj9,RUN,473.63 
[71828] DISPLAY_SUMMARY,9RCeWXbzj9 
[71859] CANCEL_SET_BUY,9RCeWXbzj9,XOA 
[71863] BUY,9RCeWXbzj9,SHP,545.88 
[71908] SET_SELL_TRIGGER,9RCeWXbzj9,RUN,285.61 
[71995] ADD,9RCeWXbzj9,73304.73 
[72046] QUOTE,9RCeWXbzj9,ZAN 
[72069] ADD,9RCeWXbzj9,92775.27 
[72151] QUOTE,9RCeWXbzj9,XPX 
[72197] BUY,9RCeWXbzj9,ZER,379.56 
[72207] COMMIT_BUY,9RCeWXbzj9 
[72891] SET_SELL_TRIGGER,9RCeWXbzj9,OHS,52.29 
[73004] BUY,9RCeWXbzj9,QGE,158.21 
[73122] SET_SELL_AMOUNT,9RCeWXbzj9,VTY,637.59 
[73293] SET_SELL_TRIGGER,9RCeWXbzj9,VTY,604.45 
[73294] ADD,9RCeWXbzj9,69436.41 
[73300] QUOTE,9RCeWXbzj9,GAL 
[73349] COMMIT_BUY,9RCeWXbzj9 
[73969] SELL,9RCeWXbzj9,JVT,674.24 
[74861] COMMIT_SELL,9RCeWXbzj9 
[74906] QUOTE,9RCeWXbzj9,UJC 
[74943] SELL,9RCeWXbzj9,EBS,402.76 
[74955] QUOTE,9RCeWXbzj9,JLK 
[75029] ADD,9RCeWXbzj9,49861.06 
[75104] QUOTE,9RCeWXbzj9,XWZ 
[75205] DISPLAY_SUMMARY,9RCeWXbzj9 
[75220] ADD,9RCeWXbzj9,60264.07 
[75285] BUY,9RCeWXbzj9,HHG,678.93 
[75318] COMMIT_BUY,9RCeWXbzj9 
[75331] ADD,9RCeWXbzj9,72020.78 
[75333] BUY,9RCeWXbzj9,ALV,719.47 
[75449] COMMIT_BUY,9RCeWXbzj9 
[75594] SELL,9RCeWXbzj9,OEY,212.34 
[75879] COMMIT_SELL,9RCeWXbzj9 
[75962] BUY,9RCeWXbzj9,PFK,455.05 
[76068] CANCEL_BUY,9RCeWXbzj9 
[76155] DISPLAY_SUMMARY,9RCeWXbzj9 
[76194] ADD,9RCeWXbzj9,66539.60 
[76252] QUOTE,9RCeWXbzj9,CBY 
[76331] SET_BUY_AMOUNT,9RCeWXbzj9,UIE,569.81 
[76529] SET_BUY_TRIGGER,9RCeWXbzj9,NBX,222.44 
[76548] CANCEL_SELL,9RCeWXbzj9 
[76578] SELL,9RCeWXbzj9,RNK,310.22 
[76604] QUOTE,9RCeWXbzj9,AMI 
[76737] BUY,9RCeWXbzj9,OOV,338.30 
[76891] BUY,9RCeWXbzj9,RNK,87.54 
[76975] COMMIT_BUY,9RCeWXbzj9 
[76987] QUOTE,9RCeWXbzj9,KLE 
[77104] BUY,9RCeWXbzj9,OOI,636.41 
[77182] CANCEL_SET_BUY,9RCeWXbzj9,PVH 
[77191] DISPLAY_SUMMARY,9RCeWXbzj9 
[77298] SET_SELL_TRIGGER,9RCeWXbzj9,SOT,101.13 
[77353] ADD,9RCeWXbzj9,62083.94 
[77404] QUOTE,9RCeWXbzj9,TTY 
[77542] CANCEL_SET_BUY,9RCeWXbzj9,TVX 
[77656] DISPLAY_SUMMARY,9RCeWXbzj9 
[77998] SET_BUY_TRIGGER,9RCeWXbzj9,WAI,14.15 
[78128] SET_SELL_AMOUNT,9RCeWXbzj9,PTP,716.95 
[78135] QUOTE,9RCeWXbzj9,BFL 
[78192] CANCEL_BUY,9RCeWXbzj9 
[78465] CANCEL_BUY,9RCeWXbzj9 
[78648] BUY,9RCeWXbzj9,EHF,564.93 
[78670] COMMIT_SELL,9RCeWXbzj9 
[78914] SET_SELL_AMOUNT,9RCeWXbzj9,LFU,727.88 
[79232] SET_SELL_TRIGGER,9RCeWXbzj9,LFU,206.51 
[79349] ADD,9RCeWXbzj9,72013.33 
[79768] BUY,9RCeWXbzj9,URI,594.92 
[79936] COMMIT_BUY,9RCeWXbzj9 
[80013] DISPLAY_SUMMARY,9RCeWXbzj9 
[80037] DISPLAY_SUMMARY,9RCeWXbzj9 
[80136] ADD,9RCeWXbzj9,43559.45 
[80193] QUOTE,9RCeWXbzj9,CVK 
[80246] BUY,9RCeWXbzj9,VTY,65.35 
[80251] COMMIT_BUY,9RCeWXbzj9 
[80323] CANCEL_SET_SELL,9RCeWXbzj9,DES 
[80400] ADD,9RCeWXbzj9,59135.04 
[80431] BUY,9RCeWXbzj9,VAT,343.17 
[80600] SET_SELL_AMOUNT,9RCeWXbzj9,BYA,164.30 
[80663] SET_SELL_TRIGGER,9RCeWXbzj9,BYA,102.67 
[81026] ADD,9RCeWXbzj9,69438.34 
[81227] QUOTE,9RCeWXbzj9,TAR 
[81463] COMMIT_SELL,9RCeWXbzj9 
[81877] DISPLAY_SUMMARY,9RCeWXbzj9 
[81927] ADD,9RCeWXbzj9,88680.43 
[81952] QUOTE,9RCeWXbzj9,EGX 
[82008] BUY,9RCeWXbzj9,TQE,671.77 
[82207] COMMIT_BUY,9RCeWXbzj9 
[82239] DISPLAY_SUMMARY,9RCeWXbzj9 
[82283] BUY,9RCeWXbzj9,NTB,311.92 
[82644] DISPLAY_SUMMARY,9RCeWXbzj9 
[82702] BUY,9RCeWXbzj9,MWV,295.80 
[82881] COMMIT_BUY,9RCeWXbzj9 
[82939] CANCEL_SET_SELL,9RCeWXbzj9,KBP 
[82963] SET_SELL_TRIGGER,9RCeWXbzj9,JEO,62.96 
[83021] SET_BUY_AMOUNT,9RCeWXbzj9,JQO,698.11 
[83127] SET_BUY_TRIGGER,9RCeWXbzj9,WHR,171.50 
[83393] ADD,9RCeWXbzj9,60490.87 
[83398] SET_BUY_AMOUNT,9RCeWXbzj9,NHG,636.03 
[83611] SET_BUY_TRIGGER,9RCeWXbzj9,YUL,492.69 
[83778] BUY,9RCeWXbzj9,LJY,489.79 
[83796] COMMIT_BUY,9RCeWXbzj9 
[83864] SET_BUY_AMOUNT,9RCeWXbzj9,CUZ,573.91 
[83962] SET_BUY_TRIGGER,9RCeWXbzj9,AMI,444.34 
[84128] ADD,9RCeWXbzj9,78462.64 
[84240] QUOTE,9RCeWXbzj9,JXR 
[84298] ADD,9RCeWXbzj9,58526.61 
[84400] BUY,9RCeWXbzj9,AHE,479.07 
[84488] COMMIT_BUY,9RCeWXbzj9 
[84519] DISPLAY_SUMMARY,9RCeWXbzj9 
[84603] DISPLAY_SUMMARY,9RCeWXbzj9 
[84674] SET_SELL_TRIGGER,9RCeWXbzj9,IDX,187.25 
[84733] CANCEL_SET_SELL,9RCeWXbzj9,CXW 
[84739] BUY,9RCeWXbzj9,IHA,265.94 
[84959] QUOTE,9RCeWXbzj9,OPN 
[84973] QUOTE,9RCeWXbzj9,FOV 
[85062] CANCEL_SELL,9RCeWXbzj9 
[85094] SET_BUY_AMOUNT,9RCeWXbzj9,BYA,588.01 
[85202] SET_BUY_TRIGGER,9RCeWXbzj9,QGN,495.59 
[85222] ADD,9RCeWXbzj9,66849.55 
[85231] QUOTE,9RCeWXbzj9,KGV 
[85232] CANCEL_SET_BUY,9RCeWXbzj9,ZSV 
[85423] DISPLAY_SUMMARY,9RCeWXbzj9 
[85621] SELL,9RCeWXbzj9,VTY,562.14 
[85649] COMMIT_SELL,9RCeWXbzj9 
[85730] BUY,9RCeWXbzj9,WKT,356.38 
[85800] CANCEL_SET_BUY,9RCeWXbzj9,DLQ 
[85805] SET_SELL_TRIGGER,9RCeWXbzj9,ZJQ,93.88 
[85943] SET_SELL_TRIGGER,9RCeWXbzj9,SXB,159.53 
[85982] DISPLAY_SUMMARY,9RCeWXbzj9 
[86244] QUOTE,9RCeWXbzj9,DMS 
[86551] SET_BUY_TRIGGER,9RCeWXbzj9,GCW,185.08 
[86660] CANCEL_SET_SELL,9RCeWXbzj9,ZCG 
[86755] ADD,9RCeWXbzj9,68809.98 
[86768] QUOTE,9RCeWXbzj9,BOS 
[86798] SET_BUY_TRIGGER,9RCeWXbzj9,RQL,28.26 
[86869] SET_SELL_TRIGGER,9RCeWXbzj9,NSW,126.83 
[86977] SET_BUY_TRIGGER,9RCeWXbzj9,NUL,158.31 
[87001] SET_BUY_AMOUNT,9RCeWXbzj9,QGE,386.88 
[87014] SET_BUY_TRIGGER,9RCeWXbzj9,KTU,134.33 
[87126] QUOTE,9RCeWXbzj9,PHJ 
[87156] COMMIT_SELL,9RCeWXbzj9 
[87178] SET_SELL_TRIGGER,9RCeWXbzj9,OQZ,21.34 
[87192] QUOTE,9RCeWXbzj9,YGK 
[87229] ADD,9RCeWXbzj9,66890.68 
[87565] SET_SELL_AMOUNT,9RCeWXbzj9,QVK,445.32 
[87607] SET_SELL_TRIGGER,9RCeWXbzj9,QVK,222.29 
[87628] ADD,9RCeWXbzj9,60794.14 
[87647] QUOTE,9RCeWXbzj9,IGT 
[87648] BUY,9RCeWXbzj9,IHW,108.49 
[87664] COMMIT_BUY,9RCeWXbzj9 
[87869] ADD,9RCeWXbzj9,69605.79 
[88059] COMMIT_BUY,9RCeWXbzj9 
[88120] SELL,9RCeWXbzj9,XQC,458.33 
[88130] CANCEL_SET_SELL,9RCeWXbzj9,KDG 
[88170] CANCEL_SET_SELL,9RCeWXbzj9,QEO 
[88217] SET_SELL_AMOUNT,9RCeWXbzj9,KDA,693.70 
[88231] BUY,9RCeWXbzj9,NEV,652.83 
[88272] CANCEL_SET_BUY,9RCeWXbzj9,MPP 
[88360] SELL,9RCeWXbzj9,MXD,479.44 
[88740] COMMIT_SELL,9RCeWXbzj9 
[88744] CANCEL_SET_BUY,9RCeWXbzj9,WFR 
[88802] SELL,9RCeWXbzj9,CBO,509.90 
[88860] CANCEL_BUY,9RCeWXbzj9 
[88957] BUY,9RCeWXbzj9,ZGR,97.91 
[89005] SET_SELL_AMOUNT,9RCeWXbzj9,XLK,265.47 
[89099] QUOTE,9RCeWXbzj9,WGP 
[89207] DISPLAY_SUMMARY,9RCeWXbzj9 
[89210] SET_BUY_AMOUNT,9RCeWXbzj9,CEC,192.30 
[89385] CANCEL_SET_BUY,9RCeWXbzj9,MGK 
[89462] QUOTE,9RCeWXbzj9,GZU 
[89667] QUOTE,9RCeWXbzj9,DWC 
[89830] DISPLAY_SUMMARY,9RCeWXbzj9 
[89990] SET_BUY_AMOUNT,9RCeWXbzj9,IFN,110.85 
[90042] CANCEL_SET_BUY,9RCeWXbzj9,EGB 
[90062] ADD,9RCeWXbzj9,73299.14 
[90082] QUOTE,9RCeWXbzj9,SKW 
[90113] CANCEL_SET_SELL,9RCeWXbzj9,XLK 
[90131] CANCEL_BUY,9RCeWXbzj9 
[90140] SELL,9RCeWXbzj9,VTY,421.23 
[90304] QUOTE,9RCeWXbzj9,IZJ 
[90400] SET_BUY_AMOUNT,9RCeWXbzj9,JVT,69.04 
[90510] SET_BUY_TRIGGER,9RCeWXbzj9,OAS,30.66 
[90551] SELL,9RCeWXbzj9,TKM,88.57 
[90619] COMMIT_SELL,9RCeWXbzj9 
[90711] SET_BUY_AMOUNT,9RCeWXbzj9,UIE,195.53 
[90715] SET_BUY_TRIGGER,9RCeWXbzj9,GAN,84.20 
[90782] DISPLAY_SUMMARY,9RCeWXbzj9 
[90954] QUOTE,9RCeWXbzj9,JLO 
[91051] DISPLAY_SUMMARY,9RCeWXbzj9 
[91252] SET_SELL_TRIGGER,9RCeWXbzj9,NJB,146.53 
[91280] SET_SELL_TRIGGER,9RCeWXbzj9,ZNL,102.44 
[91324] SELL,9RCeWXbzj9,RNK,286.25 
[91561] CANCEL_SET_SELL,9RCeWXbzj9,ZFJ 
[91573] BUY,9RCeWXbzj9,RUN,532.41 
[91651] CANCEL_BUY,9RCeWXbzj9 
[91680] SET_SELL_AMOUNT,9RCeWXbzj9,IFN,516.51 
[91897] SET_SELL_TRIGGER,9RCeWXbzj9,IFN,315.64 
[92327] DISPLAY_SUMMARY,9RCeWXbzj9 
[92333] SELL,9RCeWXbzj9,VTY,426.65 
[92693] COMMIT_SELL,9RCeWXbzj9 
[92701] SET_SELL_TRIGGER,9RCeWXbzj9,XTH,196.97 
[92831] DISPLAY_SUMMARY,9RCeWXbzj9 
[93135] BUY,9RCeWXbzj9,GWS,117.31 
[93254] COMMIT_BUY,9RCeWXbzj9 
[93348] QUOTE,9RCeWXbzj9,GLO 
[93408] ADD,9RCeWXbzj9,94426.48 
[93786] SELL,9RCeWXbzj9,SQI,298.63 
[93898] CANCEL_BUY,9RCeWXbzj9 
[94001] SET_SELL_AMOUNT,9RCeWXbzj9,RGH,254.16 
[94039] SET_SELL_TRIGGER,9RCeWXbzj9,RGH,208.12 
[94159] SET_BUY_AMOUNT,9RCeWXbzj9,XLK,532.34 
[94253] CANCEL_SET_BUY,9RCeWXbzj9,RJG 
[94336] DISPLAY_SUMMARY,9RCeWXbzj9 
[94410] SELL,9RCeWXbzj9,VTY,655.84 
[94429] COMMIT_SELL,9RCeWXbzj9 
[94534] DISPLAY_SUMMARY,9RCeWXbzj9 
