[40] ADD,ZVyQqBS4Yw,77042.62 
[43738] SET_SELL_AMOUNT,ZVyQqBS4Yw,ZTI,707.80 
[43906] BUY,ZVyQqBS4Yw,OYW,367.19 
[44008] SET_BUY_TRIGGER,ZVyQqBS4Yw,QPR,120.38 
[44024] ADD,ZVyQqBS4Yw,73874.91 
[44111] QUOTE,ZVyQqBS4Yw,NDD 
[44144] SELL,ZVyQqBS4Yw,LFU,139.62 
[44253] COMMIT_SELL,ZVyQqBS4Yw 
[44325] ADD,ZVyQqBS4Yw,61381.71 
[44385] BUY,ZVyQqBS4Yw,YNH,468.44 
[44533] SET_BUY_AMOUNT,ZVyQqBS4Yw,QJZ,497.52 
[44574] SET_BUY_TRIGGER,ZVyQqBS4Yw,AOC,147.87 
[44711] ADD,ZVyQqBS4Yw,57664.46 
[44825] QUOTE,ZVyQqBS4Yw,JRY 
[45049] BUY,ZVyQqBS4Yw,JVT,696.25 
[45079] BUY,ZVyQqBS4Yw,IZS,319.74 
[45147] CANCEL_SELL,ZVyQqBS4Yw 
[45290] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[45308] CANCEL_SET_BUY,ZVyQqBS4Yw,RRT 
[45326] ADD,ZVyQqBS4Yw,75282.34 
[45396] BUY,ZVyQqBS4Yw,GRM,52.10 
[45404] COMMIT_BUY,ZVyQqBS4Yw 
[45493] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[45500] SET_BUY_TRIGGER,ZVyQqBS4Yw,UIE,50.39 
[45620] BUY,ZVyQqBS4Yw,UDN,739.30 
[45633] SET_BUY_AMOUNT,ZVyQqBS4Yw,LFU,477.14 
[45709] CANCEL_SET_BUY,ZVyQqBS4Yw,GMS 
[45996] ADD,ZVyQqBS4Yw,69618.87 
[46082] BUY,ZVyQqBS4Yw,JUN,427.22 
[46174] CANCEL_BUY,ZVyQqBS4Yw 
[46179] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[46413] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[46743] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[46857] SET_SELL_TRIGGER,ZVyQqBS4Yw,ZTI,670.41 
[46932] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[46953] SELL,ZVyQqBS4Yw,BYA,612.76 
[47004] COMMIT_SELL,ZVyQqBS4Yw 
[47132] SET_SELL_AMOUNT,ZVyQqBS4Yw,KDA,20.74 
[47458] SELL,ZVyQqBS4Yw,XXQ,268.13 
[47543] COMMIT_SELL,ZVyQqBS4Yw 
[47583] ADD,ZVyQqBS4Yw,91577.67 
[47628] SELL,ZVyQqBS4Yw,ZAN,700.24 
[47635] SET_BUY_TRIGGER,ZVyQqBS4Yw,GHL,161.44 
[47758] ADD,ZVyQqBS4Yw,64478.79 
[47788] SELL,ZVyQqBS4Yw,FQP,89.31 
[47813] COMMIT_SELL,ZVyQqBS4Yw 
[47884] ADD,ZVyQqBS4Yw,44289.44 
[47945] BUY,ZVyQqBS4Yw,KYT,607.10 
[48226] COMMIT_BUY,ZVyQqBS4Yw 
[48285] ADD,ZVyQqBS4Yw,66562.65 
[48381] BUY,ZVyQqBS4Yw,VNF,415.29 
[48402] COMMIT_BUY,ZVyQqBS4Yw 
[48421] SELL,ZVyQqBS4Yw,RGH,257.46 
[48494] COMMIT_BUY,ZVyQqBS4Yw 
[48568] SET_BUY_AMOUNT,ZVyQqBS4Yw,YJK,553.51 
[48584] SET_BUY_TRIGGER,ZVyQqBS4Yw,AZN,236.34 
[48603] ADD,ZVyQqBS4Yw,81228.63 
[48772] QUOTE,ZVyQqBS4Yw,OXK 
[48805] SET_BUY_TRIGGER,ZVyQqBS4Yw,IQJ,93.30 
[48813] SET_SELL_AMOUNT,ZVyQqBS4Yw,PTP,613.06 
[48836] SELL,ZVyQqBS4Yw,DFE,511.68 
[48984] COMMIT_SELL,ZVyQqBS4Yw 
[49254] ADD,ZVyQqBS4Yw,83859.72 
[49345] QUOTE,ZVyQqBS4Yw,RUN 
[49418] QUOTE,ZVyQqBS4Yw,HSH 
[49725] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[49889] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[49898] SET_BUY_AMOUNT,ZVyQqBS4Yw,UTV,401.45 
[49899] SET_BUY_TRIGGER,ZVyQqBS4Yw,UGT,6.96 
[50061] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[50150] SET_BUY_AMOUNT,ZVyQqBS4Yw,ZTI,317.29 
[50213] SELL,ZVyQqBS4Yw,QAX,741.23 
[50415] COMMIT_SELL,ZVyQqBS4Yw 
[50513] ADD,ZVyQqBS4Yw,78548.14 
[50785] BUY,ZVyQqBS4Yw,IGI,337.41 
[50797] SET_BUY_TRIGGER,ZVyQqBS4Yw,IFC,123.62 
[51037] SET_BUY_TRIGGER,ZVyQqBS4Yw,NEV,39.35 
[51115] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[51150] ADD,ZVyQqBS4Yw,92908.43 
[51239] BUY,ZVyQqBS4Yw,OLH,114.80 
[51263] SET_SELL_TRIGGER,ZVyQqBS4Yw,PTP,128.76 
[51362] SET_SELL_TRIGGER,ZVyQqBS4Yw,WOJ,87.10 
[51396] SELL,ZVyQqBS4Yw,ZAN,445.03 
[51961] QUOTE,ZVyQqBS4Yw,DES 
[51970] ADD,ZVyQqBS4Yw,53463.46 
[52050] CANCEL_SELL,ZVyQqBS4Yw 
[52086] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[52120] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[52224] SELL,ZVyQqBS4Yw,FQP,537.59 
[52280] COMMIT_SELL,ZVyQqBS4Yw 
[52305] ADD,ZVyQqBS4Yw,91655.29 
[52368] BUY,ZVyQqBS4Yw,VKB,10.01 
[52566] COMMIT_SELL,ZVyQqBS4Yw 
[52601] SET_SELL_TRIGGER,ZVyQqBS4Yw,JTY,61.30 
[52612] SET_BUY_TRIGGER,ZVyQqBS4Yw,VEE,143.33 
[53331] QUOTE,ZVyQqBS4Yw,NAW 
[53344] BUY,ZVyQqBS4Yw,LLF,442.57 
[53384] COMMIT_BUY,ZVyQqBS4Yw 
[53562] ADD,ZVyQqBS4Yw,43947.18 
[53757] BUY,ZVyQqBS4Yw,OZW,96.94 
[53998] COMMIT_BUY,ZVyQqBS4Yw 
[54073] SET_BUY_AMOUNT,ZVyQqBS4Yw,CSZ,80.80 
[54152] CANCEL_SET_BUY,ZVyQqBS4Yw,RJG 
[54238] SET_SELL_AMOUNT,ZVyQqBS4Yw,RUN,586.44 
[54311] SET_SELL_TRIGGER,ZVyQqBS4Yw,RUN,181.55 
[54347] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[54414] CANCEL_BUY,ZVyQqBS4Yw 
[54460] BUY,ZVyQqBS4Yw,GZU,250.55 
[54692] COMMIT_BUY,ZVyQqBS4Yw 
[54794] QUOTE,ZVyQqBS4Yw,LPS 
[54826] ADD,ZVyQqBS4Yw,82564.90 
[54841] BUY,ZVyQqBS4Yw,WRN,302.99 
[54858] SET_BUY_AMOUNT,ZVyQqBS4Yw,BCQ,722.48 
[55038] SET_BUY_TRIGGER,ZVyQqBS4Yw,MVQ,604.73 
[55214] SELL,ZVyQqBS4Yw,EBS,572.85 
[55288] COMMIT_SELL,ZVyQqBS4Yw 
[55445] BUY,ZVyQqBS4Yw,GFN,418.53 
[55529] COMMIT_BUY,ZVyQqBS4Yw 
[55622] ADD,ZVyQqBS4Yw,70890.72 
[55623] SET_SELL_AMOUNT,ZVyQqBS4Yw,XLK,61.12 
[55682] SET_SELL_TRIGGER,ZVyQqBS4Yw,XLK,24.70 
[55687] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[55697] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[55855] QUOTE,ZVyQqBS4Yw,FSD 
[55881] SET_SELL_TRIGGER,ZVyQqBS4Yw,AUX,4.76 
[56156] ADD,ZVyQqBS4Yw,78860.52 
[56307] QUOTE,ZVyQqBS4Yw,DRP 
[56353] BUY,ZVyQqBS4Yw,RNE,177.99 
[56385] COMMIT_BUY,ZVyQqBS4Yw 
[56533] ADD,ZVyQqBS4Yw,91009.78 
[56564] BUY,ZVyQqBS4Yw,QPR,596.08 
[56587] COMMIT_BUY,ZVyQqBS4Yw 
[56620] BUY,ZVyQqBS4Yw,RKY,601.83 
[56648] SET_SELL_TRIGGER,ZVyQqBS4Yw,PZE,70.57 
[56771] SET_SELL_AMOUNT,ZVyQqBS4Yw,CSZ,405.98 
[56862] SET_SELL_TRIGGER,ZVyQqBS4Yw,CSZ,95.62 
[57005] ADD,ZVyQqBS4Yw,74928.29 
[57207] QUOTE,ZVyQqBS4Yw,SMS 
[57427] CANCEL_SET_SELL,ZVyQqBS4Yw,BFU 
[57496] QUOTE,ZVyQqBS4Yw,SYM 
[57504] ADD,ZVyQqBS4Yw,52602.55 
[57602] SELL,ZVyQqBS4Yw,JQO,694.40 
[57609] CANCEL_SELL,ZVyQqBS4Yw 
[57745] SET_SELL_TRIGGER,ZVyQqBS4Yw,MUN,39.52 
[57784] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[57801] SET_BUY_AMOUNT,ZVyQqBS4Yw,ZTI,37.10 
[57819] CANCEL_SET_BUY,ZVyQqBS4Yw,GYT 
[58161] ADD,ZVyQqBS4Yw,77448.58 
[58198] QUOTE,ZVyQqBS4Yw,QZN 
[58423] QUOTE,ZVyQqBS4Yw,ZKV 
[58437] SET_BUY_TRIGGER,ZVyQqBS4Yw,XZN,163.55 
[58520] CANCEL_BUY,ZVyQqBS4Yw 
[58589] BUY,ZVyQqBS4Yw,FCH,552.01 
[58786] BUY,ZVyQqBS4Yw,HNO,383.87 
[58912] COMMIT_BUY,ZVyQqBS4Yw 
[59164] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[59247] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[59319] ADD,ZVyQqBS4Yw,71107.92 
[59474] SET_BUY_AMOUNT,ZVyQqBS4Yw,XLK,634.99 
[59650] SET_BUY_TRIGGER,ZVyQqBS4Yw,ILT,183.43 
[59756] ADD,ZVyQqBS4Yw,73445.32 
[59786] QUOTE,ZVyQqBS4Yw,JRY 
[59893] BUY,ZVyQqBS4Yw,IGI,241.46 
[59927] COMMIT_BUY,ZVyQqBS4Yw 
[60269] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[60329] QUOTE,ZVyQqBS4Yw,LPS 
[60445] BUY,ZVyQqBS4Yw,TJL,73.79 
[60462] COMMIT_BUY,ZVyQqBS4Yw 
[60677] SET_SELL_TRIGGER,ZVyQqBS4Yw,PUU,153.14 
[60811] SET_BUY_AMOUNT,ZVyQqBS4Yw,YJK,541.68 
[60839] CANCEL_SET_BUY,ZVyQqBS4Yw,JGO 
[61047] SELL,ZVyQqBS4Yw,ZTI,42.12 
[61088] CANCEL_SELL,ZVyQqBS4Yw 
[61150] SELL,ZVyQqBS4Yw,CUZ,54.50 
[61195] COMMIT_SELL,ZVyQqBS4Yw 
[61338] ADD,ZVyQqBS4Yw,77865.55 
[61386] QUOTE,ZVyQqBS4Yw,UTD 
[61439] BUY,ZVyQqBS4Yw,AQO,191.60 
[61651] COMMIT_BUY,ZVyQqBS4Yw 
[61819] SELL,ZVyQqBS4Yw,JZJ,152.13 
[61933] COMMIT_SELL,ZVyQqBS4Yw 
[61976] SELL,ZVyQqBS4Yw,RGH,385.88 
[62008] SET_BUY_AMOUNT,ZVyQqBS4Yw,QJZ,58.45 
[62082] SET_BUY_TRIGGER,ZVyQqBS4Yw,IFC,28.03 
[62269] ADD,ZVyQqBS4Yw,86185.13 
[62353] QUOTE,ZVyQqBS4Yw,QBD 
[62357] BUY,ZVyQqBS4Yw,QAA,281.77 
[62452] COMMIT_BUY,ZVyQqBS4Yw 
[62568] ADD,ZVyQqBS4Yw,78758.93 
[62846] QUOTE,ZVyQqBS4Yw,VVW 
[63025] SET_BUY_TRIGGER,ZVyQqBS4Yw,AHE,196.84 
[63026] SET_BUY_AMOUNT,ZVyQqBS4Yw,CUZ,569.14 
[63071] SET_BUY_TRIGGER,ZVyQqBS4Yw,VZB,466.31 
[63243] SELL,ZVyQqBS4Yw,KDA,499.52 
[63532] QUOTE,ZVyQqBS4Yw,RLS 
[63713] SET_BUY_AMOUNT,ZVyQqBS4Yw,BCQ,19.39 
[63784] SET_BUY_TRIGGER,ZVyQqBS4Yw,JXW,5.33 
[63844] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[63873] SET_BUY_TRIGGER,ZVyQqBS4Yw,DQW,148.89 
[63878] QUOTE,ZVyQqBS4Yw,BPP 
[63881] QUOTE,ZVyQqBS4Yw,KEV 
[63882] ADD,ZVyQqBS4Yw,64959.07 
[64027] BUY,ZVyQqBS4Yw,RRZ,142.77 
[64123] SELL,ZVyQqBS4Yw,JQO,19.86 
[64254] COMMIT_SELL,ZVyQqBS4Yw 
[64396] SET_BUY_TRIGGER,ZVyQqBS4Yw,MOM,148.87 
[64459] SET_SELL_TRIGGER,ZVyQqBS4Yw,LPR,132.56 
[64469] QUOTE,ZVyQqBS4Yw,CTS 
[64760] SET_BUY_TRIGGER,ZVyQqBS4Yw,MVY,78.66 
[64824] ADD,ZVyQqBS4Yw,58379.35 
[64825] QUOTE,ZVyQqBS4Yw,WCY 
[64853] QUOTE,ZVyQqBS4Yw,UMV 
[64889] SET_SELL_AMOUNT,ZVyQqBS4Yw,BYA,561.87 
[64893] SET_SELL_TRIGGER,ZVyQqBS4Yw,BYA,307.87 
[65241] BUY,ZVyQqBS4Yw,TFZ,733.17 
[65476] COMMIT_BUY,ZVyQqBS4Yw 
[65568] SET_BUY_AMOUNT,ZVyQqBS4Yw,EBS,146.02 
[65589] SET_BUY_TRIGGER,ZVyQqBS4Yw,ROW,90.25 
[65673] BUY,ZVyQqBS4Yw,LSM,525.22 
[65674] COMMIT_BUY,ZVyQqBS4Yw 
[65773] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[65814] SET_SELL_TRIGGER,ZVyQqBS4Yw,KJM,81.91 
[66016] ADD,ZVyQqBS4Yw,74125.61 
[66203] QUOTE,ZVyQqBS4Yw,CMA 
[66241] ADD,ZVyQqBS4Yw,78311.16 
[66436] SET_SELL_AMOUNT,ZVyQqBS4Yw,JCQ,371.79 
[66465] SET_SELL_TRIGGER,ZVyQqBS4Yw,JCQ,290.20 
[66644] SET_SELL_TRIGGER,ZVyQqBS4Yw,MRK,124.63 
[66891] BUY,ZVyQqBS4Yw,OKK,658.71 
[66929] CANCEL_SET_BUY,ZVyQqBS4Yw,YWK 
[67179] ADD,ZVyQqBS4Yw,91110.33 
[67288] BUY,ZVyQqBS4Yw,QPZ,237.27 
[67402] SET_BUY_AMOUNT,ZVyQqBS4Yw,PTP,386.88 
[67433] SET_BUY_TRIGGER,ZVyQqBS4Yw,XLV,212.73 
[67545] ADD,ZVyQqBS4Yw,63510.49 
[67641] BUY,ZVyQqBS4Yw,YBO,26.04 
[67695] COMMIT_BUY,ZVyQqBS4Yw 
[67711] SELL,ZVyQqBS4Yw,JCQ,436.90 
[67746] COMMIT_SELL,ZVyQqBS4Yw 
[67846] BUY,ZVyQqBS4Yw,IFC,424.18 
[67864] COMMIT_BUY,ZVyQqBS4Yw 
[67949] SET_BUY_TRIGGER,ZVyQqBS4Yw,LJM,161.76 
[68019] SELL,ZVyQqBS4Yw,GYF,334.41 
[68244] COMMIT_SELL,ZVyQqBS4Yw 
[68423] QUOTE,ZVyQqBS4Yw,ATW 
[68445] QUOTE,ZVyQqBS4Yw,FTJ 
[68493] SET_BUY_AMOUNT,ZVyQqBS4Yw,CEC,483.90 
[68600] SET_BUY_TRIGGER,ZVyQqBS4Yw,OFP,313.00 
[68654] CANCEL_SET_SELL,ZVyQqBS4Yw,HEJ 
[68675] ADD,ZVyQqBS4Yw,79234.53 
[68729] QUOTE,ZVyQqBS4Yw,CMA 
[68965] BUY,ZVyQqBS4Yw,WNX,34.91 
[69139] CANCEL_SET_SELL,ZVyQqBS4Yw,BHJ 
[69183] CANCEL_SET_BUY,ZVyQqBS4Yw,VAT 
[69270] BUY,ZVyQqBS4Yw,HSJ,379.63 
[69403] CANCEL_BUY,ZVyQqBS4Yw 
[69695] SET_SELL_TRIGGER,ZVyQqBS4Yw,ZMK,57.02 
[69741] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[69754] SET_SELL_AMOUNT,ZVyQqBS4Yw,KDA,430.79 
[69794] SET_SELL_TRIGGER,ZVyQqBS4Yw,KDA,316.36 
[69811] QUOTE,ZVyQqBS4Yw,ESN 
[70237] QUOTE,ZVyQqBS4Yw,UBJ 
[70478] SET_BUY_AMOUNT,ZVyQqBS4Yw,RNK,204.70 
[70575] CANCEL_SET_BUY,ZVyQqBS4Yw,ZOW 
[70596] ADD,ZVyQqBS4Yw,56999.65 
[70743] CANCEL_BUY,ZVyQqBS4Yw 
[70940] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[71044] ADD,ZVyQqBS4Yw,48176.93 
[71145] QUOTE,ZVyQqBS4Yw,MDZ 
[71151] BUY,ZVyQqBS4Yw,GTN,585.23 
[71226] COMMIT_BUY,ZVyQqBS4Yw 
[71238] CANCEL_SET_SELL,ZVyQqBS4Yw,LKK 
[71305] CANCEL_SET_BUY,ZVyQqBS4Yw,ZOW 
[71340] CANCEL_BUY,ZVyQqBS4Yw 
[71359] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[71440] SET_BUY_TRIGGER,ZVyQqBS4Yw,QAA,70.27 
[71569] SELL,ZVyQqBS4Yw,SSF,3.30 
[71738] COMMIT_SELL,ZVyQqBS4Yw 
[71746] QUOTE,ZVyQqBS4Yw,XEA 
[71855] QUOTE,ZVyQqBS4Yw,SAJ 
[71922] QUOTE,ZVyQqBS4Yw,CMD 
[72086] SELL,ZVyQqBS4Yw,GRM,498.35 
[72154] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[72194] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[72195] BUY,ZVyQqBS4Yw,PUN,314.84 
[72202] COMMIT_BUY,ZVyQqBS4Yw 
[72213] SELL,ZVyQqBS4Yw,UIE,461.69 
[72366] SET_SELL_TRIGGER,ZVyQqBS4Yw,MQH,59.29 
[72372] ADD,ZVyQqBS4Yw,75681.94 
[72418] QUOTE,ZVyQqBS4Yw,NEV 
[72489] BUY,ZVyQqBS4Yw,JRY,362.83 
[72506] COMMIT_BUY,ZVyQqBS4Yw 
[72564] CANCEL_SET_SELL,ZVyQqBS4Yw,GCW 
[72751] CANCEL_SELL,ZVyQqBS4Yw 
[73050] BUY,ZVyQqBS4Yw,VVO,420.84 
[73104] CANCEL_BUY,ZVyQqBS4Yw 
[73517] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[73804] QUOTE,ZVyQqBS4Yw,IRQ 
[73834] SET_BUY_AMOUNT,ZVyQqBS4Yw,JRJ,62.70 
[73907] SELL,ZVyQqBS4Yw,OPN,104.32 
[73926] COMMIT_SELL,ZVyQqBS4Yw 
[74012] SELL,ZVyQqBS4Yw,UTV,120.05 
[74292] QUOTE,ZVyQqBS4Yw,JPD 
[74335] BUY,ZVyQqBS4Yw,MKE,539.85 
[74522] CANCEL_SET_BUY,ZVyQqBS4Yw,EDM 
[74531] SET_BUY_TRIGGER,ZVyQqBS4Yw,KAO,129.01 
[74589] BUY,ZVyQqBS4Yw,BMW,578.18 
[74704] CANCEL_SELL,ZVyQqBS4Yw 
[74758] SELL,ZVyQqBS4Yw,XXQ,380.14 
[74765] COMMIT_SELL,ZVyQqBS4Yw 
[74780] QUOTE,ZVyQqBS4Yw,ZAM 
[74948] QUOTE,ZVyQqBS4Yw,ERF 
[74960] ADD,ZVyQqBS4Yw,106861.57 
[75018] QUOTE,ZVyQqBS4Yw,FFI 
[75262] ADD,ZVyQqBS4Yw,54723.38 
[75464] CANCEL_SELL,ZVyQqBS4Yw 
[75778] BUY,ZVyQqBS4Yw,NKC,618.82 
[75894] COMMIT_BUY,ZVyQqBS4Yw 
[76050] SET_BUY_AMOUNT,ZVyQqBS4Yw,RNK,272.98 
[76121] QUOTE,ZVyQqBS4Yw,YIQ 
[76467] SET_BUY_AMOUNT,ZVyQqBS4Yw,ZAN,235.91 
[76493] SET_BUY_TRIGGER,ZVyQqBS4Yw,OIY,41.06 
[76577] SET_BUY_AMOUNT,ZVyQqBS4Yw,OEY,470.92 
[76588] SET_BUY_TRIGGER,ZVyQqBS4Yw,FRB,0.20 
[76612] SET_SELL_TRIGGER,ZVyQqBS4Yw,KBI,54.03 
[76750] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[76778] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[76783] SET_BUY_TRIGGER,ZVyQqBS4Yw,YJK,62.61 
[76860] BUY,ZVyQqBS4Yw,EOS,673.17 
[76892] CANCEL_SET_SELL,ZVyQqBS4Yw,MRK 
[77055] SET_SELL_AMOUNT,ZVyQqBS4Yw,OPN,374.39 
[77110] SET_SELL_TRIGGER,ZVyQqBS4Yw,OPN,72.43 
[77413] SET_BUY_TRIGGER,ZVyQqBS4Yw,KCA,147.56 
[77623] SET_SELL_TRIGGER,ZVyQqBS4Yw,ZJQ,97.96 
[77669] SET_SELL_AMOUNT,ZVyQqBS4Yw,CBO,571.86 
[77791] SET_SELL_TRIGGER,ZVyQqBS4Yw,CBO,202.29 
[77845] SET_SELL_AMOUNT,ZVyQqBS4Yw,NHG,527.26 
[77901] SET_SELL_TRIGGER,ZVyQqBS4Yw,NHG,7.52 
[78033] SET_SELL_TRIGGER,ZVyQqBS4Yw,GFN,153.18 
[78163] SELL,ZVyQqBS4Yw,ZYR,513.55 
[78488] BUY,ZVyQqBS4Yw,VNN,631.93 
[78644] SET_SELL_TRIGGER,ZVyQqBS4Yw,DWX,57.97 
[78668] QUOTE,ZVyQqBS4Yw,VDP 
[78689] QUOTE,ZVyQqBS4Yw,KLE 
[78864] QUOTE,ZVyQqBS4Yw,NNW 
[78949] BUY,ZVyQqBS4Yw,JJW,557.83 
[78962] CANCEL_BUY,ZVyQqBS4Yw 
[79239] ADD,ZVyQqBS4Yw,81566.50 
[79241] CANCEL_BUY,ZVyQqBS4Yw 
[79259] QUOTE,ZVyQqBS4Yw,CUZ 
[79296] COMMIT_SELL,ZVyQqBS4Yw 
[79367] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[79382] COMMIT_BUY,ZVyQqBS4Yw 
[79613] SET_BUY_AMOUNT,ZVyQqBS4Yw,DFE,494.43 
[79633] SET_BUY_TRIGGER,ZVyQqBS4Yw,DJD,239.39 
[79639] ADD,ZVyQqBS4Yw,69353.54 
[79701] BUY,ZVyQqBS4Yw,EIH,153.88 
[79769] COMMIT_BUY,ZVyQqBS4Yw 
[79884] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[79902] QUOTE,ZVyQqBS4Yw,LPB 
[79937] BUY,ZVyQqBS4Yw,PXF,51.24 
[80028] CANCEL_BUY,ZVyQqBS4Yw 
[80108] ADD,ZVyQqBS4Yw,71352.81 
[80204] BUY,ZVyQqBS4Yw,DMW,72.70 
[80288] CANCEL_SELL,ZVyQqBS4Yw 
[80363] ADD,ZVyQqBS4Yw,79263.36 
[80391] BUY,ZVyQqBS4Yw,LSM,510.18 
[80489] CANCEL_BUY,ZVyQqBS4Yw 
[80513] ADD,ZVyQqBS4Yw,81061.29 
[80537] CANCEL_SET_SELL,ZVyQqBS4Yw,XXT 
[80596] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[80627] ADD,ZVyQqBS4Yw,48618.35 
[80677] QUOTE,ZVyQqBS4Yw,OHG 
[80743] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[81118] ADD,ZVyQqBS4Yw,71048.66 
[81121] BUY,ZVyQqBS4Yw,BUL,549.60 
[81144] COMMIT_BUY,ZVyQqBS4Yw 
[81205] QUOTE,ZVyQqBS4Yw,ZQS 
[81210] QUOTE,ZVyQqBS4Yw,KJD 
[81226] QUOTE,ZVyQqBS4Yw,SQO 
[81523] SET_BUY_TRIGGER,ZVyQqBS4Yw,GDF,82.31 
[81649] SET_BUY_AMOUNT,ZVyQqBS4Yw,JRJ,664.77 
[81693] SET_BUY_TRIGGER,ZVyQqBS4Yw,XAB,220.95 
[81713] SET_BUY_AMOUNT,ZVyQqBS4Yw,JQO,690.49 
[81741] SET_BUY_TRIGGER,ZVyQqBS4Yw,QVK,584.40 
[81758] ADD,ZVyQqBS4Yw,52375.58 
[81796] BUY,ZVyQqBS4Yw,IHW,721.32 
[81915] COMMIT_BUY,ZVyQqBS4Yw 
[81967] SET_SELL_AMOUNT,ZVyQqBS4Yw,AVX,181.85 
[81974] SET_SELL_TRIGGER,ZVyQqBS4Yw,AVX,174.91 
[82265] SET_BUY_AMOUNT,ZVyQqBS4Yw,QAX,187.88 
[82309] SET_BUY_TRIGGER,ZVyQqBS4Yw,OBO,129.47 
[82550] BUY,ZVyQqBS4Yw,XLI,342.45 
[82572] QUOTE,ZVyQqBS4Yw,BTP 
[82594] SELL,ZVyQqBS4Yw,ZAN,114.37 
[82801] SET_SELL_AMOUNT,ZVyQqBS4Yw,VTY,384.15 
[82843] SET_SELL_TRIGGER,ZVyQqBS4Yw,VTY,32.35 
[82882] CANCEL_BUY,ZVyQqBS4Yw 
[82920] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[82928] BUY,ZVyQqBS4Yw,GHE,230.83 
[83178] COMMIT_BUY,ZVyQqBS4Yw 
[83273] CANCEL_SELL,ZVyQqBS4Yw 
[83305] QUOTE,ZVyQqBS4Yw,YDD 
[83382] BUY,ZVyQqBS4Yw,BTP,207.60 
[83486] COMMIT_BUY,ZVyQqBS4Yw 
[83592] SELL,ZVyQqBS4Yw,XXQ,192.74 
[83599] CANCEL_SELL,ZVyQqBS4Yw 
[83608] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[83852] QUOTE,ZVyQqBS4Yw,GAV 
[83858] BUY,ZVyQqBS4Yw,ECI,720.55 
[83975] COMMIT_BUY,ZVyQqBS4Yw 
[83978] ADD,ZVyQqBS4Yw,60744.61 
[84043] COMMIT_BUY,ZVyQqBS4Yw 
[84067] SELL,ZVyQqBS4Yw,LFU,431.37 
[84073] COMMIT_SELL,ZVyQqBS4Yw 
[84410] SELL,ZVyQqBS4Yw,GRM,444.81 
[84545] COMMIT_SELL,ZVyQqBS4Yw 
[84651] ADD,ZVyQqBS4Yw,81860.60 
[84699] QUOTE,ZVyQqBS4Yw,KAS 
[84744] BUY,ZVyQqBS4Yw,YEH,328.27 
[84880] COMMIT_BUY,ZVyQqBS4Yw 
[85003] QUOTE,ZVyQqBS4Yw,RDK 
[85038] QUOTE,ZVyQqBS4Yw,JPP 
[85186] SET_BUY_TRIGGER,ZVyQqBS4Yw,IGI,22.81 
[85248] SET_SELL_TRIGGER,ZVyQqBS4Yw,LFU,25.19 
[85311] ADD,ZVyQqBS4Yw,79044.20 
[85461] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[85465] QUOTE,ZVyQqBS4Yw,HZA 
[85492] SET_SELL_AMOUNT,ZVyQqBS4Yw,SQI,282.97 
[85519] SET_SELL_TRIGGER,ZVyQqBS4Yw,SQI,47.66 
[85551] SET_SELL_TRIGGER,ZVyQqBS4Yw,GIX,11.59 
[85629] ADD,ZVyQqBS4Yw,58572.82 
[85707] BUY,ZVyQqBS4Yw,HIN,529.64 
[85744] COMMIT_BUY,ZVyQqBS4Yw 
[85795] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[86087] QUOTE,ZVyQqBS4Yw,WDJ 
[86206] BUY,ZVyQqBS4Yw,DBC,639.65 
[86336] CANCEL_SET_BUY,ZVyQqBS4Yw,OQW 
