[84] ADD,vmBnGlfW5S,37500.32 
[45016] ADD,vmBnGlfW5S,45330.40 
[45163] QUOTE,vmBnGlfW5S,LAW 
[45285] BUY,vmBnGlfW5S,YPL,313.22 
[45305] COMMIT_BUY,vmBnGlfW5S 
[45618] BUY,vmBnGlfW5S,XRK,139.99 
[45676] QUOTE,vmBnGlfW5S,XVK 
[46084] QUOTE,vmBnGlfW5S,SEW 
[46182] QUOTE,vmBnGlfW5S,SDL 
[46408] ADD,vmBnGlfW5S,84648.19 
[46417] QUOTE,vmBnGlfW5S,GUB 
[46538] QUOTE,vmBnGlfW5S,NJB 
[46548] CANCEL_BUY,vmBnGlfW5S 
[46664] ADD,vmBnGlfW5S,57052.36 
[46678] BUY,vmBnGlfW5S,MQP,465.81 
[46694] CANCEL_BUY,vmBnGlfW5S 
[46695] QUOTE,vmBnGlfW5S,WGP 
[46863] DISPLAY_SUMMARY,vmBnGlfW5S 
[47208] SET_SELL_TRIGGER,vmBnGlfW5S,QQI,24.39 
[47235] DISPLAY_SUMMARY,vmBnGlfW5S 
[47442] DISPLAY_SUMMARY,vmBnGlfW5S 
[47577] COMMIT_SELL,vmBnGlfW5S 
[47660] SET_SELL_AMOUNT,vmBnGlfW5S,DFE,693.27 
[47663] DISPLAY_SUMMARY,vmBnGlfW5S 
[48133] CANCEL_SET_BUY,vmBnGlfW5S,CLH 
[48321] DISPLAY_SUMMARY,vmBnGlfW5S 
[48770] QUOTE,vmBnGlfW5S,GUW 
[48946] CANCEL_SELL,vmBnGlfW5S 
[48960] BUY,vmBnGlfW5S,DLX,608.35 
[49043] COMMIT_BUY,vmBnGlfW5S 
[49075] SELL,vmBnGlfW5S,ZAN,240.28 
[49214] COMMIT_SELL,vmBnGlfW5S 
[49306] SET_SELL_TRIGGER,vmBnGlfW5S,DFE,540.31 
[49487] SELL,vmBnGlfW5S,JCQ,252.63 
[49581] COMMIT_SELL,vmBnGlfW5S 
[49747] DISPLAY_SUMMARY,vmBnGlfW5S 
[49934] SET_BUY_TRIGGER,vmBnGlfW5S,XXP,38.39 
[49943] SET_BUY_AMOUNT,vmBnGlfW5S,XXQ,585.03 
[49967] SET_BUY_TRIGGER,vmBnGlfW5S,KDG,1.18 
[50201] SELL,vmBnGlfW5S,QAX,187.92 
[50540] CANCEL_SET_BUY,vmBnGlfW5S,SYN 
[50543] ADD,vmBnGlfW5S,42108.87 
[50612] QUOTE,vmBnGlfW5S,EHF 
[50614] ADD,vmBnGlfW5S,76506.70 
[50763] BUY,vmBnGlfW5S,XLI,448.29 
[50788] COMMIT_SELL,vmBnGlfW5S 
[50789] DISPLAY_SUMMARY,vmBnGlfW5S 
[50862] ADD,vmBnGlfW5S,44145.95 
[50955] QUOTE,vmBnGlfW5S,CEC 
[50971] BUY,vmBnGlfW5S,KJM,334.07 
[51015] COMMIT_BUY,vmBnGlfW5S 
[51067] SELL,vmBnGlfW5S,XXQ,140.73 
[51158] CANCEL_SELL,vmBnGlfW5S 
[51225] ADD,vmBnGlfW5S,89487.09 
[51335] BUY,vmBnGlfW5S,DWF,47.27 
[51343] COMMIT_BUY,vmBnGlfW5S 
[51518] ADD,vmBnGlfW5S,70124.44 
[51661] ADD,vmBnGlfW5S,81751.98 
[51751] QUOTE,vmBnGlfW5S,FXT 
[52084] ADD,vmBnGlfW5S,57376.93 
[52262] QUOTE,vmBnGlfW5S,XAB 
[52367] QUOTE,vmBnGlfW5S,BXH 
[52401] CANCEL_SET_SELL,vmBnGlfW5S,FQU 
[52426] SET_BUY_TRIGGER,vmBnGlfW5S,BWL,94.57 
[52457] SET_SELL_AMOUNT,vmBnGlfW5S,JCQ,588.61 
[52501] SET_SELL_TRIGGER,vmBnGlfW5S,JCQ,139.60 
[52518] DISPLAY_SUMMARY,vmBnGlfW5S 
[52571] DISPLAY_SUMMARY,vmBnGlfW5S 
[52780] SET_BUY_AMOUNT,vmBnGlfW5S,NHG,244.55 
[52904] DISPLAY_SUMMARY,vmBnGlfW5S 
[52999] ADD,vmBnGlfW5S,55984.59 
[53161] QUOTE,vmBnGlfW5S,BMW 
[53346] ADD,vmBnGlfW5S,33367.49 
[53347] BUY,vmBnGlfW5S,TFZ,682.93 
[53392] SET_BUY_TRIGGER,vmBnGlfW5S,GLJ,142.19 
[53620] DISPLAY_SUMMARY,vmBnGlfW5S 
[53624] QUOTE,vmBnGlfW5S,XOP 
[53838] COMMIT_SELL,vmBnGlfW5S 
[53869] SET_BUY_AMOUNT,vmBnGlfW5S,RUN,1.61 
[53874] SET_BUY_TRIGGER,vmBnGlfW5S,WSG,0.89 
[54016] DISPLAY_SUMMARY,vmBnGlfW5S 
[54051] BUY,vmBnGlfW5S,KRX,153.86 
[54299] COMMIT_BUY,vmBnGlfW5S 
[54416] SET_BUY_TRIGGER,vmBnGlfW5S,SPT,43.14 
[54455] SET_SELL_AMOUNT,vmBnGlfW5S,GYF,645.38 
[54496] SET_SELL_TRIGGER,vmBnGlfW5S,GYF,465.05 
[54538] ADD,vmBnGlfW5S,82010.46 
[54611] BUY,vmBnGlfW5S,FFZ,717.54 
[54688] BUY,vmBnGlfW5S,LLZ,573.59 
[54740] COMMIT_BUY,vmBnGlfW5S 
[54768] DISPLAY_SUMMARY,vmBnGlfW5S 
[54810] DISPLAY_SUMMARY,vmBnGlfW5S 
[54880] CANCEL_SELL,vmBnGlfW5S 
[54889] SELL,vmBnGlfW5S,RNK,475.66 
[54923] COMMIT_SELL,vmBnGlfW5S 
[54966] DISPLAY_SUMMARY,vmBnGlfW5S 
[55002] COMMIT_SELL,vmBnGlfW5S 
[55053] DISPLAY_SUMMARY,vmBnGlfW5S 
[55091] SELL,vmBnGlfW5S,BCQ,108.93 
[55336] CANCEL_SELL,vmBnGlfW5S 
[55788] BUY,vmBnGlfW5S,FLD,648.73 
[55813] DISPLAY_SUMMARY,vmBnGlfW5S 
[56005] DISPLAY_SUMMARY,vmBnGlfW5S 
[56071] SELL,vmBnGlfW5S,QJZ,554.90 
[56310] CANCEL_SELL,vmBnGlfW5S 
[56365] SELL,vmBnGlfW5S,RGH,450.15 
[56452] CANCEL_SET_SELL,vmBnGlfW5S,IOY 
[56637] SELL,vmBnGlfW5S,KDA,150.72 
[56682] CANCEL_SET_SELL,vmBnGlfW5S,VNO 
[56797] ADD,vmBnGlfW5S,76474.40 
[56979] QUOTE,vmBnGlfW5S,PXS 
[57059] SELL,vmBnGlfW5S,EBS,74.12 
[57221] COMMIT_SELL,vmBnGlfW5S 
[57377] SET_SELL_AMOUNT,vmBnGlfW5S,OEY,405.61 
[57380] QUOTE,vmBnGlfW5S,PFN 
[57424] CANCEL_SELL,vmBnGlfW5S 
[57434] BUY,vmBnGlfW5S,WCR,366.92 
[57554] COMMIT_BUY,vmBnGlfW5S 
[57660] SET_BUY_AMOUNT,vmBnGlfW5S,GYF,210.44 
[57695] SET_BUY_TRIGGER,vmBnGlfW5S,UDM,105.68 
[57874] BUY,vmBnGlfW5S,WQE,609.95 
[57888] COMMIT_BUY,vmBnGlfW5S 
[58093] SET_SELL_TRIGGER,vmBnGlfW5S,OEY,271.35 
[58170] COMMIT_SELL,vmBnGlfW5S 
[58409] QUOTE,vmBnGlfW5S,EAK 
[58426] BUY,vmBnGlfW5S,MFX,127.96 
[58451] COMMIT_SELL,vmBnGlfW5S 
[58509] QUOTE,vmBnGlfW5S,SDW 
[58644] QUOTE,vmBnGlfW5S,LSK 
[58779] BUY,vmBnGlfW5S,OGR,69.98 
[58804] COMMIT_BUY,vmBnGlfW5S 
[58842] SET_BUY_TRIGGER,vmBnGlfW5S,CLH,29.80 
[58906] BUY,vmBnGlfW5S,DMS,426.73 
[58958] COMMIT_BUY,vmBnGlfW5S 
[58979] ADD,vmBnGlfW5S,74474.85 
[58996] COMMIT_BUY,vmBnGlfW5S 
[59075] ADD,vmBnGlfW5S,56588.86 
[59094] QUOTE,vmBnGlfW5S,QUT 
[59159] QUOTE,vmBnGlfW5S,VWU 
[59317] QUOTE,vmBnGlfW5S,BHH 
[59374] BUY,vmBnGlfW5S,YRL,152.26 
[59616] CANCEL_BUY,vmBnGlfW5S 
[59683] QUOTE,vmBnGlfW5S,WNH 
[59703] QUOTE,vmBnGlfW5S,QPX 
[59754] SET_BUY_TRIGGER,vmBnGlfW5S,CBO,51.55 
[59812] DISPLAY_SUMMARY,vmBnGlfW5S 
[60015] ADD,vmBnGlfW5S,58413.95 
[60072] CANCEL_SET_SELL,vmBnGlfW5S,KLY 
[60230] SELL,vmBnGlfW5S,OEY,369.16 
[60231] COMMIT_BUY,vmBnGlfW5S 
[60285] ADD,vmBnGlfW5S,76845.48 
[60415] CANCEL_SET_BUY,vmBnGlfW5S,YUL 
[60463] DISPLAY_SUMMARY,vmBnGlfW5S 
[60533] DISPLAY_SUMMARY,vmBnGlfW5S 
[60552] SELL,vmBnGlfW5S,XXQ,377.49 
[60564] CANCEL_BUY,vmBnGlfW5S 
[60607] SET_SELL_TRIGGER,vmBnGlfW5S,JEA,11.28 
[60621] ADD,vmBnGlfW5S,79694.85 
[60642] BUY,vmBnGlfW5S,ULL,373.87 
[60758] SET_BUY_TRIGGER,vmBnGlfW5S,WBX,62.43 
[60911] DISPLAY_SUMMARY,vmBnGlfW5S 
[60968] SELL,vmBnGlfW5S,YJK,440.67 
[60990] BUY,vmBnGlfW5S,YDD,203.76 
[61283] COMMIT_BUY,vmBnGlfW5S 
[61290] QUOTE,vmBnGlfW5S,DVA 
[61375] QUOTE,vmBnGlfW5S,XUH 
[61418] SET_SELL_TRIGGER,vmBnGlfW5S,QAA,0.22 
[61555] DISPLAY_SUMMARY,vmBnGlfW5S 
[61745] SET_SELL_AMOUNT,vmBnGlfW5S,GYF,93.04 
[61774] SET_SELL_TRIGGER,vmBnGlfW5S,GYF,0.30 
[61807] DISPLAY_SUMMARY,vmBnGlfW5S 
[61868] ADD,vmBnGlfW5S,65898.05 
[61879] QUOTE,vmBnGlfW5S,GAV 
[61964] SET_BUY_TRIGGER,vmBnGlfW5S,YBO,14.31 
[62038] SET_BUY_AMOUNT,vmBnGlfW5S,ZYR,55.03 
[62301] SET_BUY_TRIGGER,vmBnGlfW5S,DFE,14.45 
[62419] SET_SELL_TRIGGER,vmBnGlfW5S,PLA,11.07 
[62538] SET_SELL_TRIGGER,vmBnGlfW5S,TSF,90.10 
[62572] QUOTE,vmBnGlfW5S,XLK 
[62575] QUOTE,vmBnGlfW5S,GJQ 
[62653] ADD,vmBnGlfW5S,72932.46 
[62683] QUOTE,vmBnGlfW5S,YQC 
[62690] SET_BUY_AMOUNT,vmBnGlfW5S,OPN,269.24 
[62712] SET_BUY_TRIGGER,vmBnGlfW5S,IVV,26.70 
[62907] DISPLAY_SUMMARY,vmBnGlfW5S 
[63070] BUY,vmBnGlfW5S,GXT,207.58 
[63134] CANCEL_BUY,vmBnGlfW5S 
[63306] ADD,vmBnGlfW5S,77824.76 
[63315] BUY,vmBnGlfW5S,AUX,300.21 
[63362] COMMIT_BUY,vmBnGlfW5S 
[63386] DISPLAY_SUMMARY,vmBnGlfW5S 
[63388] SET_SELL_AMOUNT,vmBnGlfW5S,ZAN,396.38 
[63424] SET_SELL_TRIGGER,vmBnGlfW5S,ZAN,302.51 
[63637] SET_SELL_AMOUNT,vmBnGlfW5S,QJZ,179.41 
[63705] SET_SELL_TRIGGER,vmBnGlfW5S,QJZ,108.59 
[63755] ADD,vmBnGlfW5S,52257.78 
[63801] BUY,vmBnGlfW5S,RGM,716.18 
[63949] CANCEL_BUY,vmBnGlfW5S 
[63998] SET_BUY_AMOUNT,vmBnGlfW5S,RGH,553.86 
[64255] SET_BUY_TRIGGER,vmBnGlfW5S,JFJ,79.61 
[64769] SET_BUY_AMOUNT,vmBnGlfW5S,ZAN,117.51 
[64872] CANCEL_SET_BUY,vmBnGlfW5S,AOC 
[64930] SELL,vmBnGlfW5S,AVX,460.70 
[65102] SET_BUY_TRIGGER,vmBnGlfW5S,HHC,35.47 
[65156] QUOTE,vmBnGlfW5S,IQJ 
[65206] SET_BUY_TRIGGER,vmBnGlfW5S,MHI,1.42 
[65233] ADD,vmBnGlfW5S,71139.65 
[65254] BUY,vmBnGlfW5S,MVQ,498.68 
[65284] COMMIT_BUY,vmBnGlfW5S 
[65815] SET_BUY_TRIGGER,vmBnGlfW5S,FOW,4.49 
[65874] SET_SELL_TRIGGER,vmBnGlfW5S,BSG,181.00 
[65998] QUOTE,vmBnGlfW5S,MOF 
[66005] COMMIT_SELL,vmBnGlfW5S 
[66257] SET_SELL_AMOUNT,vmBnGlfW5S,SUS,591.03 
[66330] SET_SELL_TRIGGER,vmBnGlfW5S,SUS,345.35 
[66802] SET_BUY_TRIGGER,vmBnGlfW5S,RDK,123.11 
[66993] BUY,vmBnGlfW5S,PHZ,630.59 
[67222] COMMIT_BUY,vmBnGlfW5S 
[67241] BUY,vmBnGlfW5S,GSW,579.93 
[67242] CANCEL_SET_BUY,vmBnGlfW5S,SYU 
[67277] SET_BUY_AMOUNT,vmBnGlfW5S,SUS,44.44 
[67299] SET_BUY_TRIGGER,vmBnGlfW5S,WGP,43.71 
[67488] QUOTE,vmBnGlfW5S,ZAO 
[67763] BUY,vmBnGlfW5S,SON,675.76 
[67935] CANCEL_SELL,vmBnGlfW5S 
[67961] BUY,vmBnGlfW5S,JQG,526.04 
[68165] COMMIT_BUY,vmBnGlfW5S 
[68235] SET_BUY_TRIGGER,vmBnGlfW5S,RJG,69.60 
[68422] COMMIT_SELL,vmBnGlfW5S 
[68474] SET_BUY_TRIGGER,vmBnGlfW5S,QTH,80.67 
[68486] SET_BUY_AMOUNT,vmBnGlfW5S,OPN,486.76 
[68655] SET_BUY_TRIGGER,vmBnGlfW5S,TTV,160.61 
[68730] ADD,vmBnGlfW5S,71244.56 
[68733] BUY,vmBnGlfW5S,GDF,662.23 
[68758] SET_BUY_AMOUNT,vmBnGlfW5S,YJK,711.14 
[68830] SET_BUY_TRIGGER,vmBnGlfW5S,YNH,664.29 
[68890] COMMIT_SELL,vmBnGlfW5S 
[68949] DISPLAY_SUMMARY,vmBnGlfW5S 
[69007] ADD,vmBnGlfW5S,102154.50 
[69100] QUOTE,vmBnGlfW5S,MIR 
[69187] QUOTE,vmBnGlfW5S,JTX 
[69221] QUOTE,vmBnGlfW5S,NLT 
[69344] BUY,vmBnGlfW5S,BRZ,535.00 
[69407] COMMIT_BUY,vmBnGlfW5S 
[69473] CANCEL_SET_SELL,vmBnGlfW5S,YXK 
[69826] SET_BUY_AMOUNT,vmBnGlfW5S,DFE,417.93 
[69827] QUOTE,vmBnGlfW5S,ZPD 
[69855] QUOTE,vmBnGlfW5S,GFN 
[69943] QUOTE,vmBnGlfW5S,WRN 
[70084] SET_BUY_TRIGGER,vmBnGlfW5S,OLI,68.58 
[70297] BUY,vmBnGlfW5S,JGO,670.98 
[70345] COMMIT_BUY,vmBnGlfW5S 
[70418] SET_SELL_AMOUNT,vmBnGlfW5S,JQO,594.32 
[70668] SET_SELL_TRIGGER,vmBnGlfW5S,JQO,261.81 
[70685] SELL,vmBnGlfW5S,YJK,29.80 
[70906] COMMIT_SELL,vmBnGlfW5S 
[70907] SET_SELL_TRIGGER,vmBnGlfW5S,JQJ,120.65 
[70941] SELL,vmBnGlfW5S,JQO,508.95 
[70946] SET_SELL_AMOUNT,vmBnGlfW5S,ZTI,658.98 
[70959] SET_SELL_TRIGGER,vmBnGlfW5S,ZTI,594.41 
[70978] CANCEL_SET_SELL,vmBnGlfW5S,ZFJ 
[70982] SET_SELL_AMOUNT,vmBnGlfW5S,RGH,214.88 
[71142] SET_SELL_TRIGGER,vmBnGlfW5S,RGH,184.79 
[71152] SET_SELL_AMOUNT,vmBnGlfW5S,EBS,27.94 
[71202] SET_SELL_TRIGGER,vmBnGlfW5S,EBS,21.16 
[71212] QUOTE,vmBnGlfW5S,TKV 
[71262] SET_SELL_AMOUNT,vmBnGlfW5S,OPN,39.08 
[71429] SET_SELL_TRIGGER,vmBnGlfW5S,OPN,2.79 
[71482] SET_BUY_AMOUNT,vmBnGlfW5S,FQP,297.53 
[71526] CANCEL_SET_BUY,vmBnGlfW5S,IBT 
[71565] DISPLAY_SUMMARY,vmBnGlfW5S 
[71600] DISPLAY_SUMMARY,vmBnGlfW5S 
[71610] CANCEL_SET_SELL,vmBnGlfW5S,OKK 
[71722] SELL,vmBnGlfW5S,ZAN,552.48 
[72014] CANCEL_SET_SELL,vmBnGlfW5S,STQ 
[72031] SET_SELL_AMOUNT,vmBnGlfW5S,GRM,416.88 
[72095] SET_SELL_TRIGGER,vmBnGlfW5S,GRM,334.98 
[72124] SET_SELL_AMOUNT,vmBnGlfW5S,CUZ,502.25 
[72316] SET_SELL_TRIGGER,vmBnGlfW5S,CUZ,323.57 
[72321] SET_SELL_AMOUNT,vmBnGlfW5S,JRJ,339.73 
[72416] SET_SELL_TRIGGER,vmBnGlfW5S,JRJ,47.51 
[72507] DISPLAY_SUMMARY,vmBnGlfW5S 
[72531] ADD,vmBnGlfW5S,62309.71 
[72861] QUOTE,vmBnGlfW5S,WNU 
[72971] COMMIT_BUY,vmBnGlfW5S 
[73057] ADD,vmBnGlfW5S,64986.15 
[73121] DISPLAY_SUMMARY,vmBnGlfW5S 
[73166] DISPLAY_SUMMARY,vmBnGlfW5S 
[73316] QUOTE,vmBnGlfW5S,KPP 
[73372] BUY,vmBnGlfW5S,NHB,489.28 
[73446] COMMIT_BUY,vmBnGlfW5S 
[73675] SET_SELL_TRIGGER,vmBnGlfW5S,CVV,107.87 
[73814] CANCEL_SELL,vmBnGlfW5S 
[73945] DISPLAY_SUMMARY,vmBnGlfW5S 
[73970] QUOTE,vmBnGlfW5S,WTL 
[73984] SET_BUY_AMOUNT,vmBnGlfW5S,QJZ,683.18 
[74085] SET_BUY_TRIGGER,vmBnGlfW5S,UJC,277.66 
[74277] ADD,vmBnGlfW5S,89236.16 
[74310] QUOTE,vmBnGlfW5S,JDO 
[74484] BUY,vmBnGlfW5S,WDC,12.99 
[74654] COMMIT_BUY,vmBnGlfW5S 
[74707] DISPLAY_SUMMARY,vmBnGlfW5S 
[74731] QUOTE,vmBnGlfW5S,SPP 
[74825] SET_SELL_AMOUNT,vmBnGlfW5S,RGH,386.06 
[75068] SET_SELL_TRIGGER,vmBnGlfW5S,RGH,322.47 
[75076] SET_SELL_AMOUNT,vmBnGlfW5S,RUN,162.90 
[75132] SET_SELL_TRIGGER,vmBnGlfW5S,RUN,73.19 
[75251] SELL,vmBnGlfW5S,YJK,276.73 
[75306] COMMIT_SELL,vmBnGlfW5S 
[75315] SELL,vmBnGlfW5S,LFU,736.22 
[75545] COMMIT_SELL,vmBnGlfW5S 
[75552] SET_SELL_AMOUNT,vmBnGlfW5S,LFU,723.23 
[75725] SET_SELL_TRIGGER,vmBnGlfW5S,LFU,138.70 
[75797] ADD,vmBnGlfW5S,57466.31 
[76036] QUOTE,vmBnGlfW5S,GNY 
[76042] SET_SELL_TRIGGER,vmBnGlfW5S,PMX,100.00 
[76069] QUOTE,vmBnGlfW5S,OLH 
[76108] ADD,vmBnGlfW5S,81470.96 
[76207] QUOTE,vmBnGlfW5S,NQU 
[76225] CANCEL_SELL,vmBnGlfW5S 
[76508] DISPLAY_SUMMARY,vmBnGlfW5S 
[76533] BUY,vmBnGlfW5S,TOZ,661.69 
[76639] COMMIT_BUY,vmBnGlfW5S 
[76777] QUOTE,vmBnGlfW5S,ISQ 
[76995] SET_BUY_AMOUNT,vmBnGlfW5S,RGH,210.83 
[77030] SET_BUY_TRIGGER,vmBnGlfW5S,HYX,188.80 
[77044] ADD,vmBnGlfW5S,81872.82 
[77076] QUOTE,vmBnGlfW5S,YJK 
[77120] SET_BUY_TRIGGER,vmBnGlfW5S,CVK,32.11 
[77129] ADD,vmBnGlfW5S,49695.96 
[77161] QUOTE,vmBnGlfW5S,MWV 
[77255] QUOTE,vmBnGlfW5S,NHB 
[77374] BUY,vmBnGlfW5S,RWM,2.74 
[77584] CANCEL_BUY,vmBnGlfW5S 
[77593] ADD,vmBnGlfW5S,69642.96 
[77596] SET_BUY_AMOUNT,vmBnGlfW5S,AVX,629.46 
[77688] SET_BUY_TRIGGER,vmBnGlfW5S,WDC,594.44 
[77717] SET_BUY_TRIGGER,vmBnGlfW5S,IPH,174.76 
[77840] SET_BUY_TRIGGER,vmBnGlfW5S,SDW,168.51 
[77990] DISPLAY_SUMMARY,vmBnGlfW5S 
[78005] SET_SELL_TRIGGER,vmBnGlfW5S,MHI,137.49 
[78071] DISPLAY_SUMMARY,vmBnGlfW5S 
[78130] CANCEL_SELL,vmBnGlfW5S 
[78209] ADD,vmBnGlfW5S,96166.70 
[78257] QUOTE,vmBnGlfW5S,PVZ 
[78482] DISPLAY_SUMMARY,vmBnGlfW5S 
[78540] DISPLAY_SUMMARY,vmBnGlfW5S 
[78647] CANCEL_SET_BUY,vmBnGlfW5S,KRY 
[78965] QUOTE,vmBnGlfW5S,MGO 
[78978] BUY,vmBnGlfW5S,NGH,636.90 
[79005] CANCEL_SET_SELL,vmBnGlfW5S,PGV 
[79152] ADD,vmBnGlfW5S,73724.20 
[79230] QUOTE,vmBnGlfW5S,UXP 
[79286] BUY,vmBnGlfW5S,CBK,561.30 
[79392] COMMIT_BUY,vmBnGlfW5S 
[79399] SET_SELL_TRIGGER,vmBnGlfW5S,YTT,99.32 
[79548] SET_BUY_AMOUNT,vmBnGlfW5S,CUZ,150.41 
[79578] SET_BUY_TRIGGER,vmBnGlfW5S,JHY,63.91 
[79595] DISPLAY_SUMMARY,vmBnGlfW5S 
[79597] ADD,vmBnGlfW5S,66696.84 
[79687] QUOTE,vmBnGlfW5S,YUL 
[79740] BUY,vmBnGlfW5S,CLP,559.80 
[79804] SET_SELL_TRIGGER,vmBnGlfW5S,NFO,185.47 
[79964] QUOTE,vmBnGlfW5S,JUE 
[79966] QUOTE,vmBnGlfW5S,KAS 
[79999] DISPLAY_SUMMARY,vmBnGlfW5S 
[80427] SET_BUY_TRIGGER,vmBnGlfW5S,HBF,45.54 
[80539] DISPLAY_SUMMARY,vmBnGlfW5S 
[80579] ADD,vmBnGlfW5S,78616.64 
[80598] SET_BUY_AMOUNT,vmBnGlfW5S,LFU,533.67 
[80709] QUOTE,vmBnGlfW5S,TXB 
[80918] ADD,vmBnGlfW5S,56673.72 
[80957] BUY,vmBnGlfW5S,VCN,110.72 
[81018] COMMIT_BUY,vmBnGlfW5S 
[81160] DISPLAY_SUMMARY,vmBnGlfW5S 
[81280] DISPLAY_SUMMARY,vmBnGlfW5S 
[81298] ADD,vmBnGlfW5S,78127.86 
[81556] QUOTE,vmBnGlfW5S,HEJ 
[81613] CANCEL_SET_BUY,vmBnGlfW5S,ZPD 
[81655] DISPLAY_SUMMARY,vmBnGlfW5S 
[81701] SET_BUY_AMOUNT,vmBnGlfW5S,CSZ,27.46 
[81907] CANCEL_SET_BUY,vmBnGlfW5S,BTA 
[82052] SET_SELL_AMOUNT,vmBnGlfW5S,RUN,485.83 
[82138] SET_SELL_TRIGGER,vmBnGlfW5S,RUN,214.56 
[82178] DISPLAY_SUMMARY,vmBnGlfW5S 
[82235] SET_SELL_TRIGGER,vmBnGlfW5S,SYU,188.25 
[82491] SET_SELL_AMOUNT,vmBnGlfW5S,SUS,609.91 
[82545] CANCEL_SET_SELL,vmBnGlfW5S,SUS 
[82612] SET_SELL_AMOUNT,vmBnGlfW5S,VTY,250.47 
[82695] SET_SELL_TRIGGER,vmBnGlfW5S,VTY,97.58 
[82752] QUOTE,vmBnGlfW5S,YZH 
[82766] CANCEL_SELL,vmBnGlfW5S 
[82811] SET_SELL_AMOUNT,vmBnGlfW5S,CEC,7.81 
[82872] BUY,vmBnGlfW5S,RDK,98.88 
[82957] COMMIT_BUY,vmBnGlfW5S 
[83098] ADD,vmBnGlfW5S,58584.56 
[83124] BUY,vmBnGlfW5S,SKY,531.91 
[83215] SELL,vmBnGlfW5S,OPN,511.73 
[83360] CANCEL_SET_SELL,vmBnGlfW5S,CEC 
[83557] QUOTE,vmBnGlfW5S,ZCQ 
[83565] ADD,vmBnGlfW5S,79162.88 
[83915] SET_SELL_TRIGGER,vmBnGlfW5S,WYO,184.33 
[83964] ADD,vmBnGlfW5S,111039.75 
[83970] BUY,vmBnGlfW5S,IGI,479.79 
[84361] COMMIT_BUY,vmBnGlfW5S 
[84561] SELL,vmBnGlfW5S,RUN,537.56 
[84582] QUOTE,vmBnGlfW5S,NQU 
[84944] COMMIT_SELL,vmBnGlfW5S 
[84985] BUY,vmBnGlfW5S,IFI,401.27 
[85023] COMMIT_BUY,vmBnGlfW5S 
[85290] SET_BUY_TRIGGER,vmBnGlfW5S,TQX,34.05 
[85343] SELL,vmBnGlfW5S,RUN,141.86 
[85400] COMMIT_SELL,vmBnGlfW5S 
[85694] QUOTE,vmBnGlfW5S,BFU 
[85815] SET_SELL_AMOUNT,vmBnGlfW5S,XLK,640.47 
[85988] QUOTE,vmBnGlfW5S,AUT 
[86031] COMMIT_BUY,vmBnGlfW5S 
[86082] DISPLAY_SUMMARY,vmBnGlfW5S 
[86094] COMMIT_BUY,vmBnGlfW5S 
[86368] DISPLAY_SUMMARY,vmBnGlfW5S 
[86414] DISPLAY_SUMMARY,vmBnGlfW5S 
[86484] BUY,vmBnGlfW5S,VUS,638.59 
[86502] COMMIT_BUY,vmBnGlfW5S 
[86534] BUY,vmBnGlfW5S,YTT,293.07 
[86604] COMMIT_BUY,vmBnGlfW5S 
[86749] SET_SELL_TRIGGER,vmBnGlfW5S,XLK,114.83 
[87139] SET_SELL_AMOUNT,vmBnGlfW5S,KYX,188.10 
[87155] SET_SELL_TRIGGER,vmBnGlfW5S,KYX,172.90 
[87392] ADD,vmBnGlfW5S,88820.78 
[87450] BUY,vmBnGlfW5S,RNK,498.96 
[87455] COMMIT_BUY,vmBnGlfW5S 
[87590] ADD,vmBnGlfW5S,90227.72 
[87768] SET_SELL_AMOUNT,vmBnGlfW5S,QGE,622.16 
[87825] SET_SELL_TRIGGER,vmBnGlfW5S,QGE,405.72 
[87950] ADD,vmBnGlfW5S,85333.46 
[88065] BUY,vmBnGlfW5S,CBK,426.56 
[88181] COMMIT_BUY,vmBnGlfW5S 
[88184] SET_BUY_TRIGGER,vmBnGlfW5S,SMS,170.78 
[88430] ADD,vmBnGlfW5S,79790.00 
[88492] BUY,vmBnGlfW5S,GHE,622.55 
[88561] CANCEL_BUY,vmBnGlfW5S 
[88563] SET_BUY_AMOUNT,vmBnGlfW5S,MFX,579.63 
[88715] SELL,vmBnGlfW5S,MXD,448.61 
[88833] DISPLAY_SUMMARY,vmBnGlfW5S 
[88946] SET_BUY_AMOUNT,vmBnGlfW5S,VTY,19.42 
[89228] QUOTE,vmBnGlfW5S,XII 
[89258] BUY,vmBnGlfW5S,NGB,74.41 
[89402] COMMIT_BUY,vmBnGlfW5S 
[89452] ADD,vmBnGlfW5S,55117.03 
[89532] BUY,vmBnGlfW5S,JHY,485.06 
[89576] CANCEL_BUY,vmBnGlfW5S 
[89681] ADD,vmBnGlfW5S,93499.85 
[89801] QUOTE,vmBnGlfW5S,XFA 
[89852] DISPLAY_SUMMARY,vmBnGlfW5S 
[89999] SET_SELL_AMOUNT,vmBnGlfW5S,ZTI,35.37 
[90165] SELL,vmBnGlfW5S,BYA,693.03 
[90238] COMMIT_SELL,vmBnGlfW5S 
[90291] BUY,vmBnGlfW5S,KAS,5.38 
[90295] COMMIT_BUY,vmBnGlfW5S 
[90396] DISPLAY_SUMMARY,vmBnGlfW5S 
[90397] SELL,vmBnGlfW5S,DFE,135.23 
[90693] SELL,vmBnGlfW5S,FDI,47.27 
[90760] COMMIT_SELL,vmBnGlfW5S 
