[129] ADD,akVcdarOA3,55139.92 
[53888] SET_SELL_TRIGGER,akVcdarOA3,DIX,56.03 
[53921] SELL,akVcdarOA3,RNK,479.60 
[53988] QUOTE,akVcdarOA3,IUN 
[54092] QUOTE,akVcdarOA3,CCH 
[54161] BUY,akVcdarOA3,NAR,519.06 
[54336] COMMIT_BUY,akVcdarOA3 
[54337] SET_BUY_AMOUNT,akVcdarOA3,UTV,396.79 
[54442] BUY,akVcdarOA3,IPJ,731.00 
[54602] SELL,akVcdarOA3,BCQ,732.47 
[54723] COMMIT_SELL,akVcdarOA3 
[54879] SELL,akVcdarOA3,QJZ,325.34 
[54973] CANCEL_BUY,akVcdarOA3 
[54978] SET_BUY_AMOUNT,akVcdarOA3,JCQ,320.68 
[55011] SET_BUY_TRIGGER,akVcdarOA3,EOY,138.86 
[55016] DISPLAY_SUMMARY,akVcdarOA3 
[55117] SET_BUY_AMOUNT,akVcdarOA3,YJK,27.93 
[55125] SET_BUY_TRIGGER,akVcdarOA3,ZKV,10.50 
[55142] SELL,akVcdarOA3,FDI,72.74 
[55194] QUOTE,akVcdarOA3,LQN 
[55255] QUOTE,akVcdarOA3,IPH 
[55564] ADD,akVcdarOA3,58612.45 
[55599] QUOTE,akVcdarOA3,LPB 
[55703] CANCEL_SELL,akVcdarOA3 
[55751] ADD,akVcdarOA3,79984.35 
[56044] SELL,akVcdarOA3,FDI,108.93 
[56138] CANCEL_SELL,akVcdarOA3 
[56284] SET_BUY_TRIGGER,akVcdarOA3,DWF,117.28 
[56406] QUOTE,akVcdarOA3,NKC 
[56614] SET_BUY_AMOUNT,akVcdarOA3,OPN,302.12 
[56625] SET_BUY_TRIGGER,akVcdarOA3,SQI,186.92 
[56853] SET_SELL_AMOUNT,akVcdarOA3,OPN,440.38 
[56868] SET_SELL_TRIGGER,akVcdarOA3,OPN,156.71 
[57121] ADD,akVcdarOA3,57025.85 
[57215] BUY,akVcdarOA3,FTP,739.90 
[57312] SET_SELL_TRIGGER,akVcdarOA3,MIQ,54.87 
[57407] SET_SELL_TRIGGER,akVcdarOA3,RGM,159.36 
[57425] DISPLAY_SUMMARY,akVcdarOA3 
[57565] ADD,akVcdarOA3,71663.98 
[57664] BUY,akVcdarOA3,EDW,464.73 
[57704] COMMIT_BUY,akVcdarOA3 
[57771] ADD,akVcdarOA3,61995.05 
[58057] BUY,akVcdarOA3,FQP,456.45 
[58157] QUOTE,akVcdarOA3,ZEG 
[58186] BUY,akVcdarOA3,DGA,461.22 
[58318] SET_BUY_AMOUNT,akVcdarOA3,CUZ,565.74 
[58406] SET_BUY_TRIGGER,akVcdarOA3,IPH,165.56 
[58548] SET_BUY_AMOUNT,akVcdarOA3,FQP,282.08 
[58746] SET_BUY_TRIGGER,akVcdarOA3,BWR,44.54 
[58799] COMMIT_BUY,akVcdarOA3 
[58822] BUY,akVcdarOA3,YBP,709.81 
[58941] SET_SELL_TRIGGER,akVcdarOA3,MVQ,125.26 
[59212] SET_SELL_TRIGGER,akVcdarOA3,IZU,16.38 
[59226] SET_BUY_AMOUNT,akVcdarOA3,YJK,581.29 
[59261] SET_BUY_TRIGGER,akVcdarOA3,VNN,472.48 
[59479] SET_SELL_TRIGGER,akVcdarOA3,FMJ,37.73 
[59501] SELL,akVcdarOA3,NHG,108.31 
[59586] COMMIT_SELL,akVcdarOA3 
[59604] SET_BUY_AMOUNT,akVcdarOA3,JQO,230.89 
[59668] DISPLAY_SUMMARY,akVcdarOA3 
[59823] SELL,akVcdarOA3,RUN,248.28 
[59896] COMMIT_BUY,akVcdarOA3 
[60147] QUOTE,akVcdarOA3,MVD 
[60207] BUY,akVcdarOA3,TVI,235.96 
[60342] COMMIT_BUY,akVcdarOA3 
[60354] SELL,akVcdarOA3,QJZ,640.80 
[60360] COMMIT_SELL,akVcdarOA3 
[60380] SET_BUY_TRIGGER,akVcdarOA3,TWJ,53.15 
[60389] ADD,akVcdarOA3,46404.20 
[60584] BUY,akVcdarOA3,MXD,494.74 
[60779] SELL,akVcdarOA3,FQP,725.19 
[60841] COMMIT_SELL,akVcdarOA3 
[60891] BUY,akVcdarOA3,IEQ,192.46 
[61084] COMMIT_BUY,akVcdarOA3 
[61103] SET_BUY_AMOUNT,akVcdarOA3,OEY,106.35 
[61325] CANCEL_SET_BUY,akVcdarOA3,CWA 
[61341] SELL,akVcdarOA3,KDA,396.65 
[61455] CANCEL_SET_BUY,akVcdarOA3,NHG 
[61620] SET_SELL_AMOUNT,akVcdarOA3,LFU,312.15 
[61639] BUY,akVcdarOA3,WFR,673.43 
[61652] COMMIT_BUY,akVcdarOA3 
[62018] BUY,akVcdarOA3,GUW,319.98 
[62192] COMMIT_BUY,akVcdarOA3 
[62207] DISPLAY_SUMMARY,akVcdarOA3 
[62341] DISPLAY_SUMMARY,akVcdarOA3 
[62592] DISPLAY_SUMMARY,akVcdarOA3 
[62659] CANCEL_BUY,akVcdarOA3 
[62705] ADD,akVcdarOA3,81664.44 
[62736] BUY,akVcdarOA3,GRM,711.23 
[62929] COMMIT_BUY,akVcdarOA3 
[62978] DISPLAY_SUMMARY,akVcdarOA3 
[63043] ADD,akVcdarOA3,67525.18 
[63080] QUOTE,akVcdarOA3,ZCO 
[63153] QUOTE,akVcdarOA3,QPR 
[63159] ADD,akVcdarOA3,64840.95 
[63341] QUOTE,akVcdarOA3,IQZ 
[63409] QUOTE,akVcdarOA3,UUJ 
[63519] BUY,akVcdarOA3,PHJ,403.63 
[63552] CANCEL_BUY,akVcdarOA3 
[63610] ADD,akVcdarOA3,87895.92 
[63662] BUY,akVcdarOA3,FFN,219.46 
[63820] COMMIT_BUY,akVcdarOA3 
[63997] BUY,akVcdarOA3,KJH,613.88 
[64061] CANCEL_SELL,akVcdarOA3 
[64085] ADD,akVcdarOA3,56434.76 
[64178] BUY,akVcdarOA3,RQT,67.01 
[64348] COMMIT_BUY,akVcdarOA3 
[64612] ADD,akVcdarOA3,73678.83 
[64729] BUY,akVcdarOA3,LGL,293.83 
[64822] QUOTE,akVcdarOA3,SWD 
[64827] QUOTE,akVcdarOA3,ZZD 
[64969] BUY,akVcdarOA3,KBN,362.21 
[64970] DISPLAY_SUMMARY,akVcdarOA3 
[64999] SET_BUY_AMOUNT,akVcdarOA3,ZAN,152.04 
[65082] SET_BUY_TRIGGER,akVcdarOA3,WOJ,100.58 
[65133] SET_BUY_AMOUNT,akVcdarOA3,ZAN,374.67 
[65440] DISPLAY_SUMMARY,akVcdarOA3 
[65504] DISPLAY_SUMMARY,akVcdarOA3 
[65574] ADD,akVcdarOA3,83086.01 
[65695] BUY,akVcdarOA3,DVU,346.92 
[65936] COMMIT_BUY,akVcdarOA3 
[65981] SELL,akVcdarOA3,CSZ,595.20 
[66019] COMMIT_SELL,akVcdarOA3 
[66092] ADD,akVcdarOA3,71752.66 
[66282] COMMIT_BUY,akVcdarOA3 
[66286] BUY,akVcdarOA3,PXS,345.05 
[66292] CANCEL_BUY,akVcdarOA3 
[66638] BUY,akVcdarOA3,OIV,174.61 
[66675] CANCEL_BUY,akVcdarOA3 
[66836] DISPLAY_SUMMARY,akVcdarOA3 
[66910] QUOTE,akVcdarOA3,XAN 
[66920] BUY,akVcdarOA3,NDD,72.12 
[67018] COMMIT_BUY,akVcdarOA3 
[67082] DISPLAY_SUMMARY,akVcdarOA3 
[67099] SET_BUY_AMOUNT,akVcdarOA3,ZYR,29.17 
[67117] QUOTE,akVcdarOA3,ESN 
[67182] SET_BUY_AMOUNT,akVcdarOA3,FQP,647.05 
[67291] SET_BUY_TRIGGER,akVcdarOA3,QAX,244.29 
[67389] ADD,akVcdarOA3,57521.97 
[67445] BUY,akVcdarOA3,IUN,185.50 
[67614] SET_BUY_TRIGGER,akVcdarOA3,HZE,191.38 
[67625] ADD,akVcdarOA3,65762.19 
[67802] QUOTE,akVcdarOA3,JMX 
[67835] BUY,akVcdarOA3,QBD,233.04 
[68057] COMMIT_BUY,akVcdarOA3 
[68582] SET_SELL_AMOUNT,akVcdarOA3,CUZ,21.21 
[68592] SET_SELL_TRIGGER,akVcdarOA3,CUZ,9.50 
[68740] SET_SELL_AMOUNT,akVcdarOA3,OPN,172.80 
[68805] BUY,akVcdarOA3,WXV,330.11 
[68872] CANCEL_SET_BUY,akVcdarOA3,YUR 
[68955] COMMIT_BUY,akVcdarOA3 
[69054] ADD,akVcdarOA3,60472.20 
[69240] QUOTE,akVcdarOA3,ETB 
[69429] BUY,akVcdarOA3,GIK,111.69 
[69468] COMMIT_BUY,akVcdarOA3 
[69537] ADD,akVcdarOA3,70596.84 
[69581] BUY,akVcdarOA3,OOV,276.86 
[69746] QUOTE,akVcdarOA3,JIC 
[69771] CANCEL_SELL,akVcdarOA3 
[69837] ADD,akVcdarOA3,81369.82 
[69838] BUY,akVcdarOA3,MOF,518.76 
[70375] COMMIT_BUY,akVcdarOA3 
[70444] ADD,akVcdarOA3,53106.72 
[70721] BUY,akVcdarOA3,BOS,743.42 
[70733] COMMIT_BUY,akVcdarOA3 
[70798] SET_SELL_AMOUNT,akVcdarOA3,CEC,75.69 
[70880] SET_SELL_TRIGGER,akVcdarOA3,CEC,65.44 
[70901] SET_SELL_AMOUNT,akVcdarOA3,LFU,397.89 
[70920] SET_SELL_TRIGGER,akVcdarOA3,LFU,320.53 
[70956] SET_BUY_AMOUNT,akVcdarOA3,GRM,738.39 
[71022] SET_BUY_TRIGGER,akVcdarOA3,VFH,408.29 
[71039] BUY,akVcdarOA3,EOS,481.81 
[71094] COMMIT_BUY,akVcdarOA3 
[71112] ADD,akVcdarOA3,73987.67 
[71170] QUOTE,akVcdarOA3,GXT 
[71289] BUY,akVcdarOA3,KZZ,584.78 
[71310] COMMIT_BUY,akVcdarOA3 
[71549] SET_BUY_AMOUNT,akVcdarOA3,ZYR,147.88 
[71986] SELL,akVcdarOA3,FDI,537.78 
[72150] SET_BUY_AMOUNT,akVcdarOA3,PTP,537.26 
[72249] QUOTE,akVcdarOA3,IFQ 
[72348] SET_BUY_AMOUNT,akVcdarOA3,OPN,600.55 
[72419] SET_BUY_TRIGGER,akVcdarOA3,BWR,185.12 
[72512] ADD,akVcdarOA3,44822.19 
[72541] QUOTE,akVcdarOA3,JTY 
[72604] BUY,akVcdarOA3,HEJ,522.32 
[72681] COMMIT_BUY,akVcdarOA3 
[72830] SET_SELL_TRIGGER,akVcdarOA3,SSW,120.83 
[73137] SET_SELL_TRIGGER,akVcdarOA3,HSH,177.97 
[73143] SET_BUY_TRIGGER,akVcdarOA3,BLC,83.65 
[73511] SELL,akVcdarOA3,SUS,576.87 
[73699] DISPLAY_SUMMARY,akVcdarOA3 
[73883] SET_BUY_TRIGGER,akVcdarOA3,QTH,99.78 
[74100] SET_SELL_TRIGGER,akVcdarOA3,BRZ,33.62 
[74178] BUY,akVcdarOA3,GCW,41.96 
[74384] CANCEL_BUY,akVcdarOA3 
[74639] ADD,akVcdarOA3,71774.96 
[75001] QUOTE,akVcdarOA3,FVS 
[75147] BUY,akVcdarOA3,LMO,104.76 
[75148] COMMIT_SELL,akVcdarOA3 
[75269] SET_SELL_AMOUNT,akVcdarOA3,KBN,101.18 
[75478] SET_SELL_TRIGGER,akVcdarOA3,KBN,38.38 
[75528] BUY,akVcdarOA3,MUN,525.53 
[75565] SET_BUY_TRIGGER,akVcdarOA3,PCK,59.47 
[75578] SET_SELL_TRIGGER,akVcdarOA3,DWU,67.02 
[75735] SELL,akVcdarOA3,XLK,194.77 
[75913] SELL,akVcdarOA3,DFE,527.88 
[75932] COMMIT_SELL,akVcdarOA3 
[76034] SET_SELL_AMOUNT,akVcdarOA3,XQC,653.11 
[76035] SET_SELL_TRIGGER,akVcdarOA3,XQC,629.79 
[76316] DISPLAY_SUMMARY,akVcdarOA3 
[76444] ADD,akVcdarOA3,76502.28 
[76481] SELL,akVcdarOA3,KYX,116.59 
[76646] BUY,akVcdarOA3,ZWB,67.61 
[76721] COMMIT_BUY,akVcdarOA3 
[76817] SET_SELL_AMOUNT,akVcdarOA3,KBN,116.51 
[76906] BUY,akVcdarOA3,AAC,325.04 
[77034] COMMIT_BUY,akVcdarOA3 
[77069] SET_SELL_TRIGGER,akVcdarOA3,KBN,62.02 
[77087] DISPLAY_SUMMARY,akVcdarOA3 
[77148] SELL,akVcdarOA3,KBN,206.60 
[77480] SET_BUY_TRIGGER,akVcdarOA3,ZWC,15.73 
[77553] DISPLAY_SUMMARY,akVcdarOA3 
[77655] SELL,akVcdarOA3,TVI,448.53 
[77765] SET_SELL_AMOUNT,akVcdarOA3,YJK,64.93 
[77779] BUY,akVcdarOA3,QPE,312.88 
[77792] COMMIT_BUY,akVcdarOA3 
[77962] SELL,akVcdarOA3,QGE,378.45 
[78210] COMMIT_SELL,akVcdarOA3 
[78526] ADD,akVcdarOA3,50336.65 
[78558] QUOTE,akVcdarOA3,SPT 
[78746] QUOTE,akVcdarOA3,ZFT 
[78855] SET_BUY_AMOUNT,akVcdarOA3,UTV,90.82 
[78863] BUY,akVcdarOA3,XLK,565.75 
[79049] SET_BUY_AMOUNT,akVcdarOA3,BCQ,506.45 
[79093] SET_BUY_TRIGGER,akVcdarOA3,USW,61.59 
[79105] SET_SELL_TRIGGER,akVcdarOA3,YJK,7.59 
[79153] SET_BUY_TRIGGER,akVcdarOA3,SEI,156.45 
[79200] SET_SELL_AMOUNT,akVcdarOA3,JRJ,243.29 
[79282] CANCEL_SET_SELL,akVcdarOA3,JRJ 
[79334] SELL,akVcdarOA3,EBS,60.87 
[79353] QUOTE,akVcdarOA3,KYT 
[79371] ADD,akVcdarOA3,88560.34 
[79470] CANCEL_BUY,akVcdarOA3 
[79554] QUOTE,akVcdarOA3,LSK 
[79573] BUY,akVcdarOA3,VEN,266.44 
[79606] COMMIT_BUY,akVcdarOA3 
[79615] BUY,akVcdarOA3,XBL,725.76 
[79642] COMMIT_BUY,akVcdarOA3 
[79665] SET_SELL_TRIGGER,akVcdarOA3,DMW,66.79 
[79688] SELL,akVcdarOA3,MFX,680.41 
[79776] CANCEL_SET_BUY,akVcdarOA3,GAN 
[79797] QUOTE,akVcdarOA3,OIY 
[79985] QUOTE,akVcdarOA3,BMW 
[80050] BUY,akVcdarOA3,YMG,13.03 
[80097] COMMIT_BUY,akVcdarOA3 
[80207] SET_BUY_TRIGGER,akVcdarOA3,ZTR,135.21 
[80338] ADD,akVcdarOA3,62044.05 
[80490] BUY,akVcdarOA3,WKL,20.62 
[80738] CANCEL_SET_SELL,akVcdarOA3,ALM 
[80756] QUOTE,akVcdarOA3,FDI 
[80809] BUY,akVcdarOA3,KTU,326.14 
[80813] CANCEL_SET_SELL,akVcdarOA3,AUT 
[80868] ADD,akVcdarOA3,61522.68 
[80894] QUOTE,akVcdarOA3,SYU 
[80931] COMMIT_SELL,akVcdarOA3 
[81009] QUOTE,akVcdarOA3,VZB 
[81015] QUOTE,akVcdarOA3,WGP 
[81021] SET_BUY_AMOUNT,akVcdarOA3,QGE,295.21 
[81039] SET_BUY_TRIGGER,akVcdarOA3,UDN,55.58 
[81091] SET_SELL_TRIGGER,akVcdarOA3,KWP,174.25 
[81143] BUY,akVcdarOA3,CXW,393.09 
[81398] CANCEL_BUY,akVcdarOA3 
[81735] SET_BUY_TRIGGER,akVcdarOA3,LLO,118.49 
[81745] DISPLAY_SUMMARY,akVcdarOA3 
[81792] ADD,akVcdarOA3,88646.74 
[81814] BUY,akVcdarOA3,STQ,4.17 
[81921] COMMIT_SELL,akVcdarOA3 
[81948] BUY,akVcdarOA3,LJZ,618.77 
[82062] COMMIT_BUY,akVcdarOA3 
[82070] SELL,akVcdarOA3,UBJ,78.97 
[82133] COMMIT_SELL,akVcdarOA3 
[82333] BUY,akVcdarOA3,SFR,223.07 
[82560] BUY,akVcdarOA3,JLK,264.58 
[82611] SET_SELL_AMOUNT,akVcdarOA3,CSZ,546.28 
[82671] SELL,akVcdarOA3,DFE,651.38 
[82719] CANCEL_SELL,akVcdarOA3 
[82786] SET_SELL_AMOUNT,akVcdarOA3,VTY,72.62 
[82807] DISPLAY_SUMMARY,akVcdarOA3 
[83050] QUOTE,akVcdarOA3,EOS 
[83132] SET_BUY_AMOUNT,akVcdarOA3,XQC,629.56 
[83188] SET_BUY_TRIGGER,akVcdarOA3,PDB,78.28 
[83282] SELL,akVcdarOA3,KDA,164.27 
[83313] BUY,akVcdarOA3,PHZ,491.61 
[83368] COMMIT_BUY,akVcdarOA3 
[83401] QUOTE,akVcdarOA3,GWF 
[83499] QUOTE,akVcdarOA3,FKX 
[83532] QUOTE,akVcdarOA3,YBP 
[83696] BUY,akVcdarOA3,KRY,100.70 
[83733] COMMIT_BUY,akVcdarOA3 
[83737] SELL,akVcdarOA3,CEC,300.71 
[83746] COMMIT_SELL,akVcdarOA3 
[83822] SET_BUY_TRIGGER,akVcdarOA3,JQJ,77.37 
[83848] SET_SELL_AMOUNT,akVcdarOA3,ZYR,662.54 
[83872] SET_SELL_TRIGGER,akVcdarOA3,ZYR,117.77 
[83876] SET_SELL_AMOUNT,akVcdarOA3,XXQ,396.32 
[83878] SET_SELL_TRIGGER,akVcdarOA3,XXQ,93.46 
[84185] SELL,akVcdarOA3,PTP,621.55 
[84253] CANCEL_SELL,akVcdarOA3 
[84295] SELL,akVcdarOA3,VTY,474.37 
[84419] COMMIT_SELL,akVcdarOA3 
[84461] SELL,akVcdarOA3,XQC,512.83 
[84543] CANCEL_SELL,akVcdarOA3 
[84877] DISPLAY_SUMMARY,akVcdarOA3 
[84992] SELL,akVcdarOA3,AJR,486.73 
[85160] COMMIT_SELL,akVcdarOA3 
[85374] CANCEL_BUY,akVcdarOA3 
[85375] BUY,akVcdarOA3,GSW,244.83 
[85609] DISPLAY_SUMMARY,akVcdarOA3 
[85689] SET_BUY_TRIGGER,akVcdarOA3,CLH,9.17 
[85737] SELL,akVcdarOA3,SSF,269.75 
[86029] CANCEL_SET_BUY,akVcdarOA3,CLH 
[86059] ADD,akVcdarOA3,39567.24 
[86151] BUY,akVcdarOA3,WAI,232.16 
[86197] SELL,akVcdarOA3,OEY,422.84 
[86304] DISPLAY_SUMMARY,akVcdarOA3 
[86335] BUY,akVcdarOA3,FOV,529.87 
[86337] BUY,akVcdarOA3,IFQ,220.12 
[86507] CANCEL_SELL,akVcdarOA3 
[86683] SELL,akVcdarOA3,CSZ,660.78 
[86688] CANCEL_SET_BUY,akVcdarOA3,RRT 
[86724] DISPLAY_SUMMARY,akVcdarOA3 
[86782] ADD,akVcdarOA3,58588.59 
[86882] BUY,akVcdarOA3,FIY,448.06 
[87082] COMMIT_BUY,akVcdarOA3 
[87140] ADD,akVcdarOA3,76566.87 
[87201] QUOTE,akVcdarOA3,ASJ 
[87254] SET_BUY_TRIGGER,akVcdarOA3,LAW,106.06 
[87272] SET_BUY_TRIGGER,akVcdarOA3,LAW,40.47 
[87360] SET_BUY_AMOUNT,akVcdarOA3,UBJ,434.13 
[87463] SET_BUY_TRIGGER,akVcdarOA3,OIY,268.06 
[87492] QUOTE,akVcdarOA3,BBD 
[87576] DISPLAY_SUMMARY,akVcdarOA3 
[87711] ADD,akVcdarOA3,63134.78 
[87813] QUOTE,akVcdarOA3,URA 
[87845] BUY,akVcdarOA3,KYT,638.41 
[87893] SELL,akVcdarOA3,CSZ,264.29 
[88375] COMMIT_SELL,akVcdarOA3 
[88395] SET_SELL_AMOUNT,akVcdarOA3,KBN,328.46 
[88447] SET_SELL_TRIGGER,akVcdarOA3,KBN,232.59 
[88625] QUOTE,akVcdarOA3,IRQ 
[88783] COMMIT_BUY,akVcdarOA3 
[88988] SET_SELL_AMOUNT,akVcdarOA3,KBN,546.21 
[89013] SET_SELL_TRIGGER,akVcdarOA3,KBN,474.51 
[89018] DISPLAY_SUMMARY,akVcdarOA3 
[89279] DISPLAY_SUMMARY,akVcdarOA3 
[89480] DISPLAY_SUMMARY,akVcdarOA3 
[89703] DISPLAY_SUMMARY,akVcdarOA3 
[89761] DISPLAY_SUMMARY,akVcdarOA3 
[89840] DISPLAY_SUMMARY,akVcdarOA3 
[90014] SET_SELL_AMOUNT,akVcdarOA3,TKM,692.17 
[90307] SET_SELL_TRIGGER,akVcdarOA3,TKM,270.67 
[90329] QUOTE,akVcdarOA3,LRS 
[90334] SET_BUY_TRIGGER,akVcdarOA3,LAM,44.69 
[90360] ADD,akVcdarOA3,61081.27 
[90388] QUOTE,akVcdarOA3,SVV 
[90569] DISPLAY_SUMMARY,akVcdarOA3 
[90625] QUOTE,akVcdarOA3,SIK 
[90858] ADD,akVcdarOA3,71913.59 
[90968] BUY,akVcdarOA3,MJU,387.01 
[91170] COMMIT_BUY,akVcdarOA3 
[91294] SET_SELL_TRIGGER,akVcdarOA3,EUM,177.21 
[91323] SET_SELL_TRIGGER,akVcdarOA3,MIQ,14.31 
[91478] SET_SELL_TRIGGER,akVcdarOA3,HSJ,73.89 
[91576] DISPLAY_SUMMARY,akVcdarOA3 
[91804] COMMIT_BUY,akVcdarOA3 
[91957] BUY,akVcdarOA3,FZB,304.19 
[92077] COMMIT_BUY,akVcdarOA3 
[92087] DISPLAY_SUMMARY,akVcdarOA3 
[92172] CANCEL_SET_SELL,akVcdarOA3,ISQ 
[92243] ADD,akVcdarOA3,66474.92 
[92251] BUY,akVcdarOA3,ZAN,127.80 
[92254] DISPLAY_SUMMARY,akVcdarOA3 
[92284] SET_SELL_TRIGGER,akVcdarOA3,BHH,25.00 
[92406] SET_BUY_AMOUNT,akVcdarOA3,SUS,708.33 
[92446] SET_BUY_TRIGGER,akVcdarOA3,XXN,576.91 
[92534] SET_SELL_TRIGGER,akVcdarOA3,TOZ,28.94 
[92623] SET_SELL_AMOUNT,akVcdarOA3,YJK,99.38 
[92655] SET_SELL_TRIGGER,akVcdarOA3,YJK,25.47 
[92781] BUY,akVcdarOA3,CJV,101.17 
[92783] SET_BUY_TRIGGER,akVcdarOA3,NHB,151.57 
[93153] SET_BUY_AMOUNT,akVcdarOA3,QGE,673.15 
[93156] SET_BUY_TRIGGER,akVcdarOA3,VAT,671.71 
[93364] SELL,akVcdarOA3,FQP,258.60 
[93385] COMMIT_SELL,akVcdarOA3 
[93637] SET_BUY_AMOUNT,akVcdarOA3,XQC,489.74 
[93710] SET_BUY_TRIGGER,akVcdarOA3,JMX,317.11 
[93895] SET_BUY_TRIGGER,akVcdarOA3,PBV,151.82 
[93905] ADD,akVcdarOA3,51842.10 
[94055] BUY,akVcdarOA3,QLM,575.27 
[94059] COMMIT_BUY,akVcdarOA3 
[94152] ADD,akVcdarOA3,61354.12 
[94269] QUOTE,akVcdarOA3,PHJ 
[94425] QUOTE,akVcdarOA3,BRT 
[94478] ADD,akVcdarOA3,106810.12 
[94676] QUOTE,akVcdarOA3,TSS 
[94725] QUOTE,akVcdarOA3,SOA 
[94747] SET_BUY_TRIGGER,akVcdarOA3,FIY,183.52 
[94825] ADD,akVcdarOA3,51025.20 
[95001] QUOTE,akVcdarOA3,OEM 
[95007] ADD,akVcdarOA3,66232.73 
[95062] QUOTE,akVcdarOA3,DRO 
[95108] SELL,akVcdarOA3,TVI,282.62 
[95145] QUOTE,akVcdarOA3,FVA 
[95243] BUY,akVcdarOA3,GZU,623.52 
[95248] CANCEL_BUY,akVcdarOA3 
[95291] ADD,akVcdarOA3,95951.07 
[95314] QUOTE,akVcdarOA3,FCH 
[95508] SET_BUY_AMOUNT,akVcdarOA3,QGE,452.22 
[95512] CANCEL_SET_BUY,akVcdarOA3,KRX 
[95513] SET_BUY_AMOUNT,akVcdarOA3,GRM,232.20 
[95931] SET_BUY_TRIGGER,akVcdarOA3,LLF,139.39 
[96043] DISPLAY_SUMMARY,akVcdarOA3 
[96319] ADD,akVcdarOA3,92705.20 
[96399] QUOTE,akVcdarOA3,TXB 
[96443] BUY,akVcdarOA3,ISQ,555.06 
[96744] QUOTE,akVcdarOA3,MMF 
[96953] SET_SELL_AMOUNT,akVcdarOA3,CUZ,50.82 
[97053] SET_SELL_TRIGGER,akVcdarOA3,CUZ,37.07 
[97088] ADD,akVcdarOA3,68814.00 
[97297] QUOTE,akVcdarOA3,QOQ 
[97307] SET_SELL_TRIGGER,akVcdarOA3,ASJ,24.15 
[97496] QUOTE,akVcdarOA3,STQ 
[97677] QUOTE,akVcdarOA3,GPW 
[97773] QUOTE,akVcdarOA3,KVJ 
[97811] CANCEL_SET_BUY,akVcdarOA3,FRB 
[97904] ADD,akVcdarOA3,70990.38 
[97957] QUOTE,akVcdarOA3,KAF 
[98040] QUOTE,akVcdarOA3,YLZ 
[98111] DISPLAY_SUMMARY,akVcdarOA3 
[98202] CANCEL_SELL,akVcdarOA3 
[98264] ADD,akVcdarOA3,81396.40 
[98310] QUOTE,akVcdarOA3,JIC 
[98443] CANCEL_SET_SELL,akVcdarOA3,JJW 
[98468] BUY,akVcdarOA3,MJU,10.27 
[98505] COMMIT_SELL,akVcdarOA3 
[98640] SET_SELL_TRIGGER,akVcdarOA3,JJW,87.09 
[99010] SET_SELL_TRIGGER,akVcdarOA3,JXW,125.32 
[99038] QUOTE,akVcdarOA3,NXU 
[99273] SET_SELL_AMOUNT,akVcdarOA3,TKM,53.43 
[99322] SET_SELL_TRIGGER,akVcdarOA3,TKM,29.38 
[99481] SET_SELL_TRIGGER,akVcdarOA3,QXE,22.93 
[99578] SET_BUY_TRIGGER,akVcdarOA3,AJR,159.88 
[99698] BUY,akVcdarOA3,JMG,46.45 
[99719] DISPLAY_SUMMARY,akVcdarOA3 
[99928] BUY,akVcdarOA3,LAM,504.23 
