[54] ADD,e6JAmPjBmb,64837.51 
[45823] CANCEL_SET_SELL,e6JAmPjBmb,KDA 
[45918] DISPLAY_SUMMARY,e6JAmPjBmb 
[45991] DISPLAY_SUMMARY,e6JAmPjBmb 
[46198] SET_BUY_TRIGGER,e6JAmPjBmb,XZN,90.84 
[46277] QUOTE,e6JAmPjBmb,CLP 
[46295] QUOTE,e6JAmPjBmb,WKL 
[46453] CANCEL_SET_BUY,e6JAmPjBmb,ARP 
[46536] SET_BUY_TRIGGER,e6JAmPjBmb,CEC,156.08 
[46805] SET_BUY_AMOUNT,e6JAmPjBmb,RUN,400.10 
[47337] SET_BUY_TRIGGER,e6JAmPjBmb,FMJ,150.06 
[47351] SET_SELL_TRIGGER,e6JAmPjBmb,BHJ,103.46 
[47593] SET_SELL_TRIGGER,e6JAmPjBmb,MLU,134.10 
[47595] SET_SELL_AMOUNT,e6JAmPjBmb,OPN,415.01 
[47690] SET_SELL_TRIGGER,e6JAmPjBmb,OPN,226.00 
[47711] SET_SELL_AMOUNT,e6JAmPjBmb,JVT,33.72 
[47744] SELL,e6JAmPjBmb,JVT,140.66 
[47854] COMMIT_SELL,e6JAmPjBmb 
[47938] DISPLAY_SUMMARY,e6JAmPjBmb 
[47942] COMMIT_SELL,e6JAmPjBmb 
[48038] QUOTE,e6JAmPjBmb,IBT 
[48231] COMMIT_SELL,e6JAmPjBmb 
[48295] QUOTE,e6JAmPjBmb,HYX 
[48466] BUY,e6JAmPjBmb,DNJ,484.07 
[48560] CANCEL_SET_SELL,e6JAmPjBmb,JVT 
[48566] QUOTE,e6JAmPjBmb,ZNW 
[48768] SET_BUY_AMOUNT,e6JAmPjBmb,CUZ,57.58 
[48842] SET_BUY_TRIGGER,e6JAmPjBmb,YKB,37.45 
[49046] ADD,e6JAmPjBmb,72217.97 
[49064] QUOTE,e6JAmPjBmb,NVN 
[49140] QUOTE,e6JAmPjBmb,PVZ 
[49197] CANCEL_SET_BUY,e6JAmPjBmb,URD 
[49535] SET_BUY_TRIGGER,e6JAmPjBmb,KIP,73.37 
[49578] SET_BUY_AMOUNT,e6JAmPjBmb,FQP,216.39 
[49590] SET_BUY_TRIGGER,e6JAmPjBmb,JGG,39.32 
[49618] DISPLAY_SUMMARY,e6JAmPjBmb 
[49759] SET_SELL_AMOUNT,e6JAmPjBmb,CSZ,560.50 
[49766] SET_SELL_TRIGGER,e6JAmPjBmb,CSZ,18.75 
[49982] SET_BUY_AMOUNT,e6JAmPjBmb,JCQ,671.76 
[50085] SET_BUY_TRIGGER,e6JAmPjBmb,MPP,371.07 
[50102] DISPLAY_SUMMARY,e6JAmPjBmb 
[50457] DISPLAY_SUMMARY,e6JAmPjBmb 
[50557] SET_SELL_AMOUNT,e6JAmPjBmb,BCQ,327.08 
[50569] SET_SELL_TRIGGER,e6JAmPjBmb,BCQ,297.50 
[50664] ADD,e6JAmPjBmb,70429.40 
[50750] QUOTE,e6JAmPjBmb,RQF 
[50792] BUY,e6JAmPjBmb,FTP,338.02 
[51004] COMMIT_BUY,e6JAmPjBmb 
[51224] DISPLAY_SUMMARY,e6JAmPjBmb 
[51302] SET_BUY_TRIGGER,e6JAmPjBmb,NOP,125.57 
[51347] SET_SELL_AMOUNT,e6JAmPjBmb,RUN,679.72 
[51368] CANCEL_SET_SELL,e6JAmPjBmb,RUN 
[51369] SELL,e6JAmPjBmb,JCQ,472.56 
[51432] CANCEL_SELL,e6JAmPjBmb 
[51552] SET_SELL_TRIGGER,e6JAmPjBmb,RVU,70.72 
[51649] SET_BUY_TRIGGER,e6JAmPjBmb,OZT,44.45 
[51743] SET_BUY_TRIGGER,e6JAmPjBmb,PTC,10.59 
[51775] SET_BUY_AMOUNT,e6JAmPjBmb,XXQ,550.85 
[52192] SET_BUY_TRIGGER,e6JAmPjBmb,IFU,303.46 
[52343] QUOTE,e6JAmPjBmb,JPP 
[52625] DISPLAY_SUMMARY,e6JAmPjBmb 
[52763] QUOTE,e6JAmPjBmb,MJU 
[53229] BUY,e6JAmPjBmb,PIE,136.82 
[53234] COMMIT_BUY,e6JAmPjBmb 
[53318] SET_BUY_AMOUNT,e6JAmPjBmb,KES,737.83 
[53359] SET_BUY_TRIGGER,e6JAmPjBmb,RXB,315.88 
[53856] SELL,e6JAmPjBmb,FQP,231.50 
[53873] COMMIT_SELL,e6JAmPjBmb 
[54056] ADD,e6JAmPjBmb,70921.40 
[54169] BUY,e6JAmPjBmb,BWL,581.34 
[54309] DISPLAY_SUMMARY,e6JAmPjBmb 
[54325] SET_BUY_TRIGGER,e6JAmPjBmb,MLI,91.87 
[54409] QUOTE,e6JAmPjBmb,QGE 
[54510] BUY,e6JAmPjBmb,OFP,663.00 
[54758] CANCEL_BUY,e6JAmPjBmb 
[54802] DISPLAY_SUMMARY,e6JAmPjBmb 
[54850] QUOTE,e6JAmPjBmb,VMK 
[55103] SET_SELL_AMOUNT,e6JAmPjBmb,JZJ,335.06 
[55113] BUY,e6JAmPjBmb,WDC,317.65 
[55373] COMMIT_BUY,e6JAmPjBmb 
[55467] ADD,e6JAmPjBmb,108069.61 
[55503] BUY,e6JAmPjBmb,YRO,557.70 
[55524] COMMIT_BUY,e6JAmPjBmb 
[55892] QUOTE,e6JAmPjBmb,SHP 
[55966] CANCEL_SELL,e6JAmPjBmb 
[56129] SET_BUY_AMOUNT,e6JAmPjBmb,ZYR,11.99 
[56246] SET_BUY_TRIGGER,e6JAmPjBmb,FIC,3.29 
[56295] ADD,e6JAmPjBmb,63004.96 
[56506] QUOTE,e6JAmPjBmb,SQO 
[56532] SELL,e6JAmPjBmb,XLK,655.95 
[56556] COMMIT_SELL,e6JAmPjBmb 
[56629] ADD,e6JAmPjBmb,63492.16 
[56782] QUOTE,e6JAmPjBmb,OQZ 
[56795] BUY,e6JAmPjBmb,KDG,629.88 
[56894] SET_SELL_AMOUNT,e6JAmPjBmb,KES,296.21 
[57051] BUY,e6JAmPjBmb,YZH,468.95 
[57212] COMMIT_BUY,e6JAmPjBmb 
[57241] DISPLAY_SUMMARY,e6JAmPjBmb 
[57395] SET_SELL_TRIGGER,e6JAmPjBmb,KES,70.45 
[57613] SET_BUY_TRIGGER,e6JAmPjBmb,YVS,136.73 
[57655] CANCEL_SET_SELL,e6JAmPjBmb,MUN 
[57659] CANCEL_BUY,e6JAmPjBmb 
[57731] SET_BUY_AMOUNT,e6JAmPjBmb,QAX,10.45 
[57750] SET_BUY_TRIGGER,e6JAmPjBmb,DKV,2.72 
[57775] ADD,e6JAmPjBmb,83911.36 
[57830] SELL,e6JAmPjBmb,OEY,28.10 
[57887] CANCEL_SET_SELL,e6JAmPjBmb,YVS 
[58023] QUOTE,e6JAmPjBmb,XFA 
[58259] QUOTE,e6JAmPjBmb,RWY 
[58374] QUOTE,e6JAmPjBmb,FKI 
[58400] SET_BUY_AMOUNT,e6JAmPjBmb,ZAN,232.55 
[58667] SET_BUY_TRIGGER,e6JAmPjBmb,UDM,69.93 
[59021] SET_BUY_TRIGGER,e6JAmPjBmb,PXS,51.74 
[59118] ADD,e6JAmPjBmb,80496.62 
[59158] QUOTE,e6JAmPjBmb,FTP 
[59248] BUY,e6JAmPjBmb,OOI,716.56 
[59344] SET_BUY_TRIGGER,e6JAmPjBmb,RRZ,81.59 
[59464] ADD,e6JAmPjBmb,62895.77 
[59581] QUOTE,e6JAmPjBmb,UDM 
[59594] DISPLAY_SUMMARY,e6JAmPjBmb 
[59718] QUOTE,e6JAmPjBmb,BZX 
[59888] SET_BUY_AMOUNT,e6JAmPjBmb,JVT,72.90 
[60024] SET_BUY_TRIGGER,e6JAmPjBmb,XCL,49.40 
[60030] ADD,e6JAmPjBmb,87284.36 
[60051] QUOTE,e6JAmPjBmb,PLA 
[60059] QUOTE,e6JAmPjBmb,MIQ 
[60080] QUOTE,e6JAmPjBmb,FZB 
[60160] QUOTE,e6JAmPjBmb,SHP 
[60197] DISPLAY_SUMMARY,e6JAmPjBmb 
[60251] SET_BUY_AMOUNT,e6JAmPjBmb,JRJ,125.70 
[60273] SET_BUY_TRIGGER,e6JAmPjBmb,BEC,116.74 
[60279] SELL,e6JAmPjBmb,YJK,22.11 
[60495] COMMIT_SELL,e6JAmPjBmb 
[60716] DISPLAY_SUMMARY,e6JAmPjBmb 
[60785] BUY,e6JAmPjBmb,VKP,142.84 
[60919] CANCEL_SELL,e6JAmPjBmb 
[61062] DISPLAY_SUMMARY,e6JAmPjBmb 
[61191] COMMIT_BUY,e6JAmPjBmb 
[61330] SELL,e6JAmPjBmb,GYF,645.13 
[61346] COMMIT_SELL,e6JAmPjBmb 
[61483] ADD,e6JAmPjBmb,52876.31 
[61521] QUOTE,e6JAmPjBmb,OPN 
[61626] BUY,e6JAmPjBmb,BJL,203.33 
[61792] COMMIT_BUY,e6JAmPjBmb 
[61816] QUOTE,e6JAmPjBmb,EGB 
[62185] QUOTE,e6JAmPjBmb,LZB 
[62190] QUOTE,e6JAmPjBmb,DMW 
[62714] BUY,e6JAmPjBmb,ZEG,72.72 
[62764] CANCEL_BUY,e6JAmPjBmb 
[62780] BUY,e6JAmPjBmb,BBD,188.73 
[63094] COMMIT_BUY,e6JAmPjBmb 
[63291] SET_SELL_AMOUNT,e6JAmPjBmb,BYA,303.93 
[63331] SELL,e6JAmPjBmb,RGH,156.96 
[63463] COMMIT_SELL,e6JAmPjBmb 
[63478] SET_BUY_TRIGGER,e6JAmPjBmb,IZS,13.16 
[63651] DISPLAY_SUMMARY,e6JAmPjBmb 
[63736] QUOTE,e6JAmPjBmb,BPP 
[64003] QUOTE,e6JAmPjBmb,VIG 
[64110] BUY,e6JAmPjBmb,ECL,556.12 
[64306] SET_BUY_TRIGGER,e6JAmPjBmb,VEN,65.32 
[64641] ADD,e6JAmPjBmb,50679.38 
[64702] BUY,e6JAmPjBmb,ZFJ,694.62 
[64899] COMMIT_BUY,e6JAmPjBmb 
[65066] SET_SELL_TRIGGER,e6JAmPjBmb,BYA,63.21 
[65137] SET_BUY_AMOUNT,e6JAmPjBmb,NHG,652.65 
[65171] QUOTE,e6JAmPjBmb,QAA 
[65261] SELL,e6JAmPjBmb,AVX,113.77 
[65272] ADD,e6JAmPjBmb,40473.92 
[65309] QUOTE,e6JAmPjBmb,CMD 
[65336] COMMIT_SELL,e6JAmPjBmb 
[65360] SET_SELL_AMOUNT,e6JAmPjBmb,QJZ,570.72 
[65543] SET_SELL_TRIGGER,e6JAmPjBmb,QJZ,181.08 
[65549] SET_SELL_TRIGGER,e6JAmPjBmb,DWX,168.04 
[65554] SET_SELL_TRIGGER,e6JAmPjBmb,AXK,54.92 
[65646] ADD,e6JAmPjBmb,98770.98 
[65691] CANCEL_SET_SELL,e6JAmPjBmb,OOV 
[65770] SET_BUY_TRIGGER,e6JAmPjBmb,LSG,581.11 
[65777] SET_BUY_TRIGGER,e6JAmPjBmb,MXD,133.35 
[65789] QUOTE,e6JAmPjBmb,KHY 
[65924] BUY,e6JAmPjBmb,SKV,406.24 
[65967] SET_SELL_TRIGGER,e6JAmPjBmb,PBV,130.14 
[66066] ADD,e6JAmPjBmb,71300.68 
[66087] BUY,e6JAmPjBmb,KJH,739.82 
[66127] COMMIT_BUY,e6JAmPjBmb 
[66248] DISPLAY_SUMMARY,e6JAmPjBmb 
[66318] SELL,e6JAmPjBmb,ZAN,55.45 
[66356] QUOTE,e6JAmPjBmb,PSJ 
[66441] CANCEL_SELL,e6JAmPjBmb 
[66446] BUY,e6JAmPjBmb,QPZ,229.04 
[66704] COMMIT_BUY,e6JAmPjBmb 
[66722] BUY,e6JAmPjBmb,FYA,546.09 
[66753] SET_BUY_TRIGGER,e6JAmPjBmb,FCM,53.08 
[66760] DISPLAY_SUMMARY,e6JAmPjBmb 
[66815] SET_SELL_AMOUNT,e6JAmPjBmb,UTV,249.05 
[66851] SELL,e6JAmPjBmb,RNK,113.04 
[66858] CANCEL_SELL,e6JAmPjBmb 
[66884] DISPLAY_SUMMARY,e6JAmPjBmb 
[66960] ADD,e6JAmPjBmb,74810.31 
[66981] CANCEL_SELL,e6JAmPjBmb 
[67001] QUOTE,e6JAmPjBmb,NHG 
[67107] BUY,e6JAmPjBmb,FVA,120.54 
[67204] SET_SELL_TRIGGER,e6JAmPjBmb,UTV,222.28 
[67287] QUOTE,e6JAmPjBmb,WCR 
[67318] SET_SELL_AMOUNT,e6JAmPjBmb,BCQ,554.06 
[67551] DISPLAY_SUMMARY,e6JAmPjBmb 
[68006] ADD,e6JAmPjBmb,69874.39 
[68112] BUY,e6JAmPjBmb,PWK,556.43 
[68219] COMMIT_BUY,e6JAmPjBmb 
[68232] SET_SELL_AMOUNT,e6JAmPjBmb,JCQ,350.17 
[68288] SET_SELL_TRIGGER,e6JAmPjBmb,JCQ,315.38 
[68340] SET_SELL_AMOUNT,e6JAmPjBmb,RUN,581.36 
[68483] SET_SELL_TRIGGER,e6JAmPjBmb,RUN,528.71 
[68522] ADD,e6JAmPjBmb,66476.84 
[68551] QUOTE,e6JAmPjBmb,AJR 
[68657] CANCEL_SELL,e6JAmPjBmb 
[68736] SELL,e6JAmPjBmb,FDI,220.38 
[68946] SET_SELL_AMOUNT,e6JAmPjBmb,KDA,687.10 
[69039] SET_SELL_TRIGGER,e6JAmPjBmb,KDA,85.86 
[69045] QUOTE,e6JAmPjBmb,JJW 
[69128] QUOTE,e6JAmPjBmb,YUR 
[69298] BUY,e6JAmPjBmb,ZNW,258.30 
[70093] CANCEL_SELL,e6JAmPjBmb 
[70113] BUY,e6JAmPjBmb,LKK,65.84 
[70221] COMMIT_BUY,e6JAmPjBmb 
[70435] BUY,e6JAmPjBmb,ZKV,307.52 
[70555] SET_BUY_AMOUNT,e6JAmPjBmb,OPN,168.32 
[70769] SET_BUY_TRIGGER,e6JAmPjBmb,CDF,107.45 
[71061] SET_SELL_AMOUNT,e6JAmPjBmb,LFU,651.44 
[71138] DISPLAY_SUMMARY,e6JAmPjBmb 
[71161] QUOTE,e6JAmPjBmb,IHW 
[71301] DISPLAY_SUMMARY,e6JAmPjBmb 
[71418] QUOTE,e6JAmPjBmb,SSF 
[71462] QUOTE,e6JAmPjBmb,FQU 
[71476] SET_BUY_AMOUNT,e6JAmPjBmb,CEC,259.44 
[71685] SELL,e6JAmPjBmb,PTP,313.66 
[71816] COMMIT_SELL,e6JAmPjBmb 
[72029] DISPLAY_SUMMARY,e6JAmPjBmb 
[72032] SELL,e6JAmPjBmb,JCQ,459.55 
[72063] DISPLAY_SUMMARY,e6JAmPjBmb 
[72179] SELL,e6JAmPjBmb,GRM,602.88 
[72430] COMMIT_SELL,e6JAmPjBmb 
[72436] QUOTE,e6JAmPjBmb,NDD 
[72515] CANCEL_SELL,e6JAmPjBmb 
[72631] BUY,e6JAmPjBmb,PZE,259.96 
[72657] COMMIT_BUY,e6JAmPjBmb 
[72713] QUOTE,e6JAmPjBmb,ZWZ 
[72719] BUY,e6JAmPjBmb,MDZ,546.72 
[72878] COMMIT_BUY,e6JAmPjBmb 
[72985] DISPLAY_SUMMARY,e6JAmPjBmb 
[73106] ADD,e6JAmPjBmb,75578.16 
[73127] QUOTE,e6JAmPjBmb,NSN 
[73129] BUY,e6JAmPjBmb,BHH,439.90 
[73573] COMMIT_BUY,e6JAmPjBmb 
[73634] SET_BUY_AMOUNT,e6JAmPjBmb,OEY,78.14 
[73656] SET_BUY_TRIGGER,e6JAmPjBmb,OSA,20.98 
[73663] SELL,e6JAmPjBmb,EBS,50.39 
[73798] COMMIT_SELL,e6JAmPjBmb 
[73811] BUY,e6JAmPjBmb,MLU,608.94 
[73847] SET_SELL_AMOUNT,e6JAmPjBmb,RNK,85.71 
[73897] SET_SELL_TRIGGER,e6JAmPjBmb,RNK,69.35 
[73975] ADD,e6JAmPjBmb,79678.77 
[73993] QUOTE,e6JAmPjBmb,PMX 
[74091] BUY,e6JAmPjBmb,KJM,34.63 
[74293] CANCEL_SET_BUY,e6JAmPjBmb,XOP 
[74344] BUY,e6JAmPjBmb,GCL,635.41 
[74405] COMMIT_BUY,e6JAmPjBmb 
[74463] SET_BUY_TRIGGER,e6JAmPjBmb,IKK,157.29 
[74469] CANCEL_SET_BUY,e6JAmPjBmb,SKY 
[74537] SET_SELL_TRIGGER,e6JAmPjBmb,TVX,37.84 
[74579] QUOTE,e6JAmPjBmb,SCW 
[74841] BUY,e6JAmPjBmb,UTD,189.24 
[74868] COMMIT_BUY,e6JAmPjBmb 
[74885] SET_SELL_AMOUNT,e6JAmPjBmb,IFN,660.58 
[75028] SET_SELL_TRIGGER,e6JAmPjBmb,IFN,283.61 
[75093] SELL,e6JAmPjBmb,EBS,379.19 
[75115] SET_SELL_TRIGGER,e6JAmPjBmb,KPP,156.15 
[75143] QUOTE,e6JAmPjBmb,XQC 
[75446] SET_SELL_AMOUNT,e6JAmPjBmb,UTV,314.25 
[75685] SELL,e6JAmPjBmb,CEC,2.48 
[75768] COMMIT_SELL,e6JAmPjBmb 
[76009] SET_SELL_AMOUNT,e6JAmPjBmb,UIE,591.24 
[76014] SELL,e6JAmPjBmb,CEC,166.23 
[76032] COMMIT_SELL,e6JAmPjBmb 
[76058] ADD,e6JAmPjBmb,76576.43 
[76280] QUOTE,e6JAmPjBmb,XME 
[76286] SET_BUY_TRIGGER,e6JAmPjBmb,HDR,103.60 
[76343] QUOTE,e6JAmPjBmb,ZER 
[76428] SET_BUY_AMOUNT,e6JAmPjBmb,UIE,194.12 
[76435] SET_BUY_TRIGGER,e6JAmPjBmb,YQC,57.45 
[76505] COMMIT_BUY,e6JAmPjBmb 
[76543] SET_SELL_AMOUNT,e6JAmPjBmb,AVX,26.73 
[76603] SET_SELL_TRIGGER,e6JAmPjBmb,AVX,23.79 
[76620] SET_SELL_AMOUNT,e6JAmPjBmb,KDA,301.91 
[76924] SELL,e6JAmPjBmb,AVX,478.46 
[77027] SET_BUY_TRIGGER,e6JAmPjBmb,ZMK,142.28 
[77067] DISPLAY_SUMMARY,e6JAmPjBmb 
[77151] QUOTE,e6JAmPjBmb,OTD 
[77316] ADD,e6JAmPjBmb,54880.86 
[77326] QUOTE,e6JAmPjBmb,XTH 
[77439] BUY,e6JAmPjBmb,XLV,37.95 
[77501] COMMIT_BUY,e6JAmPjBmb 
[77580] QUOTE,e6JAmPjBmb,VMK 
[77943] BUY,e6JAmPjBmb,JZJ,371.82 
[77999] SET_BUY_AMOUNT,e6JAmPjBmb,PTP,257.89 
[78011] SET_BUY_TRIGGER,e6JAmPjBmb,GYT,248.35 
[78242] ADD,e6JAmPjBmb,59930.66 
[78312] BUY,e6JAmPjBmb,DES,330.75 
[78338] CANCEL_BUY,e6JAmPjBmb 
[78351] DISPLAY_SUMMARY,e6JAmPjBmb 
[78454] BUY,e6JAmPjBmb,UMV,654.58 
[78460] CANCEL_SET_SELL,e6JAmPjBmb,KDA 
[78498] SET_SELL_AMOUNT,e6JAmPjBmb,RNK,458.32 
[78507] SET_SELL_TRIGGER,e6JAmPjBmb,RNK,114.42 
[78530] SET_SELL_TRIGGER,e6JAmPjBmb,NXU,11.60 
[78625] BUY,e6JAmPjBmb,RDK,709.91 
[78806] COMMIT_BUY,e6JAmPjBmb 
[79043] COMMIT_BUY,e6JAmPjBmb 
[79176] COMMIT_BUY,e6JAmPjBmb 
[79300] ADD,e6JAmPjBmb,47957.49 
[79326] BUY,e6JAmPjBmb,NUV,346.91 
[79352] COMMIT_BUY,e6JAmPjBmb 
[79501] SET_BUY_AMOUNT,e6JAmPjBmb,OPN,364.76 
[79530] SET_BUY_TRIGGER,e6JAmPjBmb,PUU,138.42 
[79673] SELL,e6JAmPjBmb,GRM,196.57 
[79761] COMMIT_SELL,e6JAmPjBmb 
[79917] QUOTE,e6JAmPjBmb,ZGN 
[79954] COMMIT_SELL,e6JAmPjBmb 
[80054] SELL,e6JAmPjBmb,OPN,606.99 
[80337] SET_SELL_AMOUNT,e6JAmPjBmb,CUZ,664.50 
[81005] SET_SELL_TRIGGER,e6JAmPjBmb,CUZ,148.77 
[81043] QUOTE,e6JAmPjBmb,VVV 
[81057] BUY,e6JAmPjBmb,YTT,726.21 
[81384] COMMIT_SELL,e6JAmPjBmb 
[81428] ADD,e6JAmPjBmb,62515.85 
[81442] BUY,e6JAmPjBmb,NKC,516.44 
[81524] COMMIT_BUY,e6JAmPjBmb 
[81533] SET_BUY_TRIGGER,e6JAmPjBmb,ZFJ,153.75 
[81638] SELL,e6JAmPjBmb,KBN,389.75 
[81687] CANCEL_SELL,e6JAmPjBmb 
[81688] BUY,e6JAmPjBmb,YWC,54.60 
[81799] COMMIT_BUY,e6JAmPjBmb 
[81884] BUY,e6JAmPjBmb,CMA,320.28 
[81903] SET_BUY_TRIGGER,e6JAmPjBmb,XAN,93.08 
[82087] SET_SELL_TRIGGER,e6JAmPjBmb,FVS,77.81 
[82124] SELL,e6JAmPjBmb,QAX,318.13 
[82204] COMMIT_SELL,e6JAmPjBmb 
[82284] QUOTE,e6JAmPjBmb,ZER 
[82310] COMMIT_BUY,e6JAmPjBmb 
[82346] ADD,e6JAmPjBmb,67002.00 
[82371] BUY,e6JAmPjBmb,HPN,218.19 
[82378] CANCEL_BUY,e6JAmPjBmb 
[82462] SELL,e6JAmPjBmb,JZJ,139.11 
[82566] COMMIT_SELL,e6JAmPjBmb 
[82583] BUY,e6JAmPjBmb,XLV,323.31 
[82663] DISPLAY_SUMMARY,e6JAmPjBmb 
[82959] DISPLAY_SUMMARY,e6JAmPjBmb 
[82982] SET_SELL_AMOUNT,e6JAmPjBmb,UIE,168.56 
[83167] BUY,e6JAmPjBmb,IGT,116.45 
[83358] SELL,e6JAmPjBmb,JRJ,438.43 
[83377] COMMIT_SELL,e6JAmPjBmb 
[83438] BUY,e6JAmPjBmb,NJF,486.20 
[83470] COMMIT_BUY,e6JAmPjBmb 
[83502] BUY,e6JAmPjBmb,BTD,555.59 
[83512] BUY,e6JAmPjBmb,SYM,595.87 
[83613] COMMIT_BUY,e6JAmPjBmb 
[83620] SET_SELL_TRIGGER,e6JAmPjBmb,UIE,133.52 
[83747] SET_BUY_TRIGGER,e6JAmPjBmb,WJS,17.62 
[83925] SET_SELL_AMOUNT,e6JAmPjBmb,AVX,388.97 
[84034] SET_SELL_TRIGGER,e6JAmPjBmb,AVX,225.36 
[84238] BUY,e6JAmPjBmb,KAF,44.40 
[84270] CANCEL_BUY,e6JAmPjBmb 
[84752] ADD,e6JAmPjBmb,62615.43 
[84812] COMMIT_BUY,e6JAmPjBmb 
[84914] BUY,e6JAmPjBmb,BHQ,362.74 
[85077] CANCEL_SELL,e6JAmPjBmb 
[85079] SET_SELL_TRIGGER,e6JAmPjBmb,ZTI,161.08 
[85165] SELL,e6JAmPjBmb,YDS,79.26 
[85220] COMMIT_SELL,e6JAmPjBmb 
[85224] SET_BUY_TRIGGER,e6JAmPjBmb,YGK,135.25 
[85306] CANCEL_SELL,e6JAmPjBmb 
[85366] SET_BUY_TRIGGER,e6JAmPjBmb,MWV,136.60 
[85494] ADD,e6JAmPjBmb,104347.22 
[85504] BUY,e6JAmPjBmb,GDO,161.82 
[85542] COMMIT_BUY,e6JAmPjBmb 
[85604] ADD,e6JAmPjBmb,84179.32 
[85680] CANCEL_SET_SELL,e6JAmPjBmb,WFR 
[85713] QUOTE,e6JAmPjBmb,DWU 
[85757] QUOTE,e6JAmPjBmb,WOJ 
[85835] ADD,e6JAmPjBmb,71776.38 
[86309] QUOTE,e6JAmPjBmb,KLY 
[86407] ADD,e6JAmPjBmb,56785.66 
[86419] CANCEL_SET_SELL,e6JAmPjBmb,KAR 
[86496] DISPLAY_SUMMARY,e6JAmPjBmb 
[86738] BUY,e6JAmPjBmb,QOD,529.45 
[87039] COMMIT_BUY,e6JAmPjBmb 
[87181] ADD,e6JAmPjBmb,47087.15 
[87191] BUY,e6JAmPjBmb,VZB,304.28 
[87335] COMMIT_BUY,e6JAmPjBmb 
[87502] SET_BUY_AMOUNT,e6JAmPjBmb,QAX,173.85 
[87568] SET_BUY_TRIGGER,e6JAmPjBmb,HTD,134.82 
[87571] ADD,e6JAmPjBmb,49019.11 
[87710] QUOTE,e6JAmPjBmb,WHR 
[87984] BUY,e6JAmPjBmb,BHJ,635.14 
[88019] COMMIT_BUY,e6JAmPjBmb 
[88091] ADD,e6JAmPjBmb,47105.05 
[88257] BUY,e6JAmPjBmb,DGA,491.26 
[88307] SET_BUY_TRIGGER,e6JAmPjBmb,BDX,195.96 
[88366] DISPLAY_SUMMARY,e6JAmPjBmb 
[88935] SET_BUY_AMOUNT,e6JAmPjBmb,QAX,117.44 
[88956] DISPLAY_SUMMARY,e6JAmPjBmb 
[88986] QUOTE,e6JAmPjBmb,JGG 
[88994] SET_BUY_AMOUNT,e6JAmPjBmb,XLK,252.74 
[89439] SET_BUY_TRIGGER,e6JAmPjBmb,LPR,118.14 
[89478] SET_BUY_AMOUNT,e6JAmPjBmb,XXQ,692.92 
[89578] SET_BUY_TRIGGER,e6JAmPjBmb,JPD,114.46 
[89609] DISPLAY_SUMMARY,e6JAmPjBmb 
[89727] CANCEL_BUY,e6JAmPjBmb 
[89737] SET_BUY_TRIGGER,e6JAmPjBmb,MVI,151.63 
[89771] QUOTE,e6JAmPjBmb,SCK 
[89791] QUOTE,e6JAmPjBmb,VNF 
[89797] CANCEL_BUY,e6JAmPjBmb 
[89945] SELL,e6JAmPjBmb,KBN,71.74 
[90013] CANCEL_SET_SELL,e6JAmPjBmb,XQG 
[90234] DISPLAY_SUMMARY,e6JAmPjBmb 
[90300] DISPLAY_SUMMARY,e6JAmPjBmb 
[90383] BUY,e6JAmPjBmb,VMT,712.74 
[90915] COMMIT_BUY,e6JAmPjBmb 
[90933] COMMIT_SELL,e6JAmPjBmb 
[91022] SET_SELL_TRIGGER,e6JAmPjBmb,SBT,184.29 
[91037] DISPLAY_SUMMARY,e6JAmPjBmb 
[91054] ADD,e6JAmPjBmb,70951.51 
[91220] BUY,e6JAmPjBmb,CXW,93.50 
[91669] BUY,e6JAmPjBmb,RQL,477.48 
[91748] DISPLAY_SUMMARY,e6JAmPjBmb 
[91814] SELL,e6JAmPjBmb,KBN,217.69 
[91905] CANCEL_SELL,e6JAmPjBmb 
[91921] QUOTE,e6JAmPjBmb,ZTR 
[91934] COMMIT_BUY,e6JAmPjBmb 
[91936] BUY,e6JAmPjBmb,KEO,120.01 
[92022] COMMIT_BUY,e6JAmPjBmb 
[92073] QUOTE,e6JAmPjBmb,DMS 
[92157] QUOTE,e6JAmPjBmb,UIE 
[92337] QUOTE,e6JAmPjBmb,BTA 
[92382] QUOTE,e6JAmPjBmb,CTI 
[92574] SET_SELL_AMOUNT,e6JAmPjBmb,KYX,22.88 
[92602] SET_SELL_TRIGGER,e6JAmPjBmb,KYX,22.22 
[92889] ADD,e6JAmPjBmb,84331.87 
[92893] QUOTE,e6JAmPjBmb,ZNW 
[93158] SET_BUY_TRIGGER,e6JAmPjBmb,KMV,97.57 
[93290] SET_SELL_TRIGGER,e6JAmPjBmb,HPN,11.17 
[93369] ADD,e6JAmPjBmb,62651.33 
[93379] QUOTE,e6JAmPjBmb,LHC 
[93461] COMMIT_SELL,e6JAmPjBmb 
[93479] SELL,e6JAmPjBmb,QVK,503.26 
[93480] COMMIT_SELL,e6JAmPjBmb 
[93484] SET_SELL_AMOUNT,e6JAmPjBmb,FQP,331.74 
[93522] SET_SELL_TRIGGER,e6JAmPjBmb,FQP,83.77 
[93585] BUY,e6JAmPjBmb,PPY,645.83 
[93774] COMMIT_BUY,e6JAmPjBmb 
[93838] ADD,e6JAmPjBmb,59579.85 
[93960] QUOTE,e6JAmPjBmb,PRJ 
[93989] BUY,e6JAmPjBmb,IFQ,512.04 
[94454] COMMIT_BUY,e6JAmPjBmb 
