[163] ADD,D6zA2CRl22,84102.17 
[50267] DISPLAY_SUMMARY,D6zA2CRl22 
[50281] QUOTE,D6zA2CRl22,QJC 
[50289] BUY,D6zA2CRl22,MRK,189.26 
[50412] SELL,D6zA2CRl22,UTV,408.75 
[50582] COMMIT_SELL,D6zA2CRl22 
[50670] ADD,D6zA2CRl22,77133.93 
[50685] QUOTE,D6zA2CRl22,VAT 
[50743] QUOTE,D6zA2CRl22,RUN 
[50843] SET_BUY_AMOUNT,D6zA2CRl22,CUZ,231.46 
[50909] SET_BUY_TRIGGER,D6zA2CRl22,RKQ,134.75 
[51092] ADD,D6zA2CRl22,58088.77 
[51109] SET_SELL_AMOUNT,D6zA2CRl22,ZAN,495.10 
[51164] BUY,D6zA2CRl22,CVV,231.55 
[51241] COMMIT_BUY,D6zA2CRl22 
[51310] SELL,D6zA2CRl22,RGH,712.03 
[51575] COMMIT_SELL,D6zA2CRl22 
[51753] DISPLAY_SUMMARY,D6zA2CRl22 
[51780] BUY,D6zA2CRl22,QVK,515.27 
[51794] COMMIT_SELL,D6zA2CRl22 
[52153] DISPLAY_SUMMARY,D6zA2CRl22 
[52496] SET_SELL_AMOUNT,D6zA2CRl22,BCQ,729.69 
[52752] SET_SELL_TRIGGER,D6zA2CRl22,BCQ,240.26 
[52795] ADD,D6zA2CRl22,70426.93 
[53157] BUY,D6zA2CRl22,QLM,654.37 
[53224] COMMIT_BUY,D6zA2CRl22 
[53241] CANCEL_SET_BUY,D6zA2CRl22,RQF 
[53642] ADD,D6zA2CRl22,54344.40 
[53740] QUOTE,D6zA2CRl22,XFA 
[53962] BUY,D6zA2CRl22,OOV,699.23 
[53984] DISPLAY_SUMMARY,D6zA2CRl22 
[54215] DISPLAY_SUMMARY,D6zA2CRl22 
[54223] DISPLAY_SUMMARY,D6zA2CRl22 
[54470] BUY,D6zA2CRl22,ZJG,326.88 
[54706] COMMIT_BUY,D6zA2CRl22 
[54728] SET_BUY_TRIGGER,D6zA2CRl22,LLE,16.74 
[55107] SET_SELL_TRIGGER,D6zA2CRl22,FFZ,98.36 
[55164] ADD,D6zA2CRl22,86456.85 
[55872] QUOTE,D6zA2CRl22,FMJ 
[55955] COMMIT_BUY,D6zA2CRl22 
[56072] BUY,D6zA2CRl22,LMB,264.51 
[56074] COMMIT_BUY,D6zA2CRl22 
[56084] DISPLAY_SUMMARY,D6zA2CRl22 
[56185] QUOTE,D6zA2CRl22,MLI 
[56325] ADD,D6zA2CRl22,55284.18 
[56633] CANCEL_SET_SELL,D6zA2CRl22,HQU 
[56649] SET_BUY_TRIGGER,D6zA2CRl22,DBC,162.65 
[56651] ADD,D6zA2CRl22,69721.75 
[56730] QUOTE,D6zA2CRl22,RQT 
[56762] COMMIT_BUY,D6zA2CRl22 
[56905] SELL,D6zA2CRl22,RNK,256.90 
[56971] SELL,D6zA2CRl22,BYA,468.62 
[57084] COMMIT_SELL,D6zA2CRl22 
[57131] ADD,D6zA2CRl22,76983.84 
[57187] COMMIT_SELL,D6zA2CRl22 
[57238] BUY,D6zA2CRl22,YXK,9.20 
[57511] SET_BUY_TRIGGER,D6zA2CRl22,KAS,195.03 
[57671] QUOTE,D6zA2CRl22,ETJ 
[57724] SET_SELL_AMOUNT,D6zA2CRl22,XLK,431.20 
[57727] SET_SELL_TRIGGER,D6zA2CRl22,XLK,289.90 
[57773] SET_SELL_TRIGGER,D6zA2CRl22,DIX,112.52 
[57811] SET_SELL_TRIGGER,D6zA2CRl22,FCM,146.07 
[57872] ADD,D6zA2CRl22,98622.67 
[57919] BUY,D6zA2CRl22,QOQ,205.70 
[57975] COMMIT_BUY,D6zA2CRl22 
[57980] QUOTE,D6zA2CRl22,XFA 
[58079] DISPLAY_SUMMARY,D6zA2CRl22 
[58106] SELL,D6zA2CRl22,BYA,108.62 
[58134] CANCEL_SELL,D6zA2CRl22 
[58171] DISPLAY_SUMMARY,D6zA2CRl22 
[58191] SET_SELL_AMOUNT,D6zA2CRl22,QAX,406.48 
[58289] SET_SELL_TRIGGER,D6zA2CRl22,QAX,297.61 
[58470] ADD,D6zA2CRl22,83343.61 
[58515] BUY,D6zA2CRl22,UUJ,617.30 
[58778] SET_BUY_AMOUNT,D6zA2CRl22,JVT,444.67 
[58798] SET_BUY_TRIGGER,D6zA2CRl22,EGB,402.89 
[58809] QUOTE,D6zA2CRl22,RNK 
[58936] BUY,D6zA2CRl22,DES,295.12 
[58966] SET_BUY_AMOUNT,D6zA2CRl22,JVT,97.01 
[58982] SET_BUY_TRIGGER,D6zA2CRl22,CSZ,6.38 
[59217] SELL,D6zA2CRl22,SSF,732.84 
[59254] COMMIT_SELL,D6zA2CRl22 
[59295] SET_SELL_AMOUNT,D6zA2CRl22,UTV,251.55 
[59401] CANCEL_SET_SELL,D6zA2CRl22,UTV 
[59466] CANCEL_SET_BUY,D6zA2CRl22,NQU 
[59606] BUY,D6zA2CRl22,BPP,222.98 
[60082] SET_BUY_TRIGGER,D6zA2CRl22,ETB,133.99 
[60089] SELL,D6zA2CRl22,ZAN,57.28 
[60125] COMMIT_BUY,D6zA2CRl22 
[60169] SET_SELL_AMOUNT,D6zA2CRl22,PTP,362.90 
[60293] DISPLAY_SUMMARY,D6zA2CRl22 
[60346] BUY,D6zA2CRl22,BVN,60.58 
[60361] SET_BUY_AMOUNT,D6zA2CRl22,JRJ,409.19 
[60408] SET_BUY_TRIGGER,D6zA2CRl22,WSG,326.89 
[60460] SELL,D6zA2CRl22,UBJ,388.77 
[60614] COMMIT_BUY,D6zA2CRl22 
[60641] ADD,D6zA2CRl22,68780.74 
[60714] BUY,D6zA2CRl22,WUL,583.37 
[60732] SET_BUY_TRIGGER,D6zA2CRl22,KCT,141.38 
[60900] DISPLAY_SUMMARY,D6zA2CRl22 
[60967] CANCEL_SET_BUY,D6zA2CRl22,VTY 
[61066] SET_SELL_AMOUNT,D6zA2CRl22,FQP,416.21 
[61087] SET_SELL_TRIGGER,D6zA2CRl22,FQP,378.85 
[61163] SELL,D6zA2CRl22,KDA,536.31 
[61194] QUOTE,D6zA2CRl22,ZWZ 
[61296] QUOTE,D6zA2CRl22,OEN 
[61523] QUOTE,D6zA2CRl22,KJM 
[61591] SET_SELL_TRIGGER,D6zA2CRl22,ZNZ,168.04 
[61663] SET_BUY_AMOUNT,D6zA2CRl22,AVX,3.57 
[61674] SET_BUY_TRIGGER,D6zA2CRl22,PUN,3.21 
[61679] SET_SELL_TRIGGER,D6zA2CRl22,ZGN,0.18 
[61689] BUY,D6zA2CRl22,YBP,588.01 
[61766] CANCEL_BUY,D6zA2CRl22 
[62035] QUOTE,D6zA2CRl22,AEM 
[62041] DISPLAY_SUMMARY,D6zA2CRl22 
[62237] SET_BUY_TRIGGER,D6zA2CRl22,AED,43.33 
[62284] CANCEL_SELL,D6zA2CRl22 
[62345] ADD,D6zA2CRl22,73858.75 
[62440] BUY,D6zA2CRl22,TSU,0.68 
[62463] COMMIT_BUY,D6zA2CRl22 
[62469] SELL,D6zA2CRl22,RGH,667.28 
[62561] CANCEL_SET_SELL,D6zA2CRl22,VGW 
[62876] DISPLAY_SUMMARY,D6zA2CRl22 
[63239] SET_BUY_AMOUNT,D6zA2CRl22,LFU,546.06 
[63263] SET_BUY_TRIGGER,D6zA2CRl22,NUV,330.86 
[63371] SET_SELL_AMOUNT,D6zA2CRl22,JCQ,646.66 
[63419] BUY,D6zA2CRl22,XOL,331.92 
[63507] COMMIT_BUY,D6zA2CRl22 
[63618] ADD,D6zA2CRl22,67677.87 
[63690] BUY,D6zA2CRl22,KLY,392.99 
[63751] COMMIT_BUY,D6zA2CRl22 
[63829] SET_BUY_TRIGGER,D6zA2CRl22,NDD,90.61 
[63836] SET_SELL_AMOUNT,D6zA2CRl22,ZTI,629.94 
[64322] SET_SELL_TRIGGER,D6zA2CRl22,ZTI,362.36 
[64420] ADD,D6zA2CRl22,50706.62 
[64496] BUY,D6zA2CRl22,QSS,423.10 
[64526] COMMIT_BUY,D6zA2CRl22 
[64536] BUY,D6zA2CRl22,VVW,531.28 
[64620] COMMIT_BUY,D6zA2CRl22 
[64668] SET_SELL_AMOUNT,D6zA2CRl22,YJK,26.63 
[64672] SET_SELL_TRIGGER,D6zA2CRl22,YJK,22.75 
[64767] QUOTE,D6zA2CRl22,TTY 
[64837] ADD,D6zA2CRl22,64800.65 
[64843] QUOTE,D6zA2CRl22,XXT 
[64967] ADD,D6zA2CRl22,68687.51 
[64982] DISPLAY_SUMMARY,D6zA2CRl22 
[65090] CANCEL_SET_SELL,D6zA2CRl22,DFE 
[65250] CANCEL_SET_SELL,D6zA2CRl22,WKG 
[65297] QUOTE,D6zA2CRl22,IPJ 
[65348] BUY,D6zA2CRl22,WYO,146.99 
[65536] COMMIT_SELL,D6zA2CRl22 
[65567] SET_SELL_TRIGGER,D6zA2CRl22,DRO,75.83 
[65586] ADD,D6zA2CRl22,57583.84 
[65607] QUOTE,D6zA2CRl22,NOP 
[65619] BUY,D6zA2CRl22,RYU,588.50 
[65659] COMMIT_BUY,D6zA2CRl22 
[65676] SET_SELL_TRIGGER,D6zA2CRl22,XVK,8.93 
[65736] SET_SELL_AMOUNT,D6zA2CRl22,PTP,144.89 
[65775] SET_SELL_TRIGGER,D6zA2CRl22,PTP,137.02 
[65784] QUOTE,D6zA2CRl22,KZZ 
[66276] SET_SELL_AMOUNT,D6zA2CRl22,LFU,308.25 
[66381] SET_SELL_TRIGGER,D6zA2CRl22,LFU,126.92 
[66552] ADD,D6zA2CRl22,63657.42 
[66579] QUOTE,D6zA2CRl22,CLH 
[66764] BUY,D6zA2CRl22,MOF,679.49 
[66959] COMMIT_BUY,D6zA2CRl22 
[67048] SET_SELL_TRIGGER,D6zA2CRl22,WSG,78.42 
[67090] ADD,D6zA2CRl22,71453.44 
[67254] QUOTE,D6zA2CRl22,TGY 
[67275] BUY,D6zA2CRl22,OZT,297.25 
[67398] CANCEL_BUY,D6zA2CRl22 
[67401] SET_SELL_AMOUNT,D6zA2CRl22,GRM,668.69 
[67508] SET_SELL_TRIGGER,D6zA2CRl22,GRM,118.09 
[67527] SET_BUY_TRIGGER,D6zA2CRl22,XFW,167.67 
[67596] DISPLAY_SUMMARY,D6zA2CRl22 
[67607] SET_BUY_TRIGGER,D6zA2CRl22,TWJ,130.15 
[67648] SELL,D6zA2CRl22,OPN,407.63 
[67662] COMMIT_SELL,D6zA2CRl22 
[67666] SET_SELL_TRIGGER,D6zA2CRl22,BHJ,85.99 
[67714] SET_SELL_AMOUNT,D6zA2CRl22,YJK,375.08 
[67807] CANCEL_SET_SELL,D6zA2CRl22,YJK 
[67870] COMMIT_BUY,D6zA2CRl22 
[68025] DISPLAY_SUMMARY,D6zA2CRl22 
[68080] DISPLAY_SUMMARY,D6zA2CRl22 
[68158] ADD,D6zA2CRl22,63351.91 
[68163] QUOTE,D6zA2CRl22,UEC 
[68270] BUY,D6zA2CRl22,KBI,349.08 
[68299] COMMIT_BUY,D6zA2CRl22 
[68421] DISPLAY_SUMMARY,D6zA2CRl22 
[68540] SET_SELL_AMOUNT,D6zA2CRl22,JRJ,54.43 
[68598] SET_SELL_TRIGGER,D6zA2CRl22,JRJ,41.17 
[68658] SET_BUY_AMOUNT,D6zA2CRl22,MFX,275.27 
[68699] SET_BUY_TRIGGER,D6zA2CRl22,QGE,185.88 
[68704] COMMIT_BUY,D6zA2CRl22 
[68897] ADD,D6zA2CRl22,63087.51 
[69276] QUOTE,D6zA2CRl22,OLI 
[69285] BUY,D6zA2CRl22,PIE,508.44 
[69549] COMMIT_BUY,D6zA2CRl22 
[69593] ADD,D6zA2CRl22,80128.65 
[69606] COMMIT_BUY,D6zA2CRl22 
[69694] CANCEL_SELL,D6zA2CRl22 
[69801] BUY,D6zA2CRl22,OTQ,493.08 
[69956] COMMIT_BUY,D6zA2CRl22 
[69960] SET_SELL_TRIGGER,D6zA2CRl22,OAV,63.99 
[70241] BUY,D6zA2CRl22,ROW,631.86 
[70242] CANCEL_BUY,D6zA2CRl22 
[70351] SET_SELL_TRIGGER,D6zA2CRl22,BUL,126.91 
[70504] SET_SELL_AMOUNT,D6zA2CRl22,GYF,516.99 
[70524] SET_SELL_TRIGGER,D6zA2CRl22,GYF,417.56 
[70602] SET_BUY_TRIGGER,D6zA2CRl22,HEK,127.50 
[70841] SET_BUY_TRIGGER,D6zA2CRl22,BYA,42.51 
[70873] ADD,D6zA2CRl22,56009.39 
[71092] QUOTE,D6zA2CRl22,VTY 
[71144] SET_BUY_TRIGGER,D6zA2CRl22,MIY,142.59 
[71173] SET_BUY_TRIGGER,D6zA2CRl22,KVJ,55.14 
[71210] SET_SELL_TRIGGER,D6zA2CRl22,OAV,140.56 
[71235] SET_SELL_AMOUNT,D6zA2CRl22,KBN,402.64 
[71327] DISPLAY_SUMMARY,D6zA2CRl22 
[71385] DISPLAY_SUMMARY,D6zA2CRl22 
[71402] ADD,D6zA2CRl22,45046.64 
[71619] BUY,D6zA2CRl22,SPP,256.86 
[71761] COMMIT_BUY,D6zA2CRl22 
[71795] QUOTE,D6zA2CRl22,SYT 
[71798] SET_SELL_TRIGGER,D6zA2CRl22,KBN,55.14 
[71853] SET_BUY_TRIGGER,D6zA2CRl22,TYV,127.78 
[71911] SET_BUY_TRIGGER,D6zA2CRl22,FDI,70.87 
[72159] BUY,D6zA2CRl22,ECL,240.29 
[72369] CANCEL_SET_BUY,D6zA2CRl22,FPI 
[72527] BUY,D6zA2CRl22,NGB,111.39 
[72559] SELL,D6zA2CRl22,MXD,529.71 
[72562] COMMIT_SELL,D6zA2CRl22 
[72728] ADD,D6zA2CRl22,64850.88 
[72738] QUOTE,D6zA2CRl22,DNJ 
[72753] QUOTE,D6zA2CRl22,GPL 
[72875] COMMIT_SELL,D6zA2CRl22 
[72926] SET_BUY_AMOUNT,D6zA2CRl22,YJK,249.27 
[73354] SET_BUY_TRIGGER,D6zA2CRl22,GMS,33.82 
[73432] BUY,D6zA2CRl22,JGF,477.41 
[73563] CANCEL_BUY,D6zA2CRl22 
[73625] QUOTE,D6zA2CRl22,WKG 
[73755] QUOTE,D6zA2CRl22,NQU 
[74022] BUY,D6zA2CRl22,ZQS,47.34 
[74076] COMMIT_BUY,D6zA2CRl22 
[74202] BUY,D6zA2CRl22,EUM,128.22 
[74566] SELL,D6zA2CRl22,EBS,509.55 
[74767] BUY,D6zA2CRl22,BRT,668.76 
[75108] CANCEL_BUY,D6zA2CRl22 
[75164] SET_BUY_AMOUNT,D6zA2CRl22,BCQ,132.40 
[75311] SET_BUY_TRIGGER,D6zA2CRl22,UDM,118.20 
[75312] DISPLAY_SUMMARY,D6zA2CRl22 
[75327] SET_SELL_TRIGGER,D6zA2CRl22,KKI,100.67 
[75336] BUY,D6zA2CRl22,OHG,414.43 
[75551] SET_BUY_AMOUNT,D6zA2CRl22,NHG,291.33 
[75726] SET_BUY_TRIGGER,D6zA2CRl22,FDI,71.06 
[75781] QUOTE,D6zA2CRl22,RJG 
[75814] SET_BUY_TRIGGER,D6zA2CRl22,QTH,144.39 
[75856] SELL,D6zA2CRl22,KBN,676.89 
[75877] SET_BUY_AMOUNT,D6zA2CRl22,LFU,544.93 
[75931] SET_BUY_TRIGGER,D6zA2CRl22,SKW,41.38 
[75997] DISPLAY_SUMMARY,D6zA2CRl22 
[76008] SET_SELL_AMOUNT,D6zA2CRl22,XQC,131.74 
[76244] SET_SELL_TRIGGER,D6zA2CRl22,XQC,34.84 
[76333] SET_SELL_TRIGGER,D6zA2CRl22,KMV,25.23 
[76370] BUY,D6zA2CRl22,LJZ,169.79 
[76471] COMMIT_BUY,D6zA2CRl22 
[76491] CANCEL_SELL,D6zA2CRl22 
[76497] SET_SELL_AMOUNT,D6zA2CRl22,QAX,596.13 
[76509] QUOTE,D6zA2CRl22,HIN 
[76536] SET_BUY_TRIGGER,D6zA2CRl22,AAC,89.25 
[76547] SELL,D6zA2CRl22,XXQ,448.04 
[76566] COMMIT_BUY,D6zA2CRl22 
[76589] SET_BUY_AMOUNT,D6zA2CRl22,LZV,311.03 
[76644] DISPLAY_SUMMARY,D6zA2CRl22 
[76648] QUOTE,D6zA2CRl22,EMN 
[76803] ADD,D6zA2CRl22,51263.62 
[76930] BUY,D6zA2CRl22,IUN,396.12 
[77015] CANCEL_BUY,D6zA2CRl22 
[77032] SET_BUY_AMOUNT,D6zA2CRl22,UTV,447.31 
[77090] SET_BUY_TRIGGER,D6zA2CRl22,ZDB,37.69 
[77267] SET_SELL_TRIGGER,D6zA2CRl22,QAX,376.29 
[77420] SET_BUY_AMOUNT,D6zA2CRl22,PTP,537.53 
[77511] QUOTE,D6zA2CRl22,BHH 
[77602] QUOTE,D6zA2CRl22,GKD 
[77722] QUOTE,D6zA2CRl22,KZQ 
[77823] QUOTE,D6zA2CRl22,EIH 
[77867] BUY,D6zA2CRl22,AUX,657.51 
[77899] DISPLAY_SUMMARY,D6zA2CRl22 
[77960] BUY,D6zA2CRl22,LPS,512.29 
[77965] COMMIT_BUY,D6zA2CRl22 
[78089] SET_BUY_AMOUNT,D6zA2CRl22,UIE,405.40 
[78189] SET_BUY_TRIGGER,D6zA2CRl22,XBL,246.90 
[78286] SELL,D6zA2CRl22,ZTI,560.06 
[78331] COMMIT_SELL,D6zA2CRl22 
[78372] BUY,D6zA2CRl22,SYT,165.01 
[78437] COMMIT_BUY,D6zA2CRl22 
[78442] QUOTE,D6zA2CRl22,VBO 
[78532] CANCEL_SET_BUY,D6zA2CRl22,DLX 
[78597] SET_BUY_TRIGGER,D6zA2CRl22,MQP,26.13 
[78612] ADD,D6zA2CRl22,60165.10 
[78629] COMMIT_BUY,D6zA2CRl22 
[78688] DISPLAY_SUMMARY,D6zA2CRl22 
[79209] QUOTE,D6zA2CRl22,MMF 
[79262] BUY,D6zA2CRl22,KMV,382.11 
[79454] COMMIT_BUY,D6zA2CRl22 
[79481] SET_SELL_AMOUNT,D6zA2CRl22,CBO,75.44 
[79568] SET_SELL_TRIGGER,D6zA2CRl22,CBO,55.53 
[79609] SET_BUY_TRIGGER,D6zA2CRl22,AHO,132.19 
[79762] SET_SELL_TRIGGER,D6zA2CRl22,WZY,39.00 
[79820] DISPLAY_SUMMARY,D6zA2CRl22 
[79852] CANCEL_SET_BUY,D6zA2CRl22,SAJ 
[79881] QUOTE,D6zA2CRl22,UZZ 
[79907] QUOTE,D6zA2CRl22,NJT 
[80059] DISPLAY_SUMMARY,D6zA2CRl22 
[80065] ADD,D6zA2CRl22,80788.27 
[80291] SET_SELL_AMOUNT,D6zA2CRl22,CEC,429.45 
[80306] SET_SELL_TRIGGER,D6zA2CRl22,CEC,136.81 
[80418] SET_SELL_TRIGGER,D6zA2CRl22,JOJ,20.33 
[80505] QUOTE,D6zA2CRl22,ZGC 
[80583] SET_BUY_TRIGGER,D6zA2CRl22,EUM,69.80 
[80610] ADD,D6zA2CRl22,52050.75 
[80641] QUOTE,D6zA2CRl22,DLQ 
[80681] CANCEL_BUY,D6zA2CRl22 
[80828] QUOTE,D6zA2CRl22,KAF 
[80928] SET_SELL_TRIGGER,D6zA2CRl22,EGX,99.83 
[80933] ADD,D6zA2CRl22,53804.81 
[80997] SET_BUY_AMOUNT,D6zA2CRl22,BCQ,48.17 
[81034] SET_BUY_TRIGGER,D6zA2CRl22,SAR,27.98 
[81112] BUY,D6zA2CRl22,SPT,106.80 
[81178] SET_BUY_AMOUNT,D6zA2CRl22,JZJ,696.81 
[81206] SET_BUY_TRIGGER,D6zA2CRl22,NEV,29.92 
[81288] ADD,D6zA2CRl22,53655.75 
[81291] QUOTE,D6zA2CRl22,NGH 
[81337] DISPLAY_SUMMARY,D6zA2CRl22 
[81338] ADD,D6zA2CRl22,46608.39 
[81470] QUOTE,D6zA2CRl22,HMR 
[81521] CANCEL_BUY,D6zA2CRl22 
[81522] SET_BUY_AMOUNT,D6zA2CRl22,DFE,661.72 
[81563] DISPLAY_SUMMARY,D6zA2CRl22 
[81620] BUY,D6zA2CRl22,JQO,493.50 
[81691] COMMIT_BUY,D6zA2CRl22 
[81824] SELL,D6zA2CRl22,CSZ,594.40 
[81953] COMMIT_SELL,D6zA2CRl22 
[81999] DISPLAY_SUMMARY,D6zA2CRl22 
[82307] SELL,D6zA2CRl22,JRJ,51.50 
[82588] COMMIT_SELL,D6zA2CRl22 
[82880] COMMIT_SELL,D6zA2CRl22 
[83036] QUOTE,D6zA2CRl22,GYT 
[83059] DISPLAY_SUMMARY,D6zA2CRl22 
[83262] SET_BUY_TRIGGER,D6zA2CRl22,DED,574.05 
[83292] SET_BUY_AMOUNT,D6zA2CRl22,JVT,233.10 
[83319] SET_BUY_TRIGGER,D6zA2CRl22,RQF,195.43 
[83408] BUY,D6zA2CRl22,IOY,591.20 
[83418] COMMIT_BUY,D6zA2CRl22 
[83555] SET_SELL_TRIGGER,D6zA2CRl22,ZWZ,68.85 
[83960] DISPLAY_SUMMARY,D6zA2CRl22 
[84004] DISPLAY_SUMMARY,D6zA2CRl22 
[84008] DISPLAY_SUMMARY,D6zA2CRl22 
[84063] QUOTE,D6zA2CRl22,TSS 
[84085] BUY,D6zA2CRl22,WRJ,466.65 
[84086] COMMIT_BUY,D6zA2CRl22 
[84169] SET_BUY_AMOUNT,D6zA2CRl22,DFE,463.98 
[84369] SET_BUY_TRIGGER,D6zA2CRl22,FNY,259.11 
[84405] BUY,D6zA2CRl22,ZGC,546.17 
[84630] COMMIT_BUY,D6zA2CRl22 
[84669] DISPLAY_SUMMARY,D6zA2CRl22 
[84780] ADD,D6zA2CRl22,64382.15 
[84782] QUOTE,D6zA2CRl22,SSL 
[84791] BUY,D6zA2CRl22,PIE,81.22 
[84901] CANCEL_BUY,D6zA2CRl22 
[85020] SET_SELL_AMOUNT,D6zA2CRl22,XQC,548.61 
[85044] SET_SELL_TRIGGER,D6zA2CRl22,XQC,314.72 
[85121] ADD,D6zA2CRl22,45911.54 
[85122] SET_SELL_TRIGGER,D6zA2CRl22,CXW,103.54 
[85149] CANCEL_SET_SELL,D6zA2CRl22,YBP 
[85228] SET_BUY_AMOUNT,D6zA2CRl22,JVT,610.63 
[85254] SET_BUY_TRIGGER,D6zA2CRl22,ZFK,102.18 
[85266] SELL,D6zA2CRl22,BCQ,251.67 
[85409] COMMIT_SELL,D6zA2CRl22 
[85481] SET_SELL_TRIGGER,D6zA2CRl22,YZH,157.61 
[85511] ADD,D6zA2CRl22,75630.30 
[85529] QUOTE,D6zA2CRl22,KHD 
[85665] SET_BUY_AMOUNT,D6zA2CRl22,GRM,5.59 
[85742] SET_BUY_TRIGGER,D6zA2CRl22,WYA,3.05 
[85822] BUY,D6zA2CRl22,PVH,531.46 
[85919] CANCEL_SET_SELL,D6zA2CRl22,CNN 
[85925] BUY,D6zA2CRl22,SQO,103.03 
[86171] COMMIT_BUY,D6zA2CRl22 
[86194] QUOTE,D6zA2CRl22,XVK 
[86220] CANCEL_SELL,D6zA2CRl22 
[86318] BUY,D6zA2CRl22,HMR,493.22 
[86409] COMMIT_BUY,D6zA2CRl22 
[86430] ADD,D6zA2CRl22,69288.92 
[86528] BUY,D6zA2CRl22,NDJ,367.85 
[86731] SET_SELL_AMOUNT,D6zA2CRl22,BYA,164.10 
[86790] SET_SELL_TRIGGER,D6zA2CRl22,BYA,15.45 
[86910] QUOTE,D6zA2CRl22,ZCG 
[86927] ADD,D6zA2CRl22,62606.55 
[87134] SELL,D6zA2CRl22,IFN,650.52 
[87211] COMMIT_SELL,D6zA2CRl22 
[87790] DISPLAY_SUMMARY,D6zA2CRl22 
[87806] SET_BUY_TRIGGER,D6zA2CRl22,UDN,36.90 
[87832] QUOTE,D6zA2CRl22,OYS 
[87914] QUOTE,D6zA2CRl22,QAA 
[87970] QUOTE,D6zA2CRl22,BHJ 
[88028] DISPLAY_SUMMARY,D6zA2CRl22 
[88068] SELL,D6zA2CRl22,CUZ,728.70 
[88149] CANCEL_SET_SELL,D6zA2CRl22,GWS 
[88150] ADD,D6zA2CRl22,88619.55 
[88225] BUY,D6zA2CRl22,AJX,467.48 
[88300] BUY,D6zA2CRl22,RVU,157.70 
[88311] COMMIT_BUY,D6zA2CRl22 
[88318] SET_BUY_AMOUNT,D6zA2CRl22,FQP,152.15 
[88388] SET_BUY_TRIGGER,D6zA2CRl22,GIX,103.22 
[88475] SET_SELL_AMOUNT,D6zA2CRl22,SSF,370.87 
[88486] SET_SELL_TRIGGER,D6zA2CRl22,SSF,212.66 
[88579] QUOTE,D6zA2CRl22,DVA 
[88718] BUY,D6zA2CRl22,WNX,589.88 
[89043] SET_SELL_TRIGGER,D6zA2CRl22,KQZ,181.53 
[89277] ADD,D6zA2CRl22,51482.48 
[89392] QUOTE,D6zA2CRl22,GGI 
[89543] ADD,D6zA2CRl22,62265.91 
[89590] BUY,D6zA2CRl22,CBX,223.68 
[89776] CANCEL_SET_SELL,D6zA2CRl22,GRD 
[89994] DISPLAY_SUMMARY,D6zA2CRl22 
[90003] BUY,D6zA2CRl22,CDF,5.31 
[90146] QUOTE,D6zA2CRl22,FPP 
[90153] COMMIT_SELL,D6zA2CRl22 
[90170] ADD,D6zA2CRl22,76018.29 
[90181] QUOTE,D6zA2CRl22,ILT 
[90232] QUOTE,D6zA2CRl22,BUL 
[90414] QUOTE,D6zA2CRl22,ISQ 
[90580] SET_BUY_TRIGGER,D6zA2CRl22,VDP,193.13 
[90650] ADD,D6zA2CRl22,92743.23 
[90797] QUOTE,D6zA2CRl22,BYM 
[90979] BUY,D6zA2CRl22,LGL,382.10 
[91021] DISPLAY_SUMMARY,D6zA2CRl22 
[91172] SET_BUY_TRIGGER,D6zA2CRl22,URY,124.62 
[91180] DISPLAY_SUMMARY,D6zA2CRl22 
[91181] BUY,D6zA2CRl22,ARP,610.82 
[91368] CANCEL_SET_BUY,D6zA2CRl22,PTC 
[91568] CANCEL_SET_SELL,D6zA2CRl22,SUS 
[91575] DISPLAY_SUMMARY,D6zA2CRl22 
[91612] SELL,D6zA2CRl22,OPN,103.19 
[91615] CANCEL_SET_BUY,D6zA2CRl22,WLT 
[91627] SELL,D6zA2CRl22,KDA,169.53 
[91765] COMMIT_SELL,D6zA2CRl22 
[91771] SET_SELL_TRIGGER,D6zA2CRl22,KNM,62.90 
[91935] SET_SELL_TRIGGER,D6zA2CRl22,NFQ,108.45 
[91961] ADD,D6zA2CRl22,71369.15 
[92068] BUY,D6zA2CRl22,KPU,47.75 
[92095] COMMIT_BUY,D6zA2CRl22 
[92099] DISPLAY_SUMMARY,D6zA2CRl22 
[92109] SELL,D6zA2CRl22,KDA,145.47 
[92181] COMMIT_SELL,D6zA2CRl22 
[92217] ADD,D6zA2CRl22,45304.78 
[92407] QUOTE,D6zA2CRl22,BZH 
[92490] QUOTE,D6zA2CRl22,YIU 
[92526] QUOTE,D6zA2CRl22,HEJ 
[92533] BUY,D6zA2CRl22,XZN,580.75 
[92566] CANCEL_SELL,D6zA2CRl22 
[92671] SET_SELL_AMOUNT,D6zA2CRl22,ZAN,389.29 
[92695] SET_SELL_TRIGGER,D6zA2CRl22,ZAN,58.68 
[92760] SET_BUY_TRIGGER,D6zA2CRl22,SEW,91.06 
[93165] DISPLAY_SUMMARY,D6zA2CRl22 
[93253] ADD,D6zA2CRl22,46957.22 
[93353] QUOTE,D6zA2CRl22,HFI 
[93697] SET_BUY_AMOUNT,D6zA2CRl22,FQP,245.28 
[93699] CANCEL_SET_BUY,D6zA2CRl22,JTX 
[93751] SET_BUY_TRIGGER,D6zA2CRl22,UUJ,113.97 
[93900] ADD,D6zA2CRl22,80751.79 
[93942] BUY,D6zA2CRl22,TZJ,687.55 
[94053] SET_SELL_AMOUNT,D6zA2CRl22,YJK,342.56 
