[100] ADD,28VL4WCD6l,58625.14 
[45608] DISPLAY_SUMMARY,28VL4WCD6l 
[45686] BUY,28VL4WCD6l,QNW,314.67 
[45938] CANCEL_BUY,28VL4WCD6l 
[46096] BUY,28VL4WCD6l,FVA,151.67 
[46282] COMMIT_BUY,28VL4WCD6l 
[46324] SET_SELL_AMOUNT,28VL4WCD6l,CSZ,746.48 
[46382] SET_SELL_TRIGGER,28VL4WCD6l,CSZ,25.81 
[46529] ADD,28VL4WCD6l,70988.13 
[46632] QUOTE,28VL4WCD6l,FPI 
[47099] BUY,28VL4WCD6l,YTT,521.19 
[47410] COMMIT_BUY,28VL4WCD6l 
[47414] DISPLAY_SUMMARY,28VL4WCD6l 
[47449] SET_SELL_AMOUNT,28VL4WCD6l,RNK,165.44 
[47468] SET_SELL_TRIGGER,28VL4WCD6l,RNK,39.96 
[47505] SET_SELL_TRIGGER,28VL4WCD6l,GQV,199.41 
[47592] QUOTE,28VL4WCD6l,OGR 
[47678] ADD,28VL4WCD6l,99264.07 
[47849] BUY,28VL4WCD6l,OTI,584.52 
[48104] COMMIT_BUY,28VL4WCD6l 
[48105] COMMIT_SELL,28VL4WCD6l 
[48216] ADD,28VL4WCD6l,57209.76 
[48532] BUY,28VL4WCD6l,LKV,379.00 
[48610] COMMIT_BUY,28VL4WCD6l 
[48696] ADD,28VL4WCD6l,65906.59 
[48721] BUY,28VL4WCD6l,YJK,300.96 
[48775] COMMIT_BUY,28VL4WCD6l 
[48975] BUY,28VL4WCD6l,ULL,597.90 
[49063] CANCEL_BUY,28VL4WCD6l 
[49099] ADD,28VL4WCD6l,47768.54 
[49307] QUOTE,28VL4WCD6l,WSG 
[49382] SELL,28VL4WCD6l,RGH,603.35 
[49472] COMMIT_SELL,28VL4WCD6l 
[49473] QUOTE,28VL4WCD6l,URD 
[49698] BUY,28VL4WCD6l,BOS,708.16 
[49742] COMMIT_BUY,28VL4WCD6l 
[50017] DISPLAY_SUMMARY,28VL4WCD6l 
[50047] SET_BUY_AMOUNT,28VL4WCD6l,JRJ,343.97 
[50154] SET_BUY_TRIGGER,28VL4WCD6l,AOH,49.57 
[50331] QUOTE,28VL4WCD6l,QGN 
[50455] BUY,28VL4WCD6l,JOJ,457.85 
[50468] ADD,28VL4WCD6l,55780.67 
[50472] BUY,28VL4WCD6l,CSZ,653.12 
[50498] COMMIT_BUY,28VL4WCD6l 
[50542] QUOTE,28VL4WCD6l,ZAM 
[50609] QUOTE,28VL4WCD6l,FNY 
[50892] QUOTE,28VL4WCD6l,IFQ 
[50916] SET_BUY_TRIGGER,28VL4WCD6l,NVX,28.79 
[51098] SET_SELL_TRIGGER,28VL4WCD6l,GUW,164.97 
[51243] SET_SELL_TRIGGER,28VL4WCD6l,MKE,196.81 
[51274] DISPLAY_SUMMARY,28VL4WCD6l 
[51325] SET_SELL_AMOUNT,28VL4WCD6l,GRM,236.67 
[51482] QUOTE,28VL4WCD6l,TVX 
[51512] BUY,28VL4WCD6l,XXT,333.41 
[51976] COMMIT_BUY,28VL4WCD6l 
[52209] SET_BUY_TRIGGER,28VL4WCD6l,HIN,90.21 
[52250] SET_BUY_AMOUNT,28VL4WCD6l,PTP,687.28 
[52495] QUOTE,28VL4WCD6l,JEO 
[52575] SELL,28VL4WCD6l,OPN,214.09 
[52702] COMMIT_SELL,28VL4WCD6l 
[52725] SELL,28VL4WCD6l,RUN,404.22 
[52830] COMMIT_SELL,28VL4WCD6l 
[53008] SELL,28VL4WCD6l,JVT,401.66 
[53136] COMMIT_SELL,28VL4WCD6l 
[53169] SET_SELL_TRIGGER,28VL4WCD6l,GRM,78.11 
[53202] CANCEL_BUY,28VL4WCD6l 
[53206] QUOTE,28VL4WCD6l,QAX 
[53243] BUY,28VL4WCD6l,BZX,708.39 
[53249] CANCEL_SET_BUY,28VL4WCD6l,ZFV 
[53306] SET_SELL_TRIGGER,28VL4WCD6l,EDW,146.00 
[53365] SELL,28VL4WCD6l,JVT,44.88 
[53381] COMMIT_SELL,28VL4WCD6l 
[53454] DISPLAY_SUMMARY,28VL4WCD6l 
[53570] ADD,28VL4WCD6l,60953.17 
[53600] QUOTE,28VL4WCD6l,MVD 
[53710] ADD,28VL4WCD6l,59528.19 
[53879] BUY,28VL4WCD6l,BFB,748.62 
[53924] CANCEL_BUY,28VL4WCD6l 
[53928] BUY,28VL4WCD6l,SKV,467.25 
[53982] ADD,28VL4WCD6l,87158.53 
[54000] QUOTE,28VL4WCD6l,ZER 
[54017] BUY,28VL4WCD6l,WKE,516.72 
[54076] COMMIT_BUY,28VL4WCD6l 
[54134] SET_BUY_AMOUNT,28VL4WCD6l,QGE,126.73 
[54207] SET_BUY_TRIGGER,28VL4WCD6l,CTT,118.46 
[54380] DISPLAY_SUMMARY,28VL4WCD6l 
[54447] CANCEL_BUY,28VL4WCD6l 
[54453] SET_BUY_AMOUNT,28VL4WCD6l,ZYR,419.09 
[54501] SET_BUY_TRIGGER,28VL4WCD6l,GKD,106.73 
[54589] ADD,28VL4WCD6l,53610.67 
[54633] SET_SELL_AMOUNT,28VL4WCD6l,KES,659.95 
[54652] SET_SELL_TRIGGER,28VL4WCD6l,KES,23.39 
[54666] SET_SELL_AMOUNT,28VL4WCD6l,XXQ,485.56 
[54676] SET_SELL_TRIGGER,28VL4WCD6l,XXQ,50.55 
[54784] QUOTE,28VL4WCD6l,STT 
[54931] BUY,28VL4WCD6l,GPL,525.39 
[54937] QUOTE,28VL4WCD6l,KMV 
[55026] SET_BUY_AMOUNT,28VL4WCD6l,UBJ,113.90 
[55215] DISPLAY_SUMMARY,28VL4WCD6l 
[55235] QUOTE,28VL4WCD6l,HQU 
[55259] QUOTE,28VL4WCD6l,SJH 
[55310] QUOTE,28VL4WCD6l,IEQ 
[55414] BUY,28VL4WCD6l,SWJ,588.07 
[55498] COMMIT_BUY,28VL4WCD6l 
[55532] SELL,28VL4WCD6l,SUS,318.67 
[55795] COMMIT_SELL,28VL4WCD6l 
[55925] BUY,28VL4WCD6l,FNY,492.83 
[55975] SET_BUY_TRIGGER,28VL4WCD6l,MPP,18.43 
[56060] SET_BUY_TRIGGER,28VL4WCD6l,PHU,22.77 
[56176] SET_BUY_TRIGGER,28VL4WCD6l,XLK,146.97 
[56212] BUY,28VL4WCD6l,JLK,196.26 
[56330] COMMIT_BUY,28VL4WCD6l 
[56535] ADD,28VL4WCD6l,69290.83 
[56571] SET_BUY_TRIGGER,28VL4WCD6l,AUX,23.97 
[56606] BUY,28VL4WCD6l,MGO,513.95 
[56650] COMMIT_BUY,28VL4WCD6l 
[56704] SELL,28VL4WCD6l,SUS,267.38 
[56711] COMMIT_SELL,28VL4WCD6l 
[56734] SET_BUY_TRIGGER,28VL4WCD6l,SBT,189.73 
[56770] ADD,28VL4WCD6l,68217.51 
[56802] COMMIT_BUY,28VL4WCD6l 
[56817] DISPLAY_SUMMARY,28VL4WCD6l 
[56870] QUOTE,28VL4WCD6l,STO 
[56881] BUY,28VL4WCD6l,BYA,100.84 
[56891] COMMIT_BUY,28VL4WCD6l 
[56941] ADD,28VL4WCD6l,84066.60 
[56954] CANCEL_SELL,28VL4WCD6l 
[57006] ADD,28VL4WCD6l,71794.45 
[57196] BUY,28VL4WCD6l,XEA,293.81 
[57455] COMMIT_BUY,28VL4WCD6l 
[57487] SELL,28VL4WCD6l,SUS,424.56 
[57973] COMMIT_SELL,28VL4WCD6l 
[58119] BUY,28VL4WCD6l,SJG,57.99 
[58139] ADD,28VL4WCD6l,73284.03 
[58248] CANCEL_SELL,28VL4WCD6l 
[58390] SELL,28VL4WCD6l,JCQ,31.57 
[58436] COMMIT_SELL,28VL4WCD6l 
[58491] QUOTE,28VL4WCD6l,NOP 
[58532] SELL,28VL4WCD6l,UTV,742.21 
[58554] QUOTE,28VL4WCD6l,LMB 
[58648] BUY,28VL4WCD6l,PPY,687.07 
[58654] SET_SELL_AMOUNT,28VL4WCD6l,JRJ,742.57 
[58753] CANCEL_SET_SELL,28VL4WCD6l,JRJ 
[58934] QUOTE,28VL4WCD6l,IHW 
[59204] QUOTE,28VL4WCD6l,AQO 
[59592] SELL,28VL4WCD6l,KES,589.72 
[59653] COMMIT_SELL,28VL4WCD6l 
[59689] SET_BUY_AMOUNT,28VL4WCD6l,JCQ,34.61 
[59792] SET_BUY_TRIGGER,28VL4WCD6l,FRB,20.69 
[59822] ADD,28VL4WCD6l,64144.45 
[60016] DISPLAY_SUMMARY,28VL4WCD6l 
[60086] BUY,28VL4WCD6l,WUF,572.87 
[60202] COMMIT_BUY,28VL4WCD6l 
[60217] SET_SELL_AMOUNT,28VL4WCD6l,MXD,144.95 
[60437] QUOTE,28VL4WCD6l,DOI 
[60532] SET_BUY_AMOUNT,28VL4WCD6l,MFX,70.32 
[60786] SET_BUY_TRIGGER,28VL4WCD6l,OYW,30.23 
[61116] ADD,28VL4WCD6l,57123.88 
[61160] QUOTE,28VL4WCD6l,XQC 
[61295] BUY,28VL4WCD6l,UDQ,372.99 
[61310] COMMIT_BUY,28VL4WCD6l 
[61319] BUY,28VL4WCD6l,FUR,386.09 
[61432] QUOTE,28VL4WCD6l,VFH 
[61450] QUOTE,28VL4WCD6l,ZWB 
[61506] COMMIT_BUY,28VL4WCD6l 
[61560] SET_BUY_AMOUNT,28VL4WCD6l,GRM,693.35 
[61596] QUOTE,28VL4WCD6l,NEV 
[61728] BUY,28VL4WCD6l,LAM,613.91 
[61852] COMMIT_BUY,28VL4WCD6l 
[62036] CANCEL_BUY,28VL4WCD6l 
[62157] SELL,28VL4WCD6l,UBJ,191.41 
[62418] CANCEL_SELL,28VL4WCD6l 
[62522] SET_BUY_AMOUNT,28VL4WCD6l,RGH,340.86 
[62540] SET_BUY_TRIGGER,28VL4WCD6l,YWC,249.36 
[62609] BUY,28VL4WCD6l,RVZ,528.44 
[62749] CANCEL_SELL,28VL4WCD6l 
[62875] QUOTE,28VL4WCD6l,ZLY 
[63027] DISPLAY_SUMMARY,28VL4WCD6l 
[63083] BUY,28VL4WCD6l,VOU,558.24 
[63168] QUOTE,28VL4WCD6l,FIC 
[63171] ADD,28VL4WCD6l,68327.10 
[63222] QUOTE,28VL4WCD6l,EMN 
[63236] SET_SELL_AMOUNT,28VL4WCD6l,CBO,478.26 
[63246] CANCEL_SET_SELL,28VL4WCD6l,CBO 
[63249] DISPLAY_SUMMARY,28VL4WCD6l 
[63276] DISPLAY_SUMMARY,28VL4WCD6l 
[63320] QUOTE,28VL4WCD6l,LCP 
[63452] BUY,28VL4WCD6l,TOZ,334.74 
[63513] COMMIT_BUY,28VL4WCD6l 
[63529] QUOTE,28VL4WCD6l,KJD 
[63547] BUY,28VL4WCD6l,ZZD,88.60 
[63575] COMMIT_BUY,28VL4WCD6l 
[63612] SELL,28VL4WCD6l,RGH,369.30 
[63888] CANCEL_SET_SELL,28VL4WCD6l,RVU 
[64235] CANCEL_SET_SELL,28VL4WCD6l,CNN 
[64410] SELL,28VL4WCD6l,XLK,93.60 
[64556] COMMIT_SELL,28VL4WCD6l 
[64581] SET_BUY_TRIGGER,28VL4WCD6l,NFL,188.88 
[64648] SELL,28VL4WCD6l,SQI,7.44 
[64651] COMMIT_SELL,28VL4WCD6l 
[64706] ADD,28VL4WCD6l,52068.55 
[64716] QUOTE,28VL4WCD6l,FTP 
[64730] SET_BUY_AMOUNT,28VL4WCD6l,NHG,187.93 
[64793] SET_BUY_TRIGGER,28VL4WCD6l,CCH,67.34 
[64980] SET_SELL_AMOUNT,28VL4WCD6l,UTV,144.15 
[64987] SET_SELL_TRIGGER,28VL4WCD6l,UTV,66.83 
[65169] SET_BUY_TRIGGER,28VL4WCD6l,YBP,165.39 
[65200] SELL,28VL4WCD6l,QAX,48.97 
[65313] COMMIT_SELL,28VL4WCD6l 
[65340] SELL,28VL4WCD6l,LFU,201.49 
[65481] CANCEL_SELL,28VL4WCD6l 
[65495] SET_SELL_TRIGGER,28VL4WCD6l,PYM,105.96 
[65721] DISPLAY_SUMMARY,28VL4WCD6l 
[65751] BUY,28VL4WCD6l,PUU,262.46 
[65951] COMMIT_BUY,28VL4WCD6l 
[65968] CANCEL_SELL,28VL4WCD6l 
[66017] ADD,28VL4WCD6l,74044.24 
[66025] QUOTE,28VL4WCD6l,YNH 
[66128] BUY,28VL4WCD6l,XEA,379.85 
[66171] COMMIT_BUY,28VL4WCD6l 
[66211] DISPLAY_SUMMARY,28VL4WCD6l 
[66231] SET_BUY_TRIGGER,28VL4WCD6l,SJG,13.34 
[66233] QUOTE,28VL4WCD6l,VBO 
[66249] CANCEL_SET_SELL,28VL4WCD6l,OTI 
[66264] BUY,28VL4WCD6l,TKG,261.81 
[66284] COMMIT_BUY,28VL4WCD6l 
[66378] ADD,28VL4WCD6l,61099.59 
[66406] QUOTE,28VL4WCD6l,OEN 
[66453] BUY,28VL4WCD6l,XTH,622.33 
[66501] QUOTE,28VL4WCD6l,DFE 
[66600] SET_BUY_AMOUNT,28VL4WCD6l,CEC,0.75 
[66867] CANCEL_SET_BUY,28VL4WCD6l,MOF 
[67062] ADD,28VL4WCD6l,99362.90 
[67197] QUOTE,28VL4WCD6l,SPT 
[67271] BUY,28VL4WCD6l,OTQ,8.57 
[67382] DISPLAY_SUMMARY,28VL4WCD6l 
[67411] BUY,28VL4WCD6l,KRY,66.36 
[67556] COMMIT_SELL,28VL4WCD6l 
[67792] SET_BUY_AMOUNT,28VL4WCD6l,OEY,706.34 
[68124] SET_BUY_TRIGGER,28VL4WCD6l,CMA,195.88 
[68133] CANCEL_BUY,28VL4WCD6l 
[68152] SET_SELL_TRIGGER,28VL4WCD6l,QGL,84.12 
[68186] ADD,28VL4WCD6l,66361.27 
[68328] QUOTE,28VL4WCD6l,KAS 
[68333] ADD,28VL4WCD6l,77475.08 
[68392] QUOTE,28VL4WCD6l,CUQ 
[68437] CANCEL_SET_BUY,28VL4WCD6l,LSM 
[68472] SELL,28VL4WCD6l,SQI,687.56 
[68497] CANCEL_SELL,28VL4WCD6l 
[68533] SET_SELL_TRIGGER,28VL4WCD6l,MLU,22.46 
[68538] CANCEL_BUY,28VL4WCD6l 
[68575] SET_BUY_AMOUNT,28VL4WCD6l,GYF,487.81 
[68776] BUY,28VL4WCD6l,SJH,496.73 
[68889] COMMIT_BUY,28VL4WCD6l 
[69153] DISPLAY_SUMMARY,28VL4WCD6l 
[69359] CANCEL_SET_SELL,28VL4WCD6l,HCN 
[69362] SET_BUY_TRIGGER,28VL4WCD6l,JUJ,261.16 
[69595] ADD,28VL4WCD6l,86199.73 
[69651] BUY,28VL4WCD6l,SJH,41.84 
[69940] QUOTE,28VL4WCD6l,BYM 
[70022] CANCEL_SET_BUY,28VL4WCD6l,PFN 
[70109] SET_SELL_AMOUNT,28VL4WCD6l,QJZ,198.81 
[70158] SET_SELL_TRIGGER,28VL4WCD6l,QJZ,17.01 
[70265] ADD,28VL4WCD6l,52056.54 
[70325] CANCEL_BUY,28VL4WCD6l 
[70372] ADD,28VL4WCD6l,64121.09 
[70376] QUOTE,28VL4WCD6l,WLT 
[70506] COMMIT_SELL,28VL4WCD6l 
[70577] BUY,28VL4WCD6l,ZYR,267.04 
[70650] CANCEL_SELL,28VL4WCD6l 
[70827] SET_BUY_TRIGGER,28VL4WCD6l,KTU,62.62 
[70904] DISPLAY_SUMMARY,28VL4WCD6l 
[70928] SET_SELL_TRIGGER,28VL4WCD6l,IRQ,108.07 
[70930] BUY,28VL4WCD6l,ZQW,601.89 
[70992] COMMIT_SELL,28VL4WCD6l 
[71025] ADD,28VL4WCD6l,30967.41 
[71427] QUOTE,28VL4WCD6l,TKM 
[71561] ADD,28VL4WCD6l,31684.43 
[71701] QUOTE,28VL4WCD6l,SFO 
[71740] SET_SELL_AMOUNT,28VL4WCD6l,JVT,630.92 
[71762] QUOTE,28VL4WCD6l,TOZ 
[71876] QUOTE,28VL4WCD6l,SYM 
[71924] ADD,28VL4WCD6l,79177.59 
[71961] QUOTE,28VL4WCD6l,AOH 
[72104] SET_BUY_AMOUNT,28VL4WCD6l,BCQ,58.25 
[72337] SET_BUY_TRIGGER,28VL4WCD6l,HTN,8.58 
[72397] BUY,28VL4WCD6l,WHR,209.89 
[72412] SET_BUY_TRIGGER,28VL4WCD6l,APU,191.55 
[72462] SELL,28VL4WCD6l,SQI,348.60 
[72491] CANCEL_SELL,28VL4WCD6l 
[72492] DISPLAY_SUMMARY,28VL4WCD6l 
[72539] SELL,28VL4WCD6l,KDA,500.24 
[72708] COMMIT_SELL,28VL4WCD6l 
[72733] SET_SELL_TRIGGER,28VL4WCD6l,JVT,453.83 
[72838] ADD,28VL4WCD6l,88584.97 
[72983] BUY,28VL4WCD6l,YBP,98.36 
[72996] COMMIT_BUY,28VL4WCD6l 
[73046] QUOTE,28VL4WCD6l,FTP 
[73190] BUY,28VL4WCD6l,KPU,218.19 
[73341] COMMIT_BUY,28VL4WCD6l 
[73510] BUY,28VL4WCD6l,SKW,682.21 
[73560] COMMIT_BUY,28VL4WCD6l 
[73651] ADD,28VL4WCD6l,71637.66 
[73696] BUY,28VL4WCD6l,FMJ,472.24 
[73737] COMMIT_BUY,28VL4WCD6l 
[73743] SELL,28VL4WCD6l,EBS,409.11 
[73770] COMMIT_SELL,28VL4WCD6l 
[73826] ADD,28VL4WCD6l,53692.33 
[74183] BUY,28VL4WCD6l,OGB,686.11 
[74341] CANCEL_SELL,28VL4WCD6l 
[74357] DISPLAY_SUMMARY,28VL4WCD6l 
[74377] DISPLAY_SUMMARY,28VL4WCD6l 
[74572] SET_BUY_AMOUNT,28VL4WCD6l,LZV,425.02 
[74684] SELL,28VL4WCD6l,ZTI,205.19 
[74702] COMMIT_SELL,28VL4WCD6l 
[74734] SELL,28VL4WCD6l,OEY,673.80 
[74786] CANCEL_SET_BUY,28VL4WCD6l,ZFJ 
[74809] ADD,28VL4WCD6l,89671.45 
[74835] BUY,28VL4WCD6l,XYV,218.37 
[74849] COMMIT_BUY,28VL4WCD6l 
[74914] QUOTE,28VL4WCD6l,FZU 
[74937] CANCEL_SET_SELL,28VL4WCD6l,IFU 
[74938] SELL,28VL4WCD6l,YDS,24.59 
[74940] COMMIT_SELL,28VL4WCD6l 
[75062] DISPLAY_SUMMARY,28VL4WCD6l 
[75091] SET_BUY_TRIGGER,28VL4WCD6l,TXB,148.10 
[75123] DISPLAY_SUMMARY,28VL4WCD6l 
[75130] ADD,28VL4WCD6l,62707.22 
[75226] QUOTE,28VL4WCD6l,RQL 
[75241] BUY,28VL4WCD6l,VIG,591.08 
[75652] CANCEL_BUY,28VL4WCD6l 
[75819] DISPLAY_SUMMARY,28VL4WCD6l 
[75820] ADD,28VL4WCD6l,58998.66 
[75895] BUY,28VL4WCD6l,BPP,703.08 
[75919] DISPLAY_SUMMARY,28VL4WCD6l 
[76028] SET_SELL_TRIGGER,28VL4WCD6l,SYU,47.35 
[76147] SET_BUY_AMOUNT,28VL4WCD6l,RGH,293.94 
[76161] SET_BUY_TRIGGER,28VL4WCD6l,ZOZ,192.12 
[76204] SELL,28VL4WCD6l,BYA,442.18 
[76362] CANCEL_SELL,28VL4WCD6l 
[76678] CANCEL_SELL,28VL4WCD6l 
[76728] ADD,28VL4WCD6l,98409.33 
[76757] QUOTE,28VL4WCD6l,JGY 
[76770] SET_SELL_AMOUNT,28VL4WCD6l,HFS,599.26 
[76784] SET_SELL_TRIGGER,28VL4WCD6l,HFS,131.07 
[76865] BUY,28VL4WCD6l,HWO,572.32 
[76873] COMMIT_BUY,28VL4WCD6l 
[76885] DISPLAY_SUMMARY,28VL4WCD6l 
[77025] QUOTE,28VL4WCD6l,YLZ 
[77095] CANCEL_BUY,28VL4WCD6l 
[77139] BUY,28VL4WCD6l,GWS,518.06 
[77231] COMMIT_SELL,28VL4WCD6l 
[77310] SET_SELL_AMOUNT,28VL4WCD6l,ZTI,512.00 
[77338] SET_SELL_TRIGGER,28VL4WCD6l,ZTI,58.00 
[77341] DISPLAY_SUMMARY,28VL4WCD6l 
[77433] BUY,28VL4WCD6l,WYA,8.89 
[77457] COMMIT_BUY,28VL4WCD6l 
[77458] QUOTE,28VL4WCD6l,VNF 
[77644] BUY,28VL4WCD6l,NGH,548.34 
[77659] COMMIT_BUY,28VL4WCD6l 
[77667] SELL,28VL4WCD6l,KES,205.10 
[77699] BUY,28VL4WCD6l,IZS,376.86 
[77702] COMMIT_BUY,28VL4WCD6l 
[77739] SET_BUY_TRIGGER,28VL4WCD6l,FTJ,135.83 
[77754] SET_BUY_AMOUNT,28VL4WCD6l,JCQ,48.83 
[77837] SET_BUY_TRIGGER,28VL4WCD6l,TKV,20.04 
[77873] DISPLAY_SUMMARY,28VL4WCD6l 
[78057] DISPLAY_SUMMARY,28VL4WCD6l 
[78080] SET_BUY_TRIGGER,28VL4WCD6l,FVD,76.51 
[78140] SET_BUY_TRIGGER,28VL4WCD6l,FQG,79.95 
[78170] SET_BUY_TRIGGER,28VL4WCD6l,KKI,143.96 
[78276] SET_SELL_AMOUNT,28VL4WCD6l,GSW,589.11 
[78306] QUOTE,28VL4WCD6l,BWL 
[78512] ADD,28VL4WCD6l,74687.91 
[78593] BUY,28VL4WCD6l,RVU,488.08 
[78603] BUY,28VL4WCD6l,GIK,505.77 
[78613] CANCEL_BUY,28VL4WCD6l 
[78649] BUY,28VL4WCD6l,AZN,530.23 
[78687] COMMIT_SELL,28VL4WCD6l 
[78691] SELL,28VL4WCD6l,VTY,153.44 
[78703] SET_BUY_TRIGGER,28VL4WCD6l,MHR,8.73 
[79235] BUY,28VL4WCD6l,MMF,236.85 
[79254] COMMIT_BUY,28VL4WCD6l 
[79462] ADD,28VL4WCD6l,68131.67 
[79504] BUY,28VL4WCD6l,FYR,285.97 
[79659] BUY,28VL4WCD6l,CMA,177.25 
[79694] COMMIT_BUY,28VL4WCD6l 
[79718] DISPLAY_SUMMARY,28VL4WCD6l 
[79856] BUY,28VL4WCD6l,HIW,722.80 
[80005] COMMIT_BUY,28VL4WCD6l 
[80114] DISPLAY_SUMMARY,28VL4WCD6l 
[80138] QUOTE,28VL4WCD6l,QUT 
[80187] QUOTE,28VL4WCD6l,SWJ 
[80233] ADD,28VL4WCD6l,69659.97 
[80330] QUOTE,28VL4WCD6l,RQF 
[80423] DISPLAY_SUMMARY,28VL4WCD6l 
[80458] SELL,28VL4WCD6l,QPR,383.75 
[80478] CANCEL_SELL,28VL4WCD6l 
[80525] SELL,28VL4WCD6l,EBS,623.52 
[80914] COMMIT_SELL,28VL4WCD6l 
[80935] SELL,28VL4WCD6l,KBN,541.00 
[81217] CANCEL_SET_SELL,28VL4WCD6l,GSW 
[81302] SET_SELL_TRIGGER,28VL4WCD6l,GTN,171.52 
[81378] SET_BUY_AMOUNT,28VL4WCD6l,AJR,47.72 
[81405] QUOTE,28VL4WCD6l,LZV 
[81450] ADD,28VL4WCD6l,70746.89 
[81566] BUY,28VL4WCD6l,VSE,686.03 
[81586] SELL,28VL4WCD6l,UIE,675.20 
[81601] CANCEL_SET_BUY,28VL4WCD6l,KMV 
[81626] QUOTE,28VL4WCD6l,NVN 
[81908] QUOTE,28VL4WCD6l,IHA 
[82051] CANCEL_SET_BUY,28VL4WCD6l,NJI 
[82113] SELL,28VL4WCD6l,QPR,332.46 
[82144] CANCEL_SELL,28VL4WCD6l 
[82155] SET_BUY_TRIGGER,28VL4WCD6l,VNN,141.85 
[82439] QUOTE,28VL4WCD6l,SJZ 
[82495] BUY,28VL4WCD6l,CVK,240.96 
[82527] COMMIT_BUY,28VL4WCD6l 
[82747] SET_SELL_TRIGGER,28VL4WCD6l,MFX,196.87 
[82803] DISPLAY_SUMMARY,28VL4WCD6l 
[82834] SET_SELL_AMOUNT,28VL4WCD6l,LFU,451.60 
[82972] BUY,28VL4WCD6l,NFQ,190.36 
[82983] COMMIT_BUY,28VL4WCD6l 
[82998] SELL,28VL4WCD6l,MXD,353.70 
[83012] COMMIT_SELL,28VL4WCD6l 
[83087] QUOTE,28VL4WCD6l,PYB 
[83172] SELL,28VL4WCD6l,MFX,745.70 
[83357] CANCEL_SELL,28VL4WCD6l 
[83373] ADD,28VL4WCD6l,96572.76 
[83526] DISPLAY_SUMMARY,28VL4WCD6l 
[83667] SET_SELL_TRIGGER,28VL4WCD6l,LFU,133.21 
[83674] SET_SELL_AMOUNT,28VL4WCD6l,AJR,343.81 
[83706] SET_SELL_TRIGGER,28VL4WCD6l,AJR,140.17 
[83751] CANCEL_SET_SELL,28VL4WCD6l,GUW 
[83817] SET_BUY_AMOUNT,28VL4WCD6l,RUN,344.37 
[83950] QUOTE,28VL4WCD6l,BLC 
[83989] BUY,28VL4WCD6l,LFU,88.32 
[84003] CANCEL_BUY,28VL4WCD6l 
[84026] BUY,28VL4WCD6l,UTV,701.03 
[84089] COMMIT_BUY,28VL4WCD6l 
[84418] SET_SELL_AMOUNT,28VL4WCD6l,ZER,430.51 
[84525] SET_SELL_TRIGGER,28VL4WCD6l,ZER,341.78 
[84559] CANCEL_SELL,28VL4WCD6l 
[84656] QUOTE,28VL4WCD6l,SQS 
[84814] BUY,28VL4WCD6l,GFN,510.49 
[84934] COMMIT_BUY,28VL4WCD6l 
[84953] ADD,28VL4WCD6l,81191.52 
[84993] QUOTE,28VL4WCD6l,ARP 
[85015] CANCEL_SELL,28VL4WCD6l 
[85026] CANCEL_SET_SELL,28VL4WCD6l,QNK 
[85361] CANCEL_SET_SELL,28VL4WCD6l,QAA 
[85388] SET_BUY_AMOUNT,28VL4WCD6l,RNK,454.07 
[85801] SET_BUY_TRIGGER,28VL4WCD6l,FVD,69.62 
[85808] COMMIT_SELL,28VL4WCD6l 
[86089] SET_BUY_TRIGGER,28VL4WCD6l,KNM,43.76 
[86104] SET_SELL_TRIGGER,28VL4WCD6l,QUT,154.77 
[86156] SELL,28VL4WCD6l,SQI,449.87 
[86163] SET_SELL_TRIGGER,28VL4WCD6l,GZU,115.83 
[86345] SELL,28VL4WCD6l,JUN,132.34 
[86489] QUOTE,28VL4WCD6l,OXV 
[86657] BUY,28VL4WCD6l,MHI,604.08 
[86689] CANCEL_BUY,28VL4WCD6l 
[86892] QUOTE,28VL4WCD6l,OXV 
[86981] BUY,28VL4WCD6l,LUD,505.56 
[87007] COMMIT_BUY,28VL4WCD6l 
[87032] ADD,28VL4WCD6l,66217.01 
[87077] BUY,28VL4WCD6l,ZEG,207.24 
[87098] COMMIT_BUY,28VL4WCD6l 
[87218] ADD,28VL4WCD6l,67892.88 
[87337] QUOTE,28VL4WCD6l,VYQ 
[87798] CANCEL_SELL,28VL4WCD6l 
[87874] QUOTE,28VL4WCD6l,TTY 
[88015] BUY,28VL4WCD6l,OAV,598.07 
[88072] ADD,28VL4WCD6l,93255.31 
[88117] QUOTE,28VL4WCD6l,FCM 
[88205] SET_SELL_AMOUNT,28VL4WCD6l,LFU,551.51 
[88254] SET_SELL_TRIGGER,28VL4WCD6l,LFU,72.73 
[88317] BUY,28VL4WCD6l,SXB,472.53 
[88368] SET_BUY_AMOUNT,28VL4WCD6l,IFN,353.15 
[88374] SET_BUY_TRIGGER,28VL4WCD6l,ZEG,288.22 
[88390] SET_SELL_TRIGGER,28VL4WCD6l,FTP,21.84 
[88535] BUY,28VL4WCD6l,JGF,386.38 
[88707] COMMIT_BUY,28VL4WCD6l 
[88832] SET_SELL_AMOUNT,28VL4WCD6l,OPN,506.90 
[88938] SET_SELL_TRIGGER,28VL4WCD6l,OPN,154.47 
[89010] QUOTE,28VL4WCD6l,ZAN 
[89060] QUOTE,28VL4WCD6l,XMA 
[89209] QUOTE,28VL4WCD6l,DFE 
[89216] ADD,28VL4WCD6l,33661.58 
[89238] BUY,28VL4WCD6l,GUW,223.73 
[89241] COMMIT_BUY,28VL4WCD6l 
