[104] ADD,xRR8b3q6bp,39668.61 
[47313] SET_BUY_TRIGGER,xRR8b3q6bp,UMN,345.92 
[47375] SET_BUY_TRIGGER,xRR8b3q6bp,STT,178.42 
[47388] QUOTE,xRR8b3q6bp,LNJ 
[47431] BUY,xRR8b3q6bp,BTP,634.23 
[47452] COMMIT_BUY,xRR8b3q6bp 
[47472] ADD,xRR8b3q6bp,77647.48 
[47615] BUY,xRR8b3q6bp,DMW,21.27 
[47720] COMMIT_BUY,xRR8b3q6bp 
[47814] SET_SELL_AMOUNT,xRR8b3q6bp,RGH,630.42 
[47838] SET_SELL_TRIGGER,xRR8b3q6bp,RGH,570.13 
[47896] QUOTE,xRR8b3q6bp,NLT 
[47912] BUY,xRR8b3q6bp,VGW,307.76 
[47972] SET_BUY_TRIGGER,xRR8b3q6bp,KQZ,144.41 
[48155] SET_SELL_TRIGGER,xRR8b3q6bp,RVU,34.69 
[48201] SET_SELL_TRIGGER,xRR8b3q6bp,FLD,191.11 
[48282] QUOTE,xRR8b3q6bp,ZFJ 
[48391] DISPLAY_SUMMARY,xRR8b3q6bp 
[48392] SET_BUY_TRIGGER,xRR8b3q6bp,CSZ,56.98 
[48404] DISPLAY_SUMMARY,xRR8b3q6bp 
[48444] ADD,xRR8b3q6bp,82579.58 
[48499] QUOTE,xRR8b3q6bp,GCL 
[48648] BUY,xRR8b3q6bp,ADY,128.71 
[48683] CANCEL_BUY,xRR8b3q6bp 
[48884] QUOTE,xRR8b3q6bp,YZC 
[49103] QUOTE,xRR8b3q6bp,PLB 
[49153] SET_SELL_AMOUNT,xRR8b3q6bp,ZYR,617.65 
[49216] QUOTE,xRR8b3q6bp,DRO 
[49234] SET_BUY_AMOUNT,xRR8b3q6bp,PTP,329.85 
[49373] SET_BUY_TRIGGER,xRR8b3q6bp,MDZ,301.08 
[49420] SET_BUY_AMOUNT,xRR8b3q6bp,UTV,576.55 
[49585] CANCEL_SET_BUY,xRR8b3q6bp,JUV 
[49850] QUOTE,xRR8b3q6bp,RLS 
[49864] BUY,xRR8b3q6bp,TKV,321.26 
[49923] CANCEL_SELL,xRR8b3q6bp 
[50008] SET_SELL_TRIGGER,xRR8b3q6bp,ZYR,184.14 
[50172] BUY,xRR8b3q6bp,KDG,369.81 
[50199] COMMIT_SELL,xRR8b3q6bp 
[50214] SET_BUY_AMOUNT,xRR8b3q6bp,KDA,521.54 
[50229] SET_BUY_TRIGGER,xRR8b3q6bp,WJB,220.32 
[50420] DISPLAY_SUMMARY,xRR8b3q6bp 
[50657] DISPLAY_SUMMARY,xRR8b3q6bp 
[50752] DISPLAY_SUMMARY,xRR8b3q6bp 
[50854] SELL,xRR8b3q6bp,CSZ,707.91 
[50885] COMMIT_SELL,xRR8b3q6bp 
[51100] COMMIT_SELL,xRR8b3q6bp 
[51360] DISPLAY_SUMMARY,xRR8b3q6bp 
[51423] BUY,xRR8b3q6bp,JDO,180.04 
[51491] COMMIT_BUY,xRR8b3q6bp 
[51524] DISPLAY_SUMMARY,xRR8b3q6bp 
[51578] QUOTE,xRR8b3q6bp,FVA 
[51658] ADD,xRR8b3q6bp,89852.37 
[51993] QUOTE,xRR8b3q6bp,DQW 
[52000] SET_BUY_AMOUNT,xRR8b3q6bp,YJK,711.55 
[52042] SET_BUY_TRIGGER,xRR8b3q6bp,NJI,539.86 
[52131] ADD,xRR8b3q6bp,60950.66 
[52140] QUOTE,xRR8b3q6bp,SPP 
[52175] BUY,xRR8b3q6bp,YTO,0.39 
[52229] COMMIT_BUY,xRR8b3q6bp 
[52436] CANCEL_BUY,xRR8b3q6bp 
[52567] SET_SELL_AMOUNT,xRR8b3q6bp,JZJ,179.46 
[52710] SET_SELL_TRIGGER,xRR8b3q6bp,JZJ,101.63 
[52726] ADD,xRR8b3q6bp,102194.41 
[52755] QUOTE,xRR8b3q6bp,GTB 
[52970] CANCEL_SET_SELL,xRR8b3q6bp,QSS 
[53014] DISPLAY_SUMMARY,xRR8b3q6bp 
[53029] QUOTE,xRR8b3q6bp,AHO 
[53112] BUY,xRR8b3q6bp,LPS,705.87 
[53232] COMMIT_BUY,xRR8b3q6bp 
[53428] CANCEL_SET_SELL,xRR8b3q6bp,DQW 
[53475] SET_BUY_TRIGGER,xRR8b3q6bp,JXR,151.39 
[53658] SELL,xRR8b3q6bp,ZTI,355.50 
[54018] SET_SELL_TRIGGER,xRR8b3q6bp,HQU,156.06 
[54157] QUOTE,xRR8b3q6bp,TVI 
[54314] ADD,xRR8b3q6bp,73233.47 
[54331] BUY,xRR8b3q6bp,GHE,103.97 
[54335] COMMIT_BUY,xRR8b3q6bp 
[54342] DISPLAY_SUMMARY,xRR8b3q6bp 
[54376] SELL,xRR8b3q6bp,KES,513.90 
[54508] COMMIT_SELL,xRR8b3q6bp 
[54818] SELL,xRR8b3q6bp,XXQ,692.00 
[54907] COMMIT_BUY,xRR8b3q6bp 
[54932] QUOTE,xRR8b3q6bp,NLP 
[55009] BUY,xRR8b3q6bp,TQX,293.69 
[55041] CANCEL_SET_BUY,xRR8b3q6bp,IEQ 
[55060] SET_BUY_TRIGGER,xRR8b3q6bp,WZY,96.40 
[55334] QUOTE,xRR8b3q6bp,ALM 
[55571] BUY,xRR8b3q6bp,ZTR,538.24 
[56069] CANCEL_BUY,xRR8b3q6bp 
[56181] ADD,xRR8b3q6bp,49934.04 
[56219] SET_BUY_TRIGGER,xRR8b3q6bp,VIG,117.22 
[56323] CANCEL_SET_BUY,xRR8b3q6bp,JUJ 
[56418] CANCEL_SET_SELL,xRR8b3q6bp,SCK 
[56435] SELL,xRR8b3q6bp,SUS,258.38 
[56501] COMMIT_SELL,xRR8b3q6bp 
[56514] ADD,xRR8b3q6bp,75364.80 
[57081] BUY,xRR8b3q6bp,KPE,695.31 
[57271] COMMIT_BUY,xRR8b3q6bp 
[57365] QUOTE,xRR8b3q6bp,URY 
[57373] SET_BUY_TRIGGER,xRR8b3q6bp,SQS,9.41 
[57451] SET_SELL_AMOUNT,xRR8b3q6bp,ZYR,622.73 
[57457] SELL,xRR8b3q6bp,JQO,257.29 
[57472] COMMIT_SELL,xRR8b3q6bp 
[57591] DISPLAY_SUMMARY,xRR8b3q6bp 
[57621] ADD,xRR8b3q6bp,59810.86 
[57732] QUOTE,xRR8b3q6bp,VNN 
[57800] COMMIT_BUY,xRR8b3q6bp 
[57910] SELL,xRR8b3q6bp,BCQ,517.86 
[57915] CANCEL_SELL,xRR8b3q6bp 
[58011] BUY,xRR8b3q6bp,JQJ,741.26 
[58047] COMMIT_BUY,xRR8b3q6bp 
[58064] SET_BUY_AMOUNT,xRR8b3q6bp,OPN,677.35 
[58202] SET_BUY_TRIGGER,xRR8b3q6bp,CMA,222.76 
[58299] SELL,xRR8b3q6bp,UBJ,101.48 
[58340] SET_SELL_AMOUNT,xRR8b3q6bp,ZYR,727.40 
[58364] SET_SELL_TRIGGER,xRR8b3q6bp,ZYR,72.01 
[58564] DISPLAY_SUMMARY,xRR8b3q6bp 
[58579] ADD,xRR8b3q6bp,67526.14 
[58727] DISPLAY_SUMMARY,xRR8b3q6bp 
[58748] SET_BUY_AMOUNT,xRR8b3q6bp,OPN,188.09 
[58952] CANCEL_SET_BUY,xRR8b3q6bp,CLH 
[59001] QUOTE,xRR8b3q6bp,HTN 
[59008] CANCEL_BUY,xRR8b3q6bp 
[59184] CANCEL_SET_BUY,xRR8b3q6bp,BEG 
[59211] SET_SELL_AMOUNT,xRR8b3q6bp,EBS,384.09 
[59304] SET_SELL_TRIGGER,xRR8b3q6bp,EBS,119.66 
[59513] SELL,xRR8b3q6bp,OEY,704.65 
[59543] QUOTE,xRR8b3q6bp,JUN 
[59685] SET_BUY_TRIGGER,xRR8b3q6bp,ENQ,108.72 
[59691] CANCEL_SET_BUY,xRR8b3q6bp,AVI 
[59714] QUOTE,xRR8b3q6bp,AVI 
[59724] BUY,xRR8b3q6bp,CTS,539.46 
[60116] CANCEL_BUY,xRR8b3q6bp 
[60274] ADD,xRR8b3q6bp,59165.91 
[60310] BUY,xRR8b3q6bp,NQU,200.47 
[60472] COMMIT_BUY,xRR8b3q6bp 
[60535] COMMIT_SELL,xRR8b3q6bp 
[60537] SET_BUY_TRIGGER,xRR8b3q6bp,HEK,8.61 
[60543] SELL,xRR8b3q6bp,EBS,657.58 
[60928] CANCEL_SELL,xRR8b3q6bp 
[60962] DISPLAY_SUMMARY,xRR8b3q6bp 
[60995] SET_BUY_AMOUNT,xRR8b3q6bp,XXQ,622.82 
[61045] SET_BUY_TRIGGER,xRR8b3q6bp,LGL,427.83 
[61060] SET_SELL_AMOUNT,xRR8b3q6bp,RUN,484.23 
[61081] SET_SELL_TRIGGER,xRR8b3q6bp,RUN,433.26 
[61155] DISPLAY_SUMMARY,xRR8b3q6bp 
[61179] QUOTE,xRR8b3q6bp,HFS 
[61286] COMMIT_SELL,xRR8b3q6bp 
[61833] DISPLAY_SUMMARY,xRR8b3q6bp 
[61961] SELL,xRR8b3q6bp,NHG,125.34 
[61993] SET_BUY_TRIGGER,xRR8b3q6bp,ZJQ,191.28 
[62005] SET_BUY_AMOUNT,xRR8b3q6bp,RGH,280.89 
[62358] SET_BUY_TRIGGER,xRR8b3q6bp,CBK,247.42 
[62365] DISPLAY_SUMMARY,xRR8b3q6bp 
[62384] QUOTE,xRR8b3q6bp,IFC 
[62413] SET_SELL_AMOUNT,xRR8b3q6bp,ZYR,359.35 
[62449] SET_SELL_TRIGGER,xRR8b3q6bp,ZYR,129.35 
[62504] BUY,xRR8b3q6bp,HIN,156.29 
[62598] QUOTE,xRR8b3q6bp,ULL 
[62768] COMMIT_BUY,xRR8b3q6bp 
[62859] COMMIT_BUY,xRR8b3q6bp 
[63031] QUOTE,xRR8b3q6bp,QAX 
[63158] QUOTE,xRR8b3q6bp,VNO 
[63567] DISPLAY_SUMMARY,xRR8b3q6bp 
[63603] SET_BUY_AMOUNT,xRR8b3q6bp,XXQ,88.47 
[63791] SET_BUY_TRIGGER,xRR8b3q6bp,WQE,72.61 
[63839] COMMIT_BUY,xRR8b3q6bp 
[64045] COMMIT_BUY,xRR8b3q6bp 
[64112] SET_SELL_AMOUNT,xRR8b3q6bp,EBS,627.26 
[64127] SET_SELL_TRIGGER,xRR8b3q6bp,EBS,428.44 
[64250] BUY,xRR8b3q6bp,CUQ,670.21 
[64252] QUOTE,xRR8b3q6bp,SKY 
[64295] SET_BUY_AMOUNT,xRR8b3q6bp,GRM,654.21 
[64307] SET_BUY_TRIGGER,xRR8b3q6bp,FQP,66.31 
[64345] SET_BUY_TRIGGER,xRR8b3q6bp,QBD,150.23 
[64346] ADD,xRR8b3q6bp,62524.68 
[64386] QUOTE,xRR8b3q6bp,SYL 
[64412] SET_BUY_TRIGGER,xRR8b3q6bp,HSH,84.12 
[64482] SELL,xRR8b3q6bp,YJK,150.88 
[64654] ADD,xRR8b3q6bp,86131.23 
[65068] QUOTE,xRR8b3q6bp,PUN 
[65078] BUY,xRR8b3q6bp,NBX,134.44 
[65324] COMMIT_BUY,xRR8b3q6bp 
[65388] ADD,xRR8b3q6bp,57364.89 
[65558] BUY,xRR8b3q6bp,BFU,434.89 
[65696] COMMIT_BUY,xRR8b3q6bp 
[65806] QUOTE,xRR8b3q6bp,QWC 
[65843] BUY,xRR8b3q6bp,BTA,479.57 
[66079] SET_BUY_AMOUNT,xRR8b3q6bp,ZYR,156.89 
[66635] CANCEL_SET_BUY,xRR8b3q6bp,ZKV 
[66639] SET_BUY_TRIGGER,xRR8b3q6bp,ZJB,40.35 
[66730] QUOTE,xRR8b3q6bp,MRK 
[66932] QUOTE,xRR8b3q6bp,PMG 
[66947] SET_BUY_TRIGGER,xRR8b3q6bp,PWK,99.24 
[67043] BUY,xRR8b3q6bp,WYD,350.29 
[67311] SET_BUY_TRIGGER,xRR8b3q6bp,MLI,20.40 
[67314] DISPLAY_SUMMARY,xRR8b3q6bp 
[67409] SET_BUY_TRIGGER,xRR8b3q6bp,VYQ,101.53 
[67431] SET_SELL_AMOUNT,xRR8b3q6bp,QAX,339.87 
[67578] SET_SELL_TRIGGER,xRR8b3q6bp,QAX,299.55 
[67707] BUY,xRR8b3q6bp,QWC,429.52 
[67777] COMMIT_BUY,xRR8b3q6bp 
[67829] SET_SELL_TRIGGER,xRR8b3q6bp,JEO,134.88 
[67970] SET_BUY_AMOUNT,xRR8b3q6bp,JRJ,296.57 
[67980] QUOTE,xRR8b3q6bp,NUL 
[67984] QUOTE,xRR8b3q6bp,JSM 
[68063] BUY,xRR8b3q6bp,YQC,274.85 
[68156] COMMIT_BUY,xRR8b3q6bp 
[68262] QUOTE,xRR8b3q6bp,HFI 
[68342] QUOTE,xRR8b3q6bp,VEX 
[68400] SET_SELL_AMOUNT,xRR8b3q6bp,RUN,292.21 
[68433] SET_SELL_TRIGGER,xRR8b3q6bp,RUN,72.95 
[68455] SELL,xRR8b3q6bp,ZAN,362.59 
[68516] COMMIT_SELL,xRR8b3q6bp 
[68529] DISPLAY_SUMMARY,xRR8b3q6bp 
[68757] CANCEL_BUY,xRR8b3q6bp 
[68857] BUY,xRR8b3q6bp,MJU,567.84 
[68922] COMMIT_BUY,xRR8b3q6bp 
[69058] ADD,xRR8b3q6bp,65792.83 
[69452] QUOTE,xRR8b3q6bp,JFJ 
[69572] BUY,xRR8b3q6bp,PTP,525.27 
[69588] COMMIT_BUY,xRR8b3q6bp 
[69613] BUY,xRR8b3q6bp,QPZ,483.85 
[69681] CANCEL_BUY,xRR8b3q6bp 
[69918] BUY,xRR8b3q6bp,OIV,176.46 
[69954] CANCEL_BUY,xRR8b3q6bp 
[70122] SELL,xRR8b3q6bp,SSF,702.81 
[70205] COMMIT_SELL,xRR8b3q6bp 
[70307] DISPLAY_SUMMARY,xRR8b3q6bp 
[70317] DISPLAY_SUMMARY,xRR8b3q6bp 
[70326] QUOTE,xRR8b3q6bp,VEE 
[70368] QUOTE,xRR8b3q6bp,OEX 
[70416] SET_BUY_TRIGGER,xRR8b3q6bp,XQG,28.09 
[70441] SET_SELL_TRIGGER,xRR8b3q6bp,SYN,153.07 
[70482] SET_SELL_TRIGGER,xRR8b3q6bp,GLO,143.62 
[70741] CANCEL_SET_SELL,xRR8b3q6bp,ZJG 
[70864] SELL,xRR8b3q6bp,SSF,430.06 
[70916] COMMIT_SELL,xRR8b3q6bp 
[71247] ADD,xRR8b3q6bp,47988.22 
[71354] BUY,xRR8b3q6bp,LPW,625.00 
[71437] COMMIT_BUY,xRR8b3q6bp 
[71545] DISPLAY_SUMMARY,xRR8b3q6bp 
[71617] SET_BUY_TRIGGER,xRR8b3q6bp,FVD,113.92 
[71683] SET_BUY_AMOUNT,xRR8b3q6bp,UIE,241.84 
[71787] SELL,xRR8b3q6bp,GRM,613.58 
[71788] COMMIT_SELL,xRR8b3q6bp 
[71914] QUOTE,xRR8b3q6bp,GMS 
[71959] QUOTE,xRR8b3q6bp,FUF 
[72007] COMMIT_SELL,xRR8b3q6bp 
[72016] CANCEL_SELL,xRR8b3q6bp 
[72055] CANCEL_SET_SELL,xRR8b3q6bp,SSF 
[72084] SET_BUY_TRIGGER,xRR8b3q6bp,AAC,222.18 
[72177] SET_BUY_TRIGGER,xRR8b3q6bp,JGG,69.60 
[72191] SET_BUY_TRIGGER,xRR8b3q6bp,FVZ,0.79 
[72240] SET_SELL_TRIGGER,xRR8b3q6bp,XAB,28.16 
[72341] CANCEL_SET_SELL,xRR8b3q6bp,JCL 
[72375] ADD,xRR8b3q6bp,50656.99 
[72641] BUY,xRR8b3q6bp,OHS,420.76 
[72895] SET_BUY_TRIGGER,xRR8b3q6bp,RKY,153.37 
[72899] ADD,xRR8b3q6bp,82017.57 
[72910] BUY,xRR8b3q6bp,AZN,453.00 
[73036] DISPLAY_SUMMARY,xRR8b3q6bp 
[73039] SET_SELL_TRIGGER,xRR8b3q6bp,KVJ,191.10 
[73260] BUY,xRR8b3q6bp,EUM,668.78 
[73319] SET_BUY_TRIGGER,xRR8b3q6bp,LKK,68.41 
[73325] ADD,xRR8b3q6bp,77605.78 
[73799] QUOTE,xRR8b3q6bp,KJD 
[73850] QUOTE,xRR8b3q6bp,GHE 
[73858] BUY,xRR8b3q6bp,YLZ,9.58 
[73927] COMMIT_BUY,xRR8b3q6bp 
[74206] BUY,xRR8b3q6bp,WBX,359.77 
[74433] CANCEL_SET_SELL,xRR8b3q6bp,URA 
[74483] QUOTE,xRR8b3q6bp,CGW 
[74492] SET_BUY_AMOUNT,xRR8b3q6bp,IFN,325.67 
[74507] SET_BUY_TRIGGER,xRR8b3q6bp,SAJ,265.73 
[74689] DISPLAY_SUMMARY,xRR8b3q6bp 
[74714] SET_SELL_AMOUNT,xRR8b3q6bp,FDI,475.30 
[74722] SET_SELL_TRIGGER,xRR8b3q6bp,FDI,199.66 
[74781] DISPLAY_SUMMARY,xRR8b3q6bp 
[74893] SELL,xRR8b3q6bp,KDA,592.27 
[74999] CANCEL_SELL,xRR8b3q6bp 
[75335] SELL,xRR8b3q6bp,XLK,674.01 
[75542] DISPLAY_SUMMARY,xRR8b3q6bp 
[75874] SET_BUY_TRIGGER,xRR8b3q6bp,DNJ,0.33 
[76073] CANCEL_SET_SELL,xRR8b3q6bp,EIK 
[76124] DISPLAY_SUMMARY,xRR8b3q6bp 
[76170] QUOTE,xRR8b3q6bp,QJC 
[76240] BUY,xRR8b3q6bp,WRJ,183.47 
[76408] COMMIT_BUY,xRR8b3q6bp 
[76456] SELL,xRR8b3q6bp,UIE,77.84 
[76525] COMMIT_SELL,xRR8b3q6bp 
[76592] QUOTE,xRR8b3q6bp,NHB 
[76718] QUOTE,xRR8b3q6bp,RDK 
[76809] BUY,xRR8b3q6bp,AVX,148.49 
[76887] SET_BUY_AMOUNT,xRR8b3q6bp,JZJ,715.54 
[76895] SET_BUY_TRIGGER,xRR8b3q6bp,YNH,66.98 
[76989] BUY,xRR8b3q6bp,GXT,495.36 
[77018] COMMIT_BUY,xRR8b3q6bp 
[77097] QUOTE,xRR8b3q6bp,DGA 
[77195] BUY,xRR8b3q6bp,JYV,660.48 
[77220] COMMIT_BUY,xRR8b3q6bp 
[77245] ADD,xRR8b3q6bp,61556.18 
[77300] SELL,xRR8b3q6bp,FDI,60.11 
[77450] SET_BUY_AMOUNT,xRR8b3q6bp,MXD,582.75 
[77453] SET_BUY_TRIGGER,xRR8b3q6bp,PIC,571.80 
[77548] SET_BUY_TRIGGER,xRR8b3q6bp,ZZD,36.76 
[77559] SET_SELL_AMOUNT,xRR8b3q6bp,LFU,714.34 
[77575] SET_SELL_TRIGGER,xRR8b3q6bp,LFU,631.43 
[77657] SET_BUY_TRIGGER,xRR8b3q6bp,CVV,46.64 
[77672] CANCEL_SELL,xRR8b3q6bp 
[78075] DISPLAY_SUMMARY,xRR8b3q6bp 
[78077] ADD,xRR8b3q6bp,76346.12 
[78201] CANCEL_SET_SELL,xRR8b3q6bp,OHS 
[78211] QUOTE,xRR8b3q6bp,YRL 
[78240] SET_BUY_TRIGGER,xRR8b3q6bp,KBI,57.99 
[78393] ADD,xRR8b3q6bp,68933.38 
[78479] QUOTE,xRR8b3q6bp,IAV 
[78866] SET_BUY_TRIGGER,xRR8b3q6bp,ZCG,168.13 
[78923] SET_SELL_AMOUNT,xRR8b3q6bp,QJZ,498.68 
[79002] DISPLAY_SUMMARY,xRR8b3q6bp 
[79244] SET_SELL_AMOUNT,xRR8b3q6bp,ZYR,430.41 
[79311] SET_SELL_TRIGGER,xRR8b3q6bp,ZYR,377.36 
[79379] SET_BUY_TRIGGER,xRR8b3q6bp,OYW,133.25 
[79461] SET_BUY_AMOUNT,xRR8b3q6bp,SUS,544.30 
[79500] SET_BUY_TRIGGER,xRR8b3q6bp,LLE,451.54 
[79717] QUOTE,xRR8b3q6bp,UTD 
[79736] BUY,xRR8b3q6bp,TTY,292.94 
[79827] COMMIT_BUY,xRR8b3q6bp 
[79876] CANCEL_SET_SELL,xRR8b3q6bp,ZYR 
[80087] SET_BUY_TRIGGER,xRR8b3q6bp,QXE,157.01 
[80318] SELL,xRR8b3q6bp,XXQ,86.95 
[80569] COMMIT_SELL,xRR8b3q6bp 
[80671] ADD,xRR8b3q6bp,65328.52 
[80691] SET_SELL_AMOUNT,xRR8b3q6bp,VTY,417.20 
[80965] SET_SELL_TRIGGER,xRR8b3q6bp,VTY,235.32 
[81012] DISPLAY_SUMMARY,xRR8b3q6bp 
[81195] ADD,xRR8b3q6bp,74853.65 
[81269] BUY,xRR8b3q6bp,QAX,104.34 
[81459] COMMIT_BUY,xRR8b3q6bp 
[81475] SELL,xRR8b3q6bp,XLK,80.73 
[81598] CANCEL_BUY,xRR8b3q6bp 
[81725] DISPLAY_SUMMARY,xRR8b3q6bp 
[81726] ADD,xRR8b3q6bp,67515.97 
[81955] QUOTE,xRR8b3q6bp,BRT 
[82255] SET_BUY_AMOUNT,xRR8b3q6bp,LFU,273.59 
[82433] BUY,xRR8b3q6bp,ZJB,86.91 
[82606] COMMIT_BUY,xRR8b3q6bp 
[82650] QUOTE,xRR8b3q6bp,PVH 
[82724] ADD,xRR8b3q6bp,69923.89 
[82854] COMMIT_BUY,xRR8b3q6bp 
[82981] SELL,xRR8b3q6bp,CSZ,127.43 
[83095] CANCEL_SET_SELL,xRR8b3q6bp,UBJ 
[83163] ADD,xRR8b3q6bp,65087.94 
[83295] BUY,xRR8b3q6bp,UMN,81.05 
[83318] CANCEL_SET_SELL,xRR8b3q6bp,YCH 
[83450] SELL,xRR8b3q6bp,ZYR,434.42 
[83471] CANCEL_SELL,xRR8b3q6bp 
[83668] SET_BUY_TRIGGER,xRR8b3q6bp,LAM,183.98 
[83734] DISPLAY_SUMMARY,xRR8b3q6bp 
[83742] SELL,xRR8b3q6bp,JZJ,82.44 
[83814] CANCEL_SELL,xRR8b3q6bp 
[83907] CANCEL_SET_SELL,xRR8b3q6bp,NLT 
[84139] ADD,xRR8b3q6bp,74367.82 
[84228] BUY,xRR8b3q6bp,QJC,75.45 
[84443] COMMIT_BUY,xRR8b3q6bp 
[84456] SET_BUY_AMOUNT,xRR8b3q6bp,NHG,220.58 
[84491] SET_BUY_TRIGGER,xRR8b3q6bp,CBY,202.17 
[84653] SET_BUY_TRIGGER,xRR8b3q6bp,ZTI,122.17 
[84774] QUOTE,xRR8b3q6bp,YBB 
[84796] CANCEL_SELL,xRR8b3q6bp 
[84839] ADD,xRR8b3q6bp,96569.39 
[84852] QUOTE,xRR8b3q6bp,LFU 
[84878] COMMIT_SELL,xRR8b3q6bp 
[85154] SET_BUY_TRIGGER,xRR8b3q6bp,CXW,12.38 
[85194] ADD,xRR8b3q6bp,102858.66 
[85218] QUOTE,xRR8b3q6bp,OOR 
[85574] QUOTE,xRR8b3q6bp,DES 
[86154] QUOTE,xRR8b3q6bp,LLE 
[86196] QUOTE,xRR8b3q6bp,MLT 
[86236] SET_SELL_TRIGGER,xRR8b3q6bp,DIX,65.72 
[86432] DISPLAY_SUMMARY,xRR8b3q6bp 
[86457] SET_SELL_AMOUNT,xRR8b3q6bp,QAX,623.63 
[86526] BUY,xRR8b3q6bp,BZX,526.91 
[86606] COMMIT_BUY,xRR8b3q6bp 
[86638] QUOTE,xRR8b3q6bp,EBS 
[86853] SELL,xRR8b3q6bp,JCQ,259.60 
[87087] COMMIT_SELL,xRR8b3q6bp 
[87105] BUY,xRR8b3q6bp,NKC,278.55 
[87370] COMMIT_BUY,xRR8b3q6bp 
[87410] SET_SELL_AMOUNT,xRR8b3q6bp,KBN,593.56 
[87448] CANCEL_SET_SELL,xRR8b3q6bp,KBN 
[87461] SET_BUY_TRIGGER,xRR8b3q6bp,FIY,130.86 
[87537] QUOTE,xRR8b3q6bp,BMQ 
[87809] QUOTE,xRR8b3q6bp,ZWZ 
[87939] BUY,xRR8b3q6bp,NGB,735.64 
[87961] SET_SELL_AMOUNT,xRR8b3q6bp,FQP,571.45 
[88119] SET_SELL_TRIGGER,xRR8b3q6bp,FQP,247.91 
[88237] BUY,xRR8b3q6bp,NFV,403.33 
[88265] COMMIT_SELL,xRR8b3q6bp 
[88276] ADD,xRR8b3q6bp,92750.75 
[88313] DISPLAY_SUMMARY,xRR8b3q6bp 
[88371] DISPLAY_SUMMARY,xRR8b3q6bp 
[88467] DISPLAY_SUMMARY,xRR8b3q6bp 
[88527] BUY,xRR8b3q6bp,ASJ,316.82 
[88638] CANCEL_BUY,xRR8b3q6bp 
[88709] SELL,xRR8b3q6bp,ZYR,137.50 
[88791] COMMIT_SELL,xRR8b3q6bp 
[88990] BUY,xRR8b3q6bp,VNN,194.09 
[89075] CANCEL_BUY,xRR8b3q6bp 
[89179] BUY,xRR8b3q6bp,KDG,506.30 
[89320] CANCEL_SELL,xRR8b3q6bp 
[89351] QUOTE,xRR8b3q6bp,NLP 
[89367] QUOTE,xRR8b3q6bp,PVH 
[89474] SET_BUY_AMOUNT,xRR8b3q6bp,IFN,208.67 
[89477] SET_BUY_TRIGGER,xRR8b3q6bp,FCH,166.50 
[89509] SELL,xRR8b3q6bp,ZTI,492.97 
[89610] COMMIT_SELL,xRR8b3q6bp 
[89666] SELL,xRR8b3q6bp,ZYR,409.66 
[89739] COMMIT_SELL,xRR8b3q6bp 
[89836] SET_BUY_TRIGGER,xRR8b3q6bp,ZWC,96.38 
[89921] SET_BUY_TRIGGER,xRR8b3q6bp,AJX,43.07 
[89954] ADD,xRR8b3q6bp,63810.87 
[89977] QUOTE,xRR8b3q6bp,TSF 
[90039] BUY,xRR8b3q6bp,MOS,552.28 
[90213] COMMIT_BUY,xRR8b3q6bp 
[90306] SET_BUY_AMOUNT,xRR8b3q6bp,CEC,246.51 
[90347] SET_BUY_TRIGGER,xRR8b3q6bp,XLV,238.76 
[90433] SET_BUY_AMOUNT,xRR8b3q6bp,JZJ,176.66 
[90789] SET_BUY_TRIGGER,xRR8b3q6bp,YPW,170.09 
[90798] SET_BUY_TRIGGER,xRR8b3q6bp,IPJ,97.97 
[90935] ADD,xRR8b3q6bp,63783.54 
[91047] QUOTE,xRR8b3q6bp,SQO 
[91060] DISPLAY_SUMMARY,xRR8b3q6bp 
[91165] CANCEL_SET_BUY,xRR8b3q6bp,TAR 
[91321] DISPLAY_SUMMARY,xRR8b3q6bp 
[91358] QUOTE,xRR8b3q6bp,SFR 
[91416] QUOTE,xRR8b3q6bp,JGG 
[91756] ADD,xRR8b3q6bp,68442.88 
[91823] QUOTE,xRR8b3q6bp,GIK 
[91976] QUOTE,xRR8b3q6bp,UIE 
[92176] SET_BUY_AMOUNT,xRR8b3q6bp,CUZ,303.13 
[92272] SET_BUY_TRIGGER,xRR8b3q6bp,DHA,242.02 
[92278] DISPLAY_SUMMARY,xRR8b3q6bp 
[92279] ADD,xRR8b3q6bp,59030.42 
[92280] COMMIT_BUY,xRR8b3q6bp 
[92453] DISPLAY_SUMMARY,xRR8b3q6bp 
[92487] ADD,xRR8b3q6bp,58179.28 
[92586] BUY,xRR8b3q6bp,VCN,235.74 
[92590] DISPLAY_SUMMARY,xRR8b3q6bp 
[92611] QUOTE,xRR8b3q6bp,CMD 
[92624] QUOTE,xRR8b3q6bp,JGY 
[92630] SELL,xRR8b3q6bp,QJZ,645.19 
[92687] COMMIT_SELL,xRR8b3q6bp 
[92752] ADD,xRR8b3q6bp,85742.92 
[92862] BUY,xRR8b3q6bp,ZYR,546.67 
[93015] COMMIT_BUY,xRR8b3q6bp 
[93023] SET_BUY_TRIGGER,xRR8b3q6bp,RQL,43.18 
[93068] SET_BUY_AMOUNT,xRR8b3q6bp,OEY,509.66 
[93138] SET_BUY_TRIGGER,xRR8b3q6bp,ZNL,266.69 
[93143] CANCEL_BUY,xRR8b3q6bp 
[93219] QUOTE,xRR8b3q6bp,XEA 
