[295] ADD,k5RWRveCOY,68893.49 
[49321] SET_BUY_AMOUNT,k5RWRveCOY,CSZ,522.91 
[49478] SET_BUY_TRIGGER,k5RWRveCOY,YTT,454.17 
[49494] SET_SELL_AMOUNT,k5RWRveCOY,GYF,22.46 
[49600] SET_SELL_TRIGGER,k5RWRveCOY,GYF,17.10 
[49688] SET_BUY_TRIGGER,k5RWRveCOY,ATW,181.33 
[49900] BUY,k5RWRveCOY,AOC,267.25 
[49935] CANCEL_BUY,k5RWRveCOY 
[49958] DISPLAY_SUMMARY,k5RWRveCOY 
[49989] SET_SELL_TRIGGER,k5RWRveCOY,ZCO,23.60 
[50004] SELL,k5RWRveCOY,QJZ,663.19 
[50148] COMMIT_SELL,k5RWRveCOY 
[50149] BUY,k5RWRveCOY,DWU,134.99 
[50157] COMMIT_BUY,k5RWRveCOY 
[50477] ADD,k5RWRveCOY,51138.57 
[50525] BUY,k5RWRveCOY,AOU,198.80 
[50629] SET_SELL_TRIGGER,k5RWRveCOY,PVH,40.05 
[50887] ADD,k5RWRveCOY,96899.22 
[50917] QUOTE,k5RWRveCOY,QWC 
[51070] DISPLAY_SUMMARY,k5RWRveCOY 
[51219] SELL,k5RWRveCOY,BYA,143.36 
[51461] COMMIT_SELL,k5RWRveCOY 
[51544] QUOTE,k5RWRveCOY,FLY 
[51793] SET_BUY_AMOUNT,k5RWRveCOY,JCQ,519.97 
[51865] SET_BUY_TRIGGER,k5RWRveCOY,BTD,151.44 
[52032] SET_BUY_AMOUNT,k5RWRveCOY,RUN,244.66 
[52110] BUY,k5RWRveCOY,ZFT,622.97 
[52239] SET_SELL_TRIGGER,k5RWRveCOY,CTS,138.69 
[52325] ADD,k5RWRveCOY,73189.40 
[52335] QUOTE,k5RWRveCOY,SYE 
[52341] BUY,k5RWRveCOY,LPS,51.25 
[52369] CANCEL_BUY,k5RWRveCOY 
[52540] SET_BUY_TRIGGER,k5RWRveCOY,VDP,9.27 
[52589] SELL,k5RWRveCOY,DFE,287.69 
[52657] CANCEL_SELL,k5RWRveCOY 
[52935] DISPLAY_SUMMARY,k5RWRveCOY 
[52952] ADD,k5RWRveCOY,84754.63 
[53038] QUOTE,k5RWRveCOY,YRO 
[53332] BUY,k5RWRveCOY,EOS,326.33 
[53408] CANCEL_SET_SELL,k5RWRveCOY,IEQ 
[53622] CANCEL_SELL,k5RWRveCOY 
[53626] CANCEL_SET_SELL,k5RWRveCOY,PPW 
[53627] SET_BUY_TRIGGER,k5RWRveCOY,HGG,11.27 
[53768] QUOTE,k5RWRveCOY,APU 
[53778] BUY,k5RWRveCOY,KES,333.75 
[53819] COMMIT_BUY,k5RWRveCOY 
[53906] ADD,k5RWRveCOY,70175.97 
[54047] BUY,k5RWRveCOY,GKD,509.05 
[54104] CANCEL_BUY,k5RWRveCOY 
[54273] COMMIT_SELL,k5RWRveCOY 
[54514] QUOTE,k5RWRveCOY,BTA 
[54567] BUY,k5RWRveCOY,ZMS,392.57 
[54647] SET_BUY_AMOUNT,k5RWRveCOY,XLK,41.21 
[54648] SET_BUY_TRIGGER,k5RWRveCOY,EIK,16.97 
[54757] ADD,k5RWRveCOY,50735.68 
[54884] BUY,k5RWRveCOY,LRS,285.04 
[54897] ADD,k5RWRveCOY,70593.10 
[55055] COMMIT_BUY,k5RWRveCOY 
[55111] SET_BUY_AMOUNT,k5RWRveCOY,RGH,492.65 
[55119] SET_BUY_TRIGGER,k5RWRveCOY,SQO,411.05 
[55224] BUY,k5RWRveCOY,NSN,218.62 
[55402] CANCEL_BUY,k5RWRveCOY 
[55567] SET_SELL_AMOUNT,k5RWRveCOY,DFE,85.31 
[55826] SET_SELL_TRIGGER,k5RWRveCOY,DFE,79.57 
[55864] SET_BUY_AMOUNT,k5RWRveCOY,ZTI,263.34 
[55987] SET_BUY_TRIGGER,k5RWRveCOY,TQX,209.71 
[56061] SET_SELL_TRIGGER,k5RWRveCOY,OSC,47.24 
[56298] SET_BUY_AMOUNT,k5RWRveCOY,CSZ,319.87 
[56301] CANCEL_SET_BUY,k5RWRveCOY,KJH 
[56576] COMMIT_SELL,k5RWRveCOY 
[56687] ADD,k5RWRveCOY,64780.43 
[56799] BUY,k5RWRveCOY,JVT,95.71 
[56803] BUY,k5RWRveCOY,MXN,729.55 
[56920] COMMIT_BUY,k5RWRveCOY 
[57178] SET_SELL_TRIGGER,k5RWRveCOY,XII,95.25 
[57311] COMMIT_BUY,k5RWRveCOY 
[57324] SET_SELL_AMOUNT,k5RWRveCOY,DFE,631.23 
[57469] SET_SELL_TRIGGER,k5RWRveCOY,DFE,372.84 
[57501] SET_BUY_TRIGGER,k5RWRveCOY,DBT,167.16 
[57542] BUY,k5RWRveCOY,JUG,265.12 
[57545] COMMIT_BUY,k5RWRveCOY 
[57592] SET_BUY_TRIGGER,k5RWRveCOY,QXW,134.45 
[57628] SET_SELL_TRIGGER,k5RWRveCOY,KNM,184.10 
[57726] BUY,k5RWRveCOY,YPW,591.44 
[57769] COMMIT_BUY,k5RWRveCOY 
[58300] ADD,k5RWRveCOY,55431.71 
[58432] QUOTE,k5RWRveCOY,WYR 
[58476] BUY,k5RWRveCOY,YAV,300.98 
[58650] CANCEL_BUY,k5RWRveCOY 
[58738] DISPLAY_SUMMARY,k5RWRveCOY 
[58879] SET_BUY_AMOUNT,k5RWRveCOY,NHG,111.49 
[58919] SET_BUY_TRIGGER,k5RWRveCOY,ECI,10.33 
[58921] BUY,k5RWRveCOY,XOM,607.51 
[58995] COMMIT_BUY,k5RWRveCOY 
[59014] ADD,k5RWRveCOY,63550.12 
[59040] QUOTE,k5RWRveCOY,FTJ 
[59161] BUY,k5RWRveCOY,SEI,491.14 
[59383] CANCEL_SET_BUY,k5RWRveCOY,RDN 
[59415] SELL,k5RWRveCOY,NHG,241.31 
[59500] QUOTE,k5RWRveCOY,YRO 
[59503] COMMIT_SELL,k5RWRveCOY 
[59563] BUY,k5RWRveCOY,QWC,138.12 
[59707] COMMIT_BUY,k5RWRveCOY 
[59950] SET_BUY_TRIGGER,k5RWRveCOY,YDD,15.37 
[60105] CANCEL_SET_SELL,k5RWRveCOY,XBE 
[60183] SET_SELL_TRIGGER,k5RWRveCOY,LLE,169.01 
[60220] ADD,k5RWRveCOY,66879.13 
[60337] QUOTE,k5RWRveCOY,FUF 
[60616] QUOTE,k5RWRveCOY,GLO 
[60660] BUY,k5RWRveCOY,HZA,462.99 
[60711] SET_SELL_AMOUNT,k5RWRveCOY,SSF,626.14 
[61001] SET_SELL_TRIGGER,k5RWRveCOY,SSF,240.64 
[61051] DISPLAY_SUMMARY,k5RWRveCOY 
[61061] ADD,k5RWRveCOY,93254.79 
[61201] BUY,k5RWRveCOY,WNH,45.41 
[61634] CANCEL_SELL,k5RWRveCOY 
[62066] DISPLAY_SUMMARY,k5RWRveCOY 
[62191] ADD,k5RWRveCOY,49642.75 
[62231] QUOTE,k5RWRveCOY,ECX 
[62497] ADD,k5RWRveCOY,71412.90 
[62518] BUY,k5RWRveCOY,EIH,134.72 
[62570] CANCEL_BUY,k5RWRveCOY 
[62614] ADD,k5RWRveCOY,45480.43 
[62791] BUY,k5RWRveCOY,IEQ,699.00 
[63104] COMMIT_BUY,k5RWRveCOY 
[63117] SELL,k5RWRveCOY,FQP,720.52 
[63128] DISPLAY_SUMMARY,k5RWRveCOY 
[63165] CANCEL_SET_BUY,k5RWRveCOY,LLE 
[63208] DISPLAY_SUMMARY,k5RWRveCOY 
[63214] SET_SELL_AMOUNT,k5RWRveCOY,FDI,211.76 
[63349] SET_SELL_TRIGGER,k5RWRveCOY,FDI,44.56 
[63360] SET_SELL_TRIGGER,k5RWRveCOY,XME,102.00 
[63462] ADD,k5RWRveCOY,61884.17 
[63485] BUY,k5RWRveCOY,MMF,412.07 
[63550] COMMIT_BUY,k5RWRveCOY 
[63792] SET_BUY_TRIGGER,k5RWRveCOY,SZI,129.58 
[63950] SET_BUY_AMOUNT,k5RWRveCOY,OEY,244.15 
[64062] SET_BUY_TRIGGER,k5RWRveCOY,MIY,46.54 
[64068] BUY,k5RWRveCOY,VNF,611.55 
[64166] COMMIT_BUY,k5RWRveCOY 
[64251] SET_BUY_TRIGGER,k5RWRveCOY,SQO,174.05 
[64619] SELL,k5RWRveCOY,EBS,689.07 
[64677] QUOTE,k5RWRveCOY,SJZ 
[64807] QUOTE,k5RWRveCOY,BEG 
[64813] SET_SELL_TRIGGER,k5RWRveCOY,DMS,39.95 
[64976] DISPLAY_SUMMARY,k5RWRveCOY 
[65004] SET_BUY_TRIGGER,k5RWRveCOY,UMN,112.21 
[65111] ADD,k5RWRveCOY,44738.01 
[65633] CANCEL_SET_BUY,k5RWRveCOY,IOM 
[65655] SELL,k5RWRveCOY,DFE,716.64 
[66042] QUOTE,k5RWRveCOY,PUU 
[66150] BUY,k5RWRveCOY,PHZ,303.42 
[66372] COMMIT_BUY,k5RWRveCOY 
[66382] SET_SELL_TRIGGER,k5RWRveCOY,HZA,138.94 
[66458] BUY,k5RWRveCOY,LBC,492.46 
[66715] SELL,k5RWRveCOY,YJK,351.54 
[66728] COMMIT_SELL,k5RWRveCOY 
[66762] CANCEL_BUY,k5RWRveCOY 
[66871] QUOTE,k5RWRveCOY,URI 
[66943] BUY,k5RWRveCOY,DLQ,83.13 
[67162] COMMIT_BUY,k5RWRveCOY 
[67227] SET_SELL_AMOUNT,k5RWRveCOY,NHG,396.19 
[67229] QUOTE,k5RWRveCOY,DIX 
[67249] DISPLAY_SUMMARY,k5RWRveCOY 
[67339] ADD,k5RWRveCOY,52982.88 
[67391] QUOTE,k5RWRveCOY,BBD 
[67423] SELL,k5RWRveCOY,JCQ,401.58 
[67618] COMMIT_SELL,k5RWRveCOY 
[67653] DISPLAY_SUMMARY,k5RWRveCOY 
[67654] ADD,k5RWRveCOY,69297.73 
[67751] QUOTE,k5RWRveCOY,DWX 
[67783] DISPLAY_SUMMARY,k5RWRveCOY 
[68062] ADD,k5RWRveCOY,90926.74 
[68083] BUY,k5RWRveCOY,AOU,18.83 
[68089] CANCEL_SET_SELL,k5RWRveCOY,NHG 
[68117] DISPLAY_SUMMARY,k5RWRveCOY 
[68241] QUOTE,k5RWRveCOY,WYR 
[68294] BUY,k5RWRveCOY,IGT,17.07 
[68336] CANCEL_BUY,k5RWRveCOY 
[68338] SET_SELL_AMOUNT,k5RWRveCOY,GRM,431.13 
[68395] SET_SELL_TRIGGER,k5RWRveCOY,GRM,3.75 
[68424] QUOTE,k5RWRveCOY,YBO 
[68596] BUY,k5RWRveCOY,TSU,671.39 
[68629] SET_BUY_TRIGGER,k5RWRveCOY,CXB,56.72 
[68737] SELL,k5RWRveCOY,RUN,21.71 
[68816] CANCEL_SET_SELL,k5RWRveCOY,GXT 
[68886] ADD,k5RWRveCOY,64354.53 
[69009] SET_SELL_AMOUNT,k5RWRveCOY,CSZ,508.47 
[69052] SET_SELL_TRIGGER,k5RWRveCOY,CSZ,132.70 
[69218] SET_SELL_TRIGGER,k5RWRveCOY,FQR,81.75 
[69851] SET_SELL_AMOUNT,k5RWRveCOY,GRM,718.12 
[69864] SET_SELL_TRIGGER,k5RWRveCOY,GRM,549.60 
[69868] CANCEL_SELL,k5RWRveCOY 
[70030] SET_SELL_AMOUNT,k5RWRveCOY,QGE,681.63 
[70090] SELL,k5RWRveCOY,SSF,464.32 
[70123] COMMIT_SELL,k5RWRveCOY 
[70194] ADD,k5RWRveCOY,90209.01 
[70227] SET_SELL_AMOUNT,k5RWRveCOY,GYF,173.92 
[70332] SET_SELL_TRIGGER,k5RWRveCOY,GYF,133.69 
[70362] BUY,k5RWRveCOY,WYA,184.19 
[70380] COMMIT_BUY,k5RWRveCOY 
[70605] SELL,k5RWRveCOY,RNK,491.29 
[70673] QUOTE,k5RWRveCOY,DOI 
[70704] BUY,k5RWRveCOY,UGT,613.54 
[70749] CANCEL_SET_SELL,k5RWRveCOY,FIW 
[70829] CANCEL_SET_SELL,k5RWRveCOY,HWO 
[70876] SELL,k5RWRveCOY,QGE,733.73 
[70890] COMMIT_SELL,k5RWRveCOY 
[71053] SELL,k5RWRveCOY,MFX,156.49 
[71129] CANCEL_SELL,k5RWRveCOY 
[71215] SELL,k5RWRveCOY,XLK,246.78 
[71496] CANCEL_BUY,k5RWRveCOY 
[71605] ADD,k5RWRveCOY,75384.11 
[71723] BUY,k5RWRveCOY,TSF,282.80 
[71725] COMMIT_BUY,k5RWRveCOY 
[71890] SELL,k5RWRveCOY,OPN,208.08 
[71904] SELL,k5RWRveCOY,FQP,114.14 
[72075] CANCEL_SET_BUY,k5RWRveCOY,OYW 
[72141] BUY,k5RWRveCOY,LTB,560.38 
[72425] CANCEL_SELL,k5RWRveCOY 
[72523] SET_SELL_TRIGGER,k5RWRveCOY,JPP,189.59 
[72577] CANCEL_BUY,k5RWRveCOY 
[72716] DISPLAY_SUMMARY,k5RWRveCOY 
[72722] CANCEL_SELL,k5RWRveCOY 
[72812] SET_BUY_AMOUNT,k5RWRveCOY,OEY,1.66 
[72918] SET_BUY_TRIGGER,k5RWRveCOY,XQC,1.57 
[72961] QUOTE,k5RWRveCOY,HNW 
[73090] SET_BUY_AMOUNT,k5RWRveCOY,AVX,230.99 
[73206] SET_BUY_TRIGGER,k5RWRveCOY,SJZ,140.84 
[73475] SET_SELL_TRIGGER,k5RWRveCOY,ZTR,136.24 
[73562] SELL,k5RWRveCOY,JZJ,748.75 
[73578] SET_BUY_AMOUNT,k5RWRveCOY,LFU,565.27 
[73816] SELL,k5RWRveCOY,JZJ,707.91 
[73854] SET_SELL_TRIGGER,k5RWRveCOY,JUN,134.29 
[73876] SET_BUY_TRIGGER,k5RWRveCOY,HFI,318.21 
[73942] SELL,k5RWRveCOY,IFN,401.10 
[73957] COMMIT_SELL,k5RWRveCOY 
[74116] ADD,k5RWRveCOY,60579.92 
[74122] BUY,k5RWRveCOY,ZJG,743.84 
[74441] COMMIT_BUY,k5RWRveCOY 
[74534] SET_SELL_AMOUNT,k5RWRveCOY,UBJ,370.57 
[74665] SET_SELL_TRIGGER,k5RWRveCOY,UBJ,213.70 
[74711] QUOTE,k5RWRveCOY,CZQ 
[74839] ADD,k5RWRveCOY,48682.74 
[75069] BUY,k5RWRveCOY,JXW,200.86 
[75106] COMMIT_BUY,k5RWRveCOY 
[75322] ADD,k5RWRveCOY,49376.08 
[75387] QUOTE,k5RWRveCOY,RFI 
[75489] ADD,k5RWRveCOY,86729.22 
[75492] QUOTE,k5RWRveCOY,KYT 
[75512] SET_BUY_TRIGGER,k5RWRveCOY,JUN,138.32 
[75579] BUY,k5RWRveCOY,SCW,505.27 
[75626] COMMIT_BUY,k5RWRveCOY 
[75782] CANCEL_BUY,k5RWRveCOY 
[75807] SET_SELL_AMOUNT,k5RWRveCOY,OPN,342.65 
[75973] SET_SELL_TRIGGER,k5RWRveCOY,OPN,255.21 
[75979] QUOTE,k5RWRveCOY,AZN 
[76030] SET_BUY_TRIGGER,k5RWRveCOY,LAM,89.30 
[76037] QUOTE,k5RWRveCOY,XTH 
[76095] QUOTE,k5RWRveCOY,UZZ 
[76260] QUOTE,k5RWRveCOY,AHO 
[76389] QUOTE,k5RWRveCOY,BHP 
[76512] SELL,k5RWRveCOY,RNK,459.01 
[76522] COMMIT_SELL,k5RWRveCOY 
[77063] SET_SELL_TRIGGER,k5RWRveCOY,USW,3.40 
[77100] SET_BUY_AMOUNT,k5RWRveCOY,BYA,655.87 
[77434] SET_BUY_TRIGGER,k5RWRveCOY,ZCO,441.21 
[77461] SET_BUY_TRIGGER,k5RWRveCOY,FVZ,123.97 
[77537] ADD,k5RWRveCOY,49223.75 
[77715] SET_BUY_AMOUNT,k5RWRveCOY,GRM,235.60 
[77796] SET_BUY_TRIGGER,k5RWRveCOY,ZMA,186.58 
[77969] QUOTE,k5RWRveCOY,IUN 
[78012] BUY,k5RWRveCOY,JGG,36.61 
[78070] COMMIT_BUY,k5RWRveCOY 
[78124] BUY,k5RWRveCOY,YCH,328.80 
[78502] COMMIT_SELL,k5RWRveCOY 
[78592] BUY,k5RWRveCOY,GUW,303.21 
[78611] BUY,k5RWRveCOY,CXN,211.11 
[78653] CANCEL_SET_BUY,k5RWRveCOY,GJR 
[78875] ADD,k5RWRveCOY,49137.89 
[78891] COMMIT_BUY,k5RWRveCOY 
[78901] ADD,k5RWRveCOY,61602.56 
[78954] BUY,k5RWRveCOY,WYR,618.90 
[79010] DISPLAY_SUMMARY,k5RWRveCOY 
[79123] SELL,k5RWRveCOY,GRM,115.41 
[79277] DISPLAY_SUMMARY,k5RWRveCOY 
[79313] ADD,k5RWRveCOY,63970.31 
[79488] QUOTE,k5RWRveCOY,YPL 
[79519] BUY,k5RWRveCOY,XXQ,578.20 
[79655] COMMIT_SELL,k5RWRveCOY 
[79775] SET_BUY_TRIGGER,k5RWRveCOY,FVS,155.55 
[80006] SET_BUY_TRIGGER,k5RWRveCOY,QJZ,77.75 
[80036] SELL,k5RWRveCOY,XLK,191.36 
[80159] COMMIT_SELL,k5RWRveCOY 
[80173] BUY,k5RWRveCOY,QVA,653.81 
[80200] SELL,k5RWRveCOY,RUN,556.93 
[80237] COMMIT_SELL,k5RWRveCOY 
[80351] CANCEL_BUY,k5RWRveCOY 
[80371] SET_SELL_TRIGGER,k5RWRveCOY,PLB,144.60 
[80373] BUY,k5RWRveCOY,IOY,403.42 
[80399] COMMIT_BUY,k5RWRveCOY 
[80421] DISPLAY_SUMMARY,k5RWRveCOY 
[80434] DISPLAY_SUMMARY,k5RWRveCOY 
[80465] SET_BUY_AMOUNT,k5RWRveCOY,YJK,171.55 
[80495] SET_BUY_TRIGGER,k5RWRveCOY,MRK,99.31 
[80599] DISPLAY_SUMMARY,k5RWRveCOY 
[80714] CANCEL_SET_BUY,k5RWRveCOY,ZNW 
[80745] ADD,k5RWRveCOY,74265.24 
[80995] QUOTE,k5RWRveCOY,GAN 
[81068] ADD,k5RWRveCOY,78547.51 
[81090] QUOTE,k5RWRveCOY,USW 
[81115] QUOTE,k5RWRveCOY,LKV 
[81219] DISPLAY_SUMMARY,k5RWRveCOY 
[81343] BUY,k5RWRveCOY,XQG,213.35 
[81357] COMMIT_BUY,k5RWRveCOY 
[81404] SET_BUY_TRIGGER,k5RWRveCOY,OZO,167.72 
[81505] BUY,k5RWRveCOY,MDZ,280.98 
[81752] COMMIT_BUY,k5RWRveCOY 
[81933] SET_SELL_AMOUNT,k5RWRveCOY,IFN,623.12 
[82103] SET_SELL_TRIGGER,k5RWRveCOY,IFN,618.27 
[82147] SELL,k5RWRveCOY,VTY,220.67 
[82169] CANCEL_SET_BUY,k5RWRveCOY,RGH 
[82338] DISPLAY_SUMMARY,k5RWRveCOY 
[82370] DISPLAY_SUMMARY,k5RWRveCOY 
[82407] SET_BUY_TRIGGER,k5RWRveCOY,FTP,50.00 
[82419] SET_SELL_AMOUNT,k5RWRveCOY,XQC,315.17 
[82469] SET_SELL_TRIGGER,k5RWRveCOY,XQC,198.85 
[82553] ADD,k5RWRveCOY,52017.83 
[82625] BUY,k5RWRveCOY,FLD,679.45 
[82626] CANCEL_SET_SELL,k5RWRveCOY,MHI 
[82673] COMMIT_BUY,k5RWRveCOY 
[82845] SET_BUY_AMOUNT,k5RWRveCOY,LZV,216.44 
[82930] SET_BUY_TRIGGER,k5RWRveCOY,XFA,45.96 
[82942] ADD,k5RWRveCOY,100136.19 
[83170] BUY,k5RWRveCOY,JCL,152.41 
[83173] COMMIT_BUY,k5RWRveCOY 
[83195] SET_SELL_TRIGGER,k5RWRveCOY,NXU,94.78 
[83335] ADD,k5RWRveCOY,81320.17 
[83351] QUOTE,k5RWRveCOY,TKM 
[83352] SET_BUY_TRIGGER,k5RWRveCOY,OEM,150.96 
[83479] BUY,k5RWRveCOY,WUL,124.94 
[83578] COMMIT_BUY,k5RWRveCOY 
[83762] QUOTE,k5RWRveCOY,BLC 
[83786] QUOTE,k5RWRveCOY,OEM 
[83859] DISPLAY_SUMMARY,k5RWRveCOY 
[83861] SET_BUY_AMOUNT,k5RWRveCOY,QVK,159.89 
[83870] SET_BUY_TRIGGER,k5RWRveCOY,DWC,24.65 
[83986] ADD,k5RWRveCOY,71869.69 
[84013] QUOTE,k5RWRveCOY,VOU 
[84044] QUOTE,k5RWRveCOY,PTP 
[84078] BUY,k5RWRveCOY,EGB,517.09 
[84080] SET_BUY_TRIGGER,k5RWRveCOY,AAC,43.76 
[84090] BUY,k5RWRveCOY,PFK,324.41 
[84095] COMMIT_BUY,k5RWRveCOY 
[84143] ADD,k5RWRveCOY,52463.49 
[84210] BUY,k5RWRveCOY,ZEG,402.82 
[84471] COMMIT_BUY,k5RWRveCOY 
[84611] ADD,k5RWRveCOY,80804.27 
[84643] BUY,k5RWRveCOY,QXE,365.34 
[84671] SELL,k5RWRveCOY,EBS,180.91 
[84691] BUY,k5RWRveCOY,WNX,589.13 
[84939] COMMIT_BUY,k5RWRveCOY 
[85083] CANCEL_BUY,k5RWRveCOY 
[85268] ADD,k5RWRveCOY,58743.11 
[85390] QUOTE,k5RWRveCOY,YPW 
[85509] BUY,k5RWRveCOY,KJM,228.48 
[85562] SET_BUY_AMOUNT,k5RWRveCOY,SSF,588.35 
[85699] BUY,k5RWRveCOY,OQW,573.17 
[85821] SET_BUY_TRIGGER,k5RWRveCOY,JTX,117.59 
[85872] BUY,k5RWRveCOY,WRJ,33.57 
[85909] COMMIT_BUY,k5RWRveCOY 
[85953] SET_BUY_TRIGGER,k5RWRveCOY,MMY,81.16 
[85979] SET_SELL_TRIGGER,k5RWRveCOY,FKX,76.82 
[86036] SET_BUY_TRIGGER,k5RWRveCOY,ZHB,5.61 
[86046] DISPLAY_SUMMARY,k5RWRveCOY 
[86050] DISPLAY_SUMMARY,k5RWRveCOY 
[86091] DISPLAY_SUMMARY,k5RWRveCOY 
[86253] QUOTE,k5RWRveCOY,CTI 
[86294] SET_BUY_TRIGGER,k5RWRveCOY,NXF,140.62 
[86617] BUY,k5RWRveCOY,RYU,318.55 
[86772] SELL,k5RWRveCOY,GRM,555.57 
[86918] SELL,k5RWRveCOY,MXD,214.77 
[86938] CANCEL_SET_BUY,k5RWRveCOY,FOW 
[87083] QUOTE,k5RWRveCOY,XBL 
[87150] BUY,k5RWRveCOY,WYA,525.03 
[87224] BUY,k5RWRveCOY,EGB,13.59 
[87471] COMMIT_BUY,k5RWRveCOY 
[87472] BUY,k5RWRveCOY,AVH,571.82 
[87500] COMMIT_BUY,k5RWRveCOY 
[87509] ADD,k5RWRveCOY,82801.62 
[87579] BUY,k5RWRveCOY,OEM,748.95 
[87698] SELL,k5RWRveCOY,EBS,582.43 
[87822] CANCEL_BUY,k5RWRveCOY 
[87852] SET_BUY_TRIGGER,k5RWRveCOY,ZMK,87.78 
[87867] QUOTE,k5RWRveCOY,SHP 
[87997] BUY,k5RWRveCOY,LNJ,678.52 
[88053] DISPLAY_SUMMARY,k5RWRveCOY 
[88143] SET_BUY_AMOUNT,k5RWRveCOY,SQI,568.40 
[88334] QUOTE,k5RWRveCOY,ZRJ 
[88348] CANCEL_BUY,k5RWRveCOY 
[88640] ADD,k5RWRveCOY,88786.81 
[88789] QUOTE,k5RWRveCOY,SXB 
[88971] DISPLAY_SUMMARY,k5RWRveCOY 
[88980] BUY,k5RWRveCOY,XAN,115.89 
[89003] COMMIT_BUY,k5RWRveCOY 
[89027] CANCEL_SELL,k5RWRveCOY 
[89165] ADD,k5RWRveCOY,71413.80 
[89443] SELL,k5RWRveCOY,KES,470.36 
[89457] SET_SELL_AMOUNT,k5RWRveCOY,KES,628.27 
[89489] SET_SELL_TRIGGER,k5RWRveCOY,KES,601.76 
[89507] SET_SELL_TRIGGER,k5RWRveCOY,VDP,11.02 
[89618] SET_BUY_TRIGGER,k5RWRveCOY,BEG,183.93 
[89708] SET_BUY_AMOUNT,k5RWRveCOY,SUS,432.33 
[89714] SET_BUY_TRIGGER,k5RWRveCOY,IGT,228.22 
[89948] ADD,k5RWRveCOY,36067.83 
[90012] BUY,k5RWRveCOY,KCT,322.91 
[90115] COMMIT_BUY,k5RWRveCOY 
[90200] CANCEL_SET_SELL,k5RWRveCOY,WKE 
[90265] DISPLAY_SUMMARY,k5RWRveCOY 
[90482] ADD,k5RWRveCOY,94526.55 
[90484] QUOTE,k5RWRveCOY,HEK 
[90708] QUOTE,k5RWRveCOY,DGA 
[90810] SET_BUY_TRIGGER,k5RWRveCOY,QBD,195.59 
[90847] DISPLAY_SUMMARY,k5RWRveCOY 
[90857] SET_SELL_TRIGGER,k5RWRveCOY,BFB,108.64 
[90959] CANCEL_SET_BUY,k5RWRveCOY,EWP 
[91132] QUOTE,k5RWRveCOY,GZQ 
[91257] QUOTE,k5RWRveCOY,PUU 
[91296] QUOTE,k5RWRveCOY,PDB 
[91311] BUY,k5RWRveCOY,NDD,681.39 
[91352] COMMIT_BUY,k5RWRveCOY 
[91393] DISPLAY_SUMMARY,k5RWRveCOY 
[91394] ADD,k5RWRveCOY,75976.44 
[91463] BUY,k5RWRveCOY,GHE,104.52 
[91481] COMMIT_BUY,k5RWRveCOY 
[91512] QUOTE,k5RWRveCOY,GUW 
[91514] SET_BUY_TRIGGER,k5RWRveCOY,YRL,167.32 
[91535] ADD,k5RWRveCOY,68830.05 
[91691] QUOTE,k5RWRveCOY,BEC 
[91745] CANCEL_SET_SELL,k5RWRveCOY,SHP 
[91878] SET_BUY_AMOUNT,k5RWRveCOY,SSF,337.80 
[91958] SELL,k5RWRveCOY,NHG,456.68 
[92142] COMMIT_SELL,k5RWRveCOY 
[92326] ADD,k5RWRveCOY,61762.71 
[92367] BUY,k5RWRveCOY,YJK,516.54 
[92786] DISPLAY_SUMMARY,k5RWRveCOY 
[92842] SET_BUY_AMOUNT,k5RWRveCOY,JQO,581.39 
[93085] SET_BUY_TRIGGER,k5RWRveCOY,NEV,534.16 
[93504] DISPLAY_SUMMARY,k5RWRveCOY 
[93525] DISPLAY_SUMMARY,k5RWRveCOY 
[93664] QUOTE,k5RWRveCOY,JRJ 
[93695] BUY,k5RWRveCOY,LBC,497.49 
[93818] BUY,k5RWRveCOY,KTU,672.95 
[93899] QUOTE,k5RWRveCOY,RXO 
[93941] QUOTE,k5RWRveCOY,FYA 
[94101] QUOTE,k5RWRveCOY,NJF 
[94154] CANCEL_SET_SELL,k5RWRveCOY,JTY 
[94203] ADD,k5RWRveCOY,79099.34 
[94221] BUY,k5RWRveCOY,FRB,568.72 
[94279] SET_BUY_TRIGGER,k5RWRveCOY,AVI,30.82 
[94308] SELL,k5RWRveCOY,LFU,270.78 
[94350] SET_SELL_AMOUNT,k5RWRveCOY,SZI,246.94 
[94471] SET_SELL_TRIGGER,k5RWRveCOY,SZI,90.49 
[94539] ADD,k5RWRveCOY,70383.08 
[94555] QUOTE,k5RWRveCOY,RLS 
[94985] BUY,k5RWRveCOY,EIK,232.79 
[94996] SET_BUY_TRIGGER,k5RWRveCOY,DBT,105.32 
[95220] ADD,k5RWRveCOY,80890.28 
[95352] BUY,k5RWRveCOY,YWK,691.24 
[95383] COMMIT_BUY,k5RWRveCOY 
[95520] CANCEL_SELL,k5RWRveCOY 
[95940] QUOTE,k5RWRveCOY,VIK 
[96202] BUY,k5RWRveCOY,VVW,143.02 
[96292] CANCEL_SELL,k5RWRveCOY 
[96357] SELL,k5RWRveCOY,NHG,671.02 
[96415] COMMIT_SELL,k5RWRveCOY 
[96483] SET_SELL_AMOUNT,k5RWRveCOY,SUS,35.41 
[96684] QUOTE,k5RWRveCOY,XER 
[96790] BUY,k5RWRveCOY,DHA,725.84 
[96935] COMMIT_BUY,k5RWRveCOY 
[97045] BUY,k5RWRveCOY,GMS,287.38 
[97051] COMMIT_BUY,k5RWRveCOY 
