[93] ADD,uzApK6tlMI,71463.80 
[48473] ADD,uzApK6tlMI,94905.38 
[48597] QUOTE,uzApK6tlMI,FZB 
[48738] COMMIT_SELL,uzApK6tlMI 
[48812] DISPLAY_SUMMARY,uzApK6tlMI 
[48853] QUOTE,uzApK6tlMI,FTJ 
[48869] SET_BUY_TRIGGER,uzApK6tlMI,QQI,168.21 
[48996] DISPLAY_SUMMARY,uzApK6tlMI 
[49041] DISPLAY_SUMMARY,uzApK6tlMI 
[49114] SET_BUY_TRIGGER,uzApK6tlMI,BBD,132.99 
[49150] SET_SELL_TRIGGER,uzApK6tlMI,XAB,76.52 
[49223] BUY,uzApK6tlMI,MIY,713.19 
[49260] COMMIT_BUY,uzApK6tlMI 
[49314] SET_BUY_AMOUNT,uzApK6tlMI,QAX,652.00 
[49315] CANCEL_SET_BUY,uzApK6tlMI,IZJ 
[49393] ADD,uzApK6tlMI,49878.48 
[49394] QUOTE,uzApK6tlMI,AVH 
[49610] CANCEL_SELL,uzApK6tlMI 
[49638] DISPLAY_SUMMARY,uzApK6tlMI 
[49656] SET_SELL_TRIGGER,uzApK6tlMI,PUN,58.70 
[49821] DISPLAY_SUMMARY,uzApK6tlMI 
[50189] ADD,uzApK6tlMI,82497.41 
[50215] BUY,uzApK6tlMI,TKG,98.43 
[50227] COMMIT_BUY,uzApK6tlMI 
[50423] SET_BUY_AMOUNT,uzApK6tlMI,JVT,22.81 
[50436] SET_BUY_TRIGGER,uzApK6tlMI,AHO,7.18 
[50622] DISPLAY_SUMMARY,uzApK6tlMI 
[50739] SET_BUY_AMOUNT,uzApK6tlMI,RUN,277.07 
[50740] QUOTE,uzApK6tlMI,WYO 
[50790] ADD,uzApK6tlMI,93068.43 
[50894] QUOTE,uzApK6tlMI,ZFJ 
[50953] BUY,uzApK6tlMI,BEC,635.10 
[50975] COMMIT_BUY,uzApK6tlMI 
[51018] DISPLAY_SUMMARY,uzApK6tlMI 
[51039] DISPLAY_SUMMARY,uzApK6tlMI 
[51063] SET_BUY_TRIGGER,uzApK6tlMI,XBE,258.97 
[51083] BUY,uzApK6tlMI,WUL,28.65 
[51093] COMMIT_BUY,uzApK6tlMI 
[51167] SELL,uzApK6tlMI,OPN,639.44 
[51222] COMMIT_SELL,uzApK6tlMI 
[51237] QUOTE,uzApK6tlMI,UBJ 
[51296] COMMIT_BUY,uzApK6tlMI 
[51312] SET_SELL_TRIGGER,uzApK6tlMI,JXW,128.28 
[51344] BUY,uzApK6tlMI,BRZ,403.30 
[51361] DISPLAY_SUMMARY,uzApK6tlMI 
[51715] ADD,uzApK6tlMI,88034.41 
[51866] QUOTE,uzApK6tlMI,WFR 
[51908] CANCEL_SET_SELL,uzApK6tlMI,UFX 
[51934] SELL,uzApK6tlMI,RNK,152.59 
[51943] SET_BUY_AMOUNT,uzApK6tlMI,JRJ,90.72 
[51971] SELL,uzApK6tlMI,ZYR,400.26 
[51981] COMMIT_SELL,uzApK6tlMI 
[52092] SET_SELL_TRIGGER,uzApK6tlMI,AHO,111.70 
[52100] ADD,uzApK6tlMI,79472.11 
[52161] BUY,uzApK6tlMI,FFZ,679.41 
[52163] COMMIT_BUY,uzApK6tlMI 
[52351] SET_BUY_AMOUNT,uzApK6tlMI,RGH,196.06 
[52521] SET_BUY_TRIGGER,uzApK6tlMI,XLK,79.16 
[52640] BUY,uzApK6tlMI,AUX,478.64 
[52691] COMMIT_BUY,uzApK6tlMI 
[52720] SET_SELL_TRIGGER,uzApK6tlMI,WSR,35.29 
[52742] DISPLAY_SUMMARY,uzApK6tlMI 
[52814] CANCEL_SET_SELL,uzApK6tlMI,IFQ 
[52821] ADD,uzApK6tlMI,75514.60 
[52978] QUOTE,uzApK6tlMI,TKM 
[53098] BUY,uzApK6tlMI,XDN,72.53 
[53356] SELL,uzApK6tlMI,OPN,255.41 
[53378] COMMIT_SELL,uzApK6tlMI 
[53461] SET_SELL_TRIGGER,uzApK6tlMI,RFI,132.85 
[53516] QUOTE,uzApK6tlMI,SPL 
[53619] CANCEL_SET_BUY,uzApK6tlMI,DTG 
[53750] QUOTE,uzApK6tlMI,FFN 
[53759] BUY,uzApK6tlMI,BVN,360.71 
[53821] SET_BUY_TRIGGER,uzApK6tlMI,JUN,9.63 
[53899] SET_BUY_TRIGGER,uzApK6tlMI,LFU,178.91 
[53912] QUOTE,uzApK6tlMI,YRL 
[53980] QUOTE,uzApK6tlMI,WYD 
[54216] SET_BUY_TRIGGER,uzApK6tlMI,XBE,56.11 
[54255] ADD,uzApK6tlMI,75338.22 
[54288] BUY,uzApK6tlMI,PHJ,124.78 
[54378] COMMIT_BUY,uzApK6tlMI 
[54425] BUY,uzApK6tlMI,PRJ,413.77 
[54444] SET_SELL_AMOUNT,uzApK6tlMI,OPN,698.34 
[54537] SET_SELL_TRIGGER,uzApK6tlMI,OPN,467.70 
[54873] SELL,uzApK6tlMI,LFU,151.89 
[54919] CANCEL_SELL,uzApK6tlMI 
[54930] SET_BUY_AMOUNT,uzApK6tlMI,FDI,164.34 
[54951] SET_BUY_TRIGGER,uzApK6tlMI,FKX,128.64 
[55145] SET_BUY_TRIGGER,uzApK6tlMI,BMQ,33.40 
[55261] COMMIT_BUY,uzApK6tlMI 
[55345] SET_BUY_TRIGGER,uzApK6tlMI,MER,125.27 
[55425] ADD,uzApK6tlMI,81129.44 
[55589] QUOTE,uzApK6tlMI,KWP 
[55647] SET_BUY_AMOUNT,uzApK6tlMI,JZJ,350.04 
[55833] SET_BUY_TRIGGER,uzApK6tlMI,WQE,137.03 
[56059] SET_SELL_AMOUNT,uzApK6tlMI,EBS,190.40 
[56211] SET_SELL_TRIGGER,uzApK6tlMI,EBS,35.86 
[56287] DISPLAY_SUMMARY,uzApK6tlMI 
[56378] SET_SELL_AMOUNT,uzApK6tlMI,DFE,691.27 
[56566] CANCEL_SET_SELL,uzApK6tlMI,DFE 
[56841] CANCEL_SET_BUY,uzApK6tlMI,FTP 
[56892] SET_BUY_AMOUNT,uzApK6tlMI,QGE,439.63 
[56949] SET_BUY_TRIGGER,uzApK6tlMI,IZU,254.76 
[56982] ADD,uzApK6tlMI,72571.34 
[57166] CANCEL_SELL,uzApK6tlMI 
[57213] BUY,uzApK6tlMI,BBC,729.52 
[57227] CANCEL_BUY,uzApK6tlMI 
[57663] ADD,uzApK6tlMI,55505.71 
[57790] SET_BUY_AMOUNT,uzApK6tlMI,NHG,70.56 
[57795] SET_BUY_TRIGGER,uzApK6tlMI,VMK,26.60 
[57871] SET_BUY_AMOUNT,uzApK6tlMI,NHG,570.92 
[58067] SET_BUY_TRIGGER,uzApK6tlMI,LLZ,55.95 
[58234] QUOTE,uzApK6tlMI,VYQ 
[58274] BUY,uzApK6tlMI,PMG,734.05 
[58288] COMMIT_BUY,uzApK6tlMI 
[58545] SET_SELL_TRIGGER,uzApK6tlMI,AVX,72.58 
[58670] SET_SELL_AMOUNT,uzApK6tlMI,CSZ,480.41 
[58709] SELL,uzApK6tlMI,NHG,639.23 
[58791] CANCEL_SELL,uzApK6tlMI 
[58852] SELL,uzApK6tlMI,FQP,80.01 
[59149] CANCEL_SELL,uzApK6tlMI 
[59480] DISPLAY_SUMMARY,uzApK6tlMI 
[59539] ADD,uzApK6tlMI,94577.63 
[59706] SET_SELL_AMOUNT,uzApK6tlMI,FDI,19.13 
[59749] SET_SELL_TRIGGER,uzApK6tlMI,FDI,7.79 
[59777] QUOTE,uzApK6tlMI,XFA 
[59825] CANCEL_SET_SELL,uzApK6tlMI,ARP 
[59869] QUOTE,uzApK6tlMI,GQV 
[59969] BUY,uzApK6tlMI,HRJ,646.31 
[60064] COMMIT_BUY,uzApK6tlMI 
[60101] BUY,uzApK6tlMI,WZM,588.08 
[60137] SET_SELL_AMOUNT,uzApK6tlMI,ZAN,518.94 
[60140] SET_SELL_TRIGGER,uzApK6tlMI,ZAN,225.52 
[60182] ADD,uzApK6tlMI,48260.18 
[60255] COMMIT_BUY,uzApK6tlMI 
[60420] SET_SELL_AMOUNT,uzApK6tlMI,ZTI,719.02 
[60497] CANCEL_SET_SELL,uzApK6tlMI,ZTI 
[60504] SET_SELL_AMOUNT,uzApK6tlMI,IFN,356.21 
[60542] SET_SELL_TRIGGER,uzApK6tlMI,IFN,257.90 
[60570] ADD,uzApK6tlMI,70944.34 
[60609] BUY,uzApK6tlMI,ZGN,725.01 
[60623] COMMIT_BUY,uzApK6tlMI 
[60731] ADD,uzApK6tlMI,78785.70 
[60889] QUOTE,uzApK6tlMI,QPX 
[61199] CANCEL_SET_SELL,uzApK6tlMI,YUR 
[61299] DISPLAY_SUMMARY,uzApK6tlMI 
[61509] SELL,uzApK6tlMI,RGH,498.12 
[61556] CANCEL_SELL,uzApK6tlMI 
[61566] SET_SELL_AMOUNT,uzApK6tlMI,FDI,242.00 
[61775] SET_SELL_TRIGGER,uzApK6tlMI,FDI,152.87 
[61784] DISPLAY_SUMMARY,uzApK6tlMI 
[61875] SELL,uzApK6tlMI,UBJ,618.06 
[61926] CANCEL_SELL,uzApK6tlMI 
[61928] ADD,uzApK6tlMI,67810.81 
[62054] BUY,uzApK6tlMI,BFU,501.99 
[62182] CANCEL_SELL,uzApK6tlMI 
[62214] SELL,uzApK6tlMI,GRM,364.74 
[62281] QUOTE,uzApK6tlMI,FPI 
[62422] QUOTE,uzApK6tlMI,NVX 
[62557] SET_BUY_TRIGGER,uzApK6tlMI,NOP,101.21 
[62657] ADD,uzApK6tlMI,60406.57 
[62730] BUY,uzApK6tlMI,MRH,685.39 
[62917] CANCEL_SET_SELL,uzApK6tlMI,BFL 
[63047] BUY,uzApK6tlMI,TKV,504.76 
[63129] COMMIT_BUY,uzApK6tlMI 
[63270] QUOTE,uzApK6tlMI,RFC 
[63307] COMMIT_BUY,uzApK6tlMI 
[63317] QUOTE,uzApK6tlMI,QLM 
[63500] QUOTE,uzApK6tlMI,XNZ 
[63524] SET_BUY_TRIGGER,uzApK6tlMI,WHR,62.76 
[63640] SET_SELL_AMOUNT,uzApK6tlMI,MFX,376.26 
[63706] SET_SELL_TRIGGER,uzApK6tlMI,MFX,258.45 
[63743] SELL,uzApK6tlMI,IFN,40.43 
[63842] BUY,uzApK6tlMI,RQF,66.33 
[64032] COMMIT_BUY,uzApK6tlMI 
[64089] SET_SELL_TRIGGER,uzApK6tlMI,WKE,14.04 
[64101] QUOTE,uzApK6tlMI,PHZ 
[64111] SET_BUY_TRIGGER,uzApK6tlMI,CWA,13.07 
[64114] ADD,uzApK6tlMI,46705.83 
[64116] BUY,uzApK6tlMI,SBT,431.30 
[64362] COMMIT_BUY,uzApK6tlMI 
[64563] COMMIT_BUY,uzApK6tlMI 
[64739] SET_SELL_TRIGGER,uzApK6tlMI,HEK,179.64 
[64805] QUOTE,uzApK6tlMI,BHQ 
[64957] SET_BUY_AMOUNT,uzApK6tlMI,OPN,109.81 
[64979] SELL,uzApK6tlMI,DFE,108.98 
[65017] COMMIT_SELL,uzApK6tlMI 
[65026] QUOTE,uzApK6tlMI,LJM 
[65056] CANCEL_BUY,uzApK6tlMI 
[65098] DISPLAY_SUMMARY,uzApK6tlMI 
[65099] ADD,uzApK6tlMI,74174.76 
[65180] ADD,uzApK6tlMI,63885.35 
[65228] BUY,uzApK6tlMI,IOM,241.97 
[65339] COMMIT_BUY,uzApK6tlMI 
[65439] ADD,uzApK6tlMI,72685.64 
[65441] QUOTE,uzApK6tlMI,EGX 
[65614] QUOTE,uzApK6tlMI,ZAM 
[65661] SET_BUY_AMOUNT,uzApK6tlMI,QJZ,22.87 
[65715] SET_BUY_TRIGGER,uzApK6tlMI,DMS,16.20 
[65724] SET_BUY_TRIGGER,uzApK6tlMI,PCR,43.19 
[65738] SET_BUY_TRIGGER,uzApK6tlMI,XBL,73.48 
[65940] SET_BUY_AMOUNT,uzApK6tlMI,ZYR,47.49 
[66080] BUY,uzApK6tlMI,GNY,713.90 
[66173] QUOTE,uzApK6tlMI,OTD 
[66192] SET_SELL_AMOUNT,uzApK6tlMI,UTV,748.85 
[66221] SET_SELL_TRIGGER,uzApK6tlMI,UTV,232.23 
[66454] SET_SELL_AMOUNT,uzApK6tlMI,KBN,747.09 
[66594] SET_SELL_TRIGGER,uzApK6tlMI,KBN,573.31 
[66607] CANCEL_SELL,uzApK6tlMI 
[66744] CANCEL_BUY,uzApK6tlMI 
[66808] SET_SELL_AMOUNT,uzApK6tlMI,UTV,23.70 
[66809] SET_SELL_TRIGGER,uzApK6tlMI,UTV,12.88 
[66864] BUY,uzApK6tlMI,POI,609.79 
[66986] COMMIT_BUY,uzApK6tlMI 
[67044] SET_BUY_AMOUNT,uzApK6tlMI,RUN,260.76 
[67251] SET_BUY_TRIGGER,uzApK6tlMI,IZU,180.26 
[67498] SET_BUY_AMOUNT,uzApK6tlMI,CUZ,363.69 
[67502] SET_BUY_TRIGGER,uzApK6tlMI,TQE,131.04 
[67503] SELL,uzApK6tlMI,SQI,508.24 
[67600] CANCEL_SELL,uzApK6tlMI 
[67620] BUY,uzApK6tlMI,XOL,712.73 
[67904] QUOTE,uzApK6tlMI,DDA 
[67918] BUY,uzApK6tlMI,NOP,13.22 
[68045] BUY,uzApK6tlMI,FKX,11.76 
[68432] COMMIT_BUY,uzApK6tlMI 
[68641] DISPLAY_SUMMARY,uzApK6tlMI 
[68687] ADD,uzApK6tlMI,76546.20 
[68739] QUOTE,uzApK6tlMI,KMZ 
[68790] SELL,uzApK6tlMI,GRM,418.12 
[69019] CANCEL_SELL,uzApK6tlMI 
[69094] QUOTE,uzApK6tlMI,JHY 
[69268] SET_BUY_TRIGGER,uzApK6tlMI,DWU,135.05 
[69356] ADD,uzApK6tlMI,58539.02 
[69464] QUOTE,uzApK6tlMI,TYV 
[69594] DISPLAY_SUMMARY,uzApK6tlMI 
[69611] QUOTE,uzApK6tlMI,BHP 
[69654] QUOTE,uzApK6tlMI,ZGC 
[70107] QUOTE,uzApK6tlMI,KCA 
[70126] SET_BUY_TRIGGER,uzApK6tlMI,LVV,62.23 
[70298] DISPLAY_SUMMARY,uzApK6tlMI 
[70313] SET_BUY_AMOUNT,uzApK6tlMI,UIE,116.03 
[70348] SET_BUY_TRIGGER,uzApK6tlMI,ZQS,17.72 
[70413] ADD,uzApK6tlMI,64856.80 
[70486] QUOTE,uzApK6tlMI,WQC 
[70516] DISPLAY_SUMMARY,uzApK6tlMI 
[70544] CANCEL_SET_SELL,uzApK6tlMI,NOP 
[70803] DISPLAY_SUMMARY,uzApK6tlMI 
[70806] BUY,uzApK6tlMI,GTX,207.69 
[70872] COMMIT_BUY,uzApK6tlMI 
[71000] QUOTE,uzApK6tlMI,FPI 
[71111] ADD,uzApK6tlMI,51332.00 
[71148] DISPLAY_SUMMARY,uzApK6tlMI 
[71183] DISPLAY_SUMMARY,uzApK6tlMI 
[71335] SET_BUY_AMOUNT,uzApK6tlMI,ZYR,318.14 
[71379] SET_BUY_TRIGGER,uzApK6tlMI,LKV,230.05 
[71392] ADD,uzApK6tlMI,40504.51 
[71413] BUY,uzApK6tlMI,XUH,219.26 
[71665] COMMIT_BUY,uzApK6tlMI 
[71832] ADD,uzApK6tlMI,75723.04 
[71875] BUY,uzApK6tlMI,JEO,380.21 
[71963] COMMIT_SELL,uzApK6tlMI 
[71996] BUY,uzApK6tlMI,KGA,209.81 
[72092] CANCEL_SELL,uzApK6tlMI 
[72297] QUOTE,uzApK6tlMI,URD 
[72636] BUY,uzApK6tlMI,WGV,284.86 
[72665] CANCEL_SET_SELL,uzApK6tlMI,ADY 
[72697] SET_SELL_TRIGGER,uzApK6tlMI,SUS,195.01 
[72795] BUY,uzApK6tlMI,SIK,646.17 
[72833] SET_BUY_TRIGGER,uzApK6tlMI,LLO,104.93 
[72881] ADD,uzApK6tlMI,81372.16 
[72931] CANCEL_SET_BUY,uzApK6tlMI,FTB 
[73014] SET_BUY_TRIGGER,uzApK6tlMI,PXF,53.89 
[73017] COMMIT_SELL,uzApK6tlMI 
[73139] SET_BUY_AMOUNT,uzApK6tlMI,GRM,21.95 
[73142] QUOTE,uzApK6tlMI,VJV 
[73358] SET_BUY_AMOUNT,uzApK6tlMI,QAX,312.34 
[73411] SET_BUY_TRIGGER,uzApK6tlMI,SUS,63.82 
[73441] SET_BUY_AMOUNT,uzApK6tlMI,QJZ,28.72 
[73732] CANCEL_SET_BUY,uzApK6tlMI,IJO 
[73943] DISPLAY_SUMMARY,uzApK6tlMI 
[74143] BUY,uzApK6tlMI,ALM,508.90 
[74275] CANCEL_BUY,uzApK6tlMI 
[74279] ADD,uzApK6tlMI,84866.94 
[74301] QUOTE,uzApK6tlMI,BJL 
[74312] BUY,uzApK6tlMI,UGG,330.27 
[74348] SET_SELL_TRIGGER,uzApK6tlMI,ZGC,147.26 
[74349] CANCEL_SELL,uzApK6tlMI 
[74378] DISPLAY_SUMMARY,uzApK6tlMI 
[74495] SET_BUY_AMOUNT,uzApK6tlMI,KYX,262.78 
[74504] SET_BUY_TRIGGER,uzApK6tlMI,IOY,260.03 
[74515] SET_BUY_AMOUNT,uzApK6tlMI,ZAN,320.93 
[74582] SET_BUY_TRIGGER,uzApK6tlMI,DWF,182.27 
[74597] DISPLAY_SUMMARY,uzApK6tlMI 
[74608] ADD,uzApK6tlMI,67680.21 
[74748] QUOTE,uzApK6tlMI,QAA 
[74777] ADD,uzApK6tlMI,52704.43 
[74907] CANCEL_SELL,uzApK6tlMI 
[74927] DISPLAY_SUMMARY,uzApK6tlMI 
[75149] ADD,uzApK6tlMI,98783.39 
[75168] QUOTE,uzApK6tlMI,FZU 
[75361] SET_BUY_AMOUNT,uzApK6tlMI,PTP,175.90 
[75386] SET_BUY_TRIGGER,uzApK6tlMI,DDH,37.48 
[75457] ADD,uzApK6tlMI,72713.03 
[75459] QUOTE,uzApK6tlMI,SQI 
[75556] BUY,uzApK6tlMI,ZJG,167.67 
[75842] COMMIT_BUY,uzApK6tlMI 
[75859] SELL,uzApK6tlMI,IFN,217.55 
[75990] CANCEL_SET_SELL,uzApK6tlMI,KZZ 
[76076] DISPLAY_SUMMARY,uzApK6tlMI 
[76112] SET_BUY_TRIGGER,uzApK6tlMI,RKY,131.50 
[76357] ADD,uzApK6tlMI,58845.93 
[76398] BUY,uzApK6tlMI,FPI,374.00 
[76514] CANCEL_SELL,uzApK6tlMI 
[76619] ADD,uzApK6tlMI,61746.81 
[76681] CANCEL_SET_SELL,uzApK6tlMI,WYD 
[76846] SELL,uzApK6tlMI,CUZ,359.14 
[76915] COMMIT_SELL,uzApK6tlMI 
[77124] BUY,uzApK6tlMI,OTD,505.09 
[77134] SET_BUY_TRIGGER,uzApK6tlMI,URI,126.75 
[77137] SELL,uzApK6tlMI,OZO,238.56 
[77187] CANCEL_SELL,uzApK6tlMI 
[77258] ADD,uzApK6tlMI,74037.51 
[77291] QUOTE,uzApK6tlMI,ZNW 
[77411] BUY,uzApK6tlMI,PMG,485.17 
[77502] SET_SELL_TRIGGER,uzApK6tlMI,XPX,20.82 
[77512] CANCEL_SET_BUY,uzApK6tlMI,DBC 
[77533] ADD,uzApK6tlMI,63552.24 
[77588] QUOTE,uzApK6tlMI,WPG 
[77734] QUOTE,uzApK6tlMI,BJL 
[77803] QUOTE,uzApK6tlMI,IFC 
[77894] QUOTE,uzApK6tlMI,SSL 
[78287] BUY,uzApK6tlMI,ZQW,72.55 
[78311] COMMIT_BUY,uzApK6tlMI 
[78535] CANCEL_SET_BUY,uzApK6tlMI,FGI 
[78616] ADD,uzApK6tlMI,57918.23 
[78827] QUOTE,uzApK6tlMI,FTP 
[78838] DISPLAY_SUMMARY,uzApK6tlMI 
[78944] SET_BUY_AMOUNT,uzApK6tlMI,CEC,49.64 
[78945] SET_BUY_TRIGGER,uzApK6tlMI,KBP,37.46 
[79051] SET_SELL_TRIGGER,uzApK6tlMI,YEH,64.33 
[79081] ADD,uzApK6tlMI,65912.86 
[79121] BUY,uzApK6tlMI,VND,280.75 
[79151] COMMIT_BUY,uzApK6tlMI 
[79185] SELL,uzApK6tlMI,IQJ,221.07 
[79266] CANCEL_SET_BUY,uzApK6tlMI,RVU 
[79279] SET_BUY_AMOUNT,uzApK6tlMI,NHG,396.06 
[79314] SET_BUY_TRIGGER,uzApK6tlMI,ZEU,121.56 
[79453] ADD,uzApK6tlMI,62177.86 
[79760] QUOTE,uzApK6tlMI,ULL 
[79971] BUY,uzApK6tlMI,KGV,84.26 
[80002] COMMIT_BUY,uzApK6tlMI 
[80105] SET_BUY_TRIGGER,uzApK6tlMI,GAL,18.59 
[80305] ADD,uzApK6tlMI,45889.08 
[80588] BUY,uzApK6tlMI,SQS,671.40 
[80791] CANCEL_BUY,uzApK6tlMI 
[80952] DISPLAY_SUMMARY,uzApK6tlMI 
[81096] ADD,uzApK6tlMI,40696.46 
[81120] SET_BUY_TRIGGER,uzApK6tlMI,UHO,119.84 
[81416] QUOTE,uzApK6tlMI,MKE 
[81426] BUY,uzApK6tlMI,FPI,488.74 
[81429] CANCEL_BUY,uzApK6tlMI 
[81472] SET_BUY_TRIGGER,uzApK6tlMI,ZMA,191.09 
[81512] ADD,uzApK6tlMI,80973.16 
[81941] QUOTE,uzApK6tlMI,KAF 
[82011] BUY,uzApK6tlMI,SQI,583.51 
[82154] COMMIT_BUY,uzApK6tlMI 
[82186] SELL,uzApK6tlMI,XXQ,93.25 
[82244] COMMIT_SELL,uzApK6tlMI 
[82412] SET_SELL_AMOUNT,uzApK6tlMI,CUZ,84.47 
[82444] DISPLAY_SUMMARY,uzApK6tlMI 
[82488] SET_SELL_AMOUNT,uzApK6tlMI,KES,701.09 
[82531] SET_SELL_TRIGGER,uzApK6tlMI,KES,235.17 
[82581] ADD,uzApK6tlMI,65847.55 
[83011] SET_SELL_AMOUNT,uzApK6tlMI,KYX,5.96 
[83053] SET_SELL_TRIGGER,uzApK6tlMI,KYX,5.59 
[83201] SET_SELL_AMOUNT,uzApK6tlMI,DFE,202.88 
[83217] SET_SELL_TRIGGER,uzApK6tlMI,DFE,83.49 
[83248] SET_SELL_AMOUNT,uzApK6tlMI,FQP,133.71 
[83263] SET_SELL_TRIGGER,uzApK6tlMI,FQP,127.86 
[83338] SET_SELL_TRIGGER,uzApK6tlMI,JUG,49.26 
[83361] SET_BUY_AMOUNT,uzApK6tlMI,VTY,628.77 
[83435] BUY,uzApK6tlMI,SKY,549.89 
[83508] COMMIT_BUY,uzApK6tlMI 
[83697] DISPLAY_SUMMARY,uzApK6tlMI 
[83756] BUY,uzApK6tlMI,QGL,647.82 
[83772] COMMIT_BUY,uzApK6tlMI 
[83782] COMMIT_BUY,uzApK6tlMI 
[83863] SET_SELL_TRIGGER,uzApK6tlMI,IQJ,159.07 
[83904] SET_SELL_AMOUNT,uzApK6tlMI,TVI,21.11 
[84047] BUY,uzApK6tlMI,EYY,527.29 
[84066] COMMIT_BUY,uzApK6tlMI 
[84272] ADD,uzApK6tlMI,77904.68 
[84285] SET_BUY_AMOUNT,uzApK6tlMI,QGE,371.46 
[84293] CANCEL_SET_BUY,uzApK6tlMI,LHC 
[84549] QUOTE,uzApK6tlMI,ECI 
[84723] SET_SELL_AMOUNT,uzApK6tlMI,LFU,307.09 
[84763] SET_SELL_TRIGGER,uzApK6tlMI,LFU,12.65 
[84793] SET_BUY_TRIGGER,uzApK6tlMI,GSW,8.38 
[84989] DISPLAY_SUMMARY,uzApK6tlMI 
[85133] QUOTE,uzApK6tlMI,KAH 
[85139] ADD,uzApK6tlMI,63353.15 
[85251] DISPLAY_SUMMARY,uzApK6tlMI 
[85520] ADD,uzApK6tlMI,101903.16 
[85672] QUOTE,uzApK6tlMI,OSA 
[85799] SET_BUY_AMOUNT,uzApK6tlMI,YJK,429.65 
[85972] SET_BUY_TRIGGER,uzApK6tlMI,XYV,63.26 
[85978] BUY,uzApK6tlMI,QEO,174.74 
[86005] CANCEL_SET_SELL,uzApK6tlMI,MJU 
[86162] BUY,uzApK6tlMI,TGY,487.60 
[86383] SET_BUY_TRIGGER,uzApK6tlMI,RWY,167.19 
[86394] BUY,uzApK6tlMI,PRJ,302.20 
[86429] BUY,uzApK6tlMI,NFO,537.27 
[86485] COMMIT_BUY,uzApK6tlMI 
[86520] SET_SELL_TRIGGER,uzApK6tlMI,FQU,149.26 
[86536] DISPLAY_SUMMARY,uzApK6tlMI 
[86573] QUOTE,uzApK6tlMI,PUU 
[86697] BUY,uzApK6tlMI,UGG,267.69 
[86823] COMMIT_BUY,uzApK6tlMI 
[86875] COMMIT_BUY,uzApK6tlMI 
[86904] SELL,uzApK6tlMI,AVX,44.10 
[87107] BUY,uzApK6tlMI,GYF,52.34 
[87208] COMMIT_BUY,uzApK6tlMI 
[87480] QUOTE,uzApK6tlMI,JQG 
[87488] BUY,uzApK6tlMI,YZC,381.98 
[87490] CANCEL_SET_SELL,uzApK6tlMI,ULL 
[87505] BUY,uzApK6tlMI,UZZ,415.80 
[87551] QUOTE,uzApK6tlMI,PMG 
[87587] ADD,uzApK6tlMI,64771.53 
[87725] BUY,uzApK6tlMI,RVU,668.73 
[87730] COMMIT_BUY,uzApK6tlMI 
[87881] ADD,uzApK6tlMI,109516.18 
[87901] BUY,uzApK6tlMI,CUZ,381.38 
[87905] SET_BUY_TRIGGER,uzApK6tlMI,OYW,34.24 
[88289] SET_SELL_AMOUNT,uzApK6tlMI,KBN,408.98 
[88293] QUOTE,uzApK6tlMI,KZZ 
[88399] ADD,uzApK6tlMI,83695.15 
[88847] QUOTE,uzApK6tlMI,XAB 
[88997] SELL,uzApK6tlMI,RUN,731.16 
[89083] CANCEL_SELL,uzApK6tlMI 
[89108] SET_BUY_TRIGGER,uzApK6tlMI,VJB,68.52 
[89192] CANCEL_SELL,uzApK6tlMI 
[89222] DISPLAY_SUMMARY,uzApK6tlMI 
[89229] SELL,uzApK6tlMI,UIE,720.59 
[89468] CANCEL_BUY,uzApK6tlMI 
[89472] DISPLAY_SUMMARY,uzApK6tlMI 
[89779] SELL,uzApK6tlMI,RUN,545.43 
[89897] CANCEL_SET_BUY,uzApK6tlMI,BFL 
[89957] ADD,uzApK6tlMI,93064.65 
[90210] SET_BUY_TRIGGER,uzApK6tlMI,HNO,5.29 
[90495] SET_BUY_AMOUNT,uzApK6tlMI,JCQ,723.18 
[90714] SET_BUY_TRIGGER,uzApK6tlMI,CXB,625.60 
[90976] SET_BUY_TRIGGER,uzApK6tlMI,DTG,61.44 
[90988] DISPLAY_SUMMARY,uzApK6tlMI 
[91011] SET_BUY_AMOUNT,uzApK6tlMI,QPR,396.06 
[91342] SET_BUY_TRIGGER,uzApK6tlMI,NZS,283.35 
[91376] ADD,uzApK6tlMI,72344.39 
[91440] SET_BUY_TRIGGER,uzApK6tlMI,OEM,18.37 
[91457] ADD,uzApK6tlMI,65807.10 
[91555] QUOTE,uzApK6tlMI,CNN 
[91583] BUY,uzApK6tlMI,ZMA,571.66 
[91589] QUOTE,uzApK6tlMI,BCQ 
[91646] BUY,uzApK6tlMI,PTP,746.85 
[91712] COMMIT_BUY,uzApK6tlMI 
[91824] SET_SELL_TRIGGER,uzApK6tlMI,KBN,203.04 
[92074] COMMIT_BUY,uzApK6tlMI 
[92124] DISPLAY_SUMMARY,uzApK6tlMI 
[92164] QUOTE,uzApK6tlMI,ZFK 
[92166] BUY,uzApK6tlMI,BSG,720.32 
[92375] COMMIT_BUY,uzApK6tlMI 
[92698] SET_BUY_AMOUNT,uzApK6tlMI,TKM,395.49 
[92730] SET_BUY_TRIGGER,uzApK6tlMI,KLY,21.19 
[92736] DISPLAY_SUMMARY,uzApK6tlMI 
[93095] SET_SELL_AMOUNT,uzApK6tlMI,DFE,496.82 
[93226] SET_SELL_TRIGGER,uzApK6tlMI,DFE,313.04 
