[134] ADD,UUcfl1X3U9,80539.46 
[45434] SET_BUY_AMOUNT,UUcfl1X3U9,RUN,704.74 
[45552] CANCEL_SET_BUY,UUcfl1X3U9,MDZ 
[45664] DISPLAY_SUMMARY,UUcfl1X3U9 
[45773] ADD,UUcfl1X3U9,89278.12 
[45851] BUY,UUcfl1X3U9,PUO,576.78 
[45866] SELL,UUcfl1X3U9,JVT,401.04 
[46054] COMMIT_SELL,UUcfl1X3U9 
[46060] BUY,UUcfl1X3U9,FIC,387.01 
[46136] ADD,UUcfl1X3U9,69580.64 
[46202] SET_BUY_TRIGGER,UUcfl1X3U9,VYQ,185.80 
[46384] SET_BUY_TRIGGER,UUcfl1X3U9,KES,11.94 
[46461] BUY,UUcfl1X3U9,AMI,609.66 
[46543] SET_SELL_TRIGGER,UUcfl1X3U9,IEQ,140.16 
[46577] DISPLAY_SUMMARY,UUcfl1X3U9 
[46582] QUOTE,UUcfl1X3U9,AZN 
[46780] ADD,UUcfl1X3U9,48049.03 
[46811] BUY,UUcfl1X3U9,WKE,414.28 
[46886] COMMIT_BUY,UUcfl1X3U9 
[47105] ADD,UUcfl1X3U9,63170.28 
[47181] CANCEL_SELL,UUcfl1X3U9 
[47370] DISPLAY_SUMMARY,UUcfl1X3U9 
[47377] DISPLAY_SUMMARY,UUcfl1X3U9 
[47387] ADD,UUcfl1X3U9,81377.41 
[47841] QUOTE,UUcfl1X3U9,DHA 
[47971] SELL,UUcfl1X3U9,FQP,83.07 
[47994] COMMIT_SELL,UUcfl1X3U9 
[48052] SET_SELL_AMOUNT,UUcfl1X3U9,ZYR,714.16 
[48077] SET_SELL_TRIGGER,UUcfl1X3U9,ZYR,38.23 
[48262] SET_BUY_TRIGGER,UUcfl1X3U9,XWZ,60.39 
[48275] CANCEL_SET_SELL,UUcfl1X3U9,LSM 
[48394] SELL,UUcfl1X3U9,JRJ,667.11 
[48432] COMMIT_SELL,UUcfl1X3U9 
[48476] BUY,UUcfl1X3U9,YNH,456.89 
[48510] DISPLAY_SUMMARY,UUcfl1X3U9 
[48673] SET_BUY_TRIGGER,UUcfl1X3U9,JXW,52.83 
[48758] SET_SELL_AMOUNT,UUcfl1X3U9,JQO,653.00 
[48791] SET_SELL_TRIGGER,UUcfl1X3U9,JQO,650.61 
[48835] BUY,UUcfl1X3U9,ZMK,435.24 
[48999] COMMIT_BUY,UUcfl1X3U9 
[49105] DISPLAY_SUMMARY,UUcfl1X3U9 
[49196] SET_SELL_TRIGGER,UUcfl1X3U9,CBO,132.31 
[49207] ADD,UUcfl1X3U9,76341.81 
[49220] SET_SELL_AMOUNT,UUcfl1X3U9,JRJ,616.13 
[49227] SET_SELL_TRIGGER,UUcfl1X3U9,JRJ,41.15 
[49235] CANCEL_SET_SELL,UUcfl1X3U9,KZQ 
[49301] QUOTE,UUcfl1X3U9,KJM 
[49407] QUOTE,UUcfl1X3U9,YEH 
[49451] BUY,UUcfl1X3U9,VVV,259.12 
[49460] COMMIT_BUY,UUcfl1X3U9 
[49485] CANCEL_SET_BUY,UUcfl1X3U9,URD 
[49670] SET_SELL_AMOUNT,UUcfl1X3U9,BYA,301.52 
[49796] SET_SELL_TRIGGER,UUcfl1X3U9,BYA,300.54 
[49813] ADD,UUcfl1X3U9,69623.14 
[49939] QUOTE,UUcfl1X3U9,ZSV 
[50101] QUOTE,UUcfl1X3U9,SON 
[50122] CANCEL_SET_BUY,UUcfl1X3U9,IKK 
[50162] QUOTE,UUcfl1X3U9,BDX 
[50230] CANCEL_BUY,UUcfl1X3U9 
[50326] QUOTE,UUcfl1X3U9,DPG 
[50462] BUY,UUcfl1X3U9,BBD,70.60 
[50668] CANCEL_BUY,UUcfl1X3U9 
[50735] CANCEL_SELL,UUcfl1X3U9 
[50856] QUOTE,UUcfl1X3U9,VNN 
[51071] QUOTE,UUcfl1X3U9,GED 
[51091] CANCEL_BUY,UUcfl1X3U9 
[51250] ADD,UUcfl1X3U9,66399.36 
[51506] BUY,UUcfl1X3U9,WQC,435.59 
[51602] CANCEL_BUY,UUcfl1X3U9 
[51628] SELL,UUcfl1X3U9,CUZ,178.01 
[51682] COMMIT_SELL,UUcfl1X3U9 
[51847] SELL,UUcfl1X3U9,JVT,518.88 
[51982] CANCEL_SELL,UUcfl1X3U9 
[52060] SET_SELL_TRIGGER,UUcfl1X3U9,XQG,114.12 
[52083] SET_SELL_TRIGGER,UUcfl1X3U9,QGE,103.40 
[52152] SET_BUY_TRIGGER,UUcfl1X3U9,SMS,68.49 
[52178] SET_SELL_TRIGGER,UUcfl1X3U9,HTN,81.71 
[52210] SELL,UUcfl1X3U9,CSZ,377.95 
[52308] BUY,UUcfl1X3U9,PTP,340.01 
[52356] QUOTE,UUcfl1X3U9,OYS 
[52464] BUY,UUcfl1X3U9,KDG,456.96 
[52505] COMMIT_BUY,UUcfl1X3U9 
[52541] ADD,UUcfl1X3U9,70404.68 
[52641] QUOTE,UUcfl1X3U9,LUT 
[52750] SET_BUY_AMOUNT,UUcfl1X3U9,XXQ,603.63 
[52889] DISPLAY_SUMMARY,UUcfl1X3U9 
[52906] ADD,UUcfl1X3U9,81783.55 
[52920] BUY,UUcfl1X3U9,YOQ,117.31 
[53022] COMMIT_BUY,UUcfl1X3U9 
[53079] ADD,UUcfl1X3U9,74916.79 
[53391] BUY,UUcfl1X3U9,ZRJ,153.94 
[53487] CANCEL_SET_BUY,UUcfl1X3U9,LJZ 
[53553] DISPLAY_SUMMARY,UUcfl1X3U9 
[54173] SET_BUY_TRIGGER,UUcfl1X3U9,GKD,194.98 
[54179] ADD,UUcfl1X3U9,69168.89 
[54180] QUOTE,UUcfl1X3U9,FWW 
[54182] DISPLAY_SUMMARY,UUcfl1X3U9 
[54200] QUOTE,UUcfl1X3U9,ZJG 
[54270] SET_BUY_TRIGGER,UUcfl1X3U9,MXD,51.48 
[54293] SET_BUY_TRIGGER,UUcfl1X3U9,KBP,133.67 
[54353] COMMIT_SELL,UUcfl1X3U9 
[54379] SET_BUY_TRIGGER,UUcfl1X3U9,WPG,140.76 
[54515] SET_BUY_TRIGGER,UUcfl1X3U9,ZWZ,184.47 
[54523] DISPLAY_SUMMARY,UUcfl1X3U9 
[54588] DISPLAY_SUMMARY,UUcfl1X3U9 
[54979] BUY,UUcfl1X3U9,XRK,1.63 
[55104] SET_BUY_AMOUNT,UUcfl1X3U9,YJK,537.54 
[55184] SET_BUY_TRIGGER,UUcfl1X3U9,PCK,170.18 
[55230] DISPLAY_SUMMARY,UUcfl1X3U9 
[55426] SET_BUY_TRIGGER,UUcfl1X3U9,JHY,27.41 
[55750] DISPLAY_SUMMARY,UUcfl1X3U9 
[55798] SET_BUY_AMOUNT,UUcfl1X3U9,NHG,581.84 
[55808] SET_BUY_TRIGGER,UUcfl1X3U9,ZSV,295.45 
[55834] SET_SELL_AMOUNT,UUcfl1X3U9,QJZ,39.79 
[55895] SET_SELL_TRIGGER,UUcfl1X3U9,QJZ,12.28 
[55926] SET_BUY_AMOUNT,UUcfl1X3U9,RNK,746.40 
[56052] SET_BUY_TRIGGER,UUcfl1X3U9,ATE,271.22 
[56057] SET_BUY_AMOUNT,UUcfl1X3U9,ZAN,196.33 
[56190] SET_BUY_TRIGGER,UUcfl1X3U9,TZJ,13.29 
[56276] ADD,UUcfl1X3U9,45483.94 
[56358] BUY,UUcfl1X3U9,PFK,51.95 
[56468] COMMIT_BUY,UUcfl1X3U9 
[56585] SELL,UUcfl1X3U9,LFU,306.22 
[56590] COMMIT_SELL,UUcfl1X3U9 
[56785] ADD,UUcfl1X3U9,99337.96 
[57306] BUY,UUcfl1X3U9,URI,682.43 
[57347] DISPLAY_SUMMARY,UUcfl1X3U9 
[57440] CANCEL_SET_SELL,UUcfl1X3U9,OYS 
[57481] ADD,UUcfl1X3U9,46870.79 
[57551] QUOTE,UUcfl1X3U9,AAC 
[57762] BUY,UUcfl1X3U9,JXW,337.91 
[57786] COMMIT_BUY,UUcfl1X3U9 
[57797] QUOTE,UUcfl1X3U9,LPS 
[58123] SET_SELL_TRIGGER,UUcfl1X3U9,XFW,130.29 
[58212] ADD,UUcfl1X3U9,61390.34 
[58481] QUOTE,UUcfl1X3U9,SJG 
[58518] BUY,UUcfl1X3U9,FWW,264.81 
[58525] CANCEL_SELL,UUcfl1X3U9 
[58633] SET_SELL_TRIGGER,UUcfl1X3U9,BHP,198.22 
[58837] ADD,UUcfl1X3U9,62933.42 
[58970] QUOTE,UUcfl1X3U9,JTX 
[59016] SELL,UUcfl1X3U9,ZAN,603.56 
[59162] COMMIT_SELL,UUcfl1X3U9 
[59166] CANCEL_SELL,UUcfl1X3U9 
[59206] DISPLAY_SUMMARY,UUcfl1X3U9 
[59270] QUOTE,UUcfl1X3U9,MUN 
[59271] SET_SELL_TRIGGER,UUcfl1X3U9,ZJB,122.58 
[59506] SET_BUY_TRIGGER,UUcfl1X3U9,AUX,187.13 
[59522] SELL,UUcfl1X3U9,NHG,318.94 
[59548] COMMIT_SELL,UUcfl1X3U9 
[59645] SET_SELL_AMOUNT,UUcfl1X3U9,OPN,53.84 
[59717] SET_SELL_TRIGGER,UUcfl1X3U9,OPN,50.96 
[59771] SELL,UUcfl1X3U9,RUN,732.46 
[59991] COMMIT_SELL,UUcfl1X3U9 
[60022] SET_SELL_TRIGGER,UUcfl1X3U9,TJL,96.88 
[60100] ADD,UUcfl1X3U9,85256.93 
[60146] QUOTE,UUcfl1X3U9,NBX 
[60165] DISPLAY_SUMMARY,UUcfl1X3U9 
[60288] SELL,UUcfl1X3U9,ZTI,479.53 
[60486] COMMIT_SELL,UUcfl1X3U9 
[60536] CANCEL_SET_SELL,UUcfl1X3U9,OHG 
[60562] QUOTE,UUcfl1X3U9,EWP 
[60694] BUY,UUcfl1X3U9,YBP,248.28 
[60728] COMMIT_BUY,UUcfl1X3U9 
[60781] ADD,UUcfl1X3U9,76135.27 
[61154] SELL,UUcfl1X3U9,KDA,10.81 
[61317] COMMIT_SELL,UUcfl1X3U9 
[61801] CANCEL_SET_SELL,UUcfl1X3U9,LMO 
[61951] ADD,UUcfl1X3U9,79011.82 
[62208] BUY,UUcfl1X3U9,LLZ,5.20 
[62258] COMMIT_BUY,UUcfl1X3U9 
[62458] DISPLAY_SUMMARY,UUcfl1X3U9 
[62459] DISPLAY_SUMMARY,UUcfl1X3U9 
[62562] QUOTE,UUcfl1X3U9,TTY 
[62903] SET_BUY_TRIGGER,UUcfl1X3U9,RWY,28.71 
[62954] ADD,UUcfl1X3U9,58627.41 
[63130] BUY,UUcfl1X3U9,LKK,335.90 
[63172] BUY,UUcfl1X3U9,JUN,330.94 
[63192] COMMIT_BUY,UUcfl1X3U9 
[63766] ADD,UUcfl1X3U9,65443.22 
[63807] BUY,UUcfl1X3U9,IAV,362.17 
[63822] CANCEL_SET_BUY,UUcfl1X3U9,BBD 
[64057] SET_SELL_AMOUNT,UUcfl1X3U9,ZYR,742.49 
[64139] SET_SELL_TRIGGER,UUcfl1X3U9,ZYR,432.96 
[64191] DISPLAY_SUMMARY,UUcfl1X3U9 
[64492] ADD,UUcfl1X3U9,73829.10 
[64579] CANCEL_BUY,UUcfl1X3U9 
[64691] DISPLAY_SUMMARY,UUcfl1X3U9 
[64696] COMMIT_BUY,UUcfl1X3U9 
[64731] SELL,UUcfl1X3U9,PTP,322.42 
[65019] CANCEL_SET_SELL,UUcfl1X3U9,OYS 
[65210] BUY,UUcfl1X3U9,CTS,669.95 
[65257] QUOTE,UUcfl1X3U9,YTT 
[65406] CANCEL_BUY,UUcfl1X3U9 
[65455] DISPLAY_SUMMARY,UUcfl1X3U9 
[65518] SET_SELL_AMOUNT,UUcfl1X3U9,XXQ,25.09 
[65604] DISPLAY_SUMMARY,UUcfl1X3U9 
[65623] DISPLAY_SUMMARY,UUcfl1X3U9 
[65729] SET_SELL_TRIGGER,UUcfl1X3U9,XXQ,24.55 
[66065] SET_SELL_AMOUNT,UUcfl1X3U9,UBJ,238.82 
[66202] SET_SELL_TRIGGER,UUcfl1X3U9,UBJ,137.47 
[66650] DISPLAY_SUMMARY,UUcfl1X3U9 
[66763] ADD,UUcfl1X3U9,79048.63 
[66887] QUOTE,UUcfl1X3U9,ZZN 
[66927] BUY,UUcfl1X3U9,MHI,530.23 
[66939] CANCEL_SET_SELL,UUcfl1X3U9,PHJ 
[67063] SET_BUY_AMOUNT,UUcfl1X3U9,XLK,688.01 
[67087] SET_BUY_TRIGGER,UUcfl1X3U9,OOV,129.58 
[67102] SET_SELL_TRIGGER,UUcfl1X3U9,XLV,126.47 
[67189] SET_SELL_TRIGGER,UUcfl1X3U9,QHF,99.18 
[67358] SET_BUY_TRIGGER,UUcfl1X3U9,ZQW,179.19 
[67448] QUOTE,UUcfl1X3U9,WYA 
[67804] BUY,UUcfl1X3U9,DOI,67.54 
[67931] COMMIT_BUY,UUcfl1X3U9 
[68126] QUOTE,UUcfl1X3U9,BHJ 
[68128] BUY,UUcfl1X3U9,FIY,529.17 
[68265] COMMIT_BUY,UUcfl1X3U9 
[68317] BUY,UUcfl1X3U9,TJL,381.38 
[68573] CANCEL_SELL,UUcfl1X3U9 
[68653] QUOTE,UUcfl1X3U9,NXF 
[68844] QUOTE,UUcfl1X3U9,JUV 
[68873] BUY,UUcfl1X3U9,ZHB,730.17 
[68930] SELL,UUcfl1X3U9,QGE,447.31 
[69123] COMMIT_SELL,UUcfl1X3U9 
[69226] DISPLAY_SUMMARY,UUcfl1X3U9 
[69387] DISPLAY_SUMMARY,UUcfl1X3U9 
[69399] CANCEL_SET_SELL,UUcfl1X3U9,SDW 
[69471] SET_BUY_AMOUNT,UUcfl1X3U9,ZAN,14.77 
[69571] SET_BUY_TRIGGER,UUcfl1X3U9,FQP,2.09 
[69610] DISPLAY_SUMMARY,UUcfl1X3U9 
[69762] QUOTE,UUcfl1X3U9,FTP 
[69807] QUOTE,UUcfl1X3U9,RXB 
[69821] COMMIT_BUY,UUcfl1X3U9 
[69875] SET_BUY_AMOUNT,UUcfl1X3U9,QAX,569.52 
[69926] SET_BUY_TRIGGER,UUcfl1X3U9,QBD,461.74 
[69927] SET_SELL_AMOUNT,UUcfl1X3U9,RUN,364.73 
[69942] SET_SELL_TRIGGER,UUcfl1X3U9,RUN,42.93 
[69949] SET_SELL_AMOUNT,UUcfl1X3U9,PTP,70.59 
[69964] SELL,UUcfl1X3U9,EBS,84.94 
[69986] CANCEL_SELL,UUcfl1X3U9 
[69999] ADD,UUcfl1X3U9,75984.17 
[70152] BUY,UUcfl1X3U9,NZS,57.15 
[70173] COMMIT_BUY,UUcfl1X3U9 
[70379] DISPLAY_SUMMARY,UUcfl1X3U9 
[70566] SELL,UUcfl1X3U9,SSF,188.02 
[70595] COMMIT_SELL,UUcfl1X3U9 
[70778] ADD,UUcfl1X3U9,54239.63 
[70810] BUY,UUcfl1X3U9,YNY,559.41 
[70879] COMMIT_BUY,UUcfl1X3U9 
[71291] SET_SELL_AMOUNT,UUcfl1X3U9,RUN,507.65 
[71342] SET_SELL_TRIGGER,UUcfl1X3U9,RUN,475.59 
[71361] SET_SELL_TRIGGER,UUcfl1X3U9,TVX,181.59 
[71489] DISPLAY_SUMMARY,UUcfl1X3U9 
[71538] SELL,UUcfl1X3U9,AVX,609.70 
[71834] ADD,UUcfl1X3U9,63786.43 
[72062] BUY,UUcfl1X3U9,PPY,494.78 
[72081] COMMIT_BUY,UUcfl1X3U9 
[72448] CANCEL_BUY,UUcfl1X3U9 
[72644] SELL,UUcfl1X3U9,ZYR,33.30 
[72706] CANCEL_SELL,UUcfl1X3U9 
[72987] SET_BUY_TRIGGER,UUcfl1X3U9,STT,89.18 
[73315] ADD,UUcfl1X3U9,89934.35 
[73360] SET_BUY_AMOUNT,UUcfl1X3U9,BYA,359.70 
[73367] SET_BUY_TRIGGER,UUcfl1X3U9,VOY,225.74 
[73406] ADD,UUcfl1X3U9,56619.95 
[73440] QUOTE,UUcfl1X3U9,AEM 
[73546] CANCEL_BUY,UUcfl1X3U9 
[73751] SET_SELL_TRIGGER,UUcfl1X3U9,LLO,83.31 
[73848] SET_SELL_TRIGGER,UUcfl1X3U9,NOP,96.67 
[73856] COMMIT_BUY,UUcfl1X3U9 
[73940] SET_BUY_TRIGGER,UUcfl1X3U9,KHY,36.87 
[73961] SELL,UUcfl1X3U9,IFN,165.91 
[74052] SET_SELL_TRIGGER,UUcfl1X3U9,XPX,171.89 
[74093] CANCEL_SET_BUY,UUcfl1X3U9,OTD 
[74167] ADD,UUcfl1X3U9,63873.97 
[74205] BUY,UUcfl1X3U9,VNO,590.41 
[74227] COMMIT_BUY,UUcfl1X3U9 
[74346] QUOTE,UUcfl1X3U9,PFK 
[74519] QUOTE,UUcfl1X3U9,GPW 
[74596] BUY,UUcfl1X3U9,JUV,342.64 
[74843] BUY,UUcfl1X3U9,XXT,188.89 
[74902] QUOTE,UUcfl1X3U9,CXN 
[75097] QUOTE,UUcfl1X3U9,MOS 
[75172] SET_BUY_TRIGGER,UUcfl1X3U9,IGI,151.11 
[75268] SET_BUY_TRIGGER,UUcfl1X3U9,FYR,168.38 
[75381] SET_SELL_AMOUNT,UUcfl1X3U9,JVT,684.42 
[75567] SELL,UUcfl1X3U9,KES,704.52 
[75658] COMMIT_SELL,UUcfl1X3U9 
[75665] BUY,UUcfl1X3U9,NRY,22.88 
[75757] COMMIT_BUY,UUcfl1X3U9 
[75917] BUY,UUcfl1X3U9,KLY,116.78 
[76062] SET_BUY_TRIGGER,UUcfl1X3U9,UBJ,70.31 
[76071] ADD,UUcfl1X3U9,67610.58 
[76221] BUY,UUcfl1X3U9,CAX,655.49 
[76263] COMMIT_BUY,UUcfl1X3U9 
[76455] CANCEL_SET_SELL,UUcfl1X3U9,JVT 
[76531] DISPLAY_SUMMARY,UUcfl1X3U9 
[76571] BUY,UUcfl1X3U9,MQH,231.26 
[76631] CANCEL_BUY,UUcfl1X3U9 
[76684] SET_BUY_TRIGGER,UUcfl1X3U9,JRJ,63.33 
[76807] ADD,UUcfl1X3U9,76540.41 
[76916] QUOTE,UUcfl1X3U9,ZOT 
[77024] SET_BUY_TRIGGER,UUcfl1X3U9,FIC,142.88 
[77157] ADD,UUcfl1X3U9,57005.06 
[77488] QUOTE,UUcfl1X3U9,FTP 
[77495] BUY,UUcfl1X3U9,RVZ,350.84 
[77590] CANCEL_BUY,UUcfl1X3U9 
[77621] QUOTE,UUcfl1X3U9,ZJG 
[77706] BUY,UUcfl1X3U9,VNN,740.25 
[77744] CANCEL_BUY,UUcfl1X3U9 
[77759] QUOTE,UUcfl1X3U9,FFN 
[77789] BUY,UUcfl1X3U9,MFX,646.02 
[77964] SELL,UUcfl1X3U9,KDA,225.20 
[78028] COMMIT_SELL,UUcfl1X3U9 
[78266] BUY,UUcfl1X3U9,FRB,602.56 
[78666] COMMIT_SELL,UUcfl1X3U9 
[78718] SET_SELL_AMOUNT,UUcfl1X3U9,MXD,447.84 
[78885] SET_SELL_TRIGGER,UUcfl1X3U9,MXD,33.51 
[78895] SET_BUY_AMOUNT,UUcfl1X3U9,RGH,656.27 
[78898] SET_BUY_TRIGGER,UUcfl1X3U9,XQC,392.30 
[78997] SET_SELL_TRIGGER,UUcfl1X3U9,SEW,141.85 
[79026] ADD,UUcfl1X3U9,67089.61 
[79305] BUY,UUcfl1X3U9,SYL,590.99 
[79354] CANCEL_SET_BUY,UUcfl1X3U9,FFN 
[79529] QUOTE,UUcfl1X3U9,NVX 
[79686] DISPLAY_SUMMARY,UUcfl1X3U9 
[79731] ADD,UUcfl1X3U9,79187.04 
[79864] BUY,UUcfl1X3U9,SFR,223.24 
[80158] COMMIT_BUY,UUcfl1X3U9 
[80236] ADD,UUcfl1X3U9,76794.50 
[80258] BUY,UUcfl1X3U9,ZOW,588.16 
[80260] COMMIT_BUY,UUcfl1X3U9 
[80378] QUOTE,UUcfl1X3U9,SDW 
[80541] QUOTE,UUcfl1X3U9,OXK 
[80559] ADD,UUcfl1X3U9,74523.34 
[80676] SET_BUY_TRIGGER,UUcfl1X3U9,YMG,163.84 
[80695] BUY,UUcfl1X3U9,AIN,76.32 
[80773] COMMIT_BUY,UUcfl1X3U9 
[80831] SET_SELL_TRIGGER,UUcfl1X3U9,YXK,84.00 
[80897] SET_BUY_TRIGGER,UUcfl1X3U9,UTD,132.12 
[80958] DISPLAY_SUMMARY,UUcfl1X3U9 
[80977] ADD,UUcfl1X3U9,53588.86 
[81157] BUY,UUcfl1X3U9,ZYR,218.31 
[81356] CANCEL_SET_BUY,UUcfl1X3U9,MWM 
[81831] ADD,UUcfl1X3U9,86627.72 
[81874] CANCEL_SET_SELL,UUcfl1X3U9,SQO 
[81896] SET_SELL_TRIGGER,UUcfl1X3U9,DDH,194.66 
[81916] BUY,UUcfl1X3U9,TSU,240.58 
[81963] CANCEL_SELL,UUcfl1X3U9 
[81997] ADD,UUcfl1X3U9,62034.52 
[82063] QUOTE,UUcfl1X3U9,MGK 
[82209] QUOTE,UUcfl1X3U9,ZFT 
[82294] BUY,UUcfl1X3U9,SAN,213.19 
[82339] COMMIT_BUY,UUcfl1X3U9 
[82640] DISPLAY_SUMMARY,UUcfl1X3U9 
[82669] BUY,UUcfl1X3U9,WJS,193.09 
[82691] COMMIT_BUY,UUcfl1X3U9 
[82791] BUY,UUcfl1X3U9,FTJ,236.31 
[82863] CANCEL_BUY,UUcfl1X3U9 
[82933] QUOTE,UUcfl1X3U9,JNO 
[83071] BUY,UUcfl1X3U9,QNW,103.07 
[83077] COMMIT_BUY,UUcfl1X3U9 
[83106] CANCEL_BUY,UUcfl1X3U9 
[83174] ADD,UUcfl1X3U9,63270.41 
[83216] QUOTE,UUcfl1X3U9,GQV 
[83301] BUY,UUcfl1X3U9,VMK,660.89 
[83310] COMMIT_BUY,UUcfl1X3U9 
[83445] SET_SELL_TRIGGER,UUcfl1X3U9,MVD,194.99 
[83501] SET_SELL_AMOUNT,UUcfl1X3U9,IQJ,374.67 
[83517] SET_SELL_TRIGGER,UUcfl1X3U9,IQJ,4.55 
[83923] SELL,UUcfl1X3U9,MFX,473.01 
[83951] CANCEL_SET_BUY,UUcfl1X3U9,INB 
[83953] SET_SELL_TRIGGER,UUcfl1X3U9,WSG,125.73 
[84337] QUOTE,UUcfl1X3U9,CBX 
[84345] BUY,UUcfl1X3U9,JRY,252.69 
[84402] CANCEL_SET_SELL,UUcfl1X3U9,QPE 
[84552] SET_SELL_AMOUNT,UUcfl1X3U9,BCQ,474.12 
[84838] BUY,UUcfl1X3U9,VNF,226.78 
[84863] CANCEL_BUY,UUcfl1X3U9 
[85055] SET_BUY_TRIGGER,UUcfl1X3U9,NVX,108.44 
[85329] ADD,UUcfl1X3U9,86391.41 
[85605] BUY,UUcfl1X3U9,JEO,401.42 
[85676] SET_SELL_TRIGGER,UUcfl1X3U9,BCQ,387.26 
[85756] ADD,UUcfl1X3U9,70664.93 
[85877] QUOTE,UUcfl1X3U9,GIX 
[85939] QUOTE,UUcfl1X3U9,VAT 
[85991] QUOTE,UUcfl1X3U9,PXX 
[86007] QUOTE,UUcfl1X3U9,LZB 
[86011] QUOTE,UUcfl1X3U9,XNZ 
[86037] QUOTE,UUcfl1X3U9,NJT 
[86084] SELL,UUcfl1X3U9,YJK,370.53 
[86173] SET_SELL_AMOUNT,UUcfl1X3U9,MFX,247.07 
[86230] SET_SELL_TRIGGER,UUcfl1X3U9,MFX,112.36 
[86257] CANCEL_SET_SELL,UUcfl1X3U9,RRZ 
[86334] SET_SELL_TRIGGER,UUcfl1X3U9,AMI,20.39 
[86433] ADD,UUcfl1X3U9,69629.69 
[86625] SELL,UUcfl1X3U9,JCQ,147.12 
[86665] COMMIT_SELL,UUcfl1X3U9 
[86814] ADD,UUcfl1X3U9,91449.13 
[86890] QUOTE,UUcfl1X3U9,FIW 
[86979] QUOTE,UUcfl1X3U9,ULL 
[87023] SET_BUY_AMOUNT,UUcfl1X3U9,ZAN,52.20 
[87166] SET_BUY_TRIGGER,UUcfl1X3U9,VDP,27.79 
[87230] SET_SELL_TRIGGER,UUcfl1X3U9,HVE,169.55 
[87454] SELL,UUcfl1X3U9,TVI,737.73 
[87474] COMMIT_SELL,UUcfl1X3U9 
[87507] BUY,UUcfl1X3U9,LPB,454.07 
[87540] SET_BUY_TRIGGER,UUcfl1X3U9,CLP,176.80 
[87654] ADD,UUcfl1X3U9,73016.10 
[87920] SET_SELL_AMOUNT,UUcfl1X3U9,IQJ,680.97 
[88342] SET_SELL_TRIGGER,UUcfl1X3U9,IQJ,353.75 
[88352] BUY,UUcfl1X3U9,SCK,41.11 
[88454] CANCEL_SET_SELL,UUcfl1X3U9,PXX 
[88455] CANCEL_BUY,UUcfl1X3U9 
[88562] SET_BUY_TRIGGER,UUcfl1X3U9,GFN,25.46 
[88929] SET_BUY_TRIGGER,UUcfl1X3U9,LMO,4.53 
[89214] SET_SELL_TRIGGER,UUcfl1X3U9,WCY,64.87 
[89250] ADD,UUcfl1X3U9,60757.64 
[89390] BUY,UUcfl1X3U9,KNM,641.90 
[89422] COMMIT_BUY,UUcfl1X3U9 
[89530] SET_BUY_TRIGGER,UUcfl1X3U9,MIY,186.87 
[89586] COMMIT_SELL,UUcfl1X3U9 
[89783] ADD,UUcfl1X3U9,71661.47 
[90069] BUY,UUcfl1X3U9,AUT,610.02 
[90436] COMMIT_BUY,UUcfl1X3U9 
[90641] QUOTE,UUcfl1X3U9,ZFT 
[90744] SET_BUY_AMOUNT,UUcfl1X3U9,KES,121.89 
[90792] SET_BUY_TRIGGER,UUcfl1X3U9,MQX,29.56 
[90802] QUOTE,UUcfl1X3U9,XLI 
[90865] DISPLAY_SUMMARY,UUcfl1X3U9 
[90882] SET_SELL_AMOUNT,UUcfl1X3U9,JQO,236.02 
[91221] QUOTE,UUcfl1X3U9,KES 
[91225] BUY,UUcfl1X3U9,LAW,21.45 
[91238] COMMIT_BUY,UUcfl1X3U9 
[91260] BUY,UUcfl1X3U9,WUF,227.56 
[91542] COMMIT_BUY,UUcfl1X3U9 
[91570] SET_BUY_TRIGGER,UUcfl1X3U9,JSM,37.83 
[91697] SELL,UUcfl1X3U9,FDI,745.07 
[91767] COMMIT_BUY,UUcfl1X3U9 
[91800] ADD,UUcfl1X3U9,37086.18 
[91801] BUY,UUcfl1X3U9,PTP,474.81 
[91895] COMMIT_BUY,UUcfl1X3U9 
[92019] SET_BUY_TRIGGER,UUcfl1X3U9,YIQ,122.83 
[92034] SELL,UUcfl1X3U9,FQP,499.41 
[92253] BUY,UUcfl1X3U9,SFO,114.60 
[92471] CANCEL_SET_SELL,UUcfl1X3U9,JQO 
[92528] CANCEL_SET_SELL,UUcfl1X3U9,WYR 
[92573] SET_SELL_TRIGGER,UUcfl1X3U9,RRT,155.07 
[92699] ADD,UUcfl1X3U9,90194.84 
[92810] SET_BUY_TRIGGER,UUcfl1X3U9,GAL,43.76 
[92934] SET_BUY_TRIGGER,UUcfl1X3U9,SSF,28.77 
[93054] ADD,UUcfl1X3U9,71766.81 
[93121] COMMIT_SELL,UUcfl1X3U9 
[93134] SET_BUY_TRIGGER,UUcfl1X3U9,MUN,90.46 
[93142] SET_BUY_TRIGGER,UUcfl1X3U9,QVA,4.66 
[93292] SET_BUY_AMOUNT,UUcfl1X3U9,JRJ,448.36 
[93470] SET_BUY_TRIGGER,UUcfl1X3U9,FFI,272.85 
[93506] SET_BUY_AMOUNT,UUcfl1X3U9,UTV,370.28 
[93617] SET_BUY_TRIGGER,UUcfl1X3U9,JUG,164.74 
[93683] ADD,UUcfl1X3U9,71527.20 
[93685] BUY,UUcfl1X3U9,YDS,342.18 
[93819] COMMIT_BUY,UUcfl1X3U9 
[93860] SET_SELL_TRIGGER,UUcfl1X3U9,BEG,175.98 
