[304] ADD,hQaIWhluU7,70082.66 
[47928] BUY,hQaIWhluU7,LKV,626.79 
[47974] COMMIT_BUY,hQaIWhluU7 
[47981] ADD,hQaIWhluU7,71989.17 
[48139] QUOTE,hQaIWhluU7,HFI 
[48750] ADD,hQaIWhluU7,64390.38 
[48765] SELL,hQaIWhluU7,YJK,747.84 
[48923] COMMIT_SELL,hQaIWhluU7 
[49239] QUOTE,hQaIWhluU7,TJL 
[49439] QUOTE,hQaIWhluU7,DVA 
[49549] ADD,hQaIWhluU7,51472.70 
[49924] QUOTE,hQaIWhluU7,FKZ 
[50048] BUY,hQaIWhluU7,MIQ,45.04 
[50130] SELL,hQaIWhluU7,QAX,470.81 
[50181] BUY,hQaIWhluU7,LLF,549.94 
[50271] DISPLAY_SUMMARY,hQaIWhluU7 
[50313] SELL,hQaIWhluU7,GYF,173.48 
[50949] BUY,hQaIWhluU7,IZS,498.50 
[50990] COMMIT_BUY,hQaIWhluU7 
[51053] SET_SELL_TRIGGER,hQaIWhluU7,PVZ,154.35 
[51157] QUOTE,hQaIWhluU7,LUD 
[51172] SET_BUY_AMOUNT,hQaIWhluU7,RGH,321.91 
[51179] SET_BUY_TRIGGER,hQaIWhluU7,MVY,124.19 
[51186] CANCEL_BUY,hQaIWhluU7 
[51384] DISPLAY_SUMMARY,hQaIWhluU7 
[51834] SET_BUY_TRIGGER,hQaIWhluU7,OYW,128.26 
[51893] QUOTE,hQaIWhluU7,UCG 
[52023] BUY,hQaIWhluU7,PPY,492.32 
[52427] CANCEL_BUY,hQaIWhluU7 
[52456] ADD,hQaIWhluU7,57177.49 
[52481] CANCEL_SELL,hQaIWhluU7 
[52510] SET_SELL_AMOUNT,hQaIWhluU7,YJK,447.95 
[52608] SET_SELL_TRIGGER,hQaIWhluU7,YJK,436.85 
[52865] DISPLAY_SUMMARY,hQaIWhluU7 
[52893] ADD,hQaIWhluU7,67283.97 
[52948] BUY,hQaIWhluU7,ZAO,440.50 
[53155] COMMIT_BUY,hQaIWhluU7 
[53200] SET_BUY_AMOUNT,hQaIWhluU7,RGH,280.16 
[53323] DISPLAY_SUMMARY,hQaIWhluU7 
[53388] SET_SELL_TRIGGER,hQaIWhluU7,TTY,152.24 
[53401] SET_BUY_AMOUNT,hQaIWhluU7,OPN,724.90 
[53484] SET_BUY_TRIGGER,hQaIWhluU7,UTV,174.51 
[53564] DISPLAY_SUMMARY,hQaIWhluU7 
[53579] SET_BUY_TRIGGER,hQaIWhluU7,ZNY,146.46 
[53621] SET_BUY_TRIGGER,hQaIWhluU7,HHC,140.28 
[53678] ADD,hQaIWhluU7,89875.85 
[53940] BUY,hQaIWhluU7,YZH,102.51 
[53963] COMMIT_BUY,hQaIWhluU7 
[53972] ADD,hQaIWhluU7,70876.13 
[54113] BUY,hQaIWhluU7,WKG,636.93 
[54162] COMMIT_BUY,hQaIWhluU7 
[54486] SET_BUY_AMOUNT,hQaIWhluU7,YJK,436.78 
[54498] SET_BUY_TRIGGER,hQaIWhluU7,ECL,66.34 
[54550] ADD,hQaIWhluU7,68309.06 
[54636] CANCEL_SELL,hQaIWhluU7 
[54654] BUY,hQaIWhluU7,XME,331.92 
[54901] COMMIT_BUY,hQaIWhluU7 
[55105] SELL,hQaIWhluU7,CUZ,18.59 
[55144] QUOTE,hQaIWhluU7,KES 
[55162] COMMIT_SELL,hQaIWhluU7 
[55227] ADD,hQaIWhluU7,98900.75 
[55248] BUY,hQaIWhluU7,XBE,587.88 
[55257] SELL,hQaIWhluU7,NHG,700.63 
[55428] COMMIT_SELL,hQaIWhluU7 
[55542] ADD,hQaIWhluU7,62370.89 
[55556] QUOTE,hQaIWhluU7,JUJ 
[55729] BUY,hQaIWhluU7,BXH,124.01 
[56154] QUOTE,hQaIWhluU7,KCT 
[56300] DISPLAY_SUMMARY,hQaIWhluU7 
[56341] SET_BUY_TRIGGER,hQaIWhluU7,QVK,163.73 
[56371] ADD,hQaIWhluU7,49695.02 
[56598] BUY,hQaIWhluU7,GGY,643.17 
[56640] CANCEL_BUY,hQaIWhluU7 
[56666] SELL,hQaIWhluU7,LFU,329.99 
[56667] COMMIT_SELL,hQaIWhluU7 
[56702] SET_SELL_AMOUNT,hQaIWhluU7,BYA,645.50 
[56768] SET_SELL_TRIGGER,hQaIWhluU7,BYA,533.54 
[56883] QUOTE,hQaIWhluU7,CZQ 
[56890] BUY,hQaIWhluU7,LFU,361.32 
[56919] COMMIT_BUY,hQaIWhluU7 
[56961] BUY,hQaIWhluU7,SAR,403.67 
[57054] SELL,hQaIWhluU7,JCQ,320.94 
[57104] SELL,hQaIWhluU7,OEY,325.83 
[57132] BUY,hQaIWhluU7,JFF,272.12 
[57334] CANCEL_SET_BUY,hQaIWhluU7,HTD 
[57588] SELL,hQaIWhluU7,ZTI,283.08 
[57729] COMMIT_SELL,hQaIWhluU7 
[57814] SET_SELL_TRIGGER,hQaIWhluU7,DXL,34.59 
[57821] QUOTE,hQaIWhluU7,NVX 
[57992] QUOTE,hQaIWhluU7,PHU 
[58255] BUY,hQaIWhluU7,UDM,35.58 
[58452] DISPLAY_SUMMARY,hQaIWhluU7 
[58508] BUY,hQaIWhluU7,RYU,716.63 
[58693] COMMIT_BUY,hQaIWhluU7 
[58755] QUOTE,hQaIWhluU7,TTV 
[58766] DISPLAY_SUMMARY,hQaIWhluU7 
[58830] BUY,hQaIWhluU7,IHW,218.50 
[58882] DISPLAY_SUMMARY,hQaIWhluU7 
[58915] DISPLAY_SUMMARY,hQaIWhluU7 
[58965] SET_BUY_TRIGGER,hQaIWhluU7,JKX,34.26 
[59107] SET_SELL_TRIGGER,hQaIWhluU7,YRO,113.01 
[59181] SET_BUY_TRIGGER,hQaIWhluU7,QPE,30.27 
[59301] CANCEL_SET_SELL,hQaIWhluU7,JNO 
[59406] QUOTE,hQaIWhluU7,VVO 
[59495] BUY,hQaIWhluU7,WDC,417.42 
[59647] COMMIT_BUY,hQaIWhluU7 
[59794] ADD,hQaIWhluU7,64702.49 
[59916] QUOTE,hQaIWhluU7,POI 
[60038] CANCEL_SET_SELL,hQaIWhluU7,ASJ 
[60132] SET_SELL_TRIGGER,hQaIWhluU7,XVK,181.64 
[60429] DISPLAY_SUMMARY,hQaIWhluU7 
[60526] SET_SELL_TRIGGER,hQaIWhluU7,GHE,164.84 
[60565] COMMIT_BUY,hQaIWhluU7 
[60582] SET_BUY_TRIGGER,hQaIWhluU7,JUE,188.70 
[60671] SET_BUY_TRIGGER,hQaIWhluU7,EDV,60.37 
[60740] SELL,hQaIWhluU7,CUZ,685.67 
[60824] COMMIT_SELL,hQaIWhluU7 
[60894] COMMIT_BUY,hQaIWhluU7 
[61058] QUOTE,hQaIWhluU7,NAR 
[61071] COMMIT_SELL,hQaIWhluU7 
[61340] SET_BUY_AMOUNT,hQaIWhluU7,OEY,412.82 
[61372] SET_BUY_TRIGGER,hQaIWhluU7,MWM,93.18 
[61447] SET_BUY_AMOUNT,hQaIWhluU7,OEY,458.67 
[61476] SET_BUY_TRIGGER,hQaIWhluU7,WRJ,114.63 
[61548] ADD,hQaIWhluU7,77406.13 
[61571] BUY,hQaIWhluU7,LLF,116.28 
[61659] COMMIT_BUY,hQaIWhluU7 
[61794] BUY,hQaIWhluU7,DJD,534.82 
[61839] SELL,hQaIWhluU7,BYA,286.44 
[61913] CANCEL_SET_BUY,hQaIWhluU7,ZWC 
[62135] CANCEL_SET_SELL,hQaIWhluU7,FLY 
[62297] SET_BUY_AMOUNT,hQaIWhluU7,BYA,63.70 
[62317] SET_BUY_TRIGGER,hQaIWhluU7,KVJ,27.54 
[62535] DISPLAY_SUMMARY,hQaIWhluU7 
[62587] ADD,hQaIWhluU7,63166.90 
[62704] BUY,hQaIWhluU7,QXW,206.99 
[62945] CANCEL_SET_BUY,hQaIWhluU7,UGG 
[62947] DISPLAY_SUMMARY,hQaIWhluU7 
[62961] ADD,hQaIWhluU7,51161.69 
[63036] ADD,hQaIWhluU7,83679.96 
[63051] BUY,hQaIWhluU7,LZV,25.70 
[63077] COMMIT_BUY,hQaIWhluU7 
[63079] SELL,hQaIWhluU7,GYF,487.57 
[63124] QUOTE,hQaIWhluU7,CBV 
[63355] ADD,hQaIWhluU7,83170.72 
[63461] BUY,hQaIWhluU7,MMY,416.55 
[63525] CANCEL_BUY,hQaIWhluU7 
[63586] SET_BUY_AMOUNT,hQaIWhluU7,KES,76.67 
[63634] SET_BUY_TRIGGER,hQaIWhluU7,SSL,12.24 
[63744] DISPLAY_SUMMARY,hQaIWhluU7 
[63788] QUOTE,hQaIWhluU7,JSM 
[63821] QUOTE,hQaIWhluU7,YTT 
[63854] QUOTE,hQaIWhluU7,GWF 
[63870] CANCEL_SELL,hQaIWhluU7 
[63887] QUOTE,hQaIWhluU7,FDI 
[63898] SET_SELL_TRIGGER,hQaIWhluU7,ZQW,173.19 
[63952] SELL,hQaIWhluU7,AVX,640.86 
[64000] CANCEL_SELL,hQaIWhluU7 
[64208] ADD,hQaIWhluU7,74229.78 
[64237] QUOTE,hQaIWhluU7,MLI 
[64570] QUOTE,hQaIWhluU7,XBE 
[64578] SET_SELL_AMOUNT,hQaIWhluU7,RNK,279.43 
[64593] SET_SELL_TRIGGER,hQaIWhluU7,RNK,222.53 
[64618] QUOTE,hQaIWhluU7,DBT 
[64639] SET_SELL_AMOUNT,hQaIWhluU7,UTV,14.08 
[64665] DISPLAY_SUMMARY,hQaIWhluU7 
[64745] SET_BUY_AMOUNT,hQaIWhluU7,PTP,684.02 
[65077] SET_BUY_TRIGGER,hQaIWhluU7,FUF,238.44 
[65083] BUY,hQaIWhluU7,ZJG,379.22 
[65289] COMMIT_BUY,hQaIWhluU7 
[65365] CANCEL_SET_SELL,hQaIWhluU7,UTV 
[65771] SET_SELL_TRIGGER,hQaIWhluU7,FKI,167.48 
[65783] DISPLAY_SUMMARY,hQaIWhluU7 
[65800] ADD,hQaIWhluU7,56304.46 
[65879] BUY,hQaIWhluU7,MGK,659.89 
[65888] COMMIT_BUY,hQaIWhluU7 
[66255] SET_SELL_TRIGGER,hQaIWhluU7,QOD,140.51 
[66303] SET_BUY_AMOUNT,hQaIWhluU7,QGE,124.47 
[66434] QUOTE,hQaIWhluU7,FXT 
[66459] SET_BUY_AMOUNT,hQaIWhluU7,ZTI,233.49 
[66557] BUY,hQaIWhluU7,NHB,377.62 
[66859] SET_SELL_AMOUNT,hQaIWhluU7,RUN,552.12 
[66913] SET_SELL_TRIGGER,hQaIWhluU7,RUN,507.64 
[66975] SELL,hQaIWhluU7,AVX,570.21 
[67160] COMMIT_SELL,hQaIWhluU7 
[67184] SET_SELL_AMOUNT,hQaIWhluU7,UTV,446.94 
[67212] SET_SELL_TRIGGER,hQaIWhluU7,UTV,369.26 
[67351] SELL,hQaIWhluU7,JZJ,146.82 
[67356] DISPLAY_SUMMARY,hQaIWhluU7 
[67360] BUY,hQaIWhluU7,KAF,273.15 
[67367] COMMIT_BUY,hQaIWhluU7 
[67393] ADD,hQaIWhluU7,65090.68 
[67575] BUY,hQaIWhluU7,WYD,133.67 
[67686] COMMIT_BUY,hQaIWhluU7 
[67690] QUOTE,hQaIWhluU7,IQZ 
[67748] CANCEL_SET_SELL,hQaIWhluU7,OXV 
[67843] ADD,hQaIWhluU7,52873.86 
[67917] BUY,hQaIWhluU7,TYV,146.11 
[68191] COMMIT_BUY,hQaIWhluU7 
[68193] SET_BUY_TRIGGER,hQaIWhluU7,NBX,128.51 
[68264] QUOTE,hQaIWhluU7,JGY 
[68430] SET_BUY_AMOUNT,hQaIWhluU7,JQO,692.02 
[68436] SET_BUY_TRIGGER,hQaIWhluU7,GJR,680.80 
[68505] DISPLAY_SUMMARY,hQaIWhluU7 
[68633] SET_BUY_AMOUNT,hQaIWhluU7,AVX,63.71 
[68669] CANCEL_SET_BUY,hQaIWhluU7,JGF 
[68732] ADD,hQaIWhluU7,59327.37 
[68778] QUOTE,hQaIWhluU7,NGB 
[69085] QUOTE,hQaIWhluU7,QNW 
[69193] SET_BUY_AMOUNT,hQaIWhluU7,CUZ,438.67 
[69279] QUOTE,hQaIWhluU7,AZN 
[69335] QUOTE,hQaIWhluU7,PHZ 
[69644] SET_BUY_AMOUNT,hQaIWhluU7,JVT,161.58 
[69699] SET_BUY_TRIGGER,hQaIWhluU7,ZYF,139.23 
[69732] CANCEL_BUY,hQaIWhluU7 
[69760] QUOTE,hQaIWhluU7,GAL 
[69991] BUY,hQaIWhluU7,PWK,264.13 
[70020] BUY,hQaIWhluU7,EDV,739.06 
[70029] COMMIT_BUY,hQaIWhluU7 
[70127] ADD,hQaIWhluU7,64071.77 
[70189] BUY,hQaIWhluU7,NXU,623.53 
[70281] CANCEL_BUY,hQaIWhluU7 
[70527] SELL,hQaIWhluU7,MFX,227.68 
[70625] CANCEL_BUY,hQaIWhluU7 
[70697] QUOTE,hQaIWhluU7,CLH 
[70720] SET_BUY_AMOUNT,hQaIWhluU7,JVT,715.32 
[70763] SET_BUY_TRIGGER,hQaIWhluU7,EDV,649.03 
[70877] SELL,hQaIWhluU7,ZYR,245.98 
[70943] CANCEL_SELL,hQaIWhluU7 
[71179] DISPLAY_SUMMARY,hQaIWhluU7 
[71264] SET_BUY_TRIGGER,hQaIWhluU7,HPN,112.34 
[71412] SET_BUY_AMOUNT,hQaIWhluU7,GYF,470.14 
[71548] SET_BUY_TRIGGER,hQaIWhluU7,EIH,429.04 
[71647] SET_BUY_TRIGGER,hQaIWhluU7,JQO,178.01 
[71879] ADD,hQaIWhluU7,60221.40 
[71994] BUY,hQaIWhluU7,UIE,651.39 
[72143] CANCEL_SELL,hQaIWhluU7 
[72437] SET_SELL_AMOUNT,hQaIWhluU7,GYF,631.21 
[72603] SET_SELL_TRIGGER,hQaIWhluU7,GYF,522.66 
[72685] BUY,hQaIWhluU7,COE,449.17 
[72740] COMMIT_BUY,hQaIWhluU7 
[72768] DISPLAY_SUMMARY,hQaIWhluU7 
[72869] QUOTE,hQaIWhluU7,ZGR 
[73002] SET_SELL_AMOUNT,hQaIWhluU7,JCQ,234.41 
[73060] SET_SELL_TRIGGER,hQaIWhluU7,JCQ,33.70 
[73146] CANCEL_SET_SELL,hQaIWhluU7,LPW 
[73242] BUY,hQaIWhluU7,SKC,458.16 
[73243] CANCEL_SET_BUY,hQaIWhluU7,LBC 
[73301] SET_SELL_AMOUNT,hQaIWhluU7,CBO,246.14 
[73350] SET_SELL_TRIGGER,hQaIWhluU7,CBO,205.01 
[73381] QUOTE,hQaIWhluU7,OYS 
[73460] COMMIT_BUY,hQaIWhluU7 
[73567] ADD,hQaIWhluU7,65395.96 
[73639] QUOTE,hQaIWhluU7,JUJ 
[73719] CANCEL_SET_BUY,hQaIWhluU7,XFA 
[73762] DISPLAY_SUMMARY,hQaIWhluU7 
[73785] ADD,hQaIWhluU7,56307.33 
[74018] QUOTE,hQaIWhluU7,RFI 
[74163] BUY,hQaIWhluU7,NUV,433.07 
[74360] COMMIT_BUY,hQaIWhluU7 
[74648] SET_SELL_AMOUNT,hQaIWhluU7,AVX,544.62 
[74674] SET_SELL_TRIGGER,hQaIWhluU7,AVX,214.12 
[74894] SET_BUY_AMOUNT,hQaIWhluU7,MFX,512.92 
[75142] SET_BUY_TRIGGER,hQaIWhluU7,ZAN,25.23 
[75345] SELL,hQaIWhluU7,XXQ,102.52 
[75455] SET_BUY_TRIGGER,hQaIWhluU7,ELQ,106.19 
[75467] ADD,hQaIWhluU7,95029.01 
[75471] BUY,hQaIWhluU7,WDC,130.70 
[75484] SET_BUY_AMOUNT,hQaIWhluU7,BYA,68.19 
[75622] SET_BUY_TRIGGER,hQaIWhluU7,ALV,45.41 
[75669] ADD,hQaIWhluU7,88429.50 
[75670] QUOTE,hQaIWhluU7,MOM 
[75716] BUY,hQaIWhluU7,JUG,20.20 
[75785] COMMIT_BUY,hQaIWhluU7 
[75809] ADD,hQaIWhluU7,105269.40 
[75817] BUY,hQaIWhluU7,AVI,55.90 
[75853] COMMIT_BUY,hQaIWhluU7 
[75906] BUY,hQaIWhluU7,UIE,564.26 
[76150] COMMIT_BUY,hQaIWhluU7 
[76211] QUOTE,hQaIWhluU7,ZAM 
[76222] BUY,hQaIWhluU7,SWD,1.33 
[76274] COMMIT_BUY,hQaIWhluU7 
[76289] ADD,hQaIWhluU7,74873.03 
[76585] QUOTE,hQaIWhluU7,QAX 
[76661] BUY,hQaIWhluU7,KJM,384.39 
[76663] COMMIT_BUY,hQaIWhluU7 
[76709] SET_SELL_AMOUNT,hQaIWhluU7,RNK,639.46 
[76715] CANCEL_SET_SELL,hQaIWhluU7,RNK 
[76801] SET_SELL_TRIGGER,hQaIWhluU7,ASJ,45.95 
[76824] CANCEL_SET_SELL,hQaIWhluU7,ZWC 
[77000] DISPLAY_SUMMARY,hQaIWhluU7 
[77340] DISPLAY_SUMMARY,hQaIWhluU7 
[77360] CANCEL_SELL,hQaIWhluU7 
[77535] QUOTE,hQaIWhluU7,EIK 
[77557] BUY,hQaIWhluU7,JUE,486.16 
[77589] COMMIT_BUY,hQaIWhluU7 
[77591] DISPLAY_SUMMARY,hQaIWhluU7 
[77634] DISPLAY_SUMMARY,hQaIWhluU7 
[77878] BUY,hQaIWhluU7,MWB,325.69 
[77945] COMMIT_BUY,hQaIWhluU7 
[78221] QUOTE,hQaIWhluU7,SQO 
[78293] ADD,hQaIWhluU7,76094.24 
[78595] SET_BUY_TRIGGER,hQaIWhluU7,XUY,5.12 
[78646] SET_BUY_AMOUNT,hQaIWhluU7,ZTI,551.71 
[78785] SET_BUY_TRIGGER,hQaIWhluU7,VKB,37.43 
[78876] SET_BUY_TRIGGER,hQaIWhluU7,GRM,96.21 
[78908] ADD,hQaIWhluU7,100384.66 
[78936] BUY,hQaIWhluU7,ZAO,229.79 
[79057] COMMIT_BUY,hQaIWhluU7 
[79150] SET_SELL_TRIGGER,hQaIWhluU7,FSD,179.41 
[79178] DISPLAY_SUMMARY,hQaIWhluU7 
[79272] SET_SELL_AMOUNT,hQaIWhluU7,NHG,291.89 
[79303] SET_SELL_TRIGGER,hQaIWhluU7,NHG,84.05 
[79330] ADD,hQaIWhluU7,84253.81 
[79483] BUY,hQaIWhluU7,XOM,10.63 
[79559] CANCEL_BUY,hQaIWhluU7 
[79662] SET_BUY_AMOUNT,hQaIWhluU7,PTP,376.64 
[79681] QUOTE,hQaIWhluU7,IWL 
[79753] SET_BUY_TRIGGER,hQaIWhluU7,ZSV,267.68 
[79811] SET_SELL_TRIGGER,hQaIWhluU7,DRP,12.48 
[79823] ADD,hQaIWhluU7,75600.78 
[79829] BUY,hQaIWhluU7,OYS,408.82 
[79905] DISPLAY_SUMMARY,hQaIWhluU7 
[79961] SELL,hQaIWhluU7,JQO,352.37 
[80058] COMMIT_SELL,hQaIWhluU7 
[80132] SET_BUY_TRIGGER,hQaIWhluU7,NZS,179.29 
[80218] SELL,hQaIWhluU7,DFE,553.11 
[80231] COMMIT_SELL,hQaIWhluU7 
[80248] QUOTE,hQaIWhluU7,OFP 
[80348] BUY,hQaIWhluU7,DWU,269.97 
[80357] COMMIT_BUY,hQaIWhluU7 
[80433] QUOTE,hQaIWhluU7,XXN 
[80448] BUY,hQaIWhluU7,SYE,741.63 
[80463] DISPLAY_SUMMARY,hQaIWhluU7 
[80664] SET_SELL_AMOUNT,hQaIWhluU7,YJK,608.29 
[80703] SET_SELL_TRIGGER,hQaIWhluU7,YJK,34.63 
[80808] CANCEL_SELL,hQaIWhluU7 
[80810] DISPLAY_SUMMARY,hQaIWhluU7 
[80923] SET_BUY_TRIGGER,hQaIWhluU7,OGR,197.05 
[81108] ADD,hQaIWhluU7,64597.47 
[81122] QUOTE,hQaIWhluU7,JQJ 
[81154] QUOTE,hQaIWhluU7,JUJ 
[81232] QUOTE,hQaIWhluU7,WNU 
[81273] CANCEL_SELL,hQaIWhluU7 
[81468] DISPLAY_SUMMARY,hQaIWhluU7 
[81483] SELL,hQaIWhluU7,ZTI,46.75 
[81484] COMMIT_SELL,hQaIWhluU7 
[81861] SET_BUY_TRIGGER,hQaIWhluU7,NJF,134.70 
[81890] CANCEL_SELL,hQaIWhluU7 
[81909] DISPLAY_SUMMARY,hQaIWhluU7 
[82055] SET_SELL_TRIGGER,hQaIWhluU7,PWK,119.39 
[82071] ADD,hQaIWhluU7,77686.20 
[82095] BUY,hQaIWhluU7,RDN,661.76 
[82201] COMMIT_BUY,hQaIWhluU7 
[82506] ADD,hQaIWhluU7,80497.24 
[82567] BUY,hQaIWhluU7,HSH,478.69 
[83378] SET_SELL_AMOUNT,hQaIWhluU7,QAX,146.87 
[83618] CANCEL_SET_SELL,hQaIWhluU7,QAX 
[83695] DISPLAY_SUMMARY,hQaIWhluU7 
[84011] QUOTE,hQaIWhluU7,BZH 
[84202] BUY,hQaIWhluU7,TUO,195.30 
[84430] COMMIT_BUY,hQaIWhluU7 
[84465] SET_SELL_TRIGGER,hQaIWhluU7,WAI,111.62 
[84466] SET_SELL_TRIGGER,hQaIWhluU7,URA,176.12 
[84540] ADD,hQaIWhluU7,54182.34 
[84590] SET_SELL_AMOUNT,hQaIWhluU7,CEC,449.99 
[84801] BUY,hQaIWhluU7,PTP,469.18 
[84965] COMMIT_BUY,hQaIWhluU7 
[85001] ADD,hQaIWhluU7,77352.00 
[85156] QUOTE,hQaIWhluU7,JII 
[85182] QUOTE,hQaIWhluU7,IFU 
[85223] SET_BUY_TRIGGER,hQaIWhluU7,NXU,109.20 
[85495] SET_BUY_TRIGGER,hQaIWhluU7,RRZ,177.50 
[85630] SET_SELL_AMOUNT,hQaIWhluU7,AVX,452.30 
[85788] SET_SELL_TRIGGER,hQaIWhluU7,AVX,151.26 
[85841] ADD,hQaIWhluU7,89376.64 
[85907] QUOTE,hQaIWhluU7,STO 
[86140] SET_SELL_AMOUNT,hQaIWhluU7,VTY,127.64 
[86317] SET_SELL_TRIGGER,hQaIWhluU7,VTY,20.91 
[86377] SET_BUY_AMOUNT,hQaIWhluU7,KDA,670.99 
[86393] QUOTE,hQaIWhluU7,ZEU 
[86435] BUY,hQaIWhluU7,WSR,530.34 
[86436] COMMIT_BUY,hQaIWhluU7 
[86467] DISPLAY_SUMMARY,hQaIWhluU7 
[86468] QUOTE,hQaIWhluU7,YUR 
[86631] CANCEL_SELL,hQaIWhluU7 
[86812] ADD,hQaIWhluU7,53439.30 
[86834] SET_BUY_TRIGGER,hQaIWhluU7,EYY,60.21 
[86919] ADD,hQaIWhluU7,86959.36 
[86950] QUOTE,hQaIWhluU7,HRJ 
[86978] CANCEL_SET_SELL,hQaIWhluU7,CAX 
[87125] DISPLAY_SUMMARY,hQaIWhluU7 
[87235] DISPLAY_SUMMARY,hQaIWhluU7 
[87247] QUOTE,hQaIWhluU7,SBT 
[87424] SET_BUY_TRIGGER,hQaIWhluU7,SJZ,4.99 
[87497] ADD,hQaIWhluU7,52627.87 
[87774] QUOTE,hQaIWhluU7,TGY 
[87779] QUOTE,hQaIWhluU7,DJD 
[87805] BUY,hQaIWhluU7,EDM,418.12 
[87957] COMMIT_BUY,hQaIWhluU7 
[88069] SET_BUY_TRIGGER,hQaIWhluU7,FWW,157.23 
[88280] BUY,hQaIWhluU7,IWL,437.34 
[88288] QUOTE,hQaIWhluU7,YGK 
[88295] SET_BUY_TRIGGER,hQaIWhluU7,CGW,105.57 
[88333] ADD,hQaIWhluU7,54092.21 
[88364] BUY,hQaIWhluU7,LVV,59.95 
[88396] COMMIT_BUY,hQaIWhluU7 
[89084] SET_BUY_TRIGGER,hQaIWhluU7,OBO,19.64 
[89093] ADD,hQaIWhluU7,62182.51 
[89123] QUOTE,hQaIWhluU7,FZU 
[89784] BUY,hQaIWhluU7,VMK,447.58 
[89813] COMMIT_SELL,hQaIWhluU7 
[89920] BUY,hQaIWhluU7,LGL,196.24 
[89938] SELL,hQaIWhluU7,EBS,63.81 
[90226] COMMIT_SELL,hQaIWhluU7 
[90509] DISPLAY_SUMMARY,hQaIWhluU7 
[90537] CANCEL_SET_SELL,hQaIWhluU7,ZAO 
[90739] BUY,hQaIWhluU7,YMG,620.10 
[90911] COMMIT_BUY,hQaIWhluU7 
[91063] SET_BUY_TRIGGER,hQaIWhluU7,GMS,98.93 
[91161] SET_SELL_TRIGGER,hQaIWhluU7,VSE,70.50 
[91194] ADD,hQaIWhluU7,43322.56 
[91202] BUY,hQaIWhluU7,SHP,725.47 
[91265] COMMIT_BUY,hQaIWhluU7 
[91299] DISPLAY_SUMMARY,hQaIWhluU7 
[91355] ADD,hQaIWhluU7,51081.78 
[91419] SELL,hQaIWhluU7,SSF,726.24 
[91513] QUOTE,hQaIWhluU7,XQC 
[91643] SET_BUY_TRIGGER,hQaIWhluU7,LPS,151.22 
[91647] QUOTE,hQaIWhluU7,RNE 
[91670] DISPLAY_SUMMARY,hQaIWhluU7 
[91690] SET_BUY_TRIGGER,hQaIWhluU7,WTL,43.58 
[92314] SET_BUY_TRIGGER,hQaIWhluU7,SSW,170.88 
[92370] BUY,hQaIWhluU7,KJD,702.88 
[92395] COMMIT_BUY,hQaIWhluU7 
[92399] SELL,hQaIWhluU7,QVK,59.78 
[92508] SELL,hQaIWhluU7,SSF,382.19 
[92597] COMMIT_SELL,hQaIWhluU7 
[92708] SET_BUY_TRIGGER,hQaIWhluU7,HVE,11.91 
[92738] BUY,hQaIWhluU7,JQO,308.72 
[93001] SET_SELL_TRIGGER,hQaIWhluU7,FRB,13.82 
[93045] SET_BUY_AMOUNT,hQaIWhluU7,QGE,603.80 
[93576] SET_BUY_TRIGGER,hQaIWhluU7,JMX,107.36 
[93616] DISPLAY_SUMMARY,hQaIWhluU7 
[93656] BUY,hQaIWhluU7,IZJ,189.38 
[93723] DISPLAY_SUMMARY,hQaIWhluU7 
[93770] DISPLAY_SUMMARY,hQaIWhluU7 
[93856] ADD,hQaIWhluU7,76947.88 
[93882] QUOTE,hQaIWhluU7,WLT 
[94128] BUY,hQaIWhluU7,VVO,660.86 
[94151] COMMIT_BUY,hQaIWhluU7 
[94167] SET_BUY_TRIGGER,hQaIWhluU7,MWB,144.92 
[94272] ADD,hQaIWhluU7,82734.60 
[94284] SELL,hQaIWhluU7,IQJ,28.17 
[94892] COMMIT_SELL,hQaIWhluU7 
[94961] SET_SELL_AMOUNT,hQaIWhluU7,AVX,711.78 
[95023] CANCEL_SET_SELL,hQaIWhluU7,AVX 
[95039] DISPLAY_SUMMARY,hQaIWhluU7 
[95201] ADD,hQaIWhluU7,58224.00 
[95265] QUOTE,hQaIWhluU7,QAX 
[95304] QUOTE,hQaIWhluU7,TSF 
[95381] SET_SELL_AMOUNT,hQaIWhluU7,HFS,433.69 
[95431] SET_SELL_TRIGGER,hQaIWhluU7,HFS,136.91 
[95529] ADD,hQaIWhluU7,75380.44 
[95618] QUOTE,hQaIWhluU7,WAO 
[95676] BUY,hQaIWhluU7,MVQ,439.78 
[95806] COMMIT_BUY,hQaIWhluU7 
[95815] DISPLAY_SUMMARY,hQaIWhluU7 
[95890] ADD,hQaIWhluU7,74045.13 
[95957] BUY,hQaIWhluU7,EIH,105.34 
[96109] QUOTE,hQaIWhluU7,FVA 
[96472] SET_SELL_AMOUNT,hQaIWhluU7,TVI,377.64 
[96621] SET_SELL_TRIGGER,hQaIWhluU7,TVI,80.26 
[96674] DISPLAY_SUMMARY,hQaIWhluU7 
[96818] DISPLAY_SUMMARY,hQaIWhluU7 
[97034] SELL,hQaIWhluU7,OEY,289.10 
[97242] COMMIT_SELL,hQaIWhluU7 
[97447] SET_SELL_AMOUNT,hQaIWhluU7,JRJ,197.24 
[97512] SET_SELL_TRIGGER,hQaIWhluU7,JRJ,80.03 
[97644] ADD,hQaIWhluU7,82825.90 
[97658] QUOTE,hQaIWhluU7,VOU 
