[28] ADD,0oVAF91nA3,79144.46 
[49430] ADD,0oVAF91nA3,77142.35 
[49436] QUOTE,0oVAF91nA3,PCR 
[49446] BUY,0oVAF91nA3,QOD,561.49 
[49486] COMMIT_BUY,0oVAF91nA3 
[49642] ADD,0oVAF91nA3,75984.82 
[49676] COMMIT_SELL,0oVAF91nA3 
[49774] SET_SELL_TRIGGER,0oVAF91nA3,UTD,24.86 
[49778] DISPLAY_SUMMARY,0oVAF91nA3 
[50125] SELL,0oVAF91nA3,LFU,159.81 
[50153] QUOTE,0oVAF91nA3,NJI 
[50165] QUOTE,0oVAF91nA3,ZFT 
[50238] SET_BUY_TRIGGER,0oVAF91nA3,JNO,8.56 
[50301] ADD,0oVAF91nA3,71137.16 
[50308] QUOTE,0oVAF91nA3,NVX 
[50311] BUY,0oVAF91nA3,HHG,614.04 
[50346] COMMIT_BUY,0oVAF91nA3 
[50378] ADD,0oVAF91nA3,73660.04 
[50391] QUOTE,0oVAF91nA3,SEI 
[50495] SET_BUY_TRIGGER,0oVAF91nA3,FUR,124.31 
[50632] QUOTE,0oVAF91nA3,JTY 
[50674] SET_BUY_AMOUNT,0oVAF91nA3,ZTI,743.79 
[50695] SET_BUY_TRIGGER,0oVAF91nA3,CSZ,645.10 
[50864] ADD,0oVAF91nA3,74326.02 
[50870] CANCEL_SELL,0oVAF91nA3 
[50984] DISPLAY_SUMMARY,0oVAF91nA3 
[50999] BUY,0oVAF91nA3,IFQ,195.71 
[51252] COMMIT_BUY,0oVAF91nA3 
[51286] ADD,0oVAF91nA3,55363.83 
[51308] ADD,0oVAF91nA3,63658.74 
[51393] BUY,0oVAF91nA3,UDN,179.70 
[51408] CANCEL_BUY,0oVAF91nA3 
[51473] ADD,0oVAF91nA3,79861.06 
[51637] COMMIT_SELL,0oVAF91nA3 
[51796] SET_BUY_TRIGGER,0oVAF91nA3,BBD,142.25 
[51837] ADD,0oVAF91nA3,48261.11 
[51952] BUY,0oVAF91nA3,CEC,499.20 
[52018] COMMIT_BUY,0oVAF91nA3 
[52021] DISPLAY_SUMMARY,0oVAF91nA3 
[52026] SET_SELL_AMOUNT,0oVAF91nA3,QJZ,158.23 
[52142] SET_SELL_TRIGGER,0oVAF91nA3,QJZ,2.71 
[52198] DISPLAY_SUMMARY,0oVAF91nA3 
[52222] DISPLAY_SUMMARY,0oVAF91nA3 
[52320] BUY,0oVAF91nA3,EIK,274.82 
[52773] COMMIT_BUY,0oVAF91nA3 
[52892] DISPLAY_SUMMARY,0oVAF91nA3 
[53037] ADD,0oVAF91nA3,82841.40 
[53256] SET_SELL_AMOUNT,0oVAF91nA3,OEY,131.34 
[53267] BUY,0oVAF91nA3,XAN,57.59 
[53312] COMMIT_BUY,0oVAF91nA3 
[53342] QUOTE,0oVAF91nA3,IPH 
[53351] SELL,0oVAF91nA3,JQO,687.88 
[53492] COMMIT_SELL,0oVAF91nA3 
[53571] SET_SELL_AMOUNT,0oVAF91nA3,NHG,17.35 
[53584] SET_SELL_TRIGGER,0oVAF91nA3,NHG,4.83 
[53601] SET_SELL_AMOUNT,0oVAF91nA3,QJZ,431.97 
[53779] CANCEL_SET_SELL,0oVAF91nA3,QJZ 
[54013] SET_SELL_AMOUNT,0oVAF91nA3,OEY,127.30 
[54175] SET_SELL_TRIGGER,0oVAF91nA3,OEY,50.00 
[54261] ADD,0oVAF91nA3,85407.12 
[54269] BUY,0oVAF91nA3,UJC,196.32 
[54271] COMMIT_BUY,0oVAF91nA3 
[54463] SET_BUY_AMOUNT,0oVAF91nA3,YJK,279.60 
[54764] DISPLAY_SUMMARY,0oVAF91nA3 
[55353] QUOTE,0oVAF91nA3,SCK 
[55580] COMMIT_SELL,0oVAF91nA3 
[55930] SELL,0oVAF91nA3,XXQ,181.71 
[55983] COMMIT_SELL,0oVAF91nA3 
[55997] BUY,0oVAF91nA3,CBY,495.02 
[56002] SELL,0oVAF91nA3,EBS,178.61 
[56051] CANCEL_BUY,0oVAF91nA3 
[56100] ADD,0oVAF91nA3,42855.49 
[56120] BUY,0oVAF91nA3,ZSV,632.74 
[56144] COMMIT_BUY,0oVAF91nA3 
[56256] ADD,0oVAF91nA3,91527.84 
[56277] BUY,0oVAF91nA3,LMB,491.48 
[56396] CANCEL_SET_BUY,0oVAF91nA3,YJK 
[56445] DISPLAY_SUMMARY,0oVAF91nA3 
[56496] DISPLAY_SUMMARY,0oVAF91nA3 
[56502] BUY,0oVAF91nA3,SOT,330.60 
[56528] COMMIT_BUY,0oVAF91nA3 
[56739] QUOTE,0oVAF91nA3,KPE 
[56833] CANCEL_SET_BUY,0oVAF91nA3,WYO 
[57065] SET_SELL_AMOUNT,0oVAF91nA3,CUZ,351.02 
[57169] SET_SELL_TRIGGER,0oVAF91nA3,CUZ,154.08 
[57295] ADD,0oVAF91nA3,90144.20 
[57304] QUOTE,0oVAF91nA3,ILT 
[57558] QUOTE,0oVAF91nA3,IFQ 
[57787] BUY,0oVAF91nA3,FVA,585.95 
[58115] CANCEL_BUY,0oVAF91nA3 
[58328] BUY,0oVAF91nA3,NGH,568.50 
[58398] CANCEL_BUY,0oVAF91nA3 
[58944] DISPLAY_SUMMARY,0oVAF91nA3 
[59037] SET_SELL_AMOUNT,0oVAF91nA3,UTV,243.10 
[59102] SET_SELL_TRIGGER,0oVAF91nA3,UTV,18.11 
[59157] SET_BUY_AMOUNT,0oVAF91nA3,JQO,210.04 
[59243] SET_BUY_TRIGGER,0oVAF91nA3,NOP,99.40 
[59414] BUY,0oVAF91nA3,SYT,288.61 
[59613] CANCEL_SELL,0oVAF91nA3 
[59733] SET_SELL_TRIGGER,0oVAF91nA3,YEW,41.36 
[59750] SET_SELL_AMOUNT,0oVAF91nA3,RNK,312.35 
[60264] SET_SELL_TRIGGER,0oVAF91nA3,RNK,155.54 
[60496] SET_BUY_AMOUNT,0oVAF91nA3,PTP,244.79 
[60539] SET_BUY_TRIGGER,0oVAF91nA3,DMS,53.50 
[60631] SELL,0oVAF91nA3,JCQ,537.12 
[60700] COMMIT_SELL,0oVAF91nA3 
[60722] ADD,0oVAF91nA3,71667.96 
[60743] QUOTE,0oVAF91nA3,VCN 
[60784] DISPLAY_SUMMARY,0oVAF91nA3 
[60815] BUY,0oVAF91nA3,FLD,335.69 
[60863] SET_SELL_TRIGGER,0oVAF91nA3,YBB,143.96 
[60913] DISPLAY_SUMMARY,0oVAF91nA3 
[60935] SET_BUY_AMOUNT,0oVAF91nA3,JQO,565.18 
[60981] SET_BUY_TRIGGER,0oVAF91nA3,GXT,309.31 
[60993] CANCEL_SET_SELL,0oVAF91nA3,ZNW 
[61146] SET_SELL_TRIGGER,0oVAF91nA3,VKB,80.02 
[61297] ADD,0oVAF91nA3,55394.84 
[61499] QUOTE,0oVAF91nA3,VKP 
[61553] ADD,0oVAF91nA3,54508.34 
[61598] QUOTE,0oVAF91nA3,AMI 
[61611] QUOTE,0oVAF91nA3,KVJ 
[61687] BUY,0oVAF91nA3,GKD,141.91 
[61916] COMMIT_BUY,0oVAF91nA3 
[61934] DISPLAY_SUMMARY,0oVAF91nA3 
[61948] SET_SELL_AMOUNT,0oVAF91nA3,OPN,57.27 
[62028] SET_SELL_TRIGGER,0oVAF91nA3,OPN,36.87 
[62145] SET_BUY_TRIGGER,0oVAF91nA3,NVN,7.72 
[62154] SET_BUY_AMOUNT,0oVAF91nA3,JCQ,741.96 
[62187] SET_BUY_TRIGGER,0oVAF91nA3,GTN,373.95 
[62204] QUOTE,0oVAF91nA3,TFZ 
[62209] BUY,0oVAF91nA3,LUD,106.75 
[62285] COMMIT_BUY,0oVAF91nA3 
[62306] DISPLAY_SUMMARY,0oVAF91nA3 
[62367] SET_BUY_TRIGGER,0oVAF91nA3,JQJ,160.53 
[62591] DISPLAY_SUMMARY,0oVAF91nA3 
[62687] CANCEL_SET_SELL,0oVAF91nA3,JIO 
[62939] ADD,0oVAF91nA3,85004.89 
[62980] QUOTE,0oVAF91nA3,SXB 
[63176] BUY,0oVAF91nA3,AOH,424.50 
[63184] COMMIT_BUY,0oVAF91nA3 
[63305] QUOTE,0oVAF91nA3,BMW 
[63405] SET_BUY_TRIGGER,0oVAF91nA3,LSG,78.95 
[63826] DISPLAY_SUMMARY,0oVAF91nA3 
[63880] QUOTE,0oVAF91nA3,SJH 
[63894] QUOTE,0oVAF91nA3,SWJ 
[64104] SET_BUY_AMOUNT,0oVAF91nA3,QGE,695.34 
[64157] CANCEL_SET_BUY,0oVAF91nA3,PVH 
[64169] ADD,0oVAF91nA3,51176.85 
[64180] QUOTE,0oVAF91nA3,OPN 
[64308] COMMIT_BUY,0oVAF91nA3 
[64371] SET_BUY_AMOUNT,0oVAF91nA3,RGH,642.49 
[64577] SET_BUY_TRIGGER,0oVAF91nA3,RGM,617.03 
[65034] SELL,0oVAF91nA3,KDA,355.96 
[65258] DISPLAY_SUMMARY,0oVAF91nA3 
[65405] ADD,0oVAF91nA3,56608.25 
[65480] QUOTE,0oVAF91nA3,TFZ 
[65506] BUY,0oVAF91nA3,NZS,321.43 
[65580] COMMIT_BUY,0oVAF91nA3 
[65638] SET_BUY_TRIGGER,0oVAF91nA3,AUX,112.06 
[65658] SET_SELL_AMOUNT,0oVAF91nA3,UBJ,127.49 
[66072] SET_SELL_TRIGGER,0oVAF91nA3,UBJ,30.65 
[66199] BUY,0oVAF91nA3,WNX,30.92 
[66242] DISPLAY_SUMMARY,0oVAF91nA3 
[66256] ADD,0oVAF91nA3,45804.70 
[66265] QUOTE,0oVAF91nA3,FIY 
[66327] QUOTE,0oVAF91nA3,EAK 
[66395] ADD,0oVAF91nA3,26991.13 
[66583] BUY,0oVAF91nA3,KCA,40.68 
[66587] COMMIT_BUY,0oVAF91nA3 
[66674] SET_BUY_TRIGGER,0oVAF91nA3,ZOW,193.06 
[66946] QUOTE,0oVAF91nA3,KGA 
[67110] QUOTE,0oVAF91nA3,LSK 
[67123] ADD,0oVAF91nA3,59007.03 
[67218] BUY,0oVAF91nA3,DED,521.02 
[67469] SET_SELL_AMOUNT,0oVAF91nA3,UBJ,264.24 
[67479] SET_SELL_TRIGGER,0oVAF91nA3,UBJ,153.57 
[67534] SET_SELL_TRIGGER,0oVAF91nA3,VIG,100.02 
[67696] ADD,0oVAF91nA3,84899.09 
[67758] BUY,0oVAF91nA3,NFO,260.90 
[67876] COMMIT_BUY,0oVAF91nA3 
[67969] BUY,0oVAF91nA3,MZT,1.22 
[68198] COMMIT_BUY,0oVAF91nA3 
[68277] SET_SELL_AMOUNT,0oVAF91nA3,UIE,589.70 
[68431] SET_SELL_TRIGGER,0oVAF91nA3,UIE,279.29 
[68525] SELL,0oVAF91nA3,EBS,256.67 
[68636] COMMIT_SELL,0oVAF91nA3 
[68659] DISPLAY_SUMMARY,0oVAF91nA3 
[68721] SET_SELL_AMOUNT,0oVAF91nA3,KES,468.21 
[68738] SET_SELL_TRIGGER,0oVAF91nA3,KES,379.15 
[68819] QUOTE,0oVAF91nA3,NFO 
[68854] QUOTE,0oVAF91nA3,MWJ 
[68961] ADD,0oVAF91nA3,85619.79 
[69149] BUY,0oVAF91nA3,GRD,699.33 
[69222] COMMIT_BUY,0oVAF91nA3 
[69532] DISPLAY_SUMMARY,0oVAF91nA3 
[69544] ADD,0oVAF91nA3,53625.53 
[69878] BUY,0oVAF91nA3,MAX,537.48 
[69906] SET_BUY_AMOUNT,0oVAF91nA3,OPN,49.41 
[69909] SET_BUY_TRIGGER,0oVAF91nA3,SPT,33.53 
[69982] QUOTE,0oVAF91nA3,LMB 
[70430] SET_BUY_TRIGGER,0oVAF91nA3,JVT,128.69 
[70503] SET_BUY_AMOUNT,0oVAF91nA3,KES,373.17 
[70587] SET_BUY_TRIGGER,0oVAF91nA3,WBX,310.05 
[70816] SET_BUY_AMOUNT,0oVAF91nA3,SSF,508.94 
[70865] SET_BUY_TRIGGER,0oVAF91nA3,VNO,20.13 
[70926] DISPLAY_SUMMARY,0oVAF91nA3 
[71363] QUOTE,0oVAF91nA3,RWM 
[71391] SET_BUY_TRIGGER,0oVAF91nA3,FVA,36.63 
[71410] SET_SELL_TRIGGER,0oVAF91nA3,OEX,46.01 
[71696] SET_SELL_AMOUNT,0oVAF91nA3,ZYR,478.39 
[72001] SET_SELL_TRIGGER,0oVAF91nA3,ZYR,6.07 
[72019] ADD,0oVAF91nA3,82348.23 
[72074] BUY,0oVAF91nA3,RQS,405.07 
[72155] SET_SELL_AMOUNT,0oVAF91nA3,VTY,696.03 
[72353] DISPLAY_SUMMARY,0oVAF91nA3 
[72383] ADD,0oVAF91nA3,41446.79 
[72387] QUOTE,0oVAF91nA3,PLB 
[72677] DISPLAY_SUMMARY,0oVAF91nA3 
[72684] DISPLAY_SUMMARY,0oVAF91nA3 
[72693] BUY,0oVAF91nA3,CCH,184.24 
[72731] COMMIT_BUY,0oVAF91nA3 
[72871] SET_BUY_AMOUNT,0oVAF91nA3,BCQ,58.31 
[72959] SET_BUY_TRIGGER,0oVAF91nA3,LTB,11.26 
[73062] SET_SELL_AMOUNT,0oVAF91nA3,FQP,680.37 
[73183] SET_SELL_TRIGGER,0oVAF91nA3,FQP,9.33 
[73275] QUOTE,0oVAF91nA3,KJM 
[73378] QUOTE,0oVAF91nA3,JDW 
[73389] BUY,0oVAF91nA3,NDD,382.24 
[73454] COMMIT_BUY,0oVAF91nA3 
[73728] SELL,0oVAF91nA3,ZYR,40.31 
[73781] BUY,0oVAF91nA3,BEG,1.78 
[73851] COMMIT_BUY,0oVAF91nA3 
[73918] DISPLAY_SUMMARY,0oVAF91nA3 
[73958] DISPLAY_SUMMARY,0oVAF91nA3 
[74006] SET_BUY_TRIGGER,0oVAF91nA3,KCS,177.64 
[74009] SELL,0oVAF91nA3,SSF,79.12 
[74064] SET_SELL_AMOUNT,0oVAF91nA3,PTP,85.03 
[74078] SET_SELL_TRIGGER,0oVAF91nA3,PTP,0.93 
[74128] ADD,0oVAF91nA3,117995.41 
[74129] CANCEL_SELL,0oVAF91nA3 
[74137] QUOTE,0oVAF91nA3,UMV 
[74166] CANCEL_SELL,0oVAF91nA3 
[74322] SET_BUY_AMOUNT,0oVAF91nA3,CBO,411.59 
[74392] DISPLAY_SUMMARY,0oVAF91nA3 
[74466] SET_SELL_TRIGGER,0oVAF91nA3,DWK,186.09 
[74467] SET_BUY_TRIGGER,0oVAF91nA3,DPG,94.78 
[74513] COMMIT_BUY,0oVAF91nA3 
[74663] SET_BUY_AMOUNT,0oVAF91nA3,CUZ,94.85 
[74753] SET_BUY_TRIGGER,0oVAF91nA3,PRJ,83.51 
[74865] DISPLAY_SUMMARY,0oVAF91nA3 
[74932] SET_SELL_AMOUNT,0oVAF91nA3,OPN,474.42 
[74935] SET_SELL_TRIGGER,0oVAF91nA3,OPN,222.97 
[74995] DISPLAY_SUMMARY,0oVAF91nA3 
[75166] DISPLAY_SUMMARY,0oVAF91nA3 
[75230] DISPLAY_SUMMARY,0oVAF91nA3 
[75328] BUY,0oVAF91nA3,ISQ,624.02 
[75348] COMMIT_BUY,0oVAF91nA3 
[75410] SET_SELL_TRIGGER,0oVAF91nA3,PXF,102.60 
[75411] ADD,0oVAF91nA3,80921.98 
[75433] QUOTE,0oVAF91nA3,IEQ 
[75535] QUOTE,0oVAF91nA3,TUO 
[75546] SET_SELL_AMOUNT,0oVAF91nA3,SSF,141.78 
[75584] SET_SELL_TRIGGER,0oVAF91nA3,SSF,117.99 
[75608] SET_BUY_AMOUNT,0oVAF91nA3,QGE,539.10 
[75635] SET_BUY_TRIGGER,0oVAF91nA3,JKX,146.62 
[75732] SET_SELL_TRIGGER,0oVAF91nA3,TSF,149.20 
[75756] ADD,0oVAF91nA3,66604.66 
[75843] CANCEL_SELL,0oVAF91nA3 
[75881] SET_BUY_AMOUNT,0oVAF91nA3,CUZ,296.52 
[76023] SET_BUY_TRIGGER,0oVAF91nA3,FYA,275.60 
[76025] SET_SELL_TRIGGER,0oVAF91nA3,URY,162.57 
[76157] SELL,0oVAF91nA3,KDA,634.60 
[76288] COMMIT_SELL,0oVAF91nA3 
[76464] DISPLAY_SUMMARY,0oVAF91nA3 
[76530] SELL,0oVAF91nA3,FQP,85.82 
[76614] COMMIT_SELL,0oVAF91nA3 
[76744] ADD,0oVAF91nA3,69491.43 
[76762] CANCEL_SET_SELL,0oVAF91nA3,BFB 
[76775] ADD,0oVAF91nA3,80420.21 
[76905] BUY,0oVAF91nA3,XQG,698.54 
[77714] DISPLAY_SUMMARY,0oVAF91nA3 
[77718] DISPLAY_SUMMARY,0oVAF91nA3 
[78253] QUOTE,0oVAF91nA3,GIX 
[78273] QUOTE,0oVAF91nA3,JMG 
[78516] QUOTE,0oVAF91nA3,GWF 
[78586] QUOTE,0oVAF91nA3,OGR 
[78657] BUY,0oVAF91nA3,VYQ,167.20 
[79029] COMMIT_BUY,0oVAF91nA3 
[79077] ADD,0oVAF91nA3,82128.02 
[79090] QUOTE,0oVAF91nA3,FWW 
[79098] BUY,0oVAF91nA3,YIQ,84.38 
[79140] SELL,0oVAF91nA3,ZTI,152.02 
[79243] COMMIT_SELL,0oVAF91nA3 
[79533] ADD,0oVAF91nA3,80256.00 
[79536] QUOTE,0oVAF91nA3,GZQ 
[79751] CANCEL_SET_SELL,0oVAF91nA3,CTT 
[79791] QUOTE,0oVAF91nA3,XOL 
[79872] SET_BUY_TRIGGER,0oVAF91nA3,LLZ,91.21 
[79894] BUY,0oVAF91nA3,HTN,476.48 
[79951] COMMIT_BUY,0oVAF91nA3 
[79962] ADD,0oVAF91nA3,73203.46 
[79970] QUOTE,0oVAF91nA3,AUX 
[79997] SET_SELL_TRIGGER,0oVAF91nA3,LBC,111.88 
[80010] ADD,0oVAF91nA3,36806.37 
[80094] DISPLAY_SUMMARY,0oVAF91nA3 
[80217] SET_SELL_TRIGGER,0oVAF91nA3,AZN,199.14 
[80280] QUOTE,0oVAF91nA3,DBS 
[80384] QUOTE,0oVAF91nA3,BZX 
[80466] ADD,0oVAF91nA3,61752.40 
[80524] SET_SELL_TRIGGER,0oVAF91nA3,RRZ,60.79 
[80526] QUOTE,0oVAF91nA3,ONI 
[80590] QUOTE,0oVAF91nA3,FQR 
[80696] QUOTE,0oVAF91nA3,ZKV 
[80769] SET_BUY_TRIGGER,0oVAF91nA3,WLT,170.93 
[80807] BUY,0oVAF91nA3,ONI,0.94 
[80841] SELL,0oVAF91nA3,ZYR,144.88 
[81023] SET_SELL_AMOUNT,0oVAF91nA3,BYA,450.01 
[81220] CANCEL_SET_SELL,0oVAF91nA3,BYA 
[81222] ADD,0oVAF91nA3,53059.96 
[81224] BUY,0oVAF91nA3,OOI,305.05 
[81244] COMMIT_BUY,0oVAF91nA3 
[81312] CANCEL_SET_SELL,0oVAF91nA3,FNY 
[81408] SET_BUY_TRIGGER,0oVAF91nA3,UDQ,120.96 
[81593] SELL,0oVAF91nA3,RNK,83.46 
[81630] DISPLAY_SUMMARY,0oVAF91nA3 
[82420] CANCEL_BUY,0oVAF91nA3 
[82487] SET_BUY_TRIGGER,0oVAF91nA3,LKV,88.74 
[82551] ADD,0oVAF91nA3,93880.42 
[82792] BUY,0oVAF91nA3,OXV,341.82 
[82841] BUY,0oVAF91nA3,JXR,571.03 
[83080] QUOTE,0oVAF91nA3,CNN 
[83116] ADD,0oVAF91nA3,44150.48 
[83283] BUY,0oVAF91nA3,XSS,18.79 
[83381] COMMIT_BUY,0oVAF91nA3 
[83405] BUY,0oVAF91nA3,GAV,578.77 
[83452] COMMIT_BUY,0oVAF91nA3 
[83542] SET_SELL_AMOUNT,0oVAF91nA3,RNK,144.28 
[83554] SET_SELL_TRIGGER,0oVAF91nA3,RNK,124.13 
[83575] BUY,0oVAF91nA3,YRL,497.73 
[83615] SET_SELL_AMOUNT,0oVAF91nA3,QGE,213.79 
[83660] SET_SELL_TRIGGER,0oVAF91nA3,QGE,197.14 
[83779] SELL,0oVAF91nA3,MFX,738.13 
[83806] COMMIT_SELL,0oVAF91nA3 
[83963] ADD,0oVAF91nA3,74162.26 
[84158] QUOTE,0oVAF91nA3,JEA 
[84311] DISPLAY_SUMMARY,0oVAF91nA3 
[84401] QUOTE,0oVAF91nA3,CCH 
[84469] SELL,0oVAF91nA3,KES,82.70 
[84550] SET_BUY_TRIGGER,0oVAF91nA3,BRT,57.28 
[84583] SET_BUY_AMOUNT,0oVAF91nA3,AVX,233.21 
[84620] SET_BUY_TRIGGER,0oVAF91nA3,UGT,177.78 
[84665] SET_BUY_TRIGGER,0oVAF91nA3,LSM,150.37 
[84668] ADD,0oVAF91nA3,50493.33 
[84876] QUOTE,0oVAF91nA3,LZV 
[85071] COMMIT_BUY,0oVAF91nA3 
[85134] QUOTE,0oVAF91nA3,QQW 
[85416] QUOTE,0oVAF91nA3,MMF 
[85510] SET_BUY_AMOUNT,0oVAF91nA3,DFE,436.00 
[85518] SET_BUY_TRIGGER,0oVAF91nA3,RQF,116.41 
[85524] SET_BUY_AMOUNT,0oVAF91nA3,KBN,290.08 
[85818] SET_BUY_TRIGGER,0oVAF91nA3,ZFK,123.39 
[85940] BUY,0oVAF91nA3,HYX,22.62 
[86339] QUOTE,0oVAF91nA3,XXP 
[86351] QUOTE,0oVAF91nA3,JPD 
[86385] QUOTE,0oVAF91nA3,IAV 
[86500] QUOTE,0oVAF91nA3,IBT 
[86572] ADD,0oVAF91nA3,67698.45 
[86581] QUOTE,0oVAF91nA3,RRE 
[86664] QUOTE,0oVAF91nA3,FXT 
[86666] DISPLAY_SUMMARY,0oVAF91nA3 
[86707] BUY,0oVAF91nA3,XXN,651.67 
[86712] COMMIT_BUY,0oVAF91nA3 
[86745] DISPLAY_SUMMARY,0oVAF91nA3 
[86813] ADD,0oVAF91nA3,63319.36 
[86868] QUOTE,0oVAF91nA3,BYM 
[87092] ADD,0oVAF91nA3,84559.41 
[87103] BUY,0oVAF91nA3,LBC,380.27 
[87403] COMMIT_BUY,0oVAF91nA3 
[87511] SELL,0oVAF91nA3,OPN,429.52 
[87747] COMMIT_SELL,0oVAF91nA3 
[87918] SET_BUY_AMOUNT,0oVAF91nA3,XLK,235.38 
[87947] SET_BUY_TRIGGER,0oVAF91nA3,VWU,209.66 
[88025] SET_SELL_AMOUNT,0oVAF91nA3,LFU,192.86 
[88083] SET_SELL_TRIGGER,0oVAF91nA3,LFU,8.76 
[88298] QUOTE,0oVAF91nA3,FVA 
[88491] BUY,0oVAF91nA3,UCG,487.73 
[88520] COMMIT_BUY,0oVAF91nA3 
[88531] DISPLAY_SUMMARY,0oVAF91nA3 
[88615] BUY,0oVAF91nA3,XFW,175.58 
[88621] CANCEL_BUY,0oVAF91nA3 
[88927] SET_SELL_AMOUNT,0oVAF91nA3,VTY,708.04 
[88989] SET_SELL_TRIGGER,0oVAF91nA3,VTY,422.91 
[89109] CANCEL_SET_SELL,0oVAF91nA3,ZMK 
[89181] QUOTE,0oVAF91nA3,ZER 
[89199] ADD,0oVAF91nA3,75176.71 
[89490] QUOTE,0oVAF91nA3,NHG 
[89565] COMMIT_BUY,0oVAF91nA3 
[89886] CANCEL_BUY,0oVAF91nA3 
[90107] BUY,0oVAF91nA3,QJZ,192.42 
[90249] ADD,0oVAF91nA3,67439.77 
[90314] BUY,0oVAF91nA3,TCP,113.84 
[90554] COMMIT_BUY,0oVAF91nA3 
[90587] QUOTE,0oVAF91nA3,LNJ 
[90700] ADD,0oVAF91nA3,60886.61 
[90806] QUOTE,0oVAF91nA3,XTH 
[90813] BUY,0oVAF91nA3,IVV,303.70 
[90920] COMMIT_BUY,0oVAF91nA3 
[90963] SET_BUY_AMOUNT,0oVAF91nA3,TVI,315.22 
[91007] SET_BUY_TRIGGER,0oVAF91nA3,MOM,92.97 
[91090] BUY,0oVAF91nA3,WTL,181.98 
[91131] COMMIT_BUY,0oVAF91nA3 
[91183] COMMIT_SELL,0oVAF91nA3 
[91286] SET_BUY_TRIGGER,0oVAF91nA3,LQN,146.38 
[91413] DISPLAY_SUMMARY,0oVAF91nA3 
[91453] SET_BUY_TRIGGER,0oVAF91nA3,RDN,143.65 
[91763] SET_BUY_TRIGGER,0oVAF91nA3,HSH,136.05 
[91849] ADD,0oVAF91nA3,53843.20 
[91898] QUOTE,0oVAF91nA3,HIN 
[91956] COMMIT_BUY,0oVAF91nA3 
[91970] SELL,0oVAF91nA3,CUZ,383.50 
[92057] SET_SELL_TRIGGER,0oVAF91nA3,AVX,130.17 
[92230] DISPLAY_SUMMARY,0oVAF91nA3 
[92283] DISPLAY_SUMMARY,0oVAF91nA3 
[92295] BUY,0oVAF91nA3,UGG,480.99 
[92310] QUOTE,0oVAF91nA3,NFQ 
[92324] DISPLAY_SUMMARY,0oVAF91nA3 
[92334] SELL,0oVAF91nA3,QVK,369.13 
[92435] DISPLAY_SUMMARY,0oVAF91nA3 
[92481] ADD,0oVAF91nA3,64103.10 
[92514] BUY,0oVAF91nA3,LZV,631.59 
[92553] COMMIT_BUY,0oVAF91nA3 
[92556] CANCEL_SET_SELL,0oVAF91nA3,PVZ 
[92595] ADD,0oVAF91nA3,75356.15 
[92700] BUY,0oVAF91nA3,MER,671.12 
[92705] CANCEL_BUY,0oVAF91nA3 
[92711] DISPLAY_SUMMARY,0oVAF91nA3 
[92717] SET_BUY_AMOUNT,0oVAF91nA3,LFU,459.61 
[92734] SET_BUY_TRIGGER,0oVAF91nA3,HSH,56.55 
[92753] BUY,0oVAF91nA3,LEA,488.72 
[92825] COMMIT_BUY,0oVAF91nA3 
[92957] DISPLAY_SUMMARY,0oVAF91nA3 
[92958] SET_SELL_AMOUNT,0oVAF91nA3,CEC,300.17 
[93170] SET_SELL_TRIGGER,0oVAF91nA3,CEC,259.57 
[93205] SELL,0oVAF91nA3,LZV,100.94 
[93394] SET_SELL_AMOUNT,0oVAF91nA3,UTV,540.77 
[93395] SET_SELL_TRIGGER,0oVAF91nA3,UTV,200.80 
[93536] SET_BUY_TRIGGER,0oVAF91nA3,KHY,153.03 
[93581] QUOTE,0oVAF91nA3,SDW 
[93629] ADD,0oVAF91nA3,55642.46 
[93688] QUOTE,0oVAF91nA3,WNU 
[93716] QUOTE,0oVAF91nA3,TUO 
[93722] BUY,0oVAF91nA3,VVV,495.94 
[93755] SELL,0oVAF91nA3,VTY,197.52 
[93815] COMMIT_SELL,0oVAF91nA3 
[93863] ADD,0oVAF91nA3,62029.94 
[93888] QUOTE,0oVAF91nA3,DBC 
[93963] BUY,0oVAF91nA3,YEW,76.18 
[94121] QUOTE,0oVAF91nA3,VIG 
[94153] QUOTE,0oVAF91nA3,YWK 
[94225] SET_SELL_AMOUNT,0oVAF91nA3,FDI,744.81 
[94238] SET_SELL_TRIGGER,0oVAF91nA3,FDI,685.20 
[94439] SET_BUY_AMOUNT,0oVAF91nA3,KYX,68.66 
[94518] SET_BUY_TRIGGER,0oVAF91nA3,CMA,38.36 
[94530] DISPLAY_SUMMARY,0oVAF91nA3 
[94810] SELL,0oVAF91nA3,QJZ,432.66 
[94920] CANCEL_BUY,0oVAF91nA3 
[94971] QUOTE,0oVAF91nA3,NNW 
[95045] ADD,0oVAF91nA3,72735.76 
[95057] CANCEL_SET_SELL,0oVAF91nA3,KGA 
[95105] SELL,0oVAF91nA3,GYF,24.78 
[95210] COMMIT_SELL,0oVAF91nA3 
[95252] SET_SELL_AMOUNT,0oVAF91nA3,RGH,561.05 
[95258] SET_SELL_TRIGGER,0oVAF91nA3,RGH,164.44 
[95281] ADD,0oVAF91nA3,87558.98 
[95582] QUOTE,0oVAF91nA3,EOS 
[95634] BUY,0oVAF91nA3,BBD,491.05 
[95773] COMMIT_BUY,0oVAF91nA3 
[95800] BUY,0oVAF91nA3,GPW,557.38 
[95914] COMMIT_BUY,0oVAF91nA3 
