[52] ADD,hrINHOrbWw,100431.52 
[48340] SET_BUY_TRIGGER,hrINHOrbWw,ZOW,79.32 
[48536] SET_BUY_TRIGGER,hrINHOrbWw,GHE,113.65 
[48647] ADD,hrINHOrbWw,78207.81 
[48667] BUY,hrINHOrbWw,RLS,382.90 
[48686] COMMIT_BUY,hrINHOrbWw 
[48712] ADD,hrINHOrbWw,92613.12 
[48973] QUOTE,hrINHOrbWw,RXB 
[48976] COMMIT_BUY,hrINHOrbWw 
[49137] ADD,hrINHOrbWw,52922.06 
[49338] QUOTE,hrINHOrbWw,RGM 
[49346] BUY,hrINHOrbWw,XXN,694.81 
[49355] SET_SELL_TRIGGER,hrINHOrbWw,GRD,56.10 
[49380] ADD,hrINHOrbWw,79198.12 
[49470] QUOTE,hrINHOrbWw,KPU 
[49521] BUY,hrINHOrbWw,NIR,731.47 
[49584] COMMIT_BUY,hrINHOrbWw 
[49602] SELL,hrINHOrbWw,XXQ,592.68 
[49831] SET_BUY_TRIGGER,hrINHOrbWw,NLT,26.63 
[49851] SET_SELL_AMOUNT,hrINHOrbWw,EBS,334.87 
[50012] SET_SELL_TRIGGER,hrINHOrbWw,EBS,176.40 
[50071] ADD,hrINHOrbWw,72586.31 
[50081] BUY,hrINHOrbWw,QNK,135.25 
[50110] CANCEL_SET_SELL,hrINHOrbWw,UUJ 
[50196] SELL,hrINHOrbWw,AVX,186.80 
[50350] QUOTE,hrINHOrbWw,ZFT 
[50428] SET_SELL_AMOUNT,hrINHOrbWw,BCQ,719.46 
[50583] SET_SELL_TRIGGER,hrINHOrbWw,BCQ,129.08 
[50828] ADD,hrINHOrbWw,67300.23 
[50952] BUY,hrINHOrbWw,IQJ,590.33 
[51029] CANCEL_BUY,hrINHOrbWw 
[51060] BUY,hrINHOrbWw,NDJ,413.82 
[51236] SET_SELL_AMOUNT,hrINHOrbWw,NHG,203.88 
[51259] CANCEL_SET_SELL,hrINHOrbWw,NHG 
[51342] DISPLAY_SUMMARY,hrINHOrbWw 
[51379] BUY,hrINHOrbWw,WZY,244.10 
[51527] CANCEL_BUY,hrINHOrbWw 
[51604] SET_SELL_TRIGGER,hrINHOrbWw,MIU,191.13 
[51842] BUY,hrINHOrbWw,WJS,333.41 
[51854] CANCEL_SET_BUY,hrINHOrbWw,MVY 
[52014] ADD,hrINHOrbWw,62411.35 
[52129] BUY,hrINHOrbWw,LRS,440.03 
[52382] SET_BUY_TRIGGER,hrINHOrbWw,LLF,72.00 
[52420] BUY,hrINHOrbWw,UXP,46.40 
[52446] COMMIT_BUY,hrINHOrbWw 
[52476] SET_SELL_AMOUNT,hrINHOrbWw,RNK,260.91 
[52517] QUOTE,hrINHOrbWw,NJF 
[52534] SET_SELL_AMOUNT,hrINHOrbWw,PTP,497.56 
[52696] SET_SELL_TRIGGER,hrINHOrbWw,PTP,385.24 
[52888] CANCEL_SELL,hrINHOrbWw 
[52982] ADD,hrINHOrbWw,61654.69 
[52990] QUOTE,hrINHOrbWw,JHY 
[53102] SET_SELL_AMOUNT,hrINHOrbWw,JQO,384.08 
[53105] SET_SELL_TRIGGER,hrINHOrbWw,JQO,18.23 
[53132] BUY,hrINHOrbWw,KZQ,343.67 
[53140] COMMIT_SELL,hrINHOrbWw 
[53252] SET_SELL_AMOUNT,hrINHOrbWw,FDI,658.64 
[53340] CANCEL_SET_SELL,hrINHOrbWw,FDI 
[53630] BUY,hrINHOrbWw,CBK,346.05 
[53659] COMMIT_BUY,hrINHOrbWw 
[53811] ADD,hrINHOrbWw,72514.15 
[53834] QUOTE,hrINHOrbWw,HTN 
[53878] ADD,hrINHOrbWw,73504.66 
[53970] CANCEL_SET_BUY,hrINHOrbWw,GHE 
[54117] SELL,hrINHOrbWw,NHG,2.96 
[54192] CANCEL_SELL,hrINHOrbWw 
[54195] QUOTE,hrINHOrbWw,VIG 
[54240] SET_BUY_AMOUNT,hrINHOrbWw,QJZ,515.95 
[54274] QUOTE,hrINHOrbWw,YBP 
[54329] SET_SELL_TRIGGER,hrINHOrbWw,MLT,47.18 
[54366] ADD,hrINHOrbWw,63798.76 
[54388] COMMIT_SELL,hrINHOrbWw 
[54390] QUOTE,hrINHOrbWw,ZQC 
[54595] CANCEL_SELL,hrINHOrbWw 
[54656] SET_BUY_AMOUNT,hrINHOrbWw,RUN,710.17 
[54742] BUY,hrINHOrbWw,LSG,375.57 
[54788] CANCEL_SET_BUY,hrINHOrbWw,VEX 
[54868] SET_BUY_AMOUNT,hrINHOrbWw,BYA,106.43 
[54953] BUY,hrINHOrbWw,NLT,534.98 
[54958] COMMIT_BUY,hrINHOrbWw 
[55019] SET_BUY_AMOUNT,hrINHOrbWw,DFE,329.45 
[55133] CANCEL_SET_BUY,hrINHOrbWw,KPP 
[55187] DISPLAY_SUMMARY,hrINHOrbWw 
[55343] ADD,hrINHOrbWw,71350.62 
[55543] QUOTE,hrINHOrbWw,GYF 
[55602] BUY,hrINHOrbWw,JMG,686.03 
[55634] CANCEL_BUY,hrINHOrbWw 
[55662] ADD,hrINHOrbWw,49769.84 
[55804] BUY,hrINHOrbWw,QVK,73.41 
[55868] DISPLAY_SUMMARY,hrINHOrbWw 
[55878] ADD,hrINHOrbWw,80880.16 
[55886] SELL,hrINHOrbWw,JQO,297.00 
[55899] CANCEL_SET_SELL,hrINHOrbWw,MRH 
[56039] ADD,hrINHOrbWw,98706.09 
[56411] QUOTE,hrINHOrbWw,PXX 
[56551] ADD,hrINHOrbWw,66306.57 
[56758] QUOTE,hrINHOrbWw,KCS 
[56872] SET_BUY_AMOUNT,hrINHOrbWw,LFU,552.00 
[56939] SET_BUY_TRIGGER,hrINHOrbWw,JUV,361.15 
[57097] BUY,hrINHOrbWw,UTL,639.81 
[57191] SET_BUY_AMOUNT,hrINHOrbWw,ZYR,106.22 
[57399] SET_BUY_TRIGGER,hrINHOrbWw,OEX,68.14 
[57435] SELL,hrINHOrbWw,EBS,719.11 
[57597] BUY,hrINHOrbWw,SPL,212.94 
[57624] COMMIT_BUY,hrINHOrbWw 
[57760] QUOTE,hrINHOrbWw,QNW 
[57927] DISPLAY_SUMMARY,hrINHOrbWw 
[57963] SET_BUY_AMOUNT,hrINHOrbWw,QGE,174.56 
[57982] SET_BUY_TRIGGER,hrINHOrbWw,CXB,57.35 
[58017] SELL,hrINHOrbWw,YJK,391.29 
[58035] COMMIT_SELL,hrINHOrbWw 
[58042] SET_SELL_AMOUNT,hrINHOrbWw,OPN,373.35 
[58261] SET_SELL_TRIGGER,hrINHOrbWw,OPN,59.03 
[58290] DISPLAY_SUMMARY,hrINHOrbWw 
[58298] SELL,hrINHOrbWw,FDI,584.62 
[58514] COMMIT_SELL,hrINHOrbWw 
[58593] ADD,hrINHOrbWw,61849.33 
[58647] QUOTE,hrINHOrbWw,KJD 
[58895] BUY,hrINHOrbWw,DLQ,589.25 
[58924] SET_BUY_TRIGGER,hrINHOrbWw,SKV,157.03 
[58986] ADD,hrINHOrbWw,62753.43 
[59175] QUOTE,hrINHOrbWw,PUN 
[59179] DISPLAY_SUMMARY,hrINHOrbWw 
[59276] QUOTE,hrINHOrbWw,AVI 
[59336] QUOTE,hrINHOrbWw,TWJ 
[59340] SET_BUY_TRIGGER,hrINHOrbWw,KLE,53.97 
[59354] BUY,hrINHOrbWw,QGE,614.10 
[59388] COMMIT_BUY,hrINHOrbWw 
[59411] SET_SELL_TRIGGER,hrINHOrbWw,BEG,17.44 
[59438] SET_BUY_TRIGGER,hrINHOrbWw,YBP,16.16 
[59979] SET_SELL_TRIGGER,hrINHOrbWw,VJV,100.01 
[60578] SET_SELL_TRIGGER,hrINHOrbWw,BZH,165.26 
[60676] ADD,hrINHOrbWw,81900.02 
[60707] QUOTE,hrINHOrbWw,DKV 
[60735] QUOTE,hrINHOrbWw,QXE 
[60750] BUY,hrINHOrbWw,NFV,168.88 
[60807] SET_BUY_TRIGGER,hrINHOrbWw,WGV,52.11 
[61085] DISPLAY_SUMMARY,hrINHOrbWw 
[61301] BUY,hrINHOrbWw,NVN,363.08 
[61370] COMMIT_BUY,hrINHOrbWw 
[61441] SET_SELL_TRIGGER,hrINHOrbWw,NXF,168.21 
[61601] DISPLAY_SUMMARY,hrINHOrbWw 
[61831] DISPLAY_SUMMARY,hrINHOrbWw 
[61877] DISPLAY_SUMMARY,hrINHOrbWw 
[61987] ADD,hrINHOrbWw,80005.50 
[62101] COMMIT_BUY,hrINHOrbWw 
[62322] SELL,hrINHOrbWw,QGE,618.31 
[62407] COMMIT_SELL,hrINHOrbWw 
[62434] QUOTE,hrINHOrbWw,RLS 
[62450] BUY,hrINHOrbWw,JYV,553.49 
[62499] COMMIT_BUY,hrINHOrbWw 
[62579] SET_SELL_TRIGGER,hrINHOrbWw,MIY,182.11 
[62656] ADD,hrINHOrbWw,74995.37 
[62731] BUY,hrINHOrbWw,AIN,444.73 
[62732] COMMIT_BUY,hrINHOrbWw 
[62818] ADD,hrINHOrbWw,74965.46 
[62820] QUOTE,hrINHOrbWw,ETJ 
[63029] DISPLAY_SUMMARY,hrINHOrbWw 
[63099] SET_BUY_AMOUNT,hrINHOrbWw,RGH,141.38 
[63324] SET_BUY_TRIGGER,hrINHOrbWw,NFO,39.05 
[63326] SET_SELL_TRIGGER,hrINHOrbWw,LPW,73.45 
[63340] QUOTE,hrINHOrbWw,MHQ 
[63433] SET_BUY_AMOUNT,hrINHOrbWw,OPN,342.33 
[63591] BUY,hrINHOrbWw,KZQ,313.71 
[63654] CANCEL_BUY,hrINHOrbWw 
[63748] DISPLAY_SUMMARY,hrINHOrbWw 
[63896] QUOTE,hrINHOrbWw,BPP 
[63906] CANCEL_BUY,hrINHOrbWw 
[63973] CANCEL_SET_SELL,hrINHOrbWw,LSM 
[64041] ADD,hrINHOrbWw,63614.87 
[64058] QUOTE,hrINHOrbWw,SQI 
[64070] SET_SELL_AMOUNT,hrINHOrbWw,UBJ,3.42 
[64086] SET_SELL_TRIGGER,hrINHOrbWw,UBJ,2.76 
[64257] DISPLAY_SUMMARY,hrINHOrbWw 
[64662] BUY,hrINHOrbWw,YLZ,46.99 
[64738] COMMIT_BUY,hrINHOrbWw 
[64916] CANCEL_SET_SELL,hrINHOrbWw,VTY 
[64953] SET_BUY_TRIGGER,hrINHOrbWw,MQF,168.48 
[64954] ADD,hrINHOrbWw,88066.14 
[64962] QUOTE,hrINHOrbWw,WJP 
[64983] BUY,hrINHOrbWw,ZUV,116.56 
[64993] COMMIT_BUY,hrINHOrbWw 
[65032] ADD,hrINHOrbWw,67253.99 
[65136] QUOTE,hrINHOrbWw,IHW 
[65259] SET_BUY_TRIGGER,hrINHOrbWw,SCK,73.18 
[65331] SET_SELL_AMOUNT,hrINHOrbWw,SSF,740.44 
[65471] SET_SELL_TRIGGER,hrINHOrbWw,SSF,414.97 
[65523] CANCEL_BUY,hrINHOrbWw 
[65551] ADD,hrINHOrbWw,77933.20 
[65626] QUOTE,hrINHOrbWw,ALG 
[65665] ADD,hrINHOrbWw,68570.47 
[65748] CANCEL_SET_BUY,hrINHOrbWw,JHY 
[65860] DISPLAY_SUMMARY,hrINHOrbWw 
[65891] QUOTE,hrINHOrbWw,EAK 
[65926] SET_BUY_AMOUNT,hrINHOrbWw,PTP,625.46 
[65942] SET_BUY_TRIGGER,hrINHOrbWw,JGF,266.98 
[65984] SET_BUY_AMOUNT,hrINHOrbWw,GYF,602.66 
[65986] CANCEL_SET_BUY,hrINHOrbWw,VEX 
[66108] SET_SELL_AMOUNT,hrINHOrbWw,CBO,45.63 
[66177] CANCEL_SET_SELL,hrINHOrbWw,CBO 
[66366] BUY,hrINHOrbWw,YTO,681.38 
[66407] COMMIT_BUY,hrINHOrbWw 
[66542] BUY,hrINHOrbWw,GED,323.68 
[66571] COMMIT_BUY,hrINHOrbWw 
[66673] DISPLAY_SUMMARY,hrINHOrbWw 
[66774] SET_BUY_TRIGGER,hrINHOrbWw,CXC,28.61 
[66787] DISPLAY_SUMMARY,hrINHOrbWw 
[66798] ADD,hrINHOrbWw,62279.50 
[66801] QUOTE,hrINHOrbWw,AUX 
[66897] DISPLAY_SUMMARY,hrINHOrbWw 
[67025] ADD,hrINHOrbWw,66602.73 
[67125] BUY,hrINHOrbWw,WLT,535.66 
[67140] COMMIT_SELL,hrINHOrbWw 
[67202] SELL,hrINHOrbWw,OPN,46.64 
[67313] BUY,hrINHOrbWw,TSU,462.51 
[67344] CANCEL_SELL,hrINHOrbWw 
[67395] ADD,hrINHOrbWw,63798.29 
[67400] CANCEL_SET_SELL,hrINHOrbWw,USW 
[67476] ADD,hrINHOrbWw,93040.03 
[67504] BUY,hrINHOrbWw,FYR,619.46 
[67630] COMMIT_BUY,hrINHOrbWw 
[67861] DISPLAY_SUMMARY,hrINHOrbWw 
[67872] DISPLAY_SUMMARY,hrINHOrbWw 
[67955] SET_SELL_TRIGGER,hrINHOrbWw,NTT,192.67 
[67978] SET_BUY_AMOUNT,hrINHOrbWw,CUZ,39.60 
[67990] SET_BUY_TRIGGER,hrINHOrbWw,IHA,12.37 
[68103] SET_BUY_AMOUNT,hrINHOrbWw,JCQ,534.88 
[68194] SET_BUY_TRIGGER,hrINHOrbWw,UZZ,20.37 
[68292] BUY,hrINHOrbWw,PMG,205.36 
[68362] SET_BUY_AMOUNT,hrINHOrbWw,BCQ,477.78 
[68426] BUY,hrINHOrbWw,EWP,487.33 
[68666] COMMIT_BUY,hrINHOrbWw 
[69157] DISPLAY_SUMMARY,hrINHOrbWw 
[69592] SET_SELL_AMOUNT,hrINHOrbWw,KBN,44.16 
[69686] CANCEL_SET_SELL,hrINHOrbWw,KBN 
[69761] QUOTE,hrINHOrbWw,DDA 
[69796] BUY,hrINHOrbWw,UMN,307.87 
[69871] COMMIT_BUY,hrINHOrbWw 
[70045] SET_SELL_TRIGGER,hrINHOrbWw,MUN,88.44 
[70147] SET_SELL_TRIGGER,hrINHOrbWw,STQ,52.88 
[70262] SET_BUY_AMOUNT,hrINHOrbWw,ZAN,558.32 
[70717] SET_BUY_TRIGGER,hrINHOrbWw,ZRH,539.08 
[70764] SELL,hrINHOrbWw,CUZ,365.31 
[70774] BUY,hrINHOrbWw,AHO,220.59 
[71095] COMMIT_BUY,hrINHOrbWw 
[71169] ADD,hrINHOrbWw,68113.01 
[71187] COMMIT_BUY,hrINHOrbWw 
[71439] QUOTE,hrINHOrbWw,RWY 
[71493] QUOTE,hrINHOrbWw,IHW 
[71508] QUOTE,hrINHOrbWw,OQW 
[71646] QUOTE,hrINHOrbWw,WUL 
[71748] QUOTE,hrINHOrbWw,OTQ 
[71905] SET_BUY_TRIGGER,hrINHOrbWw,LKV,150.43 
[72008] SET_SELL_TRIGGER,hrINHOrbWw,KJD,28.59 
[72061] BUY,hrINHOrbWw,GLJ,192.45 
[72118] CANCEL_SELL,hrINHOrbWw 
[72129] BUY,hrINHOrbWw,LKK,478.53 
[72315] COMMIT_BUY,hrINHOrbWw 
[72392] CANCEL_BUY,hrINHOrbWw 
[72495] ADD,hrINHOrbWw,78770.61 
[72509] CANCEL_SET_BUY,hrINHOrbWw,NVX 
[72622] BUY,hrINHOrbWw,SZI,496.84 
[72691] SET_SELL_AMOUNT,hrINHOrbWw,QAX,159.71 
[72703] SET_SELL_TRIGGER,hrINHOrbWw,QAX,158.45 
[72932] DISPLAY_SUMMARY,hrINHOrbWw 
[72933] COMMIT_BUY,hrINHOrbWw 
[73160] SELL,hrINHOrbWw,JVT,389.86 
[73188] COMMIT_SELL,hrINHOrbWw 
[73504] SET_BUY_AMOUNT,hrINHOrbWw,UIE,572.71 
[73530] SET_BUY_TRIGGER,hrINHOrbWw,DWC,304.12 
[73622] CANCEL_SET_SELL,hrINHOrbWw,WNH 
[73659] SET_BUY_TRIGGER,hrINHOrbWw,HHC,73.18 
[73682] BUY,hrINHOrbWw,APY,256.24 
[73692] COMMIT_BUY,hrINHOrbWw 
[73741] BUY,hrINHOrbWw,WBX,39.39 
[74015] CANCEL_BUY,hrINHOrbWw 
[74060] DISPLAY_SUMMARY,hrINHOrbWw 
[74194] SET_BUY_AMOUNT,hrINHOrbWw,PTP,209.33 
[74590] SET_BUY_TRIGGER,hrINHOrbWw,WAO,195.27 
[74632] CANCEL_SET_SELL,hrINHOrbWw,CAX 
[74651] SET_SELL_AMOUNT,hrINHOrbWw,BCQ,229.04 
[74677] SET_SELL_TRIGGER,hrINHOrbWw,BCQ,32.11 
[74697] BUY,hrINHOrbWw,XLI,202.77 
[74700] BUY,hrINHOrbWw,MVY,339.19 
[74721] COMMIT_BUY,hrINHOrbWw 
[74724] ADD,hrINHOrbWw,53171.61 
[74725] BUY,hrINHOrbWw,JPP,691.23 
[75196] COMMIT_BUY,hrINHOrbWw 
[75324] SET_BUY_TRIGGER,hrINHOrbWw,ZHB,23.78 
[75503] SELL,hrINHOrbWw,JZJ,513.34 
[75566] COMMIT_SELL,hrINHOrbWw 
[75734] SET_SELL_AMOUNT,hrINHOrbWw,KDA,329.02 
[75737] SET_SELL_TRIGGER,hrINHOrbWw,KDA,130.54 
[75738] ADD,hrINHOrbWw,58499.08 
[75753] CANCEL_SET_SELL,hrINHOrbWw,BTD 
[75796] SELL,hrINHOrbWw,OZO,354.86 
[75830] COMMIT_SELL,hrINHOrbWw 
[76065] SET_BUY_AMOUNT,hrINHOrbWw,GRM,504.62 
[76182] CANCEL_SET_BUY,hrINHOrbWw,WJS 
[76215] BUY,hrINHOrbWw,OXV,577.55 
[76844] COMMIT_BUY,hrINHOrbWw 
[76962] QUOTE,hrINHOrbWw,EOS 
[77112] QUOTE,hrINHOrbWw,GKD 
[77165] BUY,hrINHOrbWw,NLP,338.07 
[77391] SET_BUY_TRIGGER,hrINHOrbWw,BHH,28.97 
[77449] QUOTE,hrINHOrbWw,BPP 
[77510] BUY,hrINHOrbWw,VOY,152.98 
[77617] COMMIT_BUY,hrINHOrbWw 
[77675] SET_SELL_AMOUNT,hrINHOrbWw,JZJ,265.34 
[77861] QUOTE,hrINHOrbWw,QTH 
[78161] BUY,hrINHOrbWw,UZZ,337.56 
[78244] COMMIT_BUY,hrINHOrbWw 
[78389] ADD,hrINHOrbWw,67316.64 
[78547] BUY,hrINHOrbWw,YOQ,677.75 
[78634] SELL,hrINHOrbWw,AVX,37.55 
[78674] COMMIT_SELL,hrINHOrbWw 
[78709] QUOTE,hrINHOrbWw,UEC 
[78858] CANCEL_SET_BUY,hrINHOrbWw,WCY 
[78970] BUY,hrINHOrbWw,CBK,476.23 
[78992] COMMIT_BUY,hrINHOrbWw 
[79055] ADD,hrINHOrbWw,70821.76 
[79095] QUOTE,hrINHOrbWw,URI 
[79194] BUY,hrINHOrbWw,OYS,223.75 
[79202] ADD,hrINHOrbWw,65264.36 
[79228] BUY,hrINHOrbWw,KZC,292.90 
[79261] CANCEL_BUY,hrINHOrbWw 
[79395] CANCEL_BUY,hrINHOrbWw 
[79415] ADD,hrINHOrbWw,72709.52 
[79523] QUOTE,hrINHOrbWw,GYF 
[79539] BUY,hrINHOrbWw,YBP,35.46 
[79709] CANCEL_BUY,hrINHOrbWw 
[79734] SET_SELL_AMOUNT,hrINHOrbWw,KDA,164.89 
[79759] BUY,hrINHOrbWw,SIK,604.47 
[79793] COMMIT_BUY,hrINHOrbWw 
[79807] ADD,hrINHOrbWw,77492.58 
[79844] BUY,hrINHOrbWw,WKG,40.95 
[79851] SET_SELL_TRIGGER,hrINHOrbWw,KDA,48.39 
[80116] COMMIT_SELL,hrINHOrbWw 
[80224] DISPLAY_SUMMARY,hrINHOrbWw 
[80228] ADD,hrINHOrbWw,51038.22 
[80303] BUY,hrINHOrbWw,YIQ,295.49 
[80452] COMMIT_BUY,hrINHOrbWw 
[80594] SELL,hrINHOrbWw,ZAN,93.36 
[80759] COMMIT_SELL,hrINHOrbWw 
[80785] BUY,hrINHOrbWw,DWK,487.46 
[80837] COMMIT_BUY,hrINHOrbWw 
[80880] DISPLAY_SUMMARY,hrINHOrbWw 
[80919] BUY,hrINHOrbWw,WAO,573.67 
[80963] QUOTE,hrINHOrbWw,IFU 
[81153] CANCEL_SET_SELL,hrINHOrbWw,JTY 
[81300] SET_SELL_TRIGGER,hrINHOrbWw,MHR,38.30 
[81430] SET_BUY_TRIGGER,hrINHOrbWw,WRJ,83.05 
[81457] QUOTE,hrINHOrbWw,SIK 
[81816] ADD,hrINHOrbWw,60917.03 
[81855] QUOTE,hrINHOrbWw,RWM 
[82076] BUY,hrINHOrbWw,NUL,521.51 
[82174] SET_BUY_TRIGGER,hrINHOrbWw,ZQW,58.39 
[82203] ADD,hrINHOrbWw,64514.37 
[82308] QUOTE,hrINHOrbWw,PJJ 
[82423] SET_BUY_TRIGGER,hrINHOrbWw,BRZ,147.19 
[82460] ADD,hrINHOrbWw,68514.76 
[82549] QUOTE,hrINHOrbWw,NVN 
[82618] SET_BUY_AMOUNT,hrINHOrbWw,KDA,592.81 
[82706] CANCEL_SET_BUY,hrINHOrbWw,XCL 
[82795] SET_BUY_TRIGGER,hrINHOrbWw,VEN,93.34 
[83113] SET_SELL_AMOUNT,hrINHOrbWw,TVI,519.26 
[83288] SET_SELL_TRIGGER,hrINHOrbWw,TVI,202.83 
[83515] ADD,hrINHOrbWw,62983.32 
[83522] BUY,hrINHOrbWw,QAX,635.07 
[83621] COMMIT_BUY,hrINHOrbWw 
[83703] SET_BUY_TRIGGER,hrINHOrbWw,VCN,158.92 
[84019] SET_SELL_TRIGGER,hrINHOrbWw,IDX,92.88 
[84071] SET_BUY_TRIGGER,hrINHOrbWw,CMA,34.42 
[84088] QUOTE,hrINHOrbWw,PFN 
[84106] QUOTE,hrINHOrbWw,KCT 
[84201] QUOTE,hrINHOrbWw,MRK 
[84281] SET_BUY_AMOUNT,hrINHOrbWw,ZAN,318.96 
[84859] SET_BUY_TRIGGER,hrINHOrbWw,ZAO,221.18 
[84921] DISPLAY_SUMMARY,hrINHOrbWw 
[85029] BUY,hrINHOrbWw,SCK,20.55 
[85106] COMMIT_BUY,hrINHOrbWw 
[85128] SELL,hrINHOrbWw,XQC,324.91 
[85332] DISPLAY_SUMMARY,hrINHOrbWw 
[85501] COMMIT_SELL,hrINHOrbWw 
[85560] SELL,hrINHOrbWw,JZJ,87.22 
[85608] DISPLAY_SUMMARY,hrINHOrbWw 
[85959] DISPLAY_SUMMARY,hrINHOrbWw 
[85970] DISPLAY_SUMMARY,hrINHOrbWw 
[86041] SET_BUY_AMOUNT,hrINHOrbWw,JZJ,498.73 
[86127] BUY,hrINHOrbWw,PFN,618.33 
[86312] COMMIT_BUY,hrINHOrbWw 
[86330] ADD,hrINHOrbWw,66906.91 
[86347] QUOTE,hrINHOrbWw,BMQ 
[86456] QUOTE,hrINHOrbWw,WOJ 
[86478] QUOTE,hrINHOrbWw,XCL 
[86668] ADD,hrINHOrbWw,73899.98 
[86673] QUOTE,hrINHOrbWw,SYE 
[86693] BUY,hrINHOrbWw,IZJ,503.36 
[86784] QUOTE,hrINHOrbWw,CAX 
[86793] QUOTE,hrINHOrbWw,UBJ 
[86803] QUOTE,hrINHOrbWw,SKC 
[86843] COMMIT_SELL,hrINHOrbWw 
[86915] ADD,hrINHOrbWw,58053.05 
[87019] QUOTE,hrINHOrbWw,OBR 
[87195] SET_SELL_TRIGGER,hrINHOrbWw,JPD,72.00 
[87293] DISPLAY_SUMMARY,hrINHOrbWw 
[87526] ADD,hrINHOrbWw,101648.20 
[87734] CANCEL_SELL,hrINHOrbWw 
[87746] BUY,hrINHOrbWw,GRM,177.84 
[87770] DISPLAY_SUMMARY,hrINHOrbWw 
[87865] ADD,hrINHOrbWw,76723.30 
[87868] CANCEL_SET_SELL,hrINHOrbWw,WTD 
[88129] SET_SELL_AMOUNT,hrINHOrbWw,OZO,443.01 
[88474] SET_SELL_TRIGGER,hrINHOrbWw,OZO,153.85 
[88661] DISPLAY_SUMMARY,hrINHOrbWw 
[88756] ADD,hrINHOrbWw,55563.95 
[88778] BUY,hrINHOrbWw,TCP,17.77 
[88902] COMMIT_BUY,hrINHOrbWw 
[89051] DISPLAY_SUMMARY,hrINHOrbWw 
[89067] SELL,hrINHOrbWw,DFE,645.46 
[89135] COMMIT_SELL,hrINHOrbWw 
[89224] SET_SELL_AMOUNT,hrINHOrbWw,JUN,131.68 
[89338] SET_SELL_TRIGGER,hrINHOrbWw,JUN,50.55 
[89471] BUY,hrINHOrbWw,FVS,553.41 
[89627] COMMIT_BUY,hrINHOrbWw 
[89787] SET_SELL_TRIGGER,hrINHOrbWw,IGI,160.44 
[89825] CANCEL_SET_BUY,hrINHOrbWw,NHB 
[89850] SET_BUY_AMOUNT,hrINHOrbWw,QGE,248.56 
[89867] SET_BUY_TRIGGER,hrINHOrbWw,ZSV,97.45 
[90051] QUOTE,hrINHOrbWw,FZB 
[90134] BUY,hrINHOrbWw,NLP,296.04 
[90162] DISPLAY_SUMMARY,hrINHOrbWw 
[90209] BUY,hrINHOrbWw,KDG,521.89 
[90384] COMMIT_BUY,hrINHOrbWw 
[90435] DISPLAY_SUMMARY,hrINHOrbWw 
[90533] DISPLAY_SUMMARY,hrINHOrbWw 
[90575] SELL,hrINHOrbWw,SUS,285.92 
[90607] COMMIT_SELL,hrINHOrbWw 
[90628] QUOTE,hrINHOrbWw,FVS 
[90840] SET_BUY_AMOUNT,hrINHOrbWw,LZB,707.60 
[90885] SET_BUY_TRIGGER,hrINHOrbWw,VUS,682.51 
[90937] ADD,hrINHOrbWw,54288.51 
[90943] COMMIT_BUY,hrINHOrbWw 
[91014] ADD,hrINHOrbWw,63728.01 
[91118] QUOTE,hrINHOrbWw,OPN 
[91144] SET_BUY_TRIGGER,hrINHOrbWw,JQO,89.48 
[91264] SET_BUY_AMOUNT,hrINHOrbWw,HFS,449.86 
[91340] SET_BUY_TRIGGER,hrINHOrbWw,NDJ,64.45 
[91350] BUY,hrINHOrbWw,HZP,738.41 
[91703] COMMIT_BUY,hrINHOrbWw 
[91739] SET_SELL_TRIGGER,hrINHOrbWw,DIX,165.14 
[92260] QUOTE,hrINHOrbWw,OAV 
[92305] SET_BUY_TRIGGER,hrINHOrbWw,MLI,84.68 
[92329] BUY,hrINHOrbWw,YZC,58.15 
[92410] CANCEL_BUY,hrINHOrbWw 
[92425] SET_SELL_TRIGGER,hrINHOrbWw,LLF,70.60 
[92477] QUOTE,hrINHOrbWw,DBC 
[92735] ADD,hrINHOrbWw,62994.93 
[92962] QUOTE,hrINHOrbWw,SFO 
[92973] BUY,hrINHOrbWw,EMN,349.65 
[93140] BUY,hrINHOrbWw,DBC,243.34 
[93240] SET_SELL_AMOUNT,hrINHOrbWw,SQI,290.78 
[93293] SET_SELL_TRIGGER,hrINHOrbWw,SQI,90.80 
[93370] SET_BUY_AMOUNT,hrINHOrbWw,ZYR,613.75 
[93464] SET_BUY_TRIGGER,hrINHOrbWw,VQA,425.59 
[93488] QUOTE,hrINHOrbWw,CNN 
[93593] SET_BUY_TRIGGER,hrINHOrbWw,PJJ,9.75 
[93601] ADD,hrINHOrbWw,72077.67 
[93739] QUOTE,hrINHOrbWw,VVW 
[93887] BUY,hrINHOrbWw,QPE,254.45 
[94003] CANCEL_SET_BUY,hrINHOrbWw,DBS 
[94004] QUOTE,hrINHOrbWw,NFL 
[94110] CANCEL_BUY,hrINHOrbWw 
[94168] QUOTE,hrINHOrbWw,EIK 
[94242] BUY,hrINHOrbWw,LJY,614.73 
[94569] COMMIT_BUY,hrINHOrbWw 
[94619] DISPLAY_SUMMARY,hrINHOrbWw 
[94659] ADD,hrINHOrbWw,54788.06 
[94735] QUOTE,hrINHOrbWw,WHR 
[94779] BUY,hrINHOrbWw,NSN,221.68 
[94818] SELL,hrINHOrbWw,ZER,146.70 
[95011] CANCEL_BUY,hrINHOrbWw 
