[10] ADD,n9qniWnHrs,38784.26 
[46657] ADD,n9qniWnHrs,43145.27 
[46682] QUOTE,n9qniWnHrs,IVV 
[46711] QUOTE,n9qniWnHrs,UHO 
[46905] BUY,n9qniWnHrs,VJB,466.02 
[47031] QUOTE,n9qniWnHrs,AOU 
[47044] QUOTE,n9qniWnHrs,NLT 
[47092] BUY,n9qniWnHrs,AMI,202.71 
[47276] ADD,n9qniWnHrs,70397.45 
[47374] BUY,n9qniWnHrs,NFL,578.14 
[47578] COMMIT_BUY,n9qniWnHrs 
[47719] SET_BUY_TRIGGER,n9qniWnHrs,SEI,115.79 
[47877] SET_BUY_TRIGGER,n9qniWnHrs,TGY,196.66 
[47906] SET_SELL_AMOUNT,n9qniWnHrs,YJK,183.41 
[47963] SET_SELL_TRIGGER,n9qniWnHrs,YJK,104.74 
[47983] ADD,n9qniWnHrs,78315.47 
[48272] QUOTE,n9qniWnHrs,GRD 
[48322] QUOTE,n9qniWnHrs,IDX 
[48379] ADD,n9qniWnHrs,87801.87 
[48389] QUOTE,n9qniWnHrs,JHY 
[48457] QUOTE,n9qniWnHrs,RQL 
[48523] BUY,n9qniWnHrs,KQZ,494.22 
[48639] SET_BUY_AMOUNT,n9qniWnHrs,JVT,269.53 
[48785] SET_BUY_TRIGGER,n9qniWnHrs,AJR,268.16 
[48917] ADD,n9qniWnHrs,71864.86 
[48924] QUOTE,n9qniWnHrs,KEV 
[49060] BUY,n9qniWnHrs,ZWB,119.59 
[49327] CANCEL_BUY,n9qniWnHrs 
[49362] DISPLAY_SUMMARY,n9qniWnHrs 
[49385] BUY,n9qniWnHrs,NJI,185.66 
[49408] COMMIT_BUY,n9qniWnHrs 
[49417] SET_SELL_AMOUNT,n9qniWnHrs,UTV,192.63 
[49940] SET_SELL_TRIGGER,n9qniWnHrs,UTV,84.32 
[50120] DISPLAY_SUMMARY,n9qniWnHrs 
[50170] ADD,n9qniWnHrs,82051.15 
[50335] SET_SELL_AMOUNT,n9qniWnHrs,KES,638.80 
[50444] SET_SELL_TRIGGER,n9qniWnHrs,KES,253.79 
[50478] SET_SELL_AMOUNT,n9qniWnHrs,AVX,96.56 
[50773] CANCEL_SET_SELL,n9qniWnHrs,AVX 
[50779] SET_SELL_AMOUNT,n9qniWnHrs,XLK,243.83 
[50808] SET_SELL_TRIGGER,n9qniWnHrs,XLK,193.22 
[50851] COMMIT_SELL,n9qniWnHrs 
[50925] SELL,n9qniWnHrs,NHG,609.60 
[51101] COMMIT_SELL,n9qniWnHrs 
[51300] ADD,n9qniWnHrs,51825.01 
[51321] SET_BUY_AMOUNT,n9qniWnHrs,CSZ,458.69 
[51333] SET_BUY_TRIGGER,n9qniWnHrs,KMZ,66.98 
[51419] ADD,n9qniWnHrs,65809.71 
[51564] CANCEL_BUY,n9qniWnHrs 
[51607] ADD,n9qniWnHrs,63357.42 
[51667] BUY,n9qniWnHrs,ZLY,249.67 
[51700] COMMIT_BUY,n9qniWnHrs 
[51725] ADD,n9qniWnHrs,65375.58 
[51839] BUY,n9qniWnHrs,GWF,280.49 
[51874] COMMIT_BUY,n9qniWnHrs 
[52030] SELL,n9qniWnHrs,SSF,75.30 
[52126] QUOTE,n9qniWnHrs,XOM 
[52194] ADD,n9qniWnHrs,71323.01 
[52304] BUY,n9qniWnHrs,OOT,609.09 
[52709] CANCEL_BUY,n9qniWnHrs 
[52891] BUY,n9qniWnHrs,AVI,417.96 
[53172] COMMIT_BUY,n9qniWnHrs 
[53191] DISPLAY_SUMMARY,n9qniWnHrs 
[53246] DISPLAY_SUMMARY,n9qniWnHrs 
[53263] SET_BUY_AMOUNT,n9qniWnHrs,XXQ,31.49 
[53294] SET_BUY_TRIGGER,n9qniWnHrs,CWA,31.44 
[53355] SET_BUY_AMOUNT,n9qniWnHrs,QAX,70.14 
[53371] SET_BUY_TRIGGER,n9qniWnHrs,VSE,56.43 
[53488] CANCEL_SELL,n9qniWnHrs 
[53732] ADD,n9qniWnHrs,79287.52 
[53784] QUOTE,n9qniWnHrs,URA 
[53851] QUOTE,n9qniWnHrs,PTC 
[53870] ADD,n9qniWnHrs,96133.93 
[54049] QUOTE,n9qniWnHrs,GWF 
[54119] BUY,n9qniWnHrs,MKE,311.17 
[54396] CANCEL_SET_SELL,n9qniWnHrs,MPP 
[54490] ADD,n9qniWnHrs,88712.84 
[54502] BUY,n9qniWnHrs,VEE,486.45 
[54543] SELL,n9qniWnHrs,FDI,174.46 
[54772] DISPLAY_SUMMARY,n9qniWnHrs 
[54891] SELL,n9qniWnHrs,XLK,525.99 
[54909] CANCEL_SELL,n9qniWnHrs 
[54985] CANCEL_SET_BUY,n9qniWnHrs,TWJ 
[54989] DISPLAY_SUMMARY,n9qniWnHrs 
[55018] QUOTE,n9qniWnHrs,NAW 
[55320] BUY,n9qniWnHrs,PLA,242.29 
[55388] COMMIT_BUY,n9qniWnHrs 
[55485] ADD,n9qniWnHrs,72333.89 
[55672] BUY,n9qniWnHrs,DWU,513.94 
[55693] SELL,n9qniWnHrs,CBO,425.10 
[55749] SET_BUY_TRIGGER,n9qniWnHrs,XQG,169.60 
[55819] CANCEL_SELL,n9qniWnHrs 
[55905] ADD,n9qniWnHrs,61784.60 
[55906] QUOTE,n9qniWnHrs,PLB 
[55913] BUY,n9qniWnHrs,PVH,672.55 
[56050] DISPLAY_SUMMARY,n9qniWnHrs 
[56109] SELL,n9qniWnHrs,GRM,636.91 
[56215] COMMIT_SELL,n9qniWnHrs 
[56270] SELL,n9qniWnHrs,AVX,72.42 
[56296] COMMIT_SELL,n9qniWnHrs 
[56482] SET_SELL_AMOUNT,n9qniWnHrs,KES,611.39 
[56489] SET_SELL_TRIGGER,n9qniWnHrs,KES,446.05 
[56611] ADD,n9qniWnHrs,75941.55 
[56850] QUOTE,n9qniWnHrs,JIO 
[56913] QUOTE,n9qniWnHrs,YPL 
[57096] SET_BUY_TRIGGER,n9qniWnHrs,IFQ,36.23 
[57130] ADD,n9qniWnHrs,85313.90 
[57205] SET_BUY_AMOUNT,n9qniWnHrs,BYA,588.91 
[57257] SET_BUY_TRIGGER,n9qniWnHrs,PDB,495.25 
[57411] ADD,n9qniWnHrs,78662.37 
[57443] SET_SELL_AMOUNT,n9qniWnHrs,EBS,435.25 
[57470] SET_SELL_TRIGGER,n9qniWnHrs,EBS,130.06 
[57570] SELL,n9qniWnHrs,QGE,506.98 
[57636] COMMIT_SELL,n9qniWnHrs 
[57707] DISPLAY_SUMMARY,n9qniWnHrs 
[57922] SET_BUY_TRIGGER,n9qniWnHrs,POI,161.44 
[57932] SET_BUY_AMOUNT,n9qniWnHrs,JZJ,466.07 
[58179] CANCEL_SET_BUY,n9qniWnHrs,GED 
[58305] CANCEL_SET_SELL,n9qniWnHrs,NJI 
[58321] ADD,n9qniWnHrs,58452.30 
[58519] QUOTE,n9qniWnHrs,YTO 
[58542] CANCEL_SET_SELL,n9qniWnHrs,ZFT 
[58613] DISPLAY_SUMMARY,n9qniWnHrs 
[58734] ADD,n9qniWnHrs,74303.96 
[58807] QUOTE,n9qniWnHrs,ZTR 
[58845] QUOTE,n9qniWnHrs,UIE 
[58854] SET_BUY_AMOUNT,n9qniWnHrs,MFX,594.72 
[59034] CANCEL_SET_BUY,n9qniWnHrs,NVX 
[59053] QUOTE,n9qniWnHrs,YWK 
[59093] QUOTE,n9qniWnHrs,PYM 
[59187] SET_BUY_AMOUNT,n9qniWnHrs,RUN,302.87 
[59210] CANCEL_SET_BUY,n9qniWnHrs,IFU 
[59216] ADD,n9qniWnHrs,69355.58 
[59352] BUY,n9qniWnHrs,PPY,626.69 
[59488] COMMIT_BUY,n9qniWnHrs 
[59903] SET_SELL_AMOUNT,n9qniWnHrs,UIE,80.09 
[59966] CANCEL_SET_SELL,n9qniWnHrs,UIE 
[59968] QUOTE,n9qniWnHrs,RNE 
[60484] SET_BUY_TRIGGER,n9qniWnHrs,MWM,150.59 
[60745] ADD,n9qniWnHrs,55179.35 
[60921] BUY,n9qniWnHrs,ZPD,330.02 
[60975] COMMIT_BUY,n9qniWnHrs 
[61004] SET_SELL_TRIGGER,n9qniWnHrs,IOM,145.03 
[61253] DISPLAY_SUMMARY,n9qniWnHrs 
[61258] SET_BUY_AMOUNT,n9qniWnHrs,GRM,679.83 
[61342] QUOTE,n9qniWnHrs,UDM 
[61665] BUY,n9qniWnHrs,JTX,723.75 
[61673] COMMIT_BUY,n9qniWnHrs 
[61705] SET_BUY_TRIGGER,n9qniWnHrs,YPL,16.78 
[61777] DISPLAY_SUMMARY,n9qniWnHrs 
[61945] CANCEL_BUY,n9qniWnHrs 
[62029] BUY,n9qniWnHrs,LLO,733.77 
[62068] SET_BUY_TRIGGER,n9qniWnHrs,URA,193.07 
[62132] ADD,n9qniWnHrs,66340.37 
[62257] BUY,n9qniWnHrs,EWP,229.74 
[62314] COMMIT_BUY,n9qniWnHrs 
[62421] SET_SELL_AMOUNT,n9qniWnHrs,YJK,333.24 
[62443] SET_SELL_TRIGGER,n9qniWnHrs,YJK,52.70 
[62478] ADD,n9qniWnHrs,72810.29 
[62563] BUY,n9qniWnHrs,SAN,486.87 
[62747] QUOTE,n9qniWnHrs,GPC 
[62753] BUY,n9qniWnHrs,ZCG,611.82 
[62766] COMMIT_BUY,n9qniWnHrs 
[62817] DISPLAY_SUMMARY,n9qniWnHrs 
[62881] SET_BUY_AMOUNT,n9qniWnHrs,MXD,400.88 
[62941] SET_BUY_TRIGGER,n9qniWnHrs,DLQ,280.49 
[63086] SET_SELL_AMOUNT,n9qniWnHrs,KES,552.90 
[63221] SET_SELL_TRIGGER,n9qniWnHrs,KES,394.86 
[63278] QUOTE,n9qniWnHrs,YPL 
[63297] SET_BUY_TRIGGER,n9qniWnHrs,ZQS,135.10 
[63432] SET_SELL_TRIGGER,n9qniWnHrs,OYS,48.84 
[63439] SET_BUY_TRIGGER,n9qniWnHrs,OOV,161.82 
[63604] SET_BUY_TRIGGER,n9qniWnHrs,QQI,192.90 
[63790] QUOTE,n9qniWnHrs,FIW 
[63901] CANCEL_BUY,n9qniWnHrs 
[63902] SET_BUY_TRIGGER,n9qniWnHrs,JFJ,77.94 
[63910] SET_SELL_AMOUNT,n9qniWnHrs,LFU,361.86 
[63942] SET_SELL_TRIGGER,n9qniWnHrs,LFU,328.21 
[64082] DISPLAY_SUMMARY,n9qniWnHrs 
[64141] SELL,n9qniWnHrs,OEY,720.79 
[64147] CANCEL_SELL,n9qniWnHrs 
[64230] SET_SELL_TRIGGER,n9qniWnHrs,VXY,111.41 
[64285] CANCEL_SET_SELL,n9qniWnHrs,OQW 
[64339] ADD,n9qniWnHrs,83382.95 
[64457] BUY,n9qniWnHrs,ULL,305.37 
[64562] COMMIT_BUY,n9qniWnHrs 
[64755] SET_BUY_TRIGGER,n9qniWnHrs,MOM,61.29 
[64897] SELL,n9qniWnHrs,IFN,326.12 
[64968] CANCEL_SET_BUY,n9qniWnHrs,RVZ 
[65141] SET_SELL_TRIGGER,n9qniWnHrs,XVK,82.20 
[65569] COMMIT_SELL,n9qniWnHrs 
[65694] ADD,n9qniWnHrs,68565.85 
[65798] QUOTE,n9qniWnHrs,KNM 
[65934] BUY,n9qniWnHrs,GAL,552.13 
[66168] COMMIT_BUY,n9qniWnHrs 
[66204] SET_BUY_AMOUNT,n9qniWnHrs,BCQ,505.19 
[66297] SET_BUY_TRIGGER,n9qniWnHrs,HRJ,32.02 
[66306] QUOTE,n9qniWnHrs,STO 
[66428] COMMIT_SELL,n9qniWnHrs 
[66560] SET_SELL_TRIGGER,n9qniWnHrs,OOT,38.54 
[66628] SET_SELL_TRIGGER,n9qniWnHrs,TSS,138.36 
[66648] DISPLAY_SUMMARY,n9qniWnHrs 
[66663] SELL,n9qniWnHrs,FDI,452.71 
[66712] SET_SELL_AMOUNT,n9qniWnHrs,OPN,275.74 
[66734] SET_SELL_TRIGGER,n9qniWnHrs,OPN,123.15 
[67265] SET_BUY_AMOUNT,n9qniWnHrs,FQP,31.11 
[67320] BUY,n9qniWnHrs,UDM,500.62 
[67335] COMMIT_BUY,n9qniWnHrs 
[67496] ADD,n9qniWnHrs,68843.10 
[67720] COMMIT_BUY,n9qniWnHrs 
[67721] DISPLAY_SUMMARY,n9qniWnHrs 
[67782] COMMIT_BUY,n9qniWnHrs 
[67814] BUY,n9qniWnHrs,QGL,393.91 
[67855] COMMIT_BUY,n9qniWnHrs 
[67886] ADD,n9qniWnHrs,56301.19 
[67928] QUOTE,n9qniWnHrs,AAC 
[67981] CANCEL_SELL,n9qniWnHrs 
[68132] QUOTE,n9qniWnHrs,AHO 
[68230] QUOTE,n9qniWnHrs,DMW 
[68321] BUY,n9qniWnHrs,GAV,294.98 
[68479] COMMIT_SELL,n9qniWnHrs 
[68484] SET_SELL_TRIGGER,n9qniWnHrs,YBP,104.54 
[68528] SET_BUY_TRIGGER,n9qniWnHrs,FKX,24.39 
[68663] SET_BUY_AMOUNT,n9qniWnHrs,RUN,698.70 
[68685] SET_BUY_TRIGGER,n9qniWnHrs,JYV,354.60 
[68773] BUY,n9qniWnHrs,MMF,337.49 
[68833] CANCEL_BUY,n9qniWnHrs 
[68847] SET_BUY_AMOUNT,n9qniWnHrs,CBO,112.83 
[69013] SET_BUY_TRIGGER,n9qniWnHrs,KAF,109.48 
[69338] DISPLAY_SUMMARY,n9qniWnHrs 
[69355] SELL,n9qniWnHrs,CBO,429.12 
[69376] COMMIT_SELL,n9qniWnHrs 
[69832] ADD,n9qniWnHrs,74601.39 
[70068] BUY,n9qniWnHrs,OEN,499.32 
[70309] COMMIT_BUY,n9qniWnHrs 
[70509] ADD,n9qniWnHrs,53626.64 
[70563] BUY,n9qniWnHrs,DBC,207.91 
[70574] COMMIT_BUY,n9qniWnHrs 
[70606] CANCEL_SET_BUY,n9qniWnHrs,TXB 
[70619] BUY,n9qniWnHrs,KGV,382.49 
[70832] COMMIT_BUY,n9qniWnHrs 
[70897] ADD,n9qniWnHrs,66199.63 
[71511] SET_BUY_TRIGGER,n9qniWnHrs,STT,103.18 
[71681] SELL,n9qniWnHrs,DFE,85.63 
[71729] COMMIT_SELL,n9qniWnHrs 
[71781] DISPLAY_SUMMARY,n9qniWnHrs 
[72009] QUOTE,n9qniWnHrs,HHG 
[72299] BUY,n9qniWnHrs,KPE,248.67 
[72460] COMMIT_BUY,n9qniWnHrs 
[72661] BUY,n9qniWnHrs,NBX,146.82 
[72699] COMMIT_BUY,n9qniWnHrs 
[73029] DISPLAY_SUMMARY,n9qniWnHrs 
[73042] BUY,n9qniWnHrs,YNY,352.57 
[73113] CANCEL_BUY,n9qniWnHrs 
[73189] CANCEL_SELL,n9qniWnHrs 
[73292] SET_SELL_TRIGGER,n9qniWnHrs,HBF,104.89 
[73355] QUOTE,n9qniWnHrs,JQO 
[73452] BUY,n9qniWnHrs,VBO,10.81 
[73535] DISPLAY_SUMMARY,n9qniWnHrs 
[73586] BUY,n9qniWnHrs,RVZ,596.96 
[73600] CANCEL_SET_SELL,n9qniWnHrs,XBE 
[73678] ADD,n9qniWnHrs,60892.56 
[73777] SET_SELL_AMOUNT,n9qniWnHrs,YDS,541.42 
[73793] SET_SELL_TRIGGER,n9qniWnHrs,YDS,377.90 
[73892] ADD,n9qniWnHrs,61673.10 
[74031] QUOTE,n9qniWnHrs,FIC 
[74032] BUY,n9qniWnHrs,BHJ,308.02 
[74065] DISPLAY_SUMMARY,n9qniWnHrs 
[74131] QUOTE,n9qniWnHrs,RJG 
[74139] QUOTE,n9qniWnHrs,PPY 
[74176] BUY,n9qniWnHrs,BRT,142.48 
[74216] COMMIT_SELL,n9qniWnHrs 
[74591] SET_BUY_TRIGGER,n9qniWnHrs,XRK,110.62 
[74601] SET_SELL_TRIGGER,n9qniWnHrs,KYT,141.79 
[74857] SELL,n9qniWnHrs,ZTI,199.06 
[75075] COMMIT_SELL,n9qniWnHrs 
[75357] SET_SELL_AMOUNT,n9qniWnHrs,IQJ,167.24 
[75422] SET_SELL_TRIGGER,n9qniWnHrs,IQJ,137.77 
[75435] BUY,n9qniWnHrs,GCW,485.54 
[75456] QUOTE,n9qniWnHrs,LBC 
[75458] SET_BUY_AMOUNT,n9qniWnHrs,JVT,361.48 
[75743] DISPLAY_SUMMARY,n9qniWnHrs 
[75765] SET_SELL_AMOUNT,n9qniWnHrs,JQO,247.29 
[75827] SET_SELL_TRIGGER,n9qniWnHrs,JQO,184.58 
[75865] ADD,n9qniWnHrs,67545.92 
[75996] QUOTE,n9qniWnHrs,KKI 
[76137] QUOTE,n9qniWnHrs,QWC 
[76473] QUOTE,n9qniWnHrs,ULL 
[76597] BUY,n9qniWnHrs,KDA,60.81 
[76734] COMMIT_BUY,n9qniWnHrs 
[76743] BUY,n9qniWnHrs,FNY,614.99 
[76792] QUOTE,n9qniWnHrs,AVI 
[76907] QUOTE,n9qniWnHrs,MIR 
[77201] BUY,n9qniWnHrs,MHI,677.17 
[77239] SET_SELL_AMOUNT,n9qniWnHrs,YJK,36.08 
[77295] CANCEL_SET_SELL,n9qniWnHrs,YJK 
[77521] COMMIT_SELL,n9qniWnHrs 
[77838] BUY,n9qniWnHrs,DXL,27.61 
[77997] COMMIT_BUY,n9qniWnHrs 
[78047] SET_BUY_AMOUNT,n9qniWnHrs,YDS,574.73 
[78060] SELL,n9qniWnHrs,AVX,193.21 
[78064] COMMIT_SELL,n9qniWnHrs 
[78100] BUY,n9qniWnHrs,FMJ,531.17 
[78180] CANCEL_BUY,n9qniWnHrs 
[78216] CANCEL_SET_SELL,n9qniWnHrs,QVA 
[78274] SET_SELL_AMOUNT,n9qniWnHrs,QJZ,325.38 
[78325] SET_SELL_TRIGGER,n9qniWnHrs,QJZ,77.84 
[78511] SET_SELL_AMOUNT,n9qniWnHrs,NHG,306.45 
[78706] SET_SELL_TRIGGER,n9qniWnHrs,NHG,116.68 
[78792] SET_SELL_AMOUNT,n9qniWnHrs,FDI,192.36 
[78849] SET_SELL_TRIGGER,n9qniWnHrs,FDI,129.83 
[78869] ADD,n9qniWnHrs,58442.46 
[79091] QUOTE,n9qniWnHrs,RRE 
[79155] QUOTE,n9qniWnHrs,EIH 
[79193] CANCEL_BUY,n9qniWnHrs 
[79408] DISPLAY_SUMMARY,n9qniWnHrs 
[79543] DISPLAY_SUMMARY,n9qniWnHrs 
[79594] ADD,n9qniWnHrs,70313.08 
[79779] QUOTE,n9qniWnHrs,MFY 
[79815] SET_BUY_TRIGGER,n9qniWnHrs,PHJ,473.05 
[79878] DISPLAY_SUMMARY,n9qniWnHrs 
[79920] DISPLAY_SUMMARY,n9qniWnHrs 
[79935] DISPLAY_SUMMARY,n9qniWnHrs 
[79982] SELL,n9qniWnHrs,DFE,365.01 
[80033] COMMIT_SELL,n9qniWnHrs 
[80184] COMMIT_BUY,n9qniWnHrs 
[80335] QUOTE,n9qniWnHrs,XCL 
[80370] ADD,n9qniWnHrs,90146.49 
[80477] QUOTE,n9qniWnHrs,PXS 
[80577] QUOTE,n9qniWnHrs,CNN 
[80688] BUY,n9qniWnHrs,IAV,278.34 
[80819] CANCEL_SET_SELL,n9qniWnHrs,BLC 
[80834] ADD,n9qniWnHrs,51779.63 
[80886] SELL,n9qniWnHrs,RUN,225.93 
[80938] COMMIT_SELL,n9qniWnHrs 
[81080] SET_SELL_AMOUNT,n9qniWnHrs,HFS,729.74 
[81149] SELL,n9qniWnHrs,KES,189.49 
[81321] SET_SELL_AMOUNT,n9qniWnHrs,AJR,534.39 
[81372] SET_SELL_TRIGGER,n9qniWnHrs,AJR,116.43 
[81605] SELL,n9qniWnHrs,MXD,680.66 
[81751] COMMIT_SELL,n9qniWnHrs 
[81859] SELL,n9qniWnHrs,FDI,133.65 
[81961] QUOTE,n9qniWnHrs,UFX 
[81987] QUOTE,n9qniWnHrs,JFF 
[82079] QUOTE,n9qniWnHrs,YZH 
[82110] BUY,n9qniWnHrs,KES,67.03 
[82141] COMMIT_BUY,n9qniWnHrs 
[82293] COMMIT_SELL,n9qniWnHrs 
[82520] SET_SELL_AMOUNT,n9qniWnHrs,SUS,697.62 
[82521] SET_SELL_TRIGGER,n9qniWnHrs,SUS,113.97 
[82627] DISPLAY_SUMMARY,n9qniWnHrs 
[82667] ADD,n9qniWnHrs,72955.07 
[82775] QUOTE,n9qniWnHrs,JQO 
[82918] BUY,n9qniWnHrs,IOY,153.99 
[83047] SET_BUY_TRIGGER,n9qniWnHrs,GZQ,184.93 
[83152] QUOTE,n9qniWnHrs,TSU 
[83253] QUOTE,n9qniWnHrs,LZB 
[83265] BUY,n9qniWnHrs,YBP,464.66 
[83384] COMMIT_BUY,n9qniWnHrs 
[83439] SET_BUY_AMOUNT,n9qniWnHrs,LZV,66.83 
[83461] SET_BUY_TRIGGER,n9qniWnHrs,IHW,37.30 
[83606] QUOTE,n9qniWnHrs,UEC 
[83729] BUY,n9qniWnHrs,PHU,602.86 
[83761] CANCEL_BUY,n9qniWnHrs 
[83777] ADD,n9qniWnHrs,49414.84 
[83825] QUOTE,n9qniWnHrs,GZQ 
[83905] BUY,n9qniWnHrs,WHR,427.17 
[83910] COMMIT_BUY,n9qniWnHrs 
[83920] ADD,n9qniWnHrs,79880.43 
[84021] DISPLAY_SUMMARY,n9qniWnHrs 
[84030] SET_SELL_AMOUNT,n9qniWnHrs,EBS,506.15 
[84112] QUOTE,n9qniWnHrs,PGV 
[84398] BUY,n9qniWnHrs,JRY,220.31 
[84406] SET_BUY_AMOUNT,n9qniWnHrs,FQP,464.97 
[84524] SET_BUY_TRIGGER,n9qniWnHrs,NBX,426.46 
[84557] SET_BUY_TRIGGER,n9qniWnHrs,BWL,190.18 
[84605] BUY,n9qniWnHrs,ZSV,194.29 
[84705] CANCEL_SET_BUY,n9qniWnHrs,DWU 
[84762] QUOTE,n9qniWnHrs,YOG 
[84843] QUOTE,n9qniWnHrs,CBK 
[84848] QUOTE,n9qniWnHrs,HDR 
[84855] SET_BUY_AMOUNT,n9qniWnHrs,HFS,35.87 
[84860] DISPLAY_SUMMARY,n9qniWnHrs 
[84976] BUY,n9qniWnHrs,XFW,671.03 
[85191] QUOTE,n9qniWnHrs,JOJ 
[85293] SET_BUY_AMOUNT,n9qniWnHrs,ZYR,464.05 
[85297] SET_BUY_TRIGGER,n9qniWnHrs,LHC,270.36 
[85301] ADD,n9qniWnHrs,67772.18 
[86026] BUY,n9qniWnHrs,ZAO,180.78 
[86350] COMMIT_BUY,n9qniWnHrs 
[86415] ADD,n9qniWnHrs,77841.51 
[86445] SELL,n9qniWnHrs,SSF,661.75 
[86473] COMMIT_SELL,n9qniWnHrs 
[86474] BUY,n9qniWnHrs,YMG,99.24 
[86501] SELL,n9qniWnHrs,RUN,621.88 
[86579] COMMIT_SELL,n9qniWnHrs 
[86649] QUOTE,n9qniWnHrs,ZNW 
[86705] QUOTE,n9qniWnHrs,ZMA 
[86822] SET_BUY_TRIGGER,n9qniWnHrs,ZWZ,17.46 
[86961] SET_SELL_AMOUNT,n9qniWnHrs,FDI,745.83 
[87003] SET_SELL_TRIGGER,n9qniWnHrs,FDI,632.95 
[87285] BUY,n9qniWnHrs,KAR,515.34 
[87326] CANCEL_BUY,n9qniWnHrs 
[87482] SET_SELL_TRIGGER,n9qniWnHrs,EVR,7.13 
[87499] SELL,n9qniWnHrs,KES,492.07 
[87543] CANCEL_SET_SELL,n9qniWnHrs,JRJ 
[87663] SET_SELL_AMOUNT,n9qniWnHrs,BCQ,473.36 
[87776] SELL,n9qniWnHrs,SUS,575.56 
[87823] COMMIT_SELL,n9qniWnHrs 
[87882] SET_BUY_TRIGGER,n9qniWnHrs,GMS,56.88 
[88208] QUOTE,n9qniWnHrs,QPX 
[88350] QUOTE,n9qniWnHrs,GJR 
[88377] BUY,n9qniWnHrs,GDO,159.03 
[88446] SET_SELL_AMOUNT,n9qniWnHrs,FDI,522.37 
[88485] CANCEL_SET_SELL,n9qniWnHrs,FDI 
[88518] ADD,n9qniWnHrs,65221.03 
[88551] QUOTE,n9qniWnHrs,ZKV 
[88568] BUY,n9qniWnHrs,HWO,552.78 
[88573] COMMIT_SELL,n9qniWnHrs 
[88761] SET_SELL_AMOUNT,n9qniWnHrs,JCQ,41.23 
[88861] SET_SELL_TRIGGER,n9qniWnHrs,JCQ,4.82 
[88897] SET_SELL_TRIGGER,n9qniWnHrs,ZWB,67.14 
[88953] BUY,n9qniWnHrs,ZTR,552.08 
[89077] CANCEL_SET_BUY,n9qniWnHrs,CXC 
[89091] QUOTE,n9qniWnHrs,ZAO 
[89379] SET_BUY_AMOUNT,n9qniWnHrs,JRJ,214.28 
[89396] SELL,n9qniWnHrs,VTY,414.12 
[89544] COMMIT_SELL,n9qniWnHrs 
[89620] SET_SELL_TRIGGER,n9qniWnHrs,NTB,14.21 
[89694] QUOTE,n9qniWnHrs,WPG 
[89722] SET_BUY_TRIGGER,n9qniWnHrs,JUE,91.53 
[89931] SELL,n9qniWnHrs,JVT,732.63 
[90019] COMMIT_SELL,n9qniWnHrs 
[90172] ADD,n9qniWnHrs,102067.74 
[90198] BUY,n9qniWnHrs,UMN,77.15 
[90263] CANCEL_BUY,n9qniWnHrs 
[90496] SELL,n9qniWnHrs,BJL,474.43 
[90600] SELL,n9qniWnHrs,QGE,431.42 
[90616] COMMIT_SELL,n9qniWnHrs 
[90638] SET_SELL_TRIGGER,n9qniWnHrs,LMB,52.13 
[90804] BUY,n9qniWnHrs,SSL,96.97 
[90973] SET_SELL_AMOUNT,n9qniWnHrs,UTV,335.68 
[91245] CANCEL_SET_SELL,n9qniWnHrs,UTV 
[91268] SET_SELL_TRIGGER,n9qniWnHrs,JCQ,100.11 
[91431] SET_BUY_AMOUNT,n9qniWnHrs,KBN,322.85 
[91456] SET_BUY_TRIGGER,n9qniWnHrs,DGA,142.19 
[91562] DISPLAY_SUMMARY,n9qniWnHrs 
[91702] DISPLAY_SUMMARY,n9qniWnHrs 
[91792] ADD,n9qniWnHrs,82536.43 
[91900] BUY,n9qniWnHrs,MGK,419.70 
[92096] COMMIT_BUY,n9qniWnHrs 
[92120] SELL,n9qniWnHrs,JZJ,287.71 
[92135] SET_BUY_TRIGGER,n9qniWnHrs,KEO,34.66 
[92195] SET_SELL_TRIGGER,n9qniWnHrs,SUS,166.13 
[92198] ADD,n9qniWnHrs,65383.56 
[92234] COMMIT_BUY,n9qniWnHrs 
[92378] SET_SELL_TRIGGER,n9qniWnHrs,VTY,151.27 
[92570] ADD,n9qniWnHrs,112401.02 
[92606] SET_SELL_AMOUNT,n9qniWnHrs,CEC,254.72 
[92616] SELL,n9qniWnHrs,BCQ,412.97 
[92672] CANCEL_SELL,n9qniWnHrs 
[92859] DISPLAY_SUMMARY,n9qniWnHrs 
[92912] BUY,n9qniWnHrs,GPC,747.69 
[92947] COMMIT_SELL,n9qniWnHrs 
[93058] SET_SELL_AMOUNT,n9qniWnHrs,EBS,642.04 
[93216] SET_SELL_TRIGGER,n9qniWnHrs,EBS,534.93 
[93403] SET_SELL_TRIGGER,n9qniWnHrs,KHY,181.86 
[93523] BUY,n9qniWnHrs,ATE,309.58 
[93570] CANCEL_SELL,n9qniWnHrs 
[93687] DISPLAY_SUMMARY,n9qniWnHrs 
[93752] ADD,n9qniWnHrs,42205.10 
[93765] QUOTE,n9qniWnHrs,IQZ 
[93791] ADD,n9qniWnHrs,38250.26 
[93835] BUY,n9qniWnHrs,VWU,503.62 
[93985] SET_BUY_AMOUNT,n9qniWnHrs,HFS,235.93 
[94010] SET_BUY_TRIGGER,n9qniWnHrs,WQE,28.26 
[94071] ADD,n9qniWnHrs,78899.31 
[94186] QUOTE,n9qniWnHrs,KDG 
[94290] COMMIT_SELL,n9qniWnHrs 
[94413] BUY,n9qniWnHrs,SEI,491.46 
