[63] ADD,REUXfFUthD,73532.17 
[51171] BUY,REUXfFUthD,LLD,456.24 
[51207] CANCEL_BUY,REUXfFUthD 
[51370] SET_BUY_TRIGGER,REUXfFUthD,MJU,182.47 
[51582] SET_BUY_TRIGGER,REUXfFUthD,LUD,34.46 
[51606] SET_BUY_AMOUNT,REUXfFUthD,KES,103.45 
[51668] SET_BUY_TRIGGER,REUXfFUthD,ZQW,81.85 
[51817] BUY,REUXfFUthD,YBO,72.03 
[51911] COMMIT_BUY,REUXfFUthD 
[51965] SET_BUY_AMOUNT,REUXfFUthD,OPN,718.98 
[52012] SET_BUY_TRIGGER,REUXfFUthD,FRB,406.87 
[52070] ADD,REUXfFUthD,64436.87 
[52226] BUY,REUXfFUthD,QXW,220.96 
[52252] BUY,REUXfFUthD,LQN,712.96 
[52314] COMMIT_BUY,REUXfFUthD 
[52353] CANCEL_SET_BUY,REUXfFUthD,FQG 
[52361] SET_BUY_TRIGGER,REUXfFUthD,GIK,99.23 
[52402] BUY,REUXfFUthD,RQL,508.21 
[52430] COMMIT_BUY,REUXfFUthD 
[52484] ADD,REUXfFUthD,73880.21 
[52633] QUOTE,REUXfFUthD,HVE 
[52722] DISPLAY_SUMMARY,REUXfFUthD 
[52837] SELL,REUXfFUthD,PTP,411.14 
[52854] SET_SELL_AMOUNT,REUXfFUthD,EBS,433.83 
[52918] SET_SELL_TRIGGER,REUXfFUthD,EBS,122.18 
[52942] DISPLAY_SUMMARY,REUXfFUthD 
[52965] SET_SELL_AMOUNT,REUXfFUthD,ZAN,105.05 
[53425] SET_SELL_TRIGGER,REUXfFUthD,ZAN,84.66 
[53467] QUOTE,REUXfFUthD,FNY 
[53523] DISPLAY_SUMMARY,REUXfFUthD 
[53535] QUOTE,REUXfFUthD,GTX 
[53551] QUOTE,REUXfFUthD,ZAM 
[53557] QUOTE,REUXfFUthD,GGI 
[53730] BUY,REUXfFUthD,VUS,364.50 
[53746] QUOTE,REUXfFUthD,QTU 
[53770] BUY,REUXfFUthD,OOI,510.00 
[53841] COMMIT_SELL,REUXfFUthD 
[53876] ADD,REUXfFUthD,104080.15 
[53939] BUY,REUXfFUthD,OWH,709.43 
[53993] COMMIT_BUY,REUXfFUthD 
[54449] DISPLAY_SUMMARY,REUXfFUthD 
[54532] ADD,REUXfFUthD,70218.19 
[54624] QUOTE,REUXfFUthD,XBL 
[54693] BUY,REUXfFUthD,GDO,554.13 
[54698] COMMIT_BUY,REUXfFUthD 
[54704] DISPLAY_SUMMARY,REUXfFUthD 
[54863] SET_SELL_TRIGGER,REUXfFUthD,NFV,48.65 
[54864] SET_BUY_AMOUNT,REUXfFUthD,BYA,193.34 
[55010] SELL,REUXfFUthD,JVT,559.20 
[55099] SET_BUY_TRIGGER,REUXfFUthD,ZFV,127.50 
[55185] ADD,REUXfFUthD,80442.34 
[55316] QUOTE,REUXfFUthD,KHY 
[55446] BUY,REUXfFUthD,EDV,378.21 
[55616] COMMIT_BUY,REUXfFUthD 
[55846] SELL,REUXfFUthD,JVT,50.11 
[56226] COMMIT_SELL,REUXfFUthD 
[56299] DISPLAY_SUMMARY,REUXfFUthD 
[56311] SET_SELL_TRIGGER,REUXfFUthD,DTG,81.77 
[56318] SELL,REUXfFUthD,ZAN,101.18 
[56391] COMMIT_SELL,REUXfFUthD 
[56479] SELL,REUXfFUthD,UTV,595.59 
[56491] ADD,REUXfFUthD,86933.76 
[56750] QUOTE,REUXfFUthD,XII 
[56759] BUY,REUXfFUthD,DVA,740.89 
[56846] CANCEL_SELL,REUXfFUthD 
[56906] QUOTE,REUXfFUthD,MGK 
[57106] DISPLAY_SUMMARY,REUXfFUthD 
[57185] DISPLAY_SUMMARY,REUXfFUthD 
[57358] DISPLAY_SUMMARY,REUXfFUthD 
[57359] DISPLAY_SUMMARY,REUXfFUthD 
[57398] SET_SELL_AMOUNT,REUXfFUthD,UBJ,689.47 
[57414] SET_SELL_TRIGGER,REUXfFUthD,UBJ,437.15 
[57437] ADD,REUXfFUthD,33054.31 
[57525] QUOTE,REUXfFUthD,WQC 
[57864] QUOTE,REUXfFUthD,DKV 
[57878] DISPLAY_SUMMARY,REUXfFUthD 
[57920] SET_SELL_TRIGGER,REUXfFUthD,YAV,25.84 
[58059] SET_SELL_AMOUNT,REUXfFUthD,AVX,246.55 
[58168] SET_SELL_TRIGGER,REUXfFUthD,AVX,242.32 
[58252] DISPLAY_SUMMARY,REUXfFUthD 
[58270] DISPLAY_SUMMARY,REUXfFUthD 
[58736] SELL,REUXfFUthD,JRJ,28.01 
[58747] COMMIT_SELL,REUXfFUthD 
[58863] SELL,REUXfFUthD,GRM,533.54 
[59027] CANCEL_SET_BUY,REUXfFUthD,JSM 
[59055] SET_SELL_TRIGGER,REUXfFUthD,KYT,128.45 
[59122] BUY,REUXfFUthD,GWF,145.91 
[59322] COMMIT_BUY,REUXfFUthD 
[59371] SELL,REUXfFUthD,DFE,246.15 
[59660] COMMIT_SELL,REUXfFUthD 
[59721] SET_BUY_AMOUNT,REUXfFUthD,ZYR,307.76 
[59735] SET_BUY_TRIGGER,REUXfFUthD,YOG,196.28 
[59801] SET_SELL_AMOUNT,REUXfFUthD,RGH,707.90 
[60138] SET_SELL_TRIGGER,REUXfFUthD,RGH,427.97 
[60203] SET_SELL_AMOUNT,REUXfFUthD,XLK,225.73 
[60266] BUY,REUXfFUthD,CEC,168.69 
[60270] CANCEL_SELL,REUXfFUthD 
[60327] DISPLAY_SUMMARY,REUXfFUthD 
[60379] DISPLAY_SUMMARY,REUXfFUthD 
[60453] BUY,REUXfFUthD,KKI,62.47 
[60569] COMMIT_BUY,REUXfFUthD 
[60788] QUOTE,REUXfFUthD,HSH 
[60804] BUY,REUXfFUthD,PJJ,117.53 
[60952] ADD,REUXfFUthD,68102.27 
[60991] QUOTE,REUXfFUthD,LVT 
[61041] SET_BUY_AMOUNT,REUXfFUthD,LFU,634.35 
[61294] SET_BUY_TRIGGER,REUXfFUthD,KVK,556.74 
[61320] CANCEL_SET_BUY,REUXfFUthD,TVX 
[61429] SET_BUY_AMOUNT,REUXfFUthD,RUN,178.50 
[61462] SET_BUY_TRIGGER,REUXfFUthD,ZAV,55.44 
[61475] SET_SELL_AMOUNT,REUXfFUthD,XXQ,133.02 
[61621] SET_SELL_TRIGGER,REUXfFUthD,XXQ,114.42 
[61725] DISPLAY_SUMMARY,REUXfFUthD 
[61756] SET_SELL_AMOUNT,REUXfFUthD,XXQ,589.71 
[61762] SET_SELL_TRIGGER,REUXfFUthD,XXQ,61.02 
[61889] CANCEL_SET_BUY,REUXfFUthD,KAH 
[62055] SET_BUY_AMOUNT,REUXfFUthD,MFX,457.14 
[62134] SET_BUY_TRIGGER,REUXfFUthD,XBE,280.15 
[62146] SET_SELL_TRIGGER,REUXfFUthD,PHU,16.77 
[62488] SELL,REUXfFUthD,NHG,233.05 
[62519] BUY,REUXfFUthD,CEC,59.82 
[62643] QUOTE,REUXfFUthD,FQG 
[62723] SET_BUY_TRIGGER,REUXfFUthD,TAR,35.40 
[62838] ADD,REUXfFUthD,56793.69 
[62850] SET_BUY_AMOUNT,REUXfFUthD,CEC,15.86 
[62855] SET_BUY_TRIGGER,REUXfFUthD,SYT,15.37 
[63174] SET_SELL_TRIGGER,REUXfFUthD,PCR,100.41 
[63257] QUOTE,REUXfFUthD,HMR 
[63267] ADD,REUXfFUthD,82341.01 
[63282] QUOTE,REUXfFUthD,CXN 
[63376] ADD,REUXfFUthD,89614.51 
[63377] QUOTE,REUXfFUthD,XXQ 
[63418] QUOTE,REUXfFUthD,BSZ 
[63467] ADD,REUXfFUthD,73037.24 
[63497] BUY,REUXfFUthD,ESN,215.83 
[63626] COMMIT_BUY,REUXfFUthD 
[63650] ADD,REUXfFUthD,48270.28 
[63708] QUOTE,REUXfFUthD,NAR 
[63771] BUY,REUXfFUthD,APY,378.85 
[63859] CANCEL_BUY,REUXfFUthD 
[63943] SET_SELL_AMOUNT,REUXfFUthD,ZAN,50.13 
[64232] SET_SELL_TRIGGER,REUXfFUthD,ZAN,45.82 
[64507] ADD,REUXfFUthD,81864.97 
[64514] QUOTE,REUXfFUthD,KZZ 
[64516] BUY,REUXfFUthD,RUN,219.10 
[64609] COMMIT_BUY,REUXfFUthD 
[64723] ADD,REUXfFUthD,54095.56 
[64772] QUOTE,REUXfFUthD,SVV 
[64859] SET_BUY_AMOUNT,REUXfFUthD,GYF,85.64 
[64912] SET_BUY_TRIGGER,REUXfFUthD,LLZ,38.47 
[64958] BUY,REUXfFUthD,STO,310.65 
[65260] COMMIT_BUY,REUXfFUthD 
[65386] QUOTE,REUXfFUthD,VIK 
[65663] DISPLAY_SUMMARY,REUXfFUthD 
[65711] SET_BUY_TRIGGER,REUXfFUthD,LSW,97.26 
[65918] SELL,REUXfFUthD,XLK,324.01 
[66034] COMMIT_SELL,REUXfFUthD 
[66067] SET_BUY_AMOUNT,REUXfFUthD,OPN,140.31 
[66288] SELL,REUXfFUthD,QGE,432.51 
[66296] CANCEL_SET_BUY,REUXfFUthD,MSV 
[66325] QUOTE,REUXfFUthD,DBS 
[66357] QUOTE,REUXfFUthD,DFE 
[66553] SET_SELL_AMOUNT,REUXfFUthD,UTV,717.03 
[66584] QUOTE,REUXfFUthD,TAR 
[66629] QUOTE,REUXfFUthD,JFJ 
[66857] DISPLAY_SUMMARY,REUXfFUthD 
[66909] CANCEL_SET_SELL,REUXfFUthD,UTV 
[66936] ADD,REUXfFUthD,59795.96 
[66998] BUY,REUXfFUthD,KCT,122.69 
[67016] COMMIT_BUY,REUXfFUthD 
[67031] DISPLAY_SUMMARY,REUXfFUthD 
[67312] SET_BUY_TRIGGER,REUXfFUthD,VWU,14.68 
[67548] CANCEL_BUY,REUXfFUthD 
[67761] BUY,REUXfFUthD,JMX,176.62 
[67766] CANCEL_SET_SELL,REUXfFUthD,RVU 
[67871] ADD,REUXfFUthD,68740.35 
[68072] DISPLAY_SUMMARY,REUXfFUthD 
[68171] SET_SELL_AMOUNT,REUXfFUthD,RUN,191.94 
[68213] SET_SELL_TRIGGER,REUXfFUthD,RUN,61.83 
[68229] SET_SELL_AMOUNT,REUXfFUthD,GYF,612.42 
[68312] SET_SELL_TRIGGER,REUXfFUthD,GYF,579.92 
[68428] SET_SELL_AMOUNT,REUXfFUthD,RNK,307.14 
[68647] CANCEL_SET_SELL,REUXfFUthD,RNK 
[68673] DISPLAY_SUMMARY,REUXfFUthD 
[68871] SET_BUY_AMOUNT,REUXfFUthD,FQP,169.78 
[68975] SET_BUY_TRIGGER,REUXfFUthD,KJH,98.70 
[69167] BUY,REUXfFUthD,XDN,389.30 
[69189] BUY,REUXfFUthD,AQO,58.37 
[69311] COMMIT_BUY,REUXfFUthD 
[69435] ADD,REUXfFUthD,64162.38 
[69521] QUOTE,REUXfFUthD,SCW 
[69535] BUY,REUXfFUthD,UTD,232.42 
[69583] COMMIT_BUY,REUXfFUthD 
[69717] QUOTE,REUXfFUthD,QAA 
[69803] CANCEL_SET_BUY,REUXfFUthD,WTL 
[69822] SET_SELL_TRIGGER,REUXfFUthD,IOY,97.49 
[69858] SET_BUY_AMOUNT,REUXfFUthD,LZV,614.16 
[69916] SELL,REUXfFUthD,ZYR,322.80 
[70006] DISPLAY_SUMMARY,REUXfFUthD 
[70132] QUOTE,REUXfFUthD,MIU 
[70202] QUOTE,REUXfFUthD,WOJ 
[70287] CANCEL_SET_BUY,REUXfFUthD,GWS 
[70453] SET_BUY_TRIGGER,REUXfFUthD,ZNL,131.19 
[70471] CANCEL_SET_SELL,REUXfFUthD,OOR 
[70559] SET_SELL_TRIGGER,REUXfFUthD,ULL,112.79 
[70660] ADD,REUXfFUthD,70086.98 
[70790] SET_BUY_TRIGGER,REUXfFUthD,DDA,179.56 
[70807] SET_BUY_TRIGGER,REUXfFUthD,CBQ,94.34 
[70847] SET_BUY_TRIGGER,REUXfFUthD,ULL,59.79 
[70894] SET_BUY_AMOUNT,REUXfFUthD,BYA,511.43 
[70915] SET_BUY_TRIGGER,REUXfFUthD,LSK,271.95 
[70954] SET_BUY_AMOUNT,REUXfFUthD,NHG,660.60 
[70974] BUY,REUXfFUthD,KEO,517.60 
[71076] COMMIT_BUY,REUXfFUthD 
[71175] ADD,REUXfFUthD,89047.55 
[71227] COMMIT_BUY,REUXfFUthD 
[71245] QUOTE,REUXfFUthD,LGL 
[71455] BUY,REUXfFUthD,CXB,180.96 
[71522] CANCEL_SELL,REUXfFUthD 
[71540] BUY,REUXfFUthD,MMF,735.10 
[71546] SET_BUY_TRIGGER,REUXfFUthD,PBV,393.07 
[71555] QUOTE,REUXfFUthD,YNY 
[72010] BUY,REUXfFUthD,EBS,396.62 
[72157] COMMIT_BUY,REUXfFUthD 
[72175] SET_BUY_TRIGGER,REUXfFUthD,RKY,167.39 
[72205] BUY,REUXfFUthD,BTD,281.62 
[72313] SELL,REUXfFUthD,VTY,719.04 
[72360] SELL,REUXfFUthD,KYX,260.59 
[72373] SET_SELL_TRIGGER,REUXfFUthD,AUX,97.95 
[72530] QUOTE,REUXfFUthD,TYV 
[72744] ADD,REUXfFUthD,68037.20 
[72776] BUY,REUXfFUthD,VTY,618.22 
[72816] CANCEL_BUY,REUXfFUthD 
[73096] ADD,REUXfFUthD,72305.98 
[73115] QUOTE,REUXfFUthD,ZRH 
[73200] COMMIT_BUY,REUXfFUthD 
[73314] BUY,REUXfFUthD,CWA,564.77 
[73342] SET_BUY_AMOUNT,REUXfFUthD,MXD,187.39 
[73558] SET_BUY_TRIGGER,REUXfFUthD,GXT,133.11 
[73609] SELL,REUXfFUthD,CBO,231.00 
[73643] COMMIT_SELL,REUXfFUthD 
[73662] DISPLAY_SUMMARY,REUXfFUthD 
[73670] ADD,REUXfFUthD,93635.49 
[73691] QUOTE,REUXfFUthD,OGR 
[73765] BUY,REUXfFUthD,AJR,549.74 
[73822] COMMIT_BUY,REUXfFUthD 
[73890] COMMIT_BUY,REUXfFUthD 
[73939] SET_SELL_TRIGGER,REUXfFUthD,MDZ,88.77 
[74233] ADD,REUXfFUthD,75755.58 
[74317] QUOTE,REUXfFUthD,XAN 
[74376] BUY,REUXfFUthD,OXK,456.04 
[74427] COMMIT_BUY,REUXfFUthD 
[74708] DISPLAY_SUMMARY,REUXfFUthD 
[74712] QUOTE,REUXfFUthD,CUQ 
[74771] CANCEL_BUY,REUXfFUthD 
[74803] BUY,REUXfFUthD,OEY,492.65 
[74904] COMMIT_BUY,REUXfFUthD 
[74969] ADD,REUXfFUthD,77231.75 
[75012] QUOTE,REUXfFUthD,ZFT 
[75308] SET_BUY_AMOUNT,REUXfFUthD,YDS,707.07 
[75354] CANCEL_SET_BUY,REUXfFUthD,NSN 
[75500] QUOTE,REUXfFUthD,CDF 
[75656] QUOTE,REUXfFUthD,ZTI 
[75717] SET_BUY_TRIGGER,REUXfFUthD,PVH,22.73 
[75808] SET_BUY_AMOUNT,REUXfFUthD,OZO,202.97 
[75999] QUOTE,REUXfFUthD,KDG 
[76490] BUY,REUXfFUthD,LLD,580.16 
[76622] SET_BUY_TRIGGER,REUXfFUthD,PLA,11.50 
[76683] SET_SELL_AMOUNT,REUXfFUthD,XXQ,41.51 
[76910] SET_SELL_TRIGGER,REUXfFUthD,XXQ,14.61 
[77043] BUY,REUXfFUthD,OGR,338.71 
[77164] COMMIT_BUY,REUXfFUthD 
[77277] ADD,REUXfFUthD,47235.86 
[77426] BUY,REUXfFUthD,URA,686.08 
[77611] SET_SELL_TRIGGER,REUXfFUthD,DXQ,170.33 
[77639] BUY,REUXfFUthD,YVX,27.37 
[77814] COMMIT_BUY,REUXfFUthD 
[77851] DISPLAY_SUMMARY,REUXfFUthD 
[77863] BUY,REUXfFUthD,TOZ,432.74 
[78002] CANCEL_BUY,REUXfFUthD 
[78029] ADD,REUXfFUthD,81554.19 
[78078] QUOTE,REUXfFUthD,TSU 
[78149] BUY,REUXfFUthD,ZGN,86.25 
[78162] COMMIT_BUY,REUXfFUthD 
[78373] SELL,REUXfFUthD,JZJ,150.02 
[78550] SET_BUY_AMOUNT,REUXfFUthD,SUS,171.88 
[78738] SET_BUY_TRIGGER,REUXfFUthD,WHR,86.64 
[79080] SELL,REUXfFUthD,LFU,209.13 
[79118] BUY,REUXfFUthD,SWD,236.11 
[79156] CANCEL_SELL,REUXfFUthD 
[79213] ADD,REUXfFUthD,55462.38 
[79283] BUY,REUXfFUthD,MSV,719.32 
[79390] COMMIT_BUY,REUXfFUthD 
[79442] QUOTE,REUXfFUthD,EDM 
[79489] QUOTE,REUXfFUthD,ZNY 
[79671] BUY,REUXfFUthD,QPR,51.56 
[79690] CANCEL_SET_BUY,REUXfFUthD,ALV 
[80119] DISPLAY_SUMMARY,REUXfFUthD 
[80252] DISPLAY_SUMMARY,REUXfFUthD 
[80282] CANCEL_BUY,REUXfFUthD 
[80364] SET_SELL_TRIGGER,REUXfFUthD,KJD,79.53 
[80454] ADD,REUXfFUthD,48062.27 
[80511] BUY,REUXfFUthD,RKY,63.17 
[80690] SET_BUY_AMOUNT,REUXfFUthD,UTV,538.83 
[81127] SET_BUY_TRIGGER,REUXfFUthD,XCL,230.60 
[81668] ADD,REUXfFUthD,80005.94 
[81834] SELL,REUXfFUthD,OZO,164.76 
[81839] SET_SELL_AMOUNT,REUXfFUthD,XLK,395.64 
[82021] SET_SELL_TRIGGER,REUXfFUthD,XLK,165.38 
[82058] DISPLAY_SUMMARY,REUXfFUthD 
[82151] BUY,REUXfFUthD,YUL,635.83 
[82193] SET_SELL_AMOUNT,REUXfFUthD,JZJ,182.65 
[82372] SET_SELL_TRIGGER,REUXfFUthD,JZJ,176.53 
[82406] SET_BUY_TRIGGER,REUXfFUthD,ZQS,87.66 
[82441] ADD,REUXfFUthD,53295.73 
[82503] BUY,REUXfFUthD,FMJ,502.58 
[82559] SELL,REUXfFUthD,SQI,400.55 
[82641] ADD,REUXfFUthD,66526.68 
[82664] BUY,REUXfFUthD,VMK,592.93 
[82715] COMMIT_BUY,REUXfFUthD 
[82722] SET_SELL_AMOUNT,REUXfFUthD,GRM,493.39 
[82781] SET_SELL_TRIGGER,REUXfFUthD,GRM,393.42 
[82868] SET_SELL_TRIGGER,REUXfFUthD,UEC,86.82 
[82874] SET_BUY_AMOUNT,REUXfFUthD,AVX,287.33 
[82886] SET_BUY_TRIGGER,REUXfFUthD,JGO,79.74 
[82964] QUOTE,REUXfFUthD,JHY 
[83270] BUY,REUXfFUthD,WXV,102.70 
[83376] QUOTE,REUXfFUthD,QPZ 
[83425] SET_BUY_TRIGGER,REUXfFUthD,NKC,108.46 
[83433] SET_SELL_TRIGGER,REUXfFUthD,FYR,159.28 
[83631] ADD,REUXfFUthD,61349.36 
[83821] COMMIT_BUY,REUXfFUthD 
[83991] DISPLAY_SUMMARY,REUXfFUthD 
[84284] DISPLAY_SUMMARY,REUXfFUthD 
[84289] BUY,REUXfFUthD,GRD,161.12 
[84331] COMMIT_BUY,REUXfFUthD 
[84556] BUY,REUXfFUthD,OZT,648.05 
[84616] COMMIT_BUY,REUXfFUthD 
[84729] ADD,REUXfFUthD,54141.21 
[84856] BUY,REUXfFUthD,CUZ,160.18 
[85068] COMMIT_BUY,REUXfFUthD 
[85081] QUOTE,REUXfFUthD,POE 
[85418] BUY,REUXfFUthD,RVU,439.49 
[85473] COMMIT_BUY,REUXfFUthD 
[85646] SET_BUY_AMOUNT,REUXfFUthD,QGE,360.59 
[85677] SET_BUY_TRIGGER,REUXfFUthD,MQF,313.94 
[85681] SET_SELL_TRIGGER,REUXfFUthD,FRB,112.18 
[85752] DISPLAY_SUMMARY,REUXfFUthD 
[85768] SET_SELL_AMOUNT,REUXfFUthD,UTV,474.40 
[85787] SET_SELL_TRIGGER,REUXfFUthD,UTV,468.13 
[85876] ADD,REUXfFUthD,61100.63 
[85914] QUOTE,REUXfFUthD,FQG 
[86219] SELL,REUXfFUthD,VDP,672.21 
[86380] CANCEL_SELL,REUXfFUthD 
[86482] ADD,REUXfFUthD,100318.83 
[86805] CANCEL_SELL,REUXfFUthD 
[86810] QUOTE,REUXfFUthD,XZO 
[86852] ADD,REUXfFUthD,60143.87 
[86946] QUOTE,REUXfFUthD,TQE 
[86980] CANCEL_SET_SELL,REUXfFUthD,POI 
[87011] DISPLAY_SUMMARY,REUXfFUthD 
[87012] SELL,REUXfFUthD,FDI,5.51 
[87069] COMMIT_SELL,REUXfFUthD 
[87102] BUY,REUXfFUthD,XBL,325.37 
[87319] COMMIT_BUY,REUXfFUthD 
[87584] SET_BUY_AMOUNT,REUXfFUthD,SQI,370.26 
[87608] SET_BUY_TRIGGER,REUXfFUthD,YCH,82.51 
[87699] DISPLAY_SUMMARY,REUXfFUthD 
[87763] SET_SELL_TRIGGER,REUXfFUthD,PDB,44.67 
[87840] SET_SELL_TRIGGER,REUXfFUthD,XLI,89.78 
[87842] QUOTE,REUXfFUthD,YPW 
[87940] BUY,REUXfFUthD,UTL,618.71 
[88218] COMMIT_BUY,REUXfFUthD 
[88283] QUOTE,REUXfFUthD,DIX 
[88296] SET_BUY_AMOUNT,REUXfFUthD,XQC,311.48 
[88544] SET_BUY_TRIGGER,REUXfFUthD,WUL,94.11 
[88593] ADD,REUXfFUthD,82687.09 
[88643] QUOTE,REUXfFUthD,OZW 
[88677] CANCEL_BUY,REUXfFUthD 
[88706] CANCEL_SET_SELL,REUXfFUthD,OYS 
[88733] DISPLAY_SUMMARY,REUXfFUthD 
[88941] QUOTE,REUXfFUthD,QTH 
[88967] QUOTE,REUXfFUthD,JCQ 
[89033] SELL,REUXfFUthD,GYF,577.23 
[89053] COMMIT_SELL,REUXfFUthD 
[89064] SET_SELL_TRIGGER,REUXfFUthD,QSS,153.73 
[89127] SET_SELL_TRIGGER,REUXfFUthD,DWC,8.50 
[89349] ADD,REUXfFUthD,38853.49 
[89356] QUOTE,REUXfFUthD,IGI 
[89395] CANCEL_BUY,REUXfFUthD 
[89420] SET_BUY_AMOUNT,REUXfFUthD,CEC,342.71 
[89487] SET_BUY_TRIGGER,REUXfFUthD,IQZ,161.86 
[89764] SET_SELL_AMOUNT,REUXfFUthD,OPN,444.70 
[89789] SET_SELL_TRIGGER,REUXfFUthD,OPN,67.13 
[90006] SET_SELL_TRIGGER,REUXfFUthD,FLD,105.85 
[90478] ADD,REUXfFUthD,83285.66 
[90720] COMMIT_BUY,REUXfFUthD 
[90732] SET_SELL_TRIGGER,REUXfFUthD,DVA,157.98 
[90808] QUOTE,REUXfFUthD,ZKV 
[90873] BUY,REUXfFUthD,QVK,241.30 
[90879] CANCEL_BUY,REUXfFUthD 
[90888] ADD,REUXfFUthD,56467.08 
[91127] QUOTE,REUXfFUthD,YBP 
[91206] QUOTE,REUXfFUthD,KAF 
[91215] DISPLAY_SUMMARY,REUXfFUthD 
[91242] SET_BUY_AMOUNT,REUXfFUthD,QGE,576.23 
[91325] DISPLAY_SUMMARY,REUXfFUthD 
[91336] DISPLAY_SUMMARY,REUXfFUthD 
[91434] SET_BUY_AMOUNT,REUXfFUthD,VDP,693.02 
[91460] SET_BUY_TRIGGER,REUXfFUthD,PPW,227.76 
[91550] ADD,REUXfFUthD,69173.82 
[91623] CANCEL_SELL,REUXfFUthD 
[91713] ADD,REUXfFUthD,70160.98 
[91862] QUOTE,REUXfFUthD,QSS 
[91866] BUY,REUXfFUthD,BMW,739.68 
[91972] COMMIT_BUY,REUXfFUthD 
[91974] SELL,REUXfFUthD,YJK,318.67 
[92039] DISPLAY_SUMMARY,REUXfFUthD 
[92189] DISPLAY_SUMMARY,REUXfFUthD 
[92213] SET_BUY_TRIGGER,REUXfFUthD,HGG,184.91 
[92448] DISPLAY_SUMMARY,REUXfFUthD 
[92579] QUOTE,REUXfFUthD,GZQ 
[92589] QUOTE,REUXfFUthD,YNH 
[92605] BUY,REUXfFUthD,OPN,660.74 
[92710] CANCEL_BUY,REUXfFUthD 
[92719] ADD,REUXfFUthD,67669.59 
[92770] CANCEL_SET_SELL,REUXfFUthD,OTQ 
[92824] BUY,REUXfFUthD,CXW,269.96 
[92866] SELL,REUXfFUthD,JQO,54.55 
[93137] CANCEL_SELL,REUXfFUthD 
[93276] CANCEL_BUY,REUXfFUthD 
[93386] ADD,REUXfFUthD,77627.86 
[93389] BUY,REUXfFUthD,ZWC,731.56 
[93406] BUY,REUXfFUthD,DJD,579.41 
[93503] CANCEL_SET_BUY,REUXfFUthD,KTU 
[93623] SET_BUY_TRIGGER,REUXfFUthD,NXF,128.33 
[93630] DISPLAY_SUMMARY,REUXfFUthD 
[93658] BUY,REUXfFUthD,MQH,26.92 
[93768] COMMIT_BUY,REUXfFUthD 
[93913] BUY,REUXfFUthD,DMS,312.82 
[93948] SET_SELL_TRIGGER,REUXfFUthD,EOY,41.40 
[94547] ADD,REUXfFUthD,55046.10 
[94618] QUOTE,REUXfFUthD,ZFK 
[94668] SET_SELL_TRIGGER,REUXfFUthD,YDD,64.32 
[94692] ADD,REUXfFUthD,87072.76 
[94766] BUY,REUXfFUthD,CXW,170.43 
[94928] BUY,REUXfFUthD,MER,355.71 
[94978] COMMIT_BUY,REUXfFUthD 
[95040] DISPLAY_SUMMARY,REUXfFUthD 
[95476] ADD,REUXfFUthD,85190.08 
[95494] QUOTE,REUXfFUthD,KBI 
[95504] CANCEL_SELL,REUXfFUthD 
[95612] ADD,REUXfFUthD,74177.05 
[95647] QUOTE,REUXfFUthD,MWM 
[95746] BUY,REUXfFUthD,WXV,572.59 
[95921] QUOTE,REUXfFUthD,HNW 
[95964] BUY,REUXfFUthD,ZWZ,740.38 
[96050] COMMIT_BUY,REUXfFUthD 
[96139] SELL,REUXfFUthD,KBN,467.29 
[96177] COMMIT_BUY,REUXfFUthD 
[96392] DISPLAY_SUMMARY,REUXfFUthD 
[96413] SET_BUY_AMOUNT,REUXfFUthD,MXD,566.36 
[96736] SET_BUY_TRIGGER,REUXfFUthD,RFI,196.88 
[96865] SET_BUY_TRIGGER,REUXfFUthD,JKX,53.27 
[96900] ADD,REUXfFUthD,51837.58 
[96966] DISPLAY_SUMMARY,REUXfFUthD 
[96982] BUY,REUXfFUthD,JCL,193.53 
[97423] COMMIT_BUY,REUXfFUthD 
[97446] CANCEL_BUY,REUXfFUthD 
[97462] ADD,REUXfFUthD,82249.13 
[97638] QUOTE,REUXfFUthD,RGH 
[97639] QUOTE,REUXfFUthD,ECL 
[97684] DISPLAY_SUMMARY,REUXfFUthD 
[97807] DISPLAY_SUMMARY,REUXfFUthD 
[97856] DISPLAY_SUMMARY,REUXfFUthD 
[98003] SET_SELL_AMOUNT,REUXfFUthD,VTY,231.73 
[98142] CANCEL_SET_SELL,REUXfFUthD,VTY 
[98228] BUY,REUXfFUthD,WCR,609.37 
[98272] SET_BUY_TRIGGER,REUXfFUthD,MAX,1.02 
[98294] ADD,REUXfFUthD,74068.91 
[98319] BUY,REUXfFUthD,SAN,121.95 
[98331] COMMIT_BUY,REUXfFUthD 
[98339] CANCEL_SET_SELL,REUXfFUthD,BTD 
[98381] QUOTE,REUXfFUthD,ALV 
[98720] BUY,REUXfFUthD,IHW,10.72 
[98721] SELL,REUXfFUthD,PTP,361.60 
[98827] COMMIT_SELL,REUXfFUthD 
[98959] ADD,REUXfFUthD,85297.92 
[99032] QUOTE,REUXfFUthD,LPW 
[99471] BUY,REUXfFUthD,YDS,703.52 
[99474] BUY,REUXfFUthD,PHU,77.25 
[99623] COMMIT_BUY,REUXfFUthD 
[99677] QUOTE,REUXfFUthD,BHQ 
[99684] CANCEL_SET_BUY,REUXfFUthD,JUJ 
[99823] DISPLAY_SUMMARY,REUXfFUthD 
[99915] SELL,REUXfFUthD,GYF,88.06 
[99933] ADD,REUXfFUthD,65719.87 
