[132] ADD,Rq5xFLYt6l,89274.02 
[46525] SET_SELL_TRIGGER,Rq5xFLYt6l,CBV,178.14 
[46665] BUY,Rq5xFLYt6l,JLO,540.42 
[46730] ADD,Rq5xFLYt6l,89862.95 
[46798] BUY,Rq5xFLYt6l,OFP,6.01 
[46895] SET_BUY_AMOUNT,Rq5xFLYt6l,RNK,292.99 
[46966] CANCEL_SET_BUY,Rq5xFLYt6l,LSM 
[47262] ADD,Rq5xFLYt6l,104329.30 
[47403] QUOTE,Rq5xFLYt6l,FLY 
[47440] ADD,Rq5xFLYt6l,71168.92 
[47451] BUY,Rq5xFLYt6l,UDM,342.99 
[47495] SELL,Rq5xFLYt6l,BCQ,663.96 
[47496] COMMIT_SELL,Rq5xFLYt6l 
[47676] SET_BUY_TRIGGER,Rq5xFLYt6l,DFE,52.14 
[47735] DISPLAY_SUMMARY,Rq5xFLYt6l 
[47763] BUY,Rq5xFLYt6l,TWJ,271.11 
[47850] CANCEL_SET_BUY,Rq5xFLYt6l,XVK 
[47883] SET_BUY_AMOUNT,Rq5xFLYt6l,PTP,186.67 
[47962] SET_BUY_TRIGGER,Rq5xFLYt6l,HGG,73.17 
[48018] SET_SELL_AMOUNT,Rq5xFLYt6l,ZAN,519.01 
[48070] SELL,Rq5xFLYt6l,JRJ,660.18 
[48194] COMMIT_SELL,Rq5xFLYt6l 
[48212] SET_BUY_TRIGGER,Rq5xFLYt6l,WTD,118.48 
[48238] QUOTE,Rq5xFLYt6l,EGB 
[48251] SET_BUY_AMOUNT,Rq5xFLYt6l,OEY,357.54 
[48305] SET_BUY_TRIGGER,Rq5xFLYt6l,ESN,129.21 
[48386] ADD,Rq5xFLYt6l,68918.53 
[48387] BUY,Rq5xFLYt6l,KEO,39.33 
[48403] QUOTE,Rq5xFLYt6l,RQF 
[48467] CANCEL_SET_BUY,Rq5xFLYt6l,ZAN 
[48563] ADD,Rq5xFLYt6l,94607.16 
[48583] QUOTE,Rq5xFLYt6l,ENQ 
[48605] CANCEL_SET_SELL,Rq5xFLYt6l,ZAN 
[48705] QUOTE,Rq5xFLYt6l,STO 
[48837] SET_BUY_AMOUNT,Rq5xFLYt6l,XXQ,406.63 
[48848] SET_BUY_TRIGGER,Rq5xFLYt6l,GCL,332.96 
[48931] BUY,Rq5xFLYt6l,GPC,187.83 
[49038] COMMIT_BUY,Rq5xFLYt6l 
[49076] DISPLAY_SUMMARY,Rq5xFLYt6l 
[49182] DISPLAY_SUMMARY,Rq5xFLYt6l 
[49270] QUOTE,Rq5xFLYt6l,PUN 
[49526] BUY,Rq5xFLYt6l,BFL,319.30 
[49583] COMMIT_BUY,Rq5xFLYt6l 
[49605] ADD,Rq5xFLYt6l,62705.89 
[49876] QUOTE,Rq5xFLYt6l,DHA 
[49928] SET_BUY_AMOUNT,Rq5xFLYt6l,JRJ,509.08 
[50056] SET_BUY_TRIGGER,Rq5xFLYt6l,SKW,419.03 
[50065] DISPLAY_SUMMARY,Rq5xFLYt6l 
[50202] BUY,Rq5xFLYt6l,KAF,39.37 
[50204] SET_BUY_AMOUNT,Rq5xFLYt6l,JVT,112.65 
[50380] DISPLAY_SUMMARY,Rq5xFLYt6l 
[50432] DISPLAY_SUMMARY,Rq5xFLYt6l 
[50522] QUOTE,Rq5xFLYt6l,HZA 
[50536] SET_SELL_TRIGGER,Rq5xFLYt6l,SBT,116.38 
[50702] DISPLAY_SUMMARY,Rq5xFLYt6l 
[50707] QUOTE,Rq5xFLYt6l,FNY 
[50786] QUOTE,Rq5xFLYt6l,URY 
[50801] SET_BUY_TRIGGER,Rq5xFLYt6l,KPP,3.82 
[51082] QUOTE,Rq5xFLYt6l,SWD 
[51090] SET_BUY_TRIGGER,Rq5xFLYt6l,GTN,18.34 
[51209] QUOTE,Rq5xFLYt6l,QVA 
[51560] BUY,Rq5xFLYt6l,LHC,58.61 
[51672] COMMIT_BUY,Rq5xFLYt6l 
[51721] BUY,Rq5xFLYt6l,WUL,485.40 
[51931] COMMIT_BUY,Rq5xFLYt6l 
[51985] BUY,Rq5xFLYt6l,PYM,239.03 
[52234] SELL,Rq5xFLYt6l,XXQ,650.65 
[52445] CANCEL_SET_SELL,Rq5xFLYt6l,DMS 
[52466] ADD,Rq5xFLYt6l,76325.92 
[52606] BUY,Rq5xFLYt6l,KEV,321.67 
[52630] SET_BUY_TRIGGER,Rq5xFLYt6l,OYS,154.84 
[52665] BUY,Rq5xFLYt6l,UDM,122.62 
[52753] COMMIT_BUY,Rq5xFLYt6l 
[52853] SET_BUY_TRIGGER,Rq5xFLYt6l,MIQ,178.23 
[52866] BUY,Rq5xFLYt6l,NTB,679.08 
[52991] COMMIT_BUY,Rq5xFLYt6l 
[53128] DISPLAY_SUMMARY,Rq5xFLYt6l 
[53350] DISPLAY_SUMMARY,Rq5xFLYt6l 
[53406] SET_SELL_TRIGGER,Rq5xFLYt6l,PLB,23.29 
[53511] ADD,Rq5xFLYt6l,55284.24 
[53602] QUOTE,Rq5xFLYt6l,OYX 
[53646] ADD,Rq5xFLYt6l,77486.05 
[53716] QUOTE,Rq5xFLYt6l,CBX 
[53749] BUY,Rq5xFLYt6l,AVX,737.19 
[53755] COMMIT_BUY,Rq5xFLYt6l 
[53813] ADD,Rq5xFLYt6l,91504.44 
[53853] QUOTE,Rq5xFLYt6l,LPB 
[53904] BUY,Rq5xFLYt6l,DVA,663.84 
[53955] SELL,Rq5xFLYt6l,JZJ,246.90 
[53986] SET_BUY_AMOUNT,Rq5xFLYt6l,XXQ,114.65 
[54094] SET_BUY_TRIGGER,Rq5xFLYt6l,KZZ,76.64 
[54121] ADD,Rq5xFLYt6l,66991.99 
[54187] BUY,Rq5xFLYt6l,RLS,475.06 
[54259] SELL,Rq5xFLYt6l,DFE,223.70 
[54364] SELL,Rq5xFLYt6l,RNK,689.80 
[54374] CANCEL_SELL,Rq5xFLYt6l 
[54491] CANCEL_SET_BUY,Rq5xFLYt6l,GJQ 
[54509] ADD,Rq5xFLYt6l,41853.10 
[54559] BUY,Rq5xFLYt6l,STQ,371.22 
[54568] COMMIT_BUY,Rq5xFLYt6l 
[54590] ADD,Rq5xFLYt6l,68410.75 
[54792] BUY,Rq5xFLYt6l,AOC,439.23 
[54908] SET_BUY_AMOUNT,Rq5xFLYt6l,SUS,749.73 
[54991] QUOTE,Rq5xFLYt6l,BHQ 
[55292] CANCEL_SELL,Rq5xFLYt6l 
[55306] SELL,Rq5xFLYt6l,GYF,613.01 
[55636] QUOTE,Rq5xFLYt6l,OZW 
[55797] BUY,Rq5xFLYt6l,FWW,483.72 
[55837] DISPLAY_SUMMARY,Rq5xFLYt6l 
[55867] SET_BUY_AMOUNT,Rq5xFLYt6l,NHG,556.73 
[55968] CANCEL_SET_BUY,Rq5xFLYt6l,ENQ 
[55982] SELL,Rq5xFLYt6l,KES,584.51 
[56123] COMMIT_SELL,Rq5xFLYt6l 
[56187] SET_BUY_AMOUNT,Rq5xFLYt6l,QAX,296.06 
[56230] SET_BUY_TRIGGER,Rq5xFLYt6l,JCL,82.15 
[56399] ADD,Rq5xFLYt6l,72553.08 
[56493] QUOTE,Rq5xFLYt6l,QUT 
[56524] BUY,Rq5xFLYt6l,AUX,514.91 
[56705] COMMIT_BUY,Rq5xFLYt6l 
[56843] CANCEL_SET_BUY,Rq5xFLYt6l,FXT 
[57004] COMMIT_BUY,Rq5xFLYt6l 
[57278] COMMIT_SELL,Rq5xFLYt6l 
[57560] BUY,Rq5xFLYt6l,RQF,469.01 
[57716] COMMIT_BUY,Rq5xFLYt6l 
[57831] ADD,Rq5xFLYt6l,93117.83 
[57847] BUY,Rq5xFLYt6l,AUX,600.14 
[57926] SET_SELL_AMOUNT,Rq5xFLYt6l,GYF,549.33 
[57937] QUOTE,Rq5xFLYt6l,RRZ 
[57938] QUOTE,Rq5xFLYt6l,AUT 
[58132] SET_BUY_AMOUNT,Rq5xFLYt6l,GYF,428.33 
[58272] CANCEL_SET_BUY,Rq5xFLYt6l,YBB 
[58281] SELL,Rq5xFLYt6l,JVT,279.53 
[58397] COMMIT_SELL,Rq5xFLYt6l 
[58468] SELL,Rq5xFLYt6l,GYF,75.79 
[58630] CANCEL_SELL,Rq5xFLYt6l 
[58652] SET_SELL_TRIGGER,Rq5xFLYt6l,GYF,439.94 
[58808] CANCEL_SET_SELL,Rq5xFLYt6l,OOT 
[58818] DISPLAY_SUMMARY,Rq5xFLYt6l 
[58888] SET_BUY_AMOUNT,Rq5xFLYt6l,JQO,286.94 
[59030] SET_BUY_TRIGGER,Rq5xFLYt6l,ZWC,213.07 
[59138] DISPLAY_SUMMARY,Rq5xFLYt6l 
[59152] BUY,Rq5xFLYt6l,SOA,609.11 
[59182] CANCEL_BUY,Rq5xFLYt6l 
[59381] DISPLAY_SUMMARY,Rq5xFLYt6l 
[59449] SET_SELL_AMOUNT,Rq5xFLYt6l,GYF,653.68 
[59478] SET_SELL_TRIGGER,Rq5xFLYt6l,GYF,340.35 
[59492] ADD,Rq5xFLYt6l,79974.52 
[59996] COMMIT_BUY,Rq5xFLYt6l 
[60124] SET_SELL_TRIGGER,Rq5xFLYt6l,GRD,99.68 
[60136] SET_SELL_AMOUNT,Rq5xFLYt6l,DFE,469.61 
[60248] SET_SELL_TRIGGER,Rq5xFLYt6l,DFE,81.99 
[60265] CANCEL_SET_SELL,Rq5xFLYt6l,VCN 
[60278] SET_BUY_AMOUNT,Rq5xFLYt6l,SUS,290.00 
[60440] SET_BUY_TRIGGER,Rq5xFLYt6l,SUS,88.89 
[60505] ADD,Rq5xFLYt6l,53906.77 
[60809] QUOTE,Rq5xFLYt6l,VVV 
[61262] SET_SELL_TRIGGER,Rq5xFLYt6l,YZC,65.66 
[61308] SET_BUY_TRIGGER,Rq5xFLYt6l,KJD,10.43 
[61376] SET_BUY_TRIGGER,Rq5xFLYt6l,MVQ,32.20 
[61449] SET_BUY_TRIGGER,Rq5xFLYt6l,FMJ,129.38 
[61459] ADD,Rq5xFLYt6l,68273.96 
[61486] BUY,Rq5xFLYt6l,FCM,391.68 
[61501] COMMIT_BUY,Rq5xFLYt6l 
[61612] ADD,Rq5xFLYt6l,46648.14 
[61622] BUY,Rq5xFLYt6l,GCW,332.46 
[61918] COMMIT_BUY,Rq5xFLYt6l 
[61932] SET_SELL_TRIGGER,Rq5xFLYt6l,MQH,150.44 
[61960] QUOTE,Rq5xFLYt6l,MRH 
[62025] SET_BUY_AMOUNT,Rq5xFLYt6l,GYF,617.59 
[62058] SET_BUY_TRIGGER,Rq5xFLYt6l,KNM,613.56 
[62126] SET_BUY_TRIGGER,Rq5xFLYt6l,WZM,88.61 
[62166] ADD,Rq5xFLYt6l,52041.82 
[62326] BUY,Rq5xFLYt6l,KRY,53.43 
[62349] COMMIT_SELL,Rq5xFLYt6l 
[62397] SET_SELL_AMOUNT,Rq5xFLYt6l,KDA,291.83 
[62500] SET_SELL_TRIGGER,Rq5xFLYt6l,KDA,224.54 
[62543] QUOTE,Rq5xFLYt6l,XFA 
[62553] CANCEL_SET_SELL,Rq5xFLYt6l,XXP 
[62750] SELL,Rq5xFLYt6l,JZJ,55.36 
[62866] COMMIT_SELL,Rq5xFLYt6l 
[62951] SET_BUY_AMOUNT,Rq5xFLYt6l,LFU,676.72 
[63015] SET_BUY_TRIGGER,Rq5xFLYt6l,DVA,410.32 
[63156] QUOTE,Rq5xFLYt6l,CXN 
[63247] SET_BUY_TRIGGER,Rq5xFLYt6l,RXO,157.48 
[63399] DISPLAY_SUMMARY,Rq5xFLYt6l 
[63474] ADD,Rq5xFLYt6l,50623.45 
[63501] QUOTE,Rq5xFLYt6l,HEJ 
[63652] QUOTE,Rq5xFLYt6l,QOQ 
[63697] BUY,Rq5xFLYt6l,CLP,286.29 
[63742] COMMIT_BUY,Rq5xFLYt6l 
[63772] DISPLAY_SUMMARY,Rq5xFLYt6l 
[63798] SET_SELL_TRIGGER,Rq5xFLYt6l,EUM,191.19 
[63915] DISPLAY_SUMMARY,Rq5xFLYt6l 
[63937] ADD,Rq5xFLYt6l,79893.73 
[63981] SELL,Rq5xFLYt6l,RUN,190.44 
[64109] COMMIT_SELL,Rq5xFLYt6l 
[64148] SELL,Rq5xFLYt6l,QJZ,397.54 
[64171] COMMIT_SELL,Rq5xFLYt6l 
[64244] ADD,Rq5xFLYt6l,89680.12 
[64313] QUOTE,Rq5xFLYt6l,MFY 
[64359] SET_SELL_AMOUNT,Rq5xFLYt6l,PTP,744.71 
[64527] SET_SELL_TRIGGER,Rq5xFLYt6l,PTP,675.61 
[64543] CANCEL_BUY,Rq5xFLYt6l 
[64580] SELL,Rq5xFLYt6l,EBS,506.32 
[64585] COMMIT_SELL,Rq5xFLYt6l 
[64622] ADD,Rq5xFLYt6l,69963.03 
[64725] BUY,Rq5xFLYt6l,FYR,599.65 
[64913] CANCEL_SET_SELL,Rq5xFLYt6l,DJD 
[64921] SELL,Rq5xFLYt6l,FDI,253.19 
[65016] CANCEL_BUY,Rq5xFLYt6l 
[65086] QUOTE,Rq5xFLYt6l,IZU 
[65108] BUY,Rq5xFLYt6l,LPS,148.12 
[65220] COMMIT_BUY,Rq5xFLYt6l 
[65470] SET_BUY_AMOUNT,Rq5xFLYt6l,UIE,633.32 
[65795] SET_BUY_TRIGGER,Rq5xFLYt6l,VYQ,173.76 
[66021] BUY,Rq5xFLYt6l,RRT,39.80 
[66152] COMMIT_BUY,Rq5xFLYt6l 
[66229] ADD,Rq5xFLYt6l,60613.76 
[66350] BUY,Rq5xFLYt6l,EYY,609.78 
[66547] COMMIT_BUY,Rq5xFLYt6l 
[66677] DISPLAY_SUMMARY,Rq5xFLYt6l 
[66690] QUOTE,Rq5xFLYt6l,UCG 
[66735] QUOTE,Rq5xFLYt6l,KYX 
[66795] BUY,Rq5xFLYt6l,JVE,504.97 
[66805] COMMIT_BUY,Rq5xFLYt6l 
[66861] DISPLAY_SUMMARY,Rq5xFLYt6l 
[66899] SET_BUY_TRIGGER,Rq5xFLYt6l,ZWB,6.83 
[67059] ADD,Rq5xFLYt6l,58995.50 
[67149] BUY,Rq5xFLYt6l,XOM,554.75 
[67296] COMMIT_BUY,Rq5xFLYt6l 
[67450] DISPLAY_SUMMARY,Rq5xFLYt6l 
[67486] ADD,Rq5xFLYt6l,53068.65 
[67499] CANCEL_SELL,Rq5xFLYt6l 
[67558] SELL,Rq5xFLYt6l,ZAN,181.90 
[67580] QUOTE,Rq5xFLYt6l,MLI 
[67617] BUY,Rq5xFLYt6l,JGG,201.46 
[67675] COMMIT_BUY,Rq5xFLYt6l 
[67705] CANCEL_SET_BUY,Rq5xFLYt6l,DVU 
[67759] DISPLAY_SUMMARY,Rq5xFLYt6l 
[67867] BUY,Rq5xFLYt6l,RRT,500.41 
[67967] COMMIT_BUY,Rq5xFLYt6l 
[68031] SELL,Rq5xFLYt6l,JVT,678.39 
[68069] SET_BUY_AMOUNT,Rq5xFLYt6l,DFE,240.60 
[68323] DISPLAY_SUMMARY,Rq5xFLYt6l 
[68360] CANCEL_SET_BUY,Rq5xFLYt6l,OXV 
[68478] ADD,Rq5xFLYt6l,84426.75 
[68574] BUY,Rq5xFLYt6l,PUC,345.85 
[68594] COMMIT_BUY,Rq5xFLYt6l 
[68796] ADD,Rq5xFLYt6l,63697.75 
[68874] QUOTE,Rq5xFLYt6l,BEG 
[68876] BUY,Rq5xFLYt6l,ZPD,609.61 
[68934] COMMIT_BUY,Rq5xFLYt6l 
[69295] DISPLAY_SUMMARY,Rq5xFLYt6l 
[69326] SET_SELL_TRIGGER,Rq5xFLYt6l,VMK,103.86 
[69330] DISPLAY_SUMMARY,Rq5xFLYt6l 
[69349] SELL,Rq5xFLYt6l,IFN,596.53 
[69395] COMMIT_SELL,Rq5xFLYt6l 
[69507] DISPLAY_SUMMARY,Rq5xFLYt6l 
[69819] SET_BUY_AMOUNT,Rq5xFLYt6l,KYX,578.29 
[69880] SET_BUY_TRIGGER,Rq5xFLYt6l,KMZ,301.26 
[69988] BUY,Rq5xFLYt6l,VCN,183.78 
[70094] COMMIT_BUY,Rq5xFLYt6l 
[70273] BUY,Rq5xFLYt6l,TJL,585.96 
[70392] COMMIT_SELL,Rq5xFLYt6l 
[70465] SET_BUY_AMOUNT,Rq5xFLYt6l,OPN,123.55 
[70585] SET_BUY_TRIGGER,Rq5xFLYt6l,SOT,91.08 
[70615] DISPLAY_SUMMARY,Rq5xFLYt6l 
[70621] QUOTE,Rq5xFLYt6l,YRL 
[70649] QUOTE,Rq5xFLYt6l,DVA 
[70651] SET_BUY_AMOUNT,Rq5xFLYt6l,JVT,579.60 
[70695] SET_BUY_TRIGGER,Rq5xFLYt6l,CZQ,129.37 
[70713] ADD,Rq5xFLYt6l,95682.89 
[70750] COMMIT_SELL,Rq5xFLYt6l 
[70850] DISPLAY_SUMMARY,Rq5xFLYt6l 
[70866] SET_BUY_AMOUNT,Rq5xFLYt6l,SSF,431.13 
[71026] SET_BUY_TRIGGER,Rq5xFLYt6l,KLE,170.25 
[71074] DISPLAY_SUMMARY,Rq5xFLYt6l 
[71191] ADD,Rq5xFLYt6l,83527.32 
[71346] BUY,Rq5xFLYt6l,DBC,694.16 
[71430] COMMIT_BUY,Rq5xFLYt6l 
[71448] SET_SELL_TRIGGER,Rq5xFLYt6l,UTL,60.35 
[71530] SELL,Rq5xFLYt6l,YJK,261.05 
[71556] SET_BUY_AMOUNT,Rq5xFLYt6l,YDS,303.89 
[71845] QUOTE,Rq5xFLYt6l,QJZ 
[71887] CANCEL_SET_SELL,Rq5xFLYt6l,CCH 
[71933] SET_BUY_AMOUNT,Rq5xFLYt6l,KYX,594.02 
[71936] SET_BUY_TRIGGER,Rq5xFLYt6l,WYA,11.66 
[72003] BUY,Rq5xFLYt6l,QXW,13.37 
[72012] QUOTE,Rq5xFLYt6l,MSV 
[72137] COMMIT_BUY,Rq5xFLYt6l 
[72305] DISPLAY_SUMMARY,Rq5xFLYt6l 
[72485] ADD,Rq5xFLYt6l,81069.64 
[72772] BUY,Rq5xFLYt6l,DWU,290.26 
[72778] COMMIT_BUY,Rq5xFLYt6l 
[72796] COMMIT_BUY,Rq5xFLYt6l 
[73220] ADD,Rq5xFLYt6l,103105.13 
[73280] BUY,Rq5xFLYt6l,GCW,7.22 
[73377] QUOTE,Rq5xFLYt6l,JGG 
[73413] QUOTE,Rq5xFLYt6l,NUL 
[73449] QUOTE,Rq5xFLYt6l,JGG 
[73503] BUY,Rq5xFLYt6l,ROW,692.75 
[73588] COMMIT_BUY,Rq5xFLYt6l 
[73750] ADD,Rq5xFLYt6l,59309.64 
[73928] BUY,Rq5xFLYt6l,SPP,95.73 
[74029] SET_SELL_AMOUNT,Rq5xFLYt6l,UTV,629.33 
[74212] SET_SELL_TRIGGER,Rq5xFLYt6l,UTV,13.22 
[74274] DISPLAY_SUMMARY,Rq5xFLYt6l 
[74287] SELL,Rq5xFLYt6l,KES,580.67 
[74496] COMMIT_SELL,Rq5xFLYt6l 
[74605] ADD,Rq5xFLYt6l,85733.38 
[75030] BUY,Rq5xFLYt6l,WUL,63.90 
[75057] COMMIT_BUY,Rq5xFLYt6l 
[75113] COMMIT_SELL,Rq5xFLYt6l 
[75135] DISPLAY_SUMMARY,Rq5xFLYt6l 
[75141] SET_BUY_TRIGGER,Rq5xFLYt6l,PIE,124.80 
[75273] SET_BUY_AMOUNT,Rq5xFLYt6l,JZJ,190.28 
[75360] SET_BUY_TRIGGER,Rq5xFLYt6l,WHR,173.20 
[75536] SET_BUY_AMOUNT,Rq5xFLYt6l,SSF,416.81 
[75537] SET_BUY_TRIGGER,Rq5xFLYt6l,ZDB,398.02 
[75651] ADD,Rq5xFLYt6l,82745.08 
[75704] QUOTE,Rq5xFLYt6l,RVU 
[75896] QUOTE,Rq5xFLYt6l,QLM 
[75926] DISPLAY_SUMMARY,Rq5xFLYt6l 
[75998] SET_SELL_TRIGGER,Rq5xFLYt6l,QTH,40.25 
[76045] DISPLAY_SUMMARY,Rq5xFLYt6l 
[76337] ADD,Rq5xFLYt6l,46764.33 
[76376] QUOTE,Rq5xFLYt6l,JHY 
[76406] SET_BUY_AMOUNT,Rq5xFLYt6l,SQI,732.35 
[76534] SET_BUY_TRIGGER,Rq5xFLYt6l,YBP,236.46 
[76753] QUOTE,Rq5xFLYt6l,DPG 
[76883] QUOTE,Rq5xFLYt6l,TFZ 
[76972] ADD,Rq5xFLYt6l,36534.81 
[77029] BUY,Rq5xFLYt6l,YUL,204.68 
[77042] COMMIT_BUY,Rq5xFLYt6l 
[77287] ADD,Rq5xFLYt6l,67868.48 
[77527] SET_SELL_AMOUNT,Rq5xFLYt6l,XQC,428.39 
[77544] SET_SELL_TRIGGER,Rq5xFLYt6l,XQC,339.13 
[77795] SELL,Rq5xFLYt6l,JZJ,209.37 
[78143] COMMIT_SELL,Rq5xFLYt6l 
[78237] DISPLAY_SUMMARY,Rq5xFLYt6l 
[78252] ADD,Rq5xFLYt6l,87381.73 
[78254] ADD,Rq5xFLYt6l,84041.75 
[78411] ADD,Rq5xFLYt6l,34350.77 
[78440] ADD,Rq5xFLYt6l,56164.26 
[78510] QUOTE,Rq5xFLYt6l,PHE 
[78518] ADD,Rq5xFLYt6l,54705.34 
[78557] QUOTE,Rq5xFLYt6l,CNN 
[78692] QUOTE,Rq5xFLYt6l,BFB 
[78753] BUY,Rq5xFLYt6l,COE,283.90 
[78768] QUOTE,Rq5xFLYt6l,JGF 
[78917] DISPLAY_SUMMARY,Rq5xFLYt6l 
[79062] BUY,Rq5xFLYt6l,OQW,340.79 
[79071] COMMIT_BUY,Rq5xFLYt6l 
[79203] QUOTE,Rq5xFLYt6l,CXB 
[79234] SET_SELL_AMOUNT,Rq5xFLYt6l,YDS,245.25 
[79407] SET_SELL_TRIGGER,Rq5xFLYt6l,YDS,11.32 
[79446] SET_BUY_AMOUNT,Rq5xFLYt6l,XLK,278.73 
[79450] SET_BUY_TRIGGER,Rq5xFLYt6l,RNK,30.08 
[79513] BUY,Rq5xFLYt6l,OLH,345.70 
[79607] CANCEL_BUY,Rq5xFLYt6l 
[79777] SET_BUY_AMOUNT,Rq5xFLYt6l,TVI,561.60 
[79848] SET_BUY_TRIGGER,Rq5xFLYt6l,FSD,296.39 
[79912] BUY,Rq5xFLYt6l,CBY,172.73 
[80039] COMMIT_BUY,Rq5xFLYt6l 
[80103] SELL,Rq5xFLYt6l,ZYR,490.88 
[80188] SET_BUY_TRIGGER,Rq5xFLYt6l,SZI,175.08 
[80314] SET_BUY_AMOUNT,Rq5xFLYt6l,XQC,369.35 
[80362] SET_BUY_TRIGGER,Rq5xFLYt6l,KEO,69.19 
[80471] SET_SELL_AMOUNT,Rq5xFLYt6l,OEY,714.41 
[80474] DISPLAY_SUMMARY,Rq5xFLYt6l 
[80622] BUY,Rq5xFLYt6l,TSU,242.38 
[80793] COMMIT_BUY,Rq5xFLYt6l 
[80858] QUOTE,Rq5xFLYt6l,KLE 
[80877] CANCEL_SET_BUY,Rq5xFLYt6l,PYB 
[80979] BUY,Rq5xFLYt6l,DDA,633.54 
[80987] COMMIT_BUY,Rq5xFLYt6l 
[81233] SET_SELL_TRIGGER,Rq5xFLYt6l,OEY,25.83 
[81250] SELL,Rq5xFLYt6l,TKM,195.80 
[81299] CANCEL_SELL,Rq5xFLYt6l 
[81309] SELL,Rq5xFLYt6l,ZAN,716.60 
[81311] CANCEL_SELL,Rq5xFLYt6l 
[81345] SET_BUY_AMOUNT,Rq5xFLYt6l,XLK,429.29 
[81387] SET_BUY_TRIGGER,Rq5xFLYt6l,AIN,83.82 
[81389] BUY,Rq5xFLYt6l,BTD,283.48 
[81532] COMMIT_BUY,Rq5xFLYt6l 
[81627] SELL,Rq5xFLYt6l,JCQ,263.01 
[81631] COMMIT_SELL,Rq5xFLYt6l 
[81733] SET_BUY_AMOUNT,Rq5xFLYt6l,ZTI,270.96 
[81872] SELL,Rq5xFLYt6l,GRM,567.95 
[81956] SET_BUY_TRIGGER,Rq5xFLYt6l,USW,27.82 
[81962] SET_SELL_TRIGGER,Rq5xFLYt6l,AED,80.51 
[82181] DISPLAY_SUMMARY,Rq5xFLYt6l 
[82189] SELL,Rq5xFLYt6l,QVK,204.46 
[82392] CANCEL_SELL,Rq5xFLYt6l 
[82777] SET_BUY_TRIGGER,Rq5xFLYt6l,QVA,184.90 
[82826] QUOTE,Rq5xFLYt6l,PUC 
[82967] BUY,Rq5xFLYt6l,RQL,680.86 
[83130] SELL,Rq5xFLYt6l,AJR,280.42 
[83164] COMMIT_SELL,Rq5xFLYt6l 
[83278] BUY,Rq5xFLYt6l,BUL,636.58 
[83300] COMMIT_BUY,Rq5xFLYt6l 
[83332] SET_SELL_TRIGGER,Rq5xFLYt6l,YWC,129.75 
[83350] QUOTE,Rq5xFLYt6l,WRJ 
[83391] QUOTE,Rq5xFLYt6l,VZB 
[83392] BUY,Rq5xFLYt6l,YEH,239.10 
[83396] COMMIT_BUY,Rq5xFLYt6l 
[83519] QUOTE,Rq5xFLYt6l,ALM 
[83710] QUOTE,Rq5xFLYt6l,HIW 
[83856] ADD,Rq5xFLYt6l,91238.28 
[83931] BUY,Rq5xFLYt6l,NUV,133.51 
[84040] COMMIT_BUY,Rq5xFLYt6l 
[84277] ADD,Rq5xFLYt6l,69672.57 
[84407] QUOTE,Rq5xFLYt6l,IPJ 
[84624] CANCEL_SELL,Rq5xFLYt6l 
[84638] SET_SELL_TRIGGER,Rq5xFLYt6l,QPE,107.22 
[84835] DISPLAY_SUMMARY,Rq5xFLYt6l 
[84836] ADD,Rq5xFLYt6l,61031.95 
[84872] SELL,Rq5xFLYt6l,VTY,252.72 
[84891] SET_SELL_AMOUNT,Rq5xFLYt6l,UBJ,409.00 
[84908] SELL,Rq5xFLYt6l,KBN,214.65 
[84961] COMMIT_SELL,Rq5xFLYt6l 
[85034] SET_BUY_TRIGGER,Rq5xFLYt6l,KZZ,148.38 
[85087] ADD,Rq5xFLYt6l,86041.11 
[85114] QUOTE,Rq5xFLYt6l,ZDB 
[85119] QUOTE,Rq5xFLYt6l,WAI 
[85236] BUY,Rq5xFLYt6l,UGG,416.08 
[85324] COMMIT_BUY,Rq5xFLYt6l 
[85348] SET_BUY_TRIGGER,Rq5xFLYt6l,WZY,179.29 
[85408] SET_SELL_TRIGGER,Rq5xFLYt6l,UBJ,281.11 
[85433] DISPLAY_SUMMARY,Rq5xFLYt6l 
[85797] SET_BUY_TRIGGER,Rq5xFLYt6l,FGI,194.92 
[85880] DISPLAY_SUMMARY,Rq5xFLYt6l 
[86008] BUY,Rq5xFLYt6l,IGT,338.45 
[86009] CANCEL_BUY,Rq5xFLYt6l 
[86062] ADD,Rq5xFLYt6l,66098.66 
[86069] SET_BUY_AMOUNT,Rq5xFLYt6l,GYF,82.01 
[86177] SET_BUY_TRIGGER,Rq5xFLYt6l,QNK,64.04 
[86217] ADD,Rq5xFLYt6l,76186.30 
[86370] QUOTE,Rq5xFLYt6l,TSU 
[86575] QUOTE,Rq5xFLYt6l,WGP 
[86653] SET_BUY_TRIGGER,Rq5xFLYt6l,CUZ,19.59 
[86757] DISPLAY_SUMMARY,Rq5xFLYt6l 
[87100] SET_SELL_AMOUNT,Rq5xFLYt6l,CSZ,541.52 
[87754] SET_SELL_TRIGGER,Rq5xFLYt6l,CSZ,481.74 
[87964] QUOTE,Rq5xFLYt6l,IIX 
[88275] QUOTE,Rq5xFLYt6l,XUH 
[88322] BUY,Rq5xFLYt6l,CMA,453.28 
[88341] COMMIT_BUY,Rq5xFLYt6l 
[88387] BUY,Rq5xFLYt6l,KAR,712.34 
[88497] COMMIT_BUY,Rq5xFLYt6l 
[88660] SET_SELL_TRIGGER,Rq5xFLYt6l,RVU,36.80 
