[138] ADD,F0mQHf8fev,74252.25 
[43190] DISPLAY_SUMMARY,F0mQHf8fev 
[43266] SET_BUY_TRIGGER,F0mQHf8fev,TFZ,177.66 
[43334] CANCEL_SELL,F0mQHf8fev 
[43432] CANCEL_BUY,F0mQHf8fev 
[43484] SELL,F0mQHf8fev,KDA,44.00 
[43528] COMMIT_SELL,F0mQHf8fev 
[43640] SET_SELL_TRIGGER,F0mQHf8fev,DIX,177.05 
[43712] QUOTE,F0mQHf8fev,YDS 
[43779] CANCEL_SELL,F0mQHf8fev 
[43888] DISPLAY_SUMMARY,F0mQHf8fev 
[43939] SET_BUY_TRIGGER,F0mQHf8fev,TGY,188.18 
[44032] SELL,F0mQHf8fev,JQO,208.62 
[44302] CANCEL_SELL,F0mQHf8fev 
[44327] SET_BUY_AMOUNT,F0mQHf8fev,AVX,585.61 
[44449] SET_BUY_TRIGGER,F0mQHf8fev,OEN,321.02 
[44489] SET_SELL_AMOUNT,F0mQHf8fev,XXQ,49.26 
[44519] SET_SELL_TRIGGER,F0mQHf8fev,XXQ,36.04 
[44578] DISPLAY_SUMMARY,F0mQHf8fev 
[44659] QUOTE,F0mQHf8fev,AED 
[44781] SET_SELL_TRIGGER,F0mQHf8fev,ZNW,72.21 
[44844] ADD,F0mQHf8fev,60966.09 
[44906] BUY,F0mQHf8fev,OLI,490.30 
[45032] COMMIT_BUY,F0mQHf8fev 
[45063] SET_BUY_AMOUNT,F0mQHf8fev,CUZ,372.33 
[45073] SET_BUY_TRIGGER,F0mQHf8fev,JTX,89.09 
[45081] SET_BUY_TRIGGER,F0mQHf8fev,IOM,15.83 
[45095] BUY,F0mQHf8fev,BFB,671.41 
[45230] SET_BUY_TRIGGER,F0mQHf8fev,KPP,119.20 
[45373] SELL,F0mQHf8fev,KDA,334.62 
[45554] COMMIT_SELL,F0mQHf8fev 
[45650] SET_BUY_AMOUNT,F0mQHf8fev,YJK,278.19 
[45711] SET_BUY_TRIGGER,F0mQHf8fev,ZUV,53.31 
[45969] CANCEL_SET_SELL,F0mQHf8fev,VSE 
[46098] SET_SELL_TRIGGER,F0mQHf8fev,LUT,54.04 
[46191] BUY,F0mQHf8fev,JVE,450.35 
[46344] COMMIT_BUY,F0mQHf8fev 
[46496] QUOTE,F0mQHf8fev,OSA 
[46599] BUY,F0mQHf8fev,LZV,354.63 
[46722] COMMIT_BUY,F0mQHf8fev 
[47119] SELL,F0mQHf8fev,UBJ,65.86 
[47156] SET_BUY_AMOUNT,F0mQHf8fev,KDA,354.73 
[47305] SET_BUY_TRIGGER,F0mQHf8fev,SOA,305.41 
[47354] SELL,F0mQHf8fev,QJZ,474.05 
[47477] COMMIT_SELL,F0mQHf8fev 
[47485] QUOTE,F0mQHf8fev,YBB 
[47531] QUOTE,F0mQHf8fev,LBC 
[47644] ADD,F0mQHf8fev,58886.28 
[47800] BUY,F0mQHf8fev,CTS,108.21 
[47828] CANCEL_SET_SELL,F0mQHf8fev,WKL 
[47899] QUOTE,F0mQHf8fev,QXE 
[47950] ADD,F0mQHf8fev,62947.48 
[47982] BUY,F0mQHf8fev,BSZ,682.24 
[48107] COMMIT_BUY,F0mQHf8fev 
[48112] QUOTE,F0mQHf8fev,FSD 
[48236] DISPLAY_SUMMARY,F0mQHf8fev 
[48346] ADD,F0mQHf8fev,66449.08 
[48348] QUOTE,F0mQHf8fev,OQZ 
[48438] SET_SELL_AMOUNT,F0mQHf8fev,EBS,366.74 
[48449] SET_SELL_TRIGGER,F0mQHf8fev,EBS,309.64 
[48480] ADD,F0mQHf8fev,73244.68 
[48489] QUOTE,F0mQHf8fev,ETB 
[48579] SET_SELL_AMOUNT,F0mQHf8fev,CSZ,16.28 
[48594] SET_SELL_TRIGGER,F0mQHf8fev,CSZ,5.15 
[48602] SET_BUY_TRIGGER,F0mQHf8fev,HHG,161.03 
[48653] ADD,F0mQHf8fev,89319.33 
[48698] BUY,F0mQHf8fev,PST,91.23 
[48807] COMMIT_BUY,F0mQHf8fev 
[49086] DISPLAY_SUMMARY,F0mQHf8fev 
[49124] QUOTE,F0mQHf8fev,SQI 
[49262] BUY,F0mQHf8fev,PDB,380.76 
[49399] COMMIT_SELL,F0mQHf8fev 
[49467] SELL,F0mQHf8fev,YJK,544.83 
[49510] QUOTE,F0mQHf8fev,CIP 
[49595] BUY,F0mQHf8fev,AUT,449.28 
[49793] CANCEL_BUY,F0mQHf8fev 
[50147] ADD,F0mQHf8fev,75469.32 
[50264] SELL,F0mQHf8fev,RNK,107.81 
[50419] SET_BUY_TRIGGER,F0mQHf8fev,ENQ,91.26 
[50592] SELL,F0mQHf8fev,XXQ,84.42 
[50784] COMMIT_SELL,F0mQHf8fev 
[50824] SET_SELL_TRIGGER,F0mQHf8fev,DNJ,142.67 
[50884] DISPLAY_SUMMARY,F0mQHf8fev 
[50889] BUY,F0mQHf8fev,XAN,575.09 
[50890] COMMIT_BUY,F0mQHf8fev 
[50895] DISPLAY_SUMMARY,F0mQHf8fev 
[50907] ADD,F0mQHf8fev,66940.38 
[51022] DISPLAY_SUMMARY,F0mQHf8fev 
[51051] DISPLAY_SUMMARY,F0mQHf8fev 
[51061] ADD,F0mQHf8fev,44634.12 
[51085] QUOTE,F0mQHf8fev,JLO 
[51334] QUOTE,F0mQHf8fev,FMJ 
[51636] DISPLAY_SUMMARY,F0mQHf8fev 
[51638] DISPLAY_SUMMARY,F0mQHf8fev 
[51883] ADD,F0mQHf8fev,54978.81 
[51929] QUOTE,F0mQHf8fev,YIU 
[51962] BUY,F0mQHf8fev,PSJ,54.33 
[52007] SELL,F0mQHf8fev,QAX,605.56 
[52036] CANCEL_BUY,F0mQHf8fev 
[52062] SET_BUY_AMOUNT,F0mQHf8fev,ZYR,196.06 
[52071] SET_BUY_TRIGGER,F0mQHf8fev,JIO,22.74 
[52088] SELL,F0mQHf8fev,BYA,38.94 
[52130] QUOTE,F0mQHf8fev,CBQ 
[52149] DISPLAY_SUMMARY,F0mQHf8fev 
[52300] ADD,F0mQHf8fev,43088.42 
[52354] BUY,F0mQHf8fev,EDW,623.48 
[52410] SET_SELL_TRIGGER,F0mQHf8fev,KGV,123.27 
[52433] ADD,F0mQHf8fev,55264.03 
[52572] QUOTE,F0mQHf8fev,XZO 
[52714] DISPLAY_SUMMARY,F0mQHf8fev 
[52829] ADD,F0mQHf8fev,84308.41 
[53086] ADD,F0mQHf8fev,47885.78 
[53122] QUOTE,F0mQHf8fev,HQU 
[53181] CANCEL_SET_SELL,F0mQHf8fev,JMX 
[53182] BUY,F0mQHf8fev,EUC,304.09 
[53688] SET_SELL_TRIGGER,F0mQHf8fev,ZEG,156.36 
[53937] BUY,F0mQHf8fev,DKV,165.90 
[53964] CANCEL_SET_BUY,F0mQHf8fev,EOY 
[53991] SET_SELL_AMOUNT,F0mQHf8fev,ZAN,697.14 
[54001] SET_SELL_TRIGGER,F0mQHf8fev,ZAN,240.89 
[54024] QUOTE,F0mQHf8fev,URD 
[54093] SET_BUY_TRIGGER,F0mQHf8fev,NIR,119.99 
[54226] DISPLAY_SUMMARY,F0mQHf8fev 
[54386] ADD,F0mQHf8fev,81166.12 
[54431] QUOTE,F0mQHf8fev,MVY 
[54457] QUOTE,F0mQHf8fev,TAR 
[54662] DISPLAY_SUMMARY,F0mQHf8fev 
[54752] SET_SELL_AMOUNT,F0mQHf8fev,NHG,165.95 
[54759] SELL,F0mQHf8fev,UTV,337.48 
[54783] CANCEL_SELL,F0mQHf8fev 
[54796] ADD,F0mQHf8fev,82139.64 
[54890] BUY,F0mQHf8fev,JSM,445.36 
[54988] COMMIT_BUY,F0mQHf8fev 
[55313] SET_SELL_TRIGGER,F0mQHf8fev,NHG,128.03 
[55351] SET_SELL_AMOUNT,F0mQHf8fev,SSF,82.53 
[55514] SET_SELL_TRIGGER,F0mQHf8fev,SSF,26.15 
[55936] ADD,F0mQHf8fev,56842.19 
[55991] SET_BUY_TRIGGER,F0mQHf8fev,NJB,133.30 
[56094] DISPLAY_SUMMARY,F0mQHf8fev 
[56106] SET_BUY_AMOUNT,F0mQHf8fev,ZAN,586.63 
[56309] SET_BUY_TRIGGER,F0mQHf8fev,YJK,537.78 
[56317] SET_SELL_TRIGGER,F0mQHf8fev,GSW,176.35 
[56320] QUOTE,F0mQHf8fev,LPB 
[56321] SET_BUY_AMOUNT,F0mQHf8fev,QGE,717.69 
[56362] SET_BUY_TRIGGER,F0mQHf8fev,GJQ,252.59 
[56434] QUOTE,F0mQHf8fev,LTB 
[56505] SELL,F0mQHf8fev,JRJ,127.34 
[56591] COMMIT_SELL,F0mQHf8fev 
[56652] QUOTE,F0mQHf8fev,EOY 
[56698] BUY,F0mQHf8fev,KJD,131.79 
[56736] COMMIT_BUY,F0mQHf8fev 
[56825] SET_SELL_AMOUNT,F0mQHf8fev,AVX,730.48 
[56861] SET_SELL_TRIGGER,F0mQHf8fev,AVX,728.15 
[56918] SET_BUY_TRIGGER,F0mQHf8fev,UFX,174.36 
[57041] SET_BUY_TRIGGER,F0mQHf8fev,TVX,93.04 
[57044] SET_BUY_TRIGGER,F0mQHf8fev,KHD,39.81 
[57098] CANCEL_SET_SELL,F0mQHf8fev,MIR 
[57122] DISPLAY_SUMMARY,F0mQHf8fev 
[57138] QUOTE,F0mQHf8fev,WTL 
[57211] BUY,F0mQHf8fev,VVW,641.85 
[57474] COMMIT_BUY,F0mQHf8fev 
[57543] SET_SELL_TRIGGER,F0mQHf8fev,JSM,120.82 
[57940] QUOTE,F0mQHf8fev,XOP 
[58037] SET_BUY_AMOUNT,F0mQHf8fev,UBJ,194.17 
[58098] QUOTE,F0mQHf8fev,CIP 
[58099] BUY,F0mQHf8fev,WYD,324.79 
[58163] CANCEL_BUY,F0mQHf8fev 
[58164] SET_SELL_AMOUNT,F0mQHf8fev,QJZ,423.19 
[58251] SET_SELL_TRIGGER,F0mQHf8fev,QJZ,173.27 
[58313] SET_BUY_AMOUNT,F0mQHf8fev,FQP,263.54 
[58327] QUOTE,F0mQHf8fev,AVI 
[58377] SET_BUY_AMOUNT,F0mQHf8fev,VTY,240.57 
[58496] SET_BUY_TRIGGER,F0mQHf8fev,WBX,201.59 
[58513] ADD,F0mQHf8fev,77679.88 
[58609] QUOTE,F0mQHf8fev,CBK 
[58750] QUOTE,F0mQHf8fev,DGA 
[58777] BUY,F0mQHf8fev,MAX,499.45 
[58927] COMMIT_BUY,F0mQHf8fev 
[58948] SET_BUY_AMOUNT,F0mQHf8fev,QAX,313.27 
[58950] SET_BUY_TRIGGER,F0mQHf8fev,PLA,229.04 
[59076] ADD,F0mQHf8fev,71073.49 
[59081] CANCEL_SET_SELL,F0mQHf8fev,TVI 
[59146] QUOTE,F0mQHf8fev,KEO 
[59440] SET_SELL_AMOUNT,F0mQHf8fev,JCQ,28.36 
[59625] QUOTE,F0mQHf8fev,SYL 
[59755] ADD,F0mQHf8fev,77402.89 
[59918] QUOTE,F0mQHf8fev,SIK 
[60005] SET_SELL_AMOUNT,F0mQHf8fev,DFE,111.03 
[60036] SET_SELL_TRIGGER,F0mQHf8fev,DFE,69.63 
[60223] BUY,F0mQHf8fev,BFU,16.33 
[60571] COMMIT_BUY,F0mQHf8fev 
[60622] COMMIT_SELL,F0mQHf8fev 
[60686] CANCEL_SET_SELL,F0mQHf8fev,BZX 
[60738] ADD,F0mQHf8fev,89332.52 
[60787] BUY,F0mQHf8fev,FCM,39.66 
[60931] COMMIT_BUY,F0mQHf8fev 
[60987] SET_BUY_AMOUNT,F0mQHf8fev,IFN,214.16 
[61002] SET_BUY_TRIGGER,F0mQHf8fev,OYW,80.20 
[61166] BUY,F0mQHf8fev,FPP,524.78 
[61281] CANCEL_SET_BUY,F0mQHf8fev,WUL 
[61309] SET_BUY_AMOUNT,F0mQHf8fev,SSF,460.25 
[61562] SET_BUY_TRIGGER,F0mQHf8fev,ZMA,248.91 
[61630] SET_BUY_TRIGGER,F0mQHf8fev,TTV,152.41 
[61644] SET_BUY_TRIGGER,F0mQHf8fev,SVV,28.14 
[61696] BUY,F0mQHf8fev,EDV,352.37 
[61710] COMMIT_BUY,F0mQHf8fev 
[61955] SET_BUY_AMOUNT,F0mQHf8fev,QAX,355.08 
[61959] DISPLAY_SUMMARY,F0mQHf8fev 
[62094] SET_BUY_TRIGGER,F0mQHf8fev,JGF,315.98 
[62117] SET_SELL_TRIGGER,F0mQHf8fev,ZMK,184.38 
[62216] SET_SELL_TRIGGER,F0mQHf8fev,VWU,132.01 
[62456] QUOTE,F0mQHf8fev,MIU 
[62681] SET_BUY_TRIGGER,F0mQHf8fev,MIR,192.53 
[63205] ADD,F0mQHf8fev,40996.77 
[63212] QUOTE,F0mQHf8fev,LAM 
[63252] BUY,F0mQHf8fev,HBF,240.27 
[63310] COMMIT_BUY,F0mQHf8fev 
[63367] SELL,F0mQHf8fev,UBJ,9.48 
[63385] COMMIT_SELL,F0mQHf8fev 
[63536] ADD,F0mQHf8fev,41849.64 
[63538] QUOTE,F0mQHf8fev,XEA 
[63594] SET_SELL_TRIGGER,F0mQHf8fev,XDN,39.36 
[63616] SET_SELL_AMOUNT,F0mQHf8fev,XLK,520.87 
[63795] SET_SELL_TRIGGER,F0mQHf8fev,XLK,428.02 
[64177] SET_SELL_TRIGGER,F0mQHf8fev,JKX,102.20 
[64205] BUY,F0mQHf8fev,EOY,382.08 
[64284] COMMIT_BUY,F0mQHf8fev 
[64337] ADD,F0mQHf8fev,75052.18 
[64442] BUY,F0mQHf8fev,ZEG,565.55 
[64499] DISPLAY_SUMMARY,F0mQHf8fev 
[64595] ADD,F0mQHf8fev,61624.14 
[64687] BUY,F0mQHf8fev,NFV,268.12 
[64695] COMMIT_BUY,F0mQHf8fev 
[65060] SET_BUY_TRIGGER,F0mQHf8fev,BHH,35.26 
[65081] SET_SELL_AMOUNT,F0mQHf8fev,RNK,553.22 
[65119] SET_SELL_TRIGGER,F0mQHf8fev,RNK,104.96 
[65155] BUY,F0mQHf8fev,LBC,75.81 
[65170] SET_SELL_TRIGGER,F0mQHf8fev,BJL,117.24 
[65363] SET_BUY_TRIGGER,F0mQHf8fev,WSG,145.69 
[65376] ADD,F0mQHf8fev,48183.06 
[65413] BUY,F0mQHf8fev,DNJ,292.04 
[65417] SET_BUY_TRIGGER,F0mQHf8fev,LLD,33.18 
[65484] CANCEL_SET_SELL,F0mQHf8fev,PYM 
[65537] ADD,F0mQHf8fev,55085.74 
[65651] BUY,F0mQHf8fev,VCN,605.20 
[65690] QUOTE,F0mQHf8fev,ZFV 
[65758] QUOTE,F0mQHf8fev,KDA 
[65794] SET_BUY_AMOUNT,F0mQHf8fev,XQC,262.71 
[65962] SET_BUY_TRIGGER,F0mQHf8fev,KZC,89.60 
[66368] ADD,F0mQHf8fev,70472.02 
[66414] QUOTE,F0mQHf8fev,TQX 
[66467] QUOTE,F0mQHf8fev,OXV 
[66486] SET_BUY_AMOUNT,F0mQHf8fev,UTV,594.82 
[66640] BUY,F0mQHf8fev,TZJ,456.64 
[66689] SELL,F0mQHf8fev,YJK,40.63 
[66726] CANCEL_SET_SELL,F0mQHf8fev,YCH 
[67119] ADD,F0mQHf8fev,53888.66 
[67130] BUY,F0mQHf8fev,GPW,323.30 
[67144] COMMIT_BUY,F0mQHf8fev 
[67359] SELL,F0mQHf8fev,QGE,438.13 
[67397] COMMIT_SELL,F0mQHf8fev 
[67428] BUY,F0mQHf8fev,AZN,732.46 
[67506] SET_BUY_TRIGGER,F0mQHf8fev,PWK,141.53 
[67681] DISPLAY_SUMMARY,F0mQHf8fev 
[67837] QUOTE,F0mQHf8fev,QHF 
[68170] BUY,F0mQHf8fev,VNF,415.69 
[68387] CANCEL_BUY,F0mQHf8fev 
[68501] BUY,F0mQHf8fev,BYM,478.30 
[68689] COMMIT_BUY,F0mQHf8fev 
[68770] ADD,F0mQHf8fev,64415.44 
[68913] QUOTE,F0mQHf8fev,ALG 
[68924] SET_BUY_TRIGGER,F0mQHf8fev,XUY,182.94 
[68937] SET_BUY_TRIGGER,F0mQHf8fev,FQP,68.26 
[69040] ADD,F0mQHf8fev,69891.27 
[69065] BUY,F0mQHf8fev,GTN,736.11 
[69188] CANCEL_SET_BUY,F0mQHf8fev,PXY 
[69207] SET_SELL_TRIGGER,F0mQHf8fev,QHF,39.75 
[69244] SET_BUY_AMOUNT,F0mQHf8fev,SUS,658.09 
[69245] CANCEL_SET_BUY,F0mQHf8fev,NAW 
[69265] SELL,F0mQHf8fev,KBN,362.17 
[69321] COMMIT_SELL,F0mQHf8fev 
[69494] SET_BUY_TRIGGER,F0mQHf8fev,WHR,53.62 
[69599] ADD,F0mQHf8fev,72913.04 
[69777] BUY,F0mQHf8fev,LJY,490.10 
[69783] CANCEL_SELL,F0mQHf8fev 
[69806] ADD,F0mQHf8fev,97875.57 
[69896] BUY,F0mQHf8fev,ZCQ,245.86 
[69962] BUY,F0mQHf8fev,LFU,650.73 
[70028] COMMIT_BUY,F0mQHf8fev 
[70082] ADD,F0mQHf8fev,89660.95 
[70110] BUY,F0mQHf8fev,IOY,613.57 
[70161] CANCEL_SET_SELL,F0mQHf8fev,CLP 
[70263] SET_SELL_TRIGGER,F0mQHf8fev,PUO,157.26 
[70289] COMMIT_SELL,F0mQHf8fev 
[70333] DISPLAY_SUMMARY,F0mQHf8fev 
[70389] QUOTE,F0mQHf8fev,UEC 
[70424] BUY,F0mQHf8fev,WQC,431.14 
[70446] DISPLAY_SUMMARY,F0mQHf8fev 
[70592] SELL,F0mQHf8fev,SUS,647.32 
[70603] COMMIT_BUY,F0mQHf8fev 
[70628] SET_BUY_TRIGGER,F0mQHf8fev,TSS,71.68 
[70813] SET_SELL_TRIGGER,F0mQHf8fev,CVP,125.38 
[70859] SET_SELL_AMOUNT,F0mQHf8fev,DFE,394.27 
[71059] SET_SELL_TRIGGER,F0mQHf8fev,DFE,271.74 
[71219] DISPLAY_SUMMARY,F0mQHf8fev 
[71267] QUOTE,F0mQHf8fev,YIU 
[71362] SET_BUY_AMOUNT,F0mQHf8fev,UBJ,292.49 
[71571] SET_BUY_TRIGGER,F0mQHf8fev,MWM,65.48 
[71694] COMMIT_SELL,F0mQHf8fev 
[71871] BUY,F0mQHf8fev,NNW,648.82 
[71927] COMMIT_BUY,F0mQHf8fev 
[71966] SET_SELL_TRIGGER,F0mQHf8fev,QVK,187.59 
[72028] QUOTE,F0mQHf8fev,NGB 
[72172] SET_BUY_TRIGGER,F0mQHf8fev,JFF,171.38 
[72211] SET_BUY_AMOUNT,F0mQHf8fev,IFN,145.00 
[72235] SET_BUY_TRIGGER,F0mQHf8fev,SJG,99.37 
[72294] COMMIT_BUY,F0mQHf8fev 
[72379] ADD,F0mQHf8fev,64677.72 
[72410] QUOTE,F0mQHf8fev,JZJ 
[72747] COMMIT_SELL,F0mQHf8fev 
[72794] QUOTE,F0mQHf8fev,VKP 
[72846] BUY,F0mQHf8fev,QXE,601.43 
[72870] COMMIT_BUY,F0mQHf8fev 
[73092] ADD,F0mQHf8fev,46797.28 
[73246] BUY,F0mQHf8fev,VTY,433.74 
[73256] CANCEL_SELL,F0mQHf8fev 
[73270] BUY,F0mQHf8fev,PVH,516.84 
[73287] DISPLAY_SUMMARY,F0mQHf8fev 
[73368] QUOTE,F0mQHf8fev,GTB 
[73522] ADD,F0mQHf8fev,73748.86 
[73565] QUOTE,F0mQHf8fev,YEW 
[73695] SET_BUY_TRIGGER,F0mQHf8fev,TSU,153.21 
[73788] DISPLAY_SUMMARY,F0mQHf8fev 
[73790] ADD,F0mQHf8fev,78076.27 
[73981] COMMIT_SELL,F0mQHf8fev 
[74028] SET_BUY_AMOUNT,F0mQHf8fev,ZTI,510.99 
[74140] SET_BUY_TRIGGER,F0mQHf8fev,EMN,395.21 
[74200] SET_SELL_TRIGGER,F0mQHf8fev,HIW,176.60 
[74210] QUOTE,F0mQHf8fev,ZGC 
[74230] ADD,F0mQHf8fev,49853.68 
[74390] QUOTE,F0mQHf8fev,LPB 
[74399] ADD,F0mQHf8fev,57128.20 
[74620] QUOTE,F0mQHf8fev,MZT 
[74662] BUY,F0mQHf8fev,PXS,451.35 
[74746] COMMIT_BUY,F0mQHf8fev 
[74795] QUOTE,F0mQHf8fev,BPK 
[74880] QUOTE,F0mQHf8fev,WQE 
[74993] QUOTE,F0mQHf8fev,ZJB 
[75101] BUY,F0mQHf8fev,ZEU,746.63 
[75183] CANCEL_BUY,F0mQHf8fev 
[75218] QUOTE,F0mQHf8fev,LUD 
[75326] DISPLAY_SUMMARY,F0mQHf8fev 
[75356] ADD,F0mQHf8fev,62011.98 
[75369] QUOTE,F0mQHf8fev,WQC 
[75661] SET_BUY_TRIGGER,F0mQHf8fev,MWJ,86.95 
[75747] ADD,F0mQHf8fev,55867.22 
[75851] BUY,F0mQHf8fev,UDN,89.01 
[75902] COMMIT_BUY,F0mQHf8fev 
[75954] SET_SELL_TRIGGER,F0mQHf8fev,WKG,122.08 
[75974] ADD,F0mQHf8fev,98066.85 
[75980] QUOTE,F0mQHf8fev,QXW 
[76098] BUY,F0mQHf8fev,SKV,282.33 
[76156] COMMIT_BUY,F0mQHf8fev 
[76283] SET_BUY_AMOUNT,F0mQHf8fev,KBN,439.32 
[76303] SET_BUY_TRIGGER,F0mQHf8fev,KBN,386.29 
[76387] SET_SELL_AMOUNT,F0mQHf8fev,BCQ,9.01 
[76810] SET_SELL_TRIGGER,F0mQHf8fev,BCQ,1.49 
[76858] SELL,F0mQHf8fev,IFN,268.97 
[77049] COMMIT_BUY,F0mQHf8fev 
[77205] SET_BUY_TRIGGER,F0mQHf8fev,PUO,68.66 
[77479] BUY,F0mQHf8fev,JPP,604.14 
[77586] COMMIT_BUY,F0mQHf8fev 
[78035] SET_SELL_TRIGGER,F0mQHf8fev,FZB,82.68 
[78083] SET_SELL_AMOUNT,F0mQHf8fev,IQJ,147.02 
[78166] SET_SELL_TRIGGER,F0mQHf8fev,IQJ,27.82 
[78238] SET_SELL_AMOUNT,F0mQHf8fev,VTY,254.68 
[78333] CANCEL_SET_SELL,F0mQHf8fev,VTY 
[78446] BUY,F0mQHf8fev,XER,589.20 
[78519] COMMIT_BUY,F0mQHf8fev 
[78702] ADD,F0mQHf8fev,66388.82 
[78975] BUY,F0mQHf8fev,OTD,570.96 
[79278] COMMIT_BUY,F0mQHf8fev 
[79522] QUOTE,F0mQHf8fev,VMK 
[79708] BUY,F0mQHf8fev,EGB,411.02 
[79711] CANCEL_BUY,F0mQHf8fev 
[79796] SET_BUY_AMOUNT,F0mQHf8fev,VTY,434.87 
[79871] SET_BUY_TRIGGER,F0mQHf8fev,JGO,247.61 
[80090] ADD,F0mQHf8fev,79258.57 
[80170] BUY,F0mQHf8fev,MWB,309.04 
[80263] SET_BUY_AMOUNT,F0mQHf8fev,CBO,260.53 
[80369] SELL,F0mQHf8fev,TKM,177.38 
[80394] SET_SELL_TRIGGER,F0mQHf8fev,SPT,51.50 
[80430] SET_BUY_AMOUNT,F0mQHf8fev,SUS,456.64 
[80634] SET_BUY_TRIGGER,F0mQHf8fev,JDO,455.11 
[80803] ADD,F0mQHf8fev,69232.98 
[80827] BUY,F0mQHf8fev,JXW,588.11 
[80980] COMMIT_BUY,F0mQHf8fev 
[81010] DISPLAY_SUMMARY,F0mQHf8fev 
[81335] SET_SELL_TRIGGER,F0mQHf8fev,OHG,72.13 
[81365] ADD,F0mQHf8fev,68376.24 
[81447] BUY,F0mQHf8fev,WSG,150.59 
[81526] CANCEL_SET_SELL,F0mQHf8fev,OGB 
[81529] SET_BUY_TRIGGER,F0mQHf8fev,VIG,177.95 
[81535] SET_BUY_TRIGGER,F0mQHf8fev,VEX,40.25 
[81681] QUOTE,F0mQHf8fev,TGY 
[81694] ADD,F0mQHf8fev,68555.93 
[81858] BUY,F0mQHf8fev,MHQ,461.04 
[81973] COMMIT_BUY,F0mQHf8fev 
[81994] DISPLAY_SUMMARY,F0mQHf8fev 
[82118] ADD,F0mQHf8fev,62228.97 
[82247] QUOTE,F0mQHf8fev,KVK 
[82268] DISPLAY_SUMMARY,F0mQHf8fev 
[82306] SELL,F0mQHf8fev,FQP,422.78 
[82373] CANCEL_SET_SELL,F0mQHf8fev,BRZ 
[82636] SELL,F0mQHf8fev,KBN,485.21 
[82761] COMMIT_SELL,F0mQHf8fev 
[82778] BUY,F0mQHf8fev,TCP,137.44 
[82883] COMMIT_BUY,F0mQHf8fev 
[82912] SET_SELL_TRIGGER,F0mQHf8fev,MMY,191.54 
[82923] ADD,F0mQHf8fev,69491.11 
[82984] CANCEL_SET_SELL,F0mQHf8fev,YVS 
[83019] SELL,F0mQHf8fev,CEC,565.65 
[83139] SELL,F0mQHf8fev,EBS,420.16 
[83192] COMMIT_SELL,F0mQHf8fev 
[83229] ADD,F0mQHf8fev,66035.63 
[83317] QUOTE,F0mQHf8fev,VZB 
[83397] CANCEL_SET_BUY,F0mQHf8fev,JGY 
[83410] BUY,F0mQHf8fev,JUG,140.01 
[83562] CANCEL_SET_SELL,F0mQHf8fev,URY 
[83768] ADD,F0mQHf8fev,71527.64 
[83867] BUY,F0mQHf8fev,VWU,191.59 
[84038] SET_SELL_TRIGGER,F0mQHf8fev,NEV,96.46 
[84039] SET_SELL_TRIGGER,F0mQHf8fev,XUY,101.68 
[84079] ADD,F0mQHf8fev,90062.96 
[84129] SET_SELL_AMOUNT,F0mQHf8fev,GSW,614.03 
[84138] SET_SELL_TRIGGER,F0mQHf8fev,GSW,278.37 
[84146] ADD,F0mQHf8fev,47184.14 
[84157] QUOTE,F0mQHf8fev,OSA 
[84174] CANCEL_SET_SELL,F0mQHf8fev,BZX 
[84265] ADD,F0mQHf8fev,74806.94 
[84303] BUY,F0mQHf8fev,IGI,499.24 
[84711] QUOTE,F0mQHf8fev,XLI 
[84798] QUOTE,F0mQHf8fev,ETJ 
[84947] BUY,F0mQHf8fev,KVK,443.63 
[84966] COMMIT_BUY,F0mQHf8fev 
[84982] BUY,F0mQHf8fev,KQZ,310.78 
[85097] COMMIT_BUY,F0mQHf8fev 
[85214] BUY,F0mQHf8fev,GYT,293.32 
[85308] SELL,F0mQHf8fev,BCQ,613.78 
[85804] COMMIT_SELL,F0mQHf8fev 
[85832] DISPLAY_SUMMARY,F0mQHf8fev 
[85961] QUOTE,F0mQHf8fev,IGT 
[86083] ADD,F0mQHf8fev,81640.57 
[86180] QUOTE,F0mQHf8fev,BBD 
[86273] QUOTE,F0mQHf8fev,TKV 
[86364] DISPLAY_SUMMARY,F0mQHf8fev 
[86413] SET_BUY_AMOUNT,F0mQHf8fev,CSZ,342.75 
[86776] SET_BUY_TRIGGER,F0mQHf8fev,GTX,273.71 
[86806] SET_SELL_TRIGGER,F0mQHf8fev,LFU,107.95 
[87144] SET_SELL_AMOUNT,F0mQHf8fev,AJR,535.90 
[87638] SET_SELL_TRIGGER,F0mQHf8fev,AJR,519.50 
[87873] ADD,F0mQHf8fev,67654.83 
[87902] QUOTE,F0mQHf8fev,OYX 
[88113] BUY,F0mQHf8fev,ZEG,230.39 
[88220] COMMIT_BUY,F0mQHf8fev 
[88398] SELL,F0mQHf8fev,SZI,90.86 
[88803] COMMIT_SELL,F0mQHf8fev 
[89134] SET_BUY_AMOUNT,F0mQHf8fev,FQP,615.31 
[89175] CANCEL_SET_BUY,F0mQHf8fev,WQC 
[89230] QUOTE,F0mQHf8fev,XLI 
[89307] SET_BUY_TRIGGER,F0mQHf8fev,KBP,199.24 
[89348] DISPLAY_SUMMARY,F0mQHf8fev 
[89403] BUY,F0mQHf8fev,FTJ,565.61 
[89802] COMMIT_BUY,F0mQHf8fev 
[89874] ADD,F0mQHf8fev,56219.35 
[89934] QUOTE,F0mQHf8fev,MFX 
[90031] BUY,F0mQHf8fev,AMI,644.47 
