[16] ADD,TViJpUe5JR,72037.44 
[47760] DISPLAY_SUMMARY,TViJpUe5JR 
[47787] ADD,TViJpUe5JR,72015.71 
[47830] QUOTE,TViJpUe5JR,WTL 
[47996] QUOTE,TViJpUe5JR,BXH 
[48027] COMMIT_BUY,TViJpUe5JR 
[48098] ADD,TViJpUe5JR,52427.72 
[48227] BUY,TViJpUe5JR,ZWB,743.76 
[48230] CANCEL_BUY,TViJpUe5JR 
[48681] ADD,TViJpUe5JR,83553.09 
[48722] QUOTE,TViJpUe5JR,TVP 
[48744] QUOTE,TViJpUe5JR,HZA 
[48954] SET_BUY_TRIGGER,TViJpUe5JR,WRN,30.48 
[49067] SELL,TViJpUe5JR,ZYR,592.86 
[49131] CANCEL_SELL,TViJpUe5JR 
[49136] SET_SELL_AMOUNT,TViJpUe5JR,JZJ,8.22 
[49208] SELL,TViJpUe5JR,CUZ,207.74 
[49212] CANCEL_SET_BUY,TViJpUe5JR,VIK 
[49250] SELL,TViJpUe5JR,XXQ,501.89 
[49324] CANCEL_SELL,TViJpUe5JR 
[49374] QUOTE,TViJpUe5JR,IHA 
[49381] COMMIT_BUY,TViJpUe5JR 
[49508] SET_SELL_AMOUNT,TViJpUe5JR,SUS,452.70 
[49512] SET_SELL_TRIGGER,TViJpUe5JR,SUS,84.95 
[49681] SET_BUY_AMOUNT,TViJpUe5JR,CUZ,309.08 
[49829] SET_BUY_TRIGGER,TViJpUe5JR,FVA,133.38 
[49912] ADD,TViJpUe5JR,70863.87 
[49980] SET_BUY_AMOUNT,TViJpUe5JR,QAX,145.42 
[50028] SET_BUY_TRIGGER,TViJpUe5JR,HFS,83.27 
[50161] SET_BUY_AMOUNT,TViJpUe5JR,OPN,132.56 
[50198] SET_BUY_TRIGGER,TViJpUe5JR,HIN,100.65 
[50286] ADD,TViJpUe5JR,86281.62 
[50351] QUOTE,TViJpUe5JR,KBI 
[50398] ADD,TViJpUe5JR,82132.35 
[50433] BUY,TViJpUe5JR,FTP,98.01 
[50488] COMMIT_BUY,TViJpUe5JR 
[50962] SET_SELL_AMOUNT,TViJpUe5JR,XXQ,689.87 
[51045] CANCEL_SET_SELL,TViJpUe5JR,XXQ 
[51238] SELL,TViJpUe5JR,RNK,512.43 
[51500] COMMIT_SELL,TViJpUe5JR 
[51689] ADD,TViJpUe5JR,74992.39 
[51858] QUOTE,TViJpUe5JR,DTG 
[51882] BUY,TViJpUe5JR,RKQ,204.82 
[52065] SET_SELL_TRIGGER,TViJpUe5JR,IFU,161.78 
[52189] SELL,TViJpUe5JR,BCQ,475.78 
[52345] COMMIT_SELL,TViJpUe5JR 
[52390] SET_SELL_AMOUNT,TViJpUe5JR,CSZ,180.06 
[52642] QUOTE,TViJpUe5JR,XLK 
[52647] SET_BUY_AMOUNT,TViJpUe5JR,UTV,217.37 
[52779] CANCEL_SET_BUY,TViJpUe5JR,CVK 
[52822] ADD,TViJpUe5JR,47501.64 
[52874] COMMIT_BUY,TViJpUe5JR 
[53170] SET_SELL_TRIGGER,TViJpUe5JR,CSZ,74.74 
[53302] DISPLAY_SUMMARY,TViJpUe5JR 
[53329] SET_BUY_TRIGGER,TViJpUe5JR,VWU,139.49 
[53366] SET_BUY_TRIGGER,TViJpUe5JR,OBR,184.08 
[53542] SET_SELL_AMOUNT,TViJpUe5JR,NHG,530.48 
[53565] DISPLAY_SUMMARY,TViJpUe5JR 
[53576] SET_SELL_TRIGGER,TViJpUe5JR,NHG,484.77 
[53662] ADD,TViJpUe5JR,67310.61 
[53679] BUY,TViJpUe5JR,JYV,672.46 
[53685] COMMIT_BUY,TViJpUe5JR 
[53795] SET_SELL_TRIGGER,TViJpUe5JR,SOT,171.42 
[53894] ADD,TViJpUe5JR,72752.00 
[54142] QUOTE,TViJpUe5JR,KZQ 
[54193] SET_BUY_TRIGGER,TViJpUe5JR,OOV,195.61 
[54251] SELL,TViJpUe5JR,SUS,74.13 
[54383] COMMIT_SELL,TViJpUe5JR 
[54403] ADD,TViJpUe5JR,92996.33 
[54492] SET_SELL_TRIGGER,TViJpUe5JR,PJJ,191.18 
[54612] BUY,TViJpUe5JR,ZDB,262.82 
[54738] CANCEL_SET_SELL,TViJpUe5JR,QTH 
[55027] SET_SELL_AMOUNT,TViJpUe5JR,UTV,184.40 
[55031] SET_SELL_TRIGGER,TViJpUe5JR,UTV,40.87 
[55129] DISPLAY_SUMMARY,TViJpUe5JR 
[55152] SET_BUY_AMOUNT,TViJpUe5JR,ZYR,137.63 
[55160] BUY,TViJpUe5JR,BYM,387.18 
[55363] COMMIT_BUY,TViJpUe5JR 
[55487] SET_BUY_TRIGGER,TViJpUe5JR,DWK,58.66 
[55509] QUOTE,TViJpUe5JR,NTB 
[55621] ADD,TViJpUe5JR,54734.61 
[55659] BUY,TViJpUe5JR,SYN,37.81 
[55737] COMMIT_BUY,TViJpUe5JR 
[56003] BUY,TViJpUe5JR,KAR,242.29 
[56102] SET_BUY_AMOUNT,TViJpUe5JR,RUN,638.32 
[56135] SET_BUY_TRIGGER,TViJpUe5JR,RFC,598.82 
[56205] ADD,TViJpUe5JR,57360.66 
[56400] BUY,TViJpUe5JR,GDF,358.34 
[56541] SET_SELL_AMOUNT,TViJpUe5JR,JCQ,164.54 
[56599] SET_SELL_TRIGGER,TViJpUe5JR,JCQ,86.95 
[56718] BUY,TViJpUe5JR,URY,624.27 
[56751] CANCEL_SET_SELL,TViJpUe5JR,GWF 
[56873] CANCEL_SET_SELL,TViJpUe5JR,JXW 
[56895] SET_SELL_TRIGGER,TViJpUe5JR,VQA,49.01 
[56981] COMMIT_BUY,TViJpUe5JR 
[57003] SET_BUY_AMOUNT,TViJpUe5JR,QJZ,723.16 
[57127] CANCEL_SET_BUY,TViJpUe5JR,KRX 
[57230] ADD,TViJpUe5JR,62061.06 
[57237] DISPLAY_SUMMARY,TViJpUe5JR 
[57318] ADD,TViJpUe5JR,45920.14 
[57329] DISPLAY_SUMMARY,TViJpUe5JR 
[57601] SET_SELL_AMOUNT,TViJpUe5JR,VTY,566.93 
[57648] SET_SELL_TRIGGER,TViJpUe5JR,VTY,21.37 
[57747] SET_BUY_AMOUNT,TViJpUe5JR,PTP,23.13 
[57783] SET_BUY_TRIGGER,TViJpUe5JR,OZW,0.69 
[57837] SET_BUY_TRIGGER,TViJpUe5JR,NUV,193.78 
[58018] SET_SELL_AMOUNT,TViJpUe5JR,UBJ,229.43 
[58087] BUY,TViJpUe5JR,UHO,54.28 
[58232] ADD,TViJpUe5JR,72924.59 
[58316] BUY,TViJpUe5JR,FIC,545.20 
[58444] COMMIT_BUY,TViJpUe5JR 
[58453] ADD,TViJpUe5JR,71977.88 
[58601] SET_BUY_TRIGGER,TViJpUe5JR,WLT,22.58 
[59417] SET_SELL_TRIGGER,TViJpUe5JR,UBJ,43.33 
[59463] SELL,TViJpUe5JR,UBJ,208.21 
[59559] COMMIT_SELL,TViJpUe5JR 
[59753] CANCEL_SELL,TViJpUe5JR 
[59804] CANCEL_SET_BUY,TViJpUe5JR,PXS 
[59885] ADD,TViJpUe5JR,58031.73 
[59949] QUOTE,TViJpUe5JR,DDA 
[60151] ADD,TViJpUe5JR,64335.93 
[60309] QUOTE,TViJpUe5JR,BLC 
[60468] DISPLAY_SUMMARY,TViJpUe5JR 
[60527] DISPLAY_SUMMARY,TViJpUe5JR 
[60767] ADD,TViJpUe5JR,83665.14 
[60868] QUOTE,TViJpUe5JR,SKW 
[60878] SET_BUY_AMOUNT,TViJpUe5JR,PTP,16.04 
[60898] SET_BUY_TRIGGER,TViJpUe5JR,KJD,5.59 
[60939] BUY,TViJpUe5JR,DVA,577.83 
[60999] COMMIT_BUY,TViJpUe5JR 
[61038] SET_BUY_TRIGGER,TViJpUe5JR,OPN,116.25 
[61142] DISPLAY_SUMMARY,TViJpUe5JR 
[61180] SET_BUY_AMOUNT,TViJpUe5JR,FQP,397.52 
[61197] SET_BUY_TRIGGER,TViJpUe5JR,YXK,357.82 
[61207] SET_SELL_TRIGGER,TViJpUe5JR,XME,50.65 
[61230] DISPLAY_SUMMARY,TViJpUe5JR 
[61345] QUOTE,TViJpUe5JR,JGG 
[61369] BUY,TViJpUe5JR,NHG,1.46 
[61456] SET_BUY_TRIGGER,TViJpUe5JR,SSW,61.03 
[61825] SET_BUY_TRIGGER,TViJpUe5JR,NXF,115.08 
[61857] CANCEL_SET_BUY,TViJpUe5JR,ZQC 
[61870] SET_BUY_AMOUNT,TViJpUe5JR,RGH,74.47 
[62003] SET_BUY_TRIGGER,TViJpUe5JR,KJD,25.27 
[62080] SET_BUY_AMOUNT,TViJpUe5JR,UTV,743.92 
[62087] SET_BUY_TRIGGER,TViJpUe5JR,MHI,20.18 
[62110] QUOTE,TViJpUe5JR,JNO 
[62131] SET_BUY_TRIGGER,TViJpUe5JR,OYS,179.27 
[62178] ADD,TViJpUe5JR,88384.49 
[62283] ADD,TViJpUe5JR,33740.63 
[62323] QUOTE,TViJpUe5JR,JSM 
[62333] SELL,TViJpUe5JR,RNK,334.32 
[62477] QUOTE,TViJpUe5JR,POI 
[62481] CANCEL_SET_BUY,TViJpUe5JR,TSU 
[62528] SET_SELL_AMOUNT,TViJpUe5JR,RUN,134.63 
[62857] CANCEL_SET_SELL,TViJpUe5JR,RUN 
[63006] QUOTE,TViJpUe5JR,TTY 
[63095] QUOTE,TViJpUe5JR,WZM 
[63125] COMMIT_SELL,TViJpUe5JR 
[63131] SET_BUY_TRIGGER,TViJpUe5JR,DOI,105.61 
[63182] SET_BUY_TRIGGER,TViJpUe5JR,CMA,47.02 
[63187] ADD,TViJpUe5JR,74668.66 
[63215] QUOTE,TViJpUe5JR,XBL 
[63415] DISPLAY_SUMMARY,TViJpUe5JR 
[63426] ADD,TViJpUe5JR,86534.06 
[63611] BUY,TViJpUe5JR,BHH,213.70 
[63725] COMMIT_BUY,TViJpUe5JR 
[63840] DISPLAY_SUMMARY,TViJpUe5JR 
[63857] BUY,TViJpUe5JR,RRE,170.50 
[63889] ADD,TViJpUe5JR,94212.98 
[63895] QUOTE,TViJpUe5JR,ARP 
[64026] BUY,TViJpUe5JR,ESN,490.11 
[64065] COMMIT_BUY,TViJpUe5JR 
[64151] DISPLAY_SUMMARY,TViJpUe5JR 
[64192] DISPLAY_SUMMARY,TViJpUe5JR 
[64212] SET_BUY_TRIGGER,TViJpUe5JR,OXK,41.09 
[64270] DISPLAY_SUMMARY,TViJpUe5JR 
[64568] ADD,TViJpUe5JR,62985.02 
[64587] CANCEL_SELL,TViJpUe5JR 
[64786] DISPLAY_SUMMARY,TViJpUe5JR 
[64911] SET_BUY_AMOUNT,TViJpUe5JR,JRJ,263.64 
[64974] SET_BUY_TRIGGER,TViJpUe5JR,CLP,11.52 
[64986] SELL,TViJpUe5JR,XXQ,591.25 
[65020] CANCEL_SET_BUY,TViJpUe5JR,CMA 
[65285] SET_BUY_AMOUNT,TViJpUe5JR,XLK,346.81 
[65404] SET_BUY_TRIGGER,TViJpUe5JR,OEM,171.01 
[65756] DISPLAY_SUMMARY,TViJpUe5JR 
[65786] SELL,TViJpUe5JR,KES,317.89 
[65821] COMMIT_SELL,TViJpUe5JR 
[65850] SET_BUY_TRIGGER,TViJpUe5JR,JUE,34.61 
[65852] BUY,TViJpUe5JR,ZMK,397.99 
[65866] COMMIT_BUY,TViJpUe5JR 
[65873] DISPLAY_SUMMARY,TViJpUe5JR 
[65889] ADD,TViJpUe5JR,64986.50 
[65892] QUOTE,TViJpUe5JR,AHE 
[65930] QUOTE,TViJpUe5JR,JUV 
[65979] BUY,TViJpUe5JR,RQF,125.07 
[66033] CANCEL_BUY,TViJpUe5JR 
[66232] SET_BUY_TRIGGER,TViJpUe5JR,STT,128.08 
[66300] SET_BUY_TRIGGER,TViJpUe5JR,IFC,129.37 
[66320] ADD,TViJpUe5JR,104472.48 
[66375] QUOTE,TViJpUe5JR,SZI 
[66705] SET_BUY_TRIGGER,TViJpUe5JR,RRT,55.62 
[66709] BUY,TViJpUe5JR,ZKV,557.81 
[66791] COMMIT_SELL,TViJpUe5JR 
[66823] CANCEL_SET_SELL,TViJpUe5JR,HHG 
[66830] QUOTE,TViJpUe5JR,ONI 
[66969] BUY,TViJpUe5JR,IUN,649.68 
[67028] COMMIT_BUY,TViJpUe5JR 
[67436] ADD,TViJpUe5JR,88308.21 
[67634] BUY,TViJpUe5JR,OOI,287.90 
[67768] COMMIT_BUY,TViJpUe5JR 
[68040] SET_BUY_AMOUNT,TViJpUe5JR,FQP,515.94 
[68086] SET_BUY_TRIGGER,TViJpUe5JR,MJU,188.37 
[68187] DISPLAY_SUMMARY,TViJpUe5JR 
[68267] ADD,TViJpUe5JR,74170.77 
[68343] DISPLAY_SUMMARY,TViJpUe5JR 
[68690] DISPLAY_SUMMARY,TViJpUe5JR 
[68715] CANCEL_SET_SELL,TViJpUe5JR,GCL 
[68767] SET_SELL_TRIGGER,TViJpUe5JR,IFU,185.27 
[68932] DISPLAY_SUMMARY,TViJpUe5JR 
[68958] DISPLAY_SUMMARY,TViJpUe5JR 
[68963] DISPLAY_SUMMARY,TViJpUe5JR 
[68998] SET_SELL_AMOUNT,TViJpUe5JR,ZAN,479.30 
[69350] SET_SELL_TRIGGER,TViJpUe5JR,ZAN,196.42 
[69365] SET_BUY_TRIGGER,TViJpUe5JR,PUC,167.56 
[69419] BUY,TViJpUe5JR,GPL,167.91 
[69451] COMMIT_BUY,TViJpUe5JR 
[69693] SET_BUY_TRIGGER,TViJpUe5JR,TXB,123.30 
[69828] SET_BUY_TRIGGER,TViJpUe5JR,JUE,148.90 
[69850] ADD,TViJpUe5JR,65650.07 
[69893] QUOTE,TViJpUe5JR,LAM 
[69898] ADD,TViJpUe5JR,63564.55 
[70047] BUY,TViJpUe5JR,VVO,436.35 
[70066] SELL,TViJpUe5JR,SUS,239.87 
[70100] CANCEL_SELL,TViJpUe5JR 
[70112] SELL,TViJpUe5JR,CEC,181.97 
[70495] CANCEL_SET_BUY,TViJpUe5JR,VDP 
[70517] QUOTE,TViJpUe5JR,OZT 
[70554] SELL,TViJpUe5JR,OEY,325.14 
[70674] QUOTE,TViJpUe5JR,IQZ 
[70958] CANCEL_BUY,TViJpUe5JR 
[71184] SELL,TViJpUe5JR,JQO,432.27 
[71207] COMMIT_SELL,TViJpUe5JR 
[71280] SET_BUY_TRIGGER,TViJpUe5JR,CDF,40.69 
[71316] SELL,TViJpUe5JR,ZTI,8.23 
[71431] COMMIT_SELL,TViJpUe5JR 
[71684] QUOTE,TViJpUe5JR,KCT 
[72308] SET_BUY_TRIGGER,TViJpUe5JR,QQI,110.65 
[72464] ADD,TViJpUe5JR,60506.98 
[72763] CANCEL_SET_BUY,TViJpUe5JR,OWH 
[72876] SET_SELL_AMOUNT,TViJpUe5JR,RGH,283.28 
[72886] SET_SELL_TRIGGER,TViJpUe5JR,RGH,121.18 
[72917] SET_SELL_TRIGGER,TViJpUe5JR,EVR,189.74 
[73001] ADD,TViJpUe5JR,66600.62 
[73010] QUOTE,TViJpUe5JR,OEM 
[73054] BUY,TViJpUe5JR,FLY,495.73 
[73080] COMMIT_BUY,TViJpUe5JR 
[73132] SET_SELL_AMOUNT,TViJpUe5JR,JQO,385.81 
[73229] SET_SELL_TRIGGER,TViJpUe5JR,JQO,279.88 
[73347] SET_BUY_AMOUNT,TViJpUe5JR,NHG,259.78 
[73561] BUY,TViJpUe5JR,SPT,138.58 
[73860] COMMIT_BUY,TViJpUe5JR 
[73919] SET_BUY_TRIGGER,TViJpUe5JR,BFL,132.66 
[73968] SET_SELL_AMOUNT,TViJpUe5JR,CSZ,468.74 
[73980] SET_SELL_TRIGGER,TViJpUe5JR,CSZ,140.13 
[73991] SET_SELL_TRIGGER,TViJpUe5JR,QAX,83.15 
[74251] SET_SELL_AMOUNT,TViJpUe5JR,VTY,208.37 
[74403] SET_SELL_TRIGGER,TViJpUe5JR,VTY,178.96 
[74485] DISPLAY_SUMMARY,TViJpUe5JR 
[74525] ADD,TViJpUe5JR,69957.09 
[74692] SET_BUY_TRIGGER,TViJpUe5JR,HDR,32.52 
[74793] SELL,TViJpUe5JR,GRM,496.05 
[74909] COMMIT_SELL,TViJpUe5JR 
[74968] DISPLAY_SUMMARY,TViJpUe5JR 
[75020] ADD,TViJpUe5JR,54702.16 
[75055] BUY,TViJpUe5JR,OHS,354.05 
[75252] BUY,TViJpUe5JR,MDZ,227.25 
[75440] COMMIT_BUY,TViJpUe5JR 
[75448] QUOTE,TViJpUe5JR,PHJ 
[75479] CANCEL_BUY,TViJpUe5JR 
[75664] SET_BUY_AMOUNT,TViJpUe5JR,QJZ,306.79 
[75712] SET_BUY_TRIGGER,TViJpUe5JR,EDV,168.36 
[75868] SET_BUY_AMOUNT,TViJpUe5JR,UTV,669.12 
[76074] QUOTE,TViJpUe5JR,DWX 
[76181] ADD,TViJpUe5JR,68929.78 
[76186] QUOTE,TViJpUe5JR,KJM 
[76281] DISPLAY_SUMMARY,TViJpUe5JR 
[76458] SET_BUY_TRIGGER,TViJpUe5JR,SON,648.94 
[76621] QUOTE,TViJpUe5JR,CTS 
[76677] BUY,TViJpUe5JR,DWF,549.84 
[76685] ADD,TViJpUe5JR,71255.50 
[76717] BUY,TViJpUe5JR,KAH,203.42 
[76727] COMMIT_BUY,TViJpUe5JR 
[76832] DISPLAY_SUMMARY,TViJpUe5JR 
[76862] BUY,TViJpUe5JR,SKC,504.01 
[76886] CANCEL_SELL,TViJpUe5JR 
[77031] SET_SELL_AMOUNT,TViJpUe5JR,RUN,107.20 
[77040] SET_SELL_TRIGGER,TViJpUe5JR,RUN,99.94 
[77143] ADD,TViJpUe5JR,91760.50 
[77199] BUY,TViJpUe5JR,FKZ,64.08 
[77285] SET_SELL_TRIGGER,TViJpUe5JR,FSD,101.35 
[77315] BUY,TViJpUe5JR,JQJ,690.01 
[77373] CANCEL_BUY,TViJpUe5JR 
[77474] QUOTE,TViJpUe5JR,YPL 
[77642] BUY,TViJpUe5JR,JTY,379.36 
[77682] COMMIT_BUY,TViJpUe5JR 
[77719] CANCEL_SET_SELL,TViJpUe5JR,HBF 
[77834] SET_SELL_TRIGGER,TViJpUe5JR,QPE,31.59 
[77940] DISPLAY_SUMMARY,TViJpUe5JR 
[78092] CANCEL_SELL,TViJpUe5JR 
[78256] ADD,TViJpUe5JR,80304.76 
[78291] QUOTE,TViJpUe5JR,XMA 
[78354] CANCEL_SET_BUY,TViJpUe5JR,ULL 
[78379] DISPLAY_SUMMARY,TViJpUe5JR 
[78400] SET_SELL_TRIGGER,TViJpUe5JR,MVQ,74.93 
[78429] DISPLAY_SUMMARY,TViJpUe5JR 
[78500] SET_SELL_AMOUNT,TViJpUe5JR,KYX,365.70 
[78505] SET_SELL_TRIGGER,TViJpUe5JR,KYX,86.75 
[78521] SET_SELL_AMOUNT,TViJpUe5JR,OPN,664.60 
[78539] SET_SELL_TRIGGER,TViJpUe5JR,OPN,38.45 
[78809] SELL,TViJpUe5JR,SQI,162.61 
[78939] CANCEL_SET_SELL,TViJpUe5JR,RRZ 
[79083] CANCEL_SET_SELL,TViJpUe5JR,WRN 
[79223] SET_SELL_TRIGGER,TViJpUe5JR,DOI,1.10 
[79467] DISPLAY_SUMMARY,TViJpUe5JR 
[79490] CANCEL_SELL,TViJpUe5JR 
[79588] CANCEL_SELL,TViJpUe5JR 
[79978] ADD,TViJpUe5JR,59294.17 
[79981] QUOTE,TViJpUe5JR,ZEG 
[80025] BUY,TViJpUe5JR,VAT,671.62 
[80101] COMMIT_BUY,TViJpUe5JR 
[80102] ADD,TViJpUe5JR,73022.44 
[80249] SELL,TViJpUe5JR,EBS,334.84 
[80269] CANCEL_SELL,TViJpUe5JR 
[80309] QUOTE,TViJpUe5JR,ALG 
[80854] BUY,TViJpUe5JR,SUS,483.51 
[80857] COMMIT_BUY,TViJpUe5JR 
[80983] SET_BUY_TRIGGER,TViJpUe5JR,YRL,28.53 
[81035] SET_SELL_AMOUNT,TViJpUe5JR,MFX,212.40 
[81059] SET_SELL_TRIGGER,TViJpUe5JR,MFX,132.61 
[81176] ADD,TViJpUe5JR,52309.70 
[81410] QUOTE,TViJpUe5JR,FCM 
[81608] QUOTE,TViJpUe5JR,ZNL 
[81651] ADD,TViJpUe5JR,51632.96 
[81738] BUY,TViJpUe5JR,BFB,287.83 
[81739] COMMIT_BUY,TViJpUe5JR 
[81774] DISPLAY_SUMMARY,TViJpUe5JR 
[81820] SET_SELL_AMOUNT,TViJpUe5JR,FQP,333.20 
[81947] SET_SELL_TRIGGER,TViJpUe5JR,FQP,291.42 
[81985] SET_SELL_TRIGGER,TViJpUe5JR,CXB,182.19 
[82005] QUOTE,TViJpUe5JR,IZU 
[82119] BUY,TViJpUe5JR,FIW,52.25 
[82362] CANCEL_BUY,TViJpUe5JR 
[82382] SET_BUY_TRIGGER,TViJpUe5JR,VIK,152.68 
[82453] DISPLAY_SUMMARY,TViJpUe5JR 
[82505] QUOTE,TViJpUe5JR,EOY 
[82630] DISPLAY_SUMMARY,TViJpUe5JR 
[82649] ADD,TViJpUe5JR,44078.39 
[82731] CANCEL_SELL,TViJpUe5JR 
[82847] QUOTE,TViJpUe5JR,ZWB 
[82927] QUOTE,TViJpUe5JR,DBT 
[83056] QUOTE,TViJpUe5JR,ZRH 
[83061] DISPLAY_SUMMARY,TViJpUe5JR 
[83102] SET_BUY_AMOUNT,TViJpUe5JR,XLK,391.90 
[83107] SET_BUY_TRIGGER,TViJpUe5JR,APU,142.20 
[83125] SET_SELL_AMOUNT,TViJpUe5JR,KBN,265.29 
[83134] DISPLAY_SUMMARY,TViJpUe5JR 
[83186] SET_SELL_AMOUNT,TViJpUe5JR,XXQ,163.20 
[83362] SET_SELL_TRIGGER,TViJpUe5JR,XXQ,70.38 
[83462] DISPLAY_SUMMARY,TViJpUe5JR 
[83553] SET_SELL_AMOUNT,TViJpUe5JR,UBJ,79.12 
[83838] SET_SELL_TRIGGER,TViJpUe5JR,UBJ,76.46 
[83860] DISPLAY_SUMMARY,TViJpUe5JR 
[83968] SET_SELL_AMOUNT,TViJpUe5JR,JVT,470.24 
[84083] SET_SELL_TRIGGER,TViJpUe5JR,JVT,284.63 
[84094] DISPLAY_SUMMARY,TViJpUe5JR 
[84122] SET_BUY_TRIGGER,TViJpUe5JR,OYS,150.29 
[84288] ADD,TViJpUe5JR,81148.07 
[84315] BUY,TViJpUe5JR,OTI,240.62 
[84329] BUY,TViJpUe5JR,BYA,312.18 
[84499] SELL,TViJpUe5JR,OPN,136.26 
[84521] CANCEL_SET_BUY,TViJpUe5JR,XPX 
[84577] SET_BUY_AMOUNT,TViJpUe5JR,OZO,361.96 
[84592] SET_BUY_TRIGGER,TViJpUe5JR,NJT,103.23 
[84728] SELL,TViJpUe5JR,VTY,357.87 
[84849] SET_BUY_TRIGGER,TViJpUe5JR,SEI,114.03 
[84890] QUOTE,TViJpUe5JR,CXN 
[85002] CANCEL_SET_BUY,TViJpUe5JR,IFU 
[85096] SET_BUY_TRIGGER,TViJpUe5JR,MVI,183.93 
[85101] SET_SELL_AMOUNT,TViJpUe5JR,SUS,592.41 
[85312] SET_SELL_TRIGGER,TViJpUe5JR,SUS,13.58 
[85345] ADD,TViJpUe5JR,46637.94 
[85420] QUOTE,TViJpUe5JR,MXD 
[85463] BUY,TViJpUe5JR,HNO,734.67 
[85956] COMMIT_BUY,TViJpUe5JR 
[86115] SET_SELL_AMOUNT,TViJpUe5JR,MFX,77.66 
[86130] SET_SELL_TRIGGER,TViJpUe5JR,MFX,0.93 
[86182] DISPLAY_SUMMARY,TViJpUe5JR 
[86343] ADD,TViJpUe5JR,69129.86 
[86564] SELL,TViJpUe5JR,EBS,19.28 
[86742] COMMIT_SELL,TViJpUe5JR 
[86769] SET_SELL_TRIGGER,TViJpUe5JR,WDC,29.75 
[86974] SET_BUY_AMOUNT,TViJpUe5JR,KES,746.41 
[87111] SET_BUY_TRIGGER,TViJpUe5JR,KZQ,46.27 
[87306] BUY,TViJpUe5JR,QTU,312.31 
[87381] COMMIT_BUY,TViJpUe5JR 
[87398] SELL,TViJpUe5JR,GYF,538.98 
[87436] COMMIT_SELL,TViJpUe5JR 
[87687] ADD,TViJpUe5JR,71355.70 
[87858] QUOTE,TViJpUe5JR,SQO 
[88012] CANCEL_BUY,TViJpUe5JR 
[88196] BUY,TViJpUe5JR,GCL,683.30 
[88308] COMMIT_BUY,TViJpUe5JR 
[88463] CANCEL_SELL,TViJpUe5JR 
[88577] SET_SELL_AMOUNT,TViJpUe5JR,EBS,209.85 
[88700] SET_SELL_TRIGGER,TViJpUe5JR,EBS,25.97 
[88777] SET_BUY_AMOUNT,TViJpUe5JR,LFU,431.90 
[88815] SET_BUY_TRIGGER,TViJpUe5JR,CTI,129.03 
[88896] ADD,TViJpUe5JR,89127.48 
[88910] BUY,TViJpUe5JR,NJT,181.06 
[88976] COMMIT_BUY,TViJpUe5JR 
[89476] BUY,TViJpUe5JR,LPW,703.88 
[89575] CANCEL_BUY,TViJpUe5JR 
[89740] BUY,TViJpUe5JR,ZER,110.96 
[89854] SET_SELL_TRIGGER,TViJpUe5JR,EAK,166.08 
[89930] SET_BUY_TRIGGER,TViJpUe5JR,XZN,99.32 
[90033] CANCEL_SET_SELL,TViJpUe5JR,HQU 
[90077] SET_BUY_TRIGGER,TViJpUe5JR,OGR,144.50 
[90155] QUOTE,TViJpUe5JR,QSS 
[90212] BUY,TViJpUe5JR,KBP,136.93 
[90671] BUY,TViJpUe5JR,MOM,413.29 
[90724] COMMIT_BUY,TViJpUe5JR 
[90733] ADD,TViJpUe5JR,82029.46 
[90815] QUOTE,TViJpUe5JR,HNW 
[91135] BUY,TViJpUe5JR,SDW,124.66 
[91218] SET_BUY_TRIGGER,TViJpUe5JR,RNE,156.11 
[91334] DISPLAY_SUMMARY,TViJpUe5JR 
[91381] SET_BUY_AMOUNT,TViJpUe5JR,CSZ,48.91 
[91383] SET_BUY_TRIGGER,TViJpUe5JR,QOQ,19.01 
[91391] DISPLAY_SUMMARY,TViJpUe5JR 
[91591] QUOTE,TViJpUe5JR,PTC 
[91728] ADD,TViJpUe5JR,84294.49 
[91955] SET_SELL_AMOUNT,TViJpUe5JR,MXD,357.00 
[91996] CANCEL_SET_SELL,TViJpUe5JR,MXD 
[92048] DISPLAY_SUMMARY,TViJpUe5JR 
[92067] SELL,TViJpUe5JR,KBN,459.94 
[92082] COMMIT_SELL,TViJpUe5JR 
[92137] SET_BUY_AMOUNT,TViJpUe5JR,JRJ,592.81 
[92167] SET_BUY_TRIGGER,TViJpUe5JR,RRZ,283.37 
[92177] ADD,TViJpUe5JR,103630.24 
[92182] QUOTE,TViJpUe5JR,NVX 
[92204] BUY,TViJpUe5JR,BHQ,255.88 
[92639] CANCEL_SET_BUY,TViJpUe5JR,LUT 
[92794] QUOTE,TViJpUe5JR,PBV 
[92904] QUOTE,TViJpUe5JR,DXL 
[92972] CANCEL_BUY,TViJpUe5JR 
[92975] ADD,TViJpUe5JR,70137.26 
[93223] BUY,TViJpUe5JR,STT,70.98 
[93280] CANCEL_SELL,TViJpUe5JR 
[93297] SET_BUY_AMOUNT,TViJpUe5JR,JRJ,749.25 
[93368] SET_BUY_TRIGGER,TViJpUe5JR,FIC,482.36 
[93505] SET_SELL_TRIGGER,TViJpUe5JR,BWR,52.60 
[93775] ADD,TViJpUe5JR,93699.67 
[93805] QUOTE,TViJpUe5JR,AEM 
[93823] ADD,TViJpUe5JR,69774.43 
[94035] BUY,TViJpUe5JR,KZZ,109.72 
[94057] QUOTE,TViJpUe5JR,USW 
[94060] QUOTE,TViJpUe5JR,PYM 
[94144] QUOTE,TViJpUe5JR,MIQ 
[94206] BUY,TViJpUe5JR,MVI,700.59 
