[24] ADD,eGGeSBtfEQ,53788.32 
[43825] BUY,eGGeSBtfEQ,UJC,336.72 
[43847] CANCEL_SET_SELL,eGGeSBtfEQ,RKQ 
[43873] DISPLAY_SUMMARY,eGGeSBtfEQ 
[43950] SET_SELL_TRIGGER,eGGeSBtfEQ,HZP,61.24 
[44218] BUY,eGGeSBtfEQ,CBV,449.59 
[44379] COMMIT_BUY,eGGeSBtfEQ 
[44430] SELL,eGGeSBtfEQ,UTV,253.11 
[44644] COMMIT_SELL,eGGeSBtfEQ 
[44666] SET_SELL_TRIGGER,eGGeSBtfEQ,KBN,81.79 
[44710] BUY,eGGeSBtfEQ,AEM,629.76 
[44757] COMMIT_BUY,eGGeSBtfEQ 
[44846] BUY,eGGeSBtfEQ,OSC,208.27 
[44864] DISPLAY_SUMMARY,eGGeSBtfEQ 
[44975] BUY,eGGeSBtfEQ,AJX,104.02 
[45100] CANCEL_BUY,eGGeSBtfEQ 
[45106] CANCEL_SET_BUY,eGGeSBtfEQ,YKB 
[45158] QUOTE,eGGeSBtfEQ,HQU 
[45236] CANCEL_SET_BUY,eGGeSBtfEQ,XUH 
[45402] ADD,eGGeSBtfEQ,86677.50 
[45727] BUY,eGGeSBtfEQ,GIX,666.71 
[45765] COMMIT_BUY,eGGeSBtfEQ 
[45792] ADD,eGGeSBtfEQ,62849.52 
[45914] BUY,eGGeSBtfEQ,HZA,61.52 
[46009] COMMIT_BUY,eGGeSBtfEQ 
[46093] DISPLAY_SUMMARY,eGGeSBtfEQ 
[46108] ADD,eGGeSBtfEQ,64940.72 
[46203] QUOTE,eGGeSBtfEQ,OEN 
[46215] BUY,eGGeSBtfEQ,SPL,47.11 
[46299] SET_BUY_AMOUNT,eGGeSBtfEQ,QJZ,201.28 
[46467] SET_BUY_TRIGGER,eGGeSBtfEQ,GED,154.25 
[46549] DISPLAY_SUMMARY,eGGeSBtfEQ 
[46654] ADD,eGGeSBtfEQ,55642.95 
[46826] CANCEL_SET_SELL,eGGeSBtfEQ,NKC 
[46961] SET_SELL_AMOUNT,eGGeSBtfEQ,KDA,395.48 
[46977] SET_SELL_TRIGGER,eGGeSBtfEQ,KDA,263.10 
[47035] ADD,eGGeSBtfEQ,76245.47 
[47159] COMMIT_BUY,eGGeSBtfEQ 
[47230] SET_SELL_AMOUNT,eGGeSBtfEQ,BYA,573.73 
[47318] SELL,eGGeSBtfEQ,QAX,282.16 
[47492] SET_BUY_AMOUNT,eGGeSBtfEQ,JCQ,259.27 
[47501] SET_BUY_TRIGGER,eGGeSBtfEQ,JKX,198.63 
[47546] SET_BUY_TRIGGER,eGGeSBtfEQ,DIX,165.41 
[47887] COMMIT_SELL,eGGeSBtfEQ 
[47888] ADD,eGGeSBtfEQ,61983.77 
[48073] BUY,eGGeSBtfEQ,RDK,629.91 
[48247] CANCEL_SELL,eGGeSBtfEQ 
[48293] ADD,eGGeSBtfEQ,69533.69 
[48460] BUY,eGGeSBtfEQ,DDA,356.23 
[48575] COMMIT_BUY,eGGeSBtfEQ 
[48684] ADD,eGGeSBtfEQ,68441.59 
[48685] DISPLAY_SUMMARY,eGGeSBtfEQ 
[48727] SET_SELL_TRIGGER,eGGeSBtfEQ,BYA,371.33 
[48827] SELL,eGGeSBtfEQ,RUN,436.11 
[48949] COMMIT_SELL,eGGeSBtfEQ 
[48969] SET_BUY_TRIGGER,eGGeSBtfEQ,CSZ,179.54 
[49178] QUOTE,eGGeSBtfEQ,EDW 
[49339] ADD,eGGeSBtfEQ,67437.67 
[49464] QUOTE,eGGeSBtfEQ,OSC 
[49654] BUY,eGGeSBtfEQ,XER,728.00 
[50089] QUOTE,eGGeSBtfEQ,FIY 
[50107] QUOTE,eGGeSBtfEQ,LMO 
[50306] SET_BUY_AMOUNT,eGGeSBtfEQ,ZYR,276.83 
[50627] BUY,eGGeSBtfEQ,UEC,155.15 
[50630] COMMIT_BUY,eGGeSBtfEQ 
[50770] QUOTE,eGGeSBtfEQ,KDA 
[51229] CANCEL_SELL,eGGeSBtfEQ 
[51417] ADD,eGGeSBtfEQ,78129.75 
[51623] BUY,eGGeSBtfEQ,KGA,600.92 
[51805] DISPLAY_SUMMARY,eGGeSBtfEQ 
[51892] SELL,eGGeSBtfEQ,DFE,129.03 
[52010] SET_SELL_AMOUNT,eGGeSBtfEQ,JQO,159.37 
[52029] SET_SELL_TRIGGER,eGGeSBtfEQ,JQO,81.39 
[52156] SET_SELL_TRIGGER,eGGeSBtfEQ,NTB,166.58 
[52172] QUOTE,eGGeSBtfEQ,HDR 
[52184] QUOTE,eGGeSBtfEQ,DLX 
[52211] QUOTE,eGGeSBtfEQ,DMS 
[52645] BUY,eGGeSBtfEQ,SJH,669.58 
[52708] CANCEL_SET_SELL,eGGeSBtfEQ,STQ 
[52737] CANCEL_SET_BUY,eGGeSBtfEQ,MVY 
[52782] SELL,eGGeSBtfEQ,LFU,406.25 
[52827] SET_SELL_TRIGGER,eGGeSBtfEQ,SAN,67.98 
[52911] BUY,eGGeSBtfEQ,TQX,668.38 
[52937] SET_BUY_AMOUNT,eGGeSBtfEQ,CSZ,236.81 
[53082] SET_BUY_TRIGGER,eGGeSBtfEQ,HMR,107.90 
[53513] DISPLAY_SUMMARY,eGGeSBtfEQ 
[53593] QUOTE,eGGeSBtfEQ,PYB 
[53694] SET_BUY_TRIGGER,eGGeSBtfEQ,DTG,133.21 
[53846] DISPLAY_SUMMARY,eGGeSBtfEQ 
[53915] ADD,eGGeSBtfEQ,51934.49 
[53916] BUY,eGGeSBtfEQ,VND,734.08 
[54437] SET_SELL_AMOUNT,eGGeSBtfEQ,ZYR,339.65 
[54531] SET_SELL_TRIGGER,eGGeSBtfEQ,ZYR,189.91 
[54566] ADD,eGGeSBtfEQ,86547.19 
[54681] QUOTE,eGGeSBtfEQ,FUF 
[54736] BUY,eGGeSBtfEQ,WFR,52.85 
[54892] COMMIT_BUY,eGGeSBtfEQ 
[55000] BUY,eGGeSBtfEQ,FPI,357.96 
[55073] COMMIT_BUY,eGGeSBtfEQ 
[55176] SET_SELL_TRIGGER,eGGeSBtfEQ,BUL,135.09 
[55249] ADD,eGGeSBtfEQ,82146.54 
[55263] BUY,eGGeSBtfEQ,RRT,341.44 
[55560] ADD,eGGeSBtfEQ,72964.31 
[55565] QUOTE,eGGeSBtfEQ,ECL 
[55568] BUY,eGGeSBtfEQ,OSC,387.73 
[55588] BUY,eGGeSBtfEQ,YTT,716.57 
[55720] CANCEL_SET_SELL,eGGeSBtfEQ,QWC 
[55783] SELL,eGGeSBtfEQ,UTV,260.04 
[55916] QUOTE,eGGeSBtfEQ,YJK 
[55934] ADD,eGGeSBtfEQ,69395.74 
[56188] BUY,eGGeSBtfEQ,CXC,617.91 
[56442] SELL,eGGeSBtfEQ,PTP,41.61 
[56450] COMMIT_SELL,eGGeSBtfEQ 
[56603] ADD,eGGeSBtfEQ,40464.17 
[56917] SELL,eGGeSBtfEQ,QAX,468.69 
[57064] SELL,eGGeSBtfEQ,JCQ,93.24 
[57069] COMMIT_SELL,eGGeSBtfEQ 
[57108] BUY,eGGeSBtfEQ,XVK,428.46 
[57171] COMMIT_BUY,eGGeSBtfEQ 
[57243] BUY,eGGeSBtfEQ,HPN,180.70 
[57270] COMMIT_SELL,eGGeSBtfEQ 
[57298] SET_SELL_TRIGGER,eGGeSBtfEQ,JNO,197.16 
[57408] BUY,eGGeSBtfEQ,TSU,6.86 
[57509] SET_SELL_TRIGGER,eGGeSBtfEQ,FNY,41.62 
[57620] SET_BUY_AMOUNT,eGGeSBtfEQ,OEY,333.06 
[57741] SET_BUY_TRIGGER,eGGeSBtfEQ,MQP,7.80 
[57743] ADD,eGGeSBtfEQ,48210.72 
[57898] QUOTE,eGGeSBtfEQ,BFL 
[57998] SET_BUY_AMOUNT,eGGeSBtfEQ,ZYR,134.41 
[58063] SET_BUY_TRIGGER,eGGeSBtfEQ,PFK,120.60 
[58077] DISPLAY_SUMMARY,eGGeSBtfEQ 
[58127] QUOTE,eGGeSBtfEQ,KAH 
[58242] SET_BUY_TRIGGER,eGGeSBtfEQ,DWF,1.58 
[58353] SET_BUY_AMOUNT,eGGeSBtfEQ,JRJ,278.73 
[58456] CANCEL_SET_BUY,eGGeSBtfEQ,PXX 
[58775] QUOTE,eGGeSBtfEQ,USW 
[59061] DISPLAY_SUMMARY,eGGeSBtfEQ 
[59119] SELL,eGGeSBtfEQ,KDA,471.84 
[59265] CANCEL_SET_SELL,eGGeSBtfEQ,YPW 
[59277] SET_BUY_TRIGGER,eGGeSBtfEQ,NFL,196.59 
[59498] QUOTE,eGGeSBtfEQ,VQA 
[59608] DISPLAY_SUMMARY,eGGeSBtfEQ 
[59738] SET_SELL_AMOUNT,eGGeSBtfEQ,OEY,673.36 
[59743] SET_SELL_TRIGGER,eGGeSBtfEQ,OEY,274.21 
[59766] BUY,eGGeSBtfEQ,GCW,482.49 
[59942] SELL,eGGeSBtfEQ,RGH,265.19 
[60000] COMMIT_SELL,eGGeSBtfEQ 
[60128] ADD,eGGeSBtfEQ,72130.72 
[60261] QUOTE,eGGeSBtfEQ,ADY 
[60314] DISPLAY_SUMMARY,eGGeSBtfEQ 
[60355] DISPLAY_SUMMARY,eGGeSBtfEQ 
[60382] DISPLAY_SUMMARY,eGGeSBtfEQ 
[60397] SET_SELL_TRIGGER,eGGeSBtfEQ,ZJQ,92.47 
[60717] SET_SELL_TRIGGER,eGGeSBtfEQ,PMG,199.55 
[60737] SET_BUY_TRIGGER,eGGeSBtfEQ,RGM,183.19 
[60806] BUY,eGGeSBtfEQ,TWJ,145.60 
[60922] COMMIT_BUY,eGGeSBtfEQ 
[60996] SET_SELL_AMOUNT,eGGeSBtfEQ,BCQ,409.35 
[60997] SET_SELL_TRIGGER,eGGeSBtfEQ,BCQ,359.98 
[61044] CANCEL_SELL,eGGeSBtfEQ 
[61096] DISPLAY_SUMMARY,eGGeSBtfEQ 
[61126] ADD,eGGeSBtfEQ,56370.25 
[61185] BUY,eGGeSBtfEQ,MHR,481.87 
[61215] BUY,eGGeSBtfEQ,FQU,347.55 
[61289] SELL,eGGeSBtfEQ,XXQ,125.62 
[61326] COMMIT_SELL,eGGeSBtfEQ 
[61401] ADD,eGGeSBtfEQ,57198.81 
[61416] QUOTE,eGGeSBtfEQ,BHQ 
[61485] BUY,eGGeSBtfEQ,KWP,644.90 
[61586] DISPLAY_SUMMARY,eGGeSBtfEQ 
[61686] CANCEL_SELL,eGGeSBtfEQ 
[61755] ADD,eGGeSBtfEQ,55934.83 
[61989] QUOTE,eGGeSBtfEQ,ETJ 
[61997] DISPLAY_SUMMARY,eGGeSBtfEQ 
[62188] SELL,eGGeSBtfEQ,FQP,198.82 
[62217] BUY,eGGeSBtfEQ,FCH,398.82 
[62259] COMMIT_BUY,eGGeSBtfEQ 
[62300] SET_SELL_AMOUNT,eGGeSBtfEQ,UTV,578.97 
[62444] SET_SELL_TRIGGER,eGGeSBtfEQ,UTV,93.19 
[62757] QUOTE,eGGeSBtfEQ,OZT 
[62834] BUY,eGGeSBtfEQ,YLZ,110.54 
[62836] COMMIT_BUY,eGGeSBtfEQ 
[62888] DISPLAY_SUMMARY,eGGeSBtfEQ 
[62953] DISPLAY_SUMMARY,eGGeSBtfEQ 
[62996] ADD,eGGeSBtfEQ,89665.20 
[63384] QUOTE,eGGeSBtfEQ,ZZD 
[63440] COMMIT_BUY,eGGeSBtfEQ 
[63588] ADD,eGGeSBtfEQ,41949.06 
[63592] BUY,eGGeSBtfEQ,MVY,394.77 
[63701] ADD,eGGeSBtfEQ,63623.07 
[63765] SET_BUY_TRIGGER,eGGeSBtfEQ,HFI,100.31 
[63917] SELL,eGGeSBtfEQ,JRJ,670.34 
[63984] COMMIT_SELL,eGGeSBtfEQ 
[64201] BUY,eGGeSBtfEQ,XOA,202.50 
[64274] CANCEL_BUY,eGGeSBtfEQ 
[64564] ADD,eGGeSBtfEQ,95118.32 
[64656] SET_BUY_AMOUNT,eGGeSBtfEQ,ZYR,344.65 
[64774] BUY,eGGeSBtfEQ,QPX,645.89 
[64849] BUY,eGGeSBtfEQ,RVU,347.21 
[64856] COMMIT_BUY,eGGeSBtfEQ 
[64935] BUY,eGGeSBtfEQ,BBC,4.71 
[64996] COMMIT_BUY,eGGeSBtfEQ 
[65436] BUY,eGGeSBtfEQ,PPY,220.87 
[65576] SET_SELL_TRIGGER,eGGeSBtfEQ,COE,126.52 
[65718] SELL,eGGeSBtfEQ,UTV,200.24 
[65859] CANCEL_SET_SELL,eGGeSBtfEQ,BBC 
[66270] SET_SELL_AMOUNT,eGGeSBtfEQ,RNK,386.13 
[66353] QUOTE,eGGeSBtfEQ,OYW 
[66355] BUY,eGGeSBtfEQ,MMY,135.88 
[66526] COMMIT_BUY,eGGeSBtfEQ 
[66800] SET_SELL_TRIGGER,eGGeSBtfEQ,RNK,118.54 
[66819] SET_SELL_TRIGGER,eGGeSBtfEQ,OAV,125.50 
[66868] SET_BUY_TRIGGER,eGGeSBtfEQ,AIN,276.15 
[67121] ADD,eGGeSBtfEQ,52836.97 
[67196] QUOTE,eGGeSBtfEQ,PZE 
[67388] CANCEL_BUY,eGGeSBtfEQ 
[67442] DISPLAY_SUMMARY,eGGeSBtfEQ 
[67631] DISPLAY_SUMMARY,eGGeSBtfEQ 
[67655] DISPLAY_SUMMARY,eGGeSBtfEQ 
[67905] SELL,eGGeSBtfEQ,YJK,612.83 
[67911] COMMIT_SELL,eGGeSBtfEQ 
[67982] SET_SELL_AMOUNT,eGGeSBtfEQ,JQO,649.29 
[68021] SET_SELL_TRIGGER,eGGeSBtfEQ,JQO,273.69 
[68066] ADD,eGGeSBtfEQ,50218.57 
[68172] BUY,eGGeSBtfEQ,UIE,165.88 
[68176] COMMIT_SELL,eGGeSBtfEQ 
[68656] ADD,eGGeSBtfEQ,64860.49 
[68701] QUOTE,eGGeSBtfEQ,AHO 
[68856] ADD,eGGeSBtfEQ,52843.17 
[68865] QUOTE,eGGeSBtfEQ,YCH 
[68900] QUOTE,eGGeSBtfEQ,XFA 
[68999] QUOTE,eGGeSBtfEQ,IFC 
[69031] BUY,eGGeSBtfEQ,PBV,570.85 
[69113] CANCEL_SELL,eGGeSBtfEQ 
[69127] SELL,eGGeSBtfEQ,OPN,63.29 
[69148] CANCEL_SET_BUY,eGGeSBtfEQ,XUH 
[69209] QUOTE,eGGeSBtfEQ,IZS 
[69380] QUOTE,eGGeSBtfEQ,YBB 
[69422] CANCEL_SELL,eGGeSBtfEQ 
[69459] SET_SELL_AMOUNT,eGGeSBtfEQ,UBJ,490.79 
[69601] CANCEL_SET_SELL,eGGeSBtfEQ,UBJ 
[69704] SET_BUY_AMOUNT,eGGeSBtfEQ,LFU,406.54 
[69739] SET_BUY_TRIGGER,eGGeSBtfEQ,PPY,402.86 
[69742] CANCEL_SET_BUY,eGGeSBtfEQ,OEY 
[69815] BUY,eGGeSBtfEQ,NVX,158.20 
[69930] COMMIT_BUY,eGGeSBtfEQ 
[70062] DISPLAY_SUMMARY,eGGeSBtfEQ 
[70073] SET_SELL_AMOUNT,eGGeSBtfEQ,XLK,579.43 
[70076] CANCEL_SET_SELL,eGGeSBtfEQ,XLK 
[70204] DISPLAY_SUMMARY,eGGeSBtfEQ 
[70220] SET_BUY_AMOUNT,eGGeSBtfEQ,UTV,99.52 
[70290] SET_BUY_TRIGGER,eGGeSBtfEQ,KBI,68.05 
[70902] SET_BUY_AMOUNT,eGGeSBtfEQ,QAX,368.48 
[70981] SET_BUY_TRIGGER,eGGeSBtfEQ,JKX,302.65 
[70993] SET_SELL_AMOUNT,eGGeSBtfEQ,UTV,421.08 
[71027] SET_SELL_TRIGGER,eGGeSBtfEQ,UTV,398.32 
[71058] SET_SELL_TRIGGER,eGGeSBtfEQ,AOU,118.50 
[71068] SELL,eGGeSBtfEQ,SUS,251.45 
[71121] CANCEL_SELL,eGGeSBtfEQ 
[71122] SET_SELL_TRIGGER,eGGeSBtfEQ,XLV,108.71 
[71132] SET_BUY_TRIGGER,eGGeSBtfEQ,ETB,178.11 
[71165] QUOTE,eGGeSBtfEQ,DIX 
[71224] QUOTE,eGGeSBtfEQ,KIP 
[71231] DISPLAY_SUMMARY,eGGeSBtfEQ 
[71242] QUOTE,eGGeSBtfEQ,XLV 
[71326] SET_BUY_AMOUNT,eGGeSBtfEQ,VTY,718.70 
[71401] QUOTE,eGGeSBtfEQ,DBS 
[71631] SET_BUY_AMOUNT,eGGeSBtfEQ,RGH,712.41 
[71660] SET_BUY_TRIGGER,eGGeSBtfEQ,FCH,55.07 
[71773] ADD,eGGeSBtfEQ,54819.88 
[71796] SET_SELL_AMOUNT,eGGeSBtfEQ,KES,63.01 
[72220] SET_SELL_TRIGGER,eGGeSBtfEQ,KES,23.35 
[72262] ADD,eGGeSBtfEQ,66029.66 
[72301] BUY,eGGeSBtfEQ,JEO,488.17 
[72349] COMMIT_BUY,eGGeSBtfEQ 
[72355] DISPLAY_SUMMARY,eGGeSBtfEQ 
[72528] DISPLAY_SUMMARY,eGGeSBtfEQ 
[72732] SET_SELL_AMOUNT,eGGeSBtfEQ,VTY,467.45 
[72739] CANCEL_SET_SELL,eGGeSBtfEQ,VTY 
[72884] ADD,eGGeSBtfEQ,81287.08 
[72928] QUOTE,eGGeSBtfEQ,OIY 
[72969] BUY,eGGeSBtfEQ,ZAN,543.63 
[72976] COMMIT_BUY,eGGeSBtfEQ 
[73098] COMMIT_SELL,eGGeSBtfEQ 
[73199] DISPLAY_SUMMARY,eGGeSBtfEQ 
[73276] QUOTE,eGGeSBtfEQ,TTV 
[73322] QUOTE,eGGeSBtfEQ,VUS 
[73331] SET_BUY_TRIGGER,eGGeSBtfEQ,MZT,194.24 
[73438] SET_SELL_AMOUNT,eGGeSBtfEQ,DFE,283.00 
[73458] SET_SELL_TRIGGER,eGGeSBtfEQ,DFE,149.57 
[73466] DISPLAY_SUMMARY,eGGeSBtfEQ 
[73736] ADD,eGGeSBtfEQ,94854.93 
[73758] BUY,eGGeSBtfEQ,JCL,75.78 
[73767] COMMIT_BUY,eGGeSBtfEQ 
[73808] ADD,eGGeSBtfEQ,99845.53 
[74021] QUOTE,eGGeSBtfEQ,BUL 
[74145] BUY,eGGeSBtfEQ,YAV,401.72 
[74437] CANCEL_BUY,eGGeSBtfEQ 
[74459] CANCEL_BUY,eGGeSBtfEQ 
[74494] SET_SELL_TRIGGER,eGGeSBtfEQ,VJV,26.83 
[74549] SET_SELL_TRIGGER,eGGeSBtfEQ,VUS,198.70 
[74587] CANCEL_SELL,eGGeSBtfEQ 
[74603] BUY,eGGeSBtfEQ,LPB,31.13 
[74640] SELL,eGGeSBtfEQ,JRJ,633.62 
[74822] CANCEL_BUY,eGGeSBtfEQ 
[74989] ADD,eGGeSBtfEQ,57942.99 
[75086] BUY,eGGeSBtfEQ,ZKV,210.60 
[75396] COMMIT_BUY,eGGeSBtfEQ 
[75481] QUOTE,eGGeSBtfEQ,SPP 
[75558] DISPLAY_SUMMARY,eGGeSBtfEQ 
[75570] DISPLAY_SUMMARY,eGGeSBtfEQ 
[75597] BUY,eGGeSBtfEQ,EOS,508.03 
[75872] QUOTE,eGGeSBtfEQ,GZQ 
[75945] BUY,eGGeSBtfEQ,ZQS,565.69 
[75983] COMMIT_BUY,eGGeSBtfEQ 
[76177] ADD,eGGeSBtfEQ,63505.04 
[76210] SET_BUY_AMOUNT,eGGeSBtfEQ,JRJ,588.06 
[76410] SET_BUY_TRIGGER,eGGeSBtfEQ,IQJ,549.68 
[76442] COMMIT_BUY,eGGeSBtfEQ 
[76532] QUOTE,eGGeSBtfEQ,IIX 
[76549] BUY,eGGeSBtfEQ,JEA,485.11 
[76550] COMMIT_BUY,eGGeSBtfEQ 
[76560] QUOTE,eGGeSBtfEQ,YEW 
[76615] BUY,eGGeSBtfEQ,KHY,518.04 
[76943] COMMIT_BUY,eGGeSBtfEQ 
[76980] DISPLAY_SUMMARY,eGGeSBtfEQ 
[77074] BUY,eGGeSBtfEQ,OGB,408.34 
[77102] COMMIT_BUY,eGGeSBtfEQ 
[77103] QUOTE,eGGeSBtfEQ,TQE 
[77162] BUY,eGGeSBtfEQ,OIV,52.18 
[77244] SET_BUY_TRIGGER,eGGeSBtfEQ,YXK,146.74 
[77673] QUOTE,eGGeSBtfEQ,WUF 
[77698] BUY,eGGeSBtfEQ,ZZD,503.52 
[77705] ADD,eGGeSBtfEQ,69640.82 
[77761] QUOTE,eGGeSBtfEQ,GAV 
[77936] SET_BUY_AMOUNT,eGGeSBtfEQ,NHG,74.37 
[78307] QUOTE,eGGeSBtfEQ,GJQ 
[78370] SET_SELL_AMOUNT,eGGeSBtfEQ,RNK,627.73 
[78678] CANCEL_SET_SELL,eGGeSBtfEQ,RNK 
[78787] ADD,eGGeSBtfEQ,52915.19 
[78937] QUOTE,eGGeSBtfEQ,HFI 
[78959] QUOTE,eGGeSBtfEQ,HEK 
[78973] DISPLAY_SUMMARY,eGGeSBtfEQ 
[78980] SET_SELL_AMOUNT,eGGeSBtfEQ,XXQ,605.79 
[79003] SET_SELL_TRIGGER,eGGeSBtfEQ,XXQ,422.13 
[79019] SET_SELL_AMOUNT,eGGeSBtfEQ,RNK,520.74 
[79135] SET_SELL_TRIGGER,eGGeSBtfEQ,RNK,468.21 
[79139] SET_BUY_AMOUNT,eGGeSBtfEQ,MFX,61.27 
[79180] SET_BUY_TRIGGER,eGGeSBtfEQ,TTY,10.48 
[79376] SELL,eGGeSBtfEQ,RGH,220.57 
[79418] COMMIT_SELL,eGGeSBtfEQ 
[79426] ADD,eGGeSBtfEQ,95400.46 
[79587] QUOTE,eGGeSBtfEQ,UBJ 
[79691] BUY,eGGeSBtfEQ,YUR,612.07 
[79746] SELL,eGGeSBtfEQ,JQO,136.65 
[79817] COMMIT_SELL,eGGeSBtfEQ 
[79849] DISPLAY_SUMMARY,eGGeSBtfEQ 
[79865] DISPLAY_SUMMARY,eGGeSBtfEQ 
[80034] DISPLAY_SUMMARY,eGGeSBtfEQ 
[80319] SET_BUY_TRIGGER,eGGeSBtfEQ,YUR,67.96 
[80778] SELL,eGGeSBtfEQ,SSF,591.19 
[81186] ADD,eGGeSBtfEQ,60668.82 
[81225] QUOTE,eGGeSBtfEQ,JDO 
[81354] DISPLAY_SUMMARY,eGGeSBtfEQ 
[81474] ADD,eGGeSBtfEQ,83205.09 
[81539] BUY,eGGeSBtfEQ,HYX,474.49 
[81565] COMMIT_BUY,eGGeSBtfEQ 
[81717] DISPLAY_SUMMARY,eGGeSBtfEQ 
[81772] ADD,eGGeSBtfEQ,58933.50 
[82099] QUOTE,eGGeSBtfEQ,UGT 
[82438] CANCEL_SET_SELL,eGGeSBtfEQ,KDA 
[82638] ADD,eGGeSBtfEQ,68172.71 
[82802] QUOTE,eGGeSBtfEQ,JUJ 
[83108] CANCEL_BUY,eGGeSBtfEQ 
[83258] SET_BUY_TRIGGER,eGGeSBtfEQ,YVX,74.01 
[83415] QUOTE,eGGeSBtfEQ,MIU 
[83655] BUY,eGGeSBtfEQ,DIX,161.13 
[83715] COMMIT_BUY,eGGeSBtfEQ 
[83805] SET_SELL_AMOUNT,eGGeSBtfEQ,GRM,739.70 
[83832] SET_SELL_TRIGGER,eGGeSBtfEQ,GRM,310.17 
[84214] SET_SELL_TRIGGER,eGGeSBtfEQ,NSW,141.25 
[84377] SELL,eGGeSBtfEQ,MFX,721.95 
[84794] SET_BUY_AMOUNT,eGGeSBtfEQ,GYF,627.99 
[84808] CANCEL_SET_BUY,eGGeSBtfEQ,MIU 
[84889] SET_BUY_TRIGGER,eGGeSBtfEQ,NGB,151.19 
[84902] QUOTE,eGGeSBtfEQ,ZAV 
[84933] DISPLAY_SUMMARY,eGGeSBtfEQ 
[84988] ADD,eGGeSBtfEQ,67478.15 
[84995] BUY,eGGeSBtfEQ,MGO,426.02 
[85070] COMMIT_BUY,eGGeSBtfEQ 
[85091] SELL,eGGeSBtfEQ,XXQ,454.72 
[85158] CANCEL_SELL,eGGeSBtfEQ 
[85238] BUY,eGGeSBtfEQ,MLU,563.40 
[85497] COMMIT_BUY,eGGeSBtfEQ 
[85868] QUOTE,eGGeSBtfEQ,PJJ 
[85957] ADD,eGGeSBtfEQ,62576.12 
[86106] QUOTE,eGGeSBtfEQ,WRN 
[86242] ADD,eGGeSBtfEQ,78595.96 
[86322] QUOTE,eGGeSBtfEQ,URA 
[86344] CANCEL_SELL,eGGeSBtfEQ 
[86401] SET_BUY_TRIGGER,eGGeSBtfEQ,GMF,186.64 
[86471] SELL,eGGeSBtfEQ,PTP,372.19 
[86568] COMMIT_SELL,eGGeSBtfEQ 
[86692] SET_BUY_AMOUNT,eGGeSBtfEQ,GRM,548.51 
[86835] SET_BUY_TRIGGER,eGGeSBtfEQ,GLJ,127.47 
[86844] ADD,eGGeSBtfEQ,53451.76 
[86886] CANCEL_SET_BUY,eGGeSBtfEQ,ZFT 
[86934] CANCEL_SET_SELL,eGGeSBtfEQ,VOU 
[86991] SELL,eGGeSBtfEQ,RUN,38.12 
[87015] CANCEL_SET_SELL,eGGeSBtfEQ,WHR 
[87017] QUOTE,eGGeSBtfEQ,UZZ 
[87036] BUY,eGGeSBtfEQ,AOC,488.03 
[87135] COMMIT_BUY,eGGeSBtfEQ 
[87180] SET_BUY_TRIGGER,eGGeSBtfEQ,ULL,151.73 
[87243] SET_SELL_AMOUNT,eGGeSBtfEQ,UIE,713.69 
[87323] QUOTE,eGGeSBtfEQ,CAX 
[87328] SET_BUY_TRIGGER,eGGeSBtfEQ,LGL,45.75 
[87613] ADD,eGGeSBtfEQ,57936.17 
[87671] BUY,eGGeSBtfEQ,PYB,522.01 
[87682] CANCEL_BUY,eGGeSBtfEQ 
[87861] SET_SELL_TRIGGER,eGGeSBtfEQ,UIE,138.35 
[87886] SET_BUY_AMOUNT,eGGeSBtfEQ,ZTI,401.96 
[87888] BUY,eGGeSBtfEQ,OOV,4.97 
[87954] COMMIT_BUY,eGGeSBtfEQ 
[88264] DISPLAY_SUMMARY,eGGeSBtfEQ 
[88386] QUOTE,eGGeSBtfEQ,FOV 
[88452] QUOTE,eGGeSBtfEQ,JGO 
[88456] BUY,eGGeSBtfEQ,KEV,737.07 
[88480] COMMIT_BUY,eGGeSBtfEQ 
[88534] SET_SELL_AMOUNT,eGGeSBtfEQ,RUN,87.38 
[88560] SET_SELL_TRIGGER,eGGeSBtfEQ,RUN,26.56 
[88585] SET_BUY_AMOUNT,eGGeSBtfEQ,MFX,663.31 
[88760] SET_BUY_TRIGGER,eGGeSBtfEQ,KAS,530.83 
[88843] SELL,eGGeSBtfEQ,CBO,422.08 
[89121] CANCEL_SET_BUY,eGGeSBtfEQ,IDX 
[89151] SET_BUY_AMOUNT,eGGeSBtfEQ,UBJ,36.98 
[89264] CANCEL_SET_BUY,eGGeSBtfEQ,YIQ 
[89266] DISPLAY_SUMMARY,eGGeSBtfEQ 
[89268] BUY,eGGeSBtfEQ,YEW,313.82 
[89373] SELL,eGGeSBtfEQ,TVI,27.66 
[89398] SET_BUY_TRIGGER,eGGeSBtfEQ,OXV,176.11 
[89416] DISPLAY_SUMMARY,eGGeSBtfEQ 
[89425] COMMIT_BUY,eGGeSBtfEQ 
[89465] DISPLAY_SUMMARY,eGGeSBtfEQ 
[89536] QUOTE,eGGeSBtfEQ,FYR 
[89562] ADD,eGGeSBtfEQ,101668.16 
[89804] BUY,eGGeSBtfEQ,GNY,473.69 
[89863] COMMIT_BUY,eGGeSBtfEQ 
[89951] SET_SELL_AMOUNT,eGGeSBtfEQ,OZO,90.07 
[90005] SET_SELL_TRIGGER,eGGeSBtfEQ,OZO,61.95 
[90055] SET_SELL_AMOUNT,eGGeSBtfEQ,TKM,60.03 
