[227] ADD,xgci4T0tkO,58853.42 
[49788] COMMIT_SELL,xgci4T0tkO 
[49789] SET_BUY_AMOUNT,xgci4T0tkO,ZAN,657.49 
[49794] SET_BUY_TRIGGER,xgci4T0tkO,SPP,198.57 
[49856] CANCEL_SET_BUY,xgci4T0tkO,PFK 
[49867] QUOTE,xgci4T0tkO,WUF 
[49927] QUOTE,xgci4T0tkO,JSM 
[50010] CANCEL_BUY,xgci4T0tkO 
[50100] SET_BUY_AMOUNT,xgci4T0tkO,YJK,672.67 
[50103] SET_BUY_TRIGGER,xgci4T0tkO,NUV,115.38 
[50200] DISPLAY_SUMMARY,xgci4T0tkO 
[50558] DISPLAY_SUMMARY,xgci4T0tkO 
[50571] BUY,xgci4T0tkO,NJF,628.74 
[50602] QUOTE,xgci4T0tkO,PIE 
[50634] BUY,xgci4T0tkO,IRQ,664.42 
[50776] BUY,xgci4T0tkO,KAS,698.02 
[50945] COMMIT_BUY,xgci4T0tkO 
[50957] SET_SELL_AMOUNT,xgci4T0tkO,JQO,328.55 
[51260] SET_SELL_TRIGGER,xgci4T0tkO,JQO,89.62 
[51488] DISPLAY_SUMMARY,xgci4T0tkO 
[51494] QUOTE,xgci4T0tkO,OBO 
[51632] SET_SELL_AMOUNT,xgci4T0tkO,BYA,479.95 
[51816] SET_SELL_TRIGGER,xgci4T0tkO,BYA,276.86 
[51900] SET_BUY_TRIGGER,xgci4T0tkO,QAX,162.56 
[51919] SELL,xgci4T0tkO,OEY,233.73 
[52289] SET_BUY_AMOUNT,xgci4T0tkO,QJZ,272.67 
[52338] SET_BUY_TRIGGER,xgci4T0tkO,XAN,5.69 
[52357] DISPLAY_SUMMARY,xgci4T0tkO 
[52396] BUY,xgci4T0tkO,OIY,40.73 
[52439] CANCEL_SET_SELL,xgci4T0tkO,AQO 
[52581] SET_SELL_AMOUNT,xgci4T0tkO,XXQ,103.30 
[52694] QUOTE,xgci4T0tkO,WDJ 
[52996] BUY,xgci4T0tkO,FNY,133.94 
[53053] COMMIT_BUY,xgci4T0tkO 
[53075] ADD,xgci4T0tkO,51465.19 
[53116] BUY,xgci4T0tkO,XLV,155.39 
[53421] COMMIT_BUY,xgci4T0tkO 
[53589] CANCEL_SET_SELL,xgci4T0tkO,XXQ 
[53618] COMMIT_SELL,xgci4T0tkO 
[53675] SELL,xgci4T0tkO,JZJ,29.52 
[53733] COMMIT_SELL,xgci4T0tkO 
[53737] SET_BUY_AMOUNT,xgci4T0tkO,QAX,217.80 
[53823] SET_BUY_TRIGGER,xgci4T0tkO,DWC,39.08 
[53941] QUOTE,xgci4T0tkO,WNX 
[53957] SET_SELL_TRIGGER,xgci4T0tkO,CVK,124.12 
[53961] ADD,xgci4T0tkO,85177.36 
[54249] QUOTE,xgci4T0tkO,SCK 
[54359] SET_BUY_AMOUNT,xgci4T0tkO,OEY,718.83 
[54472] SET_BUY_TRIGGER,xgci4T0tkO,RFI,590.60 
[54592] DISPLAY_SUMMARY,xgci4T0tkO 
[54623] SET_BUY_TRIGGER,xgci4T0tkO,BFU,180.92 
[54635] DISPLAY_SUMMARY,xgci4T0tkO 
[54682] SET_SELL_AMOUNT,xgci4T0tkO,NHG,28.54 
[54820] SET_SELL_TRIGGER,xgci4T0tkO,NHG,16.58 
[54976] QUOTE,xgci4T0tkO,WKT 
[55051] BUY,xgci4T0tkO,HEJ,459.70 
[55068] CANCEL_BUY,xgci4T0tkO 
[55141] QUOTE,xgci4T0tkO,ZSV 
[55171] DISPLAY_SUMMARY,xgci4T0tkO 
[55323] DISPLAY_SUMMARY,xgci4T0tkO 
[55355] SELL,xgci4T0tkO,RNK,525.50 
[55519] DISPLAY_SUMMARY,xgci4T0tkO 
[55520] ADD,xgci4T0tkO,43963.20 
[55521] QUOTE,xgci4T0tkO,XQG 
[55546] SET_SELL_TRIGGER,xgci4T0tkO,LSG,197.81 
[55557] SET_SELL_AMOUNT,xgci4T0tkO,XLK,305.35 
[55618] SET_SELL_TRIGGER,xgci4T0tkO,XLK,172.62 
[55673] CANCEL_SET_BUY,xgci4T0tkO,UJC 
[55713] SET_BUY_TRIGGER,xgci4T0tkO,LVV,25.89 
[55754] ADD,xgci4T0tkO,67520.45 
[55768] BUY,xgci4T0tkO,NJF,110.11 
[55769] BUY,xgci4T0tkO,EWP,164.92 
[55862] COMMIT_BUY,xgci4T0tkO 
[55869] SELL,xgci4T0tkO,KDA,245.84 
[56000] CANCEL_SELL,xgci4T0tkO 
[56035] SET_BUY_AMOUNT,xgci4T0tkO,NHG,523.31 
[56122] SET_BUY_TRIGGER,xgci4T0tkO,TCP,169.49 
[56251] SET_SELL_AMOUNT,xgci4T0tkO,DFE,427.03 
[56313] SET_SELL_TRIGGER,xgci4T0tkO,DFE,128.37 
[56366] QUOTE,xgci4T0tkO,GRM 
[56511] ADD,xgci4T0tkO,61850.50 
[56701] QUOTE,xgci4T0tkO,SYL 
[56816] QUOTE,xgci4T0tkO,CBK 
[56889] CANCEL_SET_SELL,xgci4T0tkO,NQU 
[57135] DISPLAY_SUMMARY,xgci4T0tkO 
[57202] SELL,xgci4T0tkO,OEY,19.61 
[57234] CANCEL_SELL,xgci4T0tkO 
[57302] ADD,xgci4T0tkO,73874.34 
[57803] BUY,xgci4T0tkO,UIE,260.22 
[57846] QUOTE,xgci4T0tkO,FIY 
[58043] SET_BUY_AMOUNT,xgci4T0tkO,RUN,247.30 
[58080] CANCEL_SET_BUY,xgci4T0tkO,VVV 
[58084] SELL,xgci4T0tkO,OPN,11.27 
[58209] CANCEL_SET_BUY,xgci4T0tkO,KLY 
[58257] ADD,xgci4T0tkO,62456.32 
[58278] SET_SELL_AMOUNT,xgci4T0tkO,JQO,207.57 
[58461] SELL,xgci4T0tkO,OPN,413.93 
[58474] COMMIT_SELL,xgci4T0tkO 
[58588] BUY,xgci4T0tkO,WKG,242.16 
[58834] CANCEL_BUY,xgci4T0tkO 
[58871] BUY,xgci4T0tkO,MXN,663.61 
[59329] COMMIT_BUY,xgci4T0tkO 
[59397] DISPLAY_SUMMARY,xgci4T0tkO 
[59481] ADD,xgci4T0tkO,91268.24 
[59589] QUOTE,xgci4T0tkO,CEC 
[59642] SET_BUY_TRIGGER,xgci4T0tkO,XQG,29.77 
[59674] SET_BUY_AMOUNT,xgci4T0tkO,JVT,507.17 
[59704] SET_BUY_TRIGGER,xgci4T0tkO,WGV,310.23 
[60209] SET_BUY_TRIGGER,xgci4T0tkO,IOY,61.86 
[60436] ADD,xgci4T0tkO,60749.99 
[60447] QUOTE,xgci4T0tkO,RJG 
[60461] BUY,xgci4T0tkO,JKX,477.47 
[60648] CANCEL_BUY,xgci4T0tkO 
[60808] BUY,xgci4T0tkO,BFB,540.72 
[60810] COMMIT_BUY,xgci4T0tkO 
[60821] SET_SELL_TRIGGER,xgci4T0tkO,JQO,31.98 
[60830] SET_BUY_AMOUNT,xgci4T0tkO,JQO,741.59 
[60961] QUOTE,xgci4T0tkO,QHF 
[61029] SET_SELL_TRIGGER,xgci4T0tkO,FZB,182.69 
[61208] SELL,xgci4T0tkO,EBS,276.15 
[61241] COMMIT_SELL,xgci4T0tkO 
[61269] QUOTE,xgci4T0tkO,VIG 
[61328] SET_SELL_TRIGGER,xgci4T0tkO,WKE,133.25 
[61389] ADD,xgci4T0tkO,75964.30 
[61518] BUY,xgci4T0tkO,NJB,621.59 
[61544] COMMIT_SELL,xgci4T0tkO 
[61572] SET_SELL_TRIGGER,xgci4T0tkO,NSW,170.97 
[61681] ADD,xgci4T0tkO,75523.85 
[61707] QUOTE,xgci4T0tkO,JYV 
[61817] BUY,xgci4T0tkO,OLI,581.94 
[61969] COMMIT_BUY,xgci4T0tkO 
[61983] BUY,xgci4T0tkO,GSW,518.81 
[62159] COMMIT_BUY,xgci4T0tkO 
[62309] BUY,xgci4T0tkO,DWU,43.02 
[62324] CANCEL_SET_SELL,xgci4T0tkO,RUN 
[62363] ADD,xgci4T0tkO,72960.48 
[62379] DISPLAY_SUMMARY,xgci4T0tkO 
[62544] SET_BUY_TRIGGER,xgci4T0tkO,TKG,250.51 
[62726] QUOTE,xgci4T0tkO,ILT 
[62845] BUY,xgci4T0tkO,AZN,653.89 
[62849] COMMIT_BUY,xgci4T0tkO 
[62885] DISPLAY_SUMMARY,xgci4T0tkO 
[62920] CANCEL_BUY,xgci4T0tkO 
[62993] SELL,xgci4T0tkO,OEY,343.49 
[63033] SET_SELL_AMOUNT,xgci4T0tkO,UBJ,661.25 
[63227] SET_SELL_TRIGGER,xgci4T0tkO,UBJ,317.45 
[63260] SET_BUY_AMOUNT,xgci4T0tkO,XLK,399.14 
[63379] CANCEL_SET_BUY,xgci4T0tkO,YZC 
[63390] QUOTE,xgci4T0tkO,EWP 
[63473] SET_BUY_TRIGGER,xgci4T0tkO,IIX,84.78 
[63834] BUY,xgci4T0tkO,ZKV,14.01 
[63864] COMMIT_BUY,xgci4T0tkO 
[63871] SELL,xgci4T0tkO,SUS,450.75 
[63936] DISPLAY_SUMMARY,xgci4T0tkO 
[63967] SET_SELL_TRIGGER,xgci4T0tkO,XOA,45.32 
[63985] ADD,xgci4T0tkO,62578.75 
[64036] QUOTE,xgci4T0tkO,AJR 
[64048] SELL,xgci4T0tkO,YJK,513.58 
[64118] SET_SELL_AMOUNT,xgci4T0tkO,ZYR,175.22 
[64143] SET_SELL_TRIGGER,xgci4T0tkO,ZYR,107.96 
[64144] SET_BUY_AMOUNT,xgci4T0tkO,CUZ,162.37 
[64188] SET_BUY_TRIGGER,xgci4T0tkO,JUJ,51.71 
[64406] QUOTE,xgci4T0tkO,QPX 
[64624] BUY,xgci4T0tkO,DPG,420.46 
[64638] SET_BUY_TRIGGER,xgci4T0tkO,NTB,89.99 
[64640] SET_BUY_TRIGGER,xgci4T0tkO,JUV,90.84 
[64748] SET_BUY_AMOUNT,xgci4T0tkO,YJK,28.44 
[64973] DISPLAY_SUMMARY,xgci4T0tkO 
[65075] QUOTE,xgci4T0tkO,XVK 
[65167] BUY,xgci4T0tkO,QNK,203.15 
[65330] CANCEL_SET_BUY,xgci4T0tkO,OTQ 
[65341] QUOTE,xgci4T0tkO,URY 
[65353] CANCEL_SET_SELL,xgci4T0tkO,EGX 
[65420] SET_BUY_TRIGGER,xgci4T0tkO,JTY,2.90 
[65644] CANCEL_SET_SELL,xgci4T0tkO,CNN 
[65697] DISPLAY_SUMMARY,xgci4T0tkO 
[65768] SET_BUY_AMOUNT,xgci4T0tkO,OEY,113.97 
[66055] SET_BUY_TRIGGER,xgci4T0tkO,PUU,53.38 
[66222] SET_BUY_AMOUNT,xgci4T0tkO,FDI,462.44 
[66273] SET_BUY_TRIGGER,xgci4T0tkO,OGR,155.76 
[66502] CANCEL_SET_SELL,xgci4T0tkO,YTO 
[66662] DISPLAY_SUMMARY,xgci4T0tkO 
[66752] ADD,xgci4T0tkO,80367.63 
[66935] QUOTE,xgci4T0tkO,MVD 
[67122] SELL,xgci4T0tkO,GYF,721.54 
[67224] COMMIT_SELL,xgci4T0tkO 
[67247] SELL,xgci4T0tkO,RGH,530.74 
[67289] COMMIT_SELL,xgci4T0tkO 
[67319] BUY,xgci4T0tkO,HVE,664.97 
[67418] QUOTE,xgci4T0tkO,UMV 
[67525] QUOTE,xgci4T0tkO,FUF 
[67604] ADD,xgci4T0tkO,65082.48 
[67657] BUY,xgci4T0tkO,TKM,189.76 
[67914] COMMIT_BUY,xgci4T0tkO 
[67919] SELL,xgci4T0tkO,KDA,533.20 
[67991] COMMIT_SELL,xgci4T0tkO 
[68228] SET_SELL_TRIGGER,xgci4T0tkO,IPJ,43.69 
[68346] DISPLAY_SUMMARY,xgci4T0tkO 
[68376] BUY,xgci4T0tkO,VVO,456.65 
[68524] COMMIT_BUY,xgci4T0tkO 
[68562] SET_BUY_AMOUNT,xgci4T0tkO,NHG,198.33 
[68671] SET_BUY_TRIGGER,xgci4T0tkO,KJD,51.18 
[68727] SET_BUY_AMOUNT,xgci4T0tkO,KDA,102.32 
[68799] CANCEL_SET_BUY,xgci4T0tkO,GPL 
[68929] SELL,xgci4T0tkO,SSF,260.48 
[69078] COMMIT_SELL,xgci4T0tkO 
[69375] DISPLAY_SUMMARY,xgci4T0tkO 
[69508] ADD,xgci4T0tkO,83106.78 
[69546] SET_BUY_TRIGGER,xgci4T0tkO,IGT,138.73 
[69641] SET_BUY_AMOUNT,xgci4T0tkO,CSZ,111.53 
[69715] SET_BUY_TRIGGER,xgci4T0tkO,BPP,8.15 
[69734] SET_SELL_AMOUNT,xgci4T0tkO,KES,483.63 
[70063] SET_SELL_TRIGGER,xgci4T0tkO,KES,110.95 
[70394] SELL,xgci4T0tkO,GRM,55.50 
[70399] COMMIT_BUY,xgci4T0tkO 
[70421] BUY,xgci4T0tkO,JEA,297.04 
[70460] ADD,xgci4T0tkO,43043.26 
[70475] QUOTE,xgci4T0tkO,URD 
[70480] CANCEL_SET_SELL,xgci4T0tkO,ZPD 
[70561] SET_SELL_AMOUNT,xgci4T0tkO,LFU,537.02 
[70662] CANCEL_SET_SELL,xgci4T0tkO,LFU 
[70711] BUY,xgci4T0tkO,BMQ,239.76 
[70735] COMMIT_BUY,xgci4T0tkO 
[70885] ADD,xgci4T0tkO,71507.64 
[70892] BUY,xgci4T0tkO,BPP,484.86 
[70964] CANCEL_BUY,xgci4T0tkO 
[71034] CANCEL_SELL,xgci4T0tkO 
[71070] ADD,xgci4T0tkO,63073.92 
[71158] BUY,xgci4T0tkO,MVQ,159.92 
[71446] CANCEL_BUY,xgci4T0tkO 
[71663] SET_BUY_AMOUNT,xgci4T0tkO,JCQ,190.57 
[71680] QUOTE,xgci4T0tkO,BSG 
[71764] BUY,xgci4T0tkO,FYA,589.03 
[71768] SELL,xgci4T0tkO,CBO,626.58 
[71882] COMMIT_SELL,xgci4T0tkO 
[71958] BUY,xgci4T0tkO,SOA,337.05 
[71993] COMMIT_SELL,xgci4T0tkO 
[72456] SET_SELL_AMOUNT,xgci4T0tkO,XLK,193.72 
[72496] SET_SELL_TRIGGER,xgci4T0tkO,XLK,183.98 
[72550] SELL,xgci4T0tkO,BCQ,371.11 
[72566] SET_BUY_TRIGGER,xgci4T0tkO,BUL,132.74 
[72602] CANCEL_SET_SELL,xgci4T0tkO,STQ 
[72639] ADD,xgci4T0tkO,76474.77 
[72779] QUOTE,xgci4T0tkO,MXD 
[72784] BUY,xgci4T0tkO,GGI,36.89 
[72888] COMMIT_BUY,xgci4T0tkO 
[72927] CANCEL_SET_BUY,xgci4T0tkO,DNJ 
[72938] QUOTE,xgci4T0tkO,JTY 
[73005] QUOTE,xgci4T0tkO,WZM 
[73021] BUY,xgci4T0tkO,SZI,239.42 
[73040] COMMIT_BUY,xgci4T0tkO 
[73048] SET_SELL_TRIGGER,xgci4T0tkO,KAO,10.60 
[73356] ADD,xgci4T0tkO,88086.67 
[73428] SET_SELL_AMOUNT,xgci4T0tkO,ZTI,101.08 
[73549] SET_SELL_TRIGGER,xgci4T0tkO,ZTI,32.55 
[73553] ADD,xgci4T0tkO,82714.51 
[73602] COMMIT_BUY,xgci4T0tkO 
[73930] BUY,xgci4T0tkO,BBD,383.90 
[74259] CANCEL_SET_SELL,xgci4T0tkO,VEE 
[74409] SELL,xgci4T0tkO,JQO,222.54 
[74490] DISPLAY_SUMMARY,xgci4T0tkO 
[74564] SELL,xgci4T0tkO,RUN,74.21 
[74623] CANCEL_BUY,xgci4T0tkO 
[74727] ADD,xgci4T0tkO,48984.21 
[74741] QUOTE,xgci4T0tkO,WRN 
[74919] BUY,xgci4T0tkO,ZMA,39.63 
[74939] COMMIT_BUY,xgci4T0tkO 
[75156] DISPLAY_SUMMARY,xgci4T0tkO 
[75158] SELL,xgci4T0tkO,QGE,664.01 
[75270] SET_SELL_AMOUNT,xgci4T0tkO,CBO,117.33 
[75303] CANCEL_SET_SELL,xgci4T0tkO,CBO 
[75430] SELL,xgci4T0tkO,QGE,479.45 
[75511] SET_BUY_TRIGGER,xgci4T0tkO,EED,127.07 
[75582] ADD,xgci4T0tkO,50802.28 
[75666] BUY,xgci4T0tkO,ZWZ,334.41 
[75720] COMMIT_BUY,xgci4T0tkO 
[75803] ADD,xgci4T0tkO,76647.94 
[75857] SELL,xgci4T0tkO,JVT,342.94 
[75869] SET_SELL_AMOUNT,xgci4T0tkO,RUN,115.29 
[75885] CANCEL_SET_SELL,xgci4T0tkO,RUN 
[75907] SET_BUY_TRIGGER,xgci4T0tkO,MMF,162.80 
[75914] SET_BUY_AMOUNT,xgci4T0tkO,BYA,712.06 
[75985] SET_BUY_TRIGGER,xgci4T0tkO,CBY,196.82 
[76096] COMMIT_SELL,xgci4T0tkO 
[76130] ADD,xgci4T0tkO,68248.23 
[76196] BUY,xgci4T0tkO,JUJ,284.48 
[76275] SELL,xgci4T0tkO,QGE,739.93 
[76318] COMMIT_SELL,xgci4T0tkO 
[76366] QUOTE,xgci4T0tkO,SXB 
[76400] BUY,xgci4T0tkO,CGW,742.12 
[76570] COMMIT_SELL,xgci4T0tkO 
[76659] ADD,xgci4T0tkO,56897.85 
[76795] BUY,xgci4T0tkO,FIC,398.06 
[76853] DISPLAY_SUMMARY,xgci4T0tkO 
[76966] QUOTE,xgci4T0tkO,KHD 
[76986] BUY,xgci4T0tkO,YBP,152.25 
[77172] QUOTE,xgci4T0tkO,UMV 
[77260] ADD,xgci4T0tkO,48765.26 
[77276] QUOTE,xgci4T0tkO,GJR 
[77330] DISPLAY_SUMMARY,xgci4T0tkO 
[77459] DISPLAY_SUMMARY,xgci4T0tkO 
[77514] QUOTE,xgci4T0tkO,RKY 
[77750] BUY,xgci4T0tkO,JEA,271.44 
[77773] COMMIT_BUY,xgci4T0tkO 
[77815] SET_SELL_AMOUNT,xgci4T0tkO,BCQ,476.61 
[77889] SET_SELL_TRIGGER,xgci4T0tkO,BCQ,230.19 
[77906] DISPLAY_SUMMARY,xgci4T0tkO 
[77908] SET_SELL_AMOUNT,xgci4T0tkO,XLK,682.00 
[77929] CANCEL_SET_SELL,xgci4T0tkO,XLK 
[78226] SELL,xgci4T0tkO,RNK,490.72 
[78376] COMMIT_SELL,xgci4T0tkO 
[78561] SET_SELL_TRIGGER,xgci4T0tkO,URY,120.51 
[78588] ADD,xgci4T0tkO,87396.62 
[78734] QUOTE,xgci4T0tkO,DED 
[78736] SET_BUY_TRIGGER,xgci4T0tkO,ZQW,195.46 
[78803] CANCEL_SET_SELL,xgci4T0tkO,PPY 
[79012] CANCEL_SET_BUY,xgci4T0tkO,VEE 
[79503] SELL,xgci4T0tkO,UTV,520.87 
[79651] QUOTE,xgci4T0tkO,GTN 
[79658] BUY,xgci4T0tkO,ZGN,388.14 
[79716] CANCEL_BUY,xgci4T0tkO 
[79784] QUOTE,xgci4T0tkO,VJB 
[80151] DISPLAY_SUMMARY,xgci4T0tkO 
[80219] ADD,xgci4T0tkO,80584.41 
[80326] BUY,xgci4T0tkO,KGA,46.73 
[80368] CANCEL_SELL,xgci4T0tkO 
[80481] DISPLAY_SUMMARY,xgci4T0tkO 
[80723] CANCEL_SET_SELL,xgci4T0tkO,AOC 
[80780] QUOTE,xgci4T0tkO,VDP 
[80817] COMMIT_SELL,xgci4T0tkO 
[80937] ADD,xgci4T0tkO,88357.74 
[80976] QUOTE,xgci4T0tkO,DBR 
[81054] DISPLAY_SUMMARY,xgci4T0tkO 
[81117] ADD,xgci4T0tkO,47755.73 
[81131] BUY,xgci4T0tkO,QWC,113.03 
[81165] ADD,xgci4T0tkO,67903.44 
[81168] QUOTE,xgci4T0tkO,QPZ 
[81256] BUY,xgci4T0tkO,IRQ,294.12 
[81294] COMMIT_BUY,xgci4T0tkO 
[81467] SELL,xgci4T0tkO,CUZ,326.64 
[81632] CANCEL_SELL,xgci4T0tkO 
[81747] BUY,xgci4T0tkO,ZGN,39.60 
[81749] QUOTE,xgci4T0tkO,FGI 
[81789] ADD,xgci4T0tkO,71852.13 
[81879] QUOTE,xgci4T0tkO,FUR 
[82007] BUY,xgci4T0tkO,WCR,281.58 
[82012] SELL,xgci4T0tkO,PTP,570.36 
[82304] CANCEL_BUY,xgci4T0tkO 
[82324] ADD,xgci4T0tkO,79598.74 
[82394] SET_SELL_TRIGGER,xgci4T0tkO,PIC,182.75 
[82704] DISPLAY_SUMMARY,xgci4T0tkO 
[82829] QUOTE,xgci4T0tkO,YEW 
[82990] CANCEL_BUY,xgci4T0tkO 
[83038] CANCEL_SELL,xgci4T0tkO 
[83111] SET_BUY_TRIGGER,xgci4T0tkO,SVV,139.80 
[83136] SELL,xgci4T0tkO,FDI,157.59 
[83168] COMMIT_SELL,xgci4T0tkO 
[83329] SET_SELL_TRIGGER,xgci4T0tkO,PUU,146.35 
[83367] SET_BUY_TRIGGER,xgci4T0tkO,BDX,82.88 
[83511] ADD,xgci4T0tkO,55608.25 
[83691] BUY,xgci4T0tkO,YBP,648.80 
[83717] SET_SELL_TRIGGER,xgci4T0tkO,LJM,65.76 
[83792] SET_BUY_TRIGGER,xgci4T0tkO,OEY,63.42 
[83834] SELL,xgci4T0tkO,BCQ,390.32 
[83913] COMMIT_SELL,xgci4T0tkO 
[83926] SET_BUY_TRIGGER,xgci4T0tkO,TJL,79.94 
[83928] SET_BUY_AMOUNT,xgci4T0tkO,XQC,648.22 
[83930] SET_BUY_TRIGGER,xgci4T0tkO,XFH,398.44 
[84108] ADD,xgci4T0tkO,60438.58 
[84126] BUY,xgci4T0tkO,LKV,587.20 
[84367] QUOTE,xgci4T0tkO,LBC 
[84373] BUY,xgci4T0tkO,FKX,219.26 
[84388] COMMIT_BUY,xgci4T0tkO 
[84451] SET_SELL_AMOUNT,xgci4T0tkO,OEY,201.62 
[84455] SET_SELL_TRIGGER,xgci4T0tkO,OEY,29.22 
[84511] SET_SELL_TRIGGER,xgci4T0tkO,LLO,1.43 
[84568] BUY,xgci4T0tkO,HGG,685.21 
[84652] COMMIT_BUY,xgci4T0tkO 
[84696] DISPLAY_SUMMARY,xgci4T0tkO 
[85052] DISPLAY_SUMMARY,xgci4T0tkO 
[85054] QUOTE,xgci4T0tkO,TUO 
[85104] BUY,xgci4T0tkO,WYO,682.27 
[85197] COMMIT_BUY,xgci4T0tkO 
[85331] DISPLAY_SUMMARY,xgci4T0tkO 
[85489] COMMIT_BUY,xgci4T0tkO 
[85607] DISPLAY_SUMMARY,xgci4T0tkO 
[85666] CANCEL_SET_SELL,xgci4T0tkO,SPP 
[85825] ADD,xgci4T0tkO,70852.61 
[85952] QUOTE,xgci4T0tkO,WSG 
[86122] CANCEL_SET_SELL,xgci4T0tkO,ZLY 
[86190] DISPLAY_SUMMARY,xgci4T0tkO 
[86272] SET_BUY_AMOUNT,xgci4T0tkO,SSF,598.10 
[86284] SET_BUY_TRIGGER,xgci4T0tkO,ZPD,425.28 
[86376] SET_SELL_TRIGGER,xgci4T0tkO,OFP,56.44 
[86389] BUY,xgci4T0tkO,NDJ,654.46 
[86408] CANCEL_SET_SELL,xgci4T0tkO,UIE 
[86527] COMMIT_BUY,xgci4T0tkO 
[86545] DISPLAY_SUMMARY,xgci4T0tkO 
[86636] SELL,xgci4T0tkO,JQO,305.70 
[86716] SET_SELL_AMOUNT,xgci4T0tkO,QAX,497.95 
[86816] SET_SELL_TRIGGER,xgci4T0tkO,QAX,23.27 
[86873] BUY,xgci4T0tkO,TXB,729.25 
[86984] COMMIT_BUY,xgci4T0tkO 
[87132] SET_BUY_TRIGGER,xgci4T0tkO,TZJ,122.95 
[87183] ADD,xgci4T0tkO,86734.13 
[87317] QUOTE,xgci4T0tkO,BFU 
[87345] SET_BUY_TRIGGER,xgci4T0tkO,KLE,110.82 
[87357] SET_BUY_AMOUNT,xgci4T0tkO,EBS,650.96 
[87407] SET_BUY_TRIGGER,xgci4T0tkO,TSS,19.64 
[87464] ADD,xgci4T0tkO,73758.20 
[87484] QUOTE,xgci4T0tkO,MKE 
[87582] QUOTE,xgci4T0tkO,AUT 
[88033] CANCEL_SET_BUY,xgci4T0tkO,XXT 
[88098] BUY,xgci4T0tkO,STO,263.95 
[88099] CANCEL_BUY,xgci4T0tkO 
[88330] DISPLAY_SUMMARY,xgci4T0tkO 
[88389] DISPLAY_SUMMARY,xgci4T0tkO 
[88460] ADD,xgci4T0tkO,87578.27 
[88695] BUY,xgci4T0tkO,NVX,50.01 
[88966] DISPLAY_SUMMARY,xgci4T0tkO 
[89535] SELL,xgci4T0tkO,LFU,328.21 
[89591] SET_SELL_AMOUNT,xgci4T0tkO,CEC,321.07 
[89953] DISPLAY_SUMMARY,xgci4T0tkO 
[90049] DISPLAY_SUMMARY,xgci4T0tkO 
[90196] DISPLAY_SUMMARY,xgci4T0tkO 
[90202] ADD,xgci4T0tkO,61158.48 
[90310] QUOTE,xgci4T0tkO,QLM 
[90644] QUOTE,xgci4T0tkO,VVO 
[90668] BUY,xgci4T0tkO,ECX,454.52 
[90753] SET_BUY_AMOUNT,xgci4T0tkO,LFU,452.37 
[90924] CANCEL_SET_BUY,xgci4T0tkO,GPM 
[90990] DISPLAY_SUMMARY,xgci4T0tkO 
[91098] COMMIT_SELL,xgci4T0tkO 
[91109] SELL,xgci4T0tkO,SSF,314.28 
[91138] CANCEL_SELL,xgci4T0tkO 
[91284] SET_BUY_TRIGGER,xgci4T0tkO,FUF,0.64 
[91319] ADD,xgci4T0tkO,72413.61 
[91373] QUOTE,xgci4T0tkO,OHG 
[91722] QUOTE,xgci4T0tkO,VNN 
[92036] CANCEL_BUY,xgci4T0tkO 
[92290] SET_SELL_TRIGGER,xgci4T0tkO,CEC,278.03 
[92594] SELL,xgci4T0tkO,JCQ,413.52 
[92601] COMMIT_SELL,xgci4T0tkO 
[92633] SET_SELL_AMOUNT,xgci4T0tkO,BYA,422.61 
[92680] SET_SELL_TRIGGER,xgci4T0tkO,BYA,407.38 
[92771] DISPLAY_SUMMARY,xgci4T0tkO 
[92878] DISPLAY_SUMMARY,xgci4T0tkO 
[92997] ADD,xgci4T0tkO,57542.80 
[93027] QUOTE,xgci4T0tkO,TYV 
[93063] SET_BUY_TRIGGER,xgci4T0tkO,WKG,37.14 
[93092] BUY,xgci4T0tkO,TKG,140.29 
[93449] CANCEL_SET_BUY,xgci4T0tkO,GRD 
[93460] QUOTE,xgci4T0tkO,CVK 
[93655] BUY,xgci4T0tkO,JIC,66.10 
[93680] COMMIT_BUY,xgci4T0tkO 
[93689] BUY,xgci4T0tkO,OHG,205.11 
[93875] QUOTE,xgci4T0tkO,NFO 
[93952] BUY,xgci4T0tkO,GDF,316.23 
[94204] SET_SELL_TRIGGER,xgci4T0tkO,YEH,15.45 
[94270] QUOTE,xgci4T0tkO,MFY 
[94337] DISPLAY_SUMMARY,xgci4T0tkO 
[94355] ADD,xgci4T0tkO,82666.52 
[94442] BUY,xgci4T0tkO,KAR,655.24 
[94446] COMMIT_BUY,xgci4T0tkO 
[94578] CANCEL_SET_SELL,xgci4T0tkO,LAM 
[94789] SET_SELL_AMOUNT,xgci4T0tkO,JRJ,617.65 
[94800] CANCEL_SET_SELL,xgci4T0tkO,JRJ 
[94882] SET_BUY_TRIGGER,xgci4T0tkO,EUM,81.22 
[94916] COMMIT_SELL,xgci4T0tkO 
[94999] SET_BUY_TRIGGER,xgci4T0tkO,NUL,52.62 
[95144] QUOTE,xgci4T0tkO,ZGR 
[95343] BUY,xgci4T0tkO,HGG,369.58 
[95355] COMMIT_BUY,xgci4T0tkO 
[95566] SELL,xgci4T0tkO,EBS,430.17 
[95741] QUOTE,xgci4T0tkO,FRB 
[95781] COMMIT_SELL,xgci4T0tkO 
[95798] ADD,xgci4T0tkO,62895.53 
[95895] QUOTE,xgci4T0tkO,FYR 
[95943] DISPLAY_SUMMARY,xgci4T0tkO 
