[80] ADD,LX1FeVjg6k,58456.18 
[49316] ADD,LX1FeVjg6k,70250.38 
[49424] QUOTE,LX1FeVjg6k,KGA 
[49501] ADD,LX1FeVjg6k,72053.44 
[49537] BUY,LX1FeVjg6k,MRK,382.96 
[49648] BUY,LX1FeVjg6k,WQE,165.30 
[49662] COMMIT_BUY,LX1FeVjg6k 
[49764] DISPLAY_SUMMARY,LX1FeVjg6k 
[50018] BUY,LX1FeVjg6k,QAA,667.83 
[50347] QUOTE,LX1FeVjg6k,RQF 
[50390] BUY,LX1FeVjg6k,XFW,443.97 
[50640] SET_SELL_AMOUNT,LX1FeVjg6k,AVX,23.11 
[50701] CANCEL_SET_SELL,LX1FeVjg6k,AVX 
[50759] DISPLAY_SUMMARY,LX1FeVjg6k 
[50793] ADD,LX1FeVjg6k,71355.77 
[50809] QUOTE,LX1FeVjg6k,FVZ 
[50927] QUOTE,LX1FeVjg6k,MZT 
[50969] QUOTE,LX1FeVjg6k,BCQ 
[50989] SET_SELL_TRIGGER,LX1FeVjg6k,BTD,97.84 
[51117] DISPLAY_SUMMARY,LX1FeVjg6k 
[51378] SET_BUY_TRIGGER,LX1FeVjg6k,WKT,7.70 
[51407] SET_BUY_AMOUNT,LX1FeVjg6k,ZAN,91.52 
[51490] SET_BUY_TRIGGER,LX1FeVjg6k,KEV,38.64 
[51616] ADD,LX1FeVjg6k,53966.33 
[51744] BUY,LX1FeVjg6k,NXF,692.01 
[51786] QUOTE,LX1FeVjg6k,KPE 
[51833] SET_SELL_AMOUNT,LX1FeVjg6k,QJZ,445.69 
[51948] SET_SELL_TRIGGER,LX1FeVjg6k,QJZ,18.64 
[52180] DISPLAY_SUMMARY,LX1FeVjg6k 
[52247] SET_SELL_AMOUNT,LX1FeVjg6k,XXQ,722.34 
[52301] SET_SELL_TRIGGER,LX1FeVjg6k,XXQ,439.22 
[52310] DISPLAY_SUMMARY,LX1FeVjg6k 
[52393] BUY,LX1FeVjg6k,DMS,314.26 
[52500] COMMIT_BUY,LX1FeVjg6k 
[52619] SET_BUY_AMOUNT,LX1FeVjg6k,BYA,400.88 
[52638] CANCEL_SET_BUY,LX1FeVjg6k,IDN 
[52985] SET_BUY_TRIGGER,LX1FeVjg6k,ERF,170.25 
[53015] ADD,LX1FeVjg6k,60179.14 
[53333] ADD,LX1FeVjg6k,61557.57 
[53457] QUOTE,LX1FeVjg6k,MOM 
[53653] SET_BUY_AMOUNT,LX1FeVjg6k,NHG,635.84 
[53709] SET_BUY_TRIGGER,LX1FeVjg6k,JNO,147.61 
[53884] DISPLAY_SUMMARY,LX1FeVjg6k 
[53909] SET_BUY_TRIGGER,LX1FeVjg6k,MHQ,150.94 
[53911] ADD,LX1FeVjg6k,64465.16 
[53918] QUOTE,LX1FeVjg6k,SJG 
[54141] CANCEL_BUY,LX1FeVjg6k 
[54144] SET_BUY_TRIGGER,LX1FeVjg6k,ZMK,156.37 
[54189] SELL,LX1FeVjg6k,JCQ,10.48 
[54316] COMMIT_SELL,LX1FeVjg6k 
[54918] SET_BUY_AMOUNT,LX1FeVjg6k,ZAN,295.83 
[54943] SET_BUY_TRIGGER,LX1FeVjg6k,ERF,27.11 
[55062] BUY,LX1FeVjg6k,VNN,736.42 
[55217] COMMIT_BUY,LX1FeVjg6k 
[55490] ADD,LX1FeVjg6k,65914.33 
[55903] COMMIT_BUY,LX1FeVjg6k 
[55919] SELL,LX1FeVjg6k,PTP,615.63 
[56111] COMMIT_SELL,LX1FeVjg6k 
[56180] SET_BUY_TRIGGER,LX1FeVjg6k,TJL,106.79 
[56278] SELL,LX1FeVjg6k,JQO,226.84 
[56319] SELL,LX1FeVjg6k,ZAN,472.68 
[56331] COMMIT_SELL,LX1FeVjg6k 
[56414] SET_SELL_AMOUNT,LX1FeVjg6k,QJZ,66.53 
[56597] CANCEL_SET_SELL,LX1FeVjg6k,QJZ 
[56653] DISPLAY_SUMMARY,LX1FeVjg6k 
[56774] ADD,LX1FeVjg6k,63234.83 
[56839] BUY,LX1FeVjg6k,YAV,110.43 
[56975] CANCEL_BUY,LX1FeVjg6k 
[56991] SET_BUY_AMOUNT,LX1FeVjg6k,SUS,416.89 
[57141] SET_BUY_TRIGGER,LX1FeVjg6k,YAV,26.38 
[57483] DISPLAY_SUMMARY,LX1FeVjg6k 
[57569] COMMIT_SELL,LX1FeVjg6k 
[57809] ADD,LX1FeVjg6k,70417.98 
[57941] BUY,LX1FeVjg6k,JKX,581.56 
[58052] COMMIT_BUY,LX1FeVjg6k 
[58323] BUY,LX1FeVjg6k,GED,429.05 
[58383] ADD,LX1FeVjg6k,78644.33 
[58695] BUY,LX1FeVjg6k,ECX,266.98 
[58708] SET_BUY_AMOUNT,LX1FeVjg6k,NHG,96.91 
[58900] SET_BUY_TRIGGER,LX1FeVjg6k,XOP,47.06 
[58931] SET_SELL_TRIGGER,LX1FeVjg6k,ULL,172.88 
[58946] ADD,LX1FeVjg6k,77018.02 
[58998] QUOTE,LX1FeVjg6k,ZZD 
[59032] DISPLAY_SUMMARY,LX1FeVjg6k 
[59072] SET_BUY_AMOUNT,LX1FeVjg6k,AVX,293.08 
[59290] SET_BUY_TRIGGER,LX1FeVjg6k,WNX,103.98 
[59398] SET_SELL_AMOUNT,LX1FeVjg6k,SSF,720.99 
[59419] SET_SELL_TRIGGER,LX1FeVjg6k,SSF,400.59 
[59477] ADD,LX1FeVjg6k,53129.60 
[59517] QUOTE,LX1FeVjg6k,XFA 
[59687] QUOTE,LX1FeVjg6k,POI 
[59757] ADD,LX1FeVjg6k,66134.92 
[59953] BUY,LX1FeVjg6k,XBL,25.80 
[60067] COMMIT_BUY,LX1FeVjg6k 
[60159] ADD,LX1FeVjg6k,72101.40 
[60200] BUY,LX1FeVjg6k,SCK,462.03 
[60284] CANCEL_SELL,LX1FeVjg6k 
[60347] ADD,LX1FeVjg6k,63860.17 
[60403] COMMIT_BUY,LX1FeVjg6k 
[60664] DISPLAY_SUMMARY,LX1FeVjg6k 
[61055] SET_BUY_TRIGGER,LX1FeVjg6k,KIP,172.46 
[61134] QUOTE,LX1FeVjg6k,BBC 
[61220] BUY,LX1FeVjg6k,EVR,361.17 
[61577] SET_BUY_AMOUNT,LX1FeVjg6k,RGH,682.46 
[61719] BUY,LX1FeVjg6k,GLO,28.37 
[61771] QUOTE,LX1FeVjg6k,AOH 
[61815] SET_SELL_TRIGGER,LX1FeVjg6k,CEC,172.39 
[61901] SELL,LX1FeVjg6k,UTV,581.60 
[62010] COMMIT_BUY,LX1FeVjg6k 
[62052] DISPLAY_SUMMARY,LX1FeVjg6k 
[62129] BUY,LX1FeVjg6k,FKX,644.64 
[62147] COMMIT_BUY,LX1FeVjg6k 
[62288] ADD,LX1FeVjg6k,87998.22 
[62355] QUOTE,LX1FeVjg6k,VVO 
[62405] QUOTE,LX1FeVjg6k,FWW 
[62604] COMMIT_SELL,LX1FeVjg6k 
[62617] ADD,LX1FeVjg6k,75425.68 
[62756] BUY,LX1FeVjg6k,GZQ,334.84 
[63037] COMMIT_BUY,LX1FeVjg6k 
[63223] ADD,LX1FeVjg6k,60431.66 
[63241] BUY,LX1FeVjg6k,BWR,425.03 
[63253] COMMIT_BUY,LX1FeVjg6k 
[63486] ADD,LX1FeVjg6k,38255.84 
[63554] QUOTE,LX1FeVjg6k,UTV 
[63633] SET_BUY_AMOUNT,LX1FeVjg6k,ZYR,195.07 
[63747] SET_BUY_TRIGGER,LX1FeVjg6k,KAO,158.02 
[63760] DISPLAY_SUMMARY,LX1FeVjg6k 
[63830] ADD,LX1FeVjg6k,80068.26 
[63907] BUY,LX1FeVjg6k,SYT,203.16 
[63944] COMMIT_BUY,LX1FeVjg6k 
[64122] SET_BUY_TRIGGER,LX1FeVjg6k,YDD,133.83 
[64193] SET_BUY_AMOUNT,LX1FeVjg6k,CSZ,181.38 
[64360] SET_BUY_TRIGGER,LX1FeVjg6k,XOP,90.70 
[64470] SET_SELL_TRIGGER,LX1FeVjg6k,OOR,82.26 
[64533] ADD,LX1FeVjg6k,59043.97 
[64538] BUY,LX1FeVjg6k,HQU,538.69 
[64561] CANCEL_SELL,LX1FeVjg6k 
[64573] DISPLAY_SUMMARY,LX1FeVjg6k 
[64934] SELL,LX1FeVjg6k,QAX,255.27 
[65021] COMMIT_SELL,LX1FeVjg6k 
[65030] ADD,LX1FeVjg6k,59215.08 
[65343] BUY,LX1FeVjg6k,URD,74.70 
[65371] COMMIT_BUY,LX1FeVjg6k 
[65382] DISPLAY_SUMMARY,LX1FeVjg6k 
[65392] ADD,LX1FeVjg6k,61570.08 
[65428] QUOTE,LX1FeVjg6k,TSU 
[65535] BUY,LX1FeVjg6k,FIY,520.20 
[65720] SELL,LX1FeVjg6k,JCQ,420.23 
[65735] COMMIT_SELL,LX1FeVjg6k 
[65819] BUY,LX1FeVjg6k,UGT,64.32 
[65953] CANCEL_SELL,LX1FeVjg6k 
[66133] QUOTE,LX1FeVjg6k,FRB 
[66170] SET_BUY_AMOUNT,LX1FeVjg6k,QJZ,251.24 
[66190] SET_BUY_TRIGGER,LX1FeVjg6k,JGY,86.89 
[66379] QUOTE,LX1FeVjg6k,FQG 
[66532] CANCEL_BUY,LX1FeVjg6k 
[66585] BUY,LX1FeVjg6k,SMS,455.82 
[66810] COMMIT_BUY,LX1FeVjg6k 
[66811] SET_SELL_TRIGGER,LX1FeVjg6k,YEH,78.28 
[66878] BUY,LX1FeVjg6k,IFN,112.39 
[66915] BUY,LX1FeVjg6k,SEI,567.46 
[66931] COMMIT_BUY,LX1FeVjg6k 
[66937] QUOTE,LX1FeVjg6k,WRJ 
[67095] DISPLAY_SUMMARY,LX1FeVjg6k 
[67474] DISPLAY_SUMMARY,LX1FeVjg6k 
[67994] SET_SELL_TRIGGER,LX1FeVjg6k,KCT,58.99 
[68023] SET_BUY_AMOUNT,LX1FeVjg6k,FQP,714.35 
[68044] SET_BUY_TRIGGER,LX1FeVjg6k,BUL,226.43 
[68138] ADD,LX1FeVjg6k,72693.95 
[68206] QUOTE,LX1FeVjg6k,FRB 
[68214] CANCEL_BUY,LX1FeVjg6k 
[68322] DISPLAY_SUMMARY,LX1FeVjg6k 
[68546] DISPLAY_SUMMARY,LX1FeVjg6k 
[68650] SET_SELL_AMOUNT,LX1FeVjg6k,CBO,311.93 
[68749] SET_SELL_TRIGGER,LX1FeVjg6k,CBO,223.72 
[68780] BUY,LX1FeVjg6k,GPW,221.82 
[68866] CANCEL_SET_SELL,LX1FeVjg6k,CLP 
[69056] ADD,LX1FeVjg6k,38326.47 
[69067] QUOTE,LX1FeVjg6k,CMA 
[69081] BUY,LX1FeVjg6k,GMS,728.30 
[69082] COMMIT_BUY,LX1FeVjg6k 
[69316] DISPLAY_SUMMARY,LX1FeVjg6k 
[69351] DISPLAY_SUMMARY,LX1FeVjg6k 
[69363] DISPLAY_SUMMARY,LX1FeVjg6k 
[69391] DISPLAY_SUMMARY,LX1FeVjg6k 
[69460] SET_BUY_TRIGGER,LX1FeVjg6k,ZTR,117.09 
[69597] ADD,LX1FeVjg6k,73790.95 
[69833] QUOTE,LX1FeVjg6k,FVS 
[69841] DISPLAY_SUMMARY,LX1FeVjg6k 
[70002] SET_SELL_TRIGGER,LX1FeVjg6k,WAI,113.82 
[70026] ADD,LX1FeVjg6k,45932.54 
[70131] QUOTE,LX1FeVjg6k,MJU 
[70299] BUY,LX1FeVjg6k,ARP,723.30 
[70393] COMMIT_BUY,LX1FeVjg6k 
[70708] ADD,LX1FeVjg6k,37605.54 
[70759] BUY,LX1FeVjg6k,WYO,319.37 
[70858] CANCEL_SET_BUY,LX1FeVjg6k,JQJ 
[70949] SET_SELL_AMOUNT,LX1FeVjg6k,JCQ,419.36 
[71013] SET_SELL_TRIGGER,LX1FeVjg6k,JCQ,247.77 
[71208] SET_BUY_TRIGGER,LX1FeVjg6k,LGL,166.20 
[71222] SELL,LX1FeVjg6k,LZV,523.31 
[71285] DISPLAY_SUMMARY,LX1FeVjg6k 
[71374] ADD,LX1FeVjg6k,68343.18 
[71377] BUY,LX1FeVjg6k,FQG,94.56 
[71445] BUY,LX1FeVjg6k,GZU,133.98 
[71451] COMMIT_BUY,LX1FeVjg6k 
[71468] SELL,LX1FeVjg6k,VTY,438.79 
[71471] COMMIT_SELL,LX1FeVjg6k 
[71715] SELL,LX1FeVjg6k,BCQ,562.34 
[71797] COMMIT_SELL,LX1FeVjg6k 
[71802] SET_SELL_TRIGGER,LX1FeVjg6k,GPC,38.33 
[71837] ADD,LX1FeVjg6k,73675.21 
[72377] QUOTE,LX1FeVjg6k,UEC 
[72386] DISPLAY_SUMMARY,LX1FeVjg6k 
[72463] SET_BUY_AMOUNT,LX1FeVjg6k,LFU,38.10 
[72557] QUOTE,LX1FeVjg6k,NRY 
[72606] ADD,LX1FeVjg6k,64215.76 
[72611] QUOTE,LX1FeVjg6k,NJI 
[72627] QUOTE,LX1FeVjg6k,XVK 
[72668] DISPLAY_SUMMARY,LX1FeVjg6k 
[72780] DISPLAY_SUMMARY,LX1FeVjg6k 
[72844] SET_BUY_AMOUNT,LX1FeVjg6k,YDS,134.88 
[72967] SET_BUY_TRIGGER,LX1FeVjg6k,IFN,63.70 
[72980] SET_SELL_TRIGGER,LX1FeVjg6k,ZJQ,43.06 
[73365] BUY,LX1FeVjg6k,JNO,564.82 
[73407] COMMIT_BUY,LX1FeVjg6k 
[73610] ADD,LX1FeVjg6k,61609.36 
[73665] QUOTE,LX1FeVjg6k,SJG 
[73821] BUY,LX1FeVjg6k,PYB,630.46 
[73845] COMMIT_BUY,LX1FeVjg6k 
[73893] SET_SELL_TRIGGER,LX1FeVjg6k,ZNY,69.51 
[73906] QUOTE,LX1FeVjg6k,DBT 
[73995] QUOTE,LX1FeVjg6k,LLO 
[74201] SET_BUY_TRIGGER,LX1FeVjg6k,WSG,86.48 
[74234] SELL,LX1FeVjg6k,SQI,450.18 
[74280] COMMIT_SELL,LX1FeVjg6k 
[74470] SET_SELL_TRIGGER,LX1FeVjg6k,MGO,85.76 
[74645] ADD,LX1FeVjg6k,66563.46 
[74750] BUY,LX1FeVjg6k,DBR,52.71 
[74859] COMMIT_BUY,LX1FeVjg6k 
[75250] ADD,LX1FeVjg6k,66056.42 
[75445] QUOTE,LX1FeVjg6k,SYT 
[75613] QUOTE,LX1FeVjg6k,AAC 
[75663] SET_BUY_TRIGGER,LX1FeVjg6k,ZAV,156.20 
[75705] ADD,LX1FeVjg6k,53260.14 
[76322] SET_BUY_TRIGGER,LX1FeVjg6k,KCS,146.45 
[76474] QUOTE,LX1FeVjg6k,FRB 
[76558] SET_SELL_TRIGGER,LX1FeVjg6k,SQS,160.92 
[76699] DISPLAY_SUMMARY,LX1FeVjg6k 
[76838] CANCEL_BUY,LX1FeVjg6k 
[76864] ADD,LX1FeVjg6k,85446.61 
[76921] BUY,LX1FeVjg6k,URD,377.11 
[77257] COMMIT_BUY,LX1FeVjg6k 
[77317] BUY,LX1FeVjg6k,OSA,746.32 
[77348] CANCEL_SET_SELL,LX1FeVjg6k,TZJ 
[77363] BUY,LX1FeVjg6k,XLI,259.72 
[77365] COMMIT_BUY,LX1FeVjg6k 
[77668] BUY,LX1FeVjg6k,VMD,524.22 
[77778] COMMIT_BUY,LX1FeVjg6k 
[77801] CANCEL_SET_BUY,LX1FeVjg6k,QXW 
[78000] ADD,LX1FeVjg6k,57912.72 
[78086] BUY,LX1FeVjg6k,KRY,257.39 
[78281] BUY,LX1FeVjg6k,QSS,243.80 
[78285] COMMIT_BUY,LX1FeVjg6k 
[78328] DISPLAY_SUMMARY,LX1FeVjg6k 
[78363] BUY,LX1FeVjg6k,MWM,661.87 
[78378] CANCEL_BUY,LX1FeVjg6k 
[78720] ADD,LX1FeVjg6k,86575.03 
[78852] SET_BUY_TRIGGER,LX1FeVjg6k,MQX,104.10 
[78871] DISPLAY_SUMMARY,LX1FeVjg6k 
[79070] ADD,LX1FeVjg6k,82721.24 
[79157] QUOTE,LX1FeVjg6k,WDC 
[79384] SET_SELL_AMOUNT,LX1FeVjg6k,IQJ,138.60 
[79406] CANCEL_SET_SELL,LX1FeVjg6k,IQJ 
[79586] ADD,LX1FeVjg6k,38115.53 
[79710] QUOTE,LX1FeVjg6k,ZJQ 
[79940] QUOTE,LX1FeVjg6k,IZJ 
[79990] COMMIT_SELL,LX1FeVjg6k 
[80004] SET_BUY_AMOUNT,LX1FeVjg6k,KDA,516.98 
[80165] SET_BUY_TRIGGER,LX1FeVjg6k,KXF,337.45 
[80178] DISPLAY_SUMMARY,LX1FeVjg6k 
[80194] SELL,LX1FeVjg6k,KES,638.86 
[80205] SET_BUY_TRIGGER,LX1FeVjg6k,TVX,146.82 
[80261] ADD,LX1FeVjg6k,82318.46 
[80647] CANCEL_BUY,LX1FeVjg6k 
[80764] SELL,LX1FeVjg6k,QAX,292.23 
[80804] CANCEL_SELL,LX1FeVjg6k 
[80853] DISPLAY_SUMMARY,LX1FeVjg6k 
[80903] ADD,LX1FeVjg6k,80359.34 
[81069] CANCEL_BUY,LX1FeVjg6k 
[81172] QUOTE,LX1FeVjg6k,BLC 
[81975] QUOTE,LX1FeVjg6k,QQW 
[81986] CANCEL_SELL,LX1FeVjg6k 
[82165] DISPLAY_SUMMARY,LX1FeVjg6k 
[82331] SET_SELL_AMOUNT,LX1FeVjg6k,SZI,223.79 
[82361] SET_SELL_TRIGGER,LX1FeVjg6k,SZI,189.32 
[82377] BUY,LX1FeVjg6k,HZP,553.18 
[82483] COMMIT_BUY,LX1FeVjg6k 
[82751] DISPLAY_SUMMARY,LX1FeVjg6k 
[82862] SET_SELL_AMOUNT,LX1FeVjg6k,RGH,492.72 
[82944] SET_SELL_TRIGGER,LX1FeVjg6k,RGH,116.67 
[82974] BUY,LX1FeVjg6k,SVV,60.62 
[83131] SET_SELL_TRIGGER,LX1FeVjg6k,KJD,17.31 
[83225] DISPLAY_SUMMARY,LX1FeVjg6k 
[83237] DISPLAY_SUMMARY,LX1FeVjg6k 
[83380] ADD,LX1FeVjg6k,57439.16 
[83630] SET_BUY_TRIGGER,LX1FeVjg6k,KVJ,72.53 
[83682] CANCEL_BUY,LX1FeVjg6k 
[83753] SET_SELL_TRIGGER,LX1FeVjg6k,SSF,198.94 
[83791] DISPLAY_SUMMARY,LX1FeVjg6k 
[84037] ADD,LX1FeVjg6k,81380.88 
[84114] BUY,LX1FeVjg6k,WYR,263.93 
[84256] CANCEL_SET_SELL,LX1FeVjg6k,RWM 
[84436] DISPLAY_SUMMARY,LX1FeVjg6k 
[84536] ADD,LX1FeVjg6k,37789.55 
[84632] BUY,LX1FeVjg6k,ZNL,708.52 
[84755] COMMIT_BUY,LX1FeVjg6k 
[84806] ADD,LX1FeVjg6k,94800.05 
[84956] BUY,LX1FeVjg6k,OGB,213.14 
[85092] COMMIT_BUY,LX1FeVjg6k 
[85265] SET_SELL_TRIGGER,LX1FeVjg6k,XER,183.71 
[85292] SET_BUY_AMOUNT,LX1FeVjg6k,XQC,291.16 
[85382] BUY,LX1FeVjg6k,SPT,97.01 
[85398] COMMIT_BUY,LX1FeVjg6k 
[85441] QUOTE,LX1FeVjg6k,MVQ 
[85722] ADD,LX1FeVjg6k,71455.61 
[85758] BUY,LX1FeVjg6k,LGL,660.80 
[85817] BUY,LX1FeVjg6k,GHE,602.71 
[85840] SET_BUY_AMOUNT,LX1FeVjg6k,SQI,171.70 
[85946] DISPLAY_SUMMARY,LX1FeVjg6k 
[86103] SELL,LX1FeVjg6k,RGH,145.18 
[86355] COMMIT_SELL,LX1FeVjg6k 
[86382] ADD,LX1FeVjg6k,66630.84 
[86453] QUOTE,LX1FeVjg6k,XQG 
[86509] BUY,LX1FeVjg6k,VMK,662.50 
[86700] DISPLAY_SUMMARY,LX1FeVjg6k 
[87016] SET_BUY_AMOUNT,LX1FeVjg6k,TKM,235.19 
[87624] DISPLAY_SUMMARY,LX1FeVjg6k 
[87793] DISPLAY_SUMMARY,LX1FeVjg6k 
[87797] SET_SELL_TRIGGER,LX1FeVjg6k,TKV,120.15 
[87876] BUY,LX1FeVjg6k,SYE,493.25 
[87944] CANCEL_BUY,LX1FeVjg6k 
[88060] QUOTE,LX1FeVjg6k,ZYR 
[88104] BUY,LX1FeVjg6k,RDN,668.99 
[88122] CANCEL_BUY,LX1FeVjg6k 
[88241] ADD,LX1FeVjg6k,74386.20 
[88320] BUY,LX1FeVjg6k,PMX,687.31 
[88432] SELL,LX1FeVjg6k,TVI,567.34 
[88468] SELL,LX1FeVjg6k,MXD,392.86 
[88589] COMMIT_SELL,LX1FeVjg6k 
[88616] SET_BUY_TRIGGER,LX1FeVjg6k,CXB,70.43 
[88652] SELL,LX1FeVjg6k,CUZ,106.69 
[88753] DISPLAY_SUMMARY,LX1FeVjg6k 
[88794] DISPLAY_SUMMARY,LX1FeVjg6k 
[89019] DISPLAY_SUMMARY,LX1FeVjg6k 
[89054] QUOTE,LX1FeVjg6k,KPP 
[89079] BUY,LX1FeVjg6k,SBT,422.42 
[89244] CANCEL_BUY,LX1FeVjg6k 
[89285] BUY,LX1FeVjg6k,FMJ,219.17 
[89381] COMMIT_BUY,LX1FeVjg6k 
[89441] SELL,LX1FeVjg6k,QAX,330.63 
[89686] COMMIT_SELL,LX1FeVjg6k 
[89847] DISPLAY_SUMMARY,LX1FeVjg6k 
[89955] SET_BUY_TRIGGER,LX1FeVjg6k,LLF,64.64 
[89961] ADD,LX1FeVjg6k,64560.69 
[89968] QUOTE,LX1FeVjg6k,MQH 
[90023] BUY,LX1FeVjg6k,JGY,244.40 
[90094] DISPLAY_SUMMARY,LX1FeVjg6k 
[90176] COMMIT_SELL,LX1FeVjg6k 
[90375] ADD,LX1FeVjg6k,71533.26 
[90409] QUOTE,LX1FeVjg6k,MLI 
[90502] SET_SELL_AMOUNT,LX1FeVjg6k,ZYR,693.13 
[90518] SET_SELL_TRIGGER,LX1FeVjg6k,ZYR,140.52 
[90837] SET_BUY_TRIGGER,LX1FeVjg6k,MHR,114.96 
[90843] ADD,LX1FeVjg6k,64571.85 
[90929] BUY,LX1FeVjg6k,VTY,372.87 
[91543] COMMIT_BUY,LX1FeVjg6k 
[91709] BUY,LX1FeVjg6k,VMT,492.89 
[91791] COMMIT_BUY,LX1FeVjg6k 
[91919] ADD,LX1FeVjg6k,49186.15 
[92055] QUOTE,LX1FeVjg6k,HCN 
[92146] SET_SELL_AMOUNT,LX1FeVjg6k,FQP,255.76 
[92192] CANCEL_SET_SELL,LX1FeVjg6k,FQP 
[92250] COMMIT_SELL,LX1FeVjg6k 
[92308] SET_BUY_TRIGGER,LX1FeVjg6k,PXY,119.05 
[92315] SET_BUY_TRIGGER,LX1FeVjg6k,FCM,196.23 
[92381] SET_SELL_AMOUNT,LX1FeVjg6k,SUS,203.73 
[92455] SET_SELL_TRIGGER,LX1FeVjg6k,SUS,21.76 
[92520] ADD,LX1FeVjg6k,42164.56 
[92634] BUY,LX1FeVjg6k,HIW,389.68 
[92677] COMMIT_SELL,LX1FeVjg6k 
[92778] SET_BUY_AMOUNT,LX1FeVjg6k,VTY,717.48 
[92855] SET_BUY_TRIGGER,LX1FeVjg6k,UIE,589.43 
[92982] BUY,LX1FeVjg6k,KIP,594.79 
[93002] CANCEL_BUY,LX1FeVjg6k 
[93081] SET_SELL_AMOUNT,LX1FeVjg6k,XLK,369.70 
[93148] SET_SELL_TRIGGER,LX1FeVjg6k,XLK,255.85 
[93260] SET_SELL_AMOUNT,LX1FeVjg6k,NHG,635.84 
[93605] QUOTE,LX1FeVjg6k,FQP 
[93667] SET_BUY_TRIGGER,LX1FeVjg6k,VTY,154.32 
[93811] ADD,LX1FeVjg6k,52663.27 
[93896] QUOTE,LX1FeVjg6k,FYA 
[94099] QUOTE,LX1FeVjg6k,FSD 
[94192] BUY,LX1FeVjg6k,OOV,680.01 
[94288] COMMIT_BUY,LX1FeVjg6k 
[94310] ADD,LX1FeVjg6k,90524.64 
[94345] QUOTE,LX1FeVjg6k,ZWB 
[94709] SET_BUY_AMOUNT,LX1FeVjg6k,BCQ,663.63 
[94761] SET_BUY_TRIGGER,LX1FeVjg6k,MOM,494.27 
[94919] QUOTE,LX1FeVjg6k,DXL 
[95018] BUY,LX1FeVjg6k,JQG,414.64 
[95092] COMMIT_BUY,LX1FeVjg6k 
[95331] DISPLAY_SUMMARY,LX1FeVjg6k 
[95359] QUOTE,LX1FeVjg6k,BOS 
[95453] SET_BUY_AMOUNT,LX1FeVjg6k,OEY,250.96 
[95523] SET_BUY_TRIGGER,LX1FeVjg6k,XBL,80.55 
[95663] ADD,LX1FeVjg6k,64157.31 
[95681] BUY,LX1FeVjg6k,JMX,14.48 
[95795] COMMIT_BUY,LX1FeVjg6k 
[95805] SET_BUY_AMOUNT,LX1FeVjg6k,XXQ,11.01 
[95865] SET_BUY_TRIGGER,LX1FeVjg6k,DES,10.76 
[96077] ADD,LX1FeVjg6k,56678.58 
[96123] QUOTE,LX1FeVjg6k,APY 
[96172] DISPLAY_SUMMARY,LX1FeVjg6k 
[96414] SET_SELL_TRIGGER,LX1FeVjg6k,NHG,612.76 
[96456] SET_SELL_TRIGGER,LX1FeVjg6k,YNY,61.26 
[96484] ADD,LX1FeVjg6k,94251.80 
[96648] BUY,LX1FeVjg6k,WGP,187.53 
[96686] BUY,LX1FeVjg6k,PWK,548.72 
[96831] SELL,LX1FeVjg6k,JQO,317.91 
[96868] COMMIT_SELL,LX1FeVjg6k 
[96878] BUY,LX1FeVjg6k,HEK,544.80 
[96924] CANCEL_BUY,LX1FeVjg6k 
[97035] QUOTE,LX1FeVjg6k,HYX 
[97137] DISPLAY_SUMMARY,LX1FeVjg6k 
[97306] QUOTE,LX1FeVjg6k,URD 
[97338] ADD,LX1FeVjg6k,72000.60 
[97353] QUOTE,LX1FeVjg6k,JNO 
[97365] BUY,LX1FeVjg6k,YVS,111.67 
[97507] CANCEL_BUY,LX1FeVjg6k 
[97521] ADD,LX1FeVjg6k,79592.66 
[97524] QUOTE,LX1FeVjg6k,MXD 
[97704] SET_SELL_TRIGGER,LX1FeVjg6k,ULL,138.67 
[97816] ADD,LX1FeVjg6k,89705.23 
[97830] BUY,LX1FeVjg6k,UFX,198.21 
[97901] CANCEL_BUY,LX1FeVjg6k 
[98129] ADD,LX1FeVjg6k,64261.95 
[98168] SET_BUY_TRIGGER,LX1FeVjg6k,UIE,41.81 
[98185] ADD,LX1FeVjg6k,54285.21 
[98282] BUY,LX1FeVjg6k,JEO,315.30 
[98306] COMMIT_BUY,LX1FeVjg6k 
[98391] DISPLAY_SUMMARY,LX1FeVjg6k 
[98483] ADD,LX1FeVjg6k,81914.29 
[98529] QUOTE,LX1FeVjg6k,TQE 
[98935] SET_BUY_AMOUNT,LX1FeVjg6k,LZB,439.55 
[98985] SET_BUY_TRIGGER,LX1FeVjg6k,NGZ,132.50 
[99021] SET_BUY_TRIGGER,LX1FeVjg6k,BLC,188.11 
[99053] ADD,LX1FeVjg6k,74229.37 
[99200] QUOTE,LX1FeVjg6k,QBD 
[99423] CANCEL_SET_SELL,LX1FeVjg6k,WKT 
[99460] SELL,LX1FeVjg6k,KBN,112.33 
[99498] BUY,LX1FeVjg6k,GAL,450.06 
[99547] QUOTE,LX1FeVjg6k,QSS 
[99608] SELL,LX1FeVjg6k,GYF,62.68 
[99848] SET_BUY_TRIGGER,LX1FeVjg6k,GRM,46.03 
[99964] SET_BUY_TRIGGER,LX1FeVjg6k,MIR,168.26 
