[22] ADD,wYQUhjq8PE,76865.00 
[44971] COMMIT_BUY,wYQUhjq8PE 
[45085] ADD,wYQUhjq8PE,86173.92 
[45094] BUY,wYQUhjq8PE,MLT,226.70 
[45197] CANCEL_BUY,wYQUhjq8PE 
[45335] CANCEL_SET_SELL,wYQUhjq8PE,DXQ 
[45645] ADD,wYQUhjq8PE,55796.15 
[45752] CANCEL_SELL,wYQUhjq8PE 
[45762] SELL,wYQUhjq8PE,KES,135.52 
[45840] COMMIT_SELL,wYQUhjq8PE 
[45870] BUY,wYQUhjq8PE,NQU,8.11 
[46103] COMMIT_BUY,wYQUhjq8PE 
[46161] DISPLAY_SUMMARY,wYQUhjq8PE 
[46189] ADD,wYQUhjq8PE,51120.60 
[46234] CANCEL_SELL,wYQUhjq8PE 
[46257] SET_SELL_TRIGGER,wYQUhjq8PE,PJJ,25.76 
[46584] DISPLAY_SUMMARY,wYQUhjq8PE 
[46758] SELL,wYQUhjq8PE,XLK,493.91 
[46930] COMMIT_SELL,wYQUhjq8PE 
[47100] ADD,wYQUhjq8PE,67148.99 
[47131] QUOTE,wYQUhjq8PE,VTY 
[47177] DISPLAY_SUMMARY,wYQUhjq8PE 
[47186] SELL,wYQUhjq8PE,OPN,323.27 
[47218] QUOTE,wYQUhjq8PE,YRO 
[47285] BUY,wYQUhjq8PE,UGG,430.47 
[47332] COMMIT_BUY,wYQUhjq8PE 
[47339] ADD,wYQUhjq8PE,72420.43 
[47383] BUY,wYQUhjq8PE,OIV,623.11 
[47474] CANCEL_BUY,wYQUhjq8PE 
[47552] QUOTE,wYQUhjq8PE,RUN 
[47745] BUY,wYQUhjq8PE,WJB,267.73 
[47804] DISPLAY_SUMMARY,wYQUhjq8PE 
[47810] ADD,wYQUhjq8PE,71063.11 
[47846] BUY,wYQUhjq8PE,GCL,662.46 
[47915] SET_SELL_AMOUNT,wYQUhjq8PE,KES,335.96 
[47973] QUOTE,wYQUhjq8PE,YDS 
[48010] DISPLAY_SUMMARY,wYQUhjq8PE 
[48085] SELL,wYQUhjq8PE,GYF,55.55 
[48191] BUY,wYQUhjq8PE,UEC,525.19 
[48199] CANCEL_SET_BUY,wYQUhjq8PE,OIV 
[48207] SET_BUY_TRIGGER,wYQUhjq8PE,MLI,45.60 
[48290] ADD,wYQUhjq8PE,65697.73 
[48359] QUOTE,wYQUhjq8PE,OSC 
[48424] QUOTE,wYQUhjq8PE,FFI 
[48452] QUOTE,wYQUhjq8PE,GRD 
[48607] QUOTE,wYQUhjq8PE,HFI 
[48652] CANCEL_SET_BUY,wYQUhjq8PE,YUR 
[48655] BUY,wYQUhjq8PE,FMJ,585.63 
[49051] CANCEL_SELL,wYQUhjq8PE 
[49305] SET_SELL_TRIGGER,wYQUhjq8PE,KES,286.17 
[49401] ADD,wYQUhjq8PE,73722.96 
[50025] QUOTE,wYQUhjq8PE,ZMA 
[50203] SET_BUY_AMOUNT,wYQUhjq8PE,JCQ,580.00 
[50217] SET_BUY_TRIGGER,wYQUhjq8PE,SXB,187.08 
[50465] BUY,wYQUhjq8PE,NLT,99.57 
[50718] QUOTE,wYQUhjq8PE,QID 
[50757] QUOTE,wYQUhjq8PE,XMA 
[50791] SET_BUY_AMOUNT,wYQUhjq8PE,JQO,300.78 
[50810] SELL,wYQUhjq8PE,FDI,420.64 
[50970] CANCEL_SET_BUY,wYQUhjq8PE,JJW 
[51163] ADD,wYQUhjq8PE,62461.44 
[51196] QUOTE,wYQUhjq8PE,CUQ 
[51197] DISPLAY_SUMMARY,wYQUhjq8PE 
[51228] BUY,wYQUhjq8PE,JLK,596.61 
[51340] SET_BUY_AMOUNT,wYQUhjq8PE,CSZ,440.76 
[51371] SET_BUY_TRIGGER,wYQUhjq8PE,GJQ,28.30 
[51541] QUOTE,wYQUhjq8PE,UTD 
[51568] BUY,wYQUhjq8PE,ZAN,204.34 
[51704] SET_BUY_AMOUNT,wYQUhjq8PE,EBS,295.39 
[51779] SET_BUY_TRIGGER,wYQUhjq8PE,ZOZ,107.19 
[51812] DISPLAY_SUMMARY,wYQUhjq8PE 
[51872] DISPLAY_SUMMARY,wYQUhjq8PE 
[51881] BUY,wYQUhjq8PE,VEE,723.39 
[51966] COMMIT_BUY,wYQUhjq8PE 
[52112] COMMIT_SELL,wYQUhjq8PE 
[52206] SET_BUY_TRIGGER,wYQUhjq8PE,LPB,83.37 
[52313] SET_BUY_TRIGGER,wYQUhjq8PE,ONI,195.33 
[52372] ADD,wYQUhjq8PE,83798.69 
[52386] BUY,wYQUhjq8PE,OIV,31.42 
[52399] SET_SELL_AMOUNT,wYQUhjq8PE,RUN,169.43 
[52624] SET_SELL_TRIGGER,wYQUhjq8PE,RUN,154.39 
[52878] CANCEL_SET_SELL,wYQUhjq8PE,RRT 
[52956] SELL,wYQUhjq8PE,XXQ,601.97 
[52969] COMMIT_SELL,wYQUhjq8PE 
[53176] CANCEL_SET_BUY,wYQUhjq8PE,BFB 
[53225] QUOTE,wYQUhjq8PE,UDQ 
[53360] DISPLAY_SUMMARY,wYQUhjq8PE 
[53661] SET_SELL_AMOUNT,wYQUhjq8PE,YJK,589.11 
[53677] SET_SELL_TRIGGER,wYQUhjq8PE,YJK,191.92 
[53695] SET_BUY_AMOUNT,wYQUhjq8PE,CUZ,391.65 
[53763] BUY,wYQUhjq8PE,CGW,157.57 
[53842] COMMIT_BUY,wYQUhjq8PE 
[53843] SET_SELL_TRIGGER,wYQUhjq8PE,SVV,28.89 
[53943] SELL,wYQUhjq8PE,RGH,293.75 
[54115] COMMIT_SELL,wYQUhjq8PE 
[54158] SET_SELL_TRIGGER,wYQUhjq8PE,XUY,149.14 
[54210] SELL,wYQUhjq8PE,KDA,377.61 
[54222] CANCEL_SELL,wYQUhjq8PE 
[54459] CANCEL_SET_BUY,wYQUhjq8PE,ZZN 
[54511] COMMIT_BUY,wYQUhjq8PE 
[54584] SET_SELL_AMOUNT,wYQUhjq8PE,KDA,355.68 
[54822] SET_SELL_TRIGGER,wYQUhjq8PE,KDA,144.41 
[55076] CANCEL_SET_SELL,wYQUhjq8PE,POI 
[55106] SET_BUY_AMOUNT,wYQUhjq8PE,PTP,91.95 
[55143] SET_BUY_TRIGGER,wYQUhjq8PE,VVO,22.05 
[55149] BUY,wYQUhjq8PE,UDM,279.73 
[55198] SET_SELL_AMOUNT,wYQUhjq8PE,RNK,13.48 
[55294] SET_SELL_TRIGGER,wYQUhjq8PE,RNK,5.59 
[55455] ADD,wYQUhjq8PE,64137.87 
[55607] QUOTE,wYQUhjq8PE,SCK 
[55628] BUY,wYQUhjq8PE,HSH,210.52 
[55663] CANCEL_BUY,wYQUhjq8PE 
[55824] CANCEL_SET_BUY,wYQUhjq8PE,YIU 
[55877] CANCEL_SET_BUY,wYQUhjq8PE,YAZ 
[56153] DISPLAY_SUMMARY,wYQUhjq8PE 
[56327] CANCEL_SET_SELL,wYQUhjq8PE,PLA 
[56359] ADD,wYQUhjq8PE,49124.23 
[56382] QUOTE,wYQUhjq8PE,MIU 
[56433] ADD,wYQUhjq8PE,78155.44 
[56509] QUOTE,wYQUhjq8PE,LPB 
[56581] SET_BUY_TRIGGER,wYQUhjq8PE,FQR,117.04 
[56748] SET_BUY_AMOUNT,wYQUhjq8PE,DFE,426.73 
[57072] SELL,wYQUhjq8PE,BYA,72.04 
[57198] SET_SELL_TRIGGER,wYQUhjq8PE,JHY,119.93 
[57264] BUY,wYQUhjq8PE,JGG,457.30 
[57335] CANCEL_SELL,wYQUhjq8PE 
[57436] SELL,wYQUhjq8PE,ZAN,235.94 
[57534] COMMIT_SELL,wYQUhjq8PE 
[57553] CANCEL_SET_SELL,wYQUhjq8PE,ISQ 
[57576] ADD,wYQUhjq8PE,49542.08 
[57685] QUOTE,wYQUhjq8PE,QUT 
[57767] BUY,wYQUhjq8PE,XFW,510.43 
[57834] CANCEL_BUY,wYQUhjq8PE 
[57962] SET_SELL_AMOUNT,wYQUhjq8PE,QAX,222.13 
[58088] SET_SELL_TRIGGER,wYQUhjq8PE,QAX,159.37 
[58137] QUOTE,wYQUhjq8PE,AVH 
[58190] SET_BUY_TRIGGER,wYQUhjq8PE,VOU,98.74 
[58269] ADD,wYQUhjq8PE,81400.58 
[58282] QUOTE,wYQUhjq8PE,WPG 
[58395] QUOTE,wYQUhjq8PE,EEG 
[58445] SET_BUY_AMOUNT,wYQUhjq8PE,CSZ,639.70 
[58536] SET_BUY_TRIGGER,wYQUhjq8PE,WTL,254.82 
[58586] SET_BUY_TRIGGER,wYQUhjq8PE,NFO,47.23 
[58671] ADD,wYQUhjq8PE,59414.47 
[58677] QUOTE,wYQUhjq8PE,YVX 
[58793] BUY,wYQUhjq8PE,XBL,707.26 
[58997] COMMIT_SELL,wYQUhjq8PE 
[59143] ADD,wYQUhjq8PE,68009.17 
[59470] QUOTE,wYQUhjq8PE,ZER 
[59515] QUOTE,wYQUhjq8PE,NGG 
[59558] CANCEL_BUY,wYQUhjq8PE 
[59593] SELL,wYQUhjq8PE,JVT,346.08 
[59671] DISPLAY_SUMMARY,wYQUhjq8PE 
[59832] QUOTE,wYQUhjq8PE,CXN 
[59851] BUY,wYQUhjq8PE,GTX,678.36 
[59935] COMMIT_BUY,wYQUhjq8PE 
[60098] DISPLAY_SUMMARY,wYQUhjq8PE 
[60191] SET_SELL_AMOUNT,wYQUhjq8PE,PTP,355.66 
[60601] CANCEL_SET_SELL,wYQUhjq8PE,PTP 
[60789] DISPLAY_SUMMARY,wYQUhjq8PE 
[61052] SET_SELL_AMOUNT,wYQUhjq8PE,FQP,700.52 
[61090] SET_SELL_TRIGGER,wYQUhjq8PE,FQP,572.47 
[61232] SET_SELL_TRIGGER,wYQUhjq8PE,NBX,155.04 
[61261] CANCEL_BUY,wYQUhjq8PE 
[61268] DISPLAY_SUMMARY,wYQUhjq8PE 
[61285] ADD,wYQUhjq8PE,71174.81 
[61388] QUOTE,wYQUhjq8PE,KKI 
[61394] QUOTE,wYQUhjq8PE,PIC 
[61424] QUOTE,wYQUhjq8PE,BMQ 
[61542] QUOTE,wYQUhjq8PE,MIR 
[61600] BUY,wYQUhjq8PE,KGV,40.98 
[61648] COMMIT_BUY,wYQUhjq8PE 
[61661] COMMIT_BUY,wYQUhjq8PE 
[61785] SET_SELL_AMOUNT,wYQUhjq8PE,DFE,733.05 
[61810] SELL,wYQUhjq8PE,JVT,696.24 
[61900] SELL,wYQUhjq8PE,RNK,495.03 
[61971] SET_BUY_AMOUNT,wYQUhjq8PE,AVX,68.68 
[62074] SET_BUY_TRIGGER,wYQUhjq8PE,ZNL,55.11 
[62093] ADD,wYQUhjq8PE,72448.57 
[62104] QUOTE,wYQUhjq8PE,UDN 
[62325] SET_BUY_TRIGGER,wYQUhjq8PE,IFQ,23.82 
[62391] QUOTE,wYQUhjq8PE,QPZ 
[62394] BUY,wYQUhjq8PE,MGK,582.13 
[62554] CANCEL_BUY,wYQUhjq8PE 
[62593] SET_BUY_TRIGGER,wYQUhjq8PE,TAR,62.61 
[62632] CANCEL_SET_BUY,wYQUhjq8PE,PLB 
[62703] ADD,wYQUhjq8PE,65152.86 
[62822] SET_BUY_TRIGGER,wYQUhjq8PE,GYT,92.78 
[62867] BUY,wYQUhjq8PE,YRO,479.47 
[62879] COMMIT_BUY,wYQUhjq8PE 
[62902] SET_BUY_AMOUNT,wYQUhjq8PE,BYA,396.68 
[63046] SET_BUY_TRIGGER,wYQUhjq8PE,NLP,179.83 
[63498] SET_SELL_TRIGGER,wYQUhjq8PE,DFE,457.64 
[63696] ADD,wYQUhjq8PE,77532.66 
[63735] QUOTE,wYQUhjq8PE,ZKV 
[63794] QUOTE,wYQUhjq8PE,SPT 
[63817] BUY,wYQUhjq8PE,MVI,668.93 
[63933] SET_BUY_AMOUNT,wYQUhjq8PE,LFU,365.40 
[63947] SET_BUY_TRIGGER,wYQUhjq8PE,NXU,172.49 
[64105] DISPLAY_SUMMARY,wYQUhjq8PE 
[64160] ADD,wYQUhjq8PE,72737.64 
[64221] QUOTE,wYQUhjq8PE,SKW 
[64225] QUOTE,wYQUhjq8PE,JCL 
[64350] DISPLAY_SUMMARY,wYQUhjq8PE 
[64523] QUOTE,wYQUhjq8PE,JSM 
[64542] ADD,wYQUhjq8PE,76599.99 
[64707] QUOTE,wYQUhjq8PE,YBO 
[64712] QUOTE,wYQUhjq8PE,VVO 
[64775] CANCEL_SET_BUY,wYQUhjq8PE,WGP 
[64866] SELL,wYQUhjq8PE,ZAN,700.92 
[64931] CANCEL_SELL,wYQUhjq8PE 
[65005] DISPLAY_SUMMARY,wYQUhjq8PE 
[65046] ADD,wYQUhjq8PE,54790.30 
[65123] SET_BUY_TRIGGER,wYQUhjq8PE,QBD,48.78 
[65247] ADD,wYQUhjq8PE,58039.31 
[65321] QUOTE,wYQUhjq8PE,CTI 
[65322] CANCEL_SELL,wYQUhjq8PE 
[65500] BUY,wYQUhjq8PE,OHG,523.10 
[65539] QUOTE,wYQUhjq8PE,QSS 
[65591] QUOTE,wYQUhjq8PE,LLO 
[65601] DISPLAY_SUMMARY,wYQUhjq8PE 
[65637] QUOTE,wYQUhjq8PE,YOG 
[66006] ADD,wYQUhjq8PE,92815.03 
[66156] CANCEL_SET_BUY,wYQUhjq8PE,CTT 
[66157] QUOTE,wYQUhjq8PE,FGI 
[66326] CANCEL_BUY,wYQUhjq8PE 
[66344] SET_BUY_AMOUNT,wYQUhjq8PE,ZAN,184.98 
[66351] CANCEL_SET_BUY,wYQUhjq8PE,ZJG 
[66478] QUOTE,wYQUhjq8PE,PST 
[66522] DISPLAY_SUMMARY,wYQUhjq8PE 
[66714] DISPLAY_SUMMARY,wYQUhjq8PE 
[66731] ADD,wYQUhjq8PE,62769.35 
[67026] BUY,wYQUhjq8PE,PFN,515.54 
[67108] CANCEL_SELL,wYQUhjq8PE 
[67173] SET_BUY_TRIGGER,wYQUhjq8PE,BHH,64.27 
[67270] DISPLAY_SUMMARY,wYQUhjq8PE 
[67434] ADD,wYQUhjq8PE,65703.78 
[67487] SELL,wYQUhjq8PE,RGH,590.72 
[67603] DISPLAY_SUMMARY,wYQUhjq8PE 
[67785] QUOTE,wYQUhjq8PE,ZEG 
[67794] SET_BUY_AMOUNT,wYQUhjq8PE,OEY,544.20 
[67827] DISPLAY_SUMMARY,wYQUhjq8PE 
[67902] SET_BUY_TRIGGER,wYQUhjq8PE,PTC,31.00 
[67957] DISPLAY_SUMMARY,wYQUhjq8PE 
[67964] ADD,wYQUhjq8PE,68055.85 
[68041] QUOTE,wYQUhjq8PE,VUS 
[68043] SELL,wYQUhjq8PE,OEY,495.06 
[68088] CANCEL_SET_BUY,wYQUhjq8PE,FTP 
[68122] SET_SELL_AMOUNT,wYQUhjq8PE,QAX,60.66 
[68196] SET_SELL_TRIGGER,wYQUhjq8PE,QAX,7.71 
[68296] BUY,wYQUhjq8PE,ENQ,50.91 
[68319] COMMIT_BUY,wYQUhjq8PE 
[68591] QUOTE,wYQUhjq8PE,JKX 
[68751] SET_SELL_TRIGGER,wYQUhjq8PE,FUR,23.76 
[68797] ADD,wYQUhjq8PE,48982.85 
[68803] QUOTE,wYQUhjq8PE,TSU 
[68811] COMMIT_BUY,wYQUhjq8PE 
[68881] BUY,wYQUhjq8PE,NTT,648.25 
[68898] CANCEL_SET_SELL,wYQUhjq8PE,LAM 
[68926] DISPLAY_SUMMARY,wYQUhjq8PE 
[69190] SET_SELL_TRIGGER,wYQUhjq8PE,DJD,78.99 
[69384] CANCEL_SET_BUY,wYQUhjq8PE,FFN 
[69392] CANCEL_BUY,wYQUhjq8PE 
[69444] SET_BUY_AMOUNT,wYQUhjq8PE,FQP,161.23 
[69580] SET_BUY_TRIGGER,wYQUhjq8PE,QAX,78.44 
[69792] ADD,wYQUhjq8PE,76497.60 
[69865] ADD,wYQUhjq8PE,39926.38 
[70019] QUOTE,wYQUhjq8PE,AQO 
[70040] SET_BUY_AMOUNT,wYQUhjq8PE,ZTI,528.71 
[70092] BUY,wYQUhjq8PE,ECL,266.07 
[70327] ADD,wYQUhjq8PE,83575.55 
[70451] BUY,wYQUhjq8PE,BRZ,154.50 
[70556] COMMIT_BUY,wYQUhjq8PE 
[70631] QUOTE,wYQUhjq8PE,WYR 
[70641] BUY,wYQUhjq8PE,MVQ,328.85 
[70869] COMMIT_BUY,wYQUhjq8PE 
[70922] DISPLAY_SUMMARY,wYQUhjq8PE 
[70925] SET_BUY_AMOUNT,wYQUhjq8PE,BCQ,439.12 
[71038] QUOTE,wYQUhjq8PE,NDJ 
[71042] DISPLAY_SUMMARY,wYQUhjq8PE 
[71209] BUY,wYQUhjq8PE,KXF,36.79 
[71287] CANCEL_SET_SELL,wYQUhjq8PE,STO 
[71403] BUY,wYQUhjq8PE,MLT,129.44 
[71520] COMMIT_BUY,wYQUhjq8PE 
[71700] QUOTE,wYQUhjq8PE,EGB 
[71944] QUOTE,wYQUhjq8PE,ISQ 
[72158] ADD,wYQUhjq8PE,80045.00 
[72173] QUOTE,wYQUhjq8PE,OXV 
[72230] SET_BUY_TRIGGER,wYQUhjq8PE,DHA,310.48 
[72400] QUOTE,wYQUhjq8PE,CBK 
[72593] QUOTE,wYQUhjq8PE,GAV 
[72696] SET_BUY_AMOUNT,wYQUhjq8PE,KES,497.63 
[72783] CANCEL_SET_BUY,wYQUhjq8PE,ASJ 
[72898] ADD,wYQUhjq8PE,69857.99 
[72930] SET_SELL_AMOUNT,wYQUhjq8PE,QGE,164.32 
[73148] SET_SELL_TRIGGER,wYQUhjq8PE,QGE,5.65 
[73416] BUY,wYQUhjq8PE,XER,609.74 
[73430] SELL,wYQUhjq8PE,QGE,379.57 
[73707] SET_SELL_AMOUNT,wYQUhjq8PE,DFE,669.46 
[73780] BUY,wYQUhjq8PE,GJR,530.46 
[74150] COMMIT_BUY,wYQUhjq8PE 
[74191] BUY,wYQUhjq8PE,GCL,747.83 
[74248] COMMIT_BUY,wYQUhjq8PE 
[74307] SELL,wYQUhjq8PE,YJK,521.54 
[74431] SET_SELL_AMOUNT,wYQUhjq8PE,SSF,700.63 
[74447] SET_SELL_TRIGGER,wYQUhjq8PE,SSF,519.74 
[74553] ADD,wYQUhjq8PE,59585.58 
[74635] BUY,wYQUhjq8PE,MLT,708.14 
[74698] QUOTE,wYQUhjq8PE,YWK 
[74729] QUOTE,wYQUhjq8PE,MJU 
[74757] SET_BUY_AMOUNT,wYQUhjq8PE,XLK,105.85 
[74962] CANCEL_SET_BUY,wYQUhjq8PE,RJG 
[75203] SET_SELL_TRIGGER,wYQUhjq8PE,UXP,179.30 
[75265] SET_BUY_TRIGGER,wYQUhjq8PE,JXW,28.70 
[75359] CANCEL_SET_SELL,wYQUhjq8PE,IZS 
[75532] QUOTE,wYQUhjq8PE,ZMA 
[75573] COMMIT_BUY,wYQUhjq8PE 
[75595] DISPLAY_SUMMARY,wYQUhjq8PE 
[75607] DISPLAY_SUMMARY,wYQUhjq8PE 
[75745] ADD,wYQUhjq8PE,58988.58 
[75786] QUOTE,wYQUhjq8PE,EEG 
[75867] SELL,wYQUhjq8PE,MFX,346.49 
[75984] CANCEL_SET_BUY,wYQUhjq8PE,DHA 
[75988] SELL,wYQUhjq8PE,MFX,343.83 
[76128] CANCEL_SET_BUY,wYQUhjq8PE,BMW 
[76405] BUY,wYQUhjq8PE,WSR,516.91 
[76430] COMMIT_BUY,wYQUhjq8PE 
[76452] BUY,wYQUhjq8PE,UGG,626.71 
[76551] COMMIT_BUY,wYQUhjq8PE 
[76700] CANCEL_SET_SELL,wYQUhjq8PE,PVH 
[76799] QUOTE,wYQUhjq8PE,XOP 
[77230] BUY,wYQUhjq8PE,MWM,395.96 
[77241] ADD,wYQUhjq8PE,80473.78 
[77307] QUOTE,wYQUhjq8PE,NFV 
[77313] COMMIT_BUY,wYQUhjq8PE 
[77534] SET_BUY_TRIGGER,wYQUhjq8PE,RNE,55.66 
[77769] SET_BUY_AMOUNT,wYQUhjq8PE,CEC,567.61 
[77857] BUY,wYQUhjq8PE,ZAV,119.33 
[77875] COMMIT_BUY,wYQUhjq8PE 
[77885] ADD,wYQUhjq8PE,57185.44 
[77941] QUOTE,wYQUhjq8PE,MOM 
[77956] QUOTE,wYQUhjq8PE,LEA 
[78009] QUOTE,wYQUhjq8PE,WKE 
[78108] SET_BUY_TRIGGER,wYQUhjq8PE,SYT,140.96 
[78394] ADD,wYQUhjq8PE,64689.40 
[78773] BUY,wYQUhjq8PE,UMV,386.06 
[78804] COMMIT_BUY,wYQUhjq8PE 
[78812] SET_BUY_TRIGGER,wYQUhjq8PE,HSJ,193.15 
[78839] CANCEL_SET_SELL,wYQUhjq8PE,IGI 
[79053] SELL,wYQUhjq8PE,UIE,208.32 
[79087] COMMIT_SELL,wYQUhjq8PE 
[79088] SET_BUY_TRIGGER,wYQUhjq8PE,ZTR,23.69 
[79164] SET_BUY_TRIGGER,wYQUhjq8PE,JPD,183.99 
[79208] SELL,wYQUhjq8PE,RGH,136.57 
[79404] SET_BUY_TRIGGER,wYQUhjq8PE,PHE,87.69 
[79569] DISPLAY_SUMMARY,wYQUhjq8PE 
[79645] DISPLAY_SUMMARY,wYQUhjq8PE 
[79880] ADD,wYQUhjq8PE,51469.54 
[79944] SET_BUY_TRIGGER,wYQUhjq8PE,MVY,182.46 
[79959] SET_SELL_AMOUNT,wYQUhjq8PE,KES,291.03 
[80069] SET_SELL_TRIGGER,wYQUhjq8PE,KES,239.88 
[80232] SET_BUY_AMOUNT,wYQUhjq8PE,IFN,678.73 
[80241] SET_BUY_TRIGGER,wYQUhjq8PE,RXB,166.06 
[80545] ADD,wYQUhjq8PE,57438.33 
[80648] QUOTE,wYQUhjq8PE,FPP 
[81022] BUY,wYQUhjq8PE,VQA,73.54 
[81140] SET_BUY_TRIGGER,wYQUhjq8PE,EDW,31.84 
[81170] SET_SELL_TRIGGER,wYQUhjq8PE,NJB,175.57 
[81318] BUY,wYQUhjq8PE,ASJ,27.34 
[81558] COMMIT_BUY,wYQUhjq8PE 
[81629] SET_SELL_TRIGGER,wYQUhjq8PE,ZRH,77.33 
[81672] ADD,wYQUhjq8PE,86832.09 
[81718] CANCEL_SET_SELL,wYQUhjq8PE,LCP 
[81765] SET_BUY_AMOUNT,wYQUhjq8PE,CBO,692.60 
[81767] SET_BUY_TRIGGER,wYQUhjq8PE,URY,526.38 
[81957] DISPLAY_SUMMARY,wYQUhjq8PE 
[81995] SET_BUY_AMOUNT,wYQUhjq8PE,EBS,376.99 
[81998] SET_BUY_TRIGGER,wYQUhjq8PE,CXC,293.90 
[82033] SET_BUY_TRIGGER,wYQUhjq8PE,WKL,152.69 
[82091] DISPLAY_SUMMARY,wYQUhjq8PE 
[82137] ADD,wYQUhjq8PE,63001.22 
[82191] CANCEL_SET_SELL,wYQUhjq8PE,APU 
[82205] DISPLAY_SUMMARY,wYQUhjq8PE 
[82218] DISPLAY_SUMMARY,wYQUhjq8PE 
[82220] DISPLAY_SUMMARY,wYQUhjq8PE 
[82267] DISPLAY_SUMMARY,wYQUhjq8PE 
[82270] SET_BUY_AMOUNT,wYQUhjq8PE,CEC,50.61 
[82365] SET_BUY_TRIGGER,wYQUhjq8PE,JCL,23.65 
[82399] COMMIT_BUY,wYQUhjq8PE 
[82410] SELL,wYQUhjq8PE,XLK,602.44 
[82437] COMMIT_SELL,wYQUhjq8PE 
[82542] SET_BUY_TRIGGER,wYQUhjq8PE,VFH,130.44 
[82605] SET_SELL_AMOUNT,wYQUhjq8PE,DFE,272.94 
[82683] SET_SELL_TRIGGER,wYQUhjq8PE,DFE,44.07 
[82735] QUOTE,wYQUhjq8PE,OEN 
[82787] QUOTE,wYQUhjq8PE,MSV 
[82873] ADD,wYQUhjq8PE,89254.16 
[83074] QUOTE,wYQUhjq8PE,APY 
[83299] DISPLAY_SUMMARY,wYQUhjq8PE 
[83328] SET_SELL_AMOUNT,wYQUhjq8PE,AVX,572.00 
[83463] BUY,wYQUhjq8PE,WJS,106.59 
[83521] CANCEL_BUY,wYQUhjq8PE 
[83541] BUY,wYQUhjq8PE,ZAO,341.70 
[83572] SELL,wYQUhjq8PE,JQO,285.93 
[83741] CANCEL_SET_SELL,wYQUhjq8PE,AVX 
[83760] QUOTE,wYQUhjq8PE,BDX 
[83815] CANCEL_SELL,wYQUhjq8PE 
[83874] DISPLAY_SUMMARY,wYQUhjq8PE 
[83982] ADD,wYQUhjq8PE,58973.66 
[84102] BUY,wYQUhjq8PE,FXT,595.20 
[84363] COMMIT_BUY,wYQUhjq8PE 
[84413] SET_BUY_TRIGGER,wYQUhjq8PE,NLT,10.33 
[84595] QUOTE,wYQUhjq8PE,KAF 
[84666] SET_SELL_TRIGGER,wYQUhjq8PE,GJR,17.99 
[84783] DISPLAY_SUMMARY,wYQUhjq8PE 
[84883] SET_SELL_AMOUNT,wYQUhjq8PE,BYA,641.70 
[84904] SET_SELL_TRIGGER,wYQUhjq8PE,BYA,574.65 
[84955] ADD,wYQUhjq8PE,62933.75 
[84962] BUY,wYQUhjq8PE,JSM,442.06 
[84968] CANCEL_BUY,wYQUhjq8PE 
[85014] SET_SELL_TRIGGER,wYQUhjq8PE,EOS,76.05 
[85060] SET_BUY_TRIGGER,wYQUhjq8PE,DVU,95.23 
[85108] CANCEL_SET_SELL,wYQUhjq8PE,YZH 
[85138] SET_BUY_TRIGGER,wYQUhjq8PE,KCT,48.59 
[85144] QUOTE,wYQUhjq8PE,LMB 
[85164] SET_BUY_TRIGGER,wYQUhjq8PE,UDQ,159.06 
[85326] SET_BUY_TRIGGER,wYQUhjq8PE,JOJ,169.64 
[85493] SET_SELL_AMOUNT,wYQUhjq8PE,FDI,122.88 
[85627] SET_SELL_TRIGGER,wYQUhjq8PE,FDI,122.66 
[85634] BUY,wYQUhjq8PE,NAW,649.06 
[85678] SELL,wYQUhjq8PE,SUS,499.69 
[85955] COMMIT_SELL,wYQUhjq8PE 
[85962] SELL,wYQUhjq8PE,CEC,287.49 
[86086] QUOTE,wYQUhjq8PE,PDB 
[86189] BUY,wYQUhjq8PE,HHC,205.19 
[86199] SET_BUY_AMOUNT,wYQUhjq8PE,XQC,717.61 
[86202] CANCEL_SET_BUY,wYQUhjq8PE,IVV 
[86315] CANCEL_BUY,wYQUhjq8PE 
[86505] CANCEL_SET_BUY,wYQUhjq8PE,UTD 
[86512] SET_BUY_TRIGGER,wYQUhjq8PE,JXR,173.96 
[86654] SELL,wYQUhjq8PE,SSF,304.79 
[86663] COMMIT_SELL,wYQUhjq8PE 
[86807] QUOTE,wYQUhjq8PE,DLX 
[86885] SET_SELL_AMOUNT,wYQUhjq8PE,LZV,77.77 
[86899] SET_SELL_TRIGGER,wYQUhjq8PE,LZV,15.65 
[86957] BUY,wYQUhjq8PE,AJX,206.89 
[86983] SET_SELL_TRIGGER,wYQUhjq8PE,WSR,30.50 
[87038] DISPLAY_SUMMARY,wYQUhjq8PE 
[87072] ADD,wYQUhjq8PE,71751.75 
[87101] ADD,wYQUhjq8PE,83493.17 
[87438] QUOTE,wYQUhjq8PE,YTO 
[87597] SET_SELL_AMOUNT,wYQUhjq8PE,UTV,136.52 
[87714] SET_SELL_TRIGGER,wYQUhjq8PE,UTV,23.94 
[87724] SET_SELL_AMOUNT,wYQUhjq8PE,UTV,415.68 
[87759] SELL,wYQUhjq8PE,JVT,371.25 
[87780] COMMIT_SELL,wYQUhjq8PE 
[87799] QUOTE,wYQUhjq8PE,RDK 
[87891] SET_SELL_TRIGGER,wYQUhjq8PE,UTV,65.39 
[88158] DISPLAY_SUMMARY,wYQUhjq8PE 
[88347] ADD,wYQUhjq8PE,90052.66 
[88622] BUY,wYQUhjq8PE,LGL,747.40 
[88631] COMMIT_BUY,wYQUhjq8PE 
