[48] ADD,FOsYiQU5Qk,72884.59 
[44106] ADD,FOsYiQU5Qk,87032.81 
[44116] QUOTE,FOsYiQU5Qk,DGA 
[44154] BUY,FOsYiQU5Qk,FFZ,743.71 
[44220] COMMIT_BUY,FOsYiQU5Qk 
[44342] CANCEL_SET_BUY,FOsYiQU5Qk,MHQ 
[44390] BUY,FOsYiQU5Qk,TWJ,267.65 
[44399] DISPLAY_SUMMARY,FOsYiQU5Qk 
[44610] DISPLAY_SUMMARY,FOsYiQU5Qk 
[44665] BUY,FOsYiQU5Qk,RXO,733.59 
[44742] COMMIT_BUY,FOsYiQU5Qk 
[44775] QUOTE,FOsYiQU5Qk,MPP 
[45006] CANCEL_SET_SELL,FOsYiQU5Qk,XXQ 
[45368] SET_SELL_TRIGGER,FOsYiQU5Qk,SQI,60.07 
[45375] SET_SELL_TRIGGER,FOsYiQU5Qk,KJD,172.41 
[45562] BUY,FOsYiQU5Qk,VVO,352.22 
[45601] COMMIT_BUY,FOsYiQU5Qk 
[45621] SET_BUY_AMOUNT,FOsYiQU5Qk,UTV,492.27 
[45717] SET_BUY_TRIGGER,FOsYiQU5Qk,TWJ,293.77 
[45774] ADD,FOsYiQU5Qk,64704.80 
[45891] SET_BUY_TRIGGER,FOsYiQU5Qk,VJB,15.73 
[45902] SELL,FOsYiQU5Qk,QGE,52.87 
[45909] COMMIT_SELL,FOsYiQU5Qk 
[46033] ADD,FOsYiQU5Qk,78914.08 
[46094] QUOTE,FOsYiQU5Qk,IOM 
[46375] QUOTE,FOsYiQU5Qk,QXE 
[46618] SET_SELL_AMOUNT,FOsYiQU5Qk,EBS,462.62 
[46624] CANCEL_SET_SELL,FOsYiQU5Qk,EBS 
[46638] SELL,FOsYiQU5Qk,VTY,463.33 
[46672] COMMIT_SELL,FOsYiQU5Qk 
[46674] DISPLAY_SUMMARY,FOsYiQU5Qk 
[46747] SET_BUY_AMOUNT,FOsYiQU5Qk,KES,712.56 
[46823] SET_BUY_TRIGGER,FOsYiQU5Qk,XBL,18.53 
[46833] QUOTE,FOsYiQU5Qk,QPX 
[46872] ADD,FOsYiQU5Qk,66088.46 
[46941] QUOTE,FOsYiQU5Qk,GCW 
[47033] BUY,FOsYiQU5Qk,ZZD,719.15 
[47041] DISPLAY_SUMMARY,FOsYiQU5Qk 
[47137] BUY,FOsYiQU5Qk,YCH,395.09 
[47185] COMMIT_BUY,FOsYiQU5Qk 
[47320] CANCEL_BUY,FOsYiQU5Qk 
[47514] ADD,FOsYiQU5Qk,79882.08 
[47612] BUY,FOsYiQU5Qk,ZHB,527.86 
[47704] COMMIT_BUY,FOsYiQU5Qk 
[47739] CANCEL_SELL,FOsYiQU5Qk 
[47936] SET_BUY_TRIGGER,FOsYiQU5Qk,FQU,95.56 
[48014] DISPLAY_SUMMARY,FOsYiQU5Qk 
[48126] SET_SELL_TRIGGER,FOsYiQU5Qk,TFZ,164.17 
[48336] BUY,FOsYiQU5Qk,AMI,329.86 
[48371] COMMIT_BUY,FOsYiQU5Qk 
[48590] ADD,FOsYiQU5Qk,61534.75 
[48600] BUY,FOsYiQU5Qk,YVX,392.34 
[48690] COMMIT_BUY,FOsYiQU5Qk 
[48751] SET_SELL_TRIGGER,FOsYiQU5Qk,VVW,99.34 
[48756] SET_BUY_TRIGGER,FOsYiQU5Qk,RVU,11.35 
[48838] SELL,FOsYiQU5Qk,PTP,97.58 
[48902] COMMIT_SELL,FOsYiQU5Qk 
[48993] CANCEL_SET_SELL,FOsYiQU5Qk,FTP 
[49017] QUOTE,FOsYiQU5Qk,RQT 
[49117] CANCEL_SET_BUY,FOsYiQU5Qk,YPW 
[49287] ADD,FOsYiQU5Qk,67689.26 
[49344] BUY,FOsYiQU5Qk,MHQ,130.92 
[49368] COMMIT_BUY,FOsYiQU5Qk 
[49762] SET_BUY_AMOUNT,FOsYiQU5Qk,RNK,686.33 
[49780] SET_BUY_TRIGGER,FOsYiQU5Qk,ZOZ,185.73 
[49786] COMMIT_SELL,FOsYiQU5Qk 
[49886] SET_BUY_TRIGGER,FOsYiQU5Qk,JRJ,167.69 
[49903] SET_BUY_TRIGGER,FOsYiQU5Qk,CEC,140.47 
[49909] ADD,FOsYiQU5Qk,91248.38 
[49969] QUOTE,FOsYiQU5Qk,YZH 
[50254] ADD,FOsYiQU5Qk,84063.37 
[50345] CANCEL_BUY,FOsYiQU5Qk 
[50443] SET_SELL_AMOUNT,FOsYiQU5Qk,PTP,156.45 
[50454] SET_SELL_TRIGGER,FOsYiQU5Qk,PTP,133.80 
[50503] SELL,FOsYiQU5Qk,JVT,441.86 
[50600] COMMIT_SELL,FOsYiQU5Qk 
[50625] SET_SELL_TRIGGER,FOsYiQU5Qk,YAZ,47.08 
[50726] BUY,FOsYiQU5Qk,TQX,627.72 
[50847] SELL,FOsYiQU5Qk,JRJ,26.35 
[50863] COMMIT_SELL,FOsYiQU5Qk 
[50921] BUY,FOsYiQU5Qk,URY,658.12 
[51160] COMMIT_BUY,FOsYiQU5Qk 
[51301] DISPLAY_SUMMARY,FOsYiQU5Qk 
[51385] SET_BUY_TRIGGER,FOsYiQU5Qk,OHS,111.88 
[51437] QUOTE,FOsYiQU5Qk,WQE 
[51634] ADD,FOsYiQU5Qk,68935.71 
[51760] QUOTE,FOsYiQU5Qk,ETB 
[51896] ADD,FOsYiQU5Qk,78289.09 
[51922] QUOTE,FOsYiQU5Qk,WKG 
[51974] DISPLAY_SUMMARY,FOsYiQU5Qk 
[52055] COMMIT_BUY,FOsYiQU5Qk 
[52128] SET_BUY_TRIGGER,FOsYiQU5Qk,QQI,50.55 
[52205] ADD,FOsYiQU5Qk,87885.06 
[52298] BUY,FOsYiQU5Qk,IHW,708.27 
[52384] COMMIT_BUY,FOsYiQU5Qk 
[52523] SET_BUY_AMOUNT,FOsYiQU5Qk,UTV,661.34 
[52609] SET_BUY_TRIGGER,FOsYiQU5Qk,KBI,602.42 
[52688] SET_BUY_AMOUNT,FOsYiQU5Qk,UTV,96.42 
[52887] CANCEL_SET_BUY,FOsYiQU5Qk,DIX 
[52986] SELL,FOsYiQU5Qk,LZV,119.45 
[53024] SET_SELL_TRIGGER,FOsYiQU5Qk,IGI,102.74 
[53063] SET_BUY_TRIGGER,FOsYiQU5Qk,LMB,46.47 
[53114] CANCEL_SET_SELL,FOsYiQU5Qk,YBP 
[53221] DISPLAY_SUMMARY,FOsYiQU5Qk 
[53233] SET_BUY_AMOUNT,FOsYiQU5Qk,KBN,302.31 
[53719] SET_BUY_TRIGGER,FOsYiQU5Qk,NGH,244.98 
[53721] ADD,FOsYiQU5Qk,75264.47 
[54040] QUOTE,FOsYiQU5Qk,BBD 
[54578] QUOTE,FOsYiQU5Qk,FVS 
[54849] BUY,FOsYiQU5Qk,AXK,661.10 
[54940] COMMIT_BUY,FOsYiQU5Qk 
[54998] SET_SELL_AMOUNT,FOsYiQU5Qk,UIE,438.48 
[55118] SET_SELL_TRIGGER,FOsYiQU5Qk,UIE,8.81 
[55246] QUOTE,FOsYiQU5Qk,XLV 
[55253] BUY,FOsYiQU5Qk,WNH,475.52 
[55449] COMMIT_BUY,FOsYiQU5Qk 
[55880] SELL,FOsYiQU5Qk,AVX,33.30 
[55915] SET_BUY_AMOUNT,FOsYiQU5Qk,RUN,318.02 
[56326] SET_BUY_TRIGGER,FOsYiQU5Qk,XTH,5.78 
[56364] SET_BUY_AMOUNT,FOsYiQU5Qk,CUZ,699.41 
[56384] SET_BUY_TRIGGER,FOsYiQU5Qk,AHE,641.80 
[56470] DISPLAY_SUMMARY,FOsYiQU5Qk 
[56766] SET_BUY_AMOUNT,FOsYiQU5Qk,RGH,634.87 
[56796] DISPLAY_SUMMARY,FOsYiQU5Qk 
[56908] DISPLAY_SUMMARY,FOsYiQU5Qk 
[56923] SET_SELL_AMOUNT,FOsYiQU5Qk,NHG,101.69 
[56959] SET_SELL_TRIGGER,FOsYiQU5Qk,NHG,70.56 
[57080] BUY,FOsYiQU5Qk,HZA,421.55 
[57192] COMMIT_BUY,FOsYiQU5Qk 
[57206] DISPLAY_SUMMARY,FOsYiQU5Qk 
[57217] SET_SELL_AMOUNT,FOsYiQU5Qk,RGH,457.92 
[57245] DISPLAY_SUMMARY,FOsYiQU5Qk 
[57354] SET_SELL_AMOUNT,FOsYiQU5Qk,VTY,372.27 
[57357] SET_SELL_TRIGGER,FOsYiQU5Qk,VTY,126.24 
[57363] ADD,FOsYiQU5Qk,71630.77 
[57578] CANCEL_SET_BUY,FOsYiQU5Qk,SVV 
[57879] DISPLAY_SUMMARY,FOsYiQU5Qk 
[57939] QUOTE,FOsYiQU5Qk,MWB 
[58250] ADD,FOsYiQU5Qk,82554.91 
[58527] BUY,FOsYiQU5Qk,DBS,685.44 
[58698] COMMIT_BUY,FOsYiQU5Qk 
[58742] COMMIT_SELL,FOsYiQU5Qk 
[58743] SET_SELL_AMOUNT,FOsYiQU5Qk,RNK,121.53 
[58764] QUOTE,FOsYiQU5Qk,JPD 
[58890] SET_BUY_AMOUNT,FOsYiQU5Qk,QJZ,53.28 
[58902] SET_BUY_TRIGGER,FOsYiQU5Qk,YVS,33.21 
[58961] CANCEL_SELL,FOsYiQU5Qk 
[58973] CANCEL_SET_BUY,FOsYiQU5Qk,GYF 
[59133] DISPLAY_SUMMARY,FOsYiQU5Qk 
[59280] BUY,FOsYiQU5Qk,FKX,16.02 
[59308] COMMIT_BUY,FOsYiQU5Qk 
[59611] DISPLAY_SUMMARY,FOsYiQU5Qk 
[59654] CANCEL_SELL,FOsYiQU5Qk 
[59655] ADD,FOsYiQU5Qk,73244.43 
[59798] QUOTE,FOsYiQU5Qk,EYY 
[59815] BUY,FOsYiQU5Qk,YZH,661.67 
[60141] COMMIT_BUY,FOsYiQU5Qk 
[60466] DISPLAY_SUMMARY,FOsYiQU5Qk 
[60471] ADD,FOsYiQU5Qk,59067.00 
[60491] SET_SELL_AMOUNT,FOsYiQU5Qk,FDI,596.25 
[60559] SET_SELL_TRIGGER,FOsYiQU5Qk,FDI,288.50 
[60667] ADD,FOsYiQU5Qk,61481.28 
[60847] BUY,FOsYiQU5Qk,HPN,411.74 
[60887] COMMIT_BUY,FOsYiQU5Qk 
[60895] BUY,FOsYiQU5Qk,ZLY,521.44 
[60947] CANCEL_BUY,FOsYiQU5Qk 
[61303] SET_SELL_TRIGGER,FOsYiQU5Qk,SWJ,60.19 
[61315] SET_BUY_TRIGGER,FOsYiQU5Qk,LHC,126.25 
[61425] BUY,FOsYiQU5Qk,VVV,594.07 
[61589] CANCEL_BUY,FOsYiQU5Qk 
[61606] ADD,FOsYiQU5Qk,65041.89 
[61749] BUY,FOsYiQU5Qk,GPC,538.75 
[61753] DISPLAY_SUMMARY,FOsYiQU5Qk 
[61754] SET_SELL_AMOUNT,FOsYiQU5Qk,GYF,378.93 
[61797] SET_SELL_TRIGGER,FOsYiQU5Qk,GYF,218.10 
[61982] DISPLAY_SUMMARY,FOsYiQU5Qk 
[62062] QUOTE,FOsYiQU5Qk,LAW 
[62127] CANCEL_BUY,FOsYiQU5Qk 
[62161] DISPLAY_SUMMARY,FOsYiQU5Qk 
[62175] BUY,FOsYiQU5Qk,IFU,548.77 
[62318] COMMIT_BUY,FOsYiQU5Qk 
[62364] COMMIT_SELL,FOsYiQU5Qk 
[62431] SET_SELL_AMOUNT,FOsYiQU5Qk,JVT,277.61 
[62446] SELL,FOsYiQU5Qk,YDS,334.94 
[62551] CANCEL_SELL,FOsYiQU5Qk 
[62573] BUY,FOsYiQU5Qk,WBX,744.55 
[62646] CANCEL_BUY,FOsYiQU5Qk 
[62899] SELL,FOsYiQU5Qk,KBN,265.29 
[62904] COMMIT_SELL,FOsYiQU5Qk 
[62969] BUY,FOsYiQU5Qk,DDA,7.16 
[63138] COMMIT_BUY,FOsYiQU5Qk 
[63201] ADD,FOsYiQU5Qk,55759.32 
[63411] QUOTE,FOsYiQU5Qk,VOY 
[63860] SET_SELL_AMOUNT,FOsYiQU5Qk,UTV,672.70 
[63868] DISPLAY_SUMMARY,FOsYiQU5Qk 
[63874] DISPLAY_SUMMARY,FOsYiQU5Qk 
[64092] ADD,FOsYiQU5Qk,48950.43 
[64096] BUY,FOsYiQU5Qk,LLZ,467.14 
[64100] COMMIT_BUY,FOsYiQU5Qk 
[64265] ADD,FOsYiQU5Qk,45566.87 
[64328] QUOTE,FOsYiQU5Qk,IRQ 
[64495] CANCEL_SET_BUY,FOsYiQU5Qk,SCK 
[64621] ADD,FOsYiQU5Qk,58550.58 
[64836] BUY,FOsYiQU5Qk,DKV,416.21 
[65126] COMMIT_BUY,FOsYiQU5Qk 
[65179] BUY,FOsYiQU5Qk,FOW,126.38 
[65262] COMMIT_BUY,FOsYiQU5Qk 
[65320] SET_SELL_AMOUNT,FOsYiQU5Qk,GYF,370.62 
[65329] SET_SELL_TRIGGER,FOsYiQU5Qk,GYF,56.96 
[65431] SET_SELL_AMOUNT,FOsYiQU5Qk,QAX,58.20 
[65434] SELL,FOsYiQU5Qk,JVT,263.34 
[65542] COMMIT_SELL,FOsYiQU5Qk 
[65683] QUOTE,FOsYiQU5Qk,ZRH 
[65808] DISPLAY_SUMMARY,FOsYiQU5Qk 
[65901] CANCEL_SET_SELL,FOsYiQU5Qk,QAX 
[66109] SET_BUY_TRIGGER,FOsYiQU5Qk,UMV,45.49 
[66272] SET_SELL_TRIGGER,FOsYiQU5Qk,JUJ,138.21 
[66359] CANCEL_SET_SELL,FOsYiQU5Qk,IZU 
[66556] ADD,FOsYiQU5Qk,94249.78 
[66582] QUOTE,FOsYiQU5Qk,JUN 
[66634] SET_SELL_TRIGGER,FOsYiQU5Qk,AUT,147.48 
[66702] BUY,FOsYiQU5Qk,YGK,197.29 
[66771] COMMIT_BUY,FOsYiQU5Qk 
[66888] SET_SELL_AMOUNT,FOsYiQU5Qk,JRJ,589.83 
[67135] SET_SELL_TRIGGER,FOsYiQU5Qk,JRJ,26.72 
[67293] SELL,FOsYiQU5Qk,VTY,449.47 
[67365] CANCEL_SELL,FOsYiQU5Qk 
[67593] ADD,FOsYiQU5Qk,81868.51 
[68078] QUOTE,FOsYiQU5Qk,IFU 
[68246] QUOTE,FOsYiQU5Qk,EGX 
[68357] QUOTE,FOsYiQU5Qk,DLX 
[68512] ADD,FOsYiQU5Qk,86828.93 
[68527] BUY,FOsYiQU5Qk,GIK,80.81 
[68994] CANCEL_SELL,FOsYiQU5Qk 
[69252] COMMIT_BUY,FOsYiQU5Qk 
[69278] SELL,FOsYiQU5Qk,UTV,71.42 
[69388] COMMIT_SELL,FOsYiQU5Qk 
[69406] SET_SELL_TRIGGER,FOsYiQU5Qk,QLM,64.56 
[69625] SET_BUY_TRIGGER,FOsYiQU5Qk,GDF,75.81 
[69675] SET_SELL_TRIGGER,FOsYiQU5Qk,LNJ,199.75 
[69888] ADD,FOsYiQU5Qk,40728.46 
[69928] QUOTE,FOsYiQU5Qk,MOM 
[70255] CANCEL_SELL,FOsYiQU5Qk 
[70267] SET_SELL_AMOUNT,FOsYiQU5Qk,TVI,333.49 
[70305] SET_SELL_TRIGGER,FOsYiQU5Qk,TVI,170.43 
[70422] SELL,FOsYiQU5Qk,FQP,549.75 
[70537] COMMIT_SELL,FOsYiQU5Qk 
[70560] BUY,FOsYiQU5Qk,GLO,143.12 
[70632] COMMIT_BUY,FOsYiQU5Qk 
[70777] QUOTE,FOsYiQU5Qk,YOQ 
[70788] ADD,FOsYiQU5Qk,70048.70 
[71083] BUY,FOsYiQU5Qk,PZE,673.63 
[71117] SET_BUY_TRIGGER,FOsYiQU5Qk,DWC,55.79 
[71126] SET_BUY_AMOUNT,FOsYiQU5Qk,UTV,157.47 
[71135] SET_BUY_TRIGGER,FOsYiQU5Qk,STQ,129.90 
[71149] SET_SELL_TRIGGER,FOsYiQU5Qk,GSW,145.98 
[71186] QUOTE,FOsYiQU5Qk,GXT 
[71457] SET_BUY_AMOUNT,FOsYiQU5Qk,FDI,251.94 
[71500] QUOTE,FOsYiQU5Qk,ZAV 
[71551] CANCEL_SET_SELL,FOsYiQU5Qk,LSM 
[71553] BUY,FOsYiQU5Qk,YOQ,542.36 
[71595] COMMIT_BUY,FOsYiQU5Qk 
[71705] QUOTE,FOsYiQU5Qk,JCQ 
[71990] BUY,FOsYiQU5Qk,BFL,645.57 
[72041] COMMIT_BUY,FOsYiQU5Qk 
[72163] DISPLAY_SUMMARY,FOsYiQU5Qk 
[72361] COMMIT_BUY,FOsYiQU5Qk 
[72374] SET_BUY_TRIGGER,FOsYiQU5Qk,INB,204.51 
[72424] ADD,FOsYiQU5Qk,63067.85 
[72555] CANCEL_SET_SELL,FOsYiQU5Qk,JGY 
[73078] QUOTE,FOsYiQU5Qk,YJK 
[73125] BUY,FOsYiQU5Qk,SOA,412.00 
[73393] SET_BUY_AMOUNT,FOsYiQU5Qk,SSF,41.97 
[73397] SET_BUY_TRIGGER,FOsYiQU5Qk,LPR,12.42 
[73415] QUOTE,FOsYiQU5Qk,BTD 
[73497] SET_BUY_TRIGGER,FOsYiQU5Qk,ECL,165.57 
[73601] DISPLAY_SUMMARY,FOsYiQU5Qk 
[73615] QUOTE,FOsYiQU5Qk,JYV 
[74035] SET_BUY_TRIGGER,FOsYiQU5Qk,FPV,86.56 
[74039] SET_BUY_TRIGGER,FOsYiQU5Qk,JSM,60.04 
[74269] QUOTE,FOsYiQU5Qk,EHF 
[74289] BUY,FOsYiQU5Qk,MUN,67.21 
[74498] COMMIT_BUY,FOsYiQU5Qk 
[74863] ADD,FOsYiQU5Qk,66584.93 
[75427] BUY,FOsYiQU5Qk,VTY,399.47 
[75605] COMMIT_BUY,FOsYiQU5Qk 
[75952] SET_BUY_AMOUNT,FOsYiQU5Qk,BCQ,667.87 
[75964] SET_BUY_TRIGGER,FOsYiQU5Qk,CBV,231.18 
[75992] SET_BUY_AMOUNT,FOsYiQU5Qk,IQJ,198.49 
[76072] CANCEL_SET_BUY,FOsYiQU5Qk,DXL 
[76079] SELL,FOsYiQU5Qk,JRJ,152.11 
[76145] DISPLAY_SUMMARY,FOsYiQU5Qk 
[76568] DISPLAY_SUMMARY,FOsYiQU5Qk 
[76645] BUY,FOsYiQU5Qk,SYM,124.37 
[76945] COMMIT_BUY,FOsYiQU5Qk 
[77079] ADD,FOsYiQU5Qk,61683.06 
[77098] QUOTE,FOsYiQU5Qk,TKV 
[77369] QUOTE,FOsYiQU5Qk,EBS 
[77403] BUY,FOsYiQU5Qk,LAM,746.47 
[77573] QUOTE,FOsYiQU5Qk,GHE 
[77601] BUY,FOsYiQU5Qk,CIP,506.64 
[77735] COMMIT_BUY,FOsYiQU5Qk 
[77799] COMMIT_BUY,FOsYiQU5Qk 
[77849] ADD,FOsYiQU5Qk,77400.99 
[77935] QUOTE,FOsYiQU5Qk,IFN 
[78015] BUY,FOsYiQU5Qk,IFU,375.79 
[78121] SET_SELL_AMOUNT,FOsYiQU5Qk,HTD,525.01 
[78159] SET_SELL_TRIGGER,FOsYiQU5Qk,HTD,366.09 
[78204] QUOTE,FOsYiQU5Qk,OSC 
[78598] QUOTE,FOsYiQU5Qk,SCK 
[78655] SET_BUY_TRIGGER,FOsYiQU5Qk,VYQ,24.00 
[78750] SET_BUY_TRIGGER,FOsYiQU5Qk,OEY,10.38 
[78756] COMMIT_SELL,FOsYiQU5Qk 
[79063] SET_SELL_TRIGGER,FOsYiQU5Qk,YPL,154.06 
[79242] DISPLAY_SUMMARY,FOsYiQU5Qk 
[79295] ADD,FOsYiQU5Qk,57844.41 
[79359] QUOTE,FOsYiQU5Qk,MRH 
[79534] QUOTE,FOsYiQU5Qk,KGA 
[79622] SET_BUY_AMOUNT,FOsYiQU5Qk,CBO,61.12 
[79693] SET_BUY_TRIGGER,FOsYiQU5Qk,PIE,40.28 
[79782] BUY,FOsYiQU5Qk,VNO,731.40 
[79859] BUY,FOsYiQU5Qk,KEV,114.62 
[79899] COMMIT_BUY,FOsYiQU5Qk 
[80055] SET_BUY_TRIGGER,FOsYiQU5Qk,XUH,75.56 
[80126] SELL,FOsYiQU5Qk,TKM,150.21 
[80161] ADD,FOsYiQU5Qk,56579.09 
[80281] SET_SELL_TRIGGER,FOsYiQU5Qk,GSW,183.53 
[80349] DISPLAY_SUMMARY,FOsYiQU5Qk 
[80385] DISPLAY_SUMMARY,FOsYiQU5Qk 
[80480] ADD,FOsYiQU5Qk,62674.45 
[80612] QUOTE,FOsYiQU5Qk,QAA 
[80613] CANCEL_SELL,FOsYiQU5Qk 
[80616] SET_SELL_AMOUNT,FOsYiQU5Qk,JQO,338.30 
[80636] SET_SELL_TRIGGER,FOsYiQU5Qk,JQO,24.51 
[80875] SELL,FOsYiQU5Qk,CBO,329.17 
[80922] QUOTE,FOsYiQU5Qk,QJZ 
[81051] SET_BUY_TRIGGER,FOsYiQU5Qk,FQG,17.70 
[81081] ADD,FOsYiQU5Qk,42680.98 
[81228] BUY,FOsYiQU5Qk,LSM,138.00 
[81276] COMMIT_BUY,FOsYiQU5Qk 
[81525] ADD,FOsYiQU5Qk,37676.35 
[81707] QUOTE,FOsYiQU5Qk,KRY 
[82121] ADD,FOsYiQU5Qk,74197.89 
[82281] BUY,FOsYiQU5Qk,ZMA,199.39 
[82480] COMMIT_BUY,FOsYiQU5Qk 
[82573] ADD,FOsYiQU5Qk,60691.56 
[82696] QUOTE,FOsYiQU5Qk,CVP 
[82860] ADD,FOsYiQU5Qk,81841.81 
[82926] QUOTE,FOsYiQU5Qk,AVH 
[83119] BUY,FOsYiQU5Qk,EHF,365.38 
[83126] COMMIT_BUY,FOsYiQU5Qk 
[83140] ADD,FOsYiQU5Qk,97382.82 
[83530] BUY,FOsYiQU5Qk,BFU,163.26 
[83794] CANCEL_BUY,FOsYiQU5Qk 
[83807] ADD,FOsYiQU5Qk,31341.90 
[84206] SET_BUY_TRIGGER,FOsYiQU5Qk,CUQ,156.29 
[84383] ADD,FOsYiQU5Qk,73032.85 
[84459] COMMIT_SELL,FOsYiQU5Qk 
[84489] DISPLAY_SUMMARY,FOsYiQU5Qk 
[84533] QUOTE,FOsYiQU5Qk,XAN 
[84607] ADD,FOsYiQU5Qk,79143.66 
[84657] QUOTE,FOsYiQU5Qk,KCS 
[84784] COMMIT_BUY,FOsYiQU5Qk 
[84894] ADD,FOsYiQU5Qk,72713.13 
[85124] COMMIT_BUY,FOsYiQU5Qk 
[85192] SELL,FOsYiQU5Qk,CBO,212.35 
[85289] SET_BUY_TRIGGER,FOsYiQU5Qk,SKW,61.81 
[85426] BUY,FOsYiQU5Qk,ZNZ,687.19 
[85541] COMMIT_BUY,FOsYiQU5Qk 
[85563] BUY,FOsYiQU5Qk,KZQ,642.62 
[85586] CANCEL_BUY,FOsYiQU5Qk 
[85644] SELL,FOsYiQU5Qk,NHG,391.14 
[85650] COMMIT_SELL,FOsYiQU5Qk 
[85656] SET_BUY_AMOUNT,FOsYiQU5Qk,ZTI,691.14 
[85663] SET_BUY_TRIGGER,FOsYiQU5Qk,FGF,575.77 
[85710] SET_SELL_AMOUNT,FOsYiQU5Qk,AVX,80.54 
[85767] CANCEL_SET_SELL,FOsYiQU5Qk,AVX 
[85811] BUY,FOsYiQU5Qk,FTB,729.38 
[85855] COMMIT_BUY,FOsYiQU5Qk 
[85973] DISPLAY_SUMMARY,FOsYiQU5Qk 
[85987] DISPLAY_SUMMARY,FOsYiQU5Qk 
[86033] QUOTE,FOsYiQU5Qk,PWK 
[86039] COMMIT_BUY,FOsYiQU5Qk 
[86064] SET_BUY_AMOUNT,FOsYiQU5Qk,JUN,246.22 
[86213] SELL,FOsYiQU5Qk,UBJ,533.74 
[86288] COMMIT_SELL,FOsYiQU5Qk 
[86302] ADD,FOsYiQU5Qk,50089.74 
[86357] QUOTE,FOsYiQU5Qk,JEO 
[86391] BUY,FOsYiQU5Qk,URI,271.96 
[86701] COMMIT_BUY,FOsYiQU5Qk 
[86706] DISPLAY_SUMMARY,FOsYiQU5Qk 
[86718] DISPLAY_SUMMARY,FOsYiQU5Qk 
[86818] ADD,FOsYiQU5Qk,73760.70 
[87127] QUOTE,FOsYiQU5Qk,MLU 
[87128] DISPLAY_SUMMARY,FOsYiQU5Qk 
[87143] ADD,FOsYiQU5Qk,70099.02 
[87189] QUOTE,FOsYiQU5Qk,PVH 
[87226] SET_SELL_AMOUNT,FOsYiQU5Qk,JVT,275.80 
[87300] SELL,FOsYiQU5Qk,GRM,152.94 
[87359] COMMIT_SELL,FOsYiQU5Qk 
[87422] ADD,FOsYiQU5Qk,69036.68 
[87423] BUY,FOsYiQU5Qk,SZI,384.48 
[87491] COMMIT_BUY,FOsYiQU5Qk 
[87645] SET_BUY_TRIGGER,FOsYiQU5Qk,UEC,37.55 
[87736] ADD,FOsYiQU5Qk,73633.05 
[87758] CANCEL_SET_SELL,FOsYiQU5Qk,JVT 
[88016] SET_SELL_AMOUNT,FOsYiQU5Qk,ZTI,723.19 
[88045] SET_SELL_TRIGGER,FOsYiQU5Qk,ZTI,683.47 
[88141] ADD,FOsYiQU5Qk,63414.34 
[88161] QUOTE,FOsYiQU5Qk,WUF 
[88393] QUOTE,FOsYiQU5Qk,GLJ 
[88466] COMMIT_SELL,FOsYiQU5Qk 
[88476] ADD,FOsYiQU5Qk,52995.87 
[88649] DISPLAY_SUMMARY,FOsYiQU5Qk 
[88729] SET_BUY_AMOUNT,FOsYiQU5Qk,TUO,222.44 
[89031] DISPLAY_SUMMARY,FOsYiQU5Qk 
[89047] SET_SELL_TRIGGER,FOsYiQU5Qk,JUV,91.13 
[89100] SET_BUY_TRIGGER,FOsYiQU5Qk,CMA,201.40 
[89122] QUOTE,FOsYiQU5Qk,TTY 
[89253] QUOTE,FOsYiQU5Qk,EYY 
[89421] QUOTE,FOsYiQU5Qk,LAM 
[89685] ADD,FOsYiQU5Qk,81577.24 
[89700] QUOTE,FOsYiQU5Qk,RXO 
[89736] BUY,FOsYiQU5Qk,NSN,290.94 
[89828] COMMIT_BUY,FOsYiQU5Qk 
[89834] SET_BUY_AMOUNT,FOsYiQU5Qk,JVT,395.94 
[89978] CANCEL_SET_BUY,FOsYiQU5Qk,WBX 
[90050] ADD,FOsYiQU5Qk,90914.64 
[90352] BUY,FOsYiQU5Qk,GCW,45.13 
[90358] COMMIT_BUY,FOsYiQU5Qk 
[90370] ADD,FOsYiQU5Qk,90400.60 
[90403] CANCEL_SET_BUY,FOsYiQU5Qk,EED 
[90557] DISPLAY_SUMMARY,FOsYiQU5Qk 
[90561] COMMIT_BUY,FOsYiQU5Qk 
[90571] ADD,FOsYiQU5Qk,79454.22 
[90629] BUY,FOsYiQU5Qk,XFA,338.56 
[90660] CANCEL_SELL,FOsYiQU5Qk 
[90719] DISPLAY_SUMMARY,FOsYiQU5Qk 
[90735] BUY,FOsYiQU5Qk,NFO,225.13 
[90736] SET_BUY_TRIGGER,FOsYiQU5Qk,ZJB,9.70 
[90809] ADD,FOsYiQU5Qk,63435.89 
[90820] CANCEL_SET_BUY,FOsYiQU5Qk,ZGN 
[90957] SET_SELL_AMOUNT,FOsYiQU5Qk,IFN,22.99 
[91026] SET_SELL_TRIGGER,FOsYiQU5Qk,IFN,3.44 
[91072] SET_BUY_AMOUNT,FOsYiQU5Qk,QPR,174.03 
[91435] BUY,FOsYiQU5Qk,GTB,30.67 
[91458] COMMIT_SELL,FOsYiQU5Qk 
[91510] DISPLAY_SUMMARY,FOsYiQU5Qk 
[91523] ADD,FOsYiQU5Qk,62976.96 
[91544] SELL,FOsYiQU5Qk,QJZ,714.83 
[91634] COMMIT_SELL,FOsYiQU5Qk 
[91811] BUY,FOsYiQU5Qk,TYV,127.23 
[92051] SET_BUY_AMOUNT,FOsYiQU5Qk,CUZ,217.67 
