[31] ADD,TRCadzjH8F,81383.21 
[44761] QUOTE,TRCadzjH8F,SJG 
[44800] BUY,TRCadzjH8F,TSS,92.41 
[44859] QUOTE,TRCadzjH8F,PSJ 
[44894] BUY,TRCadzjH8F,UXP,361.03 
[45040] COMMIT_BUY,TRCadzjH8F 
[45196] DISPLAY_SUMMARY,TRCadzjH8F 
[45440] SET_SELL_TRIGGER,TRCadzjH8F,FKZ,162.22 
[45638] SET_SELL_AMOUNT,TRCadzjH8F,BYA,546.23 
[45672] SET_SELL_TRIGGER,TRCadzjH8F,BYA,498.81 
[45779] ADD,TRCadzjH8F,66725.18 
[45881] SET_SELL_TRIGGER,TRCadzjH8F,PYB,3.34 
[45940] SET_SELL_AMOUNT,TRCadzjH8F,RUN,280.63 
[45977] SET_SELL_TRIGGER,TRCadzjH8F,RUN,231.22 
[45989] SET_SELL_AMOUNT,TRCadzjH8F,OEY,286.58 
[46170] CANCEL_SET_SELL,TRCadzjH8F,OEY 
[46245] SET_SELL_AMOUNT,TRCadzjH8F,NHG,0.62 
[46330] SET_SELL_TRIGGER,TRCadzjH8F,NHG,0.14 
[46723] SELL,TRCadzjH8F,XLK,444.50 
[46791] COMMIT_SELL,TRCadzjH8F 
[46907] SET_BUY_TRIGGER,TRCadzjH8F,IKK,166.50 
[46945] DISPLAY_SUMMARY,TRCadzjH8F 
[47121] SET_SELL_AMOUNT,TRCadzjH8F,XXQ,203.90 
[47191] CANCEL_SET_SELL,TRCadzjH8F,XXQ 
[47204] BUY,TRCadzjH8F,PYM,709.25 
[47358] COMMIT_BUY,TRCadzjH8F 
[47479] QUOTE,TRCadzjH8F,MVY 
[47510] QUOTE,TRCadzjH8F,GTN 
[47774] BUY,TRCadzjH8F,JNO,411.64 
[47785] SET_BUY_TRIGGER,TRCadzjH8F,ZPD,163.30 
[47969] DISPLAY_SUMMARY,TRCadzjH8F 
[48344] SET_SELL_TRIGGER,TRCadzjH8F,XTH,7.87 
[48588] DISPLAY_SUMMARY,TRCadzjH8F 
[48786] QUOTE,TRCadzjH8F,TCP 
[49171] BUY,TRCadzjH8F,FQR,135.00 
[49175] QUOTE,TRCadzjH8F,UDQ 
[49199] SET_SELL_AMOUNT,TRCadzjH8F,JVT,740.67 
[49622] SET_SELL_TRIGGER,TRCadzjH8F,JVT,732.34 
[49635] SET_BUY_TRIGGER,TRCadzjH8F,FOV,158.96 
[49682] CANCEL_SET_SELL,TRCadzjH8F,GDO 
[49833] SET_BUY_TRIGGER,TRCadzjH8F,NFL,198.80 
[49984] ADD,TRCadzjH8F,88521.29 
[49995] BUY,TRCadzjH8F,ZGC,653.23 
[50082] COMMIT_BUY,TRCadzjH8F 
[50141] SET_SELL_TRIGGER,TRCadzjH8F,ZWB,137.67 
[50155] SET_BUY_AMOUNT,TRCadzjH8F,ZYR,123.88 
[50231] SET_BUY_TRIGGER,TRCadzjH8F,SJG,82.08 
[50276] SET_BUY_TRIGGER,TRCadzjH8F,ZWB,181.57 
[50607] DISPLAY_SUMMARY,TRCadzjH8F 
[50711] QUOTE,TRCadzjH8F,XQG 
[50834] SET_SELL_AMOUNT,TRCadzjH8F,CSZ,128.65 
[50950] SET_SELL_TRIGGER,TRCadzjH8F,CSZ,80.12 
[51135] QUOTE,TRCadzjH8F,ECL 
[51210] QUOTE,TRCadzjH8F,XUY 
[51484] BUY,TRCadzjH8F,BTD,603.92 
[51531] COMMIT_BUY,TRCadzjH8F 
[51625] CANCEL_SET_SELL,TRCadzjH8F,QHF 
[51650] SELL,TRCadzjH8F,NHG,379.12 
[51676] COMMIT_SELL,TRCadzjH8F 
[51756] QUOTE,TRCadzjH8F,NRY 
[51804] SELL,TRCadzjH8F,JZJ,179.62 
[52016] CANCEL_SELL,TRCadzjH8F 
[52077] SET_BUY_AMOUNT,TRCadzjH8F,CUZ,380.42 
[52173] SET_BUY_TRIGGER,TRCadzjH8F,XVK,312.43 
[52276] ADD,TRCadzjH8F,68623.31 
[52378] QUOTE,TRCadzjH8F,LSW 
[52379] SET_BUY_TRIGGER,TRCadzjH8F,YIQ,88.42 
[52461] DISPLAY_SUMMARY,TRCadzjH8F 
[52486] COMMIT_SELL,TRCadzjH8F 
[52591] ADD,TRCadzjH8F,45987.92 
[52671] BUY,TRCadzjH8F,GGI,420.85 
[52692] COMMIT_BUY,TRCadzjH8F 
[52699] DISPLAY_SUMMARY,TRCadzjH8F 
[52734] COMMIT_BUY,TRCadzjH8F 
[52843] SET_BUY_AMOUNT,TRCadzjH8F,JZJ,187.12 
[52926] SET_BUY_TRIGGER,TRCadzjH8F,BTD,51.06 
[53099] BUY,TRCadzjH8F,EDV,533.92 
[53130] COMMIT_SELL,TRCadzjH8F 
[53209] ADD,TRCadzjH8F,68420.48 
[53274] BUY,TRCadzjH8F,BRZ,495.77 
[53276] COMMIT_BUY,TRCadzjH8F 
[53435] SET_SELL_TRIGGER,TRCadzjH8F,SYT,19.04 
[53598] SELL,TRCadzjH8F,PTP,528.68 
[53739] CANCEL_SET_SELL,TRCadzjH8F,SZI 
[53855] DISPLAY_SUMMARY,TRCadzjH8F 
[53996] SET_BUY_TRIGGER,TRCadzjH8F,SWJ,170.85 
[54029] SET_BUY_TRIGGER,TRCadzjH8F,MWJ,71.44 
[54149] SET_SELL_AMOUNT,TRCadzjH8F,CSZ,706.25 
[54228] SET_SELL_TRIGGER,TRCadzjH8F,CSZ,368.57 
[54454] BUY,TRCadzjH8F,IPJ,276.66 
[54487] COMMIT_BUY,TRCadzjH8F 
[54838] SET_SELL_TRIGGER,TRCadzjH8F,UDM,125.37 
[55003] SET_SELL_AMOUNT,TRCadzjH8F,NHG,109.04 
[55063] SET_SELL_TRIGGER,TRCadzjH8F,NHG,65.63 
[55066] BUY,TRCadzjH8F,EBS,318.20 
[55284] CANCEL_SET_BUY,TRCadzjH8F,OYX 
[55359] DISPLAY_SUMMARY,TRCadzjH8F 
[55367] QUOTE,TRCadzjH8F,WJS 
[55401] BUY,TRCadzjH8F,LPR,472.82 
[55652] COMMIT_BUY,TRCadzjH8F 
[55654] ADD,TRCadzjH8F,45932.08 
[55705] COMMIT_BUY,TRCadzjH8F 
[55717] DISPLAY_SUMMARY,TRCadzjH8F 
[55972] COMMIT_BUY,TRCadzjH8F 
[55980] SET_SELL_AMOUNT,TRCadzjH8F,JQO,59.26 
[56117] DISPLAY_SUMMARY,TRCadzjH8F 
[56140] SET_BUY_AMOUNT,TRCadzjH8F,DFE,77.51 
[56201] SET_BUY_TRIGGER,TRCadzjH8F,XWZ,39.20 
[56291] ADD,TRCadzjH8F,58509.38 
[56386] QUOTE,TRCadzjH8F,AOU 
[56944] CANCEL_SELL,TRCadzjH8F 
[57189] DISPLAY_SUMMARY,TRCadzjH8F 
[57327] SELL,TRCadzjH8F,LFU,109.12 
[57378] SET_SELL_TRIGGER,TRCadzjH8F,JQO,52.66 
[57415] ADD,TRCadzjH8F,69458.76 
[57430] QUOTE,TRCadzjH8F,QSS 
[57579] ADD,TRCadzjH8F,47913.80 
[57630] BUY,TRCadzjH8F,HSH,589.36 
[57737] COMMIT_BUY,TRCadzjH8F 
[57885] CANCEL_SET_SELL,TRCadzjH8F,XXP 
[57976] SET_BUY_AMOUNT,TRCadzjH8F,SUS,505.70 
[58038] SET_BUY_TRIGGER,TRCadzjH8F,NFV,77.24 
[58207] SET_BUY_AMOUNT,TRCadzjH8F,KES,389.55 
[58213] CANCEL_SET_BUY,TRCadzjH8F,PBV 
[58329] QUOTE,TRCadzjH8F,LQN 
[58419] CANCEL_SET_BUY,TRCadzjH8F,OZW 
[58475] BUY,TRCadzjH8F,NAW,572.22 
[58581] COMMIT_BUY,TRCadzjH8F 
[58774] BUY,TRCadzjH8F,NFV,693.01 
[59009] SET_SELL_AMOUNT,TRCadzjH8F,VTY,588.66 
[59127] SET_SELL_TRIGGER,TRCadzjH8F,VTY,471.77 
[59132] ADD,TRCadzjH8F,75118.45 
[59310] QUOTE,TRCadzjH8F,JXR 
[59350] CANCEL_SET_SELL,TRCadzjH8F,CBV 
[59410] DISPLAY_SUMMARY,TRCadzjH8F 
[59434] COMMIT_BUY,TRCadzjH8F 
[59560] ADD,TRCadzjH8F,76771.89 
[59566] COMMIT_BUY,TRCadzjH8F 
[59710] SET_BUY_TRIGGER,TRCadzjH8F,AUT,45.35 
[59763] SET_SELL_TRIGGER,TRCadzjH8F,ZSV,13.65 
[59788] SET_SELL_AMOUNT,TRCadzjH8F,JRJ,132.50 
[59902] SELL,TRCadzjH8F,VTY,429.51 
[60068] CANCEL_SET_BUY,TRCadzjH8F,NHG 
[60111] DISPLAY_SUMMARY,TRCadzjH8F 
[60257] ADD,TRCadzjH8F,66969.61 
[60331] DISPLAY_SUMMARY,TRCadzjH8F 
[60687] ADD,TRCadzjH8F,73758.20 
[60778] COMMIT_SELL,TRCadzjH8F 
[61377] SET_SELL_AMOUNT,TRCadzjH8F,AVX,467.64 
[61383] SET_SELL_TRIGGER,TRCadzjH8F,AVX,403.19 
[61403] SET_SELL_TRIGGER,TRCadzjH8F,INB,73.54 
[61470] CANCEL_SET_SELL,TRCadzjH8F,DJD 
[61826] SET_BUY_AMOUNT,TRCadzjH8F,SSF,158.84 
[61974] SET_BUY_TRIGGER,TRCadzjH8F,RNE,63.96 
[62031] QUOTE,TRCadzjH8F,QPZ 
[62096] BUY,TRCadzjH8F,GIK,117.84 
[62412] SET_BUY_TRIGGER,TRCadzjH8F,AVX,46.15 
[62530] ADD,TRCadzjH8F,72181.28 
[62559] CANCEL_SET_BUY,TRCadzjH8F,OYS 
[62695] BUY,TRCadzjH8F,TYV,393.34 
[62784] COMMIT_BUY,TRCadzjH8F 
[63066] CANCEL_BUY,TRCadzjH8F 
[63218] SET_BUY_TRIGGER,TRCadzjH8F,MIU,197.52 
[63410] SELL,TRCadzjH8F,SSF,374.92 
[63495] COMMIT_SELL,TRCadzjH8F 
[63669] DISPLAY_SUMMARY,TRCadzjH8F 
[63670] SET_SELL_TRIGGER,TRCadzjH8F,KTU,7.59 
[63911] ADD,TRCadzjH8F,80637.60 
[63959] SELL,TRCadzjH8F,GRM,730.28 
[64054] CANCEL_SET_BUY,TRCadzjH8F,KMV 
[64161] BUY,TRCadzjH8F,YOG,298.62 
[64200] CANCEL_BUY,TRCadzjH8F 
[64209] SELL,TRCadzjH8F,OPN,698.60 
[64271] CANCEL_SET_BUY,TRCadzjH8F,BHJ 
[64476] ADD,TRCadzjH8F,79983.30 
[64498] BUY,TRCadzjH8F,GED,145.69 
[64601] COMMIT_BUY,TRCadzjH8F 
[64673] SELL,TRCadzjH8F,FQP,552.11 
[64678] SET_BUY_TRIGGER,TRCadzjH8F,YRL,177.38 
[64740] ADD,TRCadzjH8F,50621.64 
[64794] BUY,TRCadzjH8F,BMQ,202.99 
[64838] CANCEL_SET_SELL,TRCadzjH8F,HNO 
[65008] ADD,TRCadzjH8F,80873.63 
[65039] BUY,TRCadzjH8F,SYM,399.65 
[65121] COMMIT_BUY,TRCadzjH8F 
[65181] SET_SELL_AMOUNT,TRCadzjH8F,RNK,368.69 
[65264] SET_SELL_TRIGGER,TRCadzjH8F,RNK,292.14 
[65306] ADD,TRCadzjH8F,38386.00 
[65378] QUOTE,TRCadzjH8F,ULL 
[65525] BUY,TRCadzjH8F,WUF,707.61 
[65668] CANCEL_SELL,TRCadzjH8F 
[66027] ADD,TRCadzjH8F,51361.95 
[66121] SELL,TRCadzjH8F,KDA,527.07 
[66145] CANCEL_SET_SELL,TRCadzjH8F,NDO 
[66339] CANCEL_SET_SELL,TRCadzjH8F,GXT 
[66538] ADD,TRCadzjH8F,75645.13 
[66539] QUOTE,TRCadzjH8F,YRL 
[66568] COMMIT_SELL,TRCadzjH8F 
[66775] QUOTE,TRCadzjH8F,WYA 
[66872] BUY,TRCadzjH8F,PMG,743.79 
[66880] COMMIT_SELL,TRCadzjH8F 
[67041] COMMIT_SELL,TRCadzjH8F 
[67055] BUY,TRCadzjH8F,ATW,515.04 
[67324] COMMIT_BUY,TRCadzjH8F 
[67377] ADD,TRCadzjH8F,62216.31 
[67435] QUOTE,TRCadzjH8F,YQC 
[67456] BUY,TRCadzjH8F,ZJG,444.28 
[67478] QUOTE,TRCadzjH8F,OAS 
[67491] SELL,TRCadzjH8F,DFE,584.59 
[67520] QUOTE,TRCadzjH8F,GTB 
[67629] SET_SELL_TRIGGER,TRCadzjH8F,XER,98.67 
[67701] ADD,TRCadzjH8F,59938.38 
[67728] QUOTE,TRCadzjH8F,NQU 
[67776] QUOTE,TRCadzjH8F,RWM 
[67894] SELL,TRCadzjH8F,XQC,21.65 
[68049] COMMIT_SELL,TRCadzjH8F 
[68251] SELL,TRCadzjH8F,DFE,107.24 
[68439] CANCEL_SELL,TRCadzjH8F 
[68488] SET_SELL_TRIGGER,TRCadzjH8F,CVK,8.11 
[68495] SET_BUY_AMOUNT,TRCadzjH8F,JCQ,255.29 
[68560] SET_BUY_TRIGGER,TRCadzjH8F,GUW,13.91 
[68761] SET_BUY_AMOUNT,TRCadzjH8F,BYA,524.86 
[68783] SET_BUY_TRIGGER,TRCadzjH8F,OIY,445.23 
[68947] SET_SELL_AMOUNT,TRCadzjH8F,ZAN,416.46 
[68972] QUOTE,TRCadzjH8F,RVZ 
[69323] BUY,TRCadzjH8F,JUV,416.22 
[69447] COMMIT_BUY,TRCadzjH8F 
[69529] QUOTE,TRCadzjH8F,QNW 
[69579] BUY,TRCadzjH8F,AMI,278.39 
[69690] QUOTE,TRCadzjH8F,NFQ 
[69721] SELL,TRCadzjH8F,XXQ,13.62 
[69758] CANCEL_SET_BUY,TRCadzjH8F,QPX 
[69845] CANCEL_BUY,TRCadzjH8F 
[69863] SELL,TRCadzjH8F,JRJ,378.91 
[69886] CANCEL_SELL,TRCadzjH8F 
[70057] SET_SELL_AMOUNT,TRCadzjH8F,UBJ,34.88 
[70223] SET_SELL_TRIGGER,TRCadzjH8F,UBJ,22.49 
[70321] ADD,TRCadzjH8F,81425.91 
[70400] COMMIT_SELL,TRCadzjH8F 
[70436] SET_BUY_TRIGGER,TRCadzjH8F,OOV,91.48 
[70462] CANCEL_SELL,TRCadzjH8F 
[70729] ADD,TRCadzjH8F,62492.45 
[71120] BUY,TRCadzjH8F,NFQ,491.53 
[71137] COMMIT_BUY,TRCadzjH8F 
[71274] ADD,TRCadzjH8F,63569.66 
[71394] SET_BUY_TRIGGER,TRCadzjH8F,FUR,15.84 
[71449] SELL,TRCadzjH8F,GYF,348.49 
[71515] ADD,TRCadzjH8F,79407.89 
[71719] BUY,TRCadzjH8F,QAA,136.30 
[71766] COMMIT_BUY,TRCadzjH8F 
[71774] ADD,TRCadzjH8F,52755.67 
[71776] SELL,TRCadzjH8F,JQO,25.53 
[71806] CANCEL_SELL,TRCadzjH8F 
[72044] ADD,TRCadzjH8F,62598.19 
[72051] BUY,TRCadzjH8F,OSA,292.45 
[72161] COMMIT_BUY,TRCadzjH8F 
[72458] CANCEL_SET_BUY,TRCadzjH8F,ATE 
[72481] SET_BUY_AMOUNT,TRCadzjH8F,SSF,488.42 
[72518] SET_BUY_TRIGGER,TRCadzjH8F,SYE,288.31 
[72571] ADD,TRCadzjH8F,95035.93 
[72635] QUOTE,TRCadzjH8F,RNK 
[72646] BUY,TRCadzjH8F,YDD,379.89 
[72831] BUY,TRCadzjH8F,AHO,115.38 
[72978] ADD,TRCadzjH8F,88158.66 
[72993] QUOTE,TRCadzjH8F,LSK 
[73131] SET_BUY_TRIGGER,TRCadzjH8F,SOT,76.03 
[73284] SET_SELL_AMOUNT,TRCadzjH8F,ZAN,602.05 
[73326] SET_SELL_TRIGGER,TRCadzjH8F,ZAN,546.90 
[73745] DISPLAY_SUMMARY,TRCadzjH8F 
[74321] QUOTE,TRCadzjH8F,ZRH 
[74363] SET_BUY_AMOUNT,TRCadzjH8F,JRJ,709.69 
[74544] QUOTE,TRCadzjH8F,WNU 
[74578] COMMIT_BUY,TRCadzjH8F 
[74942] CANCEL_SET_SELL,TRCadzjH8F,GPL 
[74971] COMMIT_BUY,TRCadzjH8F 
[75124] ADD,TRCadzjH8F,88413.22 
[75191] SET_BUY_TRIGGER,TRCadzjH8F,XER,205.27 
[75232] DISPLAY_SUMMARY,TRCadzjH8F 
[75364] SELL,TRCadzjH8F,QAX,158.96 
[75424] COMMIT_SELL,TRCadzjH8F 
[75495] SELL,TRCadzjH8F,PTP,536.02 
[75936] COMMIT_SELL,TRCadzjH8F 
[75941] SET_SELL_AMOUNT,TRCadzjH8F,XXQ,565.51 
[75942] SET_SELL_TRIGGER,TRCadzjH8F,XXQ,344.32 
[75955] DISPLAY_SUMMARY,TRCadzjH8F 
[76005] BUY,TRCadzjH8F,MWB,644.86 
[76179] COMMIT_BUY,TRCadzjH8F 
[76393] SET_BUY_TRIGGER,TRCadzjH8F,WTL,33.67 
[76439] SET_SELL_TRIGGER,TRCadzjH8F,GPW,92.30 
[76590] BUY,TRCadzjH8F,SAJ,361.19 
[76758] COMMIT_BUY,TRCadzjH8F 
[76805] SELL,TRCadzjH8F,QGE,584.41 
[76877] COMMIT_SELL,TRCadzjH8F 
[76974] ADD,TRCadzjH8F,61308.93 
[77003] QUOTE,TRCadzjH8F,UGT 
[77038] BUY,TRCadzjH8F,IZS,282.30 
[77130] SET_SELL_AMOUNT,TRCadzjH8F,OPN,170.13 
[77268] CANCEL_SET_SELL,TRCadzjH8F,OPN 
[77530] SET_BUY_AMOUNT,TRCadzjH8F,RNK,92.92 
[77696] SELL,TRCadzjH8F,YDS,250.96 
[77880] CANCEL_SELL,TRCadzjH8F 
[78215] SELL,TRCadzjH8F,KBN,247.17 
[78268] CANCEL_BUY,TRCadzjH8F 
[78271] ADD,TRCadzjH8F,70253.50 
[78412] QUOTE,TRCadzjH8F,CWA 
[78458] SET_BUY_AMOUNT,TRCadzjH8F,DFE,401.80 
[78573] SELL,TRCadzjH8F,BYA,463.43 
[78791] COMMIT_SELL,TRCadzjH8F 
[79074] QUOTE,TRCadzjH8F,WGP 
[79362] COMMIT_BUY,TRCadzjH8F 
[79506] SELL,TRCadzjH8F,TVI,242.70 
[79695] COMMIT_SELL,TRCadzjH8F 
[79730] ADD,TRCadzjH8F,46616.22 
[79831] BUY,TRCadzjH8F,GAN,554.19 
[80125] COMMIT_BUY,TRCadzjH8F 
[80315] DISPLAY_SUMMARY,TRCadzjH8F 
[80432] DISPLAY_SUMMARY,TRCadzjH8F 
[80639] QUOTE,TRCadzjH8F,RQL 
[80747] ADD,TRCadzjH8F,54152.22 
[80956] QUOTE,TRCadzjH8F,JCL 
[81238] SELL,TRCadzjH8F,MXD,216.29 
[81520] COMMIT_SELL,TRCadzjH8F 
[81658] SET_SELL_AMOUNT,TRCadzjH8F,KBN,161.53 
[81662] QUOTE,TRCadzjH8F,XTH 
[81709] QUOTE,TRCadzjH8F,WAI 
[81893] DISPLAY_SUMMARY,TRCadzjH8F 
[81924] BUY,TRCadzjH8F,FTP,272.31 
[81959] COMMIT_BUY,TRCadzjH8F 
[81964] QUOTE,TRCadzjH8F,KAS 
[82108] BUY,TRCadzjH8F,PHZ,358.23 
[82143] CANCEL_SET_SELL,TRCadzjH8F,KBN 
[82237] QUOTE,TRCadzjH8F,MWM 
[82278] QUOTE,TRCadzjH8F,RRT 
[82353] SET_BUY_AMOUNT,TRCadzjH8F,BYA,468.00 
[82400] SET_BUY_TRIGGER,TRCadzjH8F,BFB,331.88 
[82403] SET_BUY_TRIGGER,TRCadzjH8F,NZS,91.97 
[82516] SELL,TRCadzjH8F,XLK,366.81 
[82530] COMMIT_SELL,TRCadzjH8F 
[82557] SET_BUY_AMOUNT,TRCadzjH8F,RNK,306.09 
[82685] SET_BUY_TRIGGER,TRCadzjH8F,FZB,290.02 
[82764] QUOTE,TRCadzjH8F,YDS 
[82780] QUOTE,TRCadzjH8F,BXH 
[82934] ADD,TRCadzjH8F,46524.15 
[83316] COMMIT_SELL,TRCadzjH8F 
[83331] SELL,TRCadzjH8F,LZV,165.68 
[83407] COMMIT_SELL,TRCadzjH8F 
[83546] SELL,TRCadzjH8F,CUZ,278.93 
[83604] COMMIT_SELL,TRCadzjH8F 
[83623] DISPLAY_SUMMARY,TRCadzjH8F 
[83635] CANCEL_SELL,TRCadzjH8F 
[83693] SELL,TRCadzjH8F,LZV,545.91 
[83704] COMMIT_SELL,TRCadzjH8F 
[83981] SELL,TRCadzjH8F,VTY,459.63 
[84054] CANCEL_SET_SELL,TRCadzjH8F,ATE 
[84123] SET_BUY_TRIGGER,TRCadzjH8F,APU,70.86 
[84172] SET_BUY_TRIGGER,TRCadzjH8F,FPV,95.92 
[84286] CANCEL_SET_SELL,TRCadzjH8F,UTL 
[84636] SET_BUY_TRIGGER,TRCadzjH8F,WRN,116.74 
[84749] SET_SELL_TRIGGER,TRCadzjH8F,TSU,1.05 
[84777] SET_BUY_AMOUNT,TRCadzjH8F,DFE,355.90 
[84803] SET_BUY_TRIGGER,TRCadzjH8F,HTN,289.19 
[84825] SET_SELL_TRIGGER,TRCadzjH8F,GAL,189.55 
[84945] SET_SELL_TRIGGER,TRCadzjH8F,ZUV,151.73 
[85037] DISPLAY_SUMMARY,TRCadzjH8F 
[85132] ADD,TRCadzjH8F,86481.28 
[85140] BUY,TRCadzjH8F,YJK,585.14 
[85241] COMMIT_BUY,TRCadzjH8F 
[85314] QUOTE,TRCadzjH8F,KLY 
[85552] COMMIT_SELL,TRCadzjH8F 
[85567] DISPLAY_SUMMARY,TRCadzjH8F 
[85577] CANCEL_SET_SELL,TRCadzjH8F,ZJG 
[85616] BUY,TRCadzjH8F,LLD,725.34 
[85766] COMMIT_BUY,TRCadzjH8F 
[85874] QUOTE,TRCadzjH8F,SSL 
[85922] QUOTE,TRCadzjH8F,IOM 
[86392] SET_SELL_TRIGGER,TRCadzjH8F,OZW,28.74 
[86463] CANCEL_SELL,TRCadzjH8F 
[86590] ADD,TRCadzjH8F,61170.44 
[86597] QUOTE,TRCadzjH8F,PCK 
[86714] QUOTE,TRCadzjH8F,HTN 
[86762] BUY,TRCadzjH8F,RQS,13.58 
[86855] COMMIT_BUY,TRCadzjH8F 
[86987] SET_BUY_AMOUNT,TRCadzjH8F,RGH,647.03 
[87020] SET_BUY_TRIGGER,TRCadzjH8F,FPV,564.29 
[87094] ADD,TRCadzjH8F,80577.76 
[87124] QUOTE,TRCadzjH8F,VKB 
[87129] BUY,TRCadzjH8F,RXO,277.98 
[87419] CANCEL_BUY,TRCadzjH8F 
[87477] SET_BUY_TRIGGER,TRCadzjH8F,WNX,49.97 
[87595] SET_SELL_AMOUNT,TRCadzjH8F,AVX,332.13 
[87870] SET_SELL_TRIGGER,TRCadzjH8F,AVX,113.19 
[88071] QUOTE,TRCadzjH8F,FIC 
[88369] BUY,TRCadzjH8F,JMX,513.46 
[88441] COMMIT_BUY,TRCadzjH8F 
[88445] QUOTE,TRCadzjH8F,YRL 
[88522] QUOTE,TRCadzjH8F,KAS 
[88539] SET_BUY_AMOUNT,TRCadzjH8F,RUN,27.27 
[88629] SET_BUY_TRIGGER,TRCadzjH8F,ENQ,2.66 
[88639] ADD,TRCadzjH8F,63943.08 
[88648] DISPLAY_SUMMARY,TRCadzjH8F 
[88730] BUY,TRCadzjH8F,APY,484.87 
[88899] COMMIT_BUY,TRCadzjH8F 
[89035] ADD,TRCadzjH8F,105235.32 
[89096] QUOTE,TRCadzjH8F,NBX 
[89188] QUOTE,TRCadzjH8F,ALG 
[89370] BUY,TRCadzjH8F,XCL,485.83 
[89454] COMMIT_BUY,TRCadzjH8F 
[89491] DISPLAY_SUMMARY,TRCadzjH8F 
[89511] SET_BUY_AMOUNT,TRCadzjH8F,BCQ,522.11 
[89526] QUOTE,TRCadzjH8F,ECX 
[89650] SET_SELL_AMOUNT,TRCadzjH8F,TVI,487.64 
[89900] SET_SELL_TRIGGER,TRCadzjH8F,TVI,355.08 
[89939] ADD,TRCadzjH8F,59540.03 
[89947] BUY,TRCadzjH8F,SCW,20.17 
[89989] COMMIT_BUY,TRCadzjH8F 
[90004] ADD,TRCadzjH8F,71534.43 
[90065] QUOTE,TRCadzjH8F,EBS 
[90164] BUY,TRCadzjH8F,CTI,528.57 
[90239] COMMIT_BUY,TRCadzjH8F 
[90343] ADD,TRCadzjH8F,77247.84 
[90480] BUY,TRCadzjH8F,MWV,666.84 
[90488] CANCEL_BUY,TRCadzjH8F 
[90503] ADD,TRCadzjH8F,89549.96 
[90572] QUOTE,TRCadzjH8F,JXW 
[90718] BUY,TRCadzjH8F,HYX,552.54 
[90752] SET_BUY_TRIGGER,TRCadzjH8F,XER,397.85 
[90814] SET_BUY_TRIGGER,TRCadzjH8F,WYA,129.94 
[90902] DISPLAY_SUMMARY,TRCadzjH8F 
[90977] ADD,TRCadzjH8F,58393.80 
[91128] BUY,TRCadzjH8F,YJK,556.13 
[91143] CANCEL_SET_SELL,TRCadzjH8F,ZZN 
[91212] BUY,TRCadzjH8F,LLZ,125.20 
[91223] SET_BUY_AMOUNT,TRCadzjH8F,MFX,663.12 
[91315] QUOTE,TRCadzjH8F,MHI 
[91620] QUOTE,TRCadzjH8F,BXH 
[91872] BUY,TRCadzjH8F,SWJ,507.27 
[91953] COMMIT_BUY,TRCadzjH8F 
[92075] BUY,TRCadzjH8F,SBT,523.41 
[92144] COMMIT_BUY,TRCadzjH8F 
[92413] QUOTE,TRCadzjH8F,GZU 
[92456] BUY,TRCadzjH8F,SBT,614.00 
[92628] COMMIT_BUY,TRCadzjH8F 
[92800] BUY,TRCadzjH8F,JJW,178.60 
[92863] SET_BUY_TRIGGER,TRCadzjH8F,IFN,217.03 
[92894] DISPLAY_SUMMARY,TRCadzjH8F 
[92971] SET_BUY_AMOUNT,TRCadzjH8F,TVI,321.89 
[93011] SET_BUY_TRIGGER,TRCadzjH8F,NLP,55.85 
[93162] BUY,TRCadzjH8F,FFZ,609.45 
[93191] COMMIT_BUY,TRCadzjH8F 
[93232] SET_SELL_TRIGGER,TRCadzjH8F,WSG,108.55 
[93432] SET_SELL_AMOUNT,TRCadzjH8F,VTY,48.02 
[93468] SET_SELL_TRIGGER,TRCadzjH8F,VTY,39.46 
[93530] COMMIT_BUY,TRCadzjH8F 
[93573] BUY,TRCadzjH8F,TQX,324.48 
[93626] COMMIT_BUY,TRCadzjH8F 
[93639] SELL,TRCadzjH8F,JZJ,153.47 
[93725] COMMIT_SELL,TRCadzjH8F 
[93993] CANCEL_SET_SELL,TRCadzjH8F,TUO 
[94219] SELL,TRCadzjH8F,ZTI,139.46 
[94280] COMMIT_SELL,TRCadzjH8F 
[94287] QUOTE,TRCadzjH8F,EGX 
[94421] ADD,TRCadzjH8F,55520.78 
[94528] SET_SELL_AMOUNT,TRCadzjH8F,RGH,297.54 
[94588] SET_SELL_TRIGGER,TRCadzjH8F,RGH,91.16 
[94625] DISPLAY_SUMMARY,TRCadzjH8F 
[94718] BUY,TRCadzjH8F,XER,299.70 
[94817] SELL,TRCadzjH8F,MWJ,78.12 
[94843] CANCEL_SET_BUY,TRCadzjH8F,HNW 
[95097] SET_SELL_AMOUNT,TRCadzjH8F,AVX,617.07 
[95308] SET_SELL_TRIGGER,TRCadzjH8F,AVX,380.99 
[95368] SET_SELL_TRIGGER,TRCadzjH8F,UGG,88.99 
[95371] SELL,TRCadzjH8F,CUZ,725.66 
[95425] SET_SELL_TRIGGER,TRCadzjH8F,ECI,113.91 
[95599] QUOTE,TRCadzjH8F,UIE 
[95601] BUY,TRCadzjH8F,GLO,372.32 
[95623] CANCEL_BUY,TRCadzjH8F 
[95645] SET_BUY_AMOUNT,TRCadzjH8F,UIE,428.13 
[95880] SET_BUY_TRIGGER,TRCadzjH8F,YIQ,50.78 
