[174] ADD,FjKEXA3hdZ,66541.76 
[37425] DISPLAY_SUMMARY,FjKEXA3hdZ 
[37597] ADD,FjKEXA3hdZ,65195.73 
[37613] COMMIT_BUY,FjKEXA3hdZ 
[37615] ADD,FjKEXA3hdZ,78496.37 
[37825] BUY,FjKEXA3hdZ,JIC,471.29 
[37839] COMMIT_BUY,FjKEXA3hdZ 
[37844] DISPLAY_SUMMARY,FjKEXA3hdZ 
[37869] ADD,FjKEXA3hdZ,74032.41 
[37916] BUY,FjKEXA3hdZ,YIQ,349.73 
[37924] COMMIT_BUY,FjKEXA3hdZ 
[37976] SET_SELL_AMOUNT,FjKEXA3hdZ,QGE,103.84 
[37986] SET_SELL_TRIGGER,FjKEXA3hdZ,QGE,8.95 
[38292] SET_BUY_TRIGGER,FjKEXA3hdZ,SOA,81.70 
[38395] SET_SELL_TRIGGER,FjKEXA3hdZ,RFC,158.92 
[38511] DISPLAY_SUMMARY,FjKEXA3hdZ 
[38537] DISPLAY_SUMMARY,FjKEXA3hdZ 
[38605] SET_SELL_AMOUNT,FjKEXA3hdZ,GRM,250.27 
[38729] SET_SELL_TRIGGER,FjKEXA3hdZ,GRM,157.01 
[38732] ADD,FjKEXA3hdZ,56783.63 
[38752] BUY,FjKEXA3hdZ,SJZ,208.94 
[38956] SET_SELL_TRIGGER,FjKEXA3hdZ,VTY,9.94 
[38984] QUOTE,FjKEXA3hdZ,XXN 
[39090] SET_BUY_AMOUNT,FjKEXA3hdZ,NHG,695.68 
[39252] SET_BUY_TRIGGER,FjKEXA3hdZ,VNF,29.21 
[39371] DISPLAY_SUMMARY,FjKEXA3hdZ 
[39518] SET_BUY_TRIGGER,FjKEXA3hdZ,ADY,39.04 
[39556] CANCEL_SET_SELL,FjKEXA3hdZ,NGB 
[39671] DISPLAY_SUMMARY,FjKEXA3hdZ 
[39681] ADD,FjKEXA3hdZ,58281.51 
[39776] BUY,FjKEXA3hdZ,KXF,715.46 
[39918] BUY,FjKEXA3hdZ,LHC,594.40 
[39966] COMMIT_BUY,FjKEXA3hdZ 
[40102] ADD,FjKEXA3hdZ,76751.81 
[40308] BUY,FjKEXA3hdZ,ATE,245.43 
[40481] BUY,FjKEXA3hdZ,KCA,604.48 
[40685] BUY,FjKEXA3hdZ,DTG,341.14 
[40987] COMMIT_BUY,FjKEXA3hdZ 
[41248] SELL,FjKEXA3hdZ,FQP,222.43 
[41318] COMMIT_SELL,FjKEXA3hdZ 
[41378] BUY,FjKEXA3hdZ,GFN,259.25 
[41380] COMMIT_BUY,FjKEXA3hdZ 
[41493] ADD,FjKEXA3hdZ,50743.21 
[41614] ADD,FjKEXA3hdZ,68507.10 
[41713] SET_BUY_TRIGGER,FjKEXA3hdZ,RYU,111.39 
[41754] SET_BUY_TRIGGER,FjKEXA3hdZ,FFI,167.66 
[41956] SET_SELL_TRIGGER,FjKEXA3hdZ,YIU,115.12 
[42021] SET_BUY_TRIGGER,FjKEXA3hdZ,MDZ,127.91 
[42048] ADD,FjKEXA3hdZ,71692.43 
[42057] QUOTE,FjKEXA3hdZ,JGF 
[42082] SET_BUY_AMOUNT,FjKEXA3hdZ,RUN,52.88 
[42177] SET_BUY_TRIGGER,FjKEXA3hdZ,FIW,7.51 
[42212] BUY,FjKEXA3hdZ,KLY,251.11 
[42235] COMMIT_BUY,FjKEXA3hdZ 
[42246] BUY,FjKEXA3hdZ,QLM,283.40 
[42304] COMMIT_BUY,FjKEXA3hdZ 
[42545] SET_SELL_AMOUNT,FjKEXA3hdZ,XLK,260.53 
[42602] SET_SELL_TRIGGER,FjKEXA3hdZ,XLK,151.01 
[42664] SET_BUY_TRIGGER,FjKEXA3hdZ,ZQS,153.55 
[43008] ADD,FjKEXA3hdZ,38100.14 
[43238] QUOTE,FjKEXA3hdZ,EHF 
[43308] CANCEL_SET_BUY,FjKEXA3hdZ,XRK 
[43331] SET_SELL_TRIGGER,FjKEXA3hdZ,KGV,117.22 
[43358] SET_BUY_AMOUNT,FjKEXA3hdZ,ZTI,102.99 
[43362] SET_BUY_TRIGGER,FjKEXA3hdZ,JIO,98.60 
[43463] ADD,FjKEXA3hdZ,73989.89 
[43486] COMMIT_BUY,FjKEXA3hdZ 
[43521] ADD,FjKEXA3hdZ,57887.82 
[43600] QUOTE,FjKEXA3hdZ,DBT 
[43706] CANCEL_SET_BUY,FjKEXA3hdZ,NUL 
[43720] SET_BUY_TRIGGER,FjKEXA3hdZ,BMQ,42.48 
[43744] CANCEL_SET_SELL,FjKEXA3hdZ,SKC 
[43771] BUY,FjKEXA3hdZ,MQP,642.38 
[43821] COMMIT_BUY,FjKEXA3hdZ 
[44068] QUOTE,FjKEXA3hdZ,XUH 
[44130] SET_SELL_AMOUNT,FjKEXA3hdZ,NHG,242.84 
[44199] SELL,FjKEXA3hdZ,BCQ,479.98 
[44338] COMMIT_SELL,FjKEXA3hdZ 
[44635] ADD,FjKEXA3hdZ,64891.17 
[44788] QUOTE,FjKEXA3hdZ,EMN 
[45116] ADD,FjKEXA3hdZ,46385.68 
[45126] QUOTE,FjKEXA3hdZ,HZA 
[45179] ADD,FjKEXA3hdZ,82811.48 
[45265] BUY,FjKEXA3hdZ,SYE,662.04 
[45528] CANCEL_BUY,FjKEXA3hdZ 
[45578] SELL,FjKEXA3hdZ,CSZ,518.97 
[45604] CANCEL_SELL,FjKEXA3hdZ 
[45726] QUOTE,FjKEXA3hdZ,CDF 
[45843] QUOTE,FjKEXA3hdZ,WSG 
[45844] CANCEL_SET_BUY,FjKEXA3hdZ,WDJ 
[45921] ADD,FjKEXA3hdZ,60376.73 
[46107] CANCEL_SELL,FjKEXA3hdZ 
[46113] QUOTE,FjKEXA3hdZ,HIN 
[46378] BUY,FjKEXA3hdZ,NVX,740.02 
[46385] SET_SELL_TRIGGER,FjKEXA3hdZ,NHG,17.10 
[46487] DISPLAY_SUMMARY,FjKEXA3hdZ 
[46512] DISPLAY_SUMMARY,FjKEXA3hdZ 
[46540] SET_BUY_TRIGGER,FjKEXA3hdZ,QGE,123.84 
[46587] ADD,FjKEXA3hdZ,93160.74 
[46803] BUY,FjKEXA3hdZ,JXR,4.53 
[46879] CANCEL_BUY,FjKEXA3hdZ 
[46926] SET_SELL_TRIGGER,FjKEXA3hdZ,NFO,141.52 
[46940] DISPLAY_SUMMARY,FjKEXA3hdZ 
[46946] SET_SELL_AMOUNT,FjKEXA3hdZ,PTP,187.07 
[47036] SET_SELL_TRIGGER,FjKEXA3hdZ,PTP,178.29 
[47192] SET_BUY_TRIGGER,FjKEXA3hdZ,GED,169.38 
[47288] BUY,FjKEXA3hdZ,ZNZ,405.42 
[47443] COMMIT_BUY,FjKEXA3hdZ 
[47493] ADD,FjKEXA3hdZ,70305.17 
[47611] CANCEL_SET_SELL,FjKEXA3hdZ,JQJ 
[47689] SET_BUY_TRIGGER,FjKEXA3hdZ,VVO,132.33 
[47864] SELL,FjKEXA3hdZ,RUN,739.18 
[48023] COMMIT_BUY,FjKEXA3hdZ 
[48030] SET_SELL_TRIGGER,FjKEXA3hdZ,OYS,35.12 
[48121] ADD,FjKEXA3hdZ,86193.05 
[48136] QUOTE,FjKEXA3hdZ,SPL 
[48458] BUY,FjKEXA3hdZ,EJW,592.95 
[48461] CANCEL_SET_BUY,FjKEXA3hdZ,YDS 
[48559] ADD,FjKEXA3hdZ,86056.04 
[48620] SET_SELL_AMOUNT,FjKEXA3hdZ,FQP,454.16 
[48794] QUOTE,FjKEXA3hdZ,ZGR 
[48953] CANCEL_SET_SELL,FjKEXA3hdZ,FQP 
[49190] SELL,FjKEXA3hdZ,UTV,168.40 
[49225] COMMIT_BUY,FjKEXA3hdZ 
[49353] SET_BUY_AMOUNT,FjKEXA3hdZ,KES,490.51 
[49458] SET_BUY_TRIGGER,FjKEXA3hdZ,UDQ,171.74 
[49539] SET_SELL_AMOUNT,FjKEXA3hdZ,PTP,448.64 
[49620] SET_SELL_TRIGGER,FjKEXA3hdZ,PTP,114.03 
[49695] QUOTE,FjKEXA3hdZ,NZS 
[49720] ADD,FjKEXA3hdZ,59378.67 
[49767] CANCEL_SET_SELL,FjKEXA3hdZ,LVV 
[49771] ADD,FjKEXA3hdZ,67330.86 
[49782] BUY,FjKEXA3hdZ,WZY,105.35 
[49819] COMMIT_BUY,FjKEXA3hdZ 
[49922] ADD,FjKEXA3hdZ,66729.61 
[49983] QUOTE,FjKEXA3hdZ,DJD 
[50001] QUOTE,FjKEXA3hdZ,LSW 
[50021] SET_BUY_TRIGGER,FjKEXA3hdZ,UTL,31.09 
[50243] QUOTE,FjKEXA3hdZ,VMK 
[50296] SET_BUY_AMOUNT,FjKEXA3hdZ,GYF,621.41 
[50299] BUY,FjKEXA3hdZ,NRY,661.06 
[50363] QUOTE,FjKEXA3hdZ,ISQ 
[50392] CANCEL_SELL,FjKEXA3hdZ 
[50414] SELL,FjKEXA3hdZ,VTY,66.44 
[50628] CANCEL_SET_BUY,FjKEXA3hdZ,VTY 
[50648] DISPLAY_SUMMARY,FjKEXA3hdZ 
[50676] SET_BUY_TRIGGER,FjKEXA3hdZ,WBL,160.60 
[50694] SET_SELL_TRIGGER,FjKEXA3hdZ,LJY,14.90 
[50803] BUY,FjKEXA3hdZ,JUV,47.33 
[50941] COMMIT_SELL,FjKEXA3hdZ 
[51079] ADD,FjKEXA3hdZ,46894.30 
[51096] QUOTE,FjKEXA3hdZ,ZOT 
[51097] SELL,FjKEXA3hdZ,OPN,299.31 
[51107] CANCEL_SELL,FjKEXA3hdZ 
[51147] ADD,FjKEXA3hdZ,100211.00 
[51151] QUOTE,FjKEXA3hdZ,HEJ 
[51154] CANCEL_BUY,FjKEXA3hdZ 
[51469] QUOTE,FjKEXA3hdZ,LSM 
[51492] SELL,FjKEXA3hdZ,SUS,601.55 
[51543] COMMIT_SELL,FjKEXA3hdZ 
[51567] SET_SELL_TRIGGER,FjKEXA3hdZ,OQZ,154.55 
[51679] BUY,FjKEXA3hdZ,PBV,360.64 
[51716] COMMIT_BUY,FjKEXA3hdZ 
[51820] SET_SELL_TRIGGER,FjKEXA3hdZ,DLX,165.47 
[51849] SET_SELL_TRIGGER,FjKEXA3hdZ,CUZ,172.49 
[51950] SELL,FjKEXA3hdZ,MXD,448.76 
[51987] BUY,FjKEXA3hdZ,UDQ,359.16 
[51992] COMMIT_BUY,FjKEXA3hdZ 
[52002] ADD,FjKEXA3hdZ,87676.64 
[52102] BUY,FjKEXA3hdZ,ZPD,421.39 
[52136] SET_SELL_AMOUNT,FjKEXA3hdZ,RGH,526.62 
[52212] SET_SELL_TRIGGER,FjKEXA3hdZ,RGH,167.62 
[52259] SELL,FjKEXA3hdZ,BCQ,166.70 
[52271] CANCEL_SELL,FjKEXA3hdZ 
[52326] SELL,FjKEXA3hdZ,GYF,649.74 
[52377] COMMIT_SELL,FjKEXA3hdZ 
[52585] CANCEL_BUY,FjKEXA3hdZ 
[52634] SET_BUY_TRIGGER,FjKEXA3hdZ,FZB,168.87 
[52693] COMMIT_BUY,FjKEXA3hdZ 
[52719] SET_BUY_TRIGGER,FjKEXA3hdZ,TQX,42.27 
[52777] ADD,FjKEXA3hdZ,43820.79 
[52801] BUY,FjKEXA3hdZ,TSU,515.19 
[53030] COMMIT_BUY,FjKEXA3hdZ 
[53166] ADD,FjKEXA3hdZ,77493.96 
[53194] BUY,FjKEXA3hdZ,MWM,484.69 
[53414] CANCEL_SET_SELL,FjKEXA3hdZ,STO 
[53648] DISPLAY_SUMMARY,FjKEXA3hdZ 
[53769] ADD,FjKEXA3hdZ,50055.58 
[54116] SET_BUY_AMOUNT,FjKEXA3hdZ,JZJ,620.67 
[54147] SELL,FjKEXA3hdZ,UIE,691.53 
[54196] CANCEL_SELL,FjKEXA3hdZ 
[54587] CANCEL_BUY,FjKEXA3hdZ 
[54644] SET_BUY_AMOUNT,FjKEXA3hdZ,ZTI,639.91 
[55092] SET_BUY_TRIGGER,FjKEXA3hdZ,ETJ,442.00 
[55260] SET_SELL_TRIGGER,FjKEXA3hdZ,EAK,43.02 
[55335] SET_SELL_TRIGGER,FjKEXA3hdZ,OBO,126.69 
[55395] DISPLAY_SUMMARY,FjKEXA3hdZ 
[55484] BUY,FjKEXA3hdZ,IGI,475.87 
[55518] CANCEL_BUY,FjKEXA3hdZ 
[55598] CANCEL_BUY,FjKEXA3hdZ 
[55650] SET_BUY_TRIGGER,FjKEXA3hdZ,GDF,152.49 
[55732] SET_SELL_AMOUNT,FjKEXA3hdZ,JVT,164.63 
[55762] SET_SELL_TRIGGER,FjKEXA3hdZ,JVT,96.17 
[55823] ADD,FjKEXA3hdZ,57197.29 
[55836] SET_SELL_AMOUNT,FjKEXA3hdZ,LFU,534.03 
[55861] SET_SELL_TRIGGER,FjKEXA3hdZ,LFU,124.81 
[56182] ADD,FjKEXA3hdZ,90236.10 
[56265] QUOTE,FjKEXA3hdZ,UFX 
[56554] BUY,FjKEXA3hdZ,CWA,100.49 
[56662] COMMIT_SELL,FjKEXA3hdZ 
[56732] ADD,FjKEXA3hdZ,43844.79 
[56756] QUOTE,FjKEXA3hdZ,NDJ 
[56769] BUY,FjKEXA3hdZ,IGI,392.82 
[56942] QUOTE,FjKEXA3hdZ,YWK 
[56950] ADD,FjKEXA3hdZ,76858.93 
[57042] BUY,FjKEXA3hdZ,UTV,373.88 
[57235] CANCEL_BUY,FjKEXA3hdZ 
[57505] CANCEL_SET_SELL,FjKEXA3hdZ,XPX 
[57593] ADD,FjKEXA3hdZ,83360.13 
[57905] CANCEL_BUY,FjKEXA3hdZ 
[58028] QUOTE,FjKEXA3hdZ,QQW 
[58091] QUOTE,FjKEXA3hdZ,TVX 
[58128] SET_BUY_TRIGGER,FjKEXA3hdZ,JJW,33.86 
[58330] QUOTE,FjKEXA3hdZ,JFF 
[58412] BUY,FjKEXA3hdZ,ECX,44.47 
[58413] COMMIT_BUY,FjKEXA3hdZ 
[58762] CANCEL_BUY,FjKEXA3hdZ 
[58802] ADD,FjKEXA3hdZ,60373.12 
[58894] CANCEL_SET_BUY,FjKEXA3hdZ,MSV 
[58932] DISPLAY_SUMMARY,FjKEXA3hdZ 
[59062] DISPLAY_SUMMARY,FjKEXA3hdZ 
[59125] DISPLAY_SUMMARY,FjKEXA3hdZ 
[59165] COMMIT_BUY,FjKEXA3hdZ 
[59230] SET_SELL_TRIGGER,FjKEXA3hdZ,FKI,46.80 
[59256] SET_SELL_AMOUNT,FjKEXA3hdZ,QAX,668.53 
[59300] SET_SELL_TRIGGER,FjKEXA3hdZ,QAX,257.40 
[59355] QUOTE,FjKEXA3hdZ,VYQ 
[59367] ADD,FjKEXA3hdZ,50879.37 
[59556] BUY,FjKEXA3hdZ,BBD,345.84 
[59836] COMMIT_BUY,FjKEXA3hdZ 
[59923] DISPLAY_SUMMARY,FjKEXA3hdZ 
[59952] ADD,FjKEXA3hdZ,72381.58 
[60031] COMMIT_BUY,FjKEXA3hdZ 
[60052] SET_BUY_TRIGGER,FjKEXA3hdZ,QTH,44.04 
[60351] SET_SELL_AMOUNT,FjKEXA3hdZ,QGE,238.48 
[60566] SET_SELL_TRIGGER,FjKEXA3hdZ,QGE,152.35 
[60880] SET_BUY_TRIGGER,FjKEXA3hdZ,GAN,36.20 
[60988] SET_SELL_AMOUNT,FjKEXA3hdZ,AVX,4.64 
[61065] SET_SELL_TRIGGER,FjKEXA3hdZ,AVX,3.71 
[61200] COMMIT_SELL,FjKEXA3hdZ 
[61417] SET_SELL_TRIGGER,FjKEXA3hdZ,KJH,10.21 
[61895] BUY,FjKEXA3hdZ,SKY,627.07 
[61919] CANCEL_SET_BUY,FjKEXA3hdZ,AIN 
[61975] SET_BUY_AMOUNT,FjKEXA3hdZ,CUZ,397.00 
[62100] SET_BUY_TRIGGER,FjKEXA3hdZ,UTL,142.21 
[62162] DISPLAY_SUMMARY,FjKEXA3hdZ 
[62201] SET_BUY_TRIGGER,FjKEXA3hdZ,WYA,0.27 
[62362] SET_BUY_AMOUNT,FjKEXA3hdZ,LFU,198.63 
[62432] SET_BUY_TRIGGER,FjKEXA3hdZ,VEE,120.51 
[62539] SELL,FjKEXA3hdZ,PTP,28.12 
[62735] COMMIT_SELL,FjKEXA3hdZ 
[62923] ADD,FjKEXA3hdZ,74779.41 
[63053] QUOTE,FjKEXA3hdZ,FCH 
[63443] QUOTE,FjKEXA3hdZ,VQA 
[63597] SET_BUY_AMOUNT,FjKEXA3hdZ,KYX,279.47 
[63598] CANCEL_SET_BUY,FjKEXA3hdZ,KDA 
[63855] QUOTE,FjKEXA3hdZ,AEM 
[63916] BUY,FjKEXA3hdZ,PIE,541.68 
[63931] CANCEL_BUY,FjKEXA3hdZ 
[64035] ADD,FjKEXA3hdZ,60562.04 
[64493] SET_BUY_TRIGGER,FjKEXA3hdZ,ZAM,13.01 
[64565] SELL,FjKEXA3hdZ,EBS,308.64 
[64603] DISPLAY_SUMMARY,FjKEXA3hdZ 
[64643] BUY,FjKEXA3hdZ,HMR,545.15 
[64762] ADD,FjKEXA3hdZ,57915.87 
[64768] BUY,FjKEXA3hdZ,WBX,495.16 
[64901] DISPLAY_SUMMARY,FjKEXA3hdZ 
[64966] SET_BUY_AMOUNT,FjKEXA3hdZ,BYA,34.15 
[64988] QUOTE,FjKEXA3hdZ,WDC 
[65243] ADD,FjKEXA3hdZ,59532.64 
[65251] QUOTE,FjKEXA3hdZ,XRK 
[65292] QUOTE,FjKEXA3hdZ,GMF 
[65350] BUY,FjKEXA3hdZ,ZAM,667.19 
[65493] COMMIT_BUY,FjKEXA3hdZ 
[65565] SET_SELL_TRIGGER,FjKEXA3hdZ,IRQ,112.26 
[65597] COMMIT_BUY,FjKEXA3hdZ 
[65744] DISPLAY_SUMMARY,FjKEXA3hdZ 
[65755] SET_BUY_AMOUNT,FjKEXA3hdZ,QVK,714.07 
[65881] SELL,FjKEXA3hdZ,OPN,614.11 
[66003] COMMIT_SELL,FjKEXA3hdZ 
[66197] ADD,FjKEXA3hdZ,37148.75 
[66261] SET_BUY_TRIGGER,FjKEXA3hdZ,DBR,211.31 
[66347] QUOTE,FjKEXA3hdZ,GYF 
[66377] CANCEL_SET_BUY,FjKEXA3hdZ,CLQ 
[66440] ADD,FjKEXA3hdZ,62330.74 
[66499] QUOTE,FjKEXA3hdZ,LJM 
[66512] BUY,FjKEXA3hdZ,OOI,15.89 
[66591] SELL,FjKEXA3hdZ,LZV,208.68 
[66696] COMMIT_SELL,FjKEXA3hdZ 
[66750] BUY,FjKEXA3hdZ,VIG,731.05 
[66768] COMMIT_SELL,FjKEXA3hdZ 
[66781] SET_BUY_TRIGGER,FjKEXA3hdZ,WYD,15.85 
[66804] SET_BUY_TRIGGER,FjKEXA3hdZ,XUH,27.89 
[66827] QUOTE,FjKEXA3hdZ,TZJ 
[66934] ADD,FjKEXA3hdZ,72653.84 
[66957] QUOTE,FjKEXA3hdZ,MVD 
[66968] DISPLAY_SUMMARY,FjKEXA3hdZ 
[67032] SELL,FjKEXA3hdZ,UBJ,498.23 
[67193] COMMIT_SELL,FjKEXA3hdZ 
[67239] SET_SELL_TRIGGER,FjKEXA3hdZ,XXP,102.84 
[67510] ADD,FjKEXA3hdZ,65810.53 
[67541] BUY,FjKEXA3hdZ,VNN,433.47 
[67553] CANCEL_SET_BUY,FjKEXA3hdZ,YWC 
[67570] BUY,FjKEXA3hdZ,AXK,324.18 
[67573] CANCEL_SET_BUY,FjKEXA3hdZ,HTD 
[67638] ADD,FjKEXA3hdZ,61733.70 
[67888] BUY,FjKEXA3hdZ,CBK,75.56 
[67915] COMMIT_BUY,FjKEXA3hdZ 
[68047] SET_BUY_AMOUNT,FjKEXA3hdZ,YDS,439.86 
[68166] SET_BUY_TRIGGER,FjKEXA3hdZ,MFY,334.94 
[68268] SELL,FjKEXA3hdZ,QAX,724.18 
[68318] COMMIT_SELL,FjKEXA3hdZ 
[68725] SELL,FjKEXA3hdZ,AVX,138.58 
[68974] COMMIT_SELL,FjKEXA3hdZ 
[69020] BUY,FjKEXA3hdZ,XMA,418.21 
[69485] SELL,FjKEXA3hdZ,CEC,640.82 
[69573] CANCEL_SELL,FjKEXA3hdZ 
[69591] SET_BUY_AMOUNT,FjKEXA3hdZ,OEY,697.79 
[69678] SET_BUY_TRIGGER,FjKEXA3hdZ,IVV,607.71 
[69707] BUY,FjKEXA3hdZ,EBS,89.09 
[69727] COMMIT_BUY,FjKEXA3hdZ 
[69911] SELL,FjKEXA3hdZ,ZTI,435.70 
[69941] COMMIT_SELL,FjKEXA3hdZ 
[69989] ADD,FjKEXA3hdZ,84414.84 
[70000] BUY,FjKEXA3hdZ,KAO,454.12 
[70050] COMMIT_BUY,FjKEXA3hdZ 
[70077] ADD,FjKEXA3hdZ,45214.38 
[70095] SET_SELL_AMOUNT,FjKEXA3hdZ,VTY,391.75 
[70138] SET_SELL_TRIGGER,FjKEXA3hdZ,VTY,209.68 
[70163] DISPLAY_SUMMARY,FjKEXA3hdZ 
[70497] SET_SELL_TRIGGER,FjKEXA3hdZ,LMO,183.76 
[70500] DISPLAY_SUMMARY,FjKEXA3hdZ 
[70565] CANCEL_SELL,FjKEXA3hdZ 
[70814] ADD,FjKEXA3hdZ,41436.61 
[70857] BUY,FjKEXA3hdZ,WAO,680.67 
[71084] SET_SELL_AMOUNT,FjKEXA3hdZ,JQO,339.52 
[71133] SET_SELL_TRIGGER,FjKEXA3hdZ,JQO,3.34 
[71153] SELL,FjKEXA3hdZ,MXD,484.93 
[71196] SET_BUY_TRIGGER,FjKEXA3hdZ,ZWC,153.11 
[71257] ADD,FjKEXA3hdZ,68620.47 
[71288] BUY,FjKEXA3hdZ,ZOZ,260.22 
[71456] SET_BUY_TRIGGER,FjKEXA3hdZ,VUS,86.78 
[71504] ADD,FjKEXA3hdZ,66196.96 
[71784] BUY,FjKEXA3hdZ,CNN,425.45 
[71928] QUOTE,FjKEXA3hdZ,WTD 
[72164] ADD,FjKEXA3hdZ,73660.82 
[72189] BUY,FjKEXA3hdZ,WGP,222.20 
[72190] COMMIT_BUY,FjKEXA3hdZ 
[72229] ADD,FjKEXA3hdZ,65155.06 
[72259] QUOTE,FjKEXA3hdZ,WDC 
[72328] SET_BUY_AMOUNT,FjKEXA3hdZ,CEC,695.39 
[72514] SET_BUY_TRIGGER,FjKEXA3hdZ,KJD,69.46 
[72599] SET_SELL_TRIGGER,FjKEXA3hdZ,FRB,88.39 
[72669] ADD,FjKEXA3hdZ,90064.04 
[72770] QUOTE,FjKEXA3hdZ,UHO 
[72806] ADD,FjKEXA3hdZ,54787.43 
[73006] BUY,FjKEXA3hdZ,XQG,343.50 
[73074] COMMIT_SELL,FjKEXA3hdZ 
[73210] CANCEL_SELL,FjKEXA3hdZ 
[73248] BUY,FjKEXA3hdZ,GTN,290.93 
[73366] SET_SELL_AMOUNT,FjKEXA3hdZ,LZV,501.59 
[73526] BUY,FjKEXA3hdZ,HZE,265.79 
[73878] COMMIT_BUY,FjKEXA3hdZ 
[73910] DISPLAY_SUMMARY,FjKEXA3hdZ 
[73937] SELL,FjKEXA3hdZ,QGE,637.12 
[73953] COMMIT_BUY,FjKEXA3hdZ 
[73966] ADD,FjKEXA3hdZ,72545.55 
[74228] QUOTE,FjKEXA3hdZ,OEN 
[74263] QUOTE,FjKEXA3hdZ,MIY 
[74352] QUOTE,FjKEXA3hdZ,CTT 
[74379] ADD,FjKEXA3hdZ,31302.36 
[74788] BUY,FjKEXA3hdZ,AEM,671.69 
[74883] COMMIT_BUY,FjKEXA3hdZ 
[74890] SELL,FjKEXA3hdZ,JZJ,159.45 
[74936] COMMIT_SELL,FjKEXA3hdZ 
[75092] SET_SELL_TRIGGER,FjKEXA3hdZ,LZV,405.04 
[75120] DISPLAY_SUMMARY,FjKEXA3hdZ 
[75131] SET_BUY_AMOUNT,FjKEXA3hdZ,DFE,622.78 
[75180] SET_BUY_TRIGGER,FjKEXA3hdZ,DVA,274.22 
[75274] ADD,FjKEXA3hdZ,88803.74 
[75415] BUY,FjKEXA3hdZ,GTN,440.37 
[75490] COMMIT_BUY,FjKEXA3hdZ 
[75609] ADD,FjKEXA3hdZ,76651.54 
[75617] QUOTE,FjKEXA3hdZ,AVI 
[75755] SET_BUY_AMOUNT,FjKEXA3hdZ,CBO,116.52 
[75824] SET_BUY_TRIGGER,FjKEXA3hdZ,FDI,18.60 
[75887] QUOTE,FjKEXA3hdZ,BOS 
[75910] BUY,FjKEXA3hdZ,GMS,54.52 
[76111] CANCEL_SET_BUY,FjKEXA3hdZ,IZS 
[76201] DISPLAY_SUMMARY,FjKEXA3hdZ 
[76266] DISPLAY_SUMMARY,FjKEXA3hdZ 
[76448] QUOTE,FjKEXA3hdZ,OYW 
[76485] BUY,FjKEXA3hdZ,QID,489.95 
[76600] CANCEL_BUY,FjKEXA3hdZ 
[76785] QUOTE,FjKEXA3hdZ,QPZ 
[77133] BUY,FjKEXA3hdZ,FGF,746.14 
[77515] COMMIT_SELL,FjKEXA3hdZ 
[77532] QUOTE,FjKEXA3hdZ,VJB 
[77628] BUY,FjKEXA3hdZ,OYS,516.81 
[77654] COMMIT_BUY,FjKEXA3hdZ 
[77756] ADD,FjKEXA3hdZ,50883.34 
[77787] BUY,FjKEXA3hdZ,OHS,192.02 
[77808] COMMIT_BUY,FjKEXA3hdZ 
[78016] SELL,FjKEXA3hdZ,KDA,646.72 
[78119] COMMIT_SELL,FjKEXA3hdZ 
[78123] SELL,FjKEXA3hdZ,PTP,65.76 
[78151] COMMIT_SELL,FjKEXA3hdZ 
[78362] SET_BUY_AMOUNT,FjKEXA3hdZ,GYF,610.04 
[78478] SELL,FjKEXA3hdZ,QAX,477.32 
[78483] QUOTE,FjKEXA3hdZ,IFN 
[78690] BUY,FjKEXA3hdZ,RFI,726.55 
[78754] SET_SELL_AMOUNT,FjKEXA3hdZ,KES,716.83 
[78909] SET_SELL_TRIGGER,FjKEXA3hdZ,KES,190.61 
[78920] SET_SELL_AMOUNT,FjKEXA3hdZ,LZV,502.13 
[78982] SET_SELL_TRIGGER,FjKEXA3hdZ,LZV,415.32 
[79001] QUOTE,FjKEXA3hdZ,IZJ 
[79011] SET_SELL_TRIGGER,FjKEXA3hdZ,YTT,72.75 
[79040] ADD,FjKEXA3hdZ,84365.21 
[79056] BUY,FjKEXA3hdZ,JVE,13.90 
[79217] COMMIT_BUY,FjKEXA3hdZ 
[79301] COMMIT_BUY,FjKEXA3hdZ 
[79325] SET_SELL_AMOUNT,FjKEXA3hdZ,HFS,526.78 
[79617] BUY,FjKEXA3hdZ,FUF,229.61 
[79748] DISPLAY_SUMMARY,FjKEXA3hdZ 
[79822] ADD,FjKEXA3hdZ,81388.20 
[79830] QUOTE,FjKEXA3hdZ,ALG 
[80026] BUY,FjKEXA3hdZ,FUR,176.79 
[80098] CANCEL_SET_BUY,FjKEXA3hdZ,PHJ 
[80377] ADD,FjKEXA3hdZ,63061.17 
[80464] QUOTE,FjKEXA3hdZ,JZJ 
[80534] SET_BUY_TRIGGER,FjKEXA3hdZ,LRS,0.10 
[80611] BUY,FjKEXA3hdZ,BSZ,530.58 
[80736] SELL,FjKEXA3hdZ,UTV,695.72 
[80896] CANCEL_SET_SELL,FjKEXA3hdZ,HFS 
[81147] ADD,FjKEXA3hdZ,58491.20 
[81486] BUY,FjKEXA3hdZ,GLO,273.36 
[81795] SET_BUY_AMOUNT,FjKEXA3hdZ,OPN,696.98 
[81932] BUY,FjKEXA3hdZ,PHU,294.04 
[82104] COMMIT_BUY,FjKEXA3hdZ 
[82106] DISPLAY_SUMMARY,FjKEXA3hdZ 
[82156] SET_BUY_AMOUNT,FjKEXA3hdZ,BCQ,230.84 
[82227] SET_BUY_TRIGGER,FjKEXA3hdZ,RGM,102.73 
