[137] ADD,hPnf9OsmbW,69908.07 
[45701] SET_BUY_AMOUNT,hPnf9OsmbW,NHG,279.41 
[45782] SET_BUY_TRIGGER,hPnf9OsmbW,GAL,45.26 
[45934] ADD,hPnf9OsmbW,98183.68 
[46238] QUOTE,hPnf9OsmbW,BEG 
[46278] SET_BUY_AMOUNT,hPnf9OsmbW,CSZ,103.64 
[46323] SELL,hPnf9OsmbW,YJK,34.19 
[46360] COMMIT_SELL,hPnf9OsmbW 
[46444] ADD,hPnf9OsmbW,67389.93 
[46451] QUOTE,hPnf9OsmbW,QHF 
[46471] BUY,hPnf9OsmbW,AIN,2.66 
[46656] COMMIT_SELL,hPnf9OsmbW 
[46721] ADD,hPnf9OsmbW,54234.81 
[46799] BUY,hPnf9OsmbW,TKG,244.26 
[46852] COMMIT_BUY,hPnf9OsmbW 
[46864] DISPLAY_SUMMARY,hPnf9OsmbW 
[46984] ADD,hPnf9OsmbW,82668.16 
[47187] COMMIT_SELL,hPnf9OsmbW 
[47272] ADD,hPnf9OsmbW,71743.06 
[47570] QUOTE,hPnf9OsmbW,XQC 
[47649] BUY,hPnf9OsmbW,UDQ,349.89 
[47746] CANCEL_SET_SELL,hPnf9OsmbW,TJL 
[47868] SELL,hPnf9OsmbW,JQO,480.12 
[48297] COMMIT_SELL,hPnf9OsmbW 
[48558] ADD,hPnf9OsmbW,47754.20 
[48743] BUY,hPnf9OsmbW,UBJ,27.04 
[48781] COMMIT_BUY,hPnf9OsmbW 
[48963] DISPLAY_SUMMARY,hPnf9OsmbW 
[49042] CANCEL_SET_BUY,hPnf9OsmbW,PDX 
[49078] SET_SELL_AMOUNT,hPnf9OsmbW,QAX,171.60 
[49139] SET_SELL_TRIGGER,hPnf9OsmbW,QAX,64.41 
[49211] BUY,hPnf9OsmbW,QEO,502.07 
[49228] COMMIT_BUY,hPnf9OsmbW 
[49434] QUOTE,hPnf9OsmbW,FLY 
[49441] QUOTE,hPnf9OsmbW,NQU 
[49550] QUOTE,hPnf9OsmbW,UIE 
[49599] ADD,hPnf9OsmbW,75736.64 
[49651] BUY,hPnf9OsmbW,NVX,693.83 
[49727] COMMIT_BUY,hPnf9OsmbW 
[49857] SET_BUY_TRIGGER,hPnf9OsmbW,AVH,160.63 
[49918] SET_BUY_AMOUNT,hPnf9OsmbW,FDI,289.55 
[49978] SET_BUY_TRIGGER,hPnf9OsmbW,SEI,68.37 
[50038] DISPLAY_SUMMARY,hPnf9OsmbW 
[50060] DISPLAY_SUMMARY,hPnf9OsmbW 
[50121] BUY,hPnf9OsmbW,EDW,120.97 
[50131] CANCEL_SET_BUY,hPnf9OsmbW,TKM 
[50180] QUOTE,hPnf9OsmbW,JQO 
[50365] SET_BUY_AMOUNT,hPnf9OsmbW,QGE,464.38 
[50453] CANCEL_SET_BUY,hPnf9OsmbW,NTT 
[50493] SET_BUY_TRIGGER,hPnf9OsmbW,CTS,68.63 
[50533] SET_SELL_TRIGGER,hPnf9OsmbW,GCL,110.37 
[50570] QUOTE,hPnf9OsmbW,YBP 
[50615] SET_BUY_TRIGGER,hPnf9OsmbW,QVA,186.16 
[50703] DISPLAY_SUMMARY,hPnf9OsmbW 
[50783] BUY,hPnf9OsmbW,WCY,556.54 
[50914] CANCEL_BUY,hPnf9OsmbW 
[50982] SELL,hPnf9OsmbW,KES,116.87 
[50996] SELL,hPnf9OsmbW,PTP,240.87 
[51112] SELL,hPnf9OsmbW,YJK,147.75 
[51258] COMMIT_SELL,hPnf9OsmbW 
[51349] ADD,hPnf9OsmbW,71016.16 
[51401] BUY,hPnf9OsmbW,SWJ,407.12 
[51444] COMMIT_BUY,hPnf9OsmbW 
[51586] SET_SELL_TRIGGER,hPnf9OsmbW,DGA,21.04 
[51782] SELL,hPnf9OsmbW,KDA,7.84 
[51949] CANCEL_SELL,hPnf9OsmbW 
[52041] SET_BUY_TRIGGER,hPnf9OsmbW,YZH,161.08 
[52134] DISPLAY_SUMMARY,hPnf9OsmbW 
[52144] DISPLAY_SUMMARY,hPnf9OsmbW 
[52164] SET_SELL_AMOUNT,hPnf9OsmbW,OEY,639.01 
[52245] SET_SELL_TRIGGER,hPnf9OsmbW,OEY,506.91 
[52342] BUY,hPnf9OsmbW,RFI,274.37 
[52493] COMMIT_BUY,hPnf9OsmbW 
[52551] DISPLAY_SUMMARY,hPnf9OsmbW 
[52593] SET_BUY_TRIGGER,hPnf9OsmbW,WTD,75.16 
[52611] SET_BUY_AMOUNT,hPnf9OsmbW,NHG,375.02 
[52621] SELL,hPnf9OsmbW,CEC,718.40 
[52678] COMMIT_SELL,hPnf9OsmbW 
[52810] SELL,hPnf9OsmbW,JZJ,445.51 
[52861] COMMIT_SELL,hPnf9OsmbW 
[53043] QUOTE,hPnf9OsmbW,BEG 
[53069] COMMIT_BUY,hPnf9OsmbW 
[53084] BUY,hPnf9OsmbW,KHD,295.89 
[53129] SET_BUY_AMOUNT,hPnf9OsmbW,UIE,74.41 
[53205] SET_BUY_TRIGGER,hPnf9OsmbW,UIE,12.37 
[53324] DISPLAY_SUMMARY,hPnf9OsmbW 
[53434] QUOTE,hPnf9OsmbW,QNK 
[53560] BUY,hPnf9OsmbW,LJZ,49.36 
[53612] COMMIT_BUY,hPnf9OsmbW 
[53615] COMMIT_BUY,hPnf9OsmbW 
[53616] BUY,hPnf9OsmbW,EGX,49.09 
[53762] CANCEL_BUY,hPnf9OsmbW 
[54125] ADD,hPnf9OsmbW,97212.73 
[54191] BUY,hPnf9OsmbW,YPL,36.88 
[54276] COMMIT_BUY,hPnf9OsmbW 
[54305] ADD,hPnf9OsmbW,52486.32 
[54387] QUOTE,hPnf9OsmbW,OEM 
[54395] BUY,hPnf9OsmbW,MVD,667.82 
[54572] COMMIT_BUY,hPnf9OsmbW 
[54861] CANCEL_SELL,hPnf9OsmbW 
[55042] SET_BUY_AMOUNT,hPnf9OsmbW,GRM,313.56 
[55046] SET_BUY_TRIGGER,hPnf9OsmbW,OSC,171.27 
[55084] BUY,hPnf9OsmbW,SKY,738.43 
[55127] BUY,hPnf9OsmbW,JSM,625.42 
[55132] CANCEL_SET_BUY,hPnf9OsmbW,GNY 
[55156] ADD,hPnf9OsmbW,67989.68 
[55188] QUOTE,hPnf9OsmbW,PUN 
[55238] SET_SELL_TRIGGER,hPnf9OsmbW,VOU,141.16 
[55250] SET_SELL_TRIGGER,hPnf9OsmbW,SFO,179.33 
[55267] DISPLAY_SUMMARY,hPnf9OsmbW 
[55496] QUOTE,hPnf9OsmbW,JGF 
[55515] SELL,hPnf9OsmbW,KBN,202.93 
[55523] SET_BUY_TRIGGER,hPnf9OsmbW,MAX,179.87 
[55760] SELL,hPnf9OsmbW,GYF,301.39 
[55818] SET_BUY_AMOUNT,hPnf9OsmbW,JVT,471.47 
[55821] SET_BUY_TRIGGER,hPnf9OsmbW,JIO,32.71 
[55937] SET_SELL_AMOUNT,hPnf9OsmbW,GRM,517.47 
[56036] SET_SELL_TRIGGER,hPnf9OsmbW,GRM,445.32 
[56043] QUOTE,hPnf9OsmbW,RNK 
[56062] COMMIT_BUY,hPnf9OsmbW 
[56086] SET_BUY_AMOUNT,hPnf9OsmbW,KYX,569.57 
[56089] SET_BUY_TRIGGER,hPnf9OsmbW,DES,344.84 
[56171] SET_BUY_TRIGGER,hPnf9OsmbW,GPC,181.08 
[56272] SET_SELL_AMOUNT,hPnf9OsmbW,FDI,554.93 
[56530] SET_SELL_TRIGGER,hPnf9OsmbW,FDI,150.03 
[56619] BUY,hPnf9OsmbW,UEC,72.26 
[56724] CANCEL_SET_SELL,hPnf9OsmbW,PCR 
[56779] CANCEL_SET_BUY,hPnf9OsmbW,RUN 
[56789] SET_SELL_AMOUNT,hPnf9OsmbW,IFN,738.02 
[56851] SET_SELL_TRIGGER,hPnf9OsmbW,IFN,120.68 
[56902] SET_SELL_AMOUNT,hPnf9OsmbW,RUN,23.47 
[57047] SET_SELL_TRIGGER,hPnf9OsmbW,RUN,4.47 
[57082] BUY,hPnf9OsmbW,LKV,645.75 
[57092] COMMIT_BUY,hPnf9OsmbW 
[57094] ADD,hPnf9OsmbW,70405.90 
[57128] BUY,hPnf9OsmbW,RXB,507.08 
[57255] COMMIT_BUY,hPnf9OsmbW 
[57404] ADD,hPnf9OsmbW,79732.84 
[57471] CANCEL_SET_SELL,hPnf9OsmbW,PNP 
[57845] SET_BUY_TRIGGER,hPnf9OsmbW,VKB,14.10 
[57855] DISPLAY_SUMMARY,hPnf9OsmbW 
[57954] SET_BUY_TRIGGER,hPnf9OsmbW,FLD,94.96 
[58070] QUOTE,hPnf9OsmbW,TTY 
[58141] ADD,hPnf9OsmbW,62375.51 
[58306] QUOTE,hPnf9OsmbW,ZCO 
[58347] ADD,hPnf9OsmbW,75861.62 
[58357] QUOTE,hPnf9OsmbW,GIX 
[58401] SET_BUY_AMOUNT,hPnf9OsmbW,LZV,119.47 
[58478] SET_BUY_TRIGGER,hPnf9OsmbW,VJB,98.51 
[58569] ADD,hPnf9OsmbW,79841.06 
[58618] QUOTE,hPnf9OsmbW,TOZ 
[58628] BUY,hPnf9OsmbW,SDW,672.04 
[58632] DISPLAY_SUMMARY,hPnf9OsmbW 
[58917] DISPLAY_SUMMARY,hPnf9OsmbW 
[58953] CANCEL_SET_BUY,hPnf9OsmbW,ZTR 
[58969] SELL,hPnf9OsmbW,RGH,369.81 
[59220] ADD,hPnf9OsmbW,67305.91 
[59238] BUY,hPnf9OsmbW,WHR,329.96 
[59245] COMMIT_BUY,hPnf9OsmbW 
[59349] SET_SELL_TRIGGER,hPnf9OsmbW,YXK,60.11 
[59385] BUY,hPnf9OsmbW,XXP,622.48 
[59784] CANCEL_BUY,hPnf9OsmbW 
[59785] SELL,hPnf9OsmbW,UTV,630.73 
[59837] COMMIT_SELL,hPnf9OsmbW 
[60162] ADD,hPnf9OsmbW,63178.73 
[60303] BUY,hPnf9OsmbW,OYX,451.59 
[60451] COMMIT_BUY,hPnf9OsmbW 
[60998] CANCEL_SELL,hPnf9OsmbW 
[61008] SET_BUY_AMOUNT,hPnf9OsmbW,JCQ,714.90 
[61057] SET_BUY_TRIGGER,hPnf9OsmbW,UEC,511.38 
[61156] BUY,hPnf9OsmbW,AQO,456.02 
[61347] COMMIT_BUY,hPnf9OsmbW 
[61480] CANCEL_SELL,hPnf9OsmbW 
[61552] DISPLAY_SUMMARY,hPnf9OsmbW 
[61561] DISPLAY_SUMMARY,hPnf9OsmbW 
[61565] SELL,hPnf9OsmbW,NHG,586.30 
[61888] COMMIT_SELL,hPnf9OsmbW 
[61929] SELL,hPnf9OsmbW,ZAN,697.40 
[62261] COMMIT_SELL,hPnf9OsmbW 
[62330] SET_BUY_TRIGGER,hPnf9OsmbW,YIU,155.92 
[62483] DISPLAY_SUMMARY,hPnf9OsmbW 
[62773] SET_BUY_AMOUNT,hPnf9OsmbW,RUN,716.96 
[63019] SET_BUY_TRIGGER,hPnf9OsmbW,GJQ,394.21 
[63224] ADD,hPnf9OsmbW,74203.96 
[63286] BUY,hPnf9OsmbW,LAM,453.19 
[63292] BUY,hPnf9OsmbW,DMW,599.20 
[63528] COMMIT_BUY,hPnf9OsmbW 
[63537] SELL,hPnf9OsmbW,TVI,308.04 
[63803] CANCEL_SELL,hPnf9OsmbW 
[64022] DISPLAY_SUMMARY,hPnf9OsmbW 
[64107] BUY,hPnf9OsmbW,KIP,239.75 
[64145] COMMIT_SELL,hPnf9OsmbW 
[64435] ADD,hPnf9OsmbW,52248.88 
[64521] QUOTE,hPnf9OsmbW,WNH 
[64545] QUOTE,hPnf9OsmbW,HBF 
[64598] ADD,hPnf9OsmbW,77539.87 
[64652] BUY,hPnf9OsmbW,GHE,146.72 
[64690] CANCEL_SELL,hPnf9OsmbW 
[64788] ADD,hPnf9OsmbW,57387.44 
[64890] BUY,hPnf9OsmbW,SYM,635.41 
[64937] CANCEL_BUY,hPnf9OsmbW 
[65213] ADD,hPnf9OsmbW,65502.50 
[65256] QUOTE,hPnf9OsmbW,BWR 
[65283] SET_BUY_AMOUNT,hPnf9OsmbW,OEY,165.74 
[65396] SET_BUY_TRIGGER,hPnf9OsmbW,DPG,15.29 
[65512] SET_SELL_AMOUNT,hPnf9OsmbW,ZYR,275.20 
[65632] SET_SELL_TRIGGER,hPnf9OsmbW,ZYR,141.29 
[65776] SET_SELL_TRIGGER,hPnf9OsmbW,GGY,189.08 
[65813] CANCEL_BUY,hPnf9OsmbW 
[65950] SET_SELL_TRIGGER,hPnf9OsmbW,MUN,34.69 
[65966] DISPLAY_SUMMARY,hPnf9OsmbW 
[66036] BUY,hPnf9OsmbW,SKY,371.26 
[66093] COMMIT_BUY,hPnf9OsmbW 
[66169] CANCEL_SET_BUY,hPnf9OsmbW,LUD 
[66191] SET_BUY_TRIGGER,hPnf9OsmbW,UJC,80.10 
[66291] DISPLAY_SUMMARY,hPnf9OsmbW 
[66307] ADD,hPnf9OsmbW,63590.06 
[66323] BUY,hPnf9OsmbW,CTI,481.37 
[66361] CANCEL_SET_SELL,hPnf9OsmbW,CTI 
[66405] SET_SELL_TRIGGER,hPnf9OsmbW,YOQ,122.24 
[67071] ADD,hPnf9OsmbW,86375.47 
[67118] QUOTE,hPnf9OsmbW,UUJ 
[67141] ADD,hPnf9OsmbW,82279.72 
[67262] SELL,hPnf9OsmbW,CEC,361.72 
[67278] COMMIT_SELL,hPnf9OsmbW 
[67279] QUOTE,hPnf9OsmbW,CVK 
[67306] QUOTE,hPnf9OsmbW,NSN 
[67591] ADD,hPnf9OsmbW,82727.90 
[67697] QUOTE,hPnf9OsmbW,MMF 
[67869] COMMIT_SELL,hPnf9OsmbW 
[67958] SET_BUY_AMOUNT,hPnf9OsmbW,FQP,480.24 
[68048] SET_BUY_TRIGGER,hPnf9OsmbW,VNF,109.81 
[68365] SELL,hPnf9OsmbW,JRJ,505.56 
[68380] COMMIT_SELL,hPnf9OsmbW 
[68526] ADD,hPnf9OsmbW,89695.70 
[68915] QUOTE,hPnf9OsmbW,YNY 
[68985] CANCEL_BUY,hPnf9OsmbW 
[69115] SET_SELL_AMOUNT,hPnf9OsmbW,JQO,336.36 
[69238] SET_SELL_TRIGGER,hPnf9OsmbW,JQO,249.74 
[69241] DISPLAY_SUMMARY,hPnf9OsmbW 
[69347] SET_SELL_TRIGGER,hPnf9OsmbW,IRQ,5.45 
[69478] SET_SELL_TRIGGER,hPnf9OsmbW,DDA,4.93 
[69728] CANCEL_SELL,hPnf9OsmbW 
[69747] DISPLAY_SUMMARY,hPnf9OsmbW 
[69820] BUY,hPnf9OsmbW,JQJ,127.62 
[69996] COMMIT_BUY,hPnf9OsmbW 
[70031] SET_SELL_TRIGGER,hPnf9OsmbW,ZWB,80.31 
[70080] QUOTE,hPnf9OsmbW,WHR 
[70133] BUY,hPnf9OsmbW,JQJ,529.06 
[70268] CANCEL_SELL,hPnf9OsmbW 
[70391] DISPLAY_SUMMARY,hPnf9OsmbW 
[70417] SET_BUY_AMOUNT,hPnf9OsmbW,QJZ,352.17 
[70448] SET_BUY_TRIGGER,hPnf9OsmbW,IDX,112.85 
[70551] SET_SELL_TRIGGER,hPnf9OsmbW,ZJQ,96.58 
[70557] SET_BUY_TRIGGER,hPnf9OsmbW,YMG,120.56 
[70667] BUY,hPnf9OsmbW,LKV,418.83 
[70677] COMMIT_BUY,hPnf9OsmbW 
[70766] ADD,hPnf9OsmbW,74829.48 
[70789] QUOTE,hPnf9OsmbW,VVO 
[71050] SELL,hPnf9OsmbW,QAX,94.88 
[71197] CANCEL_SELL,hPnf9OsmbW 
[71278] ADD,hPnf9OsmbW,64374.40 
[71382] QUOTE,hPnf9OsmbW,UBJ 
[71399] DISPLAY_SUMMARY,hPnf9OsmbW 
[71587] QUOTE,hPnf9OsmbW,VBO 
[71780] CANCEL_SET_BUY,hPnf9OsmbW,WRJ 
[71829] QUOTE,hPnf9OsmbW,PHJ 
[71831] ADD,hPnf9OsmbW,58964.63 
[71934] BUY,hPnf9OsmbW,ONI,446.92 
[71970] SET_SELL_AMOUNT,hPnf9OsmbW,UIE,202.72 
[71984] SET_SELL_TRIGGER,hPnf9OsmbW,UIE,32.55 
[72088] QUOTE,hPnf9OsmbW,VKB 
[72472] BUY,hPnf9OsmbW,NDJ,562.71 
[72479] QUOTE,hPnf9OsmbW,VKP 
[72535] QUOTE,hPnf9OsmbW,IFU 
[72553] COMMIT_BUY,hPnf9OsmbW 
[72569] BUY,hPnf9OsmbW,YNY,352.58 
[72615] COMMIT_BUY,hPnf9OsmbW 
[72643] BUY,hPnf9OsmbW,TVX,439.44 
[72786] COMMIT_BUY,hPnf9OsmbW 
[73070] BUY,hPnf9OsmbW,KMZ,513.32 
[73170] SET_BUY_AMOUNT,hPnf9OsmbW,SQI,140.63 
[73264] DISPLAY_SUMMARY,hPnf9OsmbW 
[73303] BUY,hPnf9OsmbW,MHI,390.16 
[73321] COMMIT_BUY,hPnf9OsmbW 
[73327] BUY,hPnf9OsmbW,AQO,194.95 
[73494] SET_BUY_AMOUNT,hPnf9OsmbW,RUN,535.79 
[73515] SET_BUY_TRIGGER,hPnf9OsmbW,HRJ,18.95 
[73516] SET_BUY_AMOUNT,hPnf9OsmbW,UTV,338.90 
[73632] SET_BUY_TRIGGER,hPnf9OsmbW,NZS,131.67 
[73650] SET_BUY_TRIGGER,hPnf9OsmbW,WAO,101.14 
[73735] SET_BUY_TRIGGER,hPnf9OsmbW,XQC,18.38 
[73823] SET_SELL_AMOUNT,hPnf9OsmbW,YJK,206.38 
[73839] DISPLAY_SUMMARY,hPnf9OsmbW 
[73861] QUOTE,hPnf9OsmbW,SSW 
[73936] DISPLAY_SUMMARY,hPnf9OsmbW 
[73985] DISPLAY_SUMMARY,hPnf9OsmbW 
[74017] DISPLAY_SUMMARY,hPnf9OsmbW 
[74189] CANCEL_SELL,hPnf9OsmbW 
[74361] SET_SELL_AMOUNT,hPnf9OsmbW,AJR,508.79 
[74401] SET_SELL_TRIGGER,hPnf9OsmbW,AJR,322.35 
[74536] QUOTE,hPnf9OsmbW,LQN 
[74569] BUY,hPnf9OsmbW,VJV,661.75 
[74737] COMMIT_BUY,hPnf9OsmbW 
[74992] SET_BUY_TRIGGER,hPnf9OsmbW,IFI,119.57 
[75482] DISPLAY_SUMMARY,hPnf9OsmbW 
[75553] DISPLAY_SUMMARY,hPnf9OsmbW 
[75758] SET_BUY_TRIGGER,hPnf9OsmbW,ULL,131.32 
[75852] DISPLAY_SUMMARY,hPnf9OsmbW 
[76082] DISPLAY_SUMMARY,hPnf9OsmbW 
[76171] SELL,hPnf9OsmbW,VTY,446.72 
[76278] BUY,hPnf9OsmbW,THH,616.12 
[76380] QUOTE,hPnf9OsmbW,GAL 
[76392] SET_BUY_TRIGGER,hPnf9OsmbW,KRX,38.54 
[76513] ADD,hPnf9OsmbW,78233.70 
[76608] COMMIT_SELL,hPnf9OsmbW 
[76636] SET_BUY_AMOUNT,hPnf9OsmbW,LFU,121.29 
[76649] SET_BUY_TRIGGER,hPnf9OsmbW,PFN,95.06 
[76668] SELL,hPnf9OsmbW,GYF,339.34 
[76730] SET_SELL_AMOUNT,hPnf9OsmbW,IFN,134.48 
[76959] BUY,hPnf9OsmbW,CCH,678.71 
[77342] BUY,hPnf9OsmbW,KBI,543.12 
[77361] SET_SELL_TRIGGER,hPnf9OsmbW,IFN,11.10 
[77454] BUY,hPnf9OsmbW,KXF,537.27 
[77487] COMMIT_BUY,hPnf9OsmbW 
[77491] SELL,hPnf9OsmbW,OZO,322.73 
[77492] SET_SELL_TRIGGER,hPnf9OsmbW,USW,184.55 
[77858] SET_SELL_AMOUNT,hPnf9OsmbW,KYX,169.01 
[78018] SET_SELL_TRIGGER,hPnf9OsmbW,KYX,149.59 
[78088] ADD,hPnf9OsmbW,79450.60 
[78233] BUY,hPnf9OsmbW,ZWC,213.01 
[78269] SET_BUY_TRIGGER,hPnf9OsmbW,FKX,126.12 
[78298] SELL,hPnf9OsmbW,ZAN,166.21 
[78301] CANCEL_SELL,hPnf9OsmbW 
[78569] SET_SELL_TRIGGER,hPnf9OsmbW,WAO,51.36 
[78618] ADD,hPnf9OsmbW,74666.03 
[78701] BUY,hPnf9OsmbW,NDO,262.04 
[78882] COMMIT_BUY,hPnf9OsmbW 
[79067] SET_SELL_AMOUNT,hPnf9OsmbW,KDA,428.57 
[79215] CANCEL_SET_SELL,hPnf9OsmbW,KDA 
[79319] ADD,hPnf9OsmbW,54558.89 
[79402] BUY,hPnf9OsmbW,ZCO,520.55 
[79512] COMMIT_BUY,hPnf9OsmbW 
[79552] SET_BUY_AMOUNT,hPnf9OsmbW,EBS,572.81 
[79698] CANCEL_SET_BUY,hPnf9OsmbW,NDO 
[79853] DISPLAY_SUMMARY,hPnf9OsmbW 
[79915] SET_SELL_AMOUNT,hPnf9OsmbW,UIE,705.55 
[80092] SET_SELL_TRIGGER,hPnf9OsmbW,UIE,64.92 
[80117] BUY,hPnf9OsmbW,KVK,288.46 
[80172] COMMIT_BUY,hPnf9OsmbW 
[80856] ADD,hPnf9OsmbW,52243.10 
[80942] QUOTE,hPnf9OsmbW,JFJ 
[81214] BUY,hPnf9OsmbW,BHJ,546.32 
[81376] QUOTE,hPnf9OsmbW,FXT 
[81464] BUY,hPnf9OsmbW,GWF,54.39 
[81515] COMMIT_BUY,hPnf9OsmbW 
[81552] SET_BUY_AMOUNT,hPnf9OsmbW,ZYR,628.09 
[81616] SET_BUY_TRIGGER,hPnf9OsmbW,IFI,83.99 
[81635] SET_BUY_AMOUNT,hPnf9OsmbW,QJZ,552.81 
[81798] SET_BUY_TRIGGER,hPnf9OsmbW,NRY,381.61 
[81863] QUOTE,hPnf9OsmbW,CBY 
[81929] SELL,hPnf9OsmbW,JZJ,244.43 
[81988] CANCEL_BUY,hPnf9OsmbW 
[82074] ADD,hPnf9OsmbW,80886.18 
[82274] QUOTE,hPnf9OsmbW,ECI 
[82563] BUY,hPnf9OsmbW,ZEG,595.96 
[82598] COMMIT_BUY,hPnf9OsmbW 
[82744] BUY,hPnf9OsmbW,GZU,339.61 
[82769] QUOTE,hPnf9OsmbW,FYR 
[82790] SET_SELL_TRIGGER,hPnf9OsmbW,TXB,171.00 
[82865] ADD,hPnf9OsmbW,81501.92 
[83105] BUY,hPnf9OsmbW,JUN,64.21 
[83203] CANCEL_BUY,hPnf9OsmbW 
[83581] DISPLAY_SUMMARY,hPnf9OsmbW 
[83594] QUOTE,hPnf9OsmbW,TGY 
[83889] BUY,hPnf9OsmbW,RDK,20.83 
[84291] ADD,hPnf9OsmbW,68409.28 
[84399] BUY,hPnf9OsmbW,GUW,659.24 
[84507] SET_SELL_TRIGGER,hPnf9OsmbW,EEG,183.26 
[84526] BUY,hPnf9OsmbW,NTT,624.75 
[85278] BUY,hPnf9OsmbW,JFF,512.30 
[85319] COMMIT_BUY,hPnf9OsmbW 
[85405] SET_SELL_TRIGGER,hPnf9OsmbW,RQS,148.09 
[85515] ADD,hPnf9OsmbW,70909.84 
[85601] SELL,hPnf9OsmbW,CSZ,161.08 
[85606] COMMIT_SELL,hPnf9OsmbW 
[85873] QUOTE,hPnf9OsmbW,PCK 
[85908] ADD,hPnf9OsmbW,64119.37 
[85971] QUOTE,hPnf9OsmbW,MKE 
[86024] DISPLAY_SUMMARY,hPnf9OsmbW 
[86204] BUY,hPnf9OsmbW,LGL,149.25 
[86226] DISPLAY_SUMMARY,hPnf9OsmbW 
[86251] SET_BUY_AMOUNT,hPnf9OsmbW,RUN,344.00 
[86261] SET_BUY_TRIGGER,hPnf9OsmbW,TQE,330.82 
[86279] CANCEL_SET_BUY,hPnf9OsmbW,BSG 
[86295] BUY,hPnf9OsmbW,KPU,40.31 
[86301] COMMIT_BUY,hPnf9OsmbW 
[86310] ADD,hPnf9OsmbW,51917.62 
[86470] BUY,hPnf9OsmbW,YBP,436.68 
[86698] COMMIT_BUY,hPnf9OsmbW 
[86764] DISPLAY_SUMMARY,hPnf9OsmbW 
[86864] QUOTE,hPnf9OsmbW,LAM 
[86896] SET_BUY_TRIGGER,hPnf9OsmbW,ALM,71.40 
[86917] SET_BUY_AMOUNT,hPnf9OsmbW,FDI,641.34 
[86924] BUY,hPnf9OsmbW,OTI,4.39 
[87368] SET_BUY_TRIGGER,hPnf9OsmbW,TTY,475.40 
[87426] SELL,hPnf9OsmbW,VDP,459.54 
[87546] DISPLAY_SUMMARY,hPnf9OsmbW 
[87550] DISPLAY_SUMMARY,hPnf9OsmbW 
[87642] ADD,hPnf9OsmbW,79465.78 
[87666] QUOTE,hPnf9OsmbW,IZU 
[87702] COMMIT_SELL,hPnf9OsmbW 
[87836] ADD,hPnf9OsmbW,58146.88 
[87985] QUOTE,hPnf9OsmbW,RGH 
[88057] SET_BUY_TRIGGER,hPnf9OsmbW,HHG,121.14 
[88139] DISPLAY_SUMMARY,hPnf9OsmbW 
[88381] SET_BUY_AMOUNT,hPnf9OsmbW,QVK,238.61 
[88437] SET_BUY_TRIGGER,hPnf9OsmbW,YWC,13.77 
[88618] DISPLAY_SUMMARY,hPnf9OsmbW 
[88723] SET_SELL_AMOUNT,hPnf9OsmbW,QAX,368.29 
[88737] BUY,hPnf9OsmbW,ZWB,341.98 
[88766] CANCEL_SELL,hPnf9OsmbW 
[88885] ADD,hPnf9OsmbW,65301.33 
[88901] QUOTE,hPnf9OsmbW,ONI 
[89012] QUOTE,hPnf9OsmbW,YRL 
[89158] ADD,hPnf9OsmbW,64485.45 
[89169] BUY,hPnf9OsmbW,DBS,422.24 
[89301] COMMIT_BUY,hPnf9OsmbW 
[89353] SET_SELL_AMOUNT,hPnf9OsmbW,JVT,1.96 
[89449] SET_SELL_TRIGGER,hPnf9OsmbW,JVT,0.78 
[89460] BUY,hPnf9OsmbW,ZQS,519.46 
[89513] SELL,hPnf9OsmbW,JVT,180.17 
[89602] COMMIT_SELL,hPnf9OsmbW 
[89775] QUOTE,hPnf9OsmbW,SCW 
[89799] BUY,hPnf9OsmbW,KNM,467.57 
[89875] COMMIT_BUY,hPnf9OsmbW 
[89952] ADD,hPnf9OsmbW,77479.70 
[89991] BUY,hPnf9OsmbW,GED,622.33 
[90068] SELL,hPnf9OsmbW,MXD,633.69 
[90293] SET_BUY_AMOUNT,hPnf9OsmbW,KES,50.30 
[90342] SET_BUY_TRIGGER,hPnf9OsmbW,SZI,11.41 
[90379] SELL,hPnf9OsmbW,KYX,177.33 
[90451] COMMIT_SELL,hPnf9OsmbW 
[90476] QUOTE,hPnf9OsmbW,VAT 
[90707] QUOTE,hPnf9OsmbW,IAV 
[90722] DISPLAY_SUMMARY,hPnf9OsmbW 
[90971] CANCEL_BUY,hPnf9OsmbW 
[91102] DISPLAY_SUMMARY,hPnf9OsmbW 
[91152] QUOTE,hPnf9OsmbW,MOS 
[91196] DISPLAY_SUMMARY,hPnf9OsmbW 
[91201] ADD,hPnf9OsmbW,60672.68 
[91249] SET_BUY_AMOUNT,hPnf9OsmbW,SSF,268.47 
[91455] SET_BUY_TRIGGER,hPnf9OsmbW,AIN,171.23 
[91633] SET_BUY_AMOUNT,hPnf9OsmbW,IQJ,356.21 
[91641] QUOTE,hPnf9OsmbW,QSS 
[91667] BUY,hPnf9OsmbW,NOP,23.92 
[91681] QUOTE,hPnf9OsmbW,ZER 
[91725] BUY,hPnf9OsmbW,KNM,571.15 
[91946] BUY,hPnf9OsmbW,ROW,733.18 
[91982] SELL,hPnf9OsmbW,ZYR,714.38 
[91985] SET_BUY_AMOUNT,hPnf9OsmbW,CBO,314.01 
[92009] SET_BUY_TRIGGER,hPnf9OsmbW,DMS,12.68 
[92100] DISPLAY_SUMMARY,hPnf9OsmbW 
[92136] BUY,hPnf9OsmbW,CXW,599.87 
