[51] ADD,t56BLlGu3K,46692.99 
[46613] SET_SELL_AMOUNT,t56BLlGu3K,JRJ,138.67 
[46832] SET_SELL_TRIGGER,t56BLlGu3K,JRJ,74.43 
[46884] ADD,t56BLlGu3K,64472.09 
[46910] SELL,t56BLlGu3K,CUZ,211.67 
[46957] COMMIT_SELL,t56BLlGu3K 
[46980] SET_SELL_AMOUNT,t56BLlGu3K,BYA,425.96 
[47054] SET_SELL_TRIGGER,t56BLlGu3K,BYA,395.24 
[47108] DISPLAY_SUMMARY,t56BLlGu3K 
[47201] SET_BUY_AMOUNT,t56BLlGu3K,LFU,655.76 
[47293] SET_BUY_TRIGGER,t56BLlGu3K,TKG,430.22 
[47416] ADD,t56BLlGu3K,32835.59 
[47432] CANCEL_SET_BUY,t56BLlGu3K,OXV 
[47529] ADD,t56BLlGu3K,70603.87 
[47561] QUOTE,t56BLlGu3K,KVJ 
[47574] BUY,t56BLlGu3K,IIX,508.95 
[47653] COMMIT_BUY,t56BLlGu3K 
[47806] SET_SELL_AMOUNT,t56BLlGu3K,JQO,704.32 
[47833] DISPLAY_SUMMARY,t56BLlGu3K 
[47902] SET_BUY_AMOUNT,t56BLlGu3K,CSZ,364.41 
[48130] QUOTE,t56BLlGu3K,MUN 
[48135] COMMIT_SELL,t56BLlGu3K 
[48180] DISPLAY_SUMMARY,t56BLlGu3K 
[48181] ADD,t56BLlGu3K,62762.86 
[48351] BUY,t56BLlGu3K,CLQ,458.08 
[48436] CANCEL_BUY,t56BLlGu3K 
[48495] BUY,t56BLlGu3K,QSS,191.64 
[48506] CANCEL_SET_SELL,t56BLlGu3K,JQO 
[48574] SET_BUY_TRIGGER,t56BLlGu3K,FKX,200.72 
[48675] SELL,t56BLlGu3K,CUZ,398.94 
[48714] COMMIT_SELL,t56BLlGu3K 
[48745] ADD,t56BLlGu3K,73949.33 
[49044] QUOTE,t56BLlGu3K,XOA 
[49193] ADD,t56BLlGu3K,48166.51 
[49275] BUY,t56BLlGu3K,PCK,225.90 
[49350] SET_BUY_TRIGGER,t56BLlGu3K,SYU,93.91 
[49551] SET_SELL_AMOUNT,t56BLlGu3K,ZYR,360.95 
[49559] SET_SELL_TRIGGER,t56BLlGu3K,ZYR,53.13 
[49592] DISPLAY_SUMMARY,t56BLlGu3K 
[49630] DISPLAY_SUMMARY,t56BLlGu3K 
[49878] DISPLAY_SUMMARY,t56BLlGu3K 
[50078] SET_SELL_TRIGGER,t56BLlGu3K,MMY,4.87 
[50400] SELL,t56BLlGu3K,ZAN,126.53 
[50440] COMMIT_BUY,t56BLlGu3K 
[50725] ADD,t56BLlGu3K,47436.00 
[50825] BUY,t56BLlGu3K,TCP,193.95 
[50857] COMMIT_BUY,t56BLlGu3K 
[50972] SET_BUY_AMOUNT,t56BLlGu3K,KES,404.36 
[50983] CANCEL_SET_BUY,t56BLlGu3K,JYV 
[51227] BUY,t56BLlGu3K,TVI,543.40 
[51277] SET_BUY_TRIGGER,t56BLlGu3K,ZFK,140.47 
[51416] SELL,t56BLlGu3K,JCQ,734.83 
[51459] COMMIT_SELL,t56BLlGu3K 
[51516] SELL,t56BLlGu3K,JCQ,741.27 
[51619] COMMIT_SELL,t56BLlGu3K 
[51630] BUY,t56BLlGu3K,FVA,408.45 
[51695] COMMIT_BUY,t56BLlGu3K 
[51831] QUOTE,t56BLlGu3K,BFU 
[52085] ADD,t56BLlGu3K,62029.53 
[52098] BUY,t56BLlGu3K,MIR,313.62 
[52331] SELL,t56BLlGu3K,PTP,665.65 
[52362] COMMIT_SELL,t56BLlGu3K 
[52404] DISPLAY_SUMMARY,t56BLlGu3K 
[52407] BUY,t56BLlGu3K,QLM,126.21 
[52485] COMMIT_BUY,t56BLlGu3K 
[52557] COMMIT_BUY,t56BLlGu3K 
[52663] QUOTE,t56BLlGu3K,EDW 
[52728] BUY,t56BLlGu3K,NGB,504.40 
[52731] COMMIT_BUY,t56BLlGu3K 
[52833] BUY,t56BLlGu3K,HMR,569.41 
[52859] COMMIT_BUY,t56BLlGu3K 
[53057] SELL,t56BLlGu3K,OEY,377.45 
[53073] COMMIT_SELL,t56BLlGu3K 
[53135] BUY,t56BLlGu3K,DVU,576.35 
[53177] COMMIT_BUY,t56BLlGu3K 
[53214] QUOTE,t56BLlGu3K,NUV 
[53468] QUOTE,t56BLlGu3K,LLE 
[53950] CANCEL_SET_BUY,t56BLlGu3K,RVU 
[54085] DISPLAY_SUMMARY,t56BLlGu3K 
[54118] COMMIT_SELL,t56BLlGu3K 
[54277] SELL,t56BLlGu3K,XXQ,284.34 
[54301] COMMIT_SELL,t56BLlGu3K 
[54348] SET_SELL_AMOUNT,t56BLlGu3K,YJK,723.11 
[54461] SET_SELL_TRIGGER,t56BLlGu3K,YJK,1.73 
[54484] BUY,t56BLlGu3K,KRX,371.54 
[54667] COMMIT_BUY,t56BLlGu3K 
[54699] DISPLAY_SUMMARY,t56BLlGu3K 
[54804] ADD,t56BLlGu3K,56950.59 
[54925] BUY,t56BLlGu3K,MER,636.30 
[55029] COMMIT_BUY,t56BLlGu3K 
[55048] SET_SELL_AMOUNT,t56BLlGu3K,JRJ,28.92 
[55077] SET_SELL_TRIGGER,t56BLlGu3K,JRJ,0.55 
[55123] CANCEL_SELL,t56BLlGu3K 
[55150] SET_SELL_TRIGGER,t56BLlGu3K,FFZ,30.39 
[55165] QUOTE,t56BLlGu3K,IPH 
[55169] SET_BUY_TRIGGER,t56BLlGu3K,KZC,53.22 
[55232] DISPLAY_SUMMARY,t56BLlGu3K 
[55273] DISPLAY_SUMMARY,t56BLlGu3K 
[55329] ADD,t56BLlGu3K,59483.12 
[55431] BUY,t56BLlGu3K,ZWC,235.05 
[55755] COMMIT_BUY,t56BLlGu3K 
[55767] CANCEL_SET_SELL,t56BLlGu3K,FUF 
[55894] BUY,t56BLlGu3K,KCS,458.16 
[55999] SET_SELL_TRIGGER,t56BLlGu3K,KJD,185.11 
[56006] SET_SELL_TRIGGER,t56BLlGu3K,ARP,99.04 
[56078] ADD,t56BLlGu3K,80166.31 
[56165] BUY,t56BLlGu3K,KBI,183.78 
[56207] CANCEL_SET_SELL,t56BLlGu3K,WUL 
[56357] ADD,t56BLlGu3K,72523.78 
[56618] QUOTE,t56BLlGu3K,AVX 
[56777] DISPLAY_SUMMARY,t56BLlGu3K 
[56901] SELL,t56BLlGu3K,XXQ,80.42 
[56935] COMMIT_SELL,t56BLlGu3K 
[56955] DISPLAY_SUMMARY,t56BLlGu3K 
[57007] ADD,t56BLlGu3K,84628.98 
[57012] BUY,t56BLlGu3K,YEW,361.62 
[57040] COMMIT_BUY,t56BLlGu3K 
[57101] ADD,t56BLlGu3K,73424.67 
[57119] BUY,t56BLlGu3K,STT,14.00 
[57177] COMMIT_BUY,t56BLlGu3K 
[57239] DISPLAY_SUMMARY,t56BLlGu3K 
[57672] ADD,t56BLlGu3K,53778.47 
[57793] BUY,t56BLlGu3K,XCL,86.62 
[57817] COMMIT_BUY,t56BLlGu3K 
[57945] BUY,t56BLlGu3K,ETJ,218.35 
[57955] COMMIT_BUY,t56BLlGu3K 
[58027] ADD,t56BLlGu3K,90867.94 
[58075] BUY,t56BLlGu3K,YBB,148.29 
[58111] COMMIT_BUY,t56BLlGu3K 
[58135] SELL,t56BLlGu3K,FQP,27.92 
[58152] CANCEL_SELL,t56BLlGu3K 
[58312] QUOTE,t56BLlGu3K,SCK 
[58431] BUY,t56BLlGu3K,SNU,379.94 
[58574] COMMIT_BUY,t56BLlGu3K 
[58660] SELL,t56BLlGu3K,FQP,546.14 
[58751] COMMIT_SELL,t56BLlGu3K 
[58881] SELL,t56BLlGu3K,LZV,385.52 
[58991] CANCEL_SELL,t56BLlGu3K 
[59188] SET_SELL_AMOUNT,t56BLlGu3K,GYF,579.56 
[59337] SET_SELL_TRIGGER,t56BLlGu3K,GYF,409.28 
[59428] SET_SELL_TRIGGER,t56BLlGu3K,URI,184.09 
[59977] DISPLAY_SUMMARY,t56BLlGu3K 
[59985] DISPLAY_SUMMARY,t56BLlGu3K 
[59994] SET_SELL_AMOUNT,t56BLlGu3K,SSF,309.52 
[60135] SET_SELL_TRIGGER,t56BLlGu3K,SSF,108.16 
[60363] SELL,t56BLlGu3K,JVT,677.81 
[60411] COMMIT_SELL,t56BLlGu3K 
[60417] ADD,t56BLlGu3K,51549.62 
[60422] CANCEL_SELL,t56BLlGu3K 
[60492] SET_BUY_TRIGGER,t56BLlGu3K,PTC,34.51 
[60680] QUOTE,t56BLlGu3K,SUS 
[60736] SET_BUY_AMOUNT,t56BLlGu3K,LZV,174.42 
[60866] SET_BUY_TRIGGER,t56BLlGu3K,LUD,36.22 
[60884] ADD,t56BLlGu3K,70891.54 
[60918] CANCEL_SET_BUY,t56BLlGu3K,AUX 
[61076] DISPLAY_SUMMARY,t56BLlGu3K 
[61247] CANCEL_BUY,t56BLlGu3K 
[61444] ADD,t56BLlGu3K,77552.06 
[61451] BUY,t56BLlGu3K,KHD,541.25 
[61592] DISPLAY_SUMMARY,t56BLlGu3K 
[61599] ADD,t56BLlGu3K,79018.59 
[61678] QUOTE,t56BLlGu3K,MLI 
[61773] CANCEL_SET_BUY,t56BLlGu3K,CVP 
[61837] SET_SELL_AMOUNT,t56BLlGu3K,IFN,587.90 
[62072] SET_SELL_TRIGGER,t56BLlGu3K,IFN,333.50 
[62167] ADD,t56BLlGu3K,48730.58 
[62181] BUY,t56BLlGu3K,JDO,463.70 
[62203] SET_SELL_TRIGGER,t56BLlGu3K,YBB,89.36 
[62266] SET_BUY_AMOUNT,t56BLlGu3K,OPN,410.05 
[62658] SET_BUY_TRIGGER,t56BLlGu3K,OHS,180.98 
[62685] DISPLAY_SUMMARY,t56BLlGu3K 
[62716] SET_BUY_AMOUNT,t56BLlGu3K,XLK,649.15 
[63089] SET_BUY_TRIGGER,t56BLlGu3K,IVV,406.62 
[63296] DISPLAY_SUMMARY,t56BLlGu3K 
[63298] DISPLAY_SUMMARY,t56BLlGu3K 
[63563] DISPLAY_SUMMARY,t56BLlGu3K 
[63689] CANCEL_SELL,t56BLlGu3K 
[63724] SET_BUY_TRIGGER,t56BLlGu3K,FPI,110.02 
[63897] QUOTE,t56BLlGu3K,JHY 
[63912] SET_BUY_AMOUNT,t56BLlGu3K,JQO,69.94 
[64401] SET_BUY_TRIGGER,t56BLlGu3K,EUM,36.40 
[64430] SET_BUY_AMOUNT,t56BLlGu3K,AVX,122.82 
[64588] SET_BUY_TRIGGER,t56BLlGu3K,OTI,21.19 
[64759] CANCEL_SET_BUY,t56BLlGu3K,XBL 
[64810] SELL,t56BLlGu3K,AVX,698.79 
[64865] COMMIT_BUY,t56BLlGu3K 
[65135] DISPLAY_SUMMARY,t56BLlGu3K 
[65188] ADD,t56BLlGu3K,67410.91 
[65273] SET_BUY_TRIGGER,t56BLlGu3K,UDM,47.27 
[65337] COMMIT_BUY,t56BLlGu3K 
[65449] DISPLAY_SUMMARY,t56BLlGu3K 
[65521] ADD,t56BLlGu3K,65444.09 
[65560] QUOTE,t56BLlGu3K,QXW 
[65621] SET_BUY_AMOUNT,t56BLlGu3K,NHG,323.18 
[65640] SET_BUY_TRIGGER,t56BLlGu3K,JCQ,196.31 
[65686] DISPLAY_SUMMARY,t56BLlGu3K 
[65761] DISPLAY_SUMMARY,t56BLlGu3K 
[65896] QUOTE,t56BLlGu3K,NZS 
[65917] SET_BUY_AMOUNT,t56BLlGu3K,RGH,581.92 
[66002] SET_BUY_TRIGGER,t56BLlGu3K,MIU,346.34 
[66039] BUY,t56BLlGu3K,XMA,713.11 
[66104] BUY,t56BLlGu3K,COE,495.85 
[66224] COMMIT_BUY,t56BLlGu3K 
[66409] DISPLAY_SUMMARY,t56BLlGu3K 
[66448] QUOTE,t56BLlGu3K,LRS 
[66497] QUOTE,t56BLlGu3K,NFL 
[66523] BUY,t56BLlGu3K,QHF,179.33 
[66699] COMMIT_BUY,t56BLlGu3K 
[66807] ADD,t56BLlGu3K,61470.32 
[66834] CANCEL_SET_SELL,t56BLlGu3K,XII 
[67073] QUOTE,t56BLlGu3K,KNM 
[67132] SET_BUY_TRIGGER,t56BLlGu3K,URD,50.35 
[67142] BUY,t56BLlGu3K,RKY,707.91 
[67521] COMMIT_BUY,t56BLlGu3K 
[67563] QUOTE,t56BLlGu3K,TVP 
[67595] SET_BUY_TRIGGER,t56BLlGu3K,FYA,4.37 
[67624] ADD,t56BLlGu3K,85799.17 
[67640] QUOTE,t56BLlGu3K,ILT 
[67725] SELL,t56BLlGu3K,FDI,496.64 
[67738] CANCEL_SELL,t56BLlGu3K 
[67820] SET_BUY_TRIGGER,t56BLlGu3K,FKI,63.89 
[67849] SET_SELL_TRIGGER,t56BLlGu3K,CLP,101.61 
[67945] SELL,t56BLlGu3K,JCQ,80.32 
[68014] COMMIT_SELL,t56BLlGu3K 
[68293] SET_BUY_AMOUNT,t56BLlGu3K,UIE,453.24 
[68337] QUOTE,t56BLlGu3K,AVX 
[68393] DISPLAY_SUMMARY,t56BLlGu3K 
[68590] DISPLAY_SUMMARY,t56BLlGu3K 
[68646] DISPLAY_SUMMARY,t56BLlGu3K 
[68849] DISPLAY_SUMMARY,t56BLlGu3K 
[68852] SELL,t56BLlGu3K,JVT,657.78 
[69062] COMMIT_BUY,t56BLlGu3K 
[69246] CANCEL_SET_SELL,t56BLlGu3K,ZAN 
[69272] DISPLAY_SUMMARY,t56BLlGu3K 
[69280] SET_BUY_TRIGGER,t56BLlGu3K,SAJ,51.64 
[69341] SET_SELL_TRIGGER,t56BLlGu3K,KAH,89.96 
[69518] ADD,t56BLlGu3K,88849.09 
[69665] QUOTE,t56BLlGu3K,ZMS 
[69778] COMMIT_BUY,t56BLlGu3K 
[69843] ADD,t56BLlGu3K,55833.28 
[69974] BUY,t56BLlGu3K,DJD,176.84 
[70049] COMMIT_BUY,t56BLlGu3K 
[70102] ADD,t56BLlGu3K,62149.97 
[70187] QUOTE,t56BLlGu3K,MER 
[70343] QUOTE,t56BLlGu3K,NNW 
[70385] QUOTE,t56BLlGu3K,MXD 
[70464] SET_BUY_AMOUNT,t56BLlGu3K,BYA,641.49 
[70549] SET_BUY_TRIGGER,t56BLlGu3K,HTD,185.58 
[70620] ADD,t56BLlGu3K,94595.25 
[70655] BUY,t56BLlGu3K,LSM,368.23 
[70684] COMMIT_BUY,t56BLlGu3K 
[70718] QUOTE,t56BLlGu3K,FPV 
[70849] SET_SELL_AMOUNT,t56BLlGu3K,TVI,611.62 
[70921] CANCEL_SET_SELL,t56BLlGu3K,TVI 
[70983] QUOTE,t56BLlGu3K,LLF 
[71177] DISPLAY_SUMMARY,t56BLlGu3K 
[71206] DISPLAY_SUMMARY,t56BLlGu3K 
[71323] ADD,t56BLlGu3K,54222.09 
[71370] BUY,t56BLlGu3K,GPC,736.37 
[71415] CANCEL_SET_SELL,t56BLlGu3K,WKL 
[71505] QUOTE,t56BLlGu3K,KQZ 
[71576] QUOTE,t56BLlGu3K,STO 
[71585] BUY,t56BLlGu3K,JTX,134.82 
[71720] QUOTE,t56BLlGu3K,UIE 
[71826] SET_SELL_TRIGGER,t56BLlGu3K,EIH,185.88 
[72089] BUY,t56BLlGu3K,YDS,594.34 
[72245] COMMIT_BUY,t56BLlGu3K 
[72265] SET_SELL_TRIGGER,t56BLlGu3K,JRJ,151.29 
[72318] DISPLAY_SUMMARY,t56BLlGu3K 
[72385] QUOTE,t56BLlGu3K,WPG 
[72453] BUY,t56BLlGu3K,VNO,145.74 
[72584] SET_SELL_AMOUNT,t56BLlGu3K,FDI,673.03 
[72614] SET_SELL_TRIGGER,t56BLlGu3K,FDI,664.98 
[72757] ADD,t56BLlGu3K,62976.95 
[73077] BUY,t56BLlGu3K,DBC,135.80 
[73177] SET_SELL_TRIGGER,t56BLlGu3K,XBL,161.25 
[73192] ADD,t56BLlGu3K,71034.68 
[73212] QUOTE,t56BLlGu3K,VBO 
[73230] BUY,t56BLlGu3K,RUN,641.62 
[73245] ADD,t56BLlGu3K,101401.35 
[73285] BUY,t56BLlGu3K,UDQ,484.18 
[73363] COMMIT_BUY,t56BLlGu3K 
[73382] SET_SELL_AMOUNT,t56BLlGu3K,OEY,255.92 
[73414] CANCEL_SET_SELL,t56BLlGu3K,OEY 
[73492] DISPLAY_SUMMARY,t56BLlGu3K 
[73733] SET_SELL_AMOUNT,t56BLlGu3K,UIE,328.01 
[73827] CANCEL_SET_SELL,t56BLlGu3K,UIE 
[73852] SELL,t56BLlGu3K,LFU,722.39 
[74055] COMMIT_SELL,t56BLlGu3K 
[74148] ADD,t56BLlGu3K,94831.79 
[74157] QUOTE,t56BLlGu3K,WRJ 
[74196] BUY,t56BLlGu3K,WKE,117.35 
[74238] SET_SELL_AMOUNT,t56BLlGu3K,JCQ,141.38 
[74311] SET_SELL_TRIGGER,t56BLlGu3K,JCQ,86.95 
[74328] QUOTE,t56BLlGu3K,KAO 
[74413] BUY,t56BLlGu3K,NLP,129.84 
[74460] COMMIT_BUY,t56BLlGu3K 
[74477] QUOTE,t56BLlGu3K,GWF 
[74478] CANCEL_BUY,t56BLlGu3K 
[74652] SET_SELL_AMOUNT,t56BLlGu3K,JQO,361.49 
[74744] SET_SELL_TRIGGER,t56BLlGu3K,JQO,18.89 
[74860] QUOTE,t56BLlGu3K,THH 
[74964] SET_BUY_TRIGGER,t56BLlGu3K,LSM,80.75 
[74981] SELL,t56BLlGu3K,NHG,300.21 
[75049] COMMIT_BUY,t56BLlGu3K 
[75077] SET_BUY_TRIGGER,t56BLlGu3K,OLH,123.19 
[75145] SET_SELL_AMOUNT,t56BLlGu3K,QVK,183.84 
[75296] SET_SELL_TRIGGER,t56BLlGu3K,QVK,165.73 
[75317] DISPLAY_SUMMARY,t56BLlGu3K 
[75346] SET_SELL_AMOUNT,t56BLlGu3K,UTV,44.72 
[75466] SET_SELL_TRIGGER,t56BLlGu3K,UTV,14.24 
[75784] SELL,t56BLlGu3K,RUN,715.59 
[75793] QUOTE,t56BLlGu3K,DGA 
[75956] CANCEL_SELL,t56BLlGu3K 
[76114] SET_SELL_AMOUNT,t56BLlGu3K,QJZ,749.71 
[76135] SELL,t56BLlGu3K,LZV,502.16 
[76213] COMMIT_SELL,t56BLlGu3K 
[76355] DISPLAY_SUMMARY,t56BLlGu3K 
[76377] SELL,t56BLlGu3K,AVX,487.43 
[76637] COMMIT_SELL,t56BLlGu3K 
[77039] COMMIT_BUY,t56BLlGu3K 
[77048] QUOTE,t56BLlGu3K,CXW 
[77250] SET_BUY_TRIGGER,t56BLlGu3K,SNU,121.27 
[77308] DISPLAY_SUMMARY,t56BLlGu3K 
[77646] SET_BUY_TRIGGER,t56BLlGu3K,IOY,197.25 
[77886] ADD,t56BLlGu3K,74676.75 
[78079] BUY,t56BLlGu3K,AAC,239.24 
[78182] COMMIT_BUY,t56BLlGu3K 
[78243] SELL,t56BLlGu3K,QVK,498.06 
[78545] CANCEL_SELL,t56BLlGu3K 
[78589] SET_SELL_AMOUNT,t56BLlGu3K,ZAN,156.14 
[78665] SET_SELL_TRIGGER,t56BLlGu3K,ZAN,56.23 
[78671] DISPLAY_SUMMARY,t56BLlGu3K 
[78684] SELL,t56BLlGu3K,ZTI,488.11 
[78861] COMMIT_SELL,t56BLlGu3K 
[78930] BUY,t56BLlGu3K,LVV,508.28 
[78957] QUOTE,t56BLlGu3K,IUN 
[78964] BUY,t56BLlGu3K,XPX,62.66 
[79000] COMMIT_BUY,t56BLlGu3K 
[79216] QUOTE,t56BLlGu3K,KKI 
[79302] SET_SELL_AMOUNT,t56BLlGu3K,RUN,550.77 
[79507] QUOTE,t56BLlGu3K,XYV 
[79515] SELL,t56BLlGu3K,XLK,164.16 
[80080] CANCEL_SELL,t56BLlGu3K 
[80107] ADD,t56BLlGu3K,77846.27 
[80149] BUY,t56BLlGu3K,QGE,599.70 
[80189] COMMIT_BUY,t56BLlGu3K 
[80247] QUOTE,t56BLlGu3K,YNH 
[80367] CANCEL_BUY,t56BLlGu3K 
[80442] ADD,t56BLlGu3K,71578.45 
[80542] BUY,t56BLlGu3K,VGW,677.31 
[80549] SET_BUY_AMOUNT,t56BLlGu3K,QAX,621.10 
[80595] BUY,t56BLlGu3K,EOS,335.77 
[80644] CANCEL_BUY,t56BLlGu3K 
[80701] SET_SELL_TRIGGER,t56BLlGu3K,RUN,124.19 
[80712] SET_BUY_AMOUNT,t56BLlGu3K,OEY,5.31 
[80732] SET_BUY_TRIGGER,t56BLlGu3K,FZB,3.70 
[81038] DISPLAY_SUMMARY,t56BLlGu3K 
[81085] DISPLAY_SUMMARY,t56BLlGu3K 
[81234] ADD,t56BLlGu3K,65560.49 
[81255] BUY,t56BLlGu3K,TVP,354.70 
[81340] CANCEL_BUY,t56BLlGu3K 
[81344] DISPLAY_SUMMARY,t56BLlGu3K 
[81368] BUY,t56BLlGu3K,KGA,693.13 
[81606] CANCEL_BUY,t56BLlGu3K 
[81761] SET_BUY_TRIGGER,t56BLlGu3K,DPG,185.72 
[81914] CANCEL_SELL,t56BLlGu3K 
[81980] DISPLAY_SUMMARY,t56BLlGu3K 
[82150] DISPLAY_SUMMARY,t56BLlGu3K 
[82250] SET_SELL_AMOUNT,t56BLlGu3K,MFX,563.71 
[82514] CANCEL_SET_SELL,t56BLlGu3K,MFX 
[82539] ADD,t56BLlGu3K,63609.57 
[82828] QUOTE,t56BLlGu3K,QWC 
[82867] ADD,t56BLlGu3K,59327.45 
[82870] QUOTE,t56BLlGu3K,NFV 
[83041] QUOTE,t56BLlGu3K,EDW 
[83083] BUY,t56BLlGu3K,IZJ,535.42 
[83120] COMMIT_BUY,t56BLlGu3K 
[83123] DISPLAY_SUMMARY,t56BLlGu3K 
[83175] ADD,t56BLlGu3K,56150.38 
[83227] COMMIT_BUY,t56BLlGu3K 
[83249] ADD,t56BLlGu3K,65753.46 
[83306] QUOTE,t56BLlGu3K,HHG 
[83495] BUY,t56BLlGu3K,DFE,345.35 
[83552] COMMIT_BUY,t56BLlGu3K 
[83588] QUOTE,t56BLlGu3K,VFH 
[83680] QUOTE,t56BLlGu3K,NSN 
[83722] SET_BUY_TRIGGER,t56BLlGu3K,YWC,143.22 
[83891] SELL,t56BLlGu3K,TKM,119.52 
[83952] CANCEL_BUY,t56BLlGu3K 
[84170] SELL,t56BLlGu3K,JZJ,350.04 
[84349] COMMIT_SELL,t56BLlGu3K 
[84353] ADD,t56BLlGu3K,40976.69 
[84558] BUY,t56BLlGu3K,SJZ,531.62 
[84720] CANCEL_BUY,t56BLlGu3K 
[84747] ADD,t56BLlGu3K,66235.10 
[84930] QUOTE,t56BLlGu3K,VJV 
[85216] ADD,t56BLlGu3K,95513.62 
[85264] BUY,t56BLlGu3K,PUC,378.18 
[85334] COMMIT_BUY,t56BLlGu3K 
[85371] SET_SELL_TRIGGER,t56BLlGu3K,BMW,64.47 
[85545] ADD,t56BLlGu3K,73313.84 
[85578] BUY,t56BLlGu3K,PUU,20.95 
[85720] COMMIT_BUY,t56BLlGu3K 
[85739] DISPLAY_SUMMARY,t56BLlGu3K 
[85837] ADD,t56BLlGu3K,87559.07 
[85944] BUY,t56BLlGu3K,SYM,171.41 
[85990] SET_BUY_AMOUNT,t56BLlGu3K,BJL,577.52 
[86203] CANCEL_SET_BUY,t56BLlGu3K,OTD 
[86286] SET_BUY_AMOUNT,t56BLlGu3K,CSZ,331.20 
[86437] QUOTE,t56BLlGu3K,LMB 
[86440] CANCEL_SET_BUY,t56BLlGu3K,OEM 
[86523] SET_BUY_AMOUNT,t56BLlGu3K,UTV,368.91 
[86588] SET_BUY_TRIGGER,t56BLlGu3K,NAR,247.98 
[86616] QUOTE,t56BLlGu3K,FGI 
[86680] BUY,t56BLlGu3K,UJC,655.46 
[86736] QUOTE,t56BLlGu3K,YPL 
[86748] SET_BUY_AMOUNT,t56BLlGu3K,KBN,558.50 
[86801] SET_BUY_TRIGGER,t56BLlGu3K,OQZ,265.48 
[86901] DISPLAY_SUMMARY,t56BLlGu3K 
[86906] ADD,t56BLlGu3K,78079.71 
[86962] BUY,t56BLlGu3K,PUU,139.86 
[87053] COMMIT_BUY,t56BLlGu3K 
[87185] COMMIT_SELL,t56BLlGu3K 
[87238] CANCEL_SET_SELL,t56BLlGu3K,KAH 
[87309] SET_SELL_TRIGGER,t56BLlGu3K,SSF,72.07 
[87662] DISPLAY_SUMMARY,t56BLlGu3K 
[87696] DISPLAY_SUMMARY,t56BLlGu3K 
[87906] ADD,t56BLlGu3K,47727.40 
[88005] BUY,t56BLlGu3K,JGF,145.12 
[88076] COMMIT_BUY,t56BLlGu3K 
[88095] ADD,t56BLlGu3K,101084.11 
[88187] QUOTE,t56BLlGu3K,JNO 
[88199] SET_SELL_TRIGGER,t56BLlGu3K,ZJG,91.93 
[88223] SET_BUY_AMOUNT,t56BLlGu3K,RUN,480.55 
[88286] SET_BUY_TRIGGER,t56BLlGu3K,INB,433.27 
[88332] QUOTE,t56BLlGu3K,ESN 
[88482] BUY,t56BLlGu3K,PIE,191.77 
[88509] COMMIT_SELL,t56BLlGu3K 
[88702] ADD,t56BLlGu3K,61514.50 
[88774] QUOTE,t56BLlGu3K,PIC 
[89055] SET_BUY_AMOUNT,t56BLlGu3K,GRM,257.40 
[89142] SET_BUY_TRIGGER,t56BLlGu3K,YUL,8.01 
[89255] ADD,t56BLlGu3K,62437.67 
[89540] QUOTE,t56BLlGu3K,EWP 
[89634] DISPLAY_SUMMARY,t56BLlGu3K 
[89672] SET_SELL_AMOUNT,t56BLlGu3K,KDA,77.82 
[89759] SET_SELL_TRIGGER,t56BLlGu3K,KDA,58.34 
[89778] ADD,t56BLlGu3K,39743.19 
[89937] QUOTE,t56BLlGu3K,NAR 
[90254] BUY,t56BLlGu3K,KJM,363.25 
[90525] COMMIT_BUY,t56BLlGu3K 
[90822] DISPLAY_SUMMARY,t56BLlGu3K 
[90901] SET_BUY_TRIGGER,t56BLlGu3K,YJK,193.50 
[90956] DISPLAY_SUMMARY,t56BLlGu3K 
[91205] QUOTE,t56BLlGu3K,RNK 
[91230] ADD,t56BLlGu3K,61569.27 
[91399] QUOTE,t56BLlGu3K,GCW 
[91486] SET_BUY_TRIGGER,t56BLlGu3K,MKE,150.02 
[91578] BUY,t56BLlGu3K,XFA,52.88 
[91614] CANCEL_BUY,t56BLlGu3K 
[91624] ADD,t56BLlGu3K,61239.48 
[91632] BUY,t56BLlGu3K,MOM,186.33 
[91871] COMMIT_BUY,t56BLlGu3K 
[91885] SET_BUY_AMOUNT,t56BLlGu3K,GSW,202.07 
[91922] SET_BUY_TRIGGER,t56BLlGu3K,ZTR,113.79 
[92013] ADD,t56BLlGu3K,74457.56 
[92031] SELL,t56BLlGu3K,SUS,59.66 
[92118] COMMIT_SELL,t56BLlGu3K 
[92300] ADD,t56BLlGu3K,66512.06 
[92690] BUY,t56BLlGu3K,AVX,732.80 
[92706] CANCEL_SELL,t56BLlGu3K 
[92901] SET_SELL_TRIGGER,t56BLlGu3K,XII,124.89 
[92943] COMMIT_SELL,t56BLlGu3K 
[92951] ADD,t56BLlGu3K,73226.42 
[93018] QUOTE,t56BLlGu3K,DJD 
[93122] DISPLAY_SUMMARY,t56BLlGu3K 
[93169] ADD,t56BLlGu3K,75585.54 
[93324] QUOTE,t56BLlGu3K,YVX 
[93329] SET_BUY_AMOUNT,t56BLlGu3K,CEC,438.02 
[93486] SELL,t56BLlGu3K,SUS,479.98 
[93638] DISPLAY_SUMMARY,t56BLlGu3K 
[93645] DISPLAY_SUMMARY,t56BLlGu3K 
[93848] DISPLAY_SUMMARY,t56BLlGu3K 
[93852] BUY,t56BLlGu3K,ECI,406.39 
[93924] DISPLAY_SUMMARY,t56BLlGu3K 
