[122] ADD,8pCSyzEP5L,80601.28 
[47003] SET_SELL_AMOUNT,8pCSyzEP5L,XXQ,335.20 
[47016] DISPLAY_SUMMARY,8pCSyzEP5L 
[47073] DISPLAY_SUMMARY,8pCSyzEP5L 
[47296] SET_SELL_AMOUNT,8pCSyzEP5L,FDI,484.28 
[47315] SET_SELL_TRIGGER,8pCSyzEP5L,FDI,274.44 
[47366] SET_BUY_TRIGGER,8pCSyzEP5L,MVQ,139.52 
[47412] DISPLAY_SUMMARY,8pCSyzEP5L 
[47444] DISPLAY_SUMMARY,8pCSyzEP5L 
[47483] ADD,8pCSyzEP5L,72379.92 
[47532] QUOTE,8pCSyzEP5L,YJK 
[47602] ADD,8pCSyzEP5L,70991.39 
[47775] QUOTE,8pCSyzEP5L,FKI 
[47796] BUY,8pCSyzEP5L,ZAM,141.50 
[48138] COMMIT_SELL,8pCSyzEP5L 
[48175] BUY,8pCSyzEP5L,PJJ,182.26 
[48254] COMMIT_BUY,8pCSyzEP5L 
[48263] BUY,8pCSyzEP5L,YTO,499.32 
[48454] BUY,8pCSyzEP5L,IIX,641.54 
[48486] COMMIT_BUY,8pCSyzEP5L 
[48552] SET_SELL_TRIGGER,8pCSyzEP5L,CXB,72.15 
[48580] DISPLAY_SUMMARY,8pCSyzEP5L 
[48870] SET_BUY_AMOUNT,8pCSyzEP5L,SUS,615.36 
[48897] BUY,8pCSyzEP5L,JLO,102.95 
[49019] SET_SELL_TRIGGER,8pCSyzEP5L,BLC,130.68 
[49047] BUY,8pCSyzEP5L,EUM,657.76 
[49085] COMMIT_BUY,8pCSyzEP5L 
[49455] ADD,8pCSyzEP5L,66897.87 
[49522] BUY,8pCSyzEP5L,JTY,328.12 
[49731] QUOTE,8pCSyzEP5L,IQZ 
[49760] QUOTE,8pCSyzEP5L,SEW 
[49852] ADD,8pCSyzEP5L,60711.87 
[49930] QUOTE,8pCSyzEP5L,GYT 
[50040] SET_SELL_TRIGGER,8pCSyzEP5L,BUL,28.21 
[50116] ADD,8pCSyzEP5L,66279.85 
[50197] CANCEL_SET_SELL,8pCSyzEP5L,BPK 
[50342] SET_BUY_AMOUNT,8pCSyzEP5L,RNK,421.35 
[50354] SET_BUY_TRIGGER,8pCSyzEP5L,LPR,176.93 
[50411] CANCEL_SELL,8pCSyzEP5L 
[50417] ADD,8pCSyzEP5L,53384.39 
[50521] SELL,8pCSyzEP5L,EBS,664.06 
[50563] COMMIT_SELL,8pCSyzEP5L 
[50680] DISPLAY_SUMMARY,8pCSyzEP5L 
[50859] DISPLAY_SUMMARY,8pCSyzEP5L 
[50968] SELL,8pCSyzEP5L,JCQ,328.81 
[51106] COMMIT_SELL,8pCSyzEP5L 
[51131] DISPLAY_SUMMARY,8pCSyzEP5L 
[51382] SELL,8pCSyzEP5L,CUZ,83.22 
[51530] COMMIT_SELL,8pCSyzEP5L 
[51553] ADD,8pCSyzEP5L,58153.58 
[51591] QUOTE,8pCSyzEP5L,ZEG 
[51711] BUY,8pCSyzEP5L,VCN,35.40 
[51901] COMMIT_BUY,8pCSyzEP5L 
[51946] ADD,8pCSyzEP5L,61166.96 
[52048] BUY,8pCSyzEP5L,BTP,350.20 
[52091] COMMIT_SELL,8pCSyzEP5L 
[52115] SET_SELL_AMOUNT,8pCSyzEP5L,RGH,161.00 
[52364] CANCEL_SET_SELL,8pCSyzEP5L,RGH 
[52454] ADD,8pCSyzEP5L,73773.95 
[52463] BUY,8pCSyzEP5L,GGY,570.34 
[52520] QUOTE,8pCSyzEP5L,LBC 
[52531] SET_SELL_AMOUNT,8pCSyzEP5L,FQP,90.48 
[53068] SET_SELL_TRIGGER,8pCSyzEP5L,FQP,49.00 
[53095] ADD,8pCSyzEP5L,65921.32 
[53254] BUY,8pCSyzEP5L,MDZ,447.70 
[53375] CANCEL_BUY,8pCSyzEP5L 
[53420] SET_SELL_TRIGGER,8pCSyzEP5L,BPP,8.97 
[53550] DISPLAY_SUMMARY,8pCSyzEP5L 
[53686] DISPLAY_SUMMARY,8pCSyzEP5L 
[53787] ADD,8pCSyzEP5L,47631.42 
[53997] BUY,8pCSyzEP5L,XLI,25.73 
[54009] DISPLAY_SUMMARY,8pCSyzEP5L 
[54254] BUY,8pCSyzEP5L,FRB,707.18 
[54665] COMMIT_SELL,8pCSyzEP5L 
[54668] DISPLAY_SUMMARY,8pCSyzEP5L 
[54684] QUOTE,8pCSyzEP5L,BJL 
[54719] DISPLAY_SUMMARY,8pCSyzEP5L 
[54726] BUY,8pCSyzEP5L,CAX,138.96 
[54828] COMMIT_BUY,8pCSyzEP5L 
[54934] DISPLAY_SUMMARY,8pCSyzEP5L 
[55324] BUY,8pCSyzEP5L,RXB,203.95 
[55493] SET_BUY_AMOUNT,8pCSyzEP5L,OPN,417.65 
[55537] SET_BUY_TRIGGER,8pCSyzEP5L,WAI,29.79 
[55541] SET_BUY_AMOUNT,8pCSyzEP5L,SUS,745.99 
[55601] SET_BUY_TRIGGER,8pCSyzEP5L,DJD,693.65 
[55809] ADD,8pCSyzEP5L,54582.57 
[55963] QUOTE,8pCSyzEP5L,NFV 
[56344] SET_SELL_AMOUNT,8pCSyzEP5L,RUN,11.92 
[56478] SET_SELL_TRIGGER,8pCSyzEP5L,RUN,11.50 
[56512] SET_SELL_TRIGGER,8pCSyzEP5L,BSZ,136.64 
[56657] SELL,8pCSyzEP5L,DFE,502.41 
[57254] ADD,8pCSyzEP5L,58084.02 
[57326] QUOTE,8pCSyzEP5L,NLT 
[57332] QUOTE,8pCSyzEP5L,CUQ 
[57351] SET_BUY_TRIGGER,8pCSyzEP5L,YJK,39.29 
[57361] ADD,8pCSyzEP5L,100753.29 
[57612] QUOTE,8pCSyzEP5L,RRE 
[57748] BUY,8pCSyzEP5L,PHZ,116.53 
[57779] COMMIT_BUY,8pCSyzEP5L 
[57853] SET_SELL_AMOUNT,8pCSyzEP5L,ZAN,50.33 
[57984] SET_SELL_TRIGGER,8pCSyzEP5L,ZAN,36.75 
[58016] SET_BUY_TRIGGER,8pCSyzEP5L,UIE,159.34 
[58055] SET_BUY_TRIGGER,8pCSyzEP5L,IPH,3.47 
[58068] SET_BUY_TRIGGER,8pCSyzEP5L,BLC,41.06 
[58130] SET_SELL_TRIGGER,8pCSyzEP5L,UDN,14.93 
[58227] BUY,8pCSyzEP5L,GLO,214.62 
[58315] CANCEL_SET_BUY,8pCSyzEP5L,CBV 
[58438] ADD,8pCSyzEP5L,49295.52 
[58499] BUY,8pCSyzEP5L,RFC,323.87 
[58606] COMMIT_BUY,8pCSyzEP5L 
[58814] SET_BUY_TRIGGER,8pCSyzEP5L,GPW,70.61 
[58828] SELL,8pCSyzEP5L,FQP,605.56 
[59033] SET_SELL_AMOUNT,8pCSyzEP5L,KES,530.23 
[59123] SET_SELL_TRIGGER,8pCSyzEP5L,KES,199.47 
[59334] ADD,8pCSyzEP5L,58774.37 
[59382] BUY,8pCSyzEP5L,YVS,206.21 
[59484] COMMIT_BUY,8pCSyzEP5L 
[59496] BUY,8pCSyzEP5L,SHP,236.70 
[59527] COMMIT_BUY,8pCSyzEP5L 
[59550] SELL,8pCSyzEP5L,OEY,493.05 
[59590] COMMIT_BUY,8pCSyzEP5L 
[59602] COMMIT_BUY,8pCSyzEP5L 
[59638] SET_BUY_TRIGGER,8pCSyzEP5L,BXH,156.10 
[59929] SET_BUY_AMOUNT,8pCSyzEP5L,ZYR,103.38 
[60034] SET_BUY_TRIGGER,8pCSyzEP5L,DNJ,16.08 
[60065] DISPLAY_SUMMARY,8pCSyzEP5L 
[60185] SET_SELL_AMOUNT,8pCSyzEP5L,JRJ,658.50 
[60245] QUOTE,8pCSyzEP5L,EGX 
[60247] QUOTE,8pCSyzEP5L,DDA 
[60277] BUY,8pCSyzEP5L,JPD,50.11 
[60313] SET_BUY_AMOUNT,8pCSyzEP5L,JCQ,341.11 
[60370] SET_BUY_TRIGGER,8pCSyzEP5L,CVP,252.62 
[60506] SET_SELL_AMOUNT,8pCSyzEP5L,KDA,452.01 
[60534] SET_SELL_TRIGGER,8pCSyzEP5L,KDA,27.92 
[60615] DISPLAY_SUMMARY,8pCSyzEP5L 
[60691] ADD,8pCSyzEP5L,71681.33 
[60837] BUY,8pCSyzEP5L,OFP,518.78 
[60856] COMMIT_BUY,8pCSyzEP5L 
[60867] SET_BUY_TRIGGER,8pCSyzEP5L,RNK,18.08 
[60872] CANCEL_SET_SELL,8pCSyzEP5L,NFO 
[60896] ADD,8pCSyzEP5L,69824.55 
[60899] QUOTE,8pCSyzEP5L,QLM 
[60902] QUOTE,8pCSyzEP5L,RWY 
[60910] BUY,8pCSyzEP5L,GHL,524.88 
[60936] COMMIT_BUY,8pCSyzEP5L 
[61013] DISPLAY_SUMMARY,8pCSyzEP5L 
[61022] SELL,8pCSyzEP5L,OPN,300.23 
[61050] COMMIT_SELL,8pCSyzEP5L 
[61063] CANCEL_SET_BUY,8pCSyzEP5L,AOC 
[61080] SET_BUY_TRIGGER,8pCSyzEP5L,MIQ,115.81 
[61127] DISPLAY_SUMMARY,8pCSyzEP5L 
[61139] SELL,8pCSyzEP5L,PTP,710.70 
[61279] QUOTE,8pCSyzEP5L,VEE 
[61395] QUOTE,8pCSyzEP5L,COE 
[61887] BUY,8pCSyzEP5L,BHJ,646.49 
[61931] CANCEL_BUY,8pCSyzEP5L 
[61950] DISPLAY_SUMMARY,8pCSyzEP5L 
[62057] QUOTE,8pCSyzEP5L,JFJ 
[62111] QUOTE,8pCSyzEP5L,ISQ 
[62276] SET_BUY_TRIGGER,8pCSyzEP5L,CLH,105.18 
[62308] COMMIT_BUY,8pCSyzEP5L 
[62312] SET_SELL_TRIGGER,8pCSyzEP5L,FFZ,188.06 
[62387] COMMIT_BUY,8pCSyzEP5L 
[62396] QUOTE,8pCSyzEP5L,RGM 
[62409] CANCEL_SET_SELL,8pCSyzEP5L,UXP 
[62576] QUOTE,8pCSyzEP5L,ERF 
[62727] CANCEL_SET_BUY,8pCSyzEP5L,CMA 
[62742] DISPLAY_SUMMARY,8pCSyzEP5L 
[62908] SET_BUY_TRIGGER,8pCSyzEP5L,CTT,137.09 
[63120] SELL,8pCSyzEP5L,KDA,345.95 
[63154] DISPLAY_SUMMARY,8pCSyzEP5L 
[63245] SET_SELL_TRIGGER,8pCSyzEP5L,BPK,138.74 
[63434] SET_BUY_AMOUNT,8pCSyzEP5L,GYF,257.43 
[63450] SET_BUY_TRIGGER,8pCSyzEP5L,CBO,153.99 
[63512] SET_SELL_AMOUNT,8pCSyzEP5L,XQC,248.15 
[63614] BUY,8pCSyzEP5L,WLT,99.79 
[63749] QUOTE,8pCSyzEP5L,BTP 
[63861] SELL,8pCSyzEP5L,ZTI,34.71 
[63913] BUY,8pCSyzEP5L,ALM,696.70 
[64011] CANCEL_BUY,8pCSyzEP5L 
[64074] SELL,8pCSyzEP5L,JZJ,247.36 
[64097] SET_SELL_AMOUNT,8pCSyzEP5L,VTY,146.67 
[64098] SET_SELL_TRIGGER,8pCSyzEP5L,VTY,129.21 
[64136] DISPLAY_SUMMARY,8pCSyzEP5L 
[64190] ADD,8pCSyzEP5L,83453.04 
[64247] BUY,8pCSyzEP5L,IUN,658.55 
[64273] SET_SELL_AMOUNT,8pCSyzEP5L,QGE,673.47 
[64379] SET_SELL_TRIGGER,8pCSyzEP5L,QGE,652.64 
[64383] ADD,8pCSyzEP5L,63815.31 
[64438] CANCEL_SET_BUY,8pCSyzEP5L,YBO 
[64535] CANCEL_SET_BUY,8pCSyzEP5L,WAO 
[64589] ADD,8pCSyzEP5L,71611.76 
[64717] BUY,8pCSyzEP5L,OOT,98.94 
[64790] COMMIT_BUY,8pCSyzEP5L 
[64819] ADD,8pCSyzEP5L,64589.28 
[64928] CANCEL_BUY,8pCSyzEP5L 
[64965] CANCEL_SET_BUY,8pCSyzEP5L,LMB 
[65158] DISPLAY_SUMMARY,8pCSyzEP5L 
[65311] SET_SELL_TRIGGER,8pCSyzEP5L,SMS,116.58 
[65317] SELL,8pCSyzEP5L,JZJ,541.10 
[65399] DISPLAY_SUMMARY,8pCSyzEP5L 
[65682] CANCEL_SET_SELL,8pCSyzEP5L,UBJ 
[65733] DISPLAY_SUMMARY,8pCSyzEP5L 
[65856] ADD,8pCSyzEP5L,78604.11 
[66030] ADD,8pCSyzEP5L,70324.59 
[66101] QUOTE,8pCSyzEP5L,ZWC 
[66198] ADD,8pCSyzEP5L,82442.75 
[66298] BUY,8pCSyzEP5L,AEM,94.56 
[66311] COMMIT_BUY,8pCSyzEP5L 
[66426] DISPLAY_SUMMARY,8pCSyzEP5L 
[66495] BUY,8pCSyzEP5L,NJF,399.26 
[66739] COMMIT_BUY,8pCSyzEP5L 
[66816] DISPLAY_SUMMARY,8pCSyzEP5L 
[66840] SET_BUY_AMOUNT,8pCSyzEP5L,JRJ,192.82 
[66925] SET_BUY_TRIGGER,8pCSyzEP5L,RFI,75.31 
[66956] CANCEL_SET_BUY,8pCSyzEP5L,CMA 
[67103] QUOTE,8pCSyzEP5L,NGB 
[67248] ADD,8pCSyzEP5L,69256.63 
[67444] QUOTE,8pCSyzEP5L,JRJ 
[67452] QUOTE,8pCSyzEP5L,XUY 
[67683] QUOTE,8pCSyzEP5L,DHA 
[67691] QUOTE,8pCSyzEP5L,ZNY 
[67805] BUY,8pCSyzEP5L,DQW,104.65 
[68018] CANCEL_SET_BUY,8pCSyzEP5L,ECX 
[68201] ADD,8pCSyzEP5L,59692.65 
[68225] SET_SELL_AMOUNT,8pCSyzEP5L,MFX,635.18 
[68612] SET_SELL_TRIGGER,8pCSyzEP5L,MFX,599.83 
[68632] SET_SELL_AMOUNT,8pCSyzEP5L,RUN,102.84 
[68768] SET_SELL_TRIGGER,8pCSyzEP5L,RUN,80.24 
[68788] SET_BUY_AMOUNT,8pCSyzEP5L,CSZ,336.04 
[68820] SET_BUY_TRIGGER,8pCSyzEP5L,HSJ,100.27 
[68853] CANCEL_SELL,8pCSyzEP5L 
[68916] DISPLAY_SUMMARY,8pCSyzEP5L 
[68935] BUY,8pCSyzEP5L,EIH,270.33 
[69004] CANCEL_BUY,8pCSyzEP5L 
[69117] SET_SELL_AMOUNT,8pCSyzEP5L,SUS,74.96 
[69430] SET_SELL_TRIGGER,8pCSyzEP5L,SUS,52.62 
[69555] SET_BUY_TRIGGER,8pCSyzEP5L,IOY,6.30 
[69607] SET_BUY_AMOUNT,8pCSyzEP5L,RNK,733.39 
[69614] SET_BUY_TRIGGER,8pCSyzEP5L,SCK,705.76 
[69867] SET_SELL_TRIGGER,8pCSyzEP5L,XVK,120.31 
[69945] SELL,8pCSyzEP5L,ZTI,214.32 
[69952] DISPLAY_SUMMARY,8pCSyzEP5L 
[70055] ADD,8pCSyzEP5L,57678.53 
[70155] SET_BUY_AMOUNT,8pCSyzEP5L,GRM,604.21 
[70386] BUY,8pCSyzEP5L,OEM,108.64 
[70452] SELL,8pCSyzEP5L,KES,78.66 
[70513] COMMIT_SELL,8pCSyzEP5L 
[70568] BUY,8pCSyzEP5L,QPR,699.24 
[70670] COMMIT_SELL,8pCSyzEP5L 
[70737] DISPLAY_SUMMARY,8pCSyzEP5L 
[70867] ADD,8pCSyzEP5L,69083.00 
[71016] BUY,8pCSyzEP5L,BEC,367.72 
[71020] COMMIT_BUY,8pCSyzEP5L 
[71218] BUY,8pCSyzEP5L,AHO,94.52 
[71272] COMMIT_BUY,8pCSyzEP5L 
[71347] DISPLAY_SUMMARY,8pCSyzEP5L 
[71915] SET_SELL_TRIGGER,8pCSyzEP5L,SAR,52.47 
[71919] SET_BUY_AMOUNT,8pCSyzEP5L,JRJ,59.51 
[71940] SET_BUY_TRIGGER,8pCSyzEP5L,HSJ,12.73 
[72199] SET_BUY_TRIGGER,8pCSyzEP5L,PXS,27.23 
[72209] ADD,8pCSyzEP5L,82377.84 
[72352] BUY,8pCSyzEP5L,FIY,169.39 
[72519] COMMIT_BUY,8pCSyzEP5L 
[72662] DISPLAY_SUMMARY,8pCSyzEP5L 
[72715] SELL,8pCSyzEP5L,NHG,496.32 
[72864] COMMIT_SELL,8pCSyzEP5L 
[72950] QUOTE,8pCSyzEP5L,JNO 
[72968] BUY,8pCSyzEP5L,SKW,126.23 
[72984] COMMIT_BUY,8pCSyzEP5L 
[73089] QUOTE,8pCSyzEP5L,MMY 
[73124] COMMIT_SELL,8pCSyzEP5L 
[73150] SELL,8pCSyzEP5L,RUN,215.12 
[73213] DISPLAY_SUMMARY,8pCSyzEP5L 
[73385] SET_BUY_TRIGGER,8pCSyzEP5L,WCY,136.25 
[73478] ADD,8pCSyzEP5L,53454.51 
[73579] QUOTE,8pCSyzEP5L,VOU 
[73740] QUOTE,8pCSyzEP5L,GJR 
[73857] COMMIT_SELL,8pCSyzEP5L 
[73955] ADD,8pCSyzEP5L,64479.35 
[74082] BUY,8pCSyzEP5L,OEX,213.34 
[74161] COMMIT_BUY,8pCSyzEP5L 
[74193] QUOTE,8pCSyzEP5L,WTL 
[74309] SET_SELL_AMOUNT,8pCSyzEP5L,IFN,588.81 
[74336] SET_SELL_TRIGGER,8pCSyzEP5L,IFN,254.59 
[74355] SELL,8pCSyzEP5L,ZTI,590.98 
[74444] CANCEL_SELL,8pCSyzEP5L 
[74451] ADD,8pCSyzEP5L,56315.78 
[74592] BUY,8pCSyzEP5L,FNY,177.52 
[74678] COMMIT_BUY,8pCSyzEP5L 
[74728] DISPLAY_SUMMARY,8pCSyzEP5L 
[74818] SET_SELL_AMOUNT,8pCSyzEP5L,UTV,634.09 
[74887] SET_SELL_TRIGGER,8pCSyzEP5L,UTV,203.01 
[75019] SET_BUY_AMOUNT,8pCSyzEP5L,BYA,250.96 
[75043] SET_BUY_TRIGGER,8pCSyzEP5L,NHG,129.74 
[75074] CANCEL_SELL,8pCSyzEP5L 
[75082] DISPLAY_SUMMARY,8pCSyzEP5L 
[75111] SELL,8pCSyzEP5L,ZTI,297.98 
[75133] COMMIT_SELL,8pCSyzEP5L 
[75297] SET_SELL_AMOUNT,8pCSyzEP5L,UIE,170.19 
[75443] SET_SELL_TRIGGER,8pCSyzEP5L,UIE,45.58 
[75496] SET_BUY_TRIGGER,8pCSyzEP5L,ZEU,142.59 
[75530] ADD,8pCSyzEP5L,79643.12 
[75645] QUOTE,8pCSyzEP5L,JGO 
[75761] QUOTE,8pCSyzEP5L,XXT 
[75845] BUY,8pCSyzEP5L,SSW,206.24 
[76241] COMMIT_BUY,8pCSyzEP5L 
[76335] ADD,8pCSyzEP5L,99336.40 
[76468] QUOTE,8pCSyzEP5L,XRK 
[76516] QUOTE,8pCSyzEP5L,CUZ 
[76539] BUY,8pCSyzEP5L,YLZ,277.44 
[76653] CANCEL_SET_SELL,8pCSyzEP5L,GYF 
[76706] DISPLAY_SUMMARY,8pCSyzEP5L 
[76716] DISPLAY_SUMMARY,8pCSyzEP5L 
[76912] ADD,8pCSyzEP5L,71650.53 
[77356] BUY,8pCSyzEP5L,LLZ,194.52 
[77402] COMMIT_BUY,8pCSyzEP5L 
[77405] ADD,8pCSyzEP5L,64332.62 
[77547] SELL,8pCSyzEP5L,AVX,226.15 
[77713] QUOTE,8pCSyzEP5L,KAH 
[77785] CANCEL_SET_SELL,8pCSyzEP5L,PCK 
[77864] SELL,8pCSyzEP5L,UIE,19.70 
[78039] COMMIT_SELL,8pCSyzEP5L 
[78099] SET_SELL_AMOUNT,8pCSyzEP5L,BYA,326.34 
[78105] SET_SELL_TRIGGER,8pCSyzEP5L,BYA,314.50 
[78116] SET_BUY_AMOUNT,8pCSyzEP5L,FQP,373.21 
[78239] SET_BUY_TRIGGER,8pCSyzEP5L,LPS,336.67 
[78490] BUY,8pCSyzEP5L,SSF,571.44 
[78562] COMMIT_BUY,8pCSyzEP5L 
[78897] CANCEL_SET_SELL,8pCSyzEP5L,SQS 
[79106] CANCEL_SET_SELL,8pCSyzEP5L,YBB 
[79132] SET_SELL_TRIGGER,8pCSyzEP5L,KZC,191.12 
[79143] SET_BUY_TRIGGER,8pCSyzEP5L,ZNL,116.22 
[79144] SET_SELL_TRIGGER,8pCSyzEP5L,GSW,115.34 
[79179] SELL,8pCSyzEP5L,SUS,592.25 
[79226] ADD,8pCSyzEP5L,32714.09 
[79457] QUOTE,8pCSyzEP5L,FKX 
[79726] BUY,8pCSyzEP5L,PHE,488.93 
[79898] SET_BUY_TRIGGER,8pCSyzEP5L,SJH,32.49 
[79910] SELL,8pCSyzEP5L,CEC,654.20 
[79973] COMMIT_BUY,8pCSyzEP5L 
[79983] ADD,8pCSyzEP5L,72844.12 
[80045] BUY,8pCSyzEP5L,QJZ,488.05 
[80230] CANCEL_SET_BUY,8pCSyzEP5L,WSG 
[80277] ADD,8pCSyzEP5L,40504.10 
[80279] QUOTE,8pCSyzEP5L,TFZ 
[80366] BUY,8pCSyzEP5L,SYM,649.09 
[80447] CANCEL_SELL,8pCSyzEP5L 
[80522] BUY,8pCSyzEP5L,KQZ,422.55 
[80547] SET_BUY_AMOUNT,8pCSyzEP5L,DFE,147.50 
[80635] SET_BUY_TRIGGER,8pCSyzEP5L,ZMA,56.56 
[80708] SET_BUY_TRIGGER,8pCSyzEP5L,CWA,30.52 
[80763] DISPLAY_SUMMARY,8pCSyzEP5L 
[80774] CANCEL_BUY,8pCSyzEP5L 
[80867] BUY,8pCSyzEP5L,GLO,630.49 
[80978] CANCEL_SET_BUY,8pCSyzEP5L,DWU 
[81125] DISPLAY_SUMMARY,8pCSyzEP5L 
[81198] SET_SELL_TRIGGER,8pCSyzEP5L,MLI,48.43 
[81270] ADD,8pCSyzEP5L,42302.44 
[81297] COMMIT_BUY,8pCSyzEP5L 
[81330] SELL,8pCSyzEP5L,SUS,203.48 
[81545] CANCEL_SELL,8pCSyzEP5L 
[81607] CANCEL_SELL,8pCSyzEP5L 
[81850] QUOTE,8pCSyzEP5L,ZFJ 
[82089] SET_BUY_TRIGGER,8pCSyzEP5L,WNX,144.53 
[82348] SET_SELL_TRIGGER,8pCSyzEP5L,BPE,199.12 
[82475] ADD,8pCSyzEP5L,82704.15 
[82509] COMMIT_BUY,8pCSyzEP5L 
[82541] SET_SELL_TRIGGER,8pCSyzEP5L,YKB,76.35 
[82714] ADD,8pCSyzEP5L,47961.43 
[82758] BUY,8pCSyzEP5L,UFX,379.28 
[82783] COMMIT_BUY,8pCSyzEP5L 
[82987] ADD,8pCSyzEP5L,78575.02 
[83267] QUOTE,8pCSyzEP5L,KAS 
[83281] COMMIT_BUY,8pCSyzEP5L 
[83355] QUOTE,8pCSyzEP5L,LMO 
[83531] QUOTE,8pCSyzEP5L,YNY 
[83637] ADD,8pCSyzEP5L,71214.68 
[83919] SELL,8pCSyzEP5L,HFS,663.65 
[84110] COMMIT_SELL,8pCSyzEP5L 
[84150] QUOTE,8pCSyzEP5L,QAA 
[84186] SET_BUY_AMOUNT,8pCSyzEP5L,HFS,186.24 
[84230] SET_BUY_TRIGGER,8pCSyzEP5L,TUO,27.04 
[84304] SET_BUY_TRIGGER,8pCSyzEP5L,YLZ,97.80 
[84438] BUY,8pCSyzEP5L,JEA,172.33 
[84573] COMMIT_BUY,8pCSyzEP5L 
[84716] ADD,8pCSyzEP5L,58832.81 
[84917] BUY,8pCSyzEP5L,IOY,656.71 
[84940] COMMIT_BUY,8pCSyzEP5L 
[85168] ADD,8pCSyzEP5L,55202.75 
[85447] BUY,8pCSyzEP5L,JUE,318.43 
[85485] COMMIT_BUY,8pCSyzEP5L 
[85723] BUY,8pCSyzEP5L,KQZ,146.66 
[85753] SET_BUY_AMOUNT,8pCSyzEP5L,CUZ,15.66 
[85896] SET_BUY_TRIGGER,8pCSyzEP5L,DWX,4.38 
[86090] ADD,8pCSyzEP5L,74198.38 
[86102] BUY,8pCSyzEP5L,QBD,529.37 
[86212] CANCEL_SELL,8pCSyzEP5L 
[86323] SET_BUY_AMOUNT,8pCSyzEP5L,QVK,400.02 
[86460] SET_BUY_TRIGGER,8pCSyzEP5L,OIV,90.80 
[86491] DISPLAY_SUMMARY,8pCSyzEP5L 
[86492] BUY,8pCSyzEP5L,CZQ,311.86 
[86599] COMMIT_BUY,8pCSyzEP5L 
[86639] ADD,8pCSyzEP5L,56487.53 
[86687] ADD,8pCSyzEP5L,88409.30 
[86889] BUY,8pCSyzEP5L,NXU,487.32 
[87213] SELL,8pCSyzEP5L,LZV,24.93 
[87261] DISPLAY_SUMMARY,8pCSyzEP5L 
[87339] SET_BUY_AMOUNT,8pCSyzEP5L,BYA,97.58 
[87377] SET_BUY_TRIGGER,8pCSyzEP5L,CBQ,62.05 
[87446] SELL,8pCSyzEP5L,TKM,694.37 
[87468] CANCEL_SELL,8pCSyzEP5L 
[87503] CANCEL_SET_BUY,8pCSyzEP5L,JEA 
[87541] SELL,8pCSyzEP5L,RUN,288.84 
[87564] COMMIT_SELL,8pCSyzEP5L 
[87618] QUOTE,8pCSyzEP5L,XRK 
[87668] BUY,8pCSyzEP5L,MDZ,293.52 
[87686] COMMIT_BUY,8pCSyzEP5L 
[87695] ADD,8pCSyzEP5L,86449.10 
[87942] BUY,8pCSyzEP5L,XBL,702.29 
[88062] CANCEL_BUY,8pCSyzEP5L 
[88128] SELL,8pCSyzEP5L,KYX,656.92 
[88176] QUOTE,8pCSyzEP5L,ZMS 
[88255] COMMIT_SELL,8pCSyzEP5L 
[88421] DISPLAY_SUMMARY,8pCSyzEP5L 
[88827] ADD,8pCSyzEP5L,55373.71 
[88876] QUOTE,8pCSyzEP5L,DWU 
[89002] CANCEL_BUY,8pCSyzEP5L 
[89431] BUY,8pCSyzEP5L,KYT,180.51 
[89623] COMMIT_BUY,8pCSyzEP5L 
[89656] SET_SELL_AMOUNT,8pCSyzEP5L,BJL,743.66 
[89693] SET_SELL_TRIGGER,8pCSyzEP5L,BJL,435.73 
[89785] ADD,8pCSyzEP5L,50408.75 
[89795] BUY,8pCSyzEP5L,SOA,632.68 
[89842] COMMIT_BUY,8pCSyzEP5L 
[90036] SET_SELL_TRIGGER,8pCSyzEP5L,KAS,134.89 
[90087] ADD,8pCSyzEP5L,74006.08 
[90246] CANCEL_SELL,8pCSyzEP5L 
[90416] CANCEL_SET_SELL,8pCSyzEP5L,LZB 
[90464] BUY,8pCSyzEP5L,EIH,610.89 
[91309] CANCEL_SET_BUY,8pCSyzEP5L,YTO 
[91363] SET_BUY_TRIGGER,8pCSyzEP5L,ZPD,20.69 
[91366] QUOTE,8pCSyzEP5L,GGI 
[91509] SELL,8pCSyzEP5L,TKM,556.75 
[91536] SET_BUY_AMOUNT,8pCSyzEP5L,KBN,643.96 
[91569] SET_BUY_TRIGGER,8pCSyzEP5L,WGV,197.78 
[91659] DISPLAY_SUMMARY,8pCSyzEP5L 
[91711] SET_SELL_AMOUNT,8pCSyzEP5L,TVI,124.02 
[91744] QUOTE,8pCSyzEP5L,XLI 
[91799] BUY,8pCSyzEP5L,DDH,145.14 
[91838] ADD,8pCSyzEP5L,71674.22 
[91909] QUOTE,8pCSyzEP5L,PBX 
[92058] SET_BUY_AMOUNT,8pCSyzEP5L,MFX,396.70 
[92674] SET_BUY_TRIGGER,8pCSyzEP5L,IFN,22.45 
[92685] SET_BUY_TRIGGER,8pCSyzEP5L,LLD,34.72 
[92868] ADD,8pCSyzEP5L,79924.82 
[92879] BUY,8pCSyzEP5L,TVX,411.66 
[92935] SET_BUY_AMOUNT,8pCSyzEP5L,ZTI,622.08 
[93013] SET_BUY_TRIGGER,8pCSyzEP5L,PRJ,508.05 
[93074] DISPLAY_SUMMARY,8pCSyzEP5L 
[93213] CANCEL_SELL,8pCSyzEP5L 
[93433] ADD,8pCSyzEP5L,80833.59 
[93441] CANCEL_SET_BUY,8pCSyzEP5L,OEX 
