[20] ADD,HPxIuj9S6A,62213.48 
[49219] DISPLAY_SUMMARY,HPxIuj9S6A 
[49290] QUOTE,HPxIuj9S6A,GMS 
[49363] QUOTE,HPxIuj9S6A,JDO 
[49425] DISPLAY_SUMMARY,HPxIuj9S6A 
[49520] SET_SELL_TRIGGER,HPxIuj9S6A,XXN,169.82 
[49545] ADD,HPxIuj9S6A,69493.60 
[49836] QUOTE,HPxIuj9S6A,VOU 
[49946] SET_SELL_AMOUNT,HPxIuj9S6A,ZTI,513.92 
[49954] SET_SELL_TRIGGER,HPxIuj9S6A,ZTI,454.09 
[50029] SET_SELL_TRIGGER,HPxIuj9S6A,LKV,48.04 
[50036] ADD,HPxIuj9S6A,53442.93 
[50080] BUY,HPxIuj9S6A,VEX,116.27 
[50185] COMMIT_BUY,HPxIuj9S6A 
[50382] SET_SELL_AMOUNT,HPxIuj9S6A,GYF,38.99 
[50388] SET_SELL_TRIGGER,HPxIuj9S6A,GYF,37.65 
[50405] CANCEL_SET_BUY,HPxIuj9S6A,EBS 
[50469] CANCEL_BUY,HPxIuj9S6A 
[50489] BUY,HPxIuj9S6A,MIU,86.31 
[50604] COMMIT_BUY,HPxIuj9S6A 
[50623] SELL,HPxIuj9S6A,JCQ,2.38 
[50647] CANCEL_SET_BUY,HPxIuj9S6A,FFI 
[50842] SET_BUY_AMOUNT,HPxIuj9S6A,UTV,730.39 
[51026] SET_BUY_TRIGGER,HPxIuj9S6A,ZZD,610.94 
[51110] BUY,HPxIuj9S6A,LRS,332.17 
[51415] BUY,HPxIuj9S6A,ATE,666.61 
[51440] CANCEL_SET_SELL,HPxIuj9S6A,LLE 
[51546] ADD,HPxIuj9S6A,50960.34 
[51691] QUOTE,HPxIuj9S6A,URY 
[51703] QUOTE,HPxIuj9S6A,JLK 
[51784] COMMIT_SELL,HPxIuj9S6A 
[51832] DISPLAY_SUMMARY,HPxIuj9S6A 
[51885] SET_BUY_TRIGGER,HPxIuj9S6A,DBC,75.49 
[52186] SET_BUY_TRIGGER,HPxIuj9S6A,HEJ,33.08 
[52217] BUY,HPxIuj9S6A,PDB,81.47 
[52395] COMMIT_BUY,HPxIuj9S6A 
[52512] SELL,HPxIuj9S6A,PTP,266.54 
[52594] COMMIT_SELL,HPxIuj9S6A 
[52648] QUOTE,HPxIuj9S6A,CBQ 
[52772] CANCEL_BUY,HPxIuj9S6A 
[52870] SET_BUY_TRIGGER,HPxIuj9S6A,WQE,146.93 
[52903] SET_SELL_TRIGGER,HPxIuj9S6A,WAI,177.65 
[52915] SELL,HPxIuj9S6A,ZAN,137.74 
[53175] COMMIT_SELL,HPxIuj9S6A 
[53275] ADD,HPxIuj9S6A,90022.15 
[53338] CANCEL_BUY,HPxIuj9S6A 
[53383] BUY,HPxIuj9S6A,BTD,558.88 
[53453] CANCEL_BUY,HPxIuj9S6A 
[53469] SET_BUY_TRIGGER,HPxIuj9S6A,LEA,77.18 
[53482] SELL,HPxIuj9S6A,UTV,294.75 
[53532] COMMIT_SELL,HPxIuj9S6A 
[53548] ADD,HPxIuj9S6A,68946.23 
[53556] QUOTE,HPxIuj9S6A,POI 
[53705] BUY,HPxIuj9S6A,SEW,470.96 
[53714] COMMIT_BUY,HPxIuj9S6A 
[53725] SET_SELL_AMOUNT,HPxIuj9S6A,JRJ,437.22 
[54043] SET_SELL_TRIGGER,HPxIuj9S6A,JRJ,135.93 
[54077] QUOTE,HPxIuj9S6A,OOR 
[54080] BUY,HPxIuj9S6A,VJV,15.24 
[54177] COMMIT_BUY,HPxIuj9S6A 
[54429] DISPLAY_SUMMARY,HPxIuj9S6A 
[54434] SELL,HPxIuj9S6A,ZTI,44.70 
[54516] COMMIT_SELL,HPxIuj9S6A 
[54641] SET_SELL_AMOUNT,HPxIuj9S6A,RUN,622.73 
[54697] SET_SELL_TRIGGER,HPxIuj9S6A,RUN,187.39 
[54727] SELL,HPxIuj9S6A,JQO,33.89 
[54761] SET_SELL_AMOUNT,HPxIuj9S6A,YJK,87.03 
[54915] SET_SELL_TRIGGER,HPxIuj9S6A,YJK,49.99 
[55114] SET_BUY_AMOUNT,HPxIuj9S6A,AVX,442.23 
[55201] SET_BUY_TRIGGER,HPxIuj9S6A,YCH,206.92 
[55270] SELL,HPxIuj9S6A,NHG,348.97 
[55278] COMMIT_SELL,HPxIuj9S6A 
[55283] SET_BUY_AMOUNT,HPxIuj9S6A,UTV,427.73 
[55381] SET_BUY_TRIGGER,HPxIuj9S6A,DWF,44.38 
[55421] ADD,HPxIuj9S6A,70265.20 
[55512] SET_SELL_AMOUNT,HPxIuj9S6A,XXQ,324.62 
[55640] CANCEL_SET_SELL,HPxIuj9S6A,XXQ 
[55948] SET_SELL_AMOUNT,HPxIuj9S6A,JRJ,312.00 
[56032] SET_SELL_TRIGGER,HPxIuj9S6A,JRJ,300.37 
[56243] ADD,HPxIuj9S6A,55443.88 
[56280] BUY,HPxIuj9S6A,SKY,3.43 
[56285] COMMIT_SELL,HPxIuj9S6A 
[56446] ADD,HPxIuj9S6A,58322.22 
[56500] QUOTE,HPxIuj9S6A,PVZ 
[56580] BUY,HPxIuj9S6A,KBI,448.40 
[56740] SET_SELL_AMOUNT,HPxIuj9S6A,KES,320.23 
[56775] SET_SELL_TRIGGER,HPxIuj9S6A,KES,0.90 
[57467] SET_BUY_AMOUNT,HPxIuj9S6A,RNK,95.69 
[57485] SET_BUY_TRIGGER,HPxIuj9S6A,HZP,62.33 
[57495] DISPLAY_SUMMARY,HPxIuj9S6A 
[57699] DISPLAY_SUMMARY,HPxIuj9S6A 
[57709] BUY,HPxIuj9S6A,CNN,319.66 
[57913] CANCEL_SELL,HPxIuj9S6A 
[57987] DISPLAY_SUMMARY,HPxIuj9S6A 
[58107] SET_SELL_TRIGGER,HPxIuj9S6A,SIK,79.54 
[58260] QUOTE,HPxIuj9S6A,ZMK 
[58459] SET_BUY_AMOUNT,HPxIuj9S6A,UBJ,241.83 
[58619] SET_BUY_TRIGGER,HPxIuj9S6A,ZNZ,36.97 
[58645] BUY,HPxIuj9S6A,WHR,93.34 
[58688] SET_BUY_AMOUNT,HPxIuj9S6A,KDA,318.64 
[59198] CANCEL_SET_BUY,HPxIuj9S6A,PFN 
[59442] SELL,HPxIuj9S6A,UBJ,102.88 
[59523] COMMIT_SELL,HPxIuj9S6A 
[59561] SET_SELL_AMOUNT,HPxIuj9S6A,JCQ,423.29 
[59571] SET_SELL_TRIGGER,HPxIuj9S6A,JCQ,83.12 
[59597] SET_BUY_TRIGGER,HPxIuj9S6A,EWP,135.63 
[59629] SET_SELL_TRIGGER,HPxIuj9S6A,PDX,94.32 
[59631] QUOTE,HPxIuj9S6A,BVN 
[59723] BUY,HPxIuj9S6A,ECI,577.50 
[59778] CANCEL_SELL,HPxIuj9S6A 
[59799] BUY,HPxIuj9S6A,ZPD,154.23 
[59867] BUY,HPxIuj9S6A,WJS,127.97 
[59874] CANCEL_BUY,HPxIuj9S6A 
[59878] ADD,HPxIuj9S6A,57833.66 
[59914] CANCEL_BUY,HPxIuj9S6A 
[60221] SET_BUY_TRIGGER,HPxIuj9S6A,AJL,124.90 
[60312] CANCEL_SET_SELL,HPxIuj9S6A,XLV 
[60399] SET_SELL_AMOUNT,HPxIuj9S6A,QAX,709.42 
[60478] SET_SELL_TRIGGER,HPxIuj9S6A,QAX,670.35 
[60490] DISPLAY_SUMMARY,HPxIuj9S6A 
[60663] SET_SELL_AMOUNT,HPxIuj9S6A,JZJ,281.76 
[60726] SET_SELL_TRIGGER,HPxIuj9S6A,JZJ,86.80 
[60744] QUOTE,HPxIuj9S6A,YVS 
[60870] BUY,HPxIuj9S6A,MIR,167.60 
[61098] ADD,HPxIuj9S6A,46826.31 
[61147] BUY,HPxIuj9S6A,ZWZ,114.52 
[61339] COMMIT_BUY,HPxIuj9S6A 
[61472] ADD,HPxIuj9S6A,82808.27 
[61595] BUY,HPxIuj9S6A,JDO,339.35 
[61709] COMMIT_BUY,HPxIuj9S6A 
[61718] SELL,HPxIuj9S6A,XXQ,254.78 
[61800] COMMIT_SELL,HPxIuj9S6A 
[61832] SET_BUY_TRIGGER,HPxIuj9S6A,JTX,187.02 
[61979] SET_BUY_AMOUNT,HPxIuj9S6A,CUZ,426.34 
[61990] SET_BUY_TRIGGER,HPxIuj9S6A,SAR,218.73 
[62011] ADD,HPxIuj9S6A,66947.23 
[62037] BUY,HPxIuj9S6A,ZNW,33.09 
[62060] COMMIT_BUY,HPxIuj9S6A 
[62105] QUOTE,HPxIuj9S6A,ERF 
[62249] BUY,HPxIuj9S6A,NDJ,699.94 
[62360] COMMIT_SELL,HPxIuj9S6A 
[62515] QUOTE,HPxIuj9S6A,UDN 
[62647] BUY,HPxIuj9S6A,PBX,416.49 
[62844] COMMIT_BUY,HPxIuj9S6A 
[62856] ADD,HPxIuj9S6A,53944.85 
[62887] BUY,HPxIuj9S6A,DRP,51.39 
[62916] CANCEL_SET_BUY,HPxIuj9S6A,LJZ 
[63062] SET_SELL_AMOUNT,HPxIuj9S6A,UBJ,419.82 
[63256] SET_SELL_TRIGGER,HPxIuj9S6A,UBJ,211.23 
[63365] SET_BUY_AMOUNT,HPxIuj9S6A,EBS,513.68 
[63393] SET_BUY_TRIGGER,HPxIuj9S6A,YZH,232.30 
[63453] SET_SELL_TRIGGER,HPxIuj9S6A,VEX,8.08 
[63526] SET_BUY_TRIGGER,HPxIuj9S6A,WYO,167.47 
[63571] DISPLAY_SUMMARY,HPxIuj9S6A 
[63668] SET_SELL_TRIGGER,HPxIuj9S6A,DDA,171.89 
[63688] SET_SELL_AMOUNT,HPxIuj9S6A,PTP,472.03 
[63957] SET_SELL_TRIGGER,HPxIuj9S6A,PTP,438.21 
[64014] SET_BUY_AMOUNT,HPxIuj9S6A,NHG,351.79 
[64234] SELL,HPxIuj9S6A,ZYR,265.33 
[64335] COMMIT_SELL,HPxIuj9S6A 
[64405] QUOTE,HPxIuj9S6A,OAV 
[64417] DISPLAY_SUMMARY,HPxIuj9S6A 
[64475] SET_SELL_AMOUNT,HPxIuj9S6A,EBS,458.25 
[64576] BUY,HPxIuj9S6A,EOY,242.46 
[64605] COMMIT_BUY,HPxIuj9S6A 
[64800] ADD,HPxIuj9S6A,74415.04 
[65298] SET_BUY_AMOUNT,HPxIuj9S6A,CUZ,402.50 
[65372] CANCEL_SET_BUY,HPxIuj9S6A,OYX 
[65383] SELL,HPxIuj9S6A,OPN,342.21 
[65421] COMMIT_SELL,HPxIuj9S6A 
[65528] SET_BUY_TRIGGER,HPxIuj9S6A,RNK,28.76 
[65616] SET_BUY_AMOUNT,HPxIuj9S6A,QJZ,262.35 
[65828] CANCEL_SET_BUY,HPxIuj9S6A,ZWZ 
[65849] COMMIT_SELL,HPxIuj9S6A 
[65858] QUOTE,HPxIuj9S6A,ZNL 
[65935] QUOTE,HPxIuj9S6A,NJB 
[65958] BUY,HPxIuj9S6A,CBQ,14.76 
[66179] COMMIT_BUY,HPxIuj9S6A 
[66345] QUOTE,HPxIuj9S6A,KAS 
[66424] SET_BUY_AMOUNT,HPxIuj9S6A,BYA,51.26 
[66569] SET_BUY_TRIGGER,HPxIuj9S6A,XAB,37.15 
[66669] SET_SELL_AMOUNT,HPxIuj9S6A,QGE,168.09 
[66761] SET_SELL_TRIGGER,HPxIuj9S6A,QGE,161.13 
[66772] SET_BUY_TRIGGER,HPxIuj9S6A,WAO,38.83 
[66962] CANCEL_SELL,HPxIuj9S6A 
[67157] DISPLAY_SUMMARY,HPxIuj9S6A 
[67177] ADD,HPxIuj9S6A,81568.44 
[67192] SET_SELL_AMOUNT,HPxIuj9S6A,CSZ,264.76 
[67250] SET_SELL_TRIGGER,HPxIuj9S6A,CSZ,168.93 
[67376] ADD,HPxIuj9S6A,78307.86 
[67493] DISPLAY_SUMMARY,HPxIuj9S6A 
[67700] DISPLAY_SUMMARY,HPxIuj9S6A 
[67741] SET_SELL_AMOUNT,HPxIuj9S6A,VTY,546.59 
[67780] CANCEL_SET_SELL,HPxIuj9S6A,VTY 
[68007] BUY,HPxIuj9S6A,OOI,53.78 
[68104] DISPLAY_SUMMARY,HPxIuj9S6A 
[68185] SELL,HPxIuj9S6A,ZAN,128.34 
[68503] CANCEL_BUY,HPxIuj9S6A 
[68513] SET_BUY_TRIGGER,HPxIuj9S6A,ZWB,199.72 
[68578] DISPLAY_SUMMARY,HPxIuj9S6A 
[68605] SELL,HPxIuj9S6A,YJK,441.63 
[68921] CANCEL_SELL,HPxIuj9S6A 
[69005] COMMIT_SELL,HPxIuj9S6A 
[69261] SET_SELL_TRIGGER,HPxIuj9S6A,JPP,159.47 
[69453] ADD,HPxIuj9S6A,56624.90 
[69469] QUOTE,HPxIuj9S6A,ATE 
[69517] BUY,HPxIuj9S6A,SDL,148.31 
[69640] COMMIT_BUY,HPxIuj9S6A 
[69667] CANCEL_SET_SELL,HPxIuj9S6A,YGK 
[69671] SET_BUY_TRIGGER,HPxIuj9S6A,FGI,175.90 
[69724] ADD,HPxIuj9S6A,57835.57 
[69925] QUOTE,HPxIuj9S6A,MWV 
[69966] BUY,HPxIuj9S6A,MHI,12.49 
[70070] COMMIT_BUY,HPxIuj9S6A 
[70244] ADD,HPxIuj9S6A,64566.38 
[70303] QUOTE,HPxIuj9S6A,PUC 
[70346] DISPLAY_SUMMARY,HPxIuj9S6A 
[70432] SET_BUY_TRIGGER,HPxIuj9S6A,CMA,7.94 
[70591] SET_SELL_TRIGGER,HPxIuj9S6A,WSR,198.82 
[70600] DISPLAY_SUMMARY,HPxIuj9S6A 
[70648] DISPLAY_SUMMARY,HPxIuj9S6A 
[70761] DISPLAY_SUMMARY,HPxIuj9S6A 
[70862] CANCEL_BUY,HPxIuj9S6A 
[71097] ADD,HPxIuj9S6A,66140.67 
[71178] BUY,HPxIuj9S6A,JPP,315.27 
[71250] QUOTE,HPxIuj9S6A,JEA 
[71266] CANCEL_SET_SELL,HPxIuj9S6A,SDW 
[71300] SELL,HPxIuj9S6A,PTP,454.35 
[71350] COMMIT_BUY,HPxIuj9S6A 
[71365] DISPLAY_SUMMARY,HPxIuj9S6A 
[71371] SET_BUY_AMOUNT,HPxIuj9S6A,JZJ,593.56 
[71398] BUY,HPxIuj9S6A,KRX,468.95 
[71570] COMMIT_BUY,HPxIuj9S6A 
[71639] SET_SELL_AMOUNT,HPxIuj9S6A,PTP,123.79 
[71677] SET_SELL_TRIGGER,HPxIuj9S6A,PTP,39.69 
[71679] DISPLAY_SUMMARY,HPxIuj9S6A 
[71726] SET_BUY_TRIGGER,HPxIuj9S6A,WAO,436.96 
[71898] ADD,HPxIuj9S6A,66925.74 
[71930] BUY,HPxIuj9S6A,LNJ,516.43 
[72201] COMMIT_SELL,HPxIuj9S6A 
[72287] SET_SELL_TRIGGER,HPxIuj9S6A,NAR,186.15 
[72290] SELL,HPxIuj9S6A,GRM,154.06 
[72336] SET_BUY_AMOUNT,HPxIuj9S6A,BYA,415.31 
[72438] SET_BUY_TRIGGER,HPxIuj9S6A,PXX,26.75 
[72501] ADD,HPxIuj9S6A,97404.44 
[72761] QUOTE,HPxIuj9S6A,UGT 
[72941] QUOTE,HPxIuj9S6A,XTH 
[72958] QUOTE,HPxIuj9S6A,RWM 
[73240] BUY,HPxIuj9S6A,NXU,281.56 
[73281] COMMIT_BUY,HPxIuj9S6A 
[73337] SET_BUY_TRIGGER,HPxIuj9S6A,SDW,29.71 
[73448] SET_SELL_AMOUNT,HPxIuj9S6A,FQP,723.08 
[73450] DISPLAY_SUMMARY,HPxIuj9S6A 
[73555] SELL,HPxIuj9S6A,IFN,318.49 
[73587] COMMIT_SELL,HPxIuj9S6A 
[73664] QUOTE,HPxIuj9S6A,KBP 
[73831] ADD,HPxIuj9S6A,68812.18 
[73967] BUY,HPxIuj9S6A,ADY,16.54 
[74026] CANCEL_BUY,HPxIuj9S6A 
[74142] SET_BUY_AMOUNT,HPxIuj9S6A,ZYR,113.30 
[74213] SET_BUY_TRIGGER,HPxIuj9S6A,OQZ,64.71 
[74383] SET_SELL_AMOUNT,HPxIuj9S6A,XQC,603.35 
[74455] BUY,HPxIuj9S6A,AUX,649.15 
[74604] COMMIT_BUY,HPxIuj9S6A 
[74658] COMMIT_SELL,HPxIuj9S6A 
[74672] SET_BUY_AMOUNT,HPxIuj9S6A,FDI,161.83 
[74787] SET_BUY_TRIGGER,HPxIuj9S6A,VYQ,120.60 
[74831] ADD,HPxIuj9S6A,71764.71 
[74838] BUY,HPxIuj9S6A,SDW,450.44 
[75058] COMMIT_BUY,HPxIuj9S6A 
[75065] DISPLAY_SUMMARY,HPxIuj9S6A 
[75209] COMMIT_BUY,HPxIuj9S6A 
[75408] DISPLAY_SUMMARY,HPxIuj9S6A 
[75451] ADD,HPxIuj9S6A,78930.65 
[75501] BUY,HPxIuj9S6A,RVU,510.26 
[75694] COMMIT_BUY,HPxIuj9S6A 
[75776] BUY,HPxIuj9S6A,NDO,706.55 
[75811] SET_BUY_TRIGGER,HPxIuj9S6A,YOQ,124.64 
[75882] SET_BUY_TRIGGER,HPxIuj9S6A,NBX,151.44 
[75911] SET_BUY_AMOUNT,HPxIuj9S6A,XLK,72.16 
[75949] SET_BUY_TRIGGER,HPxIuj9S6A,VFH,27.03 
[75989] DISPLAY_SUMMARY,HPxIuj9S6A 
[76323] SET_SELL_AMOUNT,HPxIuj9S6A,CSZ,234.71 
[76793] SET_SELL_TRIGGER,HPxIuj9S6A,CSZ,124.30 
[77088] DISPLAY_SUMMARY,HPxIuj9S6A 
[77109] QUOTE,HPxIuj9S6A,CXC 
[77163] QUOTE,HPxIuj9S6A,BJL 
[77249] BUY,HPxIuj9S6A,BPE,71.17 
[77357] COMMIT_BUY,HPxIuj9S6A 
[77386] SET_SELL_AMOUNT,HPxIuj9S6A,BYA,141.49 
[77572] SET_SELL_TRIGGER,HPxIuj9S6A,BYA,89.74 
[77598] SET_BUY_TRIGGER,HPxIuj9S6A,FPP,151.11 
[77649] DISPLAY_SUMMARY,HPxIuj9S6A 
[77725] SET_BUY_TRIGGER,HPxIuj9S6A,DGA,175.51 
[77807] ADD,HPxIuj9S6A,66859.49 
[77881] QUOTE,HPxIuj9S6A,KAR 
[78021] ADD,HPxIuj9S6A,97149.36 
[78063] QUOTE,HPxIuj9S6A,OPN 
[78196] DISPLAY_SUMMARY,HPxIuj9S6A 
[78198] CANCEL_SELL,HPxIuj9S6A 
[78236] SET_SELL_AMOUNT,HPxIuj9S6A,BCQ,410.19 
[78296] SELL,HPxIuj9S6A,RUN,344.79 
[78318] COMMIT_SELL,HPxIuj9S6A 
[78359] QUOTE,HPxIuj9S6A,JJW 
[78426] SET_BUY_AMOUNT,HPxIuj9S6A,QJZ,600.88 
[78599] SET_BUY_TRIGGER,HPxIuj9S6A,AUT,138.44 
[78682] QUOTE,HPxIuj9S6A,MRK 
[78697] SET_SELL_AMOUNT,HPxIuj9S6A,QGE,432.41 
[78763] SET_SELL_TRIGGER,HPxIuj9S6A,QGE,269.67 
[78780] ADD,HPxIuj9S6A,78075.47 
[78935] BUY,HPxIuj9S6A,VVW,60.95 
[79075] COMMIT_BUY,HPxIuj9S6A 
[79256] SELL,HPxIuj9S6A,FQP,738.14 
[79360] SET_BUY_AMOUNT,HPxIuj9S6A,RGH,122.75 
[79460] SET_BUY_TRIGGER,HPxIuj9S6A,POE,47.66 
[79553] SET_BUY_AMOUNT,HPxIuj9S6A,JZJ,571.02 
[79832] DISPLAY_SUMMARY,HPxIuj9S6A 
[79882] ADD,HPxIuj9S6A,78547.66 
[80038] COMMIT_BUY,HPxIuj9S6A 
[80715] DISPLAY_SUMMARY,HPxIuj9S6A 
[80911] CANCEL_SET_SELL,HPxIuj9S6A,GJR 
[81259] COMMIT_SELL,HPxIuj9S6A 
[81313] SET_SELL_AMOUNT,HPxIuj9S6A,KDA,239.06 
[81407] SET_SELL_TRIGGER,HPxIuj9S6A,KDA,68.40 
[81791] ADD,HPxIuj9S6A,74033.93 
[82017] SET_BUY_TRIGGER,HPxIuj9S6A,RWY,200.43 
[82037] SELL,HPxIuj9S6A,LZV,428.51 
[82096] DISPLAY_SUMMARY,HPxIuj9S6A 
[82727] DISPLAY_SUMMARY,HPxIuj9S6A 
[82794] BUY,HPxIuj9S6A,VBO,498.65 
[82858] COMMIT_BUY,HPxIuj9S6A 
[82897] ADD,HPxIuj9S6A,88245.54 
[82910] BUY,HPxIuj9S6A,ALM,359.60 
[83088] CANCEL_SELL,HPxIuj9S6A 
[83369] SELL,HPxIuj9S6A,SSF,522.43 
[83507] COMMIT_SELL,HPxIuj9S6A 
[83563] DISPLAY_SUMMARY,HPxIuj9S6A 
[83564] ADD,HPxIuj9S6A,67342.55 
[83597] BUY,HPxIuj9S6A,KCS,517.39 
[83673] COMMIT_BUY,HPxIuj9S6A 
[83803] CANCEL_SET_SELL,HPxIuj9S6A,ZYF 
[83812] QUOTE,HPxIuj9S6A,PXS 
[83820] CANCEL_SET_BUY,HPxIuj9S6A,IHA 
[83844] BUY,HPxIuj9S6A,SOT,700.89 
[83845] COMMIT_BUY,HPxIuj9S6A 
[83990] SELL,HPxIuj9S6A,IFN,705.70 
[84016] COMMIT_SELL,HPxIuj9S6A 
[84022] DISPLAY_SUMMARY,HPxIuj9S6A 
[84199] BUY,HPxIuj9S6A,KAS,461.98 
[84310] COMMIT_BUY,HPxIuj9S6A 
[84318] SET_BUY_AMOUNT,HPxIuj9S6A,AVX,277.41 
[84481] SET_BUY_TRIGGER,HPxIuj9S6A,WUL,36.44 
[84615] ADD,HPxIuj9S6A,97097.73 
[84642] BUY,HPxIuj9S6A,BEG,216.17 
[84773] COMMIT_BUY,HPxIuj9S6A 
[84786] SET_BUY_AMOUNT,HPxIuj9S6A,OEY,674.92 
[84821] SET_BUY_TRIGGER,HPxIuj9S6A,FIY,579.07 
[84909] SET_BUY_TRIGGER,HPxIuj9S6A,SEI,78.75 
[85102] SET_SELL_AMOUNT,HPxIuj9S6A,CUZ,87.40 
[85211] SET_SELL_TRIGGER,HPxIuj9S6A,CUZ,14.63 
[85225] QUOTE,HPxIuj9S6A,TKV 
[85252] ADD,HPxIuj9S6A,90024.55 
[85436] SET_BUY_TRIGGER,HPxIuj9S6A,ATE,80.22 
[85471] ADD,HPxIuj9S6A,60735.25 
[85587] DISPLAY_SUMMARY,HPxIuj9S6A 
[85619] QUOTE,HPxIuj9S6A,UBJ 
[85729] BUY,HPxIuj9S6A,KJH,570.71 
[85770] BUY,HPxIuj9S6A,KPE,181.72 
[85773] COMMIT_BUY,HPxIuj9S6A 
[85794] BUY,HPxIuj9S6A,JXW,82.92 
[85942] DISPLAY_SUMMARY,HPxIuj9S6A 
[85967] DISPLAY_SUMMARY,HPxIuj9S6A 
[85992] BUY,HPxIuj9S6A,LSM,555.37 
[86010] COMMIT_BUY,HPxIuj9S6A 
[86051] BUY,HPxIuj9S6A,IDX,26.38 
[86149] COMMIT_BUY,HPxIuj9S6A 
[86155] BUY,HPxIuj9S6A,FVS,502.60 
[86277] COMMIT_BUY,HPxIuj9S6A 
[86289] ADD,HPxIuj9S6A,55382.78 
[86543] BUY,HPxIuj9S6A,NDD,636.33 
[86587] COMMIT_BUY,HPxIuj9S6A 
[86747] DISPLAY_SUMMARY,HPxIuj9S6A 
[86766] SET_SELL_TRIGGER,HPxIuj9S6A,MXD,171.96 
[86942] SELL,HPxIuj9S6A,OZO,453.44 
[86955] QUOTE,HPxIuj9S6A,ILT 
[86959] SET_SELL_TRIGGER,HPxIuj9S6A,MLU,110.88 
[87114] BUY,HPxIuj9S6A,EGX,624.58 
[87175] CANCEL_BUY,HPxIuj9S6A 
[87263] ADD,HPxIuj9S6A,89508.81 
[87394] BUY,HPxIuj9S6A,PBV,133.91 
[87475] COMMIT_BUY,HPxIuj9S6A 
[87705] SET_SELL_TRIGGER,HPxIuj9S6A,MLI,69.35 
[87856] QUOTE,HPxIuj9S6A,XXT 
[87894] CANCEL_SET_SELL,HPxIuj9S6A,KGV 
[87909] QUOTE,HPxIuj9S6A,NDJ 
[87917] DISPLAY_SUMMARY,HPxIuj9S6A 
[88123] SET_SELL_AMOUNT,HPxIuj9S6A,HFS,81.21 
[88132] SET_SELL_TRIGGER,HPxIuj9S6A,HFS,31.68 
[88173] BUY,HPxIuj9S6A,GMS,264.80 
[88175] COMMIT_BUY,HPxIuj9S6A 
[88278] DISPLAY_SUMMARY,HPxIuj9S6A 
[88526] DISPLAY_SUMMARY,HPxIuj9S6A 
[88554] DISPLAY_SUMMARY,HPxIuj9S6A 
[88581] ADD,HPxIuj9S6A,107820.36 
[88750] BUY,HPxIuj9S6A,KQZ,653.49 
[89133] QUOTE,HPxIuj9S6A,KMV 
[89168] SET_BUY_AMOUNT,HPxIuj9S6A,GRM,512.71 
[89187] SELL,HPxIuj9S6A,JVT,714.30 
[89211] COMMIT_SELL,HPxIuj9S6A 
[89240] DISPLAY_SUMMARY,HPxIuj9S6A 
[89248] SELL,HPxIuj9S6A,BYA,558.17 
[89289] COMMIT_SELL,HPxIuj9S6A 
[89319] ADD,HPxIuj9S6A,52342.41 
[89352] QUOTE,HPxIuj9S6A,GSW 
[89446] CANCEL_SELL,HPxIuj9S6A 
[89451] SET_BUY_TRIGGER,HPxIuj9S6A,SAR,480.88 
[89516] CANCEL_SET_SELL,HPxIuj9S6A,TKG 
[89612] ADD,HPxIuj9S6A,58478.54 
[89674] BUY,HPxIuj9S6A,QNW,531.54 
[89745] CANCEL_BUY,HPxIuj9S6A 
[89974] ADD,HPxIuj9S6A,62989.37 
[90108] CANCEL_BUY,HPxIuj9S6A 
[90353] SELL,HPxIuj9S6A,OEY,396.08 
[90401] CANCEL_SELL,HPxIuj9S6A 
[90443] SET_SELL_TRIGGER,HPxIuj9S6A,OXK,197.84 
[90665] SET_SELL_TRIGGER,HPxIuj9S6A,UEC,161.87 
[90681] BUY,HPxIuj9S6A,GUW,568.64 
[90936] COMMIT_BUY,HPxIuj9S6A 
[91123] SET_BUY_AMOUNT,HPxIuj9S6A,IQJ,21.67 
[91207] BUY,HPxIuj9S6A,ROW,601.21 
[91287] CANCEL_SET_SELL,HPxIuj9S6A,KMZ 
[91559] QUOTE,HPxIuj9S6A,BFU 
[91740] CANCEL_BUY,HPxIuj9S6A 
[91742] BUY,HPxIuj9S6A,MOF,51.08 
[91795] COMMIT_BUY,HPxIuj9S6A 
[91896] ADD,HPxIuj9S6A,75775.46 
[91962] BUY,HPxIuj9S6A,QVK,74.47 
[92026] QUOTE,HPxIuj9S6A,JQJ 
[92069] BUY,HPxIuj9S6A,YGK,86.78 
[92214] ADD,HPxIuj9S6A,46112.74 
[92373] BUY,HPxIuj9S6A,KAS,282.00 
[92604] COMMIT_BUY,HPxIuj9S6A 
[92813] DISPLAY_SUMMARY,HPxIuj9S6A 
[92905] BUY,HPxIuj9S6A,GWS,563.71 
[93202] CANCEL_BUY,HPxIuj9S6A 
[93211] SET_BUY_TRIGGER,HPxIuj9S6A,PUO,20.62 
[93401] SET_BUY_AMOUNT,HPxIuj9S6A,CUZ,636.55 
[93417] QUOTE,HPxIuj9S6A,YBP 
[93524] CANCEL_SELL,HPxIuj9S6A 
[93548] ADD,HPxIuj9S6A,64538.71 
[93567] BUY,HPxIuj9S6A,CZQ,63.34 
[93702] SET_SELL_TRIGGER,HPxIuj9S6A,LLO,166.03 
[93714] QUOTE,HPxIuj9S6A,UGG 
[93853] BUY,HPxIuj9S6A,OGB,115.33 
[93931] SET_BUY_TRIGGER,HPxIuj9S6A,VNO,284.28 
[94106] SET_SELL_TRIGGER,HPxIuj9S6A,OLH,54.28 
[94200] SET_SELL_TRIGGER,HPxIuj9S6A,STQ,63.07 
