[59] ADD,dALWhJa374,26637.85 
[52579] COMMIT_BUY,dALWhJa374 
[52582] BUY,dALWhJa374,NUL,485.27 
[52658] COMMIT_BUY,dALWhJa374 
[52727] SELL,dALWhJa374,DFE,471.06 
[52856] SET_SELL_TRIGGER,dALWhJa374,OEN,133.62 
[52862] SET_BUY_AMOUNT,dALWhJa374,LFU,160.57 
[52961] BUY,dALWhJa374,BBD,421.71 
[53049] COMMIT_BUY,dALWhJa374 
[53074] QUOTE,dALWhJa374,MFX 
[53108] CANCEL_SELL,dALWhJa374 
[53245] ADD,dALWhJa374,58491.09 
[53337] BUY,dALWhJa374,JGG,202.23 
[53474] COMMIT_BUY,dALWhJa374 
[53583] ADD,dALWhJa374,74199.22 
[53812] BUY,dALWhJa374,MPP,670.06 
[53816] CANCEL_SET_SELL,dALWhJa374,XBL 
[53826] DISPLAY_SUMMARY,dALWhJa374 
[53828] SET_BUY_AMOUNT,dALWhJa374,AVX,245.18 
[53938] SET_BUY_TRIGGER,dALWhJa374,SWD,203.76 
[54061] ADD,dALWhJa374,43890.01 
[54217] QUOTE,dALWhJa374,QGE 
[54308] BUY,dALWhJa374,MVD,153.64 
[54441] COMMIT_BUY,dALWhJa374 
[54722] QUOTE,dALWhJa374,SCK 
[54746] BUY,dALWhJa374,OYS,168.91 
[54776] COMMIT_BUY,dALWhJa374 
[54777] DISPLAY_SUMMARY,dALWhJa374 
[54840] DISPLAY_SUMMARY,dALWhJa374 
[54899] SELL,dALWhJa374,JVT,6.89 
[54902] COMMIT_SELL,dALWhJa374 
[54905] ADD,dALWhJa374,51363.33 
[54921] QUOTE,dALWhJa374,LLZ 
[55102] SET_BUY_AMOUNT,dALWhJa374,GYF,137.59 
[55191] QUOTE,dALWhJa374,RLS 
[55216] ADD,dALWhJa374,68763.71 
[55244] BUY,dALWhJa374,YDS,544.72 
[55304] CANCEL_SELL,dALWhJa374 
[55327] COMMIT_BUY,dALWhJa374 
[55559] SET_SELL_TRIGGER,dALWhJa374,ZTI,142.88 
[55575] BUY,dALWhJa374,SCK,728.64 
[55587] CANCEL_SET_SELL,dALWhJa374,QJC 
[55694] QUOTE,dALWhJa374,LRS 
[55744] BUY,dALWhJa374,FNY,541.72 
[55745] CANCEL_BUY,dALWhJa374 
[56014] BUY,dALWhJa374,ARP,282.15 
[56088] COMMIT_BUY,dALWhJa374 
[56269] COMMIT_BUY,dALWhJa374 
[56375] SET_BUY_TRIGGER,dALWhJa374,CXC,5.97 
[56474] SELL,dALWhJa374,QAX,343.71 
[56545] CANCEL_SELL,dALWhJa374 
[56583] DISPLAY_SUMMARY,dALWhJa374 
[56631] BUY,dALWhJa374,PJJ,309.78 
[56708] CANCEL_BUY,dALWhJa374 
[56746] CANCEL_SET_BUY,dALWhJa374,YDS 
[56813] ADD,dALWhJa374,78274.54 
[56896] QUOTE,dALWhJa374,RDK 
[57086] BUY,dALWhJa374,QXE,393.27 
[57114] COMMIT_BUY,dALWhJa374 
[57142] QUOTE,dALWhJa374,YZC 
[57210] SET_BUY_AMOUNT,dALWhJa374,CUZ,168.64 
[57224] SET_BUY_TRIGGER,dALWhJa374,VNN,94.43 
[57396] ADD,dALWhJa374,63253.38 
[57420] QUOTE,dALWhJa374,CXC 
[57510] BUY,dALWhJa374,EAK,744.11 
[57763] COMMIT_BUY,dALWhJa374 
[57842] SELL,dALWhJa374,RUN,396.15 
[57870] COMMIT_SELL,dALWhJa374 
[58121] SELL,dALWhJa374,MFX,279.83 
[58133] COMMIT_SELL,dALWhJa374 
[58140] CANCEL_SET_BUY,dALWhJa374,DGA 
[58176] ADD,dALWhJa374,69067.20 
[58249] QUOTE,dALWhJa374,IBT 
[58310] BUY,dALWhJa374,POE,622.09 
[58433] COMMIT_BUY,dALWhJa374 
[58526] QUOTE,dALWhJa374,ELQ 
[58543] ADD,dALWhJa374,58559.37 
[58662] QUOTE,dALWhJa374,VOU 
[58811] ADD,dALWhJa374,92538.36 
[58835] QUOTE,dALWhJa374,GAN 
[58857] BUY,dALWhJa374,GTN,551.10 
[58878] CANCEL_BUY,dALWhJa374 
[58887] SET_BUY_AMOUNT,dALWhJa374,IFN,716.81 
[58896] SET_BUY_TRIGGER,dALWhJa374,ZMS,699.53 
[59136] DISPLAY_SUMMARY,dALWhJa374 
[59275] DISPLAY_SUMMARY,dALWhJa374 
[59321] SET_SELL_TRIGGER,dALWhJa374,NUL,94.58 
[59420] SET_BUY_TRIGGER,dALWhJa374,UMV,4.17 
[59639] SELL,dALWhJa374,SUS,493.29 
[59644] ADD,dALWhJa374,71458.65 
[59679] QUOTE,dALWhJa374,OBR 
[59843] QUOTE,dALWhJa374,AJR 
[59859] COMMIT_SELL,dALWhJa374 
[59948] ADD,dALWhJa374,81239.73 
[60214] BUY,dALWhJa374,ZFK,213.30 
[60237] COMMIT_BUY,dALWhJa374 
[60299] SET_SELL_TRIGGER,dALWhJa374,JCQ,15.07 
[60330] SET_BUY_TRIGGER,dALWhJa374,HFS,137.19 
[60398] DISPLAY_SUMMARY,dALWhJa374 
[60423] QUOTE,dALWhJa374,XXT 
[60541] BUY,dALWhJa374,URA,499.83 
[60555] SET_BUY_TRIGGER,dALWhJa374,LHC,56.63 
[60585] SELL,dALWhJa374,KDA,232.72 
[60629] CANCEL_SELL,dALWhJa374 
[60635] SELL,dALWhJa374,GRM,513.17 
[60675] DISPLAY_SUMMARY,dALWhJa374 
[60792] DISPLAY_SUMMARY,dALWhJa374 
[60842] SELL,dALWhJa374,IFN,200.36 
[60844] COMMIT_SELL,dALWhJa374 
[61093] SELL,dALWhJa374,OPN,14.43 
[61406] COMMIT_SELL,dALWhJa374 
[61738] SET_SELL_AMOUNT,dALWhJa374,EBS,234.32 
[61935] SET_SELL_TRIGGER,dALWhJa374,EBS,13.64 
[62098] SELL,dALWhJa374,CSZ,254.60 
[62244] COMMIT_SELL,dALWhJa374 
[62511] SELL,dALWhJa374,MFX,23.79 
[62594] COMMIT_SELL,dALWhJa374 
[62728] BUY,dALWhJa374,DLX,56.23 
[62741] COMMIT_BUY,dALWhJa374 
[62926] ADD,dALWhJa374,72578.92 
[62968] CANCEL_SET_SELL,dALWhJa374,YJK 
[63092] SET_SELL_TRIGGER,dALWhJa374,STT,61.80 
[63102] ADD,dALWhJa374,86620.20 
[63137] QUOTE,dALWhJa374,ZUV 
[63144] BUY,dALWhJa374,GTX,180.57 
[63146] SET_SELL_TRIGGER,dALWhJa374,SJG,122.65 
[63181] SET_BUY_TRIGGER,dALWhJa374,WXV,53.02 
[63312] SET_BUY_AMOUNT,dALWhJa374,LFU,405.28 
[63451] SET_BUY_TRIGGER,dALWhJa374,JUV,146.81 
[63503] DISPLAY_SUMMARY,dALWhJa374 
[63533] ADD,dALWhJa374,88128.61 
[63659] QUOTE,dALWhJa374,IQJ 
[63665] QUOTE,dALWhJa374,TWJ 
[63846] SET_SELL_TRIGGER,dALWhJa374,ZAV,37.75 
[64034] ADD,dALWhJa374,73004.16 
[64120] QUOTE,dALWhJa374,WKL 
[64183] SET_SELL_AMOUNT,dALWhJa374,SSF,196.11 
[64195] SET_SELL_TRIGGER,dALWhJa374,SSF,96.29 
[64380] SET_SELL_TRIGGER,dALWhJa374,XSS,191.07 
[64528] QUOTE,dALWhJa374,WRJ 
[64623] SET_BUY_AMOUNT,dALWhJa374,DFE,441.45 
[64766] SELL,dALWhJa374,MFX,44.66 
[64898] SELL,dALWhJa374,GYF,377.18 
[65070] COMMIT_SELL,dALWhJa374 
[65276] CANCEL_SET_SELL,dALWhJa374,XOL 
[65534] SET_SELL_AMOUNT,dALWhJa374,EBS,135.03 
[65627] SET_SELL_TRIGGER,dALWhJa374,EBS,35.96 
[65685] SET_BUY_AMOUNT,dALWhJa374,GRM,120.99 
[65713] CANCEL_SET_BUY,dALWhJa374,MSV 
[65722] ADD,dALWhJa374,70364.08 
[65759] QUOTE,dALWhJa374,AOU 
[65868] QUOTE,dALWhJa374,SKC 
[65905] QUOTE,dALWhJa374,IFN 
[66064] BUY,dALWhJa374,ZDB,493.26 
[66073] ADD,dALWhJa374,77378.54 
[66084] QUOTE,dALWhJa374,FIC 
[66094] SET_BUY_TRIGGER,dALWhJa374,CUQ,190.30 
[66397] QUOTE,dALWhJa374,ESN 
[66417] DISPLAY_SUMMARY,dALWhJa374 
[66520] ADD,dALWhJa374,69017.49 
[66563] QUOTE,dALWhJa374,RFC 
[66706] ADD,dALWhJa374,82811.83 
[67002] QUOTE,dALWhJa374,MAX 
[67014] ADD,dALWhJa374,53087.46 
[67501] BUY,dALWhJa374,MGO,443.20 
[67561] COMMIT_BUY,dALWhJa374 
[67781] ADD,dALWhJa374,81368.06 
[67853] BUY,dALWhJa374,HEK,352.55 
[67951] COMMIT_SELL,dALWhJa374 
[67987] SET_SELL_TRIGGER,dALWhJa374,WJP,96.71 
[67999] BUY,dALWhJa374,OAV,388.84 
[68243] COMMIT_BUY,dALWhJa374 
[68314] ADD,dALWhJa374,88625.06 
[68339] COMMIT_BUY,dALWhJa374 
[68466] DISPLAY_SUMMARY,dALWhJa374 
[68571] SET_SELL_AMOUNT,dALWhJa374,CSZ,372.64 
[68664] SET_SELL_TRIGGER,dALWhJa374,CSZ,290.59 
[68793] DISPLAY_SUMMARY,dALWhJa374 
[68800] ADD,dALWhJa374,90378.54 
[68823] QUOTE,dALWhJa374,NQU 
[68842] QUOTE,dALWhJa374,GWF 
[68851] SET_BUY_AMOUNT,dALWhJa374,RNK,534.28 
[68968] SET_BUY_TRIGGER,dALWhJa374,RKQ,351.42 
[69135] ADD,dALWhJa374,79153.65 
[69250] QUOTE,dALWhJa374,TWJ 
[69307] QUOTE,dALWhJa374,UDQ 
[69377] BUY,dALWhJa374,QQW,637.83 
[69439] COMMIT_BUY,dALWhJa374 
[69440] CANCEL_SET_SELL,dALWhJa374,BOS 
[69669] ADD,dALWhJa374,51558.14 
[69738] BUY,dALWhJa374,YUR,258.71 
[69846] SELL,dALWhJa374,JVT,425.45 
[69920] SELL,dALWhJa374,JVT,288.09 
[70098] DISPLAY_SUMMARY,dALWhJa374 
[70195] ADD,dALWhJa374,90098.80 
[70250] BUY,dALWhJa374,WRN,614.69 
[70324] CANCEL_SELL,dALWhJa374 
[70445] SET_SELL_TRIGGER,dALWhJa374,IDN,96.77 
[70470] SELL,dALWhJa374,CBO,452.46 
[70496] CANCEL_BUY,dALWhJa374 
[70597] SELL,dALWhJa374,CBO,108.71 
[70690] CANCEL_SET_SELL,dALWhJa374,IHW 
[70818] SET_BUY_AMOUNT,dALWhJa374,JCQ,465.19 
[70969] SET_BUY_TRIGGER,dALWhJa374,XER,163.58 
[71024] BUY,dALWhJa374,EUC,582.57 
[71333] COMMIT_BUY,dALWhJa374 
[71674] SET_SELL_TRIGGER,dALWhJa374,MER,169.59 
[71743] DISPLAY_SUMMARY,dALWhJa374 
[71747] SET_BUY_TRIGGER,dALWhJa374,SYM,114.02 
[71881] ADD,dALWhJa374,87509.84 
[71975] BUY,dALWhJa374,VZB,400.92 
[72184] COMMIT_SELL,dALWhJa374 
[72407] ADD,dALWhJa374,74673.86 
[72411] QUOTE,dALWhJa374,EBS 
[72815] BUY,dALWhJa374,LAW,731.20 
[73015] SET_BUY_AMOUNT,dALWhJa374,CBO,170.51 
[73016] SET_BUY_TRIGGER,dALWhJa374,TTY,9.80 
[73020] BUY,dALWhJa374,AOU,182.95 
[73307] ADD,dALWhJa374,65890.40 
[73330] QUOTE,dALWhJa374,JQO 
[73395] BUY,dALWhJa374,INB,419.08 
[73496] COMMIT_BUY,dALWhJa374 
[73507] ADD,dALWhJa374,57457.61 
[73589] QUOTE,dALWhJa374,DLX 
[73599] DISPLAY_SUMMARY,dALWhJa374 
[73605] SELL,dALWhJa374,FDI,617.78 
[73686] COMMIT_SELL,dALWhJa374 
[73688] SET_BUY_TRIGGER,dALWhJa374,FQR,132.76 
[74056] QUOTE,dALWhJa374,ZWB 
[74149] QUOTE,dALWhJa374,MLI 
[74359] SET_BUY_TRIGGER,dALWhJa374,GGY,36.57 
[74367] BUY,dALWhJa374,VOU,169.14 
[74404] CANCEL_BUY,dALWhJa374 
[74509] BUY,dALWhJa374,CTS,541.83 
[74551] CANCEL_SET_BUY,dALWhJa374,QUT 
[74681] DISPLAY_SUMMARY,dALWhJa374 
[74944] ADD,dALWhJa374,72376.02 
[74979] BUY,dALWhJa374,XPX,458.69 
[75067] CANCEL_BUY,dALWhJa374 
[75085] DISPLAY_SUMMARY,dALWhJa374 
[75246] SET_SELL_AMOUNT,dALWhJa374,UBJ,644.71 
[75289] CANCEL_SET_SELL,dALWhJa374,UBJ 
[75373] DISPLAY_SUMMARY,dALWhJa374 
[75463] SET_BUY_AMOUNT,dALWhJa374,RUN,561.47 
[75562] DISPLAY_SUMMARY,dALWhJa374 
[75681] SET_BUY_TRIGGER,dALWhJa374,JNO,20.28 
[75714] SELL,dALWhJa374,LZV,734.58 
[75752] COMMIT_SELL,dALWhJa374 
[75815] QUOTE,dALWhJa374,PMX 
[75863] BUY,dALWhJa374,FFN,206.34 
[75864] COMMIT_BUY,dALWhJa374 
[75963] DISPLAY_SUMMARY,dALWhJa374 
[76001] ADD,dALWhJa374,45007.79 
[76043] BUY,dALWhJa374,NLP,417.53 
[76152] COMMIT_BUY,dALWhJa374 
[76168] SELL,dALWhJa374,OZO,516.82 
[76190] COMMIT_SELL,dALWhJa374 
[76269] DISPLAY_SUMMARY,dALWhJa374 
[76440] BUY,dALWhJa374,YCH,192.16 
[76459] BUY,dALWhJa374,VNN,377.88 
[76595] CANCEL_SET_BUY,dALWhJa374,OTD 
[76876] DISPLAY_SUMMARY,dALWhJa374 
[76954] SELL,dALWhJa374,AVX,317.10 
[76978] CANCEL_SET_SELL,dALWhJa374,OXK 
[77198] QUOTE,dALWhJa374,WKL 
[77246] BUY,dALWhJa374,OBR,593.20 
[77321] CANCEL_SET_SELL,dALWhJa374,ZCO 
[77333] ADD,dALWhJa374,66556.87 
[77385] BUY,dALWhJa374,VVV,77.08 
[77400] CANCEL_SET_SELL,dALWhJa374,ZNZ 
[77438] QUOTE,dALWhJa374,KLY 
[77484] ADD,dALWhJa374,73227.33 
[77500] BUY,dALWhJa374,NVX,505.73 
[77693] SET_BUY_TRIGGER,dALWhJa374,HPN,175.85 
[77771] ADD,dALWhJa374,50077.26 
[77833] SET_SELL_AMOUNT,dALWhJa374,JRJ,554.88 
[77982] SET_SELL_TRIGGER,dALWhJa374,JRJ,62.17 
[78038] CANCEL_SELL,dALWhJa374 
[78043] DISPLAY_SUMMARY,dALWhJa374 
[78230] SELL,dALWhJa374,OEY,69.89 
[78347] COMMIT_SELL,dALWhJa374 
[78366] SELL,dALWhJa374,MXD,58.23 
[78439] COMMIT_SELL,dALWhJa374 
[78533] SET_BUY_AMOUNT,dALWhJa374,KDA,440.53 
[78604] CANCEL_SET_BUY,dALWhJa374,YMG 
[78681] SELL,dALWhJa374,QAX,239.70 
[78807] DISPLAY_SUMMARY,dALWhJa374 
[78821] ADD,dALWhJa374,77889.38 
[78916] QUOTE,dALWhJa374,FUR 
[79013] CANCEL_SET_SELL,dALWhJa374,SSF 
[79032] ADD,dALWhJa374,83096.46 
[79124] BUY,dALWhJa374,LMB,196.41 
[79142] COMMIT_BUY,dALWhJa374 
[79238] ADD,dALWhJa374,102118.82 
[79246] BUY,dALWhJa374,GFN,296.20 
[79284] COMMIT_BUY,dALWhJa374 
[79427] ADD,dALWhJa374,64646.97 
[79434] BUY,dALWhJa374,BFL,76.65 
[79439] COMMIT_BUY,dALWhJa374 
[79591] DISPLAY_SUMMARY,dALWhJa374 
[79620] SET_SELL_AMOUNT,dALWhJa374,XLK,407.18 
[79650] QUOTE,dALWhJa374,YIU 
[79783] BUY,dALWhJa374,NBX,229.35 
[80181] COMMIT_BUY,dALWhJa374 
[80531] SET_BUY_TRIGGER,dALWhJa374,JFF,12.61 
[80540] DISPLAY_SUMMARY,dALWhJa374 
[80543] SELL,dALWhJa374,TKM,11.74 
[80684] CANCEL_SELL,dALWhJa374 
[80815] SELL,dALWhJa374,UIE,546.86 
[80824] COMMIT_SELL,dALWhJa374 
[80899] BUY,dALWhJa374,PPY,663.57 
[81037] BUY,dALWhJa374,PMG,513.04 
[81072] COMMIT_BUY,dALWhJa374 
[81076] ADD,dALWhJa374,83959.73 
[81246] BUY,dALWhJa374,KKI,485.47 
[81854] COMMIT_BUY,dALWhJa374 
[81856] DISPLAY_SUMMARY,dALWhJa374 
[81913] SET_BUY_AMOUNT,dALWhJa374,MXD,29.13 
[81917] DISPLAY_SUMMARY,dALWhJa374 
[81937] DISPLAY_SUMMARY,dALWhJa374 
[82092] BUY,dALWhJa374,KZC,468.92 
[82214] CANCEL_BUY,dALWhJa374 
[82232] DISPLAY_SUMMARY,dALWhJa374 
[82291] BUY,dALWhJa374,OLI,158.86 
[82414] COMMIT_BUY,dALWhJa374 
[82511] DISPLAY_SUMMARY,dALWhJa374 
[82746] SET_SELL_TRIGGER,dALWhJa374,XLK,353.15 
[82840] ADD,dALWhJa374,97707.98 
[82871] BUY,dALWhJa374,YBO,671.19 
[82906] COMMIT_BUY,dALWhJa374 
[83005] SET_SELL_AMOUNT,dALWhJa374,RUN,101.98 
[83109] SET_SELL_TRIGGER,dALWhJa374,RUN,33.32 
[83133] SET_SELL_AMOUNT,dALWhJa374,TKM,63.04 
[83154] DISPLAY_SUMMARY,dALWhJa374 
[83214] SELL,dALWhJa374,PTP,32.19 
[83366] BUY,dALWhJa374,BTD,578.88 
[83513] COMMIT_BUY,dALWhJa374 
[83634] SET_SELL_TRIGGER,dALWhJa374,TKM,41.19 
[83813] SET_BUY_TRIGGER,dALWhJa374,LKK,8.54 
[83879] SET_SELL_TRIGGER,dALWhJa374,BBD,5.45 
[83944] DISPLAY_SUMMARY,dALWhJa374 
[84002] SET_SELL_TRIGGER,dALWhJa374,EDV,176.86 
[84189] BUY,dALWhJa374,JDO,1.32 
[84260] CANCEL_BUY,dALWhJa374 
[84343] DISPLAY_SUMMARY,dALWhJa374 
[84344] SELL,dALWhJa374,QPR,436.93 
[84354] COMMIT_BUY,dALWhJa374 
[84422] ADD,dALWhJa374,81688.76 
[84501] BUY,dALWhJa374,GJR,171.92 
[84547] COMMIT_BUY,dALWhJa374 
[84580] CANCEL_BUY,dALWhJa374 
[84589] SET_SELL_AMOUNT,dALWhJa374,CSZ,683.98 
[84770] SET_SELL_TRIGGER,dALWhJa374,CSZ,315.85 
[84771] SELL,dALWhJa374,ZTI,736.28 
[84779] COMMIT_SELL,dALWhJa374 
[84850] CANCEL_BUY,dALWhJa374 
[84887] ADD,dALWhJa374,70317.13 
[84963] QUOTE,dALWhJa374,MZT 
[85145] BUY,dALWhJa374,KEV,212.98 
[85335] COMMIT_BUY,dALWhJa374 
[85337] SET_BUY_AMOUNT,dALWhJa374,ZYR,70.86 
[85389] SET_BUY_TRIGGER,dALWhJa374,AOC,3.94 
[85449] BUY,dALWhJa374,MRH,672.04 
[85476] QUOTE,dALWhJa374,RWM 
[85528] BUY,dALWhJa374,SSL,553.77 
[85647] COMMIT_SELL,dALWhJa374 
[85885] SET_BUY_TRIGGER,dALWhJa374,ZDB,75.72 
[85893] SET_SELL_TRIGGER,dALWhJa374,AQO,167.42 
[86038] ADD,dALWhJa374,72213.94 
[86092] QUOTE,dALWhJa374,SWJ 
[86160] BUY,dALWhJa374,KCA,141.01 
[86176] COMMIT_BUY,dALWhJa374 
[86201] SET_SELL_TRIGGER,dALWhJa374,AHE,175.16 
[86248] DISPLAY_SUMMARY,dALWhJa374 
[86366] ADD,dALWhJa374,60092.71 
[86428] BUY,dALWhJa374,OZW,205.31 
[87022] CANCEL_BUY,dALWhJa374 
[87110] BUY,dALWhJa374,SPL,716.68 
[87154] COMMIT_BUY,dALWhJa374 
[87240] DISPLAY_SUMMARY,dALWhJa374 
[87274] ADD,dALWhJa374,86666.94 
[87574] QUOTE,dALWhJa374,IVV 
[87781] BUY,dALWhJa374,OZW,656.57 
[87819] SET_BUY_TRIGGER,dALWhJa374,MVI,70.68 
[87820] SET_SELL_AMOUNT,dALWhJa374,HFS,398.30 
[87921] SELL,dALWhJa374,CSZ,740.77 
[87927] CANCEL_SET_BUY,dALWhJa374,BRZ 
[88003] BUY,dALWhJa374,MUN,409.26 
[88135] DISPLAY_SUMMARY,dALWhJa374 
[88256] QUOTE,dALWhJa374,IBT 
[88349] QUOTE,dALWhJa374,ZNW 
[88410] BUY,dALWhJa374,SYL,176.99 
[88433] BUY,dALWhJa374,MRK,702.10 
[88533] COMMIT_BUY,dALWhJa374 
[88576] QUOTE,dALWhJa374,JUJ 
[88613] ADD,dALWhJa374,70727.66 
[88713] QUOTE,dALWhJa374,ZCO 
[88874] QUOTE,dALWhJa374,BWR 
[88884] SET_BUY_TRIGGER,dALWhJa374,GSW,153.20 
[89147] CANCEL_SELL,dALWhJa374 
[89161] DISPLAY_SUMMARY,dALWhJa374 
[89183] ADD,dALWhJa374,79240.58 
[89260] BUY,dALWhJa374,OYS,486.31 
[89294] COMMIT_BUY,dALWhJa374 
[89297] DISPLAY_SUMMARY,dALWhJa374 
[89360] DISPLAY_SUMMARY,dALWhJa374 
[89369] DISPLAY_SUMMARY,dALWhJa374 
[89463] BUY,dALWhJa374,PLA,592.79 
[89654] COMMIT_BUY,dALWhJa374 
[89671] DISPLAY_SUMMARY,dALWhJa374 
[89711] SELL,dALWhJa374,RNK,279.53 
[89719] CANCEL_SET_SELL,dALWhJa374,HFS 
[89751] SET_BUY_TRIGGER,dALWhJa374,OOI,37.57 
[89777] DISPLAY_SUMMARY,dALWhJa374 
[89872] SELL,dALWhJa374,FDI,718.57 
[89902] ADD,dALWhJa374,48382.31 
[90101] QUOTE,dALWhJa374,MWM 
[90336] ADD,dALWhJa374,69929.32 
[90372] QUOTE,dALWhJa374,NLP 
[90520] QUOTE,dALWhJa374,EUC 
[90598] SET_SELL_AMOUNT,dALWhJa374,TVI,237.97 
[90602] SET_SELL_TRIGGER,dALWhJa374,TVI,19.40 
[90618] ADD,dALWhJa374,74583.64 
[90623] QUOTE,dALWhJa374,BJL 
[90740] SET_BUY_AMOUNT,dALWhJa374,RGH,284.47 
[90756] SET_BUY_TRIGGER,dALWhJa374,ULL,104.82 
[90844] SET_BUY_AMOUNT,dALWhJa374,GYF,117.51 
[90945] BUY,dALWhJa374,WKL,135.75 
[91046] COMMIT_BUY,dALWhJa374 
[91136] CANCEL_BUY,dALWhJa374 
[91216] DISPLAY_SUMMARY,dALWhJa374 
[91297] COMMIT_SELL,dALWhJa374 
[91312] SET_SELL_AMOUNT,dALWhJa374,XXQ,113.44 
[91378] SET_SELL_TRIGGER,dALWhJa374,XXQ,98.18 
[91437] DISPLAY_SUMMARY,dALWhJa374 
[91483] SELL,dALWhJa374,ZYR,449.68 
[91639] QUOTE,dALWhJa374,SUS 
[91938] QUOTE,dALWhJa374,HBF 
[92017] QUOTE,dALWhJa374,VIK 
[92029] SET_BUY_AMOUNT,dALWhJa374,BYA,177.72 
[92132] QUOTE,dALWhJa374,JVT 
[92149] SET_BUY_TRIGGER,dALWhJa374,MQF,155.61 
[92271] QUOTE,dALWhJa374,QVA 
[92571] BUY,dALWhJa374,IOM,324.77 
[92793] COMMIT_BUY,dALWhJa374 
[93080] SET_BUY_TRIGGER,dALWhJa374,VEX,101.28 
[93197] ADD,dALWhJa374,59876.24 
[93228] BUY,dALWhJa374,NLP,581.68 
[93255] CANCEL_SET_BUY,dALWhJa374,WQE 
[93319] QUOTE,dALWhJa374,SPT 
[93979] CANCEL_SELL,dALWhJa374 
[94014] ADD,dALWhJa374,70562.52 
[94015] CANCEL_SET_SELL,dALWhJa374,PFN 
[94079] SET_SELL_AMOUNT,dALWhJa374,RUN,692.19 
[94100] CANCEL_SET_SELL,dALWhJa374,RUN 
[94161] SET_SELL_AMOUNT,dALWhJa374,XLK,54.06 
[94177] SET_SELL_TRIGGER,dALWhJa374,XLK,13.31 
[94217] COMMIT_SELL,dALWhJa374 
[94286] SET_BUY_AMOUNT,dALWhJa374,SUS,159.77 
[94396] QUOTE,dALWhJa374,BHQ 
[94571] QUOTE,dALWhJa374,JQG 
[94652] QUOTE,dALWhJa374,SYN 
[94704] SET_BUY_TRIGGER,dALWhJa374,VNO,10.81 
[94738] SET_BUY_TRIGGER,dALWhJa374,YRL,67.53 
[94753] ADD,dALWhJa374,65179.50 
[94787] BUY,dALWhJa374,TAR,749.05 
[94887] SELL,dALWhJa374,YJK,52.31 
[94897] BUY,dALWhJa374,SQI,77.08 
[95138] COMMIT_SELL,dALWhJa374 
[95231] SET_SELL_AMOUNT,dALWhJa374,OEY,43.83 
[95336] SET_SELL_TRIGGER,dALWhJa374,OEY,23.91 
[95405] QUOTE,dALWhJa374,IFN 
[95413] CANCEL_SET_SELL,dALWhJa374,PUC 
[95437] ADD,dALWhJa374,43566.48 
[95441] BUY,dALWhJa374,XLV,216.70 
[95604] COMMIT_BUY,dALWhJa374 
[95871] SET_SELL_TRIGGER,dALWhJa374,CVK,19.89 
[96056] ADD,dALWhJa374,65423.95 
[96134] QUOTE,dALWhJa374,XZN 
[96581] SET_BUY_AMOUNT,dALWhJa374,KYX,159.06 
[96598] SET_BUY_TRIGGER,dALWhJa374,AVI,58.87 
[96649] SET_BUY_TRIGGER,dALWhJa374,LNJ,55.89 
[96700] CANCEL_SELL,dALWhJa374 
[96749] BUY,dALWhJa374,NAW,715.25 
[96753] COMMIT_BUY,dALWhJa374 
[96794] SET_SELL_AMOUNT,dALWhJa374,MXD,684.37 
[97075] SET_SELL_TRIGGER,dALWhJa374,MXD,641.99 
[97258] ADD,dALWhJa374,48530.74 
[97401] BUY,dALWhJa374,GKD,229.83 
[97412] COMMIT_BUY,dALWhJa374 
[97470] CANCEL_SET_BUY,dALWhJa374,OYW 
[97478] ADD,dALWhJa374,83281.88 
[97560] QUOTE,dALWhJa374,KBP 
[97567] SELL,dALWhJa374,KYX,340.67 
[97574] COMMIT_SELL,dALWhJa374 
[97709] SELL,dALWhJa374,QVA,470.25 
[97717] CANCEL_SET_SELL,dALWhJa374,VUS 
[97790] SET_SELL_TRIGGER,dALWhJa374,JCQ,72.59 
[97992] CANCEL_SET_BUY,dALWhJa374,XOM 
[98078] DISPLAY_SUMMARY,dALWhJa374 
[98354] SET_SELL_AMOUNT,dALWhJa374,GKD,271.42 
[98442] SET_SELL_TRIGGER,dALWhJa374,GKD,73.01 
[98547] SET_SELL_TRIGGER,dALWhJa374,DRO,75.93 
[98685] ADD,dALWhJa374,58317.41 
[98690] BUY,dALWhJa374,MQF,331.05 
[98700] COMMIT_BUY,dALWhJa374 
[98998] ADD,dALWhJa374,114911.53 
[99017] BUY,dALWhJa374,XVK,694.62 
[99027] CANCEL_SET_BUY,dALWhJa374,WTL 
[99128] BUY,dALWhJa374,UBJ,503.49 
[99166] COMMIT_BUY,dALWhJa374 
[99285] SET_BUY_AMOUNT,dALWhJa374,BYA,605.76 
[99353] SET_BUY_TRIGGER,dALWhJa374,TJL,179.76 
[99440] SET_BUY_TRIGGER,dALWhJa374,BFU,20.12 
[99688] QUOTE,dALWhJa374,VOY 
[99709] SET_BUY_AMOUNT,dALWhJa374,QAX,725.40 
[99858] CANCEL_SET_BUY,dALWhJa374,YBO 
[99875] SET_BUY_AMOUNT,dALWhJa374,SSF,631.06 
[99959] SET_BUY_TRIGGER,dALWhJa374,PBX,615.37 
