[162] ADD,gou39c5KlQ,59853.64 
[44584] ADD,gou39c5KlQ,87386.51 
[44613] QUOTE,gou39c5KlQ,KAH 
[44682] SET_BUY_TRIGGER,gou39c5KlQ,XOA,142.65 
[44736] SET_BUY_TRIGGER,gou39c5KlQ,MOM,66.65 
[44737] DISPLAY_SUMMARY,gou39c5KlQ 
[44767] SET_SELL_AMOUNT,gou39c5KlQ,CUZ,334.92 
[44840] SET_SELL_TRIGGER,gou39c5KlQ,CUZ,239.42 
[44905] CANCEL_SET_SELL,gou39c5KlQ,DVU 
[44980] SET_BUY_AMOUNT,gou39c5KlQ,KES,744.44 
[45028] SET_BUY_TRIGGER,gou39c5KlQ,CSZ,518.33 
[45267] SELL,gou39c5KlQ,UBJ,686.44 
[45380] COMMIT_SELL,gou39c5KlQ 
[45480] ADD,gou39c5KlQ,49601.79 
[45725] QUOTE,gou39c5KlQ,JVT 
[45810] ADD,gou39c5KlQ,62522.91 
[45898] BUY,gou39c5KlQ,CGW,277.62 
[46013] SET_SELL_AMOUNT,gou39c5KlQ,YJK,699.91 
[46250] SET_SELL_TRIGGER,gou39c5KlQ,YJK,350.52 
[46343] ADD,gou39c5KlQ,41787.57 
[46436] QUOTE,gou39c5KlQ,GPL 
[46622] SET_BUY_AMOUNT,gou39c5KlQ,FDI,555.31 
[46631] SELL,gou39c5KlQ,EBS,60.00 
[46728] CANCEL_SET_SELL,gou39c5KlQ,MOF 
[46890] SET_SELL_TRIGGER,gou39c5KlQ,COE,143.64 
[47152] QUOTE,gou39c5KlQ,HFI 
[47233] DISPLAY_SUMMARY,gou39c5KlQ 
[47264] SET_BUY_TRIGGER,gou39c5KlQ,ZGC,386.24 
[47292] ADD,gou39c5KlQ,56059.05 
[47321] QUOTE,gou39c5KlQ,WFR 
[47596] BUY,gou39c5KlQ,SUS,360.67 
[47621] BUY,gou39c5KlQ,JFJ,199.93 
[47630] COMMIT_BUY,gou39c5KlQ 
[47659] ADD,gou39c5KlQ,83894.33 
[47705] QUOTE,gou39c5KlQ,NVX 
[47754] CANCEL_SET_BUY,gou39c5KlQ,WKD 
[47852] SET_BUY_TRIGGER,gou39c5KlQ,WXV,180.49 
[47870] QUOTE,gou39c5KlQ,VBO 
[48235] ADD,gou39c5KlQ,57429.26 
[48717] BUY,gou39c5KlQ,FPV,183.22 
[48833] SET_BUY_AMOUNT,gou39c5KlQ,AVX,335.05 
[48892] SET_BUY_TRIGGER,gou39c5KlQ,AOH,249.35 
[48947] QUOTE,gou39c5KlQ,OBR 
[49068] QUOTE,gou39c5KlQ,PYB 
[49096] BUY,gou39c5KlQ,GTX,211.20 
[49241] COMMIT_BUY,gou39c5KlQ 
[49246] ADD,gou39c5KlQ,77070.74 
[49248] BUY,gou39c5KlQ,ECX,5.99 
[49269] SET_BUY_AMOUNT,gou39c5KlQ,UBJ,745.13 
[49342] SET_BUY_TRIGGER,gou39c5KlQ,RQS,176.14 
[49582] SELL,gou39c5KlQ,CSZ,597.40 
[49640] COMMIT_SELL,gou39c5KlQ 
[49718] SELL,gou39c5KlQ,SSF,634.99 
[49722] COMMIT_SELL,gou39c5KlQ 
[50044] SET_SELL_AMOUNT,gou39c5KlQ,ZAN,235.81 
[50058] SELL,gou39c5KlQ,GRM,469.58 
[50097] COMMIT_SELL,gou39c5KlQ 
[50179] BUY,gou39c5KlQ,MHI,520.58 
[50302] COMMIT_BUY,gou39c5KlQ 
[50402] ADD,gou39c5KlQ,72803.98 
[50474] BUY,gou39c5KlQ,SWJ,547.59 
[50544] QUOTE,gou39c5KlQ,WQE 
[50693] BUY,gou39c5KlQ,IFU,63.01 
[50839] CANCEL_BUY,gou39c5KlQ 
[50875] SET_BUY_TRIGGER,gou39c5KlQ,SEW,159.34 
[50878] BUY,gou39c5KlQ,QAX,740.48 
[50947] COMMIT_BUY,gou39c5KlQ 
[51133] ADD,gou39c5KlQ,70810.97 
[51174] BUY,gou39c5KlQ,RVU,646.61 
[51201] COMMIT_SELL,gou39c5KlQ 
[51265] SELL,gou39c5KlQ,NHG,19.16 
[51297] QUOTE,gou39c5KlQ,AVH 
[51306] QUOTE,gou39c5KlQ,EMN 
[51429] BUY,gou39c5KlQ,KVJ,309.68 
[51613] COMMIT_BUY,gou39c5KlQ 
[51644] BUY,gou39c5KlQ,ZAM,183.90 
[51669] COMMIT_BUY,gou39c5KlQ 
[51673] QUOTE,gou39c5KlQ,DED 
[51698] CANCEL_SET_BUY,gou39c5KlQ,HIN 
[51836] ADD,gou39c5KlQ,67462.42 
[51844] BUY,gou39c5KlQ,SEI,103.98 
[51963] COMMIT_BUY,gou39c5KlQ 
[51991] SET_BUY_AMOUNT,gou39c5KlQ,RGH,659.50 
[52009] SET_BUY_TRIGGER,gou39c5KlQ,WGP,238.23 
[52769] ADD,gou39c5KlQ,53100.82 
[52938] SET_BUY_TRIGGER,gou39c5KlQ,XQC,129.34 
[52941] BUY,gou39c5KlQ,AOC,41.12 
[53039] COMMIT_BUY,gou39c5KlQ 
[53311] DISPLAY_SUMMARY,gou39c5KlQ 
[53314] DISPLAY_SUMMARY,gou39c5KlQ 
[53439] ADD,gou39c5KlQ,82851.80 
[53554] SET_SELL_AMOUNT,gou39c5KlQ,RNK,81.58 
[53558] CANCEL_SET_SELL,gou39c5KlQ,RNK 
[53561] BUY,gou39c5KlQ,HSH,551.39 
[53810] CANCEL_BUY,gou39c5KlQ 
[54211] SELL,gou39c5KlQ,QAX,183.88 
[54227] COMMIT_SELL,gou39c5KlQ 
[54575] BUY,gou39c5KlQ,SKC,428.90 
[54614] CANCEL_BUY,gou39c5KlQ 
[54812] BUY,gou39c5KlQ,YBO,226.72 
[54997] COMMIT_SELL,gou39c5KlQ 
[55036] QUOTE,gou39c5KlQ,BEG 
[55371] BUY,gou39c5KlQ,NJB,430.41 
[55645] COMMIT_BUY,gou39c5KlQ 
[55676] BUY,gou39c5KlQ,WCY,217.71 
[55686] COMMIT_SELL,gou39c5KlQ 
[55692] SELL,gou39c5KlQ,ZYR,546.24 
[55696] COMMIT_SELL,gou39c5KlQ 
[55847] QUOTE,gou39c5KlQ,VIK 
[55875] SET_BUY_TRIGGER,gou39c5KlQ,PFN,26.37 
[56175] SET_BUY_AMOUNT,gou39c5KlQ,PTP,741.57 
[56289] SET_BUY_TRIGGER,gou39c5KlQ,CBQ,259.79 
[56349] SET_SELL_AMOUNT,gou39c5KlQ,CUZ,613.93 
[56395] SET_SELL_TRIGGER,gou39c5KlQ,CUZ,287.22 
[56601] SET_BUY_AMOUNT,gou39c5KlQ,KES,547.99 
[56636] SET_BUY_TRIGGER,gou39c5KlQ,FLD,397.66 
[56660] QUOTE,gou39c5KlQ,JUE 
[56899] BUY,gou39c5KlQ,LLZ,106.26 
[57091] COMMIT_BUY,gou39c5KlQ 
[57103] BUY,gou39c5KlQ,UTD,342.85 
[57112] COMMIT_BUY,gou39c5KlQ 
[57251] DISPLAY_SUMMARY,gou39c5KlQ 
[57305] SELL,gou39c5KlQ,IFN,656.69 
[57441] CANCEL_SELL,gou39c5KlQ 
[57456] ADD,gou39c5KlQ,88290.91 
[57692] DISPLAY_SUMMARY,gou39c5KlQ 
[58204] QUOTE,gou39c5KlQ,JUE 
[58325] BUY,gou39c5KlQ,RVZ,112.39 
[58341] COMMIT_BUY,gou39c5KlQ 
[58404] SELL,gou39c5KlQ,MXD,485.34 
[58410] COMMIT_SELL,gou39c5KlQ 
[58485] SET_SELL_TRIGGER,gou39c5KlQ,IFU,137.74 
[58568] ADD,gou39c5KlQ,59669.64 
[58596] SET_BUY_TRIGGER,gou39c5KlQ,YTO,194.47 
[58735] QUOTE,gou39c5KlQ,IFQ 
[58758] BUY,gou39c5KlQ,KZQ,639.33 
[59262] COMMIT_BUY,gou39c5KlQ 
[59287] SET_SELL_AMOUNT,gou39c5KlQ,KBN,319.64 
[59357] SET_SELL_TRIGGER,gou39c5KlQ,KBN,103.35 
[59988] QUOTE,gou39c5KlQ,WAI 
[60103] BUY,gou39c5KlQ,XLK,237.87 
[60734] COMMIT_SELL,gou39c5KlQ 
[61030] DISPLAY_SUMMARY,gou39c5KlQ 
[61105] SET_BUY_TRIGGER,gou39c5KlQ,CVP,81.74 
[61396] ADD,gou39c5KlQ,76452.20 
[61409] BUY,gou39c5KlQ,SFO,188.05 
[61433] COMMIT_BUY,gou39c5KlQ 
[61703] DISPLAY_SUMMARY,gou39c5KlQ 
[61761] CANCEL_SET_SELL,gou39c5KlQ,LPR 
[61805] SET_SELL_TRIGGER,gou39c5KlQ,DHA,154.41 
[61981] BUY,gou39c5KlQ,URY,670.34 
[61992] COMMIT_BUY,gou39c5KlQ 
[62026] QUOTE,gou39c5KlQ,HSH 
[62139] BUY,gou39c5KlQ,OZO,317.88 
[62226] SET_BUY_TRIGGER,gou39c5KlQ,BJL,103.23 
[62378] SET_SELL_TRIGGER,gou39c5KlQ,QJZ,40.81 
[62548] DISPLAY_SUMMARY,gou39c5KlQ 
[62715] SELL,gou39c5KlQ,GYF,100.19 
[62886] COMMIT_BUY,gou39c5KlQ 
[62891] BUY,gou39c5KlQ,ZRJ,280.07 
[62898] DISPLAY_SUMMARY,gou39c5KlQ 
[62981] DISPLAY_SUMMARY,gou39c5KlQ 
[63090] ADD,gou39c5KlQ,80932.53 
[63311] BUY,gou39c5KlQ,QAX,12.38 
[63488] SET_BUY_AMOUNT,gou39c5KlQ,KYX,660.59 
[63851] SET_BUY_TRIGGER,gou39c5KlQ,YKB,117.38 
[64001] ADD,gou39c5KlQ,89838.37 
[64033] BUY,gou39c5KlQ,SVV,422.41 
[64248] COMMIT_BUY,gou39c5KlQ 
[64293] BUY,gou39c5KlQ,FUF,728.68 
[64436] COMMIT_BUY,gou39c5KlQ 
[64517] SET_SELL_TRIGGER,gou39c5KlQ,BBD,199.99 
[64583] ADD,gou39c5KlQ,91233.24 
[64657] QUOTE,gou39c5KlQ,LKK 
[64698] CANCEL_SELL,gou39c5KlQ 
[64779] ADD,gou39c5KlQ,62019.28 
[64833] BUY,gou39c5KlQ,XOM,119.38 
[64883] CANCEL_BUY,gou39c5KlQ 
[64888] SET_SELL_AMOUNT,gou39c5KlQ,MXD,17.38 
[65053] QUOTE,gou39c5KlQ,PUN 
[65150] ADD,gou39c5KlQ,66010.38 
[65182] QUOTE,gou39c5KlQ,KLY 
[65202] BUY,gou39c5KlQ,PNP,666.28 
[65223] COMMIT_BUY,gou39c5KlQ 
[65454] SET_SELL_TRIGGER,gou39c5KlQ,MXD,9.80 
[65465] ADD,gou39c5KlQ,63170.05 
[65561] QUOTE,gou39c5KlQ,NOP 
[65650] BUY,gou39c5KlQ,PDB,346.05 
[65780] COMMIT_BUY,gou39c5KlQ 
[65836] QUOTE,gou39c5KlQ,UBJ 
[65887] SET_BUY_TRIGGER,gou39c5KlQ,GKD,195.94 
[65985] SET_BUY_AMOUNT,gou39c5KlQ,YDS,659.60 
[65990] DISPLAY_SUMMARY,gou39c5KlQ 
[66040] SET_SELL_AMOUNT,gou39c5KlQ,ZYR,393.12 
[66098] QUOTE,gou39c5KlQ,WYA 
[66380] DISPLAY_SUMMARY,gou39c5KlQ 
[66396] QUOTE,gou39c5KlQ,FWW 
[66528] BUY,gou39c5KlQ,SSW,709.05 
[66586] COMMIT_BUY,gou39c5KlQ 
[66598] QUOTE,gou39c5KlQ,UBJ 
[66733] COMMIT_BUY,gou39c5KlQ 
[66822] ADD,gou39c5KlQ,50529.56 
[67060] CANCEL_SET_SELL,gou39c5KlQ,ZYR 
[67064] SET_SELL_AMOUNT,gou39c5KlQ,NHG,586.14 
[67128] BUY,gou39c5KlQ,WDJ,449.12 
[67274] COMMIT_SELL,gou39c5KlQ 
[67297] COMMIT_SELL,gou39c5KlQ 
[67362] CANCEL_SELL,gou39c5KlQ 
[67415] SET_BUY_AMOUNT,gou39c5KlQ,QGE,483.45 
[67443] SET_BUY_TRIGGER,gou39c5KlQ,QAX,221.65 
[67459] ADD,gou39c5KlQ,70285.29 
[67769] BUY,gou39c5KlQ,TKM,728.08 
[67854] COMMIT_BUY,gou39c5KlQ 
[68097] CANCEL_SET_BUY,gou39c5KlQ,SWD 
[68210] QUOTE,gou39c5KlQ,YAV 
[68399] SET_BUY_TRIGGER,gou39c5KlQ,ZOT,194.32 
[68412] BUY,gou39c5KlQ,FCM,671.86 
[68420] COMMIT_BUY,gou39c5KlQ 
[68735] SET_BUY_TRIGGER,gou39c5KlQ,KAS,86.08 
[68895] BUY,gou39c5KlQ,GDO,393.96 
[68987] COMMIT_BUY,gou39c5KlQ 
[68988] QUOTE,gou39c5KlQ,PGV 
[69001] BUY,gou39c5KlQ,GMF,688.04 
[69106] COMMIT_BUY,gou39c5KlQ 
[69155] SET_BUY_TRIGGER,gou39c5KlQ,WAI,45.63 
[69174] BUY,gou39c5KlQ,FXT,258.38 
[69417] QUOTE,gou39c5KlQ,NQU 
[69600] ADD,gou39c5KlQ,62591.65 
[69647] QUOTE,gou39c5KlQ,XZO 
[69648] BUY,gou39c5KlQ,VDP,496.81 
[69753] COMMIT_BUY,gou39c5KlQ 
[69795] ADD,gou39c5KlQ,80377.83 
[69804] COMMIT_BUY,gou39c5KlQ 
[69817] SET_BUY_AMOUNT,gou39c5KlQ,JVT,652.82 
[70308] CANCEL_SET_BUY,gou39c5KlQ,ZTR 
[70320] CANCEL_SELL,gou39c5KlQ 
[70377] ADD,gou39c5KlQ,58454.14 
[70433] CANCEL_SET_SELL,gou39c5KlQ,NHG 
[70541] SET_SELL_TRIGGER,gou39c5KlQ,YTY,25.59 
[70647] DISPLAY_SUMMARY,gou39c5KlQ 
[70767] SELL,gou39c5KlQ,LFU,555.03 
[70822] CANCEL_SELL,gou39c5KlQ 
[70846] SET_SELL_TRIGGER,gou39c5KlQ,UFX,198.06 
[70961] SET_SELL_TRIGGER,gou39c5KlQ,FIC,134.36 
[71040] QUOTE,gou39c5KlQ,WKT 
[71065] SET_BUY_AMOUNT,gou39c5KlQ,QJZ,459.69 
[71180] SET_BUY_TRIGGER,gou39c5KlQ,PFN,316.04 
[71201] SET_SELL_TRIGGER,gou39c5KlQ,WJS,88.90 
[71258] SET_SELL_AMOUNT,gou39c5KlQ,QVK,447.33 
[71297] SET_SELL_TRIGGER,gou39c5KlQ,QVK,127.85 
[71344] DISPLAY_SUMMARY,gou39c5KlQ 
[71464] SET_BUY_AMOUNT,gou39c5KlQ,UBJ,680.66 
[71484] SET_BUY_TRIGGER,gou39c5KlQ,YNH,68.49 
[71633] QUOTE,gou39c5KlQ,UUJ 
[71638] BUY,gou39c5KlQ,LLZ,555.77 
[71844] DISPLAY_SUMMARY,gou39c5KlQ 
[71957] SELL,gou39c5KlQ,VTY,130.76 
[71967] COMMIT_SELL,gou39c5KlQ 
[72186] ADD,gou39c5KlQ,61787.59 
[72266] BUY,gou39c5KlQ,UUJ,608.60 
[72524] BUY,gou39c5KlQ,UMV,474.74 
[72749] COMMIT_BUY,gou39c5KlQ 
[72965] ADD,gou39c5KlQ,78184.53 
[72975] BUY,gou39c5KlQ,DQW,485.44 
[73030] COMMIT_BUY,gou39c5KlQ 
[73120] BUY,gou39c5KlQ,FZU,117.49 
[73162] CANCEL_SELL,gou39c5KlQ 
[73198] QUOTE,gou39c5KlQ,BTP 
[73228] SET_SELL_AMOUNT,gou39c5KlQ,QGE,655.16 
[73290] CANCEL_SET_SELL,gou39c5KlQ,QGE 
[73311] BUY,gou39c5KlQ,KDG,331.82 
[73506] BUY,gou39c5KlQ,GYF,493.95 
[73542] SET_BUY_AMOUNT,gou39c5KlQ,QAX,326.24 
[73580] DISPLAY_SUMMARY,gou39c5KlQ 
[73628] ADD,gou39c5KlQ,64918.04 
[73630] BUY,gou39c5KlQ,ONI,9.24 
[73658] DISPLAY_SUMMARY,gou39c5KlQ 
[73796] BUY,gou39c5KlQ,GAN,428.13 
[73815] COMMIT_BUY,gou39c5KlQ 
[74080] ADD,gou39c5KlQ,66235.83 
[74146] CANCEL_BUY,gou39c5KlQ 
[74271] ADD,gou39c5KlQ,74936.00 
[74326] SET_BUY_TRIGGER,gou39c5KlQ,APY,285.26 
[74388] QUOTE,gou39c5KlQ,EOS 
[74612] QUOTE,gou39c5KlQ,XRK 
[74622] QUOTE,gou39c5KlQ,VNO 
[74660] BUY,gou39c5KlQ,CMA,335.48 
[74680] COMMIT_BUY,gou39c5KlQ 
[74743] CANCEL_BUY,gou39c5KlQ 
[74749] ADD,gou39c5KlQ,81047.97 
[74789] CANCEL_SET_SELL,gou39c5KlQ,HCN 
[74836] SET_BUY_AMOUNT,gou39c5KlQ,AJR,143.50 
[75052] DISPLAY_SUMMARY,gou39c5KlQ 
[75060] CANCEL_SET_SELL,gou39c5KlQ,DWX 
[75072] SET_BUY_TRIGGER,gou39c5KlQ,JGY,65.40 
[75110] ADD,gou39c5KlQ,59547.83 
[75182] QUOTE,gou39c5KlQ,ZGR 
[75425] QUOTE,gou39c5KlQ,MXN 
[75513] BUY,gou39c5KlQ,IUN,360.38 
[75541] CANCEL_BUY,gou39c5KlQ 
[75550] ADD,gou39c5KlQ,68364.71 
[75802] BUY,gou39c5KlQ,NRY,294.96 
[75829] COMMIT_BUY,gou39c5KlQ 
[76063] SET_SELL_AMOUNT,gou39c5KlQ,MFX,233.31 
[76178] SET_SELL_TRIGGER,gou39c5KlQ,MFX,48.22 
[76327] BUY,gou39c5KlQ,OAS,401.11 
[76338] QUOTE,gou39c5KlQ,NHB 
[76399] QUOTE,gou39c5KlQ,XQG 
[76450] QUOTE,gou39c5KlQ,WUF 
[76460] BUY,gou39c5KlQ,ZWZ,371.41 
[76535] DISPLAY_SUMMARY,gou39c5KlQ 
[76575] DISPLAY_SUMMARY,gou39c5KlQ 
[76711] ADD,gou39c5KlQ,37567.72 
[76925] QUOTE,gou39c5KlQ,RKY 
[77011] SET_SELL_AMOUNT,gou39c5KlQ,FQP,291.20 
[77014] SELL,gou39c5KlQ,QAX,647.85 
[77146] CANCEL_BUY,gou39c5KlQ 
[77183] SET_BUY_TRIGGER,gou39c5KlQ,OIY,161.65 
[77410] ADD,gou39c5KlQ,56743.86 
[77472] SET_SELL_AMOUNT,gou39c5KlQ,QAX,691.32 
[77554] SET_SELL_TRIGGER,gou39c5KlQ,QAX,582.25 
[77578] DISPLAY_SUMMARY,gou39c5KlQ 
[77581] SELL,gou39c5KlQ,JVT,606.21 
[77724] COMMIT_SELL,gou39c5KlQ 
[77806] SET_SELL_AMOUNT,gou39c5KlQ,KDA,184.45 
[77896] SET_SELL_TRIGGER,gou39c5KlQ,KDA,133.49 
[77918] BUY,gou39c5KlQ,SDW,480.11 
[77970] SET_BUY_AMOUNT,gou39c5KlQ,XXQ,401.67 
[78115] SET_BUY_TRIGGER,gou39c5KlQ,LLO,315.80 
[78419] QUOTE,gou39c5KlQ,EED 
[78430] BUY,gou39c5KlQ,PWK,81.26 
[78470] COMMIT_BUY,gou39c5KlQ 
[78476] QUOTE,gou39c5KlQ,FFZ 
[78480] SELL,gou39c5KlQ,RNK,221.43 
[78568] COMMIT_SELL,gou39c5KlQ 
[78744] QUOTE,gou39c5KlQ,CVK 
[78790] ADD,gou39c5KlQ,41195.63 
[78922] QUOTE,gou39c5KlQ,WKG 
[78990] SET_BUY_AMOUNT,gou39c5KlQ,KYX,323.46 
[79097] SET_BUY_TRIGGER,gou39c5KlQ,FKI,289.33 
[79221] BUY,gou39c5KlQ,XRK,153.32 
[79561] CANCEL_SET_SELL,gou39c5KlQ,YEW 
[79862] BUY,gou39c5KlQ,MVY,450.53 
[79924] QUOTE,gou39c5KlQ,BTP 
[79955] CANCEL_SET_SELL,gou39c5KlQ,SJH 
[80334] SET_BUY_TRIGGER,gou39c5KlQ,PPW,198.81 
[80493] BUY,gou39c5KlQ,NJI,394.67 
[80550] COMMIT_BUY,gou39c5KlQ 
[80580] BUY,gou39c5KlQ,HIW,320.45 
[80730] BUY,gou39c5KlQ,QSS,7.53 
[80850] CANCEL_SELL,gou39c5KlQ 
[81008] BUY,gou39c5KlQ,IQZ,304.63 
[81019] CANCEL_BUY,gou39c5KlQ 
[81031] DISPLAY_SUMMARY,gou39c5KlQ 
[81315] DISPLAY_SUMMARY,gou39c5KlQ 
[81329] QUOTE,gou39c5KlQ,XZN 
[81381] BUY,gou39c5KlQ,JDO,450.72 
[81418] CANCEL_BUY,gou39c5KlQ 
[81435] DISPLAY_SUMMARY,gou39c5KlQ 
[81812] SELL,gou39c5KlQ,GSW,709.85 
[81940] COMMIT_SELL,gou39c5KlQ 
[81996] DISPLAY_SUMMARY,gou39c5KlQ 
[82299] DISPLAY_SUMMARY,gou39c5KlQ 
[82443] ADD,gou39c5KlQ,61796.04 
[82451] QUOTE,gou39c5KlQ,GAN 
[82538] BUY,gou39c5KlQ,GJR,483.18 
[82543] COMMIT_BUY,gou39c5KlQ 
[82570] ADD,gou39c5KlQ,67597.67 
[82613] SET_BUY_TRIGGER,gou39c5KlQ,TCP,44.38 
[82851] SELL,gou39c5KlQ,SUS,718.68 
[82905] CANCEL_SELL,gou39c5KlQ 
[82989] COMMIT_BUY,gou39c5KlQ 
[82993] SET_BUY_TRIGGER,gou39c5KlQ,JDW,71.00 
[83055] ADD,gou39c5KlQ,78131.16 
[83209] BUY,gou39c5KlQ,ZCG,615.84 
[83212] CANCEL_BUY,gou39c5KlQ 
[83272] DISPLAY_SUMMARY,gou39c5KlQ 
[83291] SET_SELL_AMOUNT,gou39c5KlQ,UTV,226.11 
[83342] SET_SELL_TRIGGER,gou39c5KlQ,UTV,222.80 
[83412] DISPLAY_SUMMARY,gou39c5KlQ 
[83484] SET_BUY_TRIGGER,gou39c5KlQ,WRN,38.06 
[83523] SELL,gou39c5KlQ,CUZ,658.50 
[83584] CANCEL_BUY,gou39c5KlQ 
[83744] SELL,gou39c5KlQ,VTY,716.71 
[84027] SET_SELL_TRIGGER,gou39c5KlQ,HYX,160.00 
[84100] DISPLAY_SUMMARY,gou39c5KlQ 
[84208] SET_SELL_AMOUNT,gou39c5KlQ,PRJ,17.76 
[84397] CANCEL_SET_SELL,gou39c5KlQ,PRJ 
[84445] ADD,gou39c5KlQ,66908.39 
[84487] QUOTE,gou39c5KlQ,NHG 
[84758] QUOTE,gou39c5KlQ,FGI 
[84765] BUY,gou39c5KlQ,ZAN,734.55 
[84800] COMMIT_BUY,gou39c5KlQ 
[84805] SET_SELL_TRIGGER,gou39c5KlQ,ZFV,87.55 
[84942] ADD,gou39c5KlQ,79307.38 
[84978] BUY,gou39c5KlQ,BTA,677.13 
[84987] COMMIT_BUY,gou39c5KlQ 
[85000] SELL,gou39c5KlQ,FQP,141.87 
[85056] COMMIT_SELL,gou39c5KlQ 
[85323] CANCEL_SELL,gou39c5KlQ 
[85410] QUOTE,gou39c5KlQ,ZNZ 
[85482] SET_SELL_TRIGGER,gou39c5KlQ,JYV,16.94 
[85657] BUY,gou39c5KlQ,XYV,49.24 
[85763] COMMIT_BUY,gou39c5KlQ 
[85786] SET_SELL_TRIGGER,gou39c5KlQ,QOD,106.31 
[85856] SET_BUY_AMOUNT,gou39c5KlQ,JRJ,724.13 
[85996] SET_BUY_TRIGGER,gou39c5KlQ,DWK,337.45 
[85998] CANCEL_SET_BUY,gou39c5KlQ,DJD 
[86015] SET_BUY_AMOUNT,gou39c5KlQ,MXD,317.05 
[86071] DISPLAY_SUMMARY,gou39c5KlQ 
[86305] SET_SELL_AMOUNT,gou39c5KlQ,JVT,106.18 
[86365] SET_SELL_TRIGGER,gou39c5KlQ,JVT,10.95 
[86422] SELL,gou39c5KlQ,IQJ,43.05 
[86441] COMMIT_SELL,gou39c5KlQ 
[86461] SET_BUY_TRIGGER,gou39c5KlQ,KCS,281.56 
[86476] SET_SELL_AMOUNT,gou39c5KlQ,EBS,30.45 
[86503] SET_SELL_TRIGGER,gou39c5KlQ,EBS,27.21 
[86532] ADD,gou39c5KlQ,53667.07 
[86939] BUY,gou39c5KlQ,ZZD,681.37 
[87004] COMMIT_BUY,gou39c5KlQ 
[87099] SELL,gou39c5KlQ,KES,448.41 
[87198] COMMIT_SELL,gou39c5KlQ 
[87364] SET_SELL_AMOUNT,gou39c5KlQ,JZJ,428.88 
[87506] SET_SELL_TRIGGER,gou39c5KlQ,JZJ,14.68 
[87791] QUOTE,gou39c5KlQ,HIW 
[87904] BUY,gou39c5KlQ,ZOT,200.43 
[87925] SELL,gou39c5KlQ,JCQ,425.10 
[88096] CANCEL_SELL,gou39c5KlQ 
[88118] QUOTE,gou39c5KlQ,MVI 
[88195] BUY,gou39c5KlQ,JZJ,231.46 
[88361] SET_BUY_TRIGGER,gou39c5KlQ,SPT,154.99 
[88580] QUOTE,gou39c5KlQ,IGI 
[88739] SET_BUY_TRIGGER,gou39c5KlQ,HZA,194.10 
[88780] DISPLAY_SUMMARY,gou39c5KlQ 
[88818] SELL,gou39c5KlQ,RNK,524.42 
[88907] SET_BUY_AMOUNT,gou39c5KlQ,GYF,52.16 
[88940] SET_BUY_TRIGGER,gou39c5KlQ,PDB,45.33 
[88965] SET_BUY_TRIGGER,gou39c5KlQ,JEA,105.48 
[89006] SET_SELL_AMOUNT,gou39c5KlQ,GKD,505.54 
[89020] QUOTE,gou39c5KlQ,RRZ 
[89049] COMMIT_SELL,gou39c5KlQ 
[89331] DISPLAY_SUMMARY,gou39c5KlQ 
[89501] DISPLAY_SUMMARY,gou39c5KlQ 
[89606] ADD,gou39c5KlQ,70120.33 
[89887] CANCEL_BUY,gou39c5KlQ 
[90217] BUY,gou39c5KlQ,JIC,561.43 
[90221] COMMIT_BUY,gou39c5KlQ 
[90248] ADD,gou39c5KlQ,62915.23 
[90261] QUOTE,gou39c5KlQ,VZB 
[90313] COMMIT_SELL,gou39c5KlQ 
[90325] SET_SELL_TRIGGER,gou39c5KlQ,GKD,361.32 
[90346] BUY,gou39c5KlQ,BFU,89.55 
[90445] COMMIT_SELL,gou39c5KlQ 
[90454] ADD,gou39c5KlQ,63256.34 
[90474] BUY,gou39c5KlQ,SKY,710.40 
[90521] COMMIT_SELL,gou39c5KlQ 
[90631] ADD,gou39c5KlQ,91354.52 
[90642] BUY,gou39c5KlQ,LZB,729.51 
[90960] CANCEL_BUY,gou39c5KlQ 
[91023] SET_BUY_AMOUNT,gou39c5KlQ,YDS,470.69 
[91028] SET_BUY_TRIGGER,gou39c5KlQ,XMA,414.35 
[91227] ADD,gou39c5KlQ,75919.55 
[91304] BUY,gou39c5KlQ,DKV,187.12 
[91377] COMMIT_BUY,gou39c5KlQ 
[91488] QUOTE,gou39c5KlQ,JRJ 
[91610] QUOTE,gou39c5KlQ,OHS 
[91673] COMMIT_SELL,gou39c5KlQ 
[91809] COMMIT_BUY,gou39c5KlQ 
[91928] SET_BUY_AMOUNT,gou39c5KlQ,GSW,388.62 
[91929] SET_BUY_TRIGGER,gou39c5KlQ,SXB,39.34 
[91969] QUOTE,gou39c5KlQ,VMT 
[92265] DISPLAY_SUMMARY,gou39c5KlQ 
[92873] ADD,gou39c5KlQ,81210.21 
[92885] DISPLAY_SUMMARY,gou39c5KlQ 
[92916] ADD,gou39c5KlQ,88130.63 
[93037] QUOTE,gou39c5KlQ,RQT 
[93257] BUY,gou39c5KlQ,YAV,415.68 
[93283] COMMIT_BUY,gou39c5KlQ 
[93289] SET_SELL_AMOUNT,gou39c5KlQ,YJK,233.99 
[93314] SET_SELL_TRIGGER,gou39c5KlQ,YJK,27.35 
[93507] SET_BUY_AMOUNT,gou39c5KlQ,ZER,484.21 
[93565] SET_BUY_TRIGGER,gou39c5KlQ,ZTR,368.57 
[93826] SET_BUY_AMOUNT,gou39c5KlQ,GYF,245.57 
[93847] SET_BUY_TRIGGER,gou39c5KlQ,CMA,101.17 
