[14] ADD,kESyNMCJeA,44598.11 
[49279] ADD,kESyNMCJeA,66187.37 
[49563] BUY,kESyNMCJeA,PBV,422.54 
[49573] COMMIT_BUY,kESyNMCJeA 
[49674] SELL,kESyNMCJeA,UTV,280.82 
[49734] COMMIT_SELL,kESyNMCJeA 
[49768] SET_SELL_AMOUNT,kESyNMCJeA,FDI,578.69 
[49769] SET_SELL_TRIGGER,kESyNMCJeA,FDI,47.47 
[49828] SELL,kESyNMCJeA,KES,743.08 
[49835] CANCEL_SELL,kESyNMCJeA 
[49955] SET_BUY_AMOUNT,kESyNMCJeA,ZAN,390.67 
[50083] SELL,kESyNMCJeA,UBJ,367.93 
[50111] SELL,kESyNMCJeA,RUN,363.32 
[50169] QUOTE,kESyNMCJeA,YAV 
[50223] QUOTE,kESyNMCJeA,WKG 
[50594] DISPLAY_SUMMARY,kESyNMCJeA 
[50610] SET_SELL_AMOUNT,kESyNMCJeA,UBJ,165.01 
[50748] DISPLAY_SUMMARY,kESyNMCJeA 
[50933] SELL,kESyNMCJeA,EBS,524.87 
[51014] BUY,kESyNMCJeA,EUM,442.93 
[51066] SET_SELL_TRIGGER,kESyNMCJeA,UBJ,69.91 
[51204] QUOTE,kESyNMCJeA,LZV 
[51231] BUY,kESyNMCJeA,ZJG,333.55 
[51314] CANCEL_SET_BUY,kESyNMCJeA,XCL 
[51332] SET_BUY_TRIGGER,kESyNMCJeA,ZFV,124.66 
[51336] BUY,kESyNMCJeA,GCL,559.57 
[51387] CANCEL_SET_SELL,kESyNMCJeA,ATE 
[51584] SELL,kESyNMCJeA,RUN,25.40 
[51733] CANCEL_SELL,kESyNMCJeA 
[51905] DISPLAY_SUMMARY,kESyNMCJeA 
[51977] SET_BUY_TRIGGER,kESyNMCJeA,IFQ,33.41 
[52246] SET_BUY_AMOUNT,kESyNMCJeA,SUS,164.91 
[52272] CANCEL_SET_BUY,kESyNMCJeA,TUO 
[52275] SET_BUY_AMOUNT,kESyNMCJeA,CSZ,553.82 
[52287] SET_BUY_TRIGGER,kESyNMCJeA,JGO,261.12 
[52418] SET_BUY_TRIGGER,kESyNMCJeA,FUR,29.27 
[52449] DISPLAY_SUMMARY,kESyNMCJeA 
[52666] COMMIT_BUY,kESyNMCJeA 
[52669] DISPLAY_SUMMARY,kESyNMCJeA 
[52686] SET_BUY_TRIGGER,kESyNMCJeA,BZH,144.22 
[52823] BUY,kESyNMCJeA,PHZ,101.31 
[53019] COMMIT_BUY,kESyNMCJeA 
[53110] SELL,kESyNMCJeA,QAX,280.46 
[53207] COMMIT_SELL,kESyNMCJeA 
[53250] ADD,kESyNMCJeA,109140.80 
[53285] QUOTE,kESyNMCJeA,HFI 
[53301] BUY,kESyNMCJeA,HNW,452.77 
[53402] CANCEL_SELL,kESyNMCJeA 
[53444] ADD,kESyNMCJeA,82891.95 
[53463] QUOTE,kESyNMCJeA,HDR 
[53465] BUY,kESyNMCJeA,TXB,331.68 
[53617] CANCEL_SET_BUY,kESyNMCJeA,MPP 
[53696] SET_SELL_AMOUNT,kESyNMCJeA,GYF,206.91 
[53756] SET_SELL_TRIGGER,kESyNMCJeA,GYF,134.78 
[53761] SET_BUY_AMOUNT,kESyNMCJeA,FQP,88.46 
[53786] SET_BUY_TRIGGER,kESyNMCJeA,OQW,33.30 
[53799] SELL,kESyNMCJeA,BCQ,209.52 
[53829] BUY,kESyNMCJeA,SSF,341.85 
[53860] CANCEL_BUY,kESyNMCJeA 
[54231] CANCEL_BUY,kESyNMCJeA 
[54236] SET_SELL_TRIGGER,kESyNMCJeA,ENQ,135.93 
[54357] SET_BUY_AMOUNT,kESyNMCJeA,YJK,631.97 
[54400] SET_BUY_TRIGGER,kESyNMCJeA,AXK,78.30 
[54565] CANCEL_SET_BUY,kESyNMCJeA,JPP 
[54569] QUOTE,kESyNMCJeA,OAV 
[54913] QUOTE,kESyNMCJeA,NZS 
[54968] CANCEL_SET_BUY,kESyNMCJeA,NGH 
[54969] DISPLAY_SUMMARY,kESyNMCJeA 
[54995] SET_BUY_AMOUNT,kESyNMCJeA,JZJ,266.89 
[55130] SET_BUY_TRIGGER,kESyNMCJeA,WBX,165.29 
[55274] COMMIT_SELL,kESyNMCJeA 
[55275] SELL,kESyNMCJeA,GYF,111.54 
[55277] COMMIT_SELL,kESyNMCJeA 
[55311] SELL,kESyNMCJeA,SSF,275.30 
[55349] SET_BUY_TRIGGER,kESyNMCJeA,SFR,6.85 
[55583] SET_SELL_TRIGGER,kESyNMCJeA,AOC,9.12 
[55786] DISPLAY_SUMMARY,kESyNMCJeA 
[55931] DISPLAY_SUMMARY,kESyNMCJeA 
[55952] DISPLAY_SUMMARY,kESyNMCJeA 
[56104] SET_SELL_AMOUNT,kESyNMCJeA,ZTI,656.78 
[56263] SET_SELL_TRIGGER,kESyNMCJeA,ZTI,254.88 
[56507] DISPLAY_SUMMARY,kESyNMCJeA 
[56607] DISPLAY_SUMMARY,kESyNMCJeA 
[56642] SET_SELL_TRIGGER,kESyNMCJeA,DQW,187.17 
[56699] DISPLAY_SUMMARY,kESyNMCJeA 
[56831] ADD,kESyNMCJeA,94780.49 
[57024] BUY,kESyNMCJeA,EIH,351.66 
[57172] COMMIT_BUY,kESyNMCJeA 
[57260] SET_BUY_AMOUNT,kESyNMCJeA,OEY,557.59 
[57289] BUY,kESyNMCJeA,RUN,341.42 
[57768] COMMIT_BUY,kESyNMCJeA 
[57828] SET_SELL_AMOUNT,kESyNMCJeA,CEC,656.26 
[57829] SET_SELL_TRIGGER,kESyNMCJeA,CEC,615.71 
[57969] ADD,kESyNMCJeA,86948.31 
[58203] BUY,kESyNMCJeA,SQI,582.23 
[58206] QUOTE,kESyNMCJeA,RQL 
[58501] SET_SELL_TRIGGER,kESyNMCJeA,WFR,187.12 
[58730] ADD,kESyNMCJeA,83346.10 
[58784] BUY,kESyNMCJeA,QTU,610.11 
[59067] SET_SELL_TRIGGER,kESyNMCJeA,CXN,64.76 
[59083] COMMIT_BUY,kESyNMCJeA 
[59155] DISPLAY_SUMMARY,kESyNMCJeA 
[59233] DISPLAY_SUMMARY,kESyNMCJeA 
[59239] SET_SELL_TRIGGER,kESyNMCJeA,ZJB,13.33 
[59258] SET_BUY_AMOUNT,kESyNMCJeA,CUZ,52.06 
[59318] SET_BUY_TRIGGER,kESyNMCJeA,QTH,31.95 
[59425] ADD,kESyNMCJeA,92814.74 
[59476] QUOTE,kESyNMCJeA,XBE 
[59633] BUY,kESyNMCJeA,IGT,626.33 
[59666] COMMIT_BUY,kESyNMCJeA 
[59833] SET_BUY_TRIGGER,kESyNMCJeA,SKY,117.43 
[59862] ADD,kESyNMCJeA,86474.84 
[59881] BUY,kESyNMCJeA,QZN,641.28 
[59924] COMMIT_BUY,kESyNMCJeA 
[60118] SET_BUY_TRIGGER,kESyNMCJeA,DBR,122.60 
[60302] QUOTE,kESyNMCJeA,SJZ 
[60406] SET_BUY_TRIGGER,kESyNMCJeA,VTY,31.81 
[60598] BUY,kESyNMCJeA,KDA,641.26 
[60705] COMMIT_BUY,kESyNMCJeA 
[60749] SET_SELL_AMOUNT,kESyNMCJeA,FDI,123.58 
[60768] SET_SELL_TRIGGER,kESyNMCJeA,FDI,83.53 
[60775] DISPLAY_SUMMARY,kESyNMCJeA 
[60955] SET_BUY_TRIGGER,kESyNMCJeA,FVS,111.98 
[61019] DISPLAY_SUMMARY,kESyNMCJeA 
[61021] SET_SELL_AMOUNT,kESyNMCJeA,PTP,493.30 
[61056] SET_SELL_TRIGGER,kESyNMCJeA,PTP,313.85 
[61075] ADD,kESyNMCJeA,60807.06 
[61104] QUOTE,kESyNMCJeA,CBQ 
[61546] CANCEL_SET_BUY,kESyNMCJeA,JUN 
[61569] ADD,kESyNMCJeA,91287.59 
[61667] QUOTE,kESyNMCJeA,WYD 
[61683] BUY,kESyNMCJeA,RXO,300.87 
[61724] QUOTE,kESyNMCJeA,FPV 
[61729] BUY,kESyNMCJeA,SJG,40.81 
[61770] COMMIT_BUY,kESyNMCJeA 
[61779] SET_BUY_AMOUNT,kESyNMCJeA,OPN,246.00 
[61795] SET_BUY_TRIGGER,kESyNMCJeA,FLD,191.64 
[61977] QUOTE,kESyNMCJeA,CBQ 
[62009] BUY,kESyNMCJeA,FTB,469.08 
[62085] COMMIT_BUY,kESyNMCJeA 
[62086] QUOTE,kESyNMCJeA,YBO 
[62274] DISPLAY_SUMMARY,kESyNMCJeA 
[62389] SELL,kESyNMCJeA,CSZ,269.97 
[62628] QUOTE,kESyNMCJeA,AOH 
[62772] DISPLAY_SUMMARY,kESyNMCJeA 
[62933] CANCEL_SET_BUY,kESyNMCJeA,VVW 
[62977] ADD,kESyNMCJeA,49561.83 
[63050] QUOTE,kESyNMCJeA,OBO 
[63142] ADD,kESyNMCJeA,63789.95 
[63155] BUY,kESyNMCJeA,HIW,286.98 
[63160] CANCEL_SET_BUY,kESyNMCJeA,DLX 
[63206] ADD,kESyNMCJeA,68561.21 
[63274] BUY,kESyNMCJeA,EOY,366.75 
[63314] CANCEL_SELL,kESyNMCJeA 
[63546] DISPLAY_SUMMARY,kESyNMCJeA 
[63775] DISPLAY_SUMMARY,kESyNMCJeA 
[63805] DISPLAY_SUMMARY,kESyNMCJeA 
[63808] SET_SELL_TRIGGER,kESyNMCJeA,OHG,163.81 
[63876] SET_SELL_TRIGGER,kESyNMCJeA,HHC,125.30 
[63978] ADD,kESyNMCJeA,71918.02 
[63994] QUOTE,kESyNMCJeA,QUT 
[64020] DISPLAY_SUMMARY,kESyNMCJeA 
[64103] ADD,kESyNMCJeA,68952.87 
[64176] QUOTE,kESyNMCJeA,NFO 
[64185] BUY,kESyNMCJeA,XLV,669.40 
[64303] QUOTE,kESyNMCJeA,PMG 
[64506] BUY,kESyNMCJeA,GWS,319.31 
[64688] CANCEL_BUY,kESyNMCJeA 
[64735] QUOTE,kESyNMCJeA,PYB 
[64789] BUY,kESyNMCJeA,PCK,590.62 
[64926] COMMIT_BUY,kESyNMCJeA 
[65001] SET_BUY_AMOUNT,kESyNMCJeA,XLK,463.14 
[65012] CANCEL_SET_BUY,kESyNMCJeA,SDL 
[65042] BUY,kESyNMCJeA,OTD,408.54 
[65047] COMMIT_BUY,kESyNMCJeA 
[65183] BUY,kESyNMCJeA,FXT,634.08 
[65394] SET_BUY_AMOUNT,kESyNMCJeA,QAX,597.01 
[65430] SET_BUY_TRIGGER,kESyNMCJeA,MWV,415.79 
[65467] DISPLAY_SUMMARY,kESyNMCJeA 
[65520] BUY,kESyNMCJeA,JUG,706.10 
[65647] SET_SELL_AMOUNT,kESyNMCJeA,ZAN,479.16 
[65740] SET_SELL_TRIGGER,kESyNMCJeA,ZAN,327.62 
[65829] QUOTE,kESyNMCJeA,RVZ 
[65832] QUOTE,kESyNMCJeA,DES 
[65847] CANCEL_SET_BUY,kESyNMCJeA,LUD 
[66331] QUOTE,kESyNMCJeA,SBT 
[66423] CANCEL_BUY,kESyNMCJeA 
[66580] DISPLAY_SUMMARY,kESyNMCJeA 
[66601] BUY,kESyNMCJeA,OWH,600.67 
[66661] CANCEL_BUY,kESyNMCJeA 
[66693] QUOTE,kESyNMCJeA,VNN 
[66835] QUOTE,kESyNMCJeA,YVS 
[67158] DISPLAY_SUMMARY,kESyNMCJeA 
[67303] BUY,kESyNMCJeA,ZAV,382.53 
[67315] CANCEL_BUY,kESyNMCJeA 
[67322] SELL,kESyNMCJeA,OPN,164.55 
[67597] COMMIT_SELL,kESyNMCJeA 
[67610] SELL,kESyNMCJeA,LFU,52.93 
[67615] COMMIT_SELL,kESyNMCJeA 
[67626] QUOTE,kESyNMCJeA,JUG 
[67823] SET_BUY_AMOUNT,kESyNMCJeA,CBO,365.32 
[67860] SET_BUY_TRIGGER,kESyNMCJeA,ZOT,87.02 
[67971] SELL,kESyNMCJeA,OEY,88.82 
[67976] COMMIT_SELL,kESyNMCJeA 
[68053] BUY,kESyNMCJeA,SBT,174.82 
[68054] CANCEL_BUY,kESyNMCJeA 
[68098] DISPLAY_SUMMARY,kESyNMCJeA 
[68435] ADD,kESyNMCJeA,59595.20 
[68498] BUY,kESyNMCJeA,PHE,557.85 
[68536] BUY,kESyNMCJeA,FTP,239.32 
[68568] CANCEL_BUY,kESyNMCJeA 
[68601] CANCEL_SET_SELL,kESyNMCJeA,SKY 
[68677] SET_BUY_AMOUNT,kESyNMCJeA,SUS,356.79 
[68714] SET_BUY_TRIGGER,kESyNMCJeA,QZN,306.54 
[68742] CANCEL_SET_SELL,kESyNMCJeA,YNH 
[68808] SET_SELL_AMOUNT,kESyNMCJeA,YJK,511.86 
[68838] SET_SELL_TRIGGER,kESyNMCJeA,YJK,417.52 
[68957] SELL,kESyNMCJeA,UTV,679.48 
[69111] SET_BUY_AMOUNT,kESyNMCJeA,UIE,744.80 
[69122] SET_BUY_TRIGGER,kESyNMCJeA,DDH,60.88 
[69208] CANCEL_BUY,kESyNMCJeA 
[69277] QUOTE,kESyNMCJeA,RRT 
[69288] BUY,kESyNMCJeA,HVE,103.67 
[69312] DISPLAY_SUMMARY,kESyNMCJeA 
[69364] BUY,kESyNMCJeA,TUO,31.94 
[69408] COMMIT_BUY,kESyNMCJeA 
[69411] SELL,kESyNMCJeA,CUZ,31.52 
[69436] COMMIT_SELL,kESyNMCJeA 
[69585] BUY,kESyNMCJeA,BBD,633.88 
[69589] BUY,kESyNMCJeA,YPW,681.14 
[69637] COMMIT_BUY,kESyNMCJeA 
[69663] QUOTE,kESyNMCJeA,OOI 
[69682] SELL,kESyNMCJeA,QJZ,336.92 
[69847] CANCEL_SELL,kESyNMCJeA 
[70087] QUOTE,kESyNMCJeA,AUX 
[70117] BUY,kESyNMCJeA,FUF,267.17 
[70271] COMMIT_BUY,kESyNMCJeA 
[70315] SET_SELL_AMOUNT,kESyNMCJeA,MXD,55.86 
[70454] SET_SELL_TRIGGER,kESyNMCJeA,MXD,45.91 
[70540] DISPLAY_SUMMARY,kESyNMCJeA 
[70710] SET_SELL_TRIGGER,kESyNMCJeA,LFU,108.45 
[71203] ADD,kESyNMCJeA,87575.22 
[71383] BUY,kESyNMCJeA,MIQ,603.26 
[71436] CANCEL_SET_BUY,kESyNMCJeA,QGN 
[71473] QUOTE,kESyNMCJeA,NKC 
[71497] QUOTE,kESyNMCJeA,RKY 
[71550] ADD,kESyNMCJeA,74702.00 
[71559] QUOTE,kESyNMCJeA,AEM 
[71866] SET_BUY_TRIGGER,kESyNMCJeA,IHW,75.00 
[71941] BUY,kESyNMCJeA,EUM,415.31 
[72017] COMMIT_BUY,kESyNMCJeA 
[72384] SET_BUY_TRIGGER,kESyNMCJeA,WKL,101.33 
[72405] SET_BUY_AMOUNT,kESyNMCJeA,FQP,144.77 
[72476] SET_BUY_TRIGGER,kESyNMCJeA,DTG,93.41 
[72521] SET_BUY_TRIGGER,kESyNMCJeA,NUV,13.19 
[72866] SELL,kESyNMCJeA,GRM,280.49 
[72907] SET_SELL_AMOUNT,kESyNMCJeA,EBS,33.75 
[73053] SET_SELL_TRIGGER,kESyNMCJeA,EBS,33.40 
[73075] CANCEL_SET_SELL,kESyNMCJeA,FZB 
[73420] SET_SELL_AMOUNT,kESyNMCJeA,CBO,78.01 
[73427] SET_SELL_TRIGGER,kESyNMCJeA,CBO,62.04 
[73513] QUOTE,kESyNMCJeA,QEO 
[73616] DISPLAY_SUMMARY,kESyNMCJeA 
[73624] QUOTE,kESyNMCJeA,CBX 
[73842] COMMIT_BUY,kESyNMCJeA 
[73894] SET_BUY_AMOUNT,kESyNMCJeA,XXQ,477.04 
[73904] SET_BUY_TRIGGER,kESyNMCJeA,WBX,455.89 
[73951] DISPLAY_SUMMARY,kESyNMCJeA 
[74135] DISPLAY_SUMMARY,kESyNMCJeA 
[74493] QUOTE,kESyNMCJeA,CCH 
[74514] SELL,kESyNMCJeA,IFN,96.63 
[74886] COMMIT_BUY,kESyNMCJeA 
[74980] SET_BUY_AMOUNT,kESyNMCJeA,JCQ,454.92 
[75046] SET_BUY_TRIGGER,kESyNMCJeA,PPW,132.61 
[75071] ADD,kESyNMCJeA,68886.68 
[75299] QUOTE,kESyNMCJeA,XDN 
[75406] BUY,kESyNMCJeA,MSV,712.16 
[75630] COMMIT_BUY,kESyNMCJeA 
[75729] QUOTE,kESyNMCJeA,TQX 
[75933] CANCEL_BUY,kESyNMCJeA 
[75939] SELL,kESyNMCJeA,UIE,359.53 
[76144] CANCEL_SET_SELL,kESyNMCJeA,UTD 
[76180] ADD,kESyNMCJeA,37256.03 
[76214] QUOTE,kESyNMCJeA,OLH 
[76284] QUOTE,kESyNMCJeA,FCH 
[76341] SET_BUY_AMOUNT,kESyNMCJeA,CSZ,66.56 
[76390] SET_BUY_TRIGGER,kESyNMCJeA,XLV,63.58 
[76396] SET_BUY_TRIGGER,kESyNMCJeA,ULL,33.54 
[76421] SET_SELL_TRIGGER,kESyNMCJeA,ZWC,67.41 
[76576] BUY,kESyNMCJeA,BJL,632.07 
[76593] COMMIT_BUY,kESyNMCJeA 
[76626] SET_BUY_AMOUNT,kESyNMCJeA,MFX,162.48 
[76656] SET_BUY_TRIGGER,kESyNMCJeA,PDB,23.43 
[76806] DISPLAY_SUMMARY,kESyNMCJeA 
[76929] SET_SELL_AMOUNT,kESyNMCJeA,KES,670.39 
[77181] QUOTE,kESyNMCJeA,ATE 
[77468] BUY,kESyNMCJeA,RRE,44.16 
[77498] QUOTE,kESyNMCJeA,TQE 
[77562] QUOTE,kESyNMCJeA,ZDB 
[77614] BUY,kESyNMCJeA,XOL,364.49 
[77624] CANCEL_SET_SELL,kESyNMCJeA,KES 
[77914] BUY,kESyNMCJeA,OYS,46.12 
[77954] COMMIT_BUY,kESyNMCJeA 
[77989] CANCEL_SET_BUY,kESyNMCJeA,VEE 
[78142] DISPLAY_SUMMARY,kESyNMCJeA 
[78203] SET_BUY_TRIGGER,kESyNMCJeA,YIU,37.67 
[78224] SET_SELL_TRIGGER,kESyNMCJeA,UGT,43.78 
[79047] DISPLAY_SUMMARY,kESyNMCJeA 
[79089] BUY,kESyNMCJeA,VVO,324.39 
[79227] BUY,kESyNMCJeA,YRL,599.58 
[79357] COMMIT_BUY,kESyNMCJeA 
[79385] DISPLAY_SUMMARY,kESyNMCJeA 
[79401] BUY,kESyNMCJeA,JOJ,491.21 
[79441] QUOTE,kESyNMCJeA,DWF 
[79484] DISPLAY_SUMMARY,kESyNMCJeA 
[79604] QUOTE,kESyNMCJeA,PJW 
[79663] BUY,kESyNMCJeA,VBO,683.86 
[79774] COMMIT_BUY,kESyNMCJeA 
[79958] SET_SELL_TRIGGER,kESyNMCJeA,HNW,78.13 
[80155] SET_SELL_TRIGGER,kESyNMCJeA,KYT,108.37 
[80203] CANCEL_SET_BUY,kESyNMCJeA,CLH 
[80274] SET_SELL_AMOUNT,kESyNMCJeA,RUN,631.49 
[80301] SET_SELL_TRIGGER,kESyNMCJeA,RUN,145.93 
[80445] BUY,kESyNMCJeA,JOJ,185.50 
[80446] COMMIT_BUY,kESyNMCJeA 
[80771] QUOTE,kESyNMCJeA,PPY 
[80801] ADD,kESyNMCJeA,77031.38 
[80820] BUY,kESyNMCJeA,ZHB,541.81 
[81044] CANCEL_SET_BUY,kESyNMCJeA,KAF 
[81347] SELL,kESyNMCJeA,ZAN,11.51 
[81406] SET_BUY_AMOUNT,kESyNMCJeA,RNK,695.01 
[81423] SET_BUY_TRIGGER,kESyNMCJeA,IGT,507.98 
[81477] QUOTE,kESyNMCJeA,XII 
[81489] QUOTE,kESyNMCJeA,XLI 
[81637] BUY,kESyNMCJeA,IPH,375.59 
[81648] COMMIT_BUY,kESyNMCJeA 
[81710] DISPLAY_SUMMARY,kESyNMCJeA 
[81822] DISPLAY_SUMMARY,kESyNMCJeA 
[81946] ADD,kESyNMCJeA,28996.34 
[82125] BUY,kESyNMCJeA,GTN,605.97 
[82468] CANCEL_BUY,kESyNMCJeA 
[82489] DISPLAY_SUMMARY,kESyNMCJeA 
[82492] BUY,kESyNMCJeA,RQT,698.50 
[82600] COMMIT_BUY,kESyNMCJeA 
[82645] DISPLAY_SUMMARY,kESyNMCJeA 
[82742] SELL,kESyNMCJeA,KES,491.29 
[82916] COMMIT_SELL,kESyNMCJeA 
[82991] QUOTE,kESyNMCJeA,LJM 
[83018] ADD,kESyNMCJeA,73163.63 
[83070] QUOTE,kESyNMCJeA,ZLY 
[83117] BUY,kESyNMCJeA,YRO,45.06 
[83196] COMMIT_BUY,kESyNMCJeA 
[83234] QUOTE,kESyNMCJeA,CXC 
[83365] DISPLAY_SUMMARY,kESyNMCJeA 
[83459] DISPLAY_SUMMARY,kESyNMCJeA 
[83651] SELL,kESyNMCJeA,XLK,407.22 
[83671] COMMIT_SELL,kESyNMCJeA 
[83701] SET_SELL_TRIGGER,kESyNMCJeA,AVH,120.74 
[83721] BUY,kESyNMCJeA,POE,697.01 
[83757] QUOTE,kESyNMCJeA,OFP 
[83932] BUY,kESyNMCJeA,DED,45.63 
[84007] COMMIT_BUY,kESyNMCJeA 
[84010] SET_BUY_AMOUNT,kESyNMCJeA,FDI,569.09 
[84014] CANCEL_SET_BUY,kESyNMCJeA,QGN 
[84165] SET_BUY_TRIGGER,kESyNMCJeA,AHE,174.96 
[84246] BUY,kESyNMCJeA,YWK,597.85 
[84313] QUOTE,kESyNMCJeA,OZO 
[84336] QUOTE,kESyNMCJeA,KGV 
[84375] BUY,kESyNMCJeA,GGI,260.01 
[84409] COMMIT_BUY,kESyNMCJeA 
[84437] SET_BUY_AMOUNT,kESyNMCJeA,OEY,43.15 
[84512] SET_BUY_TRIGGER,kESyNMCJeA,XVK,30.89 
[84566] SET_BUY_AMOUNT,kESyNMCJeA,CSZ,615.25 
[84637] SET_BUY_TRIGGER,kESyNMCJeA,OYX,372.23 
[84778] SELL,kESyNMCJeA,VTY,610.50 
[85283] COMMIT_SELL,kESyNMCJeA 
[85438] DISPLAY_SUMMARY,kESyNMCJeA 
[85503] SET_SELL_AMOUNT,kESyNMCJeA,XXQ,408.57 
[85538] SET_SELL_TRIGGER,kESyNMCJeA,XXQ,275.10 
[85590] DISPLAY_SUMMARY,kESyNMCJeA 
[85852] CANCEL_SET_SELL,kESyNMCJeA,YTT 
[85954] BUY,kESyNMCJeA,FUF,48.02 
[85964] QUOTE,kESyNMCJeA,NJB 
[85975] ADD,kESyNMCJeA,63727.62 
[86535] BUY,kESyNMCJeA,JIO,657.85 
[86610] COMMIT_BUY,kESyNMCJeA 
[86708] SELL,kESyNMCJeA,HFS,181.02 
[86778] COMMIT_SELL,kESyNMCJeA 
[86786] QUOTE,kESyNMCJeA,UGG 
[86860] SET_SELL_TRIGGER,kESyNMCJeA,RVU,46.04 
[87097] SET_SELL_AMOUNT,kESyNMCJeA,QVK,266.87 
[87217] SET_SELL_TRIGGER,kESyNMCJeA,QVK,184.36 
[87288] DISPLAY_SUMMARY,kESyNMCJeA 
[87329] DISPLAY_SUMMARY,kESyNMCJeA 
[87447] ADD,kESyNMCJeA,64952.90 
[87524] ADD,kESyNMCJeA,54760.30 
[87932] BUY,kESyNMCJeA,ESN,544.53 
[88022] COMMIT_BUY,kESyNMCJeA 
[88027] DISPLAY_SUMMARY,kESyNMCJeA 
[88285] SET_SELL_TRIGGER,kESyNMCJeA,SKW,141.17 
[88291] SET_BUY_TRIGGER,kESyNMCJeA,LLE,1.13 
[88528] SET_SELL_AMOUNT,kESyNMCJeA,RUN,543.29 
[88540] SET_SELL_TRIGGER,kESyNMCJeA,RUN,490.82 
[88659] SELL,kESyNMCJeA,AJR,244.97 
[88699] COMMIT_SELL,kESyNMCJeA 
[88751] SET_BUY_AMOUNT,kESyNMCJeA,TVI,318.43 
[88853] SET_BUY_TRIGGER,kESyNMCJeA,GJR,100.89 
[88895] ADD,kESyNMCJeA,76304.39 
[89073] COMMIT_BUY,kESyNMCJeA 
[89304] SET_BUY_AMOUNT,kESyNMCJeA,YJK,611.74 
[89332] SET_BUY_TRIGGER,kESyNMCJeA,YUL,482.88 
[89427] SET_BUY_TRIGGER,kESyNMCJeA,EUC,92.83 
[89774] SET_BUY_AMOUNT,kESyNMCJeA,HTD,582.83 
[89781] SET_BUY_TRIGGER,kESyNMCJeA,ALG,277.54 
[89905] SET_BUY_TRIGGER,kESyNMCJeA,MKE,10.66 
[89923] QUOTE,kESyNMCJeA,KAS 
[89927] SET_SELL_AMOUNT,kESyNMCJeA,QAX,387.92 
[90114] CANCEL_SET_SELL,kESyNMCJeA,QAX 
[90141] CANCEL_BUY,kESyNMCJeA 
[90152] CANCEL_BUY,kESyNMCJeA 
[90251] BUY,kESyNMCJeA,OZW,217.87 
[90439] COMMIT_BUY,kESyNMCJeA 
[90651] SET_SELL_TRIGGER,kESyNMCJeA,YGK,18.93 
[90833] ADD,kESyNMCJeA,71206.93 
[90891] BUY,kESyNMCJeA,ADY,142.19 
[91000] COMMIT_BUY,kESyNMCJeA 
[91124] SET_BUY_AMOUNT,kESyNMCJeA,DFE,623.47 
[91195] SET_BUY_TRIGGER,kESyNMCJeA,IQZ,601.02 
[91226] BUY,kESyNMCJeA,YVS,103.53 
[91276] CANCEL_SET_BUY,kESyNMCJeA,WKG 
[91307] QUOTE,kESyNMCJeA,ZSV 
[91385] BUY,kESyNMCJeA,XME,657.23 
[91602] CANCEL_BUY,kESyNMCJeA 
[91696] SET_BUY_TRIGGER,kESyNMCJeA,WAI,50.46 
[91727] BUY,kESyNMCJeA,KJD,264.40 
[91757] CANCEL_SET_BUY,kESyNMCJeA,XBE 
[91855] ADD,kESyNMCJeA,60466.21 
[91911] BUY,kESyNMCJeA,JVT,363.39 
[92108] COMMIT_BUY,kESyNMCJeA 
[92363] DISPLAY_SUMMARY,kESyNMCJeA 
[92491] ADD,kESyNMCJeA,58922.43 
[92532] QUOTE,kESyNMCJeA,MWB 
[92627] CANCEL_SELL,kESyNMCJeA 
[92726] QUOTE,kESyNMCJeA,CMA 
[92749] BUY,kESyNMCJeA,WBL,361.43 
[92785] COMMIT_BUY,kESyNMCJeA 
[93308] DISPLAY_SUMMARY,kESyNMCJeA 
[93375] SET_BUY_TRIGGER,kESyNMCJeA,CLQ,4.43 
[93380] DISPLAY_SUMMARY,kESyNMCJeA 
[93553] SET_SELL_TRIGGER,kESyNMCJeA,PXS,18.34 
[93558] CANCEL_SET_BUY,kESyNMCJeA,QJZ 
[93599] DISPLAY_SUMMARY,kESyNMCJeA 
[93663] COMMIT_BUY,kESyNMCJeA 
[93798] SET_BUY_TRIGGER,kESyNMCJeA,KKI,157.05 
[93881] ADD,kESyNMCJeA,83900.39 
[94143] QUOTE,kESyNMCJeA,GDO 
[94249] QUOTE,kESyNMCJeA,JQO 
[94420] CANCEL_BUY,kESyNMCJeA 
[94479] BUY,kESyNMCJeA,YJK,325.56 
[94516] COMMIT_SELL,kESyNMCJeA 
[94974] QUOTE,kESyNMCJeA,WCR 
[95157] SET_SELL_TRIGGER,kESyNMCJeA,MOS,25.69 
[95427] DISPLAY_SUMMARY,kESyNMCJeA 
[95678] SET_SELL_TRIGGER,kESyNMCJeA,CXB,158.16 
[95680] ADD,kESyNMCJeA,77667.25 
[95737] QUOTE,kESyNMCJeA,PMG 
[95830] ADD,kESyNMCJeA,75672.98 
[95858] BUY,kESyNMCJeA,XXP,735.19 
[95868] QUOTE,kESyNMCJeA,PPY 
[95893] CANCEL_SET_BUY,kESyNMCJeA,YKB 
[95982] SELL,kESyNMCJeA,TVI,355.38 
[95983] SELL,kESyNMCJeA,LFU,414.21 
[96035] COMMIT_SELL,kESyNMCJeA 
[96099] ADD,kESyNMCJeA,89964.13 
[96125] SELL,kESyNMCJeA,XLK,398.68 
[96153] CANCEL_SET_BUY,kESyNMCJeA,LSW 
