[188] ADD,uWX4TGhR6O,77184.30 
[48196] SET_BUY_TRIGGER,uWX4TGhR6O,GPW,114.66 
[48302] QUOTE,uWX4TGhR6O,YLZ 
[48364] SET_SELL_TRIGGER,uWX4TGhR6O,YJK,149.67 
[48365] ADD,uWX4TGhR6O,84421.44 
[48422] BUY,uWX4TGhR6O,XBL,639.09 
[48501] COMMIT_BUY,uWX4TGhR6O 
[48619] ADD,uWX4TGhR6O,65899.25 
[48637] BUY,uWX4TGhR6O,KYX,87.03 
[48741] CANCEL_SELL,uWX4TGhR6O 
[48795] SET_SELL_TRIGGER,uWX4TGhR6O,OEM,181.63 
[48915] SET_BUY_AMOUNT,uWX4TGhR6O,EBS,248.66 
[48967] CANCEL_SET_BUY,uWX4TGhR6O,LVT 
[48977] SET_SELL_AMOUNT,uWX4TGhR6O,UBJ,739.39 
[48980] SET_SELL_TRIGGER,uWX4TGhR6O,UBJ,554.44 
[49256] SET_BUY_TRIGGER,uWX4TGhR6O,QNK,143.93 
[49259] ADD,uWX4TGhR6O,90309.08 
[49343] SET_SELL_TRIGGER,uWX4TGhR6O,JEO,42.42 
[49481] DISPLAY_SUMMARY,uWX4TGhR6O 
[49564] ADD,uWX4TGhR6O,64523.14 
[49612] BUY,uWX4TGhR6O,PUC,253.05 
[49690] COMMIT_BUY,uWX4TGhR6O 
[49736] ADD,uWX4TGhR6O,45754.11 
[49893] QUOTE,uWX4TGhR6O,PHE 
[49916] DISPLAY_SUMMARY,uWX4TGhR6O 
[49941] SELL,uWX4TGhR6O,QJZ,249.58 
[49961] CANCEL_SELL,uWX4TGhR6O 
[50022] SET_SELL_AMOUNT,uWX4TGhR6O,OPN,648.30 
[50117] SET_SELL_TRIGGER,uWX4TGhR6O,OPN,525.12 
[50265] SET_SELL_AMOUNT,uWX4TGhR6O,KDA,360.73 
[50341] QUOTE,uWX4TGhR6O,EIH 
[50364] COMMIT_SELL,uWX4TGhR6O 
[50425] DISPLAY_SUMMARY,uWX4TGhR6O 
[50459] SET_BUY_AMOUNT,uWX4TGhR6O,QGE,137.24 
[50593] DISPLAY_SUMMARY,uWX4TGhR6O 
[50613] SET_BUY_AMOUNT,uWX4TGhR6O,XLK,544.05 
[50654] DISPLAY_SUMMARY,uWX4TGhR6O 
[50823] ADD,uWX4TGhR6O,64933.06 
[50973] BUY,uWX4TGhR6O,VDP,446.01 
[51047] COMMIT_BUY,uWX4TGhR6O 
[51341] QUOTE,uWX4TGhR6O,ZQC 
[51389] BUY,uWX4TGhR6O,NAR,176.35 
[51400] SET_SELL_AMOUNT,uWX4TGhR6O,VTY,100.74 
[51438] SET_SELL_TRIGGER,uWX4TGhR6O,VTY,62.13 
[51507] SET_BUY_TRIGGER,uWX4TGhR6O,OGR,143.54 
[51722] ADD,uWX4TGhR6O,78755.48 
[51807] BUY,uWX4TGhR6O,FRB,732.81 
[52015] COMMIT_BUY,uWX4TGhR6O 
[52107] CANCEL_SET_BUY,uWX4TGhR6O,OEM 
[52174] QUOTE,uWX4TGhR6O,LQN 
[52260] BUY,uWX4TGhR6O,INB,475.81 
[52448] SET_BUY_AMOUNT,uWX4TGhR6O,FQP,112.24 
[52467] SET_BUY_TRIGGER,uWX4TGhR6O,AVX,20.94 
[52563] ADD,uWX4TGhR6O,51247.90 
[52651] QUOTE,uWX4TGhR6O,WYD 
[52724] ADD,uWX4TGhR6O,64641.55 
[52826] BUY,uWX4TGhR6O,JSM,490.40 
[52867] COMMIT_SELL,uWX4TGhR6O 
[52923] QUOTE,uWX4TGhR6O,OIY 
[53076] SELL,uWX4TGhR6O,OEY,702.05 
[53088] QUOTE,uWX4TGhR6O,VTY 
[53606] BUY,uWX4TGhR6O,GED,402.20 
[53754] BUY,uWX4TGhR6O,HSH,499.36 
[53783] COMMIT_BUY,uWX4TGhR6O 
[54003] QUOTE,uWX4TGhR6O,RQL 
[54059] ADD,uWX4TGhR6O,88484.55 
[54239] QUOTE,uWX4TGhR6O,MWV 
[54280] CANCEL_SELL,uWX4TGhR6O 
[54287] CANCEL_SELL,uWX4TGhR6O 
[54313] SET_BUY_AMOUNT,uWX4TGhR6O,GYF,38.01 
[54413] SET_BUY_TRIGGER,uWX4TGhR6O,FCH,16.08 
[54418] DISPLAY_SUMMARY,uWX4TGhR6O 
[54475] ADD,uWX4TGhR6O,86836.13 
[54513] BUY,uWX4TGhR6O,ALM,197.77 
[54525] COMMIT_BUY,uWX4TGhR6O 
[54528] SET_BUY_AMOUNT,uWX4TGhR6O,YJK,741.77 
[54571] SELL,uWX4TGhR6O,OEY,616.72 
[54580] CANCEL_SELL,uWX4TGhR6O 
[54616] ADD,uWX4TGhR6O,69834.29 
[54749] BUY,uWX4TGhR6O,FPI,453.96 
[54774] COMMIT_BUY,uWX4TGhR6O 
[54787] DISPLAY_SUMMARY,uWX4TGhR6O 
[54816] QUOTE,uWX4TGhR6O,UIE 
[55096] BUY,uWX4TGhR6O,AQO,281.42 
[55134] COMMIT_BUY,uWX4TGhR6O 
[55309] SELL,uWX4TGhR6O,JQO,653.84 
[55482] COMMIT_SELL,uWX4TGhR6O 
[55510] BUY,uWX4TGhR6O,FKZ,198.12 
[55527] COMMIT_BUY,uWX4TGhR6O 
[55561] ADD,uWX4TGhR6O,78416.41 
[55582] QUOTE,uWX4TGhR6O,GUB 
[55600] ADD,uWX4TGhR6O,72949.05 
[55806] SET_BUY_TRIGGER,uWX4TGhR6O,JUN,128.26 
[55832] BUY,uWX4TGhR6O,DBC,599.77 
[56149] CANCEL_SELL,uWX4TGhR6O 
[56177] QUOTE,uWX4TGhR6O,GHL 
[56475] BUY,uWX4TGhR6O,TQE,273.94 
[56579] COMMIT_BUY,uWX4TGhR6O 
[56747] SET_BUY_TRIGGER,uWX4TGhR6O,AUX,10.66 
[56763] SET_BUY_TRIGGER,uWX4TGhR6O,NFQ,96.69 
[56857] SET_SELL_AMOUNT,uWX4TGhR6O,OEY,98.82 
[56943] SET_SELL_TRIGGER,uWX4TGhR6O,OEY,30.80 
[57017] ADD,uWX4TGhR6O,64629.26 
[57038] BUY,uWX4TGhR6O,SSF,106.50 
[57052] QUOTE,uWX4TGhR6O,OXK 
[57223] SET_BUY_TRIGGER,uWX4TGhR6O,QBD,158.59 
[57381] SET_BUY_AMOUNT,uWX4TGhR6O,UIE,586.00 
[57389] SET_BUY_TRIGGER,uWX4TGhR6O,MVY,424.33 
[57392] ADD,uWX4TGhR6O,85815.08 
[57433] QUOTE,uWX4TGhR6O,CMD 
[57462] SET_BUY_TRIGGER,uWX4TGhR6O,QUT,114.13 
[57633] SELL,uWX4TGhR6O,SSF,696.49 
[57839] ADD,uWX4TGhR6O,71849.08 
[57843] BUY,uWX4TGhR6O,WGV,52.35 
[57901] CANCEL_SET_SELL,uWX4TGhR6O,QID 
[57923] DISPLAY_SUMMARY,uWX4TGhR6O 
[58053] SELL,uWX4TGhR6O,KDA,520.50 
[58189] CANCEL_SELL,uWX4TGhR6O 
[58311] ADD,uWX4TGhR6O,88031.46 
[58378] DISPLAY_SUMMARY,uWX4TGhR6O 
[58439] BUY,uWX4TGhR6O,ZGN,41.87 
[58498] CANCEL_BUY,uWX4TGhR6O 
[58506] DISPLAY_SUMMARY,uWX4TGhR6O 
[58634] QUOTE,uWX4TGhR6O,OAS 
[58681] BUY,uWX4TGhR6O,WGP,695.61 
[58988] CANCEL_BUY,uWX4TGhR6O 
[59302] DISPLAY_SUMMARY,uWX4TGhR6O 
[59312] SET_SELL_AMOUNT,uWX4TGhR6O,GYF,178.72 
[59537] SET_SELL_TRIGGER,uWX4TGhR6O,GYF,94.33 
[59538] ADD,uWX4TGhR6O,64506.26 
[59570] BUY,uWX4TGhR6O,VKP,153.60 
[59595] SELL,uWX4TGhR6O,KES,706.57 
[59765] CANCEL_SELL,uWX4TGhR6O 
[59770] SET_SELL_TRIGGER,uWX4TGhR6O,TVX,70.66 
[59931] SELL,uWX4TGhR6O,CBO,661.17 
[60048] SELL,uWX4TGhR6O,XXQ,131.69 
[60216] CANCEL_BUY,uWX4TGhR6O 
[60271] ADD,uWX4TGhR6O,64628.81 
[60317] ADD,uWX4TGhR6O,58516.92 
[60343] BUY,uWX4TGhR6O,UEC,526.29 
[60369] COMMIT_BUY,uWX4TGhR6O 
[60672] SET_SELL_AMOUNT,uWX4TGhR6O,QGE,420.37 
[61157] DISPLAY_SUMMARY,uWX4TGhR6O 
[61164] SET_BUY_AMOUNT,uWX4TGhR6O,DFE,194.67 
[61219] SET_BUY_TRIGGER,uWX4TGhR6O,FQG,155.30 
[61344] QUOTE,uWX4TGhR6O,WJB 
[61374] BUY,uWX4TGhR6O,RYU,485.03 
[61603] CANCEL_BUY,uWX4TGhR6O 
[61627] BUY,uWX4TGhR6O,MWM,197.39 
[61638] CANCEL_SELL,uWX4TGhR6O 
[61649] SET_BUY_AMOUNT,uWX4TGhR6O,XQC,483.01 
[61685] SET_BUY_TRIGGER,uWX4TGhR6O,DLQ,219.91 
[61700] SELL,uWX4TGhR6O,XXQ,444.61 
[61856] SET_SELL_AMOUNT,uWX4TGhR6O,XLK,153.64 
[61923] DISPLAY_SUMMARY,uWX4TGhR6O 
[62051] SET_SELL_TRIGGER,uWX4TGhR6O,XLK,121.59 
[62155] CANCEL_SET_BUY,uWX4TGhR6O,KQZ 
[62183] SET_BUY_AMOUNT,uWX4TGhR6O,KBN,317.51 
[62380] QUOTE,uWX4TGhR6O,QPZ 
[62709] QUOTE,uWX4TGhR6O,MVQ 
[62711] SET_SELL_AMOUNT,uWX4TGhR6O,OPN,641.36 
[62913] SET_SELL_TRIGGER,uWX4TGhR6O,OPN,627.00 
[62918] QUOTE,uWX4TGhR6O,RKY 
[62972] BUY,uWX4TGhR6O,UGG,153.96 
[63093] CANCEL_BUY,uWX4TGhR6O 
[63189] DISPLAY_SUMMARY,uWX4TGhR6O 
[63226] SET_SELL_TRIGGER,uWX4TGhR6O,QOD,160.57 
[63373] DISPLAY_SUMMARY,uWX4TGhR6O 
[63420] SET_BUY_AMOUNT,uWX4TGhR6O,RGH,342.31 
[63430] SET_BUY_TRIGGER,uWX4TGhR6O,XSS,42.78 
[63566] SELL,uWX4TGhR6O,ZTI,378.42 
[63717] COMMIT_SELL,uWX4TGhR6O 
[63723] DISPLAY_SUMMARY,uWX4TGhR6O 
[63728] QUOTE,uWX4TGhR6O,OLI 
[63799] ADD,uWX4TGhR6O,42299.33 
[63819] BUY,uWX4TGhR6O,SWD,99.62 
[64006] COMMIT_BUY,uWX4TGhR6O 
[64175] QUOTE,uWX4TGhR6O,HZE 
[64488] SET_BUY_AMOUNT,uWX4TGhR6O,JQO,366.35 
[64558] SET_BUY_TRIGGER,uWX4TGhR6O,ZGR,73.88 
[64699] SET_BUY_AMOUNT,uWX4TGhR6O,JCQ,354.80 
[64728] SET_BUY_TRIGGER,uWX4TGhR6O,KGV,349.19 
[64758] SET_BUY_TRIGGER,uWX4TGhR6O,LAW,174.07 
[64776] ADD,uWX4TGhR6O,47469.60 
[64884] BUY,uWX4TGhR6O,BRZ,204.01 
[65061] COMMIT_BUY,uWX4TGhR6O 
[65164] ADD,uWX4TGhR6O,70510.49 
[65308] BUY,uWX4TGhR6O,IFC,492.33 
[65563] COMMIT_BUY,uWX4TGhR6O 
[65870] SELL,uWX4TGhR6O,ZAN,526.87 
[65931] QUOTE,uWX4TGhR6O,PMG 
[66043] CANCEL_SELL,uWX4TGhR6O 
[66059] SELL,uWX4TGhR6O,ZTI,594.26 
[66085] CANCEL_BUY,uWX4TGhR6O 
[66139] SET_BUY_AMOUNT,uWX4TGhR6O,SUS,478.76 
[66212] SET_BUY_TRIGGER,uWX4TGhR6O,JRJ,452.05 
[66220] SET_BUY_AMOUNT,uWX4TGhR6O,LZV,408.97 
[66262] SET_BUY_TRIGGER,uWX4TGhR6O,VZB,197.12 
[66343] ADD,uWX4TGhR6O,45220.38 
[66504] BUY,uWX4TGhR6O,CBQ,701.91 
[66692] CANCEL_SET_SELL,uWX4TGhR6O,ZOZ 
[66842] ADD,uWX4TGhR6O,69161.11 
[66896] BUY,uWX4TGhR6O,GPM,706.29 
[66942] ADD,uWX4TGhR6O,66751.68 
[67120] QUOTE,uWX4TGhR6O,AUX 
[67203] SET_SELL_AMOUNT,uWX4TGhR6O,QVK,139.74 
[67228] SET_SELL_TRIGGER,uWX4TGhR6O,QVK,98.16 
[67301] QUOTE,uWX4TGhR6O,XQC 
[67307] BUY,uWX4TGhR6O,VWU,442.19 
[67355] COMMIT_BUY,uWX4TGhR6O 
[67380] ADD,uWX4TGhR6O,64005.85 
[67432] SELL,uWX4TGhR6O,BCQ,484.51 
[67789] COMMIT_SELL,uWX4TGhR6O 
[68050] SELL,uWX4TGhR6O,MXD,290.97 
[68220] CANCEL_SET_SELL,uWX4TGhR6O,XLK 
[68377] QUOTE,uWX4TGhR6O,TOZ 
[68461] BUY,uWX4TGhR6O,JUV,150.00 
[68550] CANCEL_SELL,uWX4TGhR6O 
[68693] DISPLAY_SUMMARY,uWX4TGhR6O 
[69070] SET_SELL_TRIGGER,uWX4TGhR6O,FIW,95.03 
[69088] ADD,uWX4TGhR6O,54468.69 
[69284] QUOTE,uWX4TGhR6O,ZAN 
[69502] BUY,uWX4TGhR6O,YKB,349.05 
[69533] COMMIT_BUY,uWX4TGhR6O 
[69645] SET_BUY_TRIGGER,uWX4TGhR6O,DDA,14.89 
[69650] DISPLAY_SUMMARY,uWX4TGhR6O 
[70013] SELL,uWX4TGhR6O,PTP,425.32 
[70035] COMMIT_SELL,uWX4TGhR6O 
[70088] ADD,uWX4TGhR6O,49439.53 
[70174] BUY,uWX4TGhR6O,BCQ,439.04 
[70209] COMMIT_BUY,uWX4TGhR6O 
[70215] ADD,uWX4TGhR6O,58544.55 
[70629] CANCEL_BUY,uWX4TGhR6O 
[70630] DISPLAY_SUMMARY,uWX4TGhR6O 
[70960] COMMIT_BUY,uWX4TGhR6O 
[71018] SET_BUY_TRIGGER,uWX4TGhR6O,VAT,199.48 
[71157] SET_SELL_AMOUNT,uWX4TGhR6O,XQC,248.30 
[71159] SET_SELL_TRIGGER,uWX4TGhR6O,XQC,41.05 
[71166] BUY,uWX4TGhR6O,SQO,700.71 
[71172] COMMIT_BUY,uWX4TGhR6O 
[71174] CANCEL_SET_BUY,uWX4TGhR6O,ZDB 
[71269] BUY,uWX4TGhR6O,URI,641.35 
[71282] COMMIT_BUY,uWX4TGhR6O 
[71283] DISPLAY_SUMMARY,uWX4TGhR6O 
[71453] DISPLAY_SUMMARY,uWX4TGhR6O 
[71588] ADD,uWX4TGhR6O,81447.66 
[71603] CANCEL_SELL,uWX4TGhR6O 
[71718] QUOTE,uWX4TGhR6O,WKD 
[71833] SET_SELL_TRIGGER,uWX4TGhR6O,HSJ,110.76 
[71950] SET_BUY_AMOUNT,uWX4TGhR6O,MXD,3.06 
[72066] SET_BUY_TRIGGER,uWX4TGhR6O,LPW,0.03 
[72091] QUOTE,uWX4TGhR6O,SSF 
[72658] SET_BUY_AMOUNT,uWX4TGhR6O,TVI,463.17 
[72671] SET_BUY_TRIGGER,uWX4TGhR6O,TCP,381.95 
[72678] ADD,uWX4TGhR6O,98160.12 
[72680] QUOTE,uWX4TGhR6O,WYO 
[72803] DISPLAY_SUMMARY,uWX4TGhR6O 
[72883] CANCEL_BUY,uWX4TGhR6O 
[72995] SET_BUY_TRIGGER,uWX4TGhR6O,OOV,116.25 
[73093] ADD,uWX4TGhR6O,66736.30 
[73318] QUOTE,uWX4TGhR6O,FZU 
[73418] ADD,uWX4TGhR6O,52872.32 
[73539] CANCEL_SELL,uWX4TGhR6O 
[73669] SET_SELL_AMOUNT,uWX4TGhR6O,TKM,660.93 
[73674] CANCEL_SET_SELL,uWX4TGhR6O,TKM 
[73959] SET_SELL_AMOUNT,uWX4TGhR6O,VTY,739.07 
[74001] SET_SELL_TRIGGER,uWX4TGhR6O,VTY,334.63 
[74063] SELL,uWX4TGhR6O,QJZ,418.22 
[74110] COMMIT_SELL,uWX4TGhR6O 
[74133] BUY,uWX4TGhR6O,TSF,361.21 
[74218] SET_SELL_TRIGGER,uWX4TGhR6O,RLS,101.60 
[74237] SET_SELL_AMOUNT,uWX4TGhR6O,SUS,389.57 
[74267] SET_SELL_TRIGGER,uWX4TGhR6O,SUS,126.89 
[74320] DISPLAY_SUMMARY,uWX4TGhR6O 
[74332] QUOTE,uWX4TGhR6O,VMK 
[74345] ADD,uWX4TGhR6O,80622.49 
[74538] BUY,uWX4TGhR6O,KES,75.19 
[74575] COMMIT_BUY,uWX4TGhR6O 
[74576] DISPLAY_SUMMARY,uWX4TGhR6O 
[74679] CANCEL_BUY,uWX4TGhR6O 
[74688] SELL,uWX4TGhR6O,SQI,139.17 
[74720] CANCEL_BUY,uWX4TGhR6O 
[74782] BUY,uWX4TGhR6O,ZCQ,275.52 
[75095] COMMIT_BUY,uWX4TGhR6O 
[75157] ADD,uWX4TGhR6O,57102.66 
[75368] CANCEL_SET_SELL,uWX4TGhR6O,JFF 
[75434] ADD,uWX4TGhR6O,70583.04 
[75583] BUY,uWX4TGhR6O,NSW,638.68 
[75591] COMMIT_BUY,uWX4TGhR6O 
[75596] ADD,uWX4TGhR6O,54387.49 
[75771] SET_SELL_AMOUNT,uWX4TGhR6O,GYF,328.72 
[75806] CANCEL_SET_SELL,uWX4TGhR6O,GYF 
[76007] DISPLAY_SUMMARY,uWX4TGhR6O 
[76077] SET_SELL_AMOUNT,uWX4TGhR6O,QJZ,86.26 
[76158] SET_SELL_TRIGGER,uWX4TGhR6O,QJZ,36.71 
[76172] SET_BUY_TRIGGER,uWX4TGhR6O,WSG,119.06 
[76479] COMMIT_SELL,uWX4TGhR6O 
[76498] ADD,uWX4TGhR6O,88355.62 
[76581] SET_BUY_AMOUNT,uWX4TGhR6O,IFN,469.39 
[76586] SET_BUY_TRIGGER,uWX4TGhR6O,XXN,331.11 
[76698] SELL,uWX4TGhR6O,CSZ,355.67 
[76724] SELL,uWX4TGhR6O,UIE,382.03 
[76739] COMMIT_SELL,uWX4TGhR6O 
[76755] SET_SELL_AMOUNT,uWX4TGhR6O,RUN,383.87 
[76759] SET_SELL_TRIGGER,uWX4TGhR6O,RUN,179.07 
[76790] DISPLAY_SUMMARY,uWX4TGhR6O 
[76837] SET_BUY_TRIGGER,uWX4TGhR6O,GJQ,19.35 
[76963] ADD,uWX4TGhR6O,60705.44 
[77010] QUOTE,uWX4TGhR6O,NFQ 
[77021] ADD,uWX4TGhR6O,69880.08 
[77274] SELL,uWX4TGhR6O,OZO,162.54 
[77377] COMMIT_SELL,uWX4TGhR6O 
[77418] DISPLAY_SUMMARY,uWX4TGhR6O 
[77516] QUOTE,uWX4TGhR6O,LZB 
[77619] ADD,uWX4TGhR6O,77333.47 
[77684] QUOTE,uWX4TGhR6O,GJQ 
[77727] CANCEL_SELL,uWX4TGhR6O 
[77925] DISPLAY_SUMMARY,uWX4TGhR6O 
[77975] SET_SELL_TRIGGER,uWX4TGhR6O,KCA,4.51 
[78019] BUY,uWX4TGhR6O,EOS,48.39 
[78076] COMMIT_SELL,uWX4TGhR6O 
[78111] ADD,uWX4TGhR6O,54049.85 
[78174] BUY,uWX4TGhR6O,PGV,418.43 
[78202] CANCEL_BUY,uWX4TGhR6O 
[78388] QUOTE,uWX4TGhR6O,NVX 
[78555] SELL,uWX4TGhR6O,SQI,340.33 
[78630] CANCEL_SET_BUY,uWX4TGhR6O,LPS 
[78748] ADD,uWX4TGhR6O,64626.71 
[78752] BUY,uWX4TGhR6O,JTX,324.53 
[78776] COMMIT_BUY,uWX4TGhR6O 
[79009] ADD,uWX4TGhR6O,64881.67 
[79036] BUY,uWX4TGhR6O,KKI,434.73 
[79634] CANCEL_SELL,uWX4TGhR6O 
[79664] DISPLAY_SUMMARY,uWX4TGhR6O 
[79682] ADD,uWX4TGhR6O,36846.60 
[79706] QUOTE,uWX4TGhR6O,HQU 
[79743] QUOTE,uWX4TGhR6O,ZUV 
[79841] CANCEL_SET_BUY,uWX4TGhR6O,PNP 
[79901] ADD,uWX4TGhR6O,87725.91 
[80029] BUY,uWX4TGhR6O,ZWZ,222.84 
[80093] COMMIT_BUY,uWX4TGhR6O 
[80259] SET_SELL_TRIGGER,uWX4TGhR6O,MLU,181.95 
[80498] SET_SELL_AMOUNT,uWX4TGhR6O,JQO,433.15 
[80544] CANCEL_SET_SELL,uWX4TGhR6O,JQO 
[80552] ADD,uWX4TGhR6O,59711.16 
[80788] QUOTE,uWX4TGhR6O,YTO 
[80825] QUOTE,uWX4TGhR6O,INB 
[80904] CANCEL_BUY,uWX4TGhR6O 
[80920] BUY,uWX4TGhR6O,ULL,81.28 
[81103] COMMIT_BUY,uWX4TGhR6O 
[81107] SET_BUY_AMOUNT,uWX4TGhR6O,SUS,533.84 
[81146] SET_BUY_TRIGGER,uWX4TGhR6O,XOM,465.02 
[81179] QUOTE,uWX4TGhR6O,XII 
[81339] BUY,uWX4TGhR6O,TKG,285.01 
[81359] COMMIT_BUY,uWX4TGhR6O 
[81395] CANCEL_SET_SELL,uWX4TGhR6O,UDM 
[81504] CANCEL_SET_BUY,uWX4TGhR6O,VOU 
[81534] SET_SELL_AMOUNT,uWX4TGhR6O,AVX,716.09 
[81603] BUY,uWX4TGhR6O,EWP,242.83 
[81692] QUOTE,uWX4TGhR6O,JEO 
[82084] CANCEL_SET_SELL,uWX4TGhR6O,AVX 
[82094] QUOTE,uWX4TGhR6O,LEA 
[82127] BUY,uWX4TGhR6O,SON,136.27 
[82166] SET_BUY_AMOUNT,uWX4TGhR6O,VTY,312.41 
[82212] SET_BUY_TRIGGER,uWX4TGhR6O,UDQ,229.97 
[82228] BUY,uWX4TGhR6O,DED,300.14 
[82447] COMMIT_BUY,uWX4TGhR6O 
[82455] QUOTE,uWX4TGhR6O,YKB 
[82533] CANCEL_SET_BUY,uWX4TGhR6O,CTT 
[82534] SELL,uWX4TGhR6O,VTY,503.90 
[82728] CANCEL_SELL,uWX4TGhR6O 
[82772] SELL,uWX4TGhR6O,IQJ,442.54 
[82798] BUY,uWX4TGhR6O,WKE,109.58 
[82848] CANCEL_SET_SELL,uWX4TGhR6O,MLU 
[82932] SET_SELL_TRIGGER,uWX4TGhR6O,JDO,152.66 
[83210] BUY,uWX4TGhR6O,DGA,235.83 
[83324] CANCEL_SET_SELL,uWX4TGhR6O,WZM 
[83327] ADD,uWX4TGhR6O,55049.96 
[83385] ADD,uWX4TGhR6O,98547.42 
[83406] ADD,uWX4TGhR6O,64501.52 
[83432] QUOTE,uWX4TGhR6O,ZEU 
[83505] SET_BUY_TRIGGER,uWX4TGhR6O,YRO,110.60 
[83539] QUOTE,uWX4TGhR6O,RNK 
[83781] ADD,uWX4TGhR6O,80391.17 
[84296] BUY,uWX4TGhR6O,VSE,629.26 
[84528] SET_BUY_AMOUNT,uWX4TGhR6O,QJZ,623.65 
[84635] SET_BUY_TRIGGER,uWX4TGhR6O,CLQ,204.78 
[84646] SELL,uWX4TGhR6O,LZV,487.53 
[84695] QUOTE,uWX4TGhR6O,TCP 
[84767] QUOTE,uWX4TGhR6O,OXK 
[84884] SET_BUY_TRIGGER,uWX4TGhR6O,STO,28.26 
[84931] DISPLAY_SUMMARY,uWX4TGhR6O 
[85069] SET_BUY_AMOUNT,uWX4TGhR6O,QVK,104.85 
[85099] QUOTE,uWX4TGhR6O,HPN 
[85117] QUOTE,uWX4TGhR6O,DKV 
[85135] BUY,uWX4TGhR6O,JUE,120.15 
[85184] COMMIT_BUY,uWX4TGhR6O 
[85201] BUY,uWX4TGhR6O,RDK,303.81 
[85257] COMMIT_BUY,uWX4TGhR6O 
[85417] ADD,uWX4TGhR6O,58388.24 
[85598] BUY,uWX4TGhR6O,VND,129.03 
[85617] CANCEL_BUY,uWX4TGhR6O 
[85645] SELL,uWX4TGhR6O,MXD,1.58 
[85716] SELL,uWX4TGhR6O,QVK,224.80 
[85927] SET_SELL_TRIGGER,uWX4TGhR6O,QVA,3.19 
[85928] DISPLAY_SUMMARY,uWX4TGhR6O 
[85950] DISPLAY_SUMMARY,uWX4TGhR6O 
[86057] ADD,uWX4TGhR6O,69005.40 
[86095] BUY,uWX4TGhR6O,QGE,477.81 
[86131] COMMIT_BUY,uWX4TGhR6O 
[86132] SET_BUY_TRIGGER,uWX4TGhR6O,ATE,62.04 
[86243] SET_SELL_AMOUNT,uWX4TGhR6O,RGH,83.73 
[86362] SET_SELL_TRIGGER,uWX4TGhR6O,RGH,6.37 
[86494] DISPLAY_SUMMARY,uWX4TGhR6O 
[86659] SET_BUY_AMOUNT,uWX4TGhR6O,HTD,596.40 
[86735] QUOTE,uWX4TGhR6O,GGI 
[86794] BUY,uWX4TGhR6O,HEJ,111.69 
[86866] COMMIT_BUY,uWX4TGhR6O 
[86867] CANCEL_BUY,uWX4TGhR6O 
[87160] ADD,uWX4TGhR6O,100273.58 
[87220] QUOTE,uWX4TGhR6O,GAN 
[87277] QUOTE,uWX4TGhR6O,QPZ 
[87369] BUY,uWX4TGhR6O,YZH,241.14 
[87678] COMMIT_BUY,uWX4TGhR6O 
[87731] DISPLAY_SUMMARY,uWX4TGhR6O 
[87850] DISPLAY_SUMMARY,uWX4TGhR6O 
[88089] DISPLAY_SUMMARY,uWX4TGhR6O 
[88206] DISPLAY_SUMMARY,uWX4TGhR6O 
[88269] QUOTE,uWX4TGhR6O,GLJ 
[88292] QUOTE,uWX4TGhR6O,FIC 
[88339] ADD,uWX4TGhR6O,60274.90 
[88422] BUY,uWX4TGhR6O,JTX,666.58 
[89094] COMMIT_BUY,uWX4TGhR6O 
[89126] ADD,uWX4TGhR6O,72637.08 
[89170] BUY,uWX4TGhR6O,TXB,648.83 
[89384] QUOTE,uWX4TGhR6O,XFW 
[89519] CANCEL_SELL,uWX4TGhR6O 
[89545] BUY,uWX4TGhR6O,RNE,138.60 
[89593] SET_BUY_TRIGGER,uWX4TGhR6O,RVU,49.21 
[89807] ADD,uWX4TGhR6O,81507.47 
[89965] BUY,uWX4TGhR6O,GLO,141.71 
[90015] SET_SELL_TRIGGER,uWX4TGhR6O,YTY,54.50 
[90071] ADD,uWX4TGhR6O,73133.70 
[90637] BUY,uWX4TGhR6O,POI,176.78 
[90723] CANCEL_BUY,uWX4TGhR6O 
[90835] DISPLAY_SUMMARY,uWX4TGhR6O 
[90892] SET_SELL_AMOUNT,uWX4TGhR6O,MXD,156.41 
[90928] SET_SELL_TRIGGER,uWX4TGhR6O,MXD,31.21 
[90969] QUOTE,uWX4TGhR6O,XWZ 
[90982] QUOTE,uWX4TGhR6O,ZAV 
[90991] SET_BUY_AMOUNT,uWX4TGhR6O,GRM,523.55 
[91093] SELL,uWX4TGhR6O,VTY,195.08 
[91679] BUY,uWX4TGhR6O,SEW,722.78 
[91796] COMMIT_BUY,uWX4TGhR6O 
[91894] BUY,uWX4TGhR6O,RFC,300.23 
[91973] COMMIT_BUY,uWX4TGhR6O 
[92256] SET_SELL_TRIGGER,uWX4TGhR6O,MQF,190.21 
[92354] ADD,uWX4TGhR6O,57595.40 
[92451] QUOTE,uWX4TGhR6O,EDW 
[92742] DISPLAY_SUMMARY,uWX4TGhR6O 
[92986] SET_BUY_AMOUNT,uWX4TGhR6O,FDI,100.36 
[92988] SET_BUY_TRIGGER,uWX4TGhR6O,LEA,62.26 
[93073] ADD,uWX4TGhR6O,71177.33 
[93083] BUY,uWX4TGhR6O,FYR,278.22 
[93194] COMMIT_SELL,uWX4TGhR6O 
[93323] SET_BUY_AMOUNT,uWX4TGhR6O,FQP,30.92 
[93422] SET_BUY_TRIGGER,uWX4TGhR6O,IHA,9.34 
[93448] SET_SELL_TRIGGER,uWX4TGhR6O,QPR,102.03 
