[71] ADD,XeYo2ezKey,68257.18 
[49440] QUOTE,XeYo2ezKey,KMV 
[49544] BUY,XeYo2ezKey,SMS,747.15 
[49607] COMMIT_BUY,XeYo2ezKey 
[49643] SET_BUY_AMOUNT,XeYo2ezKey,DFE,364.54 
[49663] CANCEL_SET_BUY,XeYo2ezKey,DWC 
[49696] SELL,XeYo2ezKey,CEC,265.92 
[49732] SET_SELL_TRIGGER,XeYo2ezKey,KWP,155.51 
[49758] SET_BUY_AMOUNT,XeYo2ezKey,SUS,53.71 
[49801] SET_BUY_TRIGGER,XeYo2ezKey,SVV,12.31 
[49834] DISPLAY_SUMMARY,XeYo2ezKey 
[49845] DISPLAY_SUMMARY,XeYo2ezKey 
[49859] ADD,XeYo2ezKey,52217.93 
[49870] BUY,XeYo2ezKey,HNO,119.50 
[50137] CANCEL_SET_SELL,XeYo2ezKey,DVU 
[50285] DISPLAY_SUMMARY,XeYo2ezKey 
[50608] SELL,XeYo2ezKey,ZTI,410.27 
[50656] BUY,XeYo2ezKey,IKK,91.26 
[50781] QUOTE,XeYo2ezKey,YXK 
[50866] SET_BUY_TRIGGER,XeYo2ezKey,VMT,17.58 
[50886] DISPLAY_SUMMARY,XeYo2ezKey 
[50946] ADD,XeYo2ezKey,68869.38 
[51013] BUY,XeYo2ezKey,ZCO,611.23 
[51412] CANCEL_BUY,XeYo2ezKey 
[51426] SET_BUY_AMOUNT,XeYo2ezKey,JQO,186.09 
[51529] SET_BUY_TRIGGER,XeYo2ezKey,ETJ,129.27 
[51571] ADD,XeYo2ezKey,50608.88 
[51594] SET_SELL_AMOUNT,XeYo2ezKey,ZYR,220.40 
[51724] SET_SELL_TRIGGER,XeYo2ezKey,ZYR,142.53 
[51741] DISPLAY_SUMMARY,XeYo2ezKey 
[51742] QUOTE,XeYo2ezKey,SYU 
[51828] BUY,XeYo2ezKey,NJI,351.62 
[51850] COMMIT_BUY,XeYo2ezKey 
[51902] SET_SELL_AMOUNT,XeYo2ezKey,CUZ,49.87 
[52171] QUOTE,XeYo2ezKey,DFE 
[52244] BUY,XeYo2ezKey,NJT,68.20 
[52474] COMMIT_BUY,XeYo2ezKey 
[52480] BUY,XeYo2ezKey,JCQ,288.32 
[52494] CANCEL_BUY,XeYo2ezKey 
[52586] ADD,XeYo2ezKey,63318.98 
[52626] BUY,XeYo2ezKey,DWK,602.90 
[52627] COMMIT_BUY,XeYo2ezKey 
[52653] BUY,XeYo2ezKey,RXB,555.56 
[52664] COMMIT_BUY,XeYo2ezKey 
[52789] ADD,XeYo2ezKey,49927.51 
[53044] BUY,XeYo2ezKey,UIE,523.48 
[53071] QUOTE,XeYo2ezKey,OAV 
[53403] SET_SELL_AMOUNT,XeYo2ezKey,ZAN,135.53 
[53455] SET_SELL_TRIGGER,XeYo2ezKey,ZAN,82.89 
[53503] SET_SELL_TRIGGER,XeYo2ezKey,SAR,13.45 
[53585] ADD,XeYo2ezKey,69779.26 
[53682] QUOTE,XeYo2ezKey,FIC 
[53790] SET_BUY_TRIGGER,XeYo2ezKey,ROW,36.52 
[53905] DISPLAY_SUMMARY,XeYo2ezKey 
[54075] SET_SELL_TRIGGER,XeYo2ezKey,KAO,71.78 
[54319] BUY,XeYo2ezKey,CXB,147.38 
[54341] COMMIT_BUY,XeYo2ezKey 
[54458] SET_SELL_AMOUNT,XeYo2ezKey,GYF,192.44 
[54522] SET_SELL_TRIGGER,XeYo2ezKey,GYF,53.76 
[54554] CANCEL_SET_SELL,XeYo2ezKey,JVT 
[54653] SET_BUY_AMOUNT,XeYo2ezKey,QGE,33.23 
[55005] SET_BUY_TRIGGER,XeYo2ezKey,GCW,12.46 
[55389] SET_BUY_TRIGGER,XeYo2ezKey,HHC,8.46 
[55412] SET_SELL_AMOUNT,XeYo2ezKey,XXQ,248.43 
[55416] SET_SELL_TRIGGER,XeYo2ezKey,XXQ,136.08 
[55554] QUOTE,XeYo2ezKey,HZA 
[55577] BUY,XeYo2ezKey,IOM,140.43 
[55626] COMMIT_BUY,XeYo2ezKey 
[55789] SELL,XeYo2ezKey,XXQ,682.60 
[56099] COMMIT_SELL,XeYo2ezKey 
[56148] SET_BUY_TRIGGER,XeYo2ezKey,BTD,178.30 
[56152] BUY,XeYo2ezKey,PYM,463.82 
[56304] CANCEL_BUY,XeYo2ezKey 
[56355] SET_BUY_TRIGGER,XeYo2ezKey,EWP,27.59 
[56483] BUY,XeYo2ezKey,WUF,578.91 
[56522] COMMIT_BUY,XeYo2ezKey 
[56674] ADD,XeYo2ezKey,68683.54 
[56858] BUY,XeYo2ezKey,EDM,507.30 
[56900] ADD,XeYo2ezKey,79167.33 
[56931] QUOTE,XeYo2ezKey,CTS 
[57321] SET_BUY_AMOUNT,XeYo2ezKey,UIE,536.71 
[57419] SELL,XeYo2ezKey,DFE,318.12 
[57575] COMMIT_SELL,XeYo2ezKey 
[57708] BUY,XeYo2ezKey,BFL,254.49 
[57764] DISPLAY_SUMMARY,XeYo2ezKey 
[57796] ADD,XeYo2ezKey,79367.31 
[57970] QUOTE,XeYo2ezKey,JMX 
[57990] QUOTE,XeYo2ezKey,IFU 
[58162] SET_SELL_AMOUNT,XeYo2ezKey,BCQ,605.23 
[58247] SET_SELL_TRIGGER,XeYo2ezKey,BCQ,236.00 
[58303] ADD,XeYo2ezKey,49762.00 
[58379] CANCEL_SELL,XeYo2ezKey 
[58625] ADD,XeYo2ezKey,57359.32 
[58651] COMMIT_BUY,XeYo2ezKey 
[58725] SET_SELL_TRIGGER,XeYo2ezKey,MKE,61.56 
[59018] DISPLAY_SUMMARY,XeYo2ezKey 
[59298] SET_SELL_TRIGGER,XeYo2ezKey,KQZ,108.85 
[59305] SET_BUY_AMOUNT,XeYo2ezKey,OPN,459.30 
[59378] SET_BUY_TRIGGER,XeYo2ezKey,ZLY,72.93 
[59657] ADD,XeYo2ezKey,101973.47 
[59658] BUY,XeYo2ezKey,QTH,643.55 
[59736] COMMIT_BUY,XeYo2ezKey 
[59818] BUY,XeYo2ezKey,INB,295.76 
[59860] COMMIT_BUY,XeYo2ezKey 
[59872] DISPLAY_SUMMARY,XeYo2ezKey 
[59887] COMMIT_BUY,XeYo2ezKey 
[59904] QUOTE,XeYo2ezKey,WNH 
[60194] QUOTE,XeYo2ezKey,IGI 
[60405] SET_BUY_AMOUNT,XeYo2ezKey,JCQ,604.32 
[60477] SET_BUY_TRIGGER,XeYo2ezKey,RQF,126.70 
[60525] QUOTE,XeYo2ezKey,YAV 
[60540] BUY,XeYo2ezKey,DPG,578.82 
[60874] COMMIT_BUY,XeYo2ezKey 
[61010] SET_SELL_TRIGGER,XeYo2ezKey,HVE,40.59 
[61498] SET_SELL_AMOUNT,XeYo2ezKey,UIE,263.47 
[61533] SET_SELL_TRIGGER,XeYo2ezKey,UIE,41.80 
[61593] QUOTE,XeYo2ezKey,ZSV 
[61637] DISPLAY_SUMMARY,XeYo2ezKey 
[61699] DISPLAY_SUMMARY,XeYo2ezKey 
[61788] BUY,XeYo2ezKey,XZO,626.86 
[61886] COMMIT_BUY,XeYo2ezKey 
[61957] SET_SELL_TRIGGER,XeYo2ezKey,NZS,174.52 
[61999] QUOTE,XeYo2ezKey,VKP 
[62406] BUY,XeYo2ezKey,GWS,394.06 
[62491] COMMIT_BUY,XeYo2ezKey 
[62509] SELL,XeYo2ezKey,MFX,574.34 
[62637] CANCEL_SELL,XeYo2ezKey 
[62662] ADD,XeYo2ezKey,57959.97 
[62664] QUOTE,XeYo2ezKey,JQJ 
[62678] COMMIT_SELL,XeYo2ezKey 
[62807] DISPLAY_SUMMARY,XeYo2ezKey 
[62853] DISPLAY_SUMMARY,XeYo2ezKey 
[63229] BUY,XeYo2ezKey,NLP,412.04 
[63374] BUY,XeYo2ezKey,POE,164.12 
[63404] COMMIT_BUY,XeYo2ezKey 
[63496] SET_SELL_AMOUNT,XeYo2ezKey,CEC,544.04 
[63505] SELL,XeYo2ezKey,ZYR,318.85 
[63516] BUY,XeYo2ezKey,ZKV,336.96 
[63682] COMMIT_BUY,XeYo2ezKey 
[63768] ADD,XeYo2ezKey,56683.23 
[64075] CANCEL_SELL,XeYo2ezKey 
[64094] BUY,XeYo2ezKey,CXC,363.37 
[64172] COMMIT_BUY,XeYo2ezKey 
[64249] SELL,XeYo2ezKey,XLK,103.50 
[64258] SELL,XeYo2ezKey,KBN,602.59 
[64411] BUY,XeYo2ezKey,SNU,174.29 
[64478] COMMIT_BUY,XeYo2ezKey 
[64481] QUOTE,XeYo2ezKey,FVS 
[64569] BUY,XeYo2ezKey,YWC,542.53 
[64763] COMMIT_SELL,XeYo2ezKey 
[64770] DISPLAY_SUMMARY,XeYo2ezKey 
[64817] CANCEL_SET_BUY,XeYo2ezKey,VWU 
[64840] CANCEL_SELL,XeYo2ezKey 
[64891] SET_SELL_AMOUNT,XeYo2ezKey,KDA,730.86 
[64956] SET_SELL_TRIGGER,XeYo2ezKey,KDA,7.78 
[64964] SET_BUY_AMOUNT,XeYo2ezKey,MFX,693.14 
[65014] SET_BUY_TRIGGER,XeYo2ezKey,LLO,20.65 
[65043] SET_BUY_AMOUNT,XeYo2ezKey,FDI,35.97 
[65107] SET_BUY_TRIGGER,XeYo2ezKey,RFC,13.36 
[65494] QUOTE,XeYo2ezKey,WAI 
[65508] SET_BUY_AMOUNT,XeYo2ezKey,SQI,609.33 
[65649] SET_BUY_TRIGGER,XeYo2ezKey,NKC,548.16 
[65810] QUOTE,XeYo2ezKey,OOI 
[65904] DISPLAY_SUMMARY,XeYo2ezKey 
[65957] DISPLAY_SUMMARY,XeYo2ezKey 
[65963] CANCEL_SET_BUY,XeYo2ezKey,KES 
[65971] QUOTE,XeYo2ezKey,GHE 
[66062] QUOTE,XeYo2ezKey,ZDB 
[66575] BUY,XeYo2ezKey,FKZ,315.69 
[66666] COMMIT_BUY,XeYo2ezKey 
[66839] ADD,XeYo2ezKey,73727.98 
[66841] BUY,XeYo2ezKey,TTY,222.86 
[67019] COMMIT_BUY,XeYo2ezKey 
[67034] CANCEL_SELL,XeYo2ezKey 
[67172] SET_SELL_TRIGGER,XeYo2ezKey,QXE,138.91 
[67347] DISPLAY_SUMMARY,XeYo2ezKey 
[67540] SET_BUY_TRIGGER,XeYo2ezKey,OQW,89.71 
[67635] SET_SELL_TRIGGER,XeYo2ezKey,VMD,123.30 
[67652] DISPLAY_SUMMARY,XeYo2ezKey 
[67730] DISPLAY_SUMMARY,XeYo2ezKey 
[67950] ADD,XeYo2ezKey,74738.82 
[68131] QUOTE,XeYo2ezKey,JPD 
[68136] BUY,XeYo2ezKey,PHU,747.94 
[68234] COMMIT_SELL,XeYo2ezKey 
[68297] DISPLAY_SUMMARY,XeYo2ezKey 
[68382] SET_SELL_TRIGGER,XeYo2ezKey,YCH,155.43 
[68514] ADD,XeYo2ezKey,54975.69 
[68700] BUY,XeYo2ezKey,FTB,356.37 
[68825] COMMIT_BUY,XeYo2ezKey 
[68918] SET_BUY_AMOUNT,XeYo2ezKey,GYF,643.99 
[68996] SET_BUY_TRIGGER,XeYo2ezKey,AVX,407.39 
[69012] CANCEL_SELL,XeYo2ezKey 
[69140] DISPLAY_SUMMARY,XeYo2ezKey 
[69144] QUOTE,XeYo2ezKey,MRK 
[69184] DISPLAY_SUMMARY,XeYo2ezKey 
[69472] DISPLAY_SUMMARY,XeYo2ezKey 
[69481] ADD,XeYo2ezKey,64760.11 
[69574] QUOTE,XeYo2ezKey,WKE 
[69628] ADD,XeYo2ezKey,70857.40 
[69736] QUOTE,XeYo2ezKey,BBD 
[69866] BUY,XeYo2ezKey,SJZ,455.04 
[69884] CANCEL_BUY,XeYo2ezKey 
[69902] SET_SELL_TRIGGER,XeYo2ezKey,EJW,68.87 
[69935] ADD,XeYo2ezKey,86840.52 
[69994] QUOTE,XeYo2ezKey,LPS 
[70072] BUY,XeYo2ezKey,RKQ,460.13 
[70135] QUOTE,XeYo2ezKey,DQW 
[70456] COMMIT_SELL,XeYo2ezKey 
[70745] SELL,XeYo2ezKey,YDS,192.87 
[70839] COMMIT_SELL,XeYo2ezKey 
[70851] SET_SELL_AMOUNT,XeYo2ezKey,QAX,166.43 
[71106] SET_SELL_TRIGGER,XeYo2ezKey,QAX,90.06 
[71318] CANCEL_SET_SELL,XeYo2ezKey,APY 
[71422] DISPLAY_SUMMARY,XeYo2ezKey 
[71477] BUY,XeYo2ezKey,DED,14.73 
[71857] CANCEL_BUY,XeYo2ezKey 
[72381] DISPLAY_SUMMARY,XeYo2ezKey 
[72426] SELL,XeYo2ezKey,SQI,474.10 
[72542] BUY,XeYo2ezKey,MWM,418.98 
[72563] CANCEL_SET_BUY,XeYo2ezKey,ZMK 
[72625] SELL,XeYo2ezKey,KDA,501.04 
[72745] COMMIT_SELL,XeYo2ezKey 
[72828] SELL,XeYo2ezKey,BYA,305.68 
[72882] SET_SELL_TRIGGER,XeYo2ezKey,HZP,35.93 
[72913] ADD,XeYo2ezKey,69988.45 
[72970] QUOTE,XeYo2ezKey,JIC 
[73064] QUOTE,XeYo2ezKey,LFU 
[73066] BUY,XeYo2ezKey,HIW,497.69 
[73141] COMMIT_BUY,XeYo2ezKey 
[73195] CANCEL_BUY,XeYo2ezKey 
[73196] SET_BUY_AMOUNT,XeYo2ezKey,YJK,712.05 
[73295] QUOTE,XeYo2ezKey,AJX 
[73375] BUY,XeYo2ezKey,FMJ,462.66 
[73582] COMMIT_BUY,XeYo2ezKey 
[73591] SELL,XeYo2ezKey,RNK,404.97 
[73594] SET_SELL_AMOUNT,XeYo2ezKey,GYF,529.20 
[73681] SET_SELL_TRIGGER,XeYo2ezKey,GYF,519.21 
[73824] QUOTE,XeYo2ezKey,SJH 
[73872] ADD,XeYo2ezKey,87343.57 
[73915] QUOTE,XeYo2ezKey,TOZ 
[74086] QUOTE,XeYo2ezKey,MOF 
[74107] QUOTE,XeYo2ezKey,SYE 
[74333] BUY,XeYo2ezKey,JGF,430.41 
[74393] SET_BUY_AMOUNT,XeYo2ezKey,ZYR,276.79 
[74416] SET_BUY_TRIGGER,XeYo2ezKey,JIC,267.75 
[74432] SELL,XeYo2ezKey,HFS,707.94 
[74456] SET_BUY_TRIGGER,XeYo2ezKey,IUN,57.16 
[74461] BUY,XeYo2ezKey,ZZN,170.82 
[74548] COMMIT_BUY,XeYo2ezKey 
[74614] ADD,XeYo2ezKey,79384.65 
[74912] BUY,XeYo2ezKey,LPB,343.54 
[75139] COMMIT_BUY,XeYo2ezKey 
[75281] SET_SELL_TRIGGER,XeYo2ezKey,QGL,83.88 
[75300] QUOTE,XeYo2ezKey,BUL 
[75376] SET_BUY_TRIGGER,XeYo2ezKey,ALV,91.49 
[75392] DISPLAY_SUMMARY,XeYo2ezKey 
[75439] SELL,XeYo2ezKey,XXQ,696.27 
[75848] SET_BUY_AMOUNT,XeYo2ezKey,DFE,550.15 
[75876] SET_BUY_TRIGGER,XeYo2ezKey,JFF,519.01 
[76184] SET_BUY_TRIGGER,XeYo2ezKey,LTB,110.30 
[76310] SET_BUY_AMOUNT,XeYo2ezKey,OEY,690.16 
[76418] QUOTE,XeYo2ezKey,DMW 
[76686] QUOTE,XeYo2ezKey,JOJ 
[76689] SELL,XeYo2ezKey,SQI,559.19 
[76712] COMMIT_SELL,XeYo2ezKey 
[76749] SET_BUY_AMOUNT,XeYo2ezKey,TVI,545.47 
[76831] SET_BUY_TRIGGER,XeYo2ezKey,NFL,128.84 
[76836] ADD,XeYo2ezKey,72351.61 
[76997] CANCEL_SELL,XeYo2ezKey 
[77016] SET_SELL_TRIGGER,XeYo2ezKey,IHA,142.53 
[77057] SET_BUY_TRIGGER,XeYo2ezKey,VMT,1.84 
[77118] QUOTE,XeYo2ezKey,QXW 
[77167] BUY,XeYo2ezKey,GTX,593.95 
[77180] COMMIT_BUY,XeYo2ezKey 
[77240] SET_SELL_TRIGGER,XeYo2ezKey,EDV,42.85 
[77337] COMMIT_BUY,XeYo2ezKey 
[77388] SET_SELL_AMOUNT,XeYo2ezKey,BYA,241.21 
[77417] SET_SELL_TRIGGER,XeYo2ezKey,BYA,17.41 
[77685] SET_SELL_TRIGGER,XeYo2ezKey,ZAM,111.59 
[77687] SET_SELL_TRIGGER,XeYo2ezKey,SQS,89.20 
[78013] ADD,XeYo2ezKey,66417.46 
[78377] BUY,XeYo2ezKey,DIX,178.10 
[78385] CANCEL_BUY,XeYo2ezKey 
[78528] SET_SELL_TRIGGER,XeYo2ezKey,PVH,86.00 
[78617] SET_BUY_TRIGGER,XeYo2ezKey,PXX,140.31 
[78669] DISPLAY_SUMMARY,XeYo2ezKey 
[78817] SELL,XeYo2ezKey,VTY,374.89 
[78872] COMMIT_SELL,XeYo2ezKey 
[78900] ADD,XeYo2ezKey,83574.69 
[79014] SET_SELL_AMOUNT,XeYo2ezKey,KYX,440.10 
[79099] SET_SELL_TRIGGER,XeYo2ezKey,KYX,83.70 
[79117] SET_BUY_TRIGGER,XeYo2ezKey,RFI,180.81 
[79177] ADD,XeYo2ezKey,66994.79 
[79245] COMMIT_BUY,XeYo2ezKey 
[79255] QUOTE,XeYo2ezKey,ZWB 
[79420] COMMIT_SELL,XeYo2ezKey 
[79524] ADD,XeYo2ezKey,119397.21 
[79580] QUOTE,XeYo2ezKey,XBL 
[79581] BUY,XeYo2ezKey,IFN,194.00 
[79679] CANCEL_SET_BUY,XeYo2ezKey,DLX 
[79770] QUOTE,XeYo2ezKey,RRE 
[79846] CANCEL_SELL,XeYo2ezKey 
[79919] SET_BUY_TRIGGER,XeYo2ezKey,JOJ,197.07 
[79947] DISPLAY_SUMMARY,XeYo2ezKey 
[79991] SET_BUY_AMOUNT,XeYo2ezKey,VDP,279.96 
[80071] SET_BUY_TRIGGER,XeYo2ezKey,XXN,155.76 
[80211] ADD,XeYo2ezKey,80851.54 
[80253] QUOTE,XeYo2ezKey,XAB 
[80343] SELL,XeYo2ezKey,SZI,703.18 
[80557] COMMIT_SELL,XeYo2ezKey 
[80836] SET_BUY_AMOUNT,XeYo2ezKey,AVX,605.01 
[80863] DISPLAY_SUMMARY,XeYo2ezKey 
[80864] SET_SELL_TRIGGER,XeYo2ezKey,CBY,52.51 
[80929] BUY,XeYo2ezKey,KJH,40.16 
[81193] COMMIT_BUY,XeYo2ezKey 
[81221] SELL,XeYo2ezKey,UIE,242.44 
[81253] SELL,XeYo2ezKey,FDI,612.27 
[81286] COMMIT_SELL,XeYo2ezKey 
[81443] QUOTE,XeYo2ezKey,VNO 
[81478] ADD,XeYo2ezKey,65555.87 
[81685] QUOTE,XeYo2ezKey,XBL 
[81714] ADD,XeYo2ezKey,49071.73 
[81754] QUOTE,XeYo2ezKey,AHE 
[81830] BUY,XeYo2ezKey,LPW,673.77 
[81966] COMMIT_BUY,XeYo2ezKey 
[82215] ADD,XeYo2ezKey,49854.25 
[82481] QUOTE,XeYo2ezKey,ZHB 
[82500] QUOTE,XeYo2ezKey,JLK 
[82622] ADD,XeYo2ezKey,80298.57 
[82634] SET_SELL_TRIGGER,XeYo2ezKey,NSN,119.74 
[82689] ADD,XeYo2ezKey,76319.85 
[82776] QUOTE,XeYo2ezKey,ZOZ 
[83084] QUOTE,XeYo2ezKey,ZCG 
[83100] QUOTE,XeYo2ezKey,KXF 
[83143] BUY,XeYo2ezKey,FLY,295.68 
[83218] COMMIT_BUY,XeYo2ezKey 
[83454] DISPLAY_SUMMARY,XeYo2ezKey 
[83487] QUOTE,XeYo2ezKey,CXN 
[83535] SET_BUY_TRIGGER,XeYo2ezKey,KMZ,69.87 
[83590] BUY,XeYo2ezKey,WCY,737.07 
[83616] CANCEL_SET_BUY,XeYo2ezKey,VVV 
[83824] BUY,XeYo2ezKey,SBT,4.60 
[83906] COMMIT_BUY,XeYo2ezKey 
[84035] BUY,XeYo2ezKey,XFW,656.56 
[84068] SET_BUY_AMOUNT,XeYo2ezKey,QJZ,59.36 
[84130] SET_BUY_TRIGGER,XeYo2ezKey,AJL,30.22 
[84132] SELL,XeYo2ezKey,MWJ,530.23 
[84178] CANCEL_SELL,XeYo2ezKey 
[84404] QUOTE,XeYo2ezKey,QLM 
[84462] BUY,XeYo2ezKey,SAR,721.90 
[84539] CANCEL_SET_BUY,XeYo2ezKey,TVX 
[84564] SELL,XeYo2ezKey,LFU,698.54 
[84588] CANCEL_SELL,XeYo2ezKey 
[84681] ADD,XeYo2ezKey,68073.36 
[84776] QUOTE,XeYo2ezKey,FVS 
[84920] QUOTE,XeYo2ezKey,PIC 
[84924] ADD,XeYo2ezKey,66510.04 
[84929] QUOTE,XeYo2ezKey,EBS 
[85074] BUY,XeYo2ezKey,KHD,704.11 
[85090] BUY,XeYo2ezKey,NVX,703.05 
[85095] SET_BUY_AMOUNT,XeYo2ezKey,QAX,590.19 
[85242] SET_BUY_TRIGGER,XeYo2ezKey,WYA,237.85 
[85364] BUY,XeYo2ezKey,VEE,734.84 
[85490] COMMIT_BUY,XeYo2ezKey 
[85652] SET_SELL_AMOUNT,XeYo2ezKey,QJZ,586.62 
[85673] CANCEL_SET_SELL,XeYo2ezKey,QJZ 
[85706] SELL,XeYo2ezKey,OEY,133.63 
[85724] CANCEL_SELL,XeYo2ezKey 
[85930] SET_BUY_AMOUNT,XeYo2ezKey,VTY,61.96 
[86042] SET_BUY_TRIGGER,XeYo2ezKey,JJW,8.76 
[86060] BUY,XeYo2ezKey,SXB,33.41 
[86105] COMMIT_BUY,XeYo2ezKey 
[86390] DISPLAY_SUMMARY,XeYo2ezKey 
[86466] QUOTE,XeYo2ezKey,JPP 
[86513] BUY,XeYo2ezKey,ZTR,599.29 
[86774] COMMIT_BUY,XeYo2ezKey 
[86783] SET_SELL_AMOUNT,XeYo2ezKey,GRM,399.50 
[86788] SET_SELL_TRIGGER,XeYo2ezKey,GRM,90.54 
[86789] SET_BUY_AMOUNT,XeYo2ezKey,XXQ,218.59 
[86944] SET_BUY_TRIGGER,XeYo2ezKey,NAR,34.41 
[86953] DISPLAY_SUMMARY,XeYo2ezKey 
[87054] SET_SELL_AMOUNT,XeYo2ezKey,MFX,368.61 
[87088] SELL,XeYo2ezKey,ZER,295.29 
[87096] CANCEL_BUY,XeYo2ezKey 
[87318] ADD,XeYo2ezKey,78572.13 
[87432] COMMIT_BUY,XeYo2ezKey 
[87498] SELL,XeYo2ezKey,UTV,250.21 
[87536] COMMIT_SELL,XeYo2ezKey 
[87636] SET_BUY_TRIGGER,XeYo2ezKey,ZKV,74.41 
[87729] DISPLAY_SUMMARY,XeYo2ezKey 
[87762] CANCEL_SELL,XeYo2ezKey 
[87966] ADD,XeYo2ezKey,54782.45 
[87976] BUY,XeYo2ezKey,IIX,628.03 
[88050] COMMIT_BUY,XeYo2ezKey 
[88064] SET_BUY_TRIGGER,XeYo2ezKey,TKM,86.70 
[88146] DISPLAY_SUMMARY,XeYo2ezKey 
[88310] QUOTE,XeYo2ezKey,XAN 
[88325] SET_BUY_TRIGGER,XeYo2ezKey,NEV,187.48 
[88354] SELL,XeYo2ezKey,OEY,290.15 
[88555] CANCEL_SELL,XeYo2ezKey 
[88852] QUOTE,XeYo2ezKey,OEY 
[88862] CANCEL_SELL,XeYo2ezKey 
[88892] DISPLAY_SUMMARY,XeYo2ezKey 
[88985] SELL,XeYo2ezKey,MXD,36.93 
[88991] CANCEL_BUY,XeYo2ezKey 
[89195] SELL,XeYo2ezKey,ZYR,140.92 
[89208] COMMIT_SELL,XeYo2ezKey 
[89235] DISPLAY_SUMMARY,XeYo2ezKey 
[89539] BUY,XeYo2ezKey,SHP,357.95 
[89566] CANCEL_SET_SELL,XeYo2ezKey,MFX 
[89636] SET_SELL_AMOUNT,XeYo2ezKey,MXD,692.64 
[89699] SET_SELL_TRIGGER,XeYo2ezKey,MXD,324.80 
[90112] ADD,XeYo2ezKey,43255.63 
[90338] BUY,XeYo2ezKey,PUN,26.20 
[90356] QUOTE,XeYo2ezKey,FKZ 
[90362] SET_BUY_TRIGGER,XeYo2ezKey,JQG,146.43 
[90538] QUOTE,XeYo2ezKey,SOA 
[90549] ADD,XeYo2ezKey,28470.45 
[90560] COMMIT_BUY,XeYo2ezKey 
[90604] SELL,XeYo2ezKey,YDS,91.15 
[90728] COMMIT_SELL,XeYo2ezKey 
[90777] DISPLAY_SUMMARY,XeYo2ezKey 
[90807] SELL,XeYo2ezKey,ZYR,73.86 
[90871] CANCEL_SELL,XeYo2ezKey 
[90916] ADD,XeYo2ezKey,86207.57 
[91642] BUY,XeYo2ezKey,OGB,461.13 
[91966] QUOTE,XeYo2ezKey,GKD 
[92156] SET_BUY_TRIGGER,XeYo2ezKey,ZTI,144.93 
[92200] QUOTE,XeYo2ezKey,LPB 
[92288] CANCEL_SET_SELL,XeYo2ezKey,THH 
[92303] SELL,XeYo2ezKey,VTY,423.38 
[92316] COMMIT_SELL,XeYo2ezKey 
[92319] ADD,XeYo2ezKey,78679.68 
[92350] QUOTE,XeYo2ezKey,AOU 
[92374] CANCEL_BUY,XeYo2ezKey 
[92444] SET_BUY_AMOUNT,XeYo2ezKey,MFX,140.15 
[92460] CANCEL_SET_BUY,XeYo2ezKey,OWH 
[92489] SET_BUY_AMOUNT,XeYo2ezKey,JRJ,183.90 
[92504] SET_BUY_TRIGGER,XeYo2ezKey,BHJ,57.23 
[92521] SET_SELL_AMOUNT,XeYo2ezKey,XLK,359.02 
[92600] SET_SELL_TRIGGER,XeYo2ezKey,XLK,205.28 
[92643] QUOTE,XeYo2ezKey,OBO 
[92644] COMMIT_SELL,XeYo2ezKey 
[92776] QUOTE,XeYo2ezKey,ATE 
[92854] SELL,XeYo2ezKey,JQO,507.02 
[92897] COMMIT_SELL,XeYo2ezKey 
[92944] SELL,XeYo2ezKey,XXQ,733.04 
[93005] CANCEL_SET_BUY,XeYo2ezKey,YPL 
[93030] SET_SELL_TRIGGER,XeYo2ezKey,QID,1.10 
[93101] BUY,XeYo2ezKey,OFP,91.19 
[93176] COMMIT_BUY,XeYo2ezKey 
[93246] SET_BUY_TRIGGER,XeYo2ezKey,JCL,103.96 
[93305] DISPLAY_SUMMARY,XeYo2ezKey 
[93706] ADD,XeYo2ezKey,63149.96 
[93726] BUY,XeYo2ezKey,RRZ,281.21 
[94046] COMMIT_BUY,XeYo2ezKey 
[94103] SET_SELL_TRIGGER,XeYo2ezKey,JRY,91.66 
[94188] SET_SELL_TRIGGER,XeYo2ezKey,OOV,160.80 
[94196] SET_BUY_TRIGGER,XeYo2ezKey,TUO,30.32 
[94273] SET_SELL_TRIGGER,XeYo2ezKey,JRJ,124.28 
[94285] DISPLAY_SUMMARY,XeYo2ezKey 
[94372] SET_BUY_AMOUNT,XeYo2ezKey,DJD,551.79 
[94386] SET_BUY_TRIGGER,XeYo2ezKey,LUD,239.90 
[94468] SELL,XeYo2ezKey,LFU,110.40 
[94505] COMMIT_SELL,XeYo2ezKey 
[94576] QUOTE,XeYo2ezKey,MAX 
[94677] DISPLAY_SUMMARY,XeYo2ezKey 
[94693] DISPLAY_SUMMARY,XeYo2ezKey 
[94729] ADD,XeYo2ezKey,79352.36 
[94754] BUY,XeYo2ezKey,LSG,248.08 
[94797] DISPLAY_SUMMARY,XeYo2ezKey 
[94881] CANCEL_SET_SELL,XeYo2ezKey,MER 
[94890] SET_SELL_TRIGGER,XeYo2ezKey,ISQ,36.93 
[94977] ADD,XeYo2ezKey,59867.02 
[95115] QUOTE,XeYo2ezKey,LSW 
[95222] SET_BUY_AMOUNT,XeYo2ezKey,DJD,108.15 
[95474] SET_BUY_TRIGGER,XeYo2ezKey,ZGN,7.01 
[95560] ADD,XeYo2ezKey,56003.84 
[95674] QUOTE,XeYo2ezKey,YRO 
[95715] SET_BUY_AMOUNT,XeYo2ezKey,HFS,303.51 
