[39] ADD,JZJCffUI5S,78018.97 
[48132] CANCEL_BUY,JZJCffUI5S 
[48368] DISPLAY_SUMMARY,JZJCffUI5S 
[48448] DISPLAY_SUMMARY,JZJCffUI5S 
[48505] SET_SELL_TRIGGER,JZJCffUI5S,VBO,123.58 
[48710] BUY,JZJCffUI5S,PFN,663.85 
[49008] CANCEL_SELL,JZJCffUI5S 
[49024] QUOTE,JZJCffUI5S,JQJ 
[49088] SET_BUY_TRIGGER,JZJCffUI5S,XLI,250.38 
[49101] BUY,JZJCffUI5S,FSD,608.48 
[49141] COMMIT_BUY,JZJCffUI5S 
[49376] SET_BUY_AMOUNT,JZJCffUI5S,NHG,345.50 
[49390] SET_BUY_TRIGGER,JZJCffUI5S,WSG,21.63 
[49414] SET_BUY_TRIGGER,JZJCffUI5S,QAA,84.52 
[50176] SET_SELL_TRIGGER,JZJCffUI5S,JUJ,152.56 
[50266] SET_SELL_AMOUNT,JZJCffUI5S,UBJ,217.01 
[50282] SET_SELL_TRIGGER,JZJCffUI5S,UBJ,145.28 
[50449] CANCEL_BUY,JZJCffUI5S 
[50467] SET_SELL_TRIGGER,JZJCffUI5S,GFN,55.67 
[50483] QUOTE,JZJCffUI5S,AMI 
[50568] SET_BUY_TRIGGER,JZJCffUI5S,MOS,59.64 
[50586] SET_BUY_AMOUNT,JZJCffUI5S,JZJ,395.47 
[50918] SELL,JZJCffUI5S,UTV,560.62 
[50956] COMMIT_BUY,JZJCffUI5S 
[51006] COMMIT_SELL,JZJCffUI5S 
[51121] ADD,JZJCffUI5S,54432.52 
[51339] QUOTE,JZJCffUI5S,JRY 
[51497] BUY,JZJCffUI5S,LQN,95.05 
[51501] BUY,JZJCffUI5S,DWF,623.60 
[51612] COMMIT_BUY,JZJCffUI5S 
[51776] QUOTE,JZJCffUI5S,GHL 
[51830] QUOTE,JZJCffUI5S,IQJ 
[51853] SET_BUY_TRIGGER,JZJCffUI5S,MJU,104.03 
[51887] SET_BUY_AMOUNT,JZJCffUI5S,QAX,318.41 
[51897] SET_BUY_TRIGGER,JZJCffUI5S,IHA,146.16 
[51990] SET_SELL_AMOUNT,JZJCffUI5S,QGE,325.11 
[52035] BUY,JZJCffUI5S,PIC,156.30 
[52188] CANCEL_SET_BUY,JZJCffUI5S,XSS 
[52265] ADD,JZJCffUI5S,89898.59 
[52270] CANCEL_SELL,JZJCffUI5S 
[52322] SELL,JZJCffUI5S,JQO,134.15 
[52340] COMMIT_SELL,JZJCffUI5S 
[52497] ADD,JZJCffUI5S,60352.79 
[52548] CANCEL_SELL,JZJCffUI5S 
[52562] ADD,JZJCffUI5S,82788.84 
[52607] COMMIT_BUY,JZJCffUI5S 
[52778] ADD,JZJCffUI5S,74241.11 
[52831] BUY,JZJCffUI5S,ATW,26.43 
[52881] COMMIT_BUY,JZJCffUI5S 
[52949] DISPLAY_SUMMARY,JZJCffUI5S 
[53154] SET_BUY_AMOUNT,JZJCffUI5S,FQP,275.43 
[53196] SET_BUY_TRIGGER,JZJCffUI5S,NJB,202.58 
[53222] DISPLAY_SUMMARY,JZJCffUI5S 
[53247] ADD,JZJCffUI5S,75066.57 
[53265] QUOTE,JZJCffUI5S,GZQ 
[53272] SET_BUY_TRIGGER,JZJCffUI5S,PXF,174.17 
[53509] ADD,JZJCffUI5S,88570.21 
[53700] BUY,JZJCffUI5S,JPP,477.35 
[53741] BUY,JZJCffUI5S,TXB,146.87 
[53865] COMMIT_BUY,JZJCffUI5S 
[53923] SET_BUY_AMOUNT,JZJCffUI5S,SSF,288.52 
[53995] DISPLAY_SUMMARY,JZJCffUI5S 
[54042] SET_SELL_TRIGGER,JZJCffUI5S,QGE,268.21 
[54108] ADD,JZJCffUI5S,67667.31 
[54131] BUY,JZJCffUI5S,FQP,529.59 
[54246] COMMIT_SELL,JZJCffUI5S 
[54410] SET_BUY_AMOUNT,JZJCffUI5S,NHG,464.85 
[54563] CANCEL_SET_BUY,JZJCffUI5S,QXW 
[54593] SET_BUY_TRIGGER,JZJCffUI5S,CCH,132.48 
[54655] DISPLAY_SUMMARY,JZJCffUI5S 
[54673] QUOTE,JZJCffUI5S,XII 
[54718] BUY,JZJCffUI5S,XSS,391.24 
[54731] BUY,JZJCffUI5S,QQW,487.64 
[54806] COMMIT_SELL,JZJCffUI5S 
[54904] SELL,JZJCffUI5S,FDI,664.98 
[55139] DISPLAY_SUMMARY,JZJCffUI5S 
[55207] ADD,JZJCffUI5S,71103.48 
[55360] BUY,JZJCffUI5S,ZUV,316.11 
[55489] COMMIT_BUY,JZJCffUI5S 
[55753] ADD,JZJCffUI5S,70342.42 
[55765] QUOTE,JZJCffUI5S,ATE 
[55939] BUY,JZJCffUI5S,VNO,620.34 
[55971] COMMIT_BUY,JZJCffUI5S 
[56070] ADD,JZJCffUI5S,48370.82 
[56220] QUOTE,JZJCffUI5S,ZAM 
[56347] QUOTE,JZJCffUI5S,FSD 
[56401] SET_SELL_TRIGGER,JZJCffUI5S,ZAN,110.90 
[56424] BUY,JZJCffUI5S,RXO,220.47 
[56436] COMMIT_BUY,JZJCffUI5S 
[56438] BUY,JZJCffUI5S,JHY,277.62 
[56481] COMMIT_BUY,JZJCffUI5S 
[56561] SET_BUY_TRIGGER,JZJCffUI5S,GIX,190.30 
[56815] SELL,JZJCffUI5S,VTY,385.52 
[56829] COMMIT_SELL,JZJCffUI5S 
[56880] BUY,JZJCffUI5S,LZB,143.65 
[57083] COMMIT_BUY,JZJCffUI5S 
[57163] DISPLAY_SUMMARY,JZJCffUI5S 
[57267] QUOTE,JZJCffUI5S,KPU 
[57300] BUY,JZJCffUI5S,ZGN,522.86 
[57337] COMMIT_BUY,JZJCffUI5S 
[57461] SET_BUY_AMOUNT,JZJCffUI5S,IFN,37.33 
[57489] SET_BUY_TRIGGER,JZJCffUI5S,JGY,11.10 
[57607] QUOTE,JZJCffUI5S,YPL 
[57721] BUY,JZJCffUI5S,RGM,174.95 
[57988] COMMIT_SELL,JZJCffUI5S 
[58362] ADD,JZJCffUI5S,52071.88 
[58407] BUY,JZJCffUI5S,WRN,744.56 
[58531] COMMIT_BUY,JZJCffUI5S 
[58538] SELL,JZJCffUI5S,IFN,704.00 
[58549] SELL,JZJCffUI5S,XXQ,292.65 
[58623] ADD,JZJCffUI5S,59343.56 
[58686] SELL,JZJCffUI5S,JZJ,320.11 
[58929] CANCEL_SELL,JZJCffUI5S 
[58981] QUOTE,JZJCffUI5S,NFV 
[59086] SET_BUY_TRIGGER,JZJCffUI5S,WBL,132.16 
[59148] SELL,JZJCffUI5S,RNK,396.78 
[59197] COMMIT_BUY,JZJCffUI5S 
[59264] SET_SELL_AMOUNT,JZJCffUI5S,JCQ,32.00 
[59347] SET_SELL_TRIGGER,JZJCffUI5S,JCQ,21.46 
[59370] ADD,JZJCffUI5S,45235.08 
[59372] QUOTE,JZJCffUI5S,YDD 
[59452] DISPLAY_SUMMARY,JZJCffUI5S 
[59456] SET_SELL_TRIGGER,JZJCffUI5S,ZJG,62.13 
[59576] ADD,JZJCffUI5S,72681.27 
[59787] BUY,JZJCffUI5S,SJH,214.93 
[59831] ADD,JZJCffUI5S,64357.01 
[59858] QUOTE,JZJCffUI5S,URI 
[59947] BUY,JZJCffUI5S,FZU,185.57 
[59955] COMMIT_BUY,JZJCffUI5S 
[60012] DISPLAY_SUMMARY,JZJCffUI5S 
[60308] SELL,JZJCffUI5S,UBJ,184.34 
[60358] COMMIT_SELL,JZJCffUI5S 
[60456] QUOTE,JZJCffUI5S,RGM 
[60718] BUY,JZJCffUI5S,HZA,676.60 
[60813] COMMIT_BUY,JZJCffUI5S 
[60843] SET_SELL_TRIGGER,JZJCffUI5S,JIO,3.92 
[61109] SET_BUY_AMOUNT,JZJCffUI5S,CSZ,623.91 
[61161] QUOTE,JZJCffUI5S,HWO 
[61496] QUOTE,JZJCffUI5S,BMW 
[61563] BUY,JZJCffUI5S,VNO,348.88 
[61790] CANCEL_SET_BUY,JZJCffUI5S,OOV 
[61803] DISPLAY_SUMMARY,JZJCffUI5S 
[61949] COMMIT_SELL,JZJCffUI5S 
[62001] QUOTE,JZJCffUI5S,WYR 
[62291] DISPLAY_SUMMARY,JZJCffUI5S 
[62395] SET_BUY_AMOUNT,JZJCffUI5S,XQC,53.73 
[62480] SET_BUY_TRIGGER,JZJCffUI5S,PVH,17.08 
[62536] DISPLAY_SUMMARY,JZJCffUI5S 
[62566] SET_SELL_TRIGGER,JZJCffUI5S,FYR,66.65 
[62636] SET_BUY_AMOUNT,JZJCffUI5S,XQC,638.83 
[62698] CANCEL_SET_BUY,JZJCffUI5S,FMJ 
[62729] ADD,JZJCffUI5S,71847.72 
[62897] QUOTE,JZJCffUI5S,ZNW 
[62914] DISPLAY_SUMMARY,JZJCffUI5S 
[62997] BUY,JZJCffUI5S,ZZN,184.19 
[63013] QUOTE,JZJCffUI5S,HNO 
[63271] SELL,JZJCffUI5S,ZAN,275.12 
[63447] SET_BUY_TRIGGER,JZJCffUI5S,DWC,38.56 
[63714] SELL,JZJCffUI5S,BYA,665.54 
[63856] SET_SELL_AMOUNT,JZJCffUI5S,KBN,185.03 
[63979] CANCEL_SET_SELL,JZJCffUI5S,KBN 
[64184] SELL,JZJCffUI5S,KDA,251.75 
[64539] COMMIT_SELL,JZJCffUI5S 
[64617] BUY,JZJCffUI5S,BHQ,128.46 
[64946] CANCEL_SET_SELL,JZJCffUI5S,LMO 
[64948] BUY,JZJCffUI5S,MQH,107.25 
[64952] COMMIT_BUY,JZJCffUI5S 
[65057] SET_BUY_TRIGGER,JZJCffUI5S,CNN,192.41 
[65064] COMMIT_BUY,JZJCffUI5S 
[65091] SET_SELL_AMOUNT,JZJCffUI5S,QJZ,0.37 
[65094] CANCEL_SET_SELL,JZJCffUI5S,QJZ 
[65145] BUY,JZJCffUI5S,BMW,203.58 
[65252] CANCEL_SET_SELL,JZJCffUI5S,MFX 
[65266] SELL,JZJCffUI5S,MFX,643.27 
[65323] COMMIT_SELL,JZJCffUI5S 
[65381] SET_SELL_TRIGGER,JZJCffUI5S,MWB,125.72 
[65880] ADD,JZJCffUI5S,79363.44 
[65884] QUOTE,JZJCffUI5S,TQX 
[65939] BUY,JZJCffUI5S,POE,533.11 
[66047] CANCEL_BUY,JZJCffUI5S 
[66091] ADD,JZJCffUI5S,67948.76 
[66113] QUOTE,JZJCffUI5S,PCR 
[66122] SET_SELL_AMOUNT,JZJCffUI5S,OEY,75.49 
[66207] SELL,JZJCffUI5S,ZTI,684.06 
[66358] COMMIT_SELL,JZJCffUI5S 
[66387] ADD,JZJCffUI5S,75609.57 
[66391] BUY,JZJCffUI5S,MJU,1.81 
[66392] CANCEL_SELL,JZJCffUI5S 
[66438] SET_SELL_TRIGGER,JZJCffUI5S,OEY,54.17 
[66566] QUOTE,JZJCffUI5S,DMS 
[66641] SET_BUY_TRIGGER,JZJCffUI5S,VXY,160.26 
[66740] SET_BUY_TRIGGER,JZJCffUI5S,LBC,62.89 
[66758] ADD,JZJCffUI5S,58025.20 
[66862] BUY,JZJCffUI5S,PHE,69.42 
[66911] COMMIT_BUY,JZJCffUI5S 
[67007] ADD,JZJCffUI5S,77283.55 
[67328] QUOTE,JZJCffUI5S,SKW 
[67340] CANCEL_BUY,JZJCffUI5S 
[67465] SELL,JZJCffUI5S,YDS,180.52 
[67484] COMMIT_SELL,JZJCffUI5S 
[67523] QUOTE,JZJCffUI5S,NHB 
[67526] ADD,JZJCffUI5S,52947.29 
[67531] QUOTE,JZJCffUI5S,HEK 
[67601] BUY,JZJCffUI5S,MWV,709.02 
[67611] SET_SELL_AMOUNT,JZJCffUI5S,UBJ,201.65 
[67633] SET_SELL_TRIGGER,JZJCffUI5S,UBJ,141.31 
[67661] BUY,JZJCffUI5S,DVU,521.94 
[67672] COMMIT_SELL,JZJCffUI5S 
[67900] QUOTE,JZJCffUI5S,JYV 
[67912] QUOTE,JZJCffUI5S,JGY 
[68029] SET_BUY_AMOUNT,JZJCffUI5S,ZTI,302.75 
[68120] SET_BUY_TRIGGER,JZJCffUI5S,SAR,90.23 
[68204] SELL,JZJCffUI5S,ZYR,324.26 
[68330] COMMIT_SELL,JZJCffUI5S 
[68499] SET_SELL_AMOUNT,JZJCffUI5S,FDI,201.93 
[68801] SET_SELL_TRIGGER,JZJCffUI5S,FDI,116.08 
[68884] QUOTE,JZJCffUI5S,ZGN 
[69084] DISPLAY_SUMMARY,JZJCffUI5S 
[69178] QUOTE,JZJCffUI5S,BPP 
[69306] SELL,JZJCffUI5S,KES,665.22 
[69322] COMMIT_SELL,JZJCffUI5S 
[69548] SET_BUY_AMOUNT,JZJCffUI5S,ZAN,705.80 
[69556] SET_BUY_TRIGGER,JZJCffUI5S,VKP,501.91 
[69561] SET_BUY_TRIGGER,JZJCffUI5S,OLI,64.36 
[69586] DISPLAY_SUMMARY,JZJCffUI5S 
[69745] ADD,JZJCffUI5S,78586.83 
[69786] BUY,JZJCffUI5S,LCP,109.87 
[69895] CANCEL_BUY,JZJCffUI5S 
[69913] SELL,JZJCffUI5S,KYX,248.05 
[69972] COMMIT_BUY,JZJCffUI5S 
[69975] ADD,JZJCffUI5S,36889.33 
[70060] QUOTE,JZJCffUI5S,DBT 
[70383] QUOTE,JZJCffUI5S,AVX 
[70455] BUY,JZJCffUI5S,GAN,17.66 
[70485] QUOTE,JZJCffUI5S,PNP 
[70623] QUOTE,JZJCffUI5S,QOD 
[70699] ADD,JZJCffUI5S,63875.04 
[70783] BUY,JZJCffUI5S,DMW,81.33 
[70796] CANCEL_SELL,JZJCffUI5S 
[70809] DISPLAY_SUMMARY,JZJCffUI5S 
[70833] SET_SELL_AMOUNT,JZJCffUI5S,OZO,70.01 
[70895] BUY,JZJCffUI5S,VKB,648.26 
[71292] QUOTE,JZJCffUI5S,XOL 
[71514] SET_BUY_AMOUNT,JZJCffUI5S,CUZ,283.39 
[71539] SET_BUY_TRIGGER,JZJCffUI5S,QAX,136.53 
[71636] SET_SELL_TRIGGER,JZJCffUI5S,OZO,56.91 
[71654] DISPLAY_SUMMARY,JZJCffUI5S 
[71658] ADD,JZJCffUI5S,51423.79 
[71918] QUOTE,JZJCffUI5S,JMX 
[71920] DISPLAY_SUMMARY,JZJCffUI5S 
[72036] SET_BUY_AMOUNT,JZJCffUI5S,SQI,621.35 
[72101] CANCEL_SET_BUY,JZJCffUI5S,LMO 
[72219] SET_SELL_TRIGGER,JZJCffUI5S,PHJ,171.88 
[72227] ADD,JZJCffUI5S,69441.46 
[72268] BUY,JZJCffUI5S,FVD,7.34 
[72364] CANCEL_SET_SELL,JZJCffUI5S,JIC 
[72536] BUY,JZJCffUI5S,EYY,215.07 
[72758] DISPLAY_SUMMARY,JZJCffUI5S 
[72825] SET_BUY_AMOUNT,JZJCffUI5S,CBO,15.72 
[72841] SET_BUY_TRIGGER,JZJCffUI5S,WXV,3.78 
[72855] SELL,JZJCffUI5S,FDI,580.87 
[72949] COMMIT_SELL,JZJCffUI5S 
[73117] ADD,JZJCffUI5S,77377.30 
[73136] BUY,JZJCffUI5S,WAO,412.91 
[73178] COMMIT_BUY,JZJCffUI5S 
[73211] SET_BUY_TRIGGER,JZJCffUI5S,NFO,195.04 
[73232] BUY,JZJCffUI5S,OEY,263.23 
[73309] COMMIT_BUY,JZJCffUI5S 
[73636] SET_BUY_TRIGGER,JZJCffUI5S,HRJ,12.81 
[73677] ADD,JZJCffUI5S,86305.19 
[73947] QUOTE,JZJCffUI5S,TTY 
[74207] QUOTE,JZJCffUI5S,SPL 
[74255] SET_BUY_AMOUNT,JZJCffUI5S,UIE,613.33 
[74362] SELL,JZJCffUI5S,YDS,595.15 
[74510] CANCEL_SELL,JZJCffUI5S 
[74542] ADD,JZJCffUI5S,108756.00 
[74588] BUY,JZJCffUI5S,FPI,142.78 
[74655] COMMIT_BUY,JZJCffUI5S 
[74799] QUOTE,JZJCffUI5S,ONI 
[74898] DISPLAY_SUMMARY,JZJCffUI5S 
[74954] QUOTE,JZJCffUI5S,CBQ 
[74957] SET_SELL_TRIGGER,JZJCffUI5S,OQZ,22.34 
[75036] SET_BUY_AMOUNT,JZJCffUI5S,BYA,127.80 
[75216] SET_BUY_TRIGGER,JZJCffUI5S,VKB,69.00 
[75321] ADD,JZJCffUI5S,68399.76 
[75323] QUOTE,JZJCffUI5S,PHZ 
[75385] BUY,JZJCffUI5S,EBS,11.94 
[75465] SELL,JZJCffUI5S,LFU,194.92 
[75475] SET_SELL_AMOUNT,JZJCffUI5S,UBJ,661.19 
[75509] SET_SELL_TRIGGER,JZJCffUI5S,UBJ,590.95 
[75721] COMMIT_SELL,JZJCffUI5S 
[75779] QUOTE,JZJCffUI5S,HYX 
[75833] QUOTE,JZJCffUI5S,MAX 
[75861] SET_BUY_TRIGGER,JZJCffUI5S,NJB,106.67 
[76057] QUOTE,JZJCffUI5S,BHJ 
[76140] ADD,JZJCffUI5S,74582.98 
[76279] CANCEL_SET_BUY,JZJCffUI5S,HFI 
[76350] CANCEL_SELL,JZJCffUI5S 
[76527] ADD,JZJCffUI5S,64217.91 
[76647] QUOTE,JZJCffUI5S,PIE 
[76763] ADD,JZJCffUI5S,82789.55 
[76869] SELL,JZJCffUI5S,CUZ,535.28 
[76872] COMMIT_SELL,JZJCffUI5S 
[76875] SET_BUY_TRIGGER,JZJCffUI5S,YBO,81.58 
[76898] QUOTE,JZJCffUI5S,VMK 
[76992] QUOTE,JZJCffUI5S,VUS 
[77004] BUY,JZJCffUI5S,PJJ,734.34 
[77105] CANCEL_SELL,JZJCffUI5S 
[77138] ADD,JZJCffUI5S,45560.49 
[77179] BUY,JZJCffUI5S,GGY,666.53 
[77238] SET_SELL_TRIGGER,JZJCffUI5S,WNU,65.47 
[77565] BUY,JZJCffUI5S,XVK,382.71 
[77599] SET_BUY_TRIGGER,JZJCffUI5S,ZSV,175.22 
[77820] COMMIT_BUY,JZJCffUI5S 
[77827] BUY,JZJCffUI5S,AHO,101.95 
[77934] SET_SELL_AMOUNT,JZJCffUI5S,OEY,711.88 
[78109] SET_SELL_TRIGGER,JZJCffUI5S,OEY,22.98 
[78114] QUOTE,JZJCffUI5S,ZNL 
[78146] BUY,JZJCffUI5S,STQ,682.14 
[78403] COMMIT_BUY,JZJCffUI5S 
[78474] ADD,JZJCffUI5S,60392.47 
[78567] QUOTE,JZJCffUI5S,BWR 
[78574] BUY,JZJCffUI5S,MOS,647.54 
[78619] COMMIT_BUY,JZJCffUI5S 
[78739] BUY,JZJCffUI5S,MLU,127.73 
[78881] COMMIT_BUY,JZJCffUI5S 
[78934] SET_SELL_AMOUNT,JZJCffUI5S,FDI,253.85 
[79341] DISPLAY_SUMMARY,JZJCffUI5S 
[79471] DISPLAY_SUMMARY,JZJCffUI5S 
[79498] SELL,JZJCffUI5S,SSF,229.17 
[79546] COMMIT_SELL,JZJCffUI5S 
[79644] ADD,JZJCffUI5S,43716.74 
[79801] QUOTE,JZJCffUI5S,WCY 
[79960] QUOTE,JZJCffUI5S,KCS 
[80048] SET_SELL_AMOUNT,JZJCffUI5S,DFE,396.83 
[80089] CANCEL_SET_SELL,JZJCffUI5S,DFE 
[80273] DISPLAY_SUMMARY,JZJCffUI5S 
[80310] CANCEL_SET_SELL,JZJCffUI5S,UJC 
[80354] SET_BUY_TRIGGER,JZJCffUI5S,JEA,84.70 
[80376] QUOTE,JZJCffUI5S,JGY 
[80395] QUOTE,JZJCffUI5S,TGY 
[80502] CANCEL_SET_BUY,JZJCffUI5S,SFO 
[80565] SET_BUY_TRIGGER,JZJCffUI5S,XBL,122.06 
[80591] QUOTE,JZJCffUI5S,SJZ 
[80741] SET_BUY_AMOUNT,JZJCffUI5S,VTY,188.99 
[80799] SET_BUY_TRIGGER,JZJCffUI5S,JYV,173.34 
[80844] QUOTE,JZJCffUI5S,YWC 
[81000] ADD,JZJCffUI5S,78600.37 
[81052] QUOTE,JZJCffUI5S,QNK 
[81130] ADD,JZJCffUI5S,83072.09 
[81192] BUY,JZJCffUI5S,WUL,176.48 
[81245] COMMIT_BUY,JZJCffUI5S 
[81432] SET_SELL_AMOUNT,JZJCffUI5S,JQO,363.78 
[81615] SET_SELL_TRIGGER,JZJCffUI5S,JQO,236.10 
[81815] BUY,JZJCffUI5S,HIW,711.77 
[81827] COMMIT_BUY,JZJCffUI5S 
[82083] BUY,JZJCffUI5S,OSC,303.44 
[82162] COMMIT_BUY,JZJCffUI5S 
[82168] ADD,JZJCffUI5S,61109.37 
[82253] CANCEL_BUY,JZJCffUI5S 
[82290] SELL,JZJCffUI5S,RNK,62.26 
[82466] COMMIT_SELL,JZJCffUI5S 
[82473] QUOTE,JZJCffUI5S,IQZ 
[82720] BUY,JZJCffUI5S,CWA,268.32 
[82825] CANCEL_SET_BUY,JZJCffUI5S,FFI 
[82838] SET_BUY_AMOUNT,JZJCffUI5S,CEC,149.35 
[82907] SET_BUY_TRIGGER,JZJCffUI5S,HHC,44.30 
[83023] QUOTE,JZJCffUI5S,VMD 
[83062] SET_BUY_AMOUNT,JZJCffUI5S,KBN,618.64 
[83101] SET_BUY_TRIGGER,JZJCffUI5S,JNO,586.19 
[83161] ADD,JZJCffUI5S,67332.67 
[83184] QUOTE,JZJCffUI5S,XBL 
[83298] QUOTE,JZJCffUI5S,HYX 
[83345] QUOTE,JZJCffUI5S,EDW 
[83776] SET_BUY_TRIGGER,JZJCffUI5S,NXF,166.74 
[83790] SET_BUY_TRIGGER,JZJCffUI5S,OYW,190.83 
[83810] SET_BUY_AMOUNT,JZJCffUI5S,PTP,747.43 
[83837] SET_BUY_TRIGGER,JZJCffUI5S,HHC,358.08 
[83941] ADD,JZJCffUI5S,75212.74 
[84070] DISPLAY_SUMMARY,JZJCffUI5S 
[84266] DISPLAY_SUMMARY,JZJCffUI5S 
[84274] SET_BUY_TRIGGER,JZJCffUI5S,OIV,44.77 
[84306] ADD,JZJCffUI5S,62546.86 
[84376] CANCEL_SET_SELL,JZJCffUI5S,LLO 
[84472] BUY,JZJCffUI5S,SON,217.59 
[84614] COMMIT_BUY,JZJCffUI5S 
[84761] DISPLAY_SUMMARY,JZJCffUI5S 
[84795] SELL,JZJCffUI5S,MFX,51.24 
[85280] SET_SELL_TRIGGER,JZJCffUI5S,ZHB,69.00 
[85305] ADD,JZJCffUI5S,79793.64 
[85320] BUY,JZJCffUI5S,NSW,179.14 
[85392] BUY,JZJCffUI5S,QAX,319.54 
[85413] ADD,JZJCffUI5S,88454.00 
[85466] BUY,JZJCffUI5S,FLD,704.46 
[85470] SET_SELL_TRIGGER,JZJCffUI5S,SPT,192.32 
[85553] SET_SELL_TRIGGER,JZJCffUI5S,FNY,121.71 
[85600] DISPLAY_SUMMARY,JZJCffUI5S 
[85771] DISPLAY_SUMMARY,JZJCffUI5S 
[85965] QUOTE,JZJCffUI5S,URY 
[86139] BUY,JZJCffUI5S,GNY,696.75 
[86369] COMMIT_BUY,JZJCffUI5S 
[86431] ADD,JZJCffUI5S,73814.71 
[86475] QUOTE,JZJCffUI5S,QLM 
[86565] BUY,JZJCffUI5S,RKQ,721.93 
[86817] COMMIT_BUY,JZJCffUI5S 
[86836] DISPLAY_SUMMARY,JZJCffUI5S 
[86856] SET_BUY_TRIGGER,JZJCffUI5S,PJW,97.20 
[87065] ADD,JZJCffUI5S,73994.77 
[87194] QUOTE,JZJCffUI5S,OEM 
[87221] BUY,JZJCffUI5S,RQL,555.04 
[87228] CANCEL_BUY,JZJCffUI5S 
[87322] ADD,JZJCffUI5S,74828.54 
[87629] BUY,JZJCffUI5S,SAJ,241.67 
[87812] COMMIT_BUY,JZJCffUI5S 
[87847] ADD,JZJCffUI5S,78857.11 
[87915] QUOTE,JZJCffUI5S,KAF 
[87941] SET_BUY_AMOUNT,JZJCffUI5S,RUN,337.35 
[88011] BUY,JZJCffUI5S,LLF,157.57 
[88090] COMMIT_BUY,JZJCffUI5S 
[88229] ADD,JZJCffUI5S,67648.07 
[88346] QUOTE,JZJCffUI5S,TKM 
[88489] CANCEL_SET_BUY,JZJCffUI5S,BHH 
[88624] SET_BUY_AMOUNT,JZJCffUI5S,LZV,118.14 
[88757] SET_BUY_TRIGGER,JZJCffUI5S,FOW,12.91 
[88785] DISPLAY_SUMMARY,JZJCffUI5S 
[88859] DISPLAY_SUMMARY,JZJCffUI5S 
[88889] SET_SELL_TRIGGER,JZJCffUI5S,ERF,130.84 
[89166] ADD,JZJCffUI5S,51162.37 
[89225] BUY,JZJCffUI5S,MOF,216.89 
[89497] COMMIT_BUY,JZJCffUI5S 
[89628] SELL,JZJCffUI5S,PRJ,208.99 
[89653] COMMIT_SELL,JZJCffUI5S 
[89788] ADD,JZJCffUI5S,88458.00 
[89809] QUOTE,JZJCffUI5S,WFR 
[89829] DISPLAY_SUMMARY,JZJCffUI5S 
[89883] QUOTE,JZJCffUI5S,ENQ 
[90058] COMMIT_BUY,JZJCffUI5S 
[90090] ADD,JZJCffUI5S,95838.72 
[90275] BUY,JZJCffUI5S,ZMA,218.70 
[90281] SET_BUY_AMOUNT,JZJCffUI5S,GSW,437.52 
[90328] SELL,JZJCffUI5S,DFE,312.59 
[90477] SET_BUY_AMOUNT,JZJCffUI5S,QAX,242.35 
[90517] SET_BUY_TRIGGER,JZJCffUI5S,KVJ,102.33 
[90523] DISPLAY_SUMMARY,JZJCffUI5S 
[90543] SET_SELL_AMOUNT,JZJCffUI5S,VDP,674.08 
[90689] SET_SELL_TRIGGER,JZJCffUI5S,VDP,524.72 
[90721] DISPLAY_SUMMARY,JZJCffUI5S 
[91061] SET_BUY_TRIGGER,JZJCffUI5S,AJL,198.77 
[91176] ADD,JZJCffUI5S,95763.98 
[91285] QUOTE,JZJCffUI5S,KPP 
[91327] ADD,JZJCffUI5S,75253.14 
[91329] QUOTE,JZJCffUI5S,FFI 
[91397] QUOTE,JZJCffUI5S,ZNW 
[91403] QUOTE,JZJCffUI5S,UXP 
[91407] SET_SELL_TRIGGER,JZJCffUI5S,CXW,52.98 
[91581] SET_SELL_AMOUNT,JZJCffUI5S,CUZ,501.74 
[91584] SET_SELL_TRIGGER,JZJCffUI5S,CUZ,185.32 
[91593] CANCEL_SET_SELL,JZJCffUI5S,PUO 
[91717] CANCEL_SELL,JZJCffUI5S 
[91766] QUOTE,JZJCffUI5S,KHD 
[91913] BUY,JZJCffUI5S,CJV,694.78 
[92024] QUOTE,JZJCffUI5S,YVS 
[92380] ADD,JZJCffUI5S,54884.23 
[92565] QUOTE,JZJCffUI5S,CLP 
[92598] SET_SELL_TRIGGER,JZJCffUI5S,JEO,57.06 
[92847] COMMIT_SELL,JZJCffUI5S 
[92929] CANCEL_SET_SELL,JZJCffUI5S,AZN 
[92968] DISPLAY_SUMMARY,JZJCffUI5S 
[93107] DISPLAY_SUMMARY,JZJCffUI5S 
[93256] ADD,JZJCffUI5S,48228.48 
[93318] BUY,JZJCffUI5S,KGA,287.77 
[93492] COMMIT_BUY,JZJCffUI5S 
[93552] SET_BUY_AMOUNT,JZJCffUI5S,ZAN,291.80 
[93554] SET_BUY_TRIGGER,JZJCffUI5S,OWH,243.13 
[93571] SET_SELL_TRIGGER,JZJCffUI5S,GYF,113.08 
[93762] SET_SELL_TRIGGER,JZJCffUI5S,XXQ,44.44 
[93870] ADD,JZJCffUI5S,78369.64 
[94069] CANCEL_BUY,JZJCffUI5S 
[94084] ADD,JZJCffUI5S,65783.13 
[94138] QUOTE,JZJCffUI5S,RQT 
[94208] SET_BUY_AMOUNT,JZJCffUI5S,KES,138.05 
[94236] SELL,JZJCffUI5S,JZJ,611.94 
[94393] COMMIT_SELL,JZJCffUI5S 
[94435] SET_SELL_TRIGGER,JZJCffUI5S,XBE,154.40 
[94529] QUOTE,JZJCffUI5S,CSZ 
