[47] ADD,unNg5XYq8A,55953.24 
[42897] BUY,unNg5XYq8A,BYA,79.91 
[42968] SELL,unNg5XYq8A,RNK,326.34 
[43317] COMMIT_SELL,unNg5XYq8A 
[43350] DISPLAY_SUMMARY,unNg5XYq8A 
[43415] SET_BUY_TRIGGER,unNg5XYq8A,FIC,22.14 
[43478] SET_SELL_TRIGGER,unNg5XYq8A,FTB,150.72 
[43540] SET_BUY_TRIGGER,unNg5XYq8A,XAB,83.72 
[43635] SELL,unNg5XYq8A,QJZ,682.72 
[43686] COMMIT_SELL,unNg5XYq8A 
[43689] QUOTE,unNg5XYq8A,HQU 
[43707] QUOTE,unNg5XYq8A,BMW 
[43755] QUOTE,unNg5XYq8A,LLE 
[43772] COMMIT_SELL,unNg5XYq8A 
[43865] ADD,unNg5XYq8A,59688.87 
[43868] SET_BUY_TRIGGER,unNg5XYq8A,IAV,53.61 
[43960] SET_BUY_TRIGGER,unNg5XYq8A,LLO,96.97 
[43999] SET_SELL_TRIGGER,unNg5XYq8A,BHP,143.45 
[44052] DISPLAY_SUMMARY,unNg5XYq8A 
[44073] QUOTE,unNg5XYq8A,FOV 
[44093] QUOTE,unNg5XYq8A,RVU 
[44094] QUOTE,unNg5XYq8A,SFR 
[44198] COMMIT_SELL,unNg5XYq8A 
[44359] SET_SELL_TRIGGER,unNg5XYq8A,ZMK,54.74 
[44368] CANCEL_SET_BUY,unNg5XYq8A,ZFK 
[44392] DISPLAY_SUMMARY,unNg5XYq8A 
[44393] SELL,unNg5XYq8A,FQP,103.51 
[44418] SET_SELL_AMOUNT,unNg5XYq8A,KES,692.29 
[44771] SET_SELL_TRIGGER,unNg5XYq8A,KES,568.58 
[44868] SELL,unNg5XYq8A,RGH,424.54 
[44902] CANCEL_SELL,unNg5XYq8A 
[45145] SET_SELL_AMOUNT,unNg5XYq8A,ZAN,263.64 
[45146] QUOTE,unNg5XYq8A,KRY 
[45192] ADD,unNg5XYq8A,65331.46 
[45269] DISPLAY_SUMMARY,unNg5XYq8A 
[45312] BUY,unNg5XYq8A,IVV,586.43 
[45392] COMMIT_BUY,unNg5XYq8A 
[45449] DISPLAY_SUMMARY,unNg5XYq8A 
[45516] QUOTE,unNg5XYq8A,VVO 
[45517] CANCEL_SET_BUY,unNg5XYq8A,YZH 
[45566] SET_SELL_TRIGGER,unNg5XYq8A,ZAN,134.47 
[45640] SET_BUY_AMOUNT,unNg5XYq8A,UTV,89.81 
[45713] SET_BUY_TRIGGER,unNg5XYq8A,FCM,9.87 
[45922] DISPLAY_SUMMARY,unNg5XYq8A 
[45975] SET_BUY_AMOUNT,unNg5XYq8A,RUN,216.70 
[46118] BUY,unNg5XYq8A,PDB,325.04 
[46218] COMMIT_BUY,unNg5XYq8A 
[46316] DISPLAY_SUMMARY,unNg5XYq8A 
[46686] CANCEL_SET_BUY,unNg5XYq8A,VNO 
[47032] BUY,unNg5XYq8A,IVV,65.07 
[47116] COMMIT_BUY,unNg5XYq8A 
[47124] ADD,unNg5XYq8A,82514.56 
[47248] CANCEL_SET_SELL,unNg5XYq8A,TOZ 
[47323] SET_BUY_AMOUNT,unNg5XYq8A,ZYR,558.66 
[47342] SET_BUY_TRIGGER,unNg5XYq8A,LUD,494.99 
[47545] SET_BUY_AMOUNT,unNg5XYq8A,SSF,393.04 
[47724] CANCEL_SET_BUY,unNg5XYq8A,YOQ 
[47875] SET_BUY_TRIGGER,unNg5XYq8A,YVS,0.18 
[47921] DISPLAY_SUMMARY,unNg5XYq8A 
[47930] DISPLAY_SUMMARY,unNg5XYq8A 
[48057] ADD,unNg5XYq8A,114892.32 
[48183] BUY,unNg5XYq8A,SJH,130.25 
[48197] COMMIT_SELL,unNg5XYq8A 
[48409] SET_BUY_AMOUNT,unNg5XYq8A,JQO,504.48 
[48478] SET_BUY_TRIGGER,unNg5XYq8A,ZNW,265.12 
[48496] CANCEL_SET_BUY,unNg5XYq8A,GTB 
[48635] ADD,unNg5XYq8A,68315.47 
[48773] BUY,unNg5XYq8A,HYX,553.22 
[48826] COMMIT_BUY,unNg5XYq8A 
[48876] DISPLAY_SUMMARY,unNg5XYq8A 
[48962] SET_SELL_TRIGGER,unNg5XYq8A,BHJ,105.51 
[48978] SET_SELL_TRIGGER,unNg5XYq8A,SEW,199.03 
[48995] SET_SELL_TRIGGER,unNg5XYq8A,NUV,137.17 
[49034] DISPLAY_SUMMARY,unNg5XYq8A 
[49156] BUY,unNg5XYq8A,TFZ,279.58 
[49229] SET_SELL_AMOUNT,unNg5XYq8A,RGH,482.85 
[49264] SET_SELL_TRIGGER,unNg5XYq8A,RGH,195.03 
[49357] SET_BUY_TRIGGER,unNg5XYq8A,OXV,72.06 
[49459] ADD,unNg5XYq8A,82403.09 
[49529] QUOTE,unNg5XYq8A,URY 
[49608] QUOTE,unNg5XYq8A,ZJQ 
[49888] BUY,unNg5XYq8A,PST,154.25 
[50182] COMMIT_BUY,unNg5XYq8A 
[50228] SET_SELL_AMOUNT,unNg5XYq8A,OEY,574.42 
[50283] SET_SELL_TRIGGER,unNg5XYq8A,OEY,37.24 
[50324] CANCEL_SET_SELL,unNg5XYq8A,MVQ 
[50330] SELL,unNg5XYq8A,BYA,104.73 
[50464] COMMIT_SELL,unNg5XYq8A 
[50484] ADD,unNg5XYq8A,68098.33 
[50534] BUY,unNg5XYq8A,GAL,278.49 
[50691] COMMIT_BUY,unNg5XYq8A 
[50976] SET_SELL_TRIGGER,unNg5XYq8A,GNY,86.43 
[51240] SET_SELL_TRIGGER,unNg5XYq8A,QEO,183.16 
[51256] DISPLAY_SUMMARY,unNg5XYq8A 
[51261] SET_SELL_TRIGGER,unNg5XYq8A,XME,113.68 
[51447] DISPLAY_SUMMARY,unNg5XYq8A 
[51510] CANCEL_SELL,unNg5XYq8A 
[51855] SET_BUY_AMOUNT,unNg5XYq8A,QGE,420.43 
[51980] SET_BUY_TRIGGER,unNg5XYq8A,VND,292.15 
[51999] SET_SELL_AMOUNT,unNg5XYq8A,CSZ,56.28 
[52321] SET_SELL_TRIGGER,unNg5XYq8A,CSZ,3.87 
[52412] BUY,unNg5XYq8A,KKI,623.17 
[52432] SELL,unNg5XYq8A,RUN,219.52 
[52511] SET_SELL_AMOUNT,unNg5XYq8A,ZAN,316.18 
[52527] DISPLAY_SUMMARY,unNg5XYq8A 
[52717] SET_BUY_TRIGGER,unNg5XYq8A,BCQ,40.80 
[52895] SET_BUY_AMOUNT,unNg5XYq8A,NHG,354.51 
[52971] SET_BUY_TRIGGER,unNg5XYq8A,BXH,72.53 
[53004] ADD,unNg5XYq8A,72923.49 
[53056] QUOTE,unNg5XYq8A,SCW 
[53119] QUOTE,unNg5XYq8A,GWF 
[53164] BUY,unNg5XYq8A,JMG,653.37 
[53316] COMMIT_BUY,unNg5XYq8A 
[53377] ADD,unNg5XYq8A,75190.76 
[53400] QUOTE,unNg5XYq8A,ETB 
[53416] COMMIT_SELL,unNg5XYq8A 
[53508] ADD,unNg5XYq8A,47042.83 
[53578] BUY,unNg5XYq8A,CLH,468.14 
[53774] COMMIT_BUY,unNg5XYq8A 
[53858] SELL,unNg5XYq8A,VTY,621.29 
[53917] COMMIT_SELL,unNg5XYq8A 
[54090] BUY,unNg5XYq8A,NKC,662.13 
[54243] QUOTE,unNg5XYq8A,GDO 
[54260] SET_BUY_AMOUNT,unNg5XYq8A,AVX,268.17 
[54585] SELL,unNg5XYq8A,BCQ,218.99 
[54679] DISPLAY_SUMMARY,unNg5XYq8A 
[55368] SET_SELL_AMOUNT,unNg5XYq8A,BYA,557.22 
[55586] SET_SELL_TRIGGER,unNg5XYq8A,BYA,223.64 
[55776] SET_BUY_TRIGGER,unNg5XYq8A,RGH,228.59 
[55897] SET_BUY_AMOUNT,unNg5XYq8A,GRM,468.40 
[56046] SET_BUY_TRIGGER,unNg5XYq8A,SFR,73.27 
[56196] SELL,unNg5XYq8A,KES,249.64 
[56228] COMMIT_SELL,unNg5XYq8A 
[56440] SET_SELL_TRIGGER,unNg5XYq8A,FYR,156.33 
[56443] QUOTE,unNg5XYq8A,XXN 
[56612] QUOTE,unNg5XYq8A,MVD 
[56672] BUY,unNg5XYq8A,PGV,299.61 
[56743] SELL,unNg5XYq8A,CEC,251.23 
[57376] CANCEL_SELL,unNg5XYq8A 
[57442] SET_BUY_TRIGGER,unNg5XYq8A,ZDB,176.86 
[57459] SET_SELL_AMOUNT,unNg5XYq8A,XQC,268.57 
[57473] SET_SELL_TRIGGER,unNg5XYq8A,XQC,256.63 
[57486] DISPLAY_SUMMARY,unNg5XYq8A 
[57552] ADD,unNg5XYq8A,62335.23 
[57603] BUY,unNg5XYq8A,TTV,458.30 
[57798] COMMIT_BUY,unNg5XYq8A 
[57818] ADD,unNg5XYq8A,86344.12 
[57986] BUY,unNg5XYq8A,SFO,559.55 
[58001] CANCEL_BUY,unNg5XYq8A 
[58069] COMMIT_SELL,unNg5XYq8A 
[58082] SET_BUY_AMOUNT,unNg5XYq8A,XLK,220.24 
[58211] SET_BUY_TRIGGER,unNg5XYq8A,MFX,5.64 
[58387] DISPLAY_SUMMARY,unNg5XYq8A 
[58414] QUOTE,unNg5XYq8A,YTT 
[58455] SET_SELL_AMOUNT,unNg5XYq8A,ZTI,74.64 
[58555] SET_SELL_TRIGGER,unNg5XYq8A,ZTI,35.93 
[58587] ADD,unNg5XYq8A,65034.14 
[58622] SELL,unNg5XYq8A,QJZ,661.95 
[58922] DISPLAY_SUMMARY,unNg5XYq8A 
[58937] DISPLAY_SUMMARY,unNg5XYq8A 
[58980] SET_BUY_AMOUNT,unNg5XYq8A,EBS,84.93 
[59063] SET_BUY_TRIGGER,unNg5XYq8A,XOM,31.51 
[59078] BUY,unNg5XYq8A,MIQ,703.19 
[59111] DISPLAY_SUMMARY,unNg5XYq8A 
[59145] DISPLAY_SUMMARY,unNg5XYq8A 
[59306] QUOTE,unNg5XYq8A,YRO 
[59327] SET_SELL_AMOUNT,unNg5XYq8A,CUZ,426.98 
[59446] SET_SELL_TRIGGER,unNg5XYq8A,CUZ,212.72 
[59547] SET_SELL_TRIGGER,unNg5XYq8A,SIK,113.26 
[59552] SET_BUY_TRIGGER,unNg5XYq8A,TJL,99.78 
[59582] SET_SELL_AMOUNT,unNg5XYq8A,FQP,325.70 
[59635] CANCEL_SET_SELL,unNg5XYq8A,FQP 
[59943] ADD,unNg5XYq8A,112357.79 
[60056] QUOTE,unNg5XYq8A,NVX 
[60112] BUY,unNg5XYq8A,NDO,741.62 
[60344] COMMIT_BUY,unNg5XYq8A 
[60367] QUOTE,unNg5XYq8A,NDD 
[60372] BUY,unNg5XYq8A,URA,610.22 
[60393] CANCEL_SET_SELL,unNg5XYq8A,HCN 
[60538] CANCEL_SET_SELL,unNg5XYq8A,MOF 
[60580] ADD,unNg5XYq8A,62401.53 
[60763] QUOTE,unNg5XYq8A,IPH 
[60771] BUY,unNg5XYq8A,DNJ,499.17 
[60780] COMMIT_BUY,unNg5XYq8A 
[60908] SELL,unNg5XYq8A,UIE,295.51 
[60984] SELL,unNg5XYq8A,ZTI,126.71 
[61321] COMMIT_SELL,unNg5XYq8A 
[61505] SELL,unNg5XYq8A,CEC,107.76 
[61712] COMMIT_BUY,unNg5XYq8A 
[61759] SET_SELL_AMOUNT,unNg5XYq8A,CSZ,438.54 
[61970] SET_SELL_TRIGGER,unNg5XYq8A,CSZ,101.76 
[62024] SELL,unNg5XYq8A,OEY,310.85 
[62069] SET_BUY_AMOUNT,unNg5XYq8A,FDI,466.73 
[62089] CANCEL_SET_BUY,unNg5XYq8A,IGT 
[62513] SET_BUY_AMOUNT,unNg5XYq8A,LFU,483.45 
[62517] SET_BUY_TRIGGER,unNg5XYq8A,LSK,166.16 
[62655] ADD,unNg5XYq8A,39440.16 
[62877] BUY,unNg5XYq8A,EBS,472.59 
[62974] COMMIT_BUY,unNg5XYq8A 
[63235] ADD,unNg5XYq8A,45626.12 
[63333] QUOTE,unNg5XYq8A,TYV 
[63427] CANCEL_SET_BUY,unNg5XYq8A,XRK 
[63583] QUOTE,unNg5XYq8A,PJJ 
[63601] QUOTE,unNg5XYq8A,ECX 
[63615] BUY,unNg5XYq8A,EDV,225.60 
[63631] COMMIT_BUY,unNg5XYq8A 
[63671] SELL,unNg5XYq8A,ZTI,189.32 
[63764] COMMIT_SELL,unNg5XYq8A 
[63779] ADD,unNg5XYq8A,92608.42 
[63863] QUOTE,unNg5XYq8A,HZE 
[64025] QUOTE,unNg5XYq8A,LUD 
[64029] SET_SELL_TRIGGER,unNg5XYq8A,FIW,40.45 
[64060] DISPLAY_SUMMARY,unNg5XYq8A 
[64129] DISPLAY_SUMMARY,unNg5XYq8A 
[64206] QUOTE,unNg5XYq8A,LAW 
[64312] QUOTE,unNg5XYq8A,PUC 
[64393] DISPLAY_SUMMARY,unNg5XYq8A 
[64591] QUOTE,unNg5XYq8A,SSF 
[64709] ADD,unNg5XYq8A,68664.93 
[64814] QUOTE,unNg5XYq8A,FOW 
[64828] SELL,unNg5XYq8A,RNK,221.88 
[64848] COMMIT_SELL,unNg5XYq8A 
[65050] DISPLAY_SUMMARY,unNg5XYq8A 
[65142] SET_BUY_TRIGGER,unNg5XYq8A,JUG,157.10 
[65217] DISPLAY_SUMMARY,unNg5XYq8A 
[65288] SET_SELL_TRIGGER,unNg5XYq8A,WDC,46.14 
[65424] ADD,unNg5XYq8A,58322.38 
[65444] BUY,unNg5XYq8A,RFI,222.08 
[65486] COMMIT_SELL,unNg5XYq8A 
[65513] CANCEL_SET_SELL,unNg5XYq8A,EGX 
[65656] ADD,unNg5XYq8A,77304.03 
[65725] QUOTE,unNg5XYq8A,GWS 
[65769] QUOTE,unNg5XYq8A,MGO 
[65864] CANCEL_SET_SELL,unNg5XYq8A,XZO 
[65975] SET_BUY_AMOUNT,unNg5XYq8A,CUZ,565.84 
[65976] SET_BUY_TRIGGER,unNg5XYq8A,GPL,328.96 
[66053] SET_BUY_TRIGGER,unNg5XYq8A,FVD,182.26 
[66116] SET_SELL_TRIGGER,unNg5XYq8A,QPE,10.60 
[66348] SET_SELL_AMOUNT,unNg5XYq8A,OPN,355.64 
[66363] SET_SELL_TRIGGER,unNg5XYq8A,OPN,223.71 
[66367] ADD,unNg5XYq8A,61971.55 
[66445] BUY,unNg5XYq8A,SYE,109.03 
[66476] COMMIT_BUY,unNg5XYq8A 
[66592] BUY,unNg5XYq8A,GTN,448.78 
[66828] COMMIT_BUY,unNg5XYq8A 
[67021] SET_SELL_AMOUNT,unNg5XYq8A,BCQ,332.28 
[67187] SET_SELL_TRIGGER,unNg5XYq8A,BCQ,161.78 
[67245] BUY,unNg5XYq8A,MUN,314.83 
[67264] SET_BUY_AMOUNT,unNg5XYq8A,OEY,701.80 
[67272] SET_BUY_TRIGGER,unNg5XYq8A,YWK,643.01 
[67292] SET_BUY_TRIGGER,unNg5XYq8A,FYA,119.43 
[67300] DISPLAY_SUMMARY,unNg5XYq8A 
[67370] SELL,unNg5XYq8A,ZYR,358.09 
[67427] COMMIT_SELL,unNg5XYq8A 
[67713] BUY,unNg5XYq8A,RJG,367.14 
[67735] QUOTE,unNg5XYq8A,WBL 
[67754] ADD,unNg5XYq8A,68941.39 
[67868] BUY,unNg5XYq8A,MIR,616.65 
[68011] CANCEL_BUY,unNg5XYq8A 
[68022] SET_SELL_TRIGGER,unNg5XYq8A,JGG,93.96 
[68035] SELL,unNg5XYq8A,OEY,550.24 
[68094] COMMIT_SELL,unNg5XYq8A 
[68110] CANCEL_SELL,unNg5XYq8A 
[68284] SET_SELL_AMOUNT,unNg5XYq8A,XXQ,436.77 
[68452] SET_SELL_TRIGGER,unNg5XYq8A,XXQ,258.05 
[68879] SELL,unNg5XYq8A,YJK,11.24 
[68953] COMMIT_SELL,unNg5XYq8A 
[69042] SET_BUY_AMOUNT,unNg5XYq8A,XXQ,740.78 
[69125] SET_BUY_TRIGGER,unNg5XYq8A,KZZ,434.07 
[69616] ADD,unNg5XYq8A,70034.40 
[69708] QUOTE,unNg5XYq8A,HHC 
[69854] CANCEL_SELL,unNg5XYq8A 
[69900] DISPLAY_SUMMARY,unNg5XYq8A 
[70003] SELL,unNg5XYq8A,QGE,311.30 
[70027] COMMIT_SELL,unNg5XYq8A 
[70374] SELL,unNg5XYq8A,JZJ,399.57 
[70598] COMMIT_SELL,unNg5XYq8A 
[70636] DISPLAY_SUMMARY,unNg5XYq8A 
[70698] ADD,unNg5XYq8A,45674.07 
[71011] BUY,unNg5XYq8A,JEO,525.19 
[71019] COMMIT_BUY,unNg5XYq8A 
[71141] SET_SELL_AMOUNT,unNg5XYq8A,KDA,177.11 
[71236] SET_SELL_TRIGGER,unNg5XYq8A,KDA,139.23 
[71307] ADD,unNg5XYq8A,71495.52 
[71321] BUY,unNg5XYq8A,UIE,705.30 
[71380] SET_BUY_AMOUNT,unNg5XYq8A,JCQ,47.88 
[71714] CANCEL_SET_BUY,unNg5XYq8A,ZJQ 
[71815] DISPLAY_SUMMARY,unNg5XYq8A 
[71897] SET_BUY_TRIGGER,unNg5XYq8A,CTI,61.66 
[71952] SET_SELL_TRIGGER,unNg5XYq8A,TTY,119.74 
[71960] QUOTE,unNg5XYq8A,QGE 
[72115] ADD,unNg5XYq8A,40605.73 
[72140] QUOTE,unNg5XYq8A,NDD 
[72167] BUY,unNg5XYq8A,EEG,388.07 
[72176] CANCEL_BUY,unNg5XYq8A 
[72267] QUOTE,unNg5XYq8A,ETB 
[72454] DISPLAY_SUMMARY,unNg5XYq8A 
[72455] SELL,unNg5XYq8A,KBN,369.57 
[72873] SET_BUY_AMOUNT,unNg5XYq8A,AVX,428.00 
[72919] SET_BUY_TRIGGER,unNg5XYq8A,FCH,414.96 
[73026] SET_SELL_TRIGGER,unNg5XYq8A,GMS,57.94 
[73111] QUOTE,unNg5XYq8A,MUN 
[73145] QUOTE,unNg5XYq8A,ZQW 
[73404] SET_BUY_TRIGGER,unNg5XYq8A,GAL,111.25 
[73409] SET_BUY_TRIGGER,unNg5XYq8A,AHO,124.67 
[73597] SET_BUY_AMOUNT,unNg5XYq8A,CSZ,285.38 
[73700] SET_BUY_TRIGGER,unNg5XYq8A,MOF,213.66 
[73817] SET_SELL_TRIGGER,unNg5XYq8A,ZWZ,121.17 
[73833] BUY,unNg5XYq8A,QAX,671.71 
[73944] SELL,unNg5XYq8A,ZYR,697.97 
[74008] COMMIT_SELL,unNg5XYq8A 
[74297] SELL,unNg5XYq8A,ZAN,485.45 
[74350] SET_SELL_TRIGGER,unNg5XYq8A,DRO,159.49 
[74385] SET_BUY_AMOUNT,unNg5XYq8A,XQC,240.73 
[74402] SET_BUY_TRIGGER,unNg5XYq8A,KDA,57.69 
[74521] SET_BUY_AMOUNT,unNg5XYq8A,GYF,670.42 
[74595] SET_BUY_TRIGGER,unNg5XYq8A,ROW,78.25 
[74673] QUOTE,unNg5XYq8A,QAX 
[74774] COMMIT_SELL,unNg5XYq8A 
[74878] BUY,unNg5XYq8A,ZTR,565.65 
[74895] COMMIT_BUY,unNg5XYq8A 
[75023] SET_SELL_AMOUNT,unNg5XYq8A,ZTI,344.90 
[75050] SET_SELL_TRIGGER,unNg5XYq8A,ZTI,106.23 
[75255] ADD,unNg5XYq8A,84319.11 
[75276] SET_BUY_AMOUNT,unNg5XYq8A,QJZ,587.35 
[75499] SET_BUY_TRIGGER,unNg5XYq8A,RVZ,562.19 
[75855] SET_BUY_TRIGGER,unNg5XYq8A,NGB,144.21 
[75897] CANCEL_SET_SELL,unNg5XYq8A,HBF 
[75908] ADD,unNg5XYq8A,84227.72 
[75991] BUY,unNg5XYq8A,XBL,25.98 
[76085] SET_SELL_AMOUNT,unNg5XYq8A,SUS,497.07 
[76183] SET_SELL_TRIGGER,unNg5XYq8A,SUS,24.65 
[76239] ADD,unNg5XYq8A,76215.30 
[76273] CANCEL_SET_BUY,unNg5XYq8A,EHF 
[76296] BUY,unNg5XYq8A,QQI,353.98 
[76311] CANCEL_SELL,unNg5XYq8A 
[76470] DISPLAY_SUMMARY,unNg5XYq8A 
[76745] ADD,unNg5XYq8A,64064.56 
[76804] QUOTE,unNg5XYq8A,NSN 
[76890] CANCEL_SET_SELL,unNg5XYq8A,BLC 
[76958] BUY,unNg5XYq8A,EUC,213.68 
[77019] DISPLAY_SUMMARY,unNg5XYq8A 
[77122] SET_BUY_TRIGGER,unNg5XYq8A,XUH,36.83 
[77174] ADD,unNg5XYq8A,61835.14 
[77229] QUOTE,unNg5XYq8A,XOM 
[77253] QUOTE,unNg5XYq8A,HHG 
[77412] BUY,unNg5XYq8A,NVX,564.93 
[77432] COMMIT_BUY,unNg5XYq8A 
[77456] ADD,unNg5XYq8A,73175.32 
[77499] QUOTE,unNg5XYq8A,JDO 
[77691] QUOTE,unNg5XYq8A,BFU 
[77844] BUY,unNg5XYq8A,OIV,104.57 
[77904] COMMIT_BUY,unNg5XYq8A 
[77995] BUY,unNg5XYq8A,IDN,271.58 
[78184] SET_BUY_TRIGGER,unNg5XYq8A,NJF,79.50 
[78247] ADD,unNg5XYq8A,74196.37 
[78322] BUY,unNg5XYq8A,YQC,538.23 
[78405] SET_SELL_AMOUNT,unNg5XYq8A,RGH,208.25 
[78413] SET_SELL_TRIGGER,unNg5XYq8A,RGH,125.04 
[78427] ADD,unNg5XYq8A,82617.88 
[78445] QUOTE,unNg5XYq8A,WAO 
[78508] DISPLAY_SUMMARY,unNg5XYq8A 
[78621] BUY,unNg5XYq8A,IGI,108.89 
[78707] COMMIT_BUY,unNg5XYq8A 
[78783] DISPLAY_SUMMARY,unNg5XYq8A 
[78913] DISPLAY_SUMMARY,unNg5XYq8A 
[79312] SET_BUY_AMOUNT,unNg5XYq8A,CUZ,404.96 
[79475] SET_BUY_TRIGGER,unNg5XYq8A,SCK,76.29 
[79929] ADD,unNg5XYq8A,64195.13 
[80106] QUOTE,unNg5XYq8A,QAX 
[80177] QUOTE,unNg5XYq8A,WYA 
[80229] QUOTE,unNg5XYq8A,OTQ 
[80238] QUOTE,unNg5XYq8A,MHI 
[80242] SET_BUY_TRIGGER,unNg5XYq8A,QWC,156.94 
[80245] ADD,unNg5XYq8A,58701.72 
[80355] BUY,unNg5XYq8A,XFW,347.06 
[80515] COMMIT_BUY,unNg5XYq8A 
[80561] SET_BUY_AMOUNT,unNg5XYq8A,QGE,38.80 
[80661] SELL,unNg5XYq8A,YDS,692.77 
[80719] COMMIT_SELL,unNg5XYq8A 
[80754] SELL,unNg5XYq8A,LFU,386.14 
[80811] COMMIT_SELL,unNg5XYq8A 
[80822] SET_SELL_TRIGGER,unNg5XYq8A,JSM,77.10 
[80859] BUY,unNg5XYq8A,CUQ,26.72 
[81002] CANCEL_SELL,unNg5XYq8A 
[81089] QUOTE,unNg5XYq8A,UTL 
[81252] QUOTE,unNg5XYq8A,VVO 
[81481] BUY,unNg5XYq8A,YUR,116.51 
[81730] BUY,unNg5XYq8A,YOQ,423.37 
[81849] COMMIT_BUY,unNg5XYq8A 
[81942] SET_SELL_TRIGGER,unNg5XYq8A,GLO,132.21 
[81983] QUOTE,unNg5XYq8A,VOY 
[82015] BUY,unNg5XYq8A,MLU,112.99 
[82222] COMMIT_BUY,unNg5XYq8A 
[82323] DISPLAY_SUMMARY,unNg5XYq8A 
[82326] SET_BUY_TRIGGER,unNg5XYq8A,XBL,23.45 
[82349] SET_BUY_TRIGGER,unNg5XYq8A,XER,87.48 
[82374] DISPLAY_SUMMARY,unNg5XYq8A 
[82607] DISPLAY_SUMMARY,unNg5XYq8A 
[82765] SELL,unNg5XYq8A,VTY,191.55 
[83040] COMMIT_SELL,unNg5XYq8A 
[83052] SELL,unNg5XYq8A,OPN,104.83 
[83063] COMMIT_SELL,unNg5XYq8A 
[83122] COMMIT_SELL,unNg5XYq8A 
[83137] ADD,unNg5XYq8A,64566.20 
[83159] BUY,unNg5XYq8A,LKK,567.92 
[83411] CANCEL_BUY,unNg5XYq8A 
[83417] ADD,unNg5XYq8A,77023.15 
[83527] BUY,unNg5XYq8A,VWU,173.28 
[83559] COMMIT_BUY,unNg5XYq8A 
[83658] BUY,unNg5XYq8A,MKE,484.72 
[83759] COMMIT_BUY,unNg5XYq8A 
[83866] SET_SELL_TRIGGER,unNg5XYq8A,FYA,24.35 
[83901] SET_BUY_TRIGGER,unNg5XYq8A,CJV,143.73 
[83909] CANCEL_SELL,unNg5XYq8A 
[83946] ADD,unNg5XYq8A,98377.79 
[83977] CANCEL_SELL,unNg5XYq8A 
[84018] COMMIT_BUY,unNg5XYq8A 
[84149] CANCEL_SET_BUY,unNg5XYq8A,IZS 
[84370] SET_BUY_AMOUNT,unNg5XYq8A,JZJ,489.93 
[84435] SET_BUY_TRIGGER,unNg5XYq8A,FYR,33.40 
[84527] DISPLAY_SUMMARY,unNg5XYq8A 
[84546] DISPLAY_SUMMARY,unNg5XYq8A 
[84693] BUY,unNg5XYq8A,OAS,685.72 
[84792] COMMIT_BUY,unNg5XYq8A 
[84936] SET_SELL_TRIGGER,unNg5XYq8A,QNW,28.78 
[85048] DISPLAY_SUMMARY,unNg5XYq8A 
[85193] QUOTE,unNg5XYq8A,FTJ 
[85243] BUY,unNg5XYq8A,POE,448.90 
[85303] SET_SELL_TRIGGER,unNg5XYq8A,NQU,69.15 
[85472] SET_BUY_TRIGGER,unNg5XYq8A,FVA,100.31 
[85498] SELL,unNg5XYq8A,YDS,523.54 
[85638] COMMIT_BUY,unNg5XYq8A 
[85642] ADD,unNg5XYq8A,64618.42 
[85661] BUY,unNg5XYq8A,SCK,581.51 
[85669] COMMIT_BUY,unNg5XYq8A 
[85705] DISPLAY_SUMMARY,unNg5XYq8A 
[85751] SET_SELL_AMOUNT,unNg5XYq8A,MWJ,477.65 
[86054] SET_SELL_TRIGGER,unNg5XYq8A,MWJ,471.16 
[86076] SELL,unNg5XYq8A,RNK,687.79 
[86250] COMMIT_SELL,unNg5XYq8A 
[86340] DISPLAY_SUMMARY,unNg5XYq8A 
[86421] ADD,unNg5XYq8A,60463.89 
[86481] BUY,unNg5XYq8A,JEA,45.33 
[86517] CANCEL_BUY,unNg5XYq8A 
[86538] DISPLAY_SUMMARY,unNg5XYq8A 
[86542] CANCEL_SET_SELL,unNg5XYq8A,EED 
[86908] SET_SELL_TRIGGER,unNg5XYq8A,SUS,96.96 
[86920] DISPLAY_SUMMARY,unNg5XYq8A 
[87090] BUY,unNg5XYq8A,LPR,220.84 
[87200] SET_SELL_AMOUNT,unNg5XYq8A,FDI,230.63 
[87298] SET_SELL_TRIGGER,unNg5XYq8A,FDI,78.77 
[87458] DISPLAY_SUMMARY,unNg5XYq8A 
[87510] ADD,unNg5XYq8A,57789.21 
[87617] QUOTE,unNg5XYq8A,NJB 
[87640] CANCEL_SET_SELL,unNg5XYq8A,QEO 
[87677] ADD,unNg5XYq8A,28134.24 
[87683] QUOTE,unNg5XYq8A,DQW 
[87712] QUOTE,unNg5XYq8A,NJF 
[87713] BUY,unNg5XYq8A,DBS,686.72 
[87742] COMMIT_BUY,unNg5XYq8A 
[87975] COMMIT_SELL,unNg5XYq8A 
[87978] SET_BUY_AMOUNT,unNg5XYq8A,CBO,440.72 
[88107] SET_BUY_TRIGGER,unNg5XYq8A,EWP,175.36 
[88478] ADD,unNg5XYq8A,66225.94 
[88654] COMMIT_BUY,unNg5XYq8A 
[88710] SET_SELL_TRIGGER,unNg5XYq8A,RFC,185.79 
[88790] BUY,unNg5XYq8A,NGG,58.94 
[89280] COMMIT_BUY,unNg5XYq8A 
[89291] ADD,unNg5XYq8A,60786.94 
[89459] QUOTE,unNg5XYq8A,MGK 
[89505] BUY,unNg5XYq8A,IGI,645.91 
[89559] COMMIT_BUY,unNg5XYq8A 
