[11] ADD,hBEPbg75Qp,80180.01 
[47953] COMMIT_SELL,hBEPbg75Qp 
[47954] ADD,hBEPbg75Qp,87693.80 
[47966] QUOTE,hBEPbg75Qp,FVZ 
[48013] BUY,hBEPbg75Qp,GNY,172.97 
[48061] BUY,hBEPbg75Qp,POE,150.62 
[48072] CANCEL_BUY,hBEPbg75Qp 
[48166] BUY,hBEPbg75Qp,MIQ,534.26 
[48352] COMMIT_BUY,hBEPbg75Qp 
[48385] SET_BUY_TRIGGER,hBEPbg75Qp,PXS,85.00 
[48451] SET_BUY_TRIGGER,hBEPbg75Qp,VZB,149.66 
[48483] SELL,hBEPbg75Qp,NHG,15.50 
[48547] COMMIT_SELL,hBEPbg75Qp 
[48634] QUOTE,hBEPbg75Qp,NVX 
[48642] SET_SELL_TRIGGER,hBEPbg75Qp,KAS,39.52 
[49080] CANCEL_SET_SELL,hBEPbg75Qp,TTY 
[49172] BUY,hBEPbg75Qp,YDS,451.75 
[49560] COMMIT_BUY,hBEPbg75Qp 
[49587] SET_BUY_AMOUNT,hBEPbg75Qp,GRM,642.26 
[49675] SET_BUY_TRIGGER,hBEPbg75Qp,PUO,504.89 
[49713] DISPLAY_SUMMARY,hBEPbg75Qp 
[49837] CANCEL_SET_SELL,hBEPbg75Qp,FWW 
[49882] SET_BUY_TRIGGER,hBEPbg75Qp,WJS,62.27 
[50072] SELL,hBEPbg75Qp,QAX,271.12 
[50133] BUY,hBEPbg75Qp,ZER,628.25 
[50183] COMMIT_BUY,hBEPbg75Qp 
[50241] SET_BUY_TRIGGER,hBEPbg75Qp,VUS,190.34 
[50431] BUY,hBEPbg75Qp,XPX,265.94 
[50470] COMMIT_BUY,hBEPbg75Qp 
[50714] SET_BUY_AMOUNT,hBEPbg75Qp,OEY,260.15 
[50826] SET_BUY_TRIGGER,hBEPbg75Qp,QEO,40.14 
[50958] SELL,hBEPbg75Qp,JCQ,666.77 
[50980] COMMIT_SELL,hBEPbg75Qp 
[51023] SET_SELL_TRIGGER,hBEPbg75Qp,JFF,37.52 
[51081] CANCEL_BUY,hBEPbg75Qp 
[51111] ADD,hBEPbg75Qp,65064.17 
[51434] COMMIT_SELL,hBEPbg75Qp 
[51478] DISPLAY_SUMMARY,hBEPbg75Qp 
[51535] SET_BUY_AMOUNT,hBEPbg75Qp,QAX,326.19 
[51639] SET_BUY_TRIGGER,hBEPbg75Qp,PUO,83.07 
[51685] QUOTE,hBEPbg75Qp,VWU 
[51702] DISPLAY_SUMMARY,hBEPbg75Qp 
[51815] SET_BUY_AMOUNT,hBEPbg75Qp,JZJ,701.86 
[51876] SET_BUY_TRIGGER,hBEPbg75Qp,SJG,144.38 
[51947] ADD,hBEPbg75Qp,80833.67 
[51954] QUOTE,hBEPbg75Qp,FFI 
[52087] QUOTE,hBEPbg75Qp,FWW 
[52248] QUOTE,hBEPbg75Qp,FYR 
[52317] COMMIT_SELL,hBEPbg75Qp 
[52450] ADD,hBEPbg75Qp,69034.17 
[52468] QUOTE,hBEPbg75Qp,SIK 
[52479] QUOTE,hBEPbg75Qp,LBC 
[52603] SET_SELL_AMOUNT,hBEPbg75Qp,VTY,700.88 
[52894] SET_SELL_TRIGGER,hBEPbg75Qp,VTY,219.45 
[52902] SELL,hBEPbg75Qp,JRJ,702.92 
[52946] COMMIT_SELL,hBEPbg75Qp 
[53012] QUOTE,hBEPbg75Qp,ZNY 
[53021] ADD,hBEPbg75Qp,78929.18 
[53085] SET_SELL_AMOUNT,hBEPbg75Qp,KES,668.03 
[53149] CANCEL_SET_SELL,hBEPbg75Qp,KES 
[53180] ADD,hBEPbg75Qp,76945.56 
[53238] BUY,hBEPbg75Qp,KHY,173.97 
[53422] QUOTE,hBEPbg75Qp,ZNY 
[53462] COMMIT_SELL,hBEPbg75Qp 
[53543] SET_BUY_TRIGGER,hBEPbg75Qp,HIN,161.65 
[53635] ADD,hBEPbg75Qp,56343.90 
[53657] COMMIT_BUY,hBEPbg75Qp 
[53660] ADD,hBEPbg75Qp,51907.80 
[53663] BUY,hBEPbg75Qp,NKC,195.75 
[53684] COMMIT_BUY,hBEPbg75Qp 
[53724] ADD,hBEPbg75Qp,61519.24 
[53792] BUY,hBEPbg75Qp,BRZ,422.09 
[53840] COMMIT_BUY,hBEPbg75Qp 
[54304] QUOTE,hBEPbg75Qp,WLT 
[54406] COMMIT_SELL,hBEPbg75Qp 
[54524] DISPLAY_SUMMARY,hBEPbg75Qp 
[55594] SET_BUY_AMOUNT,hBEPbg75Qp,VTY,614.47 
[55815] SET_BUY_TRIGGER,hBEPbg75Qp,XWZ,500.82 
[55941] ADD,hBEPbg75Qp,73721.14 
[56010] QUOTE,hBEPbg75Qp,LUT 
[56184] QUOTE,hBEPbg75Qp,PWK 
[56257] QUOTE,hBEPbg75Qp,QPZ 
[56259] QUOTE,hBEPbg75Qp,AVX 
[56286] BUY,hBEPbg75Qp,PVH,570.70 
[56484] CANCEL_BUY,hBEPbg75Qp 
[56539] SET_BUY_AMOUNT,hBEPbg75Qp,JCQ,604.86 
[56628] SET_BUY_TRIGGER,hBEPbg75Qp,LKK,35.53 
[56844] ADD,hBEPbg75Qp,78145.96 
[56976] CANCEL_SELL,hBEPbg75Qp 
[57386] QUOTE,hBEPbg75Qp,QUT 
[57426] BUY,hBEPbg75Qp,PTP,188.91 
[57445] BUY,hBEPbg75Qp,QXW,191.11 
[57465] SET_SELL_AMOUNT,hBEPbg75Qp,OEY,536.58 
[57646] SET_SELL_TRIGGER,hBEPbg75Qp,OEY,454.01 
[57730] SET_SELL_AMOUNT,hBEPbg75Qp,KES,310.61 
[57749] SET_SELL_TRIGGER,hBEPbg75Qp,KES,67.39 
[57781] DISPLAY_SUMMARY,hBEPbg75Qp 
[58002] CANCEL_SET_SELL,hBEPbg75Qp,PFN 
[58194] BUY,hBEPbg75Qp,VEX,484.02 
[58320] COMMIT_BUY,hBEPbg75Qp 
[58369] SET_SELL_AMOUNT,hBEPbg75Qp,QJZ,128.71 
[58502] SET_SELL_TRIGGER,hBEPbg75Qp,QJZ,68.38 
[58552] QUOTE,hBEPbg75Qp,OHS 
[58597] ADD,hBEPbg75Qp,72362.23 
[58823] QUOTE,hBEPbg75Qp,RXB 
[58843] QUOTE,hBEPbg75Qp,TTY 
[58926] ADD,hBEPbg75Qp,72829.03 
[58975] CANCEL_SET_BUY,hBEPbg75Qp,ENQ 
[59171] QUOTE,hBEPbg75Qp,JMX 
[59172] BUY,hBEPbg75Qp,WYA,106.24 
[59186] QUOTE,hBEPbg75Qp,KHY 
[59325] ADD,hBEPbg75Qp,78956.75 
[59333] QUOTE,hBEPbg75Qp,AAC 
[59358] QUOTE,hBEPbg75Qp,XFH 
[59542] BUY,hBEPbg75Qp,GLO,604.34 
[59600] COMMIT_BUY,hBEPbg75Qp 
[60032] SET_BUY_TRIGGER,hBEPbg75Qp,BOS,120.63 
[60097] SET_BUY_TRIGGER,hBEPbg75Qp,LZB,125.41 
[60109] SELL,hBEPbg75Qp,JVT,554.18 
[60142] COMMIT_SELL,hBEPbg75Qp 
[60225] SET_SELL_AMOUNT,hBEPbg75Qp,RUN,257.21 
[60252] SET_SELL_TRIGGER,hBEPbg75Qp,RUN,146.19 
[60291] SET_SELL_AMOUNT,hBEPbg75Qp,AVX,704.61 
[60349] SET_SELL_TRIGGER,hBEPbg75Qp,AVX,328.40 
[60489] SET_BUY_TRIGGER,hBEPbg75Qp,FOV,140.45 
[60553] SET_SELL_AMOUNT,hBEPbg75Qp,CSZ,742.57 
[60742] CANCEL_SET_SELL,hBEPbg75Qp,CSZ 
[60751] ADD,hBEPbg75Qp,63835.07 
[60836] BUY,hBEPbg75Qp,EEG,355.62 
[60923] SET_BUY_AMOUNT,hBEPbg75Qp,RNK,522.48 
[60926] BUY,hBEPbg75Qp,ZAO,402.18 
[61206] COMMIT_SELL,hBEPbg75Qp 
[61452] DISPLAY_SUMMARY,hBEPbg75Qp 
[61943] SET_BUY_AMOUNT,hBEPbg75Qp,CEC,106.81 
[62151] SELL,hBEPbg75Qp,OPN,747.32 
[62213] COMMIT_SELL,hBEPbg75Qp 
[62215] SET_SELL_AMOUNT,hBEPbg75Qp,KES,415.99 
[62287] SET_SELL_TRIGGER,hBEPbg75Qp,KES,281.27 
[62342] SET_BUY_TRIGGER,hBEPbg75Qp,CBQ,0.53 
[62435] SELL,hBEPbg75Qp,KDA,33.75 
[62612] CANCEL_SELL,hBEPbg75Qp 
[62644] QUOTE,hBEPbg75Qp,QAA 
[62752] QUOTE,hBEPbg75Qp,NQU 
[62813] COMMIT_SELL,hBEPbg75Qp 
[62829] SET_BUY_AMOUNT,hBEPbg75Qp,UTV,711.10 
[62869] SET_BUY_TRIGGER,hBEPbg75Qp,HHC,226.95 
[62919] BUY,hBEPbg75Qp,VNO,647.43 
[63078] COMMIT_BUY,hBEPbg75Qp 
[63303] SET_BUY_AMOUNT,hBEPbg75Qp,FDI,564.21 
[63328] BUY,hBEPbg75Qp,LSG,235.92 
[63518] BUY,hBEPbg75Qp,IJO,694.50 
[63545] COMMIT_BUY,hBEPbg75Qp 
[63578] DISPLAY_SUMMARY,hBEPbg75Qp 
[63677] SET_SELL_TRIGGER,hBEPbg75Qp,NHG,127.83 
[63837] ADD,hBEPbg75Qp,56605.44 
[63866] SET_BUY_TRIGGER,hBEPbg75Qp,BZX,269.75 
[63886] DISPLAY_SUMMARY,hBEPbg75Qp 
[63980] SET_SELL_AMOUNT,hBEPbg75Qp,FDI,695.94 
[64170] SET_SELL_TRIGGER,hBEPbg75Qp,FDI,562.04 
[64344] CANCEL_SET_SELL,hBEPbg75Qp,LPR 
[64445] ADD,hBEPbg75Qp,63908.74 
[64453] QUOTE,hBEPbg75Qp,PSJ 
[64489] BUY,hBEPbg75Qp,QBD,623.14 
[64831] COMMIT_BUY,hBEPbg75Qp 
[64839] SET_SELL_TRIGGER,hBEPbg75Qp,XDN,63.53 
[64905] ADD,hBEPbg75Qp,50176.37 
[65109] QUOTE,hBEPbg75Qp,IVV 
[65178] DISPLAY_SUMMARY,hBEPbg75Qp 
[65218] ADD,hBEPbg75Qp,67788.35 
[65485] BUY,hBEPbg75Qp,YBO,699.33 
[65731] CANCEL_SET_SELL,hBEPbg75Qp,ZCG 
[65907] QUOTE,hBEPbg75Qp,RKQ 
[65947] BUY,hBEPbg75Qp,OZW,373.72 
[65982] CANCEL_SELL,hBEPbg75Qp 
[66061] ADD,hBEPbg75Qp,60161.49 
[66138] QUOTE,hBEPbg75Qp,GPC 
[66244] SET_BUY_TRIGGER,hBEPbg75Qp,UEC,49.67 
[66251] ADD,hBEPbg75Qp,66528.87 
[66316] QUOTE,hBEPbg75Qp,PJJ 
[66447] SET_BUY_AMOUNT,hBEPbg75Qp,JCQ,668.54 
[66451] SET_BUY_TRIGGER,hBEPbg75Qp,PZE,182.00 
[66480] SET_SELL_AMOUNT,hBEPbg75Qp,RNK,23.41 
[66604] BUY,hBEPbg75Qp,PDX,431.15 
[66646] COMMIT_BUY,hBEPbg75Qp 
[66725] DISPLAY_SUMMARY,hBEPbg75Qp 
[66850] DISPLAY_SUMMARY,hBEPbg75Qp 
[67515] ADD,hBEPbg75Qp,80580.58 
[67550] CANCEL_SET_SELL,hBEPbg75Qp,RNK 
[67594] SET_SELL_TRIGGER,hBEPbg75Qp,PJJ,167.17 
[67664] SET_BUY_TRIGGER,hBEPbg75Qp,DWK,5.53 
[67771] SELL,hBEPbg75Qp,KYX,589.17 
[67825] SET_SELL_AMOUNT,hBEPbg75Qp,UTV,24.71 
[67831] SET_SELL_TRIGGER,hBEPbg75Qp,UTV,17.15 
[67885] BUY,hBEPbg75Qp,NGZ,271.03 
[67920] COMMIT_BUY,hBEPbg75Qp 
[67923] SET_BUY_TRIGGER,hBEPbg75Qp,ADY,0.71 
[67959] SELL,hBEPbg75Qp,KES,588.75 
[68197] COMMIT_BUY,hBEPbg75Qp 
[68223] ADD,hBEPbg75Qp,34411.78 
[68316] BUY,hBEPbg75Qp,QGE,213.52 
[68416] CANCEL_BUY,hBEPbg75Qp 
[68517] SET_SELL_AMOUNT,hBEPbg75Qp,QJZ,526.53 
[68635] SET_SELL_TRIGGER,hBEPbg75Qp,QJZ,353.49 
[68798] SELL,hBEPbg75Qp,QGE,456.71 
[68938] COMMIT_SELL,hBEPbg75Qp 
[68981] SET_BUY_TRIGGER,hBEPbg75Qp,OOI,71.96 
[69146] SET_BUY_AMOUNT,hBEPbg75Qp,KDA,582.98 
[69196] SET_BUY_TRIGGER,hBEPbg75Qp,IKK,464.03 
[69315] ADD,hBEPbg75Qp,85439.51 
[69367] QUOTE,hBEPbg75Qp,QTH 
[69437] SET_BUY_TRIGGER,hBEPbg75Qp,EEG,68.59 
[69441] BUY,hBEPbg75Qp,AJL,205.12 
[69584] COMMIT_BUY,hBEPbg75Qp 
[69626] DISPLAY_SUMMARY,hBEPbg75Qp 
[69714] SET_BUY_AMOUNT,hBEPbg75Qp,ZTI,250.47 
[69852] CANCEL_SET_BUY,hBEPbg75Qp,SCW 
[69905] SET_SELL_TRIGGER,hBEPbg75Qp,TTV,34.24 
[70042] ADD,hBEPbg75Qp,84546.60 
[70156] SET_SELL_TRIGGER,hBEPbg75Qp,MHI,135.88 
[70502] SELL,hBEPbg75Qp,BCQ,618.23 
[70514] COMMIT_SELL,hBEPbg75Qp 
[70643] SET_SELL_TRIGGER,hBEPbg75Qp,JDO,53.27 
[70781] CANCEL_SET_SELL,hBEPbg75Qp,WAO 
[70893] SET_SELL_AMOUNT,hBEPbg75Qp,FDI,373.04 
[70955] SET_SELL_TRIGGER,hBEPbg75Qp,FDI,58.13 
[71167] DISPLAY_SUMMARY,hBEPbg75Qp 
[71279] QUOTE,hBEPbg75Qp,KAO 
[71349] QUOTE,hBEPbg75Qp,BUL 
[71387] QUOTE,hBEPbg75Qp,CTS 
[71423] QUOTE,hBEPbg75Qp,OHS 
[71626] SET_BUY_TRIGGER,hBEPbg75Qp,IRQ,140.59 
[71745] SELL,hBEPbg75Qp,GYF,623.96 
[71752] COMMIT_SELL,hBEPbg75Qp 
[71820] ADD,hBEPbg75Qp,86904.50 
[71830] DISPLAY_SUMMARY,hBEPbg75Qp 
[71835] QUOTE,hBEPbg75Qp,WJP 
[71877] SET_SELL_TRIGGER,hBEPbg75Qp,TAR,9.29 
[71987] BUY,hBEPbg75Qp,DNJ,536.03 
[72139] COMMIT_BUY,hBEPbg75Qp 
[72200] DISPLAY_SUMMARY,hBEPbg75Qp 
[72327] SET_BUY_TRIGGER,hBEPbg75Qp,ZCQ,26.00 
[72358] BUY,hBEPbg75Qp,PNP,165.09 
[72362] QUOTE,hBEPbg75Qp,GUW 
[72575] BUY,hBEPbg75Qp,XEA,444.36 
[72608] COMMIT_BUY,hBEPbg75Qp 
[72645] ADD,hBEPbg75Qp,68452.37 
[72687] BUY,hBEPbg75Qp,ZCQ,354.36 
[72769] CANCEL_SET_BUY,hBEPbg75Qp,KZQ 
[72788] DISPLAY_SUMMARY,hBEPbg75Qp 
[72893] QUOTE,hBEPbg75Qp,SQO 
[73024] BUY,hBEPbg75Qp,WRJ,1.86 
[73063] COMMIT_BUY,hBEPbg75Qp 
[73164] SET_BUY_TRIGGER,hBEPbg75Qp,KCS,199.14 
[73218] SELL,hBEPbg75Qp,RUN,365.66 
[73227] CANCEL_SET_SELL,hBEPbg75Qp,YEH 
[73251] BUY,hBEPbg75Qp,ZDB,306.33 
[73451] COMMIT_BUY,hBEPbg75Qp 
[73544] BUY,hBEPbg75Qp,RRE,237.46 
[73618] SET_SELL_AMOUNT,hBEPbg75Qp,JZJ,55.22 
[73684] SET_SELL_TRIGGER,hBEPbg75Qp,JZJ,40.13 
[73731] SET_BUY_TRIGGER,hBEPbg75Qp,AOC,165.64 
[73769] SET_SELL_TRIGGER,hBEPbg75Qp,NJB,56.88 
[73795] ADD,hBEPbg75Qp,82830.66 
[73800] BUY,hBEPbg75Qp,YNH,249.56 
[74010] COMMIT_BUY,hBEPbg75Qp 
[74024] BUY,hBEPbg75Qp,SAR,18.93 
[74066] CANCEL_SET_SELL,hBEPbg75Qp,EWP 
[74089] SET_BUY_TRIGGER,hBEPbg75Qp,DHA,50.65 
[74123] SELL,hBEPbg75Qp,FQP,349.10 
[74155] COMMIT_SELL,hBEPbg75Qp 
[74740] SET_SELL_TRIGGER,hBEPbg75Qp,WDC,131.55 
[74759] BUY,hBEPbg75Qp,DWX,148.28 
[74761] COMMIT_BUY,hBEPbg75Qp 
[74869] SET_BUY_AMOUNT,hBEPbg75Qp,AVX,18.48 
[75037] SET_BUY_TRIGGER,hBEPbg75Qp,YMG,4.28 
[75045] SELL,hBEPbg75Qp,BYA,221.85 
[75153] SET_BUY_TRIGGER,hBEPbg75Qp,LMB,68.06 
[75243] SELL,hBEPbg75Qp,QJZ,407.78 
[75254] BUY,hBEPbg75Qp,WZY,684.26 
[75257] CANCEL_BUY,hBEPbg75Qp 
[75260] SET_BUY_AMOUNT,hBEPbg75Qp,QVK,712.72 
[75310] SET_BUY_TRIGGER,hBEPbg75Qp,PMG,396.80 
[75347] SET_BUY_AMOUNT,hBEPbg75Qp,YJK,697.22 
[75379] DISPLAY_SUMMARY,hBEPbg75Qp 
[75611] ADD,hBEPbg75Qp,102593.04 
[75612] COMMIT_BUY,hBEPbg75Qp 
[75792] SET_BUY_TRIGGER,hBEPbg75Qp,FDI,483.30 
[75860] QUOTE,hBEPbg75Qp,VVV 
[75972] CANCEL_BUY,hBEPbg75Qp 
[76094] SELL,hBEPbg75Qp,XQC,655.45 
[76297] COMMIT_BUY,hBEPbg75Qp 
[76306] ADD,hBEPbg75Qp,78587.44 
[76407] CANCEL_SELL,hBEPbg75Qp 
[76443] SET_SELL_TRIGGER,hBEPbg75Qp,COE,26.72 
[76555] SET_BUY_TRIGGER,hBEPbg75Qp,MGO,87.73 
[76654] CANCEL_SELL,hBEPbg75Qp 
[76826] SELL,hBEPbg75Qp,KES,152.82 
[76967] COMMIT_SELL,hBEPbg75Qp 
[76969] SET_BUY_AMOUNT,hBEPbg75Qp,TKM,147.77 
[76996] SET_BUY_TRIGGER,hBEPbg75Qp,PDB,51.33 
[77140] DISPLAY_SUMMARY,hBEPbg75Qp 
[77208] DISPLAY_SUMMARY,hBEPbg75Qp 
[77447] BUY,hBEPbg75Qp,FLD,124.80 
[77712] SET_SELL_TRIGGER,hBEPbg75Qp,HPN,87.78 
[77766] DISPLAY_SUMMARY,hBEPbg75Qp 
[77966] BUY,hBEPbg75Qp,SCK,677.00 
[77978] COMMIT_BUY,hBEPbg75Qp 
[78283] SET_SELL_AMOUNT,hBEPbg75Qp,QJZ,214.73 
[78361] SET_SELL_TRIGGER,hBEPbg75Qp,QJZ,97.81 
[78651] ADD,hBEPbg75Qp,74955.58 
[78820] BUY,hBEPbg75Qp,LZV,189.71 
[78842] CANCEL_SET_SELL,hBEPbg75Qp,FPI 
[78907] DISPLAY_SUMMARY,hBEPbg75Qp 
[79022] SELL,hBEPbg75Qp,MFX,245.75 
[79210] DISPLAY_SUMMARY,hBEPbg75Qp 
[79508] SET_BUY_TRIGGER,hBEPbg75Qp,FTJ,184.01 
[79616] SET_BUY_AMOUNT,hBEPbg75Qp,QAX,406.47 
[79888] SET_BUY_TRIGGER,hBEPbg75Qp,SYU,190.15 
[79932] SELL,hBEPbg75Qp,JCQ,704.29 
[80007] CANCEL_SET_BUY,hBEPbg75Qp,XPX 
[80018] BUY,hBEPbg75Qp,GAL,160.29 
[80076] CANCEL_BUY,hBEPbg75Qp 
[80124] DISPLAY_SUMMARY,hBEPbg75Qp 
[80346] COMMIT_SELL,hBEPbg75Qp 
[80482] BUY,hBEPbg75Qp,NJF,593.07 
[80717] QUOTE,hBEPbg75Qp,OYX 
[80721] CANCEL_BUY,hBEPbg75Qp 
[80794] ADD,hBEPbg75Qp,82811.49 
[81006] BUY,hBEPbg75Qp,SAJ,21.30 
[81129] COMMIT_BUY,hBEPbg75Qp 
[81151] SELL,hBEPbg75Qp,AJR,379.63 
[81166] COMMIT_SELL,hBEPbg75Qp 
[81209] SELL,hBEPbg75Qp,JZJ,347.97 
[81324] COMMIT_SELL,hBEPbg75Qp 
[81325] DISPLAY_SUMMARY,hBEPbg75Qp 
[81454] DISPLAY_SUMMARY,hBEPbg75Qp 
[81461] SET_SELL_TRIGGER,hBEPbg75Qp,AJL,107.53 
[81497] SELL,hBEPbg75Qp,RUN,312.59 
[81611] COMMIT_SELL,hBEPbg75Qp 
[81689] ADD,hBEPbg75Qp,95604.35 
[81887] DISPLAY_SUMMARY,hBEPbg75Qp 
[82213] DISPLAY_SUMMARY,hBEPbg75Qp 
[82393] BUY,hBEPbg75Qp,BFB,109.75 
[82558] COMMIT_BUY,hBEPbg75Qp 
[82620] BUY,hBEPbg75Qp,VSE,306.43 
[82643] SET_SELL_AMOUNT,hBEPbg75Qp,VTY,412.86 
[82817] SET_SELL_TRIGGER,hBEPbg75Qp,VTY,153.32 
[82902] SET_SELL_TRIGGER,hBEPbg75Qp,WZY,172.60 
[82925] CANCEL_BUY,hBEPbg75Qp 
[83118] DISPLAY_SUMMARY,hBEPbg75Qp 
[83334] DISPLAY_SUMMARY,hBEPbg75Qp 
[83550] QUOTE,hBEPbg75Qp,BRZ 
[83636] SET_BUY_AMOUNT,hBEPbg75Qp,KYX,151.08 
[83664] SET_BUY_TRIGGER,hBEPbg75Qp,ZQC,3.09 
[83686] ADD,hBEPbg75Qp,36671.05 
[83802] QUOTE,hBEPbg75Qp,DES 
[83808] QUOTE,hBEPbg75Qp,ALV 
[83829] BUY,hBEPbg75Qp,VQA,585.61 
[83846] COMMIT_BUY,hBEPbg75Qp 
[83849] SET_BUY_TRIGGER,hBEPbg75Qp,EEG,152.57 
[83937] SELL,hBEPbg75Qp,IQJ,134.86 
[83947] ADD,hBEPbg75Qp,37366.64 
[84020] BUY,hBEPbg75Qp,SKV,721.29 
[84109] COMMIT_BUY,hBEPbg75Qp 
[84209] DISPLAY_SUMMARY,hBEPbg75Qp 
[84222] CANCEL_SELL,hBEPbg75Qp 
[84714] QUOTE,hBEPbg75Qp,VIK 
[84725] SET_SELL_AMOUNT,hBEPbg75Qp,SUS,166.73 
[84738] SET_SELL_TRIGGER,hBEPbg75Qp,SUS,52.77 
[84820] DISPLAY_SUMMARY,hBEPbg75Qp 
[85176] ADD,hBEPbg75Qp,88001.10 
[85183] CANCEL_SELL,hBEPbg75Qp 
[85196] ADD,hBEPbg75Qp,86169.01 
[85271] COMMIT_SELL,hBEPbg75Qp 
[85505] SET_BUY_AMOUNT,hBEPbg75Qp,CUZ,275.24 
[85517] SET_BUY_TRIGGER,hBEPbg75Qp,NGB,233.91 
[85554] QUOTE,hBEPbg75Qp,ZLY 
[85593] BUY,hBEPbg75Qp,YBP,705.99 
[85655] COMMIT_BUY,hBEPbg75Qp 
[85726] SELL,hBEPbg75Qp,ZAN,99.75 
[85886] COMMIT_SELL,hBEPbg75Qp 
[85948] BUY,hBEPbg75Qp,FLY,684.89 
[86058] COMMIT_BUY,hBEPbg75Qp 
[86144] DISPLAY_SUMMARY,hBEPbg75Qp 
[86167] QUOTE,hBEPbg75Qp,KZZ 
[86780] CANCEL_SET_SELL,hBEPbg75Qp,QAX 
[87009] DISPLAY_SUMMARY,hBEPbg75Qp 
[87136] SET_BUY_AMOUNT,hBEPbg75Qp,IQJ,309.23 
[87182] CANCEL_SET_BUY,hBEPbg75Qp,IGT 
[87271] SET_SELL_TRIGGER,hBEPbg75Qp,MZT,23.22 
[87290] DISPLAY_SUMMARY,hBEPbg75Qp 
[87336] DISPLAY_SUMMARY,hBEPbg75Qp 
[87421] SELL,hBEPbg75Qp,IFN,274.80 
[87829] COMMIT_SELL,hBEPbg75Qp 
[87928] SET_SELL_AMOUNT,hBEPbg75Qp,SSF,95.07 
[87995] SET_SELL_TRIGGER,hBEPbg75Qp,SSF,19.34 
[88101] BUY,hBEPbg75Qp,PCR,281.31 
[88230] COMMIT_BUY,hBEPbg75Qp 
[88670] BUY,hBEPbg75Qp,YIU,439.08 
[88705] SET_BUY_TRIGGER,hBEPbg75Qp,SZI,47.86 
[88788] DISPLAY_SUMMARY,hBEPbg75Qp 
[88823] SET_BUY_TRIGGER,hBEPbg75Qp,ELQ,82.16 
[88970] SELL,hBEPbg75Qp,XLK,102.44 
[89337] COMMIT_SELL,hBEPbg75Qp 
[89453] ADD,hBEPbg75Qp,87839.82 
[89893] QUOTE,hBEPbg75Qp,RVU 
[89894] CANCEL_BUY,hBEPbg75Qp 
[89899] SET_SELL_TRIGGER,hBEPbg75Qp,FGF,176.40 
[90034] SELL,hBEPbg75Qp,UIE,368.88 
[90109] COMMIT_SELL,hBEPbg75Qp 
[90188] SET_SELL_AMOUNT,hBEPbg75Qp,JVT,718.64 
[90283] SET_SELL_TRIGGER,hBEPbg75Qp,JVT,472.60 
[90288] SELL,hBEPbg75Qp,UBJ,180.49 
[90364] SET_BUY_TRIGGER,hBEPbg75Qp,LKV,24.63 
[90389] SET_BUY_AMOUNT,hBEPbg75Qp,UTV,739.90 
[90407] SET_BUY_TRIGGER,hBEPbg75Qp,HQU,446.05 
[90460] SELL,hBEPbg75Qp,LZV,85.87 
[90567] COMMIT_SELL,hBEPbg75Qp 
[90627] SET_BUY_AMOUNT,hBEPbg75Qp,EBS,205.40 
[90800] SET_BUY_TRIGGER,hBEPbg75Qp,JII,71.43 
[90890] BUY,hBEPbg75Qp,YNY,188.23 
[90966] CANCEL_BUY,hBEPbg75Qp 
[90996] DISPLAY_SUMMARY,hBEPbg75Qp 
[91036] SELL,hBEPbg75Qp,JQO,237.28 
[91269] CANCEL_SELL,hBEPbg75Qp 
[91551] SET_SELL_AMOUNT,hBEPbg75Qp,JVT,119.11 
[91686] SELL,hBEPbg75Qp,HTD,108.71 
[91887] COMMIT_SELL,hBEPbg75Qp 
[92046] QUOTE,hBEPbg75Qp,KRY 
[92047] SET_BUY_AMOUNT,hBEPbg75Qp,JZJ,5.22 
[92060] SET_BUY_TRIGGER,hBEPbg75Qp,OAV,3.49 
[92126] QUOTE,hBEPbg75Qp,BBD 
[92199] ADD,hBEPbg75Qp,52921.37 
[92240] QUOTE,hBEPbg75Qp,JZJ 
[92353] SET_SELL_TRIGGER,hBEPbg75Qp,JVT,18.81 
[92427] ADD,hBEPbg75Qp,82592.74 
[92478] BUY,hBEPbg75Qp,DXQ,9.16 
[92519] SET_BUY_TRIGGER,hBEPbg75Qp,UGT,17.56 
[92683] CANCEL_BUY,hBEPbg75Qp 
[92748] QUOTE,hBEPbg75Qp,UFX 
[92774] CANCEL_SELL,hBEPbg75Qp 
[92980] SELL,hBEPbg75Qp,GRM,738.49 
[93042] COMMIT_SELL,hBEPbg75Qp 
[93046] SET_BUY_AMOUNT,hBEPbg75Qp,KDA,209.58 
[93048] SET_BUY_TRIGGER,hBEPbg75Qp,XXQ,178.47 
[93098] SELL,hBEPbg75Qp,FQP,412.61 
[93163] COMMIT_SELL,hBEPbg75Qp 
[93322] ADD,hBEPbg75Qp,57417.67 
[93361] QUOTE,hBEPbg75Qp,OTQ 
[93534] BUY,hBEPbg75Qp,NDO,719.82 
[93539] ADD,hBEPbg75Qp,75275.65 
[93602] BUY,hBEPbg75Qp,MXD,710.83 
[93611] COMMIT_BUY,hBEPbg75Qp 
[93690] ADD,hBEPbg75Qp,80812.78 
[93711] QUOTE,hBEPbg75Qp,NTB 
[93753] QUOTE,hBEPbg75Qp,JNO 
[93925] QUOTE,hBEPbg75Qp,CCH 
[93943] CANCEL_BUY,hBEPbg75Qp 
[93971] SELL,hBEPbg75Qp,UIE,743.66 
[93996] COMMIT_SELL,hBEPbg75Qp 
[94135] SELL,hBEPbg75Qp,MXD,218.26 
