[90] ADD,kcrL7pVjFP,67187.33 
[46611] CANCEL_SET_BUY,kcrL7pVjFP,UHO 
[46933] SET_BUY_AMOUNT,kcrL7pVjFP,SUS,454.19 
[47026] QUOTE,kcrL7pVjFP,HGG 
[47029] ADD,kcrL7pVjFP,82769.79 
[47090] CANCEL_SET_BUY,kcrL7pVjFP,MVQ 
[47097] ADD,kcrL7pVjFP,63416.60 
[47174] QUOTE,kcrL7pVjFP,WLT 
[47263] BUY,kcrL7pVjFP,POI,202.10 
[47325] COMMIT_BUY,kcrL7pVjFP 
[47350] QUOTE,kcrL7pVjFP,DJD 
[47361] BUY,kcrL7pVjFP,PST,716.70 
[47471] COMMIT_BUY,kcrL7pVjFP 
[47651] SET_BUY_AMOUNT,kcrL7pVjFP,DFE,310.55 
[48102] SET_BUY_TRIGGER,kcrL7pVjFP,RUN,170.73 
[48185] DISPLAY_SUMMARY,kcrL7pVjFP 
[48361] SELL,kcrL7pVjFP,SUS,652.73 
[48383] COMMIT_SELL,kcrL7pVjFP 
[48666] ADD,kcrL7pVjFP,69875.60 
[48823] BUY,kcrL7pVjFP,GRM,436.16 
[48871] COMMIT_BUY,kcrL7pVjFP 
[48925] BUY,kcrL7pVjFP,VBO,64.05 
[49015] COMMIT_BUY,kcrL7pVjFP 
[49049] ADD,kcrL7pVjFP,72323.06 
[49164] BUY,kcrL7pVjFP,ZQC,157.39 
[49201] ADD,kcrL7pVjFP,56974.29 
[49340] QUOTE,kcrL7pVjFP,BMQ 
[49428] QUOTE,kcrL7pVjFP,ZMA 
[49476] SET_BUY_TRIGGER,kcrL7pVjFP,BFL,43.06 
[49530] DISPLAY_SUMMARY,kcrL7pVjFP 
[49937] DISPLAY_SUMMARY,kcrL7pVjFP 
[49993] SET_BUY_TRIGGER,kcrL7pVjFP,EDM,102.01 
[50031] QUOTE,kcrL7pVjFP,GQV 
[50034] BUY,kcrL7pVjFP,OWH,328.23 
[50246] COMMIT_BUY,kcrL7pVjFP 
[50325] ADD,kcrL7pVjFP,80780.58 
[50339] QUOTE,kcrL7pVjFP,IHA 
[50343] SELL,kcrL7pVjFP,UTV,715.30 
[50529] QUOTE,kcrL7pVjFP,TKV 
[50684] BUY,kcrL7pVjFP,STQ,238.04 
[50737] COMMIT_BUY,kcrL7pVjFP 
[50764] SET_SELL_AMOUNT,kcrL7pVjFP,JVT,14.86 
[50908] BUY,kcrL7pVjFP,HEJ,615.78 
[50912] COMMIT_BUY,kcrL7pVjFP 
[50930] SET_BUY_AMOUNT,kcrL7pVjFP,RUN,744.52 
[50987] QUOTE,kcrL7pVjFP,KLE 
[51020] SET_BUY_TRIGGER,kcrL7pVjFP,KGA,504.84 
[51202] DISPLAY_SUMMARY,kcrL7pVjFP 
[51403] SET_BUY_AMOUNT,kcrL7pVjFP,QAX,38.43 
[51442] SET_BUY_TRIGGER,kcrL7pVjFP,DDA,27.84 
[51551] SET_BUY_TRIGGER,kcrL7pVjFP,NLT,13.36 
[51572] DISPLAY_SUMMARY,kcrL7pVjFP 
[51587] QUOTE,kcrL7pVjFP,GKD 
[51666] BUY,kcrL7pVjFP,VMD,111.42 
[51701] CANCEL_SET_SELL,kcrL7pVjFP,JVT 
[51752] ADD,kcrL7pVjFP,58895.55 
[51814] QUOTE,kcrL7pVjFP,OZT 
[51873] SET_BUY_AMOUNT,kcrL7pVjFP,LFU,714.61 
[51957] SET_BUY_TRIGGER,kcrL7pVjFP,OZT,69.21 
[52039] SELL,kcrL7pVjFP,JVT,407.90 
[52044] SET_SELL_TRIGGER,kcrL7pVjFP,ZGR,152.31 
[52063] QUOTE,kcrL7pVjFP,NJT 
[52067] SET_BUY_AMOUNT,kcrL7pVjFP,AVX,458.60 
[52285] SET_BUY_TRIGGER,kcrL7pVjFP,UUJ,161.34 
[52307] SET_BUY_AMOUNT,kcrL7pVjFP,QJZ,746.50 
[52380] SET_BUY_TRIGGER,kcrL7pVjFP,QPX,534.74 
[52419] ADD,kcrL7pVjFP,79890.81 
[52429] QUOTE,kcrL7pVjFP,YEH 
[52846] CANCEL_SELL,kcrL7pVjFP 
[52851] BUY,kcrL7pVjFP,TCP,448.74 
[52899] COMMIT_BUY,kcrL7pVjFP 
[53093] QUOTE,kcrL7pVjFP,COE 
[53271] SET_SELL_AMOUNT,kcrL7pVjFP,AVX,716.47 
[53374] SET_SELL_TRIGGER,kcrL7pVjFP,AVX,712.25 
[53436] ADD,kcrL7pVjFP,87344.83 
[53581] BUY,kcrL7pVjFP,KES,558.07 
[53713] DISPLAY_SUMMARY,kcrL7pVjFP 
[53744] DISPLAY_SUMMARY,kcrL7pVjFP 
[53793] QUOTE,kcrL7pVjFP,BJL 
[53935] COMMIT_BUY,kcrL7pVjFP 
[53978] DISPLAY_SUMMARY,kcrL7pVjFP 
[54079] CANCEL_SET_SELL,kcrL7pVjFP,MIU 
[54114] ADD,kcrL7pVjFP,78525.40 
[54137] BUY,kcrL7pVjFP,YTY,162.92 
[54213] CANCEL_BUY,kcrL7pVjFP 
[54349] SELL,kcrL7pVjFP,DFE,685.76 
[54685] CANCEL_SELL,kcrL7pVjFP 
[54847] DISPLAY_SUMMARY,kcrL7pVjFP 
[54990] SET_BUY_AMOUNT,kcrL7pVjFP,QJZ,497.79 
[55093] SET_BUY_TRIGGER,kcrL7pVjFP,FIW,31.76 
[55180] DISPLAY_SUMMARY,kcrL7pVjFP 
[55204] CANCEL_SET_SELL,kcrL7pVjFP,DIX 
[55339] BUY,kcrL7pVjFP,ZJB,518.00 
[55384] ADD,kcrL7pVjFP,64869.63 
[55386] QUOTE,kcrL7pVjFP,HWO 
[55495] BUY,kcrL7pVjFP,OEX,608.85 
[55531] COMMIT_BUY,kcrL7pVjFP 
[55553] SET_SELL_TRIGGER,kcrL7pVjFP,VKP,174.73 
[55578] CANCEL_SET_SELL,kcrL7pVjFP,GZQ 
[55805] ADD,kcrL7pVjFP,92709.52 
[55863] QUOTE,kcrL7pVjFP,JFF 
[55891] QUOTE,kcrL7pVjFP,MJU 
[55922] BUY,kcrL7pVjFP,FXT,672.46 
[55960] BUY,kcrL7pVjFP,SYN,522.93 
[56200] COMMIT_BUY,kcrL7pVjFP 
[56206] CANCEL_SET_SELL,kcrL7pVjFP,VTY 
[56209] SELL,kcrL7pVjFP,QJZ,11.62 
[56240] COMMIT_SELL,kcrL7pVjFP 
[56336] SET_SELL_AMOUNT,kcrL7pVjFP,GYF,91.75 
[56405] SET_SELL_TRIGGER,kcrL7pVjFP,GYF,89.72 
[56490] SET_SELL_AMOUNT,kcrL7pVjFP,ZAN,217.27 
[56526] SET_SELL_TRIGGER,kcrL7pVjFP,ZAN,132.94 
[56600] COMMIT_SELL,kcrL7pVjFP 
[56663] QUOTE,kcrL7pVjFP,KJH 
[56811] SET_BUY_TRIGGER,kcrL7pVjFP,XAB,22.46 
[56864] DISPLAY_SUMMARY,kcrL7pVjFP 
[56936] CANCEL_SELL,kcrL7pVjFP 
[57229] SET_SELL_AMOUNT,kcrL7pVjFP,RUN,278.87 
[57340] SET_SELL_TRIGGER,kcrL7pVjFP,RUN,41.34 
[57615] DISPLAY_SUMMARY,kcrL7pVjFP 
[57618] QUOTE,kcrL7pVjFP,KEV 
[57835] ADD,kcrL7pVjFP,65635.23 
[57924] BUY,kcrL7pVjFP,KMZ,17.94 
[57929] ADD,kcrL7pVjFP,55981.90 
[58100] BUY,kcrL7pVjFP,UXP,315.56 
[58201] QUOTE,kcrL7pVjFP,PZE 
[58264] SELL,kcrL7pVjFP,VTY,286.50 
[58286] COMMIT_SELL,kcrL7pVjFP 
[58342] ADD,kcrL7pVjFP,46174.22 
[58546] SELL,kcrL7pVjFP,NHG,29.51 
[58612] COMMIT_SELL,kcrL7pVjFP 
[58740] SELL,kcrL7pVjFP,DFE,199.14 
[58795] COMMIT_SELL,kcrL7pVjFP 
[58840] ADD,kcrL7pVjFP,72810.30 
[58856] BUY,kcrL7pVjFP,NAR,159.56 
[59267] CANCEL_SET_BUY,kcrL7pVjFP,CIP 
[59469] SET_BUY_AMOUNT,kcrL7pVjFP,CEC,713.52 
[59473] SET_BUY_TRIGGER,kcrL7pVjFP,WZY,465.35 
[59532] SET_BUY_TRIGGER,kcrL7pVjFP,SKC,117.23 
[59587] DISPLAY_SUMMARY,kcrL7pVjFP 
[59651] SET_SELL_TRIGGER,kcrL7pVjFP,BFU,63.66 
[59662] SET_SELL_AMOUNT,kcrL7pVjFP,BYA,628.11 
[59729] SET_SELL_TRIGGER,kcrL7pVjFP,BYA,223.48 
[59774] ADD,kcrL7pVjFP,68858.69 
[59866] QUOTE,kcrL7pVjFP,OTQ 
[59945] BUY,kcrL7pVjFP,LUT,18.31 
[59956] SET_SELL_AMOUNT,kcrL7pVjFP,PTP,452.63 
[59964] SET_SELL_TRIGGER,kcrL7pVjFP,PTP,318.97 
[60002] SELL,kcrL7pVjFP,QJZ,462.52 
[60040] QUOTE,kcrL7pVjFP,OEY 
[60104] ADD,kcrL7pVjFP,86140.70 
[60123] QUOTE,kcrL7pVjFP,YNH 
[60204] BUY,kcrL7pVjFP,NJF,272.36 
[60263] SET_BUY_TRIGGER,kcrL7pVjFP,VMT,57.96 
[60439] SET_BUY_AMOUNT,kcrL7pVjFP,UIE,234.27 
[60458] QUOTE,kcrL7pVjFP,WPG 
[60467] BUY,kcrL7pVjFP,HIN,422.13 
[60761] CANCEL_BUY,kcrL7pVjFP 
[60782] SELL,kcrL7pVjFP,QAX,670.87 
[60818] SET_SELL_AMOUNT,kcrL7pVjFP,LFU,380.09 
[61123] DISPLAY_SUMMARY,kcrL7pVjFP 
[61143] SELL,kcrL7pVjFP,OPN,449.66 
[61249] DISPLAY_SUMMARY,kcrL7pVjFP 
[61291] QUOTE,kcrL7pVjFP,FTP 
[61442] QUOTE,kcrL7pVjFP,ZWC 
[61510] QUOTE,kcrL7pVjFP,URD 
[61532] BUY,kcrL7pVjFP,ZQC,241.91 
[61671] CANCEL_SET_BUY,kcrL7pVjFP,NLT 
[61676] BUY,kcrL7pVjFP,ZJQ,745.31 
[61804] COMMIT_BUY,kcrL7pVjFP 
[62196] DISPLAY_SUMMARY,kcrL7pVjFP 
[62348] QUOTE,kcrL7pVjFP,HHG 
[62377] SET_BUY_AMOUNT,kcrL7pVjFP,YJK,634.98 
[62428] SELL,kcrL7pVjFP,UBJ,335.27 
[62586] QUOTE,kcrL7pVjFP,JCL 
[62631] QUOTE,kcrL7pVjFP,FVD 
[62751] QUOTE,kcrL7pVjFP,JKX 
[62871] DISPLAY_SUMMARY,kcrL7pVjFP 
[63115] QUOTE,kcrL7pVjFP,FIW 
[63228] CANCEL_BUY,kcrL7pVjFP 
[63332] SET_SELL_AMOUNT,kcrL7pVjFP,OEY,740.64 
[63506] DISPLAY_SUMMARY,kcrL7pVjFP 
[63647] SELL,kcrL7pVjFP,CSZ,731.09 
[63658] CANCEL_SELL,kcrL7pVjFP 
[63681] SET_SELL_AMOUNT,kcrL7pVjFP,FDI,149.98 
[63720] SET_SELL_TRIGGER,kcrL7pVjFP,FDI,7.68 
[63732] SET_SELL_AMOUNT,kcrL7pVjFP,KDA,680.07 
[64018] SET_SELL_TRIGGER,kcrL7pVjFP,KDA,330.22 
[64023] SET_BUY_TRIGGER,kcrL7pVjFP,JRJ,465.37 
[64072] SELL,kcrL7pVjFP,CEC,633.98 
[64217] COMMIT_SELL,kcrL7pVjFP 
[64266] QUOTE,kcrL7pVjFP,TVX 
[64426] CANCEL_SET_SELL,kcrL7pVjFP,LKK 
[64433] SET_SELL_TRIGGER,kcrL7pVjFP,NXF,140.69 
[64910] SET_BUY_AMOUNT,kcrL7pVjFP,PTP,57.51 
[65036] SET_BUY_TRIGGER,kcrL7pVjFP,ZSV,29.13 
[65051] CANCEL_SET_BUY,kcrL7pVjFP,OXK 
[65149] BUY,kcrL7pVjFP,PYM,737.57 
[65263] SET_BUY_AMOUNT,kcrL7pVjFP,LFU,36.01 
[65412] SET_BUY_TRIGGER,kcrL7pVjFP,VKB,0.87 
[65446] QUOTE,kcrL7pVjFP,VZB 
[65509] QUOTE,kcrL7pVjFP,OXV 
[65602] BUY,kcrL7pVjFP,UHO,260.54 
[65613] COMMIT_BUY,kcrL7pVjFP 
[65875] DISPLAY_SUMMARY,kcrL7pVjFP 
[66013] ADD,kcrL7pVjFP,63332.05 
[66099] QUOTE,kcrL7pVjFP,SYT 
[66130] CANCEL_SET_SELL,kcrL7pVjFP,QQW 
[66154] DISPLAY_SUMMARY,kcrL7pVjFP 
[66283] DISPLAY_SUMMARY,kcrL7pVjFP 
[66418] ADD,kcrL7pVjFP,70232.13 
[66435] DISPLAY_SUMMARY,kcrL7pVjFP 
[66469] ADD,kcrL7pVjFP,61181.50 
[66527] BUY,kcrL7pVjFP,UIE,69.33 
[66814] COMMIT_BUY,kcrL7pVjFP 
[66825] SET_BUY_TRIGGER,kcrL7pVjFP,ESN,192.40 
[66833] ADD,kcrL7pVjFP,106523.23 
[67070] BUY,kcrL7pVjFP,VJB,529.53 
[67074] COMMIT_BUY,kcrL7pVjFP 
[67669] ADD,kcrL7pVjFP,64285.21 
[67708] BUY,kcrL7pVjFP,SIK,405.35 
[67788] COMMIT_BUY,kcrL7pVjFP 
[67821] CANCEL_SELL,kcrL7pVjFP 
[67927] QUOTE,kcrL7pVjFP,WJB 
[68051] BUY,kcrL7pVjFP,RNK,295.90 
[68073] BUY,kcrL7pVjFP,XNZ,346.21 
[68101] COMMIT_BUY,kcrL7pVjFP 
[68192] QUOTE,kcrL7pVjFP,ZZD 
[68227] COMMIT_BUY,kcrL7pVjFP 
[68349] DISPLAY_SUMMARY,kcrL7pVjFP 
[68402] ADD,kcrL7pVjFP,47586.33 
[68610] SET_SELL_AMOUNT,kcrL7pVjFP,LZV,316.63 
[68828] SET_SELL_TRIGGER,kcrL7pVjFP,LZV,293.48 
[68860] SET_SELL_AMOUNT,kcrL7pVjFP,OEY,146.79 
[69015] SET_SELL_TRIGGER,kcrL7pVjFP,OEY,104.05 
[69034] DISPLAY_SUMMARY,kcrL7pVjFP 
[69035] DISPLAY_SUMMARY,kcrL7pVjFP 
[69130] SET_BUY_AMOUNT,kcrL7pVjFP,RNK,324.28 
[69164] BUY,kcrL7pVjFP,ZQW,40.57 
[69206] CANCEL_BUY,kcrL7pVjFP 
[69379] ADD,kcrL7pVjFP,66500.53 
[69434] QUOTE,kcrL7pVjFP,DVA 
[69496] SET_BUY_AMOUNT,kcrL7pVjFP,PTP,541.81 
[69527] CANCEL_SET_BUY,kcrL7pVjFP,RDK 
[69570] SET_SELL_AMOUNT,kcrL7pVjFP,JQO,273.66 
[70236] SET_SELL_TRIGGER,kcrL7pVjFP,JQO,81.64 
[70269] BUY,kcrL7pVjFP,OBO,203.24 
[70552] COMMIT_BUY,kcrL7pVjFP 
[70835] QUOTE,kcrL7pVjFP,VYQ 
[70856] BUY,kcrL7pVjFP,LKK,396.48 
[70986] CANCEL_BUY,kcrL7pVjFP 
[71090] QUOTE,kcrL7pVjFP,KGA 
[71230] BUY,kcrL7pVjFP,WYO,640.56 
[71241] CANCEL_SELL,kcrL7pVjFP 
[71527] SET_BUY_AMOUNT,kcrL7pVjFP,KDA,748.44 
[71564] CANCEL_SET_BUY,kcrL7pVjFP,ECX 
[71676] ADD,kcrL7pVjFP,83745.84 
[71849] BUY,kcrL7pVjFP,ECI,579.40 
[71850] SELL,kcrL7pVjFP,CBO,104.90 
[71894] CANCEL_BUY,kcrL7pVjFP 
[71899] ADD,kcrL7pVjFP,114428.45 
[72130] QUOTE,kcrL7pVjFP,ASJ 
[72343] BUY,kcrL7pVjFP,MQP,111.71 
[72755] SET_SELL_AMOUNT,kcrL7pVjFP,KBN,138.99 
[72792] DISPLAY_SUMMARY,kcrL7pVjFP 
[72822] ADD,kcrL7pVjFP,86910.92 
[72885] QUOTE,kcrL7pVjFP,ZMK 
[72915] SET_BUY_AMOUNT,kcrL7pVjFP,GYF,25.65 
[72954] DISPLAY_SUMMARY,kcrL7pVjFP 
[73102] SET_SELL_TRIGGER,kcrL7pVjFP,KBN,56.97 
[73173] BUY,kcrL7pVjFP,VXY,622.75 
[73217] CANCEL_BUY,kcrL7pVjFP 
[73239] ADD,kcrL7pVjFP,96355.53 
[73313] QUOTE,kcrL7pVjFP,MQH 
[73534] BUY,kcrL7pVjFP,JVT,345.93 
[73583] COMMIT_BUY,kcrL7pVjFP 
[73593] SET_BUY_AMOUNT,kcrL7pVjFP,SQI,230.25 
[73703] SET_BUY_TRIGGER,kcrL7pVjFP,MZT,16.94 
[73791] QUOTE,kcrL7pVjFP,LLE 
[73794] DISPLAY_SUMMARY,kcrL7pVjFP 
[73982] ADD,kcrL7pVjFP,60299.83 
[73997] BUY,kcrL7pVjFP,JQO,318.44 
[74554] COMMIT_BUY,kcrL7pVjFP 
[74661] ADD,kcrL7pVjFP,89289.15 
[74797] SET_BUY_TRIGGER,kcrL7pVjFP,VTY,60.06 
[74810] CANCEL_SET_BUY,kcrL7pVjFP,WCR 
[74918] ADD,kcrL7pVjFP,95258.98 
[74961] BUY,kcrL7pVjFP,LBC,93.55 
[75088] CANCEL_SET_SELL,kcrL7pVjFP,RVZ 
[75178] DISPLAY_SUMMARY,kcrL7pVjFP 
[75193] QUOTE,kcrL7pVjFP,TKM 
[75309] BUY,kcrL7pVjFP,LHC,676.35 
[75472] SET_SELL_AMOUNT,kcrL7pVjFP,SQI,694.25 
[75741] CANCEL_SET_SELL,kcrL7pVjFP,SQI 
[76255] ADD,kcrL7pVjFP,69540.67 
[76264] BUY,kcrL7pVjFP,NXU,66.03 
[76290] DISPLAY_SUMMARY,kcrL7pVjFP 
[76367] BUY,kcrL7pVjFP,ZFJ,305.09 
[76431] CANCEL_BUY,kcrL7pVjFP 
[76537] SET_SELL_TRIGGER,kcrL7pVjFP,PCR,150.11 
[76606] SET_BUY_AMOUNT,kcrL7pVjFP,EBS,158.68 
[76623] SET_BUY_TRIGGER,kcrL7pVjFP,ZOZ,23.80 
[76825] ADD,kcrL7pVjFP,70694.04 
[76942] QUOTE,kcrL7pVjFP,LVV 
[76991] DISPLAY_SUMMARY,kcrL7pVjFP 
[77047] ADD,kcrL7pVjFP,68132.77 
[77052] BUY,kcrL7pVjFP,CBX,627.31 
[77190] CANCEL_BUY,kcrL7pVjFP 
[77451] CANCEL_SET_SELL,kcrL7pVjFP,FXT 
[77466] DISPLAY_SUMMARY,kcrL7pVjFP 
[77615] QUOTE,kcrL7pVjFP,DDH 
[77695] BUY,kcrL7pVjFP,RUN,503.77 
[77868] CANCEL_SET_BUY,kcrL7pVjFP,MER 
[77949] DISPLAY_SUMMARY,kcrL7pVjFP 
[78042] QUOTE,kcrL7pVjFP,DKV 
[78118] BUY,kcrL7pVjFP,HIW,669.67 
[78153] COMMIT_BUY,kcrL7pVjFP 
[78157] SELL,kcrL7pVjFP,JZJ,443.12 
[78381] COMMIT_SELL,kcrL7pVjFP 
[78919] ADD,kcrL7pVjFP,55679.81 
[79006] CANCEL_SELL,kcrL7pVjFP 
[79195] DISPLAY_SUMMARY,kcrL7pVjFP 
[79197] DISPLAY_SUMMARY,kcrL7pVjFP 
[79204] SELL,kcrL7pVjFP,JQO,473.64 
[79229] SELL,kcrL7pVjFP,BYA,498.71 
[79260] SET_SELL_TRIGGER,kcrL7pVjFP,IZJ,168.05 
[79267] SET_SELL_TRIGGER,kcrL7pVjFP,CGW,85.40 
[79285] DISPLAY_SUMMARY,kcrL7pVjFP 
[79320] ADD,kcrL7pVjFP,80636.48 
[79358] QUOTE,kcrL7pVjFP,ETJ 
[79445] ADD,kcrL7pVjFP,75423.25 
[79465] QUOTE,kcrL7pVjFP,ZFK 
[79610] SELL,kcrL7pVjFP,VTY,525.47 
[79813] SET_SELL_AMOUNT,kcrL7pVjFP,OPN,241.96 
[79900] SET_SELL_TRIGGER,kcrL7pVjFP,OPN,107.04 
[80043] SELL,kcrL7pVjFP,JCQ,714.42 
[80214] SELL,kcrL7pVjFP,RUN,492.77 
[80270] CANCEL_BUY,kcrL7pVjFP 
[80340] SELL,kcrL7pVjFP,ZYR,362.75 
[80567] SET_BUY_TRIGGER,kcrL7pVjFP,HPN,85.28 
[80892] DISPLAY_SUMMARY,kcrL7pVjFP 
[80906] SELL,kcrL7pVjFP,SQI,198.23 
[80951] CANCEL_BUY,kcrL7pVjFP 
[80960] BUY,kcrL7pVjFP,BTP,710.84 
[81134] COMMIT_BUY,kcrL7pVjFP 
[81159] QUOTE,kcrL7pVjFP,QXE 
[81207] CANCEL_SELL,kcrL7pVjFP 
[81465] SET_BUY_TRIGGER,kcrL7pVjFP,WNU,36.80 
[81537] ADD,kcrL7pVjFP,108201.49 
[81553] BUY,kcrL7pVjFP,JQO,545.62 
[81647] SET_BUY_AMOUNT,kcrL7pVjFP,PTP,393.53 
[81660] DISPLAY_SUMMARY,kcrL7pVjFP 
[81728] ADD,kcrL7pVjFP,69186.03 
[81746] QUOTE,kcrL7pVjFP,OSA 
[81760] QUOTE,kcrL7pVjFP,YXK 
[81778] BUY,kcrL7pVjFP,JUJ,324.82 
[81920] CANCEL_BUY,kcrL7pVjFP 
[82179] COMMIT_SELL,kcrL7pVjFP 
[82275] COMMIT_SELL,kcrL7pVjFP 
[82388] SET_SELL_TRIGGER,kcrL7pVjFP,VFH,102.70 
[82806] DISPLAY_SUMMARY,kcrL7pVjFP 
[82986] QUOTE,kcrL7pVjFP,ZNY 
[83043] QUOTE,kcrL7pVjFP,ZNL 
[83079] QUOTE,kcrL7pVjFP,BTP 
[83148] CANCEL_SET_BUY,kcrL7pVjFP,NXU 
[83151] QUOTE,kcrL7pVjFP,HFI 
[83181] BUY,kcrL7pVjFP,OLI,316.36 
[83185] COMMIT_BUY,kcrL7pVjFP 
[83280] DISPLAY_SUMMARY,kcrL7pVjFP 
[83603] ADD,kcrL7pVjFP,56126.00 
[83713] QUOTE,kcrL7pVjFP,AUX 
[84017] SET_BUY_TRIGGER,kcrL7pVjFP,OYX,102.01 
[84081] SET_BUY_TRIGGER,kcrL7pVjFP,OAS,30.25 
[84084] SET_BUY_AMOUNT,kcrL7pVjFP,JCQ,401.60 
[84198] SET_BUY_TRIGGER,kcrL7pVjFP,BYA,13.83 
[84242] SET_SELL_TRIGGER,kcrL7pVjFP,BMQ,102.96 
[84255] QUOTE,kcrL7pVjFP,JGO 
[84259] CANCEL_BUY,kcrL7pVjFP 
[84330] DISPLAY_SUMMARY,kcrL7pVjFP 
[84414] ADD,kcrL7pVjFP,79231.11 
[84485] QUOTE,kcrL7pVjFP,JTX 
[84560] QUOTE,kcrL7pVjFP,AVX 
[84899] QUOTE,kcrL7pVjFP,DWF 
[85093] BUY,kcrL7pVjFP,LFU,409.33 
[85105] COMMIT_SELL,kcrL7pVjFP 
[85171] ADD,kcrL7pVjFP,69345.19 
[85434] BUY,kcrL7pVjFP,VXY,444.53 
[85653] SET_BUY_AMOUNT,kcrL7pVjFP,QGE,335.57 
[85684] SET_BUY_TRIGGER,kcrL7pVjFP,GXT,77.08 
[85910] ADD,kcrL7pVjFP,79617.79 
[85951] BUY,kcrL7pVjFP,WGV,265.15 
[86004] SET_SELL_AMOUNT,kcrL7pVjFP,LZV,374.92 
[86137] SET_SELL_TRIGGER,kcrL7pVjFP,LZV,250.26 
[86170] SELL,kcrL7pVjFP,UIE,566.85 
[86221] CANCEL_SELL,kcrL7pVjFP 
[86252] ADD,kcrL7pVjFP,70571.84 
[86266] QUOTE,kcrL7pVjFP,XOP 
[86412] SET_BUY_TRIGGER,kcrL7pVjFP,SOA,104.03 
[86574] SET_SELL_TRIGGER,kcrL7pVjFP,LAW,72.76 
[86740] SET_BUY_AMOUNT,kcrL7pVjFP,EBS,373.93 
[86846] CANCEL_SET_BUY,kcrL7pVjFP,ARP 
[86865] SET_SELL_TRIGGER,kcrL7pVjFP,TVI,150.34 
[87267] ADD,kcrL7pVjFP,53720.84 
[87346] BUY,kcrL7pVjFP,DGA,241.79 
[87449] COMMIT_BUY,kcrL7pVjFP 
[87451] QUOTE,kcrL7pVjFP,ECL 
[87716] SET_BUY_TRIGGER,kcrL7pVjFP,ATW,64.09 
[87775] SET_BUY_TRIGGER,kcrL7pVjFP,VVW,144.72 
[87864] SELL,kcrL7pVjFP,XLK,520.36 
[87956] COMMIT_SELL,kcrL7pVjFP 
[88210] ADD,kcrL7pVjFP,42966.58 
[88260] QUOTE,kcrL7pVjFP,OXK 
[88391] SET_BUY_TRIGGER,kcrL7pVjFP,AOH,128.79 
[88506] ADD,kcrL7pVjFP,75289.72 
[88752] QUOTE,kcrL7pVjFP,WLT 
[88784] ADD,kcrL7pVjFP,67270.65 
[88909] QUOTE,kcrL7pVjFP,VND 
[89524] BUY,kcrL7pVjFP,ZAO,591.85 
[89567] SET_SELL_TRIGGER,kcrL7pVjFP,FYA,27.29 
[89644] SET_BUY_AMOUNT,kcrL7pVjFP,QAX,211.10 
[89763] SET_BUY_TRIGGER,kcrL7pVjFP,RNE,157.04 
[89780] SELL,kcrL7pVjFP,SUS,549.09 
[89942] COMMIT_SELL,kcrL7pVjFP 
[90084] SELL,kcrL7pVjFP,AVX,103.72 
[90133] COMMIT_SELL,kcrL7pVjFP 
[90233] SET_SELL_AMOUNT,kcrL7pVjFP,YDS,702.09 
[90235] SET_SELL_TRIGGER,kcrL7pVjFP,YDS,136.26 
[90308] SET_BUY_AMOUNT,kcrL7pVjFP,KBN,580.12 
[90757] SET_BUY_TRIGGER,kcrL7pVjFP,DWC,309.35 
[90851] BUY,kcrL7pVjFP,ALV,104.34 
[90880] COMMIT_BUY,kcrL7pVjFP 
[90881] ADD,kcrL7pVjFP,63718.01 
[90932] BUY,kcrL7pVjFP,SPP,41.83 
[90965] COMMIT_BUY,kcrL7pVjFP 
[91066] QUOTE,kcrL7pVjFP,JIC 
[91069] BUY,kcrL7pVjFP,NFO,110.33 
[91210] COMMIT_BUY,kcrL7pVjFP 
[91295] ADD,kcrL7pVjFP,68024.31 
[91414] BUY,kcrL7pVjFP,MUN,342.18 
[91450] SET_BUY_TRIGGER,kcrL7pVjFP,GHL,87.83 
[91594] DISPLAY_SUMMARY,kcrL7pVjFP 
[91700] SELL,kcrL7pVjFP,KYX,176.38 
[91781] SET_BUY_AMOUNT,kcrL7pVjFP,QAX,628.11 
[91784] SET_BUY_TRIGGER,kcrL7pVjFP,KWP,175.34 
[91793] SET_SELL_AMOUNT,kcrL7pVjFP,GYF,193.84 
[91978] CANCEL_SET_SELL,kcrL7pVjFP,GYF 
[92011] BUY,kcrL7pVjFP,NAR,401.57 
[92247] CANCEL_BUY,kcrL7pVjFP 
[92330] SET_SELL_TRIGGER,kcrL7pVjFP,BSZ,76.82 
[92398] SELL,kcrL7pVjFP,ZTI,571.38 
[92463] SET_SELL_AMOUNT,kcrL7pVjFP,BCQ,657.53 
[92529] SET_SELL_TRIGGER,kcrL7pVjFP,BCQ,581.73 
[93026] SET_SELL_TRIGGER,kcrL7pVjFP,SAJ,132.63 
[93200] DISPLAY_SUMMARY,kcrL7pVjFP 
[93235] ADD,kcrL7pVjFP,47280.46 
[93307] QUOTE,kcrL7pVjFP,VOU 
[93310] SELL,kcrL7pVjFP,FDI,119.96 
[93381] CANCEL_SELL,kcrL7pVjFP 
[93390] DISPLAY_SUMMARY,kcrL7pVjFP 
[93418] SELL,kcrL7pVjFP,IFN,715.39 
[93527] DISPLAY_SUMMARY,kcrL7pVjFP 
[93551] DISPLAY_SUMMARY,kcrL7pVjFP 
[93579] CANCEL_SELL,kcrL7pVjFP 
[93817] ADD,kcrL7pVjFP,83004.46 
[93904] QUOTE,kcrL7pVjFP,QQW 
[93914] CANCEL_SELL,kcrL7pVjFP 
