[2] ADD,7UUhSRHInh,94529.05 
[45103] DISPLAY_SUMMARY,7UUhSRHInh 
[45302] ADD,7UUhSRHInh,49718.11 
[45371] QUOTE,7UUhSRHInh,HHG 
[45403] SET_BUY_TRIGGER,7UUhSRHInh,AIN,41.41 
[45518] DISPLAY_SUMMARY,7UUhSRHInh 
[45540] BUY,7UUhSRHInh,BRZ,278.23 
[45654] COMMIT_BUY,7UUhSRHInh 
[45671] CANCEL_SET_BUY,7UUhSRHInh,OBO 
[45678] QUOTE,7UUhSRHInh,MIQ 
[45742] CANCEL_SET_SELL,7UUhSRHInh,HFS 
[46240] SELL,7UUhSRHInh,JCQ,603.64 
[46485] COMMIT_BUY,7UUhSRHInh 
[46573] SELL,7UUhSRHInh,JRJ,105.00 
[46597] CANCEL_SELL,7UUhSRHInh 
[46623] CANCEL_SET_SELL,7UUhSRHInh,ZAV 
[46715] ADD,7UUhSRHInh,79358.93 
[46725] BUY,7UUhSRHInh,CXB,643.08 
[46830] COMMIT_BUY,7UUhSRHInh 
[46874] BUY,7UUhSRHInh,SEI,183.08 
[46939] SET_SELL_TRIGGER,7UUhSRHInh,WQE,50.58 
[46999] BUY,7UUhSRHInh,LKK,281.66 
[47013] BUY,7UUhSRHInh,KZC,638.73 
[47154] COMMIT_BUY,7UUhSRHInh 
[47271] ADD,7UUhSRHInh,67077.51 
[47462] BUY,7UUhSRHInh,WPG,527.72 
[47693] CANCEL_BUY,7UUhSRHInh 
[47792] SET_SELL_AMOUNT,7UUhSRHInh,KDA,406.01 
[47859] SET_SELL_TRIGGER,7UUhSRHInh,KDA,331.98 
[47861] DISPLAY_SUMMARY,7UUhSRHInh 
[47872] DISPLAY_SUMMARY,7UUhSRHInh 
[47922] ADD,7UUhSRHInh,65380.89 
[47988] BUY,7UUhSRHInh,AIN,719.05 
[48000] COMMIT_BUY,7UUhSRHInh 
[48433] SELL,7UUhSRHInh,DFE,658.58 
[48490] CANCEL_SELL,7UUhSRHInh 
[48564] QUOTE,7UUhSRHInh,JGO 
[48748] QUOTE,7UUhSRHInh,FRB 
[48881] BUY,7UUhSRHInh,VQA,451.15 
[49061] COMMIT_SELL,7UUhSRHInh 
[49168] ADD,7UUhSRHInh,69216.53 
[49280] QUOTE,7UUhSRHInh,ZDB 
[49289] SET_BUY_AMOUNT,7UUhSRHInh,UTV,444.20 
[49474] DISPLAY_SUMMARY,7UUhSRHInh 
[49513] DISPLAY_SUMMARY,7UUhSRHInh 
[49653] ADD,7UUhSRHInh,61094.02 
[49921] BUY,7UUhSRHInh,BRT,103.52 
[49925] COMMIT_BUY,7UUhSRHInh 
[49950] QUOTE,7UUhSRHInh,PBV 
[50151] BUY,7UUhSRHInh,WAI,429.29 
[50722] CANCEL_BUY,7UUhSRHInh 
[50777] SET_BUY_AMOUNT,7UUhSRHInh,JZJ,408.75 
[50821] SET_BUY_TRIGGER,7UUhSRHInh,YRL,190.49 
[50840] SELL,7UUhSRHInh,UTV,440.10 
[50899] COMMIT_SELL,7UUhSRHInh 
[51057] SELL,7UUhSRHInh,QAX,556.54 
[51141] COMMIT_SELL,7UUhSRHInh 
[51184] SET_BUY_AMOUNT,7UUhSRHInh,RNK,70.55 
[51226] SET_BUY_TRIGGER,7UUhSRHInh,BZH,58.24 
[51275] SET_BUY_TRIGGER,7UUhSRHInh,JKX,100.85 
[51358] SET_BUY_TRIGGER,7UUhSRHInh,IRQ,90.14 
[51392] SET_BUY_TRIGGER,7UUhSRHInh,WNH,10.96 
[51525] DISPLAY_SUMMARY,7UUhSRHInh 
[51655] SET_BUY_AMOUNT,7UUhSRHInh,OEY,202.21 
[51693] SET_BUY_TRIGGER,7UUhSRHInh,FIW,177.34 
[51960] SET_BUY_AMOUNT,7UUhSRHInh,JCQ,628.02 
[52006] SET_BUY_TRIGGER,7UUhSRHInh,RFC,518.83 
[52043] SELL,7UUhSRHInh,SUS,622.76 
[52235] COMMIT_SELL,7UUhSRHInh 
[52559] DISPLAY_SUMMARY,7UUhSRHInh 
[52675] SET_BUY_TRIGGER,7UUhSRHInh,OFP,192.17 
[52748] SET_SELL_AMOUNT,7UUhSRHInh,PTP,84.07 
[52783] SET_SELL_TRIGGER,7UUhSRHInh,PTP,43.85 
[52816] SET_BUY_TRIGGER,7UUhSRHInh,BSZ,88.38 
[52908] QUOTE,7UUhSRHInh,SQO 
[52936] SET_BUY_TRIGGER,7UUhSRHInh,OGR,12.59 
[53026] SET_SELL_TRIGGER,7UUhSRHInh,AUT,110.55 
[53042] SET_SELL_TRIGGER,7UUhSRHInh,LGL,63.64 
[53066] SET_BUY_TRIGGER,7UUhSRHInh,SOT,13.48 
[53077] CANCEL_SELL,7UUhSRHInh 
[53092] SET_BUY_TRIGGER,7UUhSRHInh,ZAM,70.73 
[53097] BUY,7UUhSRHInh,GED,672.66 
[53270] COMMIT_BUY,7UUhSRHInh 
[53449] ADD,7UUhSRHInh,64073.86 
[53528] QUOTE,7UUhSRHInh,JDO 
[53736] DISPLAY_SUMMARY,7UUhSRHInh 
[53967] DISPLAY_SUMMARY,7UUhSRHInh 
[54038] DISPLAY_SUMMARY,7UUhSRHInh 
[54057] SELL,7UUhSRHInh,SSF,292.33 
[54156] CANCEL_SET_BUY,7UUhSRHInh,QSS 
[54289] QUOTE,7UUhSRHInh,RQF 
[54518] SET_BUY_AMOUNT,7UUhSRHInh,DFE,493.72 
[54526] SET_BUY_TRIGGER,7UUhSRHInh,NJF,59.55 
[54530] QUOTE,7UUhSRHInh,UDN 
[54634] BUY,7UUhSRHInh,EDV,169.95 
[54695] COMMIT_BUY,7UUhSRHInh 
[54712] DISPLAY_SUMMARY,7UUhSRHInh 
[54815] SET_SELL_AMOUNT,7UUhSRHInh,RGH,261.65 
[54819] SET_SELL_TRIGGER,7UUhSRHInh,RGH,259.96 
[54836] SET_BUY_TRIGGER,7UUhSRHInh,PRJ,151.81 
[54875] ADD,7UUhSRHInh,99735.15 
[54920] BUY,7UUhSRHInh,MVY,533.21 
[55087] CANCEL_BUY,7UUhSRHInh 
[55321] ADD,7UUhSRHInh,71468.66 
[55340] BUY,7UUhSRHInh,NZS,193.22 
[55419] SET_SELL_AMOUNT,7UUhSRHInh,RGH,617.77 
[55548] SET_SELL_TRIGGER,7UUhSRHInh,RGH,579.95 
[55702] COMMIT_BUY,7UUhSRHInh 
[55742] SET_BUY_TRIGGER,7UUhSRHInh,AJX,39.72 
[55758] BUY,7UUhSRHInh,NUV,571.49 
[55807] SELL,7UUhSRHInh,ZAN,254.34 
[55879] COMMIT_SELL,7UUhSRHInh 
[56080] QUOTE,7UUhSRHInh,QPZ 
[56101] COMMIT_SELL,7UUhSRHInh 
[56261] ADD,7UUhSRHInh,57996.30 
[56337] BUY,7UUhSRHInh,ZEU,159.34 
[56413] SELL,7UUhSRHInh,DFE,89.99 
[56431] SELL,7UUhSRHInh,ZTI,20.74 
[56461] COMMIT_SELL,7UUhSRHInh 
[56516] SET_BUY_TRIGGER,7UUhSRHInh,PJJ,133.51 
[56560] SET_BUY_AMOUNT,7UUhSRHInh,OPN,198.39 
[56680] DISPLAY_SUMMARY,7UUhSRHInh 
[56806] SET_SELL_TRIGGER,7UUhSRHInh,OXV,44.11 
[56807] SELL,7UUhSRHInh,CUZ,406.30 
[56855] SET_SELL_TRIGGER,7UUhSRHInh,KAO,56.43 
[56967] SELL,7UUhSRHInh,GYF,337.46 
[56993] SET_SELL_TRIGGER,7UUhSRHInh,CVP,33.93 
[56999] BUY,7UUhSRHInh,MQX,503.02 
[57246] CANCEL_SET_SELL,7UUhSRHInh,SPL 
[57288] DISPLAY_SUMMARY,7UUhSRHInh 
[57294] SET_SELL_TRIGGER,7UUhSRHInh,DXQ,88.14 
[57296] SET_SELL_TRIGGER,7UUhSRHInh,ZFK,51.44 
[57463] SET_SELL_TRIGGER,7UUhSRHInh,LPS,7.68 
[57518] SET_SELL_TRIGGER,7UUhSRHInh,GDO,28.84 
[57739] SELL,7UUhSRHInh,QJZ,343.58 
[57754] COMMIT_BUY,7UUhSRHInh 
[57844] DISPLAY_SUMMARY,7UUhSRHInh 
[57852] SELL,7UUhSRHInh,ZTI,189.99 
[57914] COMMIT_SELL,7UUhSRHInh 
[58074] ADD,7UUhSRHInh,89018.85 
[58267] BUY,7UUhSRHInh,CUQ,621.70 
[58352] COMMIT_BUY,7UUhSRHInh 
[58428] SET_SELL_AMOUNT,7UUhSRHInh,JCQ,398.73 
[58511] SET_SELL_TRIGGER,7UUhSRHInh,JCQ,209.92 
[58540] SET_BUY_TRIGGER,7UUhSRHInh,LMB,176.24 
[58620] SET_BUY_TRIGGER,7UUhSRHInh,FIC,98.14 
[58665] SET_BUY_TRIGGER,7UUhSRHInh,MGO,37.65 
[58696] SET_SELL_TRIGGER,7UUhSRHInh,URD,132.92 
[58714] SELL,7UUhSRHInh,RNK,175.59 
[58825] COMMIT_SELL,7UUhSRHInh 
[58999] SELL,7UUhSRHInh,OEY,279.00 
[59156] COMMIT_SELL,7UUhSRHInh 
[59252] SET_SELL_TRIGGER,7UUhSRHInh,YWC,95.36 
[59345] DISPLAY_SUMMARY,7UUhSRHInh 
[59393] DISPLAY_SUMMARY,7UUhSRHInh 
[59490] SELL,7UUhSRHInh,QGE,144.90 
[59567] COMMIT_SELL,7UUhSRHInh 
[59892] SET_BUY_AMOUNT,7UUhSRHInh,GRM,646.12 
[59912] SET_BUY_TRIGGER,7UUhSRHInh,RKY,238.07 
[59937] SET_BUY_AMOUNT,7UUhSRHInh,ZAN,310.77 
[60003] SET_BUY_TRIGGER,7UUhSRHInh,QJZ,45.66 
[60029] BUY,7UUhSRHInh,NQU,170.97 
[60114] COMMIT_BUY,7UUhSRHInh 
[60139] BUY,7UUhSRHInh,YUR,208.47 
[60290] QUOTE,7UUhSRHInh,OXV 
[60430] BUY,7UUhSRHInh,LSK,675.51 
[60518] SELL,7UUhSRHInh,XLK,2.33 
[60608] COMMIT_SELL,7UUhSRHInh 
[60684] SET_BUY_TRIGGER,7UUhSRHInh,TZJ,157.73 
[60757] ADD,7UUhSRHInh,50408.69 
[60795] BUY,7UUhSRHInh,AJX,501.90 
[60823] COMMIT_BUY,7UUhSRHInh 
[60882] DISPLAY_SUMMARY,7UUhSRHInh 
[60953] QUOTE,7UUhSRHInh,NQU 
[61015] SET_BUY_TRIGGER,7UUhSRHInh,DXL,38.88 
[61068] DISPLAY_SUMMARY,7UUhSRHInh 
[61079] SET_BUY_TRIGGER,7UUhSRHInh,SFO,152.94 
[61357] SET_SELL_AMOUNT,7UUhSRHInh,ZYR,567.39 
[61640] SET_SELL_TRIGGER,7UUhSRHInh,ZYR,150.59 
[61647] BUY,7UUhSRHInh,RVU,278.42 
[61735] QUOTE,7UUhSRHInh,JMG 
[61767] BUY,7UUhSRHInh,SXB,280.47 
[61905] COMMIT_BUY,7UUhSRHInh 
[62071] SET_BUY_TRIGGER,7UUhSRHInh,XLK,89.10 
[62122] QUOTE,7UUhSRHInh,HEK 
[62264] CANCEL_SELL,7UUhSRHInh 
[62293] QUOTE,7UUhSRHInh,ILT 
[62408] SET_BUY_TRIGGER,7UUhSRHInh,RJG,92.29 
[62447] DISPLAY_SUMMARY,7UUhSRHInh 
[62589] QUOTE,7UUhSRHInh,ZPD 
[62607] BUY,7UUhSRHInh,QVA,303.24 
[62706] SET_BUY_AMOUNT,7UUhSRHInh,ZAN,234.64 
[62722] CANCEL_SET_BUY,7UUhSRHInh,PUC 
[62991] SET_BUY_AMOUNT,7UUhSRHInh,NHG,350.21 
[63140] SET_BUY_TRIGGER,7UUhSRHInh,YLZ,129.63 
[63321] SELL,7UUhSRHInh,UIE,518.89 
[63458] DISPLAY_SUMMARY,7UUhSRHInh 
[63472] ADD,7UUhSRHInh,79283.51 
[64132] QUOTE,7UUhSRHInh,FPP 
[64256] CANCEL_SET_BUY,7UUhSRHInh,VEN 
[64342] CANCEL_BUY,7UUhSRHInh 
[64413] ADD,7UUhSRHInh,54636.20 
[64960] BUY,7UUhSRHInh,TFZ,432.36 
[65131] COMMIT_BUY,7UUhSRHInh 
[65172] QUOTE,7UUhSRHInh,OAV 
[65175] CANCEL_SET_BUY,7UUhSRHInh,IGI 
[65579] ADD,7UUhSRHInh,49076.25 
[65624] QUOTE,7UUhSRHInh,DWC 
[66340] SET_BUY_AMOUNT,7UUhSRHInh,LZV,550.75 
[66394] SET_BUY_TRIGGER,7UUhSRHInh,YXK,484.16 
[66425] SET_SELL_TRIGGER,7UUhSRHInh,XZN,30.64 
[66449] SET_BUY_AMOUNT,7UUhSRHInh,XLK,667.17 
[66608] CANCEL_SET_BUY,7UUhSRHInh,XLK 
[66691] ADD,7UUhSRHInh,63403.65 
[66949] COMMIT_SELL,7UUhSRHInh 
[66978] SELL,7UUhSRHInh,ZTI,267.76 
[67033] COMMIT_BUY,7UUhSRHInh 
[67092] BUY,7UUhSRHInh,RQS,341.65 
[67127] CANCEL_SELL,7UUhSRHInh 
[67207] DISPLAY_SUMMARY,7UUhSRHInh 
[67237] DISPLAY_SUMMARY,7UUhSRHInh 
[67258] CANCEL_SET_SELL,7UUhSRHInh,LEA 
[67310] COMMIT_SELL,7UUhSRHInh 
[67385] BUY,7UUhSRHInh,DPG,206.41 
[67554] CANCEL_BUY,7UUhSRHInh 
[67639] DISPLAY_SUMMARY,7UUhSRHInh 
[67644] CANCEL_SET_SELL,7UUhSRHInh,MGO 
[67881] SET_SELL_AMOUNT,7UUhSRHInh,ZTI,111.86 
[67882] SET_SELL_TRIGGER,7UUhSRHInh,ZTI,37.91 
[67948] SET_SELL_AMOUNT,7UUhSRHInh,LZV,219.61 
[68030] SET_SELL_TRIGGER,7UUhSRHInh,LZV,204.56 
[68100] BUY,7UUhSRHInh,DMS,734.08 
[68453] ADD,7UUhSRHInh,58569.08 
[68611] BUY,7UUhSRHInh,JPD,150.49 
[68617] COMMIT_BUY,7UUhSRHInh 
[68795] SET_BUY_AMOUNT,7UUhSRHInh,SUS,624.96 
[68832] SET_BUY_TRIGGER,7UUhSRHInh,BHH,15.47 
[68950] BUY,7UUhSRHInh,LPW,612.42 
[69107] QUOTE,7UUhSRHInh,LLF 
[69131] SET_BUY_AMOUNT,7UUhSRHInh,SSF,612.50 
[69242] SET_BUY_TRIGGER,7UUhSRHInh,UDN,384.65 
[69317] DISPLAY_SUMMARY,7UUhSRHInh 
[69318] QUOTE,7UUhSRHInh,KJH 
[69409] BUY,7UUhSRHInh,QBD,88.08 
[69413] COMMIT_BUY,7UUhSRHInh 
[69685] ADD,7UUhSRHInh,63679.36 
[69784] BUY,7UUhSRHInh,RWY,154.09 
[69800] SELL,7UUhSRHInh,KES,489.38 
[69950] SET_SELL_AMOUNT,7UUhSRHInh,GRM,708.38 
[70218] QUOTE,7UUhSRHInh,IDX 
[70248] BUY,7UUhSRHInh,OZW,7.58 
[70589] COMMIT_BUY,7UUhSRHInh 
[70612] BUY,7UUhSRHInh,MZT,426.78 
[70709] COMMIT_BUY,7UUhSRHInh 
[70977] BUY,7UUhSRHInh,RUN,246.67 
[71080] SET_SELL_AMOUNT,7UUhSRHInh,CUZ,87.21 
[71101] SET_SELL_TRIGGER,7UUhSRHInh,CUZ,14.83 
[71128] DISPLAY_SUMMARY,7UUhSRHInh 
[71303] ADD,7UUhSRHInh,86179.86 
[71411] BUY,7UUhSRHInh,SDL,96.93 
[71612] COMMIT_BUY,7UUhSRHInh 
[71981] BUY,7UUhSRHInh,OOR,601.63 
[72103] COMMIT_BUY,7UUhSRHInh 
[72108] QUOTE,7UUhSRHInh,WAO 
[72264] SET_BUY_TRIGGER,7UUhSRHInh,LPW,105.58 
[72329] ADD,7UUhSRHInh,83067.92 
[72357] SELL,7UUhSRHInh,UIE,595.95 
[72363] SET_BUY_AMOUNT,7UUhSRHInh,MFX,520.31 
[72449] SET_BUY_TRIGGER,7UUhSRHInh,SPT,38.85 
[72556] ADD,7UUhSRHInh,83171.64 
[72582] QUOTE,7UUhSRHInh,JJW 
[72686] ADD,7UUhSRHInh,83004.59 
[72710] QUOTE,7UUhSRHInh,YDD 
[73068] SET_BUY_AMOUNT,7UUhSRHInh,BCQ,21.55 
[73101] SET_BUY_TRIGGER,7UUhSRHInh,FFN,1.78 
[73391] ADD,7UUhSRHInh,50776.90 
[73419] QUOTE,7UUhSRHInh,QNW 
[73485] ADD,7UUhSRHInh,83718.27 
[73509] QUOTE,7UUhSRHInh,ZTI 
[73551] DISPLAY_SUMMARY,7UUhSRHInh 
[73604] ADD,7UUhSRHInh,78270.41 
[73708] QUOTE,7UUhSRHInh,QEO 
[73864] BUY,7UUhSRHInh,XFH,272.59 
[73977] COMMIT_BUY,7UUhSRHInh 
[74177] BUY,7UUhSRHInh,MOF,749.18 
[74180] COMMIT_BUY,7UUhSRHInh 
[74235] DISPLAY_SUMMARY,7UUhSRHInh 
[74330] ADD,7UUhSRHInh,51122.72 
[74382] QUOTE,7UUhSRHInh,JJW 
[74395] QUOTE,7UUhSRHInh,OFP 
[74520] BUY,7UUhSRHInh,VJB,120.12 
[74599] DISPLAY_SUMMARY,7UUhSRHInh 
[74807] QUOTE,7UUhSRHInh,UMV 
[74850] SET_BUY_AMOUNT,7UUhSRHInh,MFX,664.87 
[74921] SET_BUY_TRIGGER,7UUhSRHInh,QQI,238.15 
[74941] SET_SELL_AMOUNT,7UUhSRHInh,CUZ,37.07 
[74952] SELL,7UUhSRHInh,TVI,687.19 
[75245] COMMIT_SELL,7UUhSRHInh 
[75256] BUY,7UUhSRHInh,LPB,211.37 
[75366] COMMIT_BUY,7UUhSRHInh 
[75375] ADD,7UUhSRHInh,60708.03 
[75624] BUY,7UUhSRHInh,OYX,626.21 
[75686] COMMIT_BUY,7UUhSRHInh 
[75770] SET_SELL_TRIGGER,7UUhSRHInh,CUZ,17.52 
[75918] COMMIT_SELL,7UUhSRHInh 
[75946] ADD,7UUhSRHInh,55660.59 
[75967] BUY,7UUhSRHInh,HVE,179.61 
[75970] COMMIT_BUY,7UUhSRHInh 
[76105] QUOTE,7UUhSRHInh,DED 
[76198] SELL,7UUhSRHInh,KBN,404.88 
[76292] COMMIT_SELL,7UUhSRHInh 
[76359] SELL,7UUhSRHInh,ZAN,201.50 
[76386] QUOTE,7UUhSRHInh,QNK 
[76488] QUOTE,7UUhSRHInh,QWC 
[76500] SET_BUY_TRIGGER,7UUhSRHInh,QWC,165.60 
[76504] SELL,7UUhSRHInh,TVI,321.20 
[76567] COMMIT_SELL,7UUhSRHInh 
[76814] SET_BUY_TRIGGER,7UUhSRHInh,BXH,180.25 
[76882] SET_BUY_AMOUNT,7UUhSRHInh,LFU,291.27 
[76900] SET_BUY_TRIGGER,7UUhSRHInh,GDF,68.48 
[76909] DISPLAY_SUMMARY,7UUhSRHInh 
[76932] DISPLAY_SUMMARY,7UUhSRHInh 
[76936] SELL,7UUhSRHInh,JVT,340.71 
[77177] COMMIT_BUY,7UUhSRHInh 
[77264] SET_SELL_AMOUNT,7UUhSRHInh,JZJ,377.62 
[77455] CANCEL_SET_SELL,7UUhSRHInh,JZJ 
[77471] DISPLAY_SUMMARY,7UUhSRHInh 
[77538] BUY,7UUhSRHInh,ZWB,84.51 
[77577] COMMIT_BUY,7UUhSRHInh 
[77603] ADD,7UUhSRHInh,98389.20 
[77607] SELL,7UUhSRHInh,YJK,229.85 
[77652] SET_SELL_AMOUNT,7UUhSRHInh,NHG,178.00 
[78026] SET_SELL_TRIGGER,7UUhSRHInh,NHG,84.81 
[78107] BUY,7UUhSRHInh,HQU,605.52 
[78144] ADD,7UUhSRHInh,94357.07 
[78374] QUOTE,7UUhSRHInh,FTJ 
[78477] QUOTE,7UUhSRHInh,YUL 
[78620] SET_BUY_AMOUNT,7UUhSRHInh,BYA,596.35 
[78656] SET_BUY_TRIGGER,7UUhSRHInh,TWJ,460.31 
[78662] DISPLAY_SUMMARY,7UUhSRHInh 
[78685] QUOTE,7UUhSRHInh,JIC 
[78775] DISPLAY_SUMMARY,7UUhSRHInh 
[78797] SET_BUY_TRIGGER,7UUhSRHInh,KDA,45.59 
[78854] SET_SELL_AMOUNT,7UUhSRHInh,CBO,266.30 
[78879] BUY,7UUhSRHInh,VIG,534.10 
[78968] CANCEL_BUY,7UUhSRHInh 
[79184] CANCEL_SET_SELL,7UUhSRHInh,CBO 
[79560] SET_BUY_AMOUNT,7UUhSRHInh,XQC,519.01 
[79737] SET_BUY_TRIGGER,7UUhSRHInh,KCT,208.68 
[79766] SET_BUY_AMOUNT,7UUhSRHInh,FQP,636.43 
[80019] SET_BUY_TRIGGER,7UUhSRHInh,FFI,171.65 
[80079] DISPLAY_SUMMARY,7UUhSRHInh 
[80084] SET_BUY_AMOUNT,7UUhSRHInh,CUZ,732.46 
[80297] SET_BUY_TRIGGER,7UUhSRHInh,PVZ,278.61 
[80456] SELL,7UUhSRHInh,XLK,171.96 
[80499] COMMIT_SELL,7UUhSRHInh 
[80653] SET_BUY_TRIGGER,7UUhSRHInh,WAO,123.00 
[80760] SET_SELL_AMOUNT,7UUhSRHInh,YJK,584.79 
[80849] SELL,7UUhSRHInh,CBO,671.39 
[80855] CANCEL_SELL,7UUhSRHInh 
[80943] SELL,7UUhSRHInh,MXD,642.96 
[81064] CANCEL_SET_BUY,7UUhSRHInh,APY 
[81212] SET_BUY_TRIGGER,7UUhSRHInh,SKW,68.65 
[81289] ADD,7UUhSRHInh,37220.18 
[81336] BUY,7UUhSRHInh,PSJ,56.75 
[81367] CANCEL_SET_SELL,7UUhSRHInh,YJK 
[81619] SET_BUY_AMOUNT,7UUhSRHInh,RNK,406.93 
[81727] SET_BUY_TRIGGER,7UUhSRHInh,LKV,274.02 
[82064] QUOTE,7UUhSRHInh,LGL 
[82115] DISPLAY_SUMMARY,7UUhSRHInh 
[82158] SET_BUY_AMOUNT,7UUhSRHInh,BYA,350.03 
[82279] SET_BUY_TRIGGER,7UUhSRHInh,UDN,119.20 
[82334] SELL,7UUhSRHInh,JCQ,549.57 
[82424] COMMIT_SELL,7UUhSRHInh 
[82482] ADD,7UUhSRHInh,68319.59 
[82536] QUOTE,7UUhSRHInh,WYD 
[82547] QUOTE,7UUhSRHInh,RVZ 
[82574] QUOTE,7UUhSRHInh,MHI 
[82591] BUY,7UUhSRHInh,DES,380.32 
[82635] SELL,7UUhSRHInh,VTY,92.99 
[82699] COMMIT_SELL,7UUhSRHInh 
[82859] ADD,7UUhSRHInh,77979.92 
[82951] BUY,7UUhSRHInh,QNK,273.51 
[83223] COMMIT_BUY,7UUhSRHInh 
[83326] BUY,7UUhSRHInh,AJR,647.80 
[83394] COMMIT_BUY,7UUhSRHInh 
[83601] SELL,7UUhSRHInh,QJZ,203.30 
[83657] CANCEL_SELL,7UUhSRHInh 
[83767] CANCEL_SET_SELL,7UUhSRHInh,VKP 
[83973] COMMIT_SELL,7UUhSRHInh 
[83976] SET_BUY_TRIGGER,7UUhSRHInh,YDS,77.77 
[84061] BUY,7UUhSRHInh,GHL,496.59 
[84183] SET_SELL_AMOUNT,7UUhSRHInh,RNK,194.11 
[84322] QUOTE,7UUhSRHInh,MOM 
[84421] BUY,7UUhSRHInh,FQP,414.11 
[84473] COMMIT_BUY,7UUhSRHInh 
[84551] CANCEL_SET_BUY,7UUhSRHInh,KJD 
[84775] ADD,7UUhSRHInh,78948.28 
[84817] QUOTE,7UUhSRHInh,HMR 
[84949] CANCEL_BUY,7UUhSRHInh 
[85027] CANCEL_SET_SELL,7UUhSRHInh,RNK 
[85330] SET_SELL_TRIGGER,7UUhSRHInh,CVV,80.31 
[85365] DISPLAY_SUMMARY,7UUhSRHInh 
[85499] ADD,7UUhSRHInh,35862.28 
[85572] QUOTE,7UUhSRHInh,IFQ 
[85809] SET_SELL_AMOUNT,7UUhSRHInh,AVX,72.15 
[85899] QUOTE,7UUhSRHInh,PIC 
[85966] BUY,7UUhSRHInh,ZSV,468.58 
[85969] CANCEL_BUY,7UUhSRHInh 
[86017] SET_BUY_AMOUNT,7UUhSRHInh,JRJ,415.57 
[86068] DISPLAY_SUMMARY,7UUhSRHInh 
[86129] QUOTE,7UUhSRHInh,XRK 
[86184] SET_SELL_TRIGGER,7UUhSRHInh,AVX,58.19 
[86209] ADD,7UUhSRHInh,73999.41 
[86214] BUY,7UUhSRHInh,KNM,42.16 
[86278] COMMIT_BUY,7UUhSRHInh 
[86371] QUOTE,7UUhSRHInh,SVV 
[86455] BUY,7UUhSRHInh,MOM,728.75 
[86596] QUOTE,7UUhSRHInh,YMG 
[86642] SET_BUY_AMOUNT,7UUhSRHInh,XQC,458.85 
[86709] SET_BUY_TRIGGER,7UUhSRHInh,QJC,293.46 
[86928] SET_SELL_TRIGGER,7UUhSRHInh,YWK,152.21 
[87033] ADD,7UUhSRHInh,82448.43 
[87052] BUY,7UUhSRHInh,TVP,705.79 
[87116] COMMIT_BUY,7UUhSRHInh 
[87227] DISPLAY_SUMMARY,7UUhSRHInh 
[87246] ADD,7UUhSRHInh,71022.21 
[87264] BUY,7UUhSRHInh,KLE,485.64 
[87338] COMMIT_SELL,7UUhSRHInh 
[87441] ADD,7UUhSRHInh,55455.02 
[87534] QUOTE,7UUhSRHInh,OWH 
[87674] QUOTE,7UUhSRHInh,ERF 
[87708] SET_SELL_AMOUNT,7UUhSRHInh,SQI,60.47 
[87723] SET_SELL_TRIGGER,7UUhSRHInh,SQI,16.39 
[87802] SET_BUY_AMOUNT,7UUhSRHInh,RUN,200.73 
[87848] SET_BUY_TRIGGER,7UUhSRHInh,OAV,49.13 
[88007] ADD,7UUhSRHInh,68291.17 
[88040] BUY,7UUhSRHInh,ZTR,181.51 
[88171] QUOTE,7UUhSRHInh,PTP 
[88182] BUY,7UUhSRHInh,DES,603.36 
[88279] SELL,7UUhSRHInh,RNK,91.17 
[88344] COMMIT_SELL,7UUhSRHInh 
[88414] SELL,7UUhSRHInh,OZO,743.71 
[88416] COMMIT_SELL,7UUhSRHInh 
[88498] ADD,7UUhSRHInh,43461.15 
[88721] QUOTE,7UUhSRHInh,JQJ 
[88779] SET_SELL_AMOUNT,7UUhSRHInh,QJZ,162.60 
[88911] CANCEL_SET_SELL,7UUhSRHInh,QJZ 
[88963] SELL,7UUhSRHInh,FQP,128.55 
[89015] COMMIT_SELL,7UUhSRHInh 
[89293] SET_BUY_TRIGGER,7UUhSRHInh,VVO,67.85 
[89418] ADD,7UUhSRHInh,71057.78 
[89796] QUOTE,7UUhSRHInh,APY 
[89815] BUY,7UUhSRHInh,FIW,478.88 
[89844] COMMIT_BUY,7UUhSRHInh 
[89849] SET_SELL_TRIGGER,7UUhSRHInh,GCW,4.80 
[89858] DISPLAY_SUMMARY,7UUhSRHInh 
[89922] BUY,7UUhSRHInh,GCL,133.10 
[90178] COMMIT_BUY,7UUhSRHInh 
[90323] CANCEL_BUY,7UUhSRHInh 
[90431] SET_BUY_AMOUNT,7UUhSRHInh,BCQ,223.00 
[90512] SET_BUY_TRIGGER,7UUhSRHInh,SCW,114.39 
[90577] SELL,7UUhSRHInh,SSF,85.26 
[90603] CANCEL_SET_BUY,7UUhSRHInh,SPT 
[90614] SET_SELL_AMOUNT,7UUhSRHInh,KES,286.63 
[90635] QUOTE,7UUhSRHInh,JLK 
[90657] SELL,7UUhSRHInh,KYX,475.19 
[90743] COMMIT_SELL,7UUhSRHInh 
[90944] SET_SELL_AMOUNT,7UUhSRHInh,FQP,371.15 
[91082] SET_SELL_TRIGGER,7UUhSRHInh,FQP,146.38 
[91085] ADD,7UUhSRHInh,80067.07 
[91191] CANCEL_SET_SELL,7UUhSRHInh,UJC 
[91326] BUY,7UUhSRHInh,JGY,713.48 
[91345] CANCEL_BUY,7UUhSRHInh 
[91402] DISPLAY_SUMMARY,7UUhSRHInh 
