[15] ADD,AnPcs8yTdQ,79054.85 
[48127] SET_BUY_AMOUNT,AnPcs8yTdQ,KES,387.99 
[48179] CANCEL_SET_BUY,AnPcs8yTdQ,PIC 
[48187] SELL,AnPcs8yTdQ,RGH,220.76 
[48291] SET_BUY_AMOUNT,AnPcs8yTdQ,CSZ,409.17 
[48319] SET_BUY_TRIGGER,AnPcs8yTdQ,HRJ,61.98 
[48342] SET_BUY_TRIGGER,AnPcs8yTdQ,GIK,116.24 
[48482] DISPLAY_SUMMARY,AnPcs8yTdQ 
[48650] BUY,AnPcs8yTdQ,TOL,606.65 
[49048] QUOTE,AnPcs8yTdQ,WZM 
[49128] BUY,AnPcs8yTdQ,DFE,107.78 
[49274] ADD,AnPcs8yTdQ,59553.97 
[49601] BUY,AnPcs8yTdQ,KIP,543.36 
[49783] COMMIT_BUY,AnPcs8yTdQ 
[49869] CANCEL_SET_SELL,AnPcs8yTdQ,UTV 
[49873] SET_BUY_AMOUNT,AnPcs8yTdQ,JVT,531.41 
[49907] SET_BUY_TRIGGER,AnPcs8yTdQ,EVR,302.62 
[49963] SELL,AnPcs8yTdQ,QJZ,646.34 
[49971] CANCEL_SET_BUY,AnPcs8yTdQ,ROW 
[50095] DISPLAY_SUMMARY,AnPcs8yTdQ 
[50564] SET_SELL_AMOUNT,AnPcs8yTdQ,EBS,328.60 
[50599] CANCEL_SET_SELL,AnPcs8yTdQ,EBS 
[50641] QUOTE,AnPcs8yTdQ,PJW 
[50753] BUY,AnPcs8yTdQ,ALG,633.41 
[50806] COMMIT_BUY,AnPcs8yTdQ 
[50811] SELL,AnPcs8yTdQ,XLK,342.24 
[50832] CANCEL_SELL,AnPcs8yTdQ 
[50960] SET_BUY_AMOUNT,AnPcs8yTdQ,ZAN,195.45 
[51035] SET_BUY_TRIGGER,AnPcs8yTdQ,DVU,176.78 
[51114] SET_BUY_AMOUNT,AnPcs8yTdQ,JZJ,322.62 
[51123] DISPLAY_SUMMARY,AnPcs8yTdQ 
[51244] SELL,AnPcs8yTdQ,EBS,617.08 
[51367] COMMIT_SELL,AnPcs8yTdQ 
[51463] CANCEL_SET_SELL,AnPcs8yTdQ,XPX 
[51513] SET_BUY_TRIGGER,AnPcs8yTdQ,YAZ,66.53 
[51598] ADD,AnPcs8yTdQ,78273.42 
[51732] QUOTE,AnPcs8yTdQ,CXN 
[52046] SET_BUY_TRIGGER,AnPcs8yTdQ,OYW,184.32 
[52232] BUY,AnPcs8yTdQ,IOM,554.87 
[52254] COMMIT_BUY,AnPcs8yTdQ 
[52281] BUY,AnPcs8yTdQ,YVX,295.29 
[52288] COMMIT_BUY,AnPcs8yTdQ 
[52389] SET_BUY_TRIGGER,AnPcs8yTdQ,QQW,27.92 
[52434] DISPLAY_SUMMARY,AnPcs8yTdQ 
[52438] DISPLAY_SUMMARY,AnPcs8yTdQ 
[52440] SET_SELL_TRIGGER,AnPcs8yTdQ,XII,50.56 
[52536] BUY,AnPcs8yTdQ,VVV,315.07 
[52744] SET_BUY_TRIGGER,AnPcs8yTdQ,LPW,54.15 
[52871] ADD,AnPcs8yTdQ,77755.34 
[52998] BUY,AnPcs8yTdQ,RDN,664.58 
[53131] COMMIT_BUY,AnPcs8yTdQ 
[53396] SELL,AnPcs8yTdQ,OEY,484.55 
[53485] COMMIT_SELL,AnPcs8yTdQ 
[53568] SELL,AnPcs8yTdQ,NHG,244.44 
[53766] COMMIT_SELL,AnPcs8yTdQ 
[53854] ADD,AnPcs8yTdQ,41317.81 
[53893] BUY,AnPcs8yTdQ,OTQ,223.15 
[54124] SET_BUY_AMOUNT,AnPcs8yTdQ,LFU,231.64 
[54174] SET_BUY_TRIGGER,AnPcs8yTdQ,AXK,44.38 
[54230] BUY,AnPcs8yTdQ,LUD,346.44 
[54250] COMMIT_BUY,AnPcs8yTdQ 
[54257] QUOTE,AnPcs8yTdQ,RXO 
[54267] QUOTE,AnPcs8yTdQ,LFU 
[54278] QUOTE,AnPcs8yTdQ,GLO 
[54282] SET_SELL_AMOUNT,AnPcs8yTdQ,NHG,544.67 
[54426] SET_SELL_TRIGGER,AnPcs8yTdQ,NHG,169.89 
[54435] ADD,AnPcs8yTdQ,70678.32 
[54586] BUY,AnPcs8yTdQ,PBV,303.28 
[54601] COMMIT_BUY,AnPcs8yTdQ 
[54732] QUOTE,AnPcs8yTdQ,TUO 
[54765] BUY,AnPcs8yTdQ,FVZ,222.99 
[54922] COMMIT_BUY,AnPcs8yTdQ 
[55295] COMMIT_BUY,AnPcs8yTdQ 
[55297] SET_SELL_TRIGGER,AnPcs8yTdQ,PXY,179.40 
[55454] BUY,AnPcs8yTdQ,SYL,550.84 
[55473] CANCEL_BUY,AnPcs8yTdQ 
[55612] SELL,AnPcs8yTdQ,XLK,64.34 
[55646] COMMIT_SELL,AnPcs8yTdQ 
[55741] SET_BUY_TRIGGER,AnPcs8yTdQ,KHY,184.46 
[55772] QUOTE,AnPcs8yTdQ,XBL 
[55898] COMMIT_SELL,AnPcs8yTdQ 
[55977] SET_BUY_TRIGGER,AnPcs8yTdQ,NLT,36.02 
[56110] DISPLAY_SUMMARY,AnPcs8yTdQ 
[56235] DISPLAY_SUMMARY,AnPcs8yTdQ 
[56239] QUOTE,AnPcs8yTdQ,GJQ 
[56258] COMMIT_BUY,AnPcs8yTdQ 
[56523] ADD,AnPcs8yTdQ,63229.32 
[56778] BUY,AnPcs8yTdQ,JII,684.41 
[56787] BUY,AnPcs8yTdQ,RNE,77.41 
[57035] COMMIT_BUY,AnPcs8yTdQ 
[57286] SELL,AnPcs8yTdQ,NHG,504.27 
[57292] SET_SELL_AMOUNT,AnPcs8yTdQ,DFE,510.66 
[57303] SET_SELL_TRIGGER,AnPcs8yTdQ,DFE,456.81 
[57352] SET_BUY_TRIGGER,AnPcs8yTdQ,IBT,154.01 
[57452] DISPLAY_SUMMARY,AnPcs8yTdQ 
[57506] DISPLAY_SUMMARY,AnPcs8yTdQ 
[57555] ADD,AnPcs8yTdQ,66450.36 
[57599] SET_BUY_TRIGGER,AnPcs8yTdQ,IAV,24.24 
[57673] SET_BUY_TRIGGER,AnPcs8yTdQ,JRY,22.43 
[57807] BUY,AnPcs8yTdQ,BTA,496.30 
[57840] DISPLAY_SUMMARY,AnPcs8yTdQ 
[57895] SET_BUY_AMOUNT,AnPcs8yTdQ,GYF,90.10 
[58008] SET_BUY_TRIGGER,AnPcs8yTdQ,GAL,41.10 
[58061] SET_SELL_AMOUNT,AnPcs8yTdQ,UBJ,660.73 
[58188] SET_SELL_TRIGGER,AnPcs8yTdQ,UBJ,259.37 
[58472] ADD,AnPcs8yTdQ,98964.18 
[58590] QUOTE,AnPcs8yTdQ,IHA 
[58656] QUOTE,AnPcs8yTdQ,WPG 
[58813] QUOTE,AnPcs8yTdQ,IHW 
[58855] BUY,AnPcs8yTdQ,MVQ,170.53 
[58891] SET_BUY_TRIGGER,AnPcs8yTdQ,ZOT,109.10 
[58910] BUY,AnPcs8yTdQ,KEO,86.35 
[58911] COMMIT_BUY,AnPcs8yTdQ 
[58940] ADD,AnPcs8yTdQ,45667.24 
[59059] SELL,AnPcs8yTdQ,EBS,612.14 
[59084] ADD,AnPcs8yTdQ,63803.58 
[59090] SELL,AnPcs8yTdQ,EBS,17.67 
[59168] COMMIT_SELL,AnPcs8yTdQ 
[59183] ADD,AnPcs8yTdQ,82519.91 
[59190] QUOTE,AnPcs8yTdQ,WPG 
[59413] SET_BUY_TRIGGER,AnPcs8yTdQ,GJQ,191.51 
[59565] SET_BUY_AMOUNT,AnPcs8yTdQ,NHG,55.35 
[59908] SET_BUY_TRIGGER,AnPcs8yTdQ,JUV,20.47 
[59983] SELL,AnPcs8yTdQ,SSF,380.15 
[60006] COMMIT_SELL,AnPcs8yTdQ 
[60152] SET_SELL_AMOUNT,AnPcs8yTdQ,KES,523.65 
[60206] QUOTE,AnPcs8yTdQ,PFN 
[60243] SET_BUY_TRIGGER,AnPcs8yTdQ,MIQ,70.57 
[60388] QUOTE,AnPcs8yTdQ,EIH 
[60673] QUOTE,AnPcs8yTdQ,ZQC 
[60832] COMMIT_SELL,AnPcs8yTdQ 
[60877] BUY,AnPcs8yTdQ,QPE,504.94 
[60893] COMMIT_BUY,AnPcs8yTdQ 
[60938] QUOTE,AnPcs8yTdQ,CTS 
[61122] SET_BUY_TRIGGER,AnPcs8yTdQ,SEW,20.23 
[61172] SET_SELL_AMOUNT,AnPcs8yTdQ,JZJ,689.44 
[61322] SET_SELL_TRIGGER,AnPcs8yTdQ,JZJ,432.63 
[61352] BUY,AnPcs8yTdQ,QWC,657.38 
[61610] SET_SELL_TRIGGER,AnPcs8yTdQ,QAX,181.81 
[61631] SET_SELL_AMOUNT,AnPcs8yTdQ,BCQ,445.85 
[61776] SET_SELL_TRIGGER,AnPcs8yTdQ,BCQ,127.96 
[61899] SET_SELL_AMOUNT,AnPcs8yTdQ,CEC,725.16 
[61972] SET_SELL_TRIGGER,AnPcs8yTdQ,CEC,320.68 
[62238] SET_BUY_TRIGGER,AnPcs8yTdQ,QID,6.76 
[62243] SELL,AnPcs8yTdQ,DFE,252.13 
[62347] COMMIT_SELL,AnPcs8yTdQ 
[62351] QUOTE,AnPcs8yTdQ,WNX 
[62439] CANCEL_SELL,AnPcs8yTdQ 
[62474] SET_BUY_TRIGGER,AnPcs8yTdQ,YTT,119.44 
[62648] ADD,AnPcs8yTdQ,65869.90 
[62724] SELL,AnPcs8yTdQ,JVT,520.58 
[62963] COMMIT_SELL,AnPcs8yTdQ 
[63021] BUY,AnPcs8yTdQ,SCK,198.44 
[63081] DISPLAY_SUMMARY,AnPcs8yTdQ 
[63122] SET_SELL_AMOUNT,AnPcs8yTdQ,JQO,51.43 
[63441] SET_SELL_TRIGGER,AnPcs8yTdQ,JQO,23.10 
[63490] ADD,AnPcs8yTdQ,98507.87 
[63584] QUOTE,AnPcs8yTdQ,MIU 
[63767] COMMIT_BUY,AnPcs8yTdQ 
[63812] SET_BUY_TRIGGER,AnPcs8yTdQ,SPT,76.99 
[63818] SET_BUY_AMOUNT,AnPcs8yTdQ,PTP,235.52 
[63847] SET_BUY_TRIGGER,AnPcs8yTdQ,WTL,10.32 
[63862] SELL,AnPcs8yTdQ,FDI,460.36 
[64125] SET_SELL_TRIGGER,AnPcs8yTdQ,XAN,51.00 
[64150] DISPLAY_SUMMARY,AnPcs8yTdQ 
[64229] CANCEL_SET_SELL,AnPcs8yTdQ,VCN 
[64305] ADD,AnPcs8yTdQ,81017.25 
[64372] QUOTE,AnPcs8yTdQ,HGG 
[64429] QUOTE,AnPcs8yTdQ,IZJ 
[65013] ADD,AnPcs8yTdQ,48713.74 
[65105] QUOTE,AnPcs8yTdQ,PIE 
[65184] BUY,AnPcs8yTdQ,FVD,6.21 
[65194] CANCEL_SET_SELL,AnPcs8yTdQ,WYO 
[65370] DISPLAY_SUMMARY,AnPcs8yTdQ 
[65478] SELL,AnPcs8yTdQ,BCQ,604.25 
[65559] BUY,AnPcs8yTdQ,SFO,651.74 
[65622] COMMIT_BUY,AnPcs8yTdQ 
[65678] SET_SELL_AMOUNT,AnPcs8yTdQ,CSZ,607.72 
[65954] SELL,AnPcs8yTdQ,CEC,54.17 
[66100] SET_SELL_AMOUNT,AnPcs8yTdQ,UIE,448.53 
[66215] SELL,AnPcs8yTdQ,GYF,420.26 
[66245] CANCEL_SET_SELL,AnPcs8yTdQ,UIE 
[66322] QUOTE,AnPcs8yTdQ,YPL 
[66349] BUY,AnPcs8yTdQ,USW,281.16 
[66393] COMMIT_BUY,AnPcs8yTdQ 
[66917] CANCEL_SELL,AnPcs8yTdQ 
[66997] BUY,AnPcs8yTdQ,NKC,464.33 
[67024] COMMIT_BUY,AnPcs8yTdQ 
[67072] DISPLAY_SUMMARY,AnPcs8yTdQ 
[67077] ADD,AnPcs8yTdQ,65515.99 
[67080] BUY,AnPcs8yTdQ,EOS,658.80 
[67101] CANCEL_BUY,AnPcs8yTdQ 
[67429] SET_BUY_AMOUNT,AnPcs8yTdQ,QAX,107.84 
[67451] QUOTE,AnPcs8yTdQ,SXB 
[67621] ADD,AnPcs8yTdQ,82816.09 
[67689] QUOTE,AnPcs8yTdQ,FPI 
[67752] DISPLAY_SUMMARY,AnPcs8yTdQ 
[67960] SET_SELL_TRIGGER,AnPcs8yTdQ,ZQW,4.70 
[68211] SET_BUY_TRIGGER,AnPcs8yTdQ,EGX,46.88 
[68238] COMMIT_SELL,AnPcs8yTdQ 
[68370] ADD,AnPcs8yTdQ,73138.03 
[68519] BUY,AnPcs8yTdQ,XEA,71.77 
[68576] SET_SELL_AMOUNT,AnPcs8yTdQ,QAX,83.46 
[68639] QUOTE,AnPcs8yTdQ,MSV 
[68644] SET_SELL_AMOUNT,AnPcs8yTdQ,DFE,723.52 
[69022] SET_SELL_TRIGGER,AnPcs8yTdQ,DFE,581.74 
[69092] SET_SELL_AMOUNT,AnPcs8yTdQ,JCQ,99.30 
[69659] SET_SELL_TRIGGER,AnPcs8yTdQ,JCQ,30.03 
[69737] DISPLAY_SUMMARY,AnPcs8yTdQ 
[69750] SELL,AnPcs8yTdQ,ZYR,458.42 
[69789] COMMIT_SELL,AnPcs8yTdQ 
[69798] SET_BUY_TRIGGER,AnPcs8yTdQ,FFI,185.53 
[69835] SELL,AnPcs8yTdQ,SUS,48.66 
[69936] COMMIT_SELL,AnPcs8yTdQ 
[70085] BUY,AnPcs8yTdQ,RNE,470.55 
[70115] COMMIT_BUY,AnPcs8yTdQ 
[70192] QUOTE,AnPcs8yTdQ,AUX 
[70279] ADD,AnPcs8yTdQ,84666.46 
[70686] QUOTE,AnPcs8yTdQ,KMV 
[70742] BUY,AnPcs8yTdQ,GLJ,725.07 
[70747] CANCEL_SET_BUY,AnPcs8yTdQ,HTD 
[70815] DISPLAY_SUMMARY,AnPcs8yTdQ 
[70942] SET_SELL_TRIGGER,AnPcs8yTdQ,PXY,25.65 
[70962] ADD,AnPcs8yTdQ,22599.11 
[71047] BUY,AnPcs8yTdQ,ZQS,445.50 
[71067] BUY,AnPcs8yTdQ,FUF,508.60 
[71073] COMMIT_BUY,AnPcs8yTdQ 
[71107] BUY,AnPcs8yTdQ,AJR,253.74 
[71276] SET_SELL_TRIGGER,AnPcs8yTdQ,ZAN,63.19 
[71557] SELL,AnPcs8yTdQ,JCQ,250.38 
[71582] CANCEL_SELL,AnPcs8yTdQ 
[71637] DISPLAY_SUMMARY,AnPcs8yTdQ 
[71661] QUOTE,AnPcs8yTdQ,WKE 
[71698] SET_SELL_TRIGGER,AnPcs8yTdQ,SWJ,124.61 
[71742] SET_SELL_TRIGGER,AnPcs8yTdQ,TKG,10.24 
[71895] SELL,AnPcs8yTdQ,XQC,16.18 
[71909] COMMIT_SELL,AnPcs8yTdQ 
[71943] CANCEL_SET_SELL,AnPcs8yTdQ,URA 
[71977] QUOTE,AnPcs8yTdQ,RXB 
[72147] CANCEL_SET_BUY,AnPcs8yTdQ,MLU 
[72160] BUY,AnPcs8yTdQ,STT,344.48 
[72232] BUY,AnPcs8yTdQ,FYR,101.60 
[72248] COMMIT_BUY,AnPcs8yTdQ 
[72401] SET_BUY_TRIGGER,AnPcs8yTdQ,JMX,3.72 
[72446] DISPLAY_SUMMARY,AnPcs8yTdQ 
[72465] SET_BUY_AMOUNT,AnPcs8yTdQ,KDA,488.92 
[72612] SET_BUY_TRIGGER,AnPcs8yTdQ,FLD,151.52 
[72711] SELL,AnPcs8yTdQ,QJZ,149.39 
[72752] COMMIT_SELL,AnPcs8yTdQ 
[72774] QUOTE,AnPcs8yTdQ,PTP 
[72843] QUOTE,AnPcs8yTdQ,JIC 
[72897] SET_BUY_TRIGGER,AnPcs8yTdQ,TYV,27.66 
[72908] DISPLAY_SUMMARY,AnPcs8yTdQ 
[72909] BUY,AnPcs8yTdQ,YBP,228.68 
[73009] DISPLAY_SUMMARY,AnPcs8yTdQ 
[73049] SET_SELL_TRIGGER,AnPcs8yTdQ,OEX,154.43 
[73083] DISPLAY_SUMMARY,AnPcs8yTdQ 
[73110] BUY,AnPcs8yTdQ,JTX,88.56 
[73739] COMMIT_BUY,AnPcs8yTdQ 
[73805] DISPLAY_SUMMARY,AnPcs8yTdQ 
[73836] DISPLAY_SUMMARY,AnPcs8yTdQ 
[73862] ADD,AnPcs8yTdQ,67239.52 
[73931] BUY,AnPcs8yTdQ,QPR,540.66 
[73950] COMMIT_BUY,AnPcs8yTdQ 
[73986] ADD,AnPcs8yTdQ,74586.21 
[74241] QUOTE,AnPcs8yTdQ,RWY 
[74254] QUOTE,AnPcs8yTdQ,BPK 
[74571] CANCEL_BUY,AnPcs8yTdQ 
[74723] SELL,AnPcs8yTdQ,XQC,113.19 
[74754] SET_BUY_TRIGGER,AnPcs8yTdQ,FSD,6.68 
[74773] BUY,AnPcs8yTdQ,FDI,159.52 
[75125] BUY,AnPcs8yTdQ,MOS,185.25 
[75152] COMMIT_BUY,AnPcs8yTdQ 
[75186] QUOTE,AnPcs8yTdQ,RUN 
[75210] BUY,AnPcs8yTdQ,MQP,97.40 
[75304] CANCEL_SET_SELL,AnPcs8yTdQ,LLF 
[75384] DISPLAY_SUMMARY,AnPcs8yTdQ 
[75577] SELL,AnPcs8yTdQ,FQP,316.94 
[75730] QUOTE,AnPcs8yTdQ,XFA 
[75847] QUOTE,AnPcs8yTdQ,FGI 
[76088] QUOTE,AnPcs8yTdQ,BPP 
[76092] ADD,AnPcs8yTdQ,50380.25 
[76107] CANCEL_SELL,AnPcs8yTdQ 
[76132] DISPLAY_SUMMARY,AnPcs8yTdQ 
[76153] SELL,AnPcs8yTdQ,GYF,191.73 
[76304] CANCEL_SET_BUY,AnPcs8yTdQ,KWP 
[76404] SELL,AnPcs8yTdQ,LFU,82.61 
[76423] COMMIT_SELL,AnPcs8yTdQ 
[76510] CANCEL_SET_BUY,AnPcs8yTdQ,XZN 
[76701] BUY,AnPcs8yTdQ,YUL,466.62 
[76746] ADD,AnPcs8yTdQ,68994.37 
[76953] BUY,AnPcs8yTdQ,YNY,663.12 
[77045] COMMIT_BUY,AnPcs8yTdQ 
[77114] ADD,AnPcs8yTdQ,52250.63 
[77158] QUOTE,AnPcs8yTdQ,SYU 
[77235] SET_BUY_TRIGGER,AnPcs8yTdQ,RQL,187.57 
[77345] CANCEL_SET_SELL,AnPcs8yTdQ,GLO 
[77407] ADD,AnPcs8yTdQ,58065.72 
[77523] BUY,AnPcs8yTdQ,NTB,285.98 
[77671] SET_SELL_AMOUNT,AnPcs8yTdQ,JVT,333.84 
[77762] SET_SELL_TRIGGER,AnPcs8yTdQ,JVT,9.00 
[77774] DISPLAY_SUMMARY,AnPcs8yTdQ 
[77788] ADD,AnPcs8yTdQ,71186.30 
[77890] BUY,AnPcs8yTdQ,LBC,352.44 
[77931] CANCEL_BUY,AnPcs8yTdQ 
[77958] ADD,AnPcs8yTdQ,73895.57 
[78014] BUY,AnPcs8yTdQ,AQO,137.42 
[78321] COMMIT_BUY,AnPcs8yTdQ 
[78506] SET_SELL_TRIGGER,AnPcs8yTdQ,MVY,186.84 
[78517] SET_SELL_AMOUNT,AnPcs8yTdQ,UTV,561.69 
[78554] CANCEL_SET_SELL,AnPcs8yTdQ,UTV 
[78559] ADD,AnPcs8yTdQ,95029.66 
[78751] QUOTE,AnPcs8yTdQ,XSS 
[78823] QUOTE,AnPcs8yTdQ,SPT 
[78848] CANCEL_SET_BUY,AnPcs8yTdQ,MHQ 
[78883] DISPLAY_SUMMARY,AnPcs8yTdQ 
[78943] QUOTE,AnPcs8yTdQ,KHY 
[79072] SET_SELL_AMOUNT,AnPcs8yTdQ,UTV,393.66 
[79148] SET_SELL_TRIGGER,AnPcs8yTdQ,UTV,146.81 
[79181] DISPLAY_SUMMARY,AnPcs8yTdQ 
[79440] SELL,AnPcs8yTdQ,QGE,572.03 
[79447] QUOTE,AnPcs8yTdQ,AVI 
[79480] SET_BUY_TRIGGER,AnPcs8yTdQ,TOZ,183.77 
[79526] DISPLAY_SUMMARY,AnPcs8yTdQ 
[79570] DISPLAY_SUMMARY,AnPcs8yTdQ 
[79675] SET_SELL_TRIGGER,AnPcs8yTdQ,XOL,176.89 
[79684] DISPLAY_SUMMARY,AnPcs8yTdQ 
[79727] DISPLAY_SUMMARY,AnPcs8yTdQ 
[79904] COMMIT_BUY,AnPcs8yTdQ 
[79906] ADD,AnPcs8yTdQ,53041.26 
[79952] QUOTE,AnPcs8yTdQ,CDF 
[79980] CANCEL_SELL,AnPcs8yTdQ 
[79993] QUOTE,AnPcs8yTdQ,VIG 
[80021] BUY,AnPcs8yTdQ,QBD,490.51 
[80131] COMMIT_BUY,AnPcs8yTdQ 
[80182] QUOTE,AnPcs8yTdQ,SSL 
[80497] ADD,AnPcs8yTdQ,72633.92 
[80530] BUY,AnPcs8yTdQ,SCK,239.75 
[80575] COMMIT_BUY,AnPcs8yTdQ 
[80650] DISPLAY_SUMMARY,AnPcs8yTdQ 
[80755] CANCEL_SET_SELL,AnPcs8yTdQ,RQL 
[80878] SET_SELL_AMOUNT,AnPcs8yTdQ,UIE,605.54 
[80944] SET_SELL_TRIGGER,AnPcs8yTdQ,UIE,29.32 
[81062] QUOTE,AnPcs8yTdQ,YKB 
[81208] COMMIT_BUY,AnPcs8yTdQ 
[81304] BUY,AnPcs8yTdQ,WHR,483.42 
[81479] COMMIT_SELL,AnPcs8yTdQ 
[81495] ADD,AnPcs8yTdQ,72732.03 
[81599] QUOTE,AnPcs8yTdQ,MQH 
[81704] QUOTE,AnPcs8yTdQ,QOQ 
[81708] BUY,AnPcs8yTdQ,DXQ,532.63 
[81737] COMMIT_BUY,AnPcs8yTdQ 
[81829] SET_SELL_TRIGGER,AnPcs8yTdQ,DBT,101.39 
[81833] SELL,AnPcs8yTdQ,FDI,726.49 
[81853] COMMIT_SELL,AnPcs8yTdQ 
[82075] BUY,AnPcs8yTdQ,OGR,118.12 
[82240] QUOTE,AnPcs8yTdQ,YPL 
[82295] SET_SELL_AMOUNT,AnPcs8yTdQ,KYX,26.38 
[82368] SET_SELL_TRIGGER,AnPcs8yTdQ,KYX,5.24 
[82415] SET_BUY_AMOUNT,AnPcs8yTdQ,AVX,461.86 
[82418] SET_BUY_TRIGGER,AnPcs8yTdQ,STQ,319.16 
[82507] SET_BUY_TRIGGER,AnPcs8yTdQ,TZJ,60.91 
[82518] BUY,AnPcs8yTdQ,FUR,254.90 
[82523] SET_BUY_TRIGGER,AnPcs8yTdQ,PHE,95.70 
[82789] DISPLAY_SUMMARY,AnPcs8yTdQ 
[82815] SET_BUY_AMOUNT,AnPcs8yTdQ,KBN,331.47 
[82852] SET_BUY_TRIGGER,AnPcs8yTdQ,AOU,236.14 
[82953] DISPLAY_SUMMARY,AnPcs8yTdQ 
[83066] BUY,AnPcs8yTdQ,PRJ,672.86 
[83145] CANCEL_BUY,AnPcs8yTdQ 
[83153] SELL,AnPcs8yTdQ,MFX,529.67 
[83260] SET_SELL_TRIGGER,AnPcs8yTdQ,XXN,49.09 
[83341] ADD,AnPcs8yTdQ,85223.95 
[83434] SELL,AnPcs8yTdQ,YJK,374.99 
[83465] BUY,AnPcs8yTdQ,WCY,46.31 
[83466] COMMIT_BUY,AnPcs8yTdQ 
[83518] SET_SELL_AMOUNT,AnPcs8yTdQ,PTP,734.60 
[83596] SET_SELL_TRIGGER,AnPcs8yTdQ,PTP,136.76 
[83684] DISPLAY_SUMMARY,AnPcs8yTdQ 
[83726] SELL,AnPcs8yTdQ,XQC,64.35 
[83865] COMMIT_SELL,AnPcs8yTdQ 
[83994] ADD,AnPcs8yTdQ,58609.38 
[83995] QUOTE,AnPcs8yTdQ,UZZ 
[84075] SET_BUY_AMOUNT,AnPcs8yTdQ,MFX,458.85 
[84127] SET_BUY_TRIGGER,AnPcs8yTdQ,WNH,182.26 
[84154] SELL,AnPcs8yTdQ,NHG,49.02 
[84171] COMMIT_SELL,AnPcs8yTdQ 
[84490] QUOTE,AnPcs8yTdQ,TTY 
[84496] BUY,AnPcs8yTdQ,RRE,413.14 
[84785] QUOTE,AnPcs8yTdQ,JCL 
[84790] ADD,AnPcs8yTdQ,56674.66 
[84797] CANCEL_SET_BUY,AnPcs8yTdQ,PCK 
[84893] ADD,AnPcs8yTdQ,75872.16 
[84977] SELL,AnPcs8yTdQ,CSZ,329.93 
[85362] CANCEL_SELL,AnPcs8yTdQ 
[85404] SET_BUY_AMOUNT,AnPcs8yTdQ,GYF,355.15 
[85424] SET_BUY_TRIGGER,AnPcs8yTdQ,JVT,34.87 
[85432] SELL,AnPcs8yTdQ,OEY,630.16 
[85456] COMMIT_SELL,AnPcs8yTdQ 
[85580] QUOTE,AnPcs8yTdQ,GQV 
[85692] BUY,AnPcs8yTdQ,BBC,522.77 
[85711] BUY,AnPcs8yTdQ,UUJ,436.74 
[85839] COMMIT_BUY,AnPcs8yTdQ 
[86014] SELL,AnPcs8yTdQ,OEY,488.57 
[86264] COMMIT_SELL,AnPcs8yTdQ 
[86434] DISPLAY_SUMMARY,AnPcs8yTdQ 
[86443] ADD,AnPcs8yTdQ,62636.41 
[86490] QUOTE,AnPcs8yTdQ,GHE 
[86623] QUOTE,AnPcs8yTdQ,FMJ 
[86674] BUY,AnPcs8yTdQ,ZMS,671.98 
[86837] COMMIT_BUY,AnPcs8yTdQ 
[86871] DISPLAY_SUMMARY,AnPcs8yTdQ 
[86876] SET_SELL_TRIGGER,AnPcs8yTdQ,KNM,164.10 
[87075] SET_BUY_TRIGGER,AnPcs8yTdQ,QBD,12.27 
[87141] ADD,AnPcs8yTdQ,84640.37 
[87158] BUY,AnPcs8yTdQ,OEM,352.74 
[87176] COMMIT_BUY,AnPcs8yTdQ 
[87196] ADD,AnPcs8yTdQ,63887.26 
[87256] BUY,AnPcs8yTdQ,WBL,80.33 
[87297] COMMIT_BUY,AnPcs8yTdQ 
[87361] BUY,AnPcs8yTdQ,JHY,300.26 
[87522] SET_BUY_AMOUNT,AnPcs8yTdQ,CEC,412.34 
[87567] SET_BUY_TRIGGER,AnPcs8yTdQ,KYT,14.47 
[87816] SET_SELL_TRIGGER,AnPcs8yTdQ,NGB,149.09 
[87907] SET_BUY_AMOUNT,AnPcs8yTdQ,JVT,656.68 
[87923] SET_BUY_TRIGGER,AnPcs8yTdQ,KEO,301.10 
[88038] SET_BUY_TRIGGER,AnPcs8yTdQ,OFP,162.62 
[88309] QUOTE,AnPcs8yTdQ,EOY 
[88514] QUOTE,AnPcs8yTdQ,KJM 
[88515] BUY,AnPcs8yTdQ,WKD,444.71 
[88770] QUOTE,AnPcs8yTdQ,UXP 
[88922] BUY,AnPcs8yTdQ,RRE,668.75 
[88978] CANCEL_BUY,AnPcs8yTdQ 
[89041] QUOTE,AnPcs8yTdQ,FYR 
[89089] CANCEL_BUY,AnPcs8yTdQ 
[89106] QUOTE,AnPcs8yTdQ,MUN 
[89138] ADD,AnPcs8yTdQ,50432.24 
[89198] QUOTE,AnPcs8yTdQ,AMI 
[89201] BUY,AnPcs8yTdQ,ZTI,2.86 
[89274] CANCEL_BUY,AnPcs8yTdQ 
[89344] SET_BUY_AMOUNT,AnPcs8yTdQ,GYF,405.16 
[89426] DISPLAY_SUMMARY,AnPcs8yTdQ 
[89429] DISPLAY_SUMMARY,AnPcs8yTdQ 
[89448] DISPLAY_SUMMARY,AnPcs8yTdQ 
[89598] SET_SELL_TRIGGER,AnPcs8yTdQ,VQA,121.62 
[89640] SELL,AnPcs8yTdQ,RNK,262.56 
[89916] SET_SELL_AMOUNT,AnPcs8yTdQ,RGH,599.16 
[90030] SET_SELL_TRIGGER,AnPcs8yTdQ,RGH,167.74 
[90052] CANCEL_SET_BUY,AnPcs8yTdQ,SJH 
