[147] ADD,pIkIgs3Y8E,65033.99 
[43871] SET_SELL_TRIGGER,pIkIgs3Y8E,CUZ,281.86 
[43954] QUOTE,pIkIgs3Y8E,BMW 
[44025] CANCEL_BUY,pIkIgs3Y8E 
[44252] ADD,pIkIgs3Y8E,67922.57 
[44394] QUOTE,pIkIgs3Y8E,CCH 
[44460] ADD,pIkIgs3Y8E,59331.60 
[44585] BUY,pIkIgs3Y8E,VVV,699.48 
[44673] COMMIT_BUY,pIkIgs3Y8E 
[44706] SET_SELL_TRIGGER,pIkIgs3Y8E,IGT,3.37 
[44753] ADD,pIkIgs3Y8E,66088.64 
[44841] DISPLAY_SUMMARY,pIkIgs3Y8E 
[44865] SET_BUY_AMOUNT,pIkIgs3Y8E,JVT,349.37 
[45119] SET_BUY_TRIGGER,pIkIgs3Y8E,OXV,276.23 
[45244] SET_SELL_TRIGGER,pIkIgs3Y8E,TVP,112.42 
[45280] ADD,pIkIgs3Y8E,71697.69 
[45293] CANCEL_SET_BUY,pIkIgs3Y8E,MKE 
[45408] SELL,pIkIgs3Y8E,QAX,365.35 
[45498] COMMIT_SELL,pIkIgs3Y8E 
[45507] SET_SELL_TRIGGER,pIkIgs3Y8E,ROW,178.63 
[45542] ADD,pIkIgs3Y8E,30165.03 
[45648] QUOTE,pIkIgs3Y8E,ZJQ 
[45884] SELL,pIkIgs3Y8E,PTP,1.56 
[46071] COMMIT_SELL,pIkIgs3Y8E 
[46072] BUY,pIkIgs3Y8E,HFS,354.86 
[46259] COMMIT_BUY,pIkIgs3Y8E 
[46372] SELL,pIkIgs3Y8E,JCQ,614.23 
[46373] COMMIT_SELL,pIkIgs3Y8E 
[46392] DISPLAY_SUMMARY,pIkIgs3Y8E 
[46507] DISPLAY_SUMMARY,pIkIgs3Y8E 
[46627] QUOTE,pIkIgs3Y8E,WUF 
[46702] BUY,pIkIgs3Y8E,LSK,522.66 
[46762] COMMIT_BUY,pIkIgs3Y8E 
[46842] BUY,pIkIgs3Y8E,ZFT,182.95 
[46990] CANCEL_SELL,pIkIgs3Y8E 
[47017] QUOTE,pIkIgs3Y8E,PBV 
[47146] BUY,pIkIgs3Y8E,NAR,522.94 
[47227] SET_BUY_AMOUNT,pIkIgs3Y8E,JZJ,578.02 
[47289] SET_BUY_TRIGGER,pIkIgs3Y8E,URD,487.80 
[47310] QUOTE,pIkIgs3Y8E,QPZ 
[47348] SELL,pIkIgs3Y8E,BYA,60.91 
[47369] CANCEL_SELL,pIkIgs3Y8E 
[47382] SELL,pIkIgs3Y8E,JZJ,149.44 
[47508] DISPLAY_SUMMARY,pIkIgs3Y8E 
[47625] SELL,pIkIgs3Y8E,CSZ,500.64 
[47680] COMMIT_SELL,pIkIgs3Y8E 
[48137] BUY,pIkIgs3Y8E,ZGR,288.06 
[48241] COMMIT_BUY,pIkIgs3Y8E 
[48591] ADD,pIkIgs3Y8E,69604.96 
[48596] BUY,pIkIgs3Y8E,YEH,446.69 
[48633] COMMIT_SELL,pIkIgs3Y8E 
[48644] SET_BUY_TRIGGER,pIkIgs3Y8E,MLI,162.93 
[48921] SET_SELL_AMOUNT,pIkIgs3Y8E,EBS,526.15 
[49039] BUY,pIkIgs3Y8E,YJK,61.90 
[49291] COMMIT_BUY,pIkIgs3Y8E 
[49371] ADD,pIkIgs3Y8E,79568.97 
[49480] BUY,pIkIgs3Y8E,JTY,537.47 
[49505] BUY,pIkIgs3Y8E,GPM,612.37 
[49714] SET_BUY_AMOUNT,pIkIgs3Y8E,ZAN,692.26 
[49914] SET_BUY_TRIGGER,pIkIgs3Y8E,DWU,236.89 
[49994] ADD,pIkIgs3Y8E,59277.33 
[50240] BUY,pIkIgs3Y8E,UDQ,326.79 
[50383] QUOTE,pIkIgs3Y8E,WYO 
[50480] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,294.56 
[50577] SET_BUY_TRIGGER,pIkIgs3Y8E,FOV,161.61 
[50590] SELL,pIkIgs3Y8E,BYA,65.35 
[50798] COMMIT_BUY,pIkIgs3Y8E 
[50961] ADD,pIkIgs3Y8E,63963.83 
[51064] BUY,pIkIgs3Y8E,SPP,12.03 
[51099] SELL,pIkIgs3Y8E,JZJ,389.58 
[51182] COMMIT_SELL,pIkIgs3Y8E 
[51221] SET_SELL_AMOUNT,pIkIgs3Y8E,PTP,191.20 
[51255] SET_SELL_TRIGGER,pIkIgs3Y8E,PTP,6.00 
[51304] SELL,pIkIgs3Y8E,JRJ,402.54 
[51328] SET_BUY_AMOUNT,pIkIgs3Y8E,DFE,546.45 
[51526] SELL,pIkIgs3Y8E,QAX,48.07 
[51659] ADD,pIkIgs3Y8E,61446.05 
[51827] BUY,pIkIgs3Y8E,OBR,652.19 
[51843] QUOTE,pIkIgs3Y8E,WYR 
[51958] QUOTE,pIkIgs3Y8E,ECX 
[51994] BUY,pIkIgs3Y8E,JII,374.26 
[52241] COMMIT_BUY,pIkIgs3Y8E 
[52264] QUOTE,pIkIgs3Y8E,TKV 
[52470] QUOTE,pIkIgs3Y8E,UDN 
[52972] SET_SELL_AMOUNT,pIkIgs3Y8E,DFE,683.34 
[53168] SET_SELL_TRIGGER,pIkIgs3Y8E,DFE,476.75 
[53410] SET_BUY_AMOUNT,pIkIgs3Y8E,YJK,129.15 
[53610] SET_BUY_TRIGGER,pIkIgs3Y8E,JVT,22.32 
[53689] SELL,pIkIgs3Y8E,BCQ,71.78 
[53765] DISPLAY_SUMMARY,pIkIgs3Y8E 
[53868] ADD,pIkIgs3Y8E,85211.17 
[53887] CANCEL_BUY,pIkIgs3Y8E 
[53942] SELL,pIkIgs3Y8E,RNK,419.98 
[54252] COMMIT_SELL,pIkIgs3Y8E 
[54253] SET_BUY_AMOUNT,pIkIgs3Y8E,BYA,51.59 
[54279] SET_BUY_TRIGGER,pIkIgs3Y8E,OYX,0.98 
[54291] COMMIT_BUY,pIkIgs3Y8E 
[54328] ADD,pIkIgs3Y8E,71300.45 
[54392] BUY,pIkIgs3Y8E,SJH,744.43 
[54596] CANCEL_BUY,pIkIgs3Y8E 
[54663] SET_SELL_TRIGGER,pIkIgs3Y8E,NXF,71.68 
[54671] BUY,pIkIgs3Y8E,SHP,698.91 
[54853] SELL,pIkIgs3Y8E,FDI,462.66 
[54859] CANCEL_SELL,pIkIgs3Y8E 
[55039] SET_SELL_AMOUNT,pIkIgs3Y8E,QAX,196.68 
[55071] SET_SELL_TRIGGER,pIkIgs3Y8E,QAX,29.44 
[55095] SELL,pIkIgs3Y8E,KDA,83.27 
[55124] SELL,pIkIgs3Y8E,JQO,403.32 
[55318] COMMIT_SELL,pIkIgs3Y8E 
[55387] SET_SELL_AMOUNT,pIkIgs3Y8E,EBS,369.07 
[55407] SET_SELL_TRIGGER,pIkIgs3Y8E,EBS,11.39 
[55466] SELL,pIkIgs3Y8E,EBS,357.64 
[55727] COMMIT_SELL,pIkIgs3Y8E 
[55986] SET_SELL_TRIGGER,pIkIgs3Y8E,UDM,179.23 
[55994] ADD,pIkIgs3Y8E,51923.29 
[56068] QUOTE,pIkIgs3Y8E,FUR 
[56392] QUOTE,pIkIgs3Y8E,OIY 
[56476] BUY,pIkIgs3Y8E,ZTI,105.77 
[56503] COMMIT_BUY,pIkIgs3Y8E 
[56773] ADD,pIkIgs3Y8E,47524.41 
[56809] BUY,pIkIgs3Y8E,CDF,545.58 
[56887] COMMIT_BUY,pIkIgs3Y8E 
[56952] SET_BUY_AMOUNT,pIkIgs3Y8E,OEY,656.84 
[57029] SELL,pIkIgs3Y8E,JRJ,385.23 
[57105] CANCEL_BUY,pIkIgs3Y8E 
[57139] SET_BUY_TRIGGER,pIkIgs3Y8E,SYN,469.71 
[57176] DISPLAY_SUMMARY,pIkIgs3Y8E 
[57478] QUOTE,pIkIgs3Y8E,PXF 
[57480] QUOTE,pIkIgs3Y8E,GLJ 
[57622] BUY,pIkIgs3Y8E,KRX,30.16 
[57654] COMMIT_BUY,pIkIgs3Y8E 
[57897] SET_BUY_AMOUNT,pIkIgs3Y8E,SSF,455.82 
[58480] SET_BUY_TRIGGER,pIkIgs3Y8E,JDO,149.06 
[58772] ADD,pIkIgs3Y8E,54354.05 
[58851] COMMIT_BUY,pIkIgs3Y8E 
[58870] SELL,pIkIgs3Y8E,JCQ,622.29 
[58872] SET_SELL_AMOUNT,pIkIgs3Y8E,JCQ,19.61 
[58962] SET_SELL_TRIGGER,pIkIgs3Y8E,JCQ,3.84 
[59109] CANCEL_BUY,pIkIgs3Y8E 
[59173] ADD,pIkIgs3Y8E,43892.81 
[59189] QUOTE,pIkIgs3Y8E,IOY 
[59202] BUY,pIkIgs3Y8E,ZQS,269.52 
[59253] COMMIT_BUY,pIkIgs3Y8E 
[59323] SET_SELL_AMOUNT,pIkIgs3Y8E,FQP,645.82 
[59416] BUY,pIkIgs3Y8E,DHA,622.16 
[59505] CANCEL_BUY,pIkIgs3Y8E 
[59713] SET_BUY_TRIGGER,pIkIgs3Y8E,NOP,100.15 
[59963] DISPLAY_SUMMARY,pIkIgs3Y8E 
[60232] SET_BUY_TRIGGER,pIkIgs3Y8E,OBO,39.53 
[60320] SET_SELL_AMOUNT,pIkIgs3Y8E,QJZ,574.52 
[60606] BUY,pIkIgs3Y8E,XER,45.20 
[60825] COMMIT_BUY,pIkIgs3Y8E 
[60914] SET_BUY_TRIGGER,pIkIgs3Y8E,GUB,49.07 
[61048] SET_SELL_TRIGGER,pIkIgs3Y8E,QJZ,573.04 
[61196] SET_BUY_TRIGGER,pIkIgs3Y8E,ZHB,148.62 
[61276] ADD,pIkIgs3Y8E,79371.54 
[61517] QUOTE,pIkIgs3Y8E,GCW 
[61567] DISPLAY_SUMMARY,pIkIgs3Y8E 
[61609] DISPLAY_SUMMARY,pIkIgs3Y8E 
[61739] SET_BUY_AMOUNT,pIkIgs3Y8E,GRM,609.58 
[61842] SET_BUY_TRIGGER,pIkIgs3Y8E,WUL,42.71 
[61915] SET_BUY_AMOUNT,pIkIgs3Y8E,BYA,353.21 
[62064] SET_BUY_TRIGGER,pIkIgs3Y8E,FNY,3.87 
[62219] BUY,pIkIgs3Y8E,RUN,167.41 
[62663] COMMIT_BUY,pIkIgs3Y8E 
[62673] CANCEL_SELL,pIkIgs3Y8E 
[62835] ADD,pIkIgs3Y8E,72166.31 
[62858] BUY,pIkIgs3Y8E,FFN,7.61 
[62873] COMMIT_BUY,pIkIgs3Y8E 
[62987] SET_BUY_TRIGGER,pIkIgs3Y8E,WBL,95.89 
[63177] SELL,pIkIgs3Y8E,OEY,349.73 
[63244] CANCEL_SELL,pIkIgs3Y8E 
[63544] SET_BUY_AMOUNT,pIkIgs3Y8E,BCQ,282.64 
[63754] SET_BUY_TRIGGER,pIkIgs3Y8E,VEN,222.89 
[63824] SELL,pIkIgs3Y8E,UTV,660.95 
[63828] COMMIT_SELL,pIkIgs3Y8E 
[63867] SET_BUY_TRIGGER,pIkIgs3Y8E,CEC,188.59 
[63925] SELL,pIkIgs3Y8E,RUN,37.36 
[64059] QUOTE,pIkIgs3Y8E,PHZ 
[64071] CANCEL_SET_SELL,pIkIgs3Y8E,WKL 
[64243] ADD,pIkIgs3Y8E,60610.32 
[64264] BUY,pIkIgs3Y8E,VVV,196.16 
[64458] QUOTE,pIkIgs3Y8E,SAJ 
[64462] QUOTE,pIkIgs3Y8E,OEN 
[64494] SET_BUY_TRIGGER,pIkIgs3Y8E,IFI,97.58 
[64679] SET_SELL_TRIGGER,pIkIgs3Y8E,RQT,141.07 
[64722] BUY,pIkIgs3Y8E,UFX,154.33 
[64903] COMMIT_BUY,pIkIgs3Y8E 
[64917] SET_BUY_AMOUNT,pIkIgs3Y8E,QJZ,597.07 
[65147] SET_BUY_TRIGGER,pIkIgs3Y8E,IFN,210.54 
[65165] DISPLAY_SUMMARY,pIkIgs3Y8E 
[65279] DISPLAY_SUMMARY,pIkIgs3Y8E 
[65433] BUY,pIkIgs3Y8E,IDN,720.13 
[65468] COMMIT_BUY,pIkIgs3Y8E 
[65555] ADD,pIkIgs3Y8E,71426.32 
[65779] SET_SELL_AMOUNT,pIkIgs3Y8E,XXQ,519.67 
[65788] CANCEL_SET_SELL,pIkIgs3Y8E,XXQ 
[65912] SELL,pIkIgs3Y8E,ZYR,722.68 
[66014] QUOTE,pIkIgs3Y8E,IBT 
[66246] ADD,pIkIgs3Y8E,61411.41 
[66301] BUY,pIkIgs3Y8E,PJW,548.47 
[66342] COMMIT_BUY,pIkIgs3Y8E 
[66437] SET_SELL_AMOUNT,pIkIgs3Y8E,ZYR,643.26 
[66500] SET_SELL_TRIGGER,pIkIgs3Y8E,ZYR,632.18 
[66642] DISPLAY_SUMMARY,pIkIgs3Y8E 
[66895] DISPLAY_SUMMARY,pIkIgs3Y8E 
[66940] ADD,pIkIgs3Y8E,73535.76 
[66995] QUOTE,pIkIgs3Y8E,DBS 
[67052] BUY,pIkIgs3Y8E,SWJ,732.00 
[67136] COMMIT_BUY,pIkIgs3Y8E 
[67180] ADD,pIkIgs3Y8E,77931.88 
[67205] BUY,pIkIgs3Y8E,EDM,411.09 
[67281] COMMIT_BUY,pIkIgs3Y8E 
[67585] ADD,pIkIgs3Y8E,51431.57 
[67810] BUY,pIkIgs3Y8E,SAR,537.77 
[67816] COMMIT_BUY,pIkIgs3Y8E 
[67974] SET_BUY_TRIGGER,pIkIgs3Y8E,JII,57.64 
[67993] SET_SELL_AMOUNT,pIkIgs3Y8E,LFU,428.58 
[68028] SET_SELL_TRIGGER,pIkIgs3Y8E,LFU,146.96 
[68060] QUOTE,pIkIgs3Y8E,TVP 
[68093] ADD,pIkIgs3Y8E,61357.11 
[68137] DISPLAY_SUMMARY,pIkIgs3Y8E 
[68271] CANCEL_SET_SELL,pIkIgs3Y8E,YVX 
[68489] SET_SELL_AMOUNT,pIkIgs3Y8E,EBS,539.06 
[68561] SET_SELL_TRIGGER,pIkIgs3Y8E,EBS,275.47 
[68616] SET_SELL_TRIGGER,pIkIgs3Y8E,NUL,196.88 
[68630] ADD,pIkIgs3Y8E,79683.16 
[68754] BUY,pIkIgs3Y8E,EIH,251.45 
[68948] SET_SELL_TRIGGER,pIkIgs3Y8E,SJG,130.81 
[69023] QUOTE,pIkIgs3Y8E,GUW 
[69051] QUOTE,pIkIgs3Y8E,ZOT 
[69074] QUOTE,pIkIgs3Y8E,SOT 
[69181] BUY,pIkIgs3Y8E,EED,564.53 
[69324] COMMIT_BUY,pIkIgs3Y8E 
[69455] DISPLAY_SUMMARY,pIkIgs3Y8E 
[69509] COMMIT_BUY,pIkIgs3Y8E 
[69563] ADD,pIkIgs3Y8E,61738.63 
[69642] BUY,pIkIgs3Y8E,SUS,0.34 
[69735] COMMIT_BUY,pIkIgs3Y8E 
[69967] DISPLAY_SUMMARY,pIkIgs3Y8E 
[69971] QUOTE,pIkIgs3Y8E,FNY 
[70129] BUY,pIkIgs3Y8E,KEO,398.46 
[70251] COMMIT_BUY,pIkIgs3Y8E 
[70352] SELL,pIkIgs3Y8E,KYX,224.22 
[70530] COMMIT_SELL,pIkIgs3Y8E 
[70645] SET_BUY_TRIGGER,pIkIgs3Y8E,AJR,161.03 
[70984] DISPLAY_SUMMARY,pIkIgs3Y8E 
[71086] SET_SELL_AMOUNT,pIkIgs3Y8E,KES,214.29 
[71102] SET_SELL_TRIGGER,pIkIgs3Y8E,KES,171.72 
[71155] BUY,pIkIgs3Y8E,YPL,95.29 
[71304] COMMIT_BUY,pIkIgs3Y8E 
[71443] CANCEL_BUY,pIkIgs3Y8E 
[71487] BUY,pIkIgs3Y8E,VZB,271.77 
[71532] BUY,pIkIgs3Y8E,UGT,335.43 
[71542] CANCEL_SELL,pIkIgs3Y8E 
[71664] BUY,pIkIgs3Y8E,DWU,515.82 
[71704] SET_SELL_TRIGGER,pIkIgs3Y8E,XRK,179.82 
[71754] DISPLAY_SUMMARY,pIkIgs3Y8E 
[71840] DISPLAY_SUMMARY,pIkIgs3Y8E 
[71860] SELL,pIkIgs3Y8E,ZYR,234.75 
[71999] COMMIT_SELL,pIkIgs3Y8E 
[72183] BUY,pIkIgs3Y8E,BHJ,586.36 
[72208] CANCEL_SET_BUY,pIkIgs3Y8E,STT 
[72228] BUY,pIkIgs3Y8E,DWK,606.04 
[72370] SELL,pIkIgs3Y8E,KDA,93.63 
[72578] COMMIT_BUY,pIkIgs3Y8E 
[72607] ADD,pIkIgs3Y8E,88391.97 
[72824] BUY,pIkIgs3Y8E,LQN,290.17 
[72925] ADD,pIkIgs3Y8E,51075.85 
[73149] QUOTE,pIkIgs3Y8E,WHR 
[73151] QUOTE,pIkIgs3Y8E,QEO 
[73203] SET_BUY_TRIGGER,pIkIgs3Y8E,XZO,135.32 
[73223] ADD,pIkIgs3Y8E,50902.79 
[73447] QUOTE,pIkIgs3Y8E,FFI 
[73463] SET_BUY_TRIGGER,pIkIgs3Y8E,GRD,108.08 
[73548] ADD,pIkIgs3Y8E,59487.41 
[73557] QUOTE,pIkIgs3Y8E,YEW 
[74019] BUY,pIkIgs3Y8E,RWY,477.01 
[74049] COMMIT_BUY,pIkIgs3Y8E 
[74291] QUOTE,pIkIgs3Y8E,NAR 
[74343] QUOTE,pIkIgs3Y8E,WUL 
[74369] DISPLAY_SUMMARY,pIkIgs3Y8E 
[74557] SET_BUY_TRIGGER,pIkIgs3Y8E,ESN,125.30 
[74690] SELL,pIkIgs3Y8E,UBJ,598.80 
[74736] COMMIT_SELL,pIkIgs3Y8E 
[74826] QUOTE,pIkIgs3Y8E,MVY 
[74988] SET_BUY_AMOUNT,pIkIgs3Y8E,JCQ,2.45 
[75063] BUY,pIkIgs3Y8E,JQG,714.91 
[75211] CANCEL_BUY,pIkIgs3Y8E 
[75212] SET_BUY_TRIGGER,pIkIgs3Y8E,UTL,2.08 
[75214] DISPLAY_SUMMARY,pIkIgs3Y8E 
[75294] BUY,pIkIgs3Y8E,NTB,13.23 
[75399] COMMIT_BUY,pIkIgs3Y8E 
[75491] ADD,pIkIgs3Y8E,51322.51 
[75524] QUOTE,pIkIgs3Y8E,ZOW 
[75748] BUY,pIkIgs3Y8E,RDN,687.14 
[75799] CANCEL_BUY,pIkIgs3Y8E 
[75818] CANCEL_SET_SELL,pIkIgs3Y8E,YNH 
[75839] SELL,pIkIgs3Y8E,XQC,61.04 
[75862] COMMIT_SELL,pIkIgs3Y8E 
[76056] DISPLAY_SUMMARY,pIkIgs3Y8E 
[76061] DISPLAY_SUMMARY,pIkIgs3Y8E 
[76383] ADD,pIkIgs3Y8E,78470.45 
[76449] BUY,pIkIgs3Y8E,JLO,327.39 
[76682] BUY,pIkIgs3Y8E,MIU,712.99 
[76713] COMMIT_BUY,pIkIgs3Y8E 
[77054] SET_SELL_TRIGGER,pIkIgs3Y8E,MWB,159.04 
[77101] DISPLAY_SUMMARY,pIkIgs3Y8E 
[77166] SET_BUY_AMOUNT,pIkIgs3Y8E,GRM,193.48 
[77248] SET_BUY_TRIGGER,pIkIgs3Y8E,QOD,93.78 
[77504] QUOTE,pIkIgs3Y8E,KEV 
[77666] QUOTE,pIkIgs3Y8E,JCQ 
[77728] QUOTE,pIkIgs3Y8E,CVV 
[77772] ADD,pIkIgs3Y8E,73429.64 
[77853] CANCEL_SET_BUY,pIkIgs3Y8E,NFL 
[78001] DISPLAY_SUMMARY,pIkIgs3Y8E 
[78046] SET_SELL_TRIGGER,pIkIgs3Y8E,HYX,119.39 
[78183] SELL,pIkIgs3Y8E,CBO,519.88 
[78217] COMMIT_SELL,pIkIgs3Y8E 
[78234] SELL,pIkIgs3Y8E,XLK,363.71 
[78493] CANCEL_BUY,pIkIgs3Y8E 
[78596] SET_BUY_TRIGGER,pIkIgs3Y8E,XFW,34.55 
[78610] BUY,pIkIgs3Y8E,KES,172.19 
[78755] BUY,pIkIgs3Y8E,QPR,42.03 
[78896] CANCEL_SET_BUY,pIkIgs3Y8E,YVX 
[79044] ADD,pIkIgs3Y8E,64177.04 
[79287] QUOTE,pIkIgs3Y8E,MQH 
[79347] QUOTE,pIkIgs3Y8E,ERF 
[79370] CANCEL_SELL,pIkIgs3Y8E 
[79419] SELL,pIkIgs3Y8E,JCQ,213.32 
[79676] COMMIT_SELL,pIkIgs3Y8E 
[79678] BUY,pIkIgs3Y8E,IIX,609.55 
[79715] COMMIT_BUY,pIkIgs3Y8E 
[79984] BUY,pIkIgs3Y8E,AOH,494.93 
[80074] COMMIT_BUY,pIkIgs3Y8E 
[80143] SELL,pIkIgs3Y8E,LZV,235.85 
[80265] CANCEL_SET_SELL,pIkIgs3Y8E,NGZ 
[80410] BUY,pIkIgs3Y8E,OBO,442.79 
[80554] CANCEL_SET_SELL,pIkIgs3Y8E,EVR 
[80582] SET_SELL_TRIGGER,pIkIgs3Y8E,VZB,145.12 
[80685] QUOTE,pIkIgs3Y8E,MHQ 
[80726] COMMIT_SELL,pIkIgs3Y8E 
[80812] BUY,pIkIgs3Y8E,YGK,271.14 
[80949] COMMIT_BUY,pIkIgs3Y8E 
[81135] ADD,pIkIgs3Y8E,61288.51 
[81187] BUY,pIkIgs3Y8E,OLI,262.35 
[81513] COMMIT_BUY,pIkIgs3Y8E 
[81543] DISPLAY_SUMMARY,pIkIgs3Y8E 
[81572] QUOTE,pIkIgs3Y8E,FUR 
[81591] SET_BUY_AMOUNT,pIkIgs3Y8E,KDA,429.90 
[81600] SET_BUY_TRIGGER,pIkIgs3Y8E,VNN,190.16 
[81609] QUOTE,pIkIgs3Y8E,WKT 
[81636] QUOTE,pIkIgs3Y8E,UDQ 
[81705] BUY,pIkIgs3Y8E,BHH,457.83 
[81871] COMMIT_BUY,pIkIgs3Y8E 
[81965] SET_SELL_AMOUNT,pIkIgs3Y8E,ZAN,528.05 
[82034] SET_SELL_TRIGGER,pIkIgs3Y8E,ZAN,488.63 
[82044] ADD,pIkIgs3Y8E,67294.73 
[82226] CANCEL_SELL,pIkIgs3Y8E 
[82302] QUOTE,pIkIgs3Y8E,YPW 
[82405] SET_BUY_TRIGGER,pIkIgs3Y8E,HHC,124.91 
[82449] DISPLAY_SUMMARY,pIkIgs3Y8E 
[82463] DISPLAY_SUMMARY,pIkIgs3Y8E 
[82508] ADD,pIkIgs3Y8E,56171.14 
[82805] QUOTE,pIkIgs3Y8E,MHR 
[83093] BUY,pIkIgs3Y8E,AJX,512.76 
[83179] QUOTE,pIkIgs3Y8E,PHZ 
[83489] COMMIT_BUY,pIkIgs3Y8E 
[83579] DISPLAY_SUMMARY,pIkIgs3Y8E 
[84184] SET_SELL_AMOUNT,pIkIgs3Y8E,CBO,593.91 
[84247] SET_SELL_TRIGGER,pIkIgs3Y8E,CBO,410.39 
[84282] BUY,pIkIgs3Y8E,FUR,28.32 
[84308] COMMIT_BUY,pIkIgs3Y8E 
[84319] ADD,pIkIgs3Y8E,93511.74 
[84395] QUOTE,pIkIgs3Y8E,OEM 
[84450] BUY,pIkIgs3Y8E,PXY,469.58 
[84640] SET_BUY_AMOUNT,pIkIgs3Y8E,QPR,454.08 
[84703] SET_BUY_TRIGGER,pIkIgs3Y8E,JUJ,91.09 
[84707] SELL,pIkIgs3Y8E,ZAN,224.27 
[84751] DISPLAY_SUMMARY,pIkIgs3Y8E 
[84950] SET_SELL_TRIGGER,pIkIgs3Y8E,SUS,85.14 
[85275] DISPLAY_SUMMARY,pIkIgs3Y8E 
[85532] SELL,pIkIgs3Y8E,BYA,15.23 
[85589] SELL,pIkIgs3Y8E,HFS,155.04 
[85671] CANCEL_SET_SELL,pIkIgs3Y8E,LSM 
[85984] SET_BUY_TRIGGER,pIkIgs3Y8E,OFP,104.42 
[86025] ADD,pIkIgs3Y8E,63232.52 
[86074] CANCEL_SET_BUY,pIkIgs3Y8E,VMT 
[86099] ADD,pIkIgs3Y8E,82096.01 
[86259] QUOTE,pIkIgs3Y8E,BRZ 
[86269] DISPLAY_SUMMARY,pIkIgs3Y8E 
[86548] SELL,pIkIgs3Y8E,KYX,290.33 
[86563] COMMIT_SELL,pIkIgs3Y8E 
[86703] ADD,pIkIgs3Y8E,73608.46 
[86779] SET_BUY_TRIGGER,pIkIgs3Y8E,RNE,43.53 
[86840] QUOTE,pIkIgs3Y8E,WRN 
[86859] BUY,pIkIgs3Y8E,HYX,244.49 
[87292] COMMIT_BUY,pIkIgs3Y8E 
[87697] QUOTE,pIkIgs3Y8E,SYT 
[87777] QUOTE,pIkIgs3Y8E,YQC 
[87989] SET_BUY_TRIGGER,pIkIgs3Y8E,VXY,82.21 
[88014] SET_SELL_TRIGGER,pIkIgs3Y8E,OSC,36.58 
[88093] SET_SELL_AMOUNT,pIkIgs3Y8E,OZO,87.43 
[88164] SET_SELL_TRIGGER,pIkIgs3Y8E,OZO,27.39 
[88221] SET_SELL_AMOUNT,pIkIgs3Y8E,QJZ,483.65 
[88245] CANCEL_SET_SELL,pIkIgs3Y8E,QJZ 
[88250] SET_SELL_AMOUNT,pIkIgs3Y8E,KBN,291.93 
[88550] SELL,pIkIgs3Y8E,SZI,266.46 
[88851] SET_BUY_AMOUNT,pIkIgs3Y8E,SSF,222.42 
[88960] SET_BUY_TRIGGER,pIkIgs3Y8E,HDR,210.13 
[88983] SET_BUY_AMOUNT,pIkIgs3Y8E,TVI,288.86 
[89046] SET_BUY_TRIGGER,pIkIgs3Y8E,CBX,38.61 
[89219] DISPLAY_SUMMARY,pIkIgs3Y8E 
[89374] ADD,pIkIgs3Y8E,81338.06 
[89375] BUY,pIkIgs3Y8E,PHJ,680.81 
[89436] CANCEL_BUY,pIkIgs3Y8E 
[89442] ADD,pIkIgs3Y8E,50483.68 
[89506] BUY,pIkIgs3Y8E,WNX,423.29 
[89589] COMMIT_BUY,pIkIgs3Y8E 
[89843] ADD,pIkIgs3Y8E,50788.43 
[90252] QUOTE,pIkIgs3Y8E,SPP 
[90296] ADD,pIkIgs3Y8E,64985.09 
[90321] BUY,pIkIgs3Y8E,YPL,66.80 
[90365] CANCEL_SELL,pIkIgs3Y8E 
[90427] QUOTE,pIkIgs3Y8E,JUE 
[90578] SET_BUY_TRIGGER,pIkIgs3Y8E,GDO,59.23 
[90676] DISPLAY_SUMMARY,pIkIgs3Y8E 
[90913] ADD,pIkIgs3Y8E,80684.94 
[91003] DISPLAY_SUMMARY,pIkIgs3Y8E 
[91322] ADD,pIkIgs3Y8E,63122.36 
[91526] QUOTE,pIkIgs3Y8E,MFX 
[91772] CANCEL_BUY,pIkIgs3Y8E 
[91826] SET_BUY_AMOUNT,pIkIgs3Y8E,RGH,336.07 
[91854] QUOTE,pIkIgs3Y8E,AXK 
[92003] QUOTE,pIkIgs3Y8E,AUT 
[92008] DISPLAY_SUMMARY,pIkIgs3Y8E 
[92037] BUY,pIkIgs3Y8E,NJI,589.56 
[92466] COMMIT_BUY,pIkIgs3Y8E 
[92745] ADD,pIkIgs3Y8E,53119.87 
[92762] COMMIT_SELL,pIkIgs3Y8E 
[92775] CANCEL_BUY,pIkIgs3Y8E 
[92956] ADD,pIkIgs3Y8E,58378.01 
[92965] BUY,pIkIgs3Y8E,TOZ,75.32 
[93075] COMMIT_BUY,pIkIgs3Y8E 
[93077] CANCEL_SELL,pIkIgs3Y8E 
[93117] DISPLAY_SUMMARY,pIkIgs3Y8E 
[93124] SELL,pIkIgs3Y8E,SUS,271.70 
[93125] CANCEL_SET_BUY,pIkIgs3Y8E,LLE 
[93215] ADD,pIkIgs3Y8E,49046.37 
[93429] QUOTE,pIkIgs3Y8E,TUO 
[93439] ADD,pIkIgs3Y8E,59125.26 
[93465] BUY,pIkIgs3Y8E,GHE,552.14 
[93625] CANCEL_BUY,pIkIgs3Y8E 
[93843] SET_BUY_AMOUNT,pIkIgs3Y8E,XLK,148.54 
[93885] SET_BUY_TRIGGER,pIkIgs3Y8E,VAT,113.18 
