[101] ADD,2xvOQRaMMK,33291.44 
[48934] CANCEL_SELL,2xvOQRaMMK 
[49251] SET_SELL_TRIGGER,2xvOQRaMMK,JGO,105.89 
[49322] SET_BUY_TRIGGER,2xvOQRaMMK,EWP,157.90 
[49336] SELL,2xvOQRaMMK,RGH,114.81 
[49541] COMMIT_BUY,2xvOQRaMMK 
[49621] SELL,2xvOQRaMMK,GYF,740.70 
[49709] CANCEL_SET_SELL,2xvOQRaMMK,ZCQ 
[49795] ADD,2xvOQRaMMK,26461.42 
[49858] CANCEL_SELL,2xvOQRaMMK 
[49905] ADD,2xvOQRaMMK,53237.85 
[49906] CANCEL_SET_SELL,2xvOQRaMMK,FPI 
[50068] SET_SELL_AMOUNT,2xvOQRaMMK,KES,53.80 
[50093] SET_SELL_TRIGGER,2xvOQRaMMK,KES,1.80 
[50134] SELL,2xvOQRaMMK,XXQ,451.30 
[50262] COMMIT_SELL,2xvOQRaMMK 
[50316] QUOTE,2xvOQRaMMK,IOM 
[50338] BUY,2xvOQRaMMK,OYX,706.16 
[50545] COMMIT_BUY,2xvOQRaMMK 
[50546] QUOTE,2xvOQRaMMK,QNK 
[50619] CANCEL_SET_SELL,2xvOQRaMMK,VNN 
[50655] CANCEL_SELL,2xvOQRaMMK 
[50940] DISPLAY_SUMMARY,2xvOQRaMMK 
[51102] DISPLAY_SUMMARY,2xvOQRaMMK 
[51220] SET_BUY_TRIGGER,2xvOQRaMMK,PLA,155.65 
[51273] CANCEL_SET_SELL,2xvOQRaMMK,PBX 
[51299] BUY,2xvOQRaMMK,MSV,316.11 
[51573] COMMIT_BUY,2xvOQRaMMK 
[51697] DISPLAY_SUMMARY,2xvOQRaMMK 
[51829] SET_BUY_AMOUNT,2xvOQRaMMK,CBO,93.54 
[51845] BUY,2xvOQRaMMK,ZMK,576.57 
[52170] CANCEL_SET_SELL,2xvOQRaMMK,ZFT 
[52284] CANCEL_SET_BUY,2xvOQRaMMK,MSV 
[52360] ADD,2xvOQRaMMK,66884.56 
[52487] CANCEL_SET_BUY,2xvOQRaMMK,VOY 
[52632] DISPLAY_SUMMARY,2xvOQRaMMK 
[52646] BUY,2xvOQRaMMK,DXL,178.84 
[52700] COMMIT_BUY,2xvOQRaMMK 
[52787] DISPLAY_SUMMARY,2xvOQRaMMK 
[53025] ADD,2xvOQRaMMK,75434.95 
[53032] QUOTE,2xvOQRaMMK,PTP 
[53184] BUY,2xvOQRaMMK,WYO,630.66 
[53216] SET_SELL_AMOUNT,2xvOQRaMMK,BYA,210.39 
[53248] SET_SELL_TRIGGER,2xvOQRaMMK,BYA,183.16 
[53476] DISPLAY_SUMMARY,2xvOQRaMMK 
[53479] QUOTE,2xvOQRaMMK,MUN 
[53596] BUY,2xvOQRaMMK,PXS,52.63 
[53609] COMMIT_BUY,2xvOQRaMMK 
[53654] SET_BUY_TRIGGER,2xvOQRaMMK,DOI,68.68 
[53753] SELL,2xvOQRaMMK,SUS,298.21 
[53881] CANCEL_SET_BUY,2xvOQRaMMK,SPT 
[53948] DISPLAY_SUMMARY,2xvOQRaMMK 
[53985] ADD,2xvOQRaMMK,67258.67 
[54306] QUOTE,2xvOQRaMMK,RLS 
[54321] BUY,2xvOQRaMMK,HCN,260.39 
[54351] COMMIT_BUY,2xvOQRaMMK 
[54375] ADD,2xvOQRaMMK,81461.48 
[54417] CANCEL_SET_SELL,2xvOQRaMMK,JPD 
[54674] DISPLAY_SUMMARY,2xvOQRaMMK 
[54887] DISPLAY_SUMMARY,2xvOQRaMMK 
[54936] ADD,2xvOQRaMMK,81349.47 
[55146] CANCEL_BUY,2xvOQRaMMK 
[55219] SET_SELL_TRIGGER,2xvOQRaMMK,TKM,107.95 
[55243] SET_SELL_TRIGGER,2xvOQRaMMK,UCG,105.63 
[55262] ADD,2xvOQRaMMK,94171.58 
[55666] QUOTE,2xvOQRaMMK,EGB 
[55675] QUOTE,2xvOQRaMMK,EUM 
[55709] BUY,2xvOQRaMMK,NAR,317.60 
[56009] SET_BUY_AMOUNT,2xvOQRaMMK,FDI,659.37 
[56113] QUOTE,2xvOQRaMMK,EDM 
[56689] BUY,2xvOQRaMMK,TZJ,434.23 
[56703] CANCEL_SET_SELL,2xvOQRaMMK,HTN 
[56717] DISPLAY_SUMMARY,2xvOQRaMMK 
[56738] DISPLAY_SUMMARY,2xvOQRaMMK 
[56869] SELL,2xvOQRaMMK,RUN,77.36 
[56914] COMMIT_SELL,2xvOQRaMMK 
[56983] QUOTE,2xvOQRaMMK,GWF 
[57018] SELL,2xvOQRaMMK,IFN,738.62 
[57062] COMMIT_SELL,2xvOQRaMMK 
[57155] SET_SELL_TRIGGER,2xvOQRaMMK,LLZ,176.51 
[57315] SET_SELL_AMOUNT,2xvOQRaMMK,QAX,556.38 
[57475] SET_SELL_TRIGGER,2xvOQRaMMK,QAX,350.73 
[57532] BUY,2xvOQRaMMK,XOP,696.87 
[57634] COMMIT_BUY,2xvOQRaMMK 
[57702] DISPLAY_SUMMARY,2xvOQRaMMK 
[57838] COMMIT_BUY,2xvOQRaMMK 
[57961] BUY,2xvOQRaMMK,NZS,54.95 
[57994] COMMIT_BUY,2xvOQRaMMK 
[58029] ADD,2xvOQRaMMK,62144.59 
[58143] QUOTE,2xvOQRaMMK,RLS 
[58144] BUY,2xvOQRaMMK,OXV,313.05 
[58417] COMMIT_BUY,2xvOQRaMMK 
[58441] SET_SELL_TRIGGER,2xvOQRaMMK,WSG,192.53 
[58494] SET_BUY_AMOUNT,2xvOQRaMMK,XXQ,105.15 
[58600] SET_BUY_TRIGGER,2xvOQRaMMK,BSZ,97.10 
[58832] DISPLAY_SUMMARY,2xvOQRaMMK 
[58938] ADD,2xvOQRaMMK,63869.85 
[59054] QUOTE,2xvOQRaMMK,XAB 
[59066] CANCEL_BUY,2xvOQRaMMK 
[59376] SELL,2xvOQRaMMK,MFX,378.14 
[59394] SELL,2xvOQRaMMK,GYF,676.28 
[59418] SELL,2xvOQRaMMK,CEC,69.41 
[59540] SET_SELL_AMOUNT,2xvOQRaMMK,YJK,619.31 
[59545] SET_SELL_TRIGGER,2xvOQRaMMK,YJK,39.43 
[59601] BUY,2xvOQRaMMK,TKM,149.17 
[59665] QUOTE,2xvOQRaMMK,OAS 
[59772] CANCEL_BUY,2xvOQRaMMK 
[60095] QUOTE,2xvOQRaMMK,HHC 
[60227] DISPLAY_SUMMARY,2xvOQRaMMK 
[60414] DISPLAY_SUMMARY,2xvOQRaMMK 
[60432] ADD,2xvOQRaMMK,87977.90 
[60650] QUOTE,2xvOQRaMMK,WPG 
[61020] BUY,2xvOQRaMMK,YXK,149.20 
[61046] CANCEL_BUY,2xvOQRaMMK 
[61112] SET_BUY_TRIGGER,2xvOQRaMMK,HSJ,37.75 
[61144] SET_SELL_AMOUNT,2xvOQRaMMK,XXQ,137.64 
[61302] SET_SELL_TRIGGER,2xvOQRaMMK,XXQ,74.88 
[61351] ADD,2xvOQRaMMK,49754.82 
[61405] QUOTE,2xvOQRaMMK,WUF 
[61440] CANCEL_BUY,2xvOQRaMMK 
[61448] CANCEL_BUY,2xvOQRaMMK 
[61494] COMMIT_BUY,2xvOQRaMMK 
[61587] ADD,2xvOQRaMMK,48989.50 
[61602] QUOTE,2xvOQRaMMK,HSJ 
[61859] CANCEL_BUY,2xvOQRaMMK 
[61988] SET_BUY_TRIGGER,2xvOQRaMMK,RRT,183.34 
[62014] SELL,2xvOQRaMMK,QAX,8.85 
[62622] COMMIT_SELL,2xvOQRaMMK 
[62629] SET_SELL_TRIGGER,2xvOQRaMMK,JEA,113.05 
[62793] BUY,2xvOQRaMMK,QHF,453.60 
[62982] COMMIT_BUY,2xvOQRaMMK 
[63088] SET_BUY_AMOUNT,2xvOQRaMMK,EBS,250.86 
[63190] SET_BUY_TRIGGER,2xvOQRaMMK,MWM,220.71 
[63199] ADD,2xvOQRaMMK,58434.43 
[63421] QUOTE,2xvOQRaMMK,EIK 
[63484] SET_SELL_TRIGGER,2xvOQRaMMK,VVV,36.87 
[63510] DISPLAY_SUMMARY,2xvOQRaMMK 
[63641] SET_SELL_TRIGGER,2xvOQRaMMK,UHO,11.88 
[63752] CANCEL_SET_SELL,2xvOQRaMMK,LUT 
[63778] SELL,2xvOQRaMMK,CSZ,100.90 
[63987] CANCEL_SELL,2xvOQRaMMK 
[64081] DISPLAY_SUMMARY,2xvOQRaMMK 
[64088] SET_BUY_TRIGGER,2xvOQRaMMK,KZZ,163.26 
[64156] SET_BUY_TRIGGER,2xvOQRaMMK,WCR,59.04 
[64162] QUOTE,2xvOQRaMMK,JJW 
[64173] DISPLAY_SUMMARY,2xvOQRaMMK 
[64216] ADD,2xvOQRaMMK,78468.45 
[64471] BUY,2xvOQRaMMK,DDA,301.46 
[64474] COMMIT_BUY,2xvOQRaMMK 
[64553] SET_BUY_TRIGGER,2xvOQRaMMK,LSK,134.30 
[64608] ADD,2xvOQRaMMK,67206.31 
[64681] QUOTE,2xvOQRaMMK,SJH 
[64694] BUY,2xvOQRaMMK,TQX,712.41 
[64798] COMMIT_BUY,2xvOQRaMMK 
[64846] BUY,2xvOQRaMMK,IVV,512.04 
[64869] SET_BUY_TRIGGER,2xvOQRaMMK,BHJ,76.39 
[65132] SELL,2xvOQRaMMK,XXQ,83.06 
[65332] DISPLAY_SUMMARY,2xvOQRaMMK 
[65427] CANCEL_SET_SELL,2xvOQRaMMK,PST 
[65462] BUY,2xvOQRaMMK,XNZ,735.40 
[65618] CANCEL_BUY,2xvOQRaMMK 
[65716] ADD,2xvOQRaMMK,84143.86 
[65842] BUY,2xvOQRaMMK,GCL,466.05 
[65910] COMMIT_BUY,2xvOQRaMMK 
[66525] SET_BUY_TRIGGER,2xvOQRaMMK,RWM,103.25 
[66596] ADD,2xvOQRaMMK,78443.93 
[66797] BUY,2xvOQRaMMK,JPP,64.69 
[67038] BUY,2xvOQRaMMK,EDW,24.42 
[67188] COMMIT_BUY,2xvOQRaMMK 
[67199] QUOTE,2xvOQRaMMK,WCR 
[67337] SET_BUY_TRIGGER,2xvOQRaMMK,MHI,197.23 
[67507] SELL,2xvOQRaMMK,NHG,317.35 
[67511] COMMIT_SELL,2xvOQRaMMK 
[67549] SET_SELL_TRIGGER,2xvOQRaMMK,SMS,166.47 
[67568] SET_SELL_AMOUNT,2xvOQRaMMK,LZV,631.49 
[67726] SET_SELL_TRIGGER,2xvOQRaMMK,LZV,342.93 
[67930] SET_BUY_AMOUNT,2xvOQRaMMK,OPN,368.39 
[67997] BUY,2xvOQRaMMK,KBP,314.44 
[68111] CANCEL_SET_BUY,2xvOQRaMMK,URY 
[68361] SET_BUY_AMOUNT,2xvOQRaMMK,KYX,627.57 
[68367] CANCEL_SET_BUY,2xvOQRaMMK,SKW 
[68468] SET_BUY_AMOUNT,2xvOQRaMMK,CBO,424.20 
[68507] SET_BUY_TRIGGER,2xvOQRaMMK,AIN,172.81 
[68691] ADD,2xvOQRaMMK,73819.95 
[68728] SET_BUY_TRIGGER,2xvOQRaMMK,WZY,106.16 
[68818] ADD,2xvOQRaMMK,81651.80 
[68893] QUOTE,2xvOQRaMMK,ECL 
[68905] SET_BUY_AMOUNT,2xvOQRaMMK,YDS,693.71 
[68976] SET_BUY_TRIGGER,2xvOQRaMMK,JNO,577.28 
[68977] ADD,2xvOQRaMMK,46605.52 
[69046] QUOTE,2xvOQRaMMK,FSD 
[69236] SET_BUY_TRIGGER,2xvOQRaMMK,SJG,10.61 
[69262] SET_BUY_TRIGGER,2xvOQRaMMK,JOJ,21.87 
[69488] DISPLAY_SUMMARY,2xvOQRaMMK 
[69492] DISPLAY_SUMMARY,2xvOQRaMMK 
[69629] QUOTE,2xvOQRaMMK,TTV 
[69633] SET_BUY_TRIGGER,2xvOQRaMMK,YAZ,73.30 
[69713] SET_SELL_TRIGGER,2xvOQRaMMK,QOQ,136.60 
[69859] QUOTE,2xvOQRaMMK,WCR 
[69933] QUOTE,2xvOQRaMMK,TQX 
[69958] QUOTE,2xvOQRaMMK,RGM 
[70064] QUOTE,2xvOQRaMMK,YLZ 
[70089] QUOTE,2xvOQRaMMK,VEE 
[70121] SET_BUY_AMOUNT,2xvOQRaMMK,RGH,711.42 
[70141] SET_BUY_TRIGGER,2xvOQRaMMK,OFP,81.11 
[70201] ADD,2xvOQRaMMK,82325.95 
[70246] QUOTE,2xvOQRaMMK,MOM 
[70344] QUOTE,2xvOQRaMMK,LSM 
[70347] BUY,2xvOQRaMMK,JMX,87.74 
[70419] COMMIT_BUY,2xvOQRaMMK 
[70521] SET_BUY_TRIGGER,2xvOQRaMMK,SOT,23.83 
[70570] SET_SELL_TRIGGER,2xvOQRaMMK,NFL,43.10 
[70681] QUOTE,2xvOQRaMMK,ASJ 
[70753] QUOTE,2xvOQRaMMK,FGI 
[70855] BUY,2xvOQRaMMK,RJG,434.20 
[70883] COMMIT_BUY,2xvOQRaMMK 
[71056] SET_SELL_TRIGGER,2xvOQRaMMK,DMW,152.17 
[71406] SET_BUY_AMOUNT,2xvOQRaMMK,LZV,550.60 
[71463] SET_BUY_TRIGGER,2xvOQRaMMK,ZNW,352.73 
[71524] QUOTE,2xvOQRaMMK,CUZ 
[71572] SET_BUY_TRIGGER,2xvOQRaMMK,LVV,82.41 
[71634] DISPLAY_SUMMARY,2xvOQRaMMK 
[71695] SET_SELL_TRIGGER,2xvOQRaMMK,QZN,79.28 
[71779] COMMIT_SELL,2xvOQRaMMK 
[71794] SET_SELL_TRIGGER,2xvOQRaMMK,RQS,190.95 
[71803] BUY,2xvOQRaMMK,DWK,26.90 
[71929] CANCEL_SET_SELL,2xvOQRaMMK,BRZ 
[71979] SET_SELL_TRIGGER,2xvOQRaMMK,ZKV,102.76 
[72244] ADD,2xvOQRaMMK,45425.11 
[72280] BUY,2xvOQRaMMK,JKX,415.48 
[72284] CANCEL_SET_SELL,2xvOQRaMMK,EVR 
[72473] ADD,2xvOQRaMMK,68444.06 
[72554] CANCEL_SET_BUY,2xvOQRaMMK,GAL 
[72561] SET_SELL_AMOUNT,2xvOQRaMMK,SUS,182.16 
[72764] BUY,2xvOQRaMMK,FRB,408.14 
[72766] CANCEL_BUY,2xvOQRaMMK 
[72819] SET_SELL_AMOUNT,2xvOQRaMMK,JQO,696.99 
[72856] QUOTE,2xvOQRaMMK,LPB 
[73116] ADD,2xvOQRaMMK,63947.95 
[73179] QUOTE,2xvOQRaMMK,KWP 
[73269] BUY,2xvOQRaMMK,JVT,170.26 
[73305] QUOTE,2xvOQRaMMK,WCY 
[73346] SET_SELL_AMOUNT,2xvOQRaMMK,SSF,728.86 
[73405] SET_SELL_TRIGGER,2xvOQRaMMK,SSF,61.77 
[73577] ADD,2xvOQRaMMK,60663.99 
[73697] QUOTE,2xvOQRaMMK,IZU 
[73727] BUY,2xvOQRaMMK,DDA,577.78 
[73912] DISPLAY_SUMMARY,2xvOQRaMMK 
[73987] SELL,2xvOQRaMMK,RNK,491.40 
[74046] CANCEL_SELL,2xvOQRaMMK 
[74088] SET_BUY_AMOUNT,2xvOQRaMMK,XXQ,272.55 
[74204] SET_BUY_TRIGGER,2xvOQRaMMK,KHY,240.69 
[74272] QUOTE,2xvOQRaMMK,CXB 
[74331] BUY,2xvOQRaMMK,JJW,150.53 
[74398] COMMIT_BUY,2xvOQRaMMK 
[74421] ADD,2xvOQRaMMK,61475.32 
[74476] BUY,2xvOQRaMMK,BFL,175.41 
[74506] SELL,2xvOQRaMMK,LFU,112.83 
[74577] SET_SELL_AMOUNT,2xvOQRaMMK,KBN,193.12 
[74738] SET_SELL_TRIGGER,2xvOQRaMMK,KBN,126.17 
[74829] BUY,2xvOQRaMMK,KEO,729.08 
[74871] SET_SELL_TRIGGER,2xvOQRaMMK,KCT,173.75 
[74916] SET_SELL_AMOUNT,2xvOQRaMMK,XXQ,142.05 
[74967] SET_SELL_TRIGGER,2xvOQRaMMK,XXQ,3.41 
[74970] SET_BUY_AMOUNT,2xvOQRaMMK,UBJ,352.77 
[75188] SET_BUY_TRIGGER,2xvOQRaMMK,KZZ,69.90 
[75413] CANCEL_SET_BUY,2xvOQRaMMK,DQW 
[75675] SET_BUY_AMOUNT,2xvOQRaMMK,ZAN,561.73 
[75697] SET_BUY_TRIGGER,2xvOQRaMMK,EIH,44.32 
[75723] SET_SELL_AMOUNT,2xvOQRaMMK,CUZ,405.35 
[75777] SET_SELL_TRIGGER,2xvOQRaMMK,CUZ,281.48 
[75858] BUY,2xvOQRaMMK,SXB,572.98 
[75873] COMMIT_BUY,2xvOQRaMMK 
[75898] CANCEL_BUY,2xvOQRaMMK 
[76047] BUY,2xvOQRaMMK,MLU,475.59 
[76086] COMMIT_BUY,2xvOQRaMMK 
[76093] ADD,2xvOQRaMMK,66962.63 
[76336] BUY,2xvOQRaMMK,KMZ,733.64 
[76417] CANCEL_SELL,2xvOQRaMMK 
[76432] DISPLAY_SUMMARY,2xvOQRaMMK 
[76542] SET_SELL_AMOUNT,2xvOQRaMMK,KYX,593.68 
[76813] SET_SELL_TRIGGER,2xvOQRaMMK,KYX,236.51 
[76970] BUY,2xvOQRaMMK,POI,294.77 
[77005] COMMIT_BUY,2xvOQRaMMK 
[77147] SET_SELL_TRIGGER,2xvOQRaMMK,GDO,123.10 
[77311] SELL,2xvOQRaMMK,YDS,537.98 
[77541] CANCEL_SELL,2xvOQRaMMK 
[77678] SET_SELL_AMOUNT,2xvOQRaMMK,QJZ,412.70 
[77794] BUY,2xvOQRaMMK,VKP,84.61 
[77926] COMMIT_BUY,2xvOQRaMMK 
[78218] ADD,2xvOQRaMMK,60885.83 
[78315] QUOTE,2xvOQRaMMK,KMV 
[78637] BUY,2xvOQRaMMK,HCN,439.67 
[78774] COMMIT_SELL,2xvOQRaMMK 
[78844] SET_BUY_AMOUNT,2xvOQRaMMK,JCQ,597.35 
[78906] SET_BUY_TRIGGER,2xvOQRaMMK,SJH,530.23 
[79050] QUOTE,2xvOQRaMMK,FVS 
[79114] BUY,2xvOQRaMMK,TSF,622.80 
[79187] COMMIT_BUY,2xvOQRaMMK 
[79269] SET_SELL_TRIGGER,2xvOQRaMMK,QJZ,336.98 
[79318] DISPLAY_SUMMARY,2xvOQRaMMK 
[79380] ADD,2xvOQRaMMK,86272.78 
[79417] QUOTE,2xvOQRaMMK,KCT 
[79452] SET_BUY_TRIGGER,2xvOQRaMMK,DIX,53.70 
[79555] DISPLAY_SUMMARY,2xvOQRaMMK 
[79565] SET_SELL_AMOUNT,2xvOQRaMMK,GYF,622.27 
[79661] SET_SELL_TRIGGER,2xvOQRaMMK,GYF,424.34 
[79773] SET_SELL_AMOUNT,2xvOQRaMMK,ZAN,550.75 
[79812] SELL,2xvOQRaMMK,YDS,522.11 
[79897] CANCEL_SELL,2xvOQRaMMK 
[80044] SET_BUY_TRIGGER,2xvOQRaMMK,ULL,67.44 
[80185] SELL,2xvOQRaMMK,GRM,548.44 
[80190] CANCEL_SET_BUY,2xvOQRaMMK,BZH 
[80290] CANCEL_SELL,2xvOQRaMMK 
[80512] ADD,2xvOQRaMMK,67119.95 
[80737] BUY,2xvOQRaMMK,KQZ,424.29 
[80783] COMMIT_BUY,2xvOQRaMMK 
[80905] DISPLAY_SUMMARY,2xvOQRaMMK 
[80934] ADD,2xvOQRaMMK,64257.38 
[81150] BUY,2xvOQRaMMK,RUN,733.10 
[81155] CANCEL_BUY,2xvOQRaMMK 
[81237] CANCEL_SET_SELL,2xvOQRaMMK,ZAN 
[81254] SELL,2xvOQRaMMK,GSW,54.23 
[81415] SET_BUY_TRIGGER,2xvOQRaMMK,VKP,52.07 
[81436] SET_BUY_TRIGGER,2xvOQRaMMK,DMW,144.79 
[81938] SET_BUY_AMOUNT,2xvOQRaMMK,XLK,366.97 
[82183] DISPLAY_SUMMARY,2xvOQRaMMK 
[82252] ADD,2xvOQRaMMK,92520.35 
[82280] QUOTE,2xvOQRaMMK,GQV 
[82385] CANCEL_SET_SELL,2xvOQRaMMK,CBX 
[82427] COMMIT_BUY,2xvOQRaMMK 
[82584] DISPLAY_SUMMARY,2xvOQRaMMK 
[82632] DISPLAY_SUMMARY,2xvOQRaMMK 
[82773] DISPLAY_SUMMARY,2xvOQRaMMK 
[82935] ADD,2xvOQRaMMK,69969.46 
[82979] BUY,2xvOQRaMMK,VJB,596.28 
[82996] COMMIT_BUY,2xvOQRaMMK 
[83024] SET_BUY_AMOUNT,2xvOQRaMMK,LFU,508.91 
[83180] QUOTE,2xvOQRaMMK,PDX 
[83347] SET_SELL_AMOUNT,2xvOQRaMMK,KBN,273.22 
[83353] SET_SELL_TRIGGER,2xvOQRaMMK,KBN,103.36 
[83363] QUOTE,2xvOQRaMMK,KGV 
[83458] CANCEL_SET_SELL,2xvOQRaMMK,OTI 
[83540] CANCEL_SELL,2xvOQRaMMK 
[83758] SELL,2xvOQRaMMK,CSZ,564.34 
[83956] COMMIT_SELL,2xvOQRaMMK 
[84036] SELL,2xvOQRaMMK,KYX,448.58 
[84327] ADD,2xvOQRaMMK,70692.98 
[84433] QUOTE,2xvOQRaMMK,ZQC 
[84520] CANCEL_BUY,2xvOQRaMMK 
[84567] ADD,2xvOQRaMMK,58822.92 
[84596] QUOTE,2xvOQRaMMK,XER 
[84641] ADD,2xvOQRaMMK,60111.01 
[84655] SELL,2xvOQRaMMK,OEY,99.77 
[84682] CANCEL_SELL,2xvOQRaMMK 
[84719] ADD,2xvOQRaMMK,74295.92 
[84737] SELL,2xvOQRaMMK,IFN,104.89 
[84842] ADD,2xvOQRaMMK,93628.76 
[84871] QUOTE,2xvOQRaMMK,OOT 
[85085] DISPLAY_SUMMARY,2xvOQRaMMK 
[85760] QUOTE,2xvOQRaMMK,OLH 
[85802] QUOTE,2xvOQRaMMK,YUL 
[85853] QUOTE,2xvOQRaMMK,KES 
[85993] ADD,2xvOQRaMMK,63631.99 
[86043] BUY,2xvOQRaMMK,JUN,38.68 
[86098] COMMIT_BUY,2xvOQRaMMK 
[86150] DISPLAY_SUMMARY,2xvOQRaMMK 
[86240] ADD,2xvOQRaMMK,51256.65 
[86384] BUY,2xvOQRaMMK,DWK,446.01 
[86465] COMMIT_BUY,2xvOQRaMMK 
[86750] ADD,2xvOQRaMMK,82356.80 
[86897] BUY,2xvOQRaMMK,UMN,613.52 
[86941] CANCEL_BUY,2xvOQRaMMK 
[87294] SET_SELL_AMOUNT,2xvOQRaMMK,SUS,235.81 
[87325] CANCEL_SET_SELL,2xvOQRaMMK,SUS 
[87365] BUY,2xvOQRaMMK,YPL,114.07 
[87376] CANCEL_SET_BUY,2xvOQRaMMK,JCQ 
[87411] SELL,2xvOQRaMMK,QGE,108.41 
[87434] COMMIT_SELL,2xvOQRaMMK 
[87559] SET_BUY_AMOUNT,2xvOQRaMMK,XLK,430.61 
[87591] SET_BUY_TRIGGER,2xvOQRaMMK,MLI,341.99 
[87651] SELL,2xvOQRaMMK,JRJ,426.42 
[87807] COMMIT_SELL,2xvOQRaMMK 
[87837] CANCEL_SELL,2xvOQRaMMK 
[87855] DISPLAY_SUMMARY,2xvOQRaMMK 
[88034] DISPLAY_SUMMARY,2xvOQRaMMK 
[88106] COMMIT_BUY,2xvOQRaMMK 
[88133] QUOTE,2xvOQRaMMK,PBX 
[88261] SET_BUY_AMOUNT,2xvOQRaMMK,UIE,629.35 
[88306] SET_BUY_TRIGGER,2xvOQRaMMK,WZY,91.79 
[88314] SET_BUY_AMOUNT,2xvOQRaMMK,OPN,142.07 
[88464] QUOTE,2xvOQRaMMK,JKX 
[88508] SET_SELL_TRIGGER,2xvOQRaMMK,UUJ,183.62 
[88553] SET_BUY_TRIGGER,2xvOQRaMMK,TTY,30.22 
[88903] SELL,2xvOQRaMMK,LFU,7.01 
[88944] QUOTE,2xvOQRaMMK,XZN 
[88962] SET_BUY_AMOUNT,2xvOQRaMMK,VTY,607.86 
[89139] SET_BUY_TRIGGER,2xvOQRaMMK,LZV,568.61 
[89191] CANCEL_SET_BUY,2xvOQRaMMK,OOT 
[89303] ADD,2xvOQRaMMK,83819.03 
[89308] BUY,2xvOQRaMMK,FQG,87.81 
[89318] COMMIT_BUY,2xvOQRaMMK 
[89322] BUY,2xvOQRaMMK,TSS,738.55 
[89359] COMMIT_SELL,2xvOQRaMMK 
[89407] SELL,2xvOQRaMMK,OZO,449.25 
[89466] COMMIT_SELL,2xvOQRaMMK 
[89512] COMMIT_BUY,2xvOQRaMMK 
[89541] DISPLAY_SUMMARY,2xvOQRaMMK 
[89560] ADD,2xvOQRaMMK,83185.50 
[89592] BUY,2xvOQRaMMK,DGA,411.19 
[89605] COMMIT_BUY,2xvOQRaMMK 
[89913] ADD,2xvOQRaMMK,75689.84 
[90150] BUY,2xvOQRaMMK,PLB,404.10 
[90417] COMMIT_BUY,2xvOQRaMMK 
[90758] ADD,2xvOQRaMMK,72226.99 
[90829] BUY,2xvOQRaMMK,JQO,142.14 
[91008] COMMIT_BUY,2xvOQRaMMK 
[91018] QUOTE,2xvOQRaMMK,OSA 
[91182] SET_BUY_TRIGGER,2xvOQRaMMK,ZOZ,160.87 
[91430] SET_BUY_TRIGGER,2xvOQRaMMK,CBX,79.15 
[91528] SET_SELL_TRIGGER,2xvOQRaMMK,DRP,150.20 
[91534] SET_SELL_TRIGGER,2xvOQRaMMK,OKK,166.79 
[91539] ADD,2xvOQRaMMK,73006.90 
[91668] CANCEL_SET_SELL,2xvOQRaMMK,LGL 
[91729] DISPLAY_SUMMARY,2xvOQRaMMK 
[91741] ADD,2xvOQRaMMK,62836.91 
[91998] QUOTE,2xvOQRaMMK,GRM 
[92252] ADD,2xvOQRaMMK,77073.59 
[92255] DISPLAY_SUMMARY,2xvOQRaMMK 
[92285] ADD,2xvOQRaMMK,58377.32 
[92296] BUY,2xvOQRaMMK,BZH,341.90 
[92563] ADD,2xvOQRaMMK,74738.77 
[92603] BUY,2xvOQRaMMK,SNU,33.74 
[92731] COMMIT_BUY,2xvOQRaMMK 
[92833] QUOTE,2xvOQRaMMK,OQZ 
[92848] ADD,2xvOQRaMMK,77684.28 
[92902] QUOTE,2xvOQRaMMK,IBT 
[92940] BUY,2xvOQRaMMK,MOM,423.42 
[92946] SET_SELL_AMOUNT,2xvOQRaMMK,ZYR,454.90 
[93000] SET_SELL_TRIGGER,2xvOQRaMMK,ZYR,417.62 
[93028] BUY,2xvOQRaMMK,PCK,611.59 
[93032] DISPLAY_SUMMARY,2xvOQRaMMK 
[93210] BUY,2xvOQRaMMK,WCY,520.02 
[93218] COMMIT_BUY,2xvOQRaMMK 
[93384] BUY,2xvOQRaMMK,CXB,89.91 
[93397] SET_SELL_AMOUNT,2xvOQRaMMK,UBJ,18.99 
[93595] SET_SELL_TRIGGER,2xvOQRaMMK,UBJ,16.28 
[93596] COMMIT_BUY,2xvOQRaMMK 
[93612] BUY,2xvOQRaMMK,WTL,594.88 
[93647] BUY,2xvOQRaMMK,FKZ,611.41 
[94007] CANCEL_BUY,2xvOQRaMMK 
[94133] SELL,2xvOQRaMMK,VTY,731.15 
[94346] SET_BUY_AMOUNT,2xvOQRaMMK,LZV,502.87 
[94349] SET_BUY_TRIGGER,2xvOQRaMMK,KGV,235.65 
[94422] QUOTE,2xvOQRaMMK,ZOT 
[94497] BUY,2xvOQRaMMK,QPZ,645.43 
[94724] SET_SELL_TRIGGER,2xvOQRaMMK,QPE,134.57 
[94728] SET_SELL_AMOUNT,2xvOQRaMMK,CEC,397.56 
[94781] SET_SELL_TRIGGER,2xvOQRaMMK,CEC,352.14 
[94813] SET_BUY_AMOUNT,2xvOQRaMMK,LZB,586.22 
[95033] SET_BUY_TRIGGER,2xvOQRaMMK,CWA,424.77 
[95063] SET_SELL_AMOUNT,2xvOQRaMMK,HTD,292.57 
