[158] ADD,mR1GL8In4q,76336.49 
[52108] SET_SELL_TRIGGER,mR1GL8In4q,GYF,15.65 
[52147] BUY,mR1GL8In4q,RXO,514.92 
[52328] BUY,mR1GL8In4q,VNF,650.95 
[52387] SET_BUY_TRIGGER,mR1GL8In4q,VMT,180.75 
[52503] SET_SELL_AMOUNT,mR1GL8In4q,EBS,721.66 
[52547] SET_SELL_TRIGGER,mR1GL8In4q,EBS,522.99 
[52596] ADD,mR1GL8In4q,50036.87 
[52775] BUY,mR1GL8In4q,INB,698.85 
[52944] COMMIT_BUY,mR1GL8In4q 
[53031] SELL,mR1GL8In4q,CSZ,642.14 
[53040] COMMIT_SELL,mR1GL8In4q 
[53064] DISPLAY_SUMMARY,mR1GL8In4q 
[53117] QUOTE,mR1GL8In4q,RQT 
[53289] SET_SELL_AMOUNT,mR1GL8In4q,QGE,50.00 
[53300] QUOTE,mR1GL8In4q,WJB 
[53481] BUY,mR1GL8In4q,VMK,18.52 
[53483] CANCEL_BUY,mR1GL8In4q 
[53552] SET_BUY_TRIGGER,mR1GL8In4q,FNY,196.95 
[53577] ADD,mR1GL8In4q,43175.62 
[53785] QUOTE,mR1GL8In4q,JUV 
[53968] QUOTE,mR1GL8In4q,LLE 
[53983] QUOTE,mR1GL8In4q,YGK 
[54015] SET_SELL_TRIGGER,mR1GL8In4q,QGE,16.45 
[54033] CANCEL_SELL,mR1GL8In4q 
[54070] BUY,mR1GL8In4q,PMX,281.78 
[54081] COMMIT_BUY,mR1GL8In4q 
[54225] SELL,mR1GL8In4q,UTV,247.03 
[54248] COMMIT_SELL,mR1GL8In4q 
[54411] CANCEL_SELL,mR1GL8In4q 
[54446] QUOTE,mR1GL8In4q,XEA 
[54462] BUY,mR1GL8In4q,KCT,407.46 
[54504] SET_SELL_AMOUNT,mR1GL8In4q,CUZ,244.66 
[54535] SET_SELL_TRIGGER,mR1GL8In4q,CUZ,138.83 
[54720] ADD,mR1GL8In4q,77574.51 
[54800] CANCEL_BUY,mR1GL8In4q 
[54835] CANCEL_SET_BUY,mR1GL8In4q,WQE 
[54855] QUOTE,mR1GL8In4q,KEV 
[54967] BUY,mR1GL8In4q,CJV,701.18 
[54987] COMMIT_BUY,mR1GL8In4q 
[55033] ADD,mR1GL8In4q,63984.70 
[55140] QUOTE,mR1GL8In4q,GUB 
[55220] ADD,mR1GL8In4q,63970.00 
[55433] BUY,mR1GL8In4q,JVE,612.53 
[55457] COMMIT_BUY,mR1GL8In4q 
[55477] BUY,mR1GL8In4q,NSW,524.92 
[55478] COMMIT_BUY,mR1GL8In4q 
[55480] SET_BUY_AMOUNT,mR1GL8In4q,XLK,84.87 
[55830] SET_BUY_TRIGGER,mR1GL8In4q,YEW,12.29 
[55901] SET_BUY_AMOUNT,mR1GL8In4q,XLK,600.12 
[55959] CANCEL_SET_BUY,mR1GL8In4q,JCL 
[56147] DISPLAY_SUMMARY,mR1GL8In4q 
[56267] SET_SELL_AMOUNT,mR1GL8In4q,BCQ,567.85 
[56314] SET_SELL_TRIGGER,mR1GL8In4q,BCQ,540.03 
[56527] DISPLAY_SUMMARY,mR1GL8In4q 
[56695] QUOTE,mR1GL8In4q,VXY 
[56744] ADD,mR1GL8In4q,56462.64 
[56818] SET_BUY_AMOUNT,mR1GL8In4q,KES,5.79 
[56912] SET_BUY_TRIGGER,mR1GL8In4q,BWL,1.87 
[56988] SET_SELL_AMOUNT,mR1GL8In4q,OPN,643.85 
[57317] SET_SELL_TRIGGER,mR1GL8In4q,OPN,162.82 
[57325] ADD,mR1GL8In4q,90026.30 
[57338] QUOTE,mR1GL8In4q,YNH 
[57360] DISPLAY_SUMMARY,mR1GL8In4q 
[57362] COMMIT_BUY,mR1GL8In4q 
[57379] SET_BUY_AMOUNT,mR1GL8In4q,FQP,290.37 
[57466] BUY,mR1GL8In4q,TCP,116.45 
[57494] CANCEL_SET_SELL,mR1GL8In4q,BLC 
[57521] SELL,mR1GL8In4q,YJK,514.32 
[57531] SET_BUY_TRIGGER,mR1GL8In4q,GXT,71.56 
[57535] DISPLAY_SUMMARY,mR1GL8In4q 
[57546] COMMIT_BUY,mR1GL8In4q 
[57679] SET_BUY_TRIGGER,mR1GL8In4q,LLE,172.17 
[57728] ADD,mR1GL8In4q,68664.61 
[57759] QUOTE,mR1GL8In4q,SFR 
[57802] SET_BUY_TRIGGER,mR1GL8In4q,FYR,29.10 
[58092] SET_SELL_TRIGGER,mR1GL8In4q,AXK,179.50 
[58101] CANCEL_SELL,mR1GL8In4q 
[58105] ADD,mR1GL8In4q,48814.46 
[58120] QUOTE,mR1GL8In4q,PTP 
[58210] QUOTE,mR1GL8In4q,QID 
[58235] BUY,mR1GL8In4q,GED,20.26 
[58287] COMMIT_BUY,mR1GL8In4q 
[58381] SELL,mR1GL8In4q,SUS,161.32 
[58479] BUY,mR1GL8In4q,MRK,68.93 
[59137] COMMIT_BUY,mR1GL8In4q 
[59203] SET_BUY_TRIGGER,mR1GL8In4q,RGH,168.78 
[59447] ADD,mR1GL8In4q,73659.13 
[59459] QUOTE,mR1GL8In4q,JMG 
[59512] QUOTE,mR1GL8In4q,WQE 
[59762] SELL,mR1GL8In4q,CEC,329.22 
[59793] COMMIT_SELL,mR1GL8In4q 
[60066] QUOTE,mR1GL8In4q,MLT 
[60073] BUY,mR1GL8In4q,SJH,263.65 
[60106] COMMIT_BUY,mR1GL8In4q 
[60172] ADD,mR1GL8In4q,56657.96 
[60253] ADD,mR1GL8In4q,56611.22 
[60260] QUOTE,mR1GL8In4q,NFO 
[60272] CANCEL_SELL,mR1GL8In4q 
[60304] CANCEL_SELL,mR1GL8In4q 
[60305] ADD,mR1GL8In4q,80930.27 
[60357] BUY,mR1GL8In4q,XXT,547.55 
[60464] COMMIT_BUY,mR1GL8In4q 
[60702] SELL,mR1GL8In4q,OEY,241.37 
[60814] COMMIT_SELL,mR1GL8In4q 
[60845] ADD,mR1GL8In4q,43971.97 
[61190] QUOTE,mR1GL8In4q,OIV 
[61636] QUOTE,mR1GL8In4q,PSJ 
[61672] COMMIT_BUY,mR1GL8In4q 
[61726] SET_SELL_TRIGGER,mR1GL8In4q,WRJ,179.29 
[61847] SET_SELL_AMOUNT,mR1GL8In4q,RNK,304.39 
[61998] SELL,mR1GL8In4q,EBS,147.31 
[62019] QUOTE,mR1GL8In4q,PBX 
[62125] BUY,mR1GL8In4q,XTH,603.90 
[62149] COMMIT_BUY,mR1GL8In4q 
[62338] QUOTE,mR1GL8In4q,WPG 
[62560] BUY,mR1GL8In4q,KHD,324.55 
[62597] COMMIT_BUY,mR1GL8In4q 
[62771] BUY,mR1GL8In4q,NBX,244.91 
[62792] COMMIT_BUY,mR1GL8In4q 
[62872] SET_BUY_AMOUNT,mR1GL8In4q,IFN,632.31 
[62901] SET_BUY_TRIGGER,mR1GL8In4q,CTS,19.01 
[62915] SELL,mR1GL8In4q,JCQ,593.96 
[63074] COMMIT_SELL,mR1GL8In4q 
[63202] ADD,mR1GL8In4q,75507.79 
[63327] BUY,mR1GL8In4q,JLK,313.63 
[63403] CANCEL_BUY,mR1GL8In4q 
[63469] SET_BUY_TRIGGER,mR1GL8In4q,WTD,16.68 
[63523] ADD,mR1GL8In4q,70533.53 
[63573] QUOTE,mR1GL8In4q,SDW 
[63630] BUY,mR1GL8In4q,BBC,476.57 
[64008] COMMIT_BUY,mR1GL8In4q 
[64010] BUY,mR1GL8In4q,WCR,458.77 
[64038] QUOTE,mR1GL8In4q,KPP 
[64087] SET_BUY_AMOUNT,mR1GL8In4q,YJK,422.58 
[64152] SET_BUY_TRIGGER,mR1GL8In4q,JKX,326.87 
[64153] BUY,mR1GL8In4q,RNE,21.25 
[64219] COMMIT_BUY,mR1GL8In4q 
[64297] ADD,mR1GL8In4q,96597.78 
[64331] QUOTE,mR1GL8In4q,JGY 
[64500] COMMIT_BUY,mR1GL8In4q 
[64540] SET_SELL_AMOUNT,mR1GL8In4q,YDS,190.07 
[65103] SET_SELL_TRIGGER,mR1GL8In4q,YDS,136.24 
[65246] SET_SELL_TRIGGER,mR1GL8In4q,HHC,30.96 
[65255] COMMIT_SELL,mR1GL8In4q 
[65490] SET_SELL_AMOUNT,mR1GL8In4q,SQI,479.79 
[65703] SET_SELL_TRIGGER,mR1GL8In4q,SQI,269.13 
[65992] BUY,mR1GL8In4q,XPX,677.37 
[66163] CANCEL_BUY,mR1GL8In4q 
[66471] ADD,mR1GL8In4q,77146.20 
[66555] QUOTE,mR1GL8In4q,AED 
[66748] SET_BUY_TRIGGER,mR1GL8In4q,ZTR,40.57 
[66885] QUOTE,mR1GL8In4q,JTX 
[66996] BUY,mR1GL8In4q,JQG,70.32 
[67253] SET_SELL_AMOUNT,mR1GL8In4q,GYF,535.80 
[67273] SET_SELL_TRIGGER,mR1GL8In4q,GYF,450.61 
[67286] ADD,mR1GL8In4q,76252.68 
[67316] QUOTE,mR1GL8In4q,FZB 
[67547] SET_BUY_TRIGGER,mR1GL8In4q,QJZ,100.51 
[67622] SELL,mR1GL8In4q,YDS,709.81 
[67832] COMMIT_SELL,mR1GL8In4q 
[68125] BUY,mR1GL8In4q,WNU,377.76 
[68135] COMMIT_SELL,mR1GL8In4q 
[68202] DISPLAY_SUMMARY,mR1GL8In4q 
[68215] SELL,mR1GL8In4q,GYF,475.14 
[68216] COMMIT_SELL,mR1GL8In4q 
[68451] SET_SELL_AMOUNT,mR1GL8In4q,QJZ,321.13 
[68462] SET_SELL_TRIGGER,mR1GL8In4q,QJZ,0.26 
[68583] BUY,mR1GL8In4q,SIK,300.40 
[68606] CANCEL_BUY,mR1GL8In4q 
[68674] BUY,mR1GL8In4q,APY,312.07 
[68986] ADD,mR1GL8In4q,48517.70 
[69116] QUOTE,mR1GL8In4q,RRE 
[69152] CANCEL_SET_SELL,mR1GL8In4q,ZFJ 
[69158] QUOTE,mR1GL8In4q,BPP 
[69414] QUOTE,mR1GL8In4q,RYU 
[69564] BUY,mR1GL8In4q,PHZ,25.23 
[69657] COMMIT_BUY,mR1GL8In4q 
[69780] SET_SELL_AMOUNT,mR1GL8In4q,YJK,732.76 
[69797] SET_SELL_TRIGGER,mR1GL8In4q,YJK,208.41 
[69823] DISPLAY_SUMMARY,mR1GL8In4q 
[69887] SET_BUY_AMOUNT,mR1GL8In4q,ZAN,572.70 
[70056] SET_BUY_TRIGGER,mR1GL8In4q,UHO,446.20 
[70137] ADD,mR1GL8In4q,100190.49 
[70182] CANCEL_SELL,mR1GL8In4q 
[70458] COMMIT_SELL,mR1GL8In4q 
[70467] SELL,mR1GL8In4q,CSZ,103.05 
[70515] CANCEL_SELL,mR1GL8In4q 
[70569] SET_BUY_TRIGGER,mR1GL8In4q,SMS,135.83 
[70738] SELL,mR1GL8In4q,SSF,313.38 
[71223] COMMIT_SELL,mR1GL8In4q 
[71263] DISPLAY_SUMMARY,mR1GL8In4q 
[71341] QUOTE,mR1GL8In4q,POI 
[71395] BUY,mR1GL8In4q,FTJ,181.76 
[71467] SELL,mR1GL8In4q,BCQ,4.72 
[71923] COMMIT_SELL,mR1GL8In4q 
[71956] SET_BUY_TRIGGER,mR1GL8In4q,IUN,177.80 
[71962] QUOTE,mR1GL8In4q,JDO 
[72064] ADD,mR1GL8In4q,76818.66 
[72072] BUY,mR1GL8In4q,BRT,684.94 
[72073] CANCEL_BUY,mR1GL8In4q 
[72144] SELL,mR1GL8In4q,FDI,370.36 
[72218] ADD,mR1GL8In4q,49446.08 
[72239] QUOTE,mR1GL8In4q,WAI 
[72307] SET_BUY_AMOUNT,mR1GL8In4q,ZTI,595.62 
[72421] SET_BUY_TRIGGER,mR1GL8In4q,XUY,11.67 
[72474] ADD,mR1GL8In4q,65771.09 
[72490] BUY,mR1GL8In4q,APU,436.64 
[72682] SELL,mR1GL8In4q,FDI,642.57 
[72762] COMMIT_SELL,mR1GL8In4q 
[72902] ADD,mR1GL8In4q,77163.82 
[73082] BUY,mR1GL8In4q,SDL,409.22 
[73323] COMMIT_BUY,mR1GL8In4q 
[73401] SELL,mR1GL8In4q,QAX,292.50 
[73457] QUOTE,mR1GL8In4q,VMK 
[73489] QUOTE,mR1GL8In4q,OQZ 
[73499] COMMIT_BUY,mR1GL8In4q 
[73559] SET_SELL_TRIGGER,mR1GL8In4q,AEM,178.94 
[73570] DISPLAY_SUMMARY,mR1GL8In4q 
[73620] SET_SELL_AMOUNT,mR1GL8In4q,AVX,254.24 
[73992] SET_SELL_TRIGGER,mR1GL8In4q,AVX,164.44 
[74105] SELL,mR1GL8In4q,SQI,365.46 
[74187] COMMIT_SELL,mR1GL8In4q 
[74219] ADD,mR1GL8In4q,70835.80 
[74246] BUY,mR1GL8In4q,NAW,539.38 
[74324] COMMIT_BUY,mR1GL8In4q 
[74342] SET_BUY_AMOUNT,mR1GL8In4q,SQI,238.32 
[74424] QUOTE,mR1GL8In4q,FCM 
[74561] SET_BUY_AMOUNT,mR1GL8In4q,UTV,18.67 
[74641] CANCEL_SET_BUY,mR1GL8In4q,MWV 
[74930] ADD,mR1GL8In4q,57453.63 
[75107] COMMIT_BUY,mR1GL8In4q 
[75117] QUOTE,mR1GL8In4q,HRJ 
[75200] SELL,mR1GL8In4q,RUN,749.03 
[75293] COMMIT_SELL,mR1GL8In4q 
[75486] SELL,mR1GL8In4q,RUN,340.68 
[75549] SELL,mR1GL8In4q,TVI,718.62 
[75563] CANCEL_SELL,mR1GL8In4q 
[75739] ADD,mR1GL8In4q,85828.92 
[75921] QUOTE,mR1GL8In4q,AOC 
[75929] BUY,mR1GL8In4q,GNY,672.88 
[75968] CANCEL_BUY,mR1GL8In4q 
[75978] ADD,mR1GL8In4q,54390.54 
[76015] QUOTE,mR1GL8In4q,YVX 
[76024] COMMIT_BUY,mR1GL8In4q 
[76089] ADD,mR1GL8In4q,68860.41 
[76258] QUOTE,mR1GL8In4q,XZO 
[76332] BUY,mR1GL8In4q,GJR,677.48 
[76416] CANCEL_SET_BUY,mR1GL8In4q,MHQ 
[76506] SET_SELL_AMOUNT,mR1GL8In4q,NHG,543.10 
[76517] SET_SELL_TRIGGER,mR1GL8In4q,NHG,365.28 
[76574] BUY,mR1GL8In4q,PUN,428.98 
[76662] COMMIT_BUY,mR1GL8In4q 
[76733] SET_SELL_AMOUNT,mR1GL8In4q,EBS,615.14 
[76747] SET_SELL_TRIGGER,mR1GL8In4q,EBS,433.12 
[76789] ADD,mR1GL8In4q,106033.87 
[76988] DISPLAY_SUMMARY,mR1GL8In4q 
[76993] SET_SELL_AMOUNT,mR1GL8In4q,UIE,189.73 
[77078] SET_SELL_TRIGGER,mR1GL8In4q,UIE,45.43 
[77168] SET_BUY_AMOUNT,mR1GL8In4q,MXD,683.96 
[77197] SET_BUY_TRIGGER,mR1GL8In4q,KBN,252.98 
[77256] QUOTE,mR1GL8In4q,IBT 
[77270] DISPLAY_SUMMARY,mR1GL8In4q 
[77445] CANCEL_SELL,mR1GL8In4q 
[77465] ADD,mR1GL8In4q,77686.72 
[77650] QUOTE,mR1GL8In4q,SMS 
[77661] BUY,mR1GL8In4q,MHI,69.37 
[77895] COMMIT_BUY,mR1GL8In4q 
[78084] DISPLAY_SUMMARY,mR1GL8In4q 
[78231] QUOTE,mR1GL8In4q,VVW 
[78305] BUY,mR1GL8In4q,ZNL,190.29 
[78364] COMMIT_BUY,mR1GL8In4q 
[78438] ADD,mR1GL8In4q,97811.55 
[78548] BUY,mR1GL8In4q,WZM,598.12 
[78564] COMMIT_BUY,mR1GL8In4q 
[78800] ADD,mR1GL8In4q,46204.47 
[78890] CANCEL_SET_BUY,mR1GL8In4q,XXT 
[79015] SET_BUY_AMOUNT,mR1GL8In4q,LFU,46.00 
[79033] SET_BUY_TRIGGER,mR1GL8In4q,WGV,1.84 
[79041] ADD,mR1GL8In4q,87777.77 
[79064] QUOTE,mR1GL8In4q,KEO 
[79199] ADD,mR1GL8In4q,64904.22 
[79369] COMMIT_BUY,mR1GL8In4q 
[79509] SET_SELL_TRIGGER,mR1GL8In4q,ZER,164.21 
[79866] DISPLAY_SUMMARY,mR1GL8In4q 
[79886] QUOTE,mR1GL8In4q,LSG 
[79934] BUY,mR1GL8In4q,OEN,302.37 
[79972] SET_SELL_TRIGGER,mR1GL8In4q,NHB,81.96 
[80031] ADD,mR1GL8In4q,96070.08 
[80056] SET_SELL_TRIGGER,mR1GL8In4q,ISQ,131.60 
[80135] SET_SELL_TRIGGER,mR1GL8In4q,TZJ,183.60 
[80191] SET_SELL_TRIGGER,mR1GL8In4q,KJH,79.24 
[80345] CANCEL_SELL,mR1GL8In4q 
[80387] SET_BUY_TRIGGER,mR1GL8In4q,ADY,47.25 
[80659] SET_BUY_TRIGGER,mR1GL8In4q,FOV,98.33 
[80669] BUY,mR1GL8In4q,LAW,186.30 
[80678] COMMIT_BUY,mR1GL8In4q 
[80839] SELL,mR1GL8In4q,CUZ,614.05 
[81011] COMMIT_SELL,mR1GL8In4q 
[81065] ADD,mR1GL8In4q,56019.49 
[81171] BUY,mR1GL8In4q,ZTR,144.97 
[81417] SET_BUY_TRIGGER,mR1GL8In4q,JEO,65.35 
[81480] DISPLAY_SUMMARY,mR1GL8In4q 
[81569] SET_SELL_AMOUNT,mR1GL8In4q,KDA,129.43 
[81731] SET_SELL_TRIGGER,mR1GL8In4q,KDA,2.72 
[81744] QUOTE,mR1GL8In4q,JUJ 
[81777] COMMIT_SELL,mR1GL8In4q 
[81783] DISPLAY_SUMMARY,mR1GL8In4q 
[81807] DISPLAY_SUMMARY,mR1GL8In4q 
[81876] SELL,mR1GL8In4q,PTP,495.27 
[81925] QUOTE,mR1GL8In4q,IDX 
[81960] SELL,mR1GL8In4q,JRJ,244.28 
[82050] CANCEL_SELL,mR1GL8In4q 
[82128] CANCEL_SET_SELL,mR1GL8In4q,DLQ 
[82139] QUOTE,mR1GL8In4q,STO 
[82200] BUY,mR1GL8In4q,KAO,314.80 
[82535] COMMIT_BUY,mR1GL8In4q 
[82586] SET_SELL_AMOUNT,mR1GL8In4q,UIE,223.05 
[82624] SET_SELL_TRIGGER,mR1GL8In4q,UIE,71.02 
[82655] DISPLAY_SUMMARY,mR1GL8In4q 
[82660] ADD,mR1GL8In4q,73140.07 
[82827] DISPLAY_SUMMARY,mR1GL8In4q 
[82855] SELL,mR1GL8In4q,YJK,394.92 
[83001] CANCEL_SET_SELL,mR1GL8In4q,WKT 
[83029] SET_SELL_TRIGGER,mR1GL8In4q,NEV,144.50 
[83147] SET_BUY_TRIGGER,mR1GL8In4q,JVE,24.94 
[83171] ADD,mR1GL8In4q,44796.93 
[83254] BUY,mR1GL8In4q,OIV,220.95 
[83389] COMMIT_BUY,mR1GL8In4q 
[83509] DISPLAY_SUMMARY,mR1GL8In4q 
[83566] SET_BUY_AMOUNT,mR1GL8In4q,BCQ,305.09 
[83628] CANCEL_SET_BUY,mR1GL8In4q,GSW 
[83678] SET_BUY_TRIGGER,mR1GL8In4q,QGL,46.40 
[83748] QUOTE,mR1GL8In4q,IDN 
[83798] ADD,mR1GL8In4q,44592.90 
[83823] QUOTE,mR1GL8In4q,QNW 
[83869] QUOTE,mR1GL8In4q,FOW 
[83942] QUOTE,mR1GL8In4q,JEO 
[84074] BUY,mR1GL8In4q,QPE,571.43 
[84098] CANCEL_BUY,mR1GL8In4q 
[84159] SET_BUY_AMOUNT,mR1GL8In4q,YDS,196.74 
[84292] SET_BUY_TRIGGER,mR1GL8In4q,PXY,2.97 
[84387] SET_BUY_TRIGGER,mR1GL8In4q,KRX,90.84 
[84905] ADD,mR1GL8In4q,55525.59 
[85016] BUY,mR1GL8In4q,UIE,520.22 
[85031] CANCEL_BUY,mR1GL8In4q 
[85318] BUY,mR1GL8In4q,VMK,646.12 
[85740] COMMIT_BUY,mR1GL8In4q 
[85784] BUY,mR1GL8In4q,TTY,732.01 
[85854] SET_BUY_AMOUNT,mR1GL8In4q,KYX,417.12 
[85934] SET_BUY_TRIGGER,mR1GL8In4q,PUU,356.45 
[86578] SET_SELL_TRIGGER,mR1GL8In4q,WJB,43.18 
[86628] SET_BUY_AMOUNT,mR1GL8In4q,EBS,610.00 
[86669] SELL,mR1GL8In4q,VTY,170.74 
[86691] COMMIT_SELL,mR1GL8In4q 
[86720] SET_BUY_AMOUNT,mR1GL8In4q,JCQ,205.67 
[86754] SET_BUY_TRIGGER,mR1GL8In4q,XME,71.65 
[86976] BUY,mR1GL8In4q,HPN,613.96 
[87027] CANCEL_BUY,mR1GL8In4q 
[87051] DISPLAY_SUMMARY,mR1GL8In4q 
[87070] DISPLAY_SUMMARY,mR1GL8In4q 
[87080] ADD,mR1GL8In4q,74020.74 
[87204] DISPLAY_SUMMARY,mR1GL8In4q 
[87310] SET_BUY_AMOUNT,mR1GL8In4q,XXQ,447.05 
[87353] SET_BUY_TRIGGER,mR1GL8In4q,MQH,440.97 
[87420] ADD,mR1GL8In4q,112027.60 
[87531] CANCEL_BUY,mR1GL8In4q 
[87967] ADD,mR1GL8In4q,56580.87 
[87974] QUOTE,mR1GL8In4q,EDV 
[88001] BUY,mR1GL8In4q,PBX,484.78 
[88169] SET_SELL_AMOUNT,mR1GL8In4q,CSZ,183.01 
[88351] SET_SELL_TRIGGER,mR1GL8In4q,CSZ,77.74 
[88397] DISPLAY_SUMMARY,mR1GL8In4q 
[88428] SET_BUY_AMOUNT,mR1GL8In4q,OPN,712.47 
[88459] SET_BUY_TRIGGER,mR1GL8In4q,IDN,255.21 
[88620] DISPLAY_SUMMARY,mR1GL8In4q 
[88745] SELL,mR1GL8In4q,JCQ,745.11 
[88913] CANCEL_SELL,mR1GL8In4q 
[88933] BUY,mR1GL8In4q,YRL,570.17 
[89144] COMMIT_BUY,mR1GL8In4q 
[89233] SELL,mR1GL8In4q,JCQ,18.59 
[89435] SET_BUY_TRIGGER,mR1GL8In4q,LPR,41.28 
[89473] CANCEL_SET_SELL,mR1GL8In4q,YWK 
[89485] ADD,mR1GL8In4q,73474.45 
[89859] SET_BUY_TRIGGER,mR1GL8In4q,GWF,85.79 
[90007] SET_BUY_AMOUNT,mR1GL8In4q,CBO,329.75 
[90117] SET_BUY_TRIGGER,mR1GL8In4q,SFR,297.02 
[90182] BUY,mR1GL8In4q,OHG,708.88 
[90192] COMMIT_BUY,mR1GL8In4q 
[90272] SET_SELL_TRIGGER,mR1GL8In4q,MQX,117.79 
[90276] DISPLAY_SUMMARY,mR1GL8In4q 
[90286] SET_BUY_AMOUNT,mR1GL8In4q,OEY,727.57 
[90294] SET_BUY_TRIGGER,mR1GL8In4q,DRO,111.21 
[90446] QUOTE,mR1GL8In4q,QAA 
[90610] SET_BUY_AMOUNT,mR1GL8In4q,GRM,253.17 
[90680] SET_BUY_TRIGGER,mR1GL8In4q,PUO,14.55 
[90878] QUOTE,mR1GL8In4q,PGV 
[90961] BUY,mR1GL8In4q,PTP,385.14 
[91100] COMMIT_SELL,mR1GL8In4q 
[91281] SET_SELL_AMOUNT,mR1GL8In4q,DFE,228.91 
[91370] DISPLAY_SUMMARY,mR1GL8In4q 
[91392] SELL,mR1GL8In4q,QVK,655.44 
[91436] CANCEL_BUY,mR1GL8In4q 
[91511] DISPLAY_SUMMARY,mR1GL8In4q 
[91522] SET_SELL_AMOUNT,mR1GL8In4q,VTY,141.91 
[91844] SET_SELL_TRIGGER,mR1GL8In4q,VTY,108.72 
[91890] DISPLAY_SUMMARY,mR1GL8In4q 
[91937] BUY,mR1GL8In4q,KJH,292.98 
[92170] COMMIT_BUY,mR1GL8In4q 
[92218] ADD,mR1GL8In4q,81654.17 
[92371] BUY,mR1GL8In4q,CVP,233.41 
[92372] SELL,mR1GL8In4q,QPR,641.14 
[92403] COMMIT_SELL,mR1GL8In4q 
[92638] SET_SELL_TRIGGER,mR1GL8In4q,JDO,176.01 
[92727] DISPLAY_SUMMARY,mR1GL8In4q 
[92922] BUY,mR1GL8In4q,RNK,327.61 
[92985] COMMIT_BUY,mR1GL8In4q 
[93177] CANCEL_BUY,mR1GL8In4q 
[93195] DISPLAY_SUMMARY,mR1GL8In4q 
[93423] BUY,mR1GL8In4q,DWU,84.33 
[93447] COMMIT_BUY,mR1GL8In4q 
[93718] SELL,mR1GL8In4q,GYF,332.68 
[93760] COMMIT_SELL,mR1GL8In4q 
[93772] SET_BUY_AMOUNT,mR1GL8In4q,XLK,353.88 
[93787] SET_BUY_TRIGGER,mR1GL8In4q,YEW,90.44 
[94040] DISPLAY_SUMMARY,mR1GL8In4q 
[94312] CANCEL_BUY,mR1GL8In4q 
[94334] SET_BUY_TRIGGER,mR1GL8In4q,VNO,156.18 
[94411] SET_BUY_AMOUNT,mR1GL8In4q,XXQ,586.19 
[94566] SET_BUY_TRIGGER,mR1GL8In4q,UEC,83.05 
[94773] SET_BUY_AMOUNT,mR1GL8In4q,IFN,217.14 
[94852] SET_BUY_TRIGGER,mR1GL8In4q,VNN,52.13 
[94886] SET_BUY_TRIGGER,mR1GL8In4q,PHE,126.58 
[95012] SET_BUY_TRIGGER,mR1GL8In4q,BWR,47.48 
[95086] SET_SELL_TRIGGER,mR1GL8In4q,BLC,188.37 
[95280] SET_SELL_AMOUNT,mR1GL8In4q,JZJ,648.45 
[95311] SET_SELL_TRIGGER,mR1GL8In4q,JZJ,7.46 
[95443] ADD,mR1GL8In4q,85737.74 
[95542] QUOTE,mR1GL8In4q,LPS 
[95841] ADD,mR1GL8In4q,53790.39 
[95899] QUOTE,mR1GL8In4q,MRH 
[95959] QUOTE,mR1GL8In4q,DBS 
[96086] BUY,mR1GL8In4q,VOU,729.66 
[96092] COMMIT_BUY,mR1GL8In4q 
[96199] ADD,mR1GL8In4q,60929.98 
[96209] QUOTE,mR1GL8In4q,KZC 
[96295] SET_BUY_AMOUNT,mR1GL8In4q,XXQ,434.31 
[96324] SET_BUY_TRIGGER,mR1GL8In4q,OBR,276.14 
[96355] ADD,mR1GL8In4q,51782.16 
[96513] QUOTE,mR1GL8In4q,NAW 
[96525] CANCEL_SELL,mR1GL8In4q 
[96540] SET_BUY_TRIGGER,mR1GL8In4q,ROW,146.48 
[96562] ADD,mR1GL8In4q,73833.43 
[96563] QUOTE,mR1GL8In4q,BWL 
[96683] BUY,mR1GL8In4q,CIP,171.36 
[97010] CANCEL_BUY,mR1GL8In4q 
[97050] DISPLAY_SUMMARY,mR1GL8In4q 
[97069] CANCEL_SET_SELL,mR1GL8In4q,SKC 
[97077] SET_SELL_AMOUNT,mR1GL8In4q,ZAN,624.75 
[97153] SET_SELL_TRIGGER,mR1GL8In4q,ZAN,296.55 
[97187] ADD,mR1GL8In4q,58755.46 
[97255] QUOTE,mR1GL8In4q,KJH 
[97290] ADD,mR1GL8In4q,46145.45 
[97301] BUY,mR1GL8In4q,PUC,292.55 
[97593] CANCEL_SELL,mR1GL8In4q 
[97641] SET_BUY_TRIGGER,mR1GL8In4q,NGH,101.50 
[97668] SET_BUY_AMOUNT,mR1GL8In4q,QPR,344.40 
[97676] SET_BUY_TRIGGER,mR1GL8In4q,DIX,250.26 
[97784] SET_SELL_TRIGGER,mR1GL8In4q,MPP,110.62 
[98011] DISPLAY_SUMMARY,mR1GL8In4q 
[98151] QUOTE,mR1GL8In4q,RVU 
[98195] QUOTE,mR1GL8In4q,JHY 
[98269] COMMIT_BUY,mR1GL8In4q 
[98276] QUOTE,mR1GL8In4q,OFP 
[98463] BUY,mR1GL8In4q,MOM,335.76 
[98475] COMMIT_BUY,mR1GL8In4q 
[98524] SET_SELL_TRIGGER,mR1GL8In4q,JXW,130.51 
[98541] SET_SELL_TRIGGER,mR1GL8In4q,YAV,3.11 
[98546] ADD,mR1GL8In4q,67490.71 
[98787] BUY,mR1GL8In4q,OSA,291.01 
[98834] COMMIT_BUY,mR1GL8In4q 
