[186] ADD,OO6PWyjuYk,66650.27 
[44741] ADD,OO6PWyjuYk,42146.93 
[44929] BUY,OO6PWyjuYk,CUQ,99.92 
[45093] COMMIT_BUY,OO6PWyjuYk 
[45379] DISPLAY_SUMMARY,OO6PWyjuYk 
[45388] SET_BUY_TRIGGER,OO6PWyjuYk,XBL,114.37 
[45407] DISPLAY_SUMMARY,OO6PWyjuYk 
[45466] SELL,OO6PWyjuYk,RNK,208.39 
[45559] COMMIT_SELL,OO6PWyjuYk 
[45795] DISPLAY_SUMMARY,OO6PWyjuYk 
[45974] BUY,OO6PWyjuYk,CBO,283.61 
[46291] COMMIT_BUY,OO6PWyjuYk 
[46387] SET_BUY_TRIGGER,OO6PWyjuYk,BTP,164.35 
[46680] ADD,OO6PWyjuYk,77644.61 
[46701] QUOTE,OO6PWyjuYk,OIY 
[46876] QUOTE,OO6PWyjuYk,ZAO 
[46887] BUY,OO6PWyjuYk,CVK,489.11 
[46894] SET_BUY_AMOUNT,OO6PWyjuYk,SSF,15.06 
[46972] SELL,OO6PWyjuYk,BCQ,625.46 
[46995] COMMIT_SELL,OO6PWyjuYk 
[47061] SET_SELL_AMOUNT,OO6PWyjuYk,GRM,337.62 
[47324] SET_SELL_TRIGGER,OO6PWyjuYk,GRM,154.57 
[47360] SET_BUY_TRIGGER,OO6PWyjuYk,FKI,14.34 
[47420] SELL,OO6PWyjuYk,VTY,747.33 
[47469] COMMIT_SELL,OO6PWyjuYk 
[47488] DISPLAY_SUMMARY,OO6PWyjuYk 
[47513] SET_SELL_TRIGGER,OO6PWyjuYk,EBS,25.67 
[47658] SET_BUY_AMOUNT,OO6PWyjuYk,XLK,458.74 
[47984] SET_BUY_TRIGGER,OO6PWyjuYk,BJL,264.67 
[48035] DISPLAY_SUMMARY,OO6PWyjuYk 
[48124] ADD,OO6PWyjuYk,77507.65 
[48221] CANCEL_SET_SELL,OO6PWyjuYk,SZI 
[48328] QUOTE,OO6PWyjuYk,VMK 
[48416] BUY,OO6PWyjuYk,KES,659.38 
[48427] SET_SELL_TRIGGER,OO6PWyjuYk,NVN,182.97 
[48550] QUOTE,OO6PWyjuYk,KPU 
[48754] QUOTE,OO6PWyjuYk,XMA 
[48757] BUY,OO6PWyjuYk,EYY,472.49 
[48759] COMMIT_BUY,OO6PWyjuYk 
[48906] ADD,OO6PWyjuYk,74518.22 
[49295] CANCEL_SET_BUY,OO6PWyjuYk,FRB 
[49379] DISPLAY_SUMMARY,OO6PWyjuYk 
[49383] QUOTE,OO6PWyjuYk,QGL 
[49444] ADD,OO6PWyjuYk,79406.40 
[49511] BUY,OO6PWyjuYk,GZQ,357.43 
[49568] SELL,OO6PWyjuYk,BCQ,442.62 
[49704] SET_SELL_AMOUNT,OO6PWyjuYk,FDI,203.32 
[49754] SET_SELL_TRIGGER,OO6PWyjuYk,FDI,40.91 
[49797] SET_BUY_TRIGGER,OO6PWyjuYk,VGW,20.63 
[49883] QUOTE,OO6PWyjuYk,MQX 
[49915] SET_BUY_TRIGGER,OO6PWyjuYk,FFN,24.14 
[50059] ADD,OO6PWyjuYk,66753.34 
[50376] QUOTE,OO6PWyjuYk,QHF 
[50396] DISPLAY_SUMMARY,OO6PWyjuYk 
[50500] SELL,OO6PWyjuYk,DFE,623.04 
[50723] QUOTE,OO6PWyjuYk,BHQ 
[50771] BUY,OO6PWyjuYk,AUX,639.74 
[51122] CANCEL_SET_SELL,OO6PWyjuYk,WNU 
[51350] BUY,OO6PWyjuYk,ALV,169.92 
[51372] CANCEL_BUY,OO6PWyjuYk 
[51480] QUOTE,OO6PWyjuYk,SJH 
[51789] BUY,OO6PWyjuYk,KTU,702.21 
[51808] CANCEL_SET_SELL,OO6PWyjuYk,BZH 
[51868] SET_SELL_TRIGGER,OO6PWyjuYk,JGY,87.36 
[52057] SET_SELL_AMOUNT,OO6PWyjuYk,XLK,3.48 
[52116] SET_SELL_TRIGGER,OO6PWyjuYk,XLK,2.22 
[52207] ADD,OO6PWyjuYk,92132.44 
[52238] QUOTE,OO6PWyjuYk,OPN 
[52352] CANCEL_BUY,OO6PWyjuYk 
[52444] BUY,OO6PWyjuYk,SKY,523.04 
[52477] SELL,OO6PWyjuYk,EBS,629.61 
[52550] CANCEL_SELL,OO6PWyjuYk 
[52832] SELL,OO6PWyjuYk,ZYR,75.17 
[52841] SET_SELL_TRIGGER,OO6PWyjuYk,VND,175.34 
[52973] BUY,OO6PWyjuYk,IZJ,679.54 
[52997] COMMIT_BUY,OO6PWyjuYk 
[53144] SELL,OO6PWyjuYk,QJZ,510.12 
[53363] SET_SELL_AMOUNT,OO6PWyjuYk,CUZ,710.35 
[53647] SET_SELL_TRIGGER,OO6PWyjuYk,CUZ,396.11 
[53693] QUOTE,OO6PWyjuYk,RFI 
[53830] SET_SELL_AMOUNT,OO6PWyjuYk,PTP,225.59 
[53875] SET_SELL_TRIGGER,OO6PWyjuYk,PTP,88.81 
[53975] QUOTE,OO6PWyjuYk,VMD 
[54023] SET_BUY_AMOUNT,OO6PWyjuYk,ZAN,618.75 
[54039] SET_BUY_TRIGGER,OO6PWyjuYk,WYD,166.70 
[54190] SET_BUY_AMOUNT,OO6PWyjuYk,SSF,4.93 
[54556] SET_BUY_TRIGGER,OO6PWyjuYk,UDM,3.66 
[54573] ADD,OO6PWyjuYk,50426.24 
[54677] QUOTE,OO6PWyjuYk,VMT 
[54715] BUY,OO6PWyjuYk,GAN,712.66 
[54793] COMMIT_BUY,OO6PWyjuYk 
[54946] DISPLAY_SUMMARY,OO6PWyjuYk 
[54999] SELL,OO6PWyjuYk,SSF,310.50 
[55004] COMMIT_SELL,OO6PWyjuYk 
[55128] SET_SELL_TRIGGER,OO6PWyjuYk,BTP,31.78 
[55172] SET_SELL_AMOUNT,OO6PWyjuYk,RNK,148.14 
[55610] SET_SELL_TRIGGER,OO6PWyjuYk,RNK,95.66 
[55614] BUY,OO6PWyjuYk,ZAO,265.55 
[55625] ADD,OO6PWyjuYk,90241.76 
[55648] QUOTE,OO6PWyjuYk,YEH 
[55679] BUY,OO6PWyjuYk,FPV,367.46 
[55756] CANCEL_BUY,OO6PWyjuYk 
[55757] ADD,OO6PWyjuYk,89831.01 
[55973] BUY,OO6PWyjuYk,HIW,613.92 
[56030] SET_BUY_TRIGGER,OO6PWyjuYk,FKZ,39.02 
[56064] SET_SELL_TRIGGER,OO6PWyjuYk,PXF,134.06 
[56155] DISPLAY_SUMMARY,OO6PWyjuYk 
[56670] SET_SELL_AMOUNT,OO6PWyjuYk,VTY,149.88 
[56794] BUY,OO6PWyjuYk,STO,375.03 
[56904] CANCEL_SET_SELL,OO6PWyjuYk,VTY 
[56915] DISPLAY_SUMMARY,OO6PWyjuYk 
[57299] BUY,OO6PWyjuYk,SWD,256.70 
[57393] COMMIT_BUY,OO6PWyjuYk 
[57409] QUOTE,OO6PWyjuYk,BMQ 
[57418] BUY,OO6PWyjuYk,QJZ,284.44 
[57804] COMMIT_BUY,OO6PWyjuYk 
[57865] SET_SELL_AMOUNT,OO6PWyjuYk,QGE,281.48 
[58056] SET_SELL_TRIGGER,OO6PWyjuYk,QGE,141.76 
[58265] ADD,OO6PWyjuYk,76404.29 
[58343] QUOTE,OO6PWyjuYk,RRZ 
[58349] SELL,OO6PWyjuYk,XXQ,541.20 
[58366] COMMIT_SELL,OO6PWyjuYk 
[58420] BUY,OO6PWyjuYk,NJT,748.30 
[58544] COMMIT_BUY,OO6PWyjuYk 
[58572] QUOTE,OO6PWyjuYk,PZE 
[58649] SET_SELL_TRIGGER,OO6PWyjuYk,PCR,168.03 
[58712] CANCEL_SELL,OO6PWyjuYk 
[58860] SET_SELL_TRIGGER,OO6PWyjuYk,PJW,168.89 
[58874] QUOTE,OO6PWyjuYk,RDK 
[58913] BUY,OO6PWyjuYk,BLC,443.81 
[58947] COMMIT_BUY,OO6PWyjuYk 
[59056] BUY,OO6PWyjuYk,CEC,426.47 
[59177] CANCEL_BUY,OO6PWyjuYk 
[59208] BUY,OO6PWyjuYk,JLK,97.06 
[59240] CANCEL_BUY,OO6PWyjuYk 
[59468] CANCEL_SET_SELL,OO6PWyjuYk,OOR 
[59732] SELL,OO6PWyjuYk,EBS,35.23 
[59744] COMMIT_SELL,OO6PWyjuYk 
[59797] COMMIT_SELL,OO6PWyjuYk 
[59960] QUOTE,OO6PWyjuYk,HNO 
[59982] SELL,OO6PWyjuYk,OEY,317.41 
[60079] COMMIT_SELL,OO6PWyjuYk 
[60208] COMMIT_SELL,OO6PWyjuYk 
[60250] SET_BUY_AMOUNT,OO6PWyjuYk,UBJ,591.95 
[60324] SET_BUY_TRIGGER,OO6PWyjuYk,NJF,219.78 
[60387] BUY,OO6PWyjuYk,UZZ,653.52 
[60708] CANCEL_SET_SELL,OO6PWyjuYk,RGH 
[60725] SET_BUY_AMOUNT,OO6PWyjuYk,YJK,252.22 
[60940] SET_BUY_TRIGGER,OO6PWyjuYk,JMX,252.20 
[61026] ADD,OO6PWyjuYk,57982.67 
[61108] BUY,OO6PWyjuYk,ILT,371.74 
[61110] COMMIT_BUY,OO6PWyjuYk 
[61235] SET_BUY_TRIGGER,OO6PWyjuYk,EED,67.94 
[61259] BUY,OO6PWyjuYk,JOJ,32.04 
[61329] CANCEL_BUY,OO6PWyjuYk 
[61350] SET_BUY_AMOUNT,OO6PWyjuYk,OPN,504.66 
[61421] SET_BUY_TRIGGER,OO6PWyjuYk,CBQ,434.12 
[61502] SET_SELL_AMOUNT,OO6PWyjuYk,PTP,512.67 
[61554] SET_SELL_TRIGGER,OO6PWyjuYk,PTP,125.58 
[61632] DISPLAY_SUMMARY,OO6PWyjuYk 
[61692] SET_SELL_AMOUNT,OO6PWyjuYk,JRJ,509.46 
[61781] SET_SELL_TRIGGER,OO6PWyjuYk,JRJ,218.82 
[61796] ADD,OO6PWyjuYk,62793.53 
[61836] ADD,OO6PWyjuYk,63725.62 
[61881] BUY,OO6PWyjuYk,ZPD,358.64 
[62289] CANCEL_BUY,OO6PWyjuYk 
[62494] ADD,OO6PWyjuYk,75820.18 
[62525] DISPLAY_SUMMARY,OO6PWyjuYk 
[62625] BUY,OO6PWyjuYk,BYM,450.19 
[62677] CANCEL_SELL,OO6PWyjuYk 
[63009] QUOTE,OO6PWyjuYk,PDB 
[63166] CANCEL_SET_BUY,OO6PWyjuYk,NDD 
[63248] CANCEL_SELL,OO6PWyjuYk 
[63343] COMMIT_SELL,OO6PWyjuYk 
[63352] SET_BUY_AMOUNT,OO6PWyjuYk,KES,70.15 
[63368] SET_BUY_TRIGGER,OO6PWyjuYk,IGI,18.05 
[63375] CANCEL_SELL,OO6PWyjuYk 
[63435] SET_BUY_TRIGGER,OO6PWyjuYk,GTN,46.85 
[63480] BUY,OO6PWyjuYk,VXY,283.87 
[63699] SET_BUY_AMOUNT,OO6PWyjuYk,ZTI,77.75 
[63716] SET_BUY_TRIGGER,OO6PWyjuYk,FPP,35.63 
[63737] BUY,OO6PWyjuYk,FMJ,434.45 
[64056] CANCEL_SET_BUY,OO6PWyjuYk,MIR 
[64220] ADD,OO6PWyjuYk,92652.68 
[64233] SELL,OO6PWyjuYk,QJZ,436.74 
[64349] COMMIT_SELL,OO6PWyjuYk 
[64418] DISPLAY_SUMMARY,OO6PWyjuYk 
[64502] SELL,OO6PWyjuYk,RNK,209.27 
[64607] CANCEL_SET_SELL,OO6PWyjuYk,MGK 
[64693] QUOTE,OO6PWyjuYk,EWP 
[64876] QUOTE,OO6PWyjuYk,OFP 
[65052] DISPLAY_SUMMARY,OO6PWyjuYk 
[65100] ADD,OO6PWyjuYk,42736.81 
[65473] QUOTE,OO6PWyjuYk,UEC 
[65727] QUOTE,OO6PWyjuYk,IDX 
[65747] BUY,OO6PWyjuYk,VEX,298.47 
[65760] CANCEL_BUY,OO6PWyjuYk 
[66119] SELL,OO6PWyjuYk,CSZ,400.54 
[66227] COMMIT_SELL,OO6PWyjuYk 
[66558] ADD,OO6PWyjuYk,70182.78 
[66710] CANCEL_SET_SELL,OO6PWyjuYk,IFQ 
[66988] SET_BUY_AMOUNT,OO6PWyjuYk,SSF,391.37 
[67081] SET_BUY_TRIGGER,OO6PWyjuYk,OAV,39.99 
[67167] ADD,OO6PWyjuYk,51854.02 
[67186] BUY,OO6PWyjuYk,WTL,173.19 
[67343] SELL,OO6PWyjuYk,CUZ,510.55 
[67407] COMMIT_SELL,OO6PWyjuYk 
[67410] ADD,OO6PWyjuYk,67410.49 
[67426] QUOTE,OO6PWyjuYk,GKD 
[67546] BUY,OO6PWyjuYk,XAN,467.28 
[67560] SELL,OO6PWyjuYk,BCQ,445.96 
[67650] COMMIT_SELL,OO6PWyjuYk 
[67815] SELL,OO6PWyjuYk,RGH,573.46 
[67896] COMMIT_SELL,OO6PWyjuYk 
[67921] SET_SELL_TRIGGER,OO6PWyjuYk,RRE,96.15 
[68036] SET_SELL_TRIGGER,OO6PWyjuYk,GAV,29.69 
[68061] DISPLAY_SUMMARY,OO6PWyjuYk 
[68070] BUY,OO6PWyjuYk,PXS,378.79 
[68157] COMMIT_BUY,OO6PWyjuYk 
[68257] DISPLAY_SUMMARY,OO6PWyjuYk 
[68280] SET_BUY_AMOUNT,OO6PWyjuYk,IFN,207.07 
[68291] SET_BUY_TRIGGER,OO6PWyjuYk,QID,93.99 
[68554] SET_BUY_TRIGGER,OO6PWyjuYk,ONI,74.05 
[68634] SET_BUY_AMOUNT,OO6PWyjuYk,OPN,48.37 
[68753] CANCEL_SET_BUY,OO6PWyjuYk,SEW 
[68794] ADD,OO6PWyjuYk,68940.02 
[68846] QUOTE,OO6PWyjuYk,BFU 
[68891] DISPLAY_SUMMARY,OO6PWyjuYk 
[69235] BUY,OO6PWyjuYk,DRP,250.53 
[69352] COMMIT_BUY,OO6PWyjuYk 
[69368] DISPLAY_SUMMARY,OO6PWyjuYk 
[69515] BUY,OO6PWyjuYk,FDI,420.71 
[69567] COMMIT_BUY,OO6PWyjuYk 
[69768] SET_SELL_AMOUNT,OO6PWyjuYk,QJZ,48.16 
[69876] SET_SELL_TRIGGER,OO6PWyjuYk,QJZ,41.13 
[69897] ADD,OO6PWyjuYk,64366.73 
[70228] CANCEL_SELL,OO6PWyjuYk 
[70240] SET_BUY_TRIGGER,OO6PWyjuYk,CTI,14.87 
[70256] DISPLAY_SUMMARY,OO6PWyjuYk 
[70293] CANCEL_SET_BUY,OO6PWyjuYk,JVE 
[70358] ADD,OO6PWyjuYk,76223.74 
[70367] BUY,OO6PWyjuYk,HSJ,37.36 
[70469] ADD,OO6PWyjuYk,85562.38 
[70644] CANCEL_SELL,OO6PWyjuYk 
[70694] SELL,OO6PWyjuYk,VTY,595.61 
[71200] COMMIT_SELL,OO6PWyjuYk 
[71353] QUOTE,OO6PWyjuYk,URY 
[71586] ADD,OO6PWyjuYk,65993.06 
[71713] QUOTE,OO6PWyjuYk,SEW 
[71744] CANCEL_SET_BUY,OO6PWyjuYk,OQW 
[71862] COMMIT_BUY,OO6PWyjuYk 
[72351] BUY,OO6PWyjuYk,BWR,246.67 
[72431] CANCEL_SET_BUY,OO6PWyjuYk,OWH 
[72904] DISPLAY_SUMMARY,OO6PWyjuYk 
[73013] ADD,OO6PWyjuYk,64319.16 
[73186] QUOTE,OO6PWyjuYk,GUB 
[73236] CANCEL_SET_SELL,OO6PWyjuYk,PYM 
[73498] DISPLAY_SUMMARY,OO6PWyjuYk 
[73756] BUY,OO6PWyjuYk,UHO,311.42 
[74209] SET_BUY_TRIGGER,OO6PWyjuYk,YEW,37.31 
[74222] BUY,OO6PWyjuYk,TQE,551.74 
[74281] COMMIT_BUY,OO6PWyjuYk 
[74300] DISPLAY_SUMMARY,OO6PWyjuYk 
[74304] SET_BUY_TRIGGER,OO6PWyjuYk,XXQ,129.02 
[74334] SET_SELL_TRIGGER,OO6PWyjuYk,JIO,147.25 
[74381] CANCEL_SET_SELL,OO6PWyjuYk,UMV 
[74527] SELL,OO6PWyjuYk,UBJ,726.76 
[74607] COMMIT_SELL,OO6PWyjuYk 
[74716] QUOTE,OO6PWyjuYk,PPW 
[74851] BUY,OO6PWyjuYk,HTD,522.61 
[74852] SET_BUY_TRIGGER,OO6PWyjuYk,IAV,7.19 
[74856] BUY,OO6PWyjuYk,MQP,412.57 
[74982] CANCEL_SET_SELL,OO6PWyjuYk,JGY 
[75116] DISPLAY_SUMMARY,OO6PWyjuYk 
[75144] SET_BUY_AMOUNT,OO6PWyjuYk,XXQ,690.50 
[75170] SET_BUY_TRIGGER,OO6PWyjuYk,JEO,487.21 
[75213] SELL,OO6PWyjuYk,PTP,363.96 
[75295] SET_SELL_AMOUNT,OO6PWyjuYk,JVT,663.34 
[75301] SET_SELL_TRIGGER,OO6PWyjuYk,JVT,57.81 
[75370] SET_SELL_TRIGGER,OO6PWyjuYk,XRK,61.29 
[75660] ADD,OO6PWyjuYk,57063.32 
[75698] BUY,OO6PWyjuYk,YNY,90.12 
[75774] COMMIT_BUY,OO6PWyjuYk 
[75783] CANCEL_SET_SELL,OO6PWyjuYk,LJM 
[75878] SET_BUY_TRIGGER,OO6PWyjuYk,HIN,50.69 
[76141] SELL,OO6PWyjuYk,CUZ,75.60 
[76162] COMMIT_SELL,OO6PWyjuYk 
[76321] ADD,OO6PWyjuYk,52301.15 
[76330] QUOTE,OO6PWyjuYk,YAV 
[76427] BUY,OO6PWyjuYk,TVI,8.49 
[76469] CANCEL_BUY,OO6PWyjuYk 
[76554] SET_SELL_TRIGGER,OO6PWyjuYk,BMW,160.67 
[76596] DISPLAY_SUMMARY,OO6PWyjuYk 
[76657] SET_BUY_AMOUNT,OO6PWyjuYk,YJK,506.58 
[76722] CANCEL_SET_BUY,OO6PWyjuYk,FPP 
[76863] SET_SELL_AMOUNT,OO6PWyjuYk,DFE,143.84 
[76867] SET_SELL_TRIGGER,OO6PWyjuYk,DFE,98.65 
[76961] SET_SELL_TRIGGER,OO6PWyjuYk,WJP,14.84 
[77080] SET_SELL_TRIGGER,OO6PWyjuYk,LLO,109.00 
[77086] QUOTE,OO6PWyjuYk,MER 
[77111] QUOTE,OO6PWyjuYk,VMT 
[77406] ADD,OO6PWyjuYk,64026.71 
[77526] BUY,OO6PWyjuYk,OSC,545.85 
[77529] CANCEL_SET_SELL,OO6PWyjuYk,IQZ 
[77563] SET_BUY_TRIGGER,OO6PWyjuYk,PXF,182.55 
[77579] QUOTE,OO6PWyjuYk,ZZN 
[77622] CANCEL_BUY,OO6PWyjuYk 
[77632] BUY,OO6PWyjuYk,GPC,130.88 
[77854] SET_BUY_AMOUNT,OO6PWyjuYk,MXD,6.68 
[77866] SET_BUY_TRIGGER,OO6PWyjuYk,XEA,4.78 
[77915] CANCEL_SET_SELL,OO6PWyjuYk,NZS 
[77959] ADD,OO6PWyjuYk,60794.48 
[78031] BUY,OO6PWyjuYk,QEO,649.87 
[78408] COMMIT_BUY,OO6PWyjuYk 
[78431] SET_SELL_AMOUNT,OO6PWyjuYk,JVT,707.01 
[78469] SET_SELL_TRIGGER,OO6PWyjuYk,JVT,40.05 
[78579] DISPLAY_SUMMARY,OO6PWyjuYk 
[78699] QUOTE,OO6PWyjuYk,MWM 
[78801] BUY,OO6PWyjuYk,FKI,748.23 
[78843] COMMIT_BUY,OO6PWyjuYk 
[79116] BUY,OO6PWyjuYk,AMI,326.56 
[79310] QUOTE,OO6PWyjuYk,GLO 
[79571] BUY,OO6PWyjuYk,MWM,478.31 
[79635] SET_BUY_AMOUNT,OO6PWyjuYk,PTP,697.20 
[79677] SET_BUY_TRIGGER,OO6PWyjuYk,GED,175.30 
[79877] SET_SELL_TRIGGER,OO6PWyjuYk,NVX,89.95 
[79967] SELL,OO6PWyjuYk,KBN,356.98 
[80144] COMMIT_SELL,OO6PWyjuYk 
[80374] SET_BUY_AMOUNT,OO6PWyjuYk,QAX,714.67 
[80404] SET_BUY_TRIGGER,OO6PWyjuYk,MLI,361.73 
[80518] SET_SELL_TRIGGER,OO6PWyjuYk,SNU,36.92 
[80666] SET_SELL_TRIGGER,OO6PWyjuYk,RFC,2.03 
[80710] ADD,OO6PWyjuYk,80994.07 
[80835] BUY,OO6PWyjuYk,OHG,136.88 
[80985] CANCEL_BUY,OO6PWyjuYk 
[81027] QUOTE,OO6PWyjuYk,SPT 
[81314] BUY,OO6PWyjuYk,DXL,53.29 
[81413] COMMIT_BUY,OO6PWyjuYk 
[81575] SELL,OO6PWyjuYk,JCQ,323.83 
[81716] CANCEL_SET_SELL,OO6PWyjuYk,SZI 
[81832] COMMIT_SELL,OO6PWyjuYk 
[82047] DISPLAY_SUMMARY,OO6PWyjuYk 
[82136] SELL,OO6PWyjuYk,SSF,573.45 
[82223] CANCEL_SET_SELL,OO6PWyjuYk,BFU 
[82231] SELL,OO6PWyjuYk,JQO,224.29 
[82305] COMMIT_SELL,OO6PWyjuYk 
[82319] QUOTE,OO6PWyjuYk,PXF 
[82328] SELL,OO6PWyjuYk,FDI,14.42 
[82367] COMMIT_SELL,OO6PWyjuYk 
[82456] QUOTE,OO6PWyjuYk,OTD 
[82753] BUY,OO6PWyjuYk,CBK,53.61 
[82898] QUOTE,OO6PWyjuYk,PVZ 
[82924] BUY,OO6PWyjuYk,GCW,15.74 
[82985] COMMIT_SELL,OO6PWyjuYk 
[83198] ADD,OO6PWyjuYk,64954.28 
[83235] BUY,OO6PWyjuYk,WHR,530.30 
[83275] CANCEL_BUY,OO6PWyjuYk 
[83492] SET_BUY_TRIGGER,OO6PWyjuYk,CEC,59.92 
[83811] SET_BUY_AMOUNT,OO6PWyjuYk,KBN,461.09 
[83893] SET_BUY_TRIGGER,OO6PWyjuYk,RRZ,316.48 
[84025] SET_SELL_AMOUNT,OO6PWyjuYk,ZTI,135.42 
[84042] CANCEL_SET_SELL,OO6PWyjuYk,ZTI 
[84191] QUOTE,OO6PWyjuYk,VAT 
[84447] BUY,OO6PWyjuYk,XXP,346.39 
[84452] COMMIT_BUY,OO6PWyjuYk 
[84480] BUY,OO6PWyjuYk,VMK,73.71 
[84516] CANCEL_SET_SELL,OO6PWyjuYk,NQU 
[84576] SET_BUY_TRIGGER,OO6PWyjuYk,IVV,10.17 
[84578] CANCEL_BUY,OO6PWyjuYk 
[84587] ADD,OO6PWyjuYk,76793.67 
[84811] QUOTE,OO6PWyjuYk,FWW 
[85019] SET_SELL_AMOUNT,OO6PWyjuYk,UIE,450.08 
[85234] SET_SELL_TRIGGER,OO6PWyjuYk,UIE,371.13 
[85386] ADD,OO6PWyjuYk,76038.45 
[85387] QUOTE,OO6PWyjuYk,JIO 
[85452] COMMIT_SELL,OO6PWyjuYk 
[85453] QUOTE,OO6PWyjuYk,KZQ 
[85455] COMMIT_BUY,OO6PWyjuYk 
[85464] SET_SELL_AMOUNT,OO6PWyjuYk,MFX,477.70 
[85484] SET_SELL_TRIGGER,OO6PWyjuYk,MFX,32.99 
[85507] SET_SELL_AMOUNT,OO6PWyjuYk,QVK,264.73 
[85569] SET_SELL_TRIGGER,OO6PWyjuYk,QVK,36.41 
[85667] QUOTE,OO6PWyjuYk,DLX 
[85690] SET_BUY_AMOUNT,OO6PWyjuYk,LFU,18.48 
[85700] SET_BUY_TRIGGER,OO6PWyjuYk,BZX,16.59 
[85762] SET_BUY_AMOUNT,OO6PWyjuYk,KBN,359.91 
[85849] SET_BUY_TRIGGER,OO6PWyjuYk,UXP,308.24 
[85863] DISPLAY_SUMMARY,OO6PWyjuYk 
[85900] BUY,OO6PWyjuYk,BWL,300.24 
[86406] DISPLAY_SUMMARY,OO6PWyjuYk 
[86566] CANCEL_SET_SELL,OO6PWyjuYk,ZYR 
[86584] ADD,OO6PWyjuYk,82585.33 
[86612] QUOTE,OO6PWyjuYk,NSW 
[86672] COMMIT_BUY,OO6PWyjuYk 
[86894] QUOTE,OO6PWyjuYk,WHR 
[86900] BUY,OO6PWyjuYk,NVX,706.35 
[86909] CANCEL_BUY,OO6PWyjuYk 
[87089] QUOTE,OO6PWyjuYk,EIK 
[87095] BUY,OO6PWyjuYk,FYA,521.31 
[87289] CANCEL_BUY,OO6PWyjuYk 
[87305] QUOTE,OO6PWyjuYk,JQG 
[87409] BUY,OO6PWyjuYk,KHY,86.53 
[87413] COMMIT_SELL,OO6PWyjuYk 
[87519] ADD,OO6PWyjuYk,59977.94 
[87520] BUY,OO6PWyjuYk,SSL,125.21 
[87547] CANCEL_SET_SELL,OO6PWyjuYk,YZC 
[87602] ADD,OO6PWyjuYk,25320.76 
[87658] QUOTE,OO6PWyjuYk,OSC 
[87707] BUY,OO6PWyjuYk,WBX,203.79 
[87765] COMMIT_BUY,OO6PWyjuYk 
[87769] CANCEL_SET_SELL,OO6PWyjuYk,NLT 
[87953] DISPLAY_SUMMARY,OO6PWyjuYk 
[88031] SELL,OO6PWyjuYk,CUZ,123.12 
[88138] CANCEL_SELL,OO6PWyjuYk 
[88145] QUOTE,OO6PWyjuYk,UMV 
[88487] QUOTE,OO6PWyjuYk,HFS 
[88536] BUY,OO6PWyjuYk,UXP,124.08 
[88547] COMMIT_BUY,OO6PWyjuYk 
[88564] BUY,OO6PWyjuYk,XII,186.54 
[88607] CANCEL_SELL,OO6PWyjuYk 
[88697] SELL,OO6PWyjuYk,UTV,666.49 
[88834] SET_BUY_AMOUNT,OO6PWyjuYk,YDS,549.16 
[88841] SET_BUY_TRIGGER,OO6PWyjuYk,RVZ,186.14 
[88923] CANCEL_SET_BUY,OO6PWyjuYk,GPW 
[88939] QUOTE,OO6PWyjuYk,ZRH 
[88982] DISPLAY_SUMMARY,OO6PWyjuYk 
[88987] SET_SELL_AMOUNT,OO6PWyjuYk,FQP,145.75 
[89312] SET_SELL_TRIGGER,OO6PWyjuYk,FQP,11.51 
[89341] DISPLAY_SUMMARY,OO6PWyjuYk 
[89467] SET_SELL_AMOUNT,OO6PWyjuYk,JCQ,709.26 
[89611] CANCEL_SET_SELL,OO6PWyjuYk,JCQ 
[89677] COMMIT_SELL,OO6PWyjuYk 
[89821] DISPLAY_SUMMARY,OO6PWyjuYk 
[89857] COMMIT_SELL,OO6PWyjuYk 
[90085] QUOTE,OO6PWyjuYk,NIR 
[90369] QUOTE,OO6PWyjuYk,VQA 
[90508] BUY,OO6PWyjuYk,UFX,609.93 
[90515] COMMIT_BUY,OO6PWyjuYk 
[90738] SELL,OO6PWyjuYk,ZYR,54.90 
[90819] COMMIT_SELL,OO6PWyjuYk 
[90827] SET_BUY_AMOUNT,OO6PWyjuYk,ZAN,464.23 
[90953] SET_BUY_TRIGGER,OO6PWyjuYk,EWP,442.31 
[91251] SET_SELL_TRIGGER,OO6PWyjuYk,CEC,122.72 
[91298] ADD,OO6PWyjuYk,40893.06 
[91365] QUOTE,OO6PWyjuYk,QGL 
[91379] QUOTE,OO6PWyjuYk,GRM 
[91438] BUY,OO6PWyjuYk,GMS,700.22 
[91524] SET_BUY_AMOUNT,OO6PWyjuYk,UIE,427.18 
[91820] SET_BUY_TRIGGER,OO6PWyjuYk,SFR,399.67 
[91891] ADD,OO6PWyjuYk,74932.71 
[92023] QUOTE,OO6PWyjuYk,IZS 
[92089] BUY,OO6PWyjuYk,MIY,376.90 
[92219] SET_SELL_AMOUNT,OO6PWyjuYk,XQC,549.64 
[92237] SET_SELL_TRIGGER,OO6PWyjuYk,XQC,397.51 
[92503] BUY,OO6PWyjuYk,FVS,307.14 
[92592] COMMIT_BUY,OO6PWyjuYk 
[92629] SET_SELL_AMOUNT,OO6PWyjuYk,FQP,579.29 
[92651] SET_SELL_TRIGGER,OO6PWyjuYk,FQP,316.00 
[92750] ADD,OO6PWyjuYk,75613.52 
[92888] QUOTE,OO6PWyjuYk,RDN 
[92920] QUOTE,OO6PWyjuYk,QGE 
[92932] BUY,OO6PWyjuYk,BLC,653.68 
