[69] ADD,BOvGL2MRxg,83682.38 
[48728] SET_SELL_AMOUNT,BOvGL2MRxg,BYA,454.21 
[48783] SET_SELL_TRIGGER,BOvGL2MRxg,BYA,218.69 
[48808] QUOTE,BOvGL2MRxg,JCQ 
[48816] SELL,BOvGL2MRxg,CUZ,138.21 
[48886] COMMIT_SELL,BOvGL2MRxg 
[48939] SET_SELL_TRIGGER,BOvGL2MRxg,FIW,47.49 
[48948] SET_SELL_AMOUNT,BOvGL2MRxg,SUS,566.90 
[49447] SELL,BOvGL2MRxg,JVT,639.03 
[49572] COMMIT_SELL,BOvGL2MRxg 
[49596] COMMIT_BUY,BOvGL2MRxg 
[49666] SET_SELL_AMOUNT,BOvGL2MRxg,SUS,537.05 
[49685] BUY,BOvGL2MRxg,XFH,646.10 
[49790] SET_SELL_AMOUNT,BOvGL2MRxg,CUZ,317.93 
[49804] SET_SELL_TRIGGER,BOvGL2MRxg,CUZ,313.77 
[49931] SET_BUY_AMOUNT,BOvGL2MRxg,ZYR,373.97 
[50037] SET_BUY_TRIGGER,BOvGL2MRxg,VJB,26.52 
[50194] BUY,BOvGL2MRxg,GYF,171.91 
[50535] COMMIT_BUY,BOvGL2MRxg 
[50661] ADD,BOvGL2MRxg,53651.39 
[50673] QUOTE,BOvGL2MRxg,JUN 
[50903] DISPLAY_SUMMARY,BOvGL2MRxg 
[50938] BUY,BOvGL2MRxg,SWD,61.35 
[51011] QUOTE,BOvGL2MRxg,UTV 
[51269] BUY,BOvGL2MRxg,SOA,486.39 
[51427] COMMIT_BUY,BOvGL2MRxg 
[51460] SET_SELL_AMOUNT,BOvGL2MRxg,GYF,476.47 
[51474] CANCEL_SET_SELL,BOvGL2MRxg,GYF 
[51548] ADD,BOvGL2MRxg,58237.98 
[51633] QUOTE,BOvGL2MRxg,CCH 
[51728] ADD,BOvGL2MRxg,63606.73 
[51748] BUY,BOvGL2MRxg,MLI,106.40 
[51806] CANCEL_BUY,BOvGL2MRxg 
[51967] SET_BUY_TRIGGER,BOvGL2MRxg,WDC,2.30 
[51975] DISPLAY_SUMMARY,BOvGL2MRxg 
[51986] ADD,BOvGL2MRxg,69228.98 
[52104] BUY,BOvGL2MRxg,CXW,557.86 
[52334] CANCEL_SET_SELL,BOvGL2MRxg,RVU 
[52394] CANCEL_SET_SELL,BOvGL2MRxg,CMD 
[52766] SET_SELL_TRIGGER,BOvGL2MRxg,XCL,6.80 
[52794] ADD,BOvGL2MRxg,79532.62 
[52836] QUOTE,BOvGL2MRxg,CMA 
[52860] DISPLAY_SUMMARY,BOvGL2MRxg 
[52930] SET_BUY_AMOUNT,BOvGL2MRxg,ZYR,252.94 
[52974] SET_BUY_TRIGGER,BOvGL2MRxg,ZEG,35.14 
[53240] ADD,BOvGL2MRxg,58204.14 
[53304] ADD,BOvGL2MRxg,73877.48 
[53389] BUY,BOvGL2MRxg,KNM,583.75 
[53496] COMMIT_BUY,BOvGL2MRxg 
[53722] COMMIT_BUY,BOvGL2MRxg 
[53723] DISPLAY_SUMMARY,BOvGL2MRxg 
[53776] DISPLAY_SUMMARY,BOvGL2MRxg 
[53798] CANCEL_SET_SELL,BOvGL2MRxg,MIU 
[53852] SELL,BOvGL2MRxg,PTP,5.12 
[53861] COMMIT_SELL,BOvGL2MRxg 
[54065] BUY,BOvGL2MRxg,WFR,286.50 
[54310] COMMIT_BUY,BOvGL2MRxg 
[54402] DISPLAY_SUMMARY,BOvGL2MRxg 
[54451] ADD,BOvGL2MRxg,30281.97 
[54691] QUOTE,BOvGL2MRxg,DLQ 
[54705] CANCEL_SET_BUY,BOvGL2MRxg,VTY 
[54809] SELL,BOvGL2MRxg,QJZ,32.09 
[55058] CANCEL_SELL,BOvGL2MRxg 
[55112] DISPLAY_SUMMARY,BOvGL2MRxg 
[55358] SET_BUY_TRIGGER,BOvGL2MRxg,ONI,139.87 
[55558] SELL,BOvGL2MRxg,JRJ,312.96 
[55627] COMMIT_SELL,BOvGL2MRxg 
[55683] SET_BUY_AMOUNT,BOvGL2MRxg,FDI,475.69 
[55726] SET_BUY_TRIGGER,BOvGL2MRxg,MKE,2.66 
[55730] DISPLAY_SUMMARY,BOvGL2MRxg 
[55759] DISPLAY_SUMMARY,BOvGL2MRxg 
[55761] QUOTE,BOvGL2MRxg,VMD 
[55885] BUY,BOvGL2MRxg,UGT,240.56 
[55914] COMMIT_BUY,BOvGL2MRxg 
[55969] DISPLAY_SUMMARY,BOvGL2MRxg 
[56160] ADD,BOvGL2MRxg,67706.67 
[56169] QUOTE,BOvGL2MRxg,CXC 
[56283] SET_BUY_TRIGGER,BOvGL2MRxg,YZH,171.53 
[56379] SET_SELL_AMOUNT,BOvGL2MRxg,GRM,595.88 
[56404] CANCEL_SET_SELL,BOvGL2MRxg,GRM 
[56578] DISPLAY_SUMMARY,BOvGL2MRxg 
[56745] QUOTE,BOvGL2MRxg,URI 
[56761] SET_SELL_TRIGGER,BOvGL2MRxg,PWK,192.26 
[57057] SET_SELL_AMOUNT,BOvGL2MRxg,OEY,716.85 
[57193] SET_SELL_TRIGGER,BOvGL2MRxg,OEY,506.57 
[57262] BUY,BOvGL2MRxg,JIO,710.20 
[57314] COMMIT_BUY,BOvGL2MRxg 
[57333] QUOTE,BOvGL2MRxg,XYV 
[57342] QUOTE,BOvGL2MRxg,ZOW 
[57625] BUY,BOvGL2MRxg,RQF,525.23 
[57740] COMMIT_BUY,BOvGL2MRxg 
[57850] ADD,BOvGL2MRxg,79326.89 
[58273] BUY,BOvGL2MRxg,LLO,323.90 
[58292] CANCEL_SET_SELL,BOvGL2MRxg,VEE 
[58358] ADD,BOvGL2MRxg,60878.50 
[58471] BUY,BOvGL2MRxg,GRD,612.61 
[58558] CANCEL_BUY,BOvGL2MRxg 
[58679] ADD,BOvGL2MRxg,48523.16 
[58964] BUY,BOvGL2MRxg,MQP,728.50 
[59002] COMMIT_BUY,BOvGL2MRxg 
[59044] CANCEL_SELL,BOvGL2MRxg 
[59475] SET_BUY_AMOUNT,BOvGL2MRxg,CBO,13.70 
[59764] CANCEL_SET_BUY,BOvGL2MRxg,BRT 
[59829] SET_SELL_AMOUNT,BOvGL2MRxg,FDI,678.92 
[59876] SET_SELL_TRIGGER,BOvGL2MRxg,FDI,650.75 
[59883] CANCEL_SELL,BOvGL2MRxg 
[59959] SELL,BOvGL2MRxg,UTV,636.52 
[59978] COMMIT_SELL,BOvGL2MRxg 
[60009] SET_SELL_AMOUNT,BOvGL2MRxg,PTP,176.84 
[60161] SET_SELL_TRIGGER,BOvGL2MRxg,PTP,37.30 
[60199] SET_BUY_TRIGGER,BOvGL2MRxg,FTJ,164.41 
[60226] SET_BUY_AMOUNT,BOvGL2MRxg,CSZ,565.40 
[60318] SET_BUY_TRIGGER,BOvGL2MRxg,BXH,448.11 
[60394] ADD,BOvGL2MRxg,58267.44 
[60402] COMMIT_BUY,BOvGL2MRxg 
[60507] DISPLAY_SUMMARY,BOvGL2MRxg 
[60519] ADD,BOvGL2MRxg,85988.45 
[60589] CANCEL_SELL,BOvGL2MRxg 
[60651] QUOTE,BOvGL2MRxg,UBJ 
[60655] BUY,BOvGL2MRxg,PRJ,169.43 
[60658] COMMIT_BUY,BOvGL2MRxg 
[60799] QUOTE,BOvGL2MRxg,KNM 
[61169] SET_BUY_AMOUNT,BOvGL2MRxg,JRJ,160.74 
[61437] CANCEL_SET_BUY,BOvGL2MRxg,JUV 
[61457] COMMIT_SELL,BOvGL2MRxg 
[61619] BUY,BOvGL2MRxg,EDV,624.96 
[61750] COMMIT_BUY,BOvGL2MRxg 
[61878] QUOTE,BOvGL2MRxg,VEE 
[62053] SELL,BOvGL2MRxg,OEY,711.36 
[62163] SELL,BOvGL2MRxg,UBJ,63.13 
[62212] COMMIT_SELL,BOvGL2MRxg 
[62305] QUOTE,BOvGL2MRxg,KZC 
[62420] SET_SELL_AMOUNT,BOvGL2MRxg,FDI,586.93 
[62479] SET_SELL_TRIGGER,BOvGL2MRxg,FDI,538.64 
[62484] DISPLAY_SUMMARY,BOvGL2MRxg 
[62507] SET_SELL_AMOUNT,BOvGL2MRxg,CSZ,123.22 
[62641] SET_SELL_TRIGGER,BOvGL2MRxg,CSZ,110.31 
[62693] SET_SELL_TRIGGER,BOvGL2MRxg,KNM,67.80 
[62787] SET_SELL_TRIGGER,BOvGL2MRxg,MVD,17.05 
[63329] SET_BUY_AMOUNT,BOvGL2MRxg,KES,318.64 
[63406] SET_BUY_TRIGGER,BOvGL2MRxg,LPW,39.95 
[63414] CANCEL_SET_SELL,BOvGL2MRxg,RRE 
[63582] DISPLAY_SUMMARY,BOvGL2MRxg 
[63645] DISPLAY_SUMMARY,BOvGL2MRxg 
[63774] CANCEL_SET_SELL,BOvGL2MRxg,DLQ 
[63797] SET_SELL_AMOUNT,BOvGL2MRxg,JVT,197.98 
[64066] CANCEL_SET_SELL,BOvGL2MRxg,JVT 
[64067] DISPLAY_SUMMARY,BOvGL2MRxg 
[64378] SET_BUY_AMOUNT,BOvGL2MRxg,YJK,495.17 
[64391] SET_BUY_TRIGGER,BOvGL2MRxg,IJO,415.99 
[64597] BUY,BOvGL2MRxg,FPV,198.10 
[64666] COMMIT_BUY,BOvGL2MRxg 
[64721] ADD,BOvGL2MRxg,61686.86 
[64753] BUY,BOvGL2MRxg,VKB,297.73 
[64781] SET_BUY_TRIGGER,BOvGL2MRxg,OZW,52.21 
[64858] QUOTE,BOvGL2MRxg,EWP 
[64907] ADD,BOvGL2MRxg,91308.29 
[65071] BUY,BOvGL2MRxg,ZNZ,481.84 
[65205] COMMIT_BUY,BOvGL2MRxg 
[65437] BUY,BOvGL2MRxg,TKV,212.00 
[65458] CANCEL_SET_SELL,BOvGL2MRxg,JKX 
[65501] CANCEL_BUY,BOvGL2MRxg 
[65596] SELL,BOvGL2MRxg,LZV,213.79 
[65662] COMMIT_SELL,BOvGL2MRxg 
[65701] QUOTE,BOvGL2MRxg,NZS 
[65746] BUY,BOvGL2MRxg,FQP,684.50 
[65754] CANCEL_SET_SELL,BOvGL2MRxg,VUS 
[65980] SET_SELL_TRIGGER,BOvGL2MRxg,NGH,74.99 
[66075] SET_BUY_TRIGGER,BOvGL2MRxg,KDG,151.41 
[66082] ADD,BOvGL2MRxg,92882.35 
[66271] BUY,BOvGL2MRxg,MZT,634.14 
[66546] CANCEL_BUY,BOvGL2MRxg 
[66574] SELL,BOvGL2MRxg,UIE,69.89 
[66672] COMMIT_SELL,BOvGL2MRxg 
[66686] QUOTE,BOvGL2MRxg,DBR 
[66845] BUY,BOvGL2MRxg,BEG,144.45 
[67267] COMMIT_BUY,BOvGL2MRxg 
[67276] QUOTE,BOvGL2MRxg,SQS 
[67317] ADD,BOvGL2MRxg,74874.58 
[67331] QUOTE,BOvGL2MRxg,HWO 
[67366] COMMIT_SELL,BOvGL2MRxg 
[67817] QUOTE,BOvGL2MRxg,EGX 
[67972] BUY,BOvGL2MRxg,MPP,728.53 
[68037] COMMIT_BUY,BOvGL2MRxg 
[68119] SET_BUY_AMOUNT,BOvGL2MRxg,JCQ,618.61 
[68233] SET_BUY_TRIGGER,BOvGL2MRxg,GAN,305.95 
[68263] BUY,BOvGL2MRxg,XOM,389.30 
[68309] DISPLAY_SUMMARY,BOvGL2MRxg 
[68329] BUY,BOvGL2MRxg,THH,457.00 
[68624] COMMIT_BUY,BOvGL2MRxg 
[68719] SET_SELL_TRIGGER,BOvGL2MRxg,PIE,86.06 
[68750] CANCEL_BUY,BOvGL2MRxg 
[68826] DISPLAY_SUMMARY,BOvGL2MRxg 
[68861] SET_SELL_AMOUNT,BOvGL2MRxg,BYA,330.35 
[69201] SET_SELL_TRIGGER,BOvGL2MRxg,BYA,31.73 
[69212] SET_SELL_AMOUNT,BOvGL2MRxg,DFE,321.95 
[69446] CANCEL_SET_SELL,BOvGL2MRxg,DFE 
[69636] SELL,BOvGL2MRxg,RUN,498.46 
[69677] COMMIT_SELL,BOvGL2MRxg 
[69751] BUY,BOvGL2MRxg,FQP,254.67 
[69776] COMMIT_BUY,BOvGL2MRxg 
[69836] COMMIT_SELL,BOvGL2MRxg 
[69904] SET_SELL_AMOUNT,BOvGL2MRxg,RGH,120.03 
[70134] BUY,BOvGL2MRxg,GZQ,261.60 
[70145] SELL,BOvGL2MRxg,XXQ,382.53 
[70159] CANCEL_SELL,BOvGL2MRxg 
[70175] SET_SELL_TRIGGER,BOvGL2MRxg,RGH,48.43 
[70311] SELL,BOvGL2MRxg,RUN,84.48 
[70483] CANCEL_SELL,BOvGL2MRxg 
[70493] DISPLAY_SUMMARY,BOvGL2MRxg 
[70511] SET_SELL_AMOUNT,BOvGL2MRxg,XXQ,285.11 
[70640] SET_SELL_TRIGGER,BOvGL2MRxg,XXQ,221.84 
[70707] DISPLAY_SUMMARY,BOvGL2MRxg 
[70775] ADD,BOvGL2MRxg,61830.20 
[70888] QUOTE,BOvGL2MRxg,NNW 
[70900] BUY,BOvGL2MRxg,GCW,143.21 
[70919] COMMIT_BUY,BOvGL2MRxg 
[71104] ADD,BOvGL2MRxg,61570.99 
[71198] QUOTE,BOvGL2MRxg,CBQ 
[71388] COMMIT_SELL,BOvGL2MRxg 
[71560] ADD,BOvGL2MRxg,40477.73 
[71652] CANCEL_SELL,BOvGL2MRxg 
[71659] ADD,BOvGL2MRxg,76058.28 
[71839] BUY,BOvGL2MRxg,PWK,616.06 
[71852] COMMIT_BUY,BOvGL2MRxg 
[71885] SET_SELL_AMOUNT,BOvGL2MRxg,BCQ,268.50 
[71931] SET_SELL_TRIGGER,BOvGL2MRxg,BCQ,206.20 
[71978] SET_SELL_AMOUNT,BOvGL2MRxg,AVX,499.09 
[72136] SET_SELL_TRIGGER,BOvGL2MRxg,AVX,92.34 
[72273] DISPLAY_SUMMARY,BOvGL2MRxg 
[72633] SET_SELL_AMOUNT,BOvGL2MRxg,SSF,379.64 
[72736] SET_SELL_TRIGGER,BOvGL2MRxg,SSF,61.47 
[72988] SET_BUY_TRIGGER,BOvGL2MRxg,JUJ,70.27 
[73168] SELL,BOvGL2MRxg,SUS,26.16 
[73254] COMMIT_SELL,BOvGL2MRxg 
[73257] SELL,BOvGL2MRxg,CEC,744.37 
[73417] COMMIT_SELL,BOvGL2MRxg 
[73641] SET_SELL_AMOUNT,BOvGL2MRxg,OZO,486.09 
[73710] SET_SELL_TRIGGER,BOvGL2MRxg,OZO,311.76 
[73810] SET_SELL_TRIGGER,BOvGL2MRxg,KEV,183.34 
[73888] SET_BUY_TRIGGER,BOvGL2MRxg,TYV,9.96 
[74033] SELL,BOvGL2MRxg,IFN,431.35 
[74071] SET_BUY_AMOUNT,BOvGL2MRxg,ZAN,69.92 
[74090] SET_BUY_TRIGGER,BOvGL2MRxg,TCP,44.63 
[74098] ADD,BOvGL2MRxg,74612.33 
[74109] SET_BUY_TRIGGER,BOvGL2MRxg,NJB,40.16 
[74220] BUY,BOvGL2MRxg,VNN,349.54 
[74226] COMMIT_BUY,BOvGL2MRxg 
[74428] SET_SELL_TRIGGER,BOvGL2MRxg,YUL,165.29 
[74471] SELL,BOvGL2MRxg,OZO,421.59 
[74482] ADD,BOvGL2MRxg,62601.54 
[74503] QUOTE,BOvGL2MRxg,WNX 
[74848] BUY,BOvGL2MRxg,FQR,39.84 
[75199] SET_SELL_TRIGGER,BOvGL2MRxg,AUX,143.08 
[75233] SET_SELL_AMOUNT,BOvGL2MRxg,JVT,427.05 
[75330] BUY,BOvGL2MRxg,UGG,108.89 
[75468] SET_BUY_TRIGGER,BOvGL2MRxg,VWU,147.02 
[75493] SELL,BOvGL2MRxg,RUN,710.43 
[75506] QUOTE,BOvGL2MRxg,WFR 
[75531] QUOTE,BOvGL2MRxg,QQI 
[75568] QUOTE,BOvGL2MRxg,YGK 
[75598] SET_BUY_AMOUNT,BOvGL2MRxg,QVK,407.82 
[75631] SET_BUY_TRIGGER,BOvGL2MRxg,WTL,368.51 
[75736] BUY,BOvGL2MRxg,EHF,402.76 
[76010] COMMIT_BUY,BOvGL2MRxg 
[76013] SET_BUY_TRIGGER,BOvGL2MRxg,LTB,38.16 
[76202] ADD,BOvGL2MRxg,45204.05 
[76291] CANCEL_SET_SELL,BOvGL2MRxg,JVT 
[76312] SET_BUY_TRIGGER,BOvGL2MRxg,STT,174.78 
[76437] ADD,BOvGL2MRxg,79111.41 
[76573] SET_BUY_TRIGGER,BOvGL2MRxg,QQI,17.16 
[76591] SET_SELL_TRIGGER,BOvGL2MRxg,LNJ,116.24 
[76607] ADD,BOvGL2MRxg,56663.81 
[76679] QUOTE,BOvGL2MRxg,PCR 
[77209] SET_SELL_AMOUNT,BOvGL2MRxg,EBS,550.17 
[77210] CANCEL_SET_SELL,BOvGL2MRxg,EBS 
[77294] QUOTE,BOvGL2MRxg,SOA 
[77379] QUOTE,BOvGL2MRxg,VBO 
[77423] QUOTE,BOvGL2MRxg,IAV 
[77467] SET_BUY_TRIGGER,BOvGL2MRxg,YWC,3.90 
[77546] QUOTE,BOvGL2MRxg,XPX 
[77612] SET_BUY_TRIGGER,BOvGL2MRxg,NVX,123.52 
[77708] QUOTE,BOvGL2MRxg,DES 
[77741] SET_SELL_AMOUNT,BOvGL2MRxg,MXD,308.52 
[77841] DISPLAY_SUMMARY,BOvGL2MRxg 
[77913] DISPLAY_SUMMARY,BOvGL2MRxg 
[78473] DISPLAY_SUMMARY,BOvGL2MRxg 
[78591] QUOTE,BOvGL2MRxg,DPG 
[78594] QUOTE,BOvGL2MRxg,NRY 
[78713] ADD,BOvGL2MRxg,88356.56 
[78782] BUY,BOvGL2MRxg,MRH,146.63 
[78841] CANCEL_SET_SELL,BOvGL2MRxg,MXD 
[79060] ADD,BOvGL2MRxg,88136.31 
[79103] BUY,BOvGL2MRxg,NTB,577.06 
[79136] CANCEL_SET_BUY,BOvGL2MRxg,PWK 
[79340] SET_BUY_TRIGGER,BOvGL2MRxg,GPM,10.46 
[79403] SELL,BOvGL2MRxg,XLK,3.50 
[79551] COMMIT_SELL,BOvGL2MRxg 
[79632] ADD,BOvGL2MRxg,73034.96 
[79869] BUY,BOvGL2MRxg,NHG,277.48 
[79938] COMMIT_BUY,BOvGL2MRxg 
[79945] ADD,BOvGL2MRxg,88881.52 
[80014] SELL,BOvGL2MRxg,FDI,717.44 
[80052] COMMIT_SELL,BOvGL2MRxg 
[80100] DISPLAY_SUMMARY,BOvGL2MRxg 
[80111] DISPLAY_SUMMARY,BOvGL2MRxg 
[80271] DISPLAY_SUMMARY,BOvGL2MRxg 
[80380] SET_BUY_AMOUNT,BOvGL2MRxg,UBJ,649.05 
[80494] BUY,BOvGL2MRxg,PMX,171.24 
[80573] COMMIT_BUY,BOvGL2MRxg 
[80602] SELL,BOvGL2MRxg,TVI,515.49 
[80744] CANCEL_SELL,BOvGL2MRxg 
[80781] DISPLAY_SUMMARY,BOvGL2MRxg 
[80829] DISPLAY_SUMMARY,BOvGL2MRxg 
[80838] DISPLAY_SUMMARY,BOvGL2MRxg 
[80992] DISPLAY_SUMMARY,BOvGL2MRxg 
[81087] COMMIT_BUY,BOvGL2MRxg 
[81177] BUY,BOvGL2MRxg,DRP,371.61 
[81262] CANCEL_BUY,BOvGL2MRxg 
[81263] CANCEL_SET_BUY,BOvGL2MRxg,LAM 
[81518] SET_BUY_TRIGGER,BOvGL2MRxg,BZX,66.93 
[81519] SET_SELL_TRIGGER,BOvGL2MRxg,JGF,115.89 
[81732] SELL,BOvGL2MRxg,QGE,103.28 
[81740] SET_BUY_TRIGGER,BOvGL2MRxg,ULL,30.09 
[81788] QUOTE,BOvGL2MRxg,SEW 
[81819] BUY,BOvGL2MRxg,UUJ,727.46 
[81821] SET_SELL_AMOUNT,BOvGL2MRxg,OZO,702.71 
[81935] SET_SELL_TRIGGER,BOvGL2MRxg,OZO,527.93 
[81951] SET_SELL_TRIGGER,BOvGL2MRxg,TCP,187.74 
[82045] BUY,BOvGL2MRxg,ZFV,63.10 
[82082] COMMIT_BUY,BOvGL2MRxg 
[82116] SET_SELL_TRIGGER,BOvGL2MRxg,XCL,51.73 
[82120] BUY,BOvGL2MRxg,RWY,94.23 
[82300] COMMIT_SELL,BOvGL2MRxg 
[82431] SET_SELL_AMOUNT,BOvGL2MRxg,IQJ,573.74 
[82515] SET_SELL_TRIGGER,BOvGL2MRxg,IQJ,56.39 
[82525] ADD,BOvGL2MRxg,64256.67 
[82726] BUY,BOvGL2MRxg,URD,186.81 
[82961] COMMIT_BUY,BOvGL2MRxg 
[83213] ADD,BOvGL2MRxg,61769.47 
[83242] QUOTE,BOvGL2MRxg,ZUV 
[83388] SELL,BOvGL2MRxg,KBN,229.53 
[83569] COMMIT_SELL,BOvGL2MRxg 
[83661] ADD,BOvGL2MRxg,79902.14 
[83789] QUOTE,BOvGL2MRxg,ATE 
[83851] BUY,BOvGL2MRxg,BYM,623.40 
[83882] CANCEL_BUY,BOvGL2MRxg 
[83885] SET_BUY_AMOUNT,BOvGL2MRxg,KES,68.11 
[84064] SET_BUY_TRIGGER,BOvGL2MRxg,AAC,21.31 
[84107] QUOTE,BOvGL2MRxg,RVU 
[84137] CANCEL_SET_BUY,BOvGL2MRxg,UMN 
[84262] SET_BUY_TRIGGER,BOvGL2MRxg,TSS,93.52 
[84391] SELL,BOvGL2MRxg,JQO,244.05 
[84442] DISPLAY_SUMMARY,BOvGL2MRxg 
[84454] SET_SELL_AMOUNT,BOvGL2MRxg,OEY,484.28 
[84513] SET_SELL_TRIGGER,BOvGL2MRxg,OEY,335.48 
[84523] SET_SELL_TRIGGER,BOvGL2MRxg,KDG,97.80 
[84650] BUY,BOvGL2MRxg,EVR,141.42 
[84964] QUOTE,BOvGL2MRxg,BUL 
[84979] DISPLAY_SUMMARY,BOvGL2MRxg 
[85013] SET_BUY_TRIGGER,BOvGL2MRxg,QHF,31.15 
[85167] SELL,BOvGL2MRxg,FQP,417.85 
[85258] COMMIT_SELL,BOvGL2MRxg 
[85274] CANCEL_SET_SELL,BOvGL2MRxg,HBF 
[85338] QUOTE,BOvGL2MRxg,BBC 
[85399] ADD,BOvGL2MRxg,79516.11 
[85411] BUY,BOvGL2MRxg,IBT,225.40 
[85428] BUY,BOvGL2MRxg,YRL,474.66 
[85443] SET_SELL_AMOUNT,BOvGL2MRxg,YDS,351.26 
[85521] DISPLAY_SUMMARY,BOvGL2MRxg 
[85544] SET_BUY_AMOUNT,BOvGL2MRxg,JRJ,67.71 
[85686] SET_BUY_TRIGGER,BOvGL2MRxg,XCL,55.53 
[85960] DISPLAY_SUMMARY,BOvGL2MRxg 
[86483] SET_SELL_AMOUNT,BOvGL2MRxg,FDI,341.08 
[86488] CANCEL_SET_SELL,BOvGL2MRxg,FDI 
[86529] SELL,BOvGL2MRxg,IQJ,242.78 
[86675] COMMIT_SELL,BOvGL2MRxg 
[86847] CANCEL_SET_SELL,BOvGL2MRxg,XMA 
[86895] QUOTE,BOvGL2MRxg,VUS 
[86914] SET_SELL_AMOUNT,BOvGL2MRxg,XLK,706.10 
[87031] SET_SELL_TRIGGER,BOvGL2MRxg,XLK,332.80 
[87041] ADD,BOvGL2MRxg,69478.92 
[87061] QUOTE,BOvGL2MRxg,KZZ 
[87086] QUOTE,BOvGL2MRxg,GYT 
[87115] ADD,BOvGL2MRxg,89926.35 
[87179] CANCEL_SET_SELL,BOvGL2MRxg,DKV 
[87342] CANCEL_SET_SELL,BOvGL2MRxg,QZN 
[87393] ADD,BOvGL2MRxg,58841.83 
[87428] QUOTE,BOvGL2MRxg,XME 
[87557] BUY,BOvGL2MRxg,XSS,158.26 
[87871] COMMIT_BUY,BOvGL2MRxg 
[88037] SET_BUY_TRIGGER,BOvGL2MRxg,HNW,161.12 
[88041] SET_BUY_AMOUNT,BOvGL2MRxg,TKM,88.49 
[88082] SET_BUY_TRIGGER,BOvGL2MRxg,YBP,50.75 
[88125] SET_BUY_AMOUNT,BOvGL2MRxg,MFX,138.08 
[88165] CANCEL_SET_BUY,BOvGL2MRxg,MIU 
[88284] BUY,BOvGL2MRxg,TXB,546.14 
[88328] COMMIT_BUY,BOvGL2MRxg 
[88465] DISPLAY_SUMMARY,BOvGL2MRxg 
[88473] ADD,BOvGL2MRxg,79730.55 
[88567] BUY,BOvGL2MRxg,XAB,125.15 
[88747] COMMIT_BUY,BOvGL2MRxg 
[88793] SET_SELL_AMOUNT,BOvGL2MRxg,ZYR,120.70 
[89080] QUOTE,BOvGL2MRxg,YEW 
[89088] SET_BUY_AMOUNT,BOvGL2MRxg,GRM,561.37 
[89130] SET_BUY_TRIGGER,BOvGL2MRxg,JKX,238.85 
[89190] SET_BUY_TRIGGER,BOvGL2MRxg,YUL,106.14 
[89484] CANCEL_BUY,BOvGL2MRxg 
[89561] DISPLAY_SUMMARY,BOvGL2MRxg 
[89660] SET_BUY_TRIGGER,BOvGL2MRxg,NAW,48.01 
[89695] CANCEL_BUY,BOvGL2MRxg 
[89835] BUY,BOvGL2MRxg,XFW,23.75 
[89845] COMMIT_BUY,BOvGL2MRxg 
[89911] SET_SELL_TRIGGER,BOvGL2MRxg,ZYR,60.28 
[89915] DISPLAY_SUMMARY,BOvGL2MRxg 
[89983] SET_SELL_TRIGGER,BOvGL2MRxg,SKC,30.24 
[89995] ADD,BOvGL2MRxg,75605.62 
[90061] QUOTE,BOvGL2MRxg,GHE 
[90144] BUY,BOvGL2MRxg,EHF,350.64 
[90345] COMMIT_BUY,BOvGL2MRxg 
[90448] SET_BUY_TRIGGER,BOvGL2MRxg,HIN,14.82 
[90556] ADD,BOvGL2MRxg,71295.51 
[90632] BUY,BOvGL2MRxg,VBO,175.53 
[90666] COMMIT_BUY,BOvGL2MRxg 
[90690] DISPLAY_SUMMARY,BOvGL2MRxg 
[90770] SELL,BOvGL2MRxg,RNK,560.50 
[90788] CANCEL_SELL,BOvGL2MRxg 
[90839] DISPLAY_SUMMARY,BOvGL2MRxg 
[91187] ADD,BOvGL2MRxg,60797.82 
[91197] QUOTE,BOvGL2MRxg,CMA 
[91250] SET_BUY_TRIGGER,BOvGL2MRxg,AMI,108.40 
[91266] DISPLAY_SUMMARY,BOvGL2MRxg 
[91466] SET_SELL_AMOUNT,BOvGL2MRxg,KES,647.07 
[91607] SET_SELL_TRIGGER,BOvGL2MRxg,KES,308.69 
[91631] SET_BUY_AMOUNT,BOvGL2MRxg,HFS,61.64 
[91759] CANCEL_SET_BUY,BOvGL2MRxg,ERF 
[91831] BUY,BOvGL2MRxg,XXN,699.51 
[92005] QUOTE,BOvGL2MRxg,XCL 
[92085] SET_SELL_AMOUNT,BOvGL2MRxg,TVI,611.75 
[92206] SET_SELL_TRIGGER,BOvGL2MRxg,TVI,199.04 
[92270] SELL,BOvGL2MRxg,SZI,108.22 
[92282] SET_SELL_AMOUNT,BOvGL2MRxg,LFU,16.46 
[92302] SET_SELL_TRIGGER,BOvGL2MRxg,LFU,6.65 
[92320] ADD,BOvGL2MRxg,79458.13 
[92362] QUOTE,BOvGL2MRxg,ZZN 
[92450] QUOTE,BOvGL2MRxg,YDS 
[92558] SET_SELL_AMOUNT,BOvGL2MRxg,QVK,686.09 
[92626] SET_SELL_TRIGGER,BOvGL2MRxg,QVK,296.12 
[92648] CANCEL_SET_SELL,BOvGL2MRxg,SYE 
[92865] SET_BUY_AMOUNT,BOvGL2MRxg,GRM,662.12 
[92882] SET_BUY_TRIGGER,BOvGL2MRxg,YEW,620.25 
[93066] BUY,BOvGL2MRxg,FXT,32.41 
[93079] ADD,BOvGL2MRxg,86144.96 
[93123] BUY,BOvGL2MRxg,GZQ,21.37 
[93229] COMMIT_BUY,BOvGL2MRxg 
[93299] SELL,BOvGL2MRxg,CBO,48.00 
[93338] COMMIT_SELL,BOvGL2MRxg 
