[265] ADD,v2iT5RAbiA,57923.86 
[47582] QUOTE,v2iT5RAbiA,SQI 
[47809] DISPLAY_SUMMARY,v2iT5RAbiA 
[47865] CANCEL_SET_SELL,v2iT5RAbiA,SZI 
[47975] SET_BUY_AMOUNT,v2iT5RAbiA,KDA,306.95 
[48113] SET_BUY_TRIGGER,v2iT5RAbiA,ZZD,274.94 
[48250] SELL,v2iT5RAbiA,JQO,463.61 
[48256] COMMIT_SELL,v2iT5RAbiA 
[48380] DISPLAY_SUMMARY,v2iT5RAbiA 
[48396] QUOTE,v2iT5RAbiA,JDO 
[48474] BUY,v2iT5RAbiA,GXT,555.87 
[48599] SET_BUY_AMOUNT,v2iT5RAbiA,ZTI,716.18 
[48606] SET_BUY_TRIGGER,v2iT5RAbiA,OGR,488.80 
[48624] SET_BUY_AMOUNT,v2iT5RAbiA,ZYR,682.24 
[49056] CANCEL_SET_BUY,v2iT5RAbiA,LKV 
[49062] CANCEL_SET_BUY,v2iT5RAbiA,TKG 
[49111] SET_BUY_TRIGGER,v2iT5RAbiA,JII,72.63 
[49130] COMMIT_SELL,v2iT5RAbiA 
[49206] SET_SELL_AMOUNT,v2iT5RAbiA,PTP,570.19 
[49247] SET_SELL_TRIGGER,v2iT5RAbiA,PTP,495.29 
[49312] QUOTE,v2iT5RAbiA,JFJ 
[49443] BUY,v2iT5RAbiA,YTT,310.92 
[49491] COMMIT_BUY,v2iT5RAbiA 
[49729] ADD,v2iT5RAbiA,84284.20 
[49750] QUOTE,v2iT5RAbiA,ZAM 
[49975] QUOTE,v2iT5RAbiA,YNH 
[50113] QUOTE,v2iT5RAbiA,BXH 
[50219] SET_BUY_AMOUNT,v2iT5RAbiA,OPN,49.83 
[50368] CANCEL_SET_BUY,v2iT5RAbiA,SOA 
[50510] DISPLAY_SUMMARY,v2iT5RAbiA 
[50635] ADD,v2iT5RAbiA,73782.09 
[50728] BUY,v2iT5RAbiA,DMS,133.41 
[50756] QUOTE,v2iT5RAbiA,SCK 
[50850] ADD,v2iT5RAbiA,56863.00 
[50942] QUOTE,v2iT5RAbiA,KTU 
[51054] CANCEL_SET_SELL,v2iT5RAbiA,SKY 
[51074] DISPLAY_SUMMARY,v2iT5RAbiA 
[51352] CANCEL_SET_SELL,v2iT5RAbiA,YBP 
[51395] ADD,v2iT5RAbiA,88184.70 
[51556] CANCEL_SET_BUY,v2iT5RAbiA,UUJ 
[51592] DISPLAY_SUMMARY,v2iT5RAbiA 
[51680] QUOTE,v2iT5RAbiA,ZQS 
[51719] ADD,v2iT5RAbiA,77556.32 
[51771] BUY,v2iT5RAbiA,BJL,245.52 
[51802] COMMIT_BUY,v2iT5RAbiA 
[51909] ADD,v2iT5RAbiA,77338.43 
[52019] BUY,v2iT5RAbiA,VJB,5.71 
[52069] CANCEL_BUY,v2iT5RAbiA 
[52258] SET_BUY_AMOUNT,v2iT5RAbiA,ZTI,242.70 
[52346] SET_BUY_TRIGGER,v2iT5RAbiA,TVI,140.18 
[52514] BUY,v2iT5RAbiA,KCA,572.21 
[52578] COMMIT_BUY,v2iT5RAbiA 
[52706] DISPLAY_SUMMARY,v2iT5RAbiA 
[52743] SELL,v2iT5RAbiA,CUZ,292.18 
[52751] CANCEL_SET_SELL,v2iT5RAbiA,ETJ 
[52771] SET_SELL_AMOUNT,v2iT5RAbiA,FQP,385.54 
[52825] SET_SELL_TRIGGER,v2iT5RAbiA,FQP,49.18 
[52852] SELL,v2iT5RAbiA,EBS,111.73 
[52927] COMMIT_SELL,v2iT5RAbiA 
[52962] DISPLAY_SUMMARY,v2iT5RAbiA 
[53018] COMMIT_SELL,v2iT5RAbiA 
[53159] SET_SELL_TRIGGER,v2iT5RAbiA,JCQ,17.45 
[53220] SELL,v2iT5RAbiA,CUZ,218.04 
[53326] CANCEL_SELL,v2iT5RAbiA 
[53415] ADD,v2iT5RAbiA,61828.64 
[53442] QUOTE,v2iT5RAbiA,OZO 
[53445] BUY,v2iT5RAbiA,RXB,232.95 
[53515] CANCEL_SET_SELL,v2iT5RAbiA,LPR 
[53517] SET_BUY_TRIGGER,v2iT5RAbiA,GJQ,79.87 
[53573] ADD,v2iT5RAbiA,53581.97 
[53623] QUOTE,v2iT5RAbiA,OHG 
[53655] BUY,v2iT5RAbiA,KIP,101.54 
[53699] CANCEL_SET_BUY,v2iT5RAbiA,DWF 
[53777] BUY,v2iT5RAbiA,TQE,630.12 
[53976] SET_SELL_TRIGGER,v2iT5RAbiA,GUB,180.40 
[53994] ADD,v2iT5RAbiA,48953.95 
[54167] QUOTE,v2iT5RAbiA,NZS 
[54181] ADD,v2iT5RAbiA,51205.63 
[54286] BUY,v2iT5RAbiA,OZO,60.98 
[54326] COMMIT_BUY,v2iT5RAbiA 
[54432] SELL,v2iT5RAbiA,CUZ,62.95 
[54505] COMMIT_SELL,v2iT5RAbiA 
[54669] SET_SELL_TRIGGER,v2iT5RAbiA,BTA,172.80 
[54690] QUOTE,v2iT5RAbiA,FTB 
[54748] SET_SELL_AMOUNT,v2iT5RAbiA,XLK,655.70 
[55069] DISPLAY_SUMMARY,v2iT5RAbiA 
[55070] CANCEL_SET_SELL,v2iT5RAbiA,XLK 
[55080] COMMIT_SELL,v2iT5RAbiA 
[55082] ADD,v2iT5RAbiA,55118.30 
[55120] QUOTE,v2iT5RAbiA,DBS 
[55252] BUY,v2iT5RAbiA,OOR,326.11 
[55450] COMMIT_BUY,v2iT5RAbiA 
[55603] SET_BUY_AMOUNT,v2iT5RAbiA,CUZ,508.84 
[55617] SET_BUY_TRIGGER,v2iT5RAbiA,PTC,251.79 
[55661] SET_BUY_AMOUNT,v2iT5RAbiA,NHG,659.91 
[55665] DISPLAY_SUMMARY,v2iT5RAbiA 
[55670] BUY,v2iT5RAbiA,HVE,682.42 
[55711] ADD,v2iT5RAbiA,64673.36 
[55816] BUY,v2iT5RAbiA,EGB,195.45 
[55908] COMMIT_BUY,v2iT5RAbiA 
[56026] QUOTE,v2iT5RAbiA,VDP 
[56040] SET_SELL_TRIGGER,v2iT5RAbiA,ZOT,98.17 
[56045] ADD,v2iT5RAbiA,64682.23 
[56047] BUY,v2iT5RAbiA,ZJG,195.22 
[56090] COMMIT_BUY,v2iT5RAbiA 
[56268] BUY,v2iT5RAbiA,MIR,672.85 
[56294] CANCEL_BUY,v2iT5RAbiA 
[56439] QUOTE,v2iT5RAbiA,TSU 
[56515] SET_BUY_TRIGGER,v2iT5RAbiA,TQE,148.52 
[56678] SELL,v2iT5RAbiA,KDA,488.83 
[56709] COMMIT_SELL,v2iT5RAbiA 
[56731] SET_SELL_AMOUNT,v2iT5RAbiA,UTV,94.56 
[56760] SET_SELL_TRIGGER,v2iT5RAbiA,UTV,35.17 
[56921] SET_SELL_AMOUNT,v2iT5RAbiA,EBS,23.51 
[56957] CANCEL_SET_SELL,v2iT5RAbiA,EBS 
[57240] ADD,v2iT5RAbiA,86464.05 
[57268] QUOTE,v2iT5RAbiA,GJR 
[57281] CANCEL_SET_SELL,v2iT5RAbiA,NOP 
[57313] SET_SELL_TRIGGER,v2iT5RAbiA,RDK,21.26 
[57491] BUY,v2iT5RAbiA,MOF,390.13 
[57530] COMMIT_SELL,v2iT5RAbiA 
[57610] ADD,v2iT5RAbiA,65251.30 
[57626] BUY,v2iT5RAbiA,RDN,404.72 
[57627] SET_BUY_AMOUNT,v2iT5RAbiA,UBJ,695.98 
[57691] SET_BUY_TRIGGER,v2iT5RAbiA,TUO,126.90 
[57744] SELL,v2iT5RAbiA,RUN,565.08 
[57766] ADD,v2iT5RAbiA,37613.52 
[57812] CANCEL_SET_BUY,v2iT5RAbiA,WSR 
[57999] SET_SELL_AMOUNT,v2iT5RAbiA,AVX,191.39 
[58150] SET_SELL_TRIGGER,v2iT5RAbiA,AVX,41.77 
[58174] SET_SELL_AMOUNT,v2iT5RAbiA,ZYR,185.31 
[58175] SET_SELL_TRIGGER,v2iT5RAbiA,ZYR,68.23 
[58263] BUY,v2iT5RAbiA,NTB,500.26 
[58291] COMMIT_SELL,v2iT5RAbiA 
[58425] SET_BUY_TRIGGER,v2iT5RAbiA,JJW,128.22 
[58535] CANCEL_BUY,v2iT5RAbiA 
[58571] BUY,v2iT5RAbiA,ZNL,378.15 
[58780] DISPLAY_SUMMARY,v2iT5RAbiA 
[58789] SET_BUY_TRIGGER,v2iT5RAbiA,UTV,1.96 
[58849] SELL,v2iT5RAbiA,UBJ,523.67 
[59246] QUOTE,v2iT5RAbiA,ULL 
[59273] DISPLAY_SUMMARY,v2iT5RAbiA 
[59387] ADD,v2iT5RAbiA,90832.78 
[59453] BUY,v2iT5RAbiA,SSL,286.85 
[59462] COMMIT_BUY,v2iT5RAbiA 
[59530] BUY,v2iT5RAbiA,TFZ,714.98 
[59534] COMMIT_BUY,v2iT5RAbiA 
[59678] BUY,v2iT5RAbiA,GRD,23.75 
[60094] SET_BUY_TRIGGER,v2iT5RAbiA,DBS,99.47 
[60122] SET_BUY_TRIGGER,v2iT5RAbiA,FQU,109.56 
[60131] SET_SELL_TRIGGER,v2iT5RAbiA,BVN,7.06 
[60222] SET_SELL_AMOUNT,v2iT5RAbiA,UBJ,305.62 
[60246] SET_SELL_TRIGGER,v2iT5RAbiA,UBJ,22.94 
[60441] SELL,v2iT5RAbiA,QJZ,444.89 
[60473] COMMIT_SELL,v2iT5RAbiA 
[60522] SELL,v2iT5RAbiA,NHG,520.61 
[60551] SET_BUY_AMOUNT,v2iT5RAbiA,CSZ,237.23 
[60612] SET_BUY_TRIGGER,v2iT5RAbiA,ENQ,102.33 
[60617] BUY,v2iT5RAbiA,YPW,346.89 
[60668] ADD,v2iT5RAbiA,75792.98 
[60682] BUY,v2iT5RAbiA,SWJ,199.01 
[60871] COMMIT_BUY,v2iT5RAbiA 
[60881] SET_SELL_AMOUNT,v2iT5RAbiA,OEY,165.96 
[60901] SET_SELL_TRIGGER,v2iT5RAbiA,OEY,17.29 
[60964] BUY,v2iT5RAbiA,IVV,607.02 
[61348] DISPLAY_SUMMARY,v2iT5RAbiA 
[61467] ADD,v2iT5RAbiA,83743.99 
[61481] SELL,v2iT5RAbiA,OPN,275.29 
[61787] CANCEL_SELL,v2iT5RAbiA 
[61883] BUY,v2iT5RAbiA,AZN,382.96 
[61941] COMMIT_BUY,v2iT5RAbiA 
[62013] SET_SELL_TRIGGER,v2iT5RAbiA,XZN,49.04 
[62027] DISPLAY_SUMMARY,v2iT5RAbiA 
[62083] QUOTE,v2iT5RAbiA,NSW 
[62084] BUY,v2iT5RAbiA,NVN,37.45 
[62307] COMMIT_BUY,v2iT5RAbiA 
[62311] DISPLAY_SUMMARY,v2iT5RAbiA 
[62402] QUOTE,v2iT5RAbiA,YAZ 
[62423] COMMIT_BUY,v2iT5RAbiA 
[62454] ADD,v2iT5RAbiA,88415.34 
[62492] QUOTE,v2iT5RAbiA,JNO 
[62503] SET_BUY_AMOUNT,v2iT5RAbiA,PTP,311.83 
[62578] SET_BUY_TRIGGER,v2iT5RAbiA,ZQC,24.34 
[62649] DISPLAY_SUMMARY,v2iT5RAbiA 
[62719] QUOTE,v2iT5RAbiA,EDM 
[62733] SET_BUY_TRIGGER,v2iT5RAbiA,ALG,95.15 
[62761] DISPLAY_SUMMARY,v2iT5RAbiA 
[62782] BUY,v2iT5RAbiA,WNX,486.93 
[62868] CANCEL_BUY,v2iT5RAbiA 
[62909] SET_SELL_TRIGGER,v2iT5RAbiA,BDX,32.56 
[63225] ADD,v2iT5RAbiA,106565.38 
[63261] QUOTE,v2iT5RAbiA,KES 
[63277] QUOTE,v2iT5RAbiA,TVP 
[63330] SET_BUY_AMOUNT,v2iT5RAbiA,QAX,88.84 
[63549] SET_BUY_TRIGGER,v2iT5RAbiA,WOJ,1.20 
[63835] SELL,v2iT5RAbiA,QGE,634.69 
[64042] SELL,v2iT5RAbiA,UBJ,281.74 
[64226] COMMIT_SELL,v2iT5RAbiA 
[64253] SET_BUY_TRIGGER,v2iT5RAbiA,WHR,151.97 
[64315] DISPLAY_SUMMARY,v2iT5RAbiA 
[64356] DISPLAY_SUMMARY,v2iT5RAbiA 
[64586] SET_SELL_AMOUNT,v2iT5RAbiA,OEY,272.99 
[64737] BUY,v2iT5RAbiA,ZPD,654.45 
[64886] COMMIT_BUY,v2iT5RAbiA 
[65113] SELL,v2iT5RAbiA,ZYR,23.90 
[65168] CANCEL_BUY,v2iT5RAbiA 
[65312] QUOTE,v2iT5RAbiA,CNN 
[65469] BUY,v2iT5RAbiA,USW,340.44 
[65472] SET_SELL_TRIGGER,v2iT5RAbiA,OEY,243.93 
[65689] QUOTE,v2iT5RAbiA,SYT 
[65797] BUY,v2iT5RAbiA,XLI,299.11 
[65824] COMMIT_BUY,v2iT5RAbiA 
[66077] QUOTE,v2iT5RAbiA,FZU 
[66090] SET_SELL_TRIGGER,v2iT5RAbiA,DBR,190.26 
[66102] ADD,v2iT5RAbiA,75225.10 
[66143] QUOTE,v2iT5RAbiA,URA 
[66178] BUY,v2iT5RAbiA,KCS,602.30 
[66195] COMMIT_BUY,v2iT5RAbiA 
[66254] QUOTE,v2iT5RAbiA,KHY 
[66302] ADD,v2iT5RAbiA,67118.62 
[66536] QUOTE,v2iT5RAbiA,DXL 
[66549] DISPLAY_SUMMARY,v2iT5RAbiA 
[66665] SET_BUY_TRIGGER,v2iT5RAbiA,KCA,47.59 
[66860] CANCEL_SELL,v2iT5RAbiA 
[66874] QUOTE,v2iT5RAbiA,KZZ 
[66965] BUY,v2iT5RAbiA,JXR,125.21 
[66976] BUY,v2iT5RAbiA,VKP,500.29 
[66984] QUOTE,v2iT5RAbiA,SBT 
[67006] BUY,v2iT5RAbiA,KLE,669.75 
[67084] CANCEL_BUY,v2iT5RAbiA 
[67230] DISPLAY_SUMMARY,v2iT5RAbiA 
[67330] DISPLAY_SUMMARY,v2iT5RAbiA 
[67929] DISPLAY_SUMMARY,v2iT5RAbiA 
[67937] SET_BUY_TRIGGER,v2iT5RAbiA,FCH,80.10 
[68016] SET_BUY_AMOUNT,v2iT5RAbiA,JRJ,146.68 
[68115] SELL,v2iT5RAbiA,YJK,535.08 
[68315] COMMIT_SELL,v2iT5RAbiA 
[68569] ADD,v2iT5RAbiA,81574.46 
[68688] QUOTE,v2iT5RAbiA,EGX 
[68744] QUOTE,v2iT5RAbiA,SKV 
[68858] BUY,v2iT5RAbiA,HIN,156.30 
[68896] COMMIT_BUY,v2iT5RAbiA 
[68910] SET_SELL_TRIGGER,v2iT5RAbiA,IFC,62.73 
[68939] SET_BUY_AMOUNT,v2iT5RAbiA,VTY,195.57 
[69002] SET_BUY_TRIGGER,v2iT5RAbiA,ZAN,94.60 
[69055] SET_SELL_AMOUNT,v2iT5RAbiA,JQO,390.71 
[69073] CANCEL_SET_SELL,v2iT5RAbiA,JQO 
[69220] ADD,v2iT5RAbiA,95165.08 
[69333] BUY,v2iT5RAbiA,DES,227.92 
[69337] CANCEL_BUY,v2iT5RAbiA 
[69361] ADD,v2iT5RAbiA,49008.83 
[69526] COMMIT_SELL,v2iT5RAbiA 
[69638] ADD,v2iT5RAbiA,75273.77 
[70032] BUY,v2iT5RAbiA,SSF,225.11 
[70071] CANCEL_SET_BUY,v2iT5RAbiA,MFX 
[70210] SELL,v2iT5RAbiA,QGE,18.45 
[70405] COMMIT_SELL,v2iT5RAbiA 
[70434] ADD,v2iT5RAbiA,67478.65 
[70492] BUY,v2iT5RAbiA,OZW,26.50 
[70501] COMMIT_BUY,v2iT5RAbiA 
[70519] BUY,v2iT5RAbiA,LGL,62.54 
[70520] SET_SELL_AMOUNT,v2iT5RAbiA,VTY,684.21 
[70573] CANCEL_SET_SELL,v2iT5RAbiA,VTY 
[70837] SET_SELL_TRIGGER,v2iT5RAbiA,VNN,178.35 
[70860] SET_BUY_AMOUNT,v2iT5RAbiA,SUS,570.27 
[70868] SET_BUY_TRIGGER,v2iT5RAbiA,HVE,64.38 
[70898] ADD,v2iT5RAbiA,62082.32 
[70905] COMMIT_BUY,v2iT5RAbiA 
[71057] DISPLAY_SUMMARY,v2iT5RAbiA 
[71254] SELL,v2iT5RAbiA,KES,619.14 
[71315] SELL,v2iT5RAbiA,GRM,442.44 
[71495] SET_BUY_TRIGGER,v2iT5RAbiA,RXB,78.41 
[71643] SET_BUY_TRIGGER,v2iT5RAbiA,CBX,22.86 
[71689] SELL,v2iT5RAbiA,RNK,40.90 
[71691] SELL,v2iT5RAbiA,OPN,611.04 
[71741] COMMIT_SELL,v2iT5RAbiA 
[72217] ADD,v2iT5RAbiA,66689.65 
[72252] BUY,v2iT5RAbiA,XSS,506.79 
[72286] DISPLAY_SUMMARY,v2iT5RAbiA 
[72300] SET_BUY_TRIGGER,v2iT5RAbiA,MQX,194.89 
[72347] SET_BUY_AMOUNT,v2iT5RAbiA,BCQ,319.14 
[72371] SET_BUY_TRIGGER,v2iT5RAbiA,ZUV,75.46 
[72382] QUOTE,v2iT5RAbiA,JJW 
[72415] QUOTE,v2iT5RAbiA,IOM 
[72440] BUY,v2iT5RAbiA,WGP,139.31 
[72618] DISPLAY_SUMMARY,v2iT5RAbiA 
[72718] CANCEL_SELL,v2iT5RAbiA 
[72817] DISPLAY_SUMMARY,v2iT5RAbiA 
[72905] BUY,v2iT5RAbiA,MFX,221.64 
[73025] SET_SELL_TRIGGER,v2iT5RAbiA,BRT,53.12 
[73187] SET_SELL_TRIGGER,v2iT5RAbiA,OBO,141.12 
[73208] DISPLAY_SUMMARY,v2iT5RAbiA 
[73215] SET_BUY_AMOUNT,v2iT5RAbiA,KDA,10.32 
[73394] CANCEL_SET_BUY,v2iT5RAbiA,FIW 
[73713] SET_BUY_AMOUNT,v2iT5RAbiA,UTV,538.73 
[73730] SET_BUY_TRIGGER,v2iT5RAbiA,YAV,385.48 
[73935] SELL,v2iT5RAbiA,UIE,25.58 
[74050] SET_SELL_AMOUNT,v2iT5RAbiA,FQP,334.57 
[74172] SET_SELL_TRIGGER,v2iT5RAbiA,FQP,211.72 
[74270] QUOTE,v2iT5RAbiA,SJH 
[74286] CANCEL_BUY,v2iT5RAbiA 
[74365] DISPLAY_SUMMARY,v2iT5RAbiA 
[74619] DISPLAY_SUMMARY,v2iT5RAbiA 
[74671] DISPLAY_SUMMARY,v2iT5RAbiA 
[74699] SET_BUY_TRIGGER,v2iT5RAbiA,GCL,119.93 
[74847] SET_SELL_TRIGGER,v2iT5RAbiA,VTY,2.29 
[74888] ADD,v2iT5RAbiA,64944.30 
[75129] QUOTE,v2iT5RAbiA,RJG 
[75136] QUOTE,v2iT5RAbiA,AAC 
[75237] BUY,v2iT5RAbiA,OFP,374.20 
[75352] COMMIT_BUY,v2iT5RAbiA 
[75391] DISPLAY_SUMMARY,v2iT5RAbiA 
[75841] BUY,v2iT5RAbiA,ZFJ,232.29 
[75923] COMMIT_BUY,v2iT5RAbiA 
[76055] ADD,v2iT5RAbiA,79005.41 
[76087] CANCEL_SET_SELL,v2iT5RAbiA,YZC 
[76235] SET_SELL_TRIGGER,v2iT5RAbiA,XVK,1.34 
[76256] SELL,v2iT5RAbiA,MXD,274.00 
[76429] COMMIT_SELL,v2iT5RAbiA 
[76438] SET_BUY_TRIGGER,v2iT5RAbiA,PNP,2.41 
[76507] DISPLAY_SUMMARY,v2iT5RAbiA 
[76791] SET_SELL_TRIGGER,v2iT5RAbiA,SMS,82.96 
[76812] COMMIT_BUY,v2iT5RAbiA 
[76851] DISPLAY_SUMMARY,v2iT5RAbiA 
[77213] QUOTE,v2iT5RAbiA,BTD 
[77218] BUY,v2iT5RAbiA,UEC,653.89 
[77221] COMMIT_BUY,v2iT5RAbiA 
[77355] DISPLAY_SUMMARY,v2iT5RAbiA 
[77395] BUY,v2iT5RAbiA,EEG,543.06 
[77442] SET_SELL_AMOUNT,v2iT5RAbiA,GYF,326.55 
[77592] SET_SELL_TRIGGER,v2iT5RAbiA,GYF,96.17 
[77638] CANCEL_SELL,v2iT5RAbiA 
[77763] ADD,v2iT5RAbiA,58532.74 
[77797] BUY,v2iT5RAbiA,NGG,507.89 
[77798] SET_BUY_TRIGGER,v2iT5RAbiA,HNO,171.91 
[77859] BUY,v2iT5RAbiA,SDW,749.53 
[77992] COMMIT_BUY,v2iT5RAbiA 
[78051] SET_BUY_AMOUNT,v2iT5RAbiA,CUZ,670.30 
[78096] SET_BUY_TRIGGER,v2iT5RAbiA,XOM,464.82 
[78129] SET_BUY_TRIGGER,v2iT5RAbiA,MER,124.82 
[78147] SET_BUY_TRIGGER,v2iT5RAbiA,WBL,58.19 
[78148] ADD,v2iT5RAbiA,47498.63 
[78290] BUY,v2iT5RAbiA,IGT,320.73 
[78320] CANCEL_SET_BUY,v2iT5RAbiA,MLU 
[78339] DISPLAY_SUMMARY,v2iT5RAbiA 
[78360] QUOTE,v2iT5RAbiA,YBO 
[78392] CANCEL_BUY,v2iT5RAbiA 
[78461] QUOTE,v2iT5RAbiA,KZZ 
[78520] CANCEL_SELL,v2iT5RAbiA 
[78652] SELL,v2iT5RAbiA,KYX,434.86 
[78659] COMMIT_SELL,v2iT5RAbiA 
[78845] ADD,v2iT5RAbiA,73718.77 
[78911] DISPLAY_SUMMARY,v2iT5RAbiA 
[78987] SELL,v2iT5RAbiA,XQC,110.35 
[79042] COMMIT_SELL,v2iT5RAbiA 
[79336] QUOTE,v2iT5RAbiA,EMN 
[79372] SET_SELL_AMOUNT,v2iT5RAbiA,NHG,187.53 
[79430] QUOTE,v2iT5RAbiA,YTT 
[79499] BUY,v2iT5RAbiA,MMF,333.34 
[79549] CANCEL_SET_BUY,v2iT5RAbiA,WDJ 
[79647] CANCEL_SELL,v2iT5RAbiA 
[79652] ADD,v2iT5RAbiA,58807.88 
[79680] BUY,v2iT5RAbiA,YEH,645.68 
[79707] COMMIT_BUY,v2iT5RAbiA 
[79712] BUY,v2iT5RAbiA,ZOW,243.83 
[79995] ADD,v2iT5RAbiA,46635.78 
[80152] SET_BUY_TRIGGER,v2iT5RAbiA,OYX,184.46 
[80239] SELL,v2iT5RAbiA,DFE,4.81 
[80311] COMMIT_SELL,v2iT5RAbiA 
[80386] SET_BUY_AMOUNT,v2iT5RAbiA,XLK,447.35 
[80396] SET_BUY_TRIGGER,v2iT5RAbiA,GUW,24.67 
[80592] ADD,v2iT5RAbiA,84519.12 
[80655] QUOTE,v2iT5RAbiA,YRO 
[80740] BUY,v2iT5RAbiA,DVA,524.66 
[80843] SET_BUY_TRIGGER,v2iT5RAbiA,STQ,99.49 
[80851] ADD,v2iT5RAbiA,74711.41 
[80974] QUOTE,v2iT5RAbiA,DBR 
[80994] BUY,v2iT5RAbiA,HQU,612.15 
[81152] CANCEL_BUY,v2iT5RAbiA 
[81643] DISPLAY_SUMMARY,v2iT5RAbiA 
[81756] SET_BUY_AMOUNT,v2iT5RAbiA,QVK,332.74 
[81768] SET_BUY_TRIGGER,v2iT5RAbiA,CVK,147.83 
[81845] CANCEL_SET_SELL,v2iT5RAbiA,NHG 
[81851] CANCEL_SELL,v2iT5RAbiA 
[82025] QUOTE,v2iT5RAbiA,EDM 
[82098] BUY,v2iT5RAbiA,QPZ,72.45 
[82132] COMMIT_BUY,v2iT5RAbiA 
[82202] BUY,v2iT5RAbiA,QNK,290.13 
[82266] COMMIT_BUY,v2iT5RAbiA 
[82314] SET_BUY_TRIGGER,v2iT5RAbiA,LLO,111.72 
[82413] SET_SELL_AMOUNT,v2iT5RAbiA,QGE,731.73 
[82496] SET_SELL_TRIGGER,v2iT5RAbiA,QGE,694.47 
[82734] SET_BUY_TRIGGER,v2iT5RAbiA,KPE,10.62 
[82821] SET_BUY_TRIGGER,v2iT5RAbiA,GFN,138.17 
[82836] BUY,v2iT5RAbiA,KMZ,414.88 
[82842] CANCEL_BUY,v2iT5RAbiA 
[82885] ADD,v2iT5RAbiA,80017.52 
[82903] BUY,v2iT5RAbiA,GGY,471.08 
[82931] SET_SELL_AMOUNT,v2iT5RAbiA,MXD,251.76 
[83033] CANCEL_SET_SELL,v2iT5RAbiA,MXD 
[83141] DISPLAY_SUMMARY,v2iT5RAbiA 
[83336] DISPLAY_SUMMARY,v2iT5RAbiA 
[83498] CANCEL_SELL,v2iT5RAbiA 
[83619] SELL,v2iT5RAbiA,QAX,612.89 
[83763] COMMIT_SELL,v2iT5RAbiA 
[83784] BUY,v2iT5RAbiA,MAX,110.39 
[83793] COMMIT_BUY,v2iT5RAbiA 
[84241] CANCEL_SET_SELL,v2iT5RAbiA,ETB 
[84416] ADD,v2iT5RAbiA,45403.96 
[84660] BUY,v2iT5RAbiA,EVR,533.29 
[84815] QUOTE,v2iT5RAbiA,KYX 
[84829] CANCEL_SELL,v2iT5RAbiA 
[84952] SET_SELL_AMOUNT,v2iT5RAbiA,BCQ,80.39 
[85046] SET_SELL_TRIGGER,v2iT5RAbiA,BCQ,29.31 
[85137] DISPLAY_SUMMARY,v2iT5RAbiA 
[85237] QUOTE,v2iT5RAbiA,KAR 
[85401] BUY,v2iT5RAbiA,NGB,458.55 
[85460] COMMIT_BUY,v2iT5RAbiA 
[85479] DISPLAY_SUMMARY,v2iT5RAbiA 
[85624] SET_BUY_TRIGGER,v2iT5RAbiA,DKV,73.46 
[86123] ADD,v2iT5RAbiA,68923.97 
[86227] QUOTE,v2iT5RAbiA,PIC 
[86326] CANCEL_BUY,v2iT5RAbiA 
[86329] ADD,v2iT5RAbiA,70047.66 
[86449] ADD,v2iT5RAbiA,89913.61 
[86504] COMMIT_BUY,v2iT5RAbiA 
[86531] SET_BUY_AMOUNT,v2iT5RAbiA,UTV,373.74 
[86841] SET_BUY_TRIGGER,v2iT5RAbiA,XFW,19.93 
[86842] SET_BUY_AMOUNT,v2iT5RAbiA,OZO,290.09 
[86877] SET_BUY_TRIGGER,v2iT5RAbiA,NSW,96.61 
[87029] SELL,v2iT5RAbiA,QAX,43.35 
[87109] COMMIT_SELL,v2iT5RAbiA 
[87169] SET_BUY_TRIGGER,v2iT5RAbiA,MGO,194.98 
[87311] BUY,v2iT5RAbiA,KRY,740.08 
[87706] CANCEL_BUY,v2iT5RAbiA 
[87745] QUOTE,v2iT5RAbiA,VMK 
[87815] QUOTE,v2iT5RAbiA,OLH 
[87897] BUY,v2iT5RAbiA,TKV,612.51 
[88449] SET_BUY_TRIGGER,v2iT5RAbiA,QVK,152.95 
[88552] QUOTE,v2iT5RAbiA,WTL 
[88673] QUOTE,v2iT5RAbiA,FGI 
[88696] QUOTE,v2iT5RAbiA,SFO 
[88799] SET_BUY_AMOUNT,v2iT5RAbiA,SUS,223.79 
[88812] SET_BUY_TRIGGER,v2iT5RAbiA,IQZ,85.51 
[88814] SET_SELL_AMOUNT,v2iT5RAbiA,KES,490.26 
[89071] SET_SELL_TRIGGER,v2iT5RAbiA,KES,195.72 
[89177] ADD,v2iT5RAbiA,85473.14 
[89239] BUY,v2iT5RAbiA,AED,388.47 
[89254] CANCEL_BUY,v2iT5RAbiA 
[89499] SET_SELL_TRIGGER,v2iT5RAbiA,DXL,84.28 
[89531] ADD,v2iT5RAbiA,57720.40 
[89549] QUOTE,v2iT5RAbiA,TSU 
[89581] SELL,v2iT5RAbiA,OPN,725.48 
[89597] CANCEL_BUY,v2iT5RAbiA 
[89675] DISPLAY_SUMMARY,v2iT5RAbiA 
[89890] ADD,v2iT5RAbiA,53351.53 
[90184] BUY,v2iT5RAbiA,KGV,745.32 
[90229] COMMIT_BUY,v2iT5RAbiA 
[90241] DISPLAY_SUMMARY,v2iT5RAbiA 
[90318] ADD,v2iT5RAbiA,63195.06 
[90669] QUOTE,v2iT5RAbiA,DDA 
[90863] QUOTE,v2iT5RAbiA,IFQ 
[91002] SET_BUY_AMOUNT,v2iT5RAbiA,SUS,407.71 
