[9] ADD,xKgBJKhIlx,79140.22 
[49209] SET_BUY_TRIGGER,xKgBJKhIlx,KBI,357.16 
[49308] SET_SELL_TRIGGER,xKgBJKhIlx,GED,147.37 
[49372] SET_BUY_TRIGGER,xKgBJKhIlx,VMT,85.16 
[49411] SET_SELL_TRIGGER,xKgBJKhIlx,NKC,106.45 
[49461] SELL,xKgBJKhIlx,GYF,302.54 
[49466] COMMIT_SELL,xKgBJKhIlx 
[49475] SET_SELL_AMOUNT,xKgBJKhIlx,XXQ,264.97 
[49482] DISPLAY_SUMMARY,xKgBJKhIlx 
[49517] QUOTE,xKgBJKhIlx,TZJ 
[49538] ADD,xKgBJKhIlx,68941.80 
[49580] BUY,xKgBJKhIlx,NLT,454.19 
[49665] COMMIT_BUY,xKgBJKhIlx 
[49981] ADD,xKgBJKhIlx,85313.67 
[50027] SELL,xKgBJKhIlx,LFU,412.47 
[50030] SELL,xKgBJKhIlx,RUN,15.48 
[50046] COMMIT_SELL,xKgBJKhIlx 
[50360] SET_SELL_TRIGGER,xKgBJKhIlx,XXQ,225.00 
[50672] BUY,xKgBJKhIlx,LLF,600.65 
[50706] COMMIT_BUY,xKgBJKhIlx 
[50796] SET_BUY_AMOUNT,xKgBJKhIlx,JQO,659.11 
[50822] SET_BUY_TRIGGER,xKgBJKhIlx,QBD,174.07 
[50852] SET_BUY_AMOUNT,xKgBJKhIlx,LFU,1.14 
[50932] SET_BUY_TRIGGER,xKgBJKhIlx,TFZ,0.71 
[50935] SET_SELL_TRIGGER,xKgBJKhIlx,KAO,137.52 
[51027] SELL,xKgBJKhIlx,BCQ,579.01 
[51055] COMMIT_SELL,xKgBJKhIlx 
[51113] COMMIT_BUY,xKgBJKhIlx 
[51178] SET_SELL_TRIGGER,xKgBJKhIlx,GPW,8.02 
[51183] QUOTE,xKgBJKhIlx,EJW 
[51190] BUY,xKgBJKhIlx,ROW,373.65 
[51214] COMMIT_BUY,xKgBJKhIlx 
[51357] SELL,xKgBJKhIlx,BCQ,747.39 
[51359] CANCEL_BUY,xKgBJKhIlx 
[51451] SET_BUY_TRIGGER,xKgBJKhIlx,PBV,83.41 
[51457] SELL,xKgBJKhIlx,RUN,46.48 
[51486] SET_SELL_AMOUNT,xKgBJKhIlx,OPN,709.60 
[51665] SET_SELL_TRIGGER,xKgBJKhIlx,OPN,173.48 
[51677] QUOTE,xKgBJKhIlx,ASJ 
[51713] BUY,xKgBJKhIlx,JXW,154.76 
[52064] COMMIT_BUY,xKgBJKhIlx 
[52196] CANCEL_SET_SELL,xKgBJKhIlx,PFK 
[52215] ADD,xKgBJKhIlx,59218.20 
[52237] QUOTE,xKgBJKhIlx,EOS 
[52249] QUOTE,xKgBJKhIlx,WJS 
[52291] CANCEL_SET_BUY,xKgBJKhIlx,SIK 
[52330] QUOTE,xKgBJKhIlx,ATE 
[52385] ADD,xKgBJKhIlx,75414.09 
[52453] QUOTE,xKgBJKhIlx,KVK 
[52542] SET_BUY_AMOUNT,xKgBJKhIlx,JVT,19.06 
[52558] SET_BUY_TRIGGER,xKgBJKhIlx,YJK,17.32 
[52636] DISPLAY_SUMMARY,xKgBJKhIlx 
[52681] ADD,xKgBJKhIlx,62282.68 
[52838] SET_SELL_AMOUNT,xKgBJKhIlx,ZTI,306.64 
[52849] SET_SELL_TRIGGER,xKgBJKhIlx,ZTI,139.74 
[53103] DISPLAY_SUMMARY,xKgBJKhIlx 
[53261] BUY,xKgBJKhIlx,POI,143.06 
[53334] CANCEL_SET_BUY,xKgBJKhIlx,AVX 
[53393] SET_SELL_AMOUNT,xKgBJKhIlx,JCQ,1.13 
[53477] SET_SELL_TRIGGER,xKgBJKhIlx,JCQ,1.00 
[53530] ADD,xKgBJKhIlx,68077.12 
[53670] COMMIT_BUY,xKgBJKhIlx 
[53767] DISPLAY_SUMMARY,xKgBJKhIlx 
[53782] SELL,xKgBJKhIlx,JQO,237.48 
[53850] COMMIT_SELL,xKgBJKhIlx 
[53885] SET_BUY_AMOUNT,xKgBJKhIlx,XLK,562.95 
[54006] SET_BUY_TRIGGER,xKgBJKhIlx,GJQ,203.05 
[54026] ADD,xKgBJKhIlx,61817.39 
[54242] BUY,xKgBJKhIlx,ALV,157.97 
[54266] COMMIT_BUY,xKgBJKhIlx 
[54333] BUY,xKgBJKhIlx,VNF,517.70 
[54354] COMMIT_BUY,xKgBJKhIlx 
[54355] DISPLAY_SUMMARY,xKgBJKhIlx 
[54365] BUY,xKgBJKhIlx,QGL,626.94 
[54405] COMMIT_BUY,xKgBJKhIlx 
[54599] SET_BUY_AMOUNT,xKgBJKhIlx,PTP,738.13 
[54686] QUOTE,xKgBJKhIlx,BBC 
[54766] BUY,xKgBJKhIlx,URA,285.29 
[54867] COMMIT_BUY,xKgBJKhIlx 
[55021] SET_BUY_AMOUNT,xKgBJKhIlx,CUZ,93.35 
[55199] SET_BUY_TRIGGER,xKgBJKhIlx,EYY,54.37 
[55357] SET_SELL_TRIGGER,xKgBJKhIlx,ETJ,3.82 
[55451] DISPLAY_SUMMARY,xKgBJKhIlx 
[55619] SET_SELL_TRIGGER,xKgBJKhIlx,MWV,147.24 
[55674] SET_BUY_AMOUNT,xKgBJKhIlx,BCQ,164.59 
[55929] CANCEL_SET_BUY,xKgBJKhIlx,XDN 
[55938] SET_BUY_AMOUNT,xKgBJKhIlx,JZJ,304.78 
[56222] QUOTE,xKgBJKhIlx,KAF 
[56302] SET_BUY_AMOUNT,xKgBJKhIlx,JCQ,51.32 
[56329] SET_BUY_TRIGGER,xKgBJKhIlx,MIU,31.73 
[56342] ADD,xKgBJKhIlx,76212.56 
[56430] BUY,xKgBJKhIlx,JCQ,142.70 
[56454] COMMIT_BUY,xKgBJKhIlx 
[56588] SET_SELL_TRIGGER,xKgBJKhIlx,MWM,90.01 
[56676] SELL,xKgBJKhIlx,JCQ,556.77 
[56765] COMMIT_SELL,xKgBJKhIlx 
[56781] DISPLAY_SUMMARY,xKgBJKhIlx 
[57010] SET_BUY_AMOUNT,xKgBJKhIlx,BYA,356.28 
[57028] SET_BUY_TRIGGER,xKgBJKhIlx,BCQ,230.48 
[57102] CANCEL_BUY,xKgBJKhIlx 
[57323] QUOTE,xKgBJKhIlx,BEG 
[57544] QUOTE,xKgBJKhIlx,JPD 
[57550] ADD,xKgBJKhIlx,60958.55 
[57631] BUY,xKgBJKhIlx,PPW,440.32 
[57632] SET_BUY_AMOUNT,xKgBJKhIlx,AVX,505.87 
[57877] SET_BUY_TRIGGER,xKgBJKhIlx,OPN,404.75 
[57893] SELL,xKgBJKhIlx,BYA,560.79 
[57934] COMMIT_SELL,xKgBJKhIlx 
[57972] DISPLAY_SUMMARY,xKgBJKhIlx 
[58072] COMMIT_SELL,xKgBJKhIlx 
[58078] SELL,xKgBJKhIlx,UBJ,72.99 
[58183] COMMIT_SELL,xKgBJKhIlx 
[58195] SET_SELL_AMOUNT,xKgBJKhIlx,YJK,690.67 
[58276] SET_SELL_TRIGGER,xKgBJKhIlx,YJK,65.35 
[58567] ADD,xKgBJKhIlx,35564.17 
[58691] QUOTE,xKgBJKhIlx,OPN 
[58703] QUOTE,xKgBJKhIlx,RGM 
[58705] BUY,xKgBJKhIlx,ZZD,163.72 
[58733] SET_SELL_AMOUNT,xKgBJKhIlx,YJK,504.50 
[58749] CANCEL_SET_SELL,xKgBJKhIlx,YJK 
[58790] QUOTE,xKgBJKhIlx,ERF 
[58897] CANCEL_SET_BUY,xKgBJKhIlx,IIX 
[59013] QUOTE,xKgBJKhIlx,GLJ 
[59029] ADD,xKgBJKhIlx,70153.80 
[59036] BUY,xKgBJKhIlx,FPV,646.78 
[59096] CANCEL_BUY,xKgBJKhIlx 
[59113] CANCEL_SELL,xKgBJKhIlx 
[59432] CANCEL_SET_SELL,xKgBJKhIlx,OZW 
[59460] DISPLAY_SUMMARY,xKgBJKhIlx 
[59541] DISPLAY_SUMMARY,xKgBJKhIlx 
[59610] SELL,xKgBJKhIlx,JVT,292.34 
[59623] COMMIT_SELL,xKgBJKhIlx 
[59659] ADD,xKgBJKhIlx,47453.86 
[59682] QUOTE,xKgBJKhIlx,YRO 
[59811] QUOTE,xKgBJKhIlx,RDK 
[59865] SET_SELL_TRIGGER,xKgBJKhIlx,CTT,23.54 
[60055] DISPLAY_SUMMARY,xKgBJKhIlx 
[60374] SET_BUY_AMOUNT,xKgBJKhIlx,GYF,652.82 
[60395] CANCEL_SET_BUY,xKgBJKhIlx,ERF 
[60418] SET_SELL_AMOUNT,xKgBJKhIlx,DFE,271.75 
[60438] QUOTE,xKgBJKhIlx,AED 
[60531] CANCEL_SET_BUY,xKgBJKhIlx,YTO 
[60644] DISPLAY_SUMMARY,xKgBJKhIlx 
[60817] DISPLAY_SUMMARY,xKgBJKhIlx 
[61159] SELL,xKgBJKhIlx,ZAN,565.86 
[61176] DISPLAY_SUMMARY,xKgBJKhIlx 
[61236] SET_BUY_AMOUNT,xKgBJKhIlx,UBJ,121.29 
[61318] SET_BUY_TRIGGER,xKgBJKhIlx,QWC,62.42 
[61399] SELL,xKgBJKhIlx,XLK,470.75 
[61642] COMMIT_SELL,xKgBJKhIlx 
[61751] DISPLAY_SUMMARY,xKgBJKhIlx 
[61786] QUOTE,xKgBJKhIlx,WTL 
[61791] ADD,xKgBJKhIlx,45268.27 
[61813] BUY,xKgBJKhIlx,PYB,659.89 
[61824] COMMIT_BUY,xKgBJKhIlx 
[61991] BUY,xKgBJKhIlx,MWV,66.78 
[62006] COMMIT_BUY,xKgBJKhIlx 
[62103] ADD,xKgBJKhIlx,59364.89 
[62177] BUY,xKgBJKhIlx,KPU,630.98 
[62222] COMMIT_BUY,xKgBJKhIlx 
[62339] SET_SELL_TRIGGER,xKgBJKhIlx,DFE,172.64 
[62398] BUY,xKgBJKhIlx,BRT,348.35 
[62427] CANCEL_SELL,xKgBJKhIlx 
[62429] QUOTE,xKgBJKhIlx,CAX 
[62555] QUOTE,xKgBJKhIlx,HYX 
[62580] COMMIT_SELL,xKgBJKhIlx 
[62667] ADD,xKgBJKhIlx,69041.20 
[62812] BUY,xKgBJKhIlx,XXN,237.28 
[62854] CANCEL_BUY,xKgBJKhIlx 
[62971] SET_BUY_AMOUNT,xKgBJKhIlx,UBJ,33.45 
[62998] SET_BUY_TRIGGER,xKgBJKhIlx,YRO,14.95 
[63044] DISPLAY_SUMMARY,xKgBJKhIlx 
[63061] ADD,xKgBJKhIlx,59508.66 
[63069] BUY,xKgBJKhIlx,PUC,316.00 
[63163] CANCEL_BUY,xKgBJKhIlx 
[63198] ADD,xKgBJKhIlx,77133.45 
[63272] BUY,xKgBJKhIlx,OAS,656.91 
[63290] COMMIT_BUY,xKgBJKhIlx 
[63460] ADD,xKgBJKhIlx,63860.66 
[63475] ADD,xKgBJKhIlx,65543.11 
[63502] BUY,xKgBJKhIlx,SFO,342.57 
[63685] COMMIT_BUY,xKgBJKhIlx 
[63946] SET_BUY_TRIGGER,xKgBJKhIlx,RUN,0.92 
[63960] SELL,xKgBJKhIlx,CSZ,330.22 
[63965] COMMIT_SELL,xKgBJKhIlx 
[64095] SET_SELL_TRIGGER,xKgBJKhIlx,PIC,146.43 
[64222] DISPLAY_SUMMARY,xKgBJKhIlx 
[64314] SELL,xKgBJKhIlx,RGH,547.98 
[64363] COMMIT_SELL,xKgBJKhIlx 
[64736] BUY,xKgBJKhIlx,LSM,480.41 
[64780] COMMIT_BUY,xKgBJKhIlx 
[64842] SELL,xKgBJKhIlx,JRJ,322.53 
[65092] COMMIT_SELL,xKgBJKhIlx 
[65106] SET_BUY_AMOUNT,xKgBJKhIlx,UBJ,413.79 
[65153] SET_BUY_TRIGGER,xKgBJKhIlx,FGI,222.44 
[65290] DISPLAY_SUMMARY,xKgBJKhIlx 
[65377] CANCEL_BUY,xKgBJKhIlx 
[65407] ADD,xKgBJKhIlx,84713.12 
[65443] QUOTE,xKgBJKhIlx,DIX 
[65448] BUY,xKgBJKhIlx,IQZ,227.78 
[65498] COMMIT_SELL,xKgBJKhIlx 
[65660] DISPLAY_SUMMARY,xKgBJKhIlx 
[65827] ADD,xKgBJKhIlx,27825.55 
[65867] CANCEL_BUY,xKgBJKhIlx 
[65919] DISPLAY_SUMMARY,xKgBJKhIlx 
[66052] QUOTE,xKgBJKhIlx,SON 
[66184] CANCEL_SELL,xKgBJKhIlx 
[66314] ADD,xKgBJKhIlx,67314.39 
[66319] BUY,xKgBJKhIlx,ZGN,564.98 
[66341] SELL,xKgBJKhIlx,CEC,83.02 
[66654] SET_BUY_TRIGGER,xKgBJKhIlx,XBL,120.04 
[66713] BUY,xKgBJKhIlx,GTX,251.34 
[66778] CANCEL_BUY,xKgBJKhIlx 
[66838] SET_SELL_TRIGGER,xKgBJKhIlx,JSM,6.03 
[66847] SET_SELL_TRIGGER,xKgBJKhIlx,MVI,143.78 
[66855] SET_BUY_TRIGGER,xKgBJKhIlx,NFL,49.14 
[66951] SELL,xKgBJKhIlx,XXQ,555.68 
[67131] CANCEL_BUY,xKgBJKhIlx 
[67201] SELL,xKgBJKhIlx,GRM,178.86 
[67223] CANCEL_SELL,xKgBJKhIlx 
[67396] SET_BUY_AMOUNT,xKgBJKhIlx,LFU,140.27 
[67413] SET_BUY_TRIGGER,xKgBJKhIlx,XII,107.42 
[67425] ADD,xKgBJKhIlx,55928.75 
[67813] BUY,xKgBJKhIlx,ELQ,390.60 
[67901] QUOTE,xKgBJKhIlx,JPP 
[68173] BUY,xKgBJKhIlx,HEK,571.67 
[68247] COMMIT_BUY,xKgBJKhIlx 
[68364] QUOTE,xKgBJKhIlx,PXY 
[68504] QUOTE,xKgBJKhIlx,GYT 
[68717] SELL,xKgBJKhIlx,DFE,308.79 
[68814] COMMIT_SELL,xKgBJKhIlx 
[68877] ADD,xKgBJKhIlx,106491.35 
[68904] QUOTE,xKgBJKhIlx,UTD 
[68927] QUOTE,xKgBJKhIlx,VMK 
[68933] BUY,xKgBJKhIlx,KQZ,207.86 
[69141] COMMIT_BUY,xKgBJKhIlx 
[69179] DISPLAY_SUMMARY,xKgBJKhIlx 
[69291] SELL,xKgBJKhIlx,QGE,378.40 
[69304] COMMIT_SELL,xKgBJKhIlx 
[69353] DISPLAY_SUMMARY,xKgBJKhIlx 
[69420] DISPLAY_SUMMARY,xKgBJKhIlx 
[69467] SET_SELL_TRIGGER,xKgBJKhIlx,IGT,189.17 
[69500] QUOTE,xKgBJKhIlx,YIU 
[69510] SET_BUY_TRIGGER,xKgBJKhIlx,ZCG,88.76 
[69632] SET_SELL_TRIGGER,xKgBJKhIlx,MIR,140.12 
[69924] DISPLAY_SUMMARY,xKgBJKhIlx 
[70041] ADD,xKgBJKhIlx,91830.94 
[70149] QUOTE,xKgBJKhIlx,PXS 
[70181] ADD,xKgBJKhIlx,51971.12 
[70401] BUY,xKgBJKhIlx,EWP,196.34 
[70402] COMMIT_BUY,xKgBJKhIlx 
[70728] SET_BUY_AMOUNT,xKgBJKhIlx,OEY,70.97 
[70826] SET_BUY_TRIGGER,xKgBJKhIlx,UJC,62.61 
[70830] SELL,xKgBJKhIlx,KDA,120.82 
[70844] COMMIT_SELL,xKgBJKhIlx 
[70871] BUY,xKgBJKhIlx,HTN,128.37 
[70947] SET_SELL_AMOUNT,xKgBJKhIlx,YJK,20.06 
[71071] DISPLAY_SUMMARY,xKgBJKhIlx 
[71077] SET_SELL_AMOUNT,xKgBJKhIlx,UIE,461.05 
[71116] SET_SELL_TRIGGER,xKgBJKhIlx,UIE,113.06 
[71414] SELL,xKgBJKhIlx,XQC,53.68 
[71528] COMMIT_SELL,xKgBJKhIlx 
[71615] SELL,xKgBJKhIlx,BYA,108.20 
[71702] CANCEL_BUY,xKgBJKhIlx 
[71733] DISPLAY_SUMMARY,xKgBJKhIlx 
[71818] DISPLAY_SUMMARY,xKgBJKhIlx 
[72376] DISPLAY_SUMMARY,xKgBJKhIlx 
[72510] SELL,xKgBJKhIlx,QAX,151.03 
[72694] COMMIT_BUY,xKgBJKhIlx 
[72791] SELL,xKgBJKhIlx,UBJ,391.61 
[72800] CANCEL_BUY,xKgBJKhIlx 
[72805] SET_BUY_AMOUNT,xKgBJKhIlx,ZTI,670.59 
[72890] SET_BUY_TRIGGER,xKgBJKhIlx,CMD,87.56 
[72920] ADD,xKgBJKhIlx,51997.52 
[73071] QUOTE,xKgBJKhIlx,ZAN 
[73165] BUY,xKgBJKhIlx,JPP,183.61 
[73181] COMMIT_BUY,xKgBJKhIlx 
[73340] SET_BUY_AMOUNT,xKgBJKhIlx,RNK,206.35 
[73383] SET_BUY_TRIGGER,xKgBJKhIlx,TKV,172.32 
[73469] ADD,xKgBJKhIlx,49480.28 
[73523] QUOTE,xKgBJKhIlx,NXF 
[73569] DISPLAY_SUMMARY,xKgBJKhIlx 
[73655] CANCEL_SELL,xKgBJKhIlx 
[73738] ADD,xKgBJKhIlx,69769.41 
[73789] QUOTE,xKgBJKhIlx,FSD 
[74027] BUY,xKgBJKhIlx,EOS,138.43 
[74165] COMMIT_BUY,xKgBJKhIlx 
[74252] QUOTE,xKgBJKhIlx,PUC 
[74422] SET_BUY_AMOUNT,xKgBJKhIlx,NHG,71.86 
[74435] SET_BUY_TRIGGER,xKgBJKhIlx,MIU,3.72 
[74446] SET_SELL_AMOUNT,xKgBJKhIlx,JZJ,392.22 
[74453] CANCEL_SET_SELL,xKgBJKhIlx,JZJ 
[74556] SET_BUY_AMOUNT,xKgBJKhIlx,UIE,184.09 
[74823] SET_BUY_TRIGGER,xKgBJKhIlx,EEG,70.77 
[74925] ADD,xKgBJKhIlx,65751.26 
[75042] BUY,xKgBJKhIlx,JEO,166.58 
[75080] COMMIT_BUY,xKgBJKhIlx 
[75708] QUOTE,xKgBJKhIlx,ZTR 
[75927] CANCEL_SELL,xKgBJKhIlx 
[76066] SET_SELL_AMOUNT,xKgBJKhIlx,AVX,566.86 
[76075] SET_SELL_TRIGGER,xKgBJKhIlx,AVX,72.94 
[76120] DISPLAY_SUMMARY,xKgBJKhIlx 
[76131] QUOTE,xKgBJKhIlx,HEK 
[76223] BUY,xKgBJKhIlx,XQC,292.11 
[76228] SET_BUY_TRIGGER,xKgBJKhIlx,CLQ,176.30 
[76243] DISPLAY_SUMMARY,xKgBJKhIlx 
[76315] SET_BUY_AMOUNT,xKgBJKhIlx,OPN,161.07 
[76395] SET_BUY_TRIGGER,xKgBJKhIlx,MXN,27.39 
[76434] DISPLAY_SUMMARY,xKgBJKhIlx 
[76487] SET_SELL_AMOUNT,xKgBJKhIlx,XXQ,282.49 
[76503] SET_SELL_TRIGGER,xKgBJKhIlx,XXQ,36.18 
[76545] ADD,xKgBJKhIlx,68895.79 
[76760] SELL,xKgBJKhIlx,FQP,96.87 
[76868] COMMIT_SELL,xKgBJKhIlx 
[77081] DISPLAY_SUMMARY,xKgBJKhIlx 
[77193] CANCEL_BUY,xKgBJKhIlx 
[77237] ADD,xKgBJKhIlx,88710.73 
[77390] QUOTE,xKgBJKhIlx,UGG 
[77416] ADD,xKgBJKhIlx,88135.85 
[77443] QUOTE,xKgBJKhIlx,QPZ 
[77606] BUY,xKgBJKhIlx,FGF,183.41 
[77742] CANCEL_BUY,xKgBJKhIlx 
[77870] ADD,xKgBJKhIlx,63747.44 
[77882] QUOTE,xKgBJKhIlx,GRM 
[77907] BUY,xKgBJKhIlx,YRL,127.37 
[77996] SET_BUY_TRIGGER,xKgBJKhIlx,MRH,169.80 
[78025] ADD,xKgBJKhIlx,55839.72 
[78052] BUY,xKgBJKhIlx,OKK,635.16 
[78139] CANCEL_BUY,xKgBJKhIlx 
[78164] ADD,xKgBJKhIlx,49362.20 
[78177] BUY,xKgBJKhIlx,NFO,626.84 
[78303] SELL,xKgBJKhIlx,IFN,569.98 
[78340] QUOTE,xKgBJKhIlx,APY 
[78425] BUY,xKgBJKhIlx,MKE,584.36 
[78571] COMMIT_BUY,xKgBJKhIlx 
[78575] SELL,xKgBJKhIlx,BYA,442.93 
[78606] COMMIT_SELL,xKgBJKhIlx 
[78778] SET_BUY_AMOUNT,xKgBJKhIlx,CEC,602.78 
[78822] CANCEL_SET_BUY,xKgBJKhIlx,MWV 
[78873] DISPLAY_SUMMARY,xKgBJKhIlx 
[78925] SET_BUY_AMOUNT,xKgBJKhIlx,LZV,523.19 
[79028] DISPLAY_SUMMARY,xKgBJKhIlx 
[79280] DISPLAY_SUMMARY,xKgBJKhIlx 
[79374] SET_SELL_AMOUNT,xKgBJKhIlx,ZTI,17.43 
[79747] SET_SELL_TRIGGER,xKgBJKhIlx,ZTI,5.63 
[79771] ADD,xKgBJKhIlx,88665.70 
[79785] BUY,xKgBJKhIlx,KTU,613.20 
[79816] COMMIT_BUY,xKgBJKhIlx 
[79825] SET_SELL_AMOUNT,xKgBJKhIlx,KDA,296.94 
[79838] CANCEL_SET_SELL,xKgBJKhIlx,KDA 
[80628] SET_BUY_AMOUNT,xKgBJKhIlx,GYF,489.17 
[80924] BUY,xKgBJKhIlx,GHL,405.49 
[80968] ADD,xKgBJKhIlx,56593.56 
[80999] QUOTE,xKgBJKhIlx,QOD 
[81003] CANCEL_SET_BUY,xKgBJKhIlx,KGV 
[81173] SET_SELL_TRIGGER,xKgBJKhIlx,OTD,66.27 
[81184] DISPLAY_SUMMARY,xKgBJKhIlx 
[81231] DISPLAY_SUMMARY,xKgBJKhIlx 
[81248] ADD,xKgBJKhIlx,53026.12 
[81567] BUY,xKgBJKhIlx,LUT,557.28 
[81840] SELL,xKgBJKhIlx,XXQ,559.74 
[81875] COMMIT_SELL,xKgBJKhIlx 
[81885] SET_BUY_TRIGGER,xKgBJKhIlx,XXP,98.00 
[81968] SELL,xKgBJKhIlx,RNK,34.76 
[82404] COMMIT_BUY,xKgBJKhIlx 
[82426] QUOTE,xKgBJKhIlx,GLJ 
[82490] QUOTE,xKgBJKhIlx,SWJ 
[82502] ADD,xKgBJKhIlx,61069.03 
[82604] BUY,xKgBJKhIlx,APY,623.44 
[82900] COMMIT_BUY,xKgBJKhIlx 
[82914] COMMIT_SELL,xKgBJKhIlx 
[82941] SET_SELL_TRIGGER,xKgBJKhIlx,YPL,86.21 
[82954] SELL,xKgBJKhIlx,SQI,174.15 
[82976] SET_SELL_TRIGGER,xKgBJKhIlx,WYA,170.78 
[83042] SET_SELL_TRIGGER,xKgBJKhIlx,ZYF,2.19 
[83228] DISPLAY_SUMMARY,xKgBJKhIlx 
[83343] SET_BUY_AMOUNT,xKgBJKhIlx,SUS,674.55 
[83473] SET_BUY_TRIGGER,xKgBJKhIlx,PJJ,253.25 
[83707] CANCEL_SET_BUY,xKgBJKhIlx,PUU 
[83724] BUY,xKgBJKhIlx,IQJ,671.29 
[84057] SET_BUY_TRIGGER,xKgBJKhIlx,NFL,175.93 
[84120] QUOTE,xKgBJKhIlx,JZJ 
[84299] ADD,xKgBJKhIlx,69270.15 
[84341] DISPLAY_SUMMARY,xKgBJKhIlx 
[84522] SET_SELL_TRIGGER,xKgBJKhIlx,PFN,185.47 
[84685] SET_BUY_TRIGGER,xKgBJKhIlx,TVI,111.90 
[84732] BUY,xKgBJKhIlx,KDA,233.45 
[84740] SET_BUY_TRIGGER,xKgBJKhIlx,YDD,184.96 
[84937] ADD,xKgBJKhIlx,89611.74 
[84998] QUOTE,xKgBJKhIlx,BTA 
[85162] BUY,xKgBJKhIlx,XAB,205.39 
[85173] SET_SELL_TRIGGER,xKgBJKhIlx,WPG,42.77 
[85341] ADD,xKgBJKhIlx,35796.01 
[85377] SET_BUY_AMOUNT,xKgBJKhIlx,PTP,301.14 
[85783] BUY,xKgBJKhIlx,ZJB,428.20 
[85806] COMMIT_BUY,xKgBJKhIlx 
[85861] DISPLAY_SUMMARY,xKgBJKhIlx 
[85911] CANCEL_SET_SELL,xKgBJKhIlx,LUT 
[85921] BUY,xKgBJKhIlx,KPE,511.41 
[85981] COMMIT_BUY,xKgBJKhIlx 
[85985] QUOTE,xKgBJKhIlx,MGK 
[86018] ADD,xKgBJKhIlx,70263.47 
[86265] BUY,xKgBJKhIlx,ZNL,643.15 
[86459] COMMIT_BUY,xKgBJKhIlx 
[86497] SET_SELL_TRIGGER,xKgBJKhIlx,GIX,41.64 
[86775] DISPLAY_SUMMARY,xKgBJKhIlx 
[86833] SET_BUY_AMOUNT,xKgBJKhIlx,KES,647.90 
[86935] SET_BUY_TRIGGER,xKgBJKhIlx,PMX,216.61 
[87172] SELL,xKgBJKhIlx,BYA,714.89 
[87173] COMMIT_SELL,xKgBJKhIlx 
[87284] SET_BUY_TRIGGER,xKgBJKhIlx,NFV,137.95 
[87380] ADD,xKgBJKhIlx,35825.81 
[87552] BUY,xKgBJKhIlx,NJB,300.19 
[87767] SET_SELL_TRIGGER,xKgBJKhIlx,HDR,110.45 
[87844] ADD,xKgBJKhIlx,44916.37 
[88004] CANCEL_SET_SELL,xKgBJKhIlx,PXY 
[88502] SELL,xKgBJKhIlx,ZYR,341.50 
[88600] SET_SELL_TRIGGER,xKgBJKhIlx,NLT,184.45 
[88653] DISPLAY_SUMMARY,xKgBJKhIlx 
[88703] SELL,xKgBJKhIlx,JRJ,81.18 
[88806] COMMIT_SELL,xKgBJKhIlx 
[88979] BUY,xKgBJKhIlx,YUR,615.22 
[89087] COMMIT_BUY,xKgBJKhIlx 
[89361] SET_SELL_AMOUNT,xKgBJKhIlx,KBN,129.93 
[89362] SET_SELL_TRIGGER,xKgBJKhIlx,KBN,104.86 
[89412] DISPLAY_SUMMARY,xKgBJKhIlx 
[89464] ADD,xKgBJKhIlx,94447.66 
[89550] QUOTE,xKgBJKhIlx,JPP 
[89613] CANCEL_SELL,xKgBJKhIlx 
[89746] ADD,xKgBJKhIlx,74728.82 
[89822] QUOTE,xKgBJKhIlx,IRQ 
[89910] BUY,xKgBJKhIlx,CXN,391.58 
[89981] COMMIT_BUY,xKgBJKhIlx 
[90124] SET_BUY_AMOUNT,xKgBJKhIlx,YDS,716.77 
[90207] QUOTE,xKgBJKhIlx,NLP 
[90247] SET_SELL_TRIGGER,xKgBJKhIlx,PHJ,132.24 
[90566] SET_BUY_AMOUNT,xKgBJKhIlx,KES,355.20 
[90595] SELL,xKgBJKhIlx,OEY,545.82 
[90608] COMMIT_SELL,xKgBJKhIlx 
[90864] DISPLAY_SUMMARY,xKgBJKhIlx 
[91038] SET_SELL_TRIGGER,xKgBJKhIlx,JHY,188.35 
[91080] ADD,xKgBJKhIlx,95024.29 
[91089] QUOTE,xKgBJKhIlx,WAO 
[91133] BUY,xKgBJKhIlx,JPP,24.67 
[91149] COMMIT_BUY,xKgBJKhIlx 
[91233] ADD,xKgBJKhIlx,58337.26 
[91396] BUY,xKgBJKhIlx,WUL,395.96 
[91451] COMMIT_BUY,xKgBJKhIlx 
[91485] CANCEL_SET_BUY,xKgBJKhIlx,XVK 
[91553] SET_BUY_TRIGGER,xKgBJKhIlx,XYV,142.44 
[91640] ADD,xKgBJKhIlx,78343.58 
[91695] QUOTE,xKgBJKhIlx,TXB 
[91704] QUOTE,xKgBJKhIlx,FRB 
[91808] SET_BUY_AMOUNT,xKgBJKhIlx,MFX,701.92 
[91881] SET_BUY_TRIGGER,xKgBJKhIlx,SDW,181.78 
[92064] ADD,xKgBJKhIlx,68435.24 
[92090] BUY,xKgBJKhIlx,WBX,647.28 
[92210] COMMIT_BUY,xKgBJKhIlx 
[92227] QUOTE,xKgBJKhIlx,FWW 
[92376] BUY,xKgBJKhIlx,OEN,500.98 
[92543] CANCEL_SET_SELL,xKgBJKhIlx,GPW 
[92568] DISPLAY_SUMMARY,xKgBJKhIlx 
[92583] BUY,xKgBJKhIlx,PWK,727.83 
[92772] CANCEL_SELL,xKgBJKhIlx 
[92790] SET_SELL_TRIGGER,xKgBJKhIlx,OWH,95.25 
