[25] ADD,9Z89FNPK7B,50356.08 
[48320] COMMIT_BUY,9Z89FNPK7B 
[48471] SET_SELL_TRIGGER,9Z89FNPK7B,NUV,63.72 
[48589] ADD,9Z89FNPK7B,79913.58 
[48662] BUY,9Z89FNPK7B,TVX,656.40 
[48678] COMMIT_SELL,9Z89FNPK7B 
[48865] ADD,9Z89FNPK7B,64213.97 
[48942] CANCEL_SET_SELL,9Z89FNPK7B,VGW 
[48958] QUOTE,9Z89FNPK7B,FUF 
[48961] DISPLAY_SUMMARY,9Z89FNPK7B 
[49244] BUY,9Z89FNPK7B,YUR,715.67 
[49392] COMMIT_BUY,9Z89FNPK7B 
[49409] DISPLAY_SUMMARY,9Z89FNPK7B 
[49456] SET_BUY_AMOUNT,9Z89FNPK7B,KDA,350.37 
[49548] BUY,9Z89FNPK7B,EDW,727.71 
[49650] CANCEL_BUY,9Z89FNPK7B 
[49701] QUOTE,9Z89FNPK7B,ZAV 
[49825] DISPLAY_SUMMARY,9Z89FNPK7B 
[49911] DISPLAY_SUMMARY,9Z89FNPK7B 
[50009] SET_SELL_AMOUNT,9Z89FNPK7B,GYF,328.35 
[50042] SET_SELL_TRIGGER,9Z89FNPK7B,GYF,254.08 
[50319] SET_SELL_AMOUNT,9Z89FNPK7B,QJZ,196.29 
[50475] SET_SELL_TRIGGER,9Z89FNPK7B,QJZ,95.69 
[50523] BUY,9Z89FNPK7B,EGB,660.54 
[50626] CANCEL_SET_BUY,9Z89FNPK7B,PRJ 
[50639] SET_SELL_TRIGGER,9Z89FNPK7B,SZI,90.32 
[50774] BUY,9Z89FNPK7B,LAM,724.17 
[50882] COMMIT_BUY,9Z89FNPK7B 
[50954] QUOTE,9Z89FNPK7B,WKL 
[50991] QUOTE,9Z89FNPK7B,KZC 
[51284] BUY,9Z89FNPK7B,BFU,182.95 
[51338] COMMIT_BUY,9Z89FNPK7B 
[51363] ADD,9Z89FNPK7B,71824.32 
[51545] BUY,9Z89FNPK7B,DBR,697.65 
[51597] SET_SELL_TRIGGER,9Z89FNPK7B,RGM,189.96 
[51603] DISPLAY_SUMMARY,9Z89FNPK7B 
[51654] SELL,9Z89FNPK7B,FQP,85.76 
[51683] CANCEL_SELL,9Z89FNPK7B 
[51822] DISPLAY_SUMMARY,9Z89FNPK7B 
[52056] SET_BUY_TRIGGER,9Z89FNPK7B,WNX,162.61 
[52155] SET_BUY_TRIGGER,9Z89FNPK7B,SCW,25.29 
[52159] BUY,9Z89FNPK7B,ZTR,365.21 
[52278] COMMIT_BUY,9Z89FNPK7B 
[52532] ADD,9Z89FNPK7B,90881.94 
[52560] BUY,9Z89FNPK7B,YKB,86.39 
[52565] SELL,9Z89FNPK7B,GYF,557.11 
[52580] COMMIT_SELL,9Z89FNPK7B 
[52655] BUY,9Z89FNPK7B,EUC,394.31 
[52659] QUOTE,9Z89FNPK7B,AEM 
[52668] QUOTE,9Z89FNPK7B,YVS 
[52959] BUY,9Z89FNPK7B,WAI,398.69 
[52968] COMMIT_BUY,9Z89FNPK7B 
[53020] ADD,9Z89FNPK7B,61565.93 
[53160] BUY,9Z89FNPK7B,SYU,267.21 
[53269] COMMIT_BUY,9Z89FNPK7B 
[53327] BUY,9Z89FNPK7B,RDK,304.19 
[53379] COMMIT_BUY,9Z89FNPK7B 
[53471] BUY,9Z89FNPK7B,NUV,285.14 
[53490] QUOTE,9Z89FNPK7B,TVP 
[53529] BUY,9Z89FNPK7B,UGG,332.03 
[53546] SET_SELL_AMOUNT,9Z89FNPK7B,KDA,669.26 
[53604] SET_SELL_TRIGGER,9Z89FNPK7B,KDA,392.12 
[53704] SET_SELL_AMOUNT,9Z89FNPK7B,OPN,170.27 
[53729] BUY,9Z89FNPK7B,ATE,137.74 
[53742] SELL,9Z89FNPK7B,JVT,406.42 
[53758] SET_SELL_TRIGGER,9Z89FNPK7B,OPN,36.91 
[53806] QUOTE,9Z89FNPK7B,QID 
[54086] SET_BUY_AMOUNT,9Z89FNPK7B,PTP,348.07 
[54332] SET_BUY_TRIGGER,9Z89FNPK7B,NBX,218.83 
[54428] SET_BUY_AMOUNT,9Z89FNPK7B,JVT,589.72 
[54438] SET_BUY_TRIGGER,9Z89FNPK7B,ZTI,431.11 
[54468] ADD,9Z89FNPK7B,106347.79 
[54709] BUY,9Z89FNPK7B,CGW,550.91 
[54714] CANCEL_BUY,9Z89FNPK7B 
[54729] ADD,9Z89FNPK7B,46857.73 
[54871] QUOTE,9Z89FNPK7B,GSW 
[55074] ADD,9Z89FNPK7B,76956.31 
[55197] QUOTE,9Z89FNPK7B,JIO 
[55427] QUOTE,9Z89FNPK7B,FYR 
[55429] QUOTE,9Z89FNPK7B,ZFK 
[55822] BUY,9Z89FNPK7B,PXY,684.69 
[55928] COMMIT_BUY,9Z89FNPK7B 
[56249] SET_BUY_AMOUNT,9Z89FNPK7B,OEY,268.78 
[56419] SET_BUY_TRIGGER,9Z89FNPK7B,ZGN,215.05 
[56421] CANCEL_SET_SELL,9Z89FNPK7B,VKB 
[56589] ADD,9Z89FNPK7B,96041.60 
[56609] BUY,9Z89FNPK7B,OOR,143.05 
[56677] COMMIT_BUY,9Z89FNPK7B 
[56886] COMMIT_SELL,9Z89FNPK7B 
[56951] ADD,9Z89FNPK7B,54493.37 
[56969] BUY,9Z89FNPK7B,XEA,156.92 
[57019] COMMIT_BUY,9Z89FNPK7B 
[57078] ADD,9Z89FNPK7B,67788.03 
[57208] CANCEL_SET_SELL,9Z89FNPK7B,AJL 
[57274] QUOTE,9Z89FNPK7B,POI 
[57604] SET_BUY_AMOUNT,9Z89FNPK7B,FDI,252.28 
[57641] SET_BUY_TRIGGER,9Z89FNPK7B,SWD,252.06 
[57756] DISPLAY_SUMMARY,9Z89FNPK7B 
[57880] DISPLAY_SUMMARY,9Z89FNPK7B 
[57909] QUOTE,9Z89FNPK7B,QOQ 
[58117] SET_BUY_AMOUNT,9Z89FNPK7B,UBJ,542.10 
[58159] SET_BUY_TRIGGER,9Z89FNPK7B,TOZ,199.02 
[58262] SET_SELL_TRIGGER,9Z89FNPK7B,SON,189.83 
[58266] ADD,9Z89FNPK7B,75366.99 
[58371] BUY,9Z89FNPK7B,MWJ,166.23 
[58539] COMMIT_BUY,9Z89FNPK7B 
[58685] QUOTE,9Z89FNPK7B,NJT 
[58737] SET_BUY_TRIGGER,9Z89FNPK7B,GUW,161.50 
[58821] BUY,9Z89FNPK7B,CMD,70.97 
[58956] QUOTE,9Z89FNPK7B,LBC 
[59026] ADD,9Z89FNPK7B,99614.77 
[59292] CANCEL_BUY,9Z89FNPK7B 
[59421] QUOTE,9Z89FNPK7B,GTN 
[59577] BUY,9Z89FNPK7B,UDM,692.02 
[59603] CANCEL_BUY,9Z89FNPK7B 
[59728] CANCEL_SET_SELL,9Z89FNPK7B,UEC 
[59780] CANCEL_SET_BUY,9Z89FNPK7B,QGE 
[59946] ADD,9Z89FNPK7B,63997.71 
[60021] QUOTE,9Z89FNPK7B,YMG 
[60039] SET_BUY_AMOUNT,9Z89FNPK7B,XXQ,454.19 
[60044] SET_BUY_TRIGGER,9Z89FNPK7B,QVK,112.98 
[60054] CANCEL_SELL,9Z89FNPK7B 
[60058] ADD,9Z89FNPK7B,68931.21 
[60298] QUOTE,9Z89FNPK7B,OFP 
[60550] ADD,9Z89FNPK7B,80837.65 
[60690] QUOTE,9Z89FNPK7B,AVI 
[60760] SELL,9Z89FNPK7B,GRM,301.73 
[60888] COMMIT_SELL,9Z89FNPK7B 
[60977] ADD,9Z89FNPK7B,47499.51 
[61136] SELL,9Z89FNPK7B,BYA,265.59 
[61140] ADD,9Z89FNPK7B,84409.70 
[61245] BUY,9Z89FNPK7B,BEG,265.74 
[61287] SELL,9Z89FNPK7B,UBJ,269.44 
[61519] SELL,9Z89FNPK7B,XLK,135.55 
[61798] SET_BUY_TRIGGER,9Z89FNPK7B,XUH,3.08 
[61858] SELL,9Z89FNPK7B,AVX,604.12 
[61862] CANCEL_SELL,9Z89FNPK7B 
[61897] QUOTE,9Z89FNPK7B,BHJ 
[61910] COMMIT_SELL,9Z89FNPK7B 
[62016] CANCEL_SELL,9Z89FNPK7B 
[62113] ADD,9Z89FNPK7B,58649.35 
[62451] QUOTE,9Z89FNPK7B,NXU 
[62496] BUY,9Z89FNPK7B,JGG,25.89 
[62520] SET_SELL_TRIGGER,9Z89FNPK7B,YOQ,60.37 
[62574] DISPLAY_SUMMARY,9Z89FNPK7B 
[62803] BUY,9Z89FNPK7B,ESN,358.65 
[62880] COMMIT_BUY,9Z89FNPK7B 
[62948] SET_SELL_TRIGGER,9Z89FNPK7B,RVZ,136.54 
[63001] BUY,9Z89FNPK7B,CNN,237.67 
[63014] BUY,9Z89FNPK7B,TCP,233.70 
[63060] SET_SELL_AMOUNT,9Z89FNPK7B,KDA,615.52 
[63085] SET_SELL_TRIGGER,9Z89FNPK7B,KDA,460.78 
[63091] SELL,9Z89FNPK7B,FQP,62.83 
[63299] DISPLAY_SUMMARY,9Z89FNPK7B 
[63301] QUOTE,9Z89FNPK7B,WJB 
[63397] BUY,9Z89FNPK7B,KBN,326.41 
[63429] SET_BUY_TRIGGER,9Z89FNPK7B,MOS,69.11 
[63477] SET_BUY_AMOUNT,9Z89FNPK7B,LFU,12.82 
[63494] BUY,9Z89FNPK7B,VYQ,393.76 
[63564] CANCEL_BUY,9Z89FNPK7B 
[63600] QUOTE,9Z89FNPK7B,MAX 
[63636] BUY,9Z89FNPK7B,KAR,276.87 
[63932] COMMIT_BUY,9Z89FNPK7B 
[63953] SET_SELL_TRIGGER,9Z89FNPK7B,NTB,121.90 
[64015] SET_SELL_TRIGGER,9Z89FNPK7B,ZOW,73.62 
[64078] ADD,9Z89FNPK7B,81723.81 
[64282] QUOTE,9Z89FNPK7B,IDX 
[64397] BUY,9Z89FNPK7B,YKB,570.83 
[64510] COMMIT_BUY,9Z89FNPK7B 
[64751] SET_SELL_TRIGGER,9Z89FNPK7B,CBO,185.71 
[64806] ADD,9Z89FNPK7B,61643.18 
[64887] QUOTE,9Z89FNPK7B,YMG 
[65065] QUOTE,9Z89FNPK7B,PHZ 
[65127] CANCEL_BUY,9Z89FNPK7B 
[65129] SET_SELL_AMOUNT,9Z89FNPK7B,JQO,727.13 
[65192] SET_SELL_TRIGGER,9Z89FNPK7B,JQO,553.10 
[65236] SET_BUY_AMOUNT,9Z89FNPK7B,VTY,280.57 
[65245] SET_BUY_TRIGGER,9Z89FNPK7B,IGI,36.78 
[65286] ADD,9Z89FNPK7B,45270.13 
[65345] QUOTE,9Z89FNPK7B,NTT 
[65401] BUY,9Z89FNPK7B,VUS,740.69 
[65510] SET_BUY_TRIGGER,9Z89FNPK7B,OWH,100.99 
[65527] SET_BUY_TRIGGER,9Z89FNPK7B,AXK,40.72 
[65762] ADD,9Z89FNPK7B,75534.06 
[65778] BUY,9Z89FNPK7B,GTB,23.97 
[65835] COMMIT_BUY,9Z89FNPK7B 
[65846] SELL,9Z89FNPK7B,RUN,259.34 
[65861] CANCEL_BUY,9Z89FNPK7B 
[66037] SET_SELL_TRIGGER,9Z89FNPK7B,VMK,122.54 
[66110] QUOTE,9Z89FNPK7B,ZZN 
[66193] SELL,9Z89FNPK7B,QJZ,95.32 
[66280] SET_SELL_AMOUNT,9Z89FNPK7B,VTY,61.49 
[66333] SET_SELL_TRIGGER,9Z89FNPK7B,VTY,6.87 
[66464] SET_BUY_TRIGGER,9Z89FNPK7B,KJH,168.26 
[66505] SET_SELL_AMOUNT,9Z89FNPK7B,FQP,82.37 
[66777] SELL,9Z89FNPK7B,BYA,111.72 
[66844] ADD,9Z89FNPK7B,91176.55 
[67003] BUY,9Z89FNPK7B,GCW,135.87 
[67023] SELL,9Z89FNPK7B,EBS,639.63 
[67231] CANCEL_SELL,9Z89FNPK7B 
[67390] ADD,9Z89FNPK7B,66616.67 
[67472] CANCEL_SET_SELL,9Z89FNPK7B,FQP 
[67555] DISPLAY_SUMMARY,9Z89FNPK7B 
[67599] DISPLAY_SUMMARY,9Z89FNPK7B 
[67651] DISPLAY_SUMMARY,9Z89FNPK7B 
[67685] ADD,9Z89FNPK7B,81496.52 
[67687] QUOTE,9Z89FNPK7B,USW 
[67729] CANCEL_SELL,9Z89FNPK7B 
[67772] DISPLAY_SUMMARY,9Z89FNPK7B 
[67801] SET_BUY_TRIGGER,9Z89FNPK7B,KES,3.58 
[67822] SET_SELL_AMOUNT,9Z89FNPK7B,UIE,153.38 
[68184] CANCEL_SET_SELL,9Z89FNPK7B,UIE 
[68240] ADD,9Z89FNPK7B,42808.72 
[68254] SET_SELL_TRIGGER,9Z89FNPK7B,SSW,190.78 
[68358] SELL,9Z89FNPK7B,PTP,137.68 
[68391] SELL,9Z89FNPK7B,CUZ,240.91 
[68406] SET_SELL_TRIGGER,9Z89FNPK7B,OSA,150.05 
[68572] DISPLAY_SUMMARY,9Z89FNPK7B 
[68604] SET_SELL_AMOUNT,9Z89FNPK7B,SSF,278.29 
[68642] SET_SELL_TRIGGER,9Z89FNPK7B,SSF,77.68 
[68708] SET_SELL_TRIGGER,9Z89FNPK7B,EHF,189.98 
[68791] SET_SELL_AMOUNT,9Z89FNPK7B,GYF,50.37 
[69048] SELL,9Z89FNPK7B,FQP,139.24 
[69110] COMMIT_SELL,9Z89FNPK7B 
[69217] SET_BUY_TRIGGER,9Z89FNPK7B,XYV,6.67 
[69293] SET_BUY_TRIGGER,9Z89FNPK7B,YUR,134.43 
[69339] SET_SELL_TRIGGER,9Z89FNPK7B,GYF,50.15 
[69371] SELL,9Z89FNPK7B,KES,666.24 
[69491] COMMIT_SELL,9Z89FNPK7B 
[69523] BUY,9Z89FNPK7B,ARP,156.45 
[69557] COMMIT_BUY,9Z89FNPK7B 
[69582] DISPLAY_SUMMARY,9Z89FNPK7B 
[69696] BUY,9Z89FNPK7B,TXB,422.24 
[69862] CANCEL_SET_SELL,9Z89FNPK7B,VIG 
[70043] ADD,9Z89FNPK7B,77055.85 
[70130] BUY,9Z89FNPK7B,IPH,158.97 
[70277] QUOTE,9Z89FNPK7B,BDX 
[70731] BUY,9Z89FNPK7B,GCL,348.72 
[70755] BUY,9Z89FNPK7B,BCQ,432.24 
[70896] QUOTE,9Z89FNPK7B,QLM 
[71093] QUOTE,9Z89FNPK7B,OIV 
[71119] BUY,9Z89FNPK7B,QPE,213.93 
[71123] COMMIT_BUY,9Z89FNPK7B 
[71130] CANCEL_SET_BUY,9Z89FNPK7B,NFQ 
[71314] SET_BUY_TRIGGER,9Z89FNPK7B,KBP,78.67 
[71466] CANCEL_SET_SELL,9Z89FNPK7B,HCN 
[71533] SET_BUY_TRIGGER,9Z89FNPK7B,OAS,186.28 
[71917] SET_BUY_AMOUNT,9Z89FNPK7B,ZAN,653.90 
[71982] SET_BUY_TRIGGER,9Z89FNPK7B,XVK,610.35 
[72168] SELL,9Z89FNPK7B,PTP,700.52 
[72451] COMMIT_SELL,9Z89FNPK7B 
[72565] DISPLAY_SUMMARY,9Z89FNPK7B 
[72834] SET_SELL_AMOUNT,9Z89FNPK7B,QAX,239.37 
[72836] SET_SELL_TRIGGER,9Z89FNPK7B,QAX,183.77 
[73044] SELL,9Z89FNPK7B,JVT,409.98 
[73174] SET_BUY_AMOUNT,9Z89FNPK7B,FQP,69.84 
[73207] SET_BUY_TRIGGER,9Z89FNPK7B,SAN,17.22 
[73249] QUOTE,9Z89FNPK7B,OWH 
[73272] QUOTE,9Z89FNPK7B,SBT 
[73434] ADD,9Z89FNPK7B,63682.21 
[73455] DISPLAY_SUMMARY,9Z89FNPK7B 
[73525] SET_BUY_AMOUNT,9Z89FNPK7B,KDA,66.29 
[73685] SET_BUY_TRIGGER,9Z89FNPK7B,TOZ,7.19 
[73749] ADD,9Z89FNPK7B,88119.72 
[73820] CANCEL_SELL,9Z89FNPK7B 
[73889] ADD,9Z89FNPK7B,78712.11 
[73902] BUY,9Z89FNPK7B,NXF,261.92 
[74072] QUOTE,9Z89FNPK7B,KAR 
[74074] QUOTE,9Z89FNPK7B,MLT 
[74489] COMMIT_SELL,9Z89FNPK7B 
[74552] BUY,9Z89FNPK7B,YRL,24.29 
[74568] CANCEL_BUY,9Z89FNPK7B 
[74629] SET_BUY_TRIGGER,9Z89FNPK7B,MOM,132.19 
[74828] ADD,9Z89FNPK7B,72970.30 
[74870] BUY,9Z89FNPK7B,PYB,164.78 
[74974] COMMIT_BUY,9Z89FNPK7B 
[75039] BUY,9Z89FNPK7B,BCQ,327.06 
[75051] COMMIT_BUY,9Z89FNPK7B 
[75128] QUOTE,9Z89FNPK7B,VIK 
[75175] BUY,9Z89FNPK7B,KZQ,203.99 
[75177] SELL,9Z89FNPK7B,QAX,551.71 
[75263] COMMIT_SELL,9Z89FNPK7B 
[75329] ADD,9Z89FNPK7B,49321.36 
[75365] CANCEL_BUY,9Z89FNPK7B 
[75474] QUOTE,9Z89FNPK7B,AIN 
[75483] BUY,9Z89FNPK7B,GDF,611.35 
[75564] QUOTE,9Z89FNPK7B,ZGN 
[75846] QUOTE,9Z89FNPK7B,TKM 
[76002] SET_BUY_AMOUNT,9Z89FNPK7B,KES,488.85 
[76134] SET_BUY_TRIGGER,9Z89FNPK7B,ZOT,187.89 
[76208] BUY,9Z89FNPK7B,RGM,212.70 
[76217] CANCEL_BUY,9Z89FNPK7B 
[76352] CANCEL_SET_BUY,9Z89FNPK7B,OIY 
[76369] BUY,9Z89FNPK7B,BYA,265.36 
[76665] COMMIT_BUY,9Z89FNPK7B 
[76818] DISPLAY_SUMMARY,9Z89FNPK7B 
[76819] ADD,9Z89FNPK7B,127219.21 
[76843] BUY,9Z89FNPK7B,GDO,37.25 
[76866] COMMIT_BUY,9Z89FNPK7B 
[77096] DISPLAY_SUMMARY,9Z89FNPK7B 
[77196] SELL,9Z89FNPK7B,QJZ,646.94 
[77265] COMMIT_SELL,9Z89FNPK7B 
[77375] QUOTE,9Z89FNPK7B,MHR 
[77463] QUOTE,9Z89FNPK7B,RWM 
[77519] SET_BUY_AMOUNT,9Z89FNPK7B,JRJ,345.50 
[77630] SET_BUY_TRIGGER,9Z89FNPK7B,RNK,90.08 
[77710] SET_BUY_TRIGGER,9Z89FNPK7B,MOM,133.45 
[77828] SET_SELL_AMOUNT,9Z89FNPK7B,JVT,419.02 
[78037] SET_SELL_TRIGGER,9Z89FNPK7B,JVT,161.07 
[78062] ADD,9Z89FNPK7B,59999.18 
[78185] QUOTE,9Z89FNPK7B,VNN 
[78463] SET_SELL_TRIGGER,9Z89FNPK7B,BPP,34.52 
[78503] ADD,9Z89FNPK7B,69809.28 
[78541] BUY,9Z89FNPK7B,XEA,403.58 
[78590] CANCEL_SELL,9Z89FNPK7B 
[78758] SET_SELL_AMOUNT,9Z89FNPK7B,KBN,338.49 
[78810] SET_SELL_TRIGGER,9Z89FNPK7B,KBN,292.91 
[78824] DISPLAY_SUMMARY,9Z89FNPK7B 
[78840] ADD,9Z89FNPK7B,75571.59 
[78899] SET_BUY_AMOUNT,9Z89FNPK7B,KDA,692.48 
[79111] SET_BUY_TRIGGER,9Z89FNPK7B,KAH,285.58 
[79191] COMMIT_SELL,9Z89FNPK7B 
[79205] QUOTE,9Z89FNPK7B,KTU 
[79324] BUY,9Z89FNPK7B,QWC,229.02 
[79720] CANCEL_BUY,9Z89FNPK7B 
[79755] SET_SELL_TRIGGER,9Z89FNPK7B,JJW,135.81 
[79933] COMMIT_SELL,9Z89FNPK7B 
[80128] DISPLAY_SUMMARY,9Z89FNPK7B 
[80262] ADD,9Z89FNPK7B,73220.76 
[80356] BUY,9Z89FNPK7B,PCK,591.74 
[80358] COMMIT_BUY,9Z89FNPK7B 
[80424] ADD,9Z89FNPK7B,54216.63 
[80658] QUOTE,9Z89FNPK7B,IDX 
[81045] CANCEL_SET_SELL,9Z89FNPK7B,XTH 
[81061] SELL,9Z89FNPK7B,CEC,79.42 
[81287] COMMIT_SELL,9Z89FNPK7B 
[81584] DISPLAY_SUMMARY,9Z89FNPK7B 
[81595] QUOTE,9Z89FNPK7B,ASJ 
[81826] BUY,9Z89FNPK7B,EOS,362.71 
[81900] SET_SELL_TRIGGER,9Z89FNPK7B,ZPD,78.20 
[82003] ADD,9Z89FNPK7B,72048.23 
[82014] CANCEL_SET_SELL,9Z89FNPK7B,EOY 
[82195] SET_BUY_AMOUNT,9Z89FNPK7B,XXQ,571.51 
[82376] SET_BUY_TRIGGER,9Z89FNPK7B,JKX,164.09 
[82402] CANCEL_SELL,9Z89FNPK7B 
[82519] QUOTE,9Z89FNPK7B,PYM 
[82723] COMMIT_BUY,9Z89FNPK7B 
[82819] ADD,9Z89FNPK7B,101379.95 
[82899] QUOTE,9Z89FNPK7B,NEV 
[82968] ADD,9Z89FNPK7B,70447.75 
[83183] BUY,9Z89FNPK7B,SXB,88.87 
[83245] CANCEL_BUY,9Z89FNPK7B 
[83528] QUOTE,9Z89FNPK7B,DPG 
[83622] BUY,9Z89FNPK7B,IHA,316.60 
[83625] COMMIT_BUY,9Z89FNPK7B 
[83670] ADD,9Z89FNPK7B,74266.52 
[83740] QUOTE,9Z89FNPK7B,WYD 
[84276] SET_BUY_AMOUNT,9Z89FNPK7B,QAX,148.29 
[84429] SET_BUY_TRIGGER,9Z89FNPK7B,SBT,91.53 
[84750] QUOTE,9Z89FNPK7B,IQJ 
[84754] QUOTE,9Z89FNPK7B,YIU 
[84888] SET_BUY_TRIGGER,9Z89FNPK7B,XXN,93.55 
[84898] ADD,9Z89FNPK7B,73505.12 
[85215] CANCEL_SELL,9Z89FNPK7B 
[85240] ADD,9Z89FNPK7B,91938.71 
[85284] QUOTE,9Z89FNPK7B,CLH 
[85287] SET_BUY_AMOUNT,9Z89FNPK7B,JVT,397.25 
[85327] BUY,9Z89FNPK7B,QGN,664.61 
[85439] SET_BUY_TRIGGER,9Z89FNPK7B,LHC,295.42 
[85564] SELL,9Z89FNPK7B,CBO,537.97 
[85701] QUOTE,9Z89FNPK7B,SSL 
[85830] BUY,9Z89FNPK7B,YTY,167.57 
[85923] COMMIT_BUY,9Z89FNPK7B 
[85929] SET_BUY_TRIGGER,9Z89FNPK7B,TKM,45.24 
[85935] ADD,9Z89FNPK7B,69490.66 
[85958] SELL,9Z89FNPK7B,FQP,95.06 
[86047] COMMIT_SELL,9Z89FNPK7B 
[86128] SELL,9Z89FNPK7B,JQO,575.32 
[86255] COMMIT_SELL,9Z89FNPK7B 
[86283] ADD,9Z89FNPK7B,89112.12 
[86314] BUY,9Z89FNPK7B,BEG,199.06 
[86495] COMMIT_BUY,9Z89FNPK7B 
[86684] SET_SELL_TRIGGER,9Z89FNPK7B,GXT,163.41 
[86686] SET_SELL_TRIGGER,9Z89FNPK7B,ISQ,56.08 
[86695] ADD,9Z89FNPK7B,86648.37 
[86713] QUOTE,9Z89FNPK7B,BZX 
[86756] QUOTE,9Z89FNPK7B,MXN 
[86767] BUY,9Z89FNPK7B,ZTR,386.06 
[86827] COMMIT_BUY,9Z89FNPK7B 
[86888] ADD,9Z89FNPK7B,74903.72 
[87064] QUOTE,9Z89FNPK7B,LAW 
[87153] QUOTE,9Z89FNPK7B,YTT 
[87222] BUY,9Z89FNPK7B,MLI,529.18 
[87233] COMMIT_BUY,9Z89FNPK7B 
[87479] DISPLAY_SUMMARY,9Z89FNPK7B 
[87592] SET_SELL_AMOUNT,9Z89FNPK7B,UTV,60.51 
[87596] SET_SELL_TRIGGER,9Z89FNPK7B,UTV,39.30 
[87615] DISPLAY_SUMMARY,9Z89FNPK7B 
[87656] ADD,9Z89FNPK7B,68623.12 
[87675] BUY,9Z89FNPK7B,VGW,658.03 
[87691] COMMIT_BUY,9Z89FNPK7B 
[87692] SELL,9Z89FNPK7B,VTY,277.57 
[87718] CANCEL_SET_SELL,9Z89FNPK7B,BPE 
[87766] ADD,9Z89FNPK7B,87819.81 
[87828] BUY,9Z89FNPK7B,FYA,572.52 
[87860] COMMIT_BUY,9Z89FNPK7B 
[87899] SET_SELL_AMOUNT,9Z89FNPK7B,OEY,24.32 
[88017] SELL,9Z89FNPK7B,OEY,557.37 
[88063] COMMIT_SELL,9Z89FNPK7B 
[88075] SET_BUY_TRIGGER,9Z89FNPK7B,ZCQ,87.08 
[88180] DISPLAY_SUMMARY,9Z89FNPK7B 
[88234] SELL,9Z89FNPK7B,IFN,533.68 
[88402] COMMIT_SELL,9Z89FNPK7B 
[88412] BUY,9Z89FNPK7B,ALV,58.65 
[88435] SET_SELL_AMOUNT,9Z89FNPK7B,OZO,730.43 
[88457] SET_SELL_TRIGGER,9Z89FNPK7B,OZO,561.94 
[88471] SET_SELL_TRIGGER,9Z89FNPK7B,UGG,45.10 
[88597] DISPLAY_SUMMARY,9Z89FNPK7B 
[88767] SET_BUY_TRIGGER,9Z89FNPK7B,PMX,146.26 
[88798] SET_SELL_AMOUNT,9Z89FNPK7B,ZTI,524.60 
[88840] DISPLAY_SUMMARY,9Z89FNPK7B 
[89014] QUOTE,9Z89FNPK7B,SVV 
[89227] BUY,9Z89FNPK7B,AVH,168.93 
[89343] COMMIT_BUY,9Z89FNPK7B 
[89424] ADD,9Z89FNPK7B,71029.27 
[89603] BUY,9Z89FNPK7B,NUL,559.96 
[89646] COMMIT_BUY,9Z89FNPK7B 
[89662] DISPLAY_SUMMARY,9Z89FNPK7B 
[89792] BUY,9Z89FNPK7B,HNO,537.60 
[89918] CANCEL_SELL,9Z89FNPK7B 
[89962] QUOTE,9Z89FNPK7B,GMS 
[90053] COMMIT_SELL,9Z89FNPK7B 
[90240] SELL,9Z89FNPK7B,QGE,207.22 
[90278] COMMIT_SELL,9Z89FNPK7B 
[90284] DISPLAY_SUMMARY,9Z89FNPK7B 
[90398] QUOTE,9Z89FNPK7B,XVK 
[90423] QUOTE,9Z89FNPK7B,PST 
[90449] BUY,9Z89FNPK7B,GAL,488.67 
[90511] COMMIT_BUY,9Z89FNPK7B 
[90532] ADD,9Z89FNPK7B,59148.75 
[90558] QUOTE,9Z89FNPK7B,NFQ 
[90785] SET_BUY_TRIGGER,9Z89FNPK7B,MKE,40.48 
[91012] ADD,9Z89FNPK7B,78446.15 
[91050] QUOTE,9Z89FNPK7B,MOM 
[91062] BUY,9Z89FNPK7B,XVK,592.31 
[91129] CANCEL_BUY,9Z89FNPK7B 
[91137] SET_SELL_TRIGGER,9Z89FNPK7B,ZTI,512.52 
[91263] DISPLAY_SUMMARY,9Z89FNPK7B 
[91348] QUOTE,9Z89FNPK7B,ZMA 
[91380] BUY,9Z89FNPK7B,MKE,136.27 
[91388] COMMIT_BUY,9Z89FNPK7B 
[91445] ADD,9Z89FNPK7B,63802.65 
[91648] QUOTE,9Z89FNPK7B,XSS 
[91663] COMMIT_BUY,9Z89FNPK7B 
[91825] ADD,9Z89FNPK7B,85250.75 
[91845] BUY,9Z89FNPK7B,EGB,398.51 
[91851] SELL,9Z89FNPK7B,DFE,447.37 
[92105] SELL,9Z89FNPK7B,XQC,66.55 
[92186] COMMIT_SELL,9Z89FNPK7B 
[92215] SELL,9Z89FNPK7B,QVK,623.89 
[92224] DISPLAY_SUMMARY,9Z89FNPK7B 
[92281] DISPLAY_SUMMARY,9Z89FNPK7B 
[92561] SET_SELL_TRIGGER,9Z89FNPK7B,CUZ,91.23 
[92596] SET_SELL_AMOUNT,9Z89FNPK7B,LZV,420.51 
[92814] SET_SELL_TRIGGER,9Z89FNPK7B,LZV,402.52 
[92870] SET_BUY_TRIGGER,9Z89FNPK7B,ZHB,132.62 
[93025] SET_BUY_AMOUNT,9Z89FNPK7B,XXQ,108.13 
[93112] SELL,9Z89FNPK7B,MFX,748.01 
[93190] COMMIT_SELL,9Z89FNPK7B 
[93244] ADD,9Z89FNPK7B,58886.71 
