[152] ADD,cehNQrvm7R,82398.33 
[49542] SET_SELL_TRIGGER,cehNQrvm7R,MFX,118.88 
[49668] SELL,cehNQrvm7R,AVX,163.96 
[49692] COMMIT_SELL,cehNQrvm7R 
[49874] ADD,cehNQrvm7R,66993.47 
[49910] QUOTE,cehNQrvm7R,HZA 
[49942] DISPLAY_SUMMARY,cehNQrvm7R 
[49998] BUY,cehNQrvm7R,UJC,155.40 
[50114] COMMIT_BUY,cehNQrvm7R 
[50268] SET_BUY_TRIGGER,cehNQrvm7R,YBO,126.13 
[50463] SET_SELL_TRIGGER,cehNQrvm7R,LLD,88.91 
[50526] SET_SELL_AMOUNT,cehNQrvm7R,XLK,601.54 
[50778] SET_SELL_TRIGGER,cehNQrvm7R,XLK,324.83 
[50913] ADD,cehNQrvm7R,67966.81 
[50951] CANCEL_SELL,cehNQrvm7R 
[51059] DISPLAY_SUMMARY,cehNQrvm7R 
[51161] BUY,cehNQrvm7R,TGY,447.69 
[51194] COMMIT_BUY,cehNQrvm7R 
[51307] BUY,cehNQrvm7R,KTU,638.28 
[51386] COMMIT_BUY,cehNQrvm7R 
[51502] QUOTE,cehNQrvm7R,NGG 
[51664] BUY,cehNQrvm7R,CBY,74.20 
[51739] COMMIT_SELL,cehNQrvm7R 
[51766] SET_SELL_TRIGGER,cehNQrvm7R,MWM,178.84 
[51888] QUOTE,cehNQrvm7R,FTB 
[51926] ADD,cehNQrvm7R,76985.43 
[52011] QUOTE,cehNQrvm7R,TKG 
[52078] QUOTE,cehNQrvm7R,UGT 
[52119] BUY,cehNQrvm7R,MOF,437.80 
[52187] COMMIT_BUY,cehNQrvm7R 
[52257] CANCEL_SET_SELL,cehNQrvm7R,SNU 
[52269] BUY,cehNQrvm7R,GAV,41.89 
[52292] CANCEL_BUY,cehNQrvm7R 
[52333] SELL,cehNQrvm7R,GRM,66.46 
[52409] CANCEL_SELL,cehNQrvm7R 
[52452] BUY,cehNQrvm7R,BBC,709.72 
[52628] COMMIT_BUY,cehNQrvm7R 
[52685] BUY,cehNQrvm7R,TYV,341.40 
[52880] CANCEL_BUY,cehNQrvm7R 
[52984] QUOTE,cehNQrvm7R,PVZ 
[53017] QUOTE,cehNQrvm7R,CGW 
[53078] ADD,cehNQrvm7R,58665.40 
[53142] QUOTE,cehNQrvm7R,IRQ 
[53167] COMMIT_SELL,cehNQrvm7R 
[53343] ADD,cehNQrvm7R,82253.86 
[53368] BUY,cehNQrvm7R,DNJ,336.87 
[53369] QUOTE,cehNQrvm7R,FFZ 
[53373] DISPLAY_SUMMARY,cehNQrvm7R 
[53504] SELL,cehNQrvm7R,PTP,239.99 
[53540] DISPLAY_SUMMARY,cehNQrvm7R 
[53545] SELL,cehNQrvm7R,XQC,278.73 
[53547] COMMIT_SELL,cehNQrvm7R 
[53567] SET_BUY_TRIGGER,cehNQrvm7R,KVJ,72.07 
[53599] DISPLAY_SUMMARY,cehNQrvm7R 
[53794] ADD,cehNQrvm7R,86190.96 
[53797] BUY,cehNQrvm7R,WYA,515.38 
[54019] BUY,cehNQrvm7R,JQG,635.68 
[54058] CANCEL_BUY,cehNQrvm7R 
[54139] ADD,cehNQrvm7R,53427.44 
[54164] QUOTE,cehNQrvm7R,HZP 
[54206] BUY,cehNQrvm7R,LFU,241.18 
[54407] COMMIT_BUY,cehNQrvm7R 
[54423] CANCEL_SET_BUY,cehNQrvm7R,TKM 
[54570] BUY,cehNQrvm7R,PHZ,534.86 
[54733] COMMIT_BUY,cehNQrvm7R 
[54767] QUOTE,cehNQrvm7R,FQG 
[54814] BUY,cehNQrvm7R,XER,313.33 
[54825] DISPLAY_SUMMARY,cehNQrvm7R 
[54954] SET_BUY_AMOUNT,cehNQrvm7R,DFE,234.94 
[55059] SET_BUY_TRIGGER,cehNQrvm7R,ECI,37.97 
[55157] SET_BUY_AMOUNT,cehNQrvm7R,JZJ,152.88 
[55222] SET_BUY_TRIGGER,cehNQrvm7R,ECL,86.36 
[55279] ADD,cehNQrvm7R,96973.32 
[55301] CANCEL_SELL,cehNQrvm7R 
[55411] DISPLAY_SUMMARY,cehNQrvm7R 
[55479] SELL,cehNQrvm7R,UIE,123.00 
[55569] COMMIT_SELL,cehNQrvm7R 
[55658] ADD,cehNQrvm7R,68697.92 
[55828] QUOTE,cehNQrvm7R,BWL 
[55967] SELL,cehNQrvm7R,EBS,626.64 
[56008] COMMIT_SELL,cehNQrvm7R 
[56457] DISPLAY_SUMMARY,cehNQrvm7R 
[56757] ADD,cehNQrvm7R,66848.67 
[56808] BUY,cehNQrvm7R,NDO,527.90 
[56888] SET_BUY_AMOUNT,cehNQrvm7R,IFN,44.98 
[56916] SET_BUY_TRIGGER,cehNQrvm7R,CDF,5.30 
[57049] SET_SELL_AMOUNT,cehNQrvm7R,UIE,428.59 
[57186] SET_SELL_TRIGGER,cehNQrvm7R,UIE,216.14 
[57275] SET_BUY_AMOUNT,cehNQrvm7R,MXD,690.04 
[57328] SET_BUY_TRIGGER,cehNQrvm7R,IUN,97.02 
[57950] DISPLAY_SUMMARY,cehNQrvm7R 
[58054] SET_SELL_TRIGGER,cehNQrvm7R,XYV,140.40 
[58167] DISPLAY_SUMMARY,cehNQrvm7R 
[58304] SET_BUY_TRIGGER,cehNQrvm7R,RLS,71.99 
[58591] SET_BUY_TRIGGER,cehNQrvm7R,VXY,189.74 
[58661] QUOTE,cehNQrvm7R,SJG 
[59225] BUY,cehNQrvm7R,OGR,76.86 
[59375] QUOTE,cehNQrvm7R,GFN 
[59441] SET_BUY_TRIGGER,cehNQrvm7R,CVV,31.97 
[59669] SET_BUY_AMOUNT,cehNQrvm7R,OPN,248.56 
[59709] SET_BUY_TRIGGER,cehNQrvm7R,KAR,113.42 
[59742] ADD,cehNQrvm7R,41326.80 
[59758] BUY,cehNQrvm7R,IJO,35.04 
[59895] CANCEL_SET_SELL,cehNQrvm7R,AVH 
[59997] SELL,cehNQrvm7R,UIE,535.82 
[60157] COMMIT_SELL,cehNQrvm7R 
[60282] SELL,cehNQrvm7R,FDI,85.36 
[60286] COMMIT_SELL,cehNQrvm7R 
[60289] ADD,cehNQrvm7R,65257.31 
[60301] QUOTE,cehNQrvm7R,UDM 
[60373] ADD,cehNQrvm7R,61915.72 
[60396] QUOTE,cehNQrvm7R,NRY 
[60427] QUOTE,cehNQrvm7R,WKE 
[60476] SELL,cehNQrvm7R,VTY,326.54 
[61005] COMMIT_SELL,cehNQrvm7R 
[61067] SET_SELL_TRIGGER,cehNQrvm7R,NOP,168.80 
[61130] BUY,cehNQrvm7R,IAV,98.36 
[61255] COMMIT_BUY,cehNQrvm7R 
[61334] SET_BUY_AMOUNT,cehNQrvm7R,EBS,642.87 
[61355] SET_BUY_TRIGGER,cehNQrvm7R,JZJ,265.86 
[61379] SELL,cehNQrvm7R,QJZ,739.11 
[61393] COMMIT_SELL,cehNQrvm7R 
[61503] BUY,cehNQrvm7R,KCS,635.03 
[61570] COMMIT_BUY,cehNQrvm7R 
[61677] SET_SELL_TRIGGER,cehNQrvm7R,WQC,88.47 
[61947] SET_SELL_TRIGGER,cehNQrvm7R,FVS,169.37 
[61985] SET_BUY_AMOUNT,cehNQrvm7R,CEC,430.61 
[62022] BUY,cehNQrvm7R,VNO,476.51 
[62046] COMMIT_BUY,cehNQrvm7R 
[62067] ADD,cehNQrvm7R,75225.56 
[62075] BUY,cehNQrvm7R,VIK,170.36 
[62076] COMMIT_SELL,cehNQrvm7R 
[62158] DISPLAY_SUMMARY,cehNQrvm7R 
[62224] SET_BUY_AMOUNT,cehNQrvm7R,SUS,405.39 
[62227] DISPLAY_SUMMARY,cehNQrvm7R 
[62401] ADD,cehNQrvm7R,52446.30 
[62424] CANCEL_SET_SELL,cehNQrvm7R,HYX 
[62512] CANCEL_SET_SELL,cehNQrvm7R,IWL 
[62547] ADD,cehNQrvm7R,59303.16 
[62611] BUY,cehNQrvm7R,URI,575.87 
[62679] ADD,cehNQrvm7R,92549.37 
[62725] BUY,cehNQrvm7R,UDM,375.44 
[62737] COMMIT_BUY,cehNQrvm7R 
[62763] ADD,cehNQrvm7R,87947.85 
[62810] BUY,cehNQrvm7R,FIW,26.77 
[62863] COMMIT_BUY,cehNQrvm7R 
[62995] SET_SELL_TRIGGER,cehNQrvm7R,XXP,30.07 
[63491] DISPLAY_SUMMARY,cehNQrvm7R 
[63605] SET_BUY_AMOUNT,cehNQrvm7R,YDS,454.28 
[63687] CANCEL_SET_BUY,cehNQrvm7R,BPE 
[63726] SELL,cehNQrvm7R,MFX,446.02 
[63770] DISPLAY_SUMMARY,cehNQrvm7R 
[63789] BUY,cehNQrvm7R,BTP,149.07 
[63904] DISPLAY_SUMMARY,cehNQrvm7R 
[63914] ADD,cehNQrvm7R,59126.49 
[64113] SET_SELL_TRIGGER,cehNQrvm7R,QXW,61.95 
[64269] BUY,cehNQrvm7R,EMN,484.19 
[64374] CANCEL_SET_SELL,cehNQrvm7R,UTV 
[64427] SET_SELL_AMOUNT,cehNQrvm7R,TVI,168.95 
[64491] SET_SELL_TRIGGER,cehNQrvm7R,TVI,89.19 
[64532] ADD,cehNQrvm7R,53619.48 
[64537] QUOTE,cehNQrvm7R,FTJ 
[64582] COMMIT_BUY,cehNQrvm7R 
[64715] SET_SELL_TRIGGER,cehNQrvm7R,ZRJ,40.35 
[64860] SET_SELL_AMOUNT,cehNQrvm7R,JRJ,518.64 
[64895] SET_SELL_TRIGGER,cehNQrvm7R,JRJ,263.23 
[64972] SET_SELL_AMOUNT,cehNQrvm7R,OPN,439.95 
[65018] SET_SELL_TRIGGER,cehNQrvm7R,OPN,353.24 
[65049] SELL,cehNQrvm7R,XLK,359.50 
[65073] SET_SELL_TRIGGER,cehNQrvm7R,NGB,158.40 
[65344] SET_SELL_TRIGGER,cehNQrvm7R,ZNZ,96.59 
[65352] DISPLAY_SUMMARY,cehNQrvm7R 
[65429] DISPLAY_SUMMARY,cehNQrvm7R 
[65438] ADD,cehNQrvm7R,80881.96 
[65517] BUY,cehNQrvm7R,WNX,733.33 
[65636] CANCEL_BUY,cehNQrvm7R 
[65714] SET_BUY_TRIGGER,cehNQrvm7R,MRH,28.98 
[65732] SET_BUY_AMOUNT,cehNQrvm7R,FQP,398.55 
[65782] SET_BUY_TRIGGER,cehNQrvm7R,XOP,325.71 
[65886] ADD,cehNQrvm7R,62879.96 
[66011] QUOTE,cehNQrvm7R,ALV 
[66153] BUY,cehNQrvm7R,OEX,592.21 
[66183] SET_SELL_AMOUNT,cehNQrvm7R,XQC,30.56 
[66419] SET_SELL_TRIGGER,cehNQrvm7R,XQC,25.66 
[66765] QUOTE,cehNQrvm7R,DBS 
[66766] BUY,cehNQrvm7R,OBO,367.28 
[66991] QUOTE,cehNQrvm7R,BSZ 
[67088] BUY,cehNQrvm7R,DFE,45.36 
[67143] CANCEL_BUY,cehNQrvm7R 
[67233] DISPLAY_SUMMARY,cehNQrvm7R 
[67280] DISPLAY_SUMMARY,cehNQrvm7R 
[67372] QUOTE,cehNQrvm7R,NVN 
[67458] SET_SELL_AMOUNT,cehNQrvm7R,OZO,696.73 
[67576] SET_SELL_TRIGGER,cehNQrvm7R,OZO,613.64 
[67590] ADD,cehNQrvm7R,69864.65 
[67623] SET_BUY_AMOUNT,cehNQrvm7R,EBS,353.44 
[67665] SET_BUY_TRIGGER,cehNQrvm7R,NUL,229.08 
[68002] QUOTE,cehNQrvm7R,YNH 
[68039] BUY,cehNQrvm7R,RWY,398.81 
[68075] COMMIT_BUY,cehNQrvm7R 
[68129] SET_BUY_AMOUNT,cehNQrvm7R,CUZ,101.03 
[68212] SET_BUY_TRIGGER,cehNQrvm7R,IKK,55.28 
[68366] ADD,cehNQrvm7R,56324.14 
[68386] CANCEL_SET_SELL,cehNQrvm7R,EDW 
[68390] BUY,cehNQrvm7R,GNY,228.86 
[68494] COMMIT_BUY,cehNQrvm7R 
[68543] DISPLAY_SUMMARY,cehNQrvm7R 
[68566] ADD,cehNQrvm7R,88536.18 
[68785] QUOTE,cehNQrvm7R,VUS 
[68824] BUY,cehNQrvm7R,OSA,395.88 
[68954] COMMIT_BUY,cehNQrvm7R 
[68956] QUOTE,cehNQrvm7R,HNW 
[69234] COMMIT_BUY,cehNQrvm7R 
[69289] ADD,cehNQrvm7R,56755.89 
[69310] BUY,cehNQrvm7R,NJT,473.26 
[69383] COMMIT_BUY,cehNQrvm7R 
[69454] ADD,cehNQrvm7R,68198.77 
[69477] QUOTE,cehNQrvm7R,BBD 
[69619] CANCEL_BUY,cehNQrvm7R 
[69670] DISPLAY_SUMMARY,cehNQrvm7R 
[69698] BUY,cehNQrvm7R,QGN,494.34 
[69879] COMMIT_BUY,cehNQrvm7R 
[70157] DISPLAY_SUMMARY,cehNQrvm7R 
[70230] SET_SELL_TRIGGER,cehNQrvm7R,PUN,68.79 
[70601] SET_BUY_TRIGGER,cehNQrvm7R,MWV,38.77 
[70746] QUOTE,cehNQrvm7R,YJK 
[70886] BUY,cehNQrvm7R,DHA,292.63 
[71110] CANCEL_SET_SELL,cehNQrvm7R,GLJ 
[71127] BUY,cehNQrvm7R,WTL,552.61 
[71566] CANCEL_BUY,cehNQrvm7R 
[71575] ADD,cehNQrvm7R,77592.41 
[71597] BUY,cehNQrvm7R,KPE,164.55 
[71629] DISPLAY_SUMMARY,cehNQrvm7R 
[71756] BUY,cehNQrvm7R,KAH,67.08 
[71886] QUOTE,cehNQrvm7R,LCP 
[71937] DISPLAY_SUMMARY,cehNQrvm7R 
[71964] QUOTE,cehNQrvm7R,RXO 
[71965] BUY,cehNQrvm7R,OYS,537.25 
[72110] SELL,cehNQrvm7R,TKM,203.58 
[72149] COMMIT_SELL,cehNQrvm7R 
[72302] SET_SELL_TRIGGER,cehNQrvm7R,ZAM,145.85 
[72330] ADD,cehNQrvm7R,68727.54 
[72365] QUOTE,cehNQrvm7R,KBP 
[72486] BUY,cehNQrvm7R,XBE,617.36 
[72517] SELL,cehNQrvm7R,OEY,733.89 
[72858] SELL,cehNQrvm7R,XQC,366.11 
[72962] COMMIT_SELL,cehNQrvm7R 
[73156] COMMIT_BUY,cehNQrvm7R 
[73623] SET_BUY_TRIGGER,cehNQrvm7R,SOT,22.53 
[73792] BUY,cehNQrvm7R,OEN,374.00 
[73838] COMMIT_BUY,cehNQrvm7R 
[73871] ADD,cehNQrvm7R,84018.32 
[73899] BUY,cehNQrvm7R,JTY,191.75 
[73920] CANCEL_SELL,cehNQrvm7R 
[73924] SELL,cehNQrvm7R,QGE,471.18 
[73932] SET_BUY_AMOUNT,cehNQrvm7R,JZJ,445.68 
[73976] CANCEL_SET_BUY,cehNQrvm7R,DNJ 
[73978] QUOTE,cehNQrvm7R,SFO 
[74523] COMMIT_SELL,cehNQrvm7R 
[74594] SET_BUY_AMOUNT,cehNQrvm7R,IFN,424.33 
[74609] SET_BUY_TRIGGER,cehNQrvm7R,PVH,9.63 
[74802] SET_BUY_AMOUNT,cehNQrvm7R,OEY,704.67 
[75008] SET_BUY_TRIGGER,cehNQrvm7R,KVJ,699.58 
[75026] SET_BUY_TRIGGER,cehNQrvm7R,BJL,136.34 
[75154] ADD,cehNQrvm7R,63385.26 
[75174] BUY,cehNQrvm7R,HSJ,185.97 
[75202] CANCEL_SET_SELL,cehNQrvm7R,CUQ 
[75238] DISPLAY_SUMMARY,cehNQrvm7R 
[75244] ADD,cehNQrvm7R,79631.04 
[75349] QUOTE,cehNQrvm7R,ZMS 
[75405] SET_BUY_TRIGGER,cehNQrvm7R,LVV,153.20 
[75414] SET_SELL_TRIGGER,cehNQrvm7R,KWP,128.37 
[75438] DISPLAY_SUMMARY,cehNQrvm7R 
[75534] DISPLAY_SUMMARY,cehNQrvm7R 
[75648] SET_SELL_AMOUNT,cehNQrvm7R,RNK,477.34 
[75750] SET_SELL_TRIGGER,cehNQrvm7R,RNK,351.54 
[75850] BUY,cehNQrvm7R,WKT,403.73 
[75891] COMMIT_BUY,cehNQrvm7R 
[76026] SELL,cehNQrvm7R,FDI,445.58 
[76049] COMMIT_SELL,cehNQrvm7R 
[76189] ADD,cehNQrvm7R,49929.53 
[76477] BUY,cehNQrvm7R,KJD,328.96 
[76627] CANCEL_BUY,cehNQrvm7R 
[76815] SET_BUY_TRIGGER,cehNQrvm7R,QJC,156.97 
[76937] BUY,cehNQrvm7R,SQI,715.84 
[76939] COMMIT_BUY,cehNQrvm7R 
[76968] BUY,cehNQrvm7R,MHI,191.06 
[77064] COMMIT_BUY,cehNQrvm7R 
[77094] QUOTE,cehNQrvm7R,JGO 
[77135] CANCEL_SET_BUY,cehNQrvm7R,BOS 
[77334] CANCEL_SET_SELL,cehNQrvm7R,RRZ 
[77481] ADD,cehNQrvm7R,79152.24 
[77600] QUOTE,cehNQrvm7R,ZCG 
[77608] SET_BUY_AMOUNT,cehNQrvm7R,OZO,521.98 
[77643] SET_BUY_TRIGGER,cehNQrvm7R,FOW,50.03 
[77662] ADD,cehNQrvm7R,87569.30 
[78004] CANCEL_SELL,cehNQrvm7R 
[78082] SELL,cehNQrvm7R,EBS,717.06 
[78335] SET_SELL_TRIGGER,cehNQrvm7R,XBE,14.01 
[78489] DISPLAY_SUMMARY,cehNQrvm7R 
[78543] DISPLAY_SUMMARY,cehNQrvm7R 
[78551] SET_SELL_TRIGGER,cehNQrvm7R,NXU,100.12 
[78761] DISPLAY_SUMMARY,cehNQrvm7R 
[78762] SELL,cehNQrvm7R,RUN,466.81 
[78831] COMMIT_SELL,cehNQrvm7R 
[79168] QUOTE,cehNQrvm7R,LPB 
[79437] BUY,cehNQrvm7R,AHO,622.37 
[79449] DISPLAY_SUMMARY,cehNQrvm7R 
[79502] ADD,cehNQrvm7R,59448.73 
[79670] QUOTE,cehNQrvm7R,SFR 
[79692] QUOTE,cehNQrvm7R,BPE 
[79714] BUY,cehNQrvm7R,QGE,736.65 
[79799] COMMIT_BUY,cehNQrvm7R 
[80081] ADD,cehNQrvm7R,71951.29 
[80250] QUOTE,cehNQrvm7R,SCW 
[80287] QUOTE,cehNQrvm7R,BPP 
[80390] SET_SELL_AMOUNT,cehNQrvm7R,CEC,498.21 
[80408] CANCEL_SET_SELL,cehNQrvm7R,CEC 
[80461] ADD,cehNQrvm7R,71923.35 
[80638] BUY,cehNQrvm7R,WYA,731.52 
[80707] CANCEL_BUY,cehNQrvm7R 
[80761] SELL,cehNQrvm7R,OPN,335.48 
[81100] CANCEL_BUY,cehNQrvm7R 
[81189] SET_BUY_AMOUNT,cehNQrvm7R,GYF,307.30 
[81549] SET_BUY_TRIGGER,cehNQrvm7R,QUT,252.99 
[81624] DISPLAY_SUMMARY,cehNQrvm7R 
[81634] SET_SELL_AMOUNT,cehNQrvm7R,MFX,635.13 
[81722] QUOTE,cehNQrvm7R,ZNW 
[81771] COMMIT_BUY,cehNQrvm7R 
[81836] QUOTE,cehNQrvm7R,ZPD 
[81954] BUY,cehNQrvm7R,DMS,133.53 
[82019] COMMIT_BUY,cehNQrvm7R 
[82043] BUY,cehNQrvm7R,UGG,288.91 
[82173] SET_BUY_AMOUNT,cehNQrvm7R,AVX,738.61 
[82262] SET_BUY_TRIGGER,cehNQrvm7R,NVX,395.40 
[82408] SET_BUY_AMOUNT,cehNQrvm7R,ZYR,4.96 
[82432] SET_BUY_TRIGGER,cehNQrvm7R,ZOT,2.32 
[82458] SET_BUY_TRIGGER,cehNQrvm7R,OIV,146.74 
[82621] QUOTE,cehNQrvm7R,CSZ 
[82804] BUY,cehNQrvm7R,APU,725.26 
[82879] COMMIT_BUY,cehNQrvm7R 
[82894] BUY,cehNQrvm7R,DLQ,387.20 
[82915] CANCEL_BUY,cehNQrvm7R 
[82946] ADD,cehNQrvm7R,102927.66 
[83330] DISPLAY_SUMMARY,cehNQrvm7R 
[83427] DISPLAY_SUMMARY,cehNQrvm7R 
[83481] BUY,cehNQrvm7R,PJW,605.77 
[83681] COMMIT_BUY,cehNQrvm7R 
[83888] QUOTE,cehNQrvm7R,MWM 
[84092] SET_BUY_AMOUNT,cehNQrvm7R,AJR,598.26 
[84148] SET_BUY_TRIGGER,cehNQrvm7R,NLT,492.02 
[84168] SET_BUY_TRIGGER,cehNQrvm7R,OIY,5.77 
[84264] SET_SELL_AMOUNT,cehNQrvm7R,MXD,337.22 
[84309] SET_SELL_TRIGGER,cehNQrvm7R,MXD,62.09 
[84384] SET_SELL_TRIGGER,cehNQrvm7R,ZAN,41.84 
[84408] SET_BUY_AMOUNT,cehNQrvm7R,VTY,398.90 
[84601] SET_BUY_TRIGGER,cehNQrvm7R,TKG,209.14 
[84677] SELL,cehNQrvm7R,OEY,636.67 
[85063] COMMIT_SELL,cehNQrvm7R 
[85163] SET_BUY_TRIGGER,cehNQrvm7R,QXE,182.46 
[85179] ADD,cehNQrvm7R,68895.03 
[85385] QUOTE,cehNQrvm7R,YZC 
[85491] QUOTE,cehNQrvm7R,IQZ 
[85662] QUOTE,cehNQrvm7R,KCA 
[85764] SET_BUY_TRIGGER,cehNQrvm7R,VJV,192.82 
[85865] SET_SELL_TRIGGER,cehNQrvm7R,URA,5.14 
[86019] SET_SELL_TRIGGER,cehNQrvm7R,JDW,61.86 
[86166] ADD,cehNQrvm7R,78019.26 
[86168] CANCEL_BUY,cehNQrvm7R 
[86280] ADD,cehNQrvm7R,94392.81 
[86299] BUY,cehNQrvm7R,AJL,708.02 
[86308] COMMIT_SELL,cehNQrvm7R 
[86331] BUY,cehNQrvm7R,PHZ,517.54 
[86446] COMMIT_BUY,cehNQrvm7R 
[86556] SET_BUY_AMOUNT,cehNQrvm7R,TVI,630.90 
[86589] SET_BUY_TRIGGER,cehNQrvm7R,VEN,242.37 
[86694] DISPLAY_SUMMARY,cehNQrvm7R 
[86721] SET_BUY_AMOUNT,cehNQrvm7R,HTD,731.64 
[87046] SET_BUY_TRIGGER,cehNQrvm7R,RJG,495.73 
[87164] ADD,cehNQrvm7R,45468.20 
[87225] BUY,cehNQrvm7R,YPL,210.98 
[87249] CANCEL_SELL,cehNQrvm7R 
[87279] BUY,cehNQrvm7R,XNZ,357.87 
[87386] CANCEL_BUY,cehNQrvm7R 
[87396] DISPLAY_SUMMARY,cehNQrvm7R 
[87681] QUOTE,cehNQrvm7R,ZYR 
[87688] SET_SELL_AMOUNT,cehNQrvm7R,OPN,522.38 
[87715] SET_SELL_TRIGGER,cehNQrvm7R,OPN,368.39 
[87853] DISPLAY_SUMMARY,cehNQrvm7R 
[87911] SELL,cehNQrvm7R,VTY,608.90 
[87933] SELL,cehNQrvm7R,DFE,695.31 
[87998] COMMIT_SELL,cehNQrvm7R 
[88088] SELL,cehNQrvm7R,JZJ,590.27 
[88127] CANCEL_SET_SELL,cehNQrvm7R,TKG 
[88297] SET_SELL_TRIGGER,cehNQrvm7R,QXW,93.15 
[88337] ADD,cehNQrvm7R,80325.81 
[88367] BUY,cehNQrvm7R,ZFK,476.92 
[88429] COMMIT_BUY,cehNQrvm7R 
[88495] DISPLAY_SUMMARY,cehNQrvm7R 
[88619] QUOTE,cehNQrvm7R,SOA 
[88657] COMMIT_BUY,cehNQrvm7R 
[88727] BUY,cehNQrvm7R,UZZ,260.03 
[88864] CANCEL_SET_SELL,cehNQrvm7R,NJI 
[89028] SET_SELL_AMOUNT,cehNQrvm7R,BCQ,46.22 
[89259] SET_SELL_TRIGGER,cehNQrvm7R,BCQ,33.05 
[89371] DISPLAY_SUMMARY,cehNQrvm7R 
[89533] BUY,cehNQrvm7R,LLE,23.67 
[89552] COMMIT_BUY,cehNQrvm7R 
[89639] BUY,cehNQrvm7R,KBI,200.34 
[89749] COMMIT_BUY,cehNQrvm7R 
[89817] BUY,cehNQrvm7R,FZB,618.80 
[89876] DISPLAY_SUMMARY,cehNQrvm7R 
[89973] SET_SELL_AMOUNT,cehNQrvm7R,UBJ,20.69 
[90026] SET_SELL_TRIGGER,cehNQrvm7R,UBJ,9.60 
[90096] ADD,cehNQrvm7R,59288.80 
[90139] QUOTE,cehNQrvm7R,STQ 
[90359] QUOTE,cehNQrvm7R,WAI 
[90457] BUY,cehNQrvm7R,BHJ,592.37 
[90522] COMMIT_BUY,cehNQrvm7R 
[90624] ADD,cehNQrvm7R,70223.85 
[90751] CANCEL_SET_BUY,cehNQrvm7R,XUY 
[90774] DISPLAY_SUMMARY,cehNQrvm7R 
[90776] QUOTE,cehNQrvm7R,CXB 
[90783] CANCEL_SET_BUY,cehNQrvm7R,LCP 
[90805] COMMIT_BUY,cehNQrvm7R 
[90869] DISPLAY_SUMMARY,cehNQrvm7R 
[91126] SET_BUY_TRIGGER,cehNQrvm7R,YLZ,106.96 
[91177] BUY,cehNQrvm7R,MQH,182.09 
[91283] SET_SELL_TRIGGER,cehNQrvm7R,RQS,106.09 
[91344] DISPLAY_SUMMARY,cehNQrvm7R 
[91504] SET_BUY_AMOUNT,cehNQrvm7R,CSZ,430.64 
[91545] QUOTE,cehNQrvm7R,LSG 
[91754] BUY,cehNQrvm7R,FRB,214.36 
[91848] COMMIT_BUY,cehNQrvm7R 
[92116] SET_BUY_AMOUNT,cehNQrvm7R,TVI,714.45 
[92148] BUY,cehNQrvm7R,SAR,261.44 
[92351] COMMIT_BUY,cehNQrvm7R 
[92507] BUY,cehNQrvm7R,PLB,380.08 
[92554] CANCEL_SET_SELL,cehNQrvm7R,QOQ 
[92667] ADD,cehNQrvm7R,58890.07 
[92669] QUOTE,cehNQrvm7R,ZMK 
[92744] QUOTE,cehNQrvm7R,POI 
[92769] SELL,cehNQrvm7R,LFU,602.22 
[92875] COMMIT_SELL,cehNQrvm7R 
[92999] QUOTE,cehNQrvm7R,IKK 
[93113] SET_BUY_TRIGGER,cehNQrvm7R,KAS,451.74 
[93199] QUOTE,cehNQrvm7R,KCS 
[93220] BUY,cehNQrvm7R,XTH,78.41 
[93359] COMMIT_BUY,cehNQrvm7R 
[93438] BUY,cehNQrvm7R,EED,330.89 
[93541] SET_SELL_AMOUNT,cehNQrvm7R,QAX,91.28 
[93577] SET_SELL_TRIGGER,cehNQrvm7R,QAX,24.41 
[93643] ADD,cehNQrvm7R,89359.20 
[93910] BUY,cehNQrvm7R,MIQ,446.50 
[93975] CANCEL_SET_BUY,cehNQrvm7R,SSF 
[94165] DISPLAY_SUMMARY,cehNQrvm7R 
[94180] SET_SELL_TRIGGER,cehNQrvm7R,TOL,45.89 
[94220] QUOTE,cehNQrvm7R,SJZ 
[94320] BUY,cehNQrvm7R,ZMK,460.93 
[94444] SET_SELL_AMOUNT,cehNQrvm7R,MFX,188.83 
[94545] SET_SELL_TRIGGER,cehNQrvm7R,MFX,186.92 
[94549] SET_SELL_AMOUNT,cehNQrvm7R,BYA,407.21 
[94553] SET_SELL_TRIGGER,cehNQrvm7R,BYA,69.15 
[94570] DISPLAY_SUMMARY,cehNQrvm7R 
[94603] SELL,cehNQrvm7R,VDP,450.29 
[94612] CANCEL_SELL,cehNQrvm7R 
[94647] SELL,cehNQrvm7R,JVT,258.40 
[94701] QUOTE,cehNQrvm7R,WQC 
[94803] BUY,cehNQrvm7R,KGA,102.95 
[94811] CANCEL_BUY,cehNQrvm7R 
[94854] QUOTE,cehNQrvm7R,BDX 
[94855] BUY,cehNQrvm7R,GGY,63.68 
[94992] CANCEL_SET_SELL,cehNQrvm7R,SDL 
[95791] SET_BUY_TRIGGER,cehNQrvm7R,MVQ,23.76 
[95975] SET_BUY_TRIGGER,cehNQrvm7R,OIY,55.32 
[95981] BUY,cehNQrvm7R,BFL,696.79 
[96019] COMMIT_BUY,cehNQrvm7R 
[96095] ADD,cehNQrvm7R,67928.70 
[96251] QUOTE,cehNQrvm7R,LPW 
[96265] SELL,cehNQrvm7R,HTD,379.55 
[96643] COMMIT_SELL,cehNQrvm7R 
