[113] ADD,NcGvD9d4mj,88082.66 
[44202] DISPLAY_SUMMARY,NcGvD9d4mj 
[44228] ADD,NcGvD9d4mj,63920.38 
[44444] BUY,NcGvD9d4mj,YNH,552.66 
[44643] COMMIT_BUY,NcGvD9d4mj 
[44648] DISPLAY_SUMMARY,NcGvD9d4mj 
[45048] DISPLAY_SUMMARY,NcGvD9d4mj 
[45110] SET_BUY_AMOUNT,NcGvD9d4mj,QJZ,725.79 
[45333] CANCEL_SET_BUY,NcGvD9d4mj,XPX 
[45463] COMMIT_SELL,NcGvD9d4mj 
[45543] BUY,NcGvD9d4mj,FZU,371.45 
[45622] CANCEL_SELL,NcGvD9d4mj 
[45786] SET_BUY_TRIGGER,NcGvD9d4mj,SOA,146.95 
[45901] ADD,NcGvD9d4mj,91447.26 
[45911] BUY,NcGvD9d4mj,GED,57.61 
[45935] COMMIT_BUY,NcGvD9d4mj 
[45971] CANCEL_BUY,NcGvD9d4mj 
[46014] ADD,NcGvD9d4mj,98398.53 
[46029] BUY,NcGvD9d4mj,MER,291.99 
[46037] BUY,NcGvD9d4mj,BMW,646.47 
[46131] COMMIT_BUY,NcGvD9d4mj 
[46212] BUY,NcGvD9d4mj,GGY,632.21 
[46262] COMMIT_BUY,NcGvD9d4mj 
[46310] BUY,NcGvD9d4mj,SEI,506.99 
[46348] CANCEL_SELL,NcGvD9d4mj 
[46475] SET_SELL_TRIGGER,NcGvD9d4mj,STO,34.01 
[46560] SELL,NcGvD9d4mj,QAX,271.85 
[46673] COMMIT_SELL,NcGvD9d4mj 
[46880] ADD,NcGvD9d4mj,51946.00 
[46882] SET_BUY_TRIGGER,NcGvD9d4mj,IOM,125.53 
[47008] ADD,NcGvD9d4mj,74555.21 
[47072] QUOTE,NcGvD9d4mj,OBR 
[47111] CANCEL_SET_BUY,NcGvD9d4mj,QNK 
[47123] DISPLAY_SUMMARY,NcGvD9d4mj 
[47168] SET_BUY_TRIGGER,NcGvD9d4mj,CBY,143.73 
[47217] ADD,NcGvD9d4mj,51271.02 
[47239] QUOTE,NcGvD9d4mj,HMR 
[47244] SELL,NcGvD9d4mj,RNK,701.54 
[47394] CANCEL_SELL,NcGvD9d4mj 
[47419] DISPLAY_SUMMARY,NcGvD9d4mj 
[47530] QUOTE,NcGvD9d4mj,FVS 
[47541] SET_SELL_AMOUNT,NcGvD9d4mj,FQP,549.94 
[47551] SET_SELL_TRIGGER,NcGvD9d4mj,FQP,60.38 
[47909] ADD,NcGvD9d4mj,104476.78 
[47999] QUOTE,NcGvD9d4mj,MSV 
[48022] BUY,NcGvD9d4mj,BBD,392.35 
[48069] BUY,NcGvD9d4mj,QHF,333.09 
[48537] COMMIT_BUY,NcGvD9d4mj 
[48844] SET_SELL_TRIGGER,NcGvD9d4mj,SXB,190.20 
[48872] BUY,NcGvD9d4mj,CLP,565.66 
[48875] SELL,NcGvD9d4mj,SUS,410.59 
[48920] QUOTE,NcGvD9d4mj,TSS 
[49000] BUY,NcGvD9d4mj,PYB,496.18 
[49071] COMMIT_BUY,NcGvD9d4mj 
[49165] ADD,NcGvD9d4mj,65274.35 
[49192] CANCEL_SET_SELL,NcGvD9d4mj,POI 
[49397] ADD,NcGvD9d4mj,100029.48 
[49429] SET_SELL_TRIGGER,NcGvD9d4mj,YIU,91.95 
[49570] SET_BUY_AMOUNT,NcGvD9d4mj,RNK,45.67 
[49693] SET_BUY_TRIGGER,NcGvD9d4mj,YEW,22.58 
[49705] SELL,NcGvD9d4mj,QGE,567.28 
[49723] CANCEL_BUY,NcGvD9d4mj 
[49733] ADD,NcGvD9d4mj,51671.73 
[49798] SET_BUY_AMOUNT,NcGvD9d4mj,BCQ,135.86 
[49841] QUOTE,NcGvD9d4mj,IFU 
[49860] BUY,NcGvD9d4mj,KVK,627.48 
[49999] COMMIT_BUY,NcGvD9d4mj 
[50139] SELL,NcGvD9d4mj,LFU,578.64 
[50167] COMMIT_SELL,NcGvD9d4mj 
[50337] DISPLAY_SUMMARY,NcGvD9d4mj 
[50442] SELL,NcGvD9d4mj,FDI,455.49 
[50741] COMMIT_SELL,NcGvD9d4mj 
[50871] SELL,NcGvD9d4mj,ZYR,328.35 
[50906] CANCEL_SELL,NcGvD9d4mj 
[51094] DISPLAY_SUMMARY,NcGvD9d4mj 
[51127] BUY,NcGvD9d4mj,GCL,12.63 
[51136] QUOTE,NcGvD9d4mj,NFO 
[51264] SET_SELL_AMOUNT,NcGvD9d4mj,CUZ,688.71 
[51329] SET_SELL_TRIGGER,NcGvD9d4mj,CUZ,566.58 
[51455] QUOTE,NcGvD9d4mj,MLT 
[51465] QUOTE,NcGvD9d4mj,ZCQ 
[51579] COMMIT_BUY,NcGvD9d4mj 
[51641] DISPLAY_SUMMARY,NcGvD9d4mj 
[51684] DISPLAY_SUMMARY,NcGvD9d4mj 
[51718] SET_BUY_TRIGGER,NcGvD9d4mj,AIN,9.93 
[51736] SET_SELL_AMOUNT,NcGvD9d4mj,AVX,433.07 
[51927] SET_SELL_TRIGGER,NcGvD9d4mj,AVX,361.79 
[51973] DISPLAY_SUMMARY,NcGvD9d4mj 
[52004] DISPLAY_SUMMARY,NcGvD9d4mj 
[52105] BUY,NcGvD9d4mj,XFW,682.70 
[52233] COMMIT_SELL,NcGvD9d4mj 
[52273] SELL,NcGvD9d4mj,BYA,313.41 
[52561] COMMIT_SELL,NcGvD9d4mj 
[52573] SET_SELL_AMOUNT,NcGvD9d4mj,KES,75.99 
[52768] SET_SELL_TRIGGER,NcGvD9d4mj,KES,1.70 
[53259] ADD,NcGvD9d4mj,55174.98 
[53290] BUY,NcGvD9d4mj,FIC,482.99 
[53431] ADD,NcGvD9d4mj,62806.18 
[53643] QUOTE,NcGvD9d4mj,JDW 
[53751] SET_BUY_TRIGGER,NcGvD9d4mj,ALV,50.09 
[54219] BUY,NcGvD9d4mj,GQV,238.79 
[54385] SELL,NcGvD9d4mj,JQO,273.93 
[54739] COMMIT_SELL,NcGvD9d4mj 
[54798] DISPLAY_SUMMARY,NcGvD9d4mj 
[54948] SET_BUY_TRIGGER,NcGvD9d4mj,QGL,90.95 
[55017] BUY,NcGvD9d4mj,EEG,142.95 
[55079] QUOTE,NcGvD9d4mj,DFE 
[55138] QUOTE,NcGvD9d4mj,DWK 
[55226] SET_BUY_AMOUNT,NcGvD9d4mj,QAX,720.43 
[55406] SET_BUY_TRIGGER,NcGvD9d4mj,FQP,21.34 
[55417] SET_SELL_TRIGGER,NcGvD9d4mj,JRJ,70.19 
[55718] COMMIT_BUY,NcGvD9d4mj 
[55860] DISPLAY_SUMMARY,NcGvD9d4mj 
[55888] QUOTE,NcGvD9d4mj,HPN 
[56393] COMMIT_BUY,NcGvD9d4mj 
[56394] SET_SELL_AMOUNT,NcGvD9d4mj,SSF,38.67 
[56465] SET_SELL_TRIGGER,NcGvD9d4mj,SSF,2.39 
[56518] SET_BUY_TRIGGER,NcGvD9d4mj,CLH,134.82 
[56543] ADD,NcGvD9d4mj,56879.89 
[56546] BUY,NcGvD9d4mj,OFP,226.00 
[56639] CANCEL_SELL,NcGvD9d4mj 
[56668] CANCEL_BUY,NcGvD9d4mj 
[56922] SET_BUY_TRIGGER,NcGvD9d4mj,KVJ,55.74 
[56927] BUY,NcGvD9d4mj,WDJ,175.44 
[56947] SET_SELL_AMOUNT,NcGvD9d4mj,XXQ,154.64 
[56986] SELL,NcGvD9d4mj,CUZ,164.69 
[57020] ADD,NcGvD9d4mj,64231.46 
[57022] QUOTE,NcGvD9d4mj,HHG 
[57032] DISPLAY_SUMMARY,NcGvD9d4mj 
[57073] SELL,NcGvD9d4mj,RNK,234.05 
[57125] DISPLAY_SUMMARY,NcGvD9d4mj 
[57161] DISPLAY_SUMMARY,NcGvD9d4mj 
[57167] ADD,NcGvD9d4mj,53419.13 
[57248] CANCEL_SET_SELL,NcGvD9d4mj,XXQ 
[57252] SELL,NcGvD9d4mj,OPN,249.36 
[57259] COMMIT_SELL,NcGvD9d4mj 
[57269] SELL,NcGvD9d4mj,MFX,229.97 
[57293] BUY,NcGvD9d4mj,PIE,635.37 
[57526] DISPLAY_SUMMARY,NcGvD9d4mj 
[57541] SELL,NcGvD9d4mj,UBJ,331.60 
[57573] SET_BUY_AMOUNT,NcGvD9d4mj,SUS,246.88 
[57600] DISPLAY_SUMMARY,NcGvD9d4mj 
[57734] DISPLAY_SUMMARY,NcGvD9d4mj 
[57738] SET_SELL_TRIGGER,NcGvD9d4mj,HVE,152.74 
[57822] QUOTE,NcGvD9d4mj,HYX 
[57848] CANCEL_SET_BUY,NcGvD9d4mj,AHO 
[57849] ADD,NcGvD9d4mj,86386.85 
[57876] SET_BUY_AMOUNT,NcGvD9d4mj,FDI,534.64 
[57890] SET_BUY_TRIGGER,NcGvD9d4mj,KMV,348.77 
[57942] QUOTE,NcGvD9d4mj,BPP 
[57944] QUOTE,NcGvD9d4mj,WTD 
[57989] BUY,NcGvD9d4mj,JYV,715.81 
[58007] BUY,NcGvD9d4mj,FOW,434.23 
[58010] COMMIT_BUY,NcGvD9d4mj 
[58373] ADD,NcGvD9d4mj,76583.61 
[58380] BUY,NcGvD9d4mj,PST,347.83 
[58675] SET_BUY_TRIGGER,NcGvD9d4mj,WGV,118.10 
[58739] DISPLAY_SUMMARY,NcGvD9d4mj 
[58773] DISPLAY_SUMMARY,NcGvD9d4mj 
[58794] ADD,NcGvD9d4mj,84728.03 
[58889] COMMIT_BUY,NcGvD9d4mj 
[59192] ADD,NcGvD9d4mj,63981.88 
[59289] QUOTE,NcGvD9d4mj,ZJB 
[59568] QUOTE,NcGvD9d4mj,ZQC 
[59619] ADD,NcGvD9d4mj,60160.97 
[59701] QUOTE,NcGvD9d4mj,RNE 
[59748] SET_BUY_AMOUNT,NcGvD9d4mj,MFX,298.52 
[59752] SET_BUY_TRIGGER,NcGvD9d4mj,KAF,274.04 
[60088] SET_SELL_TRIGGER,NcGvD9d4mj,LVT,95.02 
[60143] ADD,NcGvD9d4mj,83415.49 
[60148] QUOTE,NcGvD9d4mj,AVH 
[60173] QUOTE,NcGvD9d4mj,WNX 
[60212] BUY,NcGvD9d4mj,MIR,269.47 
[60233] COMMIT_BUY,NcGvD9d4mj 
[60258] BUY,NcGvD9d4mj,UDN,121.07 
[60297] SET_BUY_AMOUNT,NcGvD9d4mj,CUZ,112.46 
[60340] CANCEL_SET_BUY,NcGvD9d4mj,HYX 
[60365] DISPLAY_SUMMARY,NcGvD9d4mj 
[60428] SET_BUY_AMOUNT,NcGvD9d4mj,OPN,128.12 
[60511] SET_BUY_TRIGGER,NcGvD9d4mj,IZU,58.70 
[60514] CANCEL_SET_SELL,NcGvD9d4mj,JTX 
[60942] SET_BUY_AMOUNT,NcGvD9d4mj,QJZ,185.63 
[61260] SET_BUY_TRIGGER,NcGvD9d4mj,GCW,124.82 
[61353] SET_SELL_AMOUNT,NcGvD9d4mj,KDA,299.04 
[61413] SET_SELL_TRIGGER,NcGvD9d4mj,KDA,285.43 
[61465] SET_SELL_AMOUNT,NcGvD9d4mj,ZAN,635.36 
[61534] SET_SELL_TRIGGER,NcGvD9d4mj,ZAN,508.14 
[61680] SET_BUY_AMOUNT,NcGvD9d4mj,PTP,719.68 
[61688] QUOTE,NcGvD9d4mj,UDM 
[61695] DISPLAY_SUMMARY,NcGvD9d4mj 
[61793] SET_SELL_TRIGGER,NcGvD9d4mj,FXT,118.82 
[61827] SELL,NcGvD9d4mj,OEY,580.65 
[61863] COMMIT_SELL,NcGvD9d4mj 
[61873] SELL,NcGvD9d4mj,ZTI,405.54 
[62239] BUY,NcGvD9d4mj,ZNL,115.61 
[62271] COMMIT_BUY,NcGvD9d4mj 
[62282] SELL,NcGvD9d4mj,RNK,98.60 
[62426] SELL,NcGvD9d4mj,DFE,510.16 
[62585] COMMIT_SELL,NcGvD9d4mj 
[62790] SET_SELL_AMOUNT,NcGvD9d4mj,LFU,467.24 
[62934] SELL,NcGvD9d4mj,KDA,649.64 
[62975] CANCEL_SET_BUY,NcGvD9d4mj,MHR 
[63034] QUOTE,NcGvD9d4mj,KTU 
[63132] SET_BUY_AMOUNT,NcGvD9d4mj,MFX,148.51 
[63152] QUOTE,NcGvD9d4mj,NLT 
[63624] ADD,NcGvD9d4mj,82373.94 
[63816] BUY,NcGvD9d4mj,QTH,750.00 
[63890] CANCEL_BUY,NcGvD9d4mj 
[64376] CANCEL_SELL,NcGvD9d4mj 
[64455] ADD,NcGvD9d4mj,56334.08 
[64508] QUOTE,NcGvD9d4mj,ZLY 
[64645] QUOTE,NcGvD9d4mj,WCY 
[64743] DISPLAY_SUMMARY,NcGvD9d4mj 
[64750] ADD,NcGvD9d4mj,72338.30 
[65366] BUY,NcGvD9d4mj,CMD,620.13 
[65422] CANCEL_BUY,NcGvD9d4mj 
[65492] ADD,NcGvD9d4mj,55500.90 
[65642] BUY,NcGvD9d4mj,UDN,402.25 
[65684] COMMIT_BUY,NcGvD9d4mj 
[65693] DISPLAY_SUMMARY,NcGvD9d4mj 
[65804] SELL,NcGvD9d4mj,MFX,369.09 
[65840] COMMIT_SELL,NcGvD9d4mj 
[65855] SELL,NcGvD9d4mj,MFX,746.56 
[66045] COMMIT_SELL,NcGvD9d4mj 
[66056] ADD,NcGvD9d4mj,79582.28 
[66126] BUY,NcGvD9d4mj,LHC,617.89 
[66259] COMMIT_BUY,NcGvD9d4mj 
[66334] DISPLAY_SUMMARY,NcGvD9d4mj 
[66430] DISPLAY_SUMMARY,NcGvD9d4mj 
[66473] SET_SELL_AMOUNT,NcGvD9d4mj,QJZ,67.82 
[66493] SET_SELL_TRIGGER,NcGvD9d4mj,QJZ,29.80 
[66565] SET_BUY_TRIGGER,NcGvD9d4mj,GXT,32.85 
[66625] ADD,NcGvD9d4mj,91756.89 
[66684] QUOTE,NcGvD9d4mj,GWF 
[66703] QUOTE,NcGvD9d4mj,PSJ 
[66983] CANCEL_BUY,NcGvD9d4mj 
[67011] CANCEL_SET_SELL,NcGvD9d4mj,DFE 
[67206] DISPLAY_SUMMARY,NcGvD9d4mj 
[67404] SELL,NcGvD9d4mj,GRM,240.79 
[67643] COMMIT_SELL,NcGvD9d4mj 
[67796] ADD,NcGvD9d4mj,81901.04 
[67799] QUOTE,NcGvD9d4mj,ECX 
[67873] COMMIT_SELL,NcGvD9d4mj 
[67925] SELL,NcGvD9d4mj,KBN,361.77 
[68090] SET_BUY_AMOUNT,NcGvD9d4mj,VTY,211.43 
[68123] SET_BUY_TRIGGER,NcGvD9d4mj,WDJ,17.97 
[68177] BUY,NcGvD9d4mj,XME,150.91 
[68180] SET_SELL_TRIGGER,NcGvD9d4mj,XII,1.42 
[68371] SET_SELL_AMOUNT,NcGvD9d4mj,XQC,652.76 
[68397] SET_SELL_TRIGGER,NcGvD9d4mj,XQC,552.92 
[68442] SELL,NcGvD9d4mj,PTP,348.01 
[68509] COMMIT_SELL,NcGvD9d4mj 
[68547] ADD,NcGvD9d4mj,103066.48 
[68563] DISPLAY_SUMMARY,NcGvD9d4mj 
[68970] QUOTE,NcGvD9d4mj,OBR 
[69071] DISPLAY_SUMMARY,NcGvD9d4mj 
[69216] DISPLAY_SUMMARY,NcGvD9d4mj 
[69243] ADD,NcGvD9d4mj,85912.45 
[69443] QUOTE,NcGvD9d4mj,ZNY 
[70144] SET_BUY_AMOUNT,NcGvD9d4mj,JCQ,390.61 
[70177] SET_BUY_TRIGGER,NcGvD9d4mj,MVD,23.35 
[70197] SET_SELL_TRIGGER,NcGvD9d4mj,LKK,141.87 
[70231] BUY,NcGvD9d4mj,QQW,127.86 
[70261] COMMIT_BUY,NcGvD9d4mj 
[70407] ADD,NcGvD9d4mj,101108.90 
[70431] QUOTE,NcGvD9d4mj,UFX 
[70656] QUOTE,NcGvD9d4mj,HDR 
[70786] QUOTE,NcGvD9d4mj,OYW 
[70889] DISPLAY_SUMMARY,NcGvD9d4mj 
[71009] SELL,NcGvD9d4mj,CBO,336.74 
[71189] COMMIT_SELL,NcGvD9d4mj 
[71521] SET_BUY_AMOUNT,NcGvD9d4mj,PTP,237.05 
[71699] SET_BUY_TRIGGER,NcGvD9d4mj,IZS,231.86 
[71734] DISPLAY_SUMMARY,NcGvD9d4mj 
[71858] DISPLAY_SUMMARY,NcGvD9d4mj 
[72171] SET_SELL_AMOUNT,NcGvD9d4mj,FDI,339.77 
[72292] SET_SELL_TRIGGER,NcGvD9d4mj,FDI,141.22 
[72538] DISPLAY_SUMMARY,NcGvD9d4mj 
[72551] BUY,NcGvD9d4mj,RDK,420.93 
[72723] CANCEL_SET_BUY,NcGvD9d4mj,FQR 
[72756] SET_SELL_AMOUNT,NcGvD9d4mj,KDA,504.83 
[72821] SET_SELL_TRIGGER,NcGvD9d4mj,KDA,153.39 
[72994] ADD,NcGvD9d4mj,77932.82 
[72999] QUOTE,NcGvD9d4mj,QAX 
[73008] QUOTE,NcGvD9d4mj,UTD 
[73058] BUY,NcGvD9d4mj,WKT,696.69 
[73163] COMMIT_BUY,NcGvD9d4mj 
[73444] BUY,NcGvD9d4mj,HZP,442.70 
[73505] CANCEL_SELL,NcGvD9d4mj 
[73531] SET_BUY_TRIGGER,NcGvD9d4mj,OXV,195.80 
[73543] ADD,NcGvD9d4mj,58287.26 
[73653] QUOTE,NcGvD9d4mj,LPB 
[73723] BUY,NcGvD9d4mj,DPG,407.42 
[73742] COMMIT_BUY,NcGvD9d4mj 
[73867] SELL,NcGvD9d4mj,RUN,321.95 
[73913] CANCEL_SELL,NcGvD9d4mj 
[74040] SELL,NcGvD9d4mj,BYA,492.51 
[74147] COMMIT_SELL,NcGvD9d4mj 
[74154] SET_SELL_TRIGGER,NcGvD9d4mj,ZOW,168.71 
[74214] SELL,NcGvD9d4mj,CSZ,384.26 
[74245] CANCEL_SET_BUY,NcGvD9d4mj,IFN 
[74283] ADD,NcGvD9d4mj,56626.39 
[74296] QUOTE,NcGvD9d4mj,ZHB 
[74351] BUY,NcGvD9d4mj,EDV,475.78 
[74396] ADD,NcGvD9d4mj,65249.55 
[74562] BUY,NcGvD9d4mj,LHC,367.31 
[74769] COMMIT_BUY,NcGvD9d4mj 
[74811] SET_BUY_TRIGGER,NcGvD9d4mj,UJC,175.10 
[75204] ADD,NcGvD9d4mj,58080.10 
[75240] QUOTE,NcGvD9d4mj,ZMA 
[75305] CANCEL_SET_SELL,NcGvD9d4mj,UEC 
[75340] SELL,NcGvD9d4mj,CSZ,345.02 
[75374] COMMIT_SELL,NcGvD9d4mj 
[75473] QUOTE,NcGvD9d4mj,KHD 
[76151] BUY,NcGvD9d4mj,FPP,704.95 
[76348] QUOTE,NcGvD9d4mj,QVA 
[76412] BUY,NcGvD9d4mj,YPW,462.02 
[76420] COMMIT_BUY,NcGvD9d4mj 
[76582] ADD,NcGvD9d4mj,77144.18 
[76624] CANCEL_SET_BUY,NcGvD9d4mj,XRK 
[76628] BUY,NcGvD9d4mj,IDN,360.75 
[76688] COMMIT_BUY,NcGvD9d4mj 
[76705] DISPLAY_SUMMARY,NcGvD9d4mj 
[76773] DISPLAY_SUMMARY,NcGvD9d4mj 
[76776] ADD,NcGvD9d4mj,53820.00 
[76820] QUOTE,NcGvD9d4mj,ULL 
[76840] BUY,NcGvD9d4mj,IBT,558.73 
[76911] CANCEL_SET_SELL,NcGvD9d4mj,KCS 
[76940] DISPLAY_SUMMARY,NcGvD9d4mj 
[77012] SET_BUY_AMOUNT,NcGvD9d4mj,FQP,596.05 
[77073] CANCEL_SET_BUY,NcGvD9d4mj,PXS 
[77185] BUY,NcGvD9d4mj,KNM,239.14 
[77275] CANCEL_BUY,NcGvD9d4mj 
[77299] ADD,NcGvD9d4mj,77818.39 
[77339] BUY,NcGvD9d4mj,HTN,583.49 
[77378] COMMIT_BUY,NcGvD9d4mj 
[77414] SET_SELL_AMOUNT,NcGvD9d4mj,ZYR,255.54 
[77576] SET_SELL_TRIGGER,NcGvD9d4mj,ZYR,1.13 
[77920] SELL,NcGvD9d4mj,IQJ,188.26 
[77951] SELL,NcGvD9d4mj,JQO,127.17 
[77984] COMMIT_SELL,NcGvD9d4mj 
[78112] SELL,NcGvD9d4mj,MFX,98.29 
[78191] CANCEL_BUY,NcGvD9d4mj 
[78213] ADD,NcGvD9d4mj,55535.75 
[78313] SET_SELL_TRIGGER,NcGvD9d4mj,BWL,40.86 
[78415] ADD,NcGvD9d4mj,80828.85 
[78514] BUY,NcGvD9d4mj,KZC,25.57 
[78724] COMMIT_BUY,NcGvD9d4mj 
[78772] SET_SELL_AMOUNT,NcGvD9d4mj,GRM,383.39 
[78918] CANCEL_SET_SELL,NcGvD9d4mj,GRM 
[79045] ADD,NcGvD9d4mj,95557.23 
[79299] CANCEL_SELL,NcGvD9d4mj 
[79343] SET_SELL_TRIGGER,NcGvD9d4mj,VAT,28.42 
[79485] ADD,NcGvD9d4mj,70365.70 
[79627] BUY,NcGvD9d4mj,MPP,398.29 
[79657] CANCEL_BUY,NcGvD9d4mj 
[79806] BUY,NcGvD9d4mj,XNZ,422.04 
[80122] COMMIT_BUY,NcGvD9d4mj 
[80162] ADD,NcGvD9d4mj,85141.07 
[80164] BUY,NcGvD9d4mj,OZT,710.32 
[80186] COMMIT_BUY,NcGvD9d4mj 
[80206] DISPLAY_SUMMARY,NcGvD9d4mj 
[80283] BUY,NcGvD9d4mj,MFX,154.85 
[80360] COMMIT_BUY,NcGvD9d4mj 
[80637] SELL,NcGvD9d4mj,UBJ,599.10 
[80816] COMMIT_SELL,NcGvD9d4mj 
[80832] SET_BUY_TRIGGER,NcGvD9d4mj,PYB,5.52 
[80955] ADD,NcGvD9d4mj,89627.71 
[81025] QUOTE,NcGvD9d4mj,TCP 
[81033] BUY,NcGvD9d4mj,HTD,467.44 
[81050] BUY,NcGvD9d4mj,KKI,498.29 
[81053] COMMIT_BUY,NcGvD9d4mj 
[81067] SELL,NcGvD9d4mj,JZJ,57.92 
[81277] CANCEL_SET_BUY,NcGvD9d4mj,UJC 
[81281] QUOTE,NcGvD9d4mj,PJJ 
[81296] QUOTE,NcGvD9d4mj,MXN 
[81332] BUY,NcGvD9d4mj,EHF,254.39 
[81362] SET_BUY_TRIGGER,NcGvD9d4mj,NVX,30.11 
[81374] DISPLAY_SUMMARY,NcGvD9d4mj 
[81425] ADD,NcGvD9d4mj,46674.01 
[81446] QUOTE,NcGvD9d4mj,SNU 
[81473] QUOTE,NcGvD9d4mj,DWF 
[81516] BUY,NcGvD9d4mj,DVU,116.24 
[81536] BUY,NcGvD9d4mj,FYA,565.22 
[81645] SELL,NcGvD9d4mj,ZYR,213.28 
[81664] COMMIT_SELL,NcGvD9d4mj 
[81715] DISPLAY_SUMMARY,NcGvD9d4mj 
[81949] SET_SELL_TRIGGER,NcGvD9d4mj,FGI,34.00 
[82068] SET_SELL_AMOUNT,NcGvD9d4mj,KBN,597.23 
[82078] CANCEL_SET_SELL,NcGvD9d4mj,KBN 
[82236] ADD,NcGvD9d4mj,73437.24 
[82528] SET_SELL_AMOUNT,NcGvD9d4mj,SUS,211.27 
[82617] SET_SELL_TRIGGER,NcGvD9d4mj,SUS,58.69 
[82619] ADD,NcGvD9d4mj,99846.71 
[82743] BUY,NcGvD9d4mj,SOA,439.46 
[82785] ADD,NcGvD9d4mj,48901.62 
[83028] BUY,NcGvD9d4mj,KAR,201.10 
[83034] COMMIT_BUY,NcGvD9d4mj 
[83232] SELL,NcGvD9d4mj,QPR,339.84 
[83379] COMMIT_SELL,NcGvD9d4mj 
[83403] ADD,NcGvD9d4mj,67277.62 
[83416] COMMIT_SELL,NcGvD9d4mj 
[83455] SELL,NcGvD9d4mj,LFU,360.92 
[83533] COMMIT_SELL,NcGvD9d4mj 
[83914] BUY,NcGvD9d4mj,YRO,285.39 
[83940] COMMIT_BUY,NcGvD9d4mj 
[83992] DISPLAY_SUMMARY,NcGvD9d4mj 
[84097] SET_BUY_TRIGGER,NcGvD9d4mj,MMF,27.62 
[84179] ADD,NcGvD9d4mj,74755.07 
[84226] QUOTE,NcGvD9d4mj,EDM 
[84232] ADD,NcGvD9d4mj,99148.79 
[84366] QUOTE,NcGvD9d4mj,GPL 
[84378] QUOTE,NcGvD9d4mj,RUN 
[84464] BUY,NcGvD9d4mj,LPB,588.31 
[84468] COMMIT_BUY,NcGvD9d4mj 
[84478] ADD,NcGvD9d4mj,56158.38 
[84515] SET_BUY_AMOUNT,NcGvD9d4mj,QGE,16.91 
[84548] DISPLAY_SUMMARY,NcGvD9d4mj 
[84713] SELL,NcGvD9d4mj,GRM,528.64 
[84851] COMMIT_SELL,NcGvD9d4mj 
[84919] SET_BUY_TRIGGER,NcGvD9d4mj,NBX,2.24 
[84941] COMMIT_BUY,NcGvD9d4mj 
[84960] ADD,NcGvD9d4mj,80621.69 
[85032] QUOTE,NcGvD9d4mj,CLH 
[85205] BUY,NcGvD9d4mj,SQS,342.02 
[85300] QUOTE,NcGvD9d4mj,HFI 
[85346] BUY,NcGvD9d4mj,WNH,443.72 
[85637] CANCEL_SET_SELL,NcGvD9d4mj,DWX 
[85779] ADD,NcGvD9d4mj,97823.64 
[85913] QUOTE,NcGvD9d4mj,CLP 
[85936] SET_BUY_TRIGGER,NcGvD9d4mj,ZZN,199.67 
[86118] COMMIT_SELL,NcGvD9d4mj 
[86258] ADD,NcGvD9d4mj,40511.49 
[86386] QUOTE,NcGvD9d4mj,UZZ 
[86469] CANCEL_SET_BUY,NcGvD9d4mj,WYR 
[86479] ADD,NcGvD9d4mj,76581.32 
[86618] BUY,NcGvD9d4mj,XOL,211.00 
[86641] COMMIT_BUY,NcGvD9d4mj 
[86650] ADD,NcGvD9d4mj,78541.99 
[86832] QUOTE,NcGvD9d4mj,CZQ 
[87055] SET_BUY_AMOUNT,NcGvD9d4mj,QVK,31.05 
[87074] SET_BUY_TRIGGER,NcGvD9d4mj,BHP,10.13 
[87203] SELL,NcGvD9d4mj,HFS,675.72 
[87258] CANCEL_BUY,NcGvD9d4mj 
[87273] SET_SELL_AMOUNT,NcGvD9d4mj,VTY,416.40 
[87375] SET_SELL_TRIGGER,NcGvD9d4mj,VTY,148.98 
[87483] DISPLAY_SUMMARY,NcGvD9d4mj 
[87529] DISPLAY_SUMMARY,NcGvD9d4mj 
[87659] SELL,NcGvD9d4mj,ZAN,339.57 
[87857] QUOTE,NcGvD9d4mj,ZAO 
[87965] SET_BUY_AMOUNT,NcGvD9d4mj,SQI,309.82 
[88042] QUOTE,NcGvD9d4mj,OAV 
[88043] SET_BUY_AMOUNT,NcGvD9d4mj,JVT,425.70 
[88067] SET_BUY_TRIGGER,NcGvD9d4mj,YBP,243.52 
[88074] SELL,NcGvD9d4mj,SSF,255.72 
[88287] ADD,NcGvD9d4mj,61286.40 
[88362] BUY,NcGvD9d4mj,LJY,100.30 
[88549] COMMIT_BUY,NcGvD9d4mj 
[89176] QUOTE,NcGvD9d4mj,LMB 
[89221] QUOTE,NcGvD9d4mj,GPL 
[89251] BUY,NcGvD9d4mj,MGO,69.58 
[89252] COMMIT_BUY,NcGvD9d4mj 
[89311] DISPLAY_SUMMARY,NcGvD9d4mj 
[89357] DISPLAY_SUMMARY,NcGvD9d4mj 
[89437] DISPLAY_SUMMARY,NcGvD9d4mj 
[89458] SET_SELL_AMOUNT,NcGvD9d4mj,QGE,525.01 
[89580] SET_SELL_TRIGGER,NcGvD9d4mj,QGE,96.10 
[89582] CANCEL_SET_BUY,NcGvD9d4mj,TVX 
[89599] SET_BUY_AMOUNT,NcGvD9d4mj,SZI,562.38 
[89632] CANCEL_SET_BUY,NcGvD9d4mj,KKI 
[89710] DISPLAY_SUMMARY,NcGvD9d4mj 
[89750] ADD,NcGvD9d4mj,90210.28 
[89889] BUY,NcGvD9d4mj,XOM,681.27 
