[70] ADD,HBbyhPrKJi,83795.16 
[43420] QUOTE,HBbyhPrKJi,XFH 
[43594] QUOTE,HBbyhPrKJi,VEX 
[43820] QUOTE,HBbyhPrKJi,HEK 
[43846] BUY,HBbyhPrKJi,SJG,203.40 
[43938] COMMIT_BUY,HBbyhPrKJi 
[43940] CANCEL_SET_SELL,HBbyhPrKJi,WGV 
[44051] COMMIT_BUY,HBbyhPrKJi 
[44075] ADD,HBbyhPrKJi,56727.74 
[44119] DISPLAY_SUMMARY,HBbyhPrKJi 
[44122] QUOTE,HBbyhPrKJi,NGH 
[44244] ADD,HBbyhPrKJi,100380.48 
[44464] QUOTE,HBbyhPrKJi,PYB 
[44607] SET_BUY_TRIGGER,HBbyhPrKJi,EUM,132.96 
[45125] BUY,HBbyhPrKJi,KVK,8.34 
[45130] COMMIT_BUY,HBbyhPrKJi 
[45327] DISPLAY_SUMMARY,HBbyhPrKJi 
[45348] DISPLAY_SUMMARY,HBbyhPrKJi 
[45358] SELL,HBbyhPrKJi,ZTI,190.76 
[45416] COMMIT_SELL,HBbyhPrKJi 
[45529] SET_BUY_TRIGGER,HBbyhPrKJi,SKC,189.95 
[45582] ADD,HBbyhPrKJi,41845.03 
[45607] BUY,HBbyhPrKJi,ZNY,56.80 
[45646] COMMIT_BUY,HBbyhPrKJi 
[45734] BUY,HBbyhPrKJi,MOM,136.53 
[45984] CANCEL_SET_BUY,HBbyhPrKJi,SKC 
[46100] SET_SELL_TRIGGER,HBbyhPrKJi,TJL,169.17 
[46125] DISPLAY_SUMMARY,HBbyhPrKJi 
[46154] CANCEL_SET_SELL,HBbyhPrKJi,ZNY 
[46168] ADD,HBbyhPrKJi,91999.51 
[46222] QUOTE,HBbyhPrKJi,OIV 
[46251] QUOTE,HBbyhPrKJi,FXT 
[46279] BUY,HBbyhPrKJi,FNY,442.89 
[46389] COMMIT_BUY,HBbyhPrKJi 
[46398] QUOTE,HBbyhPrKJi,OAV 
[46585] BUY,HBbyhPrKJi,LPR,629.02 
[46690] COMMIT_BUY,HBbyhPrKJi 
[46819] SELL,HBbyhPrKJi,ZAN,93.75 
[46843] COMMIT_SELL,HBbyhPrKJi 
[46898] BUY,HBbyhPrKJi,EUM,214.29 
[46909] CANCEL_SET_SELL,HBbyhPrKJi,IAV 
[46987] QUOTE,HBbyhPrKJi,FUF 
[47068] BUY,HBbyhPrKJi,OBR,45.88 
[47247] COMMIT_BUY,HBbyhPrKJi 
[47502] QUOTE,HBbyhPrKJi,STQ 
[47575] SET_BUY_TRIGGER,HBbyhPrKJi,SKY,39.47 
[47580] ADD,HBbyhPrKJi,81944.89 
[48002] BUY,HBbyhPrKJi,NJI,699.92 
[48056] COMMIT_BUY,HBbyhPrKJi 
[48151] QUOTE,HBbyhPrKJi,CXW 
[48163] QUOTE,HBbyhPrKJi,YNY 
[48168] QUOTE,HBbyhPrKJi,DRO 
[48198] BUY,HBbyhPrKJi,LSM,485.18 
[48204] QUOTE,HBbyhPrKJi,MOM 
[48264] BUY,HBbyhPrKJi,GFN,463.87 
[48292] CANCEL_BUY,HBbyhPrKJi 
[48300] ADD,HBbyhPrKJi,67317.09 
[48401] COMMIT_BUY,HBbyhPrKJi 
[48676] QUOTE,HBbyhPrKJi,SPP 
[48779] BUY,HBbyhPrKJi,PRJ,467.29 
[49155] COMMIT_BUY,HBbyhPrKJi 
[49183] SET_BUY_TRIGGER,HBbyhPrKJi,FSD,43.62 
[49278] DISPLAY_SUMMARY,HBbyhPrKJi 
[49302] ADD,HBbyhPrKJi,56709.98 
[49325] BUY,HBbyhPrKJi,HIW,747.54 
[49431] COMMIT_BUY,HBbyhPrKJi 
[49556] SELL,HBbyhPrKJi,BCQ,388.36 
[49757] CANCEL_SET_BUY,HBbyhPrKJi,SYE 
[50163] SELL,HBbyhPrKJi,YJK,404.92 
[50168] CANCEL_SELL,HBbyhPrKJi 
[50234] CANCEL_SET_SELL,HBbyhPrKJi,KMZ 
[50245] SET_SELL_TRIGGER,HBbyhPrKJi,NDO,153.18 
[50559] DISPLAY_SUMMARY,HBbyhPrKJi 
[50596] ADD,HBbyhPrKJi,86846.84 
[50620] BUY,HBbyhPrKJi,AUX,732.46 
[50660] COMMIT_BUY,HBbyhPrKJi 
[50794] SELL,HBbyhPrKJi,ZAN,231.92 
[50853] DISPLAY_SUMMARY,HBbyhPrKJi 
[51118] DISPLAY_SUMMARY,HBbyhPrKJi 
[51223] SET_BUY_AMOUNT,HBbyhPrKJi,XXQ,737.51 
[51287] SELL,HBbyhPrKJi,ZTI,439.65 
[51313] COMMIT_SELL,HBbyhPrKJi 
[51409] ADD,HBbyhPrKJi,72489.12 
[51601] CANCEL_BUY,HBbyhPrKJi 
[51712] DISPLAY_SUMMARY,HBbyhPrKJi 
[51856] QUOTE,HBbyhPrKJi,ZUV 
[52024] SET_SELL_AMOUNT,HBbyhPrKJi,EBS,146.35 
[52038] SET_SELL_TRIGGER,HBbyhPrKJi,EBS,132.36 
[52066] SET_BUY_TRIGGER,HBbyhPrKJi,BTP,17.83 
[52406] DISPLAY_SUMMARY,HBbyhPrKJi 
[52489] SET_BUY_TRIGGER,HBbyhPrKJi,ZNZ,14.08 
[52549] DISPLAY_SUMMARY,HBbyhPrKJi 
[52592] SET_BUY_AMOUNT,HBbyhPrKJi,CUZ,156.68 
[52602] SET_BUY_TRIGGER,HBbyhPrKJi,CUQ,138.18 
[52614] ADD,HBbyhPrKJi,73825.64 
[53007] SELL,HBbyhPrKJi,UBJ,657.80 
[53081] QUOTE,HBbyhPrKJi,IAV 
[53090] CANCEL_SET_SELL,HBbyhPrKJi,JRY 
[53113] ADD,HBbyhPrKJi,68630.58 
[53352] QUOTE,HBbyhPrKJi,YZH 
[53354] SET_SELL_AMOUNT,HBbyhPrKJi,UBJ,117.09 
[53413] SET_SELL_TRIGGER,HBbyhPrKJi,UBJ,34.26 
[53497] SET_BUY_TRIGGER,HBbyhPrKJi,ZQC,16.63 
[53555] ADD,HBbyhPrKJi,78454.71 
[53672] BUY,HBbyhPrKJi,HCN,670.39 
[53824] COMMIT_BUY,HBbyhPrKJi 
[54044] QUOTE,HBbyhPrKJi,WGP 
[54201] QUOTE,HBbyhPrKJi,LVV 
[54315] CANCEL_SET_SELL,HBbyhPrKJi,ILT 
[54317] DISPLAY_SUMMARY,HBbyhPrKJi 
[54343] SET_BUY_TRIGGER,HBbyhPrKJi,BPE,106.59 
[54456] COMMIT_BUY,HBbyhPrKJi 
[54536] SET_BUY_AMOUNT,HBbyhPrKJi,FQP,671.75 
[54651] SELL,HBbyhPrKJi,DFE,717.90 
[54781] BUY,HBbyhPrKJi,PTC,686.97 
[54805] COMMIT_BUY,HBbyhPrKJi 
[54964] CANCEL_SELL,HBbyhPrKJi 
[55090] ADD,HBbyhPrKJi,84131.82 
[55177] BUY,HBbyhPrKJi,AMI,130.04 
[55287] CANCEL_SET_BUY,HBbyhPrKJi,EYY 
[55308] QUOTE,HBbyhPrKJi,YBP 
[55372] CANCEL_SET_SELL,HBbyhPrKJi,OEN 
[55420] DISPLAY_SUMMARY,HBbyhPrKJi 
[55698] QUOTE,HBbyhPrKJi,OXV 
[55981] QUOTE,HBbyhPrKJi,PDX 
[56134] QUOTE,HBbyhPrKJi,CWA 
[56213] BUY,HBbyhPrKJi,CTS,559.96 
[56223] COMMIT_BUY,HBbyhPrKJi 
[56437] ADD,HBbyhPrKJi,69787.98 
[56455] BUY,HBbyhPrKJi,MWJ,364.64 
[56517] CANCEL_BUY,HBbyhPrKJi 
[56562] SET_SELL_TRIGGER,HBbyhPrKJi,TSS,77.48 
[56893] DISPLAY_SUMMARY,HBbyhPrKJi 
[56984] SELL,HBbyhPrKJi,KDA,113.73 
[57023] COMMIT_SELL,HBbyhPrKJi 
[57099] SET_BUY_TRIGGER,HBbyhPrKJi,PYM,119.22 
[57160] DISPLAY_SUMMARY,HBbyhPrKJi 
[57301] ADD,HBbyhPrKJi,51101.31 
[57548] QUOTE,HBbyhPrKJi,KEO 
[57611] SET_BUY_TRIGGER,HBbyhPrKJi,XLV,115.35 
[57644] SET_BUY_AMOUNT,HBbyhPrKJi,RUN,155.49 
[57683] SET_BUY_TRIGGER,HBbyhPrKJi,GED,47.01 
[57684] SET_BUY_TRIGGER,HBbyhPrKJi,GTB,36.35 
[58083] ADD,HBbyhPrKJi,51910.33 
[58216] SET_SELL_AMOUNT,HBbyhPrKJi,XLK,229.86 
[58402] SET_SELL_TRIGGER,HBbyhPrKJi,XLK,33.32 
[58801] SET_BUY_AMOUNT,HBbyhPrKJi,RNK,314.21 
[58916] SET_BUY_TRIGGER,HBbyhPrKJi,KJH,182.64 
[59106] DISPLAY_SUMMARY,HBbyhPrKJi 
[59251] SET_SELL_AMOUNT,HBbyhPrKJi,UTV,688.06 
[59431] SET_SELL_TRIGGER,HBbyhPrKJi,UTV,676.02 
[59504] BUY,HBbyhPrKJi,KVJ,73.36 
[59585] SET_SELL_AMOUNT,HBbyhPrKJi,KDA,706.15 
[59598] SET_SELL_TRIGGER,HBbyhPrKJi,KDA,310.43 
[59745] ADD,HBbyhPrKJi,66604.15 
[59760] BUY,HBbyhPrKJi,MVQ,474.65 
[59863] COMMIT_BUY,HBbyhPrKJi 
[59986] BUY,HBbyhPrKJi,LLE,292.16 
[60062] CANCEL_SET_BUY,HBbyhPrKJi,MWV 
[60078] DISPLAY_SUMMARY,HBbyhPrKJi 
[60201] DISPLAY_SUMMARY,HBbyhPrKJi 
[60211] BUY,HBbyhPrKJi,PXF,609.85 
[60335] COMMIT_BUY,HBbyhPrKJi 
[60352] COMMIT_SELL,HBbyhPrKJi 
[60356] SET_BUY_TRIGGER,HBbyhPrKJi,KBN,54.21 
[60509] SET_BUY_TRIGGER,HBbyhPrKJi,BDX,176.90 
[60528] DISPLAY_SUMMARY,HBbyhPrKJi 
[60683] QUOTE,HBbyhPrKJi,SYM 
[60703] QUOTE,HBbyhPrKJi,NVX 
[60724] ADD,HBbyhPrKJi,77563.64 
[60770] BUY,HBbyhPrKJi,AJR,292.80 
[60791] CANCEL_SET_SELL,HBbyhPrKJi,NGZ 
[60950] ADD,HBbyhPrKJi,65565.13 
[61039] QUOTE,HBbyhPrKJi,HIW 
[61187] SELL,HBbyhPrKJi,RNK,689.73 
[61382] CANCEL_SET_BUY,HBbyhPrKJi,XER 
[61641] BUY,HBbyhPrKJi,ZTR,456.81 
[61693] COMMIT_BUY,HBbyhPrKJi 
[61763] ADD,HBbyhPrKJi,73284.13 
[61872] BUY,HBbyhPrKJi,MXD,365.20 
[61904] CANCEL_SET_BUY,HBbyhPrKJi,CTT 
[61922] SELL,HBbyhPrKJi,XLK,21.40 
[62092] COMMIT_SELL,HBbyhPrKJi 
[62102] SELL,HBbyhPrKJi,RNK,290.91 
[62179] COMMIT_SELL,HBbyhPrKJi 
[62205] QUOTE,HBbyhPrKJi,QPE 
[62404] CANCEL_SET_SELL,HBbyhPrKJi,CBX 
[62430] BUY,HBbyhPrKJi,XNZ,583.31 
[62708] COMMIT_SELL,HBbyhPrKJi 
[62739] QUOTE,HBbyhPrKJi,SQO 
[62799] BUY,HBbyhPrKJi,UGG,133.64 
[62848] COMMIT_BUY,HBbyhPrKJi 
[63042] ADD,HBbyhPrKJi,67302.59 
[63285] DISPLAY_SUMMARY,HBbyhPrKJi 
[63289] SET_SELL_AMOUNT,HBbyhPrKJi,QAX,257.13 
[63383] SET_SELL_TRIGGER,HBbyhPrKJi,QAX,115.48 
[63407] DISPLAY_SUMMARY,HBbyhPrKJi 
[63542] QUOTE,HBbyhPrKJi,MJU 
[63676] CANCEL_BUY,HBbyhPrKJi 
[63683] BUY,HBbyhPrKJi,IKK,225.93 
[63709] CANCEL_SET_SELL,HBbyhPrKJi,MWB 
[63739] SET_SELL_AMOUNT,HBbyhPrKJi,OPN,37.58 
[63787] SET_SELL_TRIGGER,HBbyhPrKJi,OPN,10.71 
[63823] QUOTE,HBbyhPrKJi,CBX 
[63858] DISPLAY_SUMMARY,HBbyhPrKJi 
[64005] ADD,HBbyhPrKJi,55474.72 
[64007] BUY,HBbyhPrKJi,MMY,391.87 
[64064] DISPLAY_SUMMARY,HBbyhPrKJi 
[64165] QUOTE,HBbyhPrKJi,IKK 
[64207] ADD,HBbyhPrKJi,88470.69 
[64218] BUY,HBbyhPrKJi,RKY,120.77 
[64367] CANCEL_BUY,HBbyhPrKJi 
[64369] BUY,HBbyhPrKJi,VQA,352.04 
[64423] CANCEL_BUY,HBbyhPrKJi 
[64449] DISPLAY_SUMMARY,HBbyhPrKJi 
[64468] SET_BUY_TRIGGER,HBbyhPrKJi,RRE,81.25 
[64584] SELL,HBbyhPrKJi,ZAN,604.88 
[64615] COMMIT_SELL,HBbyhPrKJi 
[64752] QUOTE,HBbyhPrKJi,QZN 
[64826] ADD,HBbyhPrKJi,87476.85 
[64829] QUOTE,HBbyhPrKJi,LPS 
[64933] QUOTE,HBbyhPrKJi,WLT 
[65037] QUOTE,HBbyhPrKJi,JMX 
[65128] QUOTE,HBbyhPrKJi,ERF 
[65447] CANCEL_SELL,HBbyhPrKJi 
[65600] CANCEL_SET_BUY,HBbyhPrKJi,IFC 
[65737] SET_BUY_AMOUNT,HBbyhPrKJi,KDA,412.28 
[65921] QUOTE,HBbyhPrKJi,FPV 
[65933] BUY,HBbyhPrKJi,KBP,596.68 
[66071] COMMIT_BUY,HBbyhPrKJi 
[66371] SELL,HBbyhPrKJi,GRM,511.86 
[66388] COMMIT_SELL,HBbyhPrKJi 
[66593] CANCEL_BUY,HBbyhPrKJi 
[66605] SELL,HBbyhPrKJi,RGH,222.56 
[66919] COMMIT_SELL,HBbyhPrKJi 
[67008] CANCEL_SET_SELL,HBbyhPrKJi,IJO 
[67091] ADD,HBbyhPrKJi,54314.06 
[67302] QUOTE,HBbyhPrKJi,KNM 
[67392] QUOTE,HBbyhPrKJi,STQ 
[67505] QUOTE,HBbyhPrKJi,KIP 
[67659] ADD,HBbyhPrKJi,78683.75 
[67762] QUOTE,HBbyhPrKJi,SYL 
[67787] QUOTE,HBbyhPrKJi,YPW 
[67845] QUOTE,HBbyhPrKJi,DXQ 
[67941] ADD,HBbyhPrKJi,86354.37 
[68356] QUOTE,HBbyhPrKJi,XBL 
[68414] QUOTE,HBbyhPrKJi,ZER 
[68457] CANCEL_SET_BUY,HBbyhPrKJi,WLT 
[68475] CANCEL_BUY,HBbyhPrKJi 
[68549] QUOTE,HBbyhPrKJi,TGY 
[68570] BUY,HBbyhPrKJi,XRK,160.36 
[68588] BUY,HBbyhPrKJi,TJL,54.76 
[68637] COMMIT_BUY,HBbyhPrKJi 
[68711] ADD,HBbyhPrKJi,46033.23 
[68817] QUOTE,HBbyhPrKJi,RWY 
[68822] BUY,HBbyhPrKJi,QNK,226.32 
[68870] SET_SELL_AMOUNT,HBbyhPrKJi,KDA,120.06 
[68878] SET_SELL_TRIGGER,HBbyhPrKJi,KDA,96.46 
[68945] BUY,HBbyhPrKJi,MVQ,238.11 
[69120] COMMIT_BUY,HBbyhPrKJi 
[69151] QUOTE,HBbyhPrKJi,XLV 
[69211] BUY,HBbyhPrKJi,CTI,646.19 
[69229] COMMIT_BUY,HBbyhPrKJi 
[69327] SELL,HBbyhPrKJi,ZYR,249.90 
[69378] CANCEL_SET_SELL,HBbyhPrKJi,ULL 
[69465] ADD,HBbyhPrKJi,59040.33 
[69483] CANCEL_BUY,HBbyhPrKJi 
[69493] ADD,HBbyhPrKJi,70889.06 
[69505] BUY,HBbyhPrKJi,QAX,667.66 
[69770] SET_BUY_TRIGGER,HBbyhPrKJi,PIC,83.60 
[69782] CANCEL_SELL,HBbyhPrKJi 
[69892] SET_BUY_AMOUNT,HBbyhPrKJi,XXQ,13.83 
[69976] SET_BUY_TRIGGER,HBbyhPrKJi,JYV,0.83 
[70328] SET_SELL_TRIGGER,HBbyhPrKJi,ZFK,12.07 
[70408] DISPLAY_SUMMARY,HBbyhPrKJi 
[70412] SET_BUY_AMOUNT,HBbyhPrKJi,AVX,22.92 
[70773] BUY,HBbyhPrKJi,NRY,52.89 
[70874] COMMIT_BUY,HBbyhPrKJi 
[70914] SELL,HBbyhPrKJi,CBO,280.40 
[70966] BUY,HBbyhPrKJi,GRM,363.95 
[70998] SET_SELL_TRIGGER,HBbyhPrKJi,BZH,186.58 
[71211] DISPLAY_SUMMARY,HBbyhPrKJi 
[71348] SET_BUY_AMOUNT,HBbyhPrKJi,SSF,387.21 
[71386] SET_BUY_TRIGGER,HBbyhPrKJi,OTD,292.36 
[71420] QUOTE,HBbyhPrKJi,NFV 
[71424] SELL,HBbyhPrKJi,NHG,40.08 
[71578] CANCEL_SELL,HBbyhPrKJi 
[71593] CANCEL_SET_SELL,HBbyhPrKJi,ZHB 
[71635] ADD,HBbyhPrKJi,61343.38 
[71751] CANCEL_SET_SELL,HBbyhPrKJi,AHE 
[71783] COMMIT_SELL,HBbyhPrKJi 
[71799] SET_BUY_AMOUNT,HBbyhPrKJi,UTV,607.54 
[71955] CANCEL_SET_BUY,HBbyhPrKJi,WCR 
[72083] ADD,HBbyhPrKJi,70721.04 
[72094] CANCEL_SET_SELL,HBbyhPrKJi,ZMS 
[72404] QUOTE,HBbyhPrKJi,WTD 
[72480] QUOTE,HBbyhPrKJi,ZOT 
[72649] QUOTE,HBbyhPrKJi,CMA 
[72664] ADD,HBbyhPrKJi,84578.47 
[72798] CANCEL_SET_SELL,HBbyhPrKJi,PXF 
[72826] DISPLAY_SUMMARY,HBbyhPrKJi 
[72849] CANCEL_SET_BUY,HBbyhPrKJi,JCL 
[72912] BUY,HBbyhPrKJi,AUT,437.53 
[73061] COMMIT_BUY,HBbyhPrKJi 
[73161] SELL,HBbyhPrKJi,ZAN,720.71 
[73283] DISPLAY_SUMMARY,HBbyhPrKJi 
[73289] DISPLAY_SUMMARY,HBbyhPrKJi 
[73320] COMMIT_BUY,HBbyhPrKJi 
[73390] SET_BUY_TRIGGER,HBbyhPrKJi,FZB,11.50 
[73442] BUY,HBbyhPrKJi,BHQ,550.35 
[73479] COMMIT_BUY,HBbyhPrKJi 
[73614] SET_SELL_TRIGGER,HBbyhPrKJi,MLU,160.97 
[73784] DISPLAY_SUMMARY,HBbyhPrKJi 
[73841] DISPLAY_SUMMARY,HBbyhPrKJi 
[74077] BUY,HBbyhPrKJi,JKX,697.52 
[74151] CANCEL_BUY,HBbyhPrKJi 
[74170] SET_BUY_TRIGGER,HBbyhPrKJi,YZC,76.60 
[74224] SET_SELL_AMOUNT,HBbyhPrKJi,QJZ,557.50 
[74244] CANCEL_SET_SELL,HBbyhPrKJi,QJZ 
[74319] ADD,HBbyhPrKJi,62318.76 
[74475] QUOTE,HBbyhPrKJi,OXV 
[74500] CANCEL_SET_SELL,HBbyhPrKJi,RNE 
[74511] BUY,HBbyhPrKJi,OAV,481.71 
[74656] COMMIT_BUY,HBbyhPrKJi 
[74705] SET_SELL_TRIGGER,HBbyhPrKJi,ASJ,76.62 
[74763] ADD,HBbyhPrKJi,65016.13 
[74872] QUOTE,HBbyhPrKJi,RLS 
[74924] ADD,HBbyhPrKJi,71075.95 
[74972] SET_BUY_TRIGGER,HBbyhPrKJi,YWK,17.93 
[74987] DISPLAY_SUMMARY,HBbyhPrKJi 
[75121] ADD,HBbyhPrKJi,71981.78 
[75192] BUY,HBbyhPrKJi,HRJ,591.22 
[75302] COMMIT_BUY,HBbyhPrKJi 
[75409] SELL,HBbyhPrKJi,CBO,370.83 
[75441] COMMIT_SELL,HBbyhPrKJi 
[75454] BUY,HBbyhPrKJi,WQC,458.99 
[75523] COMMIT_SELL,HBbyhPrKJi 
[75654] BUY,HBbyhPrKJi,NDD,29.42 
[75678] COMMIT_BUY,HBbyhPrKJi 
[75728] SET_SELL_TRIGGER,HBbyhPrKJi,HQU,67.91 
[75762] SELL,HBbyhPrKJi,NHG,523.89 
[75832] SET_BUY_TRIGGER,HBbyhPrKJi,MRH,124.88 
[75849] ADD,HBbyhPrKJi,84381.36 
[76328] QUOTE,HBbyhPrKJi,YOG 
[76339] QUOTE,HBbyhPrKJi,ZMK 
[76436] BUY,HBbyhPrKJi,NDD,2.74 
[76453] COMMIT_BUY,HBbyhPrKJi 
[76494] QUOTE,HBbyhPrKJi,IHW 
[76541] BUY,HBbyhPrKJi,RRZ,233.02 
[76553] COMMIT_BUY,HBbyhPrKJi 
[76569] SET_SELL_TRIGGER,HBbyhPrKJi,BYA,15.81 
[76767] SET_SELL_TRIGGER,HBbyhPrKJi,MWV,197.45 
[76894] BUY,HBbyhPrKJi,LMB,177.90 
[76896] COMMIT_BUY,HBbyhPrKJi 
[76913] ADD,HBbyhPrKJi,88321.48 
[76960] QUOTE,HBbyhPrKJi,GAL 
[77084] BUY,HBbyhPrKJi,PLA,666.91 
[77136] DISPLAY_SUMMARY,HBbyhPrKJi 
[77142] CANCEL_SELL,HBbyhPrKJi 
[77212] SET_BUY_TRIGGER,HBbyhPrKJi,DJD,24.44 
[77252] DISPLAY_SUMMARY,HBbyhPrKJi 
[77364] QUOTE,HBbyhPrKJi,ZFJ 
[77398] COMMIT_BUY,HBbyhPrKJi 
[77408] ADD,HBbyhPrKJi,54601.93 
[77570] QUOTE,HBbyhPrKJi,KJD 
[77776] BUY,HBbyhPrKJi,RUN,356.55 
[78023] COMMIT_BUY,HBbyhPrKJi 
[78205] DISPLAY_SUMMARY,HBbyhPrKJi 
[78365] SET_BUY_AMOUNT,HBbyhPrKJi,XQC,141.87 
[78496] SET_BUY_TRIGGER,HBbyhPrKJi,GRD,120.86 
[78560] DISPLAY_SUMMARY,HBbyhPrKJi 
[78640] SET_BUY_AMOUNT,HBbyhPrKJi,XXQ,686.24 
[78868] SET_BUY_TRIGGER,HBbyhPrKJi,SKY,103.11 
[79290] ADD,HBbyhPrKJi,56950.64 
[79329] QUOTE,HBbyhPrKJi,QID 
[79562] BUY,HBbyhPrKJi,BWL,9.02 
[79696] COMMIT_BUY,HBbyhPrKJi 
[79697] BUY,HBbyhPrKJi,RRT,162.33 
[79754] BUY,HBbyhPrKJi,TQE,201.62 
[79840] DISPLAY_SUMMARY,HBbyhPrKJi 
[79863] QUOTE,HBbyhPrKJi,RVU 
[79988] SET_BUY_AMOUNT,HBbyhPrKJi,KBN,550.82 
[80139] SET_BUY_TRIGGER,HBbyhPrKJi,RVU,158.96 
[80344] ADD,HBbyhPrKJi,74001.13 
[80428] SET_SELL_TRIGGER,HBbyhPrKJi,YGK,164.98 
[80436] COMMIT_SELL,HBbyhPrKJi 
[80483] DISPLAY_SUMMARY,HBbyhPrKJi 
[80486] SET_BUY_AMOUNT,HBbyhPrKJi,RNK,113.97 
[80507] SET_BUY_TRIGGER,HBbyhPrKJi,WFR,83.58 
[80775] SET_BUY_AMOUNT,HBbyhPrKJi,OPN,739.97 
[80862] SET_BUY_TRIGGER,HBbyhPrKJi,WDC,62.94 
[80869] QUOTE,HBbyhPrKJi,BYM 
[80932] COMMIT_SELL,HBbyhPrKJi 
[80972] SET_BUY_TRIGGER,HBbyhPrKJi,OWH,40.27 
[81114] DISPLAY_SUMMARY,HBbyhPrKJi 
[81310] SET_BUY_TRIGGER,HBbyhPrKJi,WOJ,5.61 
[81596] SET_SELL_TRIGGER,HBbyhPrKJi,STQ,114.02 
[81720] QUOTE,HBbyhPrKJi,JDW 
[81882] BUY,HBbyhPrKJi,TUO,179.80 
[82027] COMMIT_BUY,HBbyhPrKJi 
[82056] DISPLAY_SUMMARY,HBbyhPrKJi 
[82085] ADD,HBbyhPrKJi,57144.84 
[82134] QUOTE,HBbyhPrKJi,OEY 
[82167] QUOTE,HBbyhPrKJi,XAB 
[82197] QUOTE,HBbyhPrKJi,ZWC 
[82243] QUOTE,HBbyhPrKJi,LAM 
[82318] ADD,HBbyhPrKJi,73047.92 
[82350] BUY,HBbyhPrKJi,DNJ,436.86 
[82582] DISPLAY_SUMMARY,HBbyhPrKJi 
[82647] SET_SELL_TRIGGER,HBbyhPrKJi,SPT,64.39 
[82684] ADD,HBbyhPrKJi,75918.87 
[82694] BUY,HBbyhPrKJi,XOA,643.95 
[82822] COMMIT_BUY,HBbyhPrKJi 
[82890] SET_BUY_AMOUNT,HBbyhPrKJi,JQO,222.99 
[82956] QUOTE,HBbyhPrKJi,TWJ 
[82971] SET_SELL_TRIGGER,HBbyhPrKJi,RGM,146.61 
[83103] SET_SELL_TRIGGER,HBbyhPrKJi,ZAN,10.63 
[83448] DISPLAY_SUMMARY,HBbyhPrKJi 
[83576] COMMIT_BUY,HBbyhPrKJi 
[83609] DISPLAY_SUMMARY,HBbyhPrKJi 
[83645] DISPLAY_SUMMARY,HBbyhPrKJi 
[83687] QUOTE,HBbyhPrKJi,YWC 
[83708] ADD,HBbyhPrKJi,81928.22 
[83795] QUOTE,HBbyhPrKJi,MMY 
[83799] QUOTE,HBbyhPrKJi,ZHB 
[83902] DISPLAY_SUMMARY,HBbyhPrKJi 
[84176] ADD,HBbyhPrKJi,85526.60 
[84216] CANCEL_SELL,HBbyhPrKJi 
[84622] ADD,HBbyhPrKJi,80390.33 
[84799] CANCEL_SET_SELL,HBbyhPrKJi,GAV 
[84874] QUOTE,HBbyhPrKJi,MWM 
[84974] CANCEL_SET_BUY,HBbyhPrKJi,HIN 
[85049] SET_BUY_TRIGGER,HBbyhPrKJi,FFI,198.40 
[85190] ADD,HBbyhPrKJi,66631.55 
[85381] QUOTE,HBbyhPrKJi,PXS 
[85535] BUY,HBbyhPrKJi,QSS,15.98 
[85610] COMMIT_BUY,HBbyhPrKJi 
[85725] DISPLAY_SUMMARY,HBbyhPrKJi 
[86049] SET_BUY_AMOUNT,HBbyhPrKJi,OEY,210.36 
[86081] SELL,HBbyhPrKJi,BYA,162.37 
[86179] BUY,HBbyhPrKJi,NLT,193.68 
[86282] SET_BUY_AMOUNT,HBbyhPrKJi,IQJ,84.21 
[86325] SET_BUY_TRIGGER,HBbyhPrKJi,VDP,35.28 
[86399] SELL,HBbyhPrKJi,TVI,639.94 
[86514] QUOTE,HBbyhPrKJi,KAO 
[86562] BUY,HBbyhPrKJi,XAN,192.34 
[86611] COMMIT_BUY,HBbyhPrKJi 
[86646] QUOTE,HBbyhPrKJi,NJF 
[86652] BUY,HBbyhPrKJi,YJK,615.06 
[87034] COMMIT_BUY,HBbyhPrKJi 
[87091] ADD,HBbyhPrKJi,50085.88 
[87112] SET_BUY_TRIGGER,HBbyhPrKJi,TGY,88.33 
[87244] SELL,HBbyhPrKJi,MFX,562.53 
[87401] COMMIT_SELL,HBbyhPrKJi 
[87443] DISPLAY_SUMMARY,HBbyhPrKJi 
[87476] BUY,HBbyhPrKJi,KBI,499.38 
[87517] BUY,HBbyhPrKJi,SZI,325.13 
[87633] COMMIT_BUY,HBbyhPrKJi 
[87753] SET_BUY_TRIGGER,HBbyhPrKJi,WYD,120.93 
[87800] SELL,HBbyhPrKJi,BJL,257.93 
[87887] ADD,HBbyhPrKJi,69529.86 
[87936] QUOTE,HBbyhPrKJi,RXO 
[87955] BUY,HBbyhPrKJi,XZN,51.62 
[87980] COMMIT_BUY,HBbyhPrKJi 
[88026] DISPLAY_SUMMARY,HBbyhPrKJi 
[88036] DISPLAY_SUMMARY,HBbyhPrKJi 
[88066] SET_SELL_TRIGGER,HBbyhPrKJi,GJR,158.95 
[88115] ADD,HBbyhPrKJi,84889.07 
[88268] QUOTE,HBbyhPrKJi,IFN 
[88274] SET_BUY_TRIGGER,HBbyhPrKJi,KEV,109.37 
[88299] ADD,HBbyhPrKJi,98241.86 
[88603] QUOTE,HBbyhPrKJi,WDC 
[88645] COMMIT_SELL,HBbyhPrKJi 
[88698] DISPLAY_SUMMARY,HBbyhPrKJi 
[89039] DISPLAY_SUMMARY,HBbyhPrKJi 
