[62] ADD,p876fU7BEx,69684.38 
[47767] SET_SELL_TRIGGER,p876fU7BEx,QJC,160.44 
[47802] DISPLAY_SUMMARY,p876fU7BEx 
[47970] DISPLAY_SUMMARY,p876fU7BEx 
[47979] BUY,p876fU7BEx,DQW,479.05 
[48100] COMMIT_BUY,p876fU7BEx 
[48161] SET_BUY_TRIGGER,p876fU7BEx,NXF,173.02 
[48301] CANCEL_SELL,p876fU7BEx 
[48324] ADD,p876fU7BEx,62925.18 
[48498] BUY,p876fU7BEx,VIK,540.50 
[48541] COMMIT_BUY,p876fU7BEx 
[48543] SET_BUY_TRIGGER,p876fU7BEx,QGE,91.10 
[48586] SELL,p876fU7BEx,LFU,239.41 
[48628] SELL,p876fU7BEx,UTV,241.35 
[48746] SET_SELL_TRIGGER,p876fU7BEx,GLJ,135.42 
[48749] ADD,p876fU7BEx,73509.07 
[48858] BUY,p876fU7BEx,FIC,231.15 
[48927] COMMIT_BUY,p876fU7BEx 
[49484] DISPLAY_SUMMARY,p876fU7BEx 
[49533] CANCEL_SET_SELL,p876fU7BEx,XXQ 
[49567] CANCEL_SET_BUY,p876fU7BEx,YPL 
[49816] BUY,p876fU7BEx,KKI,86.25 
[49879] DISPLAY_SUMMARY,p876fU7BEx 
[50014] BUY,p876fU7BEx,FVA,210.85 
[50091] COMMIT_BUY,p876fU7BEx 
[50216] SET_BUY_AMOUNT,p876fU7BEx,BYA,597.95 
[50344] SET_BUY_TRIGGER,p876fU7BEx,XDN,477.86 
[50451] SELL,p876fU7BEx,CUZ,640.20 
[50506] SET_SELL_TRIGGER,p876fU7BEx,PPW,40.71 
[50621] SET_SELL_TRIGGER,p876fU7BEx,URD,5.63 
[50651] SELL,p876fU7BEx,AVX,283.27 
[50744] COMMIT_SELL,p876fU7BEx 
[50766] ADD,p876fU7BEx,43315.75 
[50767] SET_SELL_AMOUNT,p876fU7BEx,QGE,333.46 
[50993] SET_SELL_TRIGGER,p876fU7BEx,QGE,24.87 
[51048] DISPLAY_SUMMARY,p876fU7BEx 
[51156] BUY,p876fU7BEx,SAJ,472.99 
[51195] COMMIT_BUY,p876fU7BEx 
[51217] ADD,p876fU7BEx,59631.27 
[51383] QUOTE,p876fU7BEx,MIR 
[51433] BUY,p876fU7BEx,DNJ,15.93 
[51550] CANCEL_BUY,p876fU7BEx 
[51562] QUOTE,p876fU7BEx,VIK 
[51574] BUY,p876fU7BEx,PZE,236.22 
[51797] COMMIT_BUY,p876fU7BEx 
[51835] BUY,p876fU7BEx,CXW,373.16 
[51914] CANCEL_SET_BUY,p876fU7BEx,OGB 
[51915] ADD,p876fU7BEx,88109.53 
[52137] BUY,p876fU7BEx,QGN,617.39 
[52143] COMMIT_BUY,p876fU7BEx 
[52347] ADD,p876fU7BEx,66818.36 
[52482] QUOTE,p876fU7BEx,FDI 
[52583] QUOTE,p876fU7BEx,BWR 
[52650] BUY,p876fU7BEx,NGG,189.56 
[52704] CANCEL_SELL,p876fU7BEx 
[52741] BUY,p876fU7BEx,NGG,476.08 
[52774] CANCEL_BUY,p876fU7BEx 
[52847] ADD,p876fU7BEx,71111.39 
[53397] QUOTE,p876fU7BEx,URI 
[53423] CANCEL_SELL,p876fU7BEx 
[53518] COMMIT_BUY,p876fU7BEx 
[53701] SET_BUY_AMOUNT,p876fU7BEx,NHG,58.07 
[53718] SET_BUY_TRIGGER,p876fU7BEx,KYT,24.72 
[54100] SELL,p876fU7BEx,AVX,226.16 
[54110] ADD,p876fU7BEx,68265.82 
[54373] BUY,p876fU7BEx,PXF,359.21 
[54519] SELL,p876fU7BEx,DFE,11.36 
[54534] COMMIT_SELL,p876fU7BEx 
[54870] ADD,p876fU7BEx,97688.00 
[54935] BUY,p876fU7BEx,VEX,395.60 
[55378] COMMIT_BUY,p876fU7BEx 
[55528] SET_BUY_AMOUNT,p876fU7BEx,UIE,321.35 
[55596] SET_BUY_TRIGGER,p876fU7BEx,YZH,279.44 
[55779] QUOTE,p876fU7BEx,VJB 
[55793] BUY,p876fU7BEx,WNX,316.32 
[55910] CANCEL_SET_SELL,p876fU7BEx,BUL 
[55961] SET_BUY_TRIGGER,p876fU7BEx,BPP,186.26 
[56083] QUOTE,p876fU7BEx,UHO 
[56253] SET_SELL_AMOUNT,p876fU7BEx,JVT,611.99 
[56322] SET_SELL_TRIGGER,p876fU7BEx,JVT,586.32 
[56635] QUOTE,p876fU7BEx,PIC 
[56932] COMMIT_SELL,p876fU7BEx 
[56938] SET_SELL_AMOUNT,p876fU7BEx,IFN,75.26 
[57120] SET_SELL_TRIGGER,p876fU7BEx,IFN,2.65 
[57162] SET_SELL_TRIGGER,p876fU7BEx,BBC,45.03 
[57194] CANCEL_BUY,p876fU7BEx 
[57539] DISPLAY_SUMMARY,p876fU7BEx 
[57566] ADD,p876fU7BEx,88156.53 
[57761] CANCEL_BUY,p876fU7BEx 
[57860] QUOTE,p876fU7BEx,HMR 
[57991] BUY,p876fU7BEx,FRB,391.38 
[58178] CANCEL_BUY,p876fU7BEx 
[58332] BUY,p876fU7BEx,BRZ,73.73 
[58346] SET_BUY_TRIGGER,p876fU7BEx,NIR,115.13 
[58488] CANCEL_SET_SELL,p876fU7BEx,WKE 
[58607] SET_BUY_AMOUNT,p876fU7BEx,DFE,39.61 
[58745] SET_BUY_TRIGGER,p876fU7BEx,UTD,31.51 
[58877] ADD,p876fU7BEx,52090.05 
[58977] BUY,p876fU7BEx,ZMK,415.73 
[59019] COMMIT_BUY,p876fU7BEx 
[59402] SET_BUY_AMOUNT,p876fU7BEx,LFU,696.59 
[59426] SET_BUY_TRIGGER,p876fU7BEx,AJL,544.86 
[59471] SELL,p876fU7BEx,ZTI,135.96 
[59533] ADD,p876fU7BEx,78893.63 
[59643] CANCEL_SET_BUY,p876fU7BEx,ZGC 
[59667] SELL,p876fU7BEx,KDA,474.97 
[59769] COMMIT_SELL,p876fU7BEx 
[59841] ADD,p876fU7BEx,66823.87 
[59920] QUOTE,p876fU7BEx,XAN 
[59965] ADD,p876fU7BEx,59999.69 
[60081] BUY,p876fU7BEx,AED,743.81 
[60110] SELL,p876fU7BEx,XLK,449.06 
[60113] SET_SELL_TRIGGER,p876fU7BEx,XVK,150.80 
[60150] ADD,p876fU7BEx,97413.80 
[60311] CANCEL_SELL,p876fU7BEx 
[60334] SET_BUY_TRIGGER,p876fU7BEx,LLD,94.42 
[60375] SET_BUY_TRIGGER,p876fU7BEx,OFP,87.78 
[60620] ADD,p876fU7BEx,60827.18 
[60656] DISPLAY_SUMMARY,p876fU7BEx 
[60665] DISPLAY_SUMMARY,p876fU7BEx 
[60727] CANCEL_SET_BUY,p876fU7BEx,UIE 
[60822] DISPLAY_SUMMARY,p876fU7BEx 
[60849] QUOTE,p876fU7BEx,ZQW 
[60873] BUY,p876fU7BEx,KES,463.42 
[60972] CANCEL_SET_SELL,p876fU7BEx,QPE 
[61054] QUOTE,p876fU7BEx,YRO 
[61293] ADD,p876fU7BEx,50205.44 
[61327] COMMIT_BUY,p876fU7BEx 
[61516] SET_BUY_AMOUNT,p876fU7BEx,BYA,173.24 
[61594] SET_BUY_TRIGGER,p876fU7BEx,YIU,14.38 
[61643] QUOTE,p876fU7BEx,URI 
[61930] SET_SELL_AMOUNT,p876fU7BEx,CBO,703.95 
[61942] DISPLAY_SUMMARY,p876fU7BEx 
[61956] DISPLAY_SUMMARY,p876fU7BEx 
[62030] SET_SELL_TRIGGER,p876fU7BEx,CBO,47.86 
[62516] ADD,p876fU7BEx,63460.55 
[62931] SELL,p876fU7BEx,FQP,140.44 
[62936] COMMIT_SELL,p876fU7BEx 
[63116] SET_SELL_AMOUNT,p876fU7BEx,RNK,684.39 
[63191] SET_SELL_TRIGGER,p876fU7BEx,RNK,573.39 
[63273] SELL,p876fU7BEx,DFE,333.07 
[63515] COMMIT_SELL,p876fU7BEx 
[63530] QUOTE,p876fU7BEx,SDL 
[63579] SET_BUY_AMOUNT,p876fU7BEx,UIE,328.78 
[63585] SET_BUY_TRIGGER,p876fU7BEx,LKK,246.85 
[63707] ADD,p876fU7BEx,60947.62 
[63710] BUY,p876fU7BEx,STQ,550.73 
[63814] COMMIT_BUY,p876fU7BEx 
[64030] CANCEL_SET_BUY,p876fU7BEx,RVU 
[64290] BUY,p876fU7BEx,STQ,512.81 
[64407] COMMIT_BUY,p876fU7BEx 
[64610] SELL,p876fU7BEx,CBO,528.89 
[64644] CANCEL_SET_SELL,p876fU7BEx,XUH 
[64683] SET_BUY_TRIGGER,p876fU7BEx,OAS,189.61 
[64815] SELL,p876fU7BEx,CSZ,382.28 
[65211] COMMIT_BUY,p876fU7BEx 
[65248] SET_BUY_TRIGGER,p876fU7BEx,KEO,119.51 
[65268] SET_BUY_TRIGGER,p876fU7BEx,CVK,25.08 
[65304] ADD,p876fU7BEx,73214.93 
[65327] QUOTE,p876fU7BEx,FTJ 
[65375] BUY,p876fU7BEx,BWR,346.29 
[65457] COMMIT_BUY,p876fU7BEx 
[65479] SET_SELL_TRIGGER,p876fU7BEx,VVW,163.16 
[65745] DISPLAY_SUMMARY,p876fU7BEx 
[65938] SET_BUY_AMOUNT,p876fU7BEx,LZV,426.23 
[66009] CANCEL_SET_BUY,p876fU7BEx,XXP 
[66018] SET_BUY_TRIGGER,p876fU7BEx,TOZ,53.12 
[66020] ADD,p876fU7BEx,50293.08 
[66097] QUOTE,p876fU7BEx,ZRJ 
[66185] BUY,p876fU7BEx,QPZ,463.73 
[66332] SET_SELL_AMOUNT,p876fU7BEx,FQP,360.44 
[66398] SET_SELL_TRIGGER,p876fU7BEx,FQP,203.73 
[66491] SELL,p876fU7BEx,BYA,694.08 
[66658] CANCEL_SET_BUY,p876fU7BEx,HTD 
[66732] QUOTE,p876fU7BEx,MLI 
[66905] DISPLAY_SUMMARY,p876fU7BEx 
[67150] SET_BUY_AMOUNT,p876fU7BEx,MXD,433.50 
[67155] SET_BUY_TRIGGER,p876fU7BEx,TTY,411.53 
[67255] ADD,p876fU7BEx,86908.98 
[67321] BUY,p876fU7BEx,JEO,39.75 
[67384] COMMIT_BUY,p876fU7BEx 
[67480] SET_SELL_AMOUNT,p876fU7BEx,KDA,433.18 
[67528] SET_SELL_TRIGGER,p876fU7BEx,KDA,255.13 
[67535] QUOTE,p876fU7BEx,MIY 
[67724] CANCEL_SELL,p876fU7BEx 
[67739] BUY,p876fU7BEx,RQS,667.37 
[67859] COMMIT_BUY,p876fU7BEx 
[68149] ADD,p876fU7BEx,68552.49 
[68313] QUOTE,p876fU7BEx,GRM 
[68490] ADD,p876fU7BEx,71043.74 
[68623] QUOTE,p876fU7BEx,DIX 
[68967] COMMIT_SELL,p876fU7BEx 
[69112] QUOTE,p876fU7BEx,DMW 
[69129] QUOTE,p876fU7BEx,NVX 
[69162] DISPLAY_SUMMARY,p876fU7BEx 
[69200] SET_SELL_TRIGGER,p876fU7BEx,BMQ,130.85 
[69258] ADD,p876fU7BEx,65938.99 
[69426] QUOTE,p876fU7BEx,MWV 
[69450] CANCEL_SET_BUY,p876fU7BEx,DBT 
[69457] DISPLAY_SUMMARY,p876fU7BEx 
[69621] BUY,p876fU7BEx,QGL,383.88 
[69656] SET_SELL_AMOUNT,p876fU7BEx,VTY,171.93 
[69691] SET_SELL_TRIGGER,p876fU7BEx,VTY,131.06 
[69716] DISPLAY_SUMMARY,p876fU7BEx 
[69834] COMMIT_BUY,p876fU7BEx 
[69877] ADD,p876fU7BEx,70541.81 
[69922] BUY,p876fU7BEx,EBS,235.35 
[69923] COMMIT_BUY,p876fU7BEx 
[70044] SET_BUY_AMOUNT,p876fU7BEx,YJK,118.28 
[70120] SET_BUY_TRIGGER,p876fU7BEx,KXF,42.21 
[70216] SET_BUY_AMOUNT,p876fU7BEx,CEC,47.09 
[70264] SET_BUY_TRIGGER,p876fU7BEx,CBX,42.51 
[70337] SET_BUY_TRIGGER,p876fU7BEx,SOA,160.49 
[70678] SET_SELL_AMOUNT,p876fU7BEx,IFN,417.89 
[70736] BUY,p876fU7BEx,BWR,320.38 
[70785] CANCEL_BUY,p876fU7BEx 
[70854] ADD,p876fU7BEx,77892.49 
[70968] QUOTE,p876fU7BEx,IHA 
[71085] BUY,p876fU7BEx,IQJ,209.02 
[71108] CANCEL_SET_BUY,p876fU7BEx,CDF 
[71182] ADD,p876fU7BEx,100428.77 
[71325] BUY,p876fU7BEx,HIN,576.99 
[71480] COMMIT_SELL,p876fU7BEx 
[71503] ADD,p876fU7BEx,64967.71 
[71606] SET_BUY_TRIGGER,p876fU7BEx,YOG,100.41 
[71640] DISPLAY_SUMMARY,p876fU7BEx 
[71653] QUOTE,p876fU7BEx,JIC 
[71770] QUOTE,p876fU7BEx,ZTI 
[71865] QUOTE,p876fU7BEx,MRK 
[71891] QUOTE,p876fU7BEx,IHW 
[72303] BUY,p876fU7BEx,KBN,252.35 
[72334] COMMIT_BUY,p876fU7BEx 
[72354] SET_SELL_TRIGGER,p876fU7BEx,IFN,316.49 
[72477] ADD,p876fU7BEx,75593.89 
[72581] QUOTE,p876fU7BEx,JGG 
[72654] QUOTE,p876fU7BEx,HSJ 
[72746] BUY,p876fU7BEx,POI,534.28 
[72921] SELL,p876fU7BEx,CBO,184.20 
[73022] COMMIT_SELL,p876fU7BEx 
[73031] QUOTE,p876fU7BEx,BJL 
[73035] SET_BUY_TRIGGER,p876fU7BEx,RKY,12.00 
[73114] DISPLAY_SUMMARY,p876fU7BEx 
[73155] SET_BUY_TRIGGER,p876fU7BEx,GZQ,2.76 
[73273] QUOTE,p876fU7BEx,DXQ 
[73619] CANCEL_BUY,p876fU7BEx 
[73638] SELL,p876fU7BEx,AVX,307.50 
[73724] CANCEL_SET_BUY,p876fU7BEx,SOA 
[73734] DISPLAY_SUMMARY,p876fU7BEx 
[73764] COMMIT_SELL,p876fU7BEx 
[73768] BUY,p876fU7BEx,MJU,683.90 
[73933] COMMIT_SELL,p876fU7BEx 
[74096] SELL,p876fU7BEx,FQP,733.24 
[74117] COMMIT_SELL,p876fU7BEx 
[74179] SET_BUY_TRIGGER,p876fU7BEx,YBO,19.11 
[74181] ADD,p876fU7BEx,87769.77 
[74371] QUOTE,p876fU7BEx,RXO 
[74417] QUOTE,p876fU7BEx,AMI 
[74440] QUOTE,p876fU7BEx,NFV 
[74998] DISPLAY_SUMMARY,p876fU7BEx 
[75155] DISPLAY_SUMMARY,p876fU7BEx 
[75184] SET_SELL_AMOUNT,p876fU7BEx,QJZ,88.28 
[75298] CANCEL_SET_SELL,p876fU7BEx,QJZ 
[75307] COMMIT_BUY,p876fU7BEx 
[75402] SET_BUY_TRIGGER,p876fU7BEx,KCT,21.33 
[75418] DISPLAY_SUMMARY,p876fU7BEx 
[75420] DISPLAY_SUMMARY,p876fU7BEx 
[75453] DISPLAY_SUMMARY,p876fU7BEx 
[75508] SET_SELL_TRIGGER,p876fU7BEx,SOT,22.76 
[75559] SET_BUY_AMOUNT,p876fU7BEx,JRJ,552.78 
[75586] SET_BUY_TRIGGER,p876fU7BEx,YVS,66.13 
[75866] SELL,p876fU7BEx,SSF,175.60 
[75870] COMMIT_SELL,p876fU7BEx 
[75920] DISPLAY_SUMMARY,p876fU7BEx 
[75987] SET_BUY_TRIGGER,p876fU7BEx,ZYF,1.15 
[76160] BUY,p876fU7BEx,PMG,389.54 
[76205] COMMIT_BUY,p876fU7BEx 
[76253] ADD,p876fU7BEx,34884.61 
[76360] QUOTE,p876fU7BEx,MVY 
[76379] QUOTE,p876fU7BEx,FZU 
[76388] BUY,p876fU7BEx,GAN,740.12 
[76629] COMMIT_BUY,p876fU7BEx 
[76669] SET_BUY_AMOUNT,p876fU7BEx,FDI,348.26 
[76741] SET_BUY_TRIGGER,p876fU7BEx,HYX,165.04 
[76857] SET_SELL_AMOUNT,p876fU7BEx,RNK,304.67 
[76899] DISPLAY_SUMMARY,p876fU7BEx 
[77126] BUY,p876fU7BEx,YRL,259.49 
[77173] BUY,p876fU7BEx,OOI,42.24 
[77175] COMMIT_SELL,p876fU7BEx 
[77224] SET_BUY_AMOUNT,p876fU7BEx,PTP,240.52 
[77372] DISPLAY_SUMMARY,p876fU7BEx 
[77651] DISPLAY_SUMMARY,p876fU7BEx 
[77919] SET_BUY_AMOUNT,p876fU7BEx,PTP,668.99 
[77930] DISPLAY_SUMMARY,p876fU7BEx 
[77950] SET_SELL_TRIGGER,p876fU7BEx,RNK,43.95 
[77971] DISPLAY_SUMMARY,p876fU7BEx 
[77994] SET_BUY_AMOUNT,p876fU7BEx,KES,282.90 
[78155] SET_BUY_TRIGGER,p876fU7BEx,SEI,43.27 
[78299] CANCEL_SET_BUY,p876fU7BEx,VXY 
[78324] SELL,p876fU7BEx,SSF,164.72 
[78457] CANCEL_SET_SELL,p876fU7BEx,MHQ 
[78491] ADD,p876fU7BEx,48465.40 
[78712] BUY,p876fU7BEx,UZZ,422.51 
[78769] COMMIT_BUY,p876fU7BEx 
[78795] QUOTE,p876fU7BEx,LPS 
[78796] BUY,p876fU7BEx,OTI,737.88 
[78798] COMMIT_BUY,p876fU7BEx 
[78815] CANCEL_SELL,p876fU7BEx 
[78865] SELL,p876fU7BEx,CBO,164.43 
[78948] SET_BUY_AMOUNT,p876fU7BEx,JZJ,3.13 
[78955] SELL,p876fU7BEx,YDS,280.45 
[78958] COMMIT_SELL,p876fU7BEx 
[78999] DISPLAY_SUMMARY,p876fU7BEx 
[79079] SET_BUY_AMOUNT,p876fU7BEx,QVK,522.44 
[79183] SET_BUY_TRIGGER,p876fU7BEx,PXX,64.32 
[79649] BUY,p876fU7BEx,YTY,645.39 
[79723] SET_SELL_AMOUNT,p876fU7BEx,CEC,535.29 
[79772] QUOTE,p876fU7BEx,MIQ 
[79953] ADD,p876fU7BEx,42347.89 
[79979] BUY,p876fU7BEx,AVH,532.76 
[79986] COMMIT_BUY,p876fU7BEx 
[80077] DISPLAY_SUMMARY,p876fU7BEx 
[80210] ADD,p876fU7BEx,91494.92 
[80426] SELL,p876fU7BEx,XLK,101.32 
[80459] CANCEL_BUY,p876fU7BEx 
[80509] SET_BUY_TRIGGER,p876fU7BEx,BEC,175.89 
[80680] ADD,p876fU7BEx,88643.10 
[81004] SET_BUY_AMOUNT,p876fU7BEx,XXQ,645.58 
[81106] CANCEL_SET_BUY,p876fU7BEx,XLI 
[81128] BUY,p876fU7BEx,MQH,608.42 
[81188] SET_BUY_TRIGGER,p876fU7BEx,WTD,99.90 
[81420] ADD,p876fU7BEx,131417.80 
[81438] QUOTE,p876fU7BEx,NRY 
[81573] SET_BUY_TRIGGER,p876fU7BEx,YRL,156.28 
[81614] BUY,p876fU7BEx,ZGC,236.20 
[81970] SET_SELL_TRIGGER,p876fU7BEx,CEC,447.42 
[82038] QUOTE,p876fU7BEx,EDM 
[82053] BUY,p876fU7BEx,KBI,403.07 
[82182] COMMIT_BUY,p876fU7BEx 
[82248] ADD,p876fU7BEx,80158.16 
[82298] BUY,p876fU7BEx,NGH,406.57 
[82448] SET_SELL_AMOUNT,p876fU7BEx,LZV,443.83 
[82498] SET_SELL_TRIGGER,p876fU7BEx,LZV,119.89 
[82546] SET_SELL_AMOUNT,p876fU7BEx,LFU,325.87 
[82745] SET_SELL_TRIGGER,p876fU7BEx,LFU,131.71 
[82831] DISPLAY_SUMMARY,p876fU7BEx 
[82850] QUOTE,p876fU7BEx,SPP 
[82891] BUY,p876fU7BEx,AED,473.60 
[82966] SELL,p876fU7BEx,FDI,89.94 
[83031] COMMIT_SELL,p876fU7BEx 
[83121] ADD,p876fU7BEx,81665.81 
[83279] SET_SELL_AMOUNT,p876fU7BEx,OEY,708.36 
[83323] SET_SELL_TRIGGER,p876fU7BEx,OEY,103.55 
[83491] ADD,p876fU7BEx,105745.36 
[83570] BUY,p876fU7BEx,WLT,148.78 
[83716] SET_BUY_TRIGGER,p876fU7BEx,IOY,166.86 
[83739] QUOTE,p876fU7BEx,JPD 
[83900] QUOTE,p876fU7BEx,SCW 
[84055] BUY,p876fU7BEx,NSN,200.95 
[84118] COMMIT_BUY,p876fU7BEx 
[84144] QUOTE,p876fU7BEx,YXK 
[84736] SET_BUY_TRIGGER,p876fU7BEx,MGO,174.76 
[84867] DISPLAY_SUMMARY,p876fU7BEx 
[85072] DISPLAY_SUMMARY,p876fU7BEx 
[85103] QUOTE,p876fU7BEx,FZU 
[85298] ADD,p876fU7BEx,70472.44 
[85380] BUY,p876fU7BEx,IDN,12.13 
[85429] COMMIT_BUY,p876fU7BEx 
[85508] ADD,p876fU7BEx,88655.79 
[85543] QUOTE,p876fU7BEx,XAN 
[85755] SET_BUY_TRIGGER,p876fU7BEx,WKD,135.32 
[85834] QUOTE,p876fU7BEx,EUM 
[85976] COMMIT_BUY,p876fU7BEx 
[86158] SET_SELL_AMOUNT,p876fU7BEx,JRJ,729.19 
[86241] BUY,p876fU7BEx,MIQ,362.43 
[86647] COMMIT_BUY,p876fU7BEx 
[86704] CANCEL_SET_BUY,p876fU7BEx,BHQ 
[86831] ADD,p876fU7BEx,84267.71 
[87037] CANCEL_SET_BUY,p876fU7BEx,OZW 
[87078] BUY,p876fU7BEx,KTU,695.52 
[87202] SET_BUY_AMOUNT,p876fU7BEx,TVI,533.17 
[87270] SET_BUY_TRIGGER,p876fU7BEx,GKD,261.75 
[87518] SELL,p876fU7BEx,JZJ,456.15 
[87621] COMMIT_SELL,p876fU7BEx 
[87719] BUY,p876fU7BEx,HPN,543.49 
[87963] COMMIT_BUY,p876fU7BEx 
[88002] SET_SELL_TRIGGER,p876fU7BEx,JRJ,232.62 
[88055] ADD,p876fU7BEx,76130.31 
[88078] CANCEL_SELL,p876fU7BEx 
[88080] SET_BUY_TRIGGER,p876fU7BEx,FIW,187.74 
[88155] SET_SELL_AMOUNT,p876fU7BEx,JVT,89.23 
[88185] CANCEL_SET_SELL,p876fU7BEx,JVT 
[88258] CANCEL_SET_BUY,p876fU7BEx,GQV 
[88438] ADD,p876fU7BEx,72275.04 
[88453] QUOTE,p876fU7BEx,BMW 
[88510] CANCEL_BUY,p876fU7BEx 
[88513] QUOTE,p876fU7BEx,OLH 
[88578] ADD,p876fU7BEx,74679.64 
[88602] BUY,p876fU7BEx,BMQ,575.03 
[88651] COMMIT_BUY,p876fU7BEx 
[88664] SET_SELL_TRIGGER,p876fU7BEx,BSG,59.46 
[88900] ADD,p876fU7BEx,71933.00 
[88919] QUOTE,p876fU7BEx,OYW 
[89008] SET_BUY_AMOUNT,p876fU7BEx,SZI,369.55 
[89136] SET_BUY_TRIGGER,p876fU7BEx,XOL,5.85 
[89163] ADD,p876fU7BEx,94233.28 
[89298] BUY,p876fU7BEx,ZEG,316.20 
[89324] CANCEL_SELL,p876fU7BEx 
[89389] QUOTE,p876fU7BEx,OSA 
[89445] QUOTE,p876fU7BEx,FQP 
[89663] QUOTE,p876fU7BEx,ZAN 
[89679] SET_BUY_AMOUNT,p876fU7BEx,SQI,177.34 
[89892] CANCEL_SET_BUY,p876fU7BEx,LLF 
[89901] BUY,p876fU7BEx,HVE,319.18 
[89969] COMMIT_BUY,p876fU7BEx 
[89970] DISPLAY_SUMMARY,p876fU7BEx 
[90018] SET_BUY_AMOUNT,p876fU7BEx,PTP,171.07 
[90194] SELL,p876fU7BEx,HFS,127.47 
[90223] BUY,p876fU7BEx,HVE,548.92 
[90259] COMMIT_BUY,p876fU7BEx 
[90317] DISPLAY_SUMMARY,p876fU7BEx 
[90452] SELL,p876fU7BEx,AJR,577.26 
[90647] SELL,p876fU7BEx,QVK,188.60 
[90812] QUOTE,p876fU7BEx,BHP 
[90845] BUY,p876fU7BEx,NZS,421.11 
[90974] CANCEL_BUY,p876fU7BEx 
[91083] DISPLAY_SUMMARY,p876fU7BEx 
[91094] QUOTE,p876fU7BEx,SFO 
[91520] BUY,p876fU7BEx,EDW,583.82 
[91527] CANCEL_BUY,p876fU7BEx 
[91840] SET_BUY_TRIGGER,p876fU7BEx,DED,123.49 
[91920] ADD,p876fU7BEx,67328.44 
[92006] QUOTE,p876fU7BEx,TXB 
[92030] QUOTE,p876fU7BEx,IUN 
[92318] BUY,p876fU7BEx,KEO,436.62 
[92339] COMMIT_BUY,p876fU7BEx 
[92396] BUY,p876fU7BEx,ZQC,127.32 
[92500] COMMIT_BUY,p876fU7BEx 
[92691] BUY,p876fU7BEx,TKG,274.47 
[92703] SET_BUY_TRIGGER,p876fU7BEx,FCM,101.57 
[92716] BUY,p876fU7BEx,CTI,598.90 
[92910] QUOTE,p876fU7BEx,VIG 
[93038] CANCEL_SET_BUY,p876fU7BEx,QPE 
[93099] BUY,p876fU7BEx,NVN,0.96 
[93193] COMMIT_BUY,p876fU7BEx 
[93241] COMMIT_SELL,p876fU7BEx 
[93247] ADD,p876fU7BEx,69848.64 
[93485] BUY,p876fU7BEx,GPW,321.46 
[93591] COMMIT_BUY,p876fU7BEx 
[93703] SET_BUY_AMOUNT,p876fU7BEx,CUZ,425.28 
[93731] SET_BUY_TRIGGER,p876fU7BEx,YTY,391.17 
[93776] ADD,p876fU7BEx,74168.83 
[93874] CANCEL_BUY,p876fU7BEx 
[93972] ADD,p876fU7BEx,43064.83 
[94020] QUOTE,p876fU7BEx,ZOT 
[94132] ADD,p876fU7BEx,46414.98 
[94224] BUY,p876fU7BEx,GLJ,594.41 
[94246] COMMIT_BUY,p876fU7BEx 
[94283] ADD,p876fU7BEx,75856.75 
[94377] BUY,p876fU7BEx,FXT,726.26 
[94383] COMMIT_BUY,p876fU7BEx 
[94428] QUOTE,p876fU7BEx,XOA 
[94769] SET_BUY_TRIGGER,p876fU7BEx,HTN,161.27 
[94812] ADD,p876fU7BEx,17141.51 
[95015] SET_BUY_AMOUNT,p876fU7BEx,KDA,74.07 
[95127] SET_BUY_TRIGGER,p876fU7BEx,TXB,22.63 
[95316] ADD,p876fU7BEx,79011.80 
[95407] BUY,p876fU7BEx,AOC,703.18 
[95558] SET_SELL_TRIGGER,p876fU7BEx,LSW,90.88 
[95638] SET_SELL_TRIGGER,p876fU7BEx,ZAM,196.28 
[95700] CANCEL_SET_SELL,p876fU7BEx,OSC 
[95866] BUY,p876fU7BEx,AZN,184.41 
[95901] COMMIT_BUY,p876fU7BEx 
[95971] DISPLAY_SUMMARY,p876fU7BEx 
[96070] CANCEL_SET_SELL,p876fU7BEx,CBX 
[96080] BUY,p876fU7BEx,QTH,371.06 
[96176] CANCEL_SET_BUY,p876fU7BEx,CVV 
[96530] QUOTE,p876fU7BEx,QWC 
[96671] ADD,p876fU7BEx,49266.49 
[96695] BUY,p876fU7BEx,XZN,441.45 
[96806] CANCEL_BUY,p876fU7BEx 
[96832] DISPLAY_SUMMARY,p876fU7BEx 
[96834] ADD,p876fU7BEx,59981.63 
[96854] BUY,p876fU7BEx,GAN,671.89 
[96886] COMMIT_BUY,p876fU7BEx 
[96906] ADD,p876fU7BEx,61636.48 
[97025] BUY,p876fU7BEx,JJW,736.90 
[97061] COMMIT_BUY,p876fU7BEx 
[97082] DISPLAY_SUMMARY,p876fU7BEx 
[97105] ADD,p876fU7BEx,69617.90 
[97169] QUOTE,p876fU7BEx,HTN 
[97428] SET_SELL_TRIGGER,p876fU7BEx,OAS,154.50 
[97449] SET_BUY_AMOUNT,p876fU7BEx,CEC,478.17 
[97518] SELL,p876fU7BEx,ZAN,147.58 
[97741] COMMIT_SELL,p876fU7BEx 
[97756] DISPLAY_SUMMARY,p876fU7BEx 
[97888] QUOTE,p876fU7BEx,UEC 
[97927] BUY,p876fU7BEx,EDM,580.52 
[97931] COMMIT_BUY,p876fU7BEx 
[98020] DISPLAY_SUMMARY,p876fU7BEx 
[98048] BUY,p876fU7BEx,BTA,434.58 
[98154] SET_SELL_AMOUNT,p876fU7BEx,CSZ,145.36 
