[32] ADD,VEusTtq5S7,52553.43 
[46871] ADD,VEusTtq5S7,64996.34 
[46916] QUOTE,VEusTtq5S7,FNY 
[46942] QUOTE,VEusTtq5S7,NFV 
[46978] SET_BUY_AMOUNT,VEusTtq5S7,UTV,72.33 
[47000] SET_BUY_TRIGGER,VEusTtq5S7,KYT,20.04 
[47064] SET_BUY_AMOUNT,VEusTtq5S7,RUN,364.39 
[47148] SET_BUY_TRIGGER,VEusTtq5S7,UMV,203.95 
[47172] DISPLAY_SUMMARY,VEusTtq5S7 
[47357] QUOTE,VEusTtq5S7,HMR 
[47367] BUY,VEusTtq5S7,YPL,118.29 
[47427] DISPLAY_SUMMARY,VEusTtq5S7 
[47572] ADD,VEusTtq5S7,54592.43 
[47773] QUOTE,VEusTtq5S7,MIU 
[48171] SET_BUY_AMOUNT,VEusTtq5S7,XXQ,261.67 
[48225] SET_BUY_TRIGGER,VEusTtq5S7,OAS,170.14 
[48249] SET_SELL_TRIGGER,VEusTtq5S7,SYL,28.33 
[48360] SET_SELL_AMOUNT,VEusTtq5S7,QAX,438.40 
[48456] SET_SELL_TRIGGER,VEusTtq5S7,QAX,312.04 
[48527] ADD,VEusTtq5S7,86795.53 
[48578] QUOTE,VEusTtq5S7,SQS 
[48664] DISPLAY_SUMMARY,VEusTtq5S7 
[48792] SET_BUY_AMOUNT,VEusTtq5S7,DFE,293.47 
[48814] SET_BUY_TRIGGER,VEusTtq5S7,DBR,121.97 
[49001] SET_SELL_AMOUNT,VEusTtq5S7,BCQ,220.67 
[49022] CANCEL_SET_SELL,VEusTtq5S7,BCQ 
[49030] ADD,VEusTtq5S7,64250.21 
[49104] DISPLAY_SUMMARY,VEusTtq5S7 
[49293] SET_BUY_TRIGGER,VEusTtq5S7,YAZ,116.47 
[49326] ADD,VEusTtq5S7,77596.06 
[49489] BUY,VEusTtq5S7,QQW,191.18 
[49673] CANCEL_SELL,VEusTtq5S7 
[49689] SET_SELL_AMOUNT,VEusTtq5S7,ZAN,712.25 
[49726] SET_SELL_TRIGGER,VEusTtq5S7,ZAN,668.00 
[49806] SET_BUY_AMOUNT,VEusTtq5S7,KES,430.19 
[49810] CANCEL_SET_BUY,VEusTtq5S7,MKE 
[49815] QUOTE,VEusTtq5S7,JUN 
[49866] QUOTE,VEusTtq5S7,QOQ 
[49972] BUY,VEusTtq5S7,UGG,13.67 
[50055] CANCEL_BUY,VEusTtq5S7 
[50088] BUY,VEusTtq5S7,MIQ,240.77 
[50096] SELL,VEusTtq5S7,CUZ,258.33 
[50253] SET_SELL_AMOUNT,VEusTtq5S7,KDA,164.00 
[50328] DISPLAY_SUMMARY,VEusTtq5S7 
[50358] ADD,VEusTtq5S7,40817.47 
[50394] SET_SELL_AMOUNT,VEusTtq5S7,GYF,88.59 
[50447] SET_SELL_TRIGGER,VEusTtq5S7,GYF,77.59 
[50479] DISPLAY_SUMMARY,VEusTtq5S7 
[50652] SET_BUY_AMOUNT,VEusTtq5S7,GYF,328.04 
[50678] SET_BUY_TRIGGER,VEusTtq5S7,DKV,183.64 
[50719] BUY,VEusTtq5S7,YWC,433.06 
[50831] COMMIT_BUY,VEusTtq5S7 
[50865] SET_BUY_AMOUNT,VEusTtq5S7,NHG,369.44 
[50891] SET_BUY_TRIGGER,VEusTtq5S7,FDI,4.55 
[50994] ADD,VEusTtq5S7,69634.08 
[51069] BUY,VEusTtq5S7,NJI,372.79 
[51087] COMMIT_BUY,VEusTtq5S7 
[51140] BUY,VEusTtq5S7,QLM,26.00 
[51168] CANCEL_SELL,VEusTtq5S7 
[51292] SET_BUY_AMOUNT,VEusTtq5S7,QJZ,583.12 
[51397] CANCEL_SET_BUY,VEusTtq5S7,XOP 
[51470] BUY,VEusTtq5S7,NXF,368.42 
[51489] SET_BUY_TRIGGER,VEusTtq5S7,FTB,54.04 
[51565] ADD,VEusTtq5S7,61635.70 
[51595] BUY,VEusTtq5S7,GGI,587.47 
[51857] CANCEL_SET_SELL,VEusTtq5S7,BHJ 
[51863] DISPLAY_SUMMARY,VEusTtq5S7 
[51913] ADD,VEusTtq5S7,82988.45 
[52025] BUY,VEusTtq5S7,OEN,90.94 
[52033] COMMIT_BUY,VEusTtq5S7 
[52135] SET_SELL_AMOUNT,VEusTtq5S7,KDA,516.49 
[52223] SET_SELL_TRIGGER,VEusTtq5S7,KDA,240.28 
[52227] ADD,VEusTtq5S7,73325.22 
[52365] QUOTE,VEusTtq5S7,MVQ 
[52786] BUY,VEusTtq5S7,QXW,684.97 
[52811] SET_BUY_AMOUNT,VEusTtq5S7,DFE,86.77 
[52839] SET_BUY_TRIGGER,VEusTtq5S7,KHD,27.75 
[52882] SET_SELL_TRIGGER,VEusTtq5S7,FKZ,96.20 
[52966] DISPLAY_SUMMARY,VEusTtq5S7 
[53011] BUY,VEusTtq5S7,XCL,708.29 
[53035] SET_BUY_AMOUNT,VEusTtq5S7,BCQ,601.66 
[53210] SET_BUY_TRIGGER,VEusTtq5S7,SON,382.29 
[53394] ADD,VEusTtq5S7,45905.99 
[53395] CANCEL_SET_BUY,VEusTtq5S7,NDD 
[53426] SET_SELL_AMOUNT,VEusTtq5S7,JRJ,585.57 
[53448] SET_SELL_TRIGGER,VEusTtq5S7,JRJ,260.03 
[53644] BUY,VEusTtq5S7,TSF,164.32 
[53901] CANCEL_BUY,VEusTtq5S7 
[54028] SET_SELL_AMOUNT,VEusTtq5S7,ZTI,164.62 
[54205] QUOTE,VEusTtq5S7,LUD 
[54338] BUY,VEusTtq5S7,KPE,248.60 
[54433] SET_BUY_AMOUNT,VEusTtq5S7,BYA,408.14 
[54474] SET_BUY_TRIGGER,VEusTtq5S7,JEO,34.54 
[54620] DISPLAY_SUMMARY,VEusTtq5S7 
[54741] SELL,VEusTtq5S7,UTV,371.65 
[54852] SET_SELL_TRIGGER,VEusTtq5S7,ZTI,79.12 
[55024] DISPLAY_SUMMARY,VEusTtq5S7 
[55056] DISPLAY_SUMMARY,VEusTtq5S7 
[55352] SET_SELL_TRIGGER,VEusTtq5S7,IOY,71.33 
[55393] DISPLAY_SUMMARY,VEusTtq5S7 
[55555] BUY,VEusTtq5S7,IZJ,724.20 
[55643] COMMIT_BUY,VEusTtq5S7 
[55725] DISPLAY_SUMMARY,VEusTtq5S7 
[55733] BUY,VEusTtq5S7,LSM,617.81 
[55736] QUOTE,VEusTtq5S7,CEC 
[55912] QUOTE,VEusTtq5S7,DXL 
[55920] BUY,VEusTtq5S7,BBD,168.56 
[56038] CANCEL_BUY,VEusTtq5S7 
[56137] SET_SELL_AMOUNT,VEusTtq5S7,GYF,408.83 
[56487] DISPLAY_SUMMARY,VEusTtq5S7 
[56531] ADD,VEusTtq5S7,87837.67 
[56595] QUOTE,VEusTtq5S7,AJL 
[56694] QUOTE,VEusTtq5S7,KXF 
[56963] QUOTE,VEusTtq5S7,TSU 
[56996] BUY,VEusTtq5S7,XUH,316.10 
[57068] COMMIT_BUY,VEusTtq5S7 
[57145] ADD,VEusTtq5S7,90376.30 
[57159] BUY,VEusTtq5S7,LMB,570.35 
[57647] COMMIT_BUY,VEusTtq5S7 
[57658] BUY,VEusTtq5S7,VTY,449.53 
[57670] QUOTE,VEusTtq5S7,WTD 
[57774] QUOTE,VEusTtq5S7,IPH 
[57820] QUOTE,VEusTtq5S7,PDB 
[58026] BUY,VEusTtq5S7,DVA,478.36 
[58045] COMMIT_BUY,VEusTtq5S7 
[58197] SET_SELL_TRIGGER,VEusTtq5S7,GYF,16.31 
[58403] SELL,VEusTtq5S7,BYA,257.77 
[58617] BUY,VEusTtq5S7,YNH,306.21 
[58754] CANCEL_BUY,VEusTtq5S7 
[59129] SELL,VEusTtq5S7,KDA,715.87 
[59218] COMMIT_SELL,VEusTtq5S7 
[59241] DISPLAY_SUMMARY,VEusTtq5S7 
[59502] SELL,VEusTtq5S7,JZJ,442.38 
[59549] COMMIT_SELL,VEusTtq5S7 
[59630] DISPLAY_SUMMARY,VEusTtq5S7 
[59632] SET_BUY_AMOUNT,VEusTtq5S7,ZAN,160.36 
[59891] CANCEL_SET_BUY,VEusTtq5S7,CIP 
[59944] ADD,VEusTtq5S7,84752.63 
[59990] QUOTE,VEusTtq5S7,SJZ 
[60060] SET_BUY_TRIGGER,VEusTtq5S7,XBL,47.08 
[60083] ADD,VEusTtq5S7,73715.16 
[60228] CANCEL_SET_SELL,VEusTtq5S7,MHR 
[60378] SELL,VEusTtq5S7,LFU,54.45 
[60547] COMMIT_SELL,VEusTtq5S7 
[60574] BUY,VEusTtq5S7,JQJ,19.40 
[60575] CANCEL_BUY,VEusTtq5S7 
[60627] SELL,VEusTtq5S7,OEY,121.13 
[60834] COMMIT_SELL,VEusTtq5S7 
[61027] ADD,VEusTtq5S7,83929.31 
[61145] BUY,VEusTtq5S7,JLO,470.49 
[61177] COMMIT_SELL,VEusTtq5S7 
[61238] QUOTE,VEusTtq5S7,ZFV 
[61579] DISPLAY_SUMMARY,VEusTtq5S7 
[61608] QUOTE,VEusTtq5S7,XOP 
[61714] QUOTE,VEusTtq5S7,CIP 
[61733] QUOTE,VEusTtq5S7,CJV 
[61917] SET_BUY_TRIGGER,VEusTtq5S7,MMY,53.69 
[62040] QUOTE,VEusTtq5S7,HGG 
[62150] BUY,VEusTtq5S7,RRT,65.87 
[62278] SET_SELL_AMOUNT,VEusTtq5S7,FQP,293.97 
[62361] CANCEL_SET_SELL,VEusTtq5S7,FQP 
[62416] ADD,VEusTtq5S7,71535.32 
[62531] QUOTE,VEusTtq5S7,ZGC 
[62701] QUOTE,VEusTtq5S7,ENQ 
[62702] SET_BUY_AMOUNT,VEusTtq5S7,YJK,334.71 
[62738] SET_BUY_TRIGGER,VEusTtq5S7,QPZ,51.76 
[62786] ADD,VEusTtq5S7,49844.12 
[62797] QUOTE,VEusTtq5S7,YUR 
[62837] CANCEL_SELL,VEusTtq5S7 
[62930] SET_SELL_TRIGGER,VEusTtq5S7,ALG,85.98 
[63204] SET_SELL_TRIGGER,VEusTtq5S7,FKX,40.79 
[63295] BUY,VEusTtq5S7,QOQ,691.70 
[63378] SET_SELL_TRIGGER,VEusTtq5S7,GED,175.46 
[63568] SET_BUY_AMOUNT,VEusTtq5S7,UTV,274.80 
[63678] SET_BUY_TRIGGER,VEusTtq5S7,KCS,222.76 
[63758] DISPLAY_SUMMARY,VEusTtq5S7 
[64245] SET_SELL_TRIGGER,VEusTtq5S7,KZC,112.25 
[64341] BUY,VEusTtq5S7,PUO,131.43 
[64361] COMMIT_SELL,VEusTtq5S7 
[64387] BUY,VEusTtq5S7,YMG,490.12 
[64647] CANCEL_BUY,VEusTtq5S7 
[64674] BUY,VEusTtq5S7,KEO,296.44 
[64747] COMMIT_BUY,VEusTtq5S7 
[64792] BUY,VEusTtq5S7,YJK,662.09 
[64950] COMMIT_BUY,VEusTtq5S7 
[65023] SET_BUY_AMOUNT,VEusTtq5S7,JVT,309.97 
[65087] SET_BUY_TRIGGER,VEusTtq5S7,PCR,0.91 
[65116] ADD,VEusTtq5S7,68873.77 
[65338] QUOTE,VEusTtq5S7,UMV 
[65445] BUY,VEusTtq5S7,SEW,289.66 
[65556] COMMIT_SELL,VEusTtq5S7 
[65562] SET_BUY_AMOUNT,VEusTtq5S7,ZTI,271.31 
[65606] SELL,VEusTtq5S7,FQP,99.98 
[65687] SET_BUY_TRIGGER,VEusTtq5S7,DVU,7.46 
[65710] DISPLAY_SUMMARY,VEusTtq5S7 
[65734] BUY,VEusTtq5S7,WBL,446.75 
[65767] SELL,VEusTtq5S7,AVX,38.88 
[65802] CANCEL_BUY,VEusTtq5S7 
[65909] QUOTE,VEusTtq5S7,QID 
[65959] BUY,VEusTtq5S7,WNX,195.23 
[65972] COMMIT_BUY,VEusTtq5S7 
[65996] QUOTE,VEusTtq5S7,JRJ 
[66115] BUY,VEusTtq5S7,KHY,600.09 
[66149] COMMIT_BUY,VEusTtq5S7 
[66277] SET_SELL_TRIGGER,VEusTtq5S7,TJL,23.12 
[66354] ADD,VEusTtq5S7,69564.77 
[66365] DISPLAY_SUMMARY,VEusTtq5S7 
[66462] SET_SELL_TRIGGER,VEusTtq5S7,TAR,145.93 
[66472] SET_SELL_AMOUNT,VEusTtq5S7,RUN,104.83 
[66622] CANCEL_SET_SELL,VEusTtq5S7,RUN 
[66637] SET_SELL_AMOUNT,VEusTtq5S7,FQP,221.97 
[66724] BUY,VEusTtq5S7,UMV,478.89 
[66879] COMMIT_BUY,VEusTtq5S7 
[66982] SET_SELL_TRIGGER,VEusTtq5S7,FQP,29.08 
[67085] SET_SELL_AMOUNT,VEusTtq5S7,ZTI,376.47 
[67164] BUY,VEusTtq5S7,JPD,534.82 
[67209] CANCEL_BUY,VEusTtq5S7 
[67518] ADD,VEusTtq5S7,69341.73 
[67569] SET_BUY_TRIGGER,VEusTtq5S7,LSG,45.96 
[67673] BUY,VEusTtq5S7,RUN,506.45 
[67770] COMMIT_BUY,VEusTtq5S7 
[67988] SET_BUY_AMOUNT,VEusTtq5S7,VTY,123.97 
[68222] DISPLAY_SUMMARY,VEusTtq5S7 
[68555] SET_BUY_AMOUNT,VEusTtq5S7,YJK,677.23 
[68638] SET_BUY_TRIGGER,VEusTtq5S7,WZM,602.45 
[68681] SELL,VEusTtq5S7,XXQ,454.19 
[68696] CANCEL_BUY,VEusTtq5S7 
[68964] DISPLAY_SUMMARY,VEusTtq5S7 
[69030] ADD,VEusTtq5S7,75648.67 
[69080] DISPLAY_SUMMARY,VEusTtq5S7 
[69202] ADD,VEusTtq5S7,67083.83 
[69260] QUOTE,VEusTtq5S7,UEC 
[69267] BUY,VEusTtq5S7,SDL,478.07 
[69282] SET_SELL_AMOUNT,VEusTtq5S7,JCQ,683.46 
[69287] SET_SELL_TRIGGER,VEusTtq5S7,JCQ,434.94 
[69569] SELL,VEusTtq5S7,CUZ,610.76 
[69577] CANCEL_SET_SELL,VEusTtq5S7,VWU 
[69774] SET_BUY_AMOUNT,VEusTtq5S7,ZYR,514.14 
[69873] SET_BUY_TRIGGER,VEusTtq5S7,JKX,290.40 
[69979] ADD,VEusTtq5S7,67128.76 
[70037] BUY,VEusTtq5S7,SAR,294.92 
[70178] COMMIT_BUY,VEusTtq5S7 
[70295] QUOTE,VEusTtq5S7,HGG 
[70364] ADD,VEusTtq5S7,79498.11 
[70491] QUOTE,VEusTtq5S7,JTY 
[70505] QUOTE,VEusTtq5S7,JMX 
[70734] BUY,VEusTtq5S7,QQW,535.65 
[70799] COMMIT_BUY,VEusTtq5S7 
[70820] SET_SELL_TRIGGER,VEusTtq5S7,DMW,154.53 
[70853] SET_SELL_TRIGGER,VEusTtq5S7,UCG,84.44 
[70899] SET_SELL_TRIGGER,VEusTtq5S7,ZEG,129.57 
[70951] DISPLAY_SUMMARY,VEusTtq5S7 
[71096] CANCEL_SET_BUY,VEusTtq5S7,ADY 
[71261] ADD,VEusTtq5S7,55404.36 
[71513] DISPLAY_SUMMARY,VEusTtq5S7 
[71594] DISPLAY_SUMMARY,VEusTtq5S7 
[71599] SET_SELL_TRIGGER,VEusTtq5S7,QPE,172.66 
[71721] ADD,VEusTtq5S7,73547.32 
[71728] SELL,VEusTtq5S7,BCQ,379.86 
[71807] COMMIT_SELL,VEusTtq5S7 
[71823] SELL,VEusTtq5S7,XLK,82.18 
[72011] COMMIT_SELL,VEusTtq5S7 
[72193] COMMIT_BUY,VEusTtq5S7 
[72359] SELL,VEusTtq5S7,FQP,86.22 
[72435] COMMIT_SELL,VEusTtq5S7 
[72442] SET_SELL_TRIGGER,VEusTtq5S7,NIR,37.09 
[72484] BUY,VEusTtq5S7,KDA,281.91 
[72652] COMMIT_BUY,VEusTtq5S7 
[72879] SELL,VEusTtq5S7,NHG,405.30 
[72963] COMMIT_BUY,VEusTtq5S7 
[72986] ADD,VEusTtq5S7,56485.21 
[72992] CANCEL_SET_SELL,VEusTtq5S7,FPV 
[73059] DISPLAY_SUMMARY,VEusTtq5S7 
[73087] SET_BUY_TRIGGER,VEusTtq5S7,BDX,185.17 
[73108] BUY,VEusTtq5S7,OSA,454.37 
[73180] COMMIT_BUY,VEusTtq5S7 
[73373] CANCEL_SET_SELL,VEusTtq5S7,BYA 
[73566] SELL,VEusTtq5S7,UIE,188.37 
[73612] QUOTE,VEusTtq5S7,TOZ 
[73647] ADD,VEusTtq5S7,81398.52 
[73666] BUY,VEusTtq5S7,MWJ,569.40 
[73689] COMMIT_BUY,VEusTtq5S7 
[73766] QUOTE,VEusTtq5S7,WDC 
[73843] BUY,VEusTtq5S7,ZNZ,582.39 
[73903] SET_SELL_AMOUNT,VEusTtq5S7,JCQ,76.45 
[74124] SET_SELL_TRIGGER,VEusTtq5S7,JCQ,70.24 
[74278] DISPLAY_SUMMARY,VEusTtq5S7 
[74294] SELL,VEusTtq5S7,BCQ,269.91 
[74305] SELL,VEusTtq5S7,QAX,271.54 
[74412] COMMIT_SELL,VEusTtq5S7 
[74442] SELL,VEusTtq5S7,GYF,100.34 
[74454] COMMIT_SELL,VEusTtq5S7 
[74526] ADD,VEusTtq5S7,64590.02 
[74611] QUOTE,VEusTtq5S7,GRM 
[74627] BUY,VEusTtq5S7,ZAN,602.34 
[74628] COMMIT_BUY,VEusTtq5S7 
[74776] BUY,VEusTtq5S7,XXQ,519.53 
[74946] COMMIT_BUY,VEusTtq5S7 
[75215] QUOTE,VEusTtq5S7,SSL 
[75229] ADD,VEusTtq5S7,69302.12 
[75325] BUY,VEusTtq5S7,RVZ,498.29 
[75389] QUOTE,VEusTtq5S7,VIG 
[75397] BUY,VEusTtq5S7,YOQ,302.35 
[75638] COMMIT_BUY,VEusTtq5S7 
[75672] SET_SELL_TRIGGER,VEusTtq5S7,OOR,5.22 
[75742] SET_SELL_AMOUNT,VEusTtq5S7,FQP,272.56 
[75787] SET_SELL_TRIGGER,VEusTtq5S7,FQP,50.79 
[75813] SELL,VEusTtq5S7,GYF,638.57 
[75944] CANCEL_BUY,VEusTtq5S7 
[76064] BUY,VEusTtq5S7,HZA,640.61 
[76118] SET_SELL_TRIGGER,VEusTtq5S7,ETJ,175.37 
[76226] DISPLAY_SUMMARY,VEusTtq5S7 
[76227] SET_SELL_TRIGGER,VEusTtq5S7,AUX,180.68 
[76282] SET_BUY_TRIGGER,VEusTtq5S7,OAS,94.81 
[76445] SELL,VEusTtq5S7,XLK,455.36 
[76446] COMMIT_SELL,VEusTtq5S7 
[76667] DISPLAY_SUMMARY,VEusTtq5S7 
[76874] ADD,VEusTtq5S7,96368.45 
[77243] BUY,VEusTtq5S7,UMV,632.96 
[77292] BUY,VEusTtq5S7,YBB,561.64 
[77344] COMMIT_SELL,VEusTtq5S7 
[77482] QUOTE,VEusTtq5S7,SOA 
[77757] QUOTE,VEusTtq5S7,XCL 
[78102] ADD,VEusTtq5S7,61983.15 
[78206] CANCEL_SET_SELL,VEusTtq5S7,YBO 
[78208] SET_SELL_AMOUNT,VEusTtq5S7,NHG,553.95 
[78300] BUY,VEusTtq5S7,MIY,564.59 
[78348] COMMIT_BUY,VEusTtq5S7 
[78383] SELL,VEusTtq5S7,CUZ,631.84 
[78700] COMMIT_SELL,VEusTtq5S7 
[78859] SELL,VEusTtq5S7,LZV,59.66 
[79008] CANCEL_BUY,VEusTtq5S7 
[79115] DISPLAY_SUMMARY,VEusTtq5S7 
[79201] ADD,VEusTtq5S7,67588.11 
[79220] BUY,VEusTtq5S7,VAT,675.89 
[79250] COMMIT_BUY,VEusTtq5S7 
[79275] ADD,VEusTtq5S7,90206.27 
[79381] QUOTE,VEusTtq5S7,IZU 
[79394] BUY,VEusTtq5S7,ZOW,310.47 
[79409] SET_BUY_TRIGGER,VEusTtq5S7,OTD,108.63 
[79410] DISPLAY_SUMMARY,VEusTtq5S7 
[79572] SELL,VEusTtq5S7,CBO,409.68 
[79608] COMMIT_SELL,VEusTtq5S7 
[79628] SELL,VEusTtq5S7,KBN,596.21 
[79787] COMMIT_SELL,VEusTtq5S7 
[80109] BUY,VEusTtq5S7,CJV,540.50 
[80169] SELL,VEusTtq5S7,ZYR,59.74 
[80208] COMMIT_SELL,VEusTtq5S7 
[80299] SET_SELL_AMOUNT,VEusTtq5S7,ZAN,390.67 
[80406] SELL,VEusTtq5S7,RNK,733.18 
[80473] COMMIT_SELL,VEusTtq5S7 
[80718] QUOTE,VEusTtq5S7,MHI 
[80821] BUY,VEusTtq5S7,OHG,133.26 
[80964] BUY,VEusTtq5S7,MQF,320.61 
[80971] COMMIT_BUY,VEusTtq5S7 
[81101] DISPLAY_SUMMARY,VEusTtq5S7 
[81110] QUOTE,VEusTtq5S7,GPL 
[81111] BUY,VEusTtq5S7,UTV,107.25 
[81158] CANCEL_SELL,VEusTtq5S7 
[81283] BUY,VEusTtq5S7,UTL,590.15 
[81349] COMMIT_BUY,VEusTtq5S7 
[81502] SET_SELL_TRIGGER,VEusTtq5S7,ZAN,365.31 
[81844] SELL,VEusTtq5S7,SSF,672.16 
[82004] SELL,VEusTtq5S7,QGE,267.55 
[82022] COMMIT_SELL,VEusTtq5S7 
[82184] ADD,VEusTtq5S7,66546.94 
[82287] QUOTE,VEusTtq5S7,GFN 
[82537] BUY,VEusTtq5S7,GYT,147.38 
[82857] CANCEL_BUY,VEusTtq5S7 
[83115] ADD,VEusTtq5S7,73082.86 
[83165] QUOTE,VEusTtq5S7,BUL 
[83219] SET_BUY_TRIGGER,VEusTtq5S7,TZJ,10.02 
[83222] SET_SELL_TRIGGER,VEusTtq5S7,AOU,78.45 
[83413] QUOTE,VEusTtq5S7,URI 
[83568] SET_BUY_AMOUNT,VEusTtq5S7,JCQ,191.26 
[83589] SET_BUY_TRIGGER,VEusTtq5S7,BWL,64.23 
[83646] SET_BUY_AMOUNT,VEusTtq5S7,LFU,737.88 
[83679] SET_BUY_TRIGGER,VEusTtq5S7,MQP,86.68 
[83705] DISPLAY_SUMMARY,VEusTtq5S7 
[83720] ADD,VEusTtq5S7,87263.55 
[83887] BUY,VEusTtq5S7,ZDB,679.76 
[83949] COMMIT_BUY,VEusTtq5S7 
[84317] ADD,VEusTtq5S7,65815.63 
[84432] QUOTE,VEusTtq5S7,XDN 
[84479] BUY,VEusTtq5S7,ZGR,389.33 
[84518] COMMIT_BUY,VEusTtq5S7 
[84532] BUY,VEusTtq5S7,POI,411.38 
[84704] CANCEL_SET_SELL,VEusTtq5S7,RGH 
[84743] QUOTE,VEusTtq5S7,FNY 
[84769] BUY,VEusTtq5S7,EIH,658.88 
[84827] COMMIT_BUY,VEusTtq5S7 
[85066] DISPLAY_SUMMARY,VEusTtq5S7 
[85110] ADD,VEusTtq5S7,78499.24 
[85113] SELL,VEusTtq5S7,BCQ,639.46 
[85116] COMMIT_SELL,VEusTtq5S7 
[85123] SET_BUY_TRIGGER,VEusTtq5S7,QID,142.10 
[85259] ADD,VEusTtq5S7,75852.76 
[85397] QUOTE,VEusTtq5S7,GJR 
[85512] DISPLAY_SUMMARY,VEusTtq5S7 
[85715] SET_SELL_TRIGGER,VEusTtq5S7,JGO,107.34 
[85718] BUY,VEusTtq5S7,GAV,283.26 
[85819] QUOTE,VEusTtq5S7,SSL 
[85833] BUY,VEusTtq5S7,JII,49.51 
[85867] COMMIT_BUY,VEusTtq5S7 
[86012] DISPLAY_SUMMARY,VEusTtq5S7 
[86016] BUY,VEusTtq5S7,EUC,141.04 
[86159] COMMIT_BUY,VEusTtq5S7 
[86321] QUOTE,VEusTtq5S7,YBP 
[86342] BUY,VEusTtq5S7,OLI,104.77 
[86416] COMMIT_BUY,VEusTtq5S7 
[86493] BUY,VEusTtq5S7,KZQ,698.07 
[86717] SET_BUY_AMOUNT,VEusTtq5S7,UTV,734.46 
[86874] SET_BUY_TRIGGER,VEusTtq5S7,ZCQ,58.75 
[86995] SET_BUY_AMOUNT,VEusTtq5S7,EBS,443.60 
[87047] SET_BUY_TRIGGER,VEusTtq5S7,WKD,6.29 
[87059] ADD,VEusTtq5S7,76290.23 
[87163] QUOTE,VEusTtq5S7,OOI 
[87278] BUY,VEusTtq5S7,BVN,682.82 
[87351] CANCEL_BUY,VEusTtq5S7 
[87748] SELL,VEusTtq5S7,YJK,505.77 
[87752] COMMIT_SELL,VEusTtq5S7 
[87787] CANCEL_SELL,VEusTtq5S7 
[87814] ADD,VEusTtq5S7,70904.03 
[87831] BUY,VEusTtq5S7,NJT,422.39 
[87892] COMMIT_BUY,VEusTtq5S7 
[87937] SELL,VEusTtq5S7,XXQ,145.83 
[88121] CANCEL_BUY,VEusTtq5S7 
[88160] ADD,VEusTtq5S7,70805.84 
[88451] SET_SELL_AMOUNT,VEusTtq5S7,PTP,669.55 
[88594] SET_SELL_TRIGGER,VEusTtq5S7,PTP,373.00 
[88773] CANCEL_SET_SELL,VEusTtq5S7,ZEG 
[88800] DISPLAY_SUMMARY,VEusTtq5S7 
[88835] QUOTE,VEusTtq5S7,LTB 
[88844] BUY,VEusTtq5S7,GHL,675.03 
[88926] COMMIT_BUY,VEusTtq5S7 
[89030] BUY,VEusTtq5S7,NVX,471.99 
[89125] SET_BUY_AMOUNT,VEusTtq5S7,MFX,442.21 
[89555] SET_BUY_TRIGGER,VEusTtq5S7,RRT,231.82 
[89837] DISPLAY_SUMMARY,VEusTtq5S7 
[89864] ADD,VEusTtq5S7,71581.74 
[89972] CANCEL_SET_BUY,VEusTtq5S7,APY 
[89975] DISPLAY_SUMMARY,VEusTtq5S7 
[90041] SET_SELL_TRIGGER,VEusTtq5S7,YNY,174.49 
[90219] SET_BUY_AMOUNT,VEusTtq5S7,IQJ,718.16 
[90269] SET_BUY_TRIGGER,VEusTtq5S7,YBP,672.41 
[90289] SET_BUY_TRIGGER,VEusTtq5S7,SBT,10.36 
[90493] SELL,VEusTtq5S7,DFE,64.31 
[90497] SET_BUY_AMOUNT,VEusTtq5S7,BYA,697.81 
[90601] SET_BUY_TRIGGER,VEusTtq5S7,TSU,24.60 
[90948] QUOTE,VEusTtq5S7,CTI 
[91073] BUY,VEusTtq5S7,TSF,7.08 
[91091] COMMIT_BUY,VEusTtq5S7 
[91105] QUOTE,VEusTtq5S7,RVU 
[91159] QUOTE,VEusTtq5S7,APY 
[91401] SET_BUY_AMOUNT,VEusTtq5S7,XQC,456.98 
[91477] SET_BUY_TRIGGER,VEusTtq5S7,FYR,111.52 
[91506] SET_BUY_AMOUNT,VEusTtq5S7,TKM,495.18 
[91693] SET_BUY_TRIGGER,VEusTtq5S7,JLK,480.98 
[91710] CANCEL_SET_SELL,VEusTtq5S7,IBT 
[91802] QUOTE,VEusTtq5S7,ZSV 
[91880] BUY,VEusTtq5S7,KBP,651.94 
[91932] CANCEL_BUY,VEusTtq5S7 
[92079] SET_SELL_AMOUNT,VEusTtq5S7,KYX,684.21 
[92286] SET_SELL_TRIGGER,VEusTtq5S7,KYX,7.47 
[92369] SET_BUY_TRIGGER,VEusTtq5S7,LFU,157.88 
[92417] SELL,VEusTtq5S7,KDA,489.96 
[92525] COMMIT_SELL,VEusTtq5S7 
[92588] SET_SELL_AMOUNT,VEusTtq5S7,BCQ,266.10 
[92632] SET_SELL_TRIGGER,VEusTtq5S7,BCQ,216.64 
[92636] DISPLAY_SUMMARY,VEusTtq5S7 
[92714] QUOTE,VEusTtq5S7,MOM 
[92718] BUY,VEusTtq5S7,PXX,89.47 
[92723] COMMIT_BUY,VEusTtq5S7 
[93168] QUOTE,VEusTtq5S7,ZZD 
[93242] ADD,VEusTtq5S7,76920.56 
[93294] CANCEL_SET_SELL,VEusTtq5S7,PXF 
[93295] SELL,VEusTtq5S7,SQI,39.20 
[93298] COMMIT_SELL,VEusTtq5S7 
[93544] ADD,VEusTtq5S7,63933.58 
[93598] BUY,VEusTtq5S7,BPP,446.09 
[93672] COMMIT_BUY,VEusTtq5S7 
