[50] ADD,qE6dGnwk51,50924.98 
[49364] QUOTE,qE6dGnwk51,YZC 
[49365] SET_BUY_AMOUNT,qE6dGnwk51,CSZ,358.93 
[49449] SET_BUY_TRIGGER,qE6dGnwk51,RNE,239.74 
[49454] ADD,qE6dGnwk51,76825.60 
[49561] BUY,qE6dGnwk51,RUN,472.20 
[49699] COMMIT_BUY,qE6dGnwk51 
[49721] BUY,qE6dGnwk51,ZLY,189.57 
[49785] COMMIT_BUY,qE6dGnwk51 
[49820] BUY,qE6dGnwk51,XXQ,742.03 
[50002] COMMIT_BUY,qE6dGnwk51 
[50007] SELL,qE6dGnwk51,GRM,268.94 
[50045] CANCEL_SELL,qE6dGnwk51 
[50127] DISPLAY_SUMMARY,qE6dGnwk51 
[50135] DISPLAY_SUMMARY,qE6dGnwk51 
[50292] DISPLAY_SUMMARY,qE6dGnwk51 
[50304] QUOTE,qE6dGnwk51,OYS 
[50323] SET_BUY_TRIGGER,qE6dGnwk51,HHC,64.35 
[50334] SET_BUY_AMOUNT,qE6dGnwk51,RGH,262.67 
[50445] SELL,qE6dGnwk51,QAX,645.30 
[50591] COMMIT_SELL,qE6dGnwk51 
[50724] SET_SELL_AMOUNT,qE6dGnwk51,ZAN,20.48 
[50896] SET_SELL_TRIGGER,qE6dGnwk51,ZAN,11.86 
[50911] SET_BUY_AMOUNT,qE6dGnwk51,LFU,273.78 
[51084] CANCEL_SET_BUY,qE6dGnwk51,ZAO 
[51132] QUOTE,qE6dGnwk51,BPP 
[51134] SELL,qE6dGnwk51,BCQ,456.43 
[51283] COMMIT_SELL,qE6dGnwk51 
[51318] QUOTE,qE6dGnwk51,EAK 
[51418] BUY,qE6dGnwk51,WJP,643.22 
[51522] SELL,qE6dGnwk51,RUN,594.64 
[51585] QUOTE,qE6dGnwk51,TSS 
[51662] DISPLAY_SUMMARY,qE6dGnwk51 
[51937] ADD,qE6dGnwk51,82506.26 
[52109] BUY,qE6dGnwk51,ZWB,4.49 
[52319] SET_SELL_TRIGGER,qE6dGnwk51,JEO,68.49 
[52408] SELL,qE6dGnwk51,JVT,679.16 
[52459] SET_SELL_TRIGGER,qE6dGnwk51,SMS,15.84 
[52472] QUOTE,qE6dGnwk51,IGT 
[52529] CANCEL_SET_SELL,qE6dGnwk51,OYS 
[52556] DISPLAY_SUMMARY,qE6dGnwk51 
[52643] DISPLAY_SUMMARY,qE6dGnwk51 
[52765] SELL,qE6dGnwk51,SUS,72.13 
[52800] ADD,qE6dGnwk51,71119.64 
[53006] BUY,qE6dGnwk51,GJR,39.28 
[53054] COMMIT_BUY,qE6dGnwk51 
[53083] SET_SELL_AMOUNT,qE6dGnwk51,XXQ,306.52 
[53146] SET_SELL_TRIGGER,qE6dGnwk51,XXQ,120.70 
[53163] ADD,qE6dGnwk51,72343.95 
[53171] QUOTE,qE6dGnwk51,FPP 
[53258] SET_BUY_TRIGGER,qE6dGnwk51,FNY,13.59 
[53293] ADD,qE6dGnwk51,64971.85 
[53317] QUOTE,qE6dGnwk51,HZE 
[53367] BUY,qE6dGnwk51,XDN,614.19 
[53514] SET_BUY_AMOUNT,qE6dGnwk51,OEY,675.28 
[53591] DISPLAY_SUMMARY,qE6dGnwk51 
[53633] QUOTE,qE6dGnwk51,ZCO 
[53814] DISPLAY_SUMMARY,qE6dGnwk51 
[53930] BUY,qE6dGnwk51,MRK,433.81 
[54037] CANCEL_BUY,qE6dGnwk51 
[54097] ADD,qE6dGnwk51,47421.73 
[54127] QUOTE,qE6dGnwk51,RKQ 
[54234] BUY,qE6dGnwk51,STT,259.53 
[54334] CANCEL_BUY,qE6dGnwk51 
[54408] QUOTE,qE6dGnwk51,ZTI 
[54610] ADD,qE6dGnwk51,78011.03 
[55167] SET_SELL_TRIGGER,qE6dGnwk51,SYT,113.89 
[55382] ADD,qE6dGnwk51,58167.97 
[55635] SET_SELL_TRIGGER,qE6dGnwk51,LMB,7.49 
[55707] SET_BUY_AMOUNT,qE6dGnwk51,DFE,36.00 
[55731] SET_BUY_TRIGGER,qE6dGnwk51,LLE,34.08 
[55882] SET_SELL_TRIGGER,qE6dGnwk51,NDJ,40.14 
[55883] QUOTE,qE6dGnwk51,DDH 
[56031] QUOTE,qE6dGnwk51,GCL 
[56279] COMMIT_SELL,qE6dGnwk51 
[56360] SET_BUY_AMOUNT,qE6dGnwk51,ZYR,537.93 
[56654] SET_BUY_TRIGGER,qE6dGnwk51,BFL,368.35 
[56721] ADD,qE6dGnwk51,62242.66 
[56834] QUOTE,qE6dGnwk51,WJP 
[56937] ADD,qE6dGnwk51,65972.54 
[56948] BUY,qE6dGnwk51,LPB,602.35 
[57050] COMMIT_BUY,qE6dGnwk51 
[57060] DISPLAY_SUMMARY,qE6dGnwk51 
[57090] SET_SELL_AMOUNT,qE6dGnwk51,ZTI,156.83 
[57095] SET_SELL_TRIGGER,qE6dGnwk51,ZTI,105.23 
[57136] SET_BUY_AMOUNT,qE6dGnwk51,SUS,728.88 
[57150] SET_BUY_TRIGGER,qE6dGnwk51,EBS,660.29 
[57216] SET_BUY_TRIGGER,qE6dGnwk51,QAX,39.63 
[57382] SET_SELL_TRIGGER,qE6dGnwk51,RGM,158.34 
[57403] QUOTE,qE6dGnwk51,OYS 
[57476] QUOTE,qE6dGnwk51,OZW 
[57477] CANCEL_BUY,qE6dGnwk51 
[57499] CANCEL_SET_BUY,qE6dGnwk51,IKK 
[57557] SELL,qE6dGnwk51,DFE,65.16 
[57661] SET_BUY_TRIGGER,qE6dGnwk51,PZE,185.73 
[57680] CANCEL_SET_BUY,qE6dGnwk51,OZT 
[57866] SET_SELL_AMOUNT,qE6dGnwk51,GYF,376.66 
[57886] SET_SELL_TRIGGER,qE6dGnwk51,GYF,201.88 
[57995] ADD,qE6dGnwk51,88087.23 
[58089] CANCEL_SELL,qE6dGnwk51 
[58184] QUOTE,qE6dGnwk51,OZO 
[58243] QUOTE,qE6dGnwk51,CBK 
[58334] COMMIT_BUY,qE6dGnwk51 
[58635] DISPLAY_SUMMARY,qE6dGnwk51 
[58699] ADD,qE6dGnwk51,79442.37 
[58770] QUOTE,qE6dGnwk51,FKZ 
[58963] SELL,qE6dGnwk51,BCQ,290.31 
[58967] COMMIT_SELL,qE6dGnwk51 
[58972] BUY,qE6dGnwk51,WYA,89.05 
[59025] COMMIT_BUY,qE6dGnwk51 
[59104] SET_SELL_AMOUNT,qE6dGnwk51,QGE,77.98 
[59437] SET_SELL_TRIGGER,qE6dGnwk51,QGE,28.74 
[59847] DISPLAY_SUMMARY,qE6dGnwk51 
[59930] ADD,qE6dGnwk51,46653.32 
[60042] ADD,qE6dGnwk51,67954.31 
[60192] QUOTE,qE6dGnwk51,FPI 
[60210] SET_BUY_TRIGGER,qE6dGnwk51,UDN,160.13 
[60315] SET_BUY_AMOUNT,qE6dGnwk51,SUS,215.57 
[60404] SET_BUY_TRIGGER,qE6dGnwk51,WTD,155.23 
[60647] ADD,qE6dGnwk51,92633.49 
[60748] SELL,qE6dGnwk51,FDI,576.50 
[60907] COMMIT_SELL,qE6dGnwk51 
[60983] SELL,qE6dGnwk51,DFE,384.39 
[61129] SET_BUY_TRIGGER,qE6dGnwk51,KCA,194.54 
[61174] SET_BUY_AMOUNT,qE6dGnwk51,BCQ,200.90 
[61216] SET_BUY_TRIGGER,qE6dGnwk51,PWK,183.11 
[61343] ADD,qE6dGnwk51,92053.05 
[61669] BUY,qE6dGnwk51,ZCQ,561.19 
[61740] QUOTE,qE6dGnwk51,QNW 
[61802] BUY,qE6dGnwk51,GLO,57.23 
[61984] SELL,qE6dGnwk51,JRJ,58.50 
[62020] CANCEL_SET_BUY,qE6dGnwk51,WCR 
[62189] ADD,qE6dGnwk51,29575.24 
[62247] BUY,qE6dGnwk51,OYS,608.87 
[62376] COMMIT_BUY,qE6dGnwk51 
[62388] ADD,qE6dGnwk51,59015.59 
[62508] QUOTE,qE6dGnwk51,ZCG 
[62521] BUY,qE6dGnwk51,JIC,640.09 
[62534] COMMIT_BUY,qE6dGnwk51 
[62542] SET_BUY_TRIGGER,qE6dGnwk51,LJY,103.40 
[62596] DISPLAY_SUMMARY,qE6dGnwk51 
[62694] ADD,qE6dGnwk51,55667.33 
[62710] QUOTE,qE6dGnwk51,CVV 
[62842] BUY,qE6dGnwk51,KLY,557.27 
[62950] COMMIT_BUY,qE6dGnwk51 
[63123] DISPLAY_SUMMARY,qE6dGnwk51 
[63148] QUOTE,qE6dGnwk51,DBR 
[63193] SET_BUY_AMOUNT,qE6dGnwk51,DFE,116.56 
[63284] BUY,qE6dGnwk51,LVT,183.47 
[63313] SET_SELL_TRIGGER,qE6dGnwk51,RGM,172.89 
[63431] QUOTE,qE6dGnwk51,XXT 
[63531] BUY,qE6dGnwk51,ZGN,316.41 
[63560] SET_BUY_AMOUNT,qE6dGnwk51,QAX,584.57 
[63712] QUOTE,qE6dGnwk51,BTD 
[63776] BUY,qE6dGnwk51,RVZ,217.59 
[63923] DISPLAY_SUMMARY,qE6dGnwk51 
[63971] ADD,qE6dGnwk51,117224.09 
[63991] QUOTE,qE6dGnwk51,FZB 
[64024] ADD,qE6dGnwk51,49278.88 
[64049] QUOTE,qE6dGnwk51,APU 
[64119] DISPLAY_SUMMARY,qE6dGnwk51 
[64126] SET_SELL_AMOUNT,qE6dGnwk51,PTP,138.51 
[64279] CANCEL_SET_SELL,qE6dGnwk51,PTP 
[64409] ADD,qE6dGnwk51,66229.61 
[64437] BUY,qE6dGnwk51,PPY,247.82 
[64441] SET_BUY_TRIGGER,qE6dGnwk51,TAR,261.04 
[64765] BUY,qE6dGnwk51,FIY,92.35 
[64801] CANCEL_BUY,qE6dGnwk51 
[64871] ADD,qE6dGnwk51,94434.03 
[65015] BUY,qE6dGnwk51,DTG,26.44 
[65033] SELL,qE6dGnwk51,OEY,579.44 
[65059] ADD,qE6dGnwk51,77265.66 
[65089] QUOTE,qE6dGnwk51,CEC 
[65201] QUOTE,qE6dGnwk51,URI 
[65208] QUOTE,qE6dGnwk51,SYT 
[65215] DISPLAY_SUMMARY,qE6dGnwk51 
[65265] BUY,qE6dGnwk51,ASJ,280.02 
[65349] COMMIT_BUY,qE6dGnwk51 
[65358] ADD,qE6dGnwk51,62274.58 
[65369] BUY,qE6dGnwk51,INB,573.95 
[65877] COMMIT_BUY,qE6dGnwk51 
[66012] SET_BUY_AMOUNT,qE6dGnwk51,ZYR,642.11 
[66051] SET_BUY_TRIGGER,qE6dGnwk51,OEX,360.02 
[66124] BUY,qE6dGnwk51,ZMS,11.49 
[66142] SET_BUY_AMOUNT,qE6dGnwk51,MXD,562.14 
[66187] SET_BUY_TRIGGER,qE6dGnwk51,UXP,156.73 
[66309] QUOTE,qE6dGnwk51,XSS 
[66455] BUY,qE6dGnwk51,XZO,387.11 
[66853] COMMIT_BUY,qE6dGnwk51 
[67232] QUOTE,qE6dGnwk51,QLM 
[67482] DISPLAY_SUMMARY,qE6dGnwk51 
[67608] DISPLAY_SUMMARY,qE6dGnwk51 
[67679] BUY,qE6dGnwk51,ZMS,598.01 
[67839] ADD,qE6dGnwk51,68109.17 
[67906] DISPLAY_SUMMARY,qE6dGnwk51 
[68082] ADD,qE6dGnwk51,77897.91 
[68108] QUOTE,qE6dGnwk51,XFH 
[68118] ADD,qE6dGnwk51,79189.48 
[68148] QUOTE,qE6dGnwk51,OZT 
[68161] CANCEL_BUY,qE6dGnwk51 
[68473] DISPLAY_SUMMARY,qE6dGnwk51 
[68615] BUY,qE6dGnwk51,YNH,417.66 
[68705] COMMIT_BUY,qE6dGnwk51 
[68741] SELL,qE6dGnwk51,JCQ,673.18 
[68863] SET_BUY_AMOUNT,qE6dGnwk51,GYF,663.62 
[69018] SET_BUY_TRIGGER,qE6dGnwk51,WZM,367.16 
[69027] DISPLAY_SUMMARY,qE6dGnwk51 
[69192] DISPLAY_SUMMARY,qE6dGnwk51 
[69266] ADD,qE6dGnwk51,85195.06 
[69463] BUY,qE6dGnwk51,NSN,472.81 
[69536] COMMIT_BUY,qE6dGnwk51 
[69662] DISPLAY_SUMMARY,qE6dGnwk51 
[69809] ADD,qE6dGnwk51,68168.15 
[69848] QUOTE,qE6dGnwk51,LLF 
[69993] QUOTE,qE6dGnwk51,KDA 
[70051] SET_BUY_TRIGGER,qE6dGnwk51,NDO,24.31 
[70091] CANCEL_BUY,qE6dGnwk51 
[70185] SET_BUY_AMOUNT,qE6dGnwk51,GYF,508.79 
[70341] SET_BUY_TRIGGER,qE6dGnwk51,BCQ,111.56 
[70342] DISPLAY_SUMMARY,qE6dGnwk51 
[70365] SET_SELL_AMOUNT,qE6dGnwk51,LFU,551.65 
[70428] BUY,qE6dGnwk51,AEM,57.29 
[70562] QUOTE,qE6dGnwk51,NKC 
[70739] SET_BUY_TRIGGER,qE6dGnwk51,IZJ,28.34 
[70936] DISPLAY_SUMMARY,qE6dGnwk51 
[71139] ADD,qE6dGnwk51,83985.54 
[71176] BUY,qE6dGnwk51,HHG,288.28 
[71253] CANCEL_SET_SELL,qE6dGnwk51,LFU 
[71268] SET_SELL_AMOUNT,qE6dGnwk51,PTP,282.26 
[71343] CANCEL_SET_SELL,qE6dGnwk51,PTP 
[71460] QUOTE,qE6dGnwk51,ELQ 
[71531] BUY,qE6dGnwk51,DDA,563.08 
[71621] QUOTE,qE6dGnwk51,KAF 
[71645] ADD,qE6dGnwk51,84257.03 
[71703] BUY,qE6dGnwk51,IFU,619.87 
[71730] SET_SELL_AMOUNT,qE6dGnwk51,QVK,447.11 
[71998] CANCEL_SET_SELL,qE6dGnwk51,QVK 
[72043] DISPLAY_SUMMARY,qE6dGnwk51 
[72049] SET_BUY_AMOUNT,qE6dGnwk51,YJK,705.26 
[72065] SET_BUY_TRIGGER,qE6dGnwk51,RXO,159.14 
[72109] QUOTE,qE6dGnwk51,TQE 
[72215] QUOTE,qE6dGnwk51,BYA 
[72338] BUY,qE6dGnwk51,QJZ,292.23 
[72390] COMMIT_BUY,qE6dGnwk51 
[72450] DISPLAY_SUMMARY,qE6dGnwk51 
[72516] DISPLAY_SUMMARY,qE6dGnwk51 
[72748] COMMIT_BUY,qE6dGnwk51 
[72863] ADD,qE6dGnwk51,58786.28 
[72948] BUY,qE6dGnwk51,DDH,641.83 
[73147] SELL,qE6dGnwk51,JCQ,334.85 
[73222] COMMIT_SELL,qE6dGnwk51 
[73317] QUOTE,qE6dGnwk51,DNJ 
[73332] BUY,qE6dGnwk51,RRT,222.52 
[73693] BUY,qE6dGnwk51,GRD,198.88 
[73779] SET_SELL_TRIGGER,qE6dGnwk51,QPR,10.07 
[74011] SET_BUY_TRIGGER,qE6dGnwk51,EIH,69.82 
[74034] SELL,qE6dGnwk51,QVK,460.08 
[74132] SET_BUY_AMOUNT,qE6dGnwk51,KES,608.03 
[74430] SET_BUY_TRIGGER,qE6dGnwk51,XAB,157.65 
[74573] ADD,qE6dGnwk51,66943.21 
[74593] BUY,qE6dGnwk51,IOY,398.92 
[74840] QUOTE,qE6dGnwk51,TZJ 
[74951] SELL,qE6dGnwk51,ZYR,32.69 
[74978] COMMIT_SELL,qE6dGnwk51 
[75338] SELL,qE6dGnwk51,JQO,493.97 
[75394] COMMIT_SELL,qE6dGnwk51 
[75547] SET_BUY_AMOUNT,qE6dGnwk51,BYA,71.93 
[75692] SET_BUY_TRIGGER,qE6dGnwk51,FTJ,29.63 
[75791] ADD,qE6dGnwk51,83111.61 
[75835] QUOTE,qE6dGnwk51,JRJ 
[76083] DISPLAY_SUMMARY,qE6dGnwk51 
[76191] ADD,qE6dGnwk51,72360.60 
[76229] BUY,qE6dGnwk51,PXF,727.92 
[76361] DISPLAY_SUMMARY,qE6dGnwk51 
[76375] DISPLAY_SUMMARY,qE6dGnwk51 
[76409] DISPLAY_SUMMARY,qE6dGnwk51 
[76462] SET_SELL_AMOUNT,qE6dGnwk51,KYX,370.90 
[76559] SET_SELL_TRIGGER,qE6dGnwk51,KYX,367.28 
[76638] SET_BUY_TRIGGER,qE6dGnwk51,DBT,69.63 
[76714] SET_SELL_TRIGGER,qE6dGnwk51,CXW,62.51 
[76732] DISPLAY_SUMMARY,qE6dGnwk51 
[76800] SELL,qE6dGnwk51,QJZ,185.33 
[77259] COMMIT_SELL,qE6dGnwk51 
[77297] SET_SELL_AMOUNT,qE6dGnwk51,QGE,302.52 
[77522] QUOTE,qE6dGnwk51,VOY 
[77633] ADD,qE6dGnwk51,68051.89 
[77663] QUOTE,qE6dGnwk51,URI 
[77830] SET_SELL_TRIGGER,qE6dGnwk51,QGE,125.83 
[77961] CANCEL_SELL,qE6dGnwk51 
[77972] SET_SELL_TRIGGER,qE6dGnwk51,RQL,138.02 
[78090] DISPLAY_SUMMARY,qE6dGnwk51 
[78091] SELL,qE6dGnwk51,NHG,644.07 
[78188] COMMIT_SELL,qE6dGnwk51 
[78272] DISPLAY_SUMMARY,qE6dGnwk51 
[78356] SET_SELL_AMOUNT,qE6dGnwk51,SSF,722.77 
[78632] SELL,qE6dGnwk51,MFX,732.62 
[78675] SET_BUY_AMOUNT,qE6dGnwk51,MXD,61.56 
[78764] BUY,qE6dGnwk51,NVX,186.05 
[78894] QUOTE,qE6dGnwk51,BFL 
[79133] COMMIT_BUY,qE6dGnwk51 
[79134] ADD,qE6dGnwk51,75178.73 
[79169] BUY,qE6dGnwk51,ZRJ,282.45 
[79346] COMMIT_BUY,qE6dGnwk51 
[79400] SET_SELL_AMOUNT,qE6dGnwk51,XLK,173.20 
[79469] SELL,qE6dGnwk51,QAX,7.00 
[79550] CANCEL_SET_SELL,qE6dGnwk51,XLK 
[79802] CANCEL_BUY,qE6dGnwk51 
[79992] SELL,qE6dGnwk51,XXQ,169.19 
[80179] COMMIT_SELL,qE6dGnwk51 
[80383] DISPLAY_SUMMARY,qE6dGnwk51 
[80398] SET_BUY_TRIGGER,qE6dGnwk51,FTP,44.53 
[80487] SELL,qE6dGnwk51,TVI,146.95 
[80683] COMMIT_SELL,qE6dGnwk51 
[80699] QUOTE,qE6dGnwk51,LSG 
[80866] BUY,qE6dGnwk51,MPP,514.06 
[80910] CANCEL_BUY,qE6dGnwk51 
[81048] SET_BUY_AMOUNT,qE6dGnwk51,IFN,582.74 
[81082] CANCEL_SET_BUY,qE6dGnwk51,AXK 
[81161] SET_BUY_AMOUNT,qE6dGnwk51,AVX,320.58 
[81194] DISPLAY_SUMMARY,qE6dGnwk51 
[81397] BUY,qE6dGnwk51,HZA,41.50 
[81494] SELL,qE6dGnwk51,BCQ,682.59 
[81527] ADD,qE6dGnwk51,58548.79 
[81661] QUOTE,qE6dGnwk51,RRE 
[81678] SET_BUY_TRIGGER,qE6dGnwk51,CTT,192.88 
[81706] SET_BUY_AMOUNT,qE6dGnwk51,RNK,356.06 
[81759] SET_BUY_TRIGGER,qE6dGnwk51,EAK,26.91 
[81944] ADD,qE6dGnwk51,48611.73 
[81979] SET_BUY_TRIGGER,qE6dGnwk51,MLI,130.29 
[82001] DISPLAY_SUMMARY,qE6dGnwk51 
[82337] ADD,qE6dGnwk51,89438.51 
[82675] QUOTE,qE6dGnwk51,MIR 
[82677] ADD,qE6dGnwk51,56960.31 
[82800] BUY,qE6dGnwk51,RQF,410.50 
[82938] CANCEL_SET_BUY,qE6dGnwk51,TVX 
[82948] ADD,qE6dGnwk51,95365.72 
[82978] CANCEL_SELL,qE6dGnwk51 
[83010] QUOTE,qE6dGnwk51,VMK 
[83194] COMMIT_BUY,qE6dGnwk51 
[83285] COMMIT_SELL,qE6dGnwk51 
[83387] SET_BUY_AMOUNT,qE6dGnwk51,ZTI,565.78 
[83421] CANCEL_SET_BUY,qE6dGnwk51,DBT 
[83478] QUOTE,qE6dGnwk51,LVV 
[83624] ADD,qE6dGnwk51,86716.13 
[83797] BUY,qE6dGnwk51,YZH,402.71 
[83850] COMMIT_BUY,qE6dGnwk51 
[84049] QUOTE,qE6dGnwk51,CEC 
[84135] BUY,qE6dGnwk51,JNO,233.79 
[84156] SET_BUY_TRIGGER,qE6dGnwk51,AIN,5.49 
[84200] BUY,qE6dGnwk51,EUM,172.19 
[84294] COMMIT_SELL,qE6dGnwk51 
[84554] ADD,qE6dGnwk51,60067.30 
[84644] QUOTE,qE6dGnwk51,WYO 
[84706] BUY,qE6dGnwk51,OTI,658.66 
[84712] COMMIT_BUY,qE6dGnwk51 
[84809] SELL,qE6dGnwk51,RGH,75.04 
[84837] COMMIT_SELL,qE6dGnwk51 
[84844] SET_SELL_AMOUNT,qE6dGnwk51,IQJ,700.94 
[84892] SET_SELL_TRIGGER,qE6dGnwk51,IQJ,287.67 
[85270] QUOTE,qE6dGnwk51,OGR 
[85368] BUY,qE6dGnwk51,VNN,634.40 
[85376] COMMIT_BUY,qE6dGnwk51 
[85440] SELL,qE6dGnwk51,AVX,399.12 
[85556] CANCEL_BUY,qE6dGnwk51 
[85583] ADD,qE6dGnwk51,59070.26 
[85585] QUOTE,qE6dGnwk51,WYR 
[85615] SET_SELL_AMOUNT,qE6dGnwk51,AJR,487.71 
[85620] BUY,qE6dGnwk51,LCP,487.29 
[85658] QUOTE,qE6dGnwk51,BXH 
[85745] QUOTE,qE6dGnwk51,HZA 
[85884] BUY,qE6dGnwk51,PBV,573.55 
[85906] CANCEL_BUY,qE6dGnwk51 
[86001] SET_BUY_TRIGGER,qE6dGnwk51,DXL,94.51 
[86070] DISPLAY_SUMMARY,qE6dGnwk51 
[86101] ADD,qE6dGnwk51,77718.82 
[86183] BUY,qE6dGnwk51,OEN,728.65 
[86205] SET_BUY_TRIGGER,qE6dGnwk51,SKC,151.74 
[86298] DISPLAY_SUMMARY,qE6dGnwk51 
[86359] DISPLAY_SUMMARY,qE6dGnwk51 
[86404] SET_SELL_AMOUNT,qE6dGnwk51,IFN,748.40 
[86518] CANCEL_SET_SELL,qE6dGnwk51,IFN 
[86615] CANCEL_BUY,qE6dGnwk51 
[86849] BUY,qE6dGnwk51,OHS,67.46 
[86943] CANCEL_BUY,qE6dGnwk51 
[87010] QUOTE,qE6dGnwk51,LSK 
[87085] SET_SELL_AMOUNT,qE6dGnwk51,SZI,113.15 
[87315] SET_SELL_TRIGGER,qE6dGnwk51,SZI,99.85 
[87341] SET_SELL_AMOUNT,qE6dGnwk51,QGE,698.02 
[87703] SET_SELL_TRIGGER,qE6dGnwk51,QGE,113.44 
[87732] DISPLAY_SUMMARY,qE6dGnwk51 
[87773] BUY,qE6dGnwk51,PBX,224.25 
[87929] COMMIT_BUY,qE6dGnwk51 
[88032] SET_BUY_AMOUNT,qE6dGnwk51,JCQ,594.25 
[88235] SET_BUY_TRIGGER,qE6dGnwk51,LJY,443.79 
[88887] SET_SELL_TRIGGER,qE6dGnwk51,NOP,17.29 
[88954] ADD,qE6dGnwk51,69231.80 
[89037] BUY,qE6dGnwk51,KHD,653.20 
[89174] SET_BUY_TRIGGER,qE6dGnwk51,PWK,8.92 
[89309] ADD,qE6dGnwk51,100130.20 
[89323] BUY,qE6dGnwk51,DES,47.32 
[89376] QUOTE,qE6dGnwk51,OOI 
[89391] QUOTE,qE6dGnwk51,PXF 
[89604] CANCEL_SET_BUY,qE6dGnwk51,LKK 
[89748] BUY,qE6dGnwk51,GAN,157.56 
[89985] COMMIT_BUY,qE6dGnwk51 
[90009] SET_SELL_TRIGGER,qE6dGnwk51,CBK,30.50 
[90091] DISPLAY_SUMMARY,qE6dGnwk51 
[90098] SET_BUY_AMOUNT,qE6dGnwk51,TVI,486.32 
[90225] SET_BUY_TRIGGER,qE6dGnwk51,NFO,363.11 
[90228] SET_SELL_TRIGGER,qE6dGnwk51,LPR,25.37 
[90371] QUOTE,qE6dGnwk51,YXK 
[90376] COMMIT_BUY,qE6dGnwk51 
[90470] ADD,qE6dGnwk51,66818.17 
[90489] BUY,qE6dGnwk51,INB,403.83 
[90498] COMMIT_BUY,qE6dGnwk51 
[90513] SET_SELL_TRIGGER,qE6dGnwk51,PCR,116.58 
[90552] SET_SELL_TRIGGER,qE6dGnwk51,QNK,174.06 
[90576] DISPLAY_SUMMARY,qE6dGnwk51 
[90620] SET_BUY_AMOUNT,qE6dGnwk51,XQC,554.85 
[90661] SELL,qE6dGnwk51,QGE,565.04 
[90697] COMMIT_SELL,qE6dGnwk51 
[90730] ADD,qE6dGnwk51,68542.73 
[90841] BUY,qE6dGnwk51,NNW,696.75 
[90907] CANCEL_BUY,qE6dGnwk51 
[91013] DISPLAY_SUMMARY,qE6dGnwk51 
[91240] SET_SELL_TRIGGER,qE6dGnwk51,EOY,77.13 
[91261] BUY,qE6dGnwk51,LAM,653.55 
[91332] COMMIT_BUY,qE6dGnwk51 
[91516] QUOTE,qE6dGnwk51,CZQ 
[91517] SET_SELL_AMOUNT,qE6dGnwk51,QGE,206.08 
[91533] SET_SELL_TRIGGER,qE6dGnwk51,QGE,28.94 
[91549] DISPLAY_SUMMARY,qE6dGnwk51 
[91689] SELL,qE6dGnwk51,GYF,488.18 
[91785] SET_BUY_AMOUNT,qE6dGnwk51,IFN,403.05 
[91821] SET_BUY_TRIGGER,qE6dGnwk51,BEC,227.80 
[91847] SELL,qE6dGnwk51,RUN,683.70 
[91975] COMMIT_SELL,qE6dGnwk51 
[92113] ADD,qE6dGnwk51,74430.83 
[92212] QUOTE,qE6dGnwk51,VNN 
[92347] SET_SELL_AMOUNT,qE6dGnwk51,VTY,357.07 
[92361] SET_SELL_TRIGGER,qE6dGnwk51,VTY,110.69 
[92387] ADD,qE6dGnwk51,72469.07 
[92429] BUY,qE6dGnwk51,LHC,528.70 
[92443] CANCEL_BUY,qE6dGnwk51 
[92459] SET_SELL_AMOUNT,qE6dGnwk51,SSF,719.30 
[92464] SET_SELL_TRIGGER,qE6dGnwk51,SSF,501.96 
[92480] DISPLAY_SUMMARY,qE6dGnwk51 
[92518] SELL,qE6dGnwk51,UTV,317.26 
[92853] ADD,qE6dGnwk51,64146.17 
[92857] BUY,qE6dGnwk51,WKD,279.90 
[92871] COMMIT_BUY,qE6dGnwk51 
[93003] DISPLAY_SUMMARY,qE6dGnwk51 
[93252] QUOTE,qE6dGnwk51,HYX 
[93451] QUOTE,qE6dGnwk51,MIY 
[93659] BUY,qE6dGnwk51,AJX,559.83 
[93749] COMMIT_BUY,qE6dGnwk51 
[93758] SET_SELL_TRIGGER,qE6dGnwk51,BTP,185.95 
[93790] CANCEL_SET_SELL,qE6dGnwk51,XVK 
[93828] ADD,qE6dGnwk51,50760.84 
[93889] BUY,qE6dGnwk51,CTI,95.85 
[94265] COMMIT_BUY,qE6dGnwk51 
[94289] SELL,qE6dGnwk51,OEY,648.09 
[94366] COMMIT_SELL,qE6dGnwk51 
[94381] SELL,qE6dGnwk51,BJL,683.02 
[94414] COMMIT_SELL,qE6dGnwk51 
[94462] DISPLAY_SUMMARY,qE6dGnwk51 
[94607] SET_SELL_TRIGGER,qE6dGnwk51,FUF,109.37 
[94721] SET_BUY_TRIGGER,qE6dGnwk51,TFZ,125.75 
[94751] DISPLAY_SUMMARY,qE6dGnwk51 
[94784] SELL,qE6dGnwk51,FDI,482.73 
[95038] CANCEL_SET_SELL,qE6dGnwk51,DWK 
[95146] BUY,qE6dGnwk51,YOG,436.98 
[95181] CANCEL_BUY,qE6dGnwk51 
[95218] DISPLAY_SUMMARY,qE6dGnwk51 
[95219] ADD,qE6dGnwk51,67713.45 
[95227] QUOTE,qE6dGnwk51,FUR 
[95322] BUY,qE6dGnwk51,GNY,443.52 
[95428] COMMIT_BUY,qE6dGnwk51 
[95580] QUOTE,qE6dGnwk51,ZSV 
[95592] ADD,qE6dGnwk51,59235.26 
[95606] QUOTE,qE6dGnwk51,HEJ 
[95778] BUY,qE6dGnwk51,LCP,458.42 
[95860] COMMIT_BUY,qE6dGnwk51 
