[160] ADD,xka9Jdr7ac,85039.82 
[47847] ADD,xka9Jdr7ac,100807.63 
[47932] BUY,xka9Jdr7ac,SCK,586.23 
[47951] DISPLAY_SUMMARY,xka9Jdr7ac 
[47993] SELL,xka9Jdr7ac,EBS,173.17 
[48184] CANCEL_SET_BUY,xka9Jdr7ac,AOH 
[48267] ADD,xka9Jdr7ac,82060.20 
[48286] BUY,xka9Jdr7ac,KPU,207.13 
[48306] QUOTE,xka9Jdr7ac,WJB 
[48312] ADD,xka9Jdr7ac,68306.80 
[48455] QUOTE,xka9Jdr7ac,GLJ 
[48553] BUY,xka9Jdr7ac,MVI,547.73 
[48614] COMMIT_BUY,xka9Jdr7ac 
[48672] SET_BUY_TRIGGER,xka9Jdr7ac,BEC,182.48 
[48725] ADD,xka9Jdr7ac,84662.34 
[48818] QUOTE,xka9Jdr7ac,GPL 
[48904] QUOTE,xka9Jdr7ac,KCA 
[49083] BUY,xka9Jdr7ac,FIW,184.77 
[49157] COMMIT_BUY,xka9Jdr7ac 
[49391] SET_SELL_AMOUNT,xka9Jdr7ac,BCQ,487.45 
[49413] SET_SELL_TRIGGER,xka9Jdr7ac,BCQ,154.14 
[49471] CANCEL_SELL,xka9Jdr7ac 
[49525] DISPLAY_SUMMARY,xka9Jdr7ac 
[49632] SELL,xka9Jdr7ac,RUN,60.29 
[49708] QUOTE,xka9Jdr7ac,JGG 
[49775] BUY,xka9Jdr7ac,GJR,466.23 
[49832] DISPLAY_SUMMARY,xka9Jdr7ac 
[50178] SET_SELL_TRIGGER,xka9Jdr7ac,SYT,0.46 
[50367] SET_SELL_TRIGGER,xka9Jdr7ac,QGN,15.75 
[50413] SET_BUY_TRIGGER,xka9Jdr7ac,TTY,192.10 
[50473] SET_BUY_AMOUNT,xka9Jdr7ac,KDA,52.33 
[50601] SET_BUY_TRIGGER,xka9Jdr7ac,MPP,44.16 
[50679] SET_SELL_AMOUNT,xka9Jdr7ac,RNK,670.60 
[50715] SET_SELL_TRIGGER,xka9Jdr7ac,RNK,171.78 
[50745] BUY,xka9Jdr7ac,IHA,565.18 
[50818] COMMIT_BUY,xka9Jdr7ac 
[50934] SET_BUY_TRIGGER,xka9Jdr7ac,IOY,163.28 
[51002] SET_BUY_TRIGGER,xka9Jdr7ac,IZJ,35.15 
[51065] SET_SELL_AMOUNT,xka9Jdr7ac,ZAN,394.20 
[51180] SET_SELL_TRIGGER,xka9Jdr7ac,ZAN,355.93 
[51316] QUOTE,xka9Jdr7ac,ESN 
[51330] CANCEL_SET_BUY,xka9Jdr7ac,TTY 
[51503] SET_SELL_TRIGGER,xka9Jdr7ac,ZJG,52.85 
[51532] SET_SELL_AMOUNT,xka9Jdr7ac,DFE,163.17 
[51615] SET_SELL_TRIGGER,xka9Jdr7ac,DFE,84.27 
[51653] SET_BUY_TRIGGER,xka9Jdr7ac,JLO,64.17 
[51699] ADD,xka9Jdr7ac,56965.73 
[51727] QUOTE,xka9Jdr7ac,ALM 
[51810] SET_SELL_TRIGGER,xka9Jdr7ac,UUJ,134.86 
[51935] DISPLAY_SUMMARY,xka9Jdr7ac 
[51983] SET_SELL_AMOUNT,xka9Jdr7ac,LFU,430.08 
[52034] DISPLAY_SUMMARY,xka9Jdr7ac 
[52240] CANCEL_SELL,xka9Jdr7ac 
[52400] QUOTE,xka9Jdr7ac,HIN 
[52421] SELL,xka9Jdr7ac,EBS,585.26 
[52588] BUY,xka9Jdr7ac,MOS,553.94 
[52877] SET_BUY_TRIGGER,xka9Jdr7ac,URI,32.52 
[52883] SET_BUY_TRIGGER,xka9Jdr7ac,NJI,154.67 
[52934] QUOTE,xka9Jdr7ac,JEO 
[53003] BUY,xka9Jdr7ac,EVR,215.20 
[53047] CANCEL_SET_SELL,xka9Jdr7ac,LFU 
[53118] DISPLAY_SUMMARY,xka9Jdr7ac 
[53257] QUOTE,xka9Jdr7ac,JXW 
[53466] COMMIT_BUY,xka9Jdr7ac 
[53472] SELL,xka9Jdr7ac,XLK,591.47 
[53603] COMMIT_SELL,xka9Jdr7ac 
[53712] QUOTE,xka9Jdr7ac,WDC 
[53849] SET_BUY_TRIGGER,xka9Jdr7ac,GHE,16.92 
[53974] SET_BUY_TRIGGER,xka9Jdr7ac,GMS,98.52 
[54067] SET_BUY_AMOUNT,xka9Jdr7ac,CSZ,239.17 
[54292] SET_BUY_TRIGGER,xka9Jdr7ac,GUB,165.67 
[54393] ADD,xka9Jdr7ac,39865.24 
[54450] BUY,xka9Jdr7ac,XUY,556.27 
[54621] SELL,xka9Jdr7ac,GYF,102.96 
[54832] QUOTE,xka9Jdr7ac,XER 
[54848] BUY,xka9Jdr7ac,LPB,461.61 
[54888] COMMIT_BUY,xka9Jdr7ac 
[55035] SET_BUY_AMOUNT,xka9Jdr7ac,JZJ,34.28 
[55098] SET_BUY_TRIGGER,xka9Jdr7ac,PYM,20.16 
[55240] SET_SELL_TRIGGER,xka9Jdr7ac,HVE,160.91 
[55291] ADD,xka9Jdr7ac,68068.51 
[55348] SELL,xka9Jdr7ac,PTP,181.85 
[55424] CANCEL_BUY,xka9Jdr7ac 
[55432] ADD,xka9Jdr7ac,63359.72 
[55436] BUY,xka9Jdr7ac,SJH,539.93 
[55453] ADD,xka9Jdr7ac,49149.30 
[55613] BUY,xka9Jdr7ac,ZNL,158.24 
[55632] CANCEL_SET_BUY,xka9Jdr7ac,KXF 
[55671] ADD,xka9Jdr7ac,79573.79 
[55802] SET_SELL_AMOUNT,xka9Jdr7ac,XXQ,248.24 
[55803] SET_SELL_TRIGGER,xka9Jdr7ac,XXQ,89.23 
[55887] SET_SELL_AMOUNT,xka9Jdr7ac,BYA,626.84 
[56121] BUY,xka9Jdr7ac,PHZ,645.06 
[56124] COMMIT_BUY,xka9Jdr7ac 
[56178] QUOTE,xka9Jdr7ac,QHF 
[56217] ADD,xka9Jdr7ac,66094.18 
[56225] BUY,xka9Jdr7ac,LMO,52.23 
[56250] CANCEL_SET_BUY,xka9Jdr7ac,IOY 
[56504] QUOTE,xka9Jdr7ac,SUS 
[56544] BUY,xka9Jdr7ac,DBR,122.40 
[56596] CANCEL_BUY,xka9Jdr7ac 
[56602] SET_BUY_TRIGGER,xka9Jdr7ac,IFQ,188.95 
[56610] ADD,xka9Jdr7ac,85578.55 
[56780] BUY,xka9Jdr7ac,ZTI,92.16 
[56863] COMMIT_BUY,xka9Jdr7ac 
[56953] SELL,xka9Jdr7ac,RUN,648.87 
[57126] SET_SELL_TRIGGER,xka9Jdr7ac,BYA,203.48 
[57144] SET_SELL_AMOUNT,xka9Jdr7ac,JRJ,545.62 
[57219] BUY,xka9Jdr7ac,YCH,697.69 
[57355] CANCEL_SELL,xka9Jdr7ac 
[57520] ADD,xka9Jdr7ac,76710.46 
[57523] BUY,xka9Jdr7ac,PXS,128.09 
[57665] SET_SELL_TRIGGER,xka9Jdr7ac,JRJ,379.52 
[57869] SET_BUY_TRIGGER,xka9Jdr7ac,ELQ,47.64 
[57883] SELL,xka9Jdr7ac,YJK,608.04 
[57974] COMMIT_SELL,xka9Jdr7ac 
[58076] SELL,xka9Jdr7ac,FDI,363.19 
[58126] COMMIT_SELL,xka9Jdr7ac 
[58215] ADD,xka9Jdr7ac,58040.36 
[58345] QUOTE,xka9Jdr7ac,RUN 
[58411] COMMIT_BUY,xka9Jdr7ac 
[58418] ADD,xka9Jdr7ac,67124.69 
[58484] CANCEL_SET_BUY,xka9Jdr7ac,GRD 
[58528] SELL,xka9Jdr7ac,JQO,435.19 
[58561] CANCEL_SET_SELL,xka9Jdr7ac,MLT 
[58674] ADD,xka9Jdr7ac,58307.76 
[58909] QUOTE,xka9Jdr7ac,XUY 
[58955] BUY,xka9Jdr7ac,JGF,515.33 
[58987] CANCEL_SELL,xka9Jdr7ac 
[59085] BUY,xka9Jdr7ac,CWA,258.45 
[59185] CANCEL_SELL,xka9Jdr7ac 
[59285] SET_SELL_AMOUNT,xka9Jdr7ac,XXQ,155.15 
[59311] BUY,xka9Jdr7ac,BEG,602.50 
[59510] COMMIT_BUY,xka9Jdr7ac 
[59526] DISPLAY_SUMMARY,xka9Jdr7ac 
[59569] SET_SELL_AMOUNT,xka9Jdr7ac,UBJ,698.39 
[59622] DISPLAY_SUMMARY,xka9Jdr7ac 
[59826] ADD,xka9Jdr7ac,88666.05 
[59850] BUY,xka9Jdr7ac,SAN,18.70 
[59941] COMMIT_BUY,xka9Jdr7ac 
[60134] CANCEL_SELL,xka9Jdr7ac 
[60153] SET_BUY_AMOUNT,xka9Jdr7ac,ZTI,283.79 
[60164] SET_BUY_TRIGGER,xka9Jdr7ac,GED,209.63 
[60170] BUY,xka9Jdr7ac,NJF,450.32 
[60198] BUY,xka9Jdr7ac,SPL,104.17 
[60597] COMMIT_SELL,xka9Jdr7ac 
[60693] SET_SELL_TRIGGER,xka9Jdr7ac,UBJ,391.59 
[61042] SELL,xka9Jdr7ac,OEY,236.51 
[61069] COMMIT_BUY,xka9Jdr7ac 
[61070] DISPLAY_SUMMARY,xka9Jdr7ac 
[61100] ADD,xka9Jdr7ac,30156.12 
[61212] BUY,xka9Jdr7ac,EVR,18.47 
[61263] COMMIT_BUY,xka9Jdr7ac 
[61422] ADD,xka9Jdr7ac,63824.12 
[61460] BUY,xka9Jdr7ac,SZI,4.68 
[61690] COMMIT_BUY,xka9Jdr7ac 
[61782] DISPLAY_SUMMARY,xka9Jdr7ac 
[61849] SET_BUY_TRIGGER,xka9Jdr7ac,MQX,11.66 
[62061] ADD,xka9Jdr7ac,73615.56 
[62063] CANCEL_SET_BUY,xka9Jdr7ac,YVS 
[62186] DISPLAY_SUMMARY,xka9Jdr7ac 
[62331] SET_SELL_AMOUNT,xka9Jdr7ac,JZJ,445.18 
[62366] CANCEL_SET_SELL,xka9Jdr7ac,JZJ 
[62373] QUOTE,xka9Jdr7ac,WTL 
[62414] COMMIT_SELL,xka9Jdr7ac 
[62634] SET_SELL_AMOUNT,xka9Jdr7ac,GRM,505.21 
[62777] SET_SELL_TRIGGER,xka9Jdr7ac,GRM,26.50 
[62795] BUY,xka9Jdr7ac,MDZ,504.48 
[62932] COMMIT_BUY,xka9Jdr7ac 
[63028] DISPLAY_SUMMARY,xka9Jdr7ac 
[63058] ADD,xka9Jdr7ac,74818.97 
[63073] BUY,xka9Jdr7ac,CLP,86.39 
[63157] COMMIT_BUY,xka9Jdr7ac 
[63175] DISPLAY_SUMMARY,xka9Jdr7ac 
[63394] COMMIT_SELL,xka9Jdr7ac 
[63395] ADD,xka9Jdr7ac,68414.62 
[63459] CANCEL_SET_SELL,xka9Jdr7ac,VKP 
[63572] BUY,xka9Jdr7ac,XOA,199.14 
[63619] COMMIT_BUY,xka9Jdr7ac 
[64017] SET_SELL_AMOUNT,xka9Jdr7ac,KES,325.33 
[64051] SET_SELL_TRIGGER,xka9Jdr7ac,KES,145.28 
[64259] BUY,xka9Jdr7ac,RNK,50.18 
[64464] CANCEL_BUY,xka9Jdr7ac 
[64664] ADD,xka9Jdr7ac,54216.76 
[64684] BUY,xka9Jdr7ac,GWF,501.80 
[64732] COMMIT_BUY,xka9Jdr7ac 
[64885] SET_SELL_AMOUNT,xka9Jdr7ac,NHG,627.94 
[64902] QUOTE,xka9Jdr7ac,EDV 
[64947] COMMIT_BUY,xka9Jdr7ac 
[65282] CANCEL_SET_SELL,xka9Jdr7ac,NHG 
[65294] DISPLAY_SUMMARY,xka9Jdr7ac 
[65301] SELL,xka9Jdr7ac,CSZ,555.12 
[65415] COMMIT_SELL,xka9Jdr7ac 
[65477] ADD,xka9Jdr7ac,74534.88 
[65584] QUOTE,xka9Jdr7ac,JUV 
[65692] CANCEL_SET_SELL,xka9Jdr7ac,JUG 
[66401] SELL,xka9Jdr7ac,JQO,434.05 
[66548] COMMIT_SELL,xka9Jdr7ac 
[66612] SET_BUY_TRIGGER,xka9Jdr7ac,JCQ,93.77 
[66681] BUY,xka9Jdr7ac,IHA,243.85 
[66784] CANCEL_BUY,xka9Jdr7ac 
[66918] DISPLAY_SUMMARY,xka9Jdr7ac 
[66948] CANCEL_BUY,xka9Jdr7ac 
[66987] ADD,xka9Jdr7ac,72678.33 
[67349] BUY,xka9Jdr7ac,SKW,57.38 
[67405] COMMIT_BUY,xka9Jdr7ac 
[67565] SET_SELL_TRIGGER,xka9Jdr7ac,JQJ,190.07 
[67584] QUOTE,xka9Jdr7ac,GJR 
[67718] DISPLAY_SUMMARY,xka9Jdr7ac 
[68055] SET_SELL_TRIGGER,xka9Jdr7ac,ZQW,9.66 
[68195] QUOTE,xka9Jdr7ac,OOV 
[68403] CANCEL_SELL,xka9Jdr7ac 
[68404] ADD,xka9Jdr7ac,69583.81 
[68698] SELL,xka9Jdr7ac,BYA,108.47 
[68748] COMMIT_SELL,xka9Jdr7ac 
[68781] SET_BUY_TRIGGER,xka9Jdr7ac,JJW,124.79 
[68868] DISPLAY_SUMMARY,xka9Jdr7ac 
[68902] DISPLAY_SUMMARY,xka9Jdr7ac 
[68962] SET_BUY_AMOUNT,xka9Jdr7ac,EBS,662.79 
[69029] SET_BUY_TRIGGER,xka9Jdr7ac,NJT,515.84 
[69041] DISPLAY_SUMMARY,xka9Jdr7ac 
[69224] BUY,xka9Jdr7ac,AHO,51.78 
[69346] SET_SELL_AMOUNT,xka9Jdr7ac,LFU,433.70 
[69480] SET_SELL_TRIGGER,xka9Jdr7ac,LFU,295.95 
[69506] SET_SELL_TRIGGER,xka9Jdr7ac,UMV,37.82 
[69551] BUY,xka9Jdr7ac,DED,86.61 
[69608] COMMIT_BUY,xka9Jdr7ac 
[69702] CANCEL_SET_BUY,xka9Jdr7ac,VWU 
[69706] SET_BUY_TRIGGER,xka9Jdr7ac,KAH,137.79 
[69743] SET_BUY_TRIGGER,xka9Jdr7ac,PCR,40.18 
[69765] COMMIT_SELL,xka9Jdr7ac 
[69929] QUOTE,xka9Jdr7ac,UGG 
[69959] CANCEL_SET_BUY,xka9Jdr7ac,QZN 
[70009] ADD,xka9Jdr7ac,59558.56 
[70103] SET_BUY_TRIGGER,xka9Jdr7ac,NUV,159.76 
[70168] SET_BUY_AMOUNT,xka9Jdr7ac,IFN,110.97 
[70198] SET_BUY_TRIGGER,xka9Jdr7ac,TJL,19.91 
[70206] SET_SELL_TRIGGER,xka9Jdr7ac,RLS,159.08 
[70259] BUY,xka9Jdr7ac,PXY,424.64 
[70369] COMMIT_BUY,xka9Jdr7ac 
[70518] BUY,xka9Jdr7ac,RVU,126.34 
[70626] COMMIT_BUY,xka9Jdr7ac 
[70740] BUY,xka9Jdr7ac,CNN,608.05 
[70976] COMMIT_BUY,xka9Jdr7ac 
[71066] SET_BUY_TRIGGER,xka9Jdr7ac,ELQ,125.74 
[71079] SET_BUY_TRIGGER,xka9Jdr7ac,JGO,105.41 
[71140] BUY,xka9Jdr7ac,SEI,127.06 
[71188] COMMIT_BUY,xka9Jdr7ac 
[71225] BUY,xka9Jdr7ac,APU,216.50 
[71293] SELL,xka9Jdr7ac,LZV,23.15 
[71547] COMMIT_SELL,xka9Jdr7ac 
[71708] ADD,xka9Jdr7ac,85710.69 
[71874] BUY,xka9Jdr7ac,KQZ,504.97 
[71947] SET_SELL_AMOUNT,xka9Jdr7ac,QGE,626.72 
[71949] DISPLAY_SUMMARY,xka9Jdr7ac 
[72054] QUOTE,xka9Jdr7ac,FYA 
[72422] BUY,xka9Jdr7ac,KHY,28.32 
[72429] COMMIT_BUY,xka9Jdr7ac 
[72457] ADD,xka9Jdr7ac,70791.26 
[72659] BUY,xka9Jdr7ac,XXP,290.94 
[72695] COMMIT_BUY,xka9Jdr7ac 
[72714] ADD,xka9Jdr7ac,44812.88 
[72862] BUY,xka9Jdr7ac,RRT,125.62 
[73216] CANCEL_BUY,xka9Jdr7ac 
[73258] ADD,xka9Jdr7ac,62308.80 
[73388] BUY,xka9Jdr7ac,RWM,665.45 
[73512] CANCEL_BUY,xka9Jdr7ac 
[73547] BUY,xka9Jdr7ac,FIY,427.46 
[73635] QUOTE,xka9Jdr7ac,KAO 
[73760] DISPLAY_SUMMARY,xka9Jdr7ac 
[73813] DISPLAY_SUMMARY,xka9Jdr7ac 
[73818] BUY,xka9Jdr7ac,FZU,249.16 
[73863] COMMIT_BUY,xka9Jdr7ac 
[73922] SET_BUY_AMOUNT,xka9Jdr7ac,XXQ,47.52 
[74038] SET_BUY_TRIGGER,xka9Jdr7ac,CTT,10.70 
[74106] SELL,xka9Jdr7ac,JCQ,364.73 
[74141] CANCEL_BUY,xka9Jdr7ac 
[74518] DISPLAY_SUMMARY,xka9Jdr7ac 
[74567] ADD,xka9Jdr7ac,32318.69 
[74586] COMMIT_SELL,xka9Jdr7ac 
[74685] SET_BUY_TRIGGER,xka9Jdr7ac,VOU,132.45 
[74862] SET_BUY_AMOUNT,xka9Jdr7ac,KBN,128.86 
[75090] SELL,xka9Jdr7ac,KDA,409.75 
[75119] COMMIT_SELL,xka9Jdr7ac 
[75173] SELL,xka9Jdr7ac,BCQ,311.76 
[75190] COMMIT_SELL,xka9Jdr7ac 
[75253] ADD,xka9Jdr7ac,85762.29 
[75334] CANCEL_SET_BUY,xka9Jdr7ac,SQI 
[75540] DISPLAY_SUMMARY,xka9Jdr7ac 
[75561] QUOTE,xka9Jdr7ac,PCK 
[75615] BUY,xka9Jdr7ac,AZN,528.88 
[75667] COMMIT_BUY,xka9Jdr7ac 
[75687] DISPLAY_SUMMARY,xka9Jdr7ac 
[76113] DISPLAY_SUMMARY,xka9Jdr7ac 
[76169] DISPLAY_SUMMARY,xka9Jdr7ac 
[76187] ADD,xka9Jdr7ac,57963.56 
[76212] BUY,xka9Jdr7ac,VDP,374.73 
[76461] COMMIT_BUY,xka9Jdr7ac 
[76482] DISPLAY_SUMMARY,xka9Jdr7ac 
[76489] SET_SELL_AMOUNT,xka9Jdr7ac,TKM,106.55 
[76609] QUOTE,xka9Jdr7ac,ZNY 
[76652] SET_BUY_AMOUNT,xka9Jdr7ac,FQP,298.56 
[76674] SET_BUY_TRIGGER,xka9Jdr7ac,UMN,186.74 
[76761] SET_BUY_AMOUNT,xka9Jdr7ac,IFN,453.58 
[76797] SET_BUY_TRIGGER,xka9Jdr7ac,KAH,25.09 
[76922] SET_SELL_AMOUNT,xka9Jdr7ac,BYA,725.79 
[76941] SET_SELL_TRIGGER,xka9Jdr7ac,BYA,205.43 
[77026] DISPLAY_SUMMARY,xka9Jdr7ac 
[77627] SET_SELL_TRIGGER,xka9Jdr7ac,HIW,138.36 
[77740] SET_BUY_TRIGGER,xka9Jdr7ac,NOP,197.67 
[77819] SET_BUY_TRIGGER,xka9Jdr7ac,EUM,146.58 
[77842] SET_BUY_TRIGGER,xka9Jdr7ac,VVW,110.98 
[77957] ADD,xka9Jdr7ac,65589.98 
[77973] CANCEL_SET_BUY,xka9Jdr7ac,OSA 
[78270] SELL,xka9Jdr7ac,ZAN,518.88 
[78316] COMMIT_SELL,xka9Jdr7ac 
[78319] CANCEL_SET_BUY,xka9Jdr7ac,ZZN 
[78404] ADD,xka9Jdr7ac,55067.00 
[78572] SELL,xka9Jdr7ac,KYX,498.20 
[78672] COMMIT_SELL,xka9Jdr7ac 
[78740] SET_SELL_AMOUNT,xka9Jdr7ac,TVI,34.73 
[78903] CANCEL_SET_SELL,xka9Jdr7ac,TVI 
[78931] SELL,xka9Jdr7ac,RUN,290.68 
[78986] CANCEL_SET_BUY,xka9Jdr7ac,MVI 
[79037] BUY,xka9Jdr7ac,GPW,706.30 
[79375] SET_BUY_TRIGGER,xka9Jdr7ac,MIU,31.48 
[79448] QUOTE,xka9Jdr7ac,USW 
[79574] QUOTE,xka9Jdr7ac,SAR 
[79598] BUY,xka9Jdr7ac,ZPD,733.31 
[79672] COMMIT_BUY,xka9Jdr7ac 
[79756] SELL,xka9Jdr7ac,UIE,28.57 
[79767] COMMIT_SELL,xka9Jdr7ac 
[79794] SET_BUY_TRIGGER,xka9Jdr7ac,MOM,18.40 
[79875] DISPLAY_SUMMARY,xka9Jdr7ac 
[80063] BUY,xka9Jdr7ac,FYA,630.77 
[80147] CANCEL_SELL,xka9Jdr7ac 
[80320] SET_BUY_AMOUNT,xka9Jdr7ac,MXD,103.92 
[80379] SET_BUY_TRIGGER,xka9Jdr7ac,ECX,101.98 
[80546] ADD,xka9Jdr7ac,64671.65 
[80608] BUY,xka9Jdr7ac,YIQ,620.88 
[80675] COMMIT_BUY,xka9Jdr7ac 
[80789] SET_SELL_TRIGGER,xka9Jdr7ac,YVS,40.10 
[80876] DISPLAY_SUMMARY,xka9Jdr7ac 
[81073] SET_SELL_AMOUNT,xka9Jdr7ac,CBO,415.14 
[81247] SET_SELL_TRIGGER,xka9Jdr7ac,CBO,183.37 
[81458] COMMIT_BUY,xka9Jdr7ac 
[81665] BUY,xka9Jdr7ac,IFU,378.05 
[81711] COMMIT_BUY,xka9Jdr7ac 
[81762] DISPLAY_SUMMARY,xka9Jdr7ac 
[81775] SET_SELL_AMOUNT,xka9Jdr7ac,NHG,506.60 
[81793] SET_SELL_TRIGGER,xka9Jdr7ac,NHG,336.31 
[81865] DISPLAY_SUMMARY,xka9Jdr7ac 
[81978] SET_BUY_TRIGGER,xka9Jdr7ac,PZE,33.70 
[82587] ADD,xka9Jdr7ac,69259.75 
[82760] BUY,xka9Jdr7ac,SCK,163.96 
[82999] SET_SELL_AMOUNT,xka9Jdr7ac,PTP,14.68 
[83003] SET_SELL_TRIGGER,xka9Jdr7ac,PTP,1.68 
[83094] QUOTE,xka9Jdr7ac,RDK 
[83182] DISPLAY_SUMMARY,xka9Jdr7ac 
[83236] QUOTE,xka9Jdr7ac,KAS 
[83320] BUY,xka9Jdr7ac,MVQ,542.94 
[83467] BUY,xka9Jdr7ac,PBX,471.56 
[83483] CANCEL_BUY,xka9Jdr7ac 
[83649] COMMIT_SELL,xka9Jdr7ac 
[83871] ADD,xka9Jdr7ac,84786.37 
[84117] QUOTE,xka9Jdr7ac,JJW 
[84124] SET_BUY_AMOUNT,xka9Jdr7ac,KBN,109.10 
[84161] SET_BUY_TRIGGER,xka9Jdr7ac,DWF,72.99 
[84394] BUY,xka9Jdr7ac,NFQ,59.16 
[84505] CANCEL_BUY,xka9Jdr7ac 
[84678] BUY,xka9Jdr7ac,VEE,528.68 
[84684] COMMIT_SELL,xka9Jdr7ac 
[84895] DISPLAY_SUMMARY,xka9Jdr7ac 
[84900] SELL,xka9Jdr7ac,SZI,46.65 
[85007] COMMIT_SELL,xka9Jdr7ac 
[85067] DISPLAY_SUMMARY,xka9Jdr7ac 
[85120] ADD,xka9Jdr7ac,59004.05 
[85136] QUOTE,xka9Jdr7ac,CBO 
[85207] COMMIT_BUY,xka9Jdr7ac 
[85210] SET_BUY_AMOUNT,xka9Jdr7ac,MFX,4.11 
[85626] SELL,xka9Jdr7ac,SSF,418.21 
[85679] COMMIT_SELL,xka9Jdr7ac 
[85746] SET_SELL_TRIGGER,xka9Jdr7ac,LZB,116.08 
[86030] SET_BUY_AMOUNT,xka9Jdr7ac,QVK,440.12 
[86045] CANCEL_SET_BUY,xka9Jdr7ac,KMV 
[86107] BUY,xka9Jdr7ac,UCG,250.21 
[86113] COMMIT_BUY,xka9Jdr7ac 
[86119] SET_BUY_AMOUNT,xka9Jdr7ac,RUN,149.71 
[86262] SET_BUY_TRIGGER,xka9Jdr7ac,WAO,124.97 
[86423] DISPLAY_SUMMARY,xka9Jdr7ac 
[86655] ADD,xka9Jdr7ac,51170.50 
[86681] BUY,xka9Jdr7ac,IWL,298.38 
[86732] COMMIT_BUY,xka9Jdr7ac 
[86799] BUY,xka9Jdr7ac,JVE,745.72 
[86925] SET_SELL_TRIGGER,xka9Jdr7ac,RWM,14.48 
[86930] SET_BUY_TRIGGER,xka9Jdr7ac,GMF,39.09 
[86985] QUOTE,xka9Jdr7ac,FTP 
[86989] DISPLAY_SUMMARY,xka9Jdr7ac 
[87079] SET_SELL_TRIGGER,xka9Jdr7ac,KRY,33.86 
[87216] ADD,xka9Jdr7ac,52255.42 
[87255] BUY,xka9Jdr7ac,XOA,156.80 
[87466] COMMIT_BUY,xka9Jdr7ac 
[87495] BUY,xka9Jdr7ac,OBO,473.46 
[87544] SET_BUY_AMOUNT,xka9Jdr7ac,QVK,662.78 
[87578] BUY,xka9Jdr7ac,NVN,214.58 
[87600] COMMIT_BUY,xka9Jdr7ac 
[87821] CANCEL_SELL,xka9Jdr7ac 
[88021] QUOTE,xka9Jdr7ac,KAF 
[88136] QUOTE,xka9Jdr7ac,YVS 
[88188] CANCEL_SET_BUY,xka9Jdr7ac,LPB 
[88490] CANCEL_SET_BUY,xka9Jdr7ac,JHY 
[88556] SELL,xka9Jdr7ac,QGE,645.48 
[88588] COMMIT_SELL,xka9Jdr7ac 
[88626] SELL,xka9Jdr7ac,YDS,77.21 
[88641] COMMIT_SELL,xka9Jdr7ac 
[88731] SELL,xka9Jdr7ac,QPR,385.48 
[88775] ADD,xka9Jdr7ac,52402.46 
[88796] BUY,xka9Jdr7ac,XOA,671.08 
[88870] CANCEL_BUY,xka9Jdr7ac 
[88943] SET_SELL_TRIGGER,xka9Jdr7ac,JII,192.92 
[89024] ADD,xka9Jdr7ac,43013.96 
[89132] BUY,xka9Jdr7ac,KMV,582.27 
[89204] COMMIT_BUY,xka9Jdr7ac 
[89583] SET_BUY_AMOUNT,xka9Jdr7ac,VTY,668.33 
[89584] SET_BUY_TRIGGER,xka9Jdr7ac,NHB,544.47 
[89629] ADD,xka9Jdr7ac,50319.62 
[89655] QUOTE,xka9Jdr7ac,HSH 
[89966] BUY,xka9Jdr7ac,SPL,719.61 
[89982] COMMIT_BUY,xka9Jdr7ac 
[89998] SELL,xka9Jdr7ac,QJZ,266.69 
[90099] COMMIT_SELL,xka9Jdr7ac 
[90102] ADD,xka9Jdr7ac,78487.75 
[90116] SELL,xka9Jdr7ac,CSZ,74.68 
[90208] COMMIT_SELL,xka9Jdr7ac 
[90230] SET_BUY_TRIGGER,xka9Jdr7ac,ZRH,137.80 
[90298] SELL,xka9Jdr7ac,CUZ,291.54 
[90316] CANCEL_SELL,xka9Jdr7ac 
[90374] ADD,xka9Jdr7ac,69729.04 
[90430] QUOTE,xka9Jdr7ac,SZI 
[90505] SELL,xka9Jdr7ac,VTY,637.74 
[90597] CANCEL_SELL,xka9Jdr7ac 
[90691] SET_BUY_TRIGGER,xka9Jdr7ac,HTN,192.92 
[90706] SET_SELL_AMOUNT,xka9Jdr7ac,JQO,427.43 
[91077] SET_SELL_TRIGGER,xka9Jdr7ac,JQO,224.20 
[91185] DISPLAY_SUMMARY,xka9Jdr7ac 
[91231] SET_SELL_TRIGGER,xka9Jdr7ac,RGH,11.98 
[91234] SELL,xka9Jdr7ac,KBN,680.88 
[91426] COMMIT_BUY,xka9Jdr7ac 
[91572] DISPLAY_SUMMARY,xka9Jdr7ac 
[91806] BUY,xka9Jdr7ac,DWX,691.19 
[91995] CANCEL_BUY,xka9Jdr7ac 
[92097] DISPLAY_SUMMARY,xka9Jdr7ac 
[92291] SET_SELL_TRIGGER,xka9Jdr7ac,EIH,78.94 
[92449] ADD,xka9Jdr7ac,56609.29 
[92468] BUY,xka9Jdr7ac,PVH,75.20 
[92766] COMMIT_BUY,xka9Jdr7ac 
[92845] ADD,xka9Jdr7ac,99685.72 
[93192] BUY,xka9Jdr7ac,SJZ,724.08 
[93201] SET_SELL_TRIGGER,xka9Jdr7ac,EOS,117.87 
[93312] SELL,xka9Jdr7ac,HFS,87.86 
[93358] COMMIT_SELL,xka9Jdr7ac 
[93440] ADD,xka9Jdr7ac,99021.61 
[93463] QUOTE,xka9Jdr7ac,RVZ 
[93578] COMMIT_BUY,xka9Jdr7ac 
