[30] ADD,QXEQWDUSMg,76386.84 
[45088] COMMIT_SELL,QXEQWDUSMg 
[45161] ADD,QXEQWDUSMg,69153.22 
[45253] BUY,QXEQWDUSMg,ZYF,48.05 
[45423] COMMIT_BUY,QXEQWDUSMg 
[45729] ADD,QXEQWDUSMg,37866.32 
[45835] BUY,QXEQWDUSMg,PFN,170.86 
[45985] COMMIT_BUY,QXEQWDUSMg 
[46028] SELL,QXEQWDUSMg,GYF,573.54 
[46099] CANCEL_SET_SELL,QXEQWDUSMg,CTI 
[46105] CANCEL_BUY,QXEQWDUSMg 
[46117] DISPLAY_SUMMARY,QXEQWDUSMg 
[46211] SET_BUY_AMOUNT,QXEQWDUSMg,RUN,687.34 
[46246] DISPLAY_SUMMARY,QXEQWDUSMg 
[46493] SELL,QXEQWDUSMg,XXQ,743.14 
[46547] COMMIT_SELL,QXEQWDUSMg 
[46746] CANCEL_SET_BUY,QXEQWDUSMg,RWY 
[46788] SET_SELL_AMOUNT,QXEQWDUSMg,CSZ,438.16 
[46820] SET_SELL_TRIGGER,QXEQWDUSMg,CSZ,264.23 
[46897] DISPLAY_SUMMARY,QXEQWDUSMg 
[46923] SET_BUY_AMOUNT,QXEQWDUSMg,NHG,290.07 
[47079] SET_BUY_TRIGGER,QXEQWDUSMg,QJZ,232.64 
[47110] BUY,QXEQWDUSMg,QNW,581.03 
[47118] QUOTE,QXEQWDUSMg,SQO 
[47287] QUOTE,QXEQWDUSMg,DBT 
[47447] COMMIT_SELL,QXEQWDUSMg 
[47504] SET_SELL_TRIGGER,QXEQWDUSMg,SSL,71.93 
[47620] SET_BUY_AMOUNT,QXEQWDUSMg,OPN,6.43 
[47641] SET_BUY_TRIGGER,QXEQWDUSMg,KEV,0.08 
[47667] SET_BUY_AMOUNT,QXEQWDUSMg,EBS,295.38 
[47714] DISPLAY_SUMMARY,QXEQWDUSMg 
[47717] SET_SELL_TRIGGER,QXEQWDUSMg,PCR,183.11 
[47764] DISPLAY_SUMMARY,QXEQWDUSMg 
[47837] SELL,QXEQWDUSMg,OEY,596.47 
[47848] COMMIT_SELL,QXEQWDUSMg 
[47992] QUOTE,QXEQWDUSMg,GTX 
[48131] BUY,QXEQWDUSMg,ISQ,59.15 
[48307] CANCEL_BUY,QXEQWDUSMg 
[48373] SET_BUY_TRIGGER,QXEQWDUSMg,PXX,32.33 
[48477] DISPLAY_SUMMARY,QXEQWDUSMg 
[48503] SET_SELL_AMOUNT,QXEQWDUSMg,DFE,688.94 
[48695] SET_SELL_TRIGGER,QXEQWDUSMg,DFE,49.43 
[48809] DISPLAY_SUMMARY,QXEQWDUSMg 
[49479] DISPLAY_SUMMARY,QXEQWDUSMg 
[49558] DISPLAY_SUMMARY,QXEQWDUSMg 
[49646] SET_BUY_AMOUNT,QXEQWDUSMg,ZYR,360.92 
[49892] CANCEL_SET_BUY,QXEQWDUSMg,KCS 
[49973] BUY,QXEQWDUSMg,BPK,612.99 
[50128] CANCEL_BUY,QXEQWDUSMg 
[50218] COMMIT_SELL,QXEQWDUSMg 
[50279] SET_SELL_TRIGGER,QXEQWDUSMg,FWW,197.37 
[50496] ADD,QXEQWDUSMg,48783.12 
[50528] CANCEL_SET_BUY,QXEQWDUSMg,GUW 
[50537] SET_SELL_AMOUNT,QXEQWDUSMg,KDA,499.87 
[50579] BUY,QXEQWDUSMg,LJY,716.48 
[50617] CANCEL_BUY,QXEQWDUSMg 
[50717] CANCEL_SET_SELL,QXEQWDUSMg,KDA 
[50755] SET_SELL_AMOUNT,QXEQWDUSMg,PTP,242.95 
[50758] SET_SELL_TRIGGER,QXEQWDUSMg,PTP,31.18 
[50858] ADD,QXEQWDUSMg,60511.72 
[50939] BUY,QXEQWDUSMg,KDA,103.47 
[50943] COMMIT_BUY,QXEQWDUSMg 
[51005] SELL,QXEQWDUSMg,XLK,313.84 
[51044] COMMIT_SELL,QXEQWDUSMg 
[51086] DISPLAY_SUMMARY,QXEQWDUSMg 
[51199] SET_SELL_AMOUNT,QXEQWDUSMg,XXQ,165.32 
[51327] SET_SELL_TRIGGER,QXEQWDUSMg,XXQ,17.44 
[51365] SET_BUY_TRIGGER,QXEQWDUSMg,MQH,2.67 
[51869] DISPLAY_SUMMARY,QXEQWDUSMg 
[52008] DISPLAY_SUMMARY,QXEQWDUSMg 
[52028] COMMIT_BUY,QXEQWDUSMg 
[52037] DISPLAY_SUMMARY,QXEQWDUSMg 
[52047] SET_BUY_TRIGGER,QXEQWDUSMg,DLQ,6.21 
[52053] SET_SELL_AMOUNT,QXEQWDUSMg,KDA,155.44 
[52068] CANCEL_SET_SELL,QXEQWDUSMg,KDA 
[52082] SET_SELL_AMOUNT,QXEQWDUSMg,JZJ,265.02 
[52148] SET_SELL_TRIGGER,QXEQWDUSMg,JZJ,84.12 
[52195] ADD,QXEQWDUSMg,65653.40 
[52375] QUOTE,QXEQWDUSMg,SQS 
[52388] DISPLAY_SUMMARY,QXEQWDUSMg 
[52473] SET_BUY_AMOUNT,QXEQWDUSMg,PTP,663.26 
[52639] SET_BUY_TRIGGER,QXEQWDUSMg,QTH,52.58 
[52758] DISPLAY_SUMMARY,QXEQWDUSMg 
[52791] ADD,QXEQWDUSMg,60821.46 
[52792] BUY,QXEQWDUSMg,JXW,589.44 
[52809] CANCEL_SET_BUY,QXEQWDUSMg,JSM 
[52914] ADD,QXEQWDUSMg,72731.34 
[52922] BUY,QXEQWDUSMg,KVJ,206.22 
[52977] ADD,QXEQWDUSMg,62442.47 
[53002] BUY,QXEQWDUSMg,RVU,422.71 
[53111] COMMIT_BUY,QXEQWDUSMg 
[53215] COMMIT_SELL,QXEQWDUSMg 
[53231] SET_SELL_AMOUNT,QXEQWDUSMg,ZTI,593.18 
[53310] SET_SELL_TRIGGER,QXEQWDUSMg,ZTI,127.96 
[53385] SET_BUY_TRIGGER,QXEQWDUSMg,NFV,133.04 
[53664] DISPLAY_SUMMARY,QXEQWDUSMg 
[53707] DISPLAY_SUMMARY,QXEQWDUSMg 
[53747] SELL,QXEQWDUSMg,DFE,294.39 
[53807] COMMIT_SELL,QXEQWDUSMg 
[53892] SET_SELL_TRIGGER,QXEQWDUSMg,NFV,19.31 
[53897] QUOTE,QXEQWDUSMg,EIH 
[54188] COMMIT_SELL,QXEQWDUSMg 
[54295] SET_SELL_TRIGGER,QXEQWDUSMg,PJW,10.18 
[54307] DISPLAY_SUMMARY,QXEQWDUSMg 
[54312] SET_BUY_TRIGGER,QXEQWDUSMg,AEM,152.14 
[54545] SELL,QXEQWDUSMg,XLK,339.51 
[54694] SET_SELL_TRIGGER,QXEQWDUSMg,KZQ,194.08 
[54856] DISPLAY_SUMMARY,QXEQWDUSMg 
[55014] SELL,QXEQWDUSMg,BYA,541.24 
[55225] COMMIT_SELL,QXEQWDUSMg 
[55233] DISPLAY_SUMMARY,QXEQWDUSMg 
[55236] SET_BUY_TRIGGER,QXEQWDUSMg,ZFJ,30.12 
[55361] QUOTE,QXEQWDUSMg,BFU 
[55452] BUY,QXEQWDUSMg,STT,114.07 
[55507] COMMIT_BUY,QXEQWDUSMg 
[55533] ADD,QXEQWDUSMg,70255.52 
[55552] COMMIT_BUY,QXEQWDUSMg 
[55668] COMMIT_BUY,QXEQWDUSMg 
[55719] SET_SELL_TRIGGER,QXEQWDUSMg,VAT,83.44 
[55850] SELL,QXEQWDUSMg,RUN,453.65 
[55917] CANCEL_SET_SELL,QXEQWDUSMg,RVZ 
[55979] DISPLAY_SUMMARY,QXEQWDUSMg 
[56093] DISPLAY_SUMMARY,QXEQWDUSMg 
[56159] SET_BUY_AMOUNT,QXEQWDUSMg,FQP,622.20 
[56247] SET_BUY_TRIGGER,QXEQWDUSMg,SPL,392.59 
[56316] SET_SELL_AMOUNT,QXEQWDUSMg,ZTI,400.74 
[56340] QUOTE,QXEQWDUSMg,FTP 
[56410] QUOTE,QXEQWDUSMg,FFN 
[56415] QUOTE,QXEQWDUSMg,NJT 
[56582] SET_BUY_TRIGGER,QXEQWDUSMg,LLD,16.97 
[56958] SELL,QXEQWDUSMg,JQO,277.33 
[57253] CANCEL_SELL,QXEQWDUSMg 
[57291] SELL,QXEQWDUSMg,LFU,237.71 
[57375] COMMIT_SELL,QXEQWDUSMg 
[57432] SET_SELL_AMOUNT,QXEQWDUSMg,JZJ,266.66 
[57770] SET_SELL_TRIGGER,QXEQWDUSMg,JZJ,66.48 
[58187] SET_SELL_AMOUNT,QXEQWDUSMg,JQO,132.45 
[58221] SET_SELL_TRIGGER,QXEQWDUSMg,JQO,105.78 
[58416] SET_SELL_AMOUNT,QXEQWDUSMg,FQP,736.41 
[58430] SELL,QXEQWDUSMg,AVX,401.74 
[58489] CANCEL_SET_SELL,QXEQWDUSMg,FQP 
[58643] CANCEL_SET_BUY,QXEQWDUSMg,UMN 
[58993] DISPLAY_SUMMARY,QXEQWDUSMg 
[59020] SET_SELL_AMOUNT,QXEQWDUSMg,JRJ,564.19 
[59022] SET_SELL_TRIGGER,QXEQWDUSMg,JRJ,540.30 
[59042] SET_BUY_TRIGGER,QXEQWDUSMg,PNP,154.31 
[59070] SET_BUY_TRIGGER,QXEQWDUSMg,URI,152.32 
[59341] BUY,QXEQWDUSMg,RGH,320.15 
[59697] DISPLAY_SUMMARY,QXEQWDUSMg 
[59716] ADD,QXEQWDUSMg,60361.64 
[59725] ADD,QXEQWDUSMg,89822.22 
[59813] ADD,QXEQWDUSMg,60441.32 
[59816] BUY,QXEQWDUSMg,DJD,70.55 
[59976] COMMIT_BUY,QXEQWDUSMg 
[60017] ADD,QXEQWDUSMg,68171.20 
[60050] QUOTE,QXEQWDUSMg,VNF 
[60193] BUY,QXEQWDUSMg,RXO,427.80 
[60322] COMMIT_BUY,QXEQWDUSMg 
[60549] SET_SELL_TRIGGER,QXEQWDUSMg,VEN,24.79 
[60706] SET_SELL_AMOUNT,QXEQWDUSMg,UBJ,711.79 
[61000] SET_SELL_TRIGGER,QXEQWDUSMg,UBJ,546.99 
[61032] DISPLAY_SUMMARY,QXEQWDUSMg 
[61419] SELL,QXEQWDUSMg,QJZ,389.33 
[61484] COMMIT_SELL,QXEQWDUSMg 
[61491] SELL,QXEQWDUSMg,ZTI,740.33 
[61734] BUY,QXEQWDUSMg,YIQ,477.01 
[62043] CANCEL_BUY,QXEQWDUSMg 
[62108] BUY,QXEQWDUSMg,PHZ,55.00 
[62229] CANCEL_BUY,QXEQWDUSMg 
[62294] BUY,QXEQWDUSMg,BFL,375.73 
[62354] CANCEL_BUY,QXEQWDUSMg 
[62375] DISPLAY_SUMMARY,QXEQWDUSMg 
[62532] DISPLAY_SUMMARY,QXEQWDUSMg 
[62605] DISPLAY_SUMMARY,QXEQWDUSMg 
[62651] QUOTE,QXEQWDUSMg,WKG 
[63011] ADD,QXEQWDUSMg,56469.12 
[63105] SET_SELL_AMOUNT,QXEQWDUSMg,QJZ,31.02 
[63169] SET_SELL_TRIGGER,QXEQWDUSMg,QJZ,2.48 
[63279] BUY,QXEQWDUSMg,TKV,80.27 
[63508] CANCEL_BUY,QXEQWDUSMg 
[63521] BUY,QXEQWDUSMg,IHW,136.18 
[63555] CANCEL_SET_BUY,QXEQWDUSMg,GTX 
[63570] ADD,QXEQWDUSMg,68485.31 
[63811] COMMIT_BUY,QXEQWDUSMg 
[63945] BUY,QXEQWDUSMg,IIX,551.20 
[64158] COMMIT_BUY,QXEQWDUSMg 
[64302] ADD,QXEQWDUSMg,65312.16 
[64323] QUOTE,QXEQWDUSMg,CLH 
[64327] SET_BUY_AMOUNT,QXEQWDUSMg,KES,368.91 
[64465] SET_BUY_TRIGGER,QXEQWDUSMg,BFU,231.50 
[64559] SELL,QXEQWDUSMg,OPN,186.38 
[64625] COMMIT_SELL,QXEQWDUSMg 
[64660] SELL,QXEQWDUSMg,BYA,526.87 
[64663] DISPLAY_SUMMARY,QXEQWDUSMg 
[64802] DISPLAY_SUMMARY,QXEQWDUSMg 
[64803] ADD,QXEQWDUSMg,104443.27 
[64867] BUY,QXEQWDUSMg,SQI,11.81 
[64944] COMMIT_BUY,QXEQWDUSMg 
[65022] CANCEL_SET_BUY,QXEQWDUSMg,ELQ 
[65074] DISPLAY_SUMMARY,QXEQWDUSMg 
[65134] DISPLAY_SUMMARY,QXEQWDUSMg 
[65216] SET_SELL_TRIGGER,QXEQWDUSMg,RRZ,38.15 
[65357] DISPLAY_SUMMARY,QXEQWDUSMg 
[65373] CANCEL_SET_SELL,QXEQWDUSMg,PTP 
[65435] DISPLAY_SUMMARY,QXEQWDUSMg 
[65461] SET_SELL_AMOUNT,QXEQWDUSMg,LFU,232.96 
[65608] SET_SELL_TRIGGER,QXEQWDUSMg,LFU,43.49 
[65609] CANCEL_SET_SELL,QXEQWDUSMg,PSJ 
[65667] BUY,QXEQWDUSMg,QUT,480.83 
[65945] SET_BUY_TRIGGER,QXEQWDUSMg,BRT,38.81 
[66174] SET_BUY_AMOUNT,QXEQWDUSMg,BCQ,682.85 
[66208] SET_BUY_TRIGGER,QXEQWDUSMg,GRM,624.18 
[66427] ADD,QXEQWDUSMg,64429.64 
[66433] BUY,QXEQWDUSMg,BPK,339.46 
[66474] COMMIT_BUY,QXEQWDUSMg 
[66645] SET_SELL_TRIGGER,QXEQWDUSMg,KVJ,134.83 
[66668] SET_BUY_TRIGGER,QXEQWDUSMg,MER,101.81 
[66697] DISPLAY_SUMMARY,QXEQWDUSMg 
[66746] SELL,QXEQWDUSMg,CUZ,375.27 
[66866] COMMIT_SELL,QXEQWDUSMg 
[66971] QUOTE,QXEQWDUSMg,LTB 
[67115] BUY,QXEQWDUSMg,XMA,649.17 
[67464] COMMIT_BUY,QXEQWDUSMg 
[67564] BUY,QXEQWDUSMg,KVK,194.94 
[67628] SET_SELL_AMOUNT,QXEQWDUSMg,GRM,545.78 
[67779] SET_SELL_TRIGGER,QXEQWDUSMg,GRM,391.27 
[67898] QUOTE,QXEQWDUSMg,ENQ 
[67965] BUY,QXEQWDUSMg,SIK,85.57 
[68000] QUOTE,QXEQWDUSMg,SDL 
[68174] QUOTE,QXEQWDUSMg,KCA 
[68217] QUOTE,QXEQWDUSMg,QTU 
[68378] BUY,QXEQWDUSMg,BPK,36.86 
[68389] COMMIT_BUY,QXEQWDUSMg 
[68398] SELL,QXEQWDUSMg,EBS,627.16 
[68454] COMMIT_SELL,QXEQWDUSMg 
[68492] ADD,QXEQWDUSMg,42972.20 
[68580] BUY,QXEQWDUSMg,NGZ,355.87 
[68587] COMMIT_BUY,QXEQWDUSMg 
[68602] DISPLAY_SUMMARY,QXEQWDUSMg 
[68706] QUOTE,QXEQWDUSMg,MHI 
[68951] CANCEL_SET_SELL,QXEQWDUSMg,VMT 
[69038] BUY,QXEQWDUSMg,JGG,631.97 
[69072] COMMIT_BUY,QXEQWDUSMg 
[69119] DISPLAY_SUMMARY,QXEQWDUSMg 
[69248] SELL,QXEQWDUSMg,KES,40.74 
[69255] COMMIT_SELL,QXEQWDUSMg 
[69264] DISPLAY_SUMMARY,QXEQWDUSMg 
[69275] BUY,QXEQWDUSMg,GYF,671.83 
[69445] CANCEL_SET_BUY,QXEQWDUSMg,UJC 
[69499] BUY,QXEQWDUSMg,BMQ,43.46 
[69725] COMMIT_BUY,QXEQWDUSMg 
[69759] SET_BUY_AMOUNT,QXEQWDUSMg,BYA,597.96 
[69870] SET_BUY_TRIGGER,QXEQWDUSMg,DWX,591.52 
[69889] ADD,QXEQWDUSMg,58684.89 
[69908] BUY,QXEQWDUSMg,EUC,457.37 
[69910] COMMIT_BUY,QXEQWDUSMg 
[69932] DISPLAY_SUMMARY,QXEQWDUSMg 
[69947] SELL,QXEQWDUSMg,JZJ,107.73 
[69968] COMMIT_SELL,QXEQWDUSMg 
[70018] CANCEL_BUY,QXEQWDUSMg 
[70074] CANCEL_SET_SELL,QXEQWDUSMg,XNZ 
[70142] BUY,QXEQWDUSMg,CNN,40.94 
[70151] COMMIT_BUY,QXEQWDUSMg 
[70260] BUY,QXEQWDUSMg,WYO,321.86 
[70479] QUOTE,QXEQWDUSMg,MVY 
[70538] BUY,QXEQWDUSMg,FKI,5.92 
[70550] COMMIT_BUY,QXEQWDUSMg 
[70593] BUY,QXEQWDUSMg,JEO,406.32 
[70797] COMMIT_SELL,QXEQWDUSMg 
[70838] SET_SELL_TRIGGER,QXEQWDUSMg,NXU,176.35 
[71062] BUY,QXEQWDUSMg,KCA,580.87 
[71194] CANCEL_SELL,QXEQWDUSMg 
[71298] ADD,QXEQWDUSMg,66025.77 
[71472] BUY,QXEQWDUSMg,KJD,505.12 
[71502] COMMIT_BUY,QXEQWDUSMg 
[71630] ADD,QXEQWDUSMg,74278.01 
[71668] QUOTE,QXEQWDUSMg,KPE 
[71669] QUOTE,QXEQWDUSMg,DED 
[71678] ADD,QXEQWDUSMg,87372.91 
[71777] BUY,QXEQWDUSMg,IJO,315.07 
[71892] CANCEL_SELL,QXEQWDUSMg 
[71926] SET_SELL_AMOUNT,QXEQWDUSMg,KDA,545.34 
[71942] SET_SELL_TRIGGER,QXEQWDUSMg,KDA,115.67 
[71971] SET_BUY_TRIGGER,QXEQWDUSMg,SZI,41.44 
[71972] DISPLAY_SUMMARY,QXEQWDUSMg 
[71976] QUOTE,QXEQWDUSMg,DKV 
[72013] BUY,QXEQWDUSMg,KIP,53.31 
[72048] ADD,QXEQWDUSMg,59821.48 
[72060] QUOTE,QXEQWDUSMg,DOI 
[72162] BUY,QXEQWDUSMg,ZYF,610.19 
[72254] SET_SELL_TRIGGER,QXEQWDUSMg,WGV,78.80 
[72282] QUOTE,QXEQWDUSMg,TWJ 
[72395] BUY,QXEQWDUSMg,BEG,159.80 
[72537] DISPLAY_SUMMARY,QXEQWDUSMg 
[72589] SELL,QXEQWDUSMg,QJZ,372.53 
[72656] SET_SELL_TRIGGER,QXEQWDUSMg,ZCQ,138.67 
[73184] SET_SELL_AMOUNT,QXEQWDUSMg,FDI,245.12 
[73396] SET_SELL_TRIGGER,QXEQWDUSMg,FDI,224.79 
[73456] SET_SELL_TRIGGER,QXEQWDUSMg,ZMK,156.12 
[73471] QUOTE,QXEQWDUSMg,GLJ 
[73956] QUOTE,QXEQWDUSMg,KYX 
[74044] BUY,QXEQWDUSMg,SFR,12.17 
[74118] SELL,QXEQWDUSMg,JZJ,678.54 
[74261] CANCEL_SET_SELL,QXEQWDUSMg,NAR 
[74560] CANCEL_SET_SELL,QXEQWDUSMg,DXQ 
[74667] SET_SELL_AMOUNT,QXEQWDUSMg,MFX,227.36 
[74670] SET_SELL_TRIGGER,QXEQWDUSMg,MFX,220.88 
[74719] CANCEL_SET_BUY,QXEQWDUSMg,TJL 
[74739] SET_BUY_TRIGGER,QXEQWDUSMg,GHE,94.98 
[74858] ADD,QXEQWDUSMg,75383.44 
[74882] BUY,QXEQWDUSMg,FLY,646.24 
[75165] COMMIT_BUY,QXEQWDUSMg 
[75195] BUY,QXEQWDUSMg,XBE,686.13 
[75221] COMMIT_BUY,QXEQWDUSMg 
[75351] SELL,QXEQWDUSMg,QAX,461.24 
[75390] COMMIT_SELL,QXEQWDUSMg 
[75507] SET_SELL_AMOUNT,QXEQWDUSMg,IFN,332.61 
[75554] SET_SELL_TRIGGER,QXEQWDUSMg,IFN,330.68 
[75569] SET_SELL_TRIGGER,QXEQWDUSMg,IZJ,167.61 
[75689] SET_SELL_AMOUNT,QXEQWDUSMg,KBN,439.67 
[75805] QUOTE,QXEQWDUSMg,HEJ 
[75825] CANCEL_SET_SELL,QXEQWDUSMg,KBN 
[75951] SELL,QXEQWDUSMg,OPN,115.76 
[75995] DISPLAY_SUMMARY,QXEQWDUSMg 
[76110] ADD,QXEQWDUSMg,82917.26 
[76195] BUY,QXEQWDUSMg,QTH,526.48 
[76300] CANCEL_SET_SELL,QXEQWDUSMg,SSW 
[76314] BUY,QXEQWDUSMg,YTT,165.70 
[76356] COMMIT_SELL,QXEQWDUSMg 
[76740] ADD,QXEQWDUSMg,72603.29 
[76808] SET_BUY_TRIGGER,QXEQWDUSMg,RFI,26.09 
[76845] SELL,QXEQWDUSMg,NHG,29.04 
[76880] CANCEL_SET_BUY,QXEQWDUSMg,VKB 
[76982] BUY,QXEQWDUSMg,PGV,457.77 
[77083] CANCEL_SET_BUY,QXEQWDUSMg,MOM 
[77169] DISPLAY_SUMMARY,QXEQWDUSMg 
[77263] ADD,QXEQWDUSMg,87337.17 
[77284] QUOTE,QXEQWDUSMg,MAX 
[77422] DISPLAY_SUMMARY,QXEQWDUSMg 
[77862] ADD,QXEQWDUSMg,87760.52 
[77893] BUY,QXEQWDUSMg,HIW,408.66 
[78125] CANCEL_SET_BUY,QXEQWDUSMg,SOT 
[78158] SET_SELL_TRIGGER,QXEQWDUSMg,OZT,150.60 
[78199] BUY,QXEQWDUSMg,AOU,431.56 
[78232] COMMIT_BUY,QXEQWDUSMg 
[78262] BUY,QXEQWDUSMg,YEW,722.14 
[78327] QUOTE,QXEQWDUSMg,QJZ 
[78428] SET_BUY_AMOUNT,QXEQWDUSMg,NHG,313.44 
[78441] SET_BUY_TRIGGER,QXEQWDUSMg,DXL,131.81 
[78509] ADD,QXEQWDUSMg,71086.48 
[78536] QUOTE,QXEQWDUSMg,XXQ 
[78563] BUY,QXEQWDUSMg,QNW,397.94 
[78570] SELL,QXEQWDUSMg,CEC,572.20 
[78710] CANCEL_SELL,QXEQWDUSMg 
[78714] ADD,QXEQWDUSMg,86210.63 
[78765] BUY,QXEQWDUSMg,RQF,310.08 
[78802] CANCEL_BUY,QXEQWDUSMg 
[78847] DISPLAY_SUMMARY,QXEQWDUSMg 
[78971] SELL,QXEQWDUSMg,BYA,121.81 
[79289] COMMIT_SELL,QXEQWDUSMg 
[79365] DISPLAY_SUMMARY,QXEQWDUSMg 
[79492] QUOTE,QXEQWDUSMg,SWD 
[79611] QUOTE,QXEQWDUSMg,SAJ 
[79828] SET_BUY_TRIGGER,QXEQWDUSMg,WYA,47.57 
[80057] ADD,QXEQWDUSMg,85351.55 
[80321] BUY,QXEQWDUSMg,ZYF,43.44 
[80411] SET_SELL_AMOUNT,QXEQWDUSMg,YJK,79.44 
[80419] BUY,QXEQWDUSMg,RYU,91.17 
[80555] COMMIT_BUY,QXEQWDUSMg 
[81042] BUY,QXEQWDUSMg,XSS,259.33 
[81083] COMMIT_BUY,QXEQWDUSMg 
[81126] DISPLAY_SUMMARY,QXEQWDUSMg 
[81156] ADD,QXEQWDUSMg,53669.80 
[81213] BUY,QXEQWDUSMg,TAR,189.08 
[81235] SET_BUY_AMOUNT,QXEQWDUSMg,VTY,458.74 
[81264] SET_BUY_TRIGGER,QXEQWDUSMg,INB,109.28 
[81282] SET_BUY_TRIGGER,QXEQWDUSMg,RGM,110.20 
[81320] SET_SELL_AMOUNT,QXEQWDUSMg,CSZ,105.09 
[81386] QUOTE,QXEQWDUSMg,QPR 
[81414] SET_BUY_TRIGGER,QXEQWDUSMg,KYX,164.36 
[81500] SET_BUY_AMOUNT,QXEQWDUSMg,DFE,179.34 
[81540] SET_BUY_TRIGGER,QXEQWDUSMg,JJW,59.91 
[81623] BUY,QXEQWDUSMg,NVN,77.44 
[81864] DISPLAY_SUMMARY,QXEQWDUSMg 
[81889] SET_SELL_AMOUNT,QXEQWDUSMg,EBS,420.62 
[81897] SET_SELL_TRIGGER,QXEQWDUSMg,EBS,31.99 
[81943] ADD,QXEQWDUSMg,105716.09 
[82009] SET_SELL_TRIGGER,QXEQWDUSMg,VOU,129.80 
[82476] ADD,QXEQWDUSMg,52628.68 
[82548] BUY,QXEQWDUSMg,ECI,585.34 
[82737] DISPLAY_SUMMARY,QXEQWDUSMg 
[82739] SET_SELL_AMOUNT,QXEQWDUSMg,JCQ,327.58 
[82748] SET_SELL_TRIGGER,QXEQWDUSMg,JCQ,122.26 
[82813] SELL,QXEQWDUSMg,OPN,224.64 
[82864] COMMIT_SELL,QXEQWDUSMg 
[82896] ADD,QXEQWDUSMg,68347.10 
[82955] CANCEL_BUY,QXEQWDUSMg 
[82958] DISPLAY_SUMMARY,QXEQWDUSMg 
[83146] SET_BUY_AMOUNT,QXEQWDUSMg,JQO,262.10 
[83252] SET_BUY_TRIGGER,QXEQWDUSMg,GCW,24.17 
[83436] DISPLAY_SUMMARY,QXEQWDUSMg 
[83547] SET_BUY_AMOUNT,QXEQWDUSMg,EBS,731.96 
[83602] QUOTE,QXEQWDUSMg,JGF 
[83663] SET_SELL_TRIGGER,QXEQWDUSMg,KAR,97.85 
[83676] BUY,QXEQWDUSMg,IBT,700.72 
[83702] SET_SELL_AMOUNT,QXEQWDUSMg,UBJ,160.42 
[83732] SET_SELL_TRIGGER,QXEQWDUSMg,UBJ,42.12 
[83770] SET_BUY_TRIGGER,QXEQWDUSMg,GAL,634.86 
[83896] QUOTE,QXEQWDUSMg,TFZ 
[83924] SELL,QXEQWDUSMg,RNK,141.95 
[84125] BUY,QXEQWDUSMg,VKB,529.65 
[84147] COMMIT_BUY,QXEQWDUSMg 
[84446] CANCEL_SET_SELL,QXEQWDUSMg,VMD 
[84453] BUY,QXEQWDUSMg,SQO,227.44 
[84460] CANCEL_SET_BUY,QXEQWDUSMg,AED 
[84494] ADD,QXEQWDUSMg,71831.31 
[84514] BUY,QXEQWDUSMg,RDK,167.84 
[84746] SET_SELL_AMOUNT,QXEQWDUSMg,GYF,385.34 
[84828] SET_SELL_TRIGGER,QXEQWDUSMg,GYF,255.98 
[85028] SET_SELL_TRIGGER,QXEQWDUSMg,ZMA,125.46 
[85152] SET_BUY_AMOUNT,QXEQWDUSMg,EBS,29.45 
[85204] SET_BUY_TRIGGER,QXEQWDUSMg,KPE,10.10 
[85347] SET_SELL_AMOUNT,QXEQWDUSMg,CBO,4.66 
[85402] DISPLAY_SUMMARY,QXEQWDUSMg 
[85451] CANCEL_SET_SELL,QXEQWDUSMg,CBO 
[85703] ADD,QXEQWDUSMg,77781.98 
[86003] BUY,QXEQWDUSMg,FOW,560.23 
[86053] COMMIT_BUY,QXEQWDUSMg 
[86085] CANCEL_BUY,QXEQWDUSMg 
[86096] BUY,QXEQWDUSMg,VFH,593.62 
[86097] CANCEL_SELL,QXEQWDUSMg 
[86211] DISPLAY_SUMMARY,QXEQWDUSMg 
[86287] BUY,QXEQWDUSMg,TOL,9.93 
[86411] COMMIT_BUY,QXEQWDUSMg 
[86601] CANCEL_SET_BUY,QXEQWDUSMg,UTL 
[86603] SET_SELL_AMOUNT,QXEQWDUSMg,GYF,105.38 
[86933] SET_SELL_TRIGGER,QXEQWDUSMg,GYF,60.52 
[86947] SET_BUY_AMOUNT,QXEQWDUSMg,RUN,246.10 
[86951] SET_BUY_TRIGGER,QXEQWDUSMg,MKE,45.26 
[87006] SET_SELL_AMOUNT,QXEQWDUSMg,XQC,342.27 
[87205] DISPLAY_SUMMARY,QXEQWDUSMg 
[87349] ADD,QXEQWDUSMg,61653.11 
[87523] QUOTE,QXEQWDUSMg,ZTI 
[87583] ADD,QXEQWDUSMg,98606.18 
[87652] QUOTE,QXEQWDUSMg,QGE 
[87720] QUOTE,QXEQWDUSMg,UJC 
[87743] BUY,QXEQWDUSMg,SKW,96.50 
[87782] CANCEL_BUY,QXEQWDUSMg 
[87827] DISPLAY_SUMMARY,QXEQWDUSMg 
[87880] SET_BUY_TRIGGER,QXEQWDUSMg,QAA,129.73 
[88044] ADD,QXEQWDUSMg,69719.93 
[88047] QUOTE,QXEQWDUSMg,BOS 
[88140] BUY,QXEQWDUSMg,MQP,452.48 
[88233] COMMIT_BUY,QXEQWDUSMg 
[88248] SET_BUY_AMOUNT,QXEQWDUSMg,FDI,544.59 
[88303] SET_BUY_TRIGGER,QXEQWDUSMg,OBO,314.65 
[88419] CANCEL_SET_BUY,QXEQWDUSMg,WSG 
