[79] ADD,Z5Z6RJO7ho,85370.45 
[47138] COMMIT_SELL,Z5Z6RJO7ho 
[47213] QUOTE,Z5Z6RJO7ho,CMD 
[47250] QUOTE,Z5Z6RJO7ho,TYV 
[47316] QUOTE,Z5Z6RJO7ho,BTD 
[47346] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[47648] CANCEL_SET_SELL,Z5Z6RJO7ho,JRJ 
[47672] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[47878] QUOTE,Z5Z6RJO7ho,ZDB 
[47890] SET_SELL_AMOUNT,Z5Z6RJO7ho,OPN,523.42 
[48076] SET_SELL_TRIGGER,Z5Z6RJO7ho,OPN,405.00 
[48160] QUOTE,Z5Z6RJO7ho,KEV 
[48244] COMMIT_BUY,Z5Z6RJO7ho 
[48345] CANCEL_SET_SELL,Z5Z6RJO7ho,JTY 
[48411] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[48439] BUY,Z5Z6RJO7ho,BBC,263.99 
[48613] BUY,Z5Z6RJO7ho,JXR,699.11 
[48682] COMMIT_BUY,Z5Z6RJO7ho 
[48693] SELL,Z5Z6RJO7ho,OPN,35.58 
[48891] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[49012] BUY,Z5Z6RJO7ho,QXW,668.36 
[49359] COMMIT_BUY,Z5Z6RJO7ho 
[49506] CANCEL_SELL,Z5Z6RJO7ho 
[49532] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[49534] ADD,Z5Z6RJO7ho,89982.92 
[49552] BUY,Z5Z6RJO7ho,DXL,261.61 
[49649] CANCEL_BUY,Z5Z6RJO7ho 
[49683] CANCEL_SET_BUY,Z5Z6RJO7ho,UIE 
[49964] SELL,Z5Z6RJO7ho,PTP,698.43 
[50003] SET_BUY_AMOUNT,Z5Z6RJO7ho,NHG,682.92 
[50024] CANCEL_SET_BUY,Z5Z6RJO7ho,TAR 
[50035] ADD,Z5Z6RJO7ho,60811.26 
[50446] BUY,Z5Z6RJO7ho,SKY,538.92 
[50508] QUOTE,Z5Z6RJO7ho,JQJ 
[50704] SET_BUY_AMOUNT,Z5Z6RJO7ho,OEY,725.83 
[50787] SET_BUY_TRIGGER,Z5Z6RJO7ho,CVP,413.94 
[50802] SET_SELL_AMOUNT,Z5Z6RJO7ho,FDI,561.06 
[50901] SET_SELL_TRIGGER,Z5Z6RJO7ho,FDI,558.81 
[50944] SELL,Z5Z6RJO7ho,PTP,167.12 
[50985] COMMIT_SELL,Z5Z6RJO7ho 
[51017] QUOTE,Z5Z6RJO7ho,PGV 
[51052] QUOTE,Z5Z6RJO7ho,AVX 
[51062] SET_BUY_TRIGGER,Z5Z6RJO7ho,CLQ,90.76 
[51078] CANCEL_SET_BUY,Z5Z6RJO7ho,TXB 
[51105] SET_BUY_TRIGGER,Z5Z6RJO7ho,OXK,188.55 
[51248] QUOTE,Z5Z6RJO7ho,LLF 
[51354] QUOTE,Z5Z6RJO7ho,LSG 
[51420] BUY,Z5Z6RJO7ho,NGH,23.06 
[51819] COMMIT_BUY,Z5Z6RJO7ho 
[51921] SET_BUY_AMOUNT,Z5Z6RJO7ho,KES,131.19 
[51940] SET_BUY_TRIGGER,Z5Z6RJO7ho,WGV,64.87 
[52013] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[52569] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[52749] QUOTE,Z5Z6RJO7ho,KRX 
[52929] BUY,Z5Z6RJO7ho,RVU,148.43 
[53027] COMMIT_BUY,Z5Z6RJO7ho 
[53174] QUOTE,Z5Z6RJO7ho,GCW 
[53219] QUOTE,Z5Z6RJO7ho,QNW 
[53321] QUOTE,Z5Z6RJO7ho,CMA 
[53525] BUY,Z5Z6RJO7ho,ZRJ,211.06 
[53559] COMMIT_BUY,Z5Z6RJO7ho 
[53563] SELL,Z5Z6RJO7ho,KES,443.60 
[53665] ADD,Z5Z6RJO7ho,74181.43 
[53702] BUY,Z5Z6RJO7ho,WXV,697.44 
[53781] COMMIT_BUY,Z5Z6RJO7ho 
[53910] ADD,Z5Z6RJO7ho,75545.26 
[53969] BUY,Z5Z6RJO7ho,ECX,131.19 
[54133] SELL,Z5Z6RJO7ho,XXQ,528.23 
[54143] CANCEL_SELL,Z5Z6RJO7ho 
[54382] SET_SELL_TRIGGER,Z5Z6RJO7ho,GCL,9.94 
[54412] SELL,Z5Z6RJO7ho,JZJ,87.15 
[54415] SET_BUY_TRIGGER,Z5Z6RJO7ho,DTG,23.82 
[54467] SET_SELL_TRIGGER,Z5Z6RJO7ho,SQO,77.78 
[54481] SELL,Z5Z6RJO7ho,BYA,397.30 
[54485] QUOTE,Z5Z6RJO7ho,PTP 
[54497] SET_SELL_AMOUNT,Z5Z6RJO7ho,JRJ,270.71 
[54499] SET_SELL_TRIGGER,Z5Z6RJO7ho,JRJ,80.10 
[54548] QUOTE,Z5Z6RJO7ho,WKD 
[54561] SET_BUY_TRIGGER,Z5Z6RJO7ho,VND,0.17 
[54657] SET_SELL_AMOUNT,Z5Z6RJO7ho,ZYR,449.03 
[54770] SET_SELL_TRIGGER,Z5Z6RJO7ho,ZYR,80.93 
[54813] SET_SELL_AMOUNT,Z5Z6RJO7ho,EBS,271.09 
[54851] SET_SELL_TRIGGER,Z5Z6RJO7ho,EBS,42.33 
[54984] BUY,Z5Z6RJO7ho,HBF,183.69 
[55086] COMMIT_BUY,Z5Z6RJO7ho 
[55110] SELL,Z5Z6RJO7ho,LFU,424.70 
[55135] BUY,Z5Z6RJO7ho,XCL,478.44 
[55462] CANCEL_SELL,Z5Z6RJO7ho 
[55474] QUOTE,Z5Z6RJO7ho,AAC 
[55501] BUY,Z5Z6RJO7ho,PJJ,740.56 
[55549] COMMIT_BUY,Z5Z6RJO7ho 
[55595] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[55792] ADD,Z5Z6RJO7ho,73221.51 
[55842] BUY,Z5Z6RJO7ho,EOY,31.69 
[56011] SET_BUY_AMOUNT,Z5Z6RJO7ho,JQO,477.07 
[56033] BUY,Z5Z6RJO7ho,XFH,21.34 
[56367] COMMIT_BUY,Z5Z6RJO7ho 
[56432] QUOTE,Z5Z6RJO7ho,YBO 
[56592] QUOTE,Z5Z6RJO7ho,LEA 
[56638] ADD,Z5Z6RJO7ho,100680.26 
[56656] QUOTE,Z5Z6RJO7ho,ZRJ 
[56661] COMMIT_SELL,Z5Z6RJO7ho 
[56712] SET_BUY_TRIGGER,Z5Z6RJO7ho,NAR,362.84 
[56727] QUOTE,Z5Z6RJO7ho,BLC 
[56835] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[56934] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[57027] ADD,Z5Z6RJO7ho,73184.23 
[57146] QUOTE,Z5Z6RJO7ho,OQW 
[57367] QUOTE,Z5Z6RJO7ho,LRS 
[57369] BUY,Z5Z6RJO7ho,JUJ,251.56 
[57412] SELL,Z5Z6RJO7ho,CUZ,624.20 
[57639] COMMIT_SELL,Z5Z6RJO7ho 
[57668] SET_SELL_AMOUNT,Z5Z6RJO7ho,PTP,471.31 
[57694] SET_SELL_TRIGGER,Z5Z6RJO7ho,PTP,341.87 
[57799] ADD,Z5Z6RJO7ho,81435.64 
[58094] QUOTE,Z5Z6RJO7ho,JFJ 
[58279] BUY,Z5Z6RJO7ho,HRJ,246.28 
[58348] SET_SELL_TRIGGER,Z5Z6RJO7ho,FDI,85.10 
[58360] SET_SELL_AMOUNT,Z5Z6RJO7ho,OPN,462.27 
[58435] SET_SELL_TRIGGER,Z5Z6RJO7ho,OPN,53.92 
[58592] CANCEL_SET_SELL,Z5Z6RJO7ho,QTH 
[58676] SET_SELL_AMOUNT,Z5Z6RJO7ho,OEY,116.53 
[58715] CANCEL_SET_SELL,Z5Z6RJO7ho,OEY 
[58883] ADD,Z5Z6RJO7ho,87604.79 
[58971] QUOTE,Z5Z6RJO7ho,PHJ 
[59043] QUOTE,Z5Z6RJO7ho,RFC 
[59069] BUY,Z5Z6RJO7ho,PFN,126.56 
[59080] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[59167] ADD,Z5Z6RJO7ho,76738.71 
[59196] CANCEL_SET_SELL,Z5Z6RJO7ho,YZC 
[59231] ADD,Z5Z6RJO7ho,83310.47 
[59338] QUOTE,Z5Z6RJO7ho,BBC 
[59361] QUOTE,Z5Z6RJO7ho,NHG 
[59386] SET_BUY_AMOUNT,Z5Z6RJO7ho,JQO,341.03 
[59499] BUY,Z5Z6RJO7ho,WRJ,308.67 
[59830] COMMIT_BUY,Z5Z6RJO7ho 
[59861] SET_BUY_AMOUNT,Z5Z6RJO7ho,RUN,120.77 
[60174] SET_BUY_TRIGGER,Z5Z6RJO7ho,SHP,77.66 
[60239] ADD,Z5Z6RJO7ho,88041.99 
[60328] BUY,Z5Z6RJO7ho,DJD,430.27 
[60517] COMMIT_BUY,Z5Z6RJO7ho 
[60581] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[60613] SET_SELL_TRIGGER,Z5Z6RJO7ho,FRB,177.37 
[60653] SET_SELL_TRIGGER,Z5Z6RJO7ho,BTA,29.68 
[60661] ADD,Z5Z6RJO7ho,54212.74 
[61049] QUOTE,Z5Z6RJO7ho,MIU 
[61202] BUY,Z5Z6RJO7ho,DXL,480.84 
[61254] CANCEL_SET_BUY,Z5Z6RJO7ho,MQX 
[61359] BUY,Z5Z6RJO7ho,CXN,9.58 
[61360] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[61414] SET_BUY_AMOUNT,Z5Z6RJO7ho,CBO,538.06 
[61461] SET_BUY_TRIGGER,Z5Z6RJO7ho,PTC,396.90 
[61495] BUY,Z5Z6RJO7ho,SYL,117.54 
[61559] COMMIT_BUY,Z5Z6RJO7ho 
[61744] ADD,Z5Z6RJO7ho,65370.76 
[61867] QUOTE,Z5Z6RJO7ho,OLI 
[62099] BUY,Z5Z6RJO7ho,PVH,300.22 
[62263] ADD,Z5Z6RJO7ho,64652.45 
[62340] CANCEL_BUY,Z5Z6RJO7ho 
[62471] QUOTE,Z5Z6RJO7ho,QID 
[62676] SET_BUY_TRIGGER,Z5Z6RJO7ho,KNM,163.87 
[62684] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[62720] QUOTE,Z5Z6RJO7ho,LPW 
[62823] CANCEL_BUY,Z5Z6RJO7ho 
[62843] SET_BUY_TRIGGER,Z5Z6RJO7ho,YQC,34.41 
[63109] BUY,Z5Z6RJO7ho,ZFT,404.65 
[63412] COMMIT_BUY,Z5Z6RJO7ho 
[63482] SET_SELL_TRIGGER,Z5Z6RJO7ho,MIQ,47.38 
[63548] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[63639] ADD,Z5Z6RJO7ho,72136.17 
[63655] SET_BUY_TRIGGER,Z5Z6RJO7ho,GUW,112.02 
[63704] ADD,Z5Z6RJO7ho,59672.85 
[63875] QUOTE,Z5Z6RJO7ho,JLK 
[63927] SET_BUY_TRIGGER,Z5Z6RJO7ho,AMI,167.78 
[64115] QUOTE,Z5Z6RJO7ho,TSU 
[64168] BUY,Z5Z6RJO7ho,JUN,667.61 
[64210] CANCEL_SET_BUY,Z5Z6RJO7ho,ZHB 
[64381] ADD,Z5Z6RJO7ho,82709.78 
[64408] QUOTE,Z5Z6RJO7ho,ZJQ 
[64480] CANCEL_SET_SELL,Z5Z6RJO7ho,ZDB 
[64513] BUY,Z5Z6RJO7ho,DTG,544.03 
[64626] COMMIT_BUY,Z5Z6RJO7ho 
[64700] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[64864] SET_SELL_TRIGGER,Z5Z6RJO7ho,ZQC,2.26 
[64879] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[64904] SET_SELL_TRIGGER,Z5Z6RJO7ho,BEG,117.40 
[64978] QUOTE,Z5Z6RJO7ho,WOJ 
[64989] QUOTE,Z5Z6RJO7ho,ZTI 
[65038] SET_BUY_TRIGGER,Z5Z6RJO7ho,WQC,122.03 
[65221] ADD,Z5Z6RJO7ho,40168.63 
[65231] QUOTE,Z5Z6RJO7ho,TCP 
[65315] SELL,Z5Z6RJO7ho,RNK,585.45 
[65605] COMMIT_SELL,Z5Z6RJO7ho 
[65670] SET_BUY_AMOUNT,Z5Z6RJO7ho,JQO,749.25 
[65807] CANCEL_SET_BUY,Z5Z6RJO7ho,SZI 
[65946] SET_BUY_TRIGGER,Z5Z6RJO7ho,JIO,150.23 
[65989] SET_BUY_AMOUNT,Z5Z6RJO7ho,EBS,418.09 
[66135] BUY,Z5Z6RJO7ho,YPL,96.38 
[66146] CANCEL_SET_SELL,Z5Z6RJO7ho,GQV 
[66308] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[66384] SET_SELL_TRIGGER,Z5Z6RJO7ho,XQG,186.85 
[66402] ADD,Z5Z6RJO7ho,62262.76 
[66420] BUY,Z5Z6RJO7ho,GGI,34.92 
[66432] QUOTE,Z5Z6RJO7ho,MMY 
[66541] COMMIT_SELL,Z5Z6RJO7ho 
[66578] SET_BUY_AMOUNT,Z5Z6RJO7ho,FQP,459.16 
[66882] SET_BUY_TRIGGER,Z5Z6RJO7ho,FXT,456.63 
[66938] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[66950] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[66972] BUY,Z5Z6RJO7ho,NDO,458.02 
[67350] COMMIT_BUY,Z5Z6RJO7ho 
[67422] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[67477] ADD,Z5Z6RJO7ho,82741.56 
[67605] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[67616] ADD,Z5Z6RJO7ho,83634.61 
[67649] QUOTE,Z5Z6RJO7ho,CWA 
[67667] BUY,Z5Z6RJO7ho,WJB,78.21 
[67719] CANCEL_SELL,Z5Z6RJO7ho 
[67916] BUY,Z5Z6RJO7ho,JVT,307.22 
[67922] COMMIT_BUY,Z5Z6RJO7ho 
[67952] ADD,Z5Z6RJO7ho,91879.17 
[68024] BUY,Z5Z6RJO7ho,ZJB,510.46 
[68181] SET_BUY_AMOUNT,Z5Z6RJO7ho,FDI,534.29 
[68189] SET_BUY_TRIGGER,Z5Z6RJO7ho,DWC,508.74 
[68327] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[68467] SET_BUY_AMOUNT,Z5Z6RJO7ho,SUS,116.22 
[68518] SET_BUY_TRIGGER,Z5Z6RJO7ho,FFN,37.07 
[68552] ADD,Z5Z6RJO7ho,57714.19 
[68557] BUY,Z5Z6RJO7ho,RVZ,508.25 
[68593] SELL,Z5Z6RJO7ho,DFE,48.68 
[68603] COMMIT_SELL,Z5Z6RJO7ho 
[69109] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[69342] QUOTE,Z5Z6RJO7ho,DKV 
[69604] SET_SELL_AMOUNT,Z5Z6RJO7ho,QGE,393.38 
[69618] SET_SELL_TRIGGER,Z5Z6RJO7ho,QGE,81.73 
[69812] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[69830] BUY,Z5Z6RJO7ho,UDM,502.12 
[69937] CANCEL_BUY,Z5Z6RJO7ho 
[69946] SET_SELL_AMOUNT,Z5Z6RJO7ho,ZAN,273.15 
[70007] SET_SELL_TRIGGER,Z5Z6RJO7ho,ZAN,76.94 
[70214] ADD,Z5Z6RJO7ho,63968.00 
[70274] BUY,Z5Z6RJO7ho,NNW,131.05 
[70361] COMMIT_BUY,Z5Z6RJO7ho 
[70576] ADD,Z5Z6RJO7ho,65373.80 
[70604] QUOTE,Z5Z6RJO7ho,HPN 
[70617] ADD,Z5Z6RJO7ho,81744.30 
[70638] BUY,Z5Z6RJO7ho,SSW,651.28 
[70659] BUY,Z5Z6RJO7ho,CLQ,582.02 
[70994] SET_SELL_AMOUNT,Z5Z6RJO7ho,PTP,271.59 
[71277] SET_SELL_TRIGGER,Z5Z6RJO7ho,PTP,150.99 
[71284] SET_SELL_TRIGGER,Z5Z6RJO7ho,VVV,116.64 
[71329] SET_SELL_TRIGGER,Z5Z6RJO7ho,MXD,198.63 
[71481] ADD,Z5Z6RJO7ho,69060.99 
[71485] QUOTE,Z5Z6RJO7ho,JNO 
[71607] SET_BUY_TRIGGER,Z5Z6RJO7ho,HEK,114.76 
[71618] ADD,Z5Z6RJO7ho,60344.07 
[71757] BUY,Z5Z6RJO7ho,DED,708.15 
[71822] COMMIT_BUY,Z5Z6RJO7ho 
[71872] SELL,Z5Z6RJO7ho,SSF,446.60 
[71893] COMMIT_SELL,Z5Z6RJO7ho 
[71985] SET_SELL_TRIGGER,Z5Z6RJO7ho,OTD,5.91 
[72005] SELL,Z5Z6RJO7ho,CBO,717.20 
[72035] COMMIT_SELL,Z5Z6RJO7ho 
[72461] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[72613] ADD,Z5Z6RJO7ho,73612.90 
[72674] QUOTE,Z5Z6RJO7ho,ZAN 
[72804] QUOTE,Z5Z6RJO7ho,GPL 
[72814] SET_SELL_TRIGGER,Z5Z6RJO7ho,JQJ,167.16 
[73182] SET_SELL_TRIGGER,Z5Z6RJO7ho,UTD,185.63 
[73263] SET_SELL_TRIGGER,Z5Z6RJO7ho,EOY,54.25 
[73279] SET_SELL_AMOUNT,Z5Z6RJO7ho,VTY,269.72 
[73472] SET_SELL_TRIGGER,Z5Z6RJO7ho,VTY,227.84 
[73592] ADD,Z5Z6RJO7ho,73811.58 
[73621] QUOTE,Z5Z6RJO7ho,BYA 
[73645] QUOTE,Z5Z6RJO7ho,KAR 
[73654] CANCEL_SET_BUY,Z5Z6RJO7ho,ILT 
[73844] SELL,Z5Z6RJO7ho,VTY,218.57 
[73874] COMMIT_SELL,Z5Z6RJO7ho 
[73929] QUOTE,Z5Z6RJO7ho,QVK 
[74083] BUY,Z5Z6RJO7ho,QXW,579.77 
[74164] COMMIT_BUY,Z5Z6RJO7ho 
[74195] SET_BUY_TRIGGER,Z5Z6RJO7ho,XPX,112.96 
[74253] ADD,Z5Z6RJO7ho,84340.61 
[74547] SET_SELL_AMOUNT,Z5Z6RJO7ho,QAX,388.33 
[74583] SET_SELL_TRIGGER,Z5Z6RJO7ho,QAX,379.31 
[74600] ADD,Z5Z6RJO7ho,80683.52 
[74618] BUY,Z5Z6RJO7ho,JCQ,488.63 
[74876] CANCEL_SELL,Z5Z6RJO7ho 
[75040] QUOTE,Z5Z6RJO7ho,EOS 
[75367] QUOTE,Z5Z6RJO7ho,ZRJ 
[75371] BUY,Z5Z6RJO7ho,KAR,635.95 
[75382] CANCEL_BUY,Z5Z6RJO7ho 
[75587] COMMIT_SELL,Z5Z6RJO7ho 
[75593] SET_SELL_TRIGGER,Z5Z6RJO7ho,HFI,129.20 
[75668] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[75674] BUY,Z5Z6RJO7ho,GWS,239.67 
[75701] SET_SELL_TRIGGER,Z5Z6RJO7ho,YIU,76.44 
[75707] BUY,Z5Z6RJO7ho,SJZ,698.53 
[75722] COMMIT_BUY,Z5Z6RJO7ho 
[75731] BUY,Z5Z6RJO7ho,OIY,454.81 
[75740] COMMIT_BUY,Z5Z6RJO7ho 
[75775] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[75794] COMMIT_SELL,Z5Z6RJO7ho 
[75854] SET_SELL_AMOUNT,Z5Z6RJO7ho,KDA,370.04 
[75892] SELL,Z5Z6RJO7ho,UBJ,331.23 
[75904] SET_SELL_AMOUNT,Z5Z6RJO7ho,UIE,132.37 
[75915] CANCEL_SET_SELL,Z5Z6RJO7ho,UIE 
[76017] ADD,Z5Z6RJO7ho,57735.91 
[76209] BUY,Z5Z6RJO7ho,BTP,592.09 
[76224] CANCEL_BUY,Z5Z6RJO7ho 
[76294] SELL,Z5Z6RJO7ho,KYX,381.18 
[76422] COMMIT_SELL,Z5Z6RJO7ho 
[76564] SET_BUY_TRIGGER,Z5Z6RJO7ho,CGW,114.98 
[76618] SELL,Z5Z6RJO7ho,JCQ,171.57 
[76660] COMMIT_SELL,Z5Z6RJO7ho 
[76811] SET_SELL_TRIGGER,Z5Z6RJO7ho,GHE,45.69 
[76917] SET_SELL_AMOUNT,Z5Z6RJO7ho,KYX,552.48 
[77159] SET_SELL_TRIGGER,Z5Z6RJO7ho,KYX,192.54 
[77170] SET_BUY_TRIGGER,Z5Z6RJO7ho,UDN,129.73 
[77303] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[77336] QUOTE,Z5Z6RJO7ho,QXE 
[77380] BUY,Z5Z6RJO7ho,CSZ,273.62 
[77409] COMMIT_SELL,Z5Z6RJO7ho 
[77560] SET_BUY_AMOUNT,Z5Z6RJO7ho,BYA,370.40 
[77681] SET_BUY_TRIGGER,Z5Z6RJO7ho,MFX,196.26 
[77809] CANCEL_SET_SELL,Z5Z6RJO7ho,LSW 
[77843] SET_BUY_AMOUNT,Z5Z6RJO7ho,IFN,484.82 
[77888] SET_BUY_TRIGGER,Z5Z6RJO7ho,LZB,97.25 
[77892] QUOTE,Z5Z6RJO7ho,WKD 
[78030] SET_BUY_TRIGGER,Z5Z6RJO7ho,LUD,52.11 
[78081] BUY,Z5Z6RJO7ho,RWM,236.58 
[78122] COMMIT_BUY,Z5Z6RJO7ho 
[78288] ADD,Z5Z6RJO7ho,61080.68 
[78343] ADD,Z5Z6RJO7ho,72411.66 
[78357] QUOTE,Z5Z6RJO7ho,VFH 
[78432] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[78956] SET_BUY_AMOUNT,Z5Z6RJO7ho,NHG,96.87 
[79031] SET_BUY_TRIGGER,Z5Z6RJO7ho,EBS,35.07 
[79337] SET_SELL_TRIGGER,Z5Z6RJO7ho,AQO,30.22 
[79363] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[79368] QUOTE,Z5Z6RJO7ho,ZOT 
[79413] SET_BUY_AMOUNT,Z5Z6RJO7ho,CBO,601.66 
[79474] SET_BUY_TRIGGER,Z5Z6RJO7ho,BXH,322.26 
[79505] SET_BUY_TRIGGER,Z5Z6RJO7ho,URD,195.31 
[79640] SET_SELL_TRIGGER,Z5Z6RJO7ho,XLK,99.25 
[79805] SET_SELL_TRIGGER,Z5Z6RJO7ho,DHA,56.59 
[79861] SET_SELL_AMOUNT,Z5Z6RJO7ho,MXD,460.27 
[79956] SET_SELL_TRIGGER,Z5Z6RJO7ho,MXD,374.48 
[80213] BUY,Z5Z6RJO7ho,KMZ,207.98 
[80437] CANCEL_SELL,Z5Z6RJO7ho 
[80496] ADD,Z5Z6RJO7ho,81408.64 
[80615] BUY,Z5Z6RJO7ho,DIX,441.05 
[80735] BUY,Z5Z6RJO7ho,WFR,245.27 
[80901] COMMIT_BUY,Z5Z6RJO7ho 
[81007] ADD,Z5Z6RJO7ho,63669.92 
[81055] QUOTE,Z5Z6RJO7ho,KPU 
[81105] COMMIT_SELL,Z5Z6RJO7ho 
[81266] SET_SELL_AMOUNT,Z5Z6RJO7ho,RGH,155.67 
[81303] SET_SELL_TRIGGER,Z5Z6RJO7ho,RGH,153.00 
[81400] ADD,Z5Z6RJO7ho,84115.57 
[81437] BUY,Z5Z6RJO7ho,ZQC,112.32 
[81546] SET_SELL_AMOUNT,Z5Z6RJO7ho,KES,319.65 
[81555] CANCEL_SET_SELL,Z5Z6RJO7ho,KES 
[81574] SELL,Z5Z6RJO7ho,LFU,87.11 
[81646] CANCEL_BUY,Z5Z6RJO7ho 
[81757] SET_BUY_TRIGGER,Z5Z6RJO7ho,DVA,195.06 
[81769] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[81786] SET_BUY_AMOUNT,Z5Z6RJO7ho,ZYR,243.13 
[81811] SET_BUY_TRIGGER,Z5Z6RJO7ho,NUL,58.79 
[81852] ADD,Z5Z6RJO7ho,68632.50 
[82101] SELL,Z5Z6RJO7ho,GYF,472.72 
[82263] COMMIT_SELL,Z5Z6RJO7ho 
[82417] SET_BUY_TRIGGER,Z5Z6RJO7ho,UDN,194.16 
[82452] BUY,Z5Z6RJO7ho,URI,159.27 
[82457] CANCEL_SET_BUY,Z5Z6RJO7ho,RRE 
[82474] SET_BUY_TRIGGER,Z5Z6RJO7ho,ZMA,70.79 
[82479] ADD,Z5Z6RJO7ho,69214.13 
[82578] SET_BUY_TRIGGER,Z5Z6RJO7ho,BMW,64.70 
[82717] BUY,Z5Z6RJO7ho,ZPD,236.89 
[82779] COMMIT_BUY,Z5Z6RJO7ho 
[82911] BUY,Z5Z6RJO7ho,ZDB,383.01 
[82949] COMMIT_BUY,Z5Z6RJO7ho 
[83287] ADD,Z5Z6RJO7ho,80598.46 
[83493] SET_BUY_TRIGGER,Z5Z6RJO7ho,KNM,77.83 
[83544] ADD,Z5Z6RJO7ho,70695.01 
[83600] BUY,Z5Z6RJO7ho,OYS,434.05 
[83617] BUY,Z5Z6RJO7ho,BTP,636.76 
[83626] COMMIT_BUY,Z5Z6RJO7ho 
[83730] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[83771] BUY,Z5Z6RJO7ho,EGX,728.52 
[84031] SET_BUY_AMOUNT,Z5Z6RJO7ho,JQO,128.14 
[84252] SET_BUY_TRIGGER,Z5Z6RJO7ho,PBX,87.24 
[84393] SET_BUY_AMOUNT,Z5Z6RJO7ho,JCQ,164.86 
[84574] SELL,Z5Z6RJO7ho,XXQ,492.61 
[84664] CANCEL_BUY,Z5Z6RJO7ho 
[84816] ADD,Z5Z6RJO7ho,83041.67 
[85118] BUY,Z5Z6RJO7ho,FFN,114.15 
[85221] CANCEL_SELL,Z5Z6RJO7ho 
[85523] SELL,Z5Z6RJO7ho,SSF,386.78 
[85527] CANCEL_SELL,Z5Z6RJO7ho 
[85537] ADD,Z5Z6RJO7ho,44124.96 
[85547] QUOTE,Z5Z6RJO7ho,SZI 
[85668] QUOTE,Z5Z6RJO7ho,CEC 
[85843] BUY,Z5Z6RJO7ho,KXF,309.43 
[85847] COMMIT_BUY,Z5Z6RJO7ho 
[85869] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[85889] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[85918] BUY,Z5Z6RJO7ho,VVO,349.31 
[86048] COMMIT_BUY,Z5Z6RJO7ho 
[86056] BUY,Z5Z6RJO7ho,XPX,117.20 
[86112] COMMIT_BUY,Z5Z6RJO7ho 
[86228] SET_BUY_TRIGGER,Z5Z6RJO7ho,JUV,38.07 
[86522] ADD,Z5Z6RJO7ho,83927.61 
[86539] CANCEL_SET_SELL,Z5Z6RJO7ho,OOT 
[86577] QUOTE,Z5Z6RJO7ho,SHP 
[86728] SELL,Z5Z6RJO7ho,FQP,367.65 
[87050] COMMIT_SELL,Z5Z6RJO7ho 
[87056] SELL,Z5Z6RJO7ho,ZTI,699.71 
[87199] CANCEL_SELL,Z5Z6RJO7ho 
[87275] SET_SELL_TRIGGER,Z5Z6RJO7ho,HWO,18.23 
[87378] ADD,Z5Z6RJO7ho,47437.37 
[87397] QUOTE,Z5Z6RJO7ho,PXY 
[87425] QUOTE,Z5Z6RJO7ho,JIC 
[87430] SELL,Z5Z6RJO7ho,XLK,532.18 
[87470] CANCEL_SELL,Z5Z6RJO7ho 
[87535] SELL,Z5Z6RJO7ho,ZTI,152.84 
[87554] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[87589] SELL,Z5Z6RJO7ho,FQP,667.07 
[87908] CANCEL_BUY,Z5Z6RJO7ho 
[88197] SET_SELL_AMOUNT,Z5Z6RJO7ho,QGE,459.09 
[88216] SET_SELL_TRIGGER,Z5Z6RJO7ho,QGE,439.45 
[88259] CANCEL_SELL,Z5Z6RJO7ho 
[88277] SELL,Z5Z6RJO7ho,OZO,529.96 
[88323] SET_SELL_AMOUNT,Z5Z6RJO7ho,SUS,504.00 
