[44] ADD,CetaglZj6n,60419.65 
[51825] SET_BUY_AMOUNT,CetaglZj6n,RGH,264.05 
[51925] SET_BUY_TRIGGER,CetaglZj6n,IZS,68.86 
[51988] ADD,CetaglZj6n,84008.53 
[52027] ADD,CetaglZj6n,64205.43 
[52103] SELL,CetaglZj6n,GYF,566.44 
[52165] COMMIT_SELL,CetaglZj6n 
[52256] DISPLAY_SUMMARY,CetaglZj6n 
[52403] CANCEL_SELL,CetaglZj6n 
[52597] ADD,CetaglZj6n,90469.68 
[52604] BUY,CetaglZj6n,HSH,630.69 
[52761] QUOTE,CetaglZj6n,IVV 
[52864] COMMIT_SELL,CetaglZj6n 
[52916] ADD,CetaglZj6n,73596.86 
[52992] QUOTE,CetaglZj6n,UDQ 
[53062] ADD,CetaglZj6n,77740.49 
[53134] QUOTE,CetaglZj6n,XWZ 
[53152] SET_SELL_AMOUNT,CetaglZj6n,QJZ,678.59 
[53189] SET_SELL_TRIGGER,CetaglZj6n,QJZ,457.48 
[53330] SET_SELL_AMOUNT,CetaglZj6n,KES,594.25 
[53407] SET_SELL_TRIGGER,CetaglZj6n,KES,323.20 
[53450] QUOTE,CetaglZj6n,ZWB 
[53452] BUY,CetaglZj6n,SYE,535.78 
[53473] COMMIT_BUY,CetaglZj6n 
[53629] SET_BUY_AMOUNT,CetaglZj6n,OEY,70.54 
[53863] SET_BUY_TRIGGER,CetaglZj6n,WLT,3.37 
[53981] SELL,CetaglZj6n,QAX,318.71 
[54101] COMMIT_SELL,CetaglZj6n 
[54256] SET_SELL_AMOUNT,CetaglZj6n,QJZ,38.79 
[54581] SET_SELL_TRIGGER,CetaglZj6n,QJZ,7.48 
[54725] SET_SELL_TRIGGER,CetaglZj6n,JPP,178.63 
[54751] SET_BUY_AMOUNT,CetaglZj6n,UTV,233.44 
[54876] SET_BUY_TRIGGER,CetaglZj6n,HQU,216.45 
[54959] SET_BUY_AMOUNT,CetaglZj6n,JZJ,498.26 
[55088] SET_BUY_TRIGGER,CetaglZj6n,ZFK,293.90 
[55154] SELL,CetaglZj6n,RNK,409.69 
[55183] CANCEL_SELL,CetaglZj6n 
[55196] SET_BUY_TRIGGER,CetaglZj6n,DBC,21.31 
[55403] BUY,CetaglZj6n,JUV,160.79 
[55500] CANCEL_BUY,CetaglZj6n 
[55704] SELL,CetaglZj6n,KDA,155.54 
[55800] COMMIT_SELL,CetaglZj6n 
[55865] SET_BUY_TRIGGER,CetaglZj6n,JUE,163.38 
[55932] SET_SELL_AMOUNT,CetaglZj6n,GYF,569.00 
[56136] SET_SELL_TRIGGER,CetaglZj6n,GYF,87.22 
[56146] SET_BUY_AMOUNT,CetaglZj6n,XXQ,303.25 
[56192] SET_BUY_TRIGGER,CetaglZj6n,APY,32.99 
[56197] SELL,CetaglZj6n,YJK,585.95 
[56281] SET_SELL_AMOUNT,CetaglZj6n,BCQ,287.49 
[56402] SET_SELL_TRIGGER,CetaglZj6n,BCQ,229.96 
[56472] SELL,CetaglZj6n,YJK,481.60 
[56492] COMMIT_SELL,CetaglZj6n 
[56529] DISPLAY_SUMMARY,CetaglZj6n 
[56783] ADD,CetaglZj6n,77516.73 
[56929] DISPLAY_SUMMARY,CetaglZj6n 
[57175] ADD,CetaglZj6n,64245.53 
[57263] QUOTE,CetaglZj6n,EHF 
[57279] BUY,CetaglZj6n,QID,555.03 
[57564] QUOTE,CetaglZj6n,DRO 
[57676] QUOTE,CetaglZj6n,LMB 
[57697] QUOTE,CetaglZj6n,KPP 
[57706] SET_BUY_AMOUNT,CetaglZj6n,RUN,642.27 
[57720] SET_BUY_TRIGGER,CetaglZj6n,NEV,635.23 
[57772] DISPLAY_SUMMARY,CetaglZj6n 
[57791] SET_SELL_TRIGGER,CetaglZj6n,QID,144.79 
[57841] DISPLAY_SUMMARY,CetaglZj6n 
[58058] SET_BUY_TRIGGER,CetaglZj6n,FIY,145.63 
[58223] ADD,CetaglZj6n,58487.15 
[58295] QUOTE,CetaglZj6n,YVS 
[58570] COMMIT_BUY,CetaglZj6n 
[58584] SELL,CetaglZj6n,UTV,255.30 
[58718] COMMIT_SELL,CetaglZj6n 
[58873] ADD,CetaglZj6n,65622.70 
[59174] BUY,CetaglZj6n,DMW,653.42 
[59200] COMMIT_BUY,CetaglZj6n 
[59244] CANCEL_BUY,CetaglZj6n 
[59342] DISPLAY_SUMMARY,CetaglZj6n 
[59368] SET_SELL_TRIGGER,CetaglZj6n,QGE,146.89 
[59649] ADD,CetaglZj6n,68010.46 
[59726] BUY,CetaglZj6n,KJM,234.80 
[59809] COMMIT_BUY,CetaglZj6n 
[59840] ADD,CetaglZj6n,83957.57 
[59925] BUY,CetaglZj6n,PHU,560.94 
[59970] COMMIT_BUY,CetaglZj6n 
[60026] ADD,CetaglZj6n,62094.17 
[60126] BUY,CetaglZj6n,SEI,219.11 
[60325] DISPLAY_SUMMARY,CetaglZj6n 
[60765] ADD,CetaglZj6n,60694.56 
[60852] QUOTE,CetaglZj6n,HIW 
[60862] BUY,CetaglZj6n,URA,327.04 
[60937] SET_SELL_AMOUNT,CetaglZj6n,KDA,391.71 
[61135] SET_SELL_TRIGGER,CetaglZj6n,KDA,146.27 
[61205] SELL,CetaglZj6n,PTP,524.14 
[61209] COMMIT_SELL,CetaglZj6n 
[61650] DISPLAY_SUMMARY,CetaglZj6n 
[61666] DISPLAY_SUMMARY,CetaglZj6n 
[61721] SET_BUY_TRIGGER,CetaglZj6n,EMN,180.08 
[62039] SET_SELL_AMOUNT,CetaglZj6n,XLK,636.89 
[62487] SELL,CetaglZj6n,FQP,109.54 
[62638] COMMIT_SELL,CetaglZj6n 
[62825] DISPLAY_SUMMARY,CetaglZj6n 
[62827] DISPLAY_SUMMARY,CetaglZj6n 
[62928] ADD,CetaglZj6n,52413.07 
[63016] BUY,CetaglZj6n,LJZ,523.73 
[63179] COMMIT_BUY,CetaglZj6n 
[63334] ADD,CetaglZj6n,74500.38 
[63336] QUOTE,CetaglZj6n,YNH 
[63348] BUY,CetaglZj6n,LLF,67.63 
[63358] COMMIT_BUY,CetaglZj6n 
[63369] DISPLAY_SUMMARY,CetaglZj6n 
[63499] BUY,CetaglZj6n,AHO,680.47 
[63649] ADD,CetaglZj6n,82838.71 
[63679] QUOTE,CetaglZj6n,BLC 
[63693] BUY,CetaglZj6n,GJQ,493.48 
[63731] COMMIT_BUY,CetaglZj6n 
[63958] CANCEL_BUY,CetaglZj6n 
[64046] QUOTE,CetaglZj6n,EWP 
[64231] CANCEL_BUY,CetaglZj6n 
[64377] DISPLAY_SUMMARY,CetaglZj6n 
[64434] DISPLAY_SUMMARY,CetaglZj6n 
[64448] DISPLAY_SUMMARY,CetaglZj6n 
[64628] COMMIT_BUY,CetaglZj6n 
[64697] CANCEL_SELL,CetaglZj6n 
[64868] SET_SELL_AMOUNT,CetaglZj6n,SUS,289.89 
[64975] SET_SELL_TRIGGER,CetaglZj6n,SUS,151.21 
[64985] BUY,CetaglZj6n,ZJB,27.95 
[65095] SELL,CetaglZj6n,GRM,516.02 
[65302] QUOTE,CetaglZj6n,EUM 
[65307] QUOTE,CetaglZj6n,GPL 
[65325] BUY,CetaglZj6n,GCL,598.01 
[65414] COMMIT_BUY,CetaglZj6n 
[65532] BUY,CetaglZj6n,HMR,265.66 
[65809] DISPLAY_SUMMARY,CetaglZj6n 
[65823] ADD,CetaglZj6n,80984.25 
[66141] BUY,CetaglZj6n,PJW,457.88 
[66218] COMMIT_BUY,CetaglZj6n 
[66239] SET_SELL_TRIGGER,CetaglZj6n,APY,184.06 
[66253] SELL,CetaglZj6n,VTY,635.04 
[66266] COMMIT_SELL,CetaglZj6n 
[66457] SET_SELL_TRIGGER,CetaglZj6n,MLU,173.37 
[66643] ADD,CetaglZj6n,81279.62 
[66694] BUY,CetaglZj6n,LGL,590.08 
[66721] BUY,CetaglZj6n,ISQ,554.82 
[66792] ADD,CetaglZj6n,77925.23 
[66852] QUOTE,CetaglZj6n,DDA 
[66970] BUY,CetaglZj6n,JGO,497.66 
[67323] CANCEL_SET_BUY,CetaglZj6n,AIN 
[67524] ADD,CetaglZj6n,64111.14 
[67737] BUY,CetaglZj6n,MIR,251.02 
[67749] COMMIT_BUY,CetaglZj6n 
[67891] CANCEL_SET_SELL,CetaglZj6n,TZJ 
[68203] DISPLAY_SUMMARY,CetaglZj6n 
[68221] DISPLAY_SUMMARY,CetaglZj6n 
[68418] ADD,CetaglZj6n,49644.58 
[68485] QUOTE,CetaglZj6n,ULL 
[68692] QUOTE,CetaglZj6n,NGZ 
[68812] BUY,CetaglZj6n,AOH,321.98 
[68959] COMMIT_BUY,CetaglZj6n 
[69114] SELL,CetaglZj6n,JQO,161.48 
[69462] SET_BUY_AMOUNT,CetaglZj6n,QJZ,494.75 
[69615] CANCEL_SET_BUY,CetaglZj6n,YIU 
[69718] SET_BUY_TRIGGER,CetaglZj6n,YNY,181.45 
[69856] SET_SELL_TRIGGER,CetaglZj6n,BPK,144.33 
[70011] DISPLAY_SUMMARY,CetaglZj6n 
[70169] ADD,CetaglZj6n,77458.31 
[70176] QUOTE,CetaglZj6n,YWC 
[70179] BUY,CetaglZj6n,EHF,499.93 
[70331] SELL,CetaglZj6n,YJK,649.30 
[70691] COMMIT_SELL,CetaglZj6n 
[70843] BUY,CetaglZj6n,KVK,715.15 
[70887] COMMIT_BUY,CetaglZj6n 
[70917] DISPLAY_SUMMARY,CetaglZj6n 
[70934] SET_BUY_TRIGGER,CetaglZj6n,ZMK,48.47 
[71005] SELL,CetaglZj6n,ZAN,467.99 
[71168] CANCEL_SELL,CetaglZj6n 
[71397] ADD,CetaglZj6n,72664.03 
[71425] BUY,CetaglZj6n,ZWC,228.25 
[71494] CANCEL_BUY,CetaglZj6n 
[71541] DISPLAY_SUMMARY,CetaglZj6n 
[71731] SELL,CetaglZj6n,QJZ,613.81 
[71749] CANCEL_SELL,CetaglZj6n 
[71843] QUOTE,CetaglZj6n,EDM 
[71856] CANCEL_BUY,CetaglZj6n 
[71870] COMMIT_BUY,CetaglZj6n 
[71889] DISPLAY_SUMMARY,CetaglZj6n 
[72251] SET_SELL_AMOUNT,CetaglZj6n,YDS,437.72 
[72275] SET_SELL_TRIGGER,CetaglZj6n,YDS,291.65 
[72283] SET_SELL_AMOUNT,CetaglZj6n,KBN,219.46 
[72296] DISPLAY_SUMMARY,CetaglZj6n 
[72500] DISPLAY_SUMMARY,CetaglZj6n 
[72502] SELL,CetaglZj6n,JRJ,102.91 
[72568] COMMIT_SELL,CetaglZj6n 
[72637] ADD,CetaglZj6n,55621.03 
[72724] CANCEL_BUY,CetaglZj6n 
[72857] DISPLAY_SUMMARY,CetaglZj6n 
[72892] SET_SELL_TRIGGER,CetaglZj6n,KBN,134.77 
[72952] QUOTE,CetaglZj6n,KAO 
[72953] QUOTE,CetaglZj6n,OAV 
[73133] BUY,CetaglZj6n,IQZ,490.58 
[73274] COMMIT_BUY,CetaglZj6n 
[73306] SELL,CetaglZj6n,YJK,496.66 
[73521] COMMIT_SELL,CetaglZj6n 
[73613] SELL,CetaglZj6n,LZV,682.34 
[73687] ADD,CetaglZj6n,74280.83 
[73825] QUOTE,CetaglZj6n,VBO 
[74003] BUY,CetaglZj6n,HTD,580.28 
[74013] COMMIT_BUY,CetaglZj6n 
[74095] CANCEL_SELL,CetaglZj6n 
[74121] DISPLAY_SUMMARY,CetaglZj6n 
[74239] SELL,CetaglZj6n,QJZ,514.29 
[74448] COMMIT_SELL,CetaglZj6n 
[74530] SET_BUY_TRIGGER,CetaglZj6n,QQW,20.43 
[74535] SET_BUY_AMOUNT,CetaglZj6n,NHG,326.00 
[74764] SET_BUY_TRIGGER,CetaglZj6n,TQX,301.30 
[74855] SET_SELL_AMOUNT,CetaglZj6n,ZAN,24.31 
[74991] SET_SELL_TRIGGER,CetaglZj6n,ZAN,15.04 
[75005] ADD,CetaglZj6n,62791.42 
[75032] BUY,CetaglZj6n,XXN,334.99 
[75056] CANCEL_SELL,CetaglZj6n 
[75278] CANCEL_SET_BUY,CetaglZj6n,JRY 
[75460] SET_BUY_AMOUNT,CetaglZj6n,DFE,61.43 
[75520] SET_BUY_TRIGGER,CetaglZj6n,PFN,35.81 
[75526] SET_SELL_TRIGGER,CetaglZj6n,ZGN,53.77 
[75603] DISPLAY_SUMMARY,CetaglZj6n 
[75684] BUY,CetaglZj6n,IUN,271.85 
[75727] COMMIT_BUY,CetaglZj6n 
[75760] SET_BUY_TRIGGER,CetaglZj6n,OZO,99.36 
[75822] BUY,CetaglZj6n,MER,635.94 
[75840] SELL,CetaglZj6n,FDI,519.23 
[76003] QUOTE,CetaglZj6n,NFV 
[76031] ADD,CetaglZj6n,64546.27 
[76040] BUY,CetaglZj6n,XII,714.33 
[76054] COMMIT_BUY,CetaglZj6n 
[76060] QUOTE,CetaglZj6n,UUJ 
[76097] COMMIT_BUY,CetaglZj6n 
[76220] QUOTE,CetaglZj6n,THH 
[76247] SET_BUY_TRIGGER,CetaglZj6n,VIG,19.28 
[76419] SET_BUY_TRIGGER,CetaglZj6n,LKK,59.17 
[76605] SET_SELL_TRIGGER,CetaglZj6n,OXK,177.79 
[76830] SET_SELL_TRIGGER,CetaglZj6n,ZAO,150.54 
[77119] ADD,CetaglZj6n,77817.92 
[77176] BUY,CetaglZj6n,HPN,364.51 
[77234] QUOTE,CetaglZj6n,OYS 
[77306] BUY,CetaglZj6n,RNE,306.76 
[77343] COMMIT_BUY,CetaglZj6n 
[77520] DISPLAY_SUMMARY,CetaglZj6n 
[77552] ADD,CetaglZj6n,99807.01 
[77752] BUY,CetaglZj6n,MJU,387.51 
[77829] COMMIT_BUY,CetaglZj6n 
[77902] BUY,CetaglZj6n,GCW,475.21 
[77912] COMMIT_BUY,CetaglZj6n 
[78127] BUY,CetaglZj6n,GGY,462.03 
[78179] SET_BUY_TRIGGER,CetaglZj6n,QXE,54.38 
[78282] CANCEL_BUY,CetaglZj6n 
[78297] BUY,CetaglZj6n,ZFJ,10.48 
[78329] COMMIT_BUY,CetaglZj6n 
[78332] DISPLAY_SUMMARY,CetaglZj6n 
[78459] SET_SELL_TRIGGER,CetaglZj6n,AJL,157.20 
[78544] QUOTE,CetaglZj6n,BFU 
[78601] QUOTE,CetaglZj6n,UGG 
[78654] QUOTE,CetaglZj6n,NHG 
[78715] BUY,CetaglZj6n,XBL,672.27 
[78728] SET_SELL_AMOUNT,CetaglZj6n,AVX,650.56 
[78781] CANCEL_SET_SELL,CetaglZj6n,AVX 
[78808] ADD,CetaglZj6n,78507.95 
[78835] BUY,CetaglZj6n,OYS,69.86 
[78941] COMMIT_BUY,CetaglZj6n 
[79017] SET_SELL_TRIGGER,CetaglZj6n,CXW,58.21 
[79211] ADD,CetaglZj6n,80550.51 
[79531] QUOTE,CetaglZj6n,KQZ 
[79540] SELL,CetaglZj6n,YDS,248.31 
[79700] COMMIT_SELL,CetaglZj6n 
[79795] BUY,CetaglZj6n,JUJ,517.55 
[79857] CANCEL_BUY,CetaglZj6n 
[79868] SET_SELL_TRIGGER,CetaglZj6n,YBP,71.82 
[79928] SET_SELL_TRIGGER,CetaglZj6n,WXV,150.64 
[80017] SELL,CetaglZj6n,OPN,609.74 
[80053] COMMIT_SELL,CetaglZj6n 
[80062] SET_BUY_TRIGGER,CetaglZj6n,TAR,110.61 
[80183] CANCEL_SET_SELL,CetaglZj6n,JMX 
[80201] BUY,CetaglZj6n,ZMS,336.17 
[80212] COMMIT_BUY,CetaglZj6n 
[80347] QUOTE,CetaglZj6n,IHW 
[80409] BUY,CetaglZj6n,LLD,344.25 
[80429] CANCEL_SELL,CetaglZj6n 
[80500] ADD,CetaglZj6n,46747.68 
[80504] QUOTE,CetaglZj6n,XOL 
[80508] SET_BUY_TRIGGER,CetaglZj6n,CSZ,23.68 
[80527] ADD,CetaglZj6n,78960.00 
[80739] BUY,CetaglZj6n,DJD,692.21 
[80947] COMMIT_BUY,CetaglZj6n 
[81260] CANCEL_SET_SELL,CetaglZj6n,QVA 
[81285] SET_BUY_AMOUNT,CetaglZj6n,JZJ,201.79 
[81621] SET_BUY_TRIGGER,CetaglZj6n,XAN,16.99 
[81784] BUY,CetaglZj6n,EAK,131.92 
[81800] CANCEL_BUY,CetaglZj6n 
[81801] SELL,CetaglZj6n,CSZ,645.25 
[81860] COMMIT_SELL,CetaglZj6n 
[81912] DISPLAY_SUMMARY,CetaglZj6n 
[82018] SET_SELL_AMOUNT,CetaglZj6n,XXQ,64.14 
[82024] SET_SELL_TRIGGER,CetaglZj6n,XXQ,23.42 
[82046] ADD,CetaglZj6n,62193.59 
[82221] BUY,CetaglZj6n,WYD,66.42 
[82494] CANCEL_BUY,CetaglZj6n 
[82690] SET_SELL_AMOUNT,CetaglZj6n,KBN,553.85 
[82749] SET_SELL_TRIGGER,CetaglZj6n,KBN,25.02 
[82782] DISPLAY_SUMMARY,CetaglZj6n 
[82889] QUOTE,CetaglZj6n,QOD 
[82917] BUY,CetaglZj6n,AMI,177.56 
[83057] QUOTE,CetaglZj6n,AOC 
[83138] QUOTE,CetaglZj6n,WYO 
[83340] SET_BUY_TRIGGER,CetaglZj6n,SBT,59.58 
[83516] SET_SELL_TRIGGER,CetaglZj6n,OLI,175.35 
[83573] SET_SELL_TRIGGER,CetaglZj6n,UDM,146.81 
[83574] DISPLAY_SUMMARY,CetaglZj6n 
[83883] QUOTE,CetaglZj6n,AVH 
[84087] BUY,CetaglZj6n,KLY,414.33 
[84182] COMMIT_BUY,CetaglZj6n 
[84278] ADD,CetaglZj6n,75784.32 
[84316] BUY,CetaglZj6n,EDM,538.85 
[84325] CANCEL_BUY,CetaglZj6n 
[84347] SET_BUY_TRIGGER,CetaglZj6n,JZJ,95.30 
[84381] COMMIT_BUY,CetaglZj6n 
[84609] SET_BUY_TRIGGER,CetaglZj6n,WRN,150.71 
[84675] SELL,CetaglZj6n,MFX,10.18 
[84741] COMMIT_SELL,CetaglZj6n 
[84753] SELL,CetaglZj6n,UBJ,730.45 
[84802] COMMIT_SELL,CetaglZj6n 
[84858] SELL,CetaglZj6n,ZAN,294.43 
[85025] COMMIT_SELL,CetaglZj6n 
[85100] ADD,CetaglZj6n,77183.52 
[85352] BUY,CetaglZj6n,CLP,269.55 
[85379] DISPLAY_SUMMARY,CetaglZj6n 
[85393] SET_SELL_AMOUNT,CetaglZj6n,YJK,59.37 
[85395] BUY,CetaglZj6n,NJF,316.67 
[85478] CANCEL_BUY,CetaglZj6n 
[85709] ADD,CetaglZj6n,74388.65 
[85777] BUY,CetaglZj6n,FFN,210.27 
[85793] COMMIT_BUY,CetaglZj6n 
[85881] BUY,CetaglZj6n,TOL,9.70 
[86238] BUY,CetaglZj6n,RYU,670.40 
[86296] SET_SELL_AMOUNT,CetaglZj6n,YDS,305.75 
[86486] SET_SELL_TRIGGER,CetaglZj6n,YDS,224.61 
[86609] BUY,CetaglZj6n,HEJ,473.59 
[86690] CANCEL_SELL,CetaglZj6n 
[86787] SET_SELL_TRIGGER,CetaglZj6n,WKG,102.39 
[86884] DISPLAY_SUMMARY,CetaglZj6n 
[87030] SET_BUY_TRIGGER,CetaglZj6n,EUC,46.75 
[87262] DISPLAY_SUMMARY,CetaglZj6n 
[87657] DISPLAY_SUMMARY,CetaglZj6n 
[87704] SET_BUY_AMOUNT,CetaglZj6n,XLK,297.50 
[87760] QUOTE,CetaglZj6n,WKL 
[87817] BUY,CetaglZj6n,WJB,159.32 
[87839] SET_BUY_TRIGGER,CetaglZj6n,YLZ,245.99 
[88061] SELL,CetaglZj6n,LZV,400.71 
[88207] COMMIT_SELL,CetaglZj6n 
[88302] DISPLAY_SUMMARY,CetaglZj6n 
[88376] QUOTE,CetaglZj6n,XCL 
[88404] COMMIT_BUY,CetaglZj6n 
[88499] ADD,CetaglZj6n,60808.76 
[88587] COMMIT_BUY,CetaglZj6n 
[88592] QUOTE,CetaglZj6n,JNO 
[88917] BUY,CetaglZj6n,OTD,245.47 
[89011] COMMIT_BUY,CetaglZj6n 
[89152] QUOTE,CetaglZj6n,XYV 
[89242] BUY,CetaglZj6n,NUL,414.20 
[89354] COMMIT_BUY,CetaglZj6n 
[89496] DISPLAY_SUMMARY,CetaglZj6n 
[89534] SET_SELL_TRIGGER,CetaglZj6n,GIX,133.80 
[89642] BUY,CetaglZj6n,RJG,452.97 
[89798] ADD,CetaglZj6n,43737.36 
[89919] BUY,CetaglZj6n,NTT,251.23 
[89940] SET_SELL_TRIGGER,CetaglZj6n,KEO,187.35 
[89997] ADD,CetaglZj6n,74227.77 
[90011] BUY,CetaglZj6n,RRT,160.55 
[90373] COMMIT_BUY,CetaglZj6n 
[90381] BUY,CetaglZj6n,LQN,91.97 
[90438] COMMIT_BUY,CetaglZj6n 
[90472] SELL,CetaglZj6n,ZER,592.56 
[90570] BUY,CetaglZj6n,YRO,675.72 
[90664] CANCEL_BUY,CetaglZj6n 
[90801] SET_BUY_AMOUNT,CetaglZj6n,MXD,739.63 
[90823] CANCEL_SET_BUY,CetaglZj6n,SPL 
[90860] SELL,CetaglZj6n,FQP,118.53 
[91015] COMMIT_SELL,CetaglZj6n 
[91045] SET_BUY_AMOUNT,CetaglZj6n,ZER,189.07 
[91052] CANCEL_SET_BUY,CetaglZj6n,CSZ 
[91217] SET_SELL_AMOUNT,CetaglZj6n,QAX,384.97 
[91239] SET_SELL_TRIGGER,CetaglZj6n,QAX,219.30 
[91271] SET_BUY_AMOUNT,CetaglZj6n,CEC,244.39 
[91390] SET_BUY_TRIGGER,CetaglZj6n,DVA,10.07 
[91491] SELL,CetaglZj6n,ZYR,569.43 
[91655] COMMIT_SELL,CetaglZj6n 
[91675] BUY,CetaglZj6n,SYU,694.99 
[91688] BUY,CetaglZj6n,MXD,162.33 
[91743] COMMIT_BUY,CetaglZj6n 
[91819] SET_SELL_TRIGGER,CetaglZj6n,CLH,124.80 
[91879] SELL,CetaglZj6n,CBO,316.40 
[92131] BUY,CetaglZj6n,VKP,737.18 
[92202] QUOTE,CetaglZj6n,MSV 
[92203] CANCEL_BUY,CetaglZj6n 
[92229] SET_BUY_TRIGGER,CetaglZj6n,ATE,101.87 
[92322] ADD,CetaglZj6n,77704.10 
[92428] QUOTE,CetaglZj6n,ZMK 
[92498] QUOTE,CetaglZj6n,OZO 
[92505] CANCEL_SET_SELL,CetaglZj6n,DPG 
[92684] ADD,CetaglZj6n,83565.55 
[92835] QUOTE,CetaglZj6n,ZQC 
[92948] SET_BUY_AMOUNT,CetaglZj6n,ZAN,256.91 
[93065] SET_BUY_TRIGGER,CetaglZj6n,ZCQ,118.56 
[93105] ADD,CetaglZj6n,98422.06 
[93109] QUOTE,CetaglZj6n,NAW 
[93495] QUOTE,CetaglZj6n,BFU 
[93665] BUY,CetaglZj6n,STQ,354.54 
[93727] CANCEL_SELL,CetaglZj6n 
[93891] BUY,CetaglZj6n,EGB,316.62 
[93909] COMMIT_BUY,CetaglZj6n 
[94022] DISPLAY_SUMMARY,CetaglZj6n 
[94294] SET_BUY_TRIGGER,CetaglZj6n,JHY,109.52 
[94389] DISPLAY_SUMMARY,CetaglZj6n 
[94629] QUOTE,CetaglZj6n,NJT 
[94771] BUY,CetaglZj6n,DLQ,689.76 
[94783] DISPLAY_SUMMARY,CetaglZj6n 
[94860] DISPLAY_SUMMARY,CetaglZj6n 
[94955] DISPLAY_SUMMARY,CetaglZj6n 
[95006] ADD,CetaglZj6n,61221.37 
[95179] QUOTE,CetaglZj6n,SFR 
[95215] DISPLAY_SUMMARY,CetaglZj6n 
[95216] ADD,CetaglZj6n,38028.63 
[95385] BUY,CetaglZj6n,BTD,332.30 
[95480] COMMIT_BUY,CetaglZj6n 
[95501] SET_BUY_AMOUNT,CetaglZj6n,TKM,313.38 
[95646] SELL,CetaglZj6n,RGH,627.42 
[95683] COMMIT_SELL,CetaglZj6n 
[95687] DISPLAY_SUMMARY,CetaglZj6n 
[95792] QUOTE,CetaglZj6n,MWV 
[96150] CANCEL_SELL,CetaglZj6n 
[96286] QUOTE,CetaglZj6n,SWD 
[96300] QUOTE,CetaglZj6n,OQZ 
[96339] BUY,CetaglZj6n,VTY,11.20 
[96532] COMMIT_BUY,CetaglZj6n 
[96610] SET_BUY_AMOUNT,CetaglZj6n,UBJ,456.06 
[96688] DISPLAY_SUMMARY,CetaglZj6n 
[96742] ADD,CetaglZj6n,68528.17 
[96805] QUOTE,CetaglZj6n,SSL 
[97007] SET_BUY_AMOUNT,CetaglZj6n,JVT,450.00 
[97155] SET_BUY_TRIGGER,CetaglZj6n,GUW,184.19 
[97170] QUOTE,CetaglZj6n,QNK 
[97396] QUOTE,CetaglZj6n,GNY 
[97534] CANCEL_SELL,CetaglZj6n 
[97586] SET_SELL_TRIGGER,CetaglZj6n,ROW,4.99 
[97689] SELL,CetaglZj6n,SQI,7.83 
[97836] COMMIT_SELL,CetaglZj6n 
[97899] DISPLAY_SUMMARY,CetaglZj6n 
[97922] DISPLAY_SUMMARY,CetaglZj6n 
[97940] BUY,CetaglZj6n,QID,472.77 
[98053] COMMIT_BUY,CetaglZj6n 
[98062] SET_SELL_AMOUNT,CetaglZj6n,PTP,171.45 
[98079] SET_SELL_TRIGGER,CetaglZj6n,PTP,102.55 
[98139] QUOTE,CetaglZj6n,TKG 
[98181] QUOTE,CetaglZj6n,XAB 
[98205] BUY,CetaglZj6n,LPS,380.72 
[98436] DISPLAY_SUMMARY,CetaglZj6n 
[98680] DISPLAY_SUMMARY,CetaglZj6n 
[98779] ADD,CetaglZj6n,38659.10 
[98795] BUY,CetaglZj6n,MXN,668.00 
[99130] COMMIT_BUY,CetaglZj6n 
[99163] SELL,CetaglZj6n,ZAN,488.87 
[99234] COMMIT_SELL,CetaglZj6n 
[99463] BUY,CetaglZj6n,DRO,679.37 
[99507] COMMIT_BUY,CetaglZj6n 
[99553] ADD,CetaglZj6n,70550.62 
[99555] QUOTE,CetaglZj6n,CTI 
[99556] BUY,CetaglZj6n,AUT,293.51 
[99580] COMMIT_BUY,CetaglZj6n 
[99599] ADD,CetaglZj6n,83133.08 
[99859] BUY,CetaglZj6n,OOI,696.61 
