[26] ADD,NmnabmB6tO,67303.69 
[48140] ADD,NmnabmB6tO,85307.79 
[48271] QUOTE,NmnabmB6tO,ZWB 
[48504] SET_BUY_AMOUNT,NmnabmB6tO,JVT,346.80 
[48526] SET_BUY_TRIGGER,NmnabmB6tO,KVK,122.00 
[48592] SET_SELL_TRIGGER,NmnabmB6tO,WCR,178.99 
[48763] QUOTE,NmnabmB6tO,QPZ 
[48970] SET_SELL_TRIGGER,NmnabmB6tO,AXK,137.71 
[49054] SELL,NmnabmB6tO,ZYR,441.74 
[49102] COMMIT_SELL,NmnabmB6tO 
[49255] QUOTE,NmnabmB6tO,MSV 
[49303] BUY,NmnabmB6tO,HTN,56.84 
[49323] COMMIT_BUY,NmnabmB6tO 
[49366] QUOTE,NmnabmB6tO,SSF 
[49450] BUY,NmnabmB6tO,KAH,635.89 
[49628] COMMIT_BUY,NmnabmB6tO 
[49824] ADD,NmnabmB6tO,86640.53 
[49896] BUY,NmnabmB6tO,VJV,22.59 
[49957] CANCEL_SELL,NmnabmB6tO 
[49968] QUOTE,NmnabmB6tO,OXK 
[50069] QUOTE,NmnabmB6tO,XOA 
[50070] SET_BUY_AMOUNT,NmnabmB6tO,JVT,574.27 
[50159] QUOTE,NmnabmB6tO,DBT 
[50209] BUY,NmnabmB6tO,QWC,325.71 
[50611] COMMIT_BUY,NmnabmB6tO 
[50815] DISPLAY_SUMMARY,NmnabmB6tO 
[50848] SET_BUY_TRIGGER,NmnabmB6tO,RVZ,136.60 
[50893] ADD,NmnabmB6tO,95940.70 
[50922] QUOTE,NmnabmB6tO,ZPD 
[50923] BUY,NmnabmB6tO,XYV,568.39 
[51041] COMMIT_SELL,NmnabmB6tO 
[51088] SET_BUY_AMOUNT,NmnabmB6tO,UTV,222.87 
[51126] CANCEL_SET_BUY,NmnabmB6tO,FGI 
[51538] COMMIT_SELL,NmnabmB6tO 
[51570] ADD,NmnabmB6tO,101000.62 
[51596] BUY,NmnabmB6tO,LSM,13.44 
[51800] COMMIT_BUY,NmnabmB6tO 
[52054] QUOTE,NmnabmB6tO,TCP 
[52075] BUY,NmnabmB6tO,BLC,452.54 
[52150] CANCEL_BUY,NmnabmB6tO 
[52213] SET_SELL_TRIGGER,NmnabmB6tO,PMG,173.25 
[52253] DISPLAY_SUMMARY,NmnabmB6tO 
[52282] SELL,NmnabmB6tO,UTV,703.03 
[52332] ADD,NmnabmB6tO,60738.48 
[52471] QUOTE,NmnabmB6tO,XFH 
[52509] QUOTE,NmnabmB6tO,TZJ 
[52584] ADD,NmnabmB6tO,83215.95 
[52613] QUOTE,NmnabmB6tO,XXN 
[52684] QUOTE,NmnabmB6tO,RQT 
[52687] CANCEL_SELL,NmnabmB6tO 
[52715] DISPLAY_SUMMARY,NmnabmB6tO 
[52732] BUY,NmnabmB6tO,WJP,344.59 
[52796] COMMIT_BUY,NmnabmB6tO 
[52993] BUY,NmnabmB6tO,NBX,532.70 
[53141] CANCEL_SELL,NmnabmB6tO 
[53147] CANCEL_SET_BUY,NmnabmB6tO,SJH 
[53268] SET_SELL_TRIGGER,NmnabmB6tO,OEN,87.85 
[53282] SET_SELL_TRIGGER,NmnabmB6tO,MWJ,6.38 
[53357] QUOTE,NmnabmB6tO,SJG 
[53372] SET_SELL_AMOUNT,NmnabmB6tO,SSF,739.84 
[53404] SET_SELL_TRIGGER,NmnabmB6tO,SSF,634.35 
[53536] QUOTE,NmnabmB6tO,XLI 
[53605] QUOTE,NmnabmB6tO,YLZ 
[53706] BUY,NmnabmB6tO,SUS,22.15 
[53845] COMMIT_BUY,NmnabmB6tO 
[54160] DISPLAY_SUMMARY,NmnabmB6tO 
[54247] SELL,NmnabmB6tO,QGE,62.10 
[54281] COMMIT_SELL,NmnabmB6tO 
[54302] SELL,NmnabmB6tO,PTP,335.04 
[54389] COMMIT_SELL,NmnabmB6tO 
[54397] DISPLAY_SUMMARY,NmnabmB6tO 
[54404] ADD,NmnabmB6tO,57096.29 
[54471] BUY,NmnabmB6tO,RUN,338.59 
[54527] SET_SELL_TRIGGER,NmnabmB6tO,IQZ,50.23 
[54649] QUOTE,NmnabmB6tO,SWJ 
[54683] BUY,NmnabmB6tO,DQW,749.72 
[54735] COMMIT_BUY,NmnabmB6tO 
[54780] BUY,NmnabmB6tO,UGT,74.48 
[54894] BUY,NmnabmB6tO,APU,169.79 
[54949] CANCEL_SELL,NmnabmB6tO 
[54982] SET_BUY_AMOUNT,NmnabmB6tO,SUS,726.63 
[55012] SET_BUY_TRIGGER,NmnabmB6tO,WLT,484.47 
[55251] SET_BUY_TRIGGER,NmnabmB6tO,CSZ,68.07 
[55272] BUY,NmnabmB6tO,IGI,15.16 
[55338] CANCEL_SET_SELL,NmnabmB6tO,CXC 
[55423] DISPLAY_SUMMARY,NmnabmB6tO 
[55522] QUOTE,NmnabmB6tO,SWD 
[55551] BUY,NmnabmB6tO,SSF,645.74 
[55684] COMMIT_BUY,NmnabmB6tO 
[55699] SET_BUY_TRIGGER,NmnabmB6tO,VAT,182.92 
[55766] DISPLAY_SUMMARY,NmnabmB6tO 
[55785] SET_SELL_TRIGGER,NmnabmB6tO,ZRH,4.06 
[56132] ADD,NmnabmB6tO,72185.45 
[56194] SET_SELL_AMOUNT,NmnabmB6tO,JZJ,605.92 
[56236] SET_SELL_TRIGGER,NmnabmB6tO,JZJ,266.53 
[56352] CANCEL_SELL,NmnabmB6tO 
[56444] BUY,NmnabmB6tO,IVV,254.33 
[56497] SET_SELL_TRIGGER,NmnabmB6tO,ZTR,34.92 
[56525] ADD,NmnabmB6tO,85096.74 
[56593] SET_SELL_AMOUNT,NmnabmB6tO,GYF,630.20 
[56729] SET_SELL_TRIGGER,NmnabmB6tO,GYF,609.29 
[56823] SET_SELL_AMOUNT,NmnabmB6tO,MFX,446.07 
[57110] SET_SELL_TRIGGER,NmnabmB6tO,MFX,282.71 
[57133] ADD,NmnabmB6tO,79559.75 
[57247] QUOTE,NmnabmB6tO,DTG 
[57374] SET_SELL_TRIGGER,NmnabmB6tO,GGI,26.97 
[57538] ADD,NmnabmB6tO,77751.92 
[57562] QUOTE,NmnabmB6tO,ZJQ 
[57723] BUY,NmnabmB6tO,CBK,542.92 
[57899] ADD,NmnabmB6tO,53227.59 
[57912] QUOTE,NmnabmB6tO,QVA 
[57993] BUY,NmnabmB6tO,JPP,567.82 
[58097] COMMIT_BUY,NmnabmB6tO 
[58226] SET_SELL_TRIGGER,NmnabmB6tO,PFN,175.36 
[58449] CANCEL_SET_SELL,NmnabmB6tO,MGK 
[58776] DISPLAY_SUMMARY,NmnabmB6tO 
[58787] DISPLAY_SUMMARY,NmnabmB6tO 
[58816] SELL,NmnabmB6tO,RNK,224.89 
[59151] COMMIT_SELL,NmnabmB6tO 
[59307] ADD,NmnabmB6tO,84199.23 
[59430] CANCEL_SELL,NmnabmB6tO 
[59637] DISPLAY_SUMMARY,NmnabmB6tO 
[59652] SET_BUY_TRIGGER,NmnabmB6tO,OZT,42.18 
[59673] QUOTE,NmnabmB6tO,VXY 
[59702] BUY,NmnabmB6tO,KLY,315.01 
[59873] COMMIT_BUY,NmnabmB6tO 
[60023] DISPLAY_SUMMARY,NmnabmB6tO 
[60175] SET_SELL_TRIGGER,NmnabmB6tO,GUB,0.37 
[60307] DISPLAY_SUMMARY,NmnabmB6tO 
[60421] QUOTE,NmnabmB6tO,JMG 
[60452] BUY,NmnabmB6tO,OHS,142.82 
[60529] CANCEL_BUY,NmnabmB6tO 
[60777] QUOTE,NmnabmB6tO,QXE 
[60943] QUOTE,NmnabmB6tO,OTI 
[60956] BUY,NmnabmB6tO,UUJ,141.24 
[61089] CANCEL_SET_SELL,NmnabmB6tO,LJY 
[61218] ADD,NmnabmB6tO,52634.97 
[61231] QUOTE,NmnabmB6tO,WZY 
[61333] CANCEL_SET_BUY,NmnabmB6tO,UBJ 
[61487] BUY,NmnabmB6tO,GWF,591.86 
[61568] CANCEL_SET_SELL,NmnabmB6tO,TOL 
[61812] SET_SELL_AMOUNT,NmnabmB6tO,DFE,309.51 
[61814] SET_SELL_TRIGGER,NmnabmB6tO,DFE,268.63 
[61818] ADD,NmnabmB6tO,68471.86 
[61843] QUOTE,NmnabmB6tO,GZQ 
[61940] QUOTE,NmnabmB6tO,WAI 
[62107] SET_BUY_AMOUNT,NmnabmB6tO,UTV,375.41 
[62118] SET_BUY_TRIGGER,NmnabmB6tO,LMB,207.38 
[62120] DISPLAY_SUMMARY,NmnabmB6tO 
[62272] SET_SELL_TRIGGER,NmnabmB6tO,LJM,50.86 
[62352] ADD,NmnabmB6tO,57820.73 
[62403] BUY,NmnabmB6tO,KHY,4.60 
[62552] COMMIT_BUY,NmnabmB6tO 
[62583] CANCEL_SET_BUY,NmnabmB6tO,CXC 
[62606] ADD,NmnabmB6tO,64600.22 
[62682] QUOTE,NmnabmB6tO,SYN 
[62734] BUY,NmnabmB6tO,YLZ,433.96 
[62781] SET_BUY_AMOUNT,NmnabmB6tO,CUZ,615.11 
[62874] SET_BUY_TRIGGER,NmnabmB6tO,PJJ,568.11 
[62884] SELL,NmnabmB6tO,ZAN,136.22 
[62905] CANCEL_BUY,NmnabmB6tO 
[62925] BUY,NmnabmB6tO,JII,53.25 
[62938] COMMIT_BUY,NmnabmB6tO 
[63030] SELL,NmnabmB6tO,BYA,496.11 
[63231] COMMIT_SELL,NmnabmB6tO 
[63237] ADD,NmnabmB6tO,49084.51 
[63413] QUOTE,NmnabmB6tO,VYQ 
[63470] SET_BUY_TRIGGER,NmnabmB6tO,MIY,67.16 
[63479] CANCEL_SET_SELL,NmnabmB6tO,LCP 
[63561] BUY,NmnabmB6tO,CXC,25.13 
[63968] SELL,NmnabmB6tO,AVX,555.99 
[64154] COMMIT_SELL,NmnabmB6tO 
[64298] SET_BUY_TRIGGER,NmnabmB6tO,NDD,172.35 
[64671] ADD,NmnabmB6tO,72472.34 
[64689] QUOTE,NmnabmB6tO,HRJ 
[64882] ADD,NmnabmB6tO,62186.45 
[64918] BUY,NmnabmB6tO,TSU,577.64 
[65084] QUOTE,NmnabmB6tO,HTD 
[65196] BUY,NmnabmB6tO,FWW,120.77 
[65391] COMMIT_BUY,NmnabmB6tO 
[65423] ADD,NmnabmB6tO,56681.02 
[65524] QUOTE,NmnabmB6tO,UDN 
[65764] BUY,NmnabmB6tO,JVE,310.29 
[65774] COMMIT_BUY,NmnabmB6tO 
[65869] QUOTE,NmnabmB6tO,SYT 
[65922] BUY,NmnabmB6tO,FUR,8.74 
[66010] CANCEL_BUY,NmnabmB6tO 
[66029] SET_BUY_AMOUNT,NmnabmB6tO,KBN,571.21 
[66415] QUOTE,NmnabmB6tO,CSZ 
[66444] QUOTE,NmnabmB6tO,JNO 
[66630] BUY,NmnabmB6tO,QVA,550.78 
[66894] COMMIT_SELL,NmnabmB6tO 
[66928] SET_BUY_AMOUNT,NmnabmB6tO,PTP,346.79 
[66953] SET_BUY_TRIGGER,NmnabmB6tO,ZNZ,278.90 
[67057] SET_SELL_TRIGGER,NmnabmB6tO,QJC,31.74 
[67156] SET_BUY_TRIGGER,NmnabmB6tO,UIE,180.49 
[67414] BUY,NmnabmB6tO,JLO,363.05 
[67645] COMMIT_SELL,NmnabmB6tO 
[67694] ADD,NmnabmB6tO,91169.38 
[67893] QUOTE,NmnabmB6tO,GLJ 
[67943] BUY,NmnabmB6tO,LPR,587.57 
[68005] SET_SELL_TRIGGER,NmnabmB6tO,FTJ,7.28 
[68074] SET_BUY_AMOUNT,NmnabmB6tO,RGH,528.92 
[68226] SET_BUY_TRIGGER,NmnabmB6tO,MFY,391.19 
[68278] ADD,NmnabmB6tO,43953.47 
[68326] BUY,NmnabmB6tO,TAR,70.43 
[68409] BUY,NmnabmB6tO,AHO,520.75 
[68460] COMMIT_BUY,NmnabmB6tO 
[68463] SET_BUY_TRIGGER,NmnabmB6tO,LBC,191.34 
[68640] SET_BUY_TRIGGER,NmnabmB6tO,YUL,162.38 
[68835] SET_SELL_AMOUNT,NmnabmB6tO,BYA,199.11 
[69060] SET_SELL_TRIGGER,NmnabmB6tO,BYA,190.20 
[69097] QUOTE,NmnabmB6tO,FPI 
[69296] BUY,NmnabmB6tO,ZQS,499.30 
[69308] DISPLAY_SUMMARY,NmnabmB6tO 
[69366] SET_SELL_TRIGGER,NmnabmB6tO,VTY,128.61 
[69393] SET_BUY_AMOUNT,NmnabmB6tO,UTV,156.06 
[69562] DISPLAY_SUMMARY,NmnabmB6tO 
[69576] DISPLAY_SUMMARY,NmnabmB6tO 
[69603] QUOTE,NmnabmB6tO,XII 
[70067] SET_BUY_TRIGGER,NmnabmB6tO,NNW,141.82 
[70188] SET_BUY_AMOUNT,NmnabmB6tO,JZJ,417.59 
[70284] SET_BUY_TRIGGER,NmnabmB6tO,GAL,131.69 
[70548] SET_BUY_TRIGGER,NmnabmB6tO,ECL,174.92 
[70652] DISPLAY_SUMMARY,NmnabmB6tO 
[70666] DISPLAY_SUMMARY,NmnabmB6tO 
[70700] ADD,NmnabmB6tO,99367.12 
[70706] BUY,NmnabmB6tO,EMN,180.20 
[70999] CANCEL_BUY,NmnabmB6tO 
[71012] SET_BUY_TRIGGER,NmnabmB6tO,AOH,121.19 
[71089] BUY,NmnabmB6tO,JOJ,48.96 
[71319] QUOTE,NmnabmB6tO,ZNZ 
[71330] BUY,NmnabmB6tO,CJV,430.58 
[71416] SET_SELL_AMOUNT,NmnabmB6tO,GRM,269.49 
[71479] SET_SELL_TRIGGER,NmnabmB6tO,GRM,83.43 
[71486] QUOTE,NmnabmB6tO,GZU 
[71791] CANCEL_SET_SELL,NmnabmB6tO,CLH 
[71847] SELL,NmnabmB6tO,EBS,717.70 
[71953] COMMIT_SELL,NmnabmB6tO 
[72015] SET_SELL_AMOUNT,NmnabmB6tO,YJK,98.40 
[72111] SET_SELL_TRIGGER,NmnabmB6tO,YJK,20.12 
[72127] BUY,NmnabmB6tO,KHY,565.54 
[72185] COMMIT_BUY,NmnabmB6tO 
[72367] ADD,NmnabmB6tO,86961.01 
[72368] QUOTE,NmnabmB6tO,DVU 
[72394] BUY,NmnabmB6tO,CDF,21.21 
[72399] COMMIT_BUY,NmnabmB6tO 
[72443] CANCEL_SET_SELL,NmnabmB6tO,MXD 
[72610] DISPLAY_SUMMARY,NmnabmB6tO 
[72647] SET_SELL_AMOUNT,NmnabmB6tO,BYA,150.65 
[72663] SET_SELL_TRIGGER,NmnabmB6tO,BYA,140.43 
[72683] QUOTE,NmnabmB6tO,HMR 
[72735] SELL,NmnabmB6tO,GRM,550.16 
[72741] COMMIT_SELL,NmnabmB6tO 
[72743] SET_BUY_AMOUNT,NmnabmB6tO,RUN,366.03 
[72901] BUY,NmnabmB6tO,UEC,163.96 
[72977] COMMIT_BUY,NmnabmB6tO 
[73012] SET_BUY_AMOUNT,NmnabmB6tO,FDI,78.48 
[73027] DISPLAY_SUMMARY,NmnabmB6tO 
[73056] SET_SELL_AMOUNT,NmnabmB6tO,FQP,576.59 
[73255] BUY,NmnabmB6tO,JDW,375.61 
[73402] SET_BUY_TRIGGER,NmnabmB6tO,JGF,47.42 
[73410] ADD,NmnabmB6tO,69270.43 
[73637] QUOTE,NmnabmB6tO,KWP 
[73714] ADD,NmnabmB6tO,66369.00 
[73865] QUOTE,NmnabmB6tO,BPE 
[74047] BUY,NmnabmB6tO,YOQ,483.15 
[74048] COMMIT_BUY,NmnabmB6tO 
[74217] DISPLAY_SUMMARY,NmnabmB6tO 
[74284] DISPLAY_SUMMARY,NmnabmB6tO 
[74290] ADD,NmnabmB6tO,84551.04 
[74443] QUOTE,NmnabmB6tO,JPD 
[74570] QUOTE,NmnabmB6tO,MJU 
[74867] BUY,NmnabmB6tO,DLQ,739.97 
[75084] COMMIT_BUY,NmnabmB6tO 
[75224] ADD,NmnabmB6tO,77512.09 
[75259] DISPLAY_SUMMARY,NmnabmB6tO 
[75283] SET_BUY_TRIGGER,NmnabmB6tO,ZJB,140.08 
[75450] ADD,NmnabmB6tO,86399.57 
[75773] COMMIT_BUY,NmnabmB6tO 
[75880] ADD,NmnabmB6tO,62274.62 
[75889] BUY,NmnabmB6tO,WSG,363.74 
[75905] COMMIT_BUY,NmnabmB6tO 
[76192] SET_BUY_AMOUNT,NmnabmB6tO,QGE,69.66 
[76270] SET_BUY_TRIGGER,NmnabmB6tO,ZMK,3.09 
[76365] DISPLAY_SUMMARY,NmnabmB6tO 
[76447] BUY,NmnabmB6tO,LZB,625.85 
[76465] SET_BUY_AMOUNT,NmnabmB6tO,JVT,77.35 
[76540] SET_BUY_TRIGGER,NmnabmB6tO,IZU,52.62 
[76756] DISPLAY_SUMMARY,NmnabmB6tO 
[76782] BUY,NmnabmB6tO,VVO,268.55 
[77065] CANCEL_BUY,NmnabmB6tO 
[77283] ADD,NmnabmB6tO,70596.05 
[77358] SELL,NmnabmB6tO,RNK,492.50 
[77381] COMMIT_SELL,NmnabmB6tO 
[77387] ADD,NmnabmB6tO,86999.74 
[77616] BUY,NmnabmB6tO,EUM,284.23 
[77665] CANCEL_BUY,NmnabmB6tO 
[77674] SELL,NmnabmB6tO,XQC,125.30 
[77677] COMMIT_SELL,NmnabmB6tO 
[77716] QUOTE,NmnabmB6tO,QEO 
[77793] CANCEL_SELL,NmnabmB6tO 
[77847] SET_BUY_AMOUNT,NmnabmB6tO,KBN,503.55 
[77905] SET_BUY_TRIGGER,NmnabmB6tO,VXY,115.65 
[77948] ADD,NmnabmB6tO,73526.93 
[78036] BUY,NmnabmB6tO,MFY,328.22 
[78095] COMMIT_BUY,NmnabmB6tO 
[78181] SET_SELL_TRIGGER,NmnabmB6tO,FQP,185.75 
[78207] BUY,NmnabmB6tO,TZJ,182.96 
[78578] COMMIT_BUY,NmnabmB6tO 
[78587] COMMIT_BUY,NmnabmB6tO 
[78880] SELL,NmnabmB6tO,MXD,119.80 
[78884] COMMIT_SELL,NmnabmB6tO 
[78902] QUOTE,NmnabmB6tO,TTY 
[78912] DISPLAY_SUMMARY,NmnabmB6tO 
[78921] ADD,NmnabmB6tO,55304.13 
[78932] QUOTE,NmnabmB6tO,KCA 
[79023] COMMIT_BUY,NmnabmB6tO 
[79092] COMMIT_SELL,NmnabmB6tO 
[79108] SET_BUY_AMOUNT,NmnabmB6tO,JVT,70.42 
[79172] SET_BUY_TRIGGER,NmnabmB6tO,AZN,14.48 
[79190] DISPLAY_SUMMARY,NmnabmB6tO 
[79268] ADD,NmnabmB6tO,76197.59 
[79294] SET_SELL_AMOUNT,NmnabmB6tO,OPN,721.60 
[79585] SET_SELL_TRIGGER,NmnabmB6tO,OPN,261.06 
[79638] QUOTE,NmnabmB6tO,NIR 
[79819] ADD,NmnabmB6tO,74265.72 
[79873] BUY,NmnabmB6tO,MHQ,316.08 
[79949] COMMIT_BUY,NmnabmB6tO 
[80011] ADD,NmnabmB6tO,85130.32 
[80316] QUOTE,NmnabmB6tO,RXB 
[80382] BUY,NmnabmB6tO,RFI,604.79 
[80476] QUOTE,NmnabmB6tO,GIK 
[80563] QUOTE,NmnabmB6tO,UDQ 
[80576] SET_BUY_AMOUNT,NmnabmB6tO,JCQ,575.23 
[80670] SET_BUY_TRIGGER,NmnabmB6tO,PUU,463.05 
[80729] DISPLAY_SUMMARY,NmnabmB6tO 
[80998] BUY,NmnabmB6tO,ZPD,725.90 
[81020] QUOTE,NmnabmB6tO,ZFT 
[81077] CANCEL_BUY,NmnabmB6tO 
[81279] SET_SELL_AMOUNT,NmnabmB6tO,QGE,509.53 
[81301] SET_SELL_TRIGGER,NmnabmB6tO,QGE,135.33 
[81445] SELL,NmnabmB6tO,OEY,716.49 
[81469] CANCEL_SELL,NmnabmB6tO 
[81547] BUY,NmnabmB6tO,CBY,416.80 
[81782] COMMIT_BUY,NmnabmB6tO 
[81803] SET_SELL_TRIGGER,NmnabmB6tO,XAN,168.07 
[81835] CANCEL_SET_BUY,NmnabmB6tO,VMT 
[81873] ADD,NmnabmB6tO,50738.86 
[81990] BUY,NmnabmB6tO,CAX,594.51 
[82081] SET_BUY_TRIGGER,NmnabmB6tO,YBO,1.23 
[82086] DISPLAY_SUMMARY,NmnabmB6tO 
[82123] BUY,NmnabmB6tO,RQF,103.36 
[82668] COMMIT_BUY,NmnabmB6tO 
[82909] BUY,NmnabmB6tO,HHG,389.28 
[83065] CANCEL_BUY,NmnabmB6tO 
[83091] ADD,NmnabmB6tO,67005.84 
[83129] SELL,NmnabmB6tO,JVT,471.31 
[83160] COMMIT_SELL,NmnabmB6tO 
[83264] SELL,NmnabmB6tO,SUS,619.44 
[83344] COMMIT_SELL,NmnabmB6tO 
[83699] SET_BUY_TRIGGER,NmnabmB6tO,MLI,120.17 
[83971] COMMIT_BUY,NmnabmB6tO 
[83983] CANCEL_SELL,NmnabmB6tO 
[84048] BUY,NmnabmB6tO,KZZ,393.24 
[84099] QUOTE,NmnabmB6tO,FOV 
[84424] BUY,NmnabmB6tO,GIK,325.62 
[84538] COMMIT_BUY,NmnabmB6tO 
[84628] DISPLAY_SUMMARY,NmnabmB6tO 
[84662] ADD,NmnabmB6tO,57597.70 
[84726] CANCEL_BUY,NmnabmB6tO 
[84903] BUY,NmnabmB6tO,WYR,187.79 
[84986] CANCEL_BUY,NmnabmB6tO 
[85111] ADD,NmnabmB6tO,84352.40 
[85147] BUY,NmnabmB6tO,BPK,323.58 
[85200] COMMIT_BUY,NmnabmB6tO 
[85217] SET_BUY_AMOUNT,NmnabmB6tO,JRJ,17.43 
[85394] CANCEL_SET_BUY,NmnabmB6tO,WDJ 
[85422] ADD,NmnabmB6tO,76922.29 
[85558] CANCEL_SET_SELL,NmnabmB6tO,BVN 
[85561] BUY,NmnabmB6tO,YBP,544.89 
[85743] QUOTE,NmnabmB6tO,KDG 
[85850] BUY,NmnabmB6tO,OAS,462.46 
[86172] CANCEL_BUY,NmnabmB6tO 
[86224] DISPLAY_SUMMARY,NmnabmB6tO 
[86239] SET_BUY_AMOUNT,NmnabmB6tO,KDA,202.21 
[86246] SET_BUY_TRIGGER,NmnabmB6tO,PLA,23.10 
[86303] SELL,NmnabmB6tO,CUZ,9.60 
[86361] SET_SELL_AMOUNT,NmnabmB6tO,MXD,693.09 
[86637] SET_SELL_TRIGGER,NmnabmB6tO,MXD,543.05 
[86862] QUOTE,NmnabmB6tO,JPD 
[86863] QUOTE,NmnabmB6tO,ZWZ 
[86907] BUY,NmnabmB6tO,EEG,180.12 
[86975] COMMIT_BUY,NmnabmB6tO 
[86990] SET_BUY_AMOUNT,NmnabmB6tO,BYA,691.15 
[87043] SET_BUY_TRIGGER,NmnabmB6tO,GIX,227.41 
[87120] ADD,NmnabmB6tO,56328.64 
[87348] CANCEL_SET_BUY,NmnabmB6tO,NVX 
[87416] SELL,NmnabmB6tO,CBO,616.79 
[87429] QUOTE,NmnabmB6tO,VMK 
[87439] SET_BUY_TRIGGER,NmnabmB6tO,AHE,119.83 
[87563] ADD,NmnabmB6tO,68410.98 
[87612] BUY,NmnabmB6tO,OZT,439.60 
[87614] COMMIT_BUY,NmnabmB6tO 
[87637] ADD,NmnabmB6tO,58387.78 
[87737] BUY,NmnabmB6tO,SYT,592.20 
[88159] COMMIT_BUY,NmnabmB6tO 
[88167] DISPLAY_SUMMARY,NmnabmB6tO 
[88290] SET_SELL_AMOUNT,NmnabmB6tO,SSF,654.38 
[88425] SET_SELL_TRIGGER,NmnabmB6tO,SSF,115.24 
[88565] SET_SELL_TRIGGER,NmnabmB6tO,IAV,119.76 
[88623] ADD,NmnabmB6tO,41070.35 
[88646] QUOTE,NmnabmB6tO,SKW 
[88676] DISPLAY_SUMMARY,NmnabmB6tO 
[88691] CANCEL_SET_SELL,NmnabmB6tO,IPH 
[88829] COMMIT_SELL,NmnabmB6tO 
[89023] SELL,NmnabmB6tO,BYA,289.14 
[89119] COMMIT_SELL,NmnabmB6tO 
[89200] SET_SELL_AMOUNT,NmnabmB6tO,BYA,205.16 
[89306] SELL,NmnabmB6tO,SQI,562.84 
[89314] COMMIT_SELL,NmnabmB6tO 
[89317] ADD,NmnabmB6tO,92923.82 
[89433] BUY,NmnabmB6tO,SHP,349.67 
[89564] DISPLAY_SUMMARY,NmnabmB6tO 
[89732] ADD,NmnabmB6tO,61904.38 
[89786] BUY,NmnabmB6tO,UJC,377.81 
[90083] COMMIT_BUY,NmnabmB6tO 
[90215] CANCEL_BUY,NmnabmB6tO 
[90351] DISPLAY_SUMMARY,NmnabmB6tO 
[90355] QUOTE,NmnabmB6tO,OXV 
[90469] ADD,NmnabmB6tO,62716.68 
[90536] BUY,NmnabmB6tO,GYT,332.83 
[90702] COMMIT_BUY,NmnabmB6tO 
[90764] SET_BUY_AMOUNT,NmnabmB6tO,FQP,139.39 
[90824] SET_BUY_TRIGGER,NmnabmB6tO,LSW,70.19 
[90949] DISPLAY_SUMMARY,NmnabmB6tO 
[91042] COMMIT_SELL,NmnabmB6tO 
[91169] SET_BUY_AMOUNT,NmnabmB6tO,BCQ,561.82 
[91384] SET_BUY_TRIGGER,NmnabmB6tO,ADY,33.96 
[91492] ADD,NmnabmB6tO,77242.48 
[91836] BUY,NmnabmB6tO,STO,262.94 
[91903] CANCEL_SET_BUY,NmnabmB6tO,JMG 
[91942] SET_BUY_AMOUNT,NmnabmB6tO,CSZ,472.93 
[91963] QUOTE,NmnabmB6tO,KHY 
[92001] SET_SELL_AMOUNT,NmnabmB6tO,JZJ,238.07 
[92010] SET_SELL_TRIGGER,NmnabmB6tO,JZJ,217.98 
[92175] DISPLAY_SUMMARY,NmnabmB6tO 
[92178] DISPLAY_SUMMARY,NmnabmB6tO 
[92197] SET_SELL_AMOUNT,NmnabmB6tO,CBO,64.50 
[92346] SET_SELL_TRIGGER,NmnabmB6tO,CBO,16.61 
[92433] SET_BUY_TRIGGER,NmnabmB6tO,BVN,453.05 
[92712] ADD,NmnabmB6tO,84770.02 
[92900] QUOTE,NmnabmB6tO,JCL 
[92923] BUY,NmnabmB6tO,UDN,408.39 
[93115] SELL,NmnabmB6tO,JQO,219.70 
[93130] COMMIT_SELL,NmnabmB6tO 
[93349] CANCEL_SET_SELL,NmnabmB6tO,OGR 
[93512] SET_BUY_AMOUNT,NmnabmB6tO,SUS,453.46 
[93519] SET_BUY_TRIGGER,NmnabmB6tO,BMW,347.39 
[93642] QUOTE,NmnabmB6tO,OXV 
[93662] COMMIT_BUY,NmnabmB6tO 
[93810] ADD,NmnabmB6tO,74422.76 
[93813] BUY,NmnabmB6tO,QID,454.27 
[93957] COMMIT_BUY,NmnabmB6tO 
[94042] SET_SELL_TRIGGER,NmnabmB6tO,ADY,93.89 
[94049] SET_SELL_TRIGGER,NmnabmB6tO,DED,187.72 
[94108] BUY,NmnabmB6tO,ZER,226.12 
[94211] SET_BUY_AMOUNT,NmnabmB6tO,GRM,258.00 
[94282] SET_BUY_TRIGGER,NmnabmB6tO,KIP,77.80 
[94407] DISPLAY_SUMMARY,NmnabmB6tO 
[94437] SET_BUY_AMOUNT,NmnabmB6tO,CSZ,633.46 
[94543] SET_BUY_TRIGGER,NmnabmB6tO,FQU,623.21 
[94583] DISPLAY_SUMMARY,NmnabmB6tO 
[94620] DISPLAY_SUMMARY,NmnabmB6tO 
[94624] SET_SELL_TRIGGER,NmnabmB6tO,OAS,21.37 
[94636] ADD,NmnabmB6tO,76114.76 
[94637] BUY,NmnabmB6tO,NDJ,636.91 
[94656] CANCEL_SET_BUY,NmnabmB6tO,YTT 
[94833] DISPLAY_SUMMARY,NmnabmB6tO 
[94929] BUY,NmnabmB6tO,SCK,73.96 
[94947] SELL,NmnabmB6tO,TVI,30.84 
[94967] CANCEL_SELL,NmnabmB6tO 
[95024] SET_SELL_TRIGGER,NmnabmB6tO,IOY,13.44 
