[33] ADD,69DAEr1YIe,73268.56 
[50407] QUOTE,69DAEr1YIe,NQU 
[50481] QUOTE,69DAEr1YIe,MUN 
[50520] SET_BUY_AMOUNT,69DAEr1YIe,UTV,75.53 
[50588] SET_BUY_TRIGGER,69DAEr1YIe,WYR,7.18 
[50650] DISPLAY_SUMMARY,69DAEr1YIe 
[50868] BUY,69DAEr1YIe,GMS,310.58 
[50905] COMMIT_BUY,69DAEr1YIe 
[50915] ADD,69DAEr1YIe,56632.76 
[51405] BUY,69DAEr1YIe,MER,98.89 
[51441] COMMIT_SELL,69DAEr1YIe 
[51450] BUY,69DAEr1YIe,XSS,612.37 
[51458] COMMIT_BUY,69DAEr1YIe 
[51778] CANCEL_BUY,69DAEr1YIe 
[51953] QUOTE,69DAEr1YIe,FIC 
[51968] COMMIT_BUY,69DAEr1YIe 
[52122] SET_SELL_TRIGGER,69DAEr1YIe,VQA,80.47 
[52220] SET_SELL_AMOUNT,69DAEr1YIe,ZTI,3.79 
[52297] SET_SELL_TRIGGER,69DAEr1YIe,ZTI,1.05 
[52363] DISPLAY_SUMMARY,69DAEr1YIe 
[52422] COMMIT_SELL,69DAEr1YIe 
[52553] SET_SELL_TRIGGER,69DAEr1YIe,PXY,46.54 
[52600] SET_BUY_AMOUNT,69DAEr1YIe,ZYR,637.98 
[52618] QUOTE,69DAEr1YIe,ZWB 
[53060] QUOTE,69DAEr1YIe,INB 
[53151] QUOTE,69DAEr1YIe,MQH 
[53687] SET_BUY_AMOUNT,69DAEr1YIe,DFE,240.03 
[53728] SET_BUY_TRIGGER,69DAEr1YIe,BOS,88.00 
[53735] QUOTE,69DAEr1YIe,OHG 
[53883] COMMIT_BUY,69DAEr1YIe 
[54068] QUOTE,69DAEr1YIe,GWS 
[54129] SET_BUY_TRIGGER,69DAEr1YIe,SNU,41.66 
[54297] QUOTE,69DAEr1YIe,QGL 
[54324] QUOTE,69DAEr1YIe,JFJ 
[54339] BUY,69DAEr1YIe,OZO,79.68 
[54398] COMMIT_BUY,69DAEr1YIe 
[54494] DISPLAY_SUMMARY,69DAEr1YIe 
[54579] SELL,69DAEr1YIe,XLK,600.49 
[54626] COMMIT_BUY,69DAEr1YIe 
[54803] SET_SELL_TRIGGER,69DAEr1YIe,LTB,47.52 
[54881] QUOTE,69DAEr1YIe,YUL 
[54916] QUOTE,69DAEr1YIe,FZB 
[55064] BUY,69DAEr1YIe,OTD,218.79 
[55081] COMMIT_BUY,69DAEr1YIe 
[55205] DISPLAY_SUMMARY,69DAEr1YIe 
[55435] DISPLAY_SUMMARY,69DAEr1YIe 
[55469] DISPLAY_SUMMARY,69DAEr1YIe 
[55688] SELL,69DAEr1YIe,FQP,193.17 
[55728] CANCEL_SET_BUY,69DAEr1YIe,CTI 
[55748] DISPLAY_SUMMARY,69DAEr1YIe 
[55764] SELL,69DAEr1YIe,KES,217.34 
[55838] CANCEL_SELL,69DAEr1YIe 
[55859] SET_SELL_TRIGGER,69DAEr1YIe,JNO,60.40 
[55943] SELL,69DAEr1YIe,JZJ,225.54 
[55954] SET_SELL_AMOUNT,69DAEr1YIe,BCQ,154.82 
[56368] SET_SELL_TRIGGER,69DAEr1YIe,BCQ,56.35 
[56369] BUY,69DAEr1YIe,KBI,5.62 
[56387] COMMIT_BUY,69DAEr1YIe 
[56447] DISPLAY_SUMMARY,69DAEr1YIe 
[56453] SET_BUY_AMOUNT,69DAEr1YIe,GYF,502.02 
[56577] DISPLAY_SUMMARY,69DAEr1YIe 
[56659] ADD,69DAEr1YIe,92077.30 
[56673] BUY,69DAEr1YIe,JSM,396.86 
[56749] COMMIT_BUY,69DAEr1YIe 
[56784] SELL,69DAEr1YIe,OPN,362.00 
[56884] COMMIT_SELL,69DAEr1YIe 
[56972] SET_BUY_AMOUNT,69DAEr1YIe,ZAN,476.33 
[57077] CANCEL_SET_BUY,69DAEr1YIe,EYY 
[57158] SET_SELL_AMOUNT,69DAEr1YIe,RGH,575.57 
[57366] SET_SELL_TRIGGER,69DAEr1YIe,RGH,394.80 
[57674] SELL,69DAEr1YIe,JQO,536.36 
[57794] CANCEL_SELL,69DAEr1YIe 
[57959] SELL,69DAEr1YIe,KES,634.79 
[58022] SET_BUY_AMOUNT,69DAEr1YIe,LFU,96.49 
[58095] SET_BUY_TRIGGER,69DAEr1YIe,OHS,58.97 
[58192] DISPLAY_SUMMARY,69DAEr1YIe 
[58253] QUOTE,69DAEr1YIe,GGI 
[58285] SET_BUY_AMOUNT,69DAEr1YIe,UTV,260.22 
[58399] SET_BUY_TRIGGER,69DAEr1YIe,NFO,60.81 
[58462] SET_SELL_TRIGGER,69DAEr1YIe,ZCG,55.06 
[58466] DISPLAY_SUMMARY,69DAEr1YIe 
[58516] ADD,69DAEr1YIe,74402.07 
[58604] SET_BUY_AMOUNT,69DAEr1YIe,QJZ,703.57 
[58629] DISPLAY_SUMMARY,69DAEr1YIe 
[58646] SELL,69DAEr1YIe,JQO,394.04 
[58666] SET_SELL_TRIGGER,69DAEr1YIe,WGP,87.70 
[58711] QUOTE,69DAEr1YIe,YPW 
[58833] QUOTE,69DAEr1YIe,BPK 
[58957] SET_BUY_TRIGGER,69DAEr1YIe,YBP,580.68 
[59004] QUOTE,69DAEr1YIe,QGN 
[59511] ADD,69DAEr1YIe,42289.64 
[59663] QUOTE,69DAEr1YIe,NGZ 
[59688] SET_BUY_AMOUNT,69DAEr1YIe,JQO,506.44 
[59806] SET_BUY_TRIGGER,69DAEr1YIe,XDN,442.76 
[59839] ADD,69DAEr1YIe,47166.97 
[60004] BUY,69DAEr1YIe,PXX,201.44 
[60035] COMMIT_BUY,69DAEr1YIe 
[60071] DISPLAY_SUMMARY,69DAEr1YIe 
[60155] SET_BUY_AMOUNT,69DAEr1YIe,AVX,368.95 
[60163] SET_BUY_TRIGGER,69DAEr1YIe,ZFK,293.86 
[60500] QUOTE,69DAEr1YIe,ILT 
[60583] CANCEL_BUY,69DAEr1YIe 
[60764] ADD,69DAEr1YIe,78646.68 
[60960] QUOTE,69DAEr1YIe,DJD 
[61102] BUY,69DAEr1YIe,QVA,41.28 
[61240] BUY,69DAEr1YIe,SKC,356.75 
[61272] SET_SELL_AMOUNT,69DAEr1YIe,ZYR,74.68 
[61284] SET_SELL_TRIGGER,69DAEr1YIe,ZYR,5.94 
[61306] BUY,69DAEr1YIe,QBD,60.18 
[61332] COMMIT_BUY,69DAEr1YIe 
[61423] BUY,69DAEr1YIe,YIQ,637.39 
[61431] COMMIT_BUY,69DAEr1YIe 
[61545] DISPLAY_SUMMARY,69DAEr1YIe 
[61582] SELL,69DAEr1YIe,RUN,381.32 
[61585] CANCEL_SELL,69DAEr1YIe 
[61752] DISPLAY_SUMMARY,69DAEr1YIe 
[61822] SET_BUY_AMOUNT,69DAEr1YIe,JCQ,576.59 
[61861] SELL,69DAEr1YIe,OEY,266.84 
[62079] CANCEL_BUY,69DAEr1YIe 
[62171] SELL,69DAEr1YIe,DFE,270.62 
[62270] COMMIT_SELL,69DAEr1YIe 
[62334] SELL,69DAEr1YIe,BCQ,298.09 
[62442] SET_SELL_AMOUNT,69DAEr1YIe,EBS,371.74 
[62623] SET_SELL_TRIGGER,69DAEr1YIe,EBS,200.60 
[62645] QUOTE,69DAEr1YIe,OOV 
[62935] BUY,69DAEr1YIe,AHO,704.09 
[62986] COMMIT_BUY,69DAEr1YIe 
[62988] BUY,69DAEr1YIe,NGB,174.50 
[63007] COMMIT_BUY,69DAEr1YIe 
[63049] ADD,69DAEr1YIe,45626.76 
[63107] BUY,69DAEr1YIe,ZCG,160.26 
[63196] DISPLAY_SUMMARY,69DAEr1YIe 
[63319] DISPLAY_SUMMARY,69DAEr1YIe 
[63489] DISPLAY_SUMMARY,69DAEr1YIe 
[63556] BUY,69DAEr1YIe,XFA,367.35 
[63609] COMMIT_BUY,69DAEr1YIe 
[63694] SET_BUY_TRIGGER,69DAEr1YIe,IFC,269.65 
[63756] DISPLAY_SUMMARY,69DAEr1YIe 
[63879] QUOTE,69DAEr1YIe,RFC 
[63938] ADD,69DAEr1YIe,40854.90 
[63986] CANCEL_SELL,69DAEr1YIe 
[64012] SELL,69DAEr1YIe,CEC,681.16 
[64013] QUOTE,69DAEr1YIe,OFP 
[64821] QUOTE,69DAEr1YIe,XEA 
[64835] ADD,69DAEr1YIe,51688.57 
[64852] BUY,69DAEr1YIe,PSJ,438.88 
[64939] COMMIT_BUY,69DAEr1YIe 
[65011] CANCEL_SET_SELL,69DAEr1YIe,MJU 
[65072] SELL,69DAEr1YIe,CUZ,649.49 
[65080] COMMIT_SELL,69DAEr1YIe 
[65177] CANCEL_BUY,69DAEr1YIe 
[65295] SET_SELL_AMOUNT,69DAEr1YIe,CSZ,586.06 
[65464] SET_SELL_TRIGGER,69DAEr1YIe,CSZ,249.71 
[65669] COMMIT_BUY,69DAEr1YIe 
[65699] BUY,69DAEr1YIe,PVH,432.80 
[65801] COMMIT_BUY,69DAEr1YIe 
[65973] QUOTE,69DAEr1YIe,FQU 
[66236] SET_BUY_AMOUNT,69DAEr1YIe,CSZ,702.31 
[66562] SET_BUY_TRIGGER,69DAEr1YIe,WKE,415.01 
[66685] SELL,69DAEr1YIe,FDI,573.00 
[66737] SET_BUY_TRIGGER,69DAEr1YIe,OOR,89.93 
[66747] SET_BUY_TRIGGER,69DAEr1YIe,JGO,9.95 
[66773] SELL,69DAEr1YIe,JRJ,373.93 
[67030] COMMIT_SELL,69DAEr1YIe 
[67195] ADD,69DAEr1YIe,87730.63 
[67211] QUOTE,69DAEr1YIe,SKC 
[67571] BUY,69DAEr1YIe,VVW,46.63 
[67579] COMMIT_BUY,69DAEr1YIe 
[67586] BUY,69DAEr1YIe,TZJ,720.37 
[67755] SELL,69DAEr1YIe,ZAN,43.01 
[67756] COMMIT_SELL,69DAEr1YIe 
[67757] ADD,69DAEr1YIe,82112.36 
[67812] CANCEL_SET_SELL,69DAEr1YIe,ZOT 
[67884] SET_BUY_TRIGGER,69DAEr1YIe,IGI,43.87 
[67985] SET_SELL_AMOUNT,69DAEr1YIe,CBO,687.03 
[67992] SET_SELL_TRIGGER,69DAEr1YIe,CBO,90.20 
[68052] ADD,69DAEr1YIe,65707.52 
[68145] QUOTE,69DAEr1YIe,TJL 
[68153] CANCEL_SET_BUY,69DAEr1YIe,CMA 
[68159] BUY,69DAEr1YIe,SEW,112.22 
[68162] COMMIT_BUY,69DAEr1YIe 
[68242] ADD,69DAEr1YIe,59994.91 
[68449] BUY,69DAEr1YIe,BRZ,273.50 
[68480] COMMIT_BUY,69DAEr1YIe 
[68539] DISPLAY_SUMMARY,69DAEr1YIe 
[68645] DISPLAY_SUMMARY,69DAEr1YIe 
[68789] QUOTE,69DAEr1YIe,ZOZ 
[68813] SET_BUY_AMOUNT,69DAEr1YIe,ZYR,221.77 
[68855] BUY,69DAEr1YIe,GJR,16.41 
[69101] CANCEL_SELL,69DAEr1YIe 
[69358] ADD,69DAEr1YIe,74396.14 
[69382] BUY,69DAEr1YIe,YWC,414.29 
[69431] SET_BUY_AMOUNT,69DAEr1YIe,GYF,94.96 
[69490] QUOTE,69DAEr1YIe,HDR 
[69547] QUOTE,69DAEr1YIe,TQX 
[69553] CANCEL_SELL,69DAEr1YIe 
[69779] SELL,69DAEr1YIe,QGE,666.90 
[69915] QUOTE,69DAEr1YIe,OLI 
[69921] COMMIT_SELL,69DAEr1YIe 
[70001] DISPLAY_SUMMARY,69DAEr1YIe 
[70162] SET_BUY_AMOUNT,69DAEr1YIe,RGH,590.40 
[70180] SET_BUY_TRIGGER,69DAEr1YIe,RQL,471.23 
[70354] SET_BUY_AMOUNT,69DAEr1YIe,XQC,189.64 
[70425] SET_BUY_TRIGGER,69DAEr1YIe,BBC,177.02 
[70481] SET_SELL_TRIGGER,69DAEr1YIe,NRY,119.95 
[70523] DISPLAY_SUMMARY,69DAEr1YIe 
[70683] BUY,69DAEr1YIe,OOV,539.09 
[70725] SET_BUY_TRIGGER,69DAEr1YIe,SPP,27.42 
[70727] BUY,69DAEr1YIe,OFP,284.48 
[70794] COMMIT_BUY,69DAEr1YIe 
[70927] ADD,69DAEr1YIe,105015.40 
[71199] QUOTE,69DAEr1YIe,BTA 
[71205] DISPLAY_SUMMARY,69DAEr1YIe 
[71345] COMMIT_SELL,69DAEr1YIe 
[71396] COMMIT_SELL,69DAEr1YIe 
[71510] DISPLAY_SUMMARY,69DAEr1YIe 
[71543] SET_SELL_AMOUNT,69DAEr1YIe,YJK,61.47 
[71812] SET_SELL_TRIGGER,69DAEr1YIe,YJK,2.68 
[71906] ADD,69DAEr1YIe,59304.80 
[72018] DISPLAY_SUMMARY,69DAEr1YIe 
[72165] SET_BUY_TRIGGER,69DAEr1YIe,BHJ,155.97 
[72322] ADD,69DAEr1YIe,73232.13 
[72701] BUY,69DAEr1YIe,AVX,450.78 
[72725] CANCEL_SET_BUY,69DAEr1YIe,GYF 
[72726] CANCEL_SET_BUY,69DAEr1YIe,XWZ 
[72853] SET_BUY_TRIGGER,69DAEr1YIe,OIY,98.59 
[72860] BUY,69DAEr1YIe,GTB,194.28 
[72935] SELL,69DAEr1YIe,NHG,147.89 
[73037] CANCEL_SELL,69DAEr1YIe 
[73400] SET_BUY_TRIGGER,69DAEr1YIe,DWC,103.71 
[73568] ADD,69DAEr1YIe,73392.49 
[73809] BUY,69DAEr1YIe,WTL,368.45 
[73916] COMMIT_BUY,69DAEr1YIe 
[73998] SET_SELL_TRIGGER,69DAEr1YIe,ZNW,27.77 
[74103] QUOTE,69DAEr1YIe,FOV 
[74156] QUOTE,69DAEr1YIe,WYA 
[74243] CANCEL_SET_SELL,69DAEr1YIe,WNX 
[74380] SELL,69DAEr1YIe,SSF,651.07 
[74491] COMMIT_BUY,69DAEr1YIe 
[74581] QUOTE,69DAEr1YIe,FGF 
[74615] BUY,69DAEr1YIe,RFC,433.60 
[74854] COMMIT_BUY,69DAEr1YIe 
[75444] SET_BUY_AMOUNT,69DAEr1YIe,CEC,398.17 
[75516] SET_BUY_TRIGGER,69DAEr1YIe,KPP,158.71 
[75647] SET_SELL_AMOUNT,69DAEr1YIe,UBJ,422.87 
[75930] SET_SELL_TRIGGER,69DAEr1YIe,UBJ,289.52 
[75950] ADD,69DAEr1YIe,69889.96 
[76081] BUY,69DAEr1YIe,WJB,28.36 
[76176] DISPLAY_SUMMARY,69DAEr1YIe 
[76197] DISPLAY_SUMMARY,69DAEr1YIe 
[76203] ADD,69DAEr1YIe,59411.13 
[76305] QUOTE,69DAEr1YIe,WAI 
[76319] COMMIT_BUY,69DAEr1YIe 
[76329] BUY,69DAEr1YIe,BZX,23.67 
[76426] COMMIT_BUY,69DAEr1YIe 
[76521] ADD,69DAEr1YIe,70244.74 
[76562] BUY,69DAEr1YIe,ZYR,664.93 
[76572] CANCEL_BUY,69DAEr1YIe 
[76687] ADD,69DAEr1YIe,59794.63 
[76696] QUOTE,69DAEr1YIe,ZLY 
[76708] ADD,69DAEr1YIe,109892.12 
[76914] BUY,69DAEr1YIe,IQJ,508.20 
[77419] SELL,69DAEr1YIe,BCQ,339.07 
[77594] BUY,69DAEr1YIe,GGI,693.66 
[77692] ADD,69DAEr1YIe,89656.74 
[77701] QUOTE,69DAEr1YIe,ALV 
[77826] ADD,69DAEr1YIe,52538.67 
[77850] QUOTE,69DAEr1YIe,YBO 
[77871] SET_BUY_AMOUNT,69DAEr1YIe,QJZ,443.05 
[77955] SET_BUY_TRIGGER,69DAEr1YIe,MGO,222.75 
[78055] SET_BUY_AMOUNT,69DAEr1YIe,ZTI,641.78 
[78235] DISPLAY_SUMMARY,69DAEr1YIe 
[78249] CANCEL_SET_SELL,69DAEr1YIe,YLZ 
[78421] SET_BUY_TRIGGER,69DAEr1YIe,VXY,208.61 
[78423] BUY,69DAEr1YIe,TCP,458.23 
[78471] COMMIT_BUY,69DAEr1YIe 
[78529] BUY,69DAEr1YIe,PUO,78.47 
[78636] DISPLAY_SUMMARY,69DAEr1YIe 
[78727] ADD,69DAEr1YIe,76930.39 
[78784] BUY,69DAEr1YIe,FXT,249.29 
[78833] SET_BUY_AMOUNT,69DAEr1YIe,UTV,59.09 
[78953] SET_BUY_TRIGGER,69DAEr1YIe,QZN,49.32 
[78974] SET_BUY_AMOUNT,69DAEr1YIe,KYX,630.87 
[79030] CANCEL_SET_BUY,69DAEr1YIe,PMX 
[79257] ADD,69DAEr1YIe,91949.24 
[79436] SELL,69DAEr1YIe,ZAN,736.02 
[79495] COMMIT_SELL,69DAEr1YIe 
[79584] QUOTE,69DAEr1YIe,QTH 
[79824] QUOTE,69DAEr1YIe,OEX 
[79968] ADD,69DAEr1YIe,95664.66 
[80032] BUY,69DAEr1YIe,GPM,168.35 
[80267] COMMIT_BUY,69DAEr1YIe 
[80333] SET_SELL_TRIGGER,69DAEr1YIe,XQG,140.16 
[80443] ADD,69DAEr1YIe,63469.85 
[80578] QUOTE,69DAEr1YIe,OGR 
[80603] SET_BUY_AMOUNT,69DAEr1YIe,XQC,8.19 
[80620] DISPLAY_SUMMARY,69DAEr1YIe 
[80630] ADD,69DAEr1YIe,71358.48 
[80770] BUY,69DAEr1YIe,JHY,220.39 
[80884] DISPLAY_SUMMARY,69DAEr1YIe 
[80888] SET_SELL_AMOUNT,69DAEr1YIe,IFN,391.82 
[80941] CANCEL_SET_SELL,69DAEr1YIe,IFN 
[81175] QUOTE,69DAEr1YIe,PBV 
[81440] BUY,69DAEr1YIe,LVV,516.70 
[81499] COMMIT_BUY,69DAEr1YIe 
[81785] SELL,69DAEr1YIe,QAX,269.28 
[81813] COMMIT_SELL,69DAEr1YIe 
[81828] ADD,69DAEr1YIe,94030.58 
[81969] BUY,69DAEr1YIe,XYV,59.98 
[82028] ADD,69DAEr1YIe,102076.05 
[82029] QUOTE,69DAEr1YIe,WBL 
[82112] BUY,69DAEr1YIe,PST,102.94 
[82142] QUOTE,69DAEr1YIe,KHY 
[82211] QUOTE,69DAEr1YIe,ZNW 
[82260] SET_BUY_AMOUNT,69DAEr1YIe,ZAN,727.89 
[82316] SET_BUY_TRIGGER,69DAEr1YIe,ZCG,381.35 
[82666] BUY,69DAEr1YIe,UJC,368.47 
[82672] COMMIT_BUY,69DAEr1YIe 
[82756] CANCEL_SELL,69DAEr1YIe 
[82784] ADD,69DAEr1YIe,83272.01 
[82810] SET_BUY_AMOUNT,69DAEr1YIe,QAX,311.79 
[82833] SET_BUY_TRIGGER,69DAEr1YIe,OIY,281.38 
[82849] SELL,69DAEr1YIe,QJZ,205.93 
[82952] BUY,69DAEr1YIe,LSG,274.58 
[83006] BUY,69DAEr1YIe,NUL,624.67 
[83007] COMMIT_BUY,69DAEr1YIe 
[83014] SELL,69DAEr1YIe,CBO,623.19 
[83039] CANCEL_BUY,69DAEr1YIe 
[83067] DISPLAY_SUMMARY,69DAEr1YIe 
[83099] COMMIT_BUY,69DAEr1YIe 
[83257] ADD,69DAEr1YIe,62523.92 
[83314] BUY,69DAEr1YIe,HZE,307.71 
[83443] CANCEL_BUY,69DAEr1YIe 
[83908] DISPLAY_SUMMARY,69DAEr1YIe 
[84032] SELL,69DAEr1YIe,JZJ,135.76 
[84268] SET_BUY_AMOUNT,69DAEr1YIe,JQO,269.10 
[84382] SET_BUY_TRIGGER,69DAEr1YIe,FQU,211.73 
[84426] SELL,69DAEr1YIe,KBN,327.67 
[84832] COMMIT_SELL,69DAEr1YIe 
[84972] SET_BUY_AMOUNT,69DAEr1YIe,XLK,341.38 
[84994] SET_BUY_TRIGGER,69DAEr1YIe,MQF,51.36 
[85209] COMMIT_BUY,69DAEr1YIe 
[85273] SET_BUY_AMOUNT,69DAEr1YIe,QGE,454.65 
[85431] SET_BUY_TRIGGER,69DAEr1YIe,WTD,119.25 
[85533] SET_BUY_AMOUNT,69DAEr1YIe,GYF,320.66 
[85641] SELL,69DAEr1YIe,CSZ,16.71 
[85796] CANCEL_SELL,69DAEr1YIe 
[85845] SET_BUY_AMOUNT,69DAEr1YIe,BCQ,611.46 
[85926] SET_BUY_TRIGGER,69DAEr1YIe,QNK,574.95 
[86126] SET_SELL_AMOUNT,69DAEr1YIe,UIE,506.38 
[86306] SET_SELL_TRIGGER,69DAEr1YIe,UIE,297.39 
[86378] SET_BUY_TRIGGER,69DAEr1YIe,ATE,195.20 
[86395] BUY,69DAEr1YIe,NVX,42.81 
[86444] DISPLAY_SUMMARY,69DAEr1YIe 
[86537] SET_SELL_AMOUNT,69DAEr1YIe,KBN,433.57 
[86576] SET_SELL_TRIGGER,69DAEr1YIe,KBN,194.52 
[86598] COMMIT_BUY,69DAEr1YIe 
[86635] CANCEL_SET_SELL,69DAEr1YIe,AHE 
[86661] ADD,69DAEr1YIe,62095.79 
[86781] BUY,69DAEr1YIe,HQU,188.56 
[86795] BUY,69DAEr1YIe,CMA,115.94 
[86848] COMMIT_BUY,69DAEr1YIe 
[86912] QUOTE,69DAEr1YIe,ZNL 
[86956] SET_SELL_AMOUNT,69DAEr1YIe,RNK,214.64 
[86997] SET_SELL_TRIGGER,69DAEr1YIe,RNK,117.72 
[87081] DISPLAY_SUMMARY,69DAEr1YIe 
[87130] SET_SELL_AMOUNT,69DAEr1YIe,KDA,738.48 
[87340] SET_SELL_TRIGGER,69DAEr1YIe,KDA,677.08 
[87354] ADD,69DAEr1YIe,64041.60 
[87382] BUY,69DAEr1YIe,ZWB,57.96 
[87391] COMMIT_BUY,69DAEr1YIe 
[87459] SET_BUY_AMOUNT,69DAEr1YIe,YDS,237.99 
[87611] QUOTE,69DAEr1YIe,XAN 
[87673] DISPLAY_SUMMARY,69DAEr1YIe 
[87826] SET_SELL_TRIGGER,69DAEr1YIe,ZQC,0.98 
[88073] ADD,69DAEr1YIe,100879.84 
[88087] BUY,69DAEr1YIe,KIP,69.99 
[88131] SET_BUY_AMOUNT,69DAEr1YIe,JCQ,455.09 
[88179] CANCEL_SET_BUY,69DAEr1YIe,PXS 
[88211] SET_BUY_TRIGGER,69DAEr1YIe,QXW,80.44 
[88232] DISPLAY_SUMMARY,69DAEr1YIe 
[88266] SET_SELL_AMOUNT,69DAEr1YIe,ZAN,384.24 
[88384] SELL,69DAEr1YIe,EBS,723.50 
[88413] COMMIT_SELL,69DAEr1YIe 
[88439] BUY,69DAEr1YIe,HZE,114.97 
[88477] CANCEL_SET_BUY,69DAEr1YIe,WJS 
[88479] SET_SELL_AMOUNT,69DAEr1YIe,OEY,491.56 
[88488] CANCEL_SET_SELL,69DAEr1YIe,OEY 
[88598] SET_SELL_AMOUNT,69DAEr1YIe,CUZ,155.36 
[88647] QUOTE,69DAEr1YIe,BDX 
[88665] COMMIT_SELL,69DAEr1YIe 
[88749] DISPLAY_SUMMARY,69DAEr1YIe 
[88914] SET_SELL_TRIGGER,69DAEr1YIe,CUZ,80.52 
[89063] QUOTE,69DAEr1YIe,JTY 
[89074] BUY,69DAEr1YIe,CBQ,150.29 
[89197] COMMIT_BUY,69DAEr1YIe 
[89350] QUOTE,69DAEr1YIe,KLE 
[89488] CANCEL_BUY,69DAEr1YIe 
[89548] DISPLAY_SUMMARY,69DAEr1YIe 
[89569] QUOTE,69DAEr1YIe,JUV 
[89571] SET_BUY_AMOUNT,69DAEr1YIe,UIE,356.04 
[89577] CANCEL_SET_BUY,69DAEr1YIe,AAC 
[89709] QUOTE,69DAEr1YIe,XXP 
[89712] CANCEL_SELL,69DAEr1YIe 
[89760] SET_SELL_TRIGGER,69DAEr1YIe,CNN,86.17 
[89767] CANCEL_BUY,69DAEr1YIe 
[89853] QUOTE,69DAEr1YIe,YQC 
[90035] SELL,69DAEr1YIe,VTY,649.22 
[90060] COMMIT_SELL,69DAEr1YIe 
[90106] ADD,69DAEr1YIe,68513.86 
[90135] QUOTE,69DAEr1YIe,HQU 
[90322] SET_BUY_TRIGGER,69DAEr1YIe,DES,12.92 
[90391] ADD,69DAEr1YIe,78320.80 
[90534] SET_SELL_TRIGGER,69DAEr1YIe,LPB,126.48 
[90586] ADD,69DAEr1YIe,40849.92 
[90649] QUOTE,69DAEr1YIe,AVI 
[90694] QUOTE,69DAEr1YIe,URD 
[90761] CANCEL_SELL,69DAEr1YIe 
[90886] SET_SELL_TRIGGER,69DAEr1YIe,DNJ,105.63 
[90967] SET_SELL_TRIGGER,69DAEr1YIe,KKI,164.16 
[91115] QUOTE,69DAEr1YIe,TYV 
[91141] QUOTE,69DAEr1YIe,UMV 
[91237] QUOTE,69DAEr1YIe,DWK 
[91310] BUY,69DAEr1YIe,CBV,437.83 
[91320] COMMIT_BUY,69DAEr1YIe 
[91341] DISPLAY_SUMMARY,69DAEr1YIe 
[91541] DISPLAY_SUMMARY,69DAEr1YIe 
[91564] SET_BUY_AMOUNT,69DAEr1YIe,OZO,436.47 
[91587] SET_BUY_TRIGGER,69DAEr1YIe,DVA,297.42 
[91596] BUY,69DAEr1YIe,EUC,355.34 
[91738] DISPLAY_SUMMARY,69DAEr1YIe 
[91947] SET_SELL_AMOUNT,69DAEr1YIe,FQP,492.74 
[92106] SET_SELL_TRIGGER,69DAEr1YIe,FQP,191.71 
[92153] DISPLAY_SUMMARY,69DAEr1YIe 
[92228] DISPLAY_SUMMARY,69DAEr1YIe 
[92257] CANCEL_SET_SELL,69DAEr1YIe,PSJ 
[92274] ADD,69DAEr1YIe,93180.97 
[92338] BUY,69DAEr1YIe,LUT,330.88 
[92552] COMMIT_BUY,69DAEr1YIe 
[92582] SELL,69DAEr1YIe,UBJ,517.91 
[92631] COMMIT_SELL,69DAEr1YIe 
[92782] SET_SELL_TRIGGER,69DAEr1YIe,GUB,36.51 
[93062] DISPLAY_SUMMARY,69DAEr1YIe 
[93501] SET_SELL_AMOUNT,69DAEr1YIe,KES,103.14 
[93701] QUOTE,69DAEr1YIe,SDW 
[93715] ADD,69DAEr1YIe,57495.06 
[93851] CANCEL_SET_BUY,69DAEr1YIe,KAS 
[93946] QUOTE,69DAEr1YIe,DGA 
[93954] CANCEL_SET_BUY,69DAEr1YIe,ZAM 
[93992] CANCEL_SELL,69DAEr1YIe 
[94019] SET_SELL_AMOUNT,69DAEr1YIe,GYF,695.83 
[94175] SET_SELL_TRIGGER,69DAEr1YIe,GYF,166.62 
[94199] SET_SELL_TRIGGER,69DAEr1YIe,SVV,59.04 
[94457] BUY,69DAEr1YIe,MDZ,647.81 
[94556] COMMIT_BUY,69DAEr1YIe 
[94562] SELL,69DAEr1YIe,JZJ,581.24 
[94585] COMMIT_SELL,69DAEr1YIe 
[94628] SET_SELL_TRIGGER,69DAEr1YIe,CDF,137.10 
[94664] DISPLAY_SUMMARY,69DAEr1YIe 
[94799] SET_BUY_TRIGGER,69DAEr1YIe,EWP,120.37 
[95330] DISPLAY_SUMMARY,69DAEr1YIe 
[95339] SET_BUY_AMOUNT,69DAEr1YIe,QVK,280.73 
[95575] SET_BUY_TRIGGER,69DAEr1YIe,RUN,243.58 
[95585] SELL,69DAEr1YIe,SSF,447.46 
[95590] COMMIT_SELL,69DAEr1YIe 
[95766] SELL,69DAEr1YIe,VTY,539.29 
[95808] COMMIT_SELL,69DAEr1YIe 
[95861] SET_BUY_AMOUNT,69DAEr1YIe,UTV,3.08 
[95862] SET_BUY_TRIGGER,69DAEr1YIe,TCP,2.80 
[96041] ADD,69DAEr1YIe,71620.54 
[96142] BUY,69DAEr1YIe,SKY,440.12 
[96148] COMMIT_BUY,69DAEr1YIe 
[96164] QUOTE,69DAEr1YIe,IFC 
[96274] BUY,69DAEr1YIe,JUE,516.33 
[96278] CANCEL_SET_SELL,69DAEr1YIe,DLQ 
[96366] SET_BUY_TRIGGER,69DAEr1YIe,VMT,62.58 
[96527] QUOTE,69DAEr1YIe,BXH 
[96608] BUY,69DAEr1YIe,KAR,168.79 
