[13] ADD,y5IWeezXEN,74831.27 
[47343] BUY,y5IWeezXEN,JSM,193.99 
[47408] COMMIT_SELL,y5IWeezXEN 
[47494] ADD,y5IWeezXEN,65978.63 
[47565] BUY,y5IWeezXEN,ZFK,515.74 
[47701] COMMIT_BUY,y5IWeezXEN 
[47836] QUOTE,y5IWeezXEN,FRB 
[47898] SET_BUY_AMOUNT,y5IWeezXEN,XLK,714.34 
[48028] QUOTE,y5IWeezXEN,JCL 
[48280] QUOTE,y5IWeezXEN,NAW 
[48357] ADD,y5IWeezXEN,51685.22 
[48621] DISPLAY_SUMMARY,y5IWeezXEN 
[48638] SELL,y5IWeezXEN,FDI,56.29 
[48669] COMMIT_SELL,y5IWeezXEN 
[48720] DISPLAY_SUMMARY,y5IWeezXEN 
[48761] SELL,y5IWeezXEN,RNK,96.75 
[48944] COMMIT_BUY,y5IWeezXEN 
[49147] DISPLAY_SUMMARY,y5IWeezXEN 
[49161] QUOTE,y5IWeezXEN,QGL 
[49226] BUY,y5IWeezXEN,LSM,721.99 
[49243] CANCEL_BUY,y5IWeezXEN 
[49395] ADD,y5IWeezXEN,89251.07 
[49527] QUOTE,y5IWeezXEN,GUW 
[49543] SET_SELL_AMOUNT,y5IWeezXEN,FDI,436.22 
[49739] SET_SELL_TRIGGER,y5IWeezXEN,FDI,241.34 
[49949] SET_BUY_AMOUNT,y5IWeezXEN,XLK,32.13 
[50252] SET_BUY_TRIGGER,y5IWeezXEN,ZSV,8.10 
[50298] COMMIT_SELL,y5IWeezXEN 
[50538] ADD,y5IWeezXEN,49060.00 
[50551] QUOTE,y5IWeezXEN,CBK 
[50585] QUOTE,y5IWeezXEN,HCN 
[50643] DISPLAY_SUMMARY,y5IWeezXEN 
[50665] DISPLAY_SUMMARY,y5IWeezXEN 
[50762] BUY,y5IWeezXEN,GUW,549.92 
[50924] COMMIT_BUY,y5IWeezXEN 
[50948] SET_SELL_TRIGGER,y5IWeezXEN,MHQ,194.74 
[51024] DISPLAY_SUMMARY,y5IWeezXEN 
[51033] ADD,y5IWeezXEN,89496.56 
[51609] BUY,y5IWeezXEN,FRB,391.94 
[51708] COMMIT_BUY,y5IWeezXEN 
[51747] SET_BUY_TRIGGER,y5IWeezXEN,YOQ,13.02 
[51818] SET_BUY_AMOUNT,y5IWeezXEN,AVX,686.67 
[52203] SET_BUY_TRIGGER,y5IWeezXEN,JUN,217.43 
[52348] QUOTE,y5IWeezXEN,RKQ 
[52374] QUOTE,y5IWeezXEN,FGF 
[52392] QUOTE,y5IWeezXEN,JFJ 
[52524] QUOTE,y5IWeezXEN,PFK 
[52622] ADD,y5IWeezXEN,51144.25 
[52649] BUY,y5IWeezXEN,SON,71.21 
[52907] CANCEL_BUY,y5IWeezXEN 
[53080] SET_SELL_TRIGGER,y5IWeezXEN,SEW,64.73 
[53190] BUY,y5IWeezXEN,DLX,303.57 
[53226] COMMIT_BUY,y5IWeezXEN 
[53341] SET_BUY_AMOUNT,y5IWeezXEN,OPN,524.32 
[53411] QUOTE,y5IWeezXEN,CBY 
[53526] QUOTE,y5IWeezXEN,QNK 
[53640] ADD,y5IWeezXEN,73684.10 
[53650] QUOTE,y5IWeezXEN,JXR 
[53726] SET_BUY_AMOUNT,y5IWeezXEN,AVX,592.19 
[53780] SET_BUY_TRIGGER,y5IWeezXEN,DKV,345.83 
[53859] ADD,y5IWeezXEN,82137.99 
[53922] BUY,y5IWeezXEN,ATW,410.95 
[53926] COMMIT_BUY,y5IWeezXEN 
[53931] ADD,y5IWeezXEN,90033.14 
[53992] BUY,y5IWeezXEN,WCY,594.54 
[54103] COMMIT_BUY,y5IWeezXEN 
[54140] BUY,y5IWeezXEN,CXC,348.11 
[54275] BUY,y5IWeezXEN,ZGN,717.93 
[54549] COMMIT_BUY,y5IWeezXEN 
[54622] SET_SELL_AMOUNT,y5IWeezXEN,UTV,329.69 
[54750] SET_SELL_TRIGGER,y5IWeezXEN,UTV,264.98 
[54801] ADD,y5IWeezXEN,88703.24 
[54865] QUOTE,y5IWeezXEN,BJL 
[55234] BUY,y5IWeezXEN,VXY,561.11 
[55268] COMMIT_BUY,y5IWeezXEN 
[55391] ADD,y5IWeezXEN,71918.16 
[55392] COMMIT_BUY,y5IWeezXEN 
[55530] QUOTE,y5IWeezXEN,XTH 
[55829] QUOTE,y5IWeezXEN,GPC 
[55831] BUY,y5IWeezXEN,WKL,259.29 
[55839] CANCEL_BUY,y5IWeezXEN 
[55854] BUY,y5IWeezXEN,BCQ,481.87 
[55900] QUOTE,y5IWeezXEN,AVI 
[55947] BUY,y5IWeezXEN,JQG,142.98 
[56167] COMMIT_BUY,y5IWeezXEN 
[56377] CANCEL_SELL,y5IWeezXEN 
[56549] CANCEL_SET_BUY,y5IWeezXEN,FYA 
[56570] QUOTE,y5IWeezXEN,YRO 
[56627] BUY,y5IWeezXEN,DTG,639.78 
[56713] COMMIT_BUY,y5IWeezXEN 
[56733] SET_SELL_AMOUNT,y5IWeezXEN,EBS,62.48 
[56753] SET_SELL_TRIGGER,y5IWeezXEN,EBS,19.13 
[56767] SET_BUY_AMOUNT,y5IWeezXEN,ZAN,242.75 
[56852] SET_BUY_TRIGGER,y5IWeezXEN,JGF,144.11 
[56875] SELL,y5IWeezXEN,NHG,315.09 
[57008] SELL,y5IWeezXEN,KDA,737.04 
[57113] COMMIT_SELL,y5IWeezXEN 
[57310] SET_SELL_AMOUNT,y5IWeezXEN,CUZ,658.45 
[57336] SET_SELL_TRIGGER,y5IWeezXEN,CUZ,531.41 
[57353] BUY,y5IWeezXEN,HHC,687.90 
[57384] COMMIT_BUY,y5IWeezXEN 
[57400] SET_BUY_TRIGGER,y5IWeezXEN,OOT,72.67 
[57458] ADD,y5IWeezXEN,80692.30 
[57861] COMMIT_SELL,y5IWeezXEN 
[57875] SELL,y5IWeezXEN,RGH,615.55 
[57906] SET_BUY_AMOUNT,y5IWeezXEN,SUS,358.15 
[57966] SET_BUY_TRIGGER,y5IWeezXEN,YPL,166.39 
[58062] SET_BUY_TRIGGER,y5IWeezXEN,JGO,73.25 
[58166] BUY,y5IWeezXEN,VUS,6.30 
[58228] COMMIT_BUY,y5IWeezXEN 
[58302] SET_SELL_AMOUNT,y5IWeezXEN,XLK,470.37 
[58351] SET_SELL_TRIGGER,y5IWeezXEN,XLK,401.52 
[58523] SELL,y5IWeezXEN,BYA,520.43 
[58562] COMMIT_SELL,y5IWeezXEN 
[58624] DISPLAY_SUMMARY,y5IWeezXEN 
[58827] BUY,y5IWeezXEN,ZUV,518.17 
[58836] COMMIT_BUY,y5IWeezXEN 
[58949] ADD,y5IWeezXEN,59852.29 
[59024] BUY,y5IWeezXEN,EEG,147.87 
[59060] CANCEL_SET_BUY,y5IWeezXEN,IGI 
[59071] SET_SELL_AMOUNT,y5IWeezXEN,LFU,607.91 
[59116] SET_SELL_TRIGGER,y5IWeezXEN,LFU,35.44 
[59228] BUY,y5IWeezXEN,ZAV,718.79 
[59234] COMMIT_SELL,y5IWeezXEN 
[59288] SET_SELL_AMOUNT,y5IWeezXEN,BYA,304.54 
[59294] CANCEL_SET_SELL,y5IWeezXEN,BYA 
[59303] SET_BUY_AMOUNT,y5IWeezXEN,KDA,77.91 
[59353] SET_BUY_TRIGGER,y5IWeezXEN,ECI,59.90 
[59455] SET_BUY_AMOUNT,y5IWeezXEN,FQP,732.32 
[59727] DISPLAY_SUMMARY,y5IWeezXEN 
[59791] ADD,y5IWeezXEN,67639.81 
[59871] QUOTE,y5IWeezXEN,EMN 
[59993] SET_BUY_TRIGGER,y5IWeezXEN,KKI,578.92 
[60047] BUY,y5IWeezXEN,IWL,703.54 
[60350] COMMIT_BUY,y5IWeezXEN 
[60576] BUY,y5IWeezXEN,KAF,229.85 
[60625] COMMIT_BUY,y5IWeezXEN 
[60685] BUY,y5IWeezXEN,KWP,3.13 
[60798] COMMIT_BUY,y5IWeezXEN 
[60801] ADD,y5IWeezXEN,81296.04 
[60883] CANCEL_SET_SELL,y5IWeezXEN,JXR 
[60916] SET_SELL_TRIGGER,y5IWeezXEN,ZJB,198.81 
[60971] DISPLAY_SUMMARY,y5IWeezXEN 
[60989] ADD,y5IWeezXEN,71006.54 
[61188] CANCEL_SELL,y5IWeezXEN 
[61203] DISPLAY_SUMMARY,y5IWeezXEN 
[61204] CANCEL_SET_SELL,y5IWeezXEN,QXE 
[61226] DISPLAY_SUMMARY,y5IWeezXEN 
[61288] BUY,y5IWeezXEN,UDN,694.22 
[61508] COMMIT_BUY,y5IWeezXEN 
[61711] ADD,y5IWeezXEN,83121.27 
[61730] BUY,y5IWeezXEN,ISQ,81.93 
[62000] COMMIT_BUY,y5IWeezXEN 
[62059] SET_BUY_AMOUNT,y5IWeezXEN,BCQ,402.34 
[62172] SET_BUY_TRIGGER,y5IWeezXEN,OAV,56.67 
[62245] BUY,y5IWeezXEN,OPN,210.82 
[62461] CANCEL_SET_SELL,y5IWeezXEN,UTV 
[62495] SELL,y5IWeezXEN,DFE,224.83 
[62635] COMMIT_SELL,y5IWeezXEN 
[62650] CANCEL_SET_SELL,y5IWeezXEN,OAV 
[62654] QUOTE,y5IWeezXEN,CMA 
[62700] BUY,y5IWeezXEN,HHG,74.28 
[62758] COMMIT_BUY,y5IWeezXEN 
[62770] SELL,y5IWeezXEN,MXD,30.05 
[62774] COMMIT_SELL,y5IWeezXEN 
[62942] ADD,y5IWeezXEN,52627.27 
[62966] BUY,y5IWeezXEN,IQJ,294.63 
[63024] CANCEL_SELL,y5IWeezXEN 
[63233] ADD,y5IWeezXEN,68865.23 
[63309] QUOTE,y5IWeezXEN,FCH 
[63318] BUY,y5IWeezXEN,MLT,393.38 
[63342] COMMIT_BUY,y5IWeezXEN 
[63389] SELL,y5IWeezXEN,ZTI,594.54 
[63559] ADD,y5IWeezXEN,100441.35 
[63617] CANCEL_SET_BUY,y5IWeezXEN,FIC 
[63648] DISPLAY_SUMMARY,y5IWeezXEN 
[63919] SELL,y5IWeezXEN,UTV,729.64 
[64463] CANCEL_SELL,y5IWeezXEN 
[64505] SET_SELL_AMOUNT,y5IWeezXEN,JVT,335.65 
[64511] SET_SELL_TRIGGER,y5IWeezXEN,JVT,88.46 
[64512] QUOTE,y5IWeezXEN,FZU 
[64522] BUY,y5IWeezXEN,NZS,63.57 
[64795] DISPLAY_SUMMARY,y5IWeezXEN 
[65000] ADD,y5IWeezXEN,63113.30 
[65400] QUOTE,y5IWeezXEN,QLM 
[65474] SET_BUY_AMOUNT,y5IWeezXEN,RNK,217.53 
[65719] SET_BUY_TRIGGER,y5IWeezXEN,XXN,187.54 
[65766] BUY,y5IWeezXEN,YPW,118.18 
[65791] COMMIT_BUY,y5IWeezXEN 
[65878] BUY,y5IWeezXEN,URI,576.06 
[65915] BUY,y5IWeezXEN,SQO,38.91 
[65932] COMMIT_BUY,y5IWeezXEN 
[65960] COMMIT_SELL,y5IWeezXEN 
[66172] ADD,y5IWeezXEN,81823.10 
[66180] BUY,y5IWeezXEN,WLT,36.85 
[66252] COMMIT_BUY,y5IWeezXEN 
[66416] ADD,y5IWeezXEN,75770.63 
[66508] QUOTE,y5IWeezXEN,FNY 
[66564] BUY,y5IWeezXEN,QQW,681.83 
[66573] BUY,y5IWeezXEN,ZMA,273.78 
[66603] COMMIT_BUY,y5IWeezXEN 
[66636] BUY,y5IWeezXEN,LUD,501.48 
[66698] COMMIT_SELL,y5IWeezXEN 
[66708] ADD,y5IWeezXEN,97327.77 
[66912] COMMIT_SELL,y5IWeezXEN 
[66930] SET_SELL_TRIGGER,y5IWeezXEN,SPL,72.32 
[66941] SET_SELL_AMOUNT,y5IWeezXEN,SSF,388.37 
[66985] SET_SELL_TRIGGER,y5IWeezXEN,SSF,337.09 
[67053] BUY,y5IWeezXEN,NSW,235.04 
[67065] COMMIT_BUY,y5IWeezXEN 
[67067] SET_SELL_AMOUNT,y5IWeezXEN,JQO,283.91 
[67147] SET_SELL_TRIGGER,y5IWeezXEN,JQO,53.59 
[67244] SELL,y5IWeezXEN,KBN,324.28 
[67341] COMMIT_SELL,y5IWeezXEN 
[67363] SELL,y5IWeezXEN,JRJ,317.77 
[67387] BUY,y5IWeezXEN,GAV,516.58 
[67394] QUOTE,y5IWeezXEN,WCY 
[67462] BUY,y5IWeezXEN,UDQ,720.09 
[67463] COMMIT_BUY,y5IWeezXEN 
[67522] SET_SELL_TRIGGER,y5IWeezXEN,TYV,137.37 
[67581] ADD,y5IWeezXEN,64423.34 
[67826] BUY,y5IWeezXEN,LLF,545.62 
[67913] COMMIT_BUY,y5IWeezXEN 
[67996] SET_BUY_AMOUNT,y5IWeezXEN,RGH,450.29 
[68046] SET_BUY_TRIGGER,y5IWeezXEN,CLP,328.55 
[68130] SELL,y5IWeezXEN,QAX,634.50 
[68141] QUOTE,y5IWeezXEN,CAX 
[68155] QUOTE,y5IWeezXEN,KEO 
[68331] BUY,y5IWeezXEN,LEA,28.63 
[68678] CANCEL_SET_SELL,y5IWeezXEN,BEG 
[68683] SET_BUY_AMOUNT,y5IWeezXEN,GRM,265.54 
[68722] SET_BUY_TRIGGER,y5IWeezXEN,PTC,76.00 
[68763] SET_BUY_AMOUNT,y5IWeezXEN,FDI,563.55 
[68765] SELL,y5IWeezXEN,IFN,76.36 
[68787] DISPLAY_SUMMARY,y5IWeezXEN 
[69049] BUY,y5IWeezXEN,SON,38.82 
[69050] COMMIT_BUY,y5IWeezXEN 
[69089] DISPLAY_SUMMARY,y5IWeezXEN 
[69118] SELL,y5IWeezXEN,GYF,262.77 
[69199] ADD,y5IWeezXEN,57006.77 
[69501] BUY,y5IWeezXEN,FKI,565.65 
[69808] COMMIT_BUY,y5IWeezXEN 
[69874] DISPLAY_SUMMARY,y5IWeezXEN 
[69912] SET_BUY_AMOUNT,y5IWeezXEN,RNK,456.10 
[69931] SET_BUY_TRIGGER,y5IWeezXEN,OOT,388.80 
[69965] DISPLAY_SUMMARY,y5IWeezXEN 
[70096] SET_BUY_AMOUNT,y5IWeezXEN,SUS,102.88 
[70167] DISPLAY_SUMMARY,y5IWeezXEN 
[70183] DISPLAY_SUMMARY,y5IWeezXEN 
[70193] ADD,y5IWeezXEN,84852.04 
[70463] BUY,y5IWeezXEN,LLE,363.00 
[70499] COMMIT_BUY,y5IWeezXEN 
[70539] CANCEL_SET_BUY,y5IWeezXEN,BSZ 
[70780] SELL,y5IWeezXEN,GRM,385.57 
[71045] SET_SELL_TRIGGER,y5IWeezXEN,SUS,188.94 
[71075] SELL,y5IWeezXEN,CBO,152.22 
[71091] CANCEL_SELL,y5IWeezXEN 
[71351] CANCEL_SET_SELL,y5IWeezXEN,MLU 
[71381] SET_BUY_AMOUNT,y5IWeezXEN,VTY,179.86 
[71435] SET_BUY_TRIGGER,y5IWeezXEN,JUJ,138.94 
[71452] ADD,y5IWeezXEN,62655.55 
[71518] SET_BUY_TRIGGER,y5IWeezXEN,GUW,64.63 
[71589] QUOTE,y5IWeezXEN,CBO 
[71590] BUY,y5IWeezXEN,GFN,526.20 
[71737] COMMIT_BUY,y5IWeezXEN 
[71786] SET_BUY_TRIGGER,y5IWeezXEN,MFX,190.79 
[71864] BUY,y5IWeezXEN,AJR,253.76 
[72233] SET_BUY_AMOUNT,y5IWeezXEN,HFS,423.29 
[72237] SET_BUY_TRIGGER,y5IWeezXEN,GSW,233.99 
[72243] ADD,y5IWeezXEN,80457.97 
[72255] QUOTE,y5IWeezXEN,YNH 
[72642] SET_BUY_AMOUNT,y5IWeezXEN,FDI,593.70 
[72789] SET_BUY_TRIGGER,y5IWeezXEN,XYV,367.51 
[72847] QUOTE,y5IWeezXEN,KLE 
[72936] SET_BUY_AMOUNT,y5IWeezXEN,ZYR,137.83 
[73086] CANCEL_SET_BUY,y5IWeezXEN,WNU 
[73265] SELL,y5IWeezXEN,UTV,710.44 
[73361] SET_SELL_AMOUNT,y5IWeezXEN,LFU,516.72 
[73386] SET_SELL_TRIGGER,y5IWeezXEN,LFU,56.50 
[73571] SET_SELL_AMOUNT,y5IWeezXEN,LZV,50.46 
[73775] SET_SELL_TRIGGER,y5IWeezXEN,LZV,42.98 
[73914] DISPLAY_SUMMARY,y5IWeezXEN 
[73999] QUOTE,y5IWeezXEN,SQO 
[74067] BUY,y5IWeezXEN,TKV,176.79 
[74094] COMMIT_BUY,y5IWeezXEN 
[74111] SELL,y5IWeezXEN,LZV,17.69 
[74152] CANCEL_SET_SELL,y5IWeezXEN,NKC 
[74285] QUOTE,y5IWeezXEN,JRJ 
[74423] ADD,y5IWeezXEN,56195.36 
[74457] CANCEL_SET_SELL,y5IWeezXEN,TVX 
[74497] ADD,y5IWeezXEN,52830.66 
[74742] QUOTE,y5IWeezXEN,STO 
[74958] SET_BUY_TRIGGER,y5IWeezXEN,ZQW,25.09 
[75083] ADD,y5IWeezXEN,73803.19 
[75099] CANCEL_SELL,y5IWeezXEN 
[75555] SET_BUY_AMOUNT,y5IWeezXEN,KYX,392.34 
[75572] SET_BUY_TRIGGER,y5IWeezXEN,BHJ,296.77 
[75602] SET_BUY_TRIGGER,y5IWeezXEN,PVH,134.76 
[75947] SET_BUY_AMOUNT,y5IWeezXEN,QGE,433.12 
[75953] SET_BUY_TRIGGER,y5IWeezXEN,TSS,406.94 
[76027] COMMIT_BUY,y5IWeezXEN 
[76052] BUY,y5IWeezXEN,JGO,518.94 
[76401] COMMIT_BUY,y5IWeezXEN 
[76565] SELL,y5IWeezXEN,UBJ,601.80 
[76616] COMMIT_SELL,y5IWeezXEN 
[76672] ADD,y5IWeezXEN,48470.81 
[76847] BUY,y5IWeezXEN,HWO,732.93 
[76852] COMMIT_BUY,y5IWeezXEN 
[77037] SET_SELL_TRIGGER,y5IWeezXEN,TSS,46.77 
[77091] SELL,y5IWeezXEN,LFU,176.62 
[77171] COMMIT_SELL,y5IWeezXEN 
[77178] ADD,y5IWeezXEN,79804.87 
[77329] BUY,y5IWeezXEN,GKD,520.20 
[77396] QUOTE,y5IWeezXEN,MIR 
[77401] CANCEL_SET_BUY,y5IWeezXEN,KMV 
[77518] DISPLAY_SUMMARY,y5IWeezXEN 
[77569] BUY,y5IWeezXEN,UCG,365.66 
[77730] SET_SELL_AMOUNT,y5IWeezXEN,MFX,118.33 
[78040] SET_SELL_TRIGGER,y5IWeezXEN,MFX,11.30 
[78178] CANCEL_SET_BUY,y5IWeezXEN,VZB 
[78251] DISPLAY_SUMMARY,y5IWeezXEN 
[78466] SELL,y5IWeezXEN,BCQ,340.40 
[78650] COMMIT_SELL,y5IWeezXEN 
[78725] CANCEL_SET_SELL,y5IWeezXEN,TKV 
[78726] SELL,y5IWeezXEN,ZAN,344.70 
[79039] ADD,y5IWeezXEN,111890.00 
[79084] QUOTE,y5IWeezXEN,WKE 
[79170] SET_SELL_AMOUNT,y5IWeezXEN,GRM,191.95 
[79198] SET_SELL_TRIGGER,y5IWeezXEN,GRM,106.06 
[79222] ADD,y5IWeezXEN,47114.23 
[79258] QUOTE,y5IWeezXEN,IFU 
[79265] SET_BUY_AMOUNT,y5IWeezXEN,XQC,263.15 
[79478] SET_BUY_TRIGGER,y5IWeezXEN,KJH,13.65 
[79482] COMMIT_BUY,y5IWeezXEN 
[79850] SET_SELL_AMOUNT,y5IWeezXEN,OZO,226.44 
[80047] SET_SELL_TRIGGER,y5IWeezXEN,OZO,185.27 
[80066] SET_SELL_TRIGGER,y5IWeezXEN,UZZ,174.64 
[80142] ADD,y5IWeezXEN,56349.32 
[80167] BUY,y5IWeezXEN,RJG,112.01 
[80365] COMMIT_BUY,y5IWeezXEN 
[80453] QUOTE,y5IWeezXEN,HIN 
[80553] BUY,y5IWeezXEN,IBT,61.24 
[80782] COMMIT_BUY,y5IWeezXEN 
[80915] CANCEL_SET_BUY,y5IWeezXEN,JGO 
[81049] DISPLAY_SUMMARY,y5IWeezXEN 
[81084] DISPLAY_SUMMARY,y5IWeezXEN 
[81272] SELL,y5IWeezXEN,SQI,211.75 
[81278] COMMIT_SELL,y5IWeezXEN 
[81380] QUOTE,y5IWeezXEN,XMA 
[81448] BUY,y5IWeezXEN,FVS,68.64 
[81560] CANCEL_BUY,y5IWeezXEN 
[81577] CANCEL_BUY,y5IWeezXEN 
[81594] SET_BUY_AMOUNT,y5IWeezXEN,XQC,576.17 
[81628] SET_BUY_TRIGGER,y5IWeezXEN,WOJ,453.24 
[81642] ADD,y5IWeezXEN,69642.67 
[81698] QUOTE,y5IWeezXEN,IIX 
[81736] QUOTE,y5IWeezXEN,YKB 
[81989] BUY,y5IWeezXEN,JRY,240.17 
[82077] CANCEL_SET_BUY,y5IWeezXEN,IOM 
[82208] SELL,y5IWeezXEN,QJZ,406.01 
[82589] COMMIT_SELL,y5IWeezXEN 
[82657] SET_BUY_TRIGGER,y5IWeezXEN,ZCO,13.34 
[82707] COMMIT_SELL,y5IWeezXEN 
[82730] SET_SELL_AMOUNT,y5IWeezXEN,CEC,622.38 
[82853] SET_SELL_TRIGGER,y5IWeezXEN,CEC,505.87 
[82876] SET_SELL_TRIGGER,y5IWeezXEN,JGY,59.20 
[83016] SELL,y5IWeezXEN,XLK,369.18 
[83085] COMMIT_SELL,y5IWeezXEN 
[83197] ADD,y5IWeezXEN,115934.55 
[83349] BUY,y5IWeezXEN,NZS,301.33 
[83359] COMMIT_BUY,y5IWeezXEN 
[83735] SELL,y5IWeezXEN,HFS,21.21 
[83804] CANCEL_SELL,y5IWeezXEN 
[83890] DISPLAY_SUMMARY,y5IWeezXEN 
[83918] QUOTE,y5IWeezXEN,OWH 
[84053] CANCEL_SET_SELL,y5IWeezXEN,AZN 
[84103] SET_SELL_AMOUNT,y5IWeezXEN,HTD,175.04 
[84239] SET_SELL_TRIGGER,y5IWeezXEN,HTD,32.87 
[84467] QUOTE,y5IWeezXEN,UTV 
[84599] BUY,y5IWeezXEN,MSV,209.81 
[84600] QUOTE,y5IWeezXEN,JII 
[84896] QUOTE,y5IWeezXEN,HZA 
[85018] BUY,y5IWeezXEN,MQF,314.86 
[85022] COMMIT_BUY,y5IWeezXEN 
[85109] QUOTE,y5IWeezXEN,RQT 
[85262] QUOTE,y5IWeezXEN,MER 
[85315] CANCEL_BUY,y5IWeezXEN 
[85496] BUY,y5IWeezXEN,AVH,38.37 
[85575] COMMIT_SELL,y5IWeezXEN 
[85582] ADD,y5IWeezXEN,52809.38 
[85827] QUOTE,y5IWeezXEN,WGV 
[86222] QUOTE,y5IWeezXEN,EGB 
[86234] BUY,y5IWeezXEN,FOV,89.14 
[86559] COMMIT_BUY,y5IWeezXEN 
[86746] CANCEL_SET_BUY,y5IWeezXEN,NGB 
[86760] SET_BUY_AMOUNT,y5IWeezXEN,LFU,90.50 
[86824] SET_BUY_TRIGGER,y5IWeezXEN,RJG,62.45 
[86851] SELL,y5IWeezXEN,KBN,533.16 
[87113] SET_BUY_AMOUNT,y5IWeezXEN,JRJ,422.04 
[87131] SET_BUY_TRIGGER,y5IWeezXEN,HZA,278.05 
[87165] QUOTE,y5IWeezXEN,PFN 
[87207] QUOTE,y5IWeezXEN,HHG 
[87212] SET_BUY_TRIGGER,y5IWeezXEN,ADY,182.87 
[87485] ADD,y5IWeezXEN,82507.10 
[87542] BUY,y5IWeezXEN,BZH,505.04 
[87717] SELL,y5IWeezXEN,RGH,541.87 
[87811] BUY,y5IWeezXEN,HZP,125.71 
[87833] COMMIT_SELL,y5IWeezXEN 
[87843] DISPLAY_SUMMARY,y5IWeezXEN 
[87885] QUOTE,y5IWeezXEN,QTU 
[87977] SET_SELL_AMOUNT,y5IWeezXEN,TVI,704.04 
[87982] SET_SELL_TRIGGER,y5IWeezXEN,TVI,532.05 
[88193] SELL,y5IWeezXEN,XXQ,528.16 
[88202] CANCEL_SELL,y5IWeezXEN 
[88246] CANCEL_SET_SELL,y5IWeezXEN,FPP 
[88380] ADD,y5IWeezXEN,41975.82 
[88493] BUY,y5IWeezXEN,KJD,206.96 
[88546] COMMIT_BUY,y5IWeezXEN 
[88666] SET_SELL_TRIGGER,y5IWeezXEN,LLF,79.30 
[88765] ADD,y5IWeezXEN,68608.67 
[88813] SET_BUY_AMOUNT,y5IWeezXEN,SUS,218.36 
[88845] SET_BUY_TRIGGER,y5IWeezXEN,GED,90.00 
[89107] SET_BUY_TRIGGER,y5IWeezXEN,UMN,125.98 
[89159] SELL,y5IWeezXEN,JCQ,699.72 
[89185] COMMIT_SELL,y5IWeezXEN 
[89206] CANCEL_SET_SELL,y5IWeezXEN,YVS 
[89286] DISPLAY_SUMMARY,y5IWeezXEN 
[89313] DISPLAY_SUMMARY,y5IWeezXEN 
[89408] DISPLAY_SUMMARY,y5IWeezXEN 
[89455] CANCEL_BUY,y5IWeezXEN 
[89615] SET_BUY_TRIGGER,y5IWeezXEN,THH,123.38 
[89729] SET_BUY_TRIGGER,y5IWeezXEN,SDW,190.32 
[89765] ADD,y5IWeezXEN,75541.99 
[90121] BUY,y5IWeezXEN,SEI,655.80 
[90280] COMMIT_BUY,y5IWeezXEN 
[90655] DISPLAY_SUMMARY,y5IWeezXEN 
[90656] ADD,y5IWeezXEN,80120.90 
[90875] QUOTE,y5IWeezXEN,ZLY 
[90906] SET_BUY_TRIGGER,y5IWeezXEN,CZQ,193.60 
[91097] SET_BUY_TRIGGER,y5IWeezXEN,NFQ,42.62 
[91101] ADD,y5IWeezXEN,62868.29 
[91113] QUOTE,y5IWeezXEN,FFN 
[91211] ADD,y5IWeezXEN,36307.15 
[91273] QUOTE,y5IWeezXEN,IQJ 
[91427] CANCEL_SET_BUY,y5IWeezXEN,LJM 
[91433] SET_BUY_AMOUNT,y5IWeezXEN,PRJ,300.63 
[91454] SET_BUY_TRIGGER,y5IWeezXEN,ZAV,259.70 
[91462] ADD,y5IWeezXEN,72927.27 
[91608] BUY,y5IWeezXEN,IHW,265.55 
[91628] CANCEL_BUY,y5IWeezXEN 
[91755] CANCEL_SET_BUY,y5IWeezXEN,VFH 
[91770] ADD,y5IWeezXEN,71479.89 
[91832] QUOTE,y5IWeezXEN,KGA 
[91841] DISPLAY_SUMMARY,y5IWeezXEN 
[91931] ADD,y5IWeezXEN,56615.34 
[91979] BUY,y5IWeezXEN,IGT,620.30 
[91994] COMMIT_SELL,y5IWeezXEN 
[92045] SET_BUY_TRIGGER,y5IWeezXEN,SDW,168.20 
[92174] ADD,y5IWeezXEN,77881.60 
[92179] BUY,y5IWeezXEN,CTS,695.94 
[92393] CANCEL_SET_SELL,y5IWeezXEN,VVW 
[92400] ADD,y5IWeezXEN,61136.14 
[92438] BUY,y5IWeezXEN,VYQ,559.67 
[92484] CANCEL_SELL,y5IWeezXEN 
[92539] DISPLAY_SUMMARY,y5IWeezXEN 
[92575] DISPLAY_SUMMARY,y5IWeezXEN 
[92593] DISPLAY_SUMMARY,y5IWeezXEN 
[92869] SET_BUY_AMOUNT,y5IWeezXEN,CBO,511.41 
[92921] SET_BUY_TRIGGER,y5IWeezXEN,EED,66.67 
[93024] ADD,y5IWeezXEN,59508.31 
[93055] QUOTE,y5IWeezXEN,QPZ 
[93227] BUY,y5IWeezXEN,XRK,1.42 
[93311] COMMIT_BUY,y5IWeezXEN 
[93415] SET_BUY_AMOUNT,y5IWeezXEN,HTD,602.37 
[93424] SET_BUY_TRIGGER,y5IWeezXEN,CVV,259.95 
[93466] SET_SELL_TRIGGER,y5IWeezXEN,ZTI,128.20 
[93620] BUY,y5IWeezXEN,AVI,475.94 
[93649] BUY,y5IWeezXEN,ENQ,288.51 
[93807] COMMIT_BUY,y5IWeezXEN 
[93879] SET_SELL_TRIGGER,y5IWeezXEN,BWL,60.05 
[94158] CANCEL_BUY,y5IWeezXEN 
[94202] DISPLAY_SUMMARY,y5IWeezXEN 
